military,married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
Yes,Married,-88.05185411864997,A,121.79759417238276,D,A,A,C,12.085913802084278,0
Non-Veteran,Single,22.581819602101966,C,-226.86169437865132,B,A,E,A,134.70937716873033,0
Veteran,Widowed,49.211213790239356,C,-170.76046435595748,D,E,E,A,-16.453569608052028,0
Veteran,Married,41.74425559636585,C,105.84031347087443,C,B,E,E,14.264712717285889,0
Yes,Divorced,-71.432587830966,D,48.90419761323239,C,D,D,D,8.10399736704999,1
No,Single,25.36337073618471,D,-10.832955125257007,D,B,E,D,-58.66855188942146,0
Non-Veteran,Single,1.5602495351498453,D,-61.9214109746226,D,E,E,D,137.18287213858574,0
Non-Veteran,Divorced,-216.26782195922428,E,148.88998751792434,B,B,B,D,-74.27092241160523,0
Yes,Divorced,-33.16824867629705,C,-73.4806569639384,E,D,D,A,-16.291237632898607,0
No,Single,57.82676134746957,E,-57.38930436942594,C,C,C,C,127.39772478844678,0
Yes,Divorced,125.77617181396836,E,34.301466265819606,A,A,E,E,130.39942059128808,1
Yes,Divorced,97.03147248126919,A,182.19744483202206,E,D,C,B,137.80074462828972,1
Yes,Single,1.7687045181112855,B,-15.651201958803556,D,B,C,B,-58.925360477999945,0
Veteran,Divorced,-192.78075491318643,B,92.64021971601488,D,B,D,A,11.479704053848867,0
Veteran,Married,287.11656396371865,D,-91.51004025597508,B,B,D,C,-22.382017503562903,0
No,Married,-115.18400056494667,A,-147.51786440946734,D,C,B,C,-13.841036729560724,0
Yes,Widowed,-137.6994155351079,D,33.386610872291186,C,A,E,B,-22.9234428919091,0
Yes,Divorced,-53.812269314061,D,8.898415285042685,E,E,D,E,90.41256286648263,1
No,Widowed,-17.477617918441148,C,154.09110014184213,D,D,A,B,-86.80448604937749,0
No,Married,90.10342683068134,C,19.30267472876159,C,B,B,B,-33.49739272585279,1
Yes,Widowed,14.503074969997897,C,-78.97141008441942,E,B,D,B,130.3924163211034,0
Yes,Single,-78.77143632794866,B,-16.821896305606867,C,B,C,D,26.540118847506605,1
Veteran,Widowed,-201.2827603046533,E,172.85318780706965,C,E,E,D,181.022478176538,1
No,Widowed,-0.0959038756283128,E,100.01962264476248,D,D,C,A,226.20793686255016,0
Yes,Married,-0.6855568118752904,A,134.39091772902052,E,E,E,A,4.268155856769304,0
Non-Veteran,Single,-52.22687200037065,C,54.81483767961417,B,E,A,B,29.724830274701873,0
No,Widowed,-206.95657218060518,C,-73.37015811228048,A,E,A,B,88.90740418062285,1
Non-Veteran,Married,-15.16225140754659,A,78.90534926078374,E,A,A,A,-47.97272604812472,0
Non-Veteran,Single,35.08884910691778,B,92.95399338850208,B,C,D,C,-71.14360287538673,1
Veteran,Widowed,-38.29344574984416,B,109.37741690282179,D,D,D,B,138.08459172355936,0
No,Divorced,-92.92324412396931,D,-95.0789918457835,B,A,D,D,181.0925983713478,1
Yes,Divorced,-37.23065531002774,B,54.498226881317244,E,D,E,C,54.301839506557826,1
Non-Veteran,Married,173.55777082721335,B,-5.9860299133031205,B,A,E,C,168.88156121279232,0
Yes,Widowed,6.5632720335336,A,79.57318176335237,A,A,D,D,8.367802649668551,0
Veteran,Single,-95.59877765469737,B,91.07817162902812,B,E,D,B,8.241688968646596,1
Yes,Married,-79.69157621143032,A,-20.817057187541,A,C,E,D,52.71338209494267,1
No,Divorced,34.66038321524365,C,88.06574234830265,D,C,A,D,-74.77312781601506,1
Veteran,Married,-129.5042571688471,E,-108.23300011325188,D,E,D,E,108.10177741039912,1
Veteran,Married,-112.8948544784888,B,-94.83406859194415,D,A,A,B,-81.67037851466212,1
Veteran,Widowed,149.5108780884166,E,83.44301411927202,C,E,A,C,60.29911092179439,1
Non-Veteran,Widowed,27.613163284049612,E,-21.128509484259453,D,D,E,E,-38.13530693118572,0
Yes,Married,-16.580509264025554,E,15.319493937484415,B,E,D,E,-96.31727181103103,1
Veteran,Married,7.094544942225978,B,6.445699843899365,B,D,E,C,-7.728627593259481,1
Yes,Single,39.69392119366837,E,-62.38895388671901,A,B,E,A,75.97186076145933,0
No,Widowed,-144.28420867865722,C,-56.91204476198999,B,B,A,C,64.65445690772621,0
Veteran,Married,85.69180644827674,C,130.80054371969766,D,A,B,A,-122.631431361449,0
Yes,Single,-6.91765748566925,E,-33.525396297273794,B,D,E,A,86.15605956875301,0
Yes,Single,-251.8687438959681,A,-115.53399280116639,A,E,B,C,142.70042861093324,0
Veteran,Widowed,42.882389002611376,E,67.2434340272659,C,A,D,A,-26.500422604491014,1
Yes,Widowed,64.71872489430214,A,-1.6528546071374919,B,D,E,A,11.858744595525083,0
Yes,Divorced,65.58712596108315,C,-130.02739584719663,B,C,E,B,-10.715138698936993,1
Non-Veteran,Widowed,18.41363784968856,B,-24.513096371551534,D,B,D,E,4.649001006824848,1
No,Married,30.36273434127952,C,70.20846695871158,D,E,A,C,-183.35519260569922,0
Veteran,Divorced,119.19044660764652,D,-223.29101583757702,D,E,E,B,-221.87307449590787,0
Yes,Married,49.587309372635616,E,89.48642512486877,D,E,C,C,-19.719103363254636,1
No,Married,57.095217542364686,E,-84.55876815906291,E,C,C,C,-144.4342620257594,1
Veteran,Married,80.93650708516387,B,-153.31162869069604,B,D,B,C,-7.064607512032888,1
Veteran,Married,60.93047272501349,B,-15.12044120713324,A,B,C,C,-29.65679625841469,1
No,Divorced,120.90378433035131,B,119.5156334422671,D,E,D,E,-53.69242728778335,1
Veteran,Married,147.79237748928017,C,40.892072812498405,E,A,C,D,69.83566570090082,1
Veteran,Married,-137.97911411253554,D,-15.278939444470039,C,E,A,E,-165.16808312088875,0
No,Divorced,49.583066977055665,D,-117.28982801862236,D,A,B,D,-78.09985882129399,0
Veteran,Single,-91.48154775275614,C,-95.67949401172152,C,B,E,A,-138.91784583025492,0
No,Married,78.09357525955433,B,-67.09513197330098,A,B,B,E,125.93007273013872,0
No,Widowed,138.05842654882179,A,148.4432834465217,E,B,E,D,16.377989015467772,1
Veteran,Widowed,-106.18886064873882,B,-196.52836757810397,E,B,D,B,-25.86988907219026,1
Non-Veteran,Married,-106.56950791156112,C,-144.51388086414997,C,D,C,D,-2.8323753619485115,1
Yes,Single,-145.2535884489299,E,41.270512051480445,C,E,A,D,-164.20086659990966,0
Non-Veteran,Divorced,-8.895721867433464,A,-66.08168999242673,C,B,E,D,-132.43294960897336,0
No,Married,120.34058339229614,A,-146.57930742430426,E,A,E,B,79.76144344561358,1
No,Divorced,42.70075264750461,A,112.24485343959299,A,B,C,C,-100.42660938156422,1
No,Married,-84.69228733968215,E,27.233478365783625,E,A,A,A,-90.23929029064297,0
No,Single,68.95100333463783,B,196.85186728393512,B,D,B,E,89.15559056204006,1
Non-Veteran,Widowed,-53.46088204027616,C,66.68313994375055,A,B,B,D,-89.96592399837728,0
No,Married,-176.67186488018746,C,-28.925335537287676,D,D,A,D,144.49496578159412,1
Non-Veteran,Married,66.74687327381022,D,77.03811003035916,A,E,E,D,-137.7570413096195,1
Non-Veteran,Single,-117.6370752578253,E,0.18108359486131267,A,A,D,C,30.38191262450675,1
Veteran,Divorced,27.98266919338029,D,-155.29720302383473,C,A,C,B,0.29409563541715816,0
Yes,Divorced,10.548647409678551,D,-35.82099490156181,C,A,B,A,31.00081676292885,1
No,Divorced,-45.50478728799241,E,-54.102161394066464,B,E,C,A,-141.55893437917487,1
Non-Veteran,Divorced,42.15779239112105,D,-9.12312506093328,C,C,E,E,-18.919117589934356,0
Veteran,Divorced,-1.57731535712609,A,-14.730659140971575,D,A,D,B,30.59076557337293,1
Non-Veteran,Single,-104.24660901365041,A,25.630995690705205,A,A,C,D,58.976502213251194,0
Veteran,Widowed,1.906089092469731,E,27.15010628830789,D,C,A,B,-130.67264049046975,1
Non-Veteran,Divorced,42.13422278167715,D,13.195533643952148,B,E,B,A,174.01227959209538,0
No,Divorced,-33.77037640434929,D,120.65119092955496,E,B,B,A,-17.44927194281755,0
Veteran,Divorced,-26.9263978016062,C,-77.5190645992835,B,D,E,B,-29.478591778578416,1
Veteran,Single,72.66116464416292,B,28.595081445055392,B,D,E,E,-170.1687015506845,0
Non-Veteran,Married,157.81226615260155,A,-225.96823446040534,D,B,A,D,-56.91247329367122,0
No,Divorced,251.95587446525542,E,-44.04593524189369,D,D,B,E,-1.1517396557581006,0
Yes,Widowed,219.67947510415166,C,109.4283979657098,E,D,B,C,64.23561622964392,0
Yes,Widowed,-21.95027229012078,C,-63.433714858284795,A,B,D,C,-170.11154232436303,0
Veteran,Widowed,199.8071480119021,D,42.468487442897285,A,D,D,E,-71.56711643102658,1
Yes,Widowed,106.1595635354385,C,-153.85006396445058,E,B,D,E,-5.017734113721323,1
Non-Veteran,Divorced,169.69221063335965,B,33.37812800390766,B,C,C,E,-49.590915809088685,1
No,Married,-137.18614346858678,E,8.22884209676195,D,D,A,B,-145.57464502867154,0
Non-Veteran,Divorced,90.33626989822636,C,0.9217615284879623,A,D,E,C,-45.15727297512893,0
Yes,Divorced,109.88985642685547,D,39.62544346906395,E,D,E,B,49.14105684056663,0
No,Married,108.54394774114596,E,-21.575475954778515,D,C,E,C,13.169458532521434,1
Non-Veteran,Single,65.34416463367685,B,-48.03030344276192,C,E,A,E,-65.93869414921517,0
Non-Veteran,Divorced,58.617571637173086,E,107.69467027081913,E,C,B,D,-9.074107895618704,1
No,Divorced,49.244870022216126,C,-35.62012678867925,C,D,C,E,3.1008483348340934,1
Non-Veteran,Divorced,-88.31967164662727,B,-148.99264433107692,B,E,A,D,91.54988425801555,0
Yes,Married,-111.99436108818009,C,112.63691368523148,B,D,C,A,142.38072817169794,1
No,Single,-88.46891380074204,C,40.25120979534113,D,B,A,B,-62.8511209873015,1
No,Married,24.749872520517556,C,121.26647249816642,A,B,E,D,71.42879970806129,1
Non-Veteran,Married,-168.4674584933231,C,13.535472505282714,E,E,C,D,-67.00138645388999,0
Yes,Single,-22.237416727264147,C,61.012450959790556,A,C,E,E,-65.23975822996411,0
No,Married,175.1120463810043,E,-39.12737011777915,A,E,D,B,62.300789697189806,0
Veteran,Divorced,-20.517068922529774,A,-69.2995882935512,A,A,C,C,-0.3170411758462687,0
Non-Veteran,Divorced,-119.9947151320623,C,252.2225672632799,B,E,E,C,102.70188161528633,0
Veteran,Divorced,191.74175443747887,C,124.87662499918028,E,C,B,B,16.957242899495135,1
Non-Veteran,Single,-12.056972176693181,E,46.47744520523035,D,B,B,D,62.44599211607718,1
Non-Veteran,Single,-10.974804679742645,D,20.822878738249987,E,A,C,B,44.862886667285224,0
Yes,Single,61.64608486766673,A,14.995460762468845,B,D,E,A,77.28875148429171,0
No,Single,-20.896041993000075,D,41.145940636536324,A,A,D,B,73.28801106395163,1
Non-Veteran,Married,168.43100347423115,C,-37.923720420636265,D,C,E,C,-143.46174866231155,1
No,Widowed,0.8290943325438461,C,-71.48414370803017,C,E,E,B,99.52433018438221,1
No,Single,-155.78756428285442,D,19.636234747153118,B,C,D,B,-29.87550231092873,0
Non-Veteran,Single,20.292306797734287,E,-31.54419736785656,C,E,C,D,-139.69069000603625,1
Veteran,Single,-10.717315705628675,D,-6.9679601404295175,A,E,C,E,64.85472412404535,1
Non-Veteran,Single,-66.95082031108228,A,199.29205535505199,E,D,C,A,61.21776854050538,1
No,Widowed,-83.54606870397023,B,-14.264807126318974,E,C,B,A,225.73392241776386,1
Non-Veteran,Single,43.30321371982964,D,3.234393120639533,C,E,C,C,62.38092819616282,1
No,Widowed,66.04337468327337,D,47.169938515278886,A,B,B,C,26.679309381276322,1
Yes,Widowed,256.31690509539584,B,-2.9340353997530757,E,E,D,C,-54.04371384333698,0
Non-Veteran,Single,-211.66870519690426,D,-29.52250429306918,E,E,D,A,-97.49772758268385,1
Yes,Single,-127.04222156589373,D,99.76697604312295,D,D,D,C,-20.27169288650231,1
Non-Veteran,Married,-50.21978687934756,E,113.98289617977014,C,A,A,D,32.13304298113315,0
Non-Veteran,Widowed,20.183120391246497,E,-38.27543230456617,D,C,B,C,-223.05438384221094,0
No,Divorced,-128.4261831804546,E,54.99862263061349,D,C,A,D,61.878532717704104,1
Non-Veteran,Married,-88.34829723010597,E,0.5229109745987375,B,C,C,D,-40.50368470657296,0
Non-Veteran,Divorced,159.56600049586098,A,53.37273765276429,A,A,C,C,2.2145034475249985,1
Non-Veteran,Divorced,-71.46221887547148,C,-54.6363245418353,C,B,A,E,-31.521759832495523,1
Non-Veteran,Widowed,80.96827462696645,E,80.83638413102014,A,A,E,B,-105.09352560098202,0
Veteran,Married,1.949258521769649,C,-87.79014913965776,A,E,D,B,60.231555799112066,1
Veteran,Divorced,-176.13942805317333,A,-72.80453447264978,B,A,D,B,127.87454010300338,0
No,Married,-68.50211741612192,D,-0.1839678170463218,E,D,E,E,-165.9211062036383,0
Yes,Divorced,-34.47966020381357,A,91.36876908852678,A,C,A,A,66.00414366669676,0
Non-Veteran,Widowed,-51.66769619027999,A,41.389958853610025,C,D,C,A,-113.46572467999054,1
Non-Veteran,Widowed,-94.39291551765744,D,86.79018347237711,B,A,B,B,-70.86617594151443,0
Non-Veteran,Divorced,81.06581047639169,B,17.05605623024332,A,E,E,A,-70.27643737239167,0
Veteran,Single,81.47115661768163,A,-40.869106011687464,B,C,C,A,-7.491878576659092,1
Non-Veteran,Single,-88.15485019312678,E,-72.65055160526082,A,E,C,D,-64.10487474029031,1
Yes,Divorced,-22.08514250789195,D,-69.4500934431222,C,A,C,C,39.4342793273797,0
Yes,Single,2.8477549750757474,D,-102.37301617348413,E,B,B,D,-21.24747984859489,0
Non-Veteran,Single,62.3429025159483,A,11.110156899875651,D,B,A,B,-109.1065295622619,1
Non-Veteran,Single,-5.959440126754021,C,42.61953272581118,D,A,D,C,83.5979391332137,1
Non-Veteran,Divorced,-26.112041817137623,D,8.296338534538169,B,A,A,A,-24.04222725631756,0
Veteran,Widowed,-177.48902252946368,A,16.364775001162574,D,B,B,A,-60.828387352717996,0
Non-Veteran,Widowed,20.974398391979985,A,-64.82409887091579,B,D,A,C,188.32409041010717,0
Veteran,Married,-53.87576904422089,B,72.09766329693426,B,B,A,E,-125.60643648833465,0
No,Married,201.40235096864,E,-99.87087863535646,A,B,D,B,6.870923709843865,1
No,Divorced,103.37631573183612,C,-45.07801449760583,B,B,A,D,-38.41704962284297,0
Non-Veteran,Single,-45.23821166170443,E,107.38996237182248,B,D,A,A,-150.70526046809255,0
Non-Veteran,Divorced,58.236773586325874,E,-8.428808574433145,D,A,D,B,60.50379251101386,1
Veteran,Divorced,87.54858523542664,C,25.90585845524985,E,A,C,A,-80.29214580759967,1
Non-Veteran,Divorced,101.28029202434483,A,2.9511718091098604,E,D,C,E,-8.862791232585366,0
Non-Veteran,Single,70.53945936557659,A,-29.925966974814767,B,A,C,E,-47.68000846660088,0
No,Single,68.1382306767862,E,47.53964586937097,C,B,E,A,77.83453115964019,1
Non-Veteran,Single,-21.965863652212445,A,-60.267496093747496,B,A,B,B,-61.993301609279584,0
Non-Veteran,Divorced,-52.5649546603472,E,-0.054704464348453476,B,A,C,A,173.7425733070469,0
Yes,Single,-75.52444044042575,A,97.94536555903206,D,C,A,B,-49.22379389310616,0
Yes,Married,-18.500089991679264,D,-156.26986885800213,A,A,A,C,64.09925806819551,1
Yes,Divorced,19.960022139266925,B,-42.52628983538531,A,B,D,C,58.7090150792169,0
Yes,Single,66.83359660121192,B,124.32587282587674,E,B,E,C,89.97407913692493,0
Veteran,Widowed,79.69542994744614,B,-1.7554461236326049,A,A,D,C,64.81933977664403,0
Non-Veteran,Widowed,19.607020672457708,B,24.792755041656317,C,B,B,D,94.5695923252017,0
Non-Veteran,Divorced,273.6990886176045,A,-47.30392990552838,C,D,C,A,55.09456996094618,0
No,Widowed,-175.82147151377615,B,-187.9881396896897,E,C,C,B,-70.86756155665459,1
Veteran,Married,-163.47399216164288,D,-142.85600986513148,E,E,B,D,63.08411756768882,0
No,Married,101.32695326537677,B,-71.77906395292328,D,A,B,D,95.13186636045377,1
Non-Veteran,Widowed,-100.30682463797629,C,-162.22146488625762,D,C,C,C,-63.278728129715944,0
Yes,Widowed,29.6268244396756,D,-144.62703881415234,E,B,B,C,50.995729390630665,1
No,Divorced,-46.036845365151734,A,-96.41229505913333,B,D,C,D,86.84041589200818,1
Non-Veteran,Single,81.28535308082793,D,-50.66264010042673,E,B,E,B,-110.97215873315545,1
Non-Veteran,Single,109.65752349168596,A,-161.88443183770062,D,D,E,D,4.667662058166621,0
Non-Veteran,Widowed,-69.31519506466857,A,73.90402561535144,B,B,D,E,-68.3287457069685,0
No,Divorced,-29.95852072946291,C,18.087900015018192,A,B,B,E,82.5594526159493,1
Yes,Divorced,171.49476366377317,B,-35.36788189378832,C,A,A,A,-5.075572445905021,0
No,Widowed,35.85001784277738,D,-90.1300521195772,B,E,E,E,117.17118170935035,0
Veteran,Divorced,30.853906596611903,B,70.57353674551416,C,B,B,E,-36.236022330288684,0
Non-Veteran,Single,-12.83219335739817,C,-131.02986947461787,C,D,A,E,42.27928356796906,0
Yes,Widowed,-29.32573721772934,B,73.46532151595065,A,B,E,B,-72.0893704499632,0
Yes,Single,2.2857831370627935,B,37.364794351799816,E,E,B,D,143.25170939927244,1
Non-Veteran,Married,-125.18934994833222,E,206.32823753987967,C,A,A,C,120.278034543738,0
Veteran,Single,35.12477992764666,D,89.69886687286336,B,D,E,C,-40.161115892296465,1
Non-Veteran,Divorced,36.366583419868,A,-80.44980214521648,A,E,B,D,-135.0468345985455,1
No,Divorced,115.92155753984714,D,127.82864983057725,C,B,C,D,-41.04860255962875,1
Non-Veteran,Married,62.12780915352336,A,74.57960142262237,D,E,D,D,-20.0727704575744,0
No,Divorced,217.53091083137406,E,-42.960503079446234,B,E,A,A,-27.974641139915825,1
Veteran,Divorced,181.46842656933123,D,7.525125772676672,A,C,C,A,160.90849665128005,1
No,Single,-0.9610728491413123,E,25.87327302626109,C,E,B,A,-63.58913285984619,1
Veteran,Divorced,-130.89106640096585,A,141.98607964745554,B,D,C,D,106.8653140015394,1
Yes,Married,-78.94370035087415,C,-101.48333815124863,C,A,D,E,-79.4206573251598,1
No,Widowed,-84.86361201205928,E,83.23700078711563,E,A,E,A,32.389089002196435,0
No,Widowed,126.14684734695325,B,45.4770203457095,A,A,D,D,-67.21296979823839,0
Veteran,Married,-30.40390978593891,A,-233.03818490270146,D,A,C,B,114.89194518513722,1
Veteran,Married,-142.74386123450176,E,-83.97928639398975,C,A,D,C,-81.49050442317622,0
Yes,Married,38.07274915714097,D,-161.0930738167008,C,E,B,E,106.21523199889944,1
No,Widowed,-31.153997579488596,A,105.02305221701755,E,E,D,C,-7.337133178717181,1
No,Widowed,133.87079136001407,A,112.87969462512865,C,A,E,C,48.754436005027166,0
Yes,Single,157.2941816619021,B,166.6709432284113,D,C,E,C,-109.92865286763767,0
No,Married,-93.92826298319294,C,-127.52599127998472,A,A,E,D,-71.24203151313779,0
No,Widowed,59.329473467399396,E,90.92348624884941,E,B,B,C,133.6450649993854,1
Veteran,Married,106.79018234735345,D,-153.6449107014898,D,C,D,D,50.34322208755434,0
No,Married,52.20141663264107,D,-35.99401166142769,A,A,A,A,-21.231212395449475,0
Yes,Divorced,-29.50924591990132,C,0.7148966244406656,C,B,A,A,24.08290545052814,1
Yes,Single,-34.61161969672604,E,18.304884840553864,E,A,A,C,-115.07673566881047,0
Veteran,Widowed,15.782803857322744,A,278.2554894768809,E,C,B,A,53.93253143445662,0
Veteran,Divorced,126.26917015786252,D,208.42207786975604,C,E,A,C,-20.72217082092384,0
Non-Veteran,Widowed,56.05859263755075,A,-62.7418448890089,E,E,C,D,-118.62760128965304,1
Yes,Widowed,-29.776476300876116,D,20.803619010216234,C,C,E,E,80.95264053352057,0
Veteran,Divorced,42.713624096078114,A,-129.1874211306757,E,E,B,C,67.04512286718614,1
Veteran,Divorced,-35.918325795321174,A,-228.1889009708014,C,B,A,B,128.21256544862356,0
Veteran,Widowed,-48.13275369608035,D,-25.538452439402032,D,D,C,C,-66.93519487801345,1
No,Divorced,93.61332711866525,B,-96.32442129471323,C,A,A,C,11.224587481960116,1
Non-Veteran,Single,56.245365561178986,A,65.32829094528985,C,D,D,E,-75.87481892732052,0
Non-Veteran,Married,-92.41139380044868,C,52.19974925032197,D,D,C,C,-30.874296548871992,0
Yes,Divorced,-160.40127202062044,B,105.37429982731167,C,D,C,A,-117.72452229790125,0
Non-Veteran,Married,-125.69534121406802,C,140.10287090362303,C,A,A,A,-118.29833567049907,1
Non-Veteran,Divorced,-84.8148169432957,D,136.40271026175063,E,A,D,B,7.0094168111539314,0
No,Divorced,96.55137168908739,A,76.2097680719496,C,B,C,E,-43.83366852156653,1
Yes,Widowed,-46.95167013773166,E,32.81678880336846,E,B,B,E,52.83825238180492,0
Non-Veteran,Widowed,-160.17892374488292,E,-2.266839723984863,C,D,C,D,165.9366774856859,0
No,Widowed,-82.2793933562602,D,-7.243778475800535,E,C,C,B,-95.73172829334077,0
No,Married,-30.007963872928478,B,-231.70476537208685,C,C,C,D,180.71449977058344,1
No,Single,112.7145425032177,C,-45.209372906688756,D,E,E,D,-132.80274803064663,1
Non-Veteran,Single,128.66932222091512,E,-121.73826913210056,E,C,B,C,-36.002310065018165,0
No,Single,-38.82742566973564,A,-108.10260079878336,E,E,B,B,41.85465164836091,0
Veteran,Married,62.14952732208378,E,22.02046819937671,A,B,D,C,-90.99369302510117,1
Non-Veteran,Divorced,71.33984328921534,D,84.82620901044271,A,A,A,C,92.91717229588795,0
Veteran,Married,59.381884853846145,B,-44.88050884307635,C,A,A,D,28.751312060931113,1
Yes,Married,-79.22378310086961,A,171.80959989894328,B,E,D,C,-178.1380104743602,1
Yes,Married,-126.04663548415891,B,50.564105601632434,A,C,B,E,-43.924720911161984,0
Veteran,Married,-121.49189090817877,D,-130.32759313946107,A,C,B,C,-209.4898020568205,0
Yes,Widowed,145.66123006328579,A,-52.05712286281168,C,A,A,C,173.862552935902,1
Non-Veteran,Widowed,70.42773652434626,D,19.524772410579303,D,C,A,E,17.48355662350798,0
Non-Veteran,Married,68.93118055580698,B,-77.88795371124087,A,E,E,D,-135.318009538497,1
Non-Veteran,Widowed,12.346169231713487,C,123.31857515264839,E,D,E,D,86.63316402688802,0
Veteran,Single,55.17670541171985,C,-15.061482309802146,D,C,C,D,-131.72280381323657,0
No,Single,194.49784377276575,E,36.64107378717888,E,C,E,C,-16.599168143866713,1
No,Divorced,-108.03703802664089,C,-0.6703508438203752,C,E,C,E,-205.5942599998912,0
No,Single,-112.92312295348832,C,16.313612866761144,B,C,A,A,31.184360627674273,1
Veteran,Married,83.26534664454677,A,91.58355689151672,C,C,B,E,19.505226729483148,0
No,Single,-88.14662995968618,E,-75.29023159626242,C,A,C,A,4.415522190408327,0
Non-Veteran,Married,-157.94733347208916,B,-170.61772956966095,E,B,E,B,-140.76516421264753,1
Veteran,Divorced,-1.0966522507541372,A,46.67755431494576,D,A,E,A,-43.01298126062614,1
Veteran,Divorced,36.96804177772846,C,15.501040133154879,D,E,B,A,41.582513095066886,1
Yes,Single,177.75319468819262,D,92.99971482329404,E,A,B,E,33.606892293260366,0
Yes,Divorced,47.650007752040054,E,59.000446495703606,C,D,D,E,-37.31962333711464,1
Veteran,Married,80.97691192827774,E,83.38781416397481,C,B,A,B,-151.64603424431039,1
Yes,Married,-59.55977939110435,A,-12.943268912811604,C,E,E,A,-81.15772925642342,0
Veteran,Married,-125.38028392555303,B,83.62388399078287,E,C,C,A,88.67509268031274,0
Non-Veteran,Widowed,-157.2430818644292,E,-29.79138833580532,C,D,C,E,84.81771113516355,0
Non-Veteran,Divorced,64.78539440556462,A,204.46744755505725,B,E,B,C,201.503098521817,0
Yes,Single,58.80357222751873,C,-120.63640507628949,A,A,B,B,1.0449464879444017,0
Veteran,Married,7.217102509002833,C,-39.35312933143591,B,B,A,E,-134.34571078804228,1
Yes,Widowed,149.89653473411954,A,6.982992837463529,C,E,C,B,-11.029193117717009,0
Non-Veteran,Single,60.41369822525322,E,-66.24495776558568,D,D,A,B,215.22173365744752,1
Veteran,Single,-55.376985557299626,A,-157.29051646123435,A,E,C,A,-13.115258848951472,0
Veteran,Single,-89.74732247106647,D,-98.0366318073869,B,A,B,C,-63.12257190488505,1
Veteran,Single,20.382941114071304,B,152.58326223472196,D,E,B,D,-121.57389422976999,1
Non-Veteran,Widowed,-144.72829609127848,D,-180.51778102493202,C,B,D,B,-204.33621242486396,1
Non-Veteran,Divorced,77.47907622269672,A,141.37803133887402,D,E,A,D,-39.83326432835245,0
Yes,Married,-8.42679031892509,E,-17.867670067043555,D,E,D,C,11.984958602877379,1
Veteran,Married,2.45156721426199,A,-65.24673966756966,D,C,A,B,21.209926103576958,0
Non-Veteran,Divorced,-123.44277617718137,C,231.93970753849538,D,E,B,C,33.488760786216055,0
Veteran,Divorced,-157.8259472650577,B,-31.963119563869196,E,B,D,A,-35.66413908281197,0
Non-Veteran,Divorced,-30.443910575981093,B,48.14837465263288,A,A,B,D,-48.2259803159901,0
No,Single,26.427592643091618,E,-89.21681935564074,C,D,D,C,-133.88571404249043,1
Non-Veteran,Single,121.94344784816877,D,-65.82633613407694,A,C,D,E,103.64223058820284,1
Non-Veteran,Widowed,-209.63072240136538,D,-72.53413458071724,B,A,E,C,114.52683191444922,0
Non-Veteran,Divorced,33.6224114164386,A,-138.88806162800503,C,E,C,E,-44.357261440064214,0
Yes,Single,-23.51554515650262,B,62.46977671492513,E,E,C,D,142.33137829121029,1
No,Single,79.89688728492852,C,22.82416315559435,A,A,E,D,41.23587269952706,0
No,Divorced,-219.84044550588968,A,-77.92728621993004,D,A,E,C,104.23531006899111,1
Non-Veteran,Divorced,108.1479035532366,C,121.52068121225679,B,D,C,B,2.4525727509886233,1
Veteran,Widowed,39.53477725997623,C,3.7281450670124126,A,D,C,D,-201.37508006517052,0
Yes,Married,28.4098505198787,B,104.83472887155223,C,D,D,E,-100.49543146701755,0
Veteran,Divorced,292.6456254057767,E,40.450257280279736,D,A,D,B,74.21685782343509,1
Yes,Married,-26.069205466378765,C,101.1685557202705,E,A,E,D,-25.278380866875487,0
Non-Veteran,Single,114.38444876616829,B,44.92527292542004,D,D,D,C,15.753602498496381,0
Non-Veteran,Divorced,69.90469668625346,A,-89.44244855392263,D,D,E,B,-211.326861230727,1
No,Married,-5.127225138018645,B,-33.062805649744455,A,C,C,C,-12.620953375475551,0
Veteran,Divorced,-7.907593814992836,E,125.0830951170968,A,C,E,A,-208.25548660575066,0
No,Single,64.85488809871079,E,104.13765021073141,C,A,A,C,-180.87626860381246,1
Non-Veteran,Single,-6.186193899965292,D,-87.3567314638097,E,A,E,A,224.79018785808074,0
Veteran,Married,48.25800104760471,E,74.08630944251743,C,D,B,E,-33.42178087239499,1
Yes,Widowed,148.08830882499524,A,66.21171123533479,A,E,B,A,56.43384862553501,0
No,Single,14.933937719895521,D,-161.3500635706944,D,C,D,D,56.68424577533848,1
Veteran,Divorced,-30.886847142446445,D,20.309970952814133,A,B,A,E,-38.977945935083675,1
Yes,Married,37.75399725533552,B,67.39840207978294,B,C,A,D,154.91512641141526,0
Yes,Divorced,-196.03114633070004,D,-82.95984112248408,C,D,D,B,64.35095617854937,1
Yes,Single,159.64204864010642,C,122.95403094571627,D,D,C,E,77.29505382303245,0
Veteran,Married,133.0398026233862,A,331.12721333939436,A,D,B,B,14.533569757674739,1
Non-Veteran,Single,-133.07122780046433,A,-9.989340625544937,A,A,E,D,-56.23425776094722,1
Yes,Married,148.15878344645785,B,56.33712493718001,E,E,B,B,-28.89897135610493,1
Non-Veteran,Single,-20.906611167311056,B,-153.06744470727625,D,B,A,E,-129.80139703127912,1
Veteran,Divorced,-18.114873526811852,B,-38.08941510401108,E,E,C,E,174.3487994135422,0
