disabled,age,religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
None,68,Christian,170.16234955672132,-52.43678738175824,A,D,84.78631893890442,21.414627455423513,D,A,B,B,1
Both,31,Hindu,-76.98297379374304,-55.46861345124648,E,A,187.9977452852586,-85.74596803258704,E,A,C,E,0
Yes,92,Other,-46.14320056482602,-5.1801800078308435,E,D,36.205344149188186,128.01483430602661,D,B,A,B,1
None,83,Buddhist,128.50899259526304,-63.22157406529645,E,E,-49.21264436057826,-65.21722904644949,C,D,A,E,1
No,21,Jewish,119.34168613489125,4.311103022067815,B,E,-20.099946092014005,76.66613640470575,A,E,D,B,1
Physical,81,Christian,-165.9904093568827,-87.39466652262766,D,A,-103.41815408996264,-56.30837683786818,C,A,B,B,1
No,20,Hindu,156.08433946086163,19.401985346510745,B,B,-3.1260042206939413,-77.53783489897165,D,A,B,E,0
No,41,Other,118.81446362854126,14.622818183422897,A,D,-53.61203369231313,44.80792710862383,B,B,E,C,1
None,89,Christian,-183.6560893642425,-113.67143904727466,C,A,142.87103014260722,4.119389390720385,E,D,A,B,1
No,19,None,-25.58991825833088,105.2678947654891,D,B,58.36333099796184,30.80082658156168,A,B,C,A,0
Yes,95,Other,-43.334677036020125,150.58695911539377,A,C,-49.83163485894759,31.2455830878142,E,C,C,D,1
Mental,19,Buddhist,23.505665644331852,71.35426863157201,A,C,63.576392242017846,50.08300804091478,E,B,E,C,0
Physical,36,Other,23.90822233815931,-55.94983329298788,C,C,-115.10380363203154,-4.485175978285365,B,E,E,A,0
Yes,26,Muslim,-90.4964909993671,37.11599784441517,C,D,26.05537423871358,237.61907860954304,B,A,D,B,1
Both,54,Buddhist,-77.74869636425143,-83.00980082437154,E,E,69.16026210803422,-160.64397233385992,C,E,C,B,0
Physical,48,Jewish,65.81936667138066,-22.264370694732246,A,D,2.6501705372459727,97.7826532719992,B,E,E,E,0
Both,89,None,-31.48342557463032,26.57870594592049,A,C,80.82752917449388,-158.31547124752717,E,D,D,A,0
Mental,96,Jewish,8.12148950592671,-130.47005271136211,E,C,102.31487185481565,34.8646745452519,D,D,C,A,0
Both,85,Buddhist,-137.1015556164089,-118.47520625072154,D,E,-36.86696497903625,2.343780379084814,D,B,A,A,0
No,40,Jewish,-95.08497906388224,196.85699079703548,B,E,83.2017557921724,82.96941552852888,D,E,D,B,1
Mental,19,Other,111.68281575545802,32.20147867578558,E,B,-11.624034601966342,-89.98075314854844,E,B,C,C,1
Both,19,Other,-93.41166639361624,135.13613840713353,B,E,-118.8224682673935,-83.14150825107058,E,A,D,C,0
No,35,Christian,-163.87795145338956,8.228481748723619,B,B,15.00703782523311,60.90035358032932,E,C,D,E,0
Both,32,Christian,-102.50133938292632,108.86599855063639,E,C,-38.37306531912935,10.75709926221135,A,E,E,C,0
Both,60,Hindu,-8.447400758414537,-100.76773182100492,C,B,65.56744812976805,-187.87914982675412,A,D,E,B,0
Yes,23,Other,59.56823250755543,-210.42549950777772,A,D,160.17027851462572,-27.556197933401954,C,E,B,C,1
No,45,Other,-79.82089088975209,-82.27067747553524,D,A,124.32544524406157,-69.60738006116628,D,C,E,D,1
Physical,18,None,-51.30388491296466,-31.91163244783453,C,C,48.00973716087131,-20.993059011761932,E,A,B,A,1
Both,76,Other,80.4947259194871,-53.1959809983364,C,B,-65.44242069012662,-19.840633147711593,E,E,D,A,0
Mental,95,Muslim,88.51369744677673,-121.6602624464119,B,D,9.55797826540089,9.994596107475385,A,D,D,D,1
Yes,89,Jewish,-183.65437189580973,74.48927178258951,C,D,47.807522024635304,72.31444883414034,E,C,B,C,0
No,55,Christian,90.37485622788826,-78.76276255831468,D,A,96.01979597721079,72.19424028993,C,B,E,B,0
Both,49,Christian,55.909734496896725,15.728180093375855,C,B,77.42677754596698,76.34829430813005,A,E,D,C,0
Both,31,Buddhist,-8.379130703392798,21.90232742562217,A,A,126.29048925943975,-216.35110450259728,D,A,C,E,1
Yes,99,Christian,-91.43988274228833,-178.21261439220746,D,B,40.970823229852414,18.175838947156517,B,D,E,D,1
No,63,None,-23.41714636311073,-34.68850937376816,A,A,19.242638288481785,-32.554048253381154,B,D,B,B,1
Yes,37,Christian,-102.79052938633286,1.2130641659575352,A,B,-59.03086061861804,-253.73629680776574,A,B,B,B,1
Yes,97,Hindu,-20.415637386506035,226.5227227316667,A,D,53.54952538169092,-25.274009512517758,D,C,D,C,1
None,90,Christian,-112.8705351323577,41.71778513317928,D,C,-141.70190594230976,78.92540585145063,C,E,C,A,1
No,91,Christian,-187.9057871923848,134.84634612634682,A,D,-108.49189382147415,124.87354110427414,A,E,D,D,0
Yes,71,Hindu,113.43691868894928,36.2930497244875,D,C,-165.4255314217273,-93.67151261423624,A,E,E,D,1
Yes,93,Hindu,4.8275937832773135,-135.77428954904036,C,E,-142.9273960369061,-11.31079438613162,C,B,B,B,0
None,94,Jewish,-90.23324230627814,85.7838419204346,B,A,-105.24838136581376,-8.527664023211937,A,B,B,C,1
Physical,99,Muslim,-106.00070893553522,-107.34433711440907,C,B,153.39254915287833,-60.37635930585618,C,D,D,B,0
None,76,Christian,-98.18050600401396,-122.30468566133304,C,D,-135.04418935870467,118.43509004144033,A,E,C,A,0
Mental,63,Jewish,-280.2446125750557,-36.87910067024435,B,A,-119.11798758146244,-45.270301467174654,E,D,A,D,1
None,31,Hindu,-67.24443515761483,-112.80273567916117,E,B,-30.427700671637513,85.10606650546093,B,D,D,D,1
Mental,96,Muslim,84.34594400879314,-151.1294253706915,E,D,-44.856853567205285,-168.77824877851873,E,A,E,D,1
Both,78,Buddhist,-16.772807234658803,-9.80162671742045,A,D,2.9023691364239617,-0.8485046678744269,B,E,E,A,0
Mental,97,Buddhist,-25.800737841802285,19.184467218129026,D,D,139.40457162853693,-23.426791474115856,D,E,B,C,0
None,62,Hindu,-34.59953503360772,117.46172838675612,D,D,-0.09708468601438996,-30.76622135791726,B,C,A,C,1
Both,29,Jewish,-42.97212943986874,109.21740522425006,E,D,71.1613740290146,-52.53219326994063,C,E,B,D,1
Mental,96,Christian,127.46680144517673,-130.3070780066709,A,C,-7.14986350253126,-19.090776466504906,D,D,E,E,0
No,87,Christian,16.236564999503713,86.26533719402005,E,E,57.83715478468389,42.058273603898265,B,C,B,E,1
Physical,49,None,-189.18240636801698,37.17321831674933,D,A,148.42814215656574,20.733873508187752,C,E,B,E,1
Physical,48,Other,52.19013143242878,-151.52789486020552,D,C,-26.5608577423939,-140.668330238647,A,B,E,C,0
Mental,70,Other,146.89632416432957,-29.29030363899372,D,B,3.2535227256095043,58.69141455499035,B,B,A,D,0
Both,19,None,-5.998869070670651,7.045247565063313,C,C,-5.210423231864851,-113.25099841639008,B,D,C,D,1
Yes,34,Jewish,92.88618488530707,75.07958675778988,A,D,-65.49134155690044,-23.69949224066164,A,B,E,A,1
Physical,92,Jewish,-0.5419683448261857,-41.72127213531572,B,E,82.9571466184366,-150.83069408006713,C,D,D,E,1
Both,36,Christian,70.48745318455609,12.599339334220463,E,B,-219.32175990833477,145.40975078374098,C,B,B,C,0
Mental,87,None,41.23568087303639,6.616183742801815,E,B,-65.25572153058002,2.616454668531689,B,A,A,D,0
Mental,43,None,54.5762623640117,-54.91857052311562,E,A,-15.19401582756105,11.812716838068301,E,C,E,B,1
Mental,63,Jewish,56.64366024486734,92.88641995070583,D,D,41.247171370670735,-147.1023508417044,C,B,A,D,0
Yes,23,Buddhist,-138.80720939597055,96.58055025639737,C,B,27.896421922286844,78.07301666612207,D,E,A,A,1
Physical,61,Buddhist,-34.25582036947166,-69.75529712652542,C,B,23.78239124269717,75.24298798584684,C,C,D,D,0
Mental,47,Jewish,49.855331364571256,-92.87641877387398,D,B,57.784041358570214,-46.768118550521415,C,E,A,C,1
Physical,69,Muslim,-163.02845445769813,57.92779150633692,B,E,24.329327365917422,-28.9879128872261,A,D,C,C,1
Yes,78,None,-82.19299550638554,89.7593939921458,C,B,-66.83101537731255,96.58887061830966,B,E,B,B,1
Yes,45,Christian,74.42830203969277,173.33047542890873,E,D,-145.73733872215735,122.72415738675377,B,E,E,C,1
Mental,81,Buddhist,-116.11566230098447,-16.219731328241384,D,B,87.95129208063223,-33.5887073869659,E,B,B,B,1
Both,45,Buddhist,100.90588713416496,123.79922096223619,D,E,-25.57015335838656,13.569277862081169,D,C,D,C,1
Both,54,Other,-156.7178910872612,82.73516084005395,D,A,-57.87969225842973,-65.56387426107966,D,D,E,D,0
Both,28,Muslim,96.86694419952458,135.23122575493474,A,C,111.40648057379934,-35.9759148336425,E,D,B,D,1
No,59,Jewish,-32.530645711365516,15.320017089077886,E,C,-58.82711142804208,211.57176152391156,D,B,A,B,1
Physical,80,Buddhist,18.572088580811535,-120.61991160599162,E,B,39.62333291766253,-116.13399307957395,B,E,D,E,1
Physical,92,Other,178.21588739248335,31.717666346400485,C,C,40.2789264534326,-57.33427454994272,E,B,A,E,1
None,32,Buddhist,-39.888869156354666,58.24452273457873,B,D,-69.51308964755722,24.649430819820473,C,C,E,D,1
Physical,34,None,-61.14057329771156,162.05721324945156,E,A,-12.580547032574726,96.06703930603703,B,C,D,E,1
Mental,96,Buddhist,-55.76544902385508,2.0930036523759017,D,C,-65.72986616373959,-18.672376804026282,E,A,B,D,0
None,93,None,-27.62476824687692,-179.66036005344216,A,B,24.254634973841746,-184.01565848847983,A,A,A,A,0
Physical,51,Other,-69.91155860460891,-48.463675311256004,C,D,-73.80273106856384,-46.9383943656477,A,E,E,C,0
No,34,Christian,-6.505786971898194,-82.14189532351425,A,D,33.03266498637629,-123.7897594003885,E,A,C,B,0
Both,94,Jewish,0.45895970587170754,-30.001987238282457,D,D,168.0285706637677,119.47576257177963,E,C,A,C,1
Both,70,Hindu,-260.6879754019867,190.83292428154036,B,D,183.023517938373,-107.27638022903949,D,C,D,D,0
Physical,54,Buddhist,-99.3278016546013,20.93511655731625,B,B,94.63254302134888,-142.6267446269207,E,D,D,B,0
None,85,Christian,4.216396809006263,-50.009280475038445,D,D,91.56037649001452,8.580234466590982,C,D,D,D,1
None,26,None,-74.29711708022263,-52.92785813211659,B,C,-53.28551933138398,9.646515571572541,D,B,E,D,1
Mental,38,Jewish,-127.41387538867815,220.78411290907732,D,E,-18.97233905626691,82.55373203990641,B,E,D,C,0
None,75,None,66.9121546523828,10.918583249878862,A,D,19.77962890820303,67.50619119168604,E,D,B,C,0
Yes,52,Jewish,-116.70841326299404,240.7163871845612,B,E,-176.42855541195732,-46.85052763659644,A,A,C,E,0
Yes,90,Christian,34.39978302727541,-31.504555957304298,A,B,-13.029770192544266,-90.50094366620468,D,D,B,E,0
None,83,None,-13.686551568319578,23.673867476682968,D,C,-23.506259367600478,208.06615155068445,C,D,E,E,0
Yes,44,Christian,20.978102696831193,20.830584216577165,A,E,-50.369744622925474,8.418570124996863,D,B,D,E,1
Yes,78,None,-146.69948753043167,57.02894575292514,A,B,40.68997446887422,102.03830974962129,D,B,B,C,0
Mental,94,None,4.4684229158822175,-126.99136621427758,E,E,125.48277940463709,-91.2848889180925,E,C,E,E,1
Yes,33,None,-96.7447272736922,35.4967128937749,B,E,-175.9586522875474,93.03237804638879,B,E,E,C,1
Mental,78,Muslim,45.732934709495176,-98.71223416055767,D,B,84.60102966924161,23.415717054077547,D,B,E,C,0
Both,68,Other,182.67575185416592,-30.437795904072303,C,B,17.58463480635377,56.083272733425574,E,D,C,D,0
Physical,29,None,-200.3771249027487,-65.46046301187292,D,D,80.96618601001755,146.16973171634314,B,C,C,D,0
None,75,Muslim,5.332211560227128,0.8321868948158962,A,B,248.05311636312047,102.66029346950756,B,C,E,C,0
None,69,None,-6.475094918278764,-36.06982614722221,A,D,-38.755592873645675,-58.29798315975264,C,C,A,C,0
Yes,80,Hindu,50.04830423077517,84.22020431764598,A,D,2.952134238993507,-78.77634610011505,C,A,A,C,0
None,40,Jewish,-93.51098389683668,15.461113314225065,C,B,-8.601009993417685,114.9117655795373,E,E,D,C,0
Mental,18,Other,76.11883177733662,-116.64380327653457,C,B,-63.68332423367724,31.64001583121471,B,A,E,D,1
Yes,82,Buddhist,16.775718304660554,123.57334877521822,A,B,39.835801561984646,-231.25589536224186,A,E,A,D,1
Physical,51,Jewish,139.92358720048495,-77.93374194835168,A,D,26.219204915450415,50.090498176080224,A,C,E,C,0
Yes,74,Buddhist,37.12786241024132,39.60352740222605,E,E,-28.657365978061872,-24.198827908574383,C,B,D,C,0
Physical,33,Other,-56.784228585205966,-41.70277852913911,B,A,193.0871721876117,-33.13485882906766,E,E,C,E,0
Both,62,Muslim,-23.345379981835514,-26.80751617145654,A,B,-139.4558982819941,-11.122104110110245,C,E,D,E,1
None,73,None,89.55905968229449,-28.963247291041007,D,D,-130.42722003785266,-21.1214988853305,B,C,D,D,1
Physical,40,Hindu,-40.8758423877808,-159.41381725364369,D,C,-59.90833797536885,41.07947765727686,B,D,E,E,1
Yes,63,None,151.2199179733996,-46.93318162826676,A,D,-136.5570007821279,-3.2536350723673135,B,B,D,A,0
Physical,77,Other,44.10503029655704,-133.88782930463216,E,E,166.82001901537512,28.77122886114754,A,B,A,E,1
Physical,33,Buddhist,63.77844926681405,-36.63679255599601,B,A,30.037051182602102,-98.18796506575957,B,B,C,A,1
Mental,21,Other,35.40316697357982,-163.4151671369942,E,E,100.45214167315268,-37.96941811477367,B,C,A,D,0
No,41,Muslim,-39.534354926272606,-55.262756146995116,A,C,42.16698688269537,-62.60196820646547,B,A,E,E,0
Yes,26,Muslim,-26.876776436033094,-52.8366307098937,C,C,26.157762041845405,2.876740616055212,D,C,B,A,1
Both,80,Other,53.34435418207938,129.26539641060222,A,B,16.234345928374438,-141.29725955422427,A,D,C,A,0
None,32,Hindu,10.433110413023469,-47.050424657292,C,D,46.88168126477617,-158.08758982136598,A,C,E,E,1
None,23,Buddhist,-24.083571237253317,0.816790728060319,A,C,-4.328753002962689,-14.200627597474295,A,D,D,B,1
None,20,None,74.55934341234928,72.36455381385517,D,A,-29.082107298755634,48.33395314703534,C,B,E,D,1
Yes,45,None,83.81614845398325,-82.09305998277785,D,A,111.80872365548373,5.259407042279357,A,E,E,E,1
Mental,46,Christian,-70.90888343294355,34.911783325558304,A,E,-11.574514414602758,17.02745865600548,A,B,C,E,0
Mental,92,Jewish,-44.83917257068679,163.66964879880106,E,D,-113.50946689208412,-131.8422533114913,B,D,A,C,0
None,22,Buddhist,-26.976706502901106,59.67304973254417,D,D,19.727025700736682,101.19889034813035,D,A,D,C,0
Physical,61,Jewish,-120.93893992821016,111.9292180793237,A,E,-34.41603670490727,22.162395331470293,B,E,C,C,1
Yes,96,Jewish,61.1425970802103,-165.67180330311032,E,D,28.33246510826316,-25.43125274267431,D,B,A,B,1
Both,33,Hindu,-74.87129927704572,36.04330372988445,B,B,-87.1592404562877,173.2173562822834,D,B,B,B,1
No,42,Other,-54.69587256955116,64.70271836551782,B,C,26.906518844631922,-88.13915724502763,E,E,E,E,1
Physical,73,Buddhist,16.186743508856946,-43.72238018865355,A,B,-46.53746316902759,-27.969226404292176,B,C,C,C,1
No,23,Christian,181.87765402660804,120.85731882429727,E,A,-81.04900911028892,110.60718198721713,A,B,A,B,0
None,27,None,-35.849571133760186,127.53913131576098,E,E,94.567962345065,208.06845969983786,D,C,C,D,1
Both,85,Christian,59.06229928296843,-201.39682115171942,B,E,-12.63525236390993,-123.13059464680047,D,D,B,D,1
No,93,None,29.1784594646128,-35.37693337222339,B,C,-7.074104808576433,-49.58035752837295,A,C,D,E,1
None,34,Buddhist,-18.275856946132084,-44.44847095902992,A,C,53.077405150725866,-105.30798904736372,B,B,E,B,1
Yes,90,None,-20.200129217311577,212.37868852690144,A,E,32.27948121598541,303.5311934793068,E,A,C,B,1
Both,27,Jewish,-198.9754685850321,48.63623731285595,A,C,-112.51394041428114,-211.65776561138188,B,D,D,E,1
Mental,99,Jewish,140.13426295498317,-91.29207897835492,B,C,-50.05771794167387,-63.6063556877519,D,D,C,E,1
Physical,94,Other,-50.08726117389944,202.16719977543076,A,D,-16.51169461670475,137.95462572063678,E,D,B,A,0
No,95,Other,88.53608693862135,-140.76101041807908,B,C,19.181189046688075,134.82331907733553,D,E,E,A,1
Yes,23,Buddhist,57.882210339007315,52.75605028842635,C,C,79.13724390691196,-79.04948692346534,E,B,B,E,1
Mental,62,Christian,-25.734716040134465,53.82194231577391,B,E,-136.86308788600815,-86.53036330968092,A,E,A,A,0
Physical,97,Christian,7.293058482754397,55.636580714687454,A,B,-91.49327630963062,-57.288612930774555,D,B,E,D,1
Mental,21,None,-48.97858808321696,2.3620846998724647,A,D,-103.67386250745736,-35.345170208629995,C,E,C,C,1
Both,51,None,122.89969624647608,95.37632645167807,B,A,101.40014856965284,-40.607885824269744,A,B,E,A,1
None,44,Jewish,127.87469973417747,-152.2352173729988,B,B,79.13632027432436,86.25595764464722,C,A,E,C,0
No,46,Hindu,7.235002271127751,-23.059315594662642,D,C,130.17022813974867,-53.44754214980063,D,C,B,D,0
Mental,41,Muslim,-94.28040936375434,6.522173010515393,C,B,-3.6454023364289734,152.4974742459919,D,B,B,B,0
None,25,Jewish,-56.935353266998355,105.11966893178015,C,C,-68.17699785119252,69.87749953485108,D,E,D,E,0
Mental,49,Christian,84.48941589944938,-79.00697486134456,B,A,16.744012289134204,-17.31854867751344,D,E,E,E,1
Yes,67,Buddhist,-27.460006321518527,-54.56422014776495,B,D,42.79683664114805,-43.65920453851665,A,C,C,C,0
Physical,74,Hindu,-2.460536526718781,-65.74929056060358,B,B,106.47009413711595,13.795953538443001,E,C,B,A,0
Both,34,Buddhist,-109.3828889779726,20.71485403424032,A,D,30.240618300358584,59.80849132915929,D,D,D,B,0
None,76,Hindu,-41.713139069958956,36.88081308757855,E,A,-1.8677408849959947,-77.47731987688258,D,C,E,B,0
Physical,98,Muslim,92.18551965144754,1.025485518678551,C,E,-132.96676596751527,3.5273672301995034,E,A,A,C,0
Yes,46,Muslim,-223.80928799627105,-61.90459397829724,E,B,-6.145862327051653,-21.785658325706997,C,E,E,B,1
None,62,Hindu,9.867829804884392,-12.45613359965679,A,A,50.18084562506534,254.03017201908506,E,E,C,E,0
Both,25,Buddhist,-23.245443036550377,29.272970234401136,D,A,163.9388112011982,76.09198886041837,E,D,E,A,0
Physical,36,Buddhist,-35.83820220651885,154.0268986688464,C,A,-48.69821678421951,-7.377309747765174,A,D,D,B,0
Yes,89,Jewish,-20.187201614784584,-13.263769696320255,B,A,-66.11697522831366,22.520545853289413,A,C,D,D,0
Mental,38,None,-124.95125028757845,-91.47831781818158,D,B,-132.7122677001739,-160.35636417739255,D,D,E,C,0
Physical,78,Muslim,278.9970790291557,-118.65689879937334,D,D,-14.835037190654058,-58.791581957345386,E,C,C,C,0
Physical,18,Jewish,137.83355777112118,-152.94635080890296,E,C,72.02362636828063,-117.39108817494888,E,B,C,D,0
None,72,Buddhist,42.810517030501686,17.653955983641893,D,A,56.32987055166605,-123.89779271749673,C,D,C,B,0
Both,37,None,-45.439534675427886,-69.9261136912855,D,C,-261.4803794647995,27.845259675440193,C,E,D,D,1
Mental,19,Muslim,82.251271037067,117.02886703711934,E,E,-124.01142097744442,134.36291289477953,D,C,C,B,0
Mental,53,Hindu,-58.588322503215885,62.5893089943385,A,B,39.280232319932864,56.930285837699024,A,C,E,A,1
None,41,None,69.51222000044672,156.23681579314814,E,D,-245.20233048215349,-98.71587131374385,A,A,B,C,1
Yes,33,Buddhist,-6.189882539050906,76.32259247910794,C,E,65.80288652896122,-113.13928773069894,B,C,B,B,1
No,47,Other,182.84861359932057,-51.40817760066495,B,B,-74.61464328060703,-26.06445504704159,A,E,E,A,0
None,43,Jewish,-33.093009001363235,14.525369687684611,E,D,166.09925314267429,185.05954446196367,B,B,A,A,1
Both,18,Christian,21.866016902074843,18.591516273186944,E,C,-63.72948457555658,-109.85912517480243,A,B,C,E,1
None,21,None,21.424592458536686,-117.31092760608787,C,C,-113.23749573891759,46.146087213373995,E,D,C,C,0
None,39,Hindu,116.0076702100145,28.30263651389537,C,C,-48.16939037244703,75.75057207367524,D,C,B,B,1
Yes,19,Jewish,-31.191191478857945,115.3713278279207,E,A,-44.47599504842229,-50.75551437854372,C,D,C,C,0
Yes,81,Other,-19.866340248581302,-17.75725136251683,D,C,86.57618828565799,-94.37102745977418,A,D,C,D,1
Both,81,None,93.29592051205066,-111.05232000040546,B,E,160.7974254909225,-55.68078440755529,D,A,D,D,1
Both,65,None,176.44758699017598,-27.551315849745833,E,C,-157.54221805678253,1.6546710863646965,C,C,A,B,0
No,40,Other,-179.13201910254764,-158.30430095148628,D,D,274.4637816107211,114.30805722070141,A,B,C,D,0
Yes,59,Jewish,160.40021693629456,147.82208409778806,A,A,58.73429421287549,68.23003007733989,C,A,D,D,1
Both,84,Buddhist,77.28160272242806,-128.24027340483403,D,B,54.42485408802838,-126.30334580511713,C,C,E,D,1
Yes,71,Buddhist,-7.908161201188031,65.41369515048949,A,C,85.57393116098325,-183.45405489837552,E,C,D,D,0
Mental,91,None,-122.24862630031001,127.63176761338282,A,C,43.23946213381596,59.540644574795905,E,B,E,D,1
Physical,40,None,63.032044335166994,15.690126142291797,D,D,-27.447747632846113,28.690911804213957,B,E,D,B,1
Yes,63,None,53.35506741790639,-110.03812138373246,C,C,-167.84424963938088,-21.939450452170902,A,A,D,D,0
No,27,Buddhist,-8.731815643966252,-143.56465290782518,B,C,33.67137878214393,158.25365735036533,C,A,A,D,1
Yes,86,Christian,15.017495543685538,153.17929722977655,D,B,-6.075291947419722,168.95495290538446,B,B,C,B,0
Mental,99,Other,64.53310202499702,-25.772138557464103,E,D,-36.9633249770237,-132.25677625239166,E,C,A,B,0
Mental,73,Other,-33.61449862745134,90.23582122124262,B,E,44.60183032404556,34.5695764132368,D,E,A,C,1
Physical,57,Hindu,20.57560334720568,3.3273326990774836,E,D,111.3975450099008,-49.09756798526574,B,E,E,B,1
Mental,24,Christian,35.9775451356148,86.76033328524223,D,E,27.08282523535839,10.324598225343532,E,A,B,D,0
Mental,31,None,80.34227732433588,-52.635805308935765,D,A,3.2389324025119333,-12.773471210860295,A,A,D,B,1
Physical,69,Buddhist,20.396631187823836,-192.7093275886545,C,D,111.327040270608,-0.8753964953550485,D,B,B,B,1
Physical,50,None,-183.70796989382856,-87.87449713840498,B,E,-35.9491625136373,28.263731832010603,B,A,A,E,1
Physical,42,Jewish,19.287261338713282,106.2211990763553,C,A,89.51315948791849,8.849907201222951,A,B,E,D,0
Physical,77,None,86.24870836889663,144.69405610826013,A,B,-46.03175666329541,-42.71575989553637,B,A,B,E,0
Both,40,Muslim,16.558453663659336,-92.49700412627064,A,D,-223.87945270119025,13.14271186424162,B,C,A,E,0
None,54,Muslim,60.94380225362387,-63.36092802629165,D,D,-5.4624163079914885,64.88742122743845,D,C,D,E,0
Both,94,Buddhist,93.44594637855256,49.834392894846005,B,E,-79.03804919283543,-86.74508854195359,C,E,E,D,1
Mental,53,Christian,109.7072974008418,-66.05248234006048,D,E,-132.6206215829514,-70.8275349049151,B,D,C,A,1
Mental,29,Christian,-147.971048920862,47.74586799767776,E,E,23.27948556403762,-80.5606677468654,D,A,A,A,0
Yes,60,Buddhist,4.9819286645967615,-33.82105407562646,C,A,-120.6411011942089,24.347696345185145,B,E,E,D,1
Yes,52,Christian,50.25690112756541,-36.264303920374886,E,B,-9.646029461278513,-93.55765452154465,D,C,C,C,1
Both,29,Muslim,-1.162353544557287,-53.11809287863068,C,B,-69.9020160737785,-42.85891017956227,A,C,E,A,1
Both,28,None,11.558438326966678,264.1472888647474,E,E,-66.71758841972375,-33.479841032655145,E,D,B,D,0
Yes,44,Hindu,62.80432177641714,40.21914477580098,B,D,-112.76647313552903,-136.02244840692384,A,B,A,B,1
No,31,Jewish,89.30594404309774,54.91758060369154,A,E,-12.409089057581536,210.65791856764284,C,C,D,E,1
Yes,24,Hindu,1.0894011701119783,-118.27285203166788,D,E,136.87412053501578,63.65685973750915,D,B,E,B,0
None,57,Jewish,25.027565334567164,169.19128902525526,B,D,-51.89193773555765,-38.36088326706634,B,B,A,E,0
Both,64,Other,-121.5391680774783,-125.4271084976972,D,C,-19.750993595433567,-35.74198030109709,A,B,D,C,1
Both,93,Jewish,24.781594332945456,60.99038617697987,C,D,-56.17983226403008,104.66844786278438,D,D,D,A,0
Yes,48,None,-65.65644973839942,210.49124971467145,B,C,-48.12639686444951,122.018574269631,A,B,C,D,1
Yes,52,Christian,-109.68936107771943,-246.84207344654175,C,A,-142.4560770835651,50.746769038716685,B,B,A,B,1
Physical,31,Jewish,45.62477852002709,50.932927693765585,C,B,-6.285152149238321,-146.17941058582704,A,D,C,D,0
No,75,Christian,-73.97534076136236,-21.231680340751463,B,D,7.429254165713092,46.877624985917976,B,E,C,D,0
Mental,56,Buddhist,-47.242327083875004,157.73678747306087,E,E,61.82462307823179,140.47392571176994,D,C,B,A,0
Yes,46,Christian,32.453002698956254,152.82083844435104,C,C,50.179837701701366,-66.89821435800049,C,D,A,A,1
Mental,97,None,181.2471946562876,189.81494848449464,E,C,30.454766140987637,-78.2208582515185,B,C,B,E,1
Physical,32,None,-45.75786188951932,49.47095066503645,C,D,-96.72965983886624,75.88215762555762,E,A,B,E,0
No,46,Muslim,-9.335810886029664,31.85865386003588,D,D,-1.5732082911740983,137.63366686920565,C,D,A,B,0
Both,34,Other,-65.52377977221758,-186.30008913990048,B,E,-97.55905157234297,162.11695807862714,E,E,E,A,1
Both,97,Buddhist,-288.26929036111693,96.28062220533863,E,B,-17.237807843426207,-31.578591530329447,D,E,A,D,0
Yes,22,Buddhist,35.52418944727298,-112.69263119410596,D,C,-58.06266908678261,-0.03867848590751076,D,B,D,E,0
Physical,59,Muslim,15.418990690132942,-26.55913838009828,D,D,181.1187132751963,33.924774966304696,D,B,D,B,0
Both,73,Christian,-4.369209787377572,-105.96627596587797,A,A,142.65166962885075,-88.65163492356038,E,E,C,D,1
Both,58,Hindu,45.00924695501822,-49.443332092528976,E,C,11.382088339556049,-106.7752027558605,D,A,B,C,0
Mental,46,Buddhist,-60.24442054232557,-165.63886859123082,E,D,247.47773720959455,156.84464008264723,B,B,C,E,1
No,82,None,-19.600621891875218,-30.472058514194472,C,C,-86.44640477733209,0.8771164411017398,D,C,B,E,1
None,75,Other,91.29607881074912,71.55201077876781,A,C,-18.098373725107237,-13.283168686418122,B,D,B,C,0
Mental,71,None,75.44799940218103,-13.15811100354398,A,D,-207.0458039689,-78.8333458689715,E,C,D,C,0
Both,96,Hindu,53.847227372165385,65.3783929284096,A,A,-27.28456136959037,-73.03058072305055,E,C,D,E,0
None,79,Jewish,-64.8675298774972,-100.58157195248103,E,B,31.538242604387346,-56.20167433852511,D,B,D,E,0
Physical,72,Other,-79.78727792950167,120.20050308802743,E,E,260.1899698976211,18.240710752472463,B,A,B,C,0
No,52,Christian,-186.8648285944685,34.00227766907161,A,E,-88.44428379437457,29.73398355881586,E,B,A,B,1
No,83,Other,119.38624677469174,-45.81450980945665,D,B,252.03794551611392,-76.06779123583098,D,A,E,D,0
Yes,28,Hindu,-26.06319124195922,-16.341357124095115,A,A,-171.44283905813953,-4.597981441358977,D,A,B,E,1
Physical,33,Other,-41.17499645528842,49.64291772150355,B,E,-76.45525368098815,31.914766752440833,D,A,D,A,1
Mental,34,Muslim,56.92550092709736,2.3865204923865146,E,A,175.2182664788903,-77.34327623107052,A,B,C,B,0
Both,88,None,70.7737086784835,-142.44306536254444,C,B,29.38706897547889,65.5370761894737,D,E,C,E,1
None,50,Christian,-72.67892473446577,-66.75135600082359,E,B,142.13137509338185,76.84318573134462,C,E,B,E,1
Both,79,None,-144.12178423554113,132.09821866975898,C,B,50.151626492163395,-66.83338144034725,B,D,C,B,1
