Veteran,nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
No,China,C,50.84134807838346,86.37706020642483,-27.731433123658306,E,C,D,A,A,C,-64.56428872382952,B,-54.52006040138059,E,E,5.113727374848324,1
No,Germany,E,-25.30390998814657,-140.03101194124767,-82.07233186169428,D,E,A,A,D,D,-114.85680783309442,E,-27.00708390233232,C,A,73.7850934073556,0
No,Germany,E,-87.39717309797284,-1.74968888211279,-165.4237715232633,B,B,D,D,D,A,144.3426893954889,A,-37.47191487558998,C,E,101.90900065710964,0
Yes,Brazil,D,123.35908784982092,-178.79606525337098,164.51967215476026,E,B,A,B,D,E,97.70828866067838,C,88.53263643315553,C,B,65.35216680737562,1
Veteran,China,B,-29.445414913368612,-31.80176860512274,-221.6669486499562,E,C,C,B,A,A,-285.83395660739177,A,7.18076937346234,B,B,167.63765544897566,0
Non-Veteran,China,D,-54.78299735309932,-21.00451098564764,-100.04247144413083,D,A,A,C,E,C,-102.40225515144523,C,-84.44354112823041,E,B,-118.59891476940427,0
Yes,US,D,-18.604786073199733,100.62030130510713,-37.811410600723086,D,E,A,A,A,E,-21.487417917135794,A,-45.768088281979374,D,A,-15.563558921976764,0
Yes,India,D,96.71628308812873,-115.47059126238521,106.48081049681628,B,B,E,C,A,D,56.536740374395336,A,46.375729582185556,D,C,251.9765440383085,1
Veteran,India,A,-53.38688374807911,79.30610313779147,100.42116225640501,B,D,A,E,C,C,-77.74054403509749,C,-42.84141504507335,A,A,-63.743480478879455,1
Veteran,China,B,-270.8557743205214,-82.7046111583168,-47.96139666268839,A,A,C,B,E,B,245.89240934996903,E,71.6161957662873,D,A,33.8674647492674,0
Yes,Other,E,-74.95936695071784,53.59069432504122,64.9395711919938,C,D,C,E,B,C,-92.59058335548681,B,5.531731951176394,B,D,-81.76870033089233,1
Veteran,Brazil,E,29.33277390614293,-26.01446867408438,135.79625215739634,C,D,B,D,A,A,-118.68093025944697,A,-7.311832189177181,C,B,-135.84588749108696,1
No,UK,A,90.43042468885128,83.53897423387858,47.653852492882336,D,D,D,C,A,D,163.3465884925103,B,-28.125645242175374,A,C,-134.2593714970886,1
Veteran,India,C,-152.4857014970197,212.2433697512856,-18.93264556131226,B,D,A,B,A,E,-44.827739961814686,B,-118.29763552326864,B,C,136.97402590710809,0
No,Mexico,A,-147.51706999612955,49.70111235976898,-78.68711234422291,D,B,A,D,B,D,13.962812165965932,D,158.76449993626025,A,B,-62.96721665805334,1
Non-Veteran,Germany,C,139.8284898636279,-125.11069166097208,85.50005896693861,B,D,B,D,A,D,37.33344871532475,E,100.08327876990013,E,D,27.772944988680987,1
No,US,A,77.86626459426233,64.11655743924788,104.7419860007581,D,C,E,E,E,B,-69.40515219248292,C,22.538649181157,A,D,75.67263091431296,1
Yes,Brazil,B,54.41348090628261,-66.63561188240904,13.058361110915174,D,C,C,B,D,E,11.390140739176164,C,102.11934034793362,B,A,-87.84609636071279,0
No,Brazil,D,-75.72416114211603,81.16851546372132,-55.41916480099919,E,D,A,C,C,E,9.178338516792357,C,-122.9151656611296,B,D,140.57219209715248,1
Veteran,Other,A,-30.542766813098655,62.255789630959555,129.21019277272936,D,A,D,E,E,D,-76.73088735490434,E,-40.42588282504947,B,C,43.8560493330378,1
Non-Veteran,India,E,-128.15708308939307,104.08432715509248,101.50072838569744,E,A,D,A,E,C,-44.600529348088486,B,-160.1549813576986,D,C,79.08250034301648,0
Yes,Other,B,145.69347184427133,91.90218883647938,10.417400686412595,E,E,C,E,B,B,-77.09037138915605,B,36.1307504127611,E,C,39.44213825509263,0
Veteran,UK,B,67.67922334676227,-30.87108989805157,-78.25689231020057,E,D,D,B,D,E,-27.223287710797067,A,-111.60112870815031,A,B,33.36197647415673,0
No,Germany,D,-36.433796874194286,-189.15654648730913,40.78035197017639,A,E,A,B,E,B,155.06031103555267,B,-230.47284184349604,B,E,-73.25900848983116,1
Veteran,Brazil,C,47.313462840104705,-1.5391875217359745,90.99570277287096,A,B,D,A,A,D,13.977644155664635,C,-143.14263904112957,B,E,193.48946277192266,1
Yes,US,D,-79.43931798985903,188.39211861934496,-40.99206252163099,B,C,A,B,A,E,83.37990498643421,B,-38.85733148765213,D,E,13.473179262854492,1
Veteran,China,B,111.69488533351581,-59.975650267519384,-12.337821053888707,A,B,C,C,C,A,-170.74199436077123,A,114.28945433893811,E,D,29.274362024651303,0
Veteran,Germany,A,-98.05758779614614,-59.76051254239315,-108.12792690274304,C,D,B,C,D,C,0.5811409606839697,E,13.546255169716389,D,E,-84.79290570382582,1
Non-Veteran,Mexico,A,-16.340083659532667,-48.86286419954278,-15.844986664958169,B,A,E,A,E,C,-209.84900431165846,C,-53.57253573513847,D,A,-174.09909506097208,0
Non-Veteran,India,E,18.471292007251204,-2.0129087658619778,45.588629895956636,A,D,A,B,B,C,123.85138212774626,B,125.01990665053226,E,B,152.5053983264408,1
No,Brazil,B,-4.203914169157874,59.17462164057981,-10.790687242985268,C,E,A,D,B,C,-18.40760872057751,C,101.22733288186684,E,D,19.388329012602245,1
Veteran,Brazil,E,-166.84190125994732,40.359372443297424,-86.65822398389615,C,B,C,B,D,D,-185.05371387959983,B,97.62097995520597,A,B,-52.37094872640213,0
Yes,US,B,100.37812827334791,41.328093618733064,114.30503348192138,B,E,E,D,E,C,58.798296130381665,A,-245.13791735987076,C,A,37.5027681663256,0
No,China,B,-20.38275813048081,-32.37263807713809,-6.580321181545096,B,A,C,A,B,E,156.1146308494978,A,110.82660777483623,A,D,186.48053774233756,1
No,UK,C,79.79828377003743,12.19480032459424,-139.72529263877612,A,B,C,A,A,A,12.915203236798165,B,11.246762826024987,C,C,19.33666265343331,1
No,Other,B,149.62282168846787,-30.843408217318284,21.048347009882697,A,E,E,D,B,E,-70.59373611593044,E,64.36854455508907,B,B,-88.76162431545606,0
Non-Veteran,India,B,68.12623148082135,-157.99234474492738,-24.085862170542573,E,C,E,A,A,C,160.65736258821423,C,-242.3555525451194,D,E,-55.634079014854606,1
No,Mexico,B,-164.79869550692615,99.00439281927038,-125.69169637874238,E,E,A,A,D,C,-4.4499482001984125,C,-74.4016085556989,A,B,61.27741841729411,1
Yes,UK,E,107.9689678882121,55.36632887176006,-121.29886266365307,C,A,D,C,A,D,-58.1555928811038,C,-67.6340472668505,D,D,57.51155174561955,0
Non-Veteran,India,B,122.69239471078035,-37.71804999286691,-60.276922022090574,D,C,E,D,E,D,-81.29645127982207,B,157.64681575665347,D,B,1.2550827209281457,1
Non-Veteran,US,B,194.62105900316905,-30.326494144418724,84.92499518178109,C,C,D,B,E,E,-19.11189506931135,E,85.55244454508491,D,E,-81.75915471170428,0
Yes,Brazil,C,20.95323952509551,180.53711833848504,-65.64631662469095,C,B,A,D,D,C,136.10178400039473,E,-50.875659741861426,A,A,3.3415890430180846,1
Yes,UK,C,212.22660475791537,-113.271184110827,129.72801304719238,C,D,D,D,C,C,-299.62031713546133,B,-189.18833126985817,C,E,-126.13588060200891,1
Veteran,Germany,E,54.713107006804094,39.74420409947494,40.758224468897076,A,B,D,D,D,C,9.569617554359432,E,168.96496293135655,A,E,-51.784259209029734,1
Yes,UK,B,-171.01803498774666,51.08127420543239,-189.31403217382027,C,C,A,D,C,D,-61.57323724427103,C,-138.37927948443408,C,A,-67.58079356621816,1
Non-Veteran,India,E,-41.25048492936044,-197.3935049848623,123.99599647348671,E,C,E,D,C,E,-160.49005800584453,D,211.64625087477566,E,C,140.45111244387436,0
Non-Veteran,Brazil,D,36.38635290944191,55.14494039984677,10.61572650193701,B,B,B,D,B,C,-44.2495591251902,C,98.31664161067589,A,A,-47.53286834314423,1
Non-Veteran,US,C,198.90429496624756,-44.97112382174103,147.5774140992138,E,B,B,A,B,D,111.46178101593252,A,96.88432159881457,B,C,23.20211763201252,1
Non-Veteran,Germany,E,113.34661007303066,-49.26531333876106,127.09292296236173,B,C,A,A,D,A,-138.99160846045942,C,5.260530516381361,A,D,-37.18911239440325,1
Non-Veteran,Other,C,203.63657556418158,11.030742489780058,-5.991468249126088,D,C,E,E,B,A,-0.007019721744308639,C,-78.51131220773406,B,B,-4.416914973628817,0
Non-Veteran,UK,D,49.98903686177173,-144.36447615796942,-79.84874306366534,D,A,A,D,A,C,53.69522793837969,B,-71.64314347254941,E,B,114.90445263654068,0
Non-Veteran,China,D,-155.89194098311066,-54.75725084701668,-94.17401907131018,A,E,B,A,A,B,152.54659893308343,E,-17.376251898406075,C,D,-167.42733789355816,1
Non-Veteran,Germany,D,53.190367583965156,127.48351574933297,-38.68736087489333,D,D,B,A,B,C,82.0160726723232,C,-128.70426746806734,C,E,23.531278672532725,1
No,UK,B,11.465149936637394,-12.065241468414996,-54.73718914978946,A,B,A,D,D,E,-5.6007560778554275,B,-20.335899831844554,E,D,-56.106732480581044,1
Non-Veteran,China,C,7.751446779677182,102.11556884556639,17.76645639630839,A,B,D,E,B,D,80.85237232444429,C,-24.607448209828682,B,D,-30.787336004410506,0
Yes,India,C,-57.89739819960662,-146.09188758278472,57.083260576944305,C,C,D,E,A,B,41.13867139260651,E,195.02378221631457,A,C,-52.10021930580262,0
Yes,Other,C,22.020675761261728,-139.25731636402094,-32.48717151646465,E,B,C,D,E,C,-43.29216654138801,C,42.713955506598566,B,E,167.7782937137152,1
Non-Veteran,Germany,D,12.65961810786718,80.9435551067311,6.619906787418109,D,C,D,C,B,E,68.49434442098578,B,-58.18112418835756,B,D,11.415824813030646,0
Non-Veteran,Mexico,D,37.67744772474907,154.96580258908378,-6.765686514976036,C,A,E,A,D,A,-91.8181624591694,A,-64.10693933642794,B,C,78.04869360679466,1
Non-Veteran,Germany,D,122.81386046697855,-16.142632395562995,29.485851045026557,B,E,B,B,C,B,4.7808207340849265,D,47.35738550017572,C,D,38.23158291373168,1
Yes,China,C,-110.16467834508722,66.88573544015719,181.40812795723954,D,C,B,E,E,E,-139.5686992343199,E,48.35541145787701,B,B,-93.8291505921096,1
No,US,A,44.222943336657956,-160.35202980098038,-160.41801402015625,C,B,A,B,A,D,98.60906793284062,C,-17.025755917208084,D,E,194.97175648836574,0
Veteran,Germany,D,-77.75106070826078,-24.600924881661715,52.332154989372185,B,E,A,C,E,A,44.40934593505551,C,230.92114998377448,C,C,24.16873336927053,1
Yes,India,B,-44.7273968417416,205.521493821249,86.60151962435822,A,C,B,E,E,B,-92.84881766589204,C,23.48679009304673,D,E,21.007696476310546,0
Non-Veteran,Germany,E,-75.22381828161035,-24.84897764149892,-103.61769201098893,A,E,C,B,B,A,75.28026910421028,C,-46.27518873495279,A,B,-88.28330821381691,1
Non-Veteran,Mexico,C,80.87831440759015,-66.7873187820334,1.4917092954896636,B,A,D,A,D,B,3.5287214757969463,B,-61.36907653766441,E,E,-37.33275811537523,0
Non-Veteran,Brazil,C,-95.48552063380352,39.115481301970185,-128.6917916088256,B,D,C,C,D,E,-36.76586638697037,E,46.421060838680276,E,B,69.47438260216407,1
Non-Veteran,Mexico,A,41.265790629148746,169.18285186362834,22.929085569291143,A,E,B,D,D,C,-259.59984012043293,B,121.40967962166056,A,D,-89.22263514179156,1
Non-Veteran,US,C,40.19424081113961,-7.251702265235033,58.20310353145971,B,C,D,E,C,C,-119.78753681213435,A,-21.116638477581454,B,E,108.22395249070232,1
Veteran,Brazil,B,-34.355922071661055,-98.11283271997469,-211.72154520020814,A,D,E,E,D,B,-65.93036899057553,A,-24.91602240113877,C,A,-9.23845091218712,0
Veteran,US,C,-173.2120514013942,97.59602727473316,8.581059123525387,A,C,B,E,B,E,-21.19710030779463,B,138.09848671463868,E,C,-67.03733030870998,0
Veteran,UK,E,83.70101158518743,-33.499239012592085,166.36209523540575,D,D,E,D,B,D,229.52507865391559,D,117.10554725110217,E,A,87.95626114982963,1
Yes,India,D,37.46042124488832,-164.32146483110142,62.82394507528305,C,E,B,E,A,B,19.038561650579307,D,50.932489641492,B,C,140.63591949584233,1
Yes,Other,E,64.90621652279867,-115.96380728902969,-90.06782050328023,C,D,D,E,A,D,-99.77305518881991,B,-67.43400420523997,E,A,-32.69266564552006,0
Non-Veteran,UK,B,-53.763189024546364,67.08863766746568,-45.90952129102961,E,B,D,A,C,A,196.26861510356684,A,12.117928244360789,E,D,-140.68970181267943,1
Veteran,US,E,31.520910698448724,145.99441501404985,12.870670040620363,C,E,B,C,C,A,-35.161030224858706,B,22.424554705906967,D,B,-93.05166386153302,0
Yes,US,E,78.5047881192663,-55.94369337690955,-110.56172248252271,C,A,E,E,B,D,34.198952866534086,D,-42.67580018138733,B,B,-61.11825298079593,1
Non-Veteran,UK,A,-12.550951344368661,-81.89365918154596,-18.730052649836345,B,E,D,A,A,B,-150.17779725463237,B,96.82224178043842,B,E,167.50625986662914,0
No,India,C,-43.45917480328969,121.1760303492836,42.01890062344858,A,E,E,A,A,C,-145.37511600956861,E,-32.04531849610595,C,B,111.08044786727511,0
Veteran,China,A,-95.32368937868313,87.1451137778947,-125.33272499347974,D,D,A,E,A,A,59.28009414532214,E,142.36741543374814,C,D,-40.25474754486701,0
Yes,UK,B,-111.60822691813914,-62.068776439095906,5.95889719169275,B,C,E,E,E,D,39.01859464036504,D,-88.17928807219651,A,E,17.535801013100937,1
Yes,Germany,D,222.4619361382412,-17.245125346899997,-113.22360353469088,A,D,C,A,B,A,102.23549204771751,B,-109.84885130985724,A,E,-232.6614072310064,1
Non-Veteran,US,E,80.698091543655,-7.774685722260352,79.08174309485283,D,E,D,B,E,E,7.390791313154156,E,77.3423929013321,B,B,-179.80442697170423,1
Veteran,UK,D,-101.92638936701681,58.41623656501411,-147.28791673653882,A,D,B,B,A,A,86.22123912901503,B,-124.45247808556243,C,A,36.8879056442023,1
Veteran,Other,A,-17.557430921823432,-102.09874155827667,47.74630066796241,D,A,E,D,C,B,-134.17823770617161,E,-85.67211012071166,E,D,16.08236087739582,0
Yes,Germany,E,-30.062083600310906,86.65738918121822,109.84042722067717,A,D,E,E,E,A,-30.55958521593707,B,-30.618425584903125,E,B,115.6389943993249,0
Non-Veteran,UK,A,6.660952947215204,161.07082203813923,-0.8394064273474904,B,C,B,B,E,D,-125.10460449341242,D,58.06511393187288,E,B,-143.95092873001465,1
Veteran,Germany,C,153.17057368567632,49.21455744731616,31.26849592694292,D,B,D,B,E,C,-88.14519191743925,C,87.59970377383266,C,E,-32.87091370098324,1
Veteran,Germany,D,-116.40559194333238,25.47296584146223,43.711005101737186,D,A,C,D,B,A,-96.04673847389542,B,75.82187263163667,B,B,-57.81907297834019,0
Veteran,US,B,36.14428134172289,-158.2241733120628,97.83121894559206,D,A,B,A,A,E,29.302083730277072,D,-9.192683658531763,B,D,41.12355019121436,1
Yes,US,C,45.54873360990786,-76.4605073730298,-54.265033215423855,B,C,C,A,D,A,-188.7315976710987,A,-113.52409323760646,C,E,54.24952941525629,0
Non-Veteran,Brazil,C,-121.02800247524637,-80.26710328260931,211.27040550883956,C,C,D,A,E,E,135.0011041925575,E,51.48567756723897,B,C,-7.995411394401305,0
No,Mexico,A,29.9058015180689,16.077271954898237,0.811161008259635,B,E,E,A,C,E,-10.792255959726123,C,-79.89159229986626,C,A,-162.3980314635044,0
Yes,US,D,65.29691224756434,23.207598274311984,50.25089404225203,C,A,D,E,A,B,-24.9723768225953,C,39.36148244849396,D,B,10.294223999067075,1
Non-Veteran,Other,B,28.348187787949065,32.30641333314841,-183.66927721931097,A,A,D,D,D,C,39.051778389197885,C,-107.50615972693676,D,A,-40.573246353074154,0
No,Mexico,C,-149.62152936454805,-20.59596954854592,-75.57288902250703,C,E,E,B,A,B,44.08045066393651,D,47.840033208063616,A,E,-74.56708349512432,1
Veteran,UK,C,77.62909160602568,-207.97359010304436,178.39177904282948,E,B,D,D,D,D,-75.29379030216907,C,29.503043367004082,E,B,-111.33721325568749,1
Yes,Other,D,9.743519687708554,-11.330499333500537,67.75706051470777,B,C,E,D,B,D,-21.898556217701554,D,37.66565871207986,D,B,255.9896926998348,0
Yes,Germany,B,143.38257192875287,161.16863553818018,39.302702378918816,E,E,C,A,C,C,-159.97718075152915,D,-167.01299174250389,A,A,255.6894021648032,1
Veteran,Other,A,37.28759709442871,95.69915276045546,230.8012128624032,D,E,C,A,B,E,-230.99128742177408,B,-66.22989728047818,E,D,13.735874609559989,1
Non-Veteran,Germany,B,166.55574365345706,-102.81254982831516,169.58385170636808,B,A,A,C,B,B,-67.55734074660955,B,6.363820316432579,D,E,-118.11543172738436,1
Yes,China,A,8.58890535808925,-77.97548200927443,-117.61238088859783,D,A,D,B,D,C,-9.863161575721936,A,-109.43900826300049,D,D,-35.38325853973049,1
Non-Veteran,Brazil,E,9.061267445238817,-75.8569124957682,-12.629852013973675,C,C,A,A,B,E,-218.12352845877027,A,150.8716388724175,A,B,42.843759492870674,0
Veteran,UK,D,-67.64965752645085,13.134214607982614,-50.22896898106583,E,E,A,B,D,D,0.4710294573212913,B,-102.26758157717263,B,B,21.95735367178279,0
Veteran,Brazil,D,-48.15940157809944,43.98256857943375,86.47617012802992,D,C,E,D,C,B,-61.39709933819414,D,-143.41695645574828,D,E,214.2226407716142,1
No,Other,D,-185.0457742724286,20.175533357009552,-126.75678142288704,D,A,E,B,E,A,-25.63733978885147,C,215.60856680759332,D,B,31.459777466967466,1
Veteran,China,D,10.969411043993386,73.47808814056704,-26.882280294783108,C,E,C,D,B,D,34.18829758152487,D,33.2352861630774,A,C,62.64043106994709,0
No,Other,A,-44.04934155036466,-120.14599549825287,-16.032135029769634,C,C,E,E,B,A,-78.48521830250581,D,62.825840999478224,D,B,-207.4057147988869,0
No,Mexico,D,143.26228072297093,-23.278962750249672,148.34670229891515,B,E,E,C,D,A,83.03830894354707,A,-93.14695903229972,D,D,46.89050030680751,1
No,US,B,-58.45794288007314,7.931692547105906,50.14617046058921,B,D,D,D,D,B,66.614887037809,D,59.088635513432564,B,C,6.617032088525805,0
Veteran,Germany,C,-151.3421474719804,-178.65175239338782,-133.99687101364285,D,C,E,A,E,C,-14.819410946201142,B,122.30840205555755,E,D,5.66884176042925,0
Non-Veteran,Mexico,B,95.33997937443533,-67.58799254538444,-67.69456620516723,E,E,C,E,A,E,-13.971268155760058,B,-81.37977838436579,C,C,48.457762727622395,0
Veteran,US,B,-106.07982982207712,-14.81266944080659,-127.22298995567402,E,B,B,A,B,E,-44.91545867987559,A,-45.70836326172198,C,E,-1.2121427080829132,0
No,India,C,-22.28750053176861,-145.88757069042256,153.90540841088136,C,D,D,D,D,E,-165.99701264629175,C,73.42100362982781,E,D,-237.93707000389426,1
Yes,Mexico,B,14.422881600135486,27.94413983115225,3.6148162706813314,A,D,A,B,C,D,-185.04656776216342,C,100.57909449402183,C,A,73.05748433993476,1
Veteran,US,C,117.01034021607568,257.79924528698837,139.548576465267,A,C,C,B,C,B,140.3742175164405,A,-12.236353441609731,C,C,2.695644814849259,0
Yes,US,B,-29.311037272431033,148.0586914020894,30.247654469134144,A,B,C,C,D,D,42.75980100791421,B,67.48162990670201,B,B,-197.9105330929087,0
Yes,Other,B,89.00183536021603,121.45708853499838,-77.43812916184217,C,A,A,A,D,E,102.73101097477017,C,17.092325057494204,B,A,-12.604735032197913,1
Yes,UK,D,54.24455803525243,163.28145385359272,7.129753677586454,B,C,C,C,E,E,-26.81840864967478,B,-31.55161958827809,D,C,-185.11806412890834,0
Veteran,Germany,A,2.685273383706115,187.71150209468027,-13.522483430255255,E,A,E,C,A,B,173.5503637653254,A,55.9334227384254,E,C,-85.0439114868958,0
Veteran,Mexico,C,106.33506731693994,-13.569583943036193,-148.68957668580282,D,C,C,E,E,C,-124.4703700607186,B,-54.54307799577788,A,D,100.2780532282123,0
Veteran,China,B,77.46493949028327,-0.05911488895487366,-14.628756274471687,D,E,A,B,C,A,26.18755152660214,E,93.25415303707808,C,A,-27.376519391404823,0
No,UK,C,-11.647475537501817,-223.622976344605,35.43189719253463,A,E,D,E,A,C,-66.55265924269062,A,91.89720245336704,C,A,129.16198742844443,0
No,US,A,-95.34660773049873,287.63698912337577,-105.99326546250303,D,A,C,E,B,D,-15.96747345803243,E,-260.83877932475326,B,A,199.13173339453144,0
Yes,Mexico,D,-90.61948912941901,-100.48862589479559,-51.83384851936109,C,A,D,D,A,C,133.25554865503497,D,84.31301237849463,E,B,86.83799509762494,0
Yes,Mexico,C,-33.56902833440544,28.246172816670956,108.7410491218745,D,E,A,E,B,E,0.07809117810523275,E,-137.3885427485051,D,D,82.08041443426731,1
Yes,UK,D,-78.17658921283709,-189.64019899967462,19.134597831347282,A,B,C,E,B,A,71.68016978928881,D,-170.9124201026364,B,A,-22.464544793294895,1
Non-Veteran,US,A,28.732571865384116,46.40237112188264,-113.06196808335362,D,D,D,B,B,E,-154.0716845968323,A,-62.13525222120625,B,C,-112.78412256311097,0
Veteran,Mexico,D,-37.388682869982034,6.7424516160636685,-110.36584768186086,E,D,D,A,C,E,-104.4727541446798,D,66.97593590458958,B,E,43.904306393939976,0
Yes,Mexico,B,-161.7280992681319,-111.2355523900993,32.88795329821712,B,E,B,E,D,D,62.89347929574729,C,51.717624490434474,A,A,10.839114598690026,0
Yes,Other,B,29.094186132846357,16.757367686410042,-17.513610435463143,B,A,A,A,A,C,55.9934632206806,C,-70.97063067941257,D,B,-138.29345418919345,1
Yes,Mexico,B,-44.3063822968365,-80.95866201035211,-128.04140110496908,D,D,A,A,E,A,44.08637667508312,B,84.83786983376935,D,C,-95.94488189901604,0
Non-Veteran,India,B,-116.50255906542529,-104.14239371196277,120.98108367391482,C,E,A,A,C,D,-139.6031757589356,A,107.52726041146114,A,A,-18.448621269189022,0
No,US,E,94.19743911230242,40.54540081961956,-32.04923301583615,E,C,E,D,A,C,16.587406058810576,C,96.19447947383973,B,B,-59.083198481243336,0
Non-Veteran,UK,D,-56.44111000019338,-182.65968360210522,-151.94362283520667,A,D,A,A,D,B,-0.652010076816038,E,14.294204936241755,C,E,45.47579373602091,1
Veteran,US,C,139.05452033717017,-169.17492172751273,-112.72738471338182,B,A,C,E,C,A,47.97156976733404,E,35.089853611346044,A,E,-68.13517075711457,1
No,China,B,-153.65601878805634,-50.752130007683505,-72.26526939886557,B,C,A,B,C,D,-59.406876252556884,E,-64.21681777900292,D,B,22.07896538957959,1
Veteran,Germany,B,36.30076524076903,33.482493584243045,4.96494567511227,B,A,C,C,A,E,7.216290292474173,C,-91.9454502649587,D,A,63.32558650531449,0
Non-Veteran,Mexico,C,-81.19927321605269,-99.98694430209078,-58.41831953765797,B,D,B,A,D,B,53.605659515808746,E,-28.7953081216448,B,D,-80.89329541364417,0
Yes,Brazil,A,-25.37628748366317,37.021273497181554,-12.035715405360117,D,A,C,E,B,B,12.522610663020942,A,123.01986776492204,C,B,-172.6579605279608,0
Yes,Germany,D,7.679067329359047,213.96757009099198,102.7236111981969,E,E,B,B,B,C,49.472972156783875,A,-107.6767891854028,B,C,-87.10042752748278,1
Non-Veteran,Other,D,83.72593104484824,-203.61881643968522,40.14174433798222,E,E,B,C,E,E,-135.32792486044795,D,23.80058208067015,B,B,-12.160928301865672,1
Non-Veteran,India,E,67.42331184242929,171.27330120303066,136.7578335502055,D,C,D,C,E,C,38.828541343047426,E,71.22030176989556,E,D,-74.72627618716781,0
Veteran,UK,C,114.53054502119286,9.998399655933094,38.29789922504491,C,D,E,A,E,B,44.82045397792716,A,17.101174341052193,C,A,12.015892746177274,1
Non-Veteran,India,B,141.70390849260917,-114.4920460719443,13.702627254667085,C,B,E,A,D,A,-37.093466427470396,A,-0.3731306442568925,B,D,-55.96479917860171,1
No,UK,A,60.05512462915842,228.7921879829118,18.268378285218645,A,E,C,A,A,D,55.965889411140566,A,-142.43394335216982,D,C,-12.186466973670091,0
Veteran,Mexico,A,-25.319416943530577,98.16992702274943,106.55675221276499,B,C,D,A,B,B,78.65152181354709,A,-187.87034069824853,D,D,181.36706059773297,1
Veteran,US,D,-21.508640068125292,24.862772698612332,-158.76830838997702,E,D,B,B,D,E,-15.90980571189198,B,-15.95252681322627,C,E,-50.209069389458485,0
Yes,US,C,140.89087461526154,9.138952338139275,-103.82269266375769,B,D,E,E,C,D,-85.99407724071149,E,-5.905726352212678,B,E,-159.4702552965096,0
Veteran,China,D,20.34180473629144,65.59070109867795,-152.6680168311846,A,E,C,B,C,D,-28.76345472228318,A,-11.435341617995824,B,C,-64.68872132216892,1
No,China,B,-222.0303861603015,-20.68263845516802,-35.82907115038271,A,C,B,E,B,A,-39.35025291369959,A,183.38190543192,C,C,-251.73091445261636,1
No,US,A,85.1665792777317,-163.27032878005997,-45.439738351453755,A,C,C,C,C,B,91.58307803652887,B,-132.58591180702066,D,C,9.17999627951142,0
Veteran,Germany,E,-67.11991709856449,-72.9761653519263,118.45045215179499,A,D,D,B,A,E,-7.718389933242518,D,111.61540365048528,D,B,-8.09650542634729,0
Veteran,China,A,-40.67499223825781,92.57542990337514,-166.14770174986484,E,A,A,C,B,C,97.89594046806971,C,-11.492962901481194,C,B,210.05922176565184,0
Veteran,China,A,91.0866240895887,31.126449127992995,23.82523791910366,E,D,D,C,B,D,-105.33741535990944,C,-96.46345068754135,E,B,13.052810139298499,0
No,China,A,138.52411456852934,-13.118074209779849,62.00619541796021,C,C,A,D,B,D,48.05948714846335,B,-103.61043359936298,D,C,88.98929305255662,1
Veteran,Germany,A,14.299186571153024,-121.21420084571426,-4.555268190577911,E,C,C,E,E,B,-48.503534797408506,B,11.839478019905746,A,E,90.76777808656587,0
Yes,US,D,-23.37586919028564,-53.63530185697138,89.90312443503127,B,D,A,D,B,A,-126.09881511368393,E,195.26463318121932,E,B,-83.61863620197042,1
Non-Veteran,UK,A,226.8689293262591,-140.95159864850845,-113.44021162595195,D,E,A,A,A,D,-23.797146593002363,C,94.85069403963585,C,C,-77.26794039762068,0
Yes,Brazil,E,-44.09529029494626,-180.45819231674395,106.42854903862738,A,E,E,E,D,D,-112.75501687894109,A,-52.174118910584724,D,C,-15.230974599107642,0
Yes,Brazil,C,-161.6839473134675,209.96249633540268,-71.99419034447962,E,A,C,E,B,B,-57.38870360568651,D,54.484764606625134,A,D,-34.710343861564205,1
Non-Veteran,Brazil,D,86.40564840579661,-15.086728210172264,-50.19636895882491,E,D,E,E,C,E,-40.16510599383585,D,-49.92579088077077,D,B,-95.54160298675947,1
Veteran,Mexico,A,18.325962666025774,139.27801123234272,-73.66076616747095,D,E,C,A,D,E,-60.80449971234842,C,-30.639496497700385,D,C,-95.8181062684649,0
Yes,India,D,-182.07748276288308,273.5438367196751,126.92874608568094,D,A,B,B,B,D,49.63552366096663,B,54.90156650438527,E,D,28.020818564002216,1
Non-Veteran,Other,A,-8.26872749435021,40.296019754603726,-35.016010072060325,B,E,E,B,E,C,93.86201400129633,B,206.56014260016792,E,D,-292.0871986841885,1
Yes,Other,D,176.28868725410143,130.07342221549973,159.62467704925857,B,D,B,B,D,C,30.65987032562448,A,32.41861162467477,C,E,-158.84937212647495,0
Non-Veteran,UK,A,14.651831756633257,75.15720096676158,25.05419202028097,E,C,C,D,B,D,34.92463978839608,A,87.37035758258891,C,B,-133.6690622308324,1
No,Other,D,-11.836389062689353,103.47869276583634,-89.4614017009951,A,B,C,D,C,D,-188.38006487570345,E,23.84507095066331,D,A,136.96023710511102,0
Yes,China,C,34.92695693534923,95.21881331906766,-170.09510656407954,C,E,D,D,E,D,54.457549503421006,E,23.374114976985293,A,B,-189.46190448568657,1
No,US,A,-105.28151152016254,269.83431907599476,-138.41497443192188,B,A,E,A,E,C,-27.42848633988384,D,-25.775642751337628,B,A,-178.20072635129992,0
Non-Veteran,UK,A,44.60025628300561,155.71410822936372,-11.626041331221407,B,A,E,C,E,B,82.83594817938051,D,-29.20388799166337,E,D,-26.042217178596104,1
