military,civil_status,race,Age,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Yes,Widowed,White,91,A,-136.89057073427097,-81.60517223339534,D,E,137.18368669794862,D,0
Veteran,Single,Hispanic,48,C,-66.64190035622411,-23.08487278180612,C,E,28.419209926257377,A,0
No,Single,Black,99,A,54.51308808203492,-94.1130036089149,D,B,-25.6619418008179,D,1
Yes,Divorced,African American,65,B,-0.2665299588964794,-25.655102909287525,A,B,43.327232023803575,B,0
Yes,Married,White,27,C,-81.15115883107093,7.231182946549591,A,D,-135.36733923393786,E,0
Non-Veteran,Married,White,77,E,-32.78158662925424,-25.038654544036053,B,B,3.3170844603317713,C,1
No,Widowed,White,86,B,103.8535600308624,21.87830206131888,B,D,169.17966680616965,D,1
No,Widowed,Other,98,E,130.70090903524678,-58.64024361679084,B,B,-116.27565507357285,E,0
No,Divorced,White,62,B,-128.46343987284422,-93.27984122886967,A,E,80.21781718771776,D,1
No,Single,Asian,27,A,-90.54779140968236,-3.498950692256806,A,D,5.357374471555271,A,0
No,Single,Asian,26,E,152.46110948900215,21.451148623653626,E,B,75.34419578618292,E,0
Yes,Divorced,White,59,D,-55.628803615321765,-18.291301322806994,E,C,-12.70416545196585,A,0
Yes,Widowed,Asian,89,E,214.54501143891,72.6385910908456,A,E,172.2146924352566,D,1
Yes,Divorced,African American,34,A,74.27947487986015,-52.120916989798424,C,B,88.8174721494973,B,0
No,Widowed,Other,54,D,46.29278057038317,234.28441118400673,E,D,-193.85768024398874,E,0
Veteran,Widowed,Asian,47,E,113.01378359194591,74.09845485389465,C,C,-36.30447567296101,A,0
Non-Veteran,Widowed,Hispanic,87,E,-21.691537762323605,-36.21586066542571,C,D,-249.37663732051183,D,1
Non-Veteran,Single,African American,49,D,-73.16146666646684,0.015725725200780808,E,D,332.66583744238926,B,0
No,Single,Asian,19,E,17.478949959445785,220.72466893080355,A,E,156.64227590970353,B,1
Yes,Single,Black,32,C,-26.767941817613572,21.59839369370301,D,A,54.73469361590225,A,0
No,Married,White,82,A,-37.08467846359512,-116.97645248237632,D,E,58.27975327389583,B,1
Veteran,Widowed,Hispanic,69,D,-5.001813030092215,-86.95872184377752,C,B,-18.442273873491477,B,0
No,Married,African American,27,D,-85.08047884837262,-67.00253844824552,D,E,-79.73438103539604,C,1
No,Divorced,Other,19,B,59.80715957042055,112.79298551172128,B,D,-165.02555195694754,C,0
Veteran,Married,Asian,57,A,34.197702213130306,-70.8080602939827,C,B,59.02183717737457,D,1
Veteran,Single,Hispanic,89,C,-87.87604003940197,-11.771925784735846,A,C,69.0517773379429,D,1
No,Widowed,Other,40,D,-10.95048816159619,143.2953699709599,B,B,105.48253813831019,D,1
Yes,Divorced,Hispanic,84,C,-40.99951476047623,-35.06325798116442,A,E,-92.80753989254613,E,0
Non-Veteran,Widowed,Asian,92,B,37.63032766579539,171.02967812994387,C,E,-25.69977115264535,D,1
Yes,Widowed,African American,55,A,34.77221501812993,83.33433573690155,D,C,55.02530871956056,B,1
Yes,Single,Hispanic,43,D,-41.20462450188063,124.09128703898531,D,B,29.109834749172947,C,0
Veteran,Married,Other,30,B,12.801798461532135,-56.385089993981886,A,B,14.59237020763535,B,0
Veteran,Widowed,African American,37,D,-141.09118629359904,-29.732127639838186,C,D,6.1823683934648805,C,0
No,Single,Hispanic,94,C,-175.9883044732581,-116.13075250259328,B,C,-79.60887754935614,A,0
Yes,Divorced,White,99,D,110.45619067058261,101.22624259149109,C,D,-122.96535124906012,B,1
Non-Veteran,Single,Asian,79,E,59.398360996573274,54.728365164960245,B,A,56.223446033747614,A,1
Non-Veteran,Divorced,Hispanic,86,B,-0.6278431503093522,137.55779465623505,B,B,149.92060127867333,B,1
Yes,Divorced,African American,79,A,-15.545020759467887,-47.47021902914881,C,E,-57.25546087672008,D,1
Non-Veteran,Divorced,Other,64,E,-82.23412311044169,-133.7384494960677,E,C,-35.623816317752166,D,0
No,Divorced,Hispanic,18,D,23.05482181810488,83.92624248408525,A,A,42.191383356507316,A,1
Yes,Married,Hispanic,94,D,-17.56545321791243,17.59424501639603,E,B,-31.054131650396933,A,0
Non-Veteran,Single,Asian,95,C,44.56894455554578,14.196572041635077,E,C,-283.59968278011,A,1
Non-Veteran,Single,Other,26,B,-119.87074960076463,-63.319377120313106,B,D,149.5801270594059,A,0
Yes,Single,Hispanic,74,C,192.86001638051454,134.12292820073952,A,C,-64.57842164618977,D,0
Yes,Divorced,Hispanic,65,B,-16.345878312660492,-78.65693497565613,C,C,70.87752697261335,A,1
Non-Veteran,Married,Other,21,C,53.746597294486484,111.26389800529965,B,A,19.438482723257835,B,1
Non-Veteran,Married,African American,56,E,22.94859053926249,127.57476872463141,D,C,58.08335259401301,C,0
No,Divorced,African American,25,A,67.34954376594537,-34.81532609662225,E,C,-154.30490280676153,D,0
Veteran,Widowed,Asian,84,E,158.44009053321275,145.1498086464056,C,C,41.48549623220003,D,0
Yes,Married,Black,39,B,115.99842887699063,31.82805558832962,C,E,126.68056644048455,B,1
Yes,Widowed,Black,97,E,-29.581611914880533,-59.19272712103949,C,C,40.45944249216794,A,0
Yes,Single,African American,61,B,47.41411983731517,-186.2653039984085,A,A,-9.049808120466743,B,0
Non-Veteran,Widowed,Asian,39,D,92.26696724237054,-90.99858666985577,A,D,112.30760914858094,B,0
Veteran,Divorced,Hispanic,81,E,-56.9972782221419,159.04015776941606,D,D,20.479427751529236,D,0
No,Married,Other,63,A,-71.03571945923787,64.07007722036148,C,C,159.2558583398374,A,1
No,Widowed,Asian,95,C,-93.89936061045834,-50.959716837393835,B,A,-128.0127190330743,D,0
Yes,Single,African American,25,C,100.84379775469301,101.44662536241678,C,A,-154.1185044687725,E,0
Non-Veteran,Single,Hispanic,73,A,166.89160015599663,-12.324006788859146,C,E,-52.42436355417407,E,1
Yes,Widowed,African American,67,A,-23.36298709378644,121.82482835422377,A,E,-184.98518503989158,E,0
No,Divorced,Black,63,C,-15.415796421375799,39.20810454680817,C,C,-56.6910436626256,E,1
No,Single,Hispanic,35,B,-165.93149037771653,54.27574074827821,E,E,-10.605748773486315,B,0
Non-Veteran,Divorced,Asian,82,E,25.55750248963679,52.85744873373025,D,E,265.40410634724634,A,0
No,Married,Hispanic,96,D,32.23818006498824,-7.308614905533327,B,D,60.71202298665885,A,0
Yes,Divorced,Asian,89,C,87.18893303170098,105.30664686060649,C,E,-4.445308590978799,D,1
Veteran,Divorced,Hispanic,75,D,-167.8276045679976,124.54944715738105,A,D,67.85435244793678,E,0
Veteran,Single,Other,97,B,37.622642976203394,-16.53303182180207,A,C,-6.040330163152319,A,0
No,Single,Asian,51,A,-55.31477280760802,1.6266707187417673,B,E,-9.147191252436928,E,1
Veteran,Divorced,White,62,E,122.96159630523384,104.37303305859464,C,D,55.04186573485453,E,0
No,Single,African American,77,B,-5.6982926092092905,41.06005202163956,D,C,-84.36234787520583,D,0
Non-Veteran,Single,Hispanic,38,C,25.29765508441246,78.4156899629383,B,B,33.075896240287456,C,1
Non-Veteran,Married,Other,19,A,-203.74882389069012,-75.63605676199089,B,B,10.587039816171238,B,0
No,Married,Other,72,A,86.52405413279814,42.99643425365531,E,B,41.60681104883753,C,1
No,Married,White,51,D,-119.18736360908824,-134.12121654557149,C,C,-130.05100623399653,D,1
Veteran,Married,Other,77,D,-69.12489464820112,27.506774948866468,A,B,-27.949545194215364,D,0
Yes,Single,Hispanic,78,D,-105.05746227083294,-62.21000854405566,E,D,-118.77895449234819,E,1
Veteran,Single,Other,43,C,-13.866197587568141,118.97707900456899,B,B,-150.42625954372008,C,0
Non-Veteran,Divorced,Black,21,E,-117.44760854954875,75.69117360040563,B,C,7.219061826564934,B,1
Veteran,Married,Hispanic,70,C,-6.6197189812190915,-7.945823958813139,B,A,-58.80743371769663,B,1
Veteran,Widowed,Asian,90,C,-55.79130466796115,171.1848295915713,A,E,108.92146916174529,D,1
Veteran,Divorced,Asian,39,E,16.223221343385468,-128.01159735539147,A,E,83.50651329332479,E,1
Yes,Single,White,78,C,-156.86432239459984,58.52291416076502,D,D,-25.087456924286265,B,0
Yes,Widowed,Other,69,E,-82.25444962984702,22.096161462614607,A,E,-153.85747626614346,E,1
Non-Veteran,Married,African American,79,A,12.716589664567154,320.87403835312875,A,C,62.18859379048809,A,0
No,Married,African American,89,A,64.852398624207,-46.117710078423976,D,C,-76.51805335372966,E,0
Non-Veteran,Widowed,Other,35,B,64.66351629507679,43.626018248512395,D,B,-13.577596438631515,C,1
Yes,Married,White,69,D,-195.5099046588152,21.411723625362995,C,E,-68.4897341581684,E,0
Non-Veteran,Divorced,Hispanic,63,B,24.113297863270937,-33.34093499333981,D,A,-113.99513383645836,D,0
Non-Veteran,Married,Asian,76,B,-8.742208675034332,-26.15621007700113,D,D,138.55563307075448,C,0
Yes,Single,Asian,96,C,-184.91707425079977,93.731227663706,B,C,-61.01984287015253,D,0
No,Married,White,22,E,106.09911071370585,48.02290247288194,B,C,173.6687635098716,B,0
Yes,Single,Hispanic,76,A,55.89452161083839,108.63347519284497,E,D,3.423296177758735,C,1
Yes,Single,Hispanic,51,D,13.305103533133082,-93.84166390619652,E,E,-72.80828448018337,D,1
Yes,Widowed,African American,54,B,-127.55367710906187,3.6182900742399084,C,E,-205.87100614363604,C,0
No,Divorced,African American,81,B,-82.99825226952238,144.93801602133075,D,E,-42.05189486012782,D,1
Non-Veteran,Married,Asian,42,E,129.10667370705855,-1.0724818875632123,A,E,-19.7489807081698,B,0
No,Divorced,Hispanic,70,B,165.0692051175205,72.89631552015675,D,E,-46.690426543045874,B,0
No,Single,Asian,26,E,-17.699221399302452,-125.12476923189114,A,B,-3.1806999218089693,A,0
Non-Veteran,Single,White,71,B,-54.97107317199046,-28.15235449175868,B,E,46.64456601535085,C,1
Veteran,Widowed,Hispanic,95,C,235.0075092362247,-192.13905405043593,D,C,6.37011678947054,C,0
Non-Veteran,Single,Asian,37,C,94.29838631510619,-171.10210532970726,A,A,156.0787411627029,C,0
No,Widowed,Asian,51,D,55.54916644890826,29.243772370233728,C,C,40.80449209771142,A,0
Non-Veteran,Married,Black,61,E,-58.79976533012508,-50.09498622444987,B,A,-43.260138019918465,E,0
Veteran,Single,White,74,E,249.69253185775818,74.6777085813446,A,B,-28.941896163601736,B,0
Yes,Widowed,White,29,D,-0.7258236057031934,-68.25548047017368,D,A,-85.06201127557512,D,1
Non-Veteran,Widowed,African American,20,B,8.115297326758272,-34.70881694047647,B,C,130.15634002537624,B,1
No,Single,White,94,D,-67.50644979312426,40.318834081901095,E,E,-91.68540495777256,C,1
Non-Veteran,Married,Black,23,B,-5.265324587805999,33.687453351239554,C,D,-3.8614335063740985,D,0
Yes,Single,White,94,D,-122.38066133873029,-78.64658227059093,D,C,48.959774525783665,C,0
Non-Veteran,Divorced,Hispanic,56,D,-206.4027302787082,-0.4030523380212662,D,E,33.75772651270198,A,0
Veteran,Divorced,African American,63,B,-61.91981032404419,127.10056929002376,A,C,54.66962239117047,A,1
Veteran,Divorced,Asian,84,E,216.3072310538658,-2.4485525024308727,B,A,-148.6950382135902,D,0
No,Single,Other,81,A,74.07932186502518,20.00648299339526,D,D,-51.143967374399644,D,0
Yes,Single,White,59,B,9.288817970052728,-58.61511244522644,A,E,90.553448648474,D,0
Yes,Married,White,79,C,200.346620073603,-55.435667976495864,C,C,145.11734086354315,C,0
Yes,Married,Black,79,E,23.789972345282184,93.40272644560716,A,A,94.27078467429205,C,1
Non-Veteran,Widowed,Asian,50,B,82.34101748573742,31.22658780920481,E,A,-5.391515531558105,C,0
Veteran,Married,Black,99,D,99.70973369934339,162.66689395602972,B,A,-53.45256147034336,B,0
Non-Veteran,Single,Asian,93,A,70.41862673600629,144.4776183395775,D,E,46.23060030715073,C,0
Non-Veteran,Single,Black,90,A,-53.24778648906059,-119.45147328803995,E,D,-61.815543609108246,A,0
No,Divorced,White,99,D,-5.957580986622105,171.65303139887368,A,E,11.569051813472173,E,0
Non-Veteran,Divorced,Black,20,C,181.00159292674437,-19.020527042018806,B,B,14.309642045355176,E,0
Veteran,Divorced,Hispanic,47,A,-33.79439273024524,-99.74837482533265,D,C,25.470713910462262,E,0
No,Widowed,Black,72,E,-1.3880323207100063,-138.68139039905196,D,B,47.789255197115395,E,1
No,Single,Black,77,E,-119.1839997631352,-214.05405263338542,A,A,-111.3248402478926,B,1
No,Widowed,Asian,22,B,-37.97592387363073,-69.27352363887096,A,B,-116.72997984657157,D,1
Veteran,Single,Hispanic,91,A,74.21226341390322,-22.080192922544878,A,A,-11.750339475019612,A,0
Yes,Divorced,Asian,90,D,-76.35970905838246,24.100765953577373,E,A,-30.44954705916721,C,1
Non-Veteran,Single,Black,24,E,58.109142193308415,23.380800361004095,A,C,123.91716300220266,C,1
Yes,Single,White,64,A,-106.14723040215037,-78.9389971157552,B,D,129.10748970874292,D,0
Non-Veteran,Married,African American,50,A,-86.31752572602578,121.79713690405984,D,A,-59.27959558551649,B,1
Yes,Divorced,White,87,B,10.809947467576196,-48.775963871542615,D,B,44.67218084031778,B,1
No,Single,Black,54,A,84.81214629035081,-216.66085656015971,E,E,-11.35789272135309,E,1
Non-Veteran,Widowed,Black,65,B,47.38400689449915,138.63897220999334,C,B,-26.46875164771283,B,1
No,Widowed,Hispanic,37,B,59.12787402440708,99.49835300402032,C,A,48.56295841579301,A,0
Non-Veteran,Single,White,19,E,-54.95240620135486,187.62342253563455,B,C,-74.45798538265038,C,0
Yes,Single,African American,42,C,19.81398959055126,8.895861333111142,B,B,-116.21532747586956,A,1
Non-Veteran,Single,White,43,C,49.79878902528577,-49.59157883588337,B,E,199.40221257244482,A,0
Non-Veteran,Divorced,African American,37,D,32.85869010520193,-133.3921361827463,C,D,-105.36744881789201,E,1
Veteran,Married,African American,79,A,49.60942398959657,178.18865730172664,C,B,70.79003025014605,A,0
Veteran,Single,African American,71,B,245.90902035386324,-164.08994831712144,A,E,-46.85936617840877,C,1
Veteran,Widowed,White,55,D,70.13184562340348,-98.22355248959043,D,C,118.74629091095947,C,1
Yes,Divorced,Other,91,A,115.04952265503599,-9.101149632741054,B,C,66.86697759525056,E,0
Veteran,Single,Black,93,A,-12.363259807953526,139.27499085168785,C,C,119.02894112858704,B,0
Non-Veteran,Widowed,Hispanic,46,C,-34.79166706121024,-87.25414155435858,D,B,26.08671144773768,E,1
Yes,Single,Black,24,A,-20.540301066864544,115.33333767375468,E,E,26.05258948768555,A,1
Non-Veteran,Divorced,Asian,46,C,288.89019053727435,131.0810886514172,A,A,82.55109273922497,A,0
No,Divorced,Asian,85,D,123.7003324547361,204.09799576845242,C,D,90.70860636745992,E,0
Veteran,Divorced,White,55,B,81.0561698432763,38.01145256374494,A,E,-122.3469908922483,A,1
Veteran,Divorced,Other,64,D,142.67653332542142,-28.309178914001095,B,A,-161.56212751606546,D,0
No,Married,Asian,19,D,80.20865789207863,50.97396351486729,A,D,-82.0198233582027,B,0
Yes,Widowed,White,20,A,-32.34542843215666,127.47740827930394,D,E,-164.14030938832954,D,1
Non-Veteran,Divorced,Other,92,B,70.32638720118327,14.450216002440452,E,B,-6.986017270475044,B,1
Non-Veteran,Married,Other,91,B,-161.2620304554677,35.69110824310024,C,B,-51.19337042333187,A,0
Veteran,Widowed,Black,60,C,21.210306152205078,61.53037783207067,B,B,32.564434245407284,A,0
Veteran,Single,Black,20,A,-20.6325482488621,126.26547209847858,E,B,118.15168682283732,D,0
Yes,Divorced,Hispanic,54,D,-105.01758341783072,76.14138319530309,D,D,-54.7815396421499,D,1
Veteran,Single,African American,18,B,22.54512223690704,104.07031635675435,C,B,-77.56889816072776,B,0
Non-Veteran,Divorced,White,59,E,53.0035483265598,8.678397781121895,D,B,79.65826030029294,B,0
Veteran,Divorced,Black,62,D,-91.92995154959175,-37.954652599634294,A,D,-137.87875494500844,B,1
Veteran,Married,African American,38,C,117.53833281786719,-27.06072801590464,C,B,-121.83217459541848,C,0
No,Married,African American,98,C,-56.862902367920206,-80.56181680422256,C,E,-81.82932097170045,D,1
No,Widowed,Black,56,C,212.51122246765019,229.70723581480482,B,C,34.3299118855195,B,0
No,Single,African American,48,A,-23.78635801371408,-182.1547525890975,B,E,147.75760803464172,E,1
Veteran,Widowed,Other,78,C,202.7209074127881,-81.35290604276692,C,B,95.2935464232251,B,1
No,Divorced,Black,78,A,-22.148632216727147,-19.54620827288597,B,B,-18.746242358154248,A,0
Veteran,Divorced,Asian,92,C,-56.512618834467254,-1.144434188327568,A,A,-173.81272004526872,A,1
Non-Veteran,Widowed,African American,45,E,-55.84866138610517,121.10751315297401,B,A,67.82432937508295,C,0
Yes,Divorced,Other,66,A,36.33517375006298,-24.26089713097618,B,C,115.8446686969705,A,0
Yes,Widowed,Black,94,A,110.5069532868039,-153.57215101904632,E,B,-1.5713260948070784,D,0
Veteran,Widowed,Black,27,A,-20.621564881252013,-164.79651859662027,E,E,-20.40524338253336,A,0
Yes,Married,Hispanic,64,A,137.70879640464412,8.140467864129825,E,C,-33.89632928001614,E,0
Non-Veteran,Divorced,Other,89,B,-151.9771428160947,-34.75338382448337,D,A,-55.35614721063297,A,1
Yes,Divorced,White,75,D,58.678502894136585,54.84665250977695,E,A,-117.69113397301724,C,1
No,Single,White,83,A,-56.90801863589855,123.80765354961099,C,E,-42.4147981078015,B,1
Non-Veteran,Married,White,27,C,35.40725644922572,151.0990847993874,A,A,-109.72153448191808,E,0
Veteran,Single,African American,36,E,-23.81597097965588,49.51735150764528,C,C,32.40020287105194,D,1
Yes,Divorced,Other,25,B,145.44123103682531,-103.99092616926914,A,E,28.93388493276174,D,0
Yes,Single,Other,64,E,-25.79466722239835,-80.33136317287357,A,E,126.06714696507399,B,0
Veteran,Divorced,White,89,E,-24.57899776314102,-1.97696812544237,D,E,-62.695032881153004,D,0
Non-Veteran,Divorced,Other,60,B,124.67906483443852,-191.82290461616734,B,A,29.466923617252988,B,0
Yes,Married,African American,20,E,35.82200744140162,23.3278406955137,A,C,-75.13371661319724,E,0
No,Single,Other,31,A,-92.86198739103082,-171.67923739082028,E,C,-4.419966106699558,A,0
Yes,Single,Other,70,B,5.785372313372307,6.715290541665624,C,E,43.266185709992975,C,0
Veteran,Widowed,African American,81,B,-178.84801581453297,-217.65358984542013,D,C,-102.28262646977669,E,1
Non-Veteran,Widowed,Other,93,B,-19.145388391869083,98.24413962398566,E,A,137.1034876993998,A,1
Non-Veteran,Single,White,48,C,206.1297389305078,9.148878531779156,C,E,76.73316948030087,D,1
Yes,Widowed,Black,25,D,-239.58715979752782,149.46364998804282,D,E,158.09283790062253,D,1
Non-Veteran,Divorced,African American,54,E,-21.628684955846627,-161.38690040029786,D,A,-185.72590896536352,E,1
Veteran,Widowed,African American,42,D,190.19015103585755,101.24558576053704,E,C,-132.0678056540334,C,0
Veteran,Widowed,African American,54,E,-130.9143202268609,-29.99213138987856,A,E,73.48905906190244,D,1
No,Single,Hispanic,45,E,107.67142592649155,-64.4942702096585,B,A,6.693263815129315,A,1
Yes,Widowed,African American,26,D,-50.846593364663725,-31.258664646514468,B,B,16.521130044125133,A,0
Veteran,Divorced,Asian,23,D,69.04537139891916,184.2764632148064,A,E,160.5823337235324,E,0
Non-Veteran,Divorced,Hispanic,91,E,53.54233581088385,-74.07077262071844,A,D,48.78894504162755,D,1
No,Married,Asian,44,E,-179.33670988948464,-18.44552048206191,B,D,42.85811862901694,C,1
Non-Veteran,Single,Black,40,A,-110.4028447307481,-80.10365581112443,E,E,152.4508127626549,E,0
Yes,Single,White,76,A,29.186489653514375,-3.0091593325989527,C,B,118.58338348557753,C,0
Veteran,Single,African American,96,A,1.3706810462153756,-11.990358005860417,E,B,115.03441044503333,E,0
Yes,Married,Asian,52,D,-133.9273173448748,-217.16848502836038,A,E,244.35101044355653,E,1
Veteran,Divorced,Hispanic,58,E,-60.0215228042421,-294.514779063413,B,A,133.18870104472455,D,1
Veteran,Married,Black,46,D,-224.3201430643578,-119.8655536346578,C,D,40.75021807849431,E,1
Yes,Married,African American,19,D,37.4551654393362,-100.37831034938527,B,B,10.364360768483742,E,1
Non-Veteran,Divorced,Asian,18,E,85.35402029960679,125.52990275534866,E,A,22.24546037868816,A,1
No,Single,Black,93,D,-3.945205073681052,2.266367883623473,E,E,24.35207382975098,C,0
Veteran,Widowed,Other,60,E,82.64477835539498,54.81905906130496,D,E,-8.49066341808256,C,1
Non-Veteran,Widowed,White,30,C,66.14680994424512,-6.456602948914654,B,A,11.853164083958868,C,1
Veteran,Married,Other,93,B,-42.99531889246158,83.90792351448418,A,D,14.129459218359425,A,0
No,Married,Black,37,D,-33.19660398109656,-26.46321152574192,A,B,-28.32507837997486,A,1
Veteran,Divorced,African American,55,A,13.759489752560194,113.6768901376914,A,A,-13.712389243424902,D,1
No,Divorced,Black,43,B,-12.566248868835295,-12.16142378459139,D,B,-18.114670567198328,B,1
No,Widowed,Hispanic,85,E,46.62079935052035,14.793783529481457,B,E,2.1032876978987063,C,0
No,Single,Black,61,A,313.94102078337386,-118.79503233604225,C,A,-96.48191435438821,D,1
Non-Veteran,Married,Hispanic,53,A,77.90204704215574,177.39719902822233,D,C,10.331365066528642,D,0
Yes,Married,Asian,28,A,-99.6822099515453,-90.08328178146346,B,B,-19.349920335166864,B,0
No,Single,African American,18,B,10.769643322087544,71.18110733739329,C,B,22.304467603786726,A,0
Yes,Widowed,Other,92,A,58.956317963240565,-16.318486506942058,C,C,158.72080281025112,E,0
Non-Veteran,Married,Asian,89,C,2.5307700157966813,-117.91420962271077,D,C,-59.22132018469532,E,0
Non-Veteran,Widowed,Hispanic,78,C,94.44330680720772,-86.45489256048985,E,B,-54.22712120098543,B,1
Non-Veteran,Divorced,Asian,98,C,39.239341241168844,-143.23868373536877,B,E,-130.0464006464543,B,0
Veteran,Divorced,Other,56,B,113.25667811921308,-71.00174240647893,B,C,207.03298139606972,D,0
No,Divorced,White,23,E,152.786132234776,-161.03547108147026,A,B,-148.39906025400182,B,1
Non-Veteran,Widowed,Other,82,E,-43.98103378033345,131.58141778922723,D,B,166.94658306821216,E,1
Yes,Married,African American,43,D,-27.934384975127347,159.76660886863414,B,D,-143.40564909470118,E,1
No,Single,Hispanic,59,A,-9.471650607643781,-49.388904243645406,C,C,-60.03785014606433,B,0
Yes,Widowed,White,27,A,86.26688164592709,134.9005707258769,E,B,2.608719174128592,D,1
Non-Veteran,Single,Asian,26,B,-7.959704529295249,67.46664990103717,D,A,47.88013422833781,D,1
No,Divorced,Hispanic,54,C,6.567645391854684,-45.24053405137658,D,A,-34.11111639804296,C,0
No,Married,African American,93,D,-44.45327561566722,105.01094343790989,C,A,66.35300692168092,A,1
No,Divorced,Black,39,A,70.30487559160068,-29.0539011298748,C,D,43.48222273282499,E,1
Veteran,Widowed,White,44,B,64.38390296690918,67.83743608463679,B,A,20.234293854537206,D,1
Non-Veteran,Single,Hispanic,87,A,-11.990108160212436,113.58446342006647,E,B,-133.7075713594202,A,1
Non-Veteran,Divorced,White,57,C,68.97347374756644,-12.216832685067384,A,E,57.149912964927665,C,0
Yes,Single,Black,67,A,99.3794231332277,-189.38727895966701,E,B,67.21411228838979,C,1
Veteran,Married,Other,86,C,-108.28074256130355,-53.39193049704043,E,A,-66.48426434376817,D,1
Yes,Divorced,Black,99,C,49.29278333556578,-177.9419377242236,C,C,-29.472261567093195,C,0
No,Married,Asian,57,E,137.52804746925912,159.1292128968263,A,C,-29.29661594348017,E,1
Non-Veteran,Divorced,Hispanic,78,D,-214.72952114570117,-79.13733387494642,A,C,-22.73303102945153,D,1
Veteran,Widowed,Black,74,C,72.27573840705927,-217.4594984881526,C,C,179.92765049655313,B,0
Non-Veteran,Married,Other,92,D,243.2391027558384,-155.11907304186644,A,E,-66.17520819510221,D,0
No,Married,Asian,72,D,50.271091649725385,-35.972321367492,C,D,-35.4320577806229,E,1
Veteran,Divorced,Other,48,E,45.40920894950564,-56.77898991074627,A,A,-134.9354701704109,C,0
Veteran,Single,Asian,88,D,-34.70813110201127,238.22535603991463,A,C,3.8915139620456016,E,0
Veteran,Widowed,Asian,69,A,-1.636613062664731,208.533545388488,A,E,43.232251962137006,C,1
Yes,Widowed,Black,34,C,-98.95993755947434,-196.32057409057774,A,C,-158.50455153258275,C,1
Yes,Widowed,African American,45,E,-72.93744481060901,-10.673499470599983,D,C,-41.82048992042855,E,1
Non-Veteran,Divorced,White,53,B,21.358026523278987,-104.51903102562913,C,B,34.91075472722164,D,1
No,Married,African American,71,E,87.35135678919359,-19.14452467522193,E,A,-152.15660678089444,B,0
No,Widowed,White,98,A,-36.07684496246687,-54.151530234711046,C,D,-191.15181459140337,E,0
No,Divorced,Other,19,E,-82.32834301000267,120.14880386831135,A,D,-87.14812176773079,A,0
No,Single,Black,71,C,78.09974709821041,17.72661457667157,B,A,-121.76123985749206,B,0
Veteran,Divorced,Other,92,D,46.69266751239161,0.962629617336286,E,D,123.29137442386366,E,0
No,Divorced,Asian,99,C,-94.00005166776003,-210.1508122419011,C,B,-3.8357234093494763,D,0
Yes,Single,White,26,E,-131.21408529935815,147.3160669770563,C,B,-59.09188237020123,D,1
Non-Veteran,Widowed,Black,84,A,-144.999592319014,-7.319814877435727,A,C,-68.0654201561665,A,1
No,Married,Black,60,E,-20.580290413988802,63.78473845826043,D,D,-94.75039617622424,D,0
No,Divorced,White,84,B,40.62504571066667,-85.00662877545062,B,C,-51.991558453462886,B,0
Non-Veteran,Single,Black,37,E,-26.218408109509543,-11.51428279549102,E,D,34.231059848470416,B,1
Non-Veteran,Single,Black,83,A,100.14776551187528,35.249411992334636,C,A,-271.0040171669842,B,0
Veteran,Divorced,Asian,86,B,89.74842015268962,57.50772821673643,C,C,158.69857474870807,A,0
Yes,Divorced,African American,91,C,172.3562575042245,-25.389226141271966,C,E,-103.54189473978532,E,1
Yes,Divorced,Black,56,B,-81.67911434022595,-245.88103607366514,B,E,126.0163556312522,A,0
Yes,Single,Black,72,C,-47.9062695351605,156.86292985924976,B,C,83.35353565025014,C,1
Veteran,Married,White,30,A,-123.52044971696519,1.0545493281259544,E,E,-39.58688608156689,B,1
No,Married,Black,59,B,-221.09810260864694,-50.20528072405841,D,D,159.2773279843931,D,1
Yes,Divorced,Other,48,B,15.611431616741061,-236.78915594478252,A,C,-7.0666799792139505,A,1
Yes,Single,Other,51,A,-55.30490935869533,-58.97828955069443,B,E,59.112773299036355,A,1
Veteran,Divorced,African American,73,A,196.37826814110684,-5.804184988524106,D,D,-40.95050195084938,D,0
Non-Veteran,Divorced,Asian,23,E,117.82617068837504,-46.54093961322848,B,D,-43.440759200897624,C,0
Veteran,Single,Hispanic,18,B,-87.16536713183342,-111.09837502490004,C,C,211.4826050510552,D,1
Yes,Single,Hispanic,25,C,-93.17499640699386,42.52927762651198,A,A,54.554598782038155,C,1
No,Married,Black,76,C,-112.26805492516337,-85.94216514353342,C,C,48.03255689792028,B,1
Veteran,Married,Hispanic,75,C,11.95931692613826,-138.07813856676415,A,A,36.972358925226864,C,0
Non-Veteran,Divorced,Other,68,E,-120.66441497859712,-43.620819741892745,D,A,139.62675058112535,E,0
Yes,Single,Other,73,A,-23.453605497432648,-139.96078879480615,D,E,56.720842394970326,A,1
Veteran,Married,Other,59,E,38.938934568617114,-88.06957619739524,B,C,0.4245341880920569,B,1
Veteran,Single,African American,86,D,-16.9549262313848,-124.00132676623417,C,C,-21.717479756919484,E,0
Non-Veteran,Single,Hispanic,78,A,-20.052951522721074,54.80092732512549,A,C,-73.71634677796054,E,0
Veteran,Single,Asian,71,B,48.05697449664905,-163.63357940807995,D,C,29.767520163027278,B,1
Non-Veteran,Single,Black,42,D,-78.7511644179251,-190.7029300945507,A,B,60.36819655773555,E,1
Yes,Married,Black,37,E,19.379685615459742,149.37230302010096,E,A,45.27644680041674,B,1
