age_range,Veteran,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
51-65,Veteran,Buddhist,B,B,B,-58.51619575406048,10.666137682795588,-73.1947643126656,-209.58628474368086,-37.07076292267159,B,E,C,0
51-65,Veteran,Muslim,E,A,E,-182.38698967447735,-42.26480316546388,42.115601441358095,-64.7679685320319,29.639056770472273,A,C,A,1
51-65,Non-Veteran,Buddhist,C,E,B,61.30475893352856,-32.6951259663316,-30.72502917064275,79.26512943478899,-121.36781598621798,B,A,C,0
65+,Veteran,Jewish,E,E,E,-20.381564264665784,126.23009266473755,-73.39098935495333,84.72280571269104,-30.6651791073254,D,B,A,1
36-50,Non-Veteran,Other,C,B,C,148.03220285176525,-209.7814013102358,102.41713667308565,62.058231411412876,-127.16231246529472,E,E,B,1
51-65,Non-Veteran,Christian,B,A,B,-83.74804171252804,136.214932756167,76.85630769197854,-8.13495109639024,-38.58329185329597,C,C,B,1
65+,Veteran,Hindu,A,C,B,-143.39070343376525,-77.89535858380492,56.643579966318725,-97.81254571549125,2.2893269345469136,B,B,A,0
36-50,Yes,Hindu,E,D,A,28.814054158992054,-62.79372466140054,16.556374482993398,123.87386242380963,-88.57382372099795,E,C,B,1
18-25,No,Hindu,E,B,C,-118.66250596629119,-106.00966964665865,91.13967685400159,145.48194860560005,-58.86780212036919,B,A,C,0
65+,Non-Veteran,Hindu,E,D,C,30.27356896878026,-26.29179839490493,-16.514214818481804,39.86333785212475,-41.78548387978609,C,B,E,1
51-65,No,Christian,A,E,A,159.3718424707397,-55.39593252225337,-210.66216564151202,79.8044565759965,24.394548412254412,B,E,B,1
26-35,Non-Veteran,Other,B,B,D,28.037733299519957,-162.5829629889653,-39.57557698188322,-145.38922967839176,4.768073619775281,C,C,B,0
65+,Non-Veteran,Christian,B,E,D,130.36227320849835,80.32918879387165,-98.43282749784555,42.05672684562376,-13.123075503463136,C,D,D,0
51-65,Yes,Jewish,C,A,C,-15.86429772367953,67.83301645728044,-71.43244041749905,6.5843705409594415,-131.98967785846125,B,A,A,1
18-25,Veteran,Buddhist,E,A,C,166.27809567883313,-44.64518737904902,94.48903012812548,-115.8139726968402,38.19559369093499,D,B,A,0
26-35,No,Other,B,B,A,53.43355244451482,-4.434127240855741,126.76032591377147,13.278494124363158,142.1587378757222,E,C,D,1
26-35,No,Hindu,E,E,D,-2.4300794966726817,31.994043124041237,-210.34325496816004,-30.232798114849807,-34.26451645237619,E,E,D,0
65+,Non-Veteran,Other,C,D,D,-20.3388794911859,-78.60484843634433,-55.00856926693085,61.17291359386036,-150.86837168711682,C,C,C,0
36-50,Non-Veteran,None,D,D,C,-81.11162857055864,-61.04544572042998,21.298556730913724,-109.2552762099221,-36.2125579037123,E,B,E,1
36-50,Veteran,Buddhist,D,A,D,-79.52772131812497,-57.30907229979883,108.67067024230141,69.26510832986928,162.0034174389139,B,C,C,1
26-35,No,None,C,A,E,-42.24051979426282,-83.98213761574739,-5.889702359635076,-28.35731277420447,0.32525343741191265,A,C,B,1
51-65,No,None,B,E,E,-10.735636391450349,85.71202881339464,-161.65719084803138,14.255632153690833,97.00639012366938,D,E,E,1
18-25,Non-Veteran,Muslim,D,D,B,15.016883559674628,101.26918369914328,-70.20674863693148,54.646107647072704,-44.52156843200899,D,B,D,0
18-25,No,Jewish,B,A,A,-41.63716398046082,47.940132298192246,51.10672058361464,-69.39236654494455,223.4591668481745,E,E,C,1
18-25,No,Other,B,E,B,-124.05489574800647,9.91120809806193,-77.76187751730879,-186.43057334848882,250.28783802294208,E,D,B,1
18-25,Yes,Buddhist,E,D,D,-0.9282729430603956,189.25206707160692,45.80780026709814,24.5104627973535,-63.58535537508896,D,C,B,0
36-50,Veteran,None,C,A,D,-207.9713128208772,230.7232103253134,-96.38766179874814,-43.090545130283914,58.393615938534694,A,D,B,0
18-25,Yes,None,D,B,D,-2.2146176832717255,77.93181460776873,-24.531151076083553,-135.54079750780045,60.45072575343825,B,C,B,1
18-25,Veteran,Muslim,D,B,C,-86.91977058468991,101.02038229148388,37.265927485801484,-87.50486430150023,-31.12058441862135,A,E,B,1
51-65,No,Jewish,E,B,C,-90.5813922350001,-206.52576249670105,34.21002954207025,122.08509297604766,61.80908821651491,C,C,D,1
36-50,Yes,Hindu,E,B,B,124.79751440952502,-163.81379596232804,13.885872106616699,40.58976847319446,46.5480778016485,A,B,C,0
51-65,Non-Veteran,Christian,B,E,B,-45.612026548593896,8.274024771917787,-79.02141924294416,-117.8508725691209,302.5911558400712,A,B,E,1
18-25,No,Hindu,E,B,D,105.7344914764654,14.715749616504612,76.72302571918593,-90.28610710654942,15.451391027376019,E,E,E,1
26-35,Veteran,Christian,D,A,B,149.3485989579127,77.66791117932921,-138.63029000033836,-23.412791240102127,-14.052948145693541,A,D,A,0
51-65,Yes,Hindu,A,C,C,-29.788539839788868,239.85558358556202,81.35079260462788,70.49864997493603,-6.401778939154479,D,B,E,0
51-65,Non-Veteran,Muslim,B,E,D,-255.28404959962182,44.37013377590227,62.66041872816553,84.48773720881252,-98.46908257481364,D,A,D,1
65+,Veteran,None,E,D,B,22.98534139876217,-77.16466897853832,14.031188954351027,47.18429296424816,-29.45676235231781,C,A,B,0
36-50,No,Christian,A,A,D,135.7051018159093,124.87858172896884,-47.459356863040256,-58.98562125535358,245.17562123931805,A,B,E,0
36-50,Yes,None,A,E,C,233.4885751021167,-3.46321106249434,-179.4658840724024,-13.762863518165178,-112.95614289912332,E,D,C,0
51-65,Yes,Muslim,E,C,E,-85.54930412653479,98.35511098643782,-131.10760910616995,-125.11672468365353,-23.036182793742764,B,D,A,1
65+,Veteran,Christian,D,B,D,69.49689388174698,-8.082296077239834,-210.10377090936208,8.616438360290884,59.044981300355914,E,C,E,1
26-35,Non-Veteran,Muslim,A,D,A,117.58052836147772,44.15924138421297,52.20817913713607,-146.7448916909905,-24.103308925971934,D,A,E,1
36-50,Non-Veteran,Hindu,E,B,D,-95.49755339374015,80.08446727155646,17.5675711733314,91.9893932940756,-1.7373773687164498,A,A,C,0
26-35,Veteran,Christian,E,A,B,-15.560541612990459,-81.37455644865447,-50.821994219921265,184.70883149259168,136.0385519104918,E,A,B,1
26-35,Veteran,None,C,B,C,-30.188510121822652,-49.54768447869925,-62.12450685149329,-203.23598540547601,54.45576100250447,C,E,E,1
18-25,No,Hindu,E,E,A,-47.23399874284077,-43.78773296411542,-89.21244244759063,-117.21093718133702,-147.95208575262896,D,C,D,0
18-25,Yes,None,A,D,E,-157.09827870679032,-38.84559966024608,18.21137387571296,-26.105925690960515,-96.5577294681984,B,D,C,1
36-50,No,Other,B,C,D,87.59913818365922,99.45909103450373,118.06131539884848,-188.124482797591,-158.2523404423226,A,E,B,0
65+,No,Buddhist,E,C,E,36.69693135964675,43.73400211594113,-81.15817303275286,-29.103607349588962,22.43546632623184,C,D,C,0
18-25,Veteran,Christian,D,A,B,-71.36786100259744,5.908152637545937,-181.29252767562815,60.062118267342434,-230.25754613796482,D,A,B,1
51-65,No,Other,A,C,C,-24.73021744608196,134.35419756706008,-123.8985857835099,-90.32382448323133,-42.504163371212826,D,A,A,0
51-65,No,Muslim,D,C,B,17.001220747302316,-193.90583721336424,-140.819217071109,81.4085511599827,-32.93106132064089,A,D,C,0
51-65,Veteran,Muslim,B,A,C,-2.517415455946866,-74.16008339259926,82.95298948264002,123.70467145222285,19.036977782177694,B,D,D,0
65+,Veteran,Muslim,D,E,B,160.97970230930986,17.942896985501346,108.57132492358559,-48.32232300321236,-100.2956385392185,B,C,D,1
51-65,Yes,Hindu,D,C,E,-40.412511782910244,61.20578636029064,-47.82926505276642,97.56232000985989,-126.07746179332398,A,B,B,1
51-65,Veteran,Other,E,C,C,-115.80128937114272,-122.07429890741935,-10.157099384750934,92.01019564637865,-70.35296243597959,C,D,E,0
65+,Veteran,Hindu,B,A,E,-192.22502188586816,-22.730833365834798,81.15909686611342,-121.83906364760033,-23.59326482730504,C,D,E,1
18-25,Veteran,Jewish,C,C,B,80.46390874469886,-38.288637447360344,42.26394499359042,-24.178952766645924,-162.23537943438401,A,D,B,0
65+,No,Christian,A,E,B,97.1808073131579,6.78854265195062,-93.58606977622625,146.22447729348548,272.38579226533983,D,B,B,1
26-35,Non-Veteran,Christian,C,B,D,-154.78765156132644,-131.34131366070432,-21.167838778658002,-26.98568706888874,-168.45176880036755,E,B,A,0
18-25,No,Buddhist,B,C,A,-75.14984780210696,-146.24235810726276,-81.0381634400538,-107.20030496662515,-21.101515585668,E,E,E,0
36-50,Veteran,None,E,A,E,87.38371667545522,40.709515209703625,-43.919987079175,51.11085618344312,197.7833692445904,C,D,D,0
51-65,Veteran,Jewish,A,C,D,-82.88122550259975,-139.81410826816474,-9.476791224571386,95.97459530574378,-59.30644626646268,D,E,A,1
36-50,No,Jewish,D,B,D,79.7901858987132,224.2485040255084,81.47265843380089,0.4838998084135954,-9.060854832457393,D,E,D,0
65+,Non-Veteran,Buddhist,D,E,D,-1.675442599001601,-59.55225099657925,12.607884992762536,60.405904766427234,330.9802462397673,B,C,D,1
26-35,No,Hindu,C,E,A,-16.508011718800347,-0.6885637897721015,4.8665500090387805,-5.280750727255845,-123.18718400464861,B,A,E,0
18-25,Non-Veteran,Buddhist,A,C,E,-118.32178237564158,32.21070859732503,-43.62378814446974,-121.9275694078075,-62.66550808998381,E,E,C,1
26-35,No,Other,D,C,A,-131.37304947600052,-15.160983448801336,-22.29877239552465,-119.7959365650345,-111.66772929680278,C,A,A,1
36-50,No,Muslim,E,C,B,-63.12422966121615,-207.3535723306209,-66.09978881221122,-67.78334358983537,4.990926729375813,C,E,C,1
51-65,No,Muslim,B,E,A,-129.67898945140968,-30.219033761137275,41.44402423823999,-89.35848567429981,6.9314188571485245,D,A,B,1
26-35,Veteran,Jewish,B,D,E,-35.247490527089134,-50.46980702644378,-194.57686718356229,198.95009759802062,37.94114290290184,B,E,E,0
18-25,Yes,Muslim,E,E,D,201.34916334732304,-32.256382849979644,94.8927722688777,126.95491841566292,-169.1571533934748,E,A,A,0
26-35,Veteran,Hindu,D,C,B,-28.066871628618074,-121.14180767923106,-41.84367675905903,-148.5375807432245,-21.6712335569986,D,E,C,0
18-25,Non-Veteran,Jewish,E,A,C,-33.19691931191958,-164.5580325809144,-117.82447494600983,-30.47450104579247,-71.35847865341272,D,B,A,0
26-35,Yes,Jewish,D,C,E,-127.68763693686054,-34.14614479949214,87.93027859135864,-114.3393348591153,57.117320731282184,A,C,B,1
26-35,Non-Veteran,Christian,D,A,A,-45.635250442770236,-100.02468979512625,72.72375644949751,18.24538069794879,-45.14061623142704,E,B,E,0
65+,Veteran,Christian,E,A,D,-202.86732695691137,-57.129053000238564,-5.4808409582043,204.25045499804355,-17.335035022421284,D,E,C,1
51-65,No,Buddhist,B,E,B,-85.94873136508741,132.5157445084424,-90.40013076175025,85.34269816465618,-217.25112003522534,B,D,E,1
51-65,Yes,Muslim,C,C,C,58.71389510862508,-18.610885940462328,60.93679226385458,12.559236432009182,-54.19658088432353,E,C,E,1
65+,No,Muslim,E,C,D,75.57377633701627,-156.18053891988325,-26.776039561740216,48.982817090304714,145.12326886424205,B,B,A,0
18-25,Veteran,Christian,E,D,D,-97.7662031441485,107.8196286691518,79.0878454677818,27.799486393159476,-7.173311677393814,C,B,D,0
18-25,Yes,Jewish,A,C,A,-27.621589779400928,-60.38889261845413,-28.749149162131904,29.374802808937524,-112.3480665761137,D,C,D,0
18-25,No,Other,D,A,D,4.0086183003894265,63.518036524345256,-65.20874718446737,-55.67200453911255,67.71105600112388,B,A,E,0
51-65,No,Buddhist,B,C,D,319.204478148411,42.02768677711228,-49.49417099293819,-126.05753827472948,28.505600516628128,B,E,D,1
26-35,No,Buddhist,A,C,E,-212.7632768110642,50.97828652318971,-52.84921533801145,29.525769852567365,2.304285104720145,E,C,C,1
26-35,Non-Veteran,Christian,E,E,A,35.12542311543555,20.074781491049716,59.92822404901751,0.5788039436862952,164.2574918317722,B,C,E,1
18-25,Veteran,Buddhist,B,A,A,0.7479003190932474,-85.28445679829026,-134.97398501519604,-126.45965709639736,154.59745144129514,B,D,D,0
18-25,Non-Veteran,Christian,B,E,D,-118.95189016256096,-123.83513880631365,-94.63664164889413,59.1177730908251,-198.20196219952646,C,A,C,0
65+,Yes,Other,E,A,E,-88.84845869684527,64.7295688328483,30.29966813834553,-119.7105160191722,210.57657374143406,D,C,C,1
26-35,Yes,Christian,A,E,D,134.35682542110342,10.551141372760133,21.614226024750266,-159.76906961830423,-60.37007177957332,B,A,A,0
26-35,Yes,Muslim,A,B,D,11.24193213251503,44.93197779500369,4.503112355473897,36.77879933914471,37.707004495582915,C,B,B,0
18-25,No,None,C,B,A,-34.918961686558895,57.866688869352124,33.00913521218268,-131.36555187226273,242.48438097631353,A,C,A,1
51-65,Veteran,Other,D,B,B,-19.90351593546605,22.658888103516837,-137.3564999157027,-4.628362724069323,29.06100410341143,E,C,D,1
51-65,Non-Veteran,Christian,B,B,A,108.27938949110543,-208.83770132701977,-55.7475377314755,-242.73169507866407,49.24765590861367,D,C,D,1
36-50,No,Buddhist,D,B,E,-164.96426988936435,161.47255800435914,111.35736474756447,-11.80671818212436,-104.05065476075839,D,A,C,0
36-50,Veteran,Christian,E,E,E,-85.8168637796189,-103.8605203185968,-92.78733802434706,-44.83172344520897,39.56419159896496,C,D,A,1
26-35,Veteran,None,E,C,B,-68.81067037652441,162.90354676014084,57.520725256584704,109.11540535925464,32.63723830777365,B,B,D,0
18-25,Non-Veteran,Muslim,A,B,D,-8.446420139314352,23.2170358579797,138.70497065312153,-14.926893994119727,78.38864298836363,D,E,D,1
36-50,Non-Veteran,Jewish,B,B,A,-66.09064915035923,94.402864268827,132.1176392881062,2.1024067588544764,161.0905524101255,E,B,B,1
65+,Non-Veteran,Hindu,D,B,A,-158.28943897113373,163.30800319098145,-27.69936995416984,34.897715810376184,109.80495298853211,E,B,C,0
51-65,Veteran,Other,D,C,B,-231.19595670483523,15.919067011574803,56.791056047117,148.22570852581006,70.54423384136345,D,D,A,0
51-65,Veteran,Muslim,C,A,D,117.58819727051308,85.32798762517059,-84.39504871530491,-94.30001221993817,22.50346008604384,C,A,C,0
51-65,Yes,Christian,B,A,E,117.1188664747471,-42.18835289647492,-93.12978826536292,72.16426035212959,-79.33301517727284,B,B,B,0
18-25,Veteran,Jewish,E,C,D,-93.76615771007089,3.158084550092936,-222.51555136321574,129.63610932405527,101.93965908055833,C,A,E,0
36-50,No,Muslim,B,C,B,113.1063974946436,48.03994581059161,-75.7269270005048,27.01402159166799,111.04581271587921,C,D,B,0
65+,Yes,Muslim,D,E,A,-78.61151057998927,82.04769066771907,-76.82071062295078,-41.78990930517962,-119.67055781165274,E,C,C,0
18-25,Yes,Buddhist,D,C,B,141.31805960296725,115.39237048176454,-84.10120413060156,190.88751576653894,-14.494920516691911,D,B,E,0
51-65,Non-Veteran,Muslim,D,B,C,39.632251945113346,4.495449074484203,50.20266131571408,196.1745857241792,187.63206945968457,E,D,C,0
36-50,Non-Veteran,Christian,B,A,B,51.17070193605746,113.64196907521391,15.26163273348191,287.09122129877045,87.98262892598252,A,E,B,0
65+,Yes,Christian,A,C,D,158.5829397896869,132.8685818298845,126.46377462442125,126.70182302930033,99.36895839148404,B,B,A,1
18-25,Veteran,Other,C,A,E,92.88196552011611,-62.511324796309495,-2.261857481884002,-162.4360074086977,-56.420699325677745,B,E,D,0
36-50,Yes,None,C,D,A,-85.68127380152302,-12.428002814040179,31.403464465878127,-134.87042840336767,-39.144287681143766,E,B,D,0
18-25,Veteran,Buddhist,D,D,B,-96.52590520573408,73.65525143743686,-20.115531267834356,-84.49175184488885,30.125325095629385,A,A,E,1
51-65,No,Muslim,B,A,E,209.75072031595894,121.69639820705346,151.69724585784448,145.35142281321313,-14.705529787921218,D,E,A,1
36-50,Yes,Buddhist,B,C,E,193.3174061541049,-145.2504175128614,132.38385043766343,-146.57888845068754,-132.63384038580975,D,E,E,0
51-65,Yes,Buddhist,B,E,B,55.101516406366116,-130.9761736025051,78.37936110298152,-40.66768283607735,-76.97494871148152,E,B,C,1
36-50,No,Muslim,E,C,A,12.15690147705901,53.743737608492424,-46.7225211346004,-63.835044278433585,7.929568294176685,B,E,C,1
18-25,Yes,Muslim,E,D,B,216.95716159296038,185.26479660009537,-23.257442267839025,58.38694781471355,14.964426032962013,B,E,D,1
51-65,Non-Veteran,Christian,A,B,E,-347.57948106319395,-92.40937553988147,-129.18629285288242,29.513772665105215,112.07304314433313,D,A,B,0
26-35,No,Jewish,D,E,E,35.64121921102389,11.008487021258754,-62.72429670258678,-18.572659469323902,162.8129397677251,D,B,C,1
65+,No,Jewish,A,E,D,48.75399315961105,-62.272656547846886,-78.179650121996,34.686110349387185,151.5746764742652,E,E,B,0
18-25,No,Buddhist,B,E,E,119.43450900553864,-7.280250483347818,21.80130647223563,16.619183306703594,90.46343111442656,C,C,E,0
18-25,Yes,Hindu,A,C,A,226.7962351282859,131.10202843963117,-155.98265215916436,-53.499959329741785,-40.2585759616549,D,A,A,1
65+,Non-Veteran,Muslim,C,C,E,-47.41736526404458,-143.36088665056636,44.54402634626308,-94.61355579369034,16.084211278740383,B,C,E,0
36-50,Non-Veteran,Jewish,E,A,E,82.27833555455737,-148.50854922455972,51.12979329251033,119.35905255557127,-137.20644230373392,D,E,E,0
65+,Non-Veteran,Hindu,A,C,A,18.135708869553252,41.61121550570364,-15.63969140719352,154.12149522804697,-40.84650173198533,D,A,E,1
26-35,Yes,Other,E,B,B,32.2903192101316,42.77553444565233,-54.95685795482781,87.063718612606,-87.18440582035207,D,E,C,1
18-25,Non-Veteran,Christian,E,B,B,-0.5930499354589707,-47.66030500126185,92.59998143739715,-257.32533505919133,-56.328250362453616,C,D,E,0
36-50,Non-Veteran,Muslim,B,D,E,-188.2838448713982,-21.892419347922832,96.63048462458501,187.78188523783118,190.9017708654781,C,B,D,1
65+,No,None,C,A,B,80.02803993898617,110.65175361245699,-252.31039893414206,77.65824803592761,50.78450074785052,D,E,B,0
36-50,Veteran,Muslim,D,D,A,-22.715745398933436,-42.914714386457085,31.53384078936264,-89.63076388452139,56.253713558183904,D,E,A,0
36-50,Veteran,None,B,D,A,55.192045912222554,241.7516106851685,-72.15939350750706,-57.43185737407012,18.539627726047666,B,A,B,1
18-25,Non-Veteran,Buddhist,B,D,A,-168.14355165387872,42.268475448267466,1.8749917451816718,-141.3670161870253,22.872471667301348,A,E,D,0
18-25,Yes,None,B,C,E,49.02914117686906,119.19101128300207,144.48399093752883,87.0291859787296,-37.95227455170356,B,B,A,1
65+,Non-Veteran,Hindu,D,B,A,-72.03313208740389,89.83345181212263,79.68755802524012,57.65896336640355,33.95338385984204,B,E,B,1
26-35,Yes,Jewish,E,C,B,-12.372945012009225,75.67952362486542,-94.01156270975875,-4.631502879156816,-48.439857609607465,A,B,C,1
51-65,Yes,Buddhist,A,B,C,-6.5640981361904425,-21.73538275461108,36.69547947507564,41.32636248176124,-166.16802698837535,E,A,A,1
51-65,Yes,None,B,E,D,-20.056721427770064,-89.99605755970317,39.04660290070224,120.2737706156896,-128.3428903708904,A,C,C,0
18-25,No,Buddhist,B,B,C,-12.157809910231212,-103.15518107594795,55.77307557414027,38.705809231727514,176.3883516337266,E,B,B,0
36-50,Veteran,Christian,B,D,E,-117.57380628879153,33.47906207428513,-110.24965861133593,94.35165234612153,30.285943290370632,B,B,B,0
18-25,Non-Veteran,None,D,A,C,136.36099338584205,126.58642816013874,103.74179539584516,36.73713809176451,-120.70972220337339,E,A,A,1
26-35,No,Christian,A,E,B,-9.28115956119879,-94.25193587201154,-21.224407311612147,-68.82508981952125,195.10513689025186,D,C,C,1
51-65,Veteran,Hindu,B,C,A,-8.888398705077494,-119.66179298211416,121.4184441393694,-59.03766555418433,66.86102836453982,C,A,E,1
65+,Veteran,Other,D,C,B,-28.800544267569954,47.36937865995874,-169.2791268418001,3.703730852716198,-63.38447259265105,D,C,D,1
51-65,Veteran,None,E,E,C,-76.99076268539308,35.83033700153259,66.14077626649795,54.766940982208624,156.3790533712325,D,D,B,1
26-35,No,Jewish,B,A,C,21.83836955827951,-134.8110795569595,96.0923043512253,54.92715683680882,20.48228540799459,A,E,A,0
51-65,Yes,Buddhist,A,C,D,-10.323573786033394,-289.36646988698084,-30.68041994276295,101.02981720336368,45.94097094761108,C,A,E,0
18-25,Yes,Muslim,C,D,C,-35.53321232859937,-43.98612778205744,28.536369487893843,174.53500362877884,-80.80077930653509,E,B,C,1
26-35,Non-Veteran,Muslim,A,B,B,-69.74594063215477,9.656001513489237,-74.91441324281482,-61.388250735338744,-66.14361993443397,C,A,D,1
65+,No,Hindu,B,A,D,-60.45558208833069,-170.83046826776763,-116.26345679126457,117.6900575072425,257.82254150282773,D,C,A,1
65+,Veteran,Hindu,B,D,E,-41.4306025590747,-166.4221065127852,-1.2630353293579473,109.36385859727362,-127.52324009325666,E,C,D,1
51-65,Veteran,Hindu,D,A,D,-201.38706061902334,-133.30622497625436,-96.04406932108212,9.922861176236584,-35.07438041333845,B,A,A,0
51-65,Non-Veteran,Christian,C,C,B,-34.07391954614207,-53.825798095829015,-46.79413055139372,-109.80659637354518,222.14413766375657,C,E,E,0
65+,No,None,B,A,A,-174.0111380540629,-24.2505829087298,-2.124499060995527,61.125948729354995,41.44681432869431,C,B,D,1
65+,Non-Veteran,Buddhist,B,D,B,-154.20191903192358,-169.16806521761734,83.00916593417902,-43.6817776075663,-26.94252587223891,C,D,C,1
65+,Non-Veteran,Buddhist,B,C,C,-136.71946930626683,-34.103711293092395,71.56753315773157,58.43803422113343,13.611452748769931,C,C,A,1
65+,No,Jewish,D,D,B,-238.49862103934908,34.97166098107748,32.44417359733342,113.7984918725871,-75.06427372127762,E,E,D,1
36-50,Veteran,Jewish,D,E,B,136.00507501298938,178.87779110066538,-43.39463962649421,225.520162631622,-110.61521449353897,B,E,B,1
65+,No,Jewish,C,A,C,-146.04145878017846,-69.47744388434441,141.68471205024565,37.267390368752004,76.94830962421028,C,A,D,1
26-35,Non-Veteran,None,B,C,D,79.788891187916,29.652752223778535,66.39541410198687,21.41579834037752,-143.700680915224,C,B,E,1
51-65,Veteran,Christian,D,A,C,78.15753812956113,-167.50678164342267,111.62410960371993,-177.94414331400043,58.126143751137626,A,A,E,1
51-65,Yes,Jewish,B,C,A,118.80462262559597,48.99926999610718,121.9783007381019,-107.03041309212134,84.34532855296486,A,B,A,0
26-35,Yes,None,C,B,C,-14.674147886651204,212.36036289519012,-90.55768086928171,-45.20487625025063,-57.56023593872751,B,A,A,1
26-35,Veteran,Hindu,A,A,D,105.87213097357318,-40.300829945186365,-244.69589139228614,-90.57687134595461,-44.28171988728168,E,D,C,0
18-25,Veteran,Other,E,B,D,132.92554208562788,-97.32051501444272,-13.946556365500214,43.205632965206156,46.902110467080135,E,E,D,1
65+,No,Jewish,E,E,A,-68.49237268919693,47.94853218506491,-137.96683847066765,-61.185867163648,-147.0447239245415,C,D,C,1
18-25,Yes,Christian,E,A,A,-118.5904515657215,212.85665200333236,69.59214411958776,-158.12138927706442,53.77729612480765,C,A,C,1
26-35,Veteran,Jewish,D,C,C,-10.136497368047056,125.35050837399955,-170.92898516493935,-100.02129181508283,-151.74257106151197,D,B,E,0
18-25,Non-Veteran,Muslim,B,D,A,105.78452192559402,-5.820312400270917,85.0379611621494,15.802082274670576,-151.9151711908731,C,A,E,0
65+,Veteran,Jewish,A,E,B,131.0780346888508,104.8360588228412,11.962134893778392,165.67890212811517,-56.49154759197762,A,C,C,0
51-65,Veteran,Muslim,D,C,A,218.75530871740304,-173.95137962420776,-119.48233262853162,-31.014769788005083,29.55025951353872,A,C,C,0
65+,Veteran,Christian,E,C,A,-80.10733268916175,45.11000646983488,-99.85906168401415,-176.65232356581703,13.798414424733346,B,E,C,1
18-25,Non-Veteran,Hindu,E,B,C,-159.72949319075477,132.4267166868252,-2.4232385636421268,-51.06028411728975,-42.1026294590263,D,B,B,1
26-35,Non-Veteran,Jewish,A,E,D,69.4965405180847,223.88812899345876,26.33466061220855,92.52922438338541,-33.68445342951455,A,E,D,0
18-25,Yes,Christian,D,C,B,69.38078322736354,-53.120237296025095,-23.189876001587127,41.35960000412254,50.1589161619051,B,E,B,1
36-50,No,Christian,E,A,D,33.57807633671872,93.43252102575067,-13.296881609910285,-93.46548133090434,113.91487478139896,A,D,C,0
18-25,Veteran,Hindu,C,B,C,-138.132016477065,3.314098572372496,-101.27123586439583,53.11791987311317,-78.87990584345683,C,C,B,1
51-65,Yes,Hindu,D,B,D,-156.73809108460003,-124.76958833014832,-34.13908317859726,-107.31744979438211,-87.68149428086296,C,D,B,0
65+,Yes,None,B,D,C,78.46012895186234,-173.09384831751674,67.25754965319692,64.9352143007175,-143.09160047011483,D,C,A,0
51-65,Yes,Muslim,C,C,B,67.1336387346575,-58.71885845270859,69.48443907889822,13.808091454812482,-148.55391030262066,A,C,D,1
18-25,Non-Veteran,Muslim,B,B,A,-23.43520150524705,179.15545008121302,-160.062573702959,-74.60990716691016,-69.87227349590307,E,A,D,1
51-65,Veteran,Buddhist,D,B,B,-10.12556334991337,85.5611461620779,164.66783443187757,138.74814924950866,-20.546878246364706,E,D,B,0
65+,Veteran,Jewish,C,E,A,173.10197498555283,71.68443348994596,1.1414240753793556,-130.57657403265398,-186.16437092356014,E,E,E,1
36-50,Yes,Muslim,B,E,B,84.60349041287691,-117.60316814945281,143.53762373039316,-103.2464796944405,158.81188886334485,A,B,B,0
65+,Non-Veteran,Other,A,E,B,-15.974400100288339,278.66480111293237,196.10666800732113,4.3973483580348365,-90.58079390446564,A,E,C,1
51-65,No,Buddhist,A,A,B,4.116813252500031,-15.79438216846491,4.458823543306633,-17.557085216580603,243.65515379613032,E,A,B,1
51-65,Yes,Muslim,B,C,B,-61.23241500560606,152.39960681057755,-36.02304759616136,-78.56863497765228,-215.24078971626582,C,A,D,0
36-50,Veteran,Other,A,D,A,-105.57423882225719,-160.64396618908404,-33.899544842730656,-178.65054462239686,133.04920010790008,D,A,A,1
51-65,No,Other,E,C,A,-9.979437362075805,67.48981342592865,6.160208629126722,-81.57348385010428,10.817400229325022,E,E,E,0
18-25,Veteran,Other,B,B,E,27.969361441750756,67.90392400050142,61.41247288536943,-0.2954859965925427,-105.12962712576083,C,B,E,0
18-25,Veteran,Other,C,E,C,130.38146828066422,-161.79393398096948,12.741170198562907,-65.37700543201223,113.51206975208751,D,B,E,1
51-65,No,Jewish,B,A,B,-150.99444464049728,14.163511887137641,87.89500310469036,21.8515791908893,-231.11387630140428,B,B,A,0
26-35,Non-Veteran,Muslim,C,C,C,57.652609999501735,-54.89639063772533,-59.52369260472861,-106.17943326114276,171.9885601709757,A,A,B,0
26-35,Veteran,Muslim,D,E,A,37.366014014849966,26.742205956914354,2.969068830430968,27.951009497380962,43.05357243845586,E,E,D,1
26-35,Non-Veteran,None,D,A,A,-72.16222555256493,-4.070404200590053,-54.53317010882477,173.24469125996055,-49.022797442843334,E,D,B,0
36-50,Yes,Hindu,A,E,E,27.62694960213817,8.68982664531717,-31.413164252369224,102.82528253323264,76.63306653815783,A,A,C,0
51-65,Veteran,Jewish,A,B,D,137.3909225019273,-2.840756527725767,1.9394340185142078,-44.830757192863004,-34.30327583277309,A,B,A,1
65+,Non-Veteran,Muslim,C,A,D,5.8078592419152,38.347577136949845,6.442377021748544,-123.26557773913811,74.40660796567339,D,A,D,0
18-25,No,None,D,C,C,128.33205708308856,-62.24588497829095,115.5621709396015,-95.22795529467957,-60.589744080778864,E,A,B,0
51-65,Non-Veteran,None,A,C,D,-27.46684826225651,203.46388497079872,-148.3371658897408,53.358159016262704,-209.66769474992907,C,C,C,1
