sex,country,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
Male,UK,-57.01582327942113,-32.57983724754658,159.62507130403418,-64.00604815228222,59.28988349378186,E,B,E,D,A,E,-47.18507250062244,E,D,78.09261949631625,1
Male,US,58.999782898310904,30.07874710870086,18.615478054262294,19.304535261095786,9.133247369401989,B,A,A,A,E,A,182.92871919138773,A,D,-76.52114728521572,1
Female,UK,-0.000821021641495832,59.524389675897716,16.890966885575327,5.617936668084777,1.3784137602241755,D,E,A,B,E,A,-85.51392328042499,C,D,-34.92692122285917,0
Non-binary,China,-153.1991487865593,-87.28709820822462,87.82330752431349,-103.18788322375336,83.13204497496618,E,C,A,E,E,D,-85.36521483595338,D,C,-164.1225387140073,1
Non-binary,Mexico,140.64374843729294,1.2423406402894794,149.36505075240274,93.5319424739705,-184.09126852017187,A,A,E,D,D,B,87.51744986877347,E,A,206.2263332734959,1
M,China,-80.11582947108273,101.489818767833,99.53558269910125,-57.704920039505716,36.000297724957484,D,C,A,B,B,B,-75.84103931705684,A,E,-158.3236593905283,1
Other,India,1.5080957759120068,-340.51606128317917,-132.6972862992083,-69.22053938760234,214.03225592762078,E,B,A,C,C,C,-25.618629038878844,D,C,-54.514040616446636,0
Male,UK,61.544262858573475,-34.81528611094477,-38.012600002483325,95.87657469986239,41.001951238752795,D,D,A,B,A,A,-133.01580284730758,C,A,-94.56902055023566,1
F,US,-128.30634228417074,-128.32536841051706,-163.77679007502985,131.69583386597287,165.52286412218285,C,E,D,A,B,E,128.6499467990364,A,B,109.7827514169878,0
F,China,-44.69770622641146,-140.56114423021484,54.93472442884196,74.5447198058397,125.14348643429219,A,D,A,C,B,B,-4.043947422827679,D,B,-118.12323269784406,0
Non-binary,UK,53.52017643927657,-55.627420918556666,-40.00839577176152,-28.633663339712985,177.55043199543843,D,D,D,B,A,B,39.86043668563586,C,D,114.90112997329902,0
Male,Other,23.284492103082883,20.124976933178075,-5.5846845481534935,40.23319828541735,-87.73375955268892,E,E,D,A,C,C,-229.41296449856122,D,D,-33.59251235354359,0
Male,Other,-53.91212416502504,95.11634355183672,116.20773089140859,37.22305686877744,-37.2037584064205,D,E,D,B,E,C,-77.54724355256381,D,B,-43.40647350458526,0
Male,Germany,-207.767998132642,-5.012130697398293,77.94745677881407,-46.90466409347277,-53.170055132613406,E,E,D,D,A,C,-13.367980429650267,B,B,-104.17718097583308,1
F,US,-101.00963498930635,-68.0348062681298,-43.22936125376805,-184.21586693078675,-104.65153104866629,C,D,C,A,B,D,11.768316634916445,D,B,-86.41634201144586,1
M,Other,37.425920157586745,-163.53749931068353,-149.02168710632955,72.84604682255463,-18.893801063872523,C,D,C,C,D,E,-170.5338329752911,C,C,-184.0578773056619,0
Non-binary,Mexico,-121.3307576700208,20.722050284023,-47.62493113291579,-24.308108828545418,206.87011540180805,E,A,D,B,E,B,-53.22302303951415,A,E,-97.07151685550652,0
M,UK,87.38892480664386,97.38974316092886,-33.10949180106765,16.06029562229851,-110.8278008458302,D,D,B,E,A,D,-71.75033192223742,E,D,68.69862493718367,0
Other,US,3.0216360786081147,66.82487551892258,-226.01300448103765,84.39593578151634,-18.63252787118658,A,E,B,C,C,A,180.65640022618604,C,A,-73.87952026476286,0
M,Brazil,-130.79279309753912,-43.681813048508744,44.0883458798334,92.24979204446846,82.4119083014925,E,E,E,A,C,E,-131.48954812598447,E,D,120.19264038727562,0
Other,Mexico,71.26674201878622,-25.066284428384133,35.73161317672465,-13.837662153330314,231.5925559578087,D,C,B,A,E,A,126.01261721645531,B,B,68.69469336547719,1
Non-binary,Mexico,-28.766731281863866,-51.32921913619749,10.942458717642824,32.693059483650515,101.21792378322512,D,D,C,C,B,C,89.54695042046123,C,C,75.93535958015146,0
Male,US,-66.5738986685114,37.992690541545635,-148.87635466869702,-11.413618305122911,-57.61291036232107,C,C,A,D,A,C,-66.63116044214719,C,C,-78.95143607023512,0
Male,Brazil,-3.6963923325933385,-38.388954800787936,-44.57087631310008,5.5734976810661685,25.18518648095025,E,A,D,B,A,A,7.748757562402357,C,C,15.410845776834414,1
Male,UK,-33.31562417770477,-191.8494037163405,-29.228656397898273,5.7661321916794845,79.87838387990418,B,D,A,D,C,C,-8.06418849760531,C,A,92.69953189291333,0
Male,India,-92.95906318309723,46.854851557437904,102.13517856946655,-120.43481413232134,-60.04399530758045,A,E,E,C,A,D,-175.54476471170406,B,A,52.3236881744748,0
Non-binary,UK,-175.54224770211252,-90.09773230503151,-9.844450123512143,96.80101126116018,-128.73541035818127,C,A,C,D,B,C,-73.37135634134904,E,D,21.01056855317809,1
Non-binary,US,46.10549402363897,-153.44061919792685,56.65115263662411,-79.22509602600725,-25.69141618953218,D,C,A,E,B,B,-181.91537255670391,C,C,82.33601893814084,1
M,UK,252.83200816658362,-66.74661082444355,141.26853584217432,-43.02160434419575,-118.91022015220203,A,E,A,A,D,D,107.56784308827703,C,B,21.130609197236904,1
Male,China,119.14735528985962,-119.53003048575577,92.29579359096724,-39.70804056368493,32.42998806262446,D,A,A,D,A,B,-23.185424636727067,C,E,116.16106094572658,0
Other,India,-19.14871474919528,198.76858266172675,159.56500607708605,-67.21780517599704,-85.09825167992983,D,E,E,C,E,E,101.3812794364782,A,B,-35.027442118304755,1
Female,Other,138.86479323536233,3.082096686013459,-182.68989709928186,82.45093980654624,-89.49335729899848,A,C,C,C,E,B,3.6389000088032564,D,C,-43.224319000022156,1
Female,Mexico,-119.06714023566714,92.80236563373818,25.449877953292305,98.42773310659491,-118.172144684531,B,E,D,E,C,A,-42.32821271803789,C,A,138.4127396981541,1
Non-binary,US,90.03370410012333,61.09220015469072,103.83534168688773,136.34304749752837,-7.71539427309814,B,C,B,D,B,C,82.5514131088923,B,B,74.69300151647246,1
M,Mexico,-73.79149437053462,-8.916454885709769,37.33299616216646,-15.0318494704611,-17.906329568705445,D,D,C,C,C,E,-66.69330548194783,C,B,53.9626520833107,0
M,China,-120.26197765928481,-187.32043196229918,-183.63464263379137,82.22760167198538,50.45408333569292,D,E,D,D,B,C,-46.415994267186505,B,B,-49.07266249989076,1
M,UK,25.970789482430206,-9.199790426437714,-5.6429500185858075,112.84631941597283,-130.94099262877617,C,A,A,D,D,C,-42.59629721854115,C,C,-2.974284234540323,1
Male,Mexico,42.51995835919718,-64.37344611847413,-32.75561754811742,-44.110257660217414,-112.92827514677401,C,E,B,D,D,D,-32.466312765357216,B,E,-192.9761957634867,1
Female,Brazil,-64.23190672769104,26.874493268371452,25.322917588329787,136.50721958033145,-177.25082729397343,B,E,E,A,C,B,97.05496401807372,A,D,-21.416077382022355,1
F,India,-82.88066390257592,-149.5390796930026,120.95565729548257,-63.82351201219488,-123.63114362356352,D,E,C,C,A,A,138.59248864369624,C,B,107.10471602434441,0
M,Other,-77.4133069378643,-77.18583531673615,62.273972620959405,-23.178686120038208,293.85902119442017,B,E,E,D,A,A,-72.17788363635155,D,D,-143.549639151805,0
Male,UK,28.744920691311126,74.54954999413998,-128.80064341673722,153.44017913521702,49.6749427663158,A,B,B,C,C,A,-45.22516118214514,C,B,70.73105303985555,0
Male,India,-225.05563276173604,-20.228501183587756,-57.0940035983262,-60.40605595867296,-166.8107408865957,C,C,E,D,D,B,183.54893884933657,D,A,-44.18915061581851,1
Female,UK,100.22463916219364,-52.16192900035422,135.2973173858241,-43.40828013215132,36.56870638663533,A,B,C,B,D,D,-55.90042364887663,D,E,-75.00557294288672,1
Male,India,140.17674982367058,75.0722284335639,170.63786596100013,-41.87741539949775,138.57662095165438,B,B,D,B,C,C,-33.86563478988662,E,E,127.7289307246711,0
Non-binary,Germany,32.470259880979214,-27.11933816561269,10.434290240848318,23.565886183169667,-54.18594861682401,D,A,A,D,A,D,61.3249432843186,B,B,-1.5805708792335167e-05,1
M,UK,-103.56012605621731,14.520120479573743,-65.24089872745618,-64.043252164918,67.84831469790493,D,C,C,B,C,E,133.50737145390295,D,E,-106.77886854212943,0
Non-binary,UK,-31.513220062132735,-19.550034593681552,-84.04737959355076,11.417109814131484,-103.9201551024908,E,D,D,A,D,A,21.610586292850133,C,D,-26.010148814172222,1
M,Brazil,-88.47439751563945,1.8615423039409944,-75.99704137650521,68.29878969772503,47.62513606644459,A,C,C,A,E,B,30.470401877938226,D,C,141.85624443507308,0
Female,US,9.890263211504703,-16.265316058119232,-102.38467878177617,-147.10256668454292,-43.242529766142454,C,B,B,A,E,B,-152.97652419670132,A,D,-25.247452475379017,1
Non-binary,China,3.5831299442196944,19.351771554175134,-41.88507774604881,56.829649618361636,-100.67659020987969,E,A,D,E,E,E,-64.83805623527104,C,D,-51.678313131723044,1
Other,Mexico,44.641382641813024,251.9739091582456,-69.87370442186483,-60.5936228113894,51.14949329718994,B,A,D,C,B,C,99.88768592861584,A,E,82.79973105032981,0
M,India,-24.69094501796574,-128.19930032152442,-24.681459784532624,34.973731636749974,-125.14046313810843,E,C,C,C,D,B,14.49832174799483,E,B,-109.4297456515393,0
Female,Brazil,16.233898528401188,-61.384633705451684,-123.88790293722064,-156.02551982626886,-11.593380837362353,C,C,E,E,E,C,-4.611769761013242,C,D,31.339347552364643,1
F,India,49.845719807129875,176.7480100909729,59.16221858871652,6.098808817793034,-59.75490813166944,C,A,C,C,E,D,72.01599764891682,E,E,153.68097768175076,0
Male,UK,-54.346495251677354,24.171254857367447,-75.95198097308186,-26.40471674882839,-14.296572139501814,A,B,B,C,A,D,-169.96636119539045,A,E,148.42933778383983,1
M,Germany,-3.5563583748681897,-138.33679912370872,33.56893243040637,-46.85677950430047,5.135616121960727,B,D,C,E,E,D,126.91382315108824,C,E,-43.560014119506874,1
Male,India,-184.14673407379928,150.47338728215328,95.20879436214244,-72.28900506696182,-76.81044673328326,A,A,B,B,B,E,49.88351055789411,B,A,29.565263713120686,1
Female,US,199.2396531356935,-105.33307510668128,-164.48979158916404,38.662391496704444,10.655534372111097,D,A,A,B,B,D,-110.94490388614693,B,D,45.05275790055229,1
Non-binary,Other,28.76773336290601,109.2854264409095,51.93863770337559,-7.9567202923433555,-100.07023052264033,B,E,D,C,A,B,40.37169665576248,E,D,-26.418298186236868,1
Male,Mexico,-143.43524735035388,14.091173618094507,-7.697397889516759,-57.734689629636016,-144.2001372762875,D,E,A,C,E,B,-83.65086966293401,C,E,104.56536742469007,1
Male,US,-121.03508090768536,-47.4722999334235,-23.832744785538946,6.3589587245585015,164.88440077497225,D,B,A,C,B,A,-111.79038707630752,A,E,155.0424619821028,1
Female,UK,14.154342540021636,92.93190891835421,-16.955831383540808,108.51898540155747,58.132986796046694,B,A,B,D,B,C,-62.18843092843276,E,B,-200.224662235448,0
Female,Brazil,183.17623601747275,100.0663221423464,-51.268157433973016,18.827659992860816,-123.7214133987532,B,A,E,C,C,E,-148.65438065823798,D,E,-82.25720579367723,0
Female,India,-63.49145385061965,182.62188738550063,82.71353894208636,-80.04659675457701,-40.223231707052626,C,B,C,B,E,B,107.31632539954428,E,A,-265.5120757819251,0
Non-binary,UK,124.44741925470424,-50.27574581983417,30.438190035435774,-42.47982458045487,-7.09518467059526,D,A,C,E,D,A,66.29229259327451,E,B,-105.61205992739751,1
M,UK,-9.590571107969945,30.708043841682397,-143.09793498191584,-37.23662534128363,-8.306110201788972,B,D,B,C,A,C,-94.51359194301936,A,C,-203.1546794040234,0
Male,UK,133.61199901527354,-199.46566619744237,-69.0541375782227,100.39831159461015,31.280194371871673,C,B,B,B,D,C,-71.16681661607385,D,E,-228.43379748289166,0
Non-binary,India,86.14835993551972,-7.068958491945451,-66.19559685936565,123.34968717056644,12.762483560145748,C,A,C,E,E,C,75.41268671639202,C,C,-13.774445219274678,0
Other,Other,-10.111771119004992,-15.348425190331817,-140.7946944203735,-101.93252816986036,-102.64644457065172,C,C,C,C,A,D,4.611661294444429,E,B,-2.8898225204444987,1
Non-binary,Brazil,37.44244456534394,-44.83513631353003,17.30763392123344,43.80465891857867,321.69774568616486,A,B,D,E,C,B,-63.31254156328923,C,D,-5.894063684050986,0
Male,Other,-12.42626680082613,98.94310200878515,127.40676514590123,-104.04399338728292,57.24258669345609,A,C,E,E,D,B,22.56173688857506,D,B,28.86486617172349,0
Other,UK,-72.76717388889014,149.65866025770327,5.5482556291492084,204.9969202582978,5.805546769493953,E,D,D,C,C,A,-72.6011427949504,B,C,74.33183702354134,0
F,US,150.01994301158237,189.34952177540785,-68.54697608021112,-68.42818491052448,-23.829541035677615,E,D,C,D,C,A,-73.85489539412376,D,B,107.87489896028765,1
Other,Mexico,-46.902988197525616,-42.924704912389416,12.913920288659634,114.92547400220212,-33.32806138532647,B,E,C,E,E,A,-48.145788874845,D,A,-91.83203412530942,1
Female,Mexico,-95.0891753262183,-97.18248722785314,-45.68194838188012,-88.32379261733014,-122.59558561167371,A,B,B,E,C,B,-78.74102808346638,B,E,1.6069841053130343,1
F,China,-4.620391915435152,64.91824721634609,135.7765063280193,-182.58726916458411,55.036185958121756,E,E,C,C,A,C,60.90105370013173,E,E,-7.735646868197757,0
Non-binary,US,76.50944979233346,-45.84488709774612,-37.27918306910217,-128.3134691638835,-103.36022302645185,A,C,B,D,A,A,-67.35382090488815,E,B,-92.0455927779081,1
Male,Brazil,-17.834234571978506,83.40876273609913,80.80075609147737,45.44927337590078,64.56412104512773,C,D,D,B,B,D,118.5072566450346,D,A,-39.91107173751819,1
Other,India,-43.75397063682891,-68.94278607824218,28.250252923925405,-66.38353960390884,-116.04193714038786,D,C,A,A,B,A,49.20253180306632,A,D,-5.866158850235008,0
Male,Brazil,90.3436652513717,92.62343491204754,52.69137481681885,118.71974527693556,-151.57940876668965,E,B,A,D,B,C,-221.9050146207116,E,B,-159.65643567737976,1
F,Other,141.38318575416764,-20.866457991475805,-42.274294411999946,42.151311956637755,-29.81777377782465,C,C,C,E,B,A,-29.619780675068775,B,C,54.96402678535103,0
Other,UK,-74.32692924604147,45.81548208911426,-59.277539706332014,42.81154416690919,-3.544313743755054,E,D,B,D,A,E,202.61224674611302,E,E,16.34800983958328,1
Female,Mexico,206.4824446740785,21.37772345062538,8.64087677180993,94.13988651471786,-149.03878440444018,C,B,C,A,D,C,13.47953899819356,A,B,-111.82624740676108,1
Male,Mexico,62.39536441647001,-107.43718850927166,-7.8631660840923265,12.109358320228306,384.08589929846465,D,D,E,D,C,A,-75.67313167121031,C,C,-80.16123043604033,1
F,Mexico,45.66701146337438,64.8790864589452,-141.9086516239156,147.5863892743865,-50.56106554036036,B,A,D,A,E,B,36.84630974150267,C,D,-50.985043588556366,1
Female,Other,-75.79052983044873,-62.76737096043858,-57.25350902360632,-111.39580020113434,-39.582936750631816,C,E,C,B,B,C,-20.175015704382655,A,C,-6.541400670419735,1
M,China,142.59515235206658,-144.676581612559,124.23524119646157,26.46165420766667,-52.58444634417956,C,E,D,E,D,C,-46.9451810377633,C,B,75.24544004190959,0
Non-binary,US,-37.3223450156648,-222.58608968800044,46.8653586816478,91.33195868390212,-17.62941002805157,C,B,D,A,C,A,-79.08625559556994,B,B,77.87629417298149,0
Male,Brazil,118.0969960409408,-71.35485514616006,46.719358942519726,21.04486151834216,-211.192760567567,C,D,A,E,B,C,78.37469347726598,E,C,11.202580655062363,0
F,Mexico,-143.92751252015185,-135.82007986583977,-78.9792951295776,32.809919277685864,-112.28217922463348,C,E,D,C,E,A,102.8061284918455,D,A,19.824692402617824,0
Non-binary,Other,-36.3426797516182,101.2311642804787,113.21759576259367,83.57193217500327,43.41037997043066,D,D,C,B,C,E,-59.535181821413005,E,D,-2.978400016544851,1
M,India,-30.43463989428301,48.36689670852236,-128.01162295831082,44.600248203830354,-66.0540546439828,A,C,C,D,B,B,139.1247759914793,D,D,41.46974366523791,1
Male,US,-57.524532415678834,30.007224880530952,100.93530965276784,-11.216983947518345,22.446515849949808,B,B,A,B,C,C,82.26302048283316,B,A,132.87065007389515,1
Female,Other,-111.87686744303736,87.17476383250259,-122.86882389841882,25.04405335332321,-58.6811626207176,B,D,D,D,B,E,69.45710095325367,C,B,151.01621206372846,1
Non-binary,China,43.676888116031186,31.799265214096316,189.50159775154768,140.93032373259447,-141.77512582827333,B,D,B,C,C,D,-1.9016716004080738,C,A,-122.26127540191361,0
Other,Brazil,74.4329893659808,-86.0059249509606,20.009346269049733,-26.551825602435187,-35.28585831376498,E,A,A,D,B,D,-105.30730097246443,A,B,-8.569395233211473,1
M,Other,49.87899544413465,26.401240118697256,115.84487017876077,-34.0753844948951,92.25627204249643,D,E,C,C,C,A,-4.7277767629758545,B,D,-174.1197229102991,1
Other,Other,-33.54097425520759,44.051143700970776,42.101495808207,-11.762299949374402,50.31974640036832,E,B,B,A,A,A,6.447059477261358,D,E,-112.46674692675991,0
Female,UK,-110.50828687251362,-98.92433559612687,92.9766814166047,-42.31021702149214,93.11984149348639,B,C,D,A,B,C,227.09018916338368,D,D,88.73233224741011,0
Other,Mexico,71.2979984367936,-26.995184554745304,242.91811851142015,-124.48494346145307,85.00603255672493,D,A,A,D,B,A,124.09816708636008,C,D,5.571771928635091,1
Other,China,-22.51623133064288,122.38753895760783,-29.535727490085783,-48.264122483187506,-22.701127257579415,A,C,C,C,C,E,-13.046439906979867,E,E,-109.78576474207888,0
F,Mexico,166.46616869870482,190.61235282232474,-31.280110715555153,150.00008388801055,-93.37460654084643,A,D,C,B,A,E,-94.93275336912865,E,B,96.32071275727668,0
Male,Germany,-5.338223674187712,59.92635148203117,-49.03639922425046,84.72897369403219,84.1922932952913,D,C,C,C,E,A,-151.47055799264305,A,C,-32.81425581268874,1
Other,US,82.28929270946506,15.316756553361504,-171.10381922572077,62.49773805044322,-108.10314866628504,D,E,B,B,E,D,-9.853402089241266,E,B,-26.365307011581574,0
Non-binary,Brazil,-27.993511676086964,199.62959863432766,-229.17162547116794,211.42620902797123,-59.73795353169511,C,B,B,D,C,B,-185.77729698790606,E,B,-17.975081309177998,0
M,China,14.94912655831728,106.57737441114645,26.206148880885255,53.92098125074997,86.99875999228486,E,B,D,B,B,E,104.85667249096244,E,E,-43.719759778172474,0
Non-binary,UK,-253.29219942087167,134.2253836968282,-200.74299567670565,33.853590183996864,-67.43634655362504,D,C,C,D,E,E,45.91839059021064,E,C,-133.99184216393965,0
Other,UK,65.94958458792102,-79.04792094113084,47.274863995066916,63.432867485727925,111.0340806189797,D,C,E,B,A,B,-88.60168349012243,B,C,-119.01132717878353,1
F,UK,-8.048203253668259,170.4354806923919,-144.61862684214773,121.73093147078342,13.656451250032584,C,B,B,D,A,E,175.33630008926008,A,E,9.585604376573212,0
F,UK,-91.55223997060442,72.60815325712396,128.41087954574212,188.82787729549702,120.41529077286262,B,D,D,D,B,E,15.35371349979266,B,E,-110.84017875284367,1
Female,India,-139.10047196077826,-56.580121486375226,1.05393414192398,-61.55408218412184,39.14851548055868,E,B,A,D,B,D,-128.38303516360824,A,C,108.25418233734132,0
Male,India,34.71478194614475,2.0134155358867614,-126.21490147862433,2.7928461163793363,-76.48899263509081,C,E,C,E,B,E,58.00107124760314,C,E,52.240180515433956,1
Other,UK,-49.82798986220965,3.621132572860094,-75.44686880322072,-3.108269738759886,75.19854901673537,E,B,E,B,A,E,-228.4766881913168,E,A,176.70491017535747,1
Male,Germany,-71.59649173247305,120.16653645748994,171.53717158558084,43.066037505177874,56.570068677245644,C,E,A,D,E,B,-36.12776815026615,E,D,110.34268228939817,0
Female,Germany,-57.62959437344598,-146.22772321332724,36.91078655629032,-63.25709505824556,111.97876577529877,D,B,A,C,E,D,-106.77902645909224,D,C,-14.258485117995804,1
F,Mexico,-187.46463426618553,46.37447763433579,33.81757347262406,-47.1240628221775,-6.123897531840703,C,C,D,E,D,B,27.593019243890076,E,E,-223.80983027709638,0
M,US,15.26898199131459,-60.53151178496648,101.52528971449209,-15.985231391785195,-127.5937196005636,B,C,B,B,B,C,49.27099573400757,E,E,-92.15647975397744,1
Female,India,3.669303208276373,11.739350180588644,-72.13094581301807,-22.693525729890826,-197.57148477473172,D,B,D,D,B,B,-155.49894876550064,B,A,-113.75283127713742,1
F,Other,47.018622178039166,-37.01283443232881,-20.306943694189066,178.40693622143488,-94.68083649115977,B,A,E,A,E,C,40.8066367850121,D,C,-154.85659691627453,0
Other,Mexico,-16.192799678980286,-73.13027258042064,8.625636393154302,-61.66903607135862,-44.546316676757165,D,D,D,E,E,D,31.317686028819725,D,E,35.171910743590594,1
Non-binary,Mexico,-24.842521010060313,9.407291495142303,46.3165144034872,26.062804227458773,60.562437681429294,E,C,A,E,C,E,-149.06391602210064,D,E,-74.20029731714844,0
Female,Mexico,-122.12739716798984,-27.89817804266363,292.901719331886,182.8466057441027,-172.72310461937957,E,D,D,C,A,E,184.59885426544483,A,C,139.7406751398158,1
M,India,62.40222518918952,130.21569179618112,-34.742597986025174,100.20950526271469,-123.32803337121014,E,A,E,E,B,D,72.4253871543387,C,A,-46.172574605776425,1
M,Brazil,11.697720212520005,17.743637116960524,165.65474636533276,148.72387674525106,-69.65947703015907,A,D,C,A,D,E,-8.061590314364318,E,B,103.77796809528365,0
Non-binary,Mexico,57.7997225623461,130.84243990582695,-111.23023520825592,-30.105069814817593,-30.583490728596512,B,E,E,B,A,E,-122.34910716519336,C,A,-23.432484194952366,1
Male,Germany,100.78085218406572,10.86321894853146,-80.98179401800971,-101.55803610645245,-134.43883689554008,D,B,B,E,C,B,61.610920219713094,C,D,-50.42196758201813,0
Male,UK,-33.40329253001106,24.872303063027072,-30.70724546854466,77.68652775357742,89.6420699844188,A,C,A,D,B,C,-79.37124689483285,C,E,185.18736539123702,0
Other,US,-237.16151068043564,-22.70533024949544,47.45401124186902,-68.13822878509839,-236.345855763536,A,E,E,A,D,E,6.710056324882251,E,C,25.8695108049685,1
Female,Other,-25.3466060879882,-14.094219564505783,104.88128950470023,71.7894424479308,119.1106997644957,D,E,B,A,D,D,-14.562025078804306,A,C,-51.384709253638405,1
Non-binary,Mexico,58.12981671640778,-63.771025276028666,145.8106546922884,155.53707180202122,-100.1843791765319,E,D,E,B,D,E,-45.12297923215556,D,E,93.65611358199428,1
Male,Mexico,47.30819076804899,32.88216356585983,-67.76488586752362,73.98010379128104,-50.69403443359492,C,E,A,C,D,C,38.65447572068143,D,B,-18.467692892140786,1
Male,China,1.7754729581207989,17.17219005649973,147.0004622434656,-65.44847306071527,150.9833679869512,A,C,E,D,C,E,128.6183547258118,C,A,5.287624864703842,1
Other,Brazil,-22.666684766200998,-25.307665203198198,117.10274691159776,-66.19989260331371,90.77537434455046,B,E,C,C,A,A,12.701163797548908,A,A,98.4624138828638,0
Male,US,-88.2522883732399,-124.67574772079229,7.390281741449652,12.912566782396636,-127.17419673642422,C,D,D,A,A,D,16.39434058923861,B,D,-92.1593649993452,1
F,Germany,125.74788521705639,73.05218944638105,-91.03619379916069,-167.45909738638795,-64.42443719314582,A,B,E,C,D,B,-116.00928065294467,A,B,-40.04998743747866,0
Female,Mexico,-56.02486557738063,-32.01369813935418,-15.281156102343171,-8.845083135843606,-165.3090714164628,A,D,D,B,D,B,249.7390068361637,A,B,-60.94250670941355,1
Non-binary,UK,160.1617593181297,49.2139902208769,-60.05845543030108,-30.915468027441694,-44.99745144935995,A,D,E,A,B,C,39.3438941455482,A,C,93.67929583889062,1
Non-binary,China,70.05750637388597,-35.20276570940018,50.69966181843702,-88.73621075933985,-84.87266259760437,C,E,B,B,B,C,74.60890797234758,D,E,21.51477483147626,1
Non-binary,Other,124.85856870219969,-25.706635328109435,-234.07805552077215,39.71454444034015,-97.05459422839877,D,E,D,B,A,C,-178.7417344538615,D,E,165.09218166709806,0
Female,India,-56.001607293054334,-142.82119010833225,-40.69582357562012,93.58856838868434,-97.19651886078854,C,B,D,A,C,D,66.26510787923931,A,B,-76.32623169379781,1
F,Mexico,124.81342343254246,-221.8108086281957,92.84132381384882,-102.45261339615539,83.69138069833251,A,B,C,B,A,E,178.30270613581018,B,B,72.42121735139844,1
Female,Mexico,60.134607031274214,-91.85086519709684,-38.06039014564491,95.78903460154211,12.068717321686941,B,D,D,B,A,A,-27.339278615956047,B,B,-0.63609263183892,0
Female,Brazil,-84.05094708754051,185.7278944901792,7.155049947913028,72.67903249085701,-24.269753700531417,A,E,C,E,D,C,-282.6586362620835,C,C,-258.8450544665454,0
Female,India,36.461123594650154,108.50331067817778,-18.037041687059688,-24.380300525925538,52.13174130199428,B,D,A,C,E,B,-104.646643276116,E,D,115.00392674306266,1
Other,Germany,-28.649112348253368,10.914430867554751,49.936009620243,40.358955290344156,-36.20920849976781,D,E,B,E,E,B,-10.54559481403156,C,C,-69.32633496250655,1
Female,Mexico,138.34749143442315,-40.42281183780069,-46.59068231666348,78.93449903439877,-164.95883331848512,D,B,D,E,E,D,-57.488260087337714,D,E,-13.926689618464783,0
Male,Germany,165.38386818570507,9.123511604164467,-8.604618586782449,-87.53148807370397,-97.93996423118138,E,B,B,B,B,A,15.960344476064572,A,B,37.671998201039315,0
F,Mexico,-156.89343348937496,-68.07631475339969,40.19593521765971,170.52580146374595,-89.02157680977002,B,E,E,A,A,B,-82.24114259525278,B,D,82.75077772015331,0
M,UK,-16.6710220142426,40.28818653230296,135.97049346584367,125.40342325834138,-41.0910432185212,C,B,B,C,B,E,43.41203592624762,C,D,-38.023725354515754,0
Other,US,13.727821711552215,-85.4522885939889,-21.465420759805294,75.98014564070759,73.27378169296357,E,D,D,A,C,B,60.570452637150105,E,E,15.620476278942302,0
Non-binary,UK,-151.82660447564095,27.09970110760346,-15.007410205436027,27.592448470322424,-86.60518383997427,E,E,B,E,B,C,-142.59055488672655,D,E,-51.794821343348275,0
Other,US,-220.7799183310255,-130.59687412483015,-40.764506557457395,30.292531359077117,14.312904290445807,B,A,D,C,C,A,159.83463514396541,A,B,30.81827948763542,0
Non-binary,US,-33.655773191328095,-100.7028384054167,-132.6053618064695,-63.44248251618377,114.9974665123411,E,D,E,C,B,B,35.35866816910418,E,E,-211.4067123193316,1
M,US,-23.25000834491446,-43.62040724789529,94.7760836521329,33.12789763198794,79.84563634973294,A,B,D,A,B,C,-27.06024808807562,C,C,-94.38606787866756,1
Female,US,-137.6931594304847,69.31560533927092,234.75575110675106,-36.391445799775646,110.93308962798338,B,C,D,B,D,B,33.64304977257898,D,C,-26.435516098489504,1
Other,India,136.3158245540892,-18.97239446727331,10.040717049659259,106.38822196506874,45.46625578988403,B,A,A,C,A,D,-113.28308331833988,B,C,-143.74188227373276,0
Female,Other,181.2281660132012,31.228827197428355,-232.00729417939132,29.232294529863502,21.649768411969553,B,B,E,C,E,C,75.30806604379521,E,B,3.0670509938499233,0
M,India,-49.76060821440903,-128.14345510029113,-82.89037506861648,-57.95267163027101,-58.48143395311859,D,A,C,D,E,B,148.0383753246636,E,E,-5.661775835863995,0
Non-binary,India,-67.74859516248132,62.926533445692044,84.64563329878399,58.675176349713986,-16.96962761406623,E,E,D,A,C,E,-18.644512477605563,D,B,40.054116385970836,1
M,UK,126.27875294757429,2.476814834956404,-22.240421470043252,-33.01304092121627,-93.00648884452886,B,E,B,B,A,D,-105.04455963712576,D,D,-62.48359621747282,0
Male,Other,76.15815910930979,65.54301532643346,62.77690093939463,177.27374239885643,-71.52380638672278,B,D,B,A,C,D,128.5402585352979,A,B,-1.6850816329051415,0
Male,Germany,77.37536860822858,144.82490196899246,-65.83979152850668,-117.69628929880858,-91.63639797735044,E,B,D,B,D,B,-23.721297546246404,C,B,140.4925330014798,1
F,India,131.61988761598172,45.33890717553143,-125.97536136154719,41.98646764547374,36.716732939364555,D,D,D,E,A,A,100.19787391056715,B,A,212.53742089057886,1
Other,US,-241.50635263856577,-43.87719488304536,-137.4083536027501,-190.5705939052966,20.61560763281733,E,C,B,D,E,E,64.97220395362547,E,E,231.21937073377023,1
