ethnic_group,country,Age,feature_0,feature_1,feature_2,feature_3,feature_4,target
Asian,India,40,C,D,143.21802845305191,B,D,1
Asian,Other,77,E,C,-75.32559371868469,D,D,1
Black,UK,60,C,A,-161.76391084675927,C,A,0
Other,India,61,B,B,-234.02956110183274,A,E,1
White,Other,71,A,B,104.94582061314568,B,E,1
Black,China,48,E,A,-21.63256579592847,B,A,0
Hispanic,India,32,C,D,20.16595062595213,B,A,0
White,Brazil,54,D,E,69.72964575450345,A,C,1
Hispanic,China,71,E,C,96.63703368943972,D,D,0
White,Mexico,71,B,A,-88.19574220092268,E,A,1
White,Brazil,43,E,E,-113.14762778181652,A,D,1
White,US,64,B,C,85.54762569860944,B,C,1
Other,Other,44,A,E,47.59495776231436,E,E,0
Hispanic,India,41,B,E,-27.500179515560287,B,B,0
Other,UK,54,E,A,-44.80816059757223,D,E,1
White,US,43,C,C,21.534574308819973,A,D,1
White,UK,25,B,C,104.91616404168211,E,B,0
Other,US,39,E,D,63.890423383751546,C,C,1
African American,US,55,A,A,-189.31210406193873,D,E,0
African American,Other,71,D,E,-79.12305906107339,E,E,1
Hispanic,US,20,B,B,138.1362857310392,B,C,0
Asian,UK,33,C,D,37.906013460964004,B,A,0
African American,US,52,A,A,161.400342042032,B,B,1
Hispanic,Other,61,E,D,-26.978667562950747,D,B,0
Hispanic,Other,35,B,A,82.28277773920159,E,C,0
Asian,Brazil,48,D,D,107.55043205972913,B,E,1
African American,Mexico,49,A,E,-181.34725419137817,E,A,0
Black,UK,52,A,E,-19.03840919654956,E,D,1
Black,Mexico,31,B,D,117.0873834285576,B,D,1
Black,Germany,43,B,D,56.18730570820617,E,A,0
Other,China,71,A,B,47.15862135951005,E,E,1
Other,Germany,38,B,D,116.83875082208795,C,A,0
White,India,39,A,B,16.592895421552853,A,C,1
African American,India,74,E,A,71.02551740027755,B,E,1
African American,Germany,41,B,E,-24.570917617110094,C,C,0
White,Brazil,39,B,A,-142.11888829452093,B,E,1
White,Germany,60,A,D,195.53598869856,A,C,1
Asian,China,70,A,E,-192.05286963668252,A,D,0
Asian,India,34,B,B,-60.5381872040635,E,B,0
Asian,China,31,B,B,5.879258352690873,A,B,1
African American,UK,20,B,A,22.927440661380523,A,C,1
White,Mexico,56,A,A,-5.312160644187756,C,E,0
Hispanic,UK,71,D,A,11.054806137923459,A,C,0
Hispanic,India,63,B,B,45.036559909388636,E,D,1
African American,Germany,78,C,A,-30.557726942218956,D,E,1
Asian,US,60,E,E,-130.25927245829837,D,A,1
African American,UK,31,E,A,-154.04901373871886,E,C,0
African American,Brazil,52,D,E,22.869349852029927,C,C,0
Hispanic,Brazil,23,E,C,232.1912592347743,C,D,1
Black,Brazil,35,A,A,78.04752361650085,D,B,1
Hispanic,China,60,E,A,141.49030174611534,E,D,1
African American,US,46,A,A,-43.175560983050374,B,D,1
Other,UK,18,D,D,212.86719494689086,A,A,0
Black,Brazil,78,D,D,157.6001084194126,C,C,1
Black,Mexico,66,C,C,60.23280108861285,B,E,1
Other,India,29,B,D,70.12135824580407,B,A,1
African American,China,19,C,E,236.371359656034,D,B,0
Asian,Brazil,47,C,E,-1.555693701501662,C,C,0
Asian,Brazil,37,E,B,-100.34317611919168,A,E,0
White,Germany,23,D,D,30.802610945251807,A,C,0
Black,India,43,C,A,-114.92593118514571,E,D,0
Other,Germany,46,A,B,-63.74563596161621,E,C,1
Asian,Mexico,20,C,B,64.88233481079446,A,B,0
Asian,India,50,A,D,-97.01830479270279,D,D,1
Hispanic,Other,38,A,C,-22.927573203377694,B,C,0
African American,Mexico,38,E,E,24.237618453617856,E,D,0
White,Mexico,38,C,E,29.973158607946115,C,D,1
African American,Other,31,E,B,70.08457862680389,B,D,0
African American,US,59,A,A,-77.78748805520674,E,D,1
Asian,Other,21,B,A,92.46845761997878,E,B,1
White,Other,29,B,C,-10.03420505594824,C,C,0
Other,US,20,C,E,-21.46297314955432,A,A,1
Hispanic,Brazil,22,B,D,124.96962445993924,A,D,0
African American,India,20,D,E,-75.99688401961114,B,A,1
Hispanic,China,77,E,C,175.93402820336829,A,D,1
Other,Other,41,C,E,26.520375624928217,A,A,0
Asian,India,35,D,A,-36.11490762254927,E,E,1
White,India,23,B,D,156.05735752200755,A,E,1
Hispanic,Brazil,65,C,A,39.762656231677255,C,A,0
African American,Other,78,D,A,50.429482433559215,A,E,1
Black,India,34,A,C,-75.0860161301319,E,C,0
Hispanic,Other,28,C,E,-44.55059829352773,B,B,1
White,China,19,A,B,67.28064935105131,A,E,0
Hispanic,India,22,A,E,108.58722864624394,B,D,0
Hispanic,Mexico,37,A,D,66.84361925870917,C,A,1
Hispanic,Brazil,31,C,E,-77.94524157291113,B,E,1
Hispanic,Germany,59,D,E,-68.07170975243928,D,C,0
Asian,UK,66,D,B,74.30047668604945,E,D,0
African American,India,63,A,B,-68.29111321356028,B,E,0
African American,UK,46,E,B,136.6499794203495,A,E,1
Hispanic,US,44,D,B,-66.69372257056696,D,E,1
Hispanic,China,21,D,D,48.54367492365047,D,D,1
Black,Mexico,32,E,C,9.299690102979882,D,C,0
Hispanic,UK,70,C,B,-114.23160184713639,B,E,0
Hispanic,US,78,C,A,-153.1682146337199,B,D,1
Asian,Mexico,26,E,E,-7.783755087173226,C,A,0
Hispanic,India,61,D,E,-68.83477030634663,D,D,0
Hispanic,Other,76,E,B,15.700685749427617,A,A,0
Hispanic,UK,53,B,E,-20.713719994291115,E,C,1
Asian,Germany,69,B,A,-29.19929543593205,D,C,1
Black,Brazil,23,C,E,20.222963703216653,A,D,1
Black,Mexico,54,A,D,57.8251894000494,D,E,1
African American,Other,23,B,C,50.624855672227135,A,A,1
Other,Germany,52,E,D,89.57458983055993,D,E,0
Asian,US,46,D,C,126.71369789736302,C,B,0
Hispanic,Other,46,C,A,-127.7696249156796,B,C,1
Asian,China,79,A,C,36.92322056884093,C,A,0
Other,Mexico,23,A,E,85.81101596026281,E,D,0
African American,China,30,E,E,49.792079857091714,C,A,0
Other,China,62,D,A,147.78214790115413,C,D,1
Asian,UK,51,B,A,9.216651079159636,E,B,0
White,Germany,30,A,E,-13.67015701545449,B,B,0
Black,Brazil,62,A,A,-49.172898370114765,B,E,0
Other,Germany,28,B,E,-86.20461685024607,D,D,0
Asian,UK,33,A,D,185.44651002137485,D,E,0
Asian,Germany,41,E,D,-88.27284675452385,A,B,0
White,Mexico,40,E,E,0.6517028920014349,A,B,1
African American,Germany,62,D,C,-97.9236386827403,D,D,0
Asian,China,40,E,B,3.210700806957393,A,E,1
African American,US,68,B,D,11.72379036569318,C,A,1
Hispanic,Germany,52,A,E,84.3322400596356,D,C,1
Other,Brazil,49,C,E,-102.98013745868984,E,D,0
Black,India,49,A,E,11.461281553863634,B,E,0
Asian,Germany,45,D,A,142.44090965528528,D,D,1
Other,Mexico,65,B,A,-3.36244186969136,D,A,1
Black,China,76,A,C,84.67724906362184,E,C,0
Hispanic,China,63,B,E,-156.22621518470686,D,E,0
White,Germany,40,A,B,-35.60244498969742,B,E,0
Hispanic,Germany,29,C,A,53.091095620441344,E,A,1
Asian,Other,78,E,C,34.11427429309314,A,E,0
African American,UK,64,D,D,82.7848265183768,D,B,0
Hispanic,Germany,23,B,C,-26.607493548268142,B,E,1
Hispanic,India,65,C,A,-39.718183014450815,C,A,0
Black,Other,19,A,C,102.06084856013979,C,D,0
White,Brazil,58,C,C,-10.36987802561185,B,A,1
White,Other,63,E,A,-108.5738223001046,B,B,1
Asian,Germany,66,D,C,113.31379183280073,D,D,1
Black,India,78,D,C,39.71612998093364,D,B,1
Hispanic,Other,50,B,C,95.7591980072543,E,E,0
White,US,25,D,B,-180.5553430577266,C,C,0
Asian,Other,34,B,B,72.97553847304351,B,E,1
Other,Brazil,67,E,A,63.21263429464844,E,A,1
Hispanic,China,30,A,B,53.41372397292111,C,B,1
Other,Germany,73,D,A,-38.51948546837352,C,B,1
Black,India,79,A,B,-197.6434672753848,E,E,0
Asian,Germany,29,D,C,-17.29286067688033,D,C,0
White,Brazil,19,B,E,90.26235651318225,B,A,0
Asian,India,38,D,E,-40.935760816962656,E,D,1
White,UK,56,A,C,50.0853192460124,A,A,1
Hispanic,Other,53,B,B,-47.70162042079947,A,A,0
Black,Other,70,B,A,-98.36964513855115,C,B,0
African American,US,26,E,A,46.41264934556219,B,D,0
White,UK,73,C,D,112.88817150336175,D,C,0
Other,China,74,B,D,-196.944115596344,D,E,1
Asian,Mexico,70,C,A,-62.9990579287647,A,C,1
Black,Mexico,49,E,B,-145.82133145741963,D,A,1
Asian,Brazil,21,D,E,-31.77574163962968,E,E,1
Other,China,28,B,B,-107.49578788215548,B,E,1
Other,Other,19,B,D,13.999002536709382,E,A,1
Black,India,31,A,B,2.0908948293097347,A,B,1
African American,Mexico,56,C,E,63.806870685729244,E,E,1
Other,UK,26,C,E,-135.58790277428471,C,B,0
White,US,46,A,A,-216.27181475839842,D,B,0
Hispanic,China,67,A,C,2.2941746735360713,C,E,1
Black,UK,41,D,E,14.045725311007832,B,D,0
Hispanic,India,65,C,C,114.23523705045262,E,D,0
Other,Mexico,50,D,B,3.077137295999691,C,E,1
Other,Mexico,37,B,C,11.772204318174243,C,E,1
White,Germany,51,D,E,30.780919816355812,E,A,1
White,US,79,E,C,45.14403115487991,D,B,0
White,Germany,30,D,C,147.51834834980212,A,C,1
Hispanic,US,53,B,A,-59.14486869061333,B,B,1
Asian,India,70,E,A,154.7632392499498,A,D,1
Hispanic,Germany,44,D,D,18.934428458427046,D,D,0
Black,Germany,73,A,D,-75.70496804817934,B,A,0
Other,India,34,E,C,25.29041662048793,C,D,1
White,India,23,E,E,51.31437924747686,B,D,0
Black,Other,38,D,A,-90.42015041452359,E,A,1
Hispanic,Brazil,44,B,A,120.83371574840717,A,D,1
Asian,US,59,E,E,170.8201572900938,C,E,1
White,Other,46,E,B,165.87648249438158,B,C,1
Asian,Mexico,24,E,B,-93.93308217052213,E,D,0
Black,Other,54,B,A,-208.79619317845354,D,D,0
African American,Other,52,B,E,29.89948634793476,D,C,1
Hispanic,India,24,B,C,-80.29222607422128,C,E,1
African American,China,35,E,D,31.859334475326705,B,D,1
Other,Germany,79,B,B,-15.244238253548847,A,B,1
Other,Brazil,39,C,C,10.568632888383872,A,D,0
White,UK,70,D,E,-212.89661410871386,B,A,0
White,China,62,E,C,94.073608650973,E,C,1
Hispanic,Other,63,D,B,64.67056584803491,D,C,1
White,Brazil,44,D,B,16.818521640351786,A,D,1
Hispanic,Brazil,26,A,E,-143.1527514430323,E,A,1
White,Other,40,B,B,182.24471927102158,B,C,1
Hispanic,UK,57,A,E,-0.24101852459737869,B,D,0
Black,US,72,D,C,-142.04984331464,C,C,1
Asian,Brazil,20,C,C,-0.7192821084302277,D,C,1
Hispanic,India,23,C,C,-64.62132439693762,A,D,0
Other,Germany,43,C,C,-9.9271712456466,C,B,0
Other,Mexico,30,E,C,106.25939885088175,D,C,0
Other,Mexico,36,E,D,91.14754024909625,E,B,0
Other,Brazil,63,D,A,8.8044794233204,C,C,1
African American,Other,58,D,C,59.430837063161235,D,B,0
Asian,US,48,C,B,15.027249518662764,E,D,0
Other,Other,41,B,E,93.61856002579827,E,B,0
African American,China,75,A,D,14.297154398139364,D,A,0
Hispanic,UK,48,B,C,-63.210629909031724,B,E,1
White,US,72,B,E,-25.914831942690842,B,C,0
African American,Mexico,53,A,A,-49.63630016081268,E,B,0
Hispanic,Mexico,26,B,B,95.29401383420226,E,D,0
Asian,Germany,24,A,C,-120.63932336945169,B,C,0
African American,India,41,B,A,66.83295478838166,C,D,0
Hispanic,Mexico,68,C,D,-26.474423339370468,C,B,0
Asian,UK,57,A,E,76.0386167985243,E,C,0
Asian,Brazil,27,D,A,101.64749034302073,D,E,0
Asian,Mexico,35,C,C,-40.69288232375991,E,A,1
Asian,US,67,E,B,26.21780137282233,C,D,1
Other,Mexico,37,D,B,-47.43507088805163,E,B,1
African American,Other,65,D,D,29.49312494204026,C,B,1
Asian,UK,74,C,D,-73.31491273677828,A,A,0
White,US,38,A,E,153.49382980877778,E,B,1
Hispanic,Mexico,47,B,E,33.03261388047472,A,A,0
Hispanic,Brazil,37,B,C,-16.409932402103667,A,B,1
Hispanic,India,28,D,B,-62.51481834505157,D,A,1
Other,Other,61,D,C,-94.96056935000489,B,D,0
Asian,Brazil,53,C,B,38.864428714663255,B,B,0
Other,UK,54,E,D,-57.30602448376387,A,D,0
Other,UK,32,E,E,5.8219202879136205,B,B,1
Hispanic,US,75,D,A,10.763610170776788,C,B,0
Asian,India,77,D,C,2.5445503864853944,A,C,0
African American,UK,31,D,C,-135.5268041168427,E,B,0
White,UK,61,C,A,-33.99046677343935,A,A,0
Black,India,53,B,B,54.51451410946693,E,D,0
Asian,US,75,C,C,60.655301080279024,E,E,1
Asian,Other,47,A,A,0.6125683495993023,D,D,1
Other,India,27,D,A,62.717102090713304,C,B,0
Asian,China,19,B,D,65.2315946127764,B,C,1
African American,Germany,50,B,E,-180.3878035911593,B,D,0
Other,US,73,B,C,-62.583672969906246,C,E,1
White,China,49,B,A,-9.192964324149663,B,C,0
Hispanic,Brazil,38,B,A,-148.65283345364847,E,E,1
African American,Other,61,E,A,-149.02994167464215,E,E,1
African American,UK,22,A,C,-82.71726778076216,B,C,1
Asian,Other,70,C,E,50.465106340123924,C,D,1
African American,India,27,A,E,85.1236050753825,B,B,0
Asian,Mexico,41,D,D,71.76327363810847,D,D,0
Hispanic,UK,26,D,C,140.99615436657595,A,E,0
Hispanic,Germany,79,E,E,41.89094155548908,E,A,1
White,China,20,E,C,56.13854691120564,D,D,0
African American,Germany,47,E,B,25.559441106347037,D,A,0
Asian,Germany,44,D,B,-6.4954319012343635,B,D,1
Asian,India,30,E,A,7.510230314643686,D,E,0
Asian,India,45,A,D,65.41750354199202,D,C,0
Other,Brazil,57,A,E,-27.821141773894116,D,D,0
Black,Germany,40,E,B,79.02121929307062,E,B,0
Hispanic,US,33,C,E,-143.9894478039911,E,A,0
White,China,66,E,B,-68.81282524789995,D,E,0
Hispanic,US,63,A,B,179.41665508224753,B,C,0
White,China,65,E,C,164.20013908935488,C,B,0
Hispanic,US,79,D,B,-53.58347654871797,E,B,0
Asian,Germany,54,A,D,45.11744096102932,C,D,1
Black,India,67,D,B,-54.17117769925929,A,E,0
Other,Mexico,68,B,E,-4.747376047417923,E,B,0
African American,UK,41,B,B,-14.683734587826528,A,C,0
Other,Other,50,C,D,118.70985511378733,E,E,1
Asian,Brazil,61,A,D,-43.83406627421446,A,B,0
Other,India,66,D,B,-213.97093433409137,D,D,1
Asian,Mexico,33,B,E,9.981522381477477,A,B,0
Black,Germany,39,B,A,-90.00527200925302,B,D,1
Asian,US,25,D,B,82.33891680067667,B,D,0
Hispanic,Other,41,B,A,154.22331806377318,D,A,1
Other,US,71,A,C,-131.282750468512,A,E,1
Asian,US,28,E,E,-26.21567901277318,A,A,0
White,US,19,D,C,-161.31676968162068,E,B,1
Other,Other,70,B,B,71.18481639937637,E,D,0
Black,Germany,51,D,D,-26.42218187947634,B,D,0
Asian,Brazil,25,A,D,105.64836679957561,C,C,1
African American,Mexico,24,A,A,130.1239140197977,D,D,0
African American,Mexico,79,B,A,-135.2174130781482,A,A,0
White,UK,22,C,C,-64.70166503535128,A,D,0
Asian,Germany,20,C,C,22.43821609049622,C,A,0
White,China,58,B,C,-136.31499669386332,A,A,1
Asian,US,30,B,E,275.13140785500565,C,D,0
African American,Mexico,79,C,A,20.921393814230267,E,C,0
White,Mexico,60,D,B,80.78677222368574,C,A,0
Hispanic,Brazil,35,B,E,-41.240065891822105,E,A,0
Black,Other,33,A,C,69.53335384943904,A,D,0
Other,Other,58,E,C,7.331800824122289,B,E,1
Asian,US,19,C,D,13.041222252413043,D,D,0
Black,Brazil,72,E,D,-192.2684022332662,E,C,0
African American,Brazil,35,C,C,77.44913335162049,C,A,0
Asian,Brazil,64,A,C,19.152503930491807,E,C,0
Asian,Mexico,74,C,B,-6.08652800897565,E,D,1
African American,Germany,78,C,B,82.04473082109722,D,C,0
Hispanic,US,32,E,A,142.84793294525417,E,A,0
Other,Other,40,B,E,144.10319370722857,B,D,0
Asian,Brazil,28,A,E,47.833920154734564,B,D,0
Hispanic,Brazil,69,E,E,-2.2438037156247166,C,A,0
Other,India,40,C,A,100.63309329098679,B,E,0
Black,China,34,E,E,-31.562904461527964,A,D,1
Other,Other,72,C,E,-25.961275989675276,D,A,0
Other,Brazil,25,B,E,51.1621339406683,D,B,0
Asian,India,55,C,E,60.16761365214924,D,A,0
African American,Brazil,40,C,B,130.13331076954745,C,D,0
Hispanic,UK,66,A,E,132.70432269196596,B,D,1
White,Germany,25,D,B,-106.1296192563826,B,E,1
Other,India,55,D,D,284.6031676694374,C,B,1
Other,US,65,C,D,-13.648864978888176,E,C,1
White,Brazil,49,E,D,-187.8969824484318,B,D,0
African American,China,71,A,C,78.57422678239502,B,E,1
White,India,49,C,E,-38.481819031936936,A,C,1
White,Other,43,D,A,22.009050761978834,D,B,1
White,Brazil,19,C,C,19.96657978813841,E,E,1
White,US,79,B,D,-6.794184102561392,A,B,1
White,US,57,E,C,-110.95630863366101,D,C,1
Other,UK,60,A,E,48.391470168787755,D,C,0
Asian,Brazil,58,A,D,-113.34653084227718,D,E,1
Other,Germany,57,D,C,97.34641407523668,B,D,1
Black,China,25,B,E,-70.67321819483394,E,D,1
White,India,55,E,A,-81.69379825187923,C,D,0
Asian,China,18,D,C,-35.546373393663735,C,D,0
White,India,23,C,C,208.48980245263058,B,E,0
Other,Other,79,A,E,202.68613924088638,D,B,0
African American,Brazil,29,B,C,178.0377362872314,C,E,0
Hispanic,Germany,51,B,C,35.58716967877738,B,B,0
Black,India,57,B,D,-133.01057296977982,D,D,0
African American,Brazil,36,D,C,16.0580856410701,B,E,0
Black,Mexico,58,D,D,56.303736036628024,A,C,0
Other,Brazil,65,A,B,115.79394527584219,D,A,1
Other,Brazil,45,C,A,-59.34547003064412,D,D,0
Black,Mexico,24,B,D,-40.200915242824195,A,A,1
Asian,Mexico,54,D,C,46.50573941884622,B,C,0
Asian,Mexico,45,C,E,119.7564609905695,B,A,0
Black,India,57,B,D,84.9318335483812,A,D,1
White,China,38,A,D,70.96020214350636,D,C,0
Hispanic,UK,27,C,C,-45.53299515171305,E,A,1
Hispanic,Mexico,46,B,A,-101.18853939945342,D,B,0
Hispanic,India,39,A,C,-14.696026457741748,A,A,0
African American,India,51,A,A,-103.37938694380607,E,A,0
White,Mexico,67,B,E,-78.54410549886242,A,D,0
Hispanic,China,18,E,D,234.67015085813702,C,E,1
Black,China,57,D,B,-25.3230969517194,B,C,0
Hispanic,China,62,C,E,75.49714410783385,D,D,1
Asian,China,22,C,C,88.4507024780622,E,E,0
Black,Mexico,28,B,D,107.30309295561918,D,E,1
African American,Germany,30,E,C,-5.757784248849773,E,C,0
White,China,36,A,E,-63.98031694897374,C,E,1
African American,Other,37,C,B,-44.249010582034494,E,C,1
Black,UK,40,E,B,-55.72654720426058,E,D,1
Asian,India,50,A,D,-72.75718115023867,B,B,0
White,Other,59,B,D,-42.40007621159835,D,B,1
Hispanic,Germany,29,C,B,-29.143129082022902,B,D,1
African American,UK,63,A,C,-33.10044482021704,E,A,0
Black,Brazil,33,B,E,-140.87982797272304,D,A,0
Asian,Mexico,68,C,E,-35.76788988359697,D,E,0
Asian,UK,61,D,C,50.642657076452515,E,B,1
Other,Other,41,E,B,-7.29826397928432,A,C,1
Hispanic,UK,79,A,E,-44.997767133611,C,B,1
Black,Mexico,27,A,E,-196.53494746810802,A,C,0
Hispanic,Germany,31,D,B,-33.89765443249923,A,B,0
White,Germany,42,E,E,58.17153166229604,C,A,1
White,US,71,E,E,-200.32783235677206,B,E,0
Hispanic,Brazil,41,B,A,54.39483623942848,E,B,1
Hispanic,UK,25,E,E,-53.963793026916285,E,E,1
Black,China,31,D,A,61.58022297831781,D,A,0
Asian,UK,73,C,C,-107.73515458028011,D,B,0
White,Mexico,26,E,C,176.87997121318202,A,B,0
Asian,Other,31,B,C,-45.17045207313062,A,D,0
Black,UK,18,C,D,112.25119904678887,C,D,1
Other,UK,23,D,D,-40.00330650324892,C,E,0
White,China,41,C,C,-108.80159459629503,B,C,1
African American,India,78,B,C,-28.336384010496772,B,A,0
Other,Other,57,A,C,79.69914249658726,E,B,0
Hispanic,UK,66,A,B,-51.03240402466306,D,C,1
Other,Germany,38,E,C,211.63657605915245,A,E,1
White,Other,33,E,A,205.66397384615956,C,E,1
African American,China,35,D,A,-30.861086211455007,B,B,1
Asian,Other,55,E,E,-14.31693077238975,B,C,1
Asian,China,43,C,C,-50.617446262397515,B,A,0
African American,Germany,46,E,E,-150.71594886950734,A,E,1
African American,Brazil,64,B,C,-1.8736003367209701,E,C,1
White,Other,24,A,D,157.46533886250722,E,E,0
White,China,61,D,E,51.22342040790093,B,E,0
Asian,UK,20,B,B,-60.67553613121244,A,B,0
Asian,Germany,72,E,B,4.314483596993845,D,E,0
Hispanic,US,46,B,D,-195.38784381893052,D,C,1
White,UK,40,B,E,-89.38890504305247,C,B,0
White,Brazil,22,A,A,-55.059105826237484,A,A,1
White,US,34,A,A,-45.48313065225103,E,B,0
Other,China,73,E,A,-21.349340260737456,E,E,0
African American,Other,35,B,A,-71.22381131506096,E,D,0
Hispanic,China,40,D,C,77.55683987126237,E,D,0
Hispanic,Mexico,60,A,E,-7.26830344166183,A,C,1
Black,Brazil,31,B,A,-49.33887537395131,D,C,0
Other,Other,40,D,C,88.36004273620102,E,A,1
Asian,US,48,A,C,-26.711367780661767,E,D,1
Black,China,77,D,E,51.84232991845209,D,E,0
Hispanic,Brazil,40,E,E,56.03101945637866,E,C,0
Asian,India,30,B,C,48.150688871110766,D,E,1
African American,Germany,57,D,E,187.7832473402104,E,A,1
White,China,35,B,B,75.03794293393827,D,C,0
White,China,34,A,C,-40.766603452489335,E,D,0
Asian,Germany,74,D,D,80.67386372542103,B,E,0
Other,Brazil,64,E,D,-195.37877891477552,A,C,0
Other,US,23,B,D,-59.6029507208501,A,B,0
White,Other,20,A,D,57.78197327691007,C,E,1
Asian,US,30,A,B,127.04823948931943,D,A,0
African American,Other,20,A,D,-13.262781038270322,B,C,0
Asian,US,22,E,E,13.414716495822779,B,A,1
African American,Other,60,A,D,-182.92341871692923,C,E,1
African American,Brazil,35,C,C,-163.34010432539804,B,A,1
African American,Germany,61,B,C,-4.311106860924496,E,E,0
Black,India,24,E,A,211.8908483372111,C,C,0
Black,Germany,56,D,D,58.94133402131813,D,A,1
Hispanic,Other,69,A,D,146.00780215347186,A,B,0
Asian,Germany,42,B,C,-109.61541871068927,E,A,0
Black,India,67,E,E,56.41528361675749,B,A,0
Asian,Germany,29,A,D,-79.01154250768654,B,C,0
African American,Mexico,56,D,B,147.17739555278422,A,B,0
Black,UK,22,D,A,-19.10829550382639,D,B,1
White,Mexico,79,D,E,-64.48546949132475,D,C,1
Black,US,23,E,E,84.05650475755189,D,C,1
Hispanic,Other,50,E,E,39.38264348614816,B,D,1
Black,Other,27,D,B,230.49229687337873,E,A,0
Hispanic,China,48,C,A,-219.361634787972,A,C,0
African American,Other,26,E,D,111.43272260204216,E,E,1
Asian,Brazil,50,B,D,15.668198319264773,B,C,1
African American,Brazil,48,E,E,-89.78817502973315,C,B,1
Other,Brazil,75,A,D,-44.166009866129826,D,B,0
Other,Germany,30,C,E,-101.85306307520356,A,C,1
Other,China,68,C,C,10.670389122137053,A,A,0
African American,US,67,B,A,-211.34696949300834,D,E,1
Black,Other,72,A,B,5.2947396470801475,C,C,0
White,India,55,A,B,81.15006422589792,B,E,1
Other,UK,43,C,D,-204.94741232451702,D,E,1
African American,UK,21,E,C,-10.538756702475704,E,B,0
Black,US,41,D,E,-13.410824784876937,C,D,0
Hispanic,China,74,B,C,95.60950838495836,E,A,1
African American,US,36,D,A,-136.33208385191125,E,D,0
Black,India,21,E,B,101.3779572479401,A,B,0
White,China,69,B,C,89.33364806094745,D,E,1
White,Brazil,71,B,D,-118.45399237354492,D,A,0
White,Mexico,52,E,C,-88.44084364113601,A,B,1
Hispanic,Mexico,67,E,B,151.9181745205554,E,B,1
African American,Brazil,62,B,A,-66.02161324543003,A,C,1
Other,US,53,E,A,-135.33039340761576,D,B,0
Hispanic,Brazil,41,D,A,90.35747763228834,B,E,0
Hispanic,Mexico,65,C,B,27.36928020469484,B,A,1
Other,Germany,72,A,C,135.57110880811032,E,E,1
African American,Brazil,64,C,C,-66.2993501636239,C,E,0
Black,Mexico,40,B,B,-160.85219987055183,C,E,1
Other,Mexico,69,A,C,-49.68766269792989,A,E,1
Black,India,75,D,C,-27.659386253674494,E,A,1
Asian,India,71,B,E,86.54391699925738,E,C,0
Hispanic,Other,20,A,E,93.72733476269453,B,E,1
Hispanic,US,38,A,E,-190.1031437279074,A,C,1
African American,India,56,A,E,-109.6477421811235,E,D,1
White,UK,64,D,C,-186.26435134066756,A,A,0
African American,UK,30,D,B,-154.4730817137721,B,A,0
Hispanic,India,30,E,A,-212.58121063152407,D,E,1
African American,US,53,E,E,-29.61122010521544,C,A,1
Other,UK,51,A,B,-63.17550641903548,C,D,0
African American,Germany,32,C,B,-15.745827263092583,A,A,1
Asian,UK,19,C,E,25.188439781496548,C,E,0
Asian,Mexico,51,D,D,-153.68238040963456,D,C,1
Hispanic,US,18,D,B,-6.889571105275623,A,C,0
Asian,Mexico,20,E,C,-15.859942537280226,A,C,0
Hispanic,India,57,E,B,-63.76461581294789,A,C,1
Other,US,18,B,D,-36.25911080584051,D,B,1
Other,India,21,D,C,93.84834244989405,C,A,0
African American,US,40,B,E,-315.92278571022496,D,A,1
Hispanic,US,26,A,E,-79.63608577465747,B,C,0
Other,India,37,E,D,-117.44174633384539,D,C,1
White,UK,26,E,C,59.31511924398847,B,B,1
White,UK,48,A,D,84.1914726892309,D,A,0
White,US,50,A,D,44.76213717930669,B,B,0
Black,India,74,D,D,119.0182362314688,C,D,1
Asian,India,67,E,E,173.1338217637807,D,E,0
Black,India,34,D,E,-31.773739498929345,D,B,0
Asian,Other,43,B,E,-60.31507231445327,A,D,0
Asian,US,44,D,E,-2.4005173343696273,B,D,0
Other,Brazil,67,A,D,192.36639181354792,D,B,1
African American,US,20,C,D,-182.43703388364221,B,A,0
Asian,China,73,A,A,-16.067030694633594,D,C,1
White,US,69,B,C,69.7994035333291,B,C,1
White,Germany,68,C,A,-12.181830901544101,A,D,1
African American,Germany,66,C,B,150.62176946229425,E,E,0
African American,US,46,D,A,-143.09123115594466,B,B,0
Black,US,52,B,D,-203.11919268907914,B,E,0
Black,Brazil,26,B,B,10.192591120500225,B,C,0
African American,Germany,29,D,D,-83.65043787039703,A,B,1
Hispanic,US,77,A,B,-175.17382784047103,E,D,1
African American,Germany,72,B,A,-93.60960957856771,B,B,0
Hispanic,Brazil,57,A,E,278.6054788325441,C,B,1
African American,UK,71,D,D,3.9159760574703584,E,B,0
Hispanic,UK,68,D,B,102.34018371981006,B,A,0
Hispanic,China,25,E,A,-203.11058141587196,B,A,0
Hispanic,UK,59,C,D,-15.30824462508088,A,B,1
Black,Germany,42,C,A,-141.1603400359091,B,D,0
Other,US,68,A,D,-98.49339848628806,B,C,1
White,India,62,A,B,-48.323091765602214,D,D,1
Hispanic,US,36,C,E,91.92241176210449,C,E,0
Hispanic,Brazil,58,D,E,56.225373827946754,E,A,1
White,China,53,B,E,-163.8354788134578,B,C,0
Asian,US,32,B,C,4.178548503154218,A,A,0
African American,Brazil,69,B,C,47.7888531433978,A,D,1
Black,UK,51,D,A,9.598948520266452,A,D,1
Other,Germany,63,D,E,7.00124977165436,E,D,0
Black,US,55,D,B,81.4513372455864,D,B,1
Asian,US,44,E,A,-132.50522907531075,E,A,0
