veteran,gender,nation,AGE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Veteran,Non-binary,UK,67,D,187.12061703695062,E,A,-47.630862941542276,-132.5163222783053,-37.70285425250803,A,A,0
Yes,Male,Brazil,77,D,-9.753706369084206,A,A,-127.07297963303866,85.52615681521621,-38.96659342923258,D,B,0
Veteran,M,India,28,D,15.90994203884696,C,D,63.134192265666925,-6.233789209411214,73.51590457870844,E,B,1
Yes,F,Other,52,D,139.98410117022107,D,C,-132.59874179845386,-35.540831845478074,59.19303417223536,E,B,1
Yes,M,Other,20,A,41.815872274377185,A,E,-114.45652114219573,-87.56741310234166,-98.81047908042882,D,C,0
Non-Veteran,Female,India,30,C,-50.604957690145284,C,B,25.25790526333002,122.92396239672424,-14.617423898728807,E,A,0
Yes,Other,Other,63,C,55.666681079014666,B,D,11.124304464504391,3.694925477843035,-19.67424040494464,B,D,1
Yes,Male,Mexico,72,C,-35.653800604548834,E,C,-156.86737089200543,-61.299841377704034,-146.42910330160575,E,A,0
Yes,Male,US,60,C,-11.011843679822109,B,A,-66.07646370188421,40.41043360612691,-203.12933089680251,C,D,1
Yes,Male,US,18,D,41.70504731984182,D,C,-42.507736517075095,127.78016451351888,59.071550379222295,B,E,1
No,Other,Germany,63,D,-260.066185532536,B,D,42.95329177873178,35.616013808912,50.94695783873322,B,E,1
Non-Veteran,Other,Mexico,51,A,163.97309335954404,E,D,-34.94972398116089,-180.74980912226044,-26.120584318799434,C,C,0
Non-Veteran,M,Mexico,74,D,134.34550655904772,B,D,-147.23530965926338,11.686505085431524,-21.963311069091095,A,C,1
No,Other,US,79,B,-47.30575364796542,B,C,-33.89452338028799,66.07478837115949,30.67246897774768,C,D,1
Veteran,Other,US,31,C,9.141318428220128,C,C,-2.31112218289957,106.20508698378943,-81.0439299679011,C,D,0
Non-Veteran,Female,UK,39,B,-94.2684674248905,E,B,35.11540229965792,15.156891440003633,89.14449163313812,C,A,0
Non-Veteran,Non-binary,Mexico,54,C,-111.88596654101148,E,B,-60.57060932169449,73.58412603088443,176.11829110239978,A,B,0
Yes,F,China,22,C,-116.81040178467235,D,C,99.45499076537472,24.557924588122376,136.265121576076,B,E,0
Yes,M,Germany,49,B,117.02031404095472,B,E,46.47942925060236,2.1562843769494173,49.75960440627738,B,E,1
Non-Veteran,Female,Germany,28,E,29.599810462961617,E,A,144.08180203233493,129.5470448561216,181.92140913655302,C,C,0
Veteran,F,US,42,A,74.63852166829811,E,C,37.13868884790023,75.51985590935304,-33.42390867292022,C,E,1
Veteran,Female,Germany,79,B,-89.22049233564688,B,D,164.21035286105553,-106.08612407958746,-73.91643143416127,C,B,0
Veteran,M,India,62,D,-78.60042265350612,A,B,-120.78491198444752,117.72818285953078,197.14025989604804,B,D,0
Veteran,Non-binary,US,22,B,-44.82973945849869,A,B,-29.346754804462577,11.107954127062463,89.54135370352179,B,B,0
Non-Veteran,Female,Mexico,59,A,70.56758582251861,E,E,-43.784150594997925,160.44280487658312,-49.488123041462906,E,A,0
Non-Veteran,Female,US,27,A,124.89466698415308,A,C,-55.39380277699863,-53.93367180242393,97.78487914794847,E,C,0
No,F,India,66,D,-81.62753511784247,A,E,-77.9704633557742,-34.90548828195931,65.3259991341263,D,C,0
No,Non-binary,US,36,A,-45.87951435421352,B,A,13.33301526211605,109.94030569143378,92.43220861966803,A,D,1
Veteran,Male,India,42,A,46.228450494340436,E,B,-219.04929345881507,60.37093554567953,51.21113123131873,B,B,1
No,Other,India,71,A,48.072659462680484,A,A,-76.1946139699142,22.693327960551997,-70.08846272553102,E,C,1
No,Male,UK,66,A,-124.32922186124675,E,A,131.5578505266842,-109.6751355085418,103.06818825388899,C,B,0
Yes,Non-binary,China,63,B,-118.61171490480575,B,B,91.5835964291262,76.77755690808159,152.2937056456422,A,B,1
Yes,Female,Other,27,A,87.86755239329447,C,D,-154.0942606638882,-157.37394933337256,-171.41823477893598,C,A,0
Veteran,Other,US,32,B,1.0968530164878465,B,A,-158.19519399722094,-118.71872108036861,59.18593895798017,E,A,1
Yes,M,Germany,20,B,-106.89343820270113,D,B,177.74576564433613,80.94215155650122,-26.548658029318577,C,B,0
Yes,Other,Mexico,27,E,44.09316396720484,C,B,11.412135218393123,6.491780078099108,30.915972369664008,C,D,0
No,Male,Other,54,D,22.099905596089624,C,C,80.80864791729911,-76.60430684309432,-162.5957836681448,D,A,0
Yes,Other,UK,56,A,-44.53399929308295,D,D,-121.48746407281385,-52.08146247873404,4.186812620563383,A,E,0
Yes,Other,Brazil,23,C,213.39228463048644,B,B,82.71135260899574,54.001312436449,-218.79117569536405,E,B,1
No,M,UK,27,B,15.809143176556283,E,B,35.73061267561041,213.3183629654022,-157.10370752468205,E,A,0
Veteran,Other,UK,60,B,88.64382332469218,D,C,85.23968091787813,112.50893444973937,-183.2512300856179,C,D,0
Veteran,M,India,63,D,-69.22390338926519,C,B,106.12876357874588,118.85274889112425,-153.53324917568844,B,A,1
Yes,Non-binary,Other,70,B,60.582441161768806,A,D,-274.98379113820755,191.00934502452392,-119.94097097052952,B,E,0
Yes,F,Brazil,58,B,-36.52420713813277,D,E,-22.95628887924516,-127.91249848081516,-45.74500488957001,E,E,1
No,Non-binary,UK,39,C,-209.83781541316256,A,B,46.83319389739321,112.98692469423679,21.58226428575514,E,B,1
Yes,Non-binary,India,75,A,23.96352967618656,E,C,-27.293587042126994,66.19077557738167,-140.06156317288432,D,B,1
Veteran,F,Brazil,56,B,-130.16962761138723,A,C,244.84729973531904,107.46959385363112,-169.22008271027428,B,D,0
Veteran,Female,US,58,A,-20.53505467734692,B,B,85.10420102600888,-17.76245756264805,6.324102273642304,B,A,1
Non-Veteran,Non-binary,Brazil,65,E,62.59380102279631,C,C,127.76867306914185,109.11008975483495,181.99982191448308,C,C,1
Veteran,Non-binary,Mexico,77,E,-23.2389877584827,C,B,-77.83330073827948,109.47062153260698,102.30480099789384,E,B,0
No,M,Germany,72,D,-19.027201837585288,A,E,62.62256530827594,-49.57517860163045,-15.073087091930395,C,E,1
Non-Veteran,Other,UK,51,E,91.5834767532356,B,D,76.29262984358336,-168.0885097634994,-43.04168199260911,E,E,0
Non-Veteran,Male,China,72,B,-173.55857287636925,E,C,-12.947321078801219,95.2495510810688,45.8421711511393,D,E,1
Yes,M,UK,68,C,-8.553176764919018,E,C,10.794634939723588,65.58634568416116,-17.43897598643863,E,D,1
Non-Veteran,Female,Brazil,34,C,-7.389073781310867,E,E,34.42854461122857,90.61468933407485,-85.89181152117618,E,E,1
Veteran,Non-binary,Mexico,26,E,37.07749038163267,B,E,111.201325027579,-120.37021059268255,37.65746539286975,A,E,1
Veteran,Male,UK,21,C,-122.09297060413189,D,E,131.6911497905793,119.50786665439335,-5.32309065792047,E,C,1
Non-Veteran,Female,China,55,C,-74.58323185227923,A,E,179.0139023993508,-20.38566871745838,-71.84631996552999,E,D,1
Yes,Male,India,60,E,32.60751707717457,A,E,6.9319179239722475,-26.757306435803812,-72.69636608590953,B,B,1
Veteran,Non-binary,Germany,76,A,73.70733233697011,B,D,-81.07033334346461,27.06242512942319,46.87439236975177,D,A,1
Veteran,Non-binary,UK,28,B,-221.03434280930466,B,A,70.86283507212715,-40.77663554417734,-73.76700698246084,E,A,1
No,M,Germany,66,D,5.33741918593277,A,E,166.36910250761733,-26.8321218632304,91.96306794881986,D,C,0
Non-Veteran,Female,India,19,A,-118.63889655291811,E,A,-70.91527925917647,6.185610388276249,-174.88211769019884,B,D,0
Veteran,Male,UK,39,D,12.127923654539657,B,B,-66.9869942264441,-161.47869727047674,55.354303575305586,D,B,1
Non-Veteran,Female,India,22,C,99.54212053501273,A,B,98.07178456528177,121.44188584661771,158.19236544177465,D,E,0
Veteran,Male,Brazil,76,B,212.36198460953597,A,C,1.1609553399831627,72.86252969154843,134.38611646968786,B,D,0
No,M,Mexico,20,C,-49.46850921336543,D,B,-95.43460201621433,97.82601786445704,83.59809727075117,B,E,0
Non-Veteran,Non-binary,India,53,C,123.71447760108123,C,B,-90.84573227282536,11.329876860259374,19.617003197976707,A,C,1
Veteran,Other,India,55,B,-69.51224138683239,E,B,-118.16948908367624,106.72539105864772,-37.87173523107569,D,E,1
Veteran,Male,Other,64,A,-31.665072034951862,E,D,-97.82083942313817,-128.80554615579334,-138.73453201205376,D,C,1
Veteran,Female,Other,48,E,135.39857642522435,B,A,-104.97871802278635,-45.25056233834986,200.9524771901932,E,D,1
Veteran,Male,Other,60,D,111.93896949464059,D,B,-40.51257817695573,-13.614633505434115,93.79755315590691,D,B,1
No,Female,Germany,44,C,-44.16034334492024,B,E,-70.31801459334353,111.43372545885886,-61.56153386629784,E,D,0
Yes,Other,UK,53,A,-243.8555231764615,B,E,-24.643045849672323,-116.39937666690034,-57.41761438617174,D,D,1
Veteran,Female,UK,52,C,150.75575052888257,D,D,-95.20326934818551,70.70613760622189,17.12115888425677,C,E,0
Non-Veteran,Female,UK,61,B,93.03295866675747,B,A,49.332724073488656,-48.823246165825104,43.695218314866594,B,E,0
Veteran,Female,Germany,76,C,-100.06403676946998,B,E,95.32134629198194,-72.03351448615078,3.0899164082964505,A,D,1
Yes,M,India,51,D,8.551216448035497,A,C,-50.22681790305631,7.74271343211983,-31.43564425872409,C,A,1
Non-Veteran,F,Other,38,B,-4.1609868415506925,C,B,251.56514935251883,-24.776165152496592,150.78232704124076,C,C,1
Veteran,Other,Brazil,56,A,-31.07701165512877,E,E,153.78508470878288,-47.59434189726629,-37.713250996298,C,E,0
Non-Veteran,Female,Brazil,66,E,-99.81257698796131,D,B,30.3748938777484,30.98601980938828,-144.29452878241642,A,A,1
Non-Veteran,Male,Germany,70,B,24.049406775696113,D,A,148.7932827626548,-282.34052896851784,-127.46397637313751,D,A,0
Non-Veteran,Non-binary,Germany,69,B,89.29614881419944,B,B,-71.64560525782407,7.771288637740753,120.11177254239693,A,B,0
Yes,Non-binary,Brazil,56,A,-22.913517372230384,C,B,-186.72558142794236,69.91904675419926,13.991948171576565,C,A,0
Veteran,Other,US,79,D,50.385540923053696,D,B,-110.47209448675164,60.517135592865465,-119.51411728845909,D,E,1
No,Male,China,58,E,70.5345966079079,A,A,-19.116233913145308,74.93598295363881,-31.925902614476158,A,D,1
Veteran,Male,Brazil,46,D,3.0445835239263928,D,B,128.29572618841163,34.25987226654867,-153.82862595182863,A,A,0
Yes,Male,UK,26,E,80.92263856299836,B,C,173.1556483531749,-17.305637173638345,-71.36051608057964,E,E,1
Non-Veteran,M,India,65,A,133.7629724697402,C,C,-58.752510665494796,170.84182785339596,128.10828697261005,C,D,1
Yes,Female,Mexico,32,E,-83.18196706086283,B,A,-58.77208358592016,-317.6786031882345,193.0671924361568,E,E,0
Yes,F,Brazil,25,A,-176.5263980027775,C,D,14.430619685935767,-85.67519508704203,162.26737660546405,D,D,0
No,Female,Mexico,71,B,92.23518954319798,A,B,129.9678331767694,72.40478585989655,-75.73201765930608,C,E,0
Veteran,M,Other,54,A,-48.663747598388845,D,A,-127.33303953319319,57.34718706795589,1.183929087440549,C,D,1
No,M,Mexico,50,E,271.8051944075477,E,C,78.30187094760021,-46.508731693109056,29.271496142494417,A,C,0
No,Male,UK,29,D,-14.014299057960109,B,A,-171.48308231349336,32.40219406936125,-8.555889370430252,E,A,0
No,Non-binary,Germany,42,A,100.69901355507622,E,A,41.47119730677026,139.45785743112435,-82.61862782238805,D,A,0
Non-Veteran,M,China,54,E,102.04022173372633,E,E,-164.03912195922535,-1.9311455060898204,110.54368271018863,A,D,0
Yes,Non-binary,India,25,E,-1.976508911971408,C,E,-151.26822198333033,96.11284916937353,33.809912827882385,D,A,0
Yes,Non-binary,US,41,C,-120.53167281432577,B,A,23.850726989418916,9.473622348653628,29.38254045756523,E,C,1
Non-Veteran,F,UK,23,D,-205.3566663402342,C,C,118.19230321484578,11.167724362548514,-83.61530173533501,D,B,0
Veteran,F,Germany,18,B,-65.79500069937562,A,C,-15.15221608230316,-2.285086145186664,130.70421218610372,D,E,1
Veteran,Other,China,29,E,-50.26003341527875,E,C,-35.249987064735194,-14.188429614041473,-65.37258197508966,A,E,0
Veteran,Other,Other,47,D,85.56030969572646,A,E,-76.79142489261085,53.411094428299386,-92.94376382551503,C,B,0
Veteran,Other,Germany,39,C,31.733514638856235,E,D,-87.16969381675081,-172.03018968742506,-209.96913471476554,D,E,1
Non-Veteran,Non-binary,Germany,33,A,17.71157901289758,E,C,17.27586490456716,35.56905416776511,131.58839768838482,B,C,0
Veteran,M,Brazil,20,A,154.79470570281887,B,C,-30.541369073158258,-30.064604867523236,-34.45371252074519,B,B,1
Yes,F,Brazil,57,C,-0.7890148442475245,D,B,24.00986425291983,-75.18669762683878,48.58159770398083,B,E,1
Veteran,Female,Brazil,61,C,-5.570176385846398,B,B,-126.4110961225522,72.98339028097107,22.74745249550645,B,E,0
Non-Veteran,F,US,64,C,-33.24126270293243,C,B,120.6286547051325,-118.5251050754052,-112.30855689955625,E,B,1
Yes,F,Brazil,63,A,43.78675669680064,D,E,82.74014112889219,-38.692341337483846,-75.29717563144966,A,D,0
Non-Veteran,F,Mexico,32,E,-51.60497645056819,E,D,191.80666306341948,-59.04466714346932,-73.9177196476993,B,C,1
Veteran,M,UK,34,E,246.58881550074327,E,E,78.9396055490073,-109.13565360907955,-63.50356212188857,E,B,1
Yes,Non-binary,UK,63,C,-86.08843427254259,B,B,18.09229217612426,110.31632316601446,31.486892054969644,E,E,0
Yes,Male,US,57,C,-139.38163119423598,E,E,138.15017254270774,-23.301081571216763,1.0839579952442042,B,A,0
Yes,F,UK,41,B,-158.82694812126718,C,C,130.95315386837842,-10.307527009001557,59.97151219956187,D,E,0
Yes,Other,Germany,31,B,90.04256544142336,C,C,-113.0280809999798,73.22772072383235,68.59299410804724,B,B,1
No,M,Brazil,38,D,65.00468185614,B,E,47.86212768306926,36.67082997044693,152.4212239136326,B,A,0
Yes,M,India,68,B,75.21952003286387,D,C,-112.45537964697117,-13.382106713776148,-94.74561668048571,D,A,0
Yes,M,Germany,79,B,126.62376754243768,E,A,-41.27775880664272,82.16603725166762,3.8268819177309377,D,A,1
Yes,Female,Brazil,27,D,121.53376724685823,C,E,-84.42427804059449,-162.47126654672314,-74.36868565721898,A,E,1
Yes,Male,Brazil,49,C,11.593992808220914,B,B,-5.597095946060819,44.86504337777709,-65.0186938934824,D,B,0
No,M,Brazil,24,A,46.75435760975372,B,D,-43.4387924235368,181.11202251465755,145.37528399840943,D,B,0
Veteran,Other,Other,54,B,-33.24144677173572,C,B,-101.36739979853724,-115.1492707937015,-31.784555610651772,E,E,1
Veteran,Non-binary,India,73,A,-3.535704610250385,D,D,74.45700383148875,100.66425151924045,-1.964363370670133,C,E,0
Non-Veteran,Non-binary,China,57,E,-73.69473808691275,B,B,64.39420193929408,117.51133148323581,-64.2256457349835,A,C,1
Veteran,Female,Other,35,E,-57.98553670718004,E,C,-8.320296159477834,152.8340105829361,-98.13264073020702,C,B,0
No,Other,China,34,A,-141.74733122336954,A,D,150.31868040232786,-19.131231156808507,2.796867618935771,E,B,1
Veteran,Non-binary,Germany,32,A,-94.50623893539672,E,E,9.091481887871796,143.0616129352679,60.101140866124744,D,D,1
Non-Veteran,Male,India,76,C,-143.41471210794984,D,B,-19.00919344766195,30.10723707174413,-19.939257130235934,C,E,0
Veteran,Other,China,32,C,213.1759819475187,A,E,5.674235069806368,-74.58033104196959,-103.8701248605913,C,C,0
Non-Veteran,Other,Other,66,A,72.20463630753072,A,A,166.70831317621685,-118.90677802771543,195.87400579694702,B,D,1
Non-Veteran,Female,Other,56,C,84.32389624282514,D,E,-15.908318138579647,-34.891269604157436,-70.8641776642988,B,A,0
Non-Veteran,F,Germany,68,B,-26.83175080706155,D,A,142.22171989860664,-146.16833867107113,143.89704767154547,D,E,1
Non-Veteran,Female,UK,50,D,64.87839832354656,A,D,-78.56012710578342,59.017800898821285,-10.124609723389069,D,B,0
Non-Veteran,Other,US,29,C,37.981242917184574,A,A,-191.80870929994958,84.08532069291958,144.3921233020362,B,B,1
No,Female,China,79,E,-110.64595825351378,B,B,166.00408810150347,-16.953267248790223,10.53401045124691,A,C,1
Yes,Male,China,60,E,-59.14976192766216,A,E,16.292096399635447,-28.95071678632954,-155.1752900807516,C,D,1
Yes,Male,Mexico,33,A,-67.31844819628068,E,A,-173.34482094254784,-113.23826396801418,10.787652066253223,E,B,1
Veteran,M,Germany,69,C,-163.29970238378792,B,B,-79.65520785378436,132.144737093418,122.88954630031013,A,E,0
Non-Veteran,Non-binary,US,54,B,222.8314891058973,C,C,52.220323104372554,141.69929704960992,48.17064904189154,D,D,0
Yes,F,Mexico,64,B,18.3877269844259,D,D,-48.51373654492747,109.56553422276683,54.543755189532696,D,B,1
Yes,Male,Brazil,57,E,-84.23836756392184,D,C,85.47842772621472,61.54654000229115,172.01906594902928,A,C,0
Veteran,Other,US,66,B,-63.98673524922353,D,C,-112.00487534791263,-264.76732903555956,63.223081587387284,D,C,0
Yes,F,Germany,51,A,-78.43426944180526,C,C,-181.5488607274063,92.35639483029397,50.69525153898826,C,D,1
No,Non-binary,China,55,B,43.841867505984794,A,B,146.34169063115024,43.663158619482104,-112.8241380606023,E,D,1
Veteran,F,Germany,66,A,-161.11186975858806,D,D,17.47605768793093,-35.066926196080374,-185.27089317073688,B,A,0
Yes,F,Mexico,23,B,-100.87300185032521,B,B,-173.41586337765497,48.47030697612536,126.10960273986214,D,E,0
Non-Veteran,Male,Germany,39,C,-158.49821353644876,A,A,-128.95015765469182,102.88153009324486,-120.71007012760798,C,D,1
No,Female,Brazil,31,A,130.81417395382286,A,B,-51.81492248330824,68.84737059344107,-15.99381503785481,E,A,1
Yes,F,Mexico,55,C,21.14435797600587,D,B,-4.3326847748227735,45.44605818512445,-115.67440044015409,B,B,1
Non-Veteran,F,Other,54,B,128.8352721721508,E,A,13.85575220694188,-39.93008518263675,-40.04238124874439,E,A,1
Yes,Female,Brazil,63,C,158.2121857890755,C,C,-71.20629118673541,49.186300483143604,-98.60832871980044,A,D,0
Yes,Other,Brazil,60,E,-65.96308864857006,C,B,-4.891657053613018,23.542638653359557,-217.3174427050756,A,E,1
Non-Veteran,M,Mexico,49,C,-22.795145323156536,E,C,-45.9774328984638,-203.377637245102,-49.22526273006562,B,A,0
Yes,F,UK,77,B,-1.029300724566142,A,E,-24.627497389666487,-13.46057563256624,81.23422596354396,D,C,0
Non-Veteran,Other,UK,46,B,-20.113050952580743,A,A,-36.182020553727945,10.458259951645365,108.2884258621046,C,B,0
Veteran,Male,Brazil,43,E,153.6822787188184,D,E,7.7038558626765035,-166.8367503663765,-38.04860154343546,A,D,0
Yes,Male,Other,70,A,-68.72358781731411,C,B,-12.715018064969682,-97.83872274431408,37.94454808619396,C,A,0
No,Male,Other,35,B,-183.63281845108256,B,C,106.10536678156367,-98.57166482957524,-57.60626501145273,D,A,1
Yes,Male,China,56,C,30.0557498504079,B,A,-88.8493736677064,-43.706278433504195,70.34862759696587,B,D,1
No,Male,UK,37,C,-134.13147625425214,C,B,102.87843040751005,83.20087757328432,41.55165617534172,A,A,0
Non-Veteran,Female,India,26,B,116.47555939759356,A,E,30.528665927860647,-29.05610639922153,-44.426812315802806,C,D,0
No,Other,Mexico,79,C,-47.40397792768525,D,A,-30.399787298957794,-52.273813269603544,30.66460670532141,B,E,1
Veteran,M,UK,22,A,116.4997248928582,D,D,99.00218193921421,128.09227874210586,-65.83106593228501,D,B,1
Yes,M,UK,36,C,-172.82269978205863,A,C,-70.3169693697296,-15.156682352906136,66.34025607473615,E,E,0
Non-Veteran,F,Other,38,D,-18.380149459334323,C,E,156.31028981004175,-22.731155696037895,37.047911137896335,A,B,0
Non-Veteran,Male,US,21,B,-52.73837367980882,A,A,-40.81080794807815,-98.81969272715159,13.901958324143978,D,E,0
Veteran,Male,China,20,E,-92.69738591617919,C,E,129.6613897343656,-22.856450176284824,192.87260230885525,B,C,1
Non-Veteran,F,UK,75,B,56.14957957372375,A,B,-33.45228407210654,15.271824333771692,198.90411148858834,A,D,1
Yes,Non-binary,Mexico,69,A,207.03697012608612,B,D,-4.362946895802806,14.429231971357733,-52.89894601359347,D,D,0
Veteran,F,Brazil,45,B,-152.86008318768353,A,A,223.87675941938562,31.436899160011144,-2.930900590272296,E,D,0
Veteran,M,Mexico,45,A,81.6241604426181,A,E,-35.015652685269856,-12.930122899748762,13.949634390236158,B,C,0
No,Non-binary,China,26,E,29.84146840024904,B,C,-206.2835383495857,183.83980165843963,182.8976331586288,C,E,1
Non-Veteran,Other,China,45,E,-67.77595163693645,D,E,-57.82527061417942,-68.46558599187618,133.68136967892784,E,A,1
Yes,F,Other,55,D,-24.391387944093868,B,C,-274.15262916560545,-259.0531875665827,-79.46732675582162,E,A,1
Yes,M,Other,25,C,62.80377607070648,A,B,-46.37336856601555,113.52000420571177,-27.806239265806354,C,B,0
No,F,Brazil,78,C,90.02603795960033,A,A,-36.26247120761912,-77.60081329857105,-160.57659320316793,B,C,0
Veteran,Other,UK,21,A,75.98666972363742,B,A,119.43950876908649,-3.384590635412657,34.80820352785028,C,E,1
Yes,Female,China,35,A,125.30408205892356,E,A,-185.9846712722917,181.87988535834702,-113.08341201807607,D,D,0
Veteran,Other,China,32,A,64.89302017494487,B,C,-62.247704254548545,135.78038880901994,70.78457212423821,B,D,1
Non-Veteran,F,Germany,66,C,-145.60379174649253,C,E,-41.52452735441077,77.50993895053789,-17.00035880841164,B,D,1
Non-Veteran,Female,Other,72,D,104.80501660011352,A,A,-240.0441852710705,53.27379788773876,162.02866920688356,B,C,1
Veteran,Female,India,55,B,-94.81724572441256,A,D,39.68758503294697,-10.925188308245588,-98.7309452033175,D,A,0
No,Other,Brazil,66,C,197.31758733765997,C,E,-24.118026833659435,79.40789783385979,-73.97351331975607,A,E,0
Yes,Female,UK,65,E,-103.59690000735804,E,A,-32.431804306387576,-154.64743340487252,35.4874490287018,C,A,0
No,Male,Germany,22,A,-72.13357036596797,B,E,135.6980324025482,-94.94071191440129,-97.13461755588244,E,B,0
No,Male,UK,73,C,116.77106668886876,A,E,-125.35919757467823,-24.492799303880485,79.59939355678894,E,A,0
Yes,F,Mexico,49,E,216.08078288038817,B,D,-59.75192378589035,85.50138030878314,139.87165991258857,A,D,1
Veteran,Non-binary,US,29,A,66.850065013281,E,D,-57.38379738537487,2.9538611143499196,20.883703652563916,B,A,1
Yes,F,China,40,E,182.53887922281112,C,D,-234.76796820854165,83.13410354604368,-52.49433413745332,A,B,1
Yes,Other,Germany,54,D,37.35622559481569,E,D,-49.88562513360495,-66.8787732481913,49.14529949878458,C,C,1
Non-Veteran,F,Other,65,D,83.64972391176117,E,D,104.49160356474188,-79.2293611260437,-84.11471001260735,C,B,0
No,Female,Brazil,44,D,196.43932551574036,E,B,176.42062772204218,-67.22772231250524,82.18763283956964,A,B,0
No,Male,Brazil,38,D,-123.7214736122671,E,A,23.128508439228074,-54.675670280047996,81.99024171319745,A,D,1
Non-Veteran,Other,UK,61,C,70.51507246897431,D,B,-55.72722178368398,-60.13147375997331,42.9799085389126,B,A,1
Veteran,M,China,41,A,47.15774878061312,B,E,-8.903408370578553,-55.26034594109266,-66.21256729272578,B,A,1
Veteran,M,China,77,D,-172.31177710541056,C,E,-54.74316182814629,127.28078350143599,84.07116667323183,D,A,1
Veteran,Male,Brazil,72,A,-27.902571665784077,C,E,10.592502878276365,-8.585745344433683,114.1014653833615,D,B,1
No,F,Brazil,19,A,-44.33525498653039,D,A,-75.79455285792982,5.941737194230376,-119.09462307721068,D,E,1
No,Male,India,73,D,44.17437576878665,E,B,138.59734414788633,8.021051574389142,147.67403742484845,A,C,1
Veteran,Non-binary,Other,30,C,-1.2684293958164106,C,D,54.37243717471544,-235.5346864760295,-42.75284210290123,C,D,0
Yes,Female,Mexico,69,C,-40.9019042154673,E,E,62.54952751585042,-34.82130729684839,-46.9538674122158,C,A,0
Yes,Non-binary,Mexico,23,A,163.4075458779884,E,D,-73.36753890599182,72.7208661987392,-35.21787012412202,D,E,1
No,Male,India,28,E,159.35472353132374,D,C,-147.62014596472227,81.6043008818429,27.881375527508386,C,A,0
Yes,F,Mexico,43,C,-86.93538012957566,A,B,-40.05633052386153,-42.126275648563535,119.97656158112373,A,A,0
Yes,Non-binary,India,73,E,120.24110736781486,C,A,28.470690633413486,137.0538558193705,180.9197967180284,C,E,1
No,Female,Germany,71,D,219.78431888252658,E,C,-50.959455900327356,135.49147164476489,-28.16045585323281,B,A,0
Non-Veteran,Male,Germany,51,D,-31.39104403291982,C,E,36.14261998042107,37.032723767654375,22.077283430138596,A,C,0
Non-Veteran,M,Brazil,78,B,128.83973908245662,D,C,-98.93481563882459,-60.40604701736333,50.519332624395766,C,D,0
No,Other,Other,50,D,42.09737346460676,A,D,-13.31579769035677,-4.840261398175563,-89.6193175590571,B,D,0
Veteran,Other,Brazil,48,D,26.594988633504414,B,B,88.55923203957572,-141.85272467756164,-109.37457867431813,E,E,1
No,Male,Brazil,65,A,95.71439419820152,A,C,68.15570374826076,-74.3142513870763,-79.4578545553968,B,E,0
Veteran,F,Brazil,65,A,-52.978600870852034,E,E,-7.801972336093262,18.98595494372321,-109.5035133546458,E,A,0
Veteran,M,US,33,A,18.935473463320474,B,C,-63.190734071853015,-89.5216452558141,-149.68691818258685,C,E,0
No,F,Other,79,C,3.95182129832022,C,D,-41.53027754695072,35.63012831402273,173.29824814835072,C,E,1
Non-Veteran,M,Germany,38,B,87.71887309823158,B,A,-110.86838663044756,232.8465968546774,-138.4819843837756,E,A,0
Veteran,M,India,76,D,-84.1422452694056,C,B,4.029076048724169,17.60247158102072,35.465923730300936,C,B,1
No,Female,Mexico,77,C,-7.054383631249298,E,B,-52.449538928706694,26.235751655570166,-5.714920201088948,C,C,1
Non-Veteran,M,China,71,D,-69.2740575254571,E,B,155.1008081794873,-63.376227944637485,66.0772565808133,C,C,1
Veteran,Male,Mexico,36,A,76.72771539835576,A,B,-128.72534034234607,133.44990868758035,106.76511412470309,A,E,1
Yes,Non-binary,US,50,D,107.66768022290509,D,A,-9.129587097683395,246.83564701996065,-38.10988565449559,C,E,1
Non-Veteran,M,Brazil,35,C,-217.11757373979484,A,B,94.9338713413561,-144.78015166244023,-142.5835592021954,D,A,1
Non-Veteran,Other,China,77,E,-84.9383038720879,E,C,-25.09277519375634,35.68753351221581,128.13754263805086,E,A,0
Yes,Non-binary,Germany,39,B,415.3955637874809,D,B,-146.7095009719701,-40.59217128385379,-69.32531991053582,E,E,0
Veteran,Other,US,67,E,117.02393247928002,B,D,74.32038178775906,-26.29655536660989,-164.163701342276,A,E,0
Veteran,M,Germany,66,B,74.01427801085396,D,A,-14.969663153063559,-31.935648510141917,10.213247882242465,A,D,0
No,Non-binary,Mexico,63,D,-13.899688935929436,E,B,249.3696417615866,-120.31668921909353,18.47249010019811,D,C,0
No,Non-binary,China,52,B,95.48910130992483,C,A,0.16700506266371568,127.39341145771863,-21.473706657506646,A,C,1
Veteran,Female,US,76,E,-109.47572790980811,B,D,18.32876794019654,15.06284872371271,-140.77400815742908,A,E,0
Veteran,M,Other,23,A,-135.51149034663257,D,B,9.162494344027362,124.06359828148643,11.011229458830242,A,C,0
Veteran,F,Germany,43,A,165.92389000948938,B,D,30.575177786319035,198.63821125402876,-110.45718909518803,C,B,1
Yes,Non-binary,India,47,A,18.791252640675104,A,B,5.099416397573029,60.55833992270343,-109.7101696016502,D,B,0
Non-Veteran,Female,India,49,A,-168.26273257797862,A,A,147.9246850836265,135.2722877295083,-36.08382877170758,C,A,0
Non-Veteran,F,China,18,B,69.06666117877818,B,B,-55.97798981526244,82.63507354536422,45.436792896490545,E,C,1
