religion,sexual_orientation,disabled,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
None,Other,None,-302.71588343185755,A,D,A,31.603680791251943,-189.5531443039227,A,A,-6.601286104049738,32.32942672900937,E,B,D,1
Hindu,Bisexual,Mental,-18.26349219709953,D,E,B,149.24692349895844,138.90705280203107,A,B,-72.46048015570504,-15.174834335243737,E,A,C,0
Hindu,Other,Physical,29.10632860616053,B,D,C,-207.48803355152495,90.10678609380605,E,C,172.7111443747975,11.68302461930742,B,B,B,1
Buddhist,Homosexual,Mental,112.11719980880919,E,A,D,108.98668790794159,10.604169424678954,D,C,-30.13487666147595,6.656742332764747,B,A,C,1
Hindu,Heterosexual,Both,-30.067502528175055,A,C,A,93.77061334183009,-86.75722357954643,D,B,8.583189838338336,31.65005911971983,D,D,A,0
Jewish,Other,Physical,-15.254308875545808,D,B,D,-116.26557018588768,82.15585270303272,D,B,127.73558209412484,67.81235533775558,E,C,D,0
Christian,Bisexual,Mental,57.92173312867567,C,B,C,50.82459763798336,-165.98007572035988,B,E,80.71237050723515,-30.206749283531188,A,D,B,0
Hindu,Heterosexual,Yes,-65.2962112261455,D,E,C,-110.61378993732949,8.978828120712269,B,A,-299.6096678239986,-132.344440521908,D,B,C,0
Hindu,Homosexual,Yes,-47.53367335213676,E,D,C,21.109717401793514,-61.318512580296705,C,C,121.31600570742422,88.74718562335087,B,A,E,0
Jewish,Homosexual,None,-48.34033337233897,C,D,C,168.9100754248014,-46.5820721276374,C,D,33.22956630288004,89.5706644871679,C,A,C,1
Jewish,Heterosexual,None,-117.36265729207163,C,C,B,-59.60463499932107,-24.47196909321983,D,E,125.42200134837363,-73.97265507763319,E,B,A,1
Other,Homosexual,Yes,-14.51974807413294,E,B,A,-69.16594701111045,97.50545407517986,B,B,-73.14645403777232,-15.14445153265092,A,A,D,0
None,Homosexual,No,88.80228707853603,B,B,C,48.416995871271304,46.35665722955922,B,E,54.005914894168264,89.59872800475752,C,E,B,0
Other,Heterosexual,None,7.563089294252319,C,C,C,92.89517905150863,-77.0581004666279,C,D,-52.04711916456106,-39.08481703905585,C,D,D,0
Christian,Other,No,74.63771188297544,D,A,A,-32.902643109267146,-35.62101111372426,E,E,-155.87126200930177,67.95116597815964,C,C,B,1
Christian,Bisexual,Both,-85.29869534379434,D,C,C,-42.295439991330404,-210.93717565993546,D,B,18.66067332567409,-34.944970182605864,C,A,C,1
Jewish,Homosexual,Both,12.414972192276025,D,E,A,-134.95815225557263,73.13036288200738,B,C,6.73435863876292,41.38705562350328,D,C,A,0
Jewish,Bisexual,No,25.321868867239562,E,C,C,107.66390614529644,-117.48028929335572,A,B,29.17956434237609,140.73726553817215,C,A,B,0
Other,Other,None,13.178845097977648,D,E,E,159.49367156883918,-88.6147222406398,A,D,-43.19628122892281,114.81940686414171,A,A,C,1
Christian,Other,Physical,192.13435667794388,A,E,A,-32.73164188847928,36.77194149905105,D,C,1.6188247852739213,-34.18768201018369,B,D,E,1
Buddhist,Heterosexual,Physical,0.8891656200755425,C,C,A,-82.08125796107053,-38.67324078591256,C,E,17.536093528576842,97.212013150337,E,B,A,1
Christian,Bisexual,None,-32.075637706966496,A,D,B,-6.100067944046498,-325.15043460438307,E,B,82.78232953419888,36.64992947052855,E,D,B,0
Muslim,Other,Yes,-118.37247146842319,B,C,C,-47.60730724628939,116.87422214188759,C,E,-70.69162238010895,102.90143890210462,A,B,C,1
Hindu,Bisexual,Both,-47.56695665026977,B,B,A,189.55380230680043,113.65238589382092,E,B,52.06718330366535,51.057069526812896,B,A,E,0
Hindu,Bisexual,Yes,-6.403463632563991,D,C,D,167.8371262630592,94.68722767397209,B,C,226.89073834680676,-149.77230838411995,A,D,E,0
Other,Heterosexual,Mental,157.52003847044537,B,C,C,177.07017292465133,163.661152557273,B,D,104.08690123778707,24.156994782179066,C,C,A,0
Other,Other,No,28.221768664698583,E,B,D,116.92392072843047,-133.67101570030206,E,A,83.07395012040871,-31.367730114038018,E,C,D,1
Buddhist,Bisexual,Both,-93.92643715740519,B,C,B,69.08687754482342,-7.101915202062904,C,D,76.82095667521163,7.861821948335337,B,E,C,1
None,Heterosexual,Mental,-115.52087090576786,A,A,C,-84.8311925060706,64.16893491259391,B,D,55.27924768274496,190.220257887102,C,D,E,1
Muslim,Homosexual,Both,70.48833299194428,E,B,E,-64.49120794658383,93.76859718764896,D,B,-4.755589713702636,-21.380802902875782,A,E,C,0
Hindu,Other,Physical,-223.6456129887459,E,E,C,167.19514791532774,-52.803837645319696,D,D,-134.8779083340392,-274.87511707065676,B,D,C,0
Jewish,Bisexual,None,28.753040797602935,C,A,C,-37.24472892924193,-63.09962479672077,B,D,158.62794042028497,20.533613658519034,B,C,E,1
Buddhist,Bisexual,Yes,-114.10572984581123,E,A,C,5.733781961451363,88.09348194130195,C,E,13.018171621118837,-125.48405722736153,D,E,E,0
Muslim,Heterosexual,None,-1.1098288564008594,B,A,C,2.4876922578971543,56.43647167941454,B,B,42.09079379394877,79.67881013364979,A,C,E,0
Muslim,Homosexual,No,103.36106386875534,D,A,C,-70.26809476235739,-67.470591279973,C,A,-130.46424428208226,240.93633939589006,A,C,D,0
Hindu,Other,Physical,-201.140039753,C,B,C,-64.20262690718992,-57.919577009985645,B,C,-167.66039714322935,-60.952277110894684,C,A,D,0
None,Bisexual,Yes,-10.551970309013326,C,B,D,-43.34670429925484,2.2150047826374006,E,D,16.125098311885584,9.757301895312438,E,A,E,0
Muslim,Homosexual,Yes,-66.89224449262353,E,B,D,-7.311754884837068,-142.2458539295131,D,D,-93.07210497873982,-35.30877595768286,C,C,B,1
Other,Other,Yes,121.68468935012112,A,B,E,-112.10063335832845,-165.3969651489652,D,D,57.71634836170618,101.38843935059782,C,C,C,0
None,Bisexual,Mental,64.34425266032463,D,C,A,89.83007604715519,62.39255722891367,D,A,-102.1051842795708,-57.076162211612015,C,B,A,1
Hindu,Heterosexual,Physical,-4.148251878918333,C,D,C,22.115885919852637,185.2077607692178,A,D,-6.679895476500132,-165.50840702516263,B,E,D,0
Other,Bisexual,Yes,-54.38253841583352,C,B,E,-125.43607666959065,31.107085756043578,B,D,-91.63874175224626,-8.15069873472094,C,D,A,0
Jewish,Homosexual,Mental,-15.00653250624325,D,E,E,-60.13933872922921,151.31216204022095,E,D,120.1300164926846,32.20885995118215,E,B,B,0
Buddhist,Heterosexual,None,-226.24628328478744,D,A,B,177.36756092281217,-126.66818524529204,D,E,109.1983926973102,19.30124712393731,D,D,D,1
Buddhist,Other,Both,-142.1818106361284,D,A,E,53.02296226458518,200.12477329904087,B,B,-13.497852081462671,-32.02226730014831,E,A,E,0
Buddhist,Other,Mental,-48.84784959178838,C,C,A,-122.99794352146432,195.86351530399187,E,D,-55.7262126409509,-94.4002145995874,C,C,A,1
Jewish,Bisexual,Mental,-62.006241729394986,C,D,C,-188.46371508883288,28.08760792118913,E,A,-72.91895347145702,-45.53127930930344,E,E,D,1
Christian,Homosexual,None,99.50181539225848,E,B,B,-72.13989389463464,-107.21416981813059,C,A,104.33162268726343,39.47874952575521,A,A,B,1
Other,Heterosexual,Yes,-181.16167089246443,E,D,A,201.06793781904648,-116.80060646201538,B,E,-10.550786452965971,-48.98765660275414,C,E,E,1
Christian,Other,None,-42.69673865506445,C,D,D,3.1569918553064493,-37.1783553407582,A,D,21.926148753901707,-14.990031365643938,C,D,D,0
Jewish,Heterosexual,Both,50.61652876216224,B,D,D,-13.640524265458062,-122.53793168607527,E,D,-30.929487683070484,62.284633753480136,A,D,C,1
Buddhist,Other,Both,111.93334172207385,C,D,B,-70.58161218260472,70.90564448837146,B,B,12.183310117018706,-168.5060603142539,B,D,B,0
Other,Heterosexual,None,53.6644165755826,E,A,E,111.13204306794111,201.7190601491194,B,A,-9.290243176383337,-138.31049862722472,E,D,D,1
Other,Homosexual,Mental,-36.539117855909495,E,B,C,92.32865574023121,103.46719031406909,C,C,-12.364874899239362,134.63159203256356,C,D,B,0
Jewish,Heterosexual,Physical,-72.39288558041514,A,D,A,69.45719124688846,98.43397093080051,C,E,-5.176655308283549,31.45650352920314,E,B,C,0
None,Heterosexual,None,-29.827529337132972,E,E,A,-17.246046056219647,-5.216969987258386,E,C,-99.70467534104779,-54.6221037600919,D,C,D,0
Hindu,Homosexual,Both,-73.54233261608724,A,A,D,125.48211083194478,-3.6220249280956933,D,D,179.81504308084527,-184.96828789960887,B,D,A,1
Buddhist,Homosexual,None,-87.6743382828941,B,C,C,36.589743203348,-14.471616095904244,A,E,-38.37633694643354,-114.6311451349443,C,B,C,1
Buddhist,Bisexual,Physical,-2.906497326772182,B,C,B,192.22246285036445,-32.76854518562793,C,A,-101.74209399589078,197.81490977376046,B,C,E,0
Christian,Bisexual,No,25.171799558652996,C,B,B,181.2597327150647,-17.132569129332943,E,C,-121.17795676200073,112.55853821759123,D,D,C,0
None,Homosexual,No,-89.57822327657694,B,B,D,-122.52914739533509,41.76394169895444,B,A,-14.3914369235515,-51.356165735067584,B,E,C,0
None,Heterosexual,No,-207.36751383085107,B,B,D,-5.6882685418860035,53.294405424772904,E,B,-9.19882883429789,87.16616129752592,B,A,D,0
Muslim,Heterosexual,No,61.13903838913627,C,B,D,45.24636324135508,-308.12467460243477,C,B,63.16603760374244,92.7600212963638,A,C,D,0
Other,Bisexual,Yes,-88.15106944497451,D,E,E,-168.8716003802045,-139.88869052866605,A,A,-8.38014297003489,-57.685708560136064,D,C,B,0
Buddhist,Other,None,28.458859050615892,E,B,D,-155.79542111138872,-21.18936393304295,D,D,-12.00502006551602,-12.560994227665015,E,C,B,1
Other,Other,Physical,-16.475533301947635,B,C,D,146.3091352064054,-91.84960025985096,B,A,-95.74984366251421,-19.294970962027335,B,B,A,0
Other,Other,Yes,-152.11912168755703,A,A,A,-99.23565431402055,-88.50005590675933,D,A,34.26318415759847,-21.738504130468833,B,B,E,0
None,Heterosexual,Physical,7.859378485074925,B,D,C,-30.711634773656925,-92.17746026452073,A,C,-33.09390285084822,-47.6302817413519,A,E,A,0
Other,Other,None,-45.025756094529,E,B,C,20.815908013934393,-149.69021307671454,B,E,-89.61666112631352,15.731652062654348,C,D,D,0
Other,Bisexual,No,74.0572785595927,C,A,B,-147.21663477801874,111.21253428661231,B,E,4.382414630211145,-157.99144082219,E,E,C,1
Buddhist,Homosexual,Yes,12.146321951033608,A,E,D,-25.334837822655782,-59.04516335608725,B,A,-115.343231984145,-126.00925063714755,A,D,A,1
Christian,Other,Both,82.90486430209681,B,D,D,48.71722851739346,-66.7738616225735,C,D,169.96790023944283,-2.481132494596002,D,A,E,1
Jewish,Heterosexual,Both,211.3498136835383,A,B,B,77.68892247614082,169.5661703901082,D,B,51.280253208393276,59.33784094331186,B,B,B,0
Other,Bisexual,Mental,-30.802315392469996,A,A,C,-71.89203704415735,-90.70049924157946,B,B,-41.19723199027794,112.80172287063886,A,A,E,0
Christian,Other,Physical,54.559424740112284,A,A,A,-42.28485496897746,-98.55663053659713,E,E,160.13591079107613,-90.6661394636501,D,E,B,1
Jewish,Bisexual,Physical,100.73218244286133,E,D,B,-148.20087138108232,-73.2352882155177,A,D,-3.7461154848615044,7.401058261413082,C,D,D,0
Hindu,Homosexual,Physical,-35.58193698375114,C,C,C,29.48674546024667,4.447426541156976,E,C,-101.4440084777857,-69.21565994243421,D,B,C,0
Other,Homosexual,Mental,-53.10324713284922,E,D,B,44.09925810997442,13.217426387200447,D,A,107.05538337794103,0.2532029660725622,C,D,B,1
Jewish,Homosexual,Yes,5.6972150115532045,B,C,E,102.98910173428806,84.7211535915545,B,D,-17.687423734308233,-174.52997252577342,C,D,A,0
Buddhist,Heterosexual,Both,-47.86575196072295,D,E,B,-1.933938433302434,-33.59976411931389,B,B,37.316145457024675,-34.62039203379185,A,B,E,0
Other,Other,Mental,78.62864024567327,E,A,E,7.398258134482109,-124.22748826210281,A,A,-135.6318575932498,13.496238365517698,C,B,D,0
Other,Heterosexual,No,-245.63795296380997,E,D,D,52.27718402351557,-40.34649841052982,C,A,-18.256931113411152,-95.03365221092396,B,B,A,1
Muslim,Homosexual,Both,-77.37860828818638,A,E,C,5.161475005262257,163.05050588852677,A,D,-158.80849441095685,118.59531021043507,B,D,B,0
None,Bisexual,Both,23.15614632382429,B,A,C,-59.34292829435449,20.848124124477,B,C,194.3092670463467,-18.305342934007324,A,A,D,1
Christian,Heterosexual,None,-49.27162568247333,D,E,D,24.53979175570631,-19.888390701923132,D,E,82.0849033322729,17.38770565205618,B,D,A,0
Other,Other,Yes,55.79235526792019,B,B,C,-91.4131269691039,20.06840183374973,B,E,81.80063935627628,44.22278732732611,B,D,C,0
Jewish,Other,No,15.434418062863426,B,A,A,82.70742726310874,-94.51350423816189,B,C,42.26106096199776,-17.03468791083377,C,E,D,1
Christian,Bisexual,Mental,141.0531738459593,A,B,A,-100.90748518705676,-161.88120057825464,A,C,-168.40512931188132,-69.60363661002921,C,D,D,1
Buddhist,Other,Both,176.0205330218206,A,E,A,-26.492022258099023,128.96079802882227,E,C,-106.83652429079689,-82.37861960629323,E,C,A,0
None,Bisexual,No,-35.72706024907968,B,E,A,127.56909808441159,32.08969920450111,A,A,48.847713520135756,8.052872694581602,B,D,A,1
None,Homosexual,Physical,12.589547292204115,C,A,E,-54.260174652290395,-93.8587572657803,E,E,152.45428642174176,120.69611885086641,A,C,C,1
Muslim,Homosexual,Both,-204.71204118597876,B,C,C,139.25386891787804,-179.0896274674757,A,D,-157.91878628155024,12.821020938920483,B,E,C,1
Muslim,Bisexual,No,19.206697188631008,A,C,C,-40.18509410868549,136.42965774956977,A,C,-62.605486721349294,-27.521588671385228,C,E,C,0
Other,Heterosexual,None,-93.24934079766982,A,C,B,-48.22369053084607,29.92063381066435,A,C,-297.58070915836913,-65.95797300178532,A,B,E,0
Muslim,Homosexual,No,91.5175617612541,A,E,D,-217.6706753699151,-41.85373612051498,B,C,-109.05513802776323,-23.060635114608022,D,E,A,1
Jewish,Bisexual,None,-33.9283863646623,D,A,D,66.30168592641378,-83.10490836328647,E,A,67.28568119899188,-157.98992484206656,C,C,B,0
Christian,Homosexual,No,-33.465960666500955,C,A,B,-149.45024443218864,131.15913683735212,A,E,-118.82459320708836,-104.43846718967214,C,D,E,1
Buddhist,Homosexual,No,144.63142680427737,B,B,E,39.30597743985055,130.45991841525625,C,C,59.61103824420122,-43.2594850647896,D,B,B,0
None,Other,Yes,201.416847591403,E,C,C,-228.65128728441792,-141.18165336212368,C,C,-19.267620055854625,64.97925893342081,A,A,A,1
Buddhist,Bisexual,Physical,-65.205284345026,E,C,E,47.775133785131004,48.060745711879775,E,C,73.36359842477196,28.8371992225681,B,A,D,0
None,Heterosexual,Mental,-71.20002619177929,C,D,B,121.29386941254457,-69.00989503354657,A,E,-27.282507391357523,100.10525953411273,C,C,E,1
None,Bisexual,Mental,162.18141973368597,C,A,C,137.77788549811933,-89.83227675120851,A,E,113.6978819493848,51.37782281447002,C,D,E,1
Christian,Heterosexual,No,-135.2392340394991,B,D,E,161.86428861424668,-13.81701382976124,C,A,-126.74825054439209,-51.95676329024338,A,C,B,0
None,Heterosexual,Physical,-219.65653399728131,C,E,E,-125.47064193323507,-137.5019238050439,D,A,-90.71831094296472,169.50704987935924,C,A,B,1
None,Heterosexual,Physical,-49.87079891200299,B,A,C,38.8638611744535,142.1859865988433,D,D,44.065370034449664,-68.59175075486009,A,E,E,1
None,Homosexual,None,-152.0614059708435,E,B,E,59.36818415103397,91.23169323319551,D,B,109.17073333247484,0.7549717374597256,A,E,B,0
Jewish,Homosexual,Yes,116.30603428127053,A,D,C,41.95208470604509,-108.48589980124439,D,D,-72.48996783899184,-25.729410312717484,D,C,E,0
Hindu,Other,Mental,175.5447446022524,E,C,D,-2.6619223070026248,-103.74631318903451,B,B,109.0828525866549,-20.631971968934867,B,B,D,1
Buddhist,Other,No,37.302288563087394,D,A,A,105.39273433944034,115.77487139547848,E,C,283.4340172283993,-119.97649083590196,E,D,D,0
Hindu,Bisexual,Mental,76.82422714820387,D,B,A,-28.93684347901997,-58.17920262197917,E,C,-86.62287480267322,-12.565068338269272,B,D,A,0
None,Other,Yes,-17.36313067713318,D,A,E,89.60234169674857,-226.8386498380985,D,C,40.430648823947976,85.37975845710119,A,B,A,1
Muslim,Homosexual,Mental,113.35069167609657,B,C,E,-5.361004178323108,-60.90061037507108,C,D,-120.87057293210302,3.6718030871986924,C,E,A,0
Other,Homosexual,Yes,-102.50784475487626,A,B,B,-109.4221738402005,-77.43783699940838,A,D,-14.878258266782089,-82.28229676844666,C,A,E,1
Jewish,Other,Both,85.73352819558434,E,D,B,-119.06963486171686,-122.02718913605912,E,C,143.2587814174798,-156.20283765020068,B,B,E,1
Muslim,Homosexual,Physical,-12.953270388352475,B,B,C,-118.71107719705157,-34.175780988699934,E,E,-96.24215895280082,-69.26618116983056,D,A,B,0
Muslim,Other,Yes,116.84262684050053,D,E,E,0.6357948592352963,-85.54535787981197,A,B,-86.26249980839178,-202.09947342741134,D,B,B,0
Hindu,Homosexual,None,76.65695477197015,C,B,C,149.28676311478705,178.9817798807734,A,D,-30.03621295155245,59.4530505981415,A,A,C,0
Buddhist,Homosexual,Physical,85.26598966659094,C,A,E,3.2501531195355713,12.154281522950953,B,E,-246.97765678111233,87.6496900932721,A,A,B,1
Muslim,Bisexual,Mental,-36.542959878506224,B,C,E,-74.98527273282308,287.91808752844406,E,B,-180.32903195993094,-5.990472051306065,C,B,A,0
Hindu,Bisexual,Physical,-6.310655859366915,D,D,C,198.43418462836584,88.84831922431655,B,E,63.1691727463471,8.842024314651532,E,C,E,1
None,Other,None,18.072294633249804,A,C,B,17.437658417474456,-118.80422836602804,B,B,20.652299262108773,13.330796717446605,D,A,A,0
Jewish,Heterosexual,Mental,145.8843805727873,B,E,A,-164.52041991487988,227.19356960940274,E,E,6.00202005702722,-22.396290168831047,C,C,C,1
Buddhist,Other,Yes,233.48132600856974,C,E,D,-186.0120367637765,-70.49017059709108,A,D,-29.956544542957474,-38.200607391743446,B,D,E,0
Christian,Heterosexual,None,164.21769290437442,C,C,B,-15.852299174319734,-115.90289978744555,C,C,-43.92569143831266,-38.278826274261874,E,E,C,1
Muslim,Homosexual,Both,160.44530639191956,D,D,B,101.4277644926503,102.2639842287311,C,D,73.92034994056286,-78.29701837711771,D,A,C,0
Jewish,Bisexual,Both,-11.950986935297646,A,A,E,-228.21456908589602,-53.00900388678975,D,B,49.50184209535627,-148.17090979486954,D,C,C,0
Christian,Homosexual,Physical,107.67563392042933,E,E,D,100.75423635756258,-55.935122356284396,C,B,1.5591880306881092,-109.33238923067825,C,A,D,1
Buddhist,Bisexual,None,-95.30163175757205,E,B,D,-44.14548205625337,70.32784042694776,E,C,237.29653691457156,51.62410998847356,C,B,D,0
Hindu,Heterosexual,Mental,-93.61921701049225,A,E,B,-64.80719333597,96.53740890836276,B,E,173.69070794483616,13.556528927344736,E,B,E,1
None,Heterosexual,Mental,-5.861813171493706,E,B,B,63.434110099753546,-113.64199210673733,A,D,20.93869490009302,76.7103328649426,E,E,A,1
Muslim,Heterosexual,Both,194.7254467198532,E,C,B,-55.89847513989046,75.1923176763047,A,C,10.182351297447854,-92.1271347697746,D,C,D,0
Christian,Heterosexual,Mental,216.87737329314598,A,D,A,0.24885622093805984,-91.12374658430696,A,D,65.87610663109514,27.363225767367048,A,C,E,1
Other,Homosexual,Mental,14.892694540859566,A,C,A,128.24280762705013,146.27455411374447,C,A,31.669090746773314,-130.8895956775948,C,A,C,0
Jewish,Bisexual,Both,34.67655220907979,D,D,D,-9.686149330362234,141.07113863704163,B,A,-91.93277759747961,-74.10282517484514,C,A,C,0
Christian,Homosexual,No,128.66181296863073,C,A,E,107.52748896309066,-17.205128685676748,A,A,288.03662949886717,60.272671282765764,A,E,C,0
Christian,Other,Both,-117.07464958280612,D,C,A,24.199051703401743,104.12353295931294,A,D,122.78510496975585,-91.46158912286211,E,A,B,0
Buddhist,Homosexual,Yes,-86.89780358748685,D,B,B,20.318626101931294,161.38901555790065,B,B,-101.67678215667502,3.5305397074340688,A,A,A,1
None,Heterosexual,Physical,124.28281612048369,D,A,C,93.04162339637882,-35.873708782855225,A,A,15.697245955491784,-165.80738302102233,B,D,D,1
Muslim,Bisexual,Both,-60.25098985597837,A,C,C,-102.30138355942368,56.33648634411998,C,D,110.91540400919544,144.95975252411253,B,A,A,0
Muslim,Heterosexual,Mental,-43.656756230356834,E,A,B,-0.5668914362834153,-27.118346666216713,C,B,132.26811021848454,-83.33703870483326,D,E,D,1
Other,Heterosexual,Mental,-0.48958990230452615,B,E,E,-21.109909112268607,112.14947796902514,B,D,113.21959393371542,11.719478884084618,E,D,D,1
Buddhist,Other,No,20.514609351376347,D,E,D,-20.7306797385136,60.27949951237014,D,B,76.07998170474029,-44.465528303056686,A,A,B,0
Buddhist,Homosexual,Mental,86.10591662670298,B,C,D,142.24269101378016,-91.16935354978843,E,E,44.342035676898476,128.40539508247798,D,E,E,1
Hindu,Heterosexual,Physical,153.14680084652608,E,E,B,100.53725570935592,104.68461421638729,B,E,9.124014957883576,110.5555919464724,A,D,B,0
Jewish,Heterosexual,Mental,29.975333719380842,E,C,B,97.00352191661587,-54.62514005400464,E,D,-32.30793032948649,0.6660935300111918,E,A,D,0
Muslim,Bisexual,None,-61.51978416587364,E,E,E,6.579139348172236,15.76395664601438,B,E,43.096147478777446,-13.681389566846732,C,A,C,0
Other,Homosexual,Mental,-126.74908795493664,B,E,A,27.466488782821312,-146.29410894833467,D,A,-42.17825430534059,66.06699751590376,B,E,B,0
Muslim,Bisexual,Both,-112.63344208819987,E,B,A,-18.356643436606813,26.74694762776238,C,D,-65.78859232864892,-48.87092478869492,E,D,B,0
Jewish,Other,Mental,-9.622624173149893,C,D,B,-94.36349201385941,-0.04528661987377374,A,B,-25.510038100631142,24.92677006511663,C,C,B,0
Other,Bisexual,None,183.16436976106903,D,D,E,-94.83916019923893,-136.29885396345026,D,B,-168.30628017560562,-47.39697423795344,D,D,D,0
Muslim,Homosexual,No,-71.4141318701117,C,E,D,-21.017843394230045,-73.77128798620001,A,C,2.083536535303532,-115.75553368682414,A,A,D,0
None,Bisexual,Yes,82.2206245317437,C,C,E,-179.74011601175133,-79.68050506998762,E,C,117.6381074407451,29.722286271413516,E,D,E,0
Christian,Other,Physical,-225.93930270603374,B,B,B,115.14700887912737,146.9389814765015,D,B,92.62047257117699,-30.16829291544721,D,E,E,0
Christian,Bisexual,No,-32.22334184506196,B,E,E,-44.933384902381526,-44.15429212864005,C,C,-141.1546495984736,-1.7094523569841251,C,C,C,0
Hindu,Other,Physical,96.91913840561942,C,A,B,21.4333335765042,-96.21066375005924,B,E,25.937362739701598,-66.9475184342509,A,D,D,1
None,Homosexual,Yes,39.73196841626471,B,D,B,-36.22430073128603,219.61360838709138,C,A,-65.45674335980158,-176.4208106379879,E,D,D,0
Christian,Homosexual,Both,-217.28615672329687,E,A,D,-148.89238610057834,84.10088612013024,E,B,12.905926207177021,-101.00328315971723,D,A,B,1
Jewish,Bisexual,Mental,77.80040923013887,A,D,D,-108.16363592053115,-56.735605667897694,C,E,-154.35511379962443,18.91573710195562,A,A,C,1
Christian,Homosexual,Yes,128.85951185856234,B,E,A,9.688272447293505,-113.99590082737554,C,B,-94.81399228321095,82.13051099799837,A,A,E,1
Other,Other,No,-43.236503752782866,C,A,D,97.94232086045382,25.489511869991148,E,D,-105.30513812785789,90.04396295797412,A,A,D,1
Buddhist,Homosexual,Yes,-125.77101179689068,B,A,E,-3.0567425972662443,-118.82071620669963,A,C,-110.54844297854692,1.4289522562444772,E,A,D,0
Buddhist,Other,No,-2.7722117442181466,D,D,E,-39.33002116735048,-88.15543088762502,C,D,-4.607372640386132,20.082376262670287,A,D,B,1
Muslim,Bisexual,None,28.282688522996192,A,E,D,-75.96474489181799,11.67544617320132,C,B,73.3085800676657,50.10114280007313,D,A,C,0
Muslim,Other,Physical,29.899904384057674,D,C,A,-28.45668139741349,130.87977101509287,B,D,4.9096207413207935,45.74801695957362,D,B,E,1
Other,Heterosexual,Physical,-0.9034013540238809,E,A,A,-80.31399106243578,113.2818564043657,D,A,-2.467094464221691,-62.647387605811446,B,B,B,1
Muslim,Homosexual,None,-46.30629590788557,B,A,A,-103.11510594940981,-135.96379685064795,D,A,136.54887903088257,11.43449405157882,A,A,C,0
Hindu,Heterosexual,Both,-41.777416421643096,C,A,B,191.6300136291871,-104.47569909846281,B,D,34.070254882853675,167.70120635451923,C,C,E,0
None,Homosexual,None,-90.55244373361568,A,B,B,-177.2013841717378,-32.295627868108106,C,A,9.906350145008163,80.2373115757468,A,D,E,1
Other,Bisexual,Physical,101.853085890272,B,D,B,-52.17203527250878,103.90840133226567,A,C,-153.05509638554514,70.68680932832991,A,D,E,0
Buddhist,Other,Both,-116.85374602550445,A,E,A,-65.20550326549902,-159.80644103838054,A,D,-88.97472258086944,-5.52102368057392,B,A,D,0
Hindu,Homosexual,Mental,-63.36666748791292,D,E,D,-126.16289203994795,114.30886917951281,B,D,-42.11447341004597,-206.45766057588077,C,B,C,0
Other,Other,None,-50.88966242397366,E,A,A,-37.96506402459847,-25.317678399976113,D,C,55.6294043845954,86.47347209807783,E,C,B,0
None,Homosexual,Yes,87.54561459417404,C,D,C,12.92078486895741,-144.72723432337605,B,E,73.27460046457323,115.07269627417121,D,A,C,0
Jewish,Homosexual,Mental,-74.59872756915946,C,E,A,192.99996157496636,-211.1737975106954,A,C,26.40025077514579,-76.19565864394488,C,C,B,1
Muslim,Heterosexual,Mental,0.19219119996762332,C,E,E,-40.81288857049555,-187.65764859637898,C,C,58.23817798099672,102.94480052756842,E,D,A,0
Muslim,Homosexual,Mental,9.449110127268474,B,D,A,180.26391641318318,98.76577956663553,B,E,-34.82570826134012,21.125277767514003,A,E,C,1
Jewish,Other,Physical,72.77170304885732,E,B,C,-190.42757159778822,-34.835840874437274,A,A,-33.40044923725614,-108.95853473368055,E,C,A,1
Christian,Homosexual,Yes,-13.031069472501859,C,D,C,-47.43083200100904,81.8572047386202,E,E,31.258968608648864,46.27910880325169,E,C,A,1
Other,Other,Mental,180.36944664723816,D,D,B,61.233095594608585,-17.135905989387098,D,B,153.78399062248005,201.71330735457875,E,C,A,1
Jewish,Homosexual,Yes,-9.462546166799992,E,B,B,-147.91021194240776,18.078304782857764,A,A,80.45579482044933,118.41695111147601,B,E,C,1
Other,Homosexual,Physical,-51.22720252732934,E,A,D,-29.159644369541184,-173.78012650665335,E,E,-70.9654049661078,-53.049261400253144,D,C,E,0
None,Bisexual,Both,-165.27867897479643,E,A,D,74.33731203389647,162.29469277308155,D,D,102.92330887090459,3.5575060873547732,C,C,A,1
None,Homosexual,No,46.09203446104529,B,E,A,79.30348626000799,-108.8457176182968,A,E,19.010742448983965,-83.38949690366468,A,B,C,1
Jewish,Heterosexual,Yes,106.75759677887282,D,D,B,33.39700257847584,114.59071288161118,B,D,128.4227708142476,-16.482498298733933,E,A,C,0
Jewish,Bisexual,Both,-23.385199145148572,E,C,C,81.04382572106474,15.904853138003155,E,D,-185.30944655008142,-113.52351299142806,E,E,C,1
Christian,Other,No,-192.0768618912828,D,A,C,139.7485406710802,145.833700762097,D,C,181.45025038598965,27.696098375762595,B,D,B,0
Jewish,Homosexual,None,-24.508393545925948,B,C,E,167.28622311230927,32.52661876604536,A,C,-23.36605586251034,77.59451048009738,A,A,E,0
Christian,Bisexual,Physical,29.411065606006176,A,A,C,-151.94347868103986,208.61395116287503,D,B,-96.92535252334883,-26.1312521278166,D,E,E,0
Hindu,Bisexual,Yes,-39.09464686401857,A,D,D,168.97598636253258,157.89921833231085,C,C,59.24150127500256,-82.20408974963497,D,B,B,1
