nation,gender,race,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Brazil,F,White,C,-45.39650677860354,-108.7063575150994,228.27286738772852,D,C,-77.20953936012904,D,C,73.36785987092343,-14.342011519565794,-0.5143193560813745,13.29496374502012,117.11687243369819,0
UK,F,Black,E,218.4845239632872,38.35515646756821,46.84381100886178,B,A,121.54785785625013,C,B,-34.21012687085426,-195.8459619941792,-95.05458151639971,4.847514814817404,23.285493038801075,0
Germany,Male,Black,A,83.3597687124939,-70.3820272239719,-83.07440790135271,D,B,-129.64027520592214,B,D,50.84745359046906,29.991342464544214,118.1040175848838,-27.710365768161644,51.65543987199494,1
India,Female,African American,D,-36.27918767312182,-25.631918714005835,39.782496713103384,E,E,-74.70762362878223,C,C,38.510189507675726,60.406228154832,146.71569285611724,-110.88453399873295,74.33669988075803,0
Other,Non-binary,White,A,52.92554486281457,-0.5509355767546401,91.5422432953569,A,C,147.01197843348518,C,E,59.59044137647667,-20.66248776850933,-33.78787644295456,-61.73067486787834,43.00010135338165,1
US,Other,White,D,-146.40930122502556,22.72250317324699,17.35089287925843,E,E,8.795322975374447,B,D,-86.2025535067231,103.5482004188719,183.2614568911885,30.002751318663922,-108.86865144469344,0
Other,Non-binary,Hispanic,A,120.01756182148206,150.48515394312355,45.00840779309034,A,A,170.92569256400162,E,E,-28.408627499465865,-148.44324787507514,21.961826799814546,192.11566479467623,-53.315512674738244,1
China,Other,White,C,-54.753495596603095,-59.03320115235166,27.700418823306723,C,E,-108.75186575273852,E,C,-55.68781584294042,-215.27604143464734,7.547437858894286,-20.58117121928131,-10.989866054787932,0
US,Other,Hispanic,C,21.135617530031606,48.108941869942086,71.49494790286649,C,C,-123.52602480877364,B,D,4.817224839746306,65.45532446325069,-144.4818778247766,-38.109629011977795,-115.65774699982904,0
Other,Other,Asian,B,34.06123905108077,41.955062578932576,27.121971397540033,E,E,-123.18607039680091,D,D,114.32427085660576,76.06176025814109,124.36968699556556,14.438261277388131,-141.54833617936004,1
Mexico,Female,Other,E,103.41159611256703,124.42540754817324,-168.8795727394184,B,B,142.17387762890664,E,C,104.26664627885343,-73.30213270234357,3.7920834340691947,-169.0570003083208,45.802236963879665,0
India,Male,Other,E,-115.19906018888884,-137.92738676755218,48.114746677665956,B,B,118.39240256323198,C,A,94.5771648638758,43.53690371053538,-44.327121207084566,242.60953484217632,38.06733201766647,0
Brazil,Female,African American,C,-71.5244315953822,74.24688986606778,101.51048204268452,E,B,42.1348508388619,B,C,64.63348033396858,191.88974291731665,157.87142691238813,41.55975336757433,190.33260891793583,1
UK,M,Black,D,-134.71559742165405,-23.30998929034774,206.4853586723228,A,A,-49.57257220936512,E,D,73.02403773324895,-44.75722045375144,263.42263207189654,99.47284066352758,-5.517363374867654,1
UK,M,Other,E,98.59479253651617,13.828008935288208,119.57222882396994,A,D,106.06998120641752,A,A,36.840167940472625,93.80241786699631,61.98201450054475,107.5833243959033,-18.24370743974144,0
Other,Other,African American,A,-127.43369393182435,4.186288550134409,-23.328174369432908,D,A,164.9106109845103,E,A,-8.16841221959623,32.03956697335249,6.221086685903461,1.182767191255307,-39.614236717690815,1
Other,F,Hispanic,C,10.434072392979402,167.05732751820074,-14.199660701220987,C,C,-81.8109508268762,E,C,-117.28726541587938,-24.040555000027116,7.78677681396055,14.776090992008692,-226.47280257586192,1
Mexico,M,Black,B,76.60153884793218,19.884775677473538,142.14989984480317,C,C,94.05578039921144,E,E,28.652548950660456,15.571730613988679,59.86835090886877,-167.64122071521695,113.14819180385113,1
China,Female,Black,B,-121.5913304493415,12.735364885137123,68.97368861363985,A,C,34.267441763090446,E,B,-7.1225245989839525,-123.81475261761578,-49.5566639498887,8.638976127966234,-256.8079795585377,1
Brazil,Male,African American,B,-2.887638775213195,187.10759738728694,-41.84533890329746,D,C,-101.67718428988104,D,E,113.16119802321903,170.56855948190125,-12.58088631974126,-45.35818828939165,22.722483027665167,1
Mexico,Male,Asian,A,-85.28065625448983,10.702514922870215,-91.92348889172098,A,B,-27.192363063451673,B,E,-42.95243629599168,-109.8917332572136,64.36414731938707,92.37262920846817,17.04486467492484,1
China,Other,Black,C,33.22771057027559,138.7359377797892,67.3961005416698,D,D,41.411444731105675,C,C,105.11956236184916,153.87355014414553,-97.09594936734337,-18.98581436107271,20.779046253007703,1
US,Male,African American,B,173.1817314014056,84.6529429137311,-51.875921010803516,A,B,87.6657400637649,A,C,75.57730511807354,28.157050337999422,62.114763167854804,94.38138033615351,-123.349368138023,1
UK,M,Black,A,-59.78334697289978,185.66429174446225,16.25628958861853,A,E,37.96337495742201,E,B,61.29297743348443,34.41364647811477,140.5255416078298,28.252119209525095,28.015867232377374,1
China,M,Black,E,-103.24096469654278,116.8719009120953,-63.27042163009454,B,C,198.68293512129318,E,D,-147.26979587701751,2.7061242951065694,-63.945669831386496,-130.34882130808725,184.69342513689122,1
US,Other,African American,A,-7.544224692042617,-144.2901782046251,-119.92623276387067,B,E,-53.775283776792705,A,B,-55.45587768067115,95.53930309940364,-83.0927923331556,-314.75551601720304,90.7180102495098,1
Mexico,M,White,A,-24.520917979706734,82.69881703188044,-146.3556685809716,E,D,-70.32524346629721,E,A,207.0678486974433,111.11465333705013,169.852741897866,43.7691038009925,41.005202675526455,0
Germany,Non-binary,Black,A,38.8223507624975,75.71473198641696,-112.52286996278791,E,B,36.552925704272376,D,B,-115.35024163857368,25.437248936846146,-63.47683409400361,-121.64112465296695,176.0101589136713,1
Germany,Other,Black,B,132.10916076679072,-59.323793150056595,-96.41086564347728,B,E,-62.49818685651699,C,D,27.09615211935661,-33.93648116348974,214.0884014096833,-178.44456381176198,-7.826351290902754,0
India,Male,Other,E,30.80106300192057,-13.549589423060915,-113.13081612200759,C,C,111.01828700924885,D,D,-38.22370327675515,34.3003591023022,4.409106778235521,127.17944657982618,-45.65860630154869,0
Mexico,F,White,B,-45.76586093132274,4.8076295312798605,-148.63309877623087,D,E,101.8266341829092,A,D,-79.74136030816952,-179.9503187661195,169.11010652220224,-108.10886555197925,54.069859106308996,0
US,M,Other,C,-27.34308349380519,-6.968137598783289,210.51337226594637,C,D,-0.1119613172669297,B,E,-125.55760176185275,-13.554996817284346,-45.440225957120134,-62.575249051449134,-98.94643707431663,0
Other,Other,White,D,-4.248312270605,-58.768595581908144,83.9981981518099,B,E,14.908609155749161,D,E,-116.83724045482616,28.172986842663576,194.04852462207737,-33.710608382643436,40.479073595837704,0
Brazil,Other,Hispanic,B,92.72872975869126,85.61451436238733,33.90424047970313,C,C,-104.89738814657122,D,E,77.12475179199691,-34.13013130668649,-10.244533542202378,-168.59030059407334,-226.99065744313538,1
US,Male,Other,E,86.61518889061752,-114.94437563965354,-67.92323627674735,B,C,-4.134320610214641,D,A,87.02943377218459,-232.9111883218225,-328.48296320721795,-120.75559818686028,39.41353051915806,0
India,Non-binary,Other,B,-54.98405092421458,13.464171351583234,25.86096014601666,C,E,140.27837115848783,A,E,-124.5045405771273,14.752355092833763,31.203741605124595,-128.4156789004036,5.22112226737252,0
Germany,Other,White,A,-153.8328384432825,61.19540339320698,7.854071528572988,C,C,-66.03863523769753,B,D,16.18259644525426,17.353286374089755,-42.49153822259007,5.854184711634273,141.81359829197234,1
Brazil,Female,Black,E,135.70694921067738,27.761195060559956,-104.69796975371686,E,B,-228.00270418610654,B,A,-83.83230710997555,49.26352910979275,-135.20042417023913,76.29766229944028,94.47050682322201,0
Germany,Other,Hispanic,C,-64.35459823405434,-175.26932197151663,72.19100424055081,B,E,-109.18967682322369,B,C,-50.439797150356235,-15.311018293455858,185.2110769846363,67.3086360470385,-8.739677667456201,1
Other,Female,Other,A,24.035960762203487,-68.5034597749614,-35.237676019190296,D,D,-50.82766273418289,B,E,178.74511931636155,9.601893776791282,-45.02817649129119,93.88904451392118,95.89138943751216,0
Mexico,Male,Black,D,393.2245918936296,-5.917573013617461,-7.244209537750039,B,C,-183.75331981542283,B,E,39.320129554538326,36.683680072592246,-21.992115591301665,-54.99311717751604,63.813337951262206,0
Mexico,F,Hispanic,B,85.7339197008669,5.000795686940907,-152.7442249761861,B,E,121.95764164085693,E,D,21.045939759114045,16.78845446461616,-142.40115813516522,-7.534508993106619,-13.054010627862722,1
Germany,Other,Black,A,120.15214866407362,32.85969395277298,23.582687593112176,A,C,-11.430197469351294,D,A,48.08517717700243,53.860117777973294,-185.65614241948123,-203.9678844786657,39.437421733363955,0
China,Male,Other,C,168.65069465054887,-22.134318810381185,-59.44080690166972,B,D,-24.309387356479682,A,A,57.05963735774595,198.39998947282774,-10.832536209770373,-11.821388993053015,-40.48589380041624,1
Other,M,White,A,30.300313303622804,-17.21117317414454,-94.71866243493163,E,D,137.57640735316053,D,B,157.0966752556511,-5.253645902566081,-166.9579199702982,4.923166071081724,-67.5595788884039,0
India,Non-binary,Black,A,-58.70731949529596,-66.19137827525171,-82.97598238522093,E,B,-42.12688105757611,B,C,47.447465327540165,82.46965620187817,76.17877969526971,-14.995882873985897,-38.362399119274436,0
China,Other,African American,A,14.859453084979382,23.7032234170279,-27.19147156788398,C,A,127.45732938137284,A,B,72.87915158942076,-45.22449199550563,-52.59076765772094,-32.83596118420157,-162.61156107580982,0
India,Non-binary,Black,A,67.5812582984477,0.8219951648795243,-15.323720334771421,C,D,-45.91352590466513,B,A,-25.85141563242528,81.1451341535483,52.38635034468646,61.10697422027612,8.160783565700042,0
China,Non-binary,Asian,A,-11.215572145777557,23.90563368037444,-33.34515949696817,E,C,-138.78220219507077,E,D,100.32991107302661,84.7132704666976,-105.88342668173622,-95.0196761559883,63.88726563462779,0
China,M,Asian,E,-26.68458584911204,33.94809167232572,-9.32333638675172,D,E,108.29448181478101,D,D,93.57989786157842,34.02792449832137,-59.86190424600404,5.5479290912848755,3.8370618754810306,1
China,Other,Black,B,-37.14466470326697,-21.69876241511602,29.956568314966432,D,C,-203.80286622853387,A,C,9.949207039939807,132.97503071543548,234.84594658760298,-146.59901178045385,-41.607974712824294,1
India,Female,Hispanic,C,-92.73609011265975,-53.03553902958532,-28.00822407743105,A,D,-33.986930344358306,B,A,51.76208477683678,-1.3263047559345795,157.40484253072344,-145.19568685893353,61.54740989453753,1
Brazil,Non-binary,White,B,103.18933465972388,24.275798225613933,-17.310067562978137,B,D,-21.776104700795408,D,A,111.21871956803184,14.248633447386164,61.103594439732056,-30.4247255838025,92.83166739053937,0
UK,F,White,E,217.1380910186913,-45.877541023967275,5.838902950515312,D,D,143.89935553979015,D,C,-185.78557571932038,102.94177773390227,104.76020187518735,167.87722067034915,-99.8174257945667,0
Brazil,F,African American,C,-37.402820748054936,-61.253445521392436,-18.593121426816595,B,E,-173.66638572212213,B,A,81.52887276474793,169.89879695177754,89.10217211743081,-49.229681845721785,-76.14953008178679,1
Mexico,Non-binary,Other,C,-97.734926349727,88.754207834072,18.324612092282806,C,A,120.7485706670417,C,A,85.10184560931012,34.88627205719664,-113.53454401722587,39.46555750697903,25.014738561468793,0
UK,M,Hispanic,E,-89.48721532110336,132.7705434157526,-172.37441664937577,B,B,-104.96383591047957,A,B,-79.23473989477839,-46.29880155918487,-56.08999510915326,83.56791856866316,77.57598044667328,0
China,Non-binary,Other,C,7.2799811054668915,-14.477941571491723,-136.48024005541873,B,C,-35.04816834200988,C,A,2.299274077398105,36.077747541905204,167.91023243128174,-226.13390999768677,9.185385936593727,0
Other,Male,Hispanic,B,167.95647841850118,-20.577495619329227,113.74335325868832,B,C,-23.11986221257317,A,B,35.27196370228607,-190.43195525527267,11.769943114227772,21.956220265014757,-25.13024232765678,0
Germany,Female,Black,B,51.55598395218829,122.80003860280175,-72.13658670437356,E,C,18.08685692983492,C,B,103.79872963805859,43.57888807557371,179.91502071621846,-142.83868200234687,25.975728271984295,1
India,M,Asian,B,-31.4799287325854,-20.89348453906758,-87.82756375500496,E,B,-159.46716484645492,C,B,82.40587589566259,27.07139463227875,75.34484092912325,-153.03177083376823,156.33118883389974,0
Other,F,Black,E,3.96939983687596,140.63025054774388,-44.1619507035967,D,E,-22.116933982672194,B,E,-14.510988374956227,58.69954757290179,232.97354416232398,80.41544714325822,7.018608348375046,1
Brazil,Female,Hispanic,B,-80.63923561779207,9.75556237824889,-255.7379901491108,D,E,-53.95025520753818,E,C,-30.633945777133743,-33.59257211684219,23.820757481501204,1.746327517793577,52.529722076157256,0
Other,Female,African American,D,114.06755050830999,-148.15979668926192,-26.422593952266944,E,A,-159.60304070661084,C,B,68.15818159279168,-24.976463527909758,-104.68999018349147,-28.83101976037082,149.70544108059812,1
Other,Other,White,E,-25.086127329687223,-31.685206313259663,-38.61871894377884,A,C,18.245442582662292,E,E,-56.99816597438877,-60.18222812495527,24.627738387317866,-40.756280117804245,63.92419986529161,0
Germany,Non-binary,White,A,-69.90986586516932,3.9740134739006576,129.30293846193777,B,B,-148.79685476002956,E,E,-19.596639521488264,100.20266762591143,-8.93162958830965,23.96215233178916,-28.688682626774924,0
Germany,Female,White,D,-70.25385376788827,-135.65753562438883,-4.455762977853885,E,E,152.0000494287721,C,B,-98.90517765187697,30.872056057093474,300.87763178851816,-50.000085455082676,17.935975847774856,1
China,Male,Asian,D,38.35040021364636,82.07860274759152,-27.34228213193938,D,C,-16.796324586889945,D,D,58.22383445536751,72.3667816695679,-79.70747985968801,-126.8367475812977,-32.54411870813222,0
Mexico,Other,Hispanic,B,30.88300780907557,-145.940872678369,-13.210694607479843,D,A,105.15856902463914,A,C,2.135597926062325,68.65303960233894,11.734812387261025,-86.99461676106152,192.32674526575627,1
US,Female,Hispanic,D,-133.81699581835002,-1.0190095459055006,85.00890324108887,B,A,105.4068006217512,E,B,-124.13224136580317,-115.45775633166492,-59.171450292398845,-46.61436788795593,28.555837459066,0
Brazil,Female,Asian,B,-11.615627313507341,17.747865584418186,-46.3816556020291,B,D,55.7868520226546,E,C,-110.98348412464935,16.926902893490485,53.94456071844477,18.547271817335226,-47.62213738187391,1
Brazil,Non-binary,Asian,E,-69.99478312092101,-77.81232845964567,-19.192496501960036,A,C,-209.1746410367889,E,C,-154.69960763275273,-18.6775696291323,10.788397196248685,22.339080066488055,38.294433529185845,0
Germany,Other,Asian,C,11.392169081352229,-26.838690237521163,22.041186860539508,E,E,126.7818252302524,B,E,-34.220296888785526,-118.27050497716122,-14.321719504246172,87.9322740499474,-243.3331736666948,0
China,F,White,B,-73.92910760246725,-184.53699448440466,-80.26496420341945,B,A,115.41818542898822,D,B,2.155203606304305,87.4228224145546,-81.0802488091496,-138.6533841885617,-95.97851288067358,0
UK,M,White,E,0.29601198069945384,-96.38126136022717,5.455370335817563,E,B,-47.270191170993684,A,A,-50.769544314886005,-120.72548430805263,51.9637712904011,12.030560794723863,71.28394366218498,0
Mexico,Male,African American,D,222.50716570561045,13.434368441775463,81.76325810598661,D,E,81.22129714076542,E,B,141.62422554751265,-193.4756408979247,-63.18809029765173,61.53952711932894,67.24267091475332,0
Germany,Other,Black,C,-45.882497627963915,73.67943968186746,-15.35030530894874,C,D,245.52102465031788,C,C,-153.83654264668667,-44.54037239491414,128.88916688613466,-89.44771360022207,29.31425554955358,1
US,F,African American,A,-220.86370449679094,-12.048720822041311,-67.85699470895268,B,E,29.196280594251885,E,C,108.4718237161929,-142.0608527485342,-46.53556286623378,-244.29617125922113,27.751692392690785,0
UK,Male,White,E,-93.10401080363108,156.3340972156195,-35.80457169956386,E,A,13.3273010386097,E,D,161.29753827042134,-2.9546804494939964,-54.57363788260927,-54.782490831263765,7.050301050770483,0
UK,Female,Asian,C,73.39430491384695,-144.5383897142825,118.45039571796576,E,A,27.180340202760945,D,D,-25.301862025607548,-10.071783233402098,-99.40811445830971,32.78281968325905,120.61163135190594,0
UK,Male,Asian,B,215.36573118942286,-124.8059816673644,-44.35539335525867,B,D,-16.36749494758011,B,A,-123.34122161841823,95.01287249526146,-122.14508940944266,-113.38611307307266,-172.34141552847402,1
Brazil,F,White,D,153.51310335285513,-7.78171055896586,155.83027031656445,D,B,-54.94973891849973,A,E,-119.64692379596562,0.0930481789368847,-41.62557075090858,14.904240127329702,-105.97575232317027,1
China,F,Hispanic,A,-1.4558262357061058,118.01475415895177,-111.91860354416588,E,B,63.23427470736056,E,B,-21.130798680319636,-59.90932483864741,-72.0489464090555,147.4577937077643,138.3154223273718,0
China,F,Black,C,97.53726835002126,-128.98091824602355,75.45053937355912,E,C,26.12490539772035,E,E,-11.17892012056028,-48.11208379641659,285.9446764353868,20.837185473983272,-191.1841550170455,0
Mexico,Other,African American,C,-73.36300870501805,-58.79720920524195,32.25437587818359,D,C,-63.31891980855503,D,B,146.59099712042385,-39.45800450009994,-52.31866287207676,-205.57432812810913,51.57765360234258,0
Brazil,M,Other,C,-25.694943813047168,-115.3583877745592,41.4881110558203,B,D,-44.93445043567112,D,C,-72.96175522768479,-56.94755232796719,117.49840341802921,-12.494403743544854,-0.9678326501889194,0
Mexico,Other,African American,A,-91.71817451871696,-39.68197910857034,36.43253184687541,E,D,26.118792317964225,C,D,-45.05332000505822,-29.10048929371607,-60.78112519222297,22.940840178649626,194.9953545145191,1
China,Female,Other,E,5.776168573478365,35.97542119619165,34.42717877929532,E,B,152.4327764860922,A,A,111.01610635157797,83.67983537760871,-110.58372903118527,-53.37738857701927,57.842877314487055,1
Other,Other,White,D,10.789140729366636,60.46293014841917,-146.96995552787217,B,C,13.821675026044048,B,B,156.23824966576316,5.4949937702965315,203.74423024568165,-25.539551345601385,-26.25355112505041,1
Other,Non-binary,African American,E,26.279206213697602,141.5359884257687,67.22967876696121,B,C,17.846990152218112,A,E,-50.65670904317321,-46.11905055831381,118.15974183232973,-199.43751540309236,6.381181789361018,1
Germany,Non-binary,Hispanic,E,-178.51726935213185,-18.34268136649614,-60.618668723728334,E,C,88.38205183360284,A,B,98.69731911969387,87.50735330969653,-10.460748534836496,282.4505283710681,-106.35306704177457,1
India,Non-binary,Hispanic,C,-79.3614430307481,-115.5155576084299,27.22161745298318,B,B,11.103291615821856,B,E,-27.28266842453969,-158.3639147450354,89.87756370487354,-23.4077204425044,10.17939943305601,1
Other,Male,African American,B,1.6183668893792678,-180.01759320979437,8.81520635066309,E,C,85.98113081253499,B,C,26.051068151565747,-58.970724177267265,-5.504471940175095,-41.241383894067326,34.20032256769453,0
Germany,Other,Asian,A,-152.31511505329323,80.69621043053705,62.710334569912405,C,D,-4.414033592968218,A,C,189.70161570889715,165.03994339759868,-51.352210000553974,20.72782244856242,52.189670507509966,0
Other,M,Black,D,62.085686342437505,-147.04174551729747,-86.42623979652049,E,D,-24.47485437930661,B,C,72.78742214191361,-43.4248113752594,-109.12580128692031,-19.232866439924816,64.2304923674017,1
China,Non-binary,Asian,D,-158.41579106061423,145.46968038528087,-124.06351195265056,C,C,98.98039200833699,A,A,-147.6797364773795,52.49230726693699,-59.558688611381186,120.20001025706625,-28.332816042396647,0
Mexico,Other,Hispanic,C,4.607105095445903,34.42533814885185,78.25580437522837,C,B,-63.45046951833769,B,E,20.467397461444357,18.34533967720709,-136.30464566435853,66.39091512936339,-45.13399809032605,1
India,M,Asian,E,95.32296435811315,16.38878925865712,26.866713715770935,C,E,-10.27862644014792,D,B,5.114170714308851,-16.981779743979647,91.52028833511274,-17.23229284080142,29.11414299152641,1
UK,Non-binary,Asian,E,50.54272244597241,-192.1477583857873,96.17435913899874,E,A,-208.39011712889385,A,E,15.080574179062156,-13.564318030991926,-30.917656251188706,8.221257412554897,-19.837505787272416,1
US,Female,Other,B,97.96811128849086,-82.83783166104288,16.727779436824775,A,B,-175.73575473278188,E,B,131.84055869589528,2.0601716610974523,55.10792179346834,-125.87272547999879,-68.24502618136859,0
UK,Male,White,A,8.613294511146353,16.627778707979672,-86.44666701616445,A,A,-127.05045211218058,C,A,10.678533380165712,-76.59554501487304,-114.29391354916712,43.82820602216626,-2.5349920236380745,0
China,F,African American,D,-72.52063295571676,-197.96201716367045,-137.59492174563,C,C,32.48026964596543,E,D,-94.25366013667194,93.79890363180327,47.53098632518077,-122.65028628049166,-121.95251234052573,0
Germany,M,Black,D,-140.79503783788928,56.008598694453305,54.61910409171168,C,E,319.8432060219108,E,C,8.356022742204658,-303.86468645510405,266.3862502599032,-109.51332808332468,16.410358148231232,1
UK,Female,Hispanic,E,-165.75473994003812,30.915841013840435,90.1985079247154,D,A,-155.64231413266177,C,A,254.0848450538365,-105.80758143383599,-71.10136716060563,122.09901435855113,19.904638572636042,0
US,Female,Hispanic,C,58.63539796041679,139.7231504388215,213.47388313810725,E,E,74.16727624364098,A,D,-128.35288654790645,41.18345207261835,-2.398657617647495,-18.75387927207803,-88.17017906013179,1
US,M,Hispanic,B,41.887022616572665,30.123025484340214,102.56273559518512,D,D,-119.04821431758445,D,C,-80.0885182418973,-113.92486591449232,144.73167486540166,-52.28068954575941,-131.0226091785672,1
Brazil,Non-binary,Asian,A,62.96228073677415,-102.96094976171184,38.21441210320582,D,E,13.307163115202794,D,D,-22.48714976323842,48.61676607381612,-171.2237500907507,-65.6231868390254,101.29716475015817,0
China,Female,African American,E,-12.401014035424904,101.99716172336666,42.64790040024803,B,E,0.4031190035907151,A,D,57.925242782932806,50.87751912547026,175.51652647245112,-44.83955415899622,-2.091132277118404,0
India,Other,Asian,E,-15.435970231453155,55.24574121622855,145.10262024083698,A,C,213.10404326330087,A,D,42.250547784268,92.9342524484065,82.54103142733143,32.59073720249537,-156.25165608920867,0
US,Female,Other,C,-30.532798030894458,16.388743302793678,-59.89846968829977,B,E,-97.34053556087328,E,B,-169.56651911245766,29.088498559859786,95.38374664488917,-147.90426141519447,-210.47303445468293,0
China,Male,White,B,49.30323060126818,-52.31538675156465,-138.40373931254106,A,C,-76.79463739438889,A,D,-102.5625708849204,50.98625748415549,-7.7513539117268815,-102.84995417064593,-24.15637000696438,0
India,M,White,E,-110.26200310059622,-22.44280153995161,135.32187433995432,E,C,-76.28510381353645,E,A,-65.44935881534884,-2.249211969310256,-33.63187462908817,34.495530432090966,-121.14282467506709,0
Mexico,Non-binary,Black,D,-13.453460690432559,166.87458081586823,-151.03590591440278,A,A,172.914492780899,C,D,-1.4036625613117888,98.5011743528166,-174.37325182227798,-86.6937343264148,-44.08435894157361,0
Mexico,Non-binary,Other,A,9.298286191401223,44.45736303275741,-102.62432760120596,A,C,-101.12900813598907,E,A,-2.302621482793529,-53.16709401513202,-131.35507723102359,-93.53327031449248,-31.633104920051665,0
Other,Male,African American,A,-95.14299466841932,54.13855101610196,-54.075931183088166,A,B,-10.541530301346226,B,E,177.90173573071786,-90.55308961775623,103.66627068251645,-174.69132773744678,-105.50794826314561,1
India,Female,Hispanic,E,244.64500449263377,190.09023305767218,-178.07728818705866,E,A,-14.189036847138597,D,E,197.21955988721643,-106.82379202505408,-11.137696306618336,-109.97846005992544,-30.21128388211532,1
UK,Female,Black,A,43.648736261021284,-36.42045542958062,146.32850865711023,A,B,29.175476762389845,E,A,120.51343999859971,33.806540518959,9.456077938268544,-3.5485791939933717,-41.47744673139271,1
Other,Male,Hispanic,E,29.738070408820192,36.5612876087617,-136.617002742029,D,A,3.05841600655063,A,D,22.67370084866598,159.21345010726438,29.295228194990987,-75.73940042678176,-127.1464366013535,1
Other,Male,Black,E,-179.20710546298488,-6.836849190780938,-3.154821083941848,D,E,-66.4392903258996,D,C,-62.42464103843746,43.005745097557266,23.128153102167655,-93.47767602605876,139.92709151187228,1
US,Other,Other,D,-49.89226588839882,69.41410643238044,-30.510480945205366,C,D,28.819967087605363,A,B,-209.1797922144874,19.699768798790792,34.78604165844163,-15.695166832010235,-65.03129495581146,0
Brazil,M,White,C,23.784305525306408,32.192261667426266,-46.00677330315384,D,C,-171.99784883599455,B,C,64.62275096853773,-71.62585015686321,-7.925109653918268,-12.225622816268546,31.853721107656014,1
Other,F,Hispanic,E,83.82351284955377,-128.7427454618771,211.12314998181017,B,A,-0.9921012378446222,A,E,-89.16290136877468,71.79606340583553,92.23825153423239,60.892756422028114,161.41359268718537,0
Mexico,Non-binary,Black,C,187.06704041752303,-81.47279838471016,25.644868230551275,E,E,114.17514170442593,D,C,-76.57345465577295,-72.61068367998192,-50.700989093011565,-64.59509093090094,87.33777014505388,0
China,Other,Black,C,94.98652177048837,150.7010097881661,122.81709219830144,C,B,-112.43398471885553,B,D,-192.12038689979826,-44.76914741184379,-48.32412766691257,-67.44645955780511,106.14725695946532,0
UK,Non-binary,Other,C,-27.59979697865286,-149.44332636898332,70.43131653929439,E,E,-69.74473539732396,C,D,-277.8792475149271,58.132395275596615,-29.843992314354956,131.0438722322306,146.40474768930144,0
China,Female,African American,B,-43.76651706813996,-91.86578518361674,14.617995338955444,E,E,-249.3411971713198,B,C,-57.98046247520121,-32.86277857700608,98.17272112921871,101.43364868012992,-109.18238091755623,0
Other,Female,African American,A,-8.666063549466545,54.82742091803633,-2.47010681145409,B,E,-128.94086447139964,A,E,3.0732087485775565,-49.28339213395818,111.99065742241798,-72.75963964676491,9.5299020819231,1
UK,M,Other,B,-54.90594484923309,-37.175920172750196,160.82843406191319,B,E,-55.559003500237466,B,E,-26.954613169239156,28.731123091141704,-160.58619673260176,-4.064348009106611,33.456599964768735,0
Other,M,Hispanic,A,-121.36632950284398,63.66593864574773,25.212703346984323,D,A,-146.85329369565622,B,C,-93.35583924575504,-54.24249386550319,106.79354407063771,72.2094988954464,7.583156038752673,1
Other,Female,Black,D,-34.272126485109865,-135.15333288903614,-18.896110009654013,B,C,172.50579260717768,C,A,-66.9435834130687,-9.220271346293735,-173.8606546224422,47.85516915634145,-20.422363276467127,0
Brazil,Female,Asian,C,16.937200450231565,-28.9537341739263,49.455330068160535,E,B,9.581716464488103,A,C,-148.51252463884194,-106.9142691833572,-48.16072202946708,-17.307293426470896,61.63951438883313,0
China,Other,Other,A,52.433331799498475,-83.40712621760956,218.68086407336475,C,B,-65.4061487425989,A,E,84.45061876909598,246.00021641013373,219.03600790311177,122.50174359294645,-27.712584350275122,1
China,Non-binary,White,D,-54.34831698684939,-39.582074939603025,-69.84931866873977,D,B,155.76202514740058,D,A,-10.849487981790858,49.51030484966337,-105.52686540638834,-96.10623367891603,-137.42029672207013,0
Mexico,Female,African American,D,3.051202009173799,-104.02546330138298,15.81835838429287,D,C,21.702024272061823,B,D,-9.712067643422671,-5.0593989341216234,-49.96867832925696,-24.6600236693434,85.16868930163677,1
US,Female,Asian,A,196.1358938954092,-34.07527766859209,32.34170771857227,B,D,81.58866772813698,A,A,105.65234300209214,-27.641572028608174,-57.66553611147479,38.34033520762689,10.269344147088638,1
Other,F,Other,B,47.24422565820071,-45.83280390354851,-150.23988543781257,D,B,-17.939730333941768,B,D,73.00085491763787,96.13107281735374,27.65010417329844,-132.01197096492498,47.14671097037816,1
Mexico,F,Hispanic,C,-13.27862058009241,18.657366050768,58.2568397400262,C,D,207.76012419421667,E,D,-9.152747330003182,-17.725604662301258,-53.65093396757188,12.069878632341183,-60.73331091130202,1
UK,Male,Asian,D,-48.72484017568491,-36.54702991327609,263.55047912494103,A,B,-120.91293651527893,D,C,-30.501929567632903,-23.59086557734054,-73.08738706209661,-73.11875162400423,-61.91487071269641,1
UK,Other,Hispanic,D,156.1220799111931,-26.062030511078948,-9.156305312201855,B,E,-182.2175542265895,B,D,113.72652491546076,66.5465087891384,36.607163252080085,-8.409814244273434,-101.66202530415211,0
Germany,Female,African American,A,-8.564678314948308,-226.17106633121026,-9.830670417315096,E,D,136.01755138180562,A,E,-131.2781351047807,-162.94139176808054,-238.11697402194665,-78.69399465246555,-114.13761278548633,1
Mexico,Female,Black,C,-42.94816641060076,-45.27251491783238,-34.60229134672843,D,C,-44.897033896269164,C,C,14.744177867361238,118.09072908302616,126.015352682739,68.46703023297582,16.211568535309652,1
