disabled,civil_status,gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Both,Married,Female,C,C,A,A,A,C,48.51628741057167,-171.18710029671428,-38.802999287817435,C,A,B,-67.51559366801449,-18.24748769432262,A,E,-138.40049781417338,-284.2354877280329,-44.07624692679569,1
Both,Married,F,A,B,E,D,D,D,98.94652350006685,40.47645194648315,-5.484539151870116,C,E,A,-45.20494487426818,103.88304928558642,A,C,73.2116285513818,108.12023167931022,-195.0999344325828,1
Both,Widowed,F,A,D,C,E,D,D,-116.74060497572928,91.4727217579694,-16.85906419928356,D,D,B,-13.556839542730387,-99.91156974856833,A,E,-24.13968213411226,-86.65479404146971,21.671463609483617,0
Physical,Single,F,B,D,D,A,A,E,-67.98092973541848,19.404532609461477,116.86072243389167,D,E,B,-9.476398836712029,-200.99621850935674,E,B,-109.43336988204871,-41.01856924738457,-61.53690859187457,1
No,Single,M,E,D,A,E,E,D,165.0786598341713,-138.52559700887298,183.10304082082217,B,C,A,30.635071553812708,-169.4224282520179,C,D,-48.02551831173955,121.3475358125292,-49.17070691372246,1
Mental,Single,Male,B,A,C,E,A,B,-293.5490346522927,-110.94031325003739,46.98435351954885,E,C,B,-13.7731941866414,44.70586325858476,C,B,161.1314804881635,-35.56862772840478,56.10212680615246,0
Mental,Single,Non-binary,C,E,B,B,A,D,165.05362436833173,140.14238879045928,-85.43848277764747,A,B,A,15.935162643367553,181.2862147953376,D,D,84.53259403767463,-51.465675035013646,6.997659493033524,0
Yes,Divorced,Non-binary,D,E,E,D,E,D,-12.257657052374409,167.8178740818376,-106.50957124379565,A,D,D,77.9603610859732,-79.11742670706656,D,B,51.86386036069962,-92.60062934726088,-136.5109758165077,1
None,Married,M,A,E,A,B,B,A,91.67877490203648,4.583151997520923,-150.1468316783775,B,A,C,48.80269439982789,-125.72959349564807,A,E,-0.9862624767004254,73.01311283590621,28.444359319420958,1
Mental,Divorced,F,A,D,B,A,A,E,-66.11943507254323,-63.9994261148028,-35.100919915301006,C,B,E,-104.54325270011611,-2.236565818311749,D,B,-3.4068980339353274,326.0947998306333,-97.4423073364534,1
Yes,Divorced,Non-binary,D,C,C,E,A,A,97.85951588361725,-170.59755209376019,-109.8808801568774,B,B,D,-5.864210167583344,-25.197414607669185,B,B,-107.59624692937977,268.55584122095314,268.69172607909195,1
Mental,Single,Other,D,B,D,A,C,A,-0.051043793887847355,116.04207289598507,-24.641079301491,B,C,C,-203.19806950267977,-188.73333398078734,A,E,120.33763778842332,110.40473863817431,-10.83311421523545,1
Both,Single,M,E,B,B,E,A,D,-6.493167738185219,-41.49383185719903,-56.89584393595148,B,E,A,58.17285704666803,-164.13658575255798,B,D,-91.41977696953812,35.40797624063982,95.21345780254883,0
Yes,Single,Female,C,E,E,A,A,D,183.68992816768403,-100.19049437739895,-91.00339942888984,C,C,D,-210.87321131264835,91.71829726425636,A,B,-167.17811042548718,-90.16844783303887,-72.1786994469262,1
Both,Widowed,M,D,B,D,D,D,A,-111.68732099110106,51.5401942606841,132.46657368392724,C,C,A,-47.23069880987204,201.09605291457368,A,E,-56.41505398418044,148.75639036559474,-0.21726829289883454,0
Mental,Divorced,M,B,E,E,B,E,D,68.32594711019479,-113.77530336387474,-54.49692077251055,C,A,D,-104.33796651019063,-34.905373442215925,E,C,35.88103841126242,15.675157766789805,39.64513153270634,0
No,Married,M,D,D,A,C,A,B,-93.73178022707178,112.84813744073483,-158.80629402511775,C,C,C,133.9976226682491,-94.1660069640461,E,A,-239.32266054072713,135.1616852850083,71.02106644446931,0
None,Married,F,C,A,B,C,D,D,197.14484016314097,-23.99446482644834,172.30385179589584,E,B,E,-217.79452426610467,25.578917011599373,B,B,21.928801949718064,-35.1188392744843,-66.95481955486946,1
None,Divorced,Female,A,D,C,C,D,E,-154.75994594644544,-71.39294187228893,134.41325464530232,C,A,C,55.389007531201905,-155.85456307320544,C,B,-79.12312945616718,62.50774986881176,-97.09044284121565,0
Yes,Single,Female,E,D,C,C,C,E,-21.613081956191756,122.3078438159982,-0.9758304866576482,C,B,D,68.94220314558902,-187.481636225341,D,C,-160.08548800525097,57.79171837979923,50.91684058806904,0
None,Single,Female,D,A,C,E,E,A,-61.84583200341789,-52.342696075730075,50.69975141805736,C,C,C,-205.24608284527864,-20.115210330253248,D,E,27.982632926182553,84.83873088745575,33.694778152164986,0
Physical,Married,Non-binary,C,E,B,B,B,C,30.978281012837755,-150.35530887937253,-88.28988637319627,D,B,B,114.529905948347,58.83396382926611,B,C,60.43888550621468,158.19643693380038,-21.43852951507376,0
Yes,Divorced,Non-binary,D,A,B,B,B,E,205.5497425964378,-31.373972988437266,126.90073073477701,A,B,B,110.54449527245447,14.703424406872262,A,E,91.47553453372188,8.190526490159808,137.11398589221824,0
Mental,Divorced,Male,A,D,E,B,E,D,37.944204460145386,-37.82816132581752,-100.7040661832826,E,A,A,78.40666332025236,-149.43521855613105,E,D,124.54426595238563,3.381783321885215,-83.58167506505731,1
No,Single,Other,C,D,C,E,E,E,160.61316233394402,-39.33906418642065,71.2006184901581,D,C,E,-198.49700986314224,50.06293158740791,E,C,-68.32156469875098,-147.1896192051511,19.420860601577104,1
Both,Married,Other,A,E,D,C,A,C,86.08832780084525,82.0846782400005,-52.30979004988471,D,D,A,-56.12395007295058,-101.04013411995294,E,E,102.40322075922839,-139.25933546684817,58.738026340503424,1
Both,Widowed,Other,D,A,D,E,A,B,15.752327250259082,-160.14569457274277,-16.858196450603522,D,C,E,-137.30599717195545,-163.52531582630633,B,C,55.422705574964226,-51.53484354525241,50.40156552670728,0
Physical,Single,Male,C,A,C,A,B,C,-218.04751167805966,12.651315571264842,-134.21239975788794,B,C,B,-129.6105817530573,48.29707925150906,D,A,41.80537662026541,130.11325230208314,2.275473574071111,1
Yes,Single,Male,B,C,C,C,E,D,23.27439202231428,-69.62169202191434,140.9320576056953,B,B,A,66.2730371710149,-62.269396693896205,C,B,-0.25125079940999784,173.35555037107036,-55.329317883264636,1
None,Married,F,C,E,B,B,E,B,-147.35002422203647,-230.72312398429347,-191.49846487888314,B,B,E,-56.47877579691727,47.02063164116197,E,D,77.89878871486908,-7.575831352122256,149.2987029079171,0
No,Married,F,D,D,B,E,A,E,-35.21742167079492,-14.03994299801861,-95.49146673700083,B,E,C,25.290799612730357,-56.498739533365814,D,C,-19.275415101765113,46.71233592568031,300.5607518778175,1
Yes,Widowed,F,B,C,E,E,E,E,-10.954671549635915,-98.60204512896344,-180.93666602770168,E,B,C,4.92617428699488,-166.0881151422757,C,A,100.8296352061905,9.672036580363997,-122.5710812176824,1
Physical,Widowed,Non-binary,A,C,B,B,C,B,129.2809160375572,101.11107257954414,-147.7673483321816,E,C,B,-57.86873388187313,61.33168255000954,C,C,163.4916024837255,-255.4462182654137,-83.73080996371286,0
No,Divorced,M,B,C,D,C,D,B,173.7804526235992,20.485825663682807,47.59245636669303,C,D,A,-80.04542127778745,11.314884457973816,C,A,-52.394214796859984,94.552701266514,35.514622205239355,0
Physical,Divorced,Other,C,E,A,C,B,C,64.48996982119162,-16.666312349391703,131.72160526830848,C,A,D,65.47879502935413,-93.23850448447321,D,B,-64.32097886787594,16.085358372804805,129.2901002031003,1
Yes,Single,Male,C,E,D,E,A,A,-130.15736417941724,97.08486718068512,-171.9081177692155,B,C,B,102.02288831059943,-83.78753234353147,D,D,-95.414763248902,-24.02727970797217,238.13884164669278,1
Yes,Divorced,M,E,E,A,B,D,E,-12.741717044159707,85.2528067119274,216.16985279937794,C,A,A,72.07071918702017,-263.81254484160894,E,B,164.36489206487656,-59.82774423177075,118.93929649852876,1
No,Widowed,Non-binary,A,A,E,A,B,D,30.74450384998443,83.54615247879234,63.56024077439123,E,B,C,-5.4482663459738525,-74.87253379287152,D,D,-14.630772162598186,-148.34810312339687,18.150059503960435,1
None,Married,Other,D,C,C,D,A,B,25.51117583985586,-41.41920726391563,-151.4822610963598,D,A,B,173.2512907323386,-3.1713230865393025,E,D,-27.391015032904093,-162.35039941345252,-7.66839459901335,1
No,Single,Male,C,C,C,D,E,B,112.02727302286222,-77.87158126781199,-96.09396265886386,E,E,B,-158.77734400086982,40.91173393664534,D,D,-4.2323196035562765,30.78457693573432,-17.3812963139019,0
Yes,Married,Female,D,A,E,E,B,A,161.05374934690016,80.0358012824496,173.26434908970302,D,C,A,-105.84695655597993,-23.897286754085226,C,E,-198.48816462416906,-55.8201509222007,-7.957959187678726,0
No,Divorced,Male,D,A,E,E,E,A,103.37360301821263,-33.90530933622686,-22.155406332884073,C,B,D,-147.91767325523776,-57.8119866339854,C,B,33.88258015097581,-92.77891542337832,-31.327738438056834,0
Mental,Widowed,Non-binary,B,C,D,E,C,E,246.34057810595706,-256.30784180047146,-131.90655922898654,B,C,B,183.07531285440476,-171.61005296913115,C,C,120.59390156345286,-36.8093692701497,65.07646781848429,1
None,Widowed,Female,B,E,C,D,C,E,3.981642479057456,-43.37478680113977,147.76251451911085,D,C,A,74.28763325715114,117.8984114726348,E,A,19.62554966090466,77.06500063649824,-35.08735338408676,1
Physical,Divorced,Other,A,E,E,A,E,E,-83.30619518279157,-65.32171605137847,-25.24238945879238,C,D,A,-84.83523612357754,65.96271258898399,A,A,-90.60032174231766,-46.96027372106789,138.20358257382702,0
None,Widowed,Other,C,C,E,E,E,C,-53.73683765754077,100.20242939653556,-17.82561012914663,E,C,A,100.87251943785745,-83.4984546783862,C,E,13.453796262030426,-317.2318743211891,-14.515512115446313,1
Physical,Widowed,Other,E,C,B,A,E,D,-80.07115987417954,44.77524715518521,-102.49567608078938,C,B,C,-34.870676282490784,124.48803876095053,C,C,158.53860316923118,-44.76988599654153,136.69873662483033,0
Physical,Single,Male,D,D,C,C,E,D,59.340822159872396,28.945883031844023,88.43164489599444,A,E,B,89.149850294333,22.751289473029484,A,A,114.32287489566654,-31.53410575989405,-9.7204468765203,0
None,Widowed,F,B,D,C,D,D,A,150.76072280638152,-135.678641646317,-9.183135951694796,B,B,C,133.17240058507795,81.3358578204513,D,C,-55.61586774423406,-47.44408784834963,128.39768265620185,0
None,Married,Other,A,A,A,D,E,B,-43.32956778818479,197.53302311614726,70.17954702390595,A,A,D,49.29415684551777,31.15315817837753,B,C,-65.19817572599959,66.77918767555082,84.56357301451945,1
None,Divorced,F,C,A,B,E,B,E,68.32116500828256,46.841761581094396,30.06364884522035,C,C,C,87.35115032784178,-14.543957833235588,A,B,138.53852285078204,-78.59620786988597,75.73293417046547,0
Physical,Widowed,F,A,B,B,D,E,A,40.379480531015524,153.4983331192479,94.55998274408577,A,D,B,7.439212431237019,-82.8039074995635,B,A,53.44981184389154,-259.2026971103471,51.108718806966344,1
None,Single,Non-binary,A,D,C,E,C,A,134.00596859614967,-21.408954295502717,70.55028931812926,E,C,D,-105.80201975724685,113.47550609726946,C,B,-5.263486518310327,-61.58304529310497,-51.925935818946975,1
Yes,Widowed,Female,C,B,A,E,D,C,40.29620952108021,73.73051269666419,-150.97600278731883,C,A,C,-54.675180361884216,66.64227944263786,C,A,30.165064620737414,-122.20526601745125,-87.54268693896677,0
No,Divorced,Non-binary,A,A,C,B,C,B,-49.90989161580576,226.24018131009885,166.08076376454193,B,E,A,83.1717598489299,-11.026953793667866,B,B,-60.36068791539557,-140.27407602671335,115.73310735889837,1
No,Married,M,E,A,C,C,C,E,-10.551126786300857,-42.59792469247362,-84.93058688574327,D,E,B,95.04656452235878,32.91627723890163,B,A,247.04089476366974,-130.9665955697185,-64.90049382495265,0
None,Single,Female,A,C,C,B,C,C,102.3327037980606,33.91197065614688,-94.87382121914465,C,C,B,-98.9428163507415,8.369985407930196,E,A,-131.6499244306951,-206.08371840543157,-86.3356740170921,1
Physical,Widowed,M,B,D,A,D,C,B,76.3639954945018,22.87437865701594,44.877116640101704,C,B,E,104.96772842233135,199.5190325500592,B,E,54.697110802816674,-1.0324066680233905,-124.1477100581355,0
Both,Married,Female,D,E,D,E,A,D,-77.14013798964669,140.07446831855154,173.10940725984707,B,C,E,-76.70335649310199,2.683234957469009,A,A,-14.149290400041558,-27.798542390528013,123.70037862016623,1
Yes,Married,F,D,E,D,C,C,E,-76.24714109017009,6.926020068232096,50.19235998390703,C,B,C,-166.60186050957944,26.332126157393503,D,C,-43.00157498893437,-106.33104467246991,44.17873118961221,0
Both,Married,F,B,A,C,D,D,A,212.94191478654736,253.90001832918344,-169.70530235123755,D,E,E,-155.3896096530216,-10.331963218221508,E,D,-107.41584595314413,-70.11587769923207,59.74233658743181,1
Physical,Widowed,M,D,E,A,E,B,B,185.99857117096528,-0.4637505436808693,-42.9327282796528,A,B,B,11.918896149224103,-28.09353348452325,A,D,3.7852741754472286,60.097497173145996,129.72836946176054,1
No,Widowed,Female,E,E,E,D,C,A,78.10770634138466,-108.39895853399808,132.30743309889434,C,D,B,-111.38204595274415,-127.35058423060453,D,E,-134.63637077660988,-120.99911210858477,-100.16237860160138,0
Mental,Single,Other,C,B,D,C,B,A,-133.40096417596402,-144.41166781465813,7.0444711235809505,D,E,D,12.120458179490436,91.54649542924959,D,D,105.2601941648524,4.725163676267327,-184.6701811427803,1
Both,Divorced,Non-binary,E,C,A,C,D,A,-39.834687778745206,-35.47354999094769,166.14321867988107,D,C,E,-17.97747469404331,-187.65215606317233,A,E,96.74533271324624,28.559018327539032,33.48452991019917,0
Yes,Widowed,M,C,D,A,D,A,E,226.75357585782976,-141.97231234461853,-60.59072403780772,D,E,C,-59.80851246755707,60.09886952644249,A,A,62.102613592825705,211.45992218359672,44.835062771384926,1
Yes,Single,Other,C,C,B,A,E,D,91.56073215126797,-166.75406649641133,89.98873151421508,E,C,D,-78.15209102827427,214.99978251507974,A,B,126.37518197286524,-57.10112322139598,-37.00364004673211,1
None,Single,Male,C,A,D,D,D,D,110.9706493113963,-181.12682629327804,-57.22773608980454,B,A,B,-30.515992982135792,37.662133316332884,B,D,29.858989010151582,-61.52650534748142,-55.138873068896054,0
Mental,Married,Female,D,C,D,A,C,B,-97.2026387639414,91.02229908463676,-8.36941144505553,A,A,C,-80.2830130974736,86.67067739667391,A,E,-58.62987966838431,-95.13898354040165,141.56566543480727,1
Mental,Widowed,Male,D,A,C,D,D,E,170.2459865736451,5.197927333744825,-91.57710806311972,B,B,E,-3.2641718498099723,202.80696759667052,E,C,-139.17963550452572,8.63678639619137,-71.31072597811601,1
Yes,Married,Male,B,B,C,E,B,B,9.8645974945707,-55.69915680719232,-77.81380432202633,E,A,E,-53.15637778612427,-47.155345757741266,E,A,44.16555402085446,-25.768634873194024,-31.305981454302916,0
Yes,Widowed,M,B,B,B,A,C,C,-40.520090520854886,197.10918356140496,20.79095937752894,C,C,C,-95.87007835652093,-161.8077395483297,A,B,19.39826293633635,101.21176067885247,31.776846214680504,1
No,Single,Non-binary,E,E,B,C,D,B,-84.94682528077846,24.677302291362793,132.4261986443894,E,B,C,198.09148105922455,145.01167720589675,B,C,167.49862561601878,126.29760708219166,153.05034583623873,0
Both,Married,M,E,B,C,C,B,B,103.20029233497262,-210.30360923800862,92.74864511504883,E,E,E,-168.88510467342556,127.96988923819359,D,B,-5.415145947592364,-64.34296392276353,-28.67641817655863,0
Mental,Single,Female,D,B,B,D,B,C,-94.49723730293262,259.40031407676884,23.645546956938627,D,E,C,76.67270555782699,121.75127308807465,A,C,-6.123431377488686,-138.4866262295648,71.74637926966064,1
Mental,Widowed,Female,A,C,A,B,D,C,-3.6563407275044812,78.99532121471586,19.315380568393138,E,D,A,-154.71136499540108,23.14423054133811,A,B,57.21551312350815,93.30398969679929,5.282507548120076,1
None,Single,M,B,C,A,B,E,A,10.883457005942324,-17.63493939075169,4.136507808454904,D,C,B,-84.23819088712662,1.5289975287907656,A,A,-7.025124729290644,-38.66306280844415,-127.0402943079982,1
Mental,Single,Male,E,C,B,D,A,C,149.28316990031848,200.93336979220052,109.75414039256061,D,D,E,46.2323943793813,-66.73293957125341,A,D,148.8194292828949,-144.01676433212637,-15.580911926406365,0
Yes,Married,M,D,C,D,D,A,E,-280.6705757381989,-82.33057921882937,117.18280339876542,B,A,C,25.69203243074325,-134.4772271090836,B,A,51.32412247933911,-35.6420049277837,4.446111436633837,0
None,Widowed,Female,D,B,A,D,E,C,97.90584168669605,-51.64856712406877,-6.076619312655788,A,B,B,53.11454818453538,17.747083386067793,D,D,242.85258168643728,-17.291489471615087,-25.168080331833714,1
Mental,Married,Non-binary,B,B,D,A,D,C,-59.37265886585386,-123.0840511831708,-49.745035596525035,E,C,A,41.1276153047923,148.60159598109962,D,A,71.89136489767449,-111.70455569641942,-45.87099740493176,1
Mental,Single,M,B,D,C,B,A,E,63.945255539025894,-61.82897792530664,-6.464540112532857,C,B,E,61.87509680315879,-49.07529845521259,C,E,147.12737948006546,58.31524803694044,186.58351550772244,1
No,Divorced,Male,E,B,E,E,A,E,79.44091927283958,-52.72112514288263,44.05374412913786,B,C,D,-57.99719160471394,65.65562295553924,E,C,-39.40520092249935,229.8722375038071,107.40744808947854,0
Both,Widowed,Female,A,A,E,B,B,B,94.6007094599498,-78.7727845567536,-41.40433895894355,C,D,A,11.680507559201313,-130.32000201865847,C,D,-31.189058953571102,-63.46385952322022,-104.69065923008438,1
Yes,Single,F,D,B,C,E,D,B,74.83410162773615,67.36170709467125,-64.99708091666568,E,D,E,-94.97116466769967,-22.13837117658461,A,D,-240.27778752214738,28.640136614943597,-47.865984422829044,1
Yes,Single,Other,C,A,D,B,C,A,-115.73393075303913,-105.54766790906606,11.006530707103023,B,B,D,21.368464338313544,-164.89041227296605,D,B,111.35458839898375,-128.32279780724534,76.78105610301104,1
Both,Single,Non-binary,D,D,A,A,B,A,-63.3441478289991,38.84525148080714,28.90266604757606,B,D,B,12.804359907274565,11.322991454022754,E,B,-5.1755509265161335,119.40902593600946,16.376571633147265,0
Both,Divorced,M,A,A,A,C,A,B,-7.964649925111174,25.10849882819167,-17.769581822358933,C,C,B,143.44627090755918,73.9829599634924,D,C,-204.99121798251093,117.61475807013318,-111.13266086839732,0
Physical,Single,Other,B,C,E,E,D,B,-71.84468993554135,-195.7831788506686,-75.04575457031142,C,D,C,-108.48628607270882,89.03658921199785,D,E,-125.09180431390972,-66.0538871373213,-50.01090852853392,1
None,Widowed,Non-binary,B,A,B,B,B,D,57.60471503505193,-20.804577447488754,72.52676502190127,E,C,C,-9.737690869361765,140.19734599082238,A,C,-67.57004077285883,32.97840360463758,58.33661345497513,1
No,Married,Non-binary,C,C,A,D,C,B,-124.72869662603847,-6.76456090590694,-17.155262811856513,E,B,A,-9.597367108488386,-118.5369970344549,D,D,-23.02329389942582,-115.6264124319849,-43.3972185841782,1
Physical,Widowed,M,A,A,D,D,A,A,61.12956139925839,133.14309454461537,-66.07016568479614,D,A,A,-83.1368112691179,78.4889941910484,D,D,68.90508263792495,-53.40451425258894,-83.5652739144696,1
No,Single,F,E,A,C,D,E,C,-191.38292200698345,58.35998480067347,-63.04082246829766,D,A,C,36.24374725343239,-107.10174753899038,C,A,4.733754573888927,-194.57733088382003,117.43994726351588,1
Yes,Married,Other,A,A,D,D,A,D,-92.24881781483192,138.3154982405758,-85.63720047243756,E,C,A,-5.604613845406289,-22.663299054802568,B,E,59.66347607395275,33.042837571345814,-43.8672613036487,1
Mental,Widowed,Female,B,E,A,C,A,D,91.48650483569268,-142.0864855164353,9.832352606782761,A,C,C,135.97091841158414,-3.7379473799396976,B,D,4.09583900215135,-1.4382646508542012,-19.343825579234185,0
No,Single,Non-binary,B,A,C,C,D,E,-182.85088680100458,68.94916771725653,152.74128076032378,B,A,D,-55.87292792804608,-127.24513306554547,E,C,-108.20850439534364,-42.62555056511215,40.23659503182995,1
No,Single,Male,C,C,D,E,A,B,-24.308812524059594,-29.7082842346924,16.82707110700097,B,A,A,138.5537367619547,78.56876092413717,B,A,-125.32579506057382,-72.82823060262787,-218.5887052388024,0
No,Divorced,Other,A,E,A,E,C,A,-5.383088647523328,187.71197318704748,62.07898123013964,D,B,C,111.0715469272797,185.60278636392133,D,B,20.450773879531514,-55.216220717507,-77.8558864597345,0
Yes,Married,Male,E,E,D,B,B,D,208.93292829505947,27.622958196388346,-141.7283975946058,A,B,C,40.99893736890087,9.515852240346808,B,B,-160.3017122666804,44.744695914812596,-172.82411136219648,0
Physical,Widowed,M,A,D,B,E,D,E,274.0350405034646,-173.13665687434602,131.73603233868582,E,A,E,109.4712055335431,-72.86624769095984,E,C,153.12944634249538,-13.027889720769146,87.37607138487381,0
Both,Widowed,Non-binary,A,B,D,E,B,A,-42.10538937734359,25.337471212841677,41.02351110727828,C,A,A,-108.0598093253399,24.080116322269337,C,E,-46.974487128824244,-199.62738818472792,-21.339105468896115,1
No,Married,Other,B,B,B,E,B,A,-175.61444125816283,34.049253369488625,49.5370599802048,E,E,B,-130.346058852095,92.41796228359034,C,C,-153.98423267297034,40.53892436875903,48.28092881389614,0
Physical,Widowed,Other,C,C,B,B,A,A,74.84936686271938,-46.44706730337127,-113.80043093013128,D,C,E,304.59951107656013,20.04958352488815,A,E,148.01200430216102,291.0241185123935,-184.36055977572138,1
Yes,Widowed,F,C,E,C,B,C,A,66.96332766246526,58.025740447580986,148.21454256681932,D,E,B,-56.70062248323055,-114.29294818700906,A,E,-53.034726227267946,-27.917139105366363,118.22537419382016,0
Yes,Divorced,F,B,E,D,A,E,E,43.85842096092932,7.79841996079393,26.591739536395266,D,C,B,-13.804546654345573,50.76509804355932,C,D,-49.35297592184973,9.49510342542159,10.680816192228555,1
Physical,Divorced,Other,D,C,A,C,C,A,124.59602864705552,-47.9937346333151,-116.0644562570331,B,C,D,113.86720741071792,52.4880550733337,C,C,-15.466337022924654,-161.25887634974552,-81.72604510093535,1
Yes,Married,Other,B,B,C,A,A,B,-155.06397858708027,58.087833761664896,-219.1235481924322,D,B,E,-72.17041237535996,86.63077335159359,E,A,-149.646632545133,67.09123753153644,54.429170620984955,1
Mental,Married,F,E,D,D,A,C,C,-82.44372000931386,53.33389366549915,25.778847399132847,A,D,B,1.9973075196176966,-78.5280673585077,E,B,33.490266854404695,5.916396188105688,-116.79457216046387,0
No,Widowed,F,B,D,B,B,A,D,126.21789812685797,-85.34488028727534,135.80605236367416,C,C,D,275.30607448839265,18.040731859338507,A,E,26.509469463883022,-98.50370305802322,-85.00773156035989,1
Mental,Married,Male,E,D,A,B,C,C,157.41120917278332,-162.62231426129281,17.437218561696678,E,C,E,129.58217174789777,-35.74828054441598,B,A,75.81044255365035,214.7984427206358,51.633319671734526,0
Physical,Married,Non-binary,C,D,B,C,D,C,98.25504321749342,13.775274715265462,168.59739522468894,C,E,E,9.32479561260285,106.38374829335429,C,E,62.996572346712995,55.427836226244864,-152.70684909564517,1
Yes,Single,Female,B,D,B,D,A,B,123.45270882942138,31.570328058209867,-72.24261808607038,E,D,D,106.18435923035801,-64.7767692185626,E,C,57.150220289061814,62.99145174185249,33.28840571934529,1
Yes,Married,Non-binary,B,A,C,A,B,B,-55.62000228511703,-33.35639244607374,54.9791325479839,C,E,B,17.11561841281055,123.26805161671335,D,C,-46.73054052773043,220.0989780696472,48.624871451882115,1
Both,Single,M,C,E,D,C,D,C,-38.604036063608596,-142.9365518226377,-32.54183022958077,B,B,D,92.11419445582874,55.46196168775056,C,C,62.38919487090132,182.2357127927696,40.32142893081003,1
None,Married,F,B,C,C,C,A,A,-87.61603763800937,92.27261426337996,-1.628658942063663,C,C,C,-27.979629410013278,-51.75918963260254,D,E,-2.3106161268274503,59.12530104224272,-98.3322961567244,0
Both,Divorced,Female,E,B,E,D,A,E,65.28681036277608,-37.99945855040881,-153.89452707168041,A,D,E,99.10586128259732,-41.972890979021024,A,C,135.59897403748693,-35.272585753215644,-77.07593935843207,0
Yes,Widowed,M,C,A,E,B,A,E,63.77911067523028,-93.21738892816808,111.06286680598394,D,D,B,-35.785215453869114,-49.697944902460705,D,B,-20.17605109265662,44.45127537069113,-25.291565417149325,1
No,Widowed,Non-binary,E,B,E,B,A,E,0.06705364032060292,-53.64807989294494,146.968216351299,C,D,D,129.01721299612615,-95.1932083203785,A,C,61.755763460610794,112.93976312705153,-111.70901487526041,0
Yes,Widowed,Male,D,C,E,D,D,C,-177.69183335888113,41.02178801474244,150.09419227749115,B,E,E,-71.46058037201732,-2.1017432471387343,E,E,46.33185098606993,-146.59619160992088,-87.4960468772168,1
None,Widowed,Other,D,C,E,E,E,D,-57.921897778498845,31.025063641123612,169.85387057305778,C,D,B,-109.0647369507926,145.82371112714122,E,A,24.01633415425749,-45.870548092677915,-90.31429706459843,1
Mental,Widowed,M,E,D,E,C,C,C,-63.511267146953976,63.81362636699792,-56.504700453425215,E,C,C,-24.58044169324841,-84.09383676486868,D,C,42.26049297908073,7.705952443676778,-69.83509818380564,0
Physical,Widowed,M,C,E,A,C,C,C,40.555799190068065,134.83457475580553,-42.06741883779591,B,A,D,-166.18296437951275,-170.9454036625621,E,D,141.25087401104523,23.5829209268427,-4.531035490135701,1
None,Divorced,Other,D,B,A,D,E,A,115.51039687498425,-93.35709324833553,-46.28418123155677,E,B,C,28.245801387254883,33.7444988679117,A,D,-119.74584104496077,-50.46440413852933,130.77442653435992,1
Physical,Married,Male,E,A,E,A,C,D,-65.28033691092983,62.81938731126305,61.68545311580744,E,C,D,-73.63251520699764,-64.55964688898541,C,D,-28.602189490793172,100.52876617373832,-88.96881478803664,0
None,Widowed,Other,D,E,C,D,E,D,113.3925635943856,135.78396517815773,78.77282247183656,D,C,B,-55.820408682256264,-138.32793382820753,E,B,116.27174875062944,-201.8877545498482,37.20232113051756,1
None,Widowed,F,E,B,E,A,D,D,9.434985692363664,19.30080481624367,-47.61252649740437,D,B,E,49.354480543843586,-37.18789654776932,B,D,78.27443814161003,-28.147791226985735,-49.85159215761452,0
Yes,Single,M,D,E,E,D,D,E,93.05784087818355,-23.91688086797191,-233.11084298048286,C,D,C,-105.58014174389521,-54.47952851897636,A,E,-53.842351051662064,-18.162468994810503,-32.59408908310466,1
Physical,Single,Non-binary,C,B,A,A,B,A,-21.31371379966914,39.13329108778967,190.8192093963251,B,D,E,70.16609614829248,4.065092411842538,B,C,-135.3890911515,39.79958688494312,-26.264411484215174,0
No,Single,F,A,A,D,B,A,E,16.26320593897822,72.6329702785795,155.66893209898507,A,C,B,-44.591236776984246,19.345920634675252,C,D,185.2609302223274,-27.537691446972506,118.40423535802655,1
None,Divorced,Female,D,E,C,D,E,E,-117.10941712894606,-170.32708314976261,9.067338429110025,E,C,D,23.739536430338386,16.131417403334122,E,A,14.616736797538616,-131.9170217706643,37.64414966840388,0
Physical,Divorced,Female,B,A,C,E,B,B,72.95047233013165,6.054453901062124,-57.2555123551224,E,B,D,-29.954591731204296,80.92574520280999,C,D,12.192884825454978,-55.808829979929634,80.45834405039518,1
None,Widowed,M,E,B,B,D,C,C,-291.8302087835809,-67.70729694843408,75.6513068628404,E,B,D,-79.83890679609318,-116.10938476026081,E,B,57.37061630058903,-76.25909386067717,-78.7749354079186,1
No,Widowed,Non-binary,A,A,B,B,A,B,100.54338094447053,3.287787358249776,-35.979284563827726,A,C,E,-28.349766009433402,17.257346004362585,B,D,68.91396097581854,-103.44842145725177,86.60846761695939,0
None,Widowed,Non-binary,A,A,C,A,E,A,16.925689230797225,-23.750839390474738,-58.806275169895294,D,B,C,27.373273420234078,-83.33440286572772,A,A,23.364158041671608,-72.16608645303812,48.25435153541411,0
Physical,Married,Other,B,C,E,B,E,E,61.03194371061809,115.32459985652832,1.1940893872467222,D,C,B,-173.7546953560195,-9.980450617493265,D,C,-309.94671320350426,-225.08156575001004,-42.03199737906753,0
