Veteran,ethnicity,sexual_orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Non-Veteran,White,Bisexual,16.67148384997011,E,C,C,-57.961366579992934,-88.94048859442371,E,-87.22787751109948,44.27466104502506,0
No,Hispanic,Bisexual,-83.05258852226972,D,D,A,22.954356570587738,-93.91379578677092,A,16.83261239954884,-123.32232677693517,0
Yes,Hispanic,Heterosexual,23.91327767105137,A,A,C,-299.63001616738586,80.60178513658182,A,-115.34438507226325,65.12229454746866,0
Yes,White,Bisexual,112.35760134069656,A,A,E,77.47073820889561,-72.71853638921206,B,-11.460478610436835,-231.8252582545346,0
Veteran,Black,Bisexual,-89.5810466390571,A,A,B,141.49678781085882,-104.0791014189568,A,-58.267238329671045,43.415300518015364,1
Veteran,White,Homosexual,-6.46987411968359,E,A,A,-16.428981838305106,22.555396766064394,C,38.27017623503732,80.46981645403957,1
Non-Veteran,Other,Bisexual,24.902463354206887,B,E,D,64.94246998867372,-175.8269784607718,C,-165.4440107523468,74.4295690835567,1
Veteran,African American,Other,0.4860850288623663,B,C,E,-29.60521352596913,128.40667002870242,C,165.4023404864789,15.597886836441315,1
No,White,Bisexual,17.617012917134904,B,D,E,-20.47433355079897,-94.02758612171729,B,118.48132110551914,34.92004286085791,1
Veteran,Black,Heterosexual,-102.89031901267607,D,A,A,-32.61009770320368,45.857222774503555,A,-124.83778235335534,91.50690054768157,1
No,Asian,Heterosexual,36.33814068774122,E,D,D,-60.40581482383062,50.898394064330155,D,-130.15303862377095,135.13919127616177,0
No,White,Homosexual,-169.9997478031449,E,D,C,-58.24661317280064,-76.2627546344393,C,114.42268938071894,-35.145780243138994,0
Veteran,White,Bisexual,94.86487563123998,B,C,B,103.12923202966444,226.68396360914068,B,-81.25133537583366,-60.02751636626177,0
Non-Veteran,White,Other,82.37910099566335,B,E,A,2.4385566898010063,3.4904811764731036,B,-93.61421785289924,123.21248318777029,0
Yes,Other,Other,-31.59902579747278,C,A,D,3.974854000827108,-9.767983554482335,B,110.9423917345975,-52.761873208570556,0
Non-Veteran,Asian,Other,-115.62144948874098,C,D,B,-140.4538512347723,-81.4697613985264,E,52.70417478020101,6.789779372289496,0
Non-Veteran,Asian,Bisexual,48.40727422886707,B,D,C,-57.80731647791018,26.742574462472984,A,125.20988699723202,156.32574359620924,1
Veteran,African American,Bisexual,-123.35028885156348,B,D,B,-208.05234662722665,-10.956343506091477,C,99.31191378748842,13.58466199277078,0
Yes,African American,Homosexual,-12.570702442661677,D,B,A,3.014920102914255,16.50814419891814,C,-43.43015073974215,146.1390687890521,1
Yes,Other,Heterosexual,-130.77081716167248,C,A,B,26.00897897362988,109.5371646318031,A,56.315641670458746,6.427576353879916,1
Veteran,White,Bisexual,20.624821137992317,D,A,D,-32.019661608234856,54.06708518636976,D,0.8817625908232152,-28.4083081636813,1
No,Asian,Heterosexual,60.86334727613091,E,C,A,-2.146357270855359,15.273936873245745,E,-141.74935255254027,28.32253060182276,1
Yes,Asian,Other,104.90115720270465,D,A,C,-134.18266415507568,-32.779511480493746,E,-123.46624833373421,-123.9248167245985,1
No,Black,Other,68.95587225158448,C,C,D,9.008332045009888,-73.5271664771566,C,23.1275736977621,-97.50653596487477,1
Veteran,Other,Bisexual,-53.361495801509065,C,A,C,-79.97112577914078,77.23666959403576,A,120.8288892755669,240.50837991491548,0
Yes,Asian,Other,195.33381774602384,E,D,C,63.1393339998655,41.27562226332975,A,153.2322118975566,-41.26317149384879,0
Yes,Other,Homosexual,60.22836587426737,B,E,B,128.20311043859581,62.145010427030165,E,-137.10921401771552,-129.86773325963944,1
Non-Veteran,Asian,Other,-63.470075421604164,C,A,A,72.11704701544637,163.73713333344148,A,-33.77704388937996,-16.357279114356764,1
Non-Veteran,White,Homosexual,-93.74202268385619,D,D,E,-47.21914930419044,-72.21395104327905,B,96.88566599864114,-62.44742054731077,0
Yes,White,Other,70.27108699383813,E,C,B,122.18130014103178,132.39092210715003,C,104.88305388464308,-40.24540431357522,1
No,Other,Other,-97.21029656104912,D,E,E,-16.34554140492378,146.27920379363906,A,-96.90138729738244,-103.38271349387584,1
Non-Veteran,Black,Other,-52.47712849214027,C,B,B,119.95686878276797,-117.55997632269215,B,143.85451488573636,8.4058601235253,1
Non-Veteran,Black,Homosexual,275.0630148030123,E,C,D,101.59183771704228,139.25841916130193,D,69.09397858518372,125.7608955506951,0
No,African American,Bisexual,-11.220839288578022,A,C,B,-86.54038007219205,-123.47303975753657,C,84.12738905497146,79.7162520657261,0
Yes,White,Homosexual,-24.966152311936085,C,E,E,117.79725818283164,-113.80721265822365,D,164.34122077155874,28.732992321483852,0
Non-Veteran,Hispanic,Heterosexual,135.14787894494626,A,B,B,68.12246648060719,63.8532432840594,C,-41.467459506066454,45.489291450414,1
No,Hispanic,Other,-37.04427091470565,B,A,D,48.397009219691576,3.6045769141975366,B,25.490577828117477,-12.768924987182173,0
No,African American,Bisexual,-57.463457122986206,E,A,D,71.58860047581517,-9.39459529077187,B,115.21420914725778,-82.43893220885396,0
Veteran,Hispanic,Homosexual,-80.70665908492724,D,E,A,63.16648588621047,108.77223534676226,C,-7.609615256275287,-8.665101651572162,1
Veteran,Other,Homosexual,-14.331931952147844,B,E,B,28.41180887868205,-37.853230122007666,E,-48.12654819465273,17.936376320050094,0
Veteran,Asian,Bisexual,-47.71957712102207,C,D,C,27.038851687586767,-82.82805178281916,B,97.87933088865417,208.8694022300053,0
Non-Veteran,Black,Homosexual,47.90050458177837,D,A,C,61.3775785524676,-5.57367604122072,B,-100.28239476335676,87.258189256073,1
Non-Veteran,Black,Bisexual,-50.24539373420123,B,C,C,-11.666108698650838,246.53177282333897,D,63.108697414361494,36.138129878546934,0
Non-Veteran,White,Bisexual,-17.51162091684414,E,E,A,-30.37273385308461,-71.86106860066091,A,149.20518746091955,123.43617030727575,0
No,Black,Heterosexual,65.41620820257874,B,C,D,-68.09248522494929,-50.89546148484172,E,129.28989051024823,88.83586178216692,1
Veteran,Hispanic,Other,-38.62049800577493,A,D,E,-58.07003625796289,-82.96942226637213,B,370.0048197828389,74.53609390319536,1
Non-Veteran,Other,Homosexual,-134.91025385808996,C,D,B,129.24118227879453,-0.7284582840055747,B,38.04064174227926,-36.989863843331044,1
No,White,Other,75.38630270605844,B,C,E,-116.15736706646335,34.64930708551391,D,7.889798931751342,163.71067466483836,1
Yes,White,Bisexual,312.3705761610009,C,C,B,45.47262609602368,141.2827230875541,B,8.895398548023335,-1.604036933411685,1
Non-Veteran,African American,Bisexual,-12.37527610380258,D,D,A,-56.83310065857058,-28.794537696974558,D,-172.07194085068434,-39.94120328243167,1
No,White,Homosexual,158.13286990928387,A,D,C,-55.43523102883772,3.2010327222909627,D,-32.14905067341261,36.84357617233874,1
No,Black,Homosexual,30.209080025327296,C,B,A,281.1974573569092,184.44218238186724,B,95.05218159656125,-57.071044372823934,0
Veteran,Asian,Bisexual,-74.35329912328832,C,D,A,88.897423910814,32.90582694195067,D,-65.60766674132688,-70.02645403811759,0
Veteran,African American,Bisexual,41.202636263700334,C,C,B,14.911850966652512,-2.9626886896070173,E,58.553356360639306,75.81258401648914,1
No,Hispanic,Bisexual,-28.47288150977219,B,D,B,1.3066802060946834,108.86830422892228,B,55.86802534620836,-119.0872638413301,0
Veteran,Asian,Bisexual,-199.5036682951781,B,D,E,27.77705278230393,40.415232463426186,A,16.034342384151266,59.43502449241937,0
Yes,White,Other,-52.20275174236916,D,D,D,-104.72896629830402,79.40929914231471,E,-43.95467623435327,89.0395190891478,0
Yes,Asian,Bisexual,151.36955713216048,E,E,B,-98.95526634921625,-9.662790267036375,D,-10.52805752634306,-54.51511749177623,1
No,White,Bisexual,-100.83366860256098,B,B,B,78.18318881643786,61.041919331519004,A,-10.646114444553536,17.499877210236114,0
Non-Veteran,Black,Homosexual,66.10596092372558,D,D,C,6.220545259328757,-8.391425668280386,B,55.49214546095313,38.73219831093187,0
No,Other,Homosexual,-140.25695053014516,D,E,C,68.78071352113024,-98.87369292999315,B,72.75910547912355,121.80974100734394,0
Veteran,Asian,Other,104.2615016373585,B,B,B,28.24925159320356,-99.69956435118786,A,-18.554338926335635,-29.89432585676096,0
Non-Veteran,African American,Other,41.53760217570137,B,A,E,113.34844898643728,117.39275010266293,A,-81.82819065885184,-98.20546334779145,1
Veteran,Asian,Homosexual,91.03838336872255,C,C,C,-107.54315590086519,-88.42601411447757,C,-17.70413238947737,-40.97076279771624,1
No,African American,Bisexual,-33.7078443849252,D,D,A,231.88045526055504,-13.036280323479618,A,78.1830706096494,36.29120464595387,0
Yes,Other,Homosexual,-18.405433334999945,E,C,B,-8.030955346974347,38.631541284487916,A,-31.010744224808658,-166.28148141131584,0
Yes,White,Heterosexual,-67.47066173027822,E,D,B,-27.417985554044222,-41.767910641652634,D,-64.31470659068505,-65.29811883537282,0
Yes,African American,Homosexual,94.25468509836276,E,E,D,-43.22933119787684,-52.75204625694424,B,-64.10593253865001,-66.65853563002784,1
No,Other,Bisexual,-95.14591925656809,B,D,A,-139.06451108408658,-114.32875745555869,B,-0.5961701100118871,-97.16642403787426,1
Veteran,Hispanic,Bisexual,63.911612670470205,C,E,A,-1.8158013915970515,30.805115094183012,C,83.94826604296996,-94.42249594441299,1
No,Black,Other,97.02478597206333,E,C,C,185.6623910532001,-20.806312441354972,C,-29.829821663901367,-37.365350766263624,1
No,Black,Other,-187.60937542019255,B,C,A,-85.26916456765088,99.91611304988585,A,64.3233706901593,-85.28325549083236,1
Non-Veteran,Asian,Homosexual,-72.51059848865073,B,A,C,-54.95928066325113,88.1466957444302,C,49.03360989878596,116.33739739083384,0
No,Hispanic,Bisexual,-0.7714888433737129,B,E,B,286.2516061920227,132.89304621568672,E,76.10259794264996,93.270662857491,1
No,Asian,Heterosexual,2.481551399517725,E,C,C,-24.712427117832497,-213.75198004814274,C,246.58738102388153,-74.58841912316934,1
Veteran,Hispanic,Homosexual,-31.06563926878661,A,B,C,-24.53930589392967,-96.59443850512494,C,-133.01158588942238,-97.3009696875337,1
Veteran,White,Homosexual,12.871794466020802,D,B,D,35.590645006628165,177.3566941554985,E,70.3946197381146,49.92725463043239,1
Non-Veteran,Asian,Heterosexual,-70.68142946676986,E,E,E,-6.844374709932964,-187.38124881076095,C,32.535480710391596,-95.14802799772686,0
Veteran,White,Other,37.60281952792718,D,E,B,59.37695819248084,80.49042964773537,E,95.25265064373069,-56.44123095507838,0
Non-Veteran,Asian,Heterosexual,16.117082720332053,E,D,E,-125.29506617058624,83.24156462415475,B,51.81960785696109,133.30609794174055,0
Non-Veteran,Black,Homosexual,-30.429384150622944,E,A,D,20.486568396508066,183.54760350941538,A,163.89913081441404,-83.99093186400441,1
Yes,Other,Other,84.47095432821226,E,B,C,-27.032225761122085,-29.13366856378478,A,-2.709433253527462,27.820805871316434,1
No,Asian,Other,-78.5661845591629,A,A,D,-215.39850125143434,58.649753586796564,E,-97.08922446942884,-57.36888949475604,1
No,Hispanic,Other,77.95812653085841,E,B,B,-56.63967960235801,7.774833027900906,D,104.79724793840973,109.38436090308026,0
Non-Veteran,Hispanic,Homosexual,20.962230491208604,B,C,D,6.520954182582073,6.4529031078374945,B,-13.093167630591514,122.53416894411518,1
Veteran,Hispanic,Homosexual,171.04297373526475,C,C,D,-80.58330630509091,99.75260095896341,D,94.90421379203681,144.60561254467206,0
Non-Veteran,Other,Other,-20.896334177370814,D,B,D,-23.10228952430143,68.3966353667496,A,-157.85266707267044,81.18729246643655,0
Yes,Hispanic,Heterosexual,-76.12590299316268,C,C,B,28.163263511966484,-83.80920694792604,D,-122.56875453275316,90.97843001297156,1
Yes,African American,Other,38.5343055646813,A,E,E,29.838829160204433,16.45561308231538,C,14.033549154513988,-48.62386941878171,0
Veteran,White,Bisexual,-40.549272253905336,E,E,A,40.727968679966665,74.68609124417789,E,24.07232994867656,39.944641611487846,1
No,Other,Other,-56.28882845997028,D,E,D,-11.068227811608727,-154.35336150749114,E,-129.49298642501583,-97.49306493024838,1
Yes,Black,Homosexual,-47.03934524242428,C,D,D,7.974317959911545,144.614708751354,E,-87.06781716950917,1.9789619105390608,1
Veteran,Black,Heterosexual,88.15278737815157,B,D,C,105.69537402714741,-9.987317347970759,D,43.33922381812562,-18.297728104448385,1
No,Other,Bisexual,-205.51351512216957,D,C,C,-212.77159601781887,-34.084648267371584,C,-50.848671992665764,-120.24767199087911,1
Yes,African American,Bisexual,-66.46798630596636,E,E,A,-143.1698698081316,-249.91948673014508,C,-147.85459858318885,139.90461413060757,0
No,Hispanic,Other,-86.17599494118107,D,C,D,23.135133256355335,60.26131018146527,C,210.19816508481392,96.48044217279185,0
Non-Veteran,Other,Heterosexual,1.5144852283681574,C,E,A,-27.835869867355186,7.687680371093808,C,-84.78843356879423,5.175908672625934,1
No,Hispanic,Bisexual,51.3617440002321,A,B,C,-129.98688439156524,-62.950184577848056,A,-56.76155649586546,34.29668353061333,1
Non-Veteran,African American,Other,-132.15846827072713,D,D,A,-52.07014421922241,73.44452513654433,A,4.9389296452409726,75.91406030203969,0
Yes,Black,Heterosexual,288.19893776566266,A,C,D,-30.12050726077681,151.78080731320873,E,-19.115748811197104,35.13630355011793,0
No,Hispanic,Homosexual,-108.00896980162051,B,C,B,143.47292556381822,3.80755972009026,B,55.742930264240606,64.25884664045961,1
No,Asian,Other,-231.4566998440099,E,B,B,47.56010769360561,164.06763719071583,E,36.78257404987001,72.65622354526026,0
Yes,Other,Other,-42.63998495360784,D,E,E,0.8766306923363242,139.4145588889422,B,-124.38586366468796,83.30177582485196,1
Veteran,Other,Homosexual,50.41827458736927,D,C,A,-90.6279508791398,164.87498835805565,D,171.83326738330103,-112.72633040310896,1
Non-Veteran,Asian,Homosexual,-4.5458205292887754,B,C,D,72.91397156946343,-100.02964438607647,C,-137.7261995197675,-3.6720141954836563,1
Non-Veteran,Hispanic,Other,225.08860337280657,B,B,B,119.02552918004498,-63.9979692362086,E,227.51329665872797,43.76070304736962,0
Non-Veteran,Black,Heterosexual,-1.3481072084372714,B,D,D,107.56383207717757,91.96080818653117,E,35.67700760613798,-134.81065629562295,0
Yes,African American,Bisexual,-199.2391051327591,A,D,D,141.92544638780882,-132.24738357134115,B,30.015851897443685,-7.399078663494314,1
No,Other,Homosexual,265.6505557183094,D,D,C,-56.17673524463185,54.446687883335265,A,15.542167772206582,108.87686584394743,0
Yes,Asian,Bisexual,-47.70034900005841,A,E,E,120.32325841690788,55.28986405811034,A,-110.44093341880968,15.634010602862627,1
Non-Veteran,African American,Heterosexual,82.41196879589415,B,B,B,-35.81873274306167,-54.21005104936799,C,-36.21250077082108,-10.896188352069142,1
Veteran,Other,Homosexual,-71.59910050347158,D,E,A,76.39760316591955,83.24975124831468,E,-80.47844624964175,-79.12261387319344,1
Yes,Hispanic,Homosexual,-70.24381431166978,D,C,C,-152.61524163115678,-296.97020419706945,C,25.49729219806504,-61.70420153833427,1
Yes,Black,Other,91.7179174180281,D,D,D,128.66628617197057,32.93089707324317,D,-114.74710750706836,-35.8954183211425,1
No,Asian,Other,73.28548218400292,C,A,C,29.523377217120128,-64.95709789854708,D,157.106585758805,-79.32480885535675,0
Non-Veteran,Black,Homosexual,-86.07624553295568,A,B,D,127.85034429525446,-88.03425539741812,B,134.58594899785302,-137.52869739055592,0
Yes,Hispanic,Bisexual,-69.13927509688608,C,C,A,35.11622765847753,-51.70933671569149,D,-132.0933156295401,-158.79259595601917,0
No,Asian,Heterosexual,-124.45807044810708,C,A,A,87.77835646788238,-115.96113723608825,C,-64.16092274823204,41.03245909512175,0
Yes,Other,Other,14.755973037898096,B,A,C,-18.55155964930553,-10.523405654692038,E,25.246368450250117,-46.034444383560064,1
No,White,Heterosexual,-62.692954031759186,B,B,E,-189.7954399280658,97.65797450372793,C,-26.13453333980586,-184.69908982670808,1
No,Other,Heterosexual,-112.49872779996251,E,B,B,89.07565832819688,78.67159922294285,E,93.10234252216313,27.36157774559327,1
Yes,Other,Other,99.0655556190436,E,B,B,-31.012538205928042,-159.2467522919745,B,99.43284065469263,-171.83951514525725,0
No,Other,Other,-135.4956361079849,C,D,B,35.70272767257385,-64.42923020292275,C,-30.988090264869545,84.77896649932734,0
Non-Veteran,Hispanic,Heterosexual,-144.1495979232959,E,A,B,183.3757158046254,-45.22771264137801,C,135.01400250509002,-26.821329266921374,0
Yes,Hispanic,Other,35.72494276296959,D,E,D,-155.17822017222315,33.695496497162814,A,60.830151605971224,-5.722391823848097,0
No,White,Bisexual,-75.61971426439959,D,D,A,-29.25574131905959,38.02963865737635,A,4.687315935335858,-111.35166524898004,1
Veteran,African American,Bisexual,-10.671442725800723,D,D,D,63.91537588232443,19.144271512682607,D,70.31242684357186,-16.139833226294115,1
Non-Veteran,White,Homosexual,19.381369410360207,B,D,D,199.87623276714567,193.65092617955548,E,-140.6839095840461,-160.43644777628603,0
Veteran,Other,Bisexual,123.8537291318463,E,A,E,-3.1580955265651722,31.714214312486273,E,-49.380757030695136,102.50703010487885,0
Veteran,Asian,Heterosexual,188.5342405991237,B,C,C,-147.73877428099132,105.83541500583958,B,31.89191825228679,57.67788853712963,0
No,Black,Heterosexual,128.25215766090062,D,A,D,-237.55015369626778,116.69824459898783,B,69.24855224228527,-103.43482278700309,0
Non-Veteran,Hispanic,Other,-79.84260547325881,A,A,A,17.107140514614045,-80.17314739793997,C,-130.17050911932373,-50.43952370820699,1
No,White,Homosexual,286.4309695760305,B,D,A,125.12868043660441,-123.66590025560168,D,138.37428474666984,31.08480030246861,0
Non-Veteran,African American,Bisexual,89.01932356479128,C,E,D,-19.544571448264545,-26.4268644122261,E,-106.30702485748154,-170.12425900880154,0
Veteran,White,Other,-56.06798359479001,D,A,E,-131.6706908838451,114.13541564296695,B,-85.02422561339958,60.25701816590452,1
Veteran,White,Bisexual,67.25204309095561,D,B,A,73.25441564985691,52.84291970979296,D,-99.67325407078175,-88.33107669474418,0
No,White,Bisexual,-70.13263182882045,E,A,D,156.63645842410546,106.24945592079573,D,-95.72458754318623,20.993636561635324,0
Yes,African American,Homosexual,-96.74395281711153,D,D,B,62.44400214070255,46.36702119029961,A,-26.63608587471448,33.08621894464276,0
Yes,Black,Bisexual,125.1116777129016,B,C,D,-1.2493106664514444,-115.98935853743586,E,53.128329752599704,60.78005814743052,1
Veteran,African American,Heterosexual,6.1078773817576755,B,B,E,-253.99790468279426,79.42408330933813,A,-313.3266589397641,7.436507097258392,0
Non-Veteran,White,Bisexual,111.33403318276005,E,C,D,-82.80614202018506,51.915505382341166,C,-193.6935219953068,-102.37978046979808,1
Non-Veteran,African American,Other,-18.516878870154684,A,E,C,-18.216402529419184,-21.875362448597716,A,46.471395934811945,-73.64961041565786,0
Veteran,White,Other,18.8732734483004,D,D,E,-26.31322301192859,-122.54648275295568,D,-144.31553089220884,-15.559926799886,1
Non-Veteran,Asian,Other,-146.55936420903546,D,A,B,78.51857883050283,-34.02923732542829,D,-22.848616450227198,-42.67600310878707,1
Yes,Hispanic,Bisexual,-136.7956435149946,A,C,E,-45.4395341608805,-13.40511149877002,C,-138.54006600944518,21.16520719988388,0
Yes,Asian,Heterosexual,216.79616610257057,D,D,C,-135.41133263411984,-19.463240765249257,E,110.03249959283575,-45.45922219145786,1
Non-Veteran,Black,Other,120.94638944193723,B,A,E,61.52137410854308,8.170407207077922,B,-6.038912435475927,-5.027673050043671,0
Veteran,African American,Other,-191.03241022219882,C,D,D,40.15135089310546,93.00444612023216,D,99.65648659780373,34.13918065528971,1
No,Hispanic,Heterosexual,-92.2495491138099,D,D,D,228.57565580409442,270.6580769069433,B,27.268613076481294,6.483282050489707,1
Non-Veteran,Asian,Homosexual,50.16760355484252,A,D,B,327.2656417469926,187.8842770340469,D,81.92549512543515,-127.52608222801449,0
No,Black,Heterosexual,-150.89680903902757,B,B,C,52.697120421991606,4.078372870966362,B,25.874798578065946,-49.075165773611054,0
Non-Veteran,Other,Other,-120.68160927818843,A,C,A,-73.2185253208226,-75.81156978413446,E,-12.24250044061867,6.864265438689731,0
Yes,Hispanic,Homosexual,92.31531574582608,D,A,C,-224.87356790620115,231.40967719230247,A,-9.572680825566596,146.35351558152132,0
Non-Veteran,Black,Heterosexual,115.11532917680553,A,E,B,9.545199278823501,-127.92304949155027,E,-52.879589958634554,121.31388154626408,0
Non-Veteran,Asian,Homosexual,-145.62255161889556,E,A,D,101.4830250944911,-90.20478349861416,B,-100.71128771889457,-52.492705482701375,1
Non-Veteran,White,Homosexual,-75.28414309083053,B,B,B,-84.7904855127673,182.81564080974064,E,-58.742854650801355,-119.58408304983598,1
Veteran,Asian,Bisexual,47.77143628902522,A,B,A,143.92412611602435,121.17557356113157,E,117.14719207840427,-21.391882033351024,1
Non-Veteran,White,Bisexual,89.25891532703898,E,E,A,-61.02740699383198,127.68057883717387,B,134.22304063946743,-54.11000885747767,1
Yes,Asian,Bisexual,-145.1194173137002,B,C,B,-76.98683237251149,-30.137064211188598,C,157.1915854799941,-23.135399298918006,0
No,African American,Other,37.00271773383441,D,D,D,17.20038085384088,35.86164970242376,B,-8.166060012811135,-119.87677790445055,1
Veteran,White,Heterosexual,-1.0863299303828475,C,A,C,-61.425969961616254,-97.38534801000802,E,-78.36679537449349,-57.66593794461704,0
Yes,White,Other,-46.95973415369041,B,D,D,-36.2732045571021,28.43233458093058,E,-53.38917904995111,10.496231289826225,1
Veteran,African American,Heterosexual,45.59660605694716,A,D,B,-187.02334319306587,18.849375501442427,A,22.733893741670517,-89.34923316930511,0
Yes,Asian,Heterosexual,168.90285480626088,E,B,B,-77.6018385751207,-1.5952798574901208,A,-194.87293824930128,43.07084107288836,0
Veteran,Hispanic,Other,91.02222126263241,E,B,D,95.64359562409271,60.01109908104213,B,153.96183627691116,-55.0747066280193,0
Non-Veteran,African American,Homosexual,-134.60689790979518,C,D,A,-53.0852883268454,114.58972573518807,E,29.460691376978847,178.30167459878243,0
Non-Veteran,White,Heterosexual,-11.963463723771355,E,B,B,32.04613037310162,11.53359384308298,E,11.859498847414192,111.02969582161299,0
Yes,Hispanic,Homosexual,153.87015936963843,A,E,B,123.50873429361361,43.15702994595888,C,-24.107430799644543,40.5688937944737,0
No,African American,Other,-47.61910517260372,E,A,D,212.02963346743962,5.857661178128373,E,10.039403337534319,-70.03907929083192,1
Veteran,White,Other,74.85274661406201,A,C,A,-123.04630688631654,-47.63933018143185,A,131.15794601316705,-101.15460227831485,0
Non-Veteran,Asian,Bisexual,-34.02120019217673,A,D,E,71.65393965227385,-43.56373259812321,E,-42.30737473369715,-181.137917793506,0
Veteran,African American,Heterosexual,2.3497043052714246,E,A,A,91.1624018387797,141.14950797097586,E,87.88233216693216,65.07420566778754,0
Non-Veteran,Hispanic,Homosexual,131.38750428281475,C,C,A,25.32488021294308,-122.49876248635243,A,-149.8368311007979,-5.417074430912465,0
Non-Veteran,White,Heterosexual,98.89637543686341,A,B,D,-77.24760618473329,-28.191939918477395,B,64.45339136898615,-24.8904176561885,1
No,Hispanic,Bisexual,-65.12387986410447,D,C,A,-141.61991067653508,63.387672167331175,C,-93.13501945701496,-31.735313781748754,0
No,White,Homosexual,78.1856920806191,B,D,B,-8.619663863140897,46.66878859610481,D,98.24381907216187,165.27003905830747,1
Veteran,African American,Heterosexual,-140.31095426076928,E,E,A,-43.401565763584514,-50.63003180589847,E,-90.3108823176008,20.98739828899701,1
Yes,Asian,Homosexual,-157.0766066736459,C,C,C,-82.58025550959101,-148.0782804252578,E,-46.11855119188289,-112.74986914565982,1
Non-Veteran,Hispanic,Other,-177.52563270609997,B,A,A,-60.89991941991044,3.1797489945427264,C,-37.27115968749208,6.312408349813325,0
Non-Veteran,Other,Bisexual,84.5262526390306,C,C,C,43.228101924757354,-85.7129520598861,B,28.000256843475817,-92.24272357448757,0
Veteran,White,Other,-29.166147281285788,C,B,C,-145.0301470653344,-53.836339689794656,C,-95.19517543741743,-38.59720806516177,0
Non-Veteran,White,Other,65.75319914582423,B,D,E,-132.2852024558545,-44.661039919467875,E,58.45955315219232,-70.62505122962081,0
No,Asian,Homosexual,-44.425237830894275,B,C,D,58.46882505304778,-101.47284786938368,C,-7.561264393709935,24.80109327906111,1
No,African American,Other,80.2396973288664,D,B,A,2.196698748160785,-2.2220459243216433,D,-35.39651733236134,21.310838307122477,1
No,Black,Heterosexual,45.365551436162455,A,C,B,10.735983834951982,119.6245157328104,C,-71.89652036312485,-47.76903817260667,0
No,Black,Other,106.82564197969309,D,B,E,84.96840645227611,-68.5415747161504,A,167.1174633235933,64.93064751642,0
No,Hispanic,Heterosexual,120.02050325731798,B,A,C,125.75823850216852,-2.549836740031697,E,191.55945258282662,-49.06342410007882,1
Non-Veteran,African American,Bisexual,87.39816683538825,D,C,E,43.490334338433165,58.69489165868609,C,121.78424238954777,-5.521706823186979,1
Non-Veteran,Hispanic,Other,-157.35171481119616,C,B,D,57.94433352020748,31.573785293287475,A,282.07956387695845,74.4425021735185,1
No,Hispanic,Homosexual,-29.147489869999205,D,A,B,-110.82820274259977,-97.85925742002671,E,-22.374177099674863,-104.63354520364054,0
No,Asian,Homosexual,83.68304145642679,A,B,D,99.47011652974192,86.11588725799594,C,54.99187574361039,-54.827586084026656,1
Non-Veteran,Hispanic,Other,-202.90580411336902,C,B,C,40.15768830564451,-112.96567368528711,A,-61.035429963377474,-36.27213631143948,0
Non-Veteran,Black,Homosexual,78.78033633909615,C,C,B,6.875851516582866,-121.20621765749794,D,103.77593833515152,-145.6103520068729,1
Veteran,White,Other,6.38685669915706,B,D,A,-161.82357016867266,52.720706407965835,B,-47.7868230240953,41.19379263349089,0
Yes,Hispanic,Other,-55.141169984150466,C,A,B,-181.46843360493762,-2.1466260459792026,D,83.37217365583713,-173.8667572519566,0
No,White,Heterosexual,-35.056533631337736,C,D,C,199.7970861636745,229.542268282433,A,-77.37287960747632,133.6697245780559,1
Yes,Asian,Heterosexual,-149.56235046843585,B,D,D,-23.46424036271445,33.81417393156818,E,-283.43958890591654,-146.08464297122788,1
Veteran,Asian,Heterosexual,-41.684190190462154,C,C,A,-99.95924122241617,30.89226785765911,B,105.50504990463567,25.41945729738958,1
Veteran,Black,Heterosexual,-72.33667541416997,E,C,E,96.91230925343761,27.929762765372107,A,4.259789142697183,-184.92683048380698,1
Non-Veteran,Other,Other,-64.41715397781113,A,A,C,27.755429917575626,96.34927398980176,B,3.2531625719140194,11.462848644879392,1
Non-Veteran,Hispanic,Other,81.3275356717039,E,D,B,8.299622574848229,-39.596489569490075,C,-100.6575132617364,9.115835359778057,1
Veteran,Other,Bisexual,-40.31323040058743,B,A,E,-42.12212475501477,109.55850665069423,C,-46.289666609694564,68.68503429648656,1
Yes,Black,Bisexual,-49.31032489942275,E,A,A,-56.193355632020484,62.79496267851189,C,-112.89938820842787,176.79652078232243,1
Non-Veteran,White,Heterosexual,-236.30336495367504,E,B,D,16.835062008763767,112.2183713155444,E,-65.27894109062244,99.86907117921231,0
Yes,Other,Bisexual,-90.86626351752302,C,B,D,-72.2645517492542,93.55787905812349,E,15.523458024292195,16.63446409247281,1
Non-Veteran,Asian,Homosexual,41.35811178982639,B,C,A,-20.378589293903072,-8.26315378854603,D,47.56877878070182,-42.7385044876257,0
No,Hispanic,Other,95.08683523338438,B,A,E,6.249774419210419,55.42900180296259,E,80.34650870580296,29.692162349954287,0
Non-Veteran,Hispanic,Heterosexual,111.17995335200544,A,E,E,131.43460152514623,35.98411599701015,D,-9.258120451053314,-162.5282540214435,1
Veteran,Hispanic,Other,214.33680485246506,E,E,E,-78.69133594435752,77.7306667624487,D,-30.36865964766497,-99.68495061459421,1
Yes,Other,Bisexual,60.43467334430953,E,A,A,133.71983946439587,-208.6216346482745,E,70.23971673431613,146.96231311654276,0
