age_range,country,Veteran,sexual_orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
36-50,UK,Veteran,Bisexual,-37.14399486436374,E,C,150.30186546375324,168.8751352712269,C,-10.604056157509127,C,-140.21788959887343,B,A,D,-109.61391769808708,E,11.197788153658472,A,A,0
65+,Germany,Yes,Heterosexual,193.3843183359885,E,D,-78.87975941894129,-120.8968555430092,D,-99.75482360752392,A,6.093819110464848,D,D,B,-207.9819565561554,D,93.92458065462192,B,E,0
51-65,UK,Non-Veteran,Bisexual,23.15802900330583,A,D,121.78199301092954,208.624577677351,E,-90.3039816868031,E,99.9986633524276,E,D,B,-118.39978935328259,C,16.832525621101645,D,A,1
65+,Other,No,Homosexual,92.8294459220451,B,C,-112.17010789335176,-20.301336827139515,E,114.94008715213795,E,-244.82339747169246,C,D,B,-112.99875599797062,E,-0.4796409797368978,A,A,0
36-50,Mexico,No,Heterosexual,126.89983759314248,B,D,-135.85800160286732,-35.39095733470081,E,-112.30765883051166,B,55.58352191005527,E,D,C,-114.57661424694831,D,70.90958180494312,E,C,0
36-50,India,No,Homosexual,94.1965286852629,C,E,-73.60208868563483,11.24554452827876,A,-126.31794817743707,B,148.8915958599678,C,E,A,-76.72668395164591,B,113.87257981434662,E,B,1
65+,Brazil,Yes,Bisexual,-125.51332103887205,A,B,-87.71306089628237,-147.4436931405327,A,101.93739387975221,E,-233.14934603459446,C,C,A,150.79086439607238,C,174.64858546111873,C,C,0
18-25,Germany,No,Heterosexual,18.099694715386704,C,C,-2.1333200131550214,138.18812337650368,A,64.81871113604711,D,-212.97823252361155,E,A,E,-107.3394313453814,D,-133.7880723050786,A,C,0
18-25,US,Non-Veteran,Bisexual,81.10377923891903,B,D,-128.0074154296803,-13.171117484754166,B,-38.80915223223203,D,70.13765042405473,B,B,D,4.6361880975027985,B,59.01498696499334,A,A,0
51-65,Mexico,Veteran,Homosexual,193.78623341671442,D,A,-160.65731338308441,10.286259742477739,B,-142.70454364579362,C,-93.23682900936141,B,E,E,-132.13274253448725,E,-15.454391290854087,C,C,1
65+,Brazil,Yes,Heterosexual,-85.7118485909522,D,D,-67.74338041238653,-111.54351415218098,B,-91.95603425853437,D,50.15385455878065,B,C,C,-23.55543727577206,B,121.84441151822966,E,E,0
51-65,India,No,Other,-97.71837964835495,D,B,-62.59792451713068,-17.45333958861903,C,-74.52606210874627,A,2.4288496213376116,C,B,B,-137.57152969171943,E,-57.85277483657774,C,D,1
18-25,India,Yes,Homosexual,40.90353433064671,B,C,235.95706460192426,18.609688403650836,C,-22.889290983756545,B,81.194133719682,C,B,B,30.84189489726082,C,-76.42744209457547,B,A,1
65+,Other,Veteran,Other,-81.9749849463035,D,C,-136.37497161899782,38.60056912065636,A,37.288164641663904,B,52.247436631570935,C,D,A,134.94078290237033,C,-163.71426252048798,E,C,0
18-25,US,Yes,Heterosexual,-20.469972082029546,C,E,45.67514754305039,-102.58172748694282,C,-49.58580431938771,C,58.47060511858054,D,C,C,-90.43725874843085,C,-22.27666533875604,A,E,1
65+,China,No,Heterosexual,165.46802032964374,C,E,131.85617286731727,238.33428044866386,A,-59.380876818650805,E,6.91023402086951,A,D,E,-213.9480609411378,C,-96.2152989869795,D,D,1
65+,UK,Veteran,Other,84.62515383888548,D,D,-180.1583233638054,-7.220035260788232,C,-83.1233298264394,B,65.11359231546962,B,A,D,149.05548152730955,D,-128.7963711353531,A,D,0
18-25,Mexico,Yes,Bisexual,-33.45288154472081,E,D,68.30257646282242,-198.3096758628777,B,74.72557499842605,E,-200.21975474991143,B,C,C,-165.75748874298077,E,85.97128066896867,B,D,1
26-35,Germany,Non-Veteran,Other,167.62509400979724,B,A,-86.6573982736724,80.40354652084176,C,29.344127426900585,D,33.58292950349332,E,D,C,-115.39841304181225,B,-94.59717035957993,B,D,0
65+,Mexico,No,Homosexual,-5.30443457442358,A,D,-59.38671551086803,-27.437744997595555,B,153.81794771095437,A,-125.33604924662897,B,C,E,85.33713454810994,C,-91.06790129000059,D,A,0
65+,US,Veteran,Heterosexual,-246.5259404816466,C,B,-51.1505746533513,-20.24154508523444,A,6.259092828121626,E,123.65824010708369,A,D,E,-153.98080865119684,C,24.92269561997361,B,D,1
36-50,Germany,Non-Veteran,Bisexual,86.08452525095609,E,C,129.27183218296875,-69.06547864313488,E,-93.14885202330122,E,11.742851821178375,C,E,E,2.9146149820863654,B,-76.13768918940895,A,D,1
26-35,US,Non-Veteran,Heterosexual,75.1100244400394,B,C,-103.59884100729253,-173.60131095236443,E,78.61613806506097,E,-72.54782114073691,E,C,D,86.14887943147636,C,105.76496451542636,D,B,1
18-25,India,No,Bisexual,-157.3334400431295,C,A,90.99863707818373,-123.50348790155277,C,183.51441379536885,D,-95.3825322967181,A,C,E,53.676229353017845,D,144.68883954431197,C,E,0
51-65,UK,Yes,Bisexual,-51.389772770505004,B,C,136.56362738368614,-56.70583418231339,B,49.085263576034045,D,59.618679712627184,E,E,B,137.51875486831932,E,-103.75367972194915,D,C,0
18-25,Mexico,Non-Veteran,Bisexual,-120.66002450303372,D,C,7.779460641728407,210.97582100105825,C,-69.10346196868007,B,-4.279801138252318,E,B,C,-91.74491670368981,C,-97.69363047327118,C,D,1
36-50,India,Yes,Heterosexual,-167.01970858872298,B,A,-6.4355145018458595,7.3618420602181125,A,144.48289173457601,E,-95.90214296611059,D,E,A,23.53147483794072,E,173.12796544359824,E,B,1
26-35,China,Non-Veteran,Bisexual,-46.7552289255379,B,E,162.92639733527346,-13.477827122088149,A,-28.817443335517723,C,51.23304680108394,E,C,A,-88.63987986368261,C,-57.71977787101552,A,B,0
51-65,Germany,No,Bisexual,-27.128458913201076,E,D,-84.15200957375797,22.69877855897278,D,-10.880926707200327,E,-75.79332239373663,B,B,D,35.50263253106598,C,-156.2816059487409,B,A,1
18-25,India,Yes,Other,-44.76852016612299,B,D,-175.49647435814958,-17.169557439972426,B,165.9817014537489,E,-10.104052159563839,C,B,D,-15.929712388703019,D,-56.11191107301322,A,E,0
51-65,India,Non-Veteran,Other,27.19728628434715,E,D,25.724479947118855,36.68357510735157,A,-77.78952889360872,B,-37.10147171939615,B,A,E,-17.02592782885778,E,61.70518720693573,A,E,0
51-65,Brazil,Veteran,Other,-77.21590284530821,B,E,-6.181974533147693,142.14686999037295,A,35.118948064097985,C,-115.6079292103014,A,E,D,5.929014865538212,C,-11.888067809518372,B,A,1
65+,US,Non-Veteran,Bisexual,-61.122091632673445,D,C,-49.039413236002794,-53.33457509386131,D,-44.06244522663698,B,-140.97672059487198,E,D,E,177.61444215592869,B,123.21750171533972,B,A,0
51-65,Germany,Veteran,Heterosexual,-122.53896975383007,E,A,31.258170268243756,14.162905129999503,B,-24.83480545373043,B,119.89173780779441,B,D,B,41.642225584398304,B,-38.957366573931154,C,D,1
36-50,Germany,Veteran,Other,-79.86377574395547,C,A,155.62699330741756,58.2299710696244,A,66.02302041607732,C,125.29853620540601,C,C,B,-60.628009598066356,D,113.26370488948334,E,C,0
18-25,Other,Yes,Bisexual,-133.30660363700616,A,E,5.425782198366382,74.2631490080022,E,104.20851104044826,E,17.168214924399507,C,B,B,109.08862698405117,B,15.34019056110891,E,B,0
26-35,Brazil,Veteran,Heterosexual,-105.32729775219067,C,B,-39.459920845809116,102.62549875520419,A,115.81462826326818,D,-53.36677740317165,C,A,B,277.2154809313477,D,-70.01047998380557,C,A,1
65+,US,Veteran,Homosexual,59.90887783777499,B,D,-70.57403673279916,9.258678823100807,E,-52.84996758966801,E,93.31140808887058,B,A,A,-18.31430302782353,D,-67.41526768143099,C,C,1
26-35,Other,No,Heterosexual,-88.67731289657092,C,B,-234.32011345591243,15.746929881933067,A,-145.58082432810647,A,-12.767298240509154,A,A,C,-33.570992877875454,D,-27.728726041040158,E,D,1
65+,US,Veteran,Homosexual,-39.17954638280507,C,E,-111.99403109146316,5.978341083107151,B,29.01523184060456,B,39.875238520612285,C,B,D,29.09862703569402,B,-15.835126308645775,C,D,0
26-35,Mexico,Yes,Other,-63.17917254175629,C,A,61.860770082131644,120.80299514652407,B,29.769406434778105,E,-89.43830274767481,C,A,B,-72.60941708604862,C,-13.154382780311966,D,A,1
36-50,India,Yes,Bisexual,-80.02686714120505,D,E,126.45859899815868,17.03642102548453,D,149.7950017574812,A,117.31914754916963,C,B,C,-29.09485918292343,D,174.02898432365475,C,B,1
36-50,Brazil,Non-Veteran,Other,14.998305773326043,D,C,78.01710725321736,-65.38017356366093,D,-23.370693244290166,D,61.8533555586197,B,E,A,43.841829201269846,E,48.67394475814471,D,B,1
51-65,Germany,Non-Veteran,Homosexual,21.30658518092863,E,A,10.8964727663323,31.550240240286904,A,-101.72161919253433,B,-78.33349427846966,A,D,A,190.60084470215833,B,6.758590271804526,D,A,0
36-50,Brazil,Veteran,Heterosexual,25.53296008797435,D,B,-66.41484363944566,23.695551148573397,B,-103.78171206206164,C,-43.934534206806866,C,C,A,79.87031185586544,E,-67.42322655327534,A,E,0
51-65,Germany,Non-Veteran,Other,138.84299298744497,D,E,144.47657792117127,71.69186154639851,E,-15.779352370703828,E,68.05043334670485,E,C,C,-102.46654647057163,C,-118.38469456378571,C,E,1
65+,Other,Veteran,Heterosexual,-101.48324944755396,B,A,-56.008160014451036,-76.3119175104536,A,39.39244629419243,A,-54.142426838976895,D,C,E,38.573707793203965,D,87.36450137598175,E,D,1
18-25,UK,Non-Veteran,Homosexual,-0.315658605254863,B,A,75.36281969294582,-30.541468196745942,A,168.76367493888148,D,-68.28171563403163,E,E,E,33.96669134870917,B,-13.34842992071114,C,C,1
18-25,Other,No,Bisexual,-63.4327816476458,C,C,76.94523940833771,65.44326411125722,D,-27.602274270940008,C,-129.33488136577574,A,E,D,-129.22208012515517,D,119.18693795736462,A,B,1
18-25,Other,Veteran,Heterosexual,207.53273886569136,C,D,164.20555094187745,6.563860715006535,B,78.52649081494978,A,-71.83000706103451,D,C,D,187.72588778337465,E,-104.74217974603658,D,C,0
26-35,Brazil,Veteran,Other,-15.648383416752527,C,A,-104.97965151128123,-85.20177478628214,D,112.03388973371989,A,-8.641620534949011,D,C,B,44.86619328865069,A,-189.27914095526197,A,E,1
51-65,Germany,Veteran,Homosexual,115.214634323797,C,B,-45.54019498321898,-72.56454360455427,B,33.98735903355413,D,-30.021981701442375,A,A,C,33.71582805748366,C,-263.12421714150076,C,C,0
51-65,Germany,Non-Veteran,Other,101.9210484602834,E,C,84.37783406603448,129.5180416716541,E,21.982550249557878,B,-72.73556361257313,A,E,C,136.91599396641007,C,-127.90984645990812,C,E,0
26-35,Brazil,Yes,Heterosexual,138.46785891709075,D,B,51.06120083763294,-107.69902874502195,D,19.522901665661134,A,12.739407028793357,E,C,E,52.22699730929746,E,-14.770907395324645,E,A,1
51-65,Brazil,Veteran,Heterosexual,103.60708082844468,A,D,-140.2868812342502,30.10387168424496,B,144.3160071836967,E,-94.92870201304187,E,C,A,2.841757114818168,A,1.1772384940522322,C,C,1
65+,UK,No,Heterosexual,56.72999721980682,A,E,96.03642343123884,81.5964646382163,C,133.71902824605974,B,3.1203327903603633,D,C,E,-124.57919501285124,C,95.93908339741104,A,A,0
65+,Germany,Veteran,Homosexual,-80.55059407487163,D,B,116.71802187022213,-2.2075311833058797,E,-67.63290759958817,A,-121.4486097128524,D,A,B,16.874347904049447,D,-23.490707522010563,D,D,1
26-35,US,No,Homosexual,-149.43495549714217,D,B,6.675982126385965,-236.26930993910693,A,61.048297532630244,B,50.650902417512256,E,C,E,-153.58723592456641,E,-237.14171670535933,D,C,1
51-65,Other,Non-Veteran,Other,-166.2186808525197,E,C,-68.35227322198104,-138.57688972701172,B,27.805163069383838,B,79.11686147065046,E,E,E,-19.57006517989191,C,-41.8274499889778,B,C,0
36-50,Mexico,No,Heterosexual,64.19061260916125,B,B,-7.659414151383337,-31.53466297164464,D,259.2637761345075,A,160.06521518321753,B,E,D,-135.62245712082176,B,-121.86269984778575,D,B,0
36-50,China,Yes,Bisexual,-4.707860178767363,B,A,-90.71127200234159,-55.421251362251425,E,172.27747039836987,B,-102.34393867907683,B,A,A,-84.84832585366334,D,-84.23528826526523,D,B,0
51-65,Brazil,Yes,Other,21.86208386468248,D,E,-58.63514751075577,85.36780638427568,C,141.63103187565304,D,-15.77405321157071,E,B,C,-12.7756907904571,E,-41.785282275264464,C,E,0
36-50,China,Yes,Other,-105.50501244467092,B,D,4.877485319561946,122.39626328268427,A,-221.65006489921856,C,-74.20855806912948,D,A,A,83.55432137486054,B,61.4065856701629,A,B,1
26-35,India,Veteran,Homosexual,193.24567961111464,D,B,-149.86474484336344,-5.693053353704816,A,130.864940328873,D,-41.56223178050007,D,C,B,11.70331127740142,A,-151.59005266122497,C,C,0
26-35,US,Yes,Bisexual,-4.161105891121981,A,A,-26.956340758965574,78.41671251993549,D,-21.26414984017941,B,-82.21632745063795,A,B,B,17.394292288462417,C,-92.63753554142872,B,B,0
65+,China,Yes,Other,-101.990586663585,A,C,16.72806403384734,-95.51985134473526,E,-8.843510982314468,B,28.23961048617203,D,D,B,55.54595931703821,E,124.2174966374348,A,A,1
18-25,Germany,Non-Veteran,Heterosexual,57.918439141113964,A,D,-184.25697524668809,69.92143716424727,B,39.61737007074302,D,-41.90776015597662,B,D,E,0.08286204539120755,A,60.001905467247376,E,D,1
18-25,Mexico,No,Other,71.23235085830154,E,A,23.779471594582343,124.82507575100534,E,74.50418060156889,A,79.91069998679235,B,E,D,-138.95752247090792,B,59.562256039003046,A,A,0
18-25,Germany,Non-Veteran,Bisexual,-5.9238486904204954,C,B,-98.23888396768473,-39.121362075054186,D,-55.38946437530996,B,-34.1946475587,E,B,B,-249.07819895559712,D,22.65278188434644,B,C,0
18-25,India,Non-Veteran,Other,-168.25989530488997,B,C,71.82767012116636,-173.90890874949972,B,-6.008429231708784,C,-86.06052685875984,A,B,D,21.155520760787446,C,101.0896812047626,D,E,0
36-50,Brazil,Veteran,Bisexual,-16.58164263729645,A,D,29.063057970994667,15.006573313290813,C,-42.923978577736456,C,-59.528120960570604,C,D,E,178.8615107203522,C,17.88451715580825,A,C,1
51-65,US,Yes,Other,-28.161699995731666,C,C,-150.8088055530139,131.61244286161906,D,-162.23600041803343,A,-95.83263625548535,B,D,A,-29.82237571682717,C,15.394072745002216,A,B,1
65+,UK,Non-Veteran,Homosexual,-46.500293560608114,B,B,54.465228821970456,74.8027224753134,B,226.87254118777324,E,122.95566899876951,B,D,E,-81.65015682632315,A,-24.595422780199012,C,A,0
18-25,Brazil,Non-Veteran,Heterosexual,241.16047220468658,E,E,-134.4945575346956,-42.27906648851087,C,-33.8066437228706,A,-158.66981133640436,C,A,A,-165.62944814558395,E,-41.53991697695046,D,A,1
36-50,Germany,Veteran,Heterosexual,-28.01610622166916,B,C,-71.11658003553647,-139.25720011106512,B,-13.620999079240473,C,-47.452972671341904,D,D,B,-45.561700526631235,A,-115.02964552340715,C,B,0
65+,Germany,Yes,Other,60.142670498560825,B,D,-33.76522371895969,-97.52108653002036,E,49.76784531814676,B,-119.01624492785541,A,D,A,-16.491176425021592,E,-33.46435085776778,D,A,0
18-25,Brazil,Veteran,Heterosexual,-57.69207391115832,E,B,39.34091512076181,11.749133914147276,B,-122.12673511429601,B,15.224766793726886,B,A,A,-143.91481118097852,C,24.431895706470517,C,B,1
18-25,Other,Non-Veteran,Other,-52.399709490248604,E,C,-48.955501284222215,-96.03254865704145,B,126.58442868404407,A,-41.93389681835331,E,C,A,107.41024964852429,D,29.329367846889472,B,B,1
18-25,Brazil,Yes,Other,-146.12327586074684,D,C,-159.66365138638437,-14.527443450232072,D,-9.179629995149645,A,-255.65345712251525,D,A,E,-51.56623508844946,D,209.22808868776056,E,E,1
26-35,Mexico,Yes,Heterosexual,39.26658658487227,C,D,-77.40642570990607,18.87590490031024,E,114.72914271560445,E,-29.504353109446384,C,A,E,92.80150686213788,E,51.89477866242748,B,A,0
18-25,US,Veteran,Other,-61.89966650514006,B,E,-40.75309818138319,121.98040340220399,E,-142.8245759831358,B,61.427721450764686,C,C,E,83.21923887992818,B,-87.86417751559058,C,E,1
51-65,China,Yes,Homosexual,-143.77001219421774,B,D,169.36411660181295,-97.89133977597109,D,51.60730349179657,E,-14.110006716353892,A,D,C,-137.32563427782543,C,62.11428905165746,A,E,0
18-25,UK,Veteran,Other,128.16289351614327,B,E,120.66668685747548,-31.713610637903,A,3.7741340121317175,E,-38.63975881847862,D,C,A,156.09283833883745,B,-174.06351504785732,E,E,0
26-35,Germany,Yes,Bisexual,-48.85699066312888,E,D,-9.0638115967068,155.47275751320225,B,-87.28196319080281,A,-108.56754656447806,A,C,C,59.58887346936218,C,-6.968070051975066,E,D,1
51-65,India,Non-Veteran,Heterosexual,228.97544011671934,E,B,34.71425356090779,-76.36290915273435,C,-48.94922522104198,A,145.68976944695078,B,C,A,-176.51525373072283,C,7.143642745546462,C,C,1
26-35,US,Veteran,Heterosexual,-182.49682151094424,C,D,95.35856310505368,77.37955043574662,A,-105.47279959556857,A,-197.9521438265493,B,D,B,-8.026803865592736,C,-96.72457024172286,D,B,1
18-25,China,Non-Veteran,Bisexual,30.83385609527845,E,D,-128.35957188365214,18.619919573437013,D,103.98525389809295,E,153.43892590881413,C,D,A,155.3989288060214,B,-103.8394746264385,C,A,1
18-25,Brazil,Non-Veteran,Bisexual,62.48961322583635,A,B,55.25610424091365,-164.97381962224807,B,-1.6697004024316897,B,-4.107929737366494,E,C,A,-72.42101482936188,E,38.01333037658282,D,E,1
18-25,UK,Non-Veteran,Bisexual,31.14992330649532,C,E,-21.145510212293082,-94.80769811696105,C,172.89661228536372,A,-31.435350864324583,B,A,E,-69.41690497053708,C,56.71251581887128,B,C,1
65+,India,Non-Veteran,Other,-52.27821913989553,B,E,19.25966255690725,0.07540544424051926,A,44.119227869791374,C,-72.55034588561637,D,C,D,61.91343506842393,B,184.94719698328677,D,B,0
18-25,Brazil,Yes,Other,22.06341161975582,D,E,112.51758259197638,52.67833537675087,E,-28.266211682945247,B,36.12451967183479,B,E,D,45.56422434268517,C,100.93960076735009,C,B,1
36-50,India,No,Homosexual,-246.63464401710388,A,C,68.42669532616183,31.063355092261446,D,39.08058230606955,B,146.85024638045624,A,D,B,201.88053527232418,A,-18.5496890817168,C,E,0
26-35,Mexico,Veteran,Bisexual,-56.48567573664111,C,B,85.87936857959477,-2.858493958771583,B,-16.038614340397285,D,48.027386343089475,C,C,D,-10.871700690281644,C,104.09510677865184,A,A,1
36-50,Germany,Non-Veteran,Heterosexual,-112.1105092491427,B,E,-147.97416816536267,75.32745026484524,A,32.3125797369737,E,-183.1496498460469,C,A,E,103.496267676021,D,-24.434105183246434,D,C,0
18-25,Germany,Yes,Bisexual,48.73810712588623,B,A,70.82994216800566,-121.69493995538645,B,-27.922330251420036,E,31.892914615531996,B,A,A,46.86569414847385,C,-119.90110056772663,B,D,1
18-25,Mexico,Veteran,Other,-115.77549029565672,A,E,-50.30961556421172,174.84057561939542,D,-18.681476226340564,D,34.56325308504367,B,A,E,21.934250800041593,C,85.10803392817621,E,A,0
36-50,UK,Veteran,Other,8.409116275011266,D,E,-59.1339116605174,-142.35530380462987,A,-115.11199082011481,C,146.32115727769585,A,C,D,103.11032016530845,D,-123.73270327673906,A,C,0
51-65,Other,Yes,Heterosexual,37.777119448826944,E,E,53.799062605062,135.43897067951457,C,30.623239020195825,E,-191.10804299059396,B,C,B,121.6129361457736,C,-23.774452444806947,A,C,0
65+,India,Yes,Bisexual,-15.429672006260725,C,C,49.75501386621124,132.2325692097213,E,124.3405419622039,D,-92.52516594572027,A,E,A,-36.779154796334815,B,272.06438382785086,E,E,0
26-35,Other,No,Homosexual,7.961041780668089,B,E,-12.466031253970224,-83.29136951439746,B,252.1887731714291,D,-11.207375064245593,A,C,E,-178.72119940844016,B,-131.12738600840896,E,A,0
36-50,China,No,Bisexual,37.5840704591012,C,C,-60.45597740591093,-81.98506149109492,B,35.22469573685725,B,-11.036917829798211,A,A,D,74.77095366753802,C,-117.19151894702122,A,C,0
36-50,Other,Veteran,Homosexual,71.87315540779346,A,E,249.0864033070186,-57.58061655818405,C,50.77156031032932,D,-113.97561037309147,E,D,C,-18.197936909849005,B,17.838716592730247,B,A,1
36-50,US,Yes,Other,41.148718270191736,E,D,-178.37525560962263,48.26259655501159,B,0.3449704486657049,A,53.073533111593406,D,C,B,-91.02597099565676,D,-43.04595131777293,A,B,0
65+,China,Non-Veteran,Other,93.74524587257287,E,E,89.27810711573237,-43.57036394310182,D,132.5979372933435,C,81.59340207123556,A,D,E,101.49819919802626,A,33.08867478361276,E,A,1
65+,UK,Yes,Bisexual,70.0154731566504,E,B,63.49185042762826,-120.16914314782856,B,-127.43594577323954,B,-111.96590315685413,A,D,C,-10.401300820863051,D,93.28133707792898,A,A,0
26-35,UK,No,Other,14.335343525811714,A,C,51.18050996883339,-41.31782395226581,C,-0.08858807490522236,A,17.09313516285766,B,B,A,161.77895525254797,C,-98.83851200646338,E,D,1
65+,UK,Non-Veteran,Other,-29.247916959621378,A,A,163.70404841603673,229.11573044666702,C,83.70109981382167,E,-129.04226554396675,B,C,C,62.48612156864486,C,-53.33400225906285,B,B,1
18-25,Germany,Non-Veteran,Homosexual,-189.5093506715523,B,C,171.05130052759202,102.35952560331467,A,46.24485421466406,D,-7.192504564445428,C,B,E,-15.49984856500731,E,-0.44398963044014056,B,A,0
36-50,UK,Non-Veteran,Bisexual,-134.64939430169656,E,A,134.32469063251318,-104.32022879377432,D,82.0686254397853,D,25.809783357186483,E,C,A,-55.47391014761253,B,-0.4642864467245045,C,E,1
51-65,Mexico,No,Other,120.42483494840405,C,B,7.503709392278885,36.59280327554077,A,78.6826467892112,D,-8.976850501858435,D,B,D,16.56175747232547,A,-50.697695900508464,A,D,0
26-35,Brazil,No,Bisexual,96.8250453535639,B,B,57.627869508866944,-129.71110050844425,C,123.0534131316856,E,-82.55103642124527,D,B,A,-170.53230592591132,D,-72.88114778740939,B,B,0
26-35,India,Non-Veteran,Heterosexual,306.3922209590275,D,D,139.12548329810252,-32.76212656654107,E,-76.50605615170564,A,18.09370416403371,C,B,C,12.022152131227246,B,5.093551545487365,C,B,0
51-65,India,No,Other,36.57868688549964,C,B,-164.68377185536735,-95.72054101220618,C,-94.2249343763531,E,-118.70417465279688,E,A,A,139.63751545718398,E,-223.7487327013831,C,A,1
36-50,India,Veteran,Bisexual,-73.63129571644723,A,C,-81.43081118648662,-178.5518259066081,A,32.037444468468394,E,50.0328431920096,E,E,B,4.166751605635902,B,-5.266371898197467,C,E,0
26-35,UK,No,Bisexual,111.60171646897987,A,C,-112.2105999274233,-192.4883419119624,A,0.28232638724027753,B,197.46879673987019,B,D,C,-78.69426081407175,D,31.945268457321703,E,B,1
65+,Germany,No,Other,-91.57301781504718,D,C,-31.683540810245965,-3.915619512599479,D,-41.38418764838955,E,-57.55593708199651,E,E,C,-98.05361710743952,A,-110.15336214398626,E,D,1
51-65,China,Veteran,Bisexual,88.5385161457057,D,C,-180.38359163354193,-19.341861692233906,B,-105.72595067626547,E,-108.4544018262803,E,A,D,72.58214050507405,D,214.30210349338608,D,A,0
36-50,US,No,Homosexual,41.283830538244125,C,A,-178.45604642972773,2.752038878195769,D,-70.85294894807848,E,69.97790484183352,A,D,C,-87.95101687982371,C,-65.30778537024582,B,B,1
18-25,Mexico,No,Heterosexual,-58.159953916348016,D,A,5.473910156399743,-186.94993604454876,A,99.33476021590948,C,-27.4959107279983,A,E,B,-69.67979847650922,C,113.76194570172188,A,D,1
65+,China,Yes,Other,-19.920775912794447,E,A,92.98515383315879,108.04804344123082,E,-107.12669010967666,E,-49.37959249765528,B,B,D,-125.4998592345112,B,40.190944599417975,A,E,0
36-50,UK,Veteran,Other,-137.20083868557654,A,D,-4.620900763271989,0.17050615480406806,D,-99.78254219601371,D,-76.7123874404312,C,A,A,217.9272928184216,B,1.7740928393553175,B,D,0
18-25,Mexico,Non-Veteran,Bisexual,108.70119980893091,C,A,121.54139511465189,22.9912567028768,E,0.10166505687776921,E,-128.21659051184258,C,A,A,109.45529383223389,D,-131.87698208105004,D,A,0
65+,Other,Yes,Bisexual,-5.68543490921751,A,C,-5.63498467862199,129.79996165925476,C,-155.2399751577642,D,136.79951525543242,C,E,B,13.105415771426504,B,121.73359667139843,B,D,0
18-25,Germany,Yes,Heterosexual,160.84319480294235,D,A,115.85459713518811,88.90075370530215,D,4.11812389929896,C,-91.46096898271927,B,E,D,-106.48688412546741,B,-202.69807174076925,C,E,0
26-35,US,Veteran,Other,-19.136277320663662,E,E,42.16887993871995,354.67856558128386,D,65.04019968370145,C,-55.300403797877685,D,C,E,12.292875886781285,E,-34.699497658315956,A,C,0
65+,Mexico,Non-Veteran,Other,49.04972032565673,A,D,182.46184512946414,-59.505095775658724,E,138.91405071688916,A,74.38476511869499,D,C,A,91.584427345213,B,116.22387843282202,C,E,1
51-65,India,Yes,Heterosexual,34.54458051226937,D,B,45.05623893876057,-18.00940690101398,B,-58.44733671131445,A,100.62114320161683,A,C,A,117.9994455936947,D,-17.555453205974768,A,B,1
18-25,Germany,Non-Veteran,Homosexual,113.47287496536545,D,D,-66.07818246165272,151.28347988382598,D,88.91307571276886,E,-9.294448620167017,B,C,A,-165.0846707069744,D,-120.71840679962578,B,D,1
51-65,Other,Veteran,Other,-12.040899309267171,C,E,14.618655076647718,-65.8609409493846,D,119.29016600110015,D,204.77989570737583,C,E,B,14.750928941436687,D,40.12233032420824,B,A,0
65+,Germany,Non-Veteran,Bisexual,148.23793527275188,A,D,-31.90260027431156,-53.94158900036131,C,-16.217842432064884,A,44.09952115115433,E,B,A,-60.04745988850796,A,-102.18857872087635,A,E,1
36-50,UK,No,Bisexual,-25.181355407766947,D,B,-19.0432653156509,122.81741385076896,D,-76.34062237823652,D,83.80073546820309,B,D,C,-126.47995010139039,E,18.431438513833108,B,E,0
51-65,Other,Veteran,Heterosexual,73.34923411201085,B,E,-95.2757693779563,76.10401013858504,D,58.77066778692039,A,93.06075740135208,A,B,A,-9.450701438988387,A,-103.51539006746269,A,D,0
65+,Brazil,Non-Veteran,Other,118.93661592987776,C,C,18.859346524090967,52.9447039312864,D,-16.723473367880036,D,-157.60769456015865,B,E,E,51.94679458294429,A,-48.31283587531488,C,B,1
18-25,India,No,Homosexual,-50.014216350194204,E,A,60.81782171910019,-58.60118030294781,B,133.85132422750058,B,54.11470350122774,D,B,A,-35.99286288300665,E,-15.011396086726158,E,B,0
36-50,Germany,Veteran,Homosexual,5.411945906900567,C,E,-69.96896766960509,-61.9044739520763,A,3.8423506407455337,C,-8.530211751180945,A,B,A,17.184818147589713,C,-97.29417415436947,E,D,1
51-65,US,Veteran,Heterosexual,-4.298526472983697,A,B,41.42318359101749,-104.34572011100214,E,34.683178784463244,B,-80.13464517352111,B,C,C,1.205255208434337,C,-208.40602870977548,E,E,1
26-35,US,Non-Veteran,Heterosexual,-1.4346023322552748,C,E,-159.10094652913565,91.99700080173893,A,-22.05782692359669,B,54.369188635693156,B,B,D,-164.3322950814213,C,-112.8216375786948,D,D,1
18-25,UK,Yes,Homosexual,-63.82263418230523,D,E,155.74327053692306,182.57495499842753,D,185.18501747573904,A,-89.22197704674674,A,B,D,102.24627882927697,B,-45.97106627501248,B,A,0
51-65,Mexico,Yes,Heterosexual,6.698773325259766,B,D,87.41350946912777,213.94778473556465,D,-58.18726363011447,E,169.84143289582136,B,E,D,43.95291704648285,C,43.193102143401084,C,E,0
36-50,India,Yes,Heterosexual,55.7037555938348,E,D,-84.49438645138898,-125.31059539875935,E,114.04768846468838,A,115.07651649080456,A,D,C,-36.83897168578495,C,108.79648070138275,A,C,0
