Religion,ethnic_group,AGE,veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Muslim,Hispanic,39,Veteran,191.01654811716423,A,D,A,-71.65252464547537,77.67512769195422,34.945233329985854,-139.24648453240803,D,-160.5128706067501,128.68875404338047,A,D,B,D,70.75907169553771,0
Hindu,Black,46,Yes,-4.550025760560058,C,E,B,23.428217302885702,32.826994644833455,-118.14266173610572,-68.86790176645115,C,-116.78380525182801,-11.913129469550372,B,B,E,C,9.131889400807948,1
Muslim,Hispanic,36,Yes,80.91509295165287,D,D,C,-69.16529724246979,52.470146476904844,13.877964434921081,16.630752408062374,D,90.26878759640378,-26.8848270720676,B,B,C,A,64.95479448772903,0
Christian,Other,48,Yes,91.297160727113,C,C,C,-122.43063430385763,159.3196108075434,59.31066152714125,-90.37376904455084,D,109.07360752721058,54.21022880855705,A,E,E,D,-25.479736716703826,1
Other,White,46,Non-Veteran,58.86472405934432,E,E,C,-59.86500478164406,-68.7017083842731,30.139933652695106,-26.763299059187908,A,111.3684376586896,160.28540746523646,E,A,E,A,94.50999176952544,0
Other,African American,20,Non-Veteran,5.725485226100781,E,D,C,-54.609793717709124,-67.38580715358438,67.23773401127562,-54.125431065178674,C,123.8938072755987,59.00889884893902,E,C,B,A,74.58260890814033,1
None,Black,62,Non-Veteran,80.68960400880724,B,E,E,-36.919575543741104,111.26133101651176,25.819505495762364,124.26812042867708,C,-16.310760289980024,92.95290195982167,D,E,D,C,-25.92543149299792,0
Hindu,Hispanic,62,Non-Veteran,-113.45788933843033,E,A,C,39.55731297596009,102.600185785574,-73.5800058784241,-28.11337351148974,E,-16.554317068971525,3.991298990145674,D,A,D,C,43.61556222787731,0
Christian,Asian,78,Yes,110.85247124380173,C,D,C,71.89814457389217,-22.95807596190543,14.862214334089984,-136.41739052760215,B,-3.535340986626831,121.3959448995885,D,E,C,C,-105.51068735853507,0
Jewish,Hispanic,54,Veteran,163.13922461433242,C,E,A,-18.74329549813804,142.8524578370271,62.33953040358193,68.1528611244011,A,-64.04168761625824,-33.81066044779628,A,E,C,C,-37.242596493598796,0
None,White,42,Veteran,-100.55021583369997,B,B,B,-113.71436269734183,128.08053701762847,14.87442020549632,165.09124660866638,E,-95.30376215739646,-23.03946042645268,C,B,A,B,82.83995616099422,0
Other,Black,33,Non-Veteran,-88.94662141001847,C,E,A,67.90377059368411,-24.345945402814884,183.7212177007907,-55.68621113688601,D,-38.53428426478254,52.06055253018334,A,D,D,E,-97.1199981593695,0
Buddhist,Black,71,Non-Veteran,-81.35783886921574,A,E,C,-52.51822700628139,-40.77237307364393,-56.78542506137752,-89.57161667744515,A,19.684441717877117,13.823187004127915,E,E,B,D,44.712141101057796,0
Muslim,White,18,Veteran,39.41816241652558,B,D,D,27.645564229390434,163.38848579585323,201.2383151310309,277.6479770374811,B,181.44588943959448,154.73122387881793,A,A,D,E,12.966922483357163,1
Other,Other,21,Yes,-101.00712496277478,D,B,A,-159.66550212140064,223.67646035988162,98.56984396553737,-87.09860913674451,C,-82.74163115147353,-35.49584940391532,C,B,C,B,68.32867294233371,0
Hindu,Asian,75,Veteran,73.01216250436853,A,B,D,-100.95538063878733,-9.678740395497805,-44.348124661792816,21.230091997367563,D,-22.064082053122576,-2.1381264792780468,C,E,E,A,149.4548344984305,0
Buddhist,White,53,Non-Veteran,-154.835919267956,D,D,D,19.4230102347693,25.303319657229213,86.46741779142087,-50.19284181400474,E,-53.73899723338703,105.35224167398127,E,C,B,E,-93.06437110772711,1
Muslim,White,42,Non-Veteran,13.841489612841693,C,E,D,-83.31250013502307,-139.58247771715597,-20.720277253279644,-3.088183753748612,D,-181.54947752346746,-50.15300720897968,B,B,B,A,46.90233230900777,1
Jewish,Asian,54,Yes,-85.09196896647784,A,A,A,41.76940468540503,-41.28157852912342,-0.04966410873247396,16.90090041671403,B,-45.06518671118099,48.02758244942099,B,A,E,E,13.443314081397586,1
Hindu,Asian,63,No,-26.756893760207273,A,B,B,146.7754593384177,33.42238580677332,92.98965840913286,27.531135088958862,C,21.451048479815654,7.040075883056518,D,B,E,A,-47.62295305805679,0
Buddhist,Asian,31,Veteran,-32.277691106488746,D,B,C,-89.96485999504284,69.51182047909725,145.18361351668787,2.6594539984668386,D,41.47114787507944,3.069659589694742,C,D,D,A,-192.52557848692956,0
Christian,Hispanic,39,Yes,-45.75430097017484,C,E,E,83.84750366986493,-138.64671276821548,-8.705454326364432,-119.0668833517846,B,32.33831392089206,-70.06020998165816,D,A,D,A,11.90673525407782,0
Muslim,African American,67,Non-Veteran,177.8911391677566,E,D,E,-68.36335260709252,-61.62014480155846,2.5798191561997363,40.217409672970625,D,-2.302862563708811,61.702663078780276,C,D,E,A,8.724951121971355,1
Hindu,Other,26,Non-Veteran,-107.43419576657767,C,E,D,-24.58453207949694,151.75653734039747,68.16841698728786,108.57933234641214,C,59.92179438176811,-69.04690260528558,E,A,D,E,135.79898714747063,1
Buddhist,White,69,Veteran,-210.03669568143698,D,D,B,99.72990727190168,-183.4498061187871,-75.62689359249214,-35.5588218917934,B,-137.63718360659786,18.454480410299485,D,E,D,D,-39.59793916100291,1
Muslim,Black,28,No,14.276505277003807,A,C,D,18.691001347158405,108.3393809967717,-114.68970717811754,91.74843996764778,E,-14.518515600478949,-182.12479490916152,D,A,D,A,11.600303587684747,1
Christian,Black,23,Non-Veteran,-144.59200721377405,A,A,D,132.61718426871866,34.5514850599648,119.56169160226075,-10.829397896370068,A,-96.11914452754345,27.38660433558354,A,C,A,C,126.16048329371348,0
Jewish,African American,76,Non-Veteran,-231.12264545692605,C,E,C,-40.27616559774641,-33.27376851231175,34.237089757323396,72.76615553683857,B,-129.40984208908796,-145.6082663949739,B,E,A,B,-99.68185370964407,1
None,White,22,Veteran,-123.01213616076056,B,B,D,-17.042443791975657,108.74152059201158,91.05178842692129,75.23241909020138,A,48.0571577265872,-0.4615375116971032,D,A,D,D,3.1608087451449127,0
Christian,White,43,Veteran,-40.02681015437748,C,A,D,-143.81579495253064,-112.97582941563333,-33.53451879993571,14.132869365736186,C,-25.917781054880706,-131.62760344860928,A,B,A,B,21.692170963768074,0
Other,White,25,Non-Veteran,65.22201888175772,B,B,C,-242.33401449391573,136.23423963855905,-17.819160211089716,305.7294426609799,A,125.79281396746127,-73.5997810462737,A,C,A,D,-36.50804913065433,1
Muslim,White,25,Non-Veteran,115.80626037403712,D,C,E,64.7904374611787,15.013634852163474,154.94400530213008,122.73467414039794,C,-2.5332672081238337,-236.4680331182785,E,B,D,D,-13.839678389882263,1
Buddhist,White,50,Non-Veteran,-71.82222185351392,D,E,B,59.29778889513856,-26.604399960995583,39.55565017289236,23.231736719038203,E,-145.00230677805453,0.548506467271192,A,E,C,B,-58.141605062942226,0
Buddhist,Black,37,Veteran,32.48124753052204,C,C,B,-6.92545608768714,9.007881331028129,-236.91350525840386,16.91373191593265,B,-104.40550389073032,-103.01803653201715,E,B,E,E,-22.323988657893466,0
Muslim,Other,58,Veteran,-94.6271137555807,C,A,D,-54.23693539944403,-53.716982689689175,-64.72279318947079,53.26302363146082,E,-182.4853737372192,-8.51861755782919,A,E,D,A,6.80025856029331,0
None,Asian,79,Yes,-72.72320093573033,B,D,C,-54.26640943504476,-0.5074901107403565,122.38931817428104,132.5184707803923,D,-5.077143386004904,46.06787553045463,C,D,B,A,72.02147259181561,0
Hindu,White,43,No,-130.87405126399975,D,C,B,-22.153008595772807,-208.33124512022448,-35.946303010762826,34.91899433932632,B,12.81214184869064,36.06347899406012,B,C,D,B,-12.383095474221868,1
None,Asian,56,Veteran,50.921266642562166,C,D,A,108.24131560353419,-22.374901493443975,77.55034383182144,-315.31874206234926,D,-69.88797495358232,63.45107642610536,A,B,D,D,-102.05908932834215,1
Hindu,Asian,37,Yes,-29.825150843128128,C,E,A,-100.35563384170277,108.45818057916077,57.196298655240994,22.009986765208506,C,101.28063011873843,53.60006408123631,D,B,B,D,70.05308072460113,0
Muslim,White,64,Yes,-22.556469027835117,C,A,D,11.268992492566591,-34.64236655672449,-98.5951382316267,-188.2778775731361,D,23.47836169142763,-17.605856333065937,B,E,D,C,216.69666151221935,0
None,Hispanic,27,Veteran,-12.868673165711723,E,D,E,63.070025242243354,-109.9393195141769,-89.93322507612912,35.6931658930898,E,118.17335139043496,159.1069354469573,E,A,D,C,34.351719793053064,1
Buddhist,Asian,61,Yes,-3.718115264026736,B,B,A,36.97281391799012,107.95473545503731,155.57414995877977,-26.604355333268963,D,74.54482684938648,110.60244732171489,D,A,C,A,-3.006665475461309,0
Christian,White,34,Non-Veteran,60.964981948155206,E,C,D,-19.323060268092032,152.52347221429784,52.35512568462658,-53.42917779119223,E,-268.45441663944814,63.53125285101476,E,B,D,C,155.03298346944695,1
Hindu,White,43,No,38.89383302792643,C,B,B,-67.98078439494356,-128.9734277224468,-152.30178129720812,24.58175739157958,A,-112.78303970273326,124.4671551187033,C,B,B,C,-1.9273294697516623,0
None,Hispanic,47,Non-Veteran,73.5789460614585,D,C,B,-92.23294977190135,91.99740336570889,94.4105288122382,16.132921741679358,C,97.17011724095224,74.98443981640816,B,C,E,A,55.80387977063007,0
None,White,34,Veteran,99.58184915422336,D,E,A,-35.22551104578997,99.7479265984746,147.20354312015866,24.152365851724582,C,30.64042978834261,-90.1982077402218,B,E,B,D,133.2305791518738,0
Muslim,Black,57,Yes,117.75213057009441,B,B,C,75.19121507216869,44.01554846955199,35.12475702649156,7.954394640602974,D,71.16558948675112,-14.609002634226142,C,E,B,E,-49.43479954934571,0
Buddhist,White,72,Veteran,-30.310367075017417,D,E,C,19.96552955942935,-143.8396410694217,55.611262074336345,158.0190808738815,D,-93.38324512616826,-8.393322615109614,E,A,E,B,158.53571778149725,1
Muslim,Black,57,Yes,-109.41438027652815,D,B,D,44.00124688557903,-10.108024723883586,34.37711401815662,-103.48831140481664,C,4.406260956281786,-0.13225130584978892,C,B,B,C,131.1005315145059,1
Other,African American,20,Veteran,158.17356923776927,A,D,D,189.29912030566663,-36.81745755625553,21.039334590056257,-138.0245736209508,B,35.697328368460845,-51.73373291089636,E,A,D,D,-54.476529069194804,0
Hindu,Black,33,No,-108.9535374359815,D,E,B,-23.3922021486222,64.28456162540861,-5.004857343900966,-58.64933996795647,A,268.99745103989767,106.94576016844834,D,E,C,D,-64.3794541431935,1
Christian,Black,27,No,35.60130491946706,A,C,C,203.01511863204814,51.934103569379474,-153.2982538039545,-48.182885777587735,A,-133.56378402797918,-109.96519160202931,C,C,A,E,-26.61627871026132,1
None,White,58,Yes,-53.757787353806485,D,E,E,157.3923105451747,-9.518609015700177,28.24650663077119,-7.264973224470314,A,-40.839480392219116,175.97810911713447,E,A,D,E,94.09495217477757,1
Other,Black,32,Yes,-8.730679162625094,B,D,B,-0.9637001480168553,147.09278079303198,13.715473429698614,8.218007926858034,D,-116.71836820677267,-70.82042501577077,B,A,D,B,88.68608964997665,0
Muslim,Hispanic,59,Veteran,60.975920562104115,B,C,D,119.2608718112307,29.225508918917757,-11.03374810684236,-45.89229491601864,E,-43.272967179427916,-80.53420171799846,D,C,C,C,-119.98537731598542,1
Muslim,White,47,Yes,-87.75136322781125,A,B,B,-37.93459190154481,129.88849458026473,-26.90295085556185,-99.66783928367653,D,147.99129222908408,-9.02760761473634,C,C,C,B,104.7074434539898,1
Jewish,Black,46,Yes,-24.232741691961426,B,B,C,71.52539110791899,2.0241855090048717,121.42168274354003,180.3127688213675,E,81.64727344630134,-42.79880714888522,A,B,A,E,-50.07121240026585,0
None,White,20,Veteran,9.354444615376348,C,D,C,100.99546883707436,52.10044113999026,-134.03276296796423,-167.24349028156698,E,-98.22477536646788,-10.74949214447468,C,E,A,D,10.53134153114589,0
Buddhist,Other,28,Veteran,229.61831893224715,E,E,A,32.30879090759579,-116.06277716602347,165.9947604260202,-101.26557266449838,C,-102.41654158684781,-3.5486113514450115,D,C,C,D,-58.15834025668415,1
Other,Asian,37,Yes,124.34512666598259,D,A,A,53.419268065543065,-3.4213968868472984,19.42105405183221,33.001284909650444,C,148.716081647018,-1.5419397746123256,E,C,C,E,142.08516527791483,0
Jewish,Asian,44,No,54.764754561422166,A,E,E,-9.345115649952797,-129.16593492099585,114.94989968704576,-38.16768468011207,A,2.4073882567411418,56.206100674653406,C,E,A,A,-45.52012467494771,1
Hindu,Other,22,Veteran,45.891967418149704,B,B,A,-100.90352249179135,49.04696673858135,97.94561472046097,58.0623252738119,B,64.5217448654134,226.3383814419904,D,D,C,D,-59.612529997673434,1
Buddhist,Asian,50,No,-170.68886466446364,E,E,C,240.37550622138752,-13.613899624802759,-5.523752844806315,79.84557633306682,C,8.989515959918688,59.68310315340343,A,D,D,A,165.65597031388774,1
Buddhist,White,21,Yes,97.06262338307813,D,E,D,-134.61374775039,-123.65138475493171,-43.72370801869043,-3.9098992812629603,A,10.744532399164845,-24.459655681644488,D,E,D,A,-158.78290829898592,1
None,White,59,Non-Veteran,-96.13527733294244,E,C,A,-78.4164051596903,98.12842094659322,-16.25158788496602,7.954424761666513,A,-56.317315163472514,-122.52976888835936,C,B,A,E,33.12019202384217,0
Hindu,Other,66,Veteran,-104.43734918745405,A,B,D,44.66234972373997,-142.7913143956405,7.577751092747231,7.970228051607401,E,198.77381309199,38.805196533267264,C,C,C,A,-56.31154960100771,1
Christian,Asian,44,Yes,-37.438485107268384,B,C,B,-58.548028109653785,95.44575499587582,138.08544204772633,-164.28331673128173,A,163.5195211064999,62.83387093334789,E,B,C,E,-99.4670135608417,1
Jewish,White,27,No,-315.869751608419,E,D,E,87.97630042068367,-112.28565890462929,-42.94868328721391,-81.53619735951494,E,122.33136101749,45.84489288503904,B,D,C,B,43.12658924399993,1
Christian,African American,29,Yes,50.7330625156736,A,A,E,103.36848952317546,26.369217438313946,-21.06340718827251,-51.65055526531399,E,-10.822698621054903,-133.96129174035232,D,C,C,D,93.16164324556362,1
Muslim,Other,22,Yes,3.0999407395746656,B,A,C,-38.74656487362931,50.41629079240389,-7.008203454631448,187.39555217470408,A,-52.53025871077052,32.840549513173016,A,A,C,E,4.826732740579262,1
Jewish,African American,77,Yes,-180.23463756989074,A,D,B,50.794708903529376,12.216586557056724,-109.52366448455567,158.90503478744725,A,112.57887009186909,-73.73615847119753,D,A,D,D,88.7399989607035,0
Hindu,Other,58,Yes,-128.99459261761993,E,D,A,62.75785381652413,-44.14640637295842,-180.1265892867602,-144.517684473774,C,192.09539864254083,160.05695569738342,C,B,E,C,2.212965456062566,0
None,African American,68,Veteran,39.181025279413035,E,C,D,133.3900407695035,-32.46323299529319,64.90834386061991,65.38859591648306,C,-203.66009081360139,28.195239465684846,C,B,A,C,-38.564583171330675,0
None,Asian,25,Yes,-171.80486759658362,C,E,C,-101.96025397609286,149.06063772143224,-42.139629957243464,-120.30721136704273,C,-38.362647526111395,-9.757931465629104,A,D,E,C,-51.924923553050206,0
Jewish,Asian,72,Veteran,32.89535398626587,B,C,D,8.084952111337154,-89.08220114245506,-29.662287711434686,2.3091067687929128,D,35.03932582274142,6.23756382063101,A,C,C,B,-96.24080196488688,1
None,Other,27,No,-13.73169354250221,D,B,E,64.38832584155718,43.0280228810152,-63.301747866352784,-43.64953480103141,B,101.20205856932412,238.9377721685367,C,D,A,A,7.7484261568897335,0
None,African American,24,No,189.68437985725365,B,A,C,185.17462909564264,-116.2986164031818,28.181828931950736,74.95986699061737,E,-49.50204671027828,47.56594889984987,B,C,B,E,-85.14182815411449,0
Buddhist,Black,18,Veteran,88.98483832698292,E,C,E,158.80968127010087,-16.861797078094593,-235.1783059255081,14.936339022823763,C,19.155798113641843,-211.97554405622645,E,C,C,C,-128.47880930970544,1
Jewish,Asian,64,No,98.47649071059519,C,D,E,70.8474873025425,-7.923386694676844,18.86389697859929,59.62500136368316,E,292.8801753609411,51.70382857380764,A,C,B,C,-272.8682164656635,0
Buddhist,African American,47,Veteran,-87.46358536059543,D,E,E,-25.142747547031817,-4.102819463750516,122.41637693791725,-45.078986067074204,E,-42.24872202452807,145.36323206310053,B,D,E,E,-56.57917886345175,1
Muslim,Black,76,Non-Veteran,55.948114095659385,E,C,E,-19.77140251721714,102.98489805536502,-68.8634512747217,-20.19362419083713,B,91.2015138477385,18.398841897685756,A,D,E,D,199.5828490303479,0
Hindu,Hispanic,65,Non-Veteran,-52.83743964028326,E,D,C,-66.71707669747093,38.11267903327944,-175.64948371352466,10.966928495759678,D,-140.84378893620308,35.90854605332977,E,C,A,C,-1.3633462252404618,0
Christian,Other,45,Yes,-88.68232710832682,D,D,B,-63.20577116921326,-93.22755370663718,90.09428735624915,73.88121882424389,A,-65.97786192991427,48.75377902102374,B,E,B,C,174.6142189699988,0
None,Black,48,Veteran,-11.132868447512925,E,D,E,93.57681020811917,36.145917054700625,10.87851578818376,137.59753458991497,E,-58.63683477927515,41.67301273279186,D,E,E,E,-70.07596705829233,1
Other,White,37,Veteran,87.48291534895026,E,B,E,174.94385317214284,-51.064639424912926,-34.29779670206924,-203.96145374459905,E,-59.94920969326224,-63.135606340145266,A,B,E,C,-182.2142507819478,1
None,Asian,40,Non-Veteran,100.02461334155181,C,D,A,83.92363502514738,2.5457266617008214,26.292438342723763,-24.706481352447426,D,-56.60188539940854,55.90521970809914,B,B,E,E,-25.836598492738034,1
Other,Hispanic,27,Veteran,-27.180691792666874,A,E,E,-18.457803151775522,12.15682821421615,-4.4734706177466785,45.02690704443474,B,-7.18605225507418,-5.870759466426207,E,D,E,E,-51.701912887269295,0
Buddhist,Other,23,No,189.241376444254,E,A,C,-186.75363167281282,-21.62794591198676,7.32607893873079,-2.0054290772455605,B,82.8557006516454,-58.100954417223974,A,A,D,A,2.7461796840413184,1
Other,Black,53,No,-197.15113536380832,B,D,E,-31.25972187180146,-173.30091208874632,-104.81162402433048,92.8024590788375,D,-72.16820148193692,-165.92982458364756,A,C,D,C,41.68401480866979,1
Hindu,African American,25,No,99.04530517702437,A,A,D,-8.684346107201954,21.028573886869868,-76.8238659971554,38.310981479745735,D,-31.260632042274512,-8.937754303615462,D,B,A,E,-10.674347554609371,1
Jewish,White,37,Yes,-0.717351112717026,E,B,A,162.369377206671,70.08322524347376,110.97780240700195,113.38125665676999,D,126.63493079556503,-11.799733271736983,D,C,B,B,120.66272785184347,1
None,Asian,49,No,113.11928905618944,A,D,D,-104.75876042640505,108.6178860772985,23.578735647062533,88.29544648149997,E,13.088225727875344,-42.21133004921634,D,A,E,D,142.08056830552286,0
Other,Asian,63,Non-Veteran,21.502565835553884,C,A,C,85.90243627318831,-23.870892848403933,67.65531235598978,-44.29788419397054,C,-119.78336142349416,-237.02971192609695,E,E,A,A,-9.344807628413122,0
Muslim,Asian,19,Veteran,128.0345144023177,A,A,B,-36.051936927433765,29.316451584099546,2.1311771424314387,-27.327029087768583,C,-208.06091575260018,-96.11381573112692,C,E,C,E,83.79909031253692,0
Buddhist,African American,69,Veteran,-35.72437262092552,A,A,B,39.56834651261065,-93.36539643330445,-142.35252377018358,-108.30035852114467,E,-213.80933424793693,50.75197893510788,A,C,C,A,64.34913895775831,1
Muslim,Asian,48,Veteran,-28.78376671594462,B,E,D,34.873883866595236,39.330298877195304,84.14837949293693,-6.0064448704419995,D,-19.566496341765514,114.77918646247495,B,A,C,C,-15.02481936352567,1
Jewish,White,29,No,15.744350344472643,D,C,B,-86.06424635086287,173.58108243153706,-174.9086058822678,168.73043897483126,C,-152.73027257432128,35.14738540688252,C,C,B,A,-31.61549419096643,1
Muslim,Hispanic,64,Veteran,113.3783895025451,A,E,A,65.06838801789068,-120.19542494890165,-128.31432266413196,-22.600215511106896,D,-45.157575539622854,-178.10953488249154,A,B,C,C,30.788099619769554,1
Other,African American,28,No,-43.4099693036528,E,D,E,-120.05876137785474,101.81353272350736,-194.77151014391075,104.02589562901179,D,19.698018738350925,-17.281792859258054,A,C,B,C,129.51564549559117,0
Buddhist,Black,64,Yes,6.750319352268564,B,C,E,31.259412458381657,-10.506429740851605,114.00955139987687,308.46291438383554,A,88.84533844589535,27.49655780953728,C,B,D,C,42.65199209829658,0
Buddhist,Hispanic,63,Non-Veteran,99.76550593774336,B,E,D,-33.146012893562535,-15.097353670447141,143.24152096304857,29.72389622194897,B,-108.2486694388896,11.023657127564919,A,C,E,B,-144.77015782654118,0
Buddhist,Black,53,Veteran,139.41680055258615,E,A,A,142.16084553298046,-125.72903315913429,-65.44176984453233,-52.785913241540904,A,-151.9944238133096,-98.60092026887493,A,C,A,A,25.737633241077408,1
None,Other,76,No,41.92966290452555,A,A,B,33.670786731960625,-21.62331772283089,-97.46218998442232,163.80019183511837,E,76.59402194235055,53.42679481467627,D,D,E,A,-69.45696744879993,0
Buddhist,Black,21,No,59.994297541743755,C,E,E,-203.14000696162657,-29.307984782663244,-103.75796151944068,50.22658660053345,A,-36.85624565054121,-144.96525084868267,A,D,D,B,-7.111343140487282,0
Muslim,Asian,76,Non-Veteran,83.30603397222089,D,A,D,115.92932360454454,-141.48405357435485,-19.07126673221482,-59.22503794181073,C,171.88535133258546,28.55211098672642,B,D,C,B,-41.488060866713205,0
None,Asian,40,No,91.44404693169385,B,B,D,-18.588158595956365,74.78317899986769,84.65415563470106,-80.07151645200109,D,-159.9639989180942,-2.4825658023717128,E,E,C,C,-66.23220461722029,0
Jewish,White,19,No,-114.79259218630177,A,E,B,-41.01700388578827,-131.4677973380244,-160.72014873298264,-1.4396517321632933,B,-90.08790602363122,-223.13642734261566,C,E,D,E,54.30609574977261,0
Jewish,Other,63,No,-155.4928055685213,C,E,A,136.533005691224,73.97450757578476,-84.56274375858176,42.75095056316417,A,-132.4164962174319,-280.08805378859483,E,C,B,B,76.69351578320213,1
Jewish,Asian,36,Veteran,-87.48885293203634,A,E,C,-66.03935103664406,-103.48372014666634,143.377725516083,-97.73134149982803,D,-95.62843601667795,1.441664379524721,D,A,D,D,88.19948568317017,0
Muslim,Black,67,Veteran,11.760385399047802,A,C,C,31.057981313561665,-37.632610678473085,134.0277771039767,81.05973326812025,B,-99.287297022604,-24.398069299298843,A,D,C,D,54.97206939647109,1
Hindu,Asian,18,Non-Veteran,-125.34242688346382,D,C,B,-160.08518589041046,74.99974620473411,68.08711966989819,72.95151453951925,E,64.25864248139554,-17.682784794050786,D,E,E,A,-42.27223555622788,1
Jewish,Hispanic,21,Yes,45.2535864771357,B,C,D,202.26683197499918,6.255807491445281,66.1415959646712,-32.37250723566114,D,-60.47798818572541,-115.64703322465432,C,B,C,D,-1.0714119290365587,1
Christian,African American,76,Non-Veteran,-13.258343549323575,E,D,B,-215.78719971345933,-57.836458963287264,-2.3126571907665556,83.7279535765281,C,122.12061519129125,-90.25409500279355,E,E,A,E,-52.160888895182886,0
None,Hispanic,59,Veteran,-19.426204849567856,C,E,C,54.525665698449245,-75.80742921169526,-22.550347687616448,14.439068939337346,A,-87.67917332405075,-57.15746894121748,B,C,D,A,42.58369496161854,1
Jewish,White,25,Yes,154.6877812824879,B,A,A,-41.1617077031661,78.96048078358538,14.737966874691983,-43.314496540207784,C,40.28112292110635,-129.39949656115954,D,D,A,A,24.94959941727562,1
Christian,White,41,No,226.6368253387502,D,D,D,-4.125391654408617,-13.167184965275128,-126.39801253334258,-76.49253316893608,E,149.09233733016933,-38.42186897292521,D,D,A,B,-9.944807108384545,0
Hindu,Hispanic,78,Yes,15.872622892519948,D,E,E,201.68555222657974,-59.491820526964865,-36.84560598363785,-6.9087709005203095,E,-2.5484343030589263,132.56843355622533,A,D,D,B,-87.26617508944405,1
Christian,African American,54,Yes,15.32950203535752,B,C,D,34.72035643381117,2.3713176872965587,17.0103931684507,91.67901673660383,A,159.09475094211442,56.243826765839266,A,E,C,A,-198.31266625126494,1
Hindu,White,76,Yes,36.14134866086916,D,C,C,144.05647639755418,43.31229753929631,56.262833793496505,54.17912789481474,B,-120.49552752449596,106.067487516544,E,D,C,A,-155.06914537147046,1
Other,Other,43,No,133.39879206763078,E,C,B,-141.412099738492,-114.29259801252468,-18.27440151469552,-67.46439074423766,B,149.25661630145513,-144.80164721330118,B,D,E,E,5.8571721097927,0
Muslim,Other,40,Yes,131.9568079851941,E,D,B,56.6975408393255,-29.255664792745794,5.720267685340732,-135.1314620914814,C,-10.99498292666812,75.06115644802895,C,A,E,E,21.43094427325943,0
Hindu,Hispanic,49,Veteran,132.84312419977468,B,C,C,-68.09669478827303,32.423383520299524,10.496762458833887,-67.9101167368009,B,-53.285838821813805,157.20154216789018,A,C,A,C,21.19563856842937,0
Buddhist,Other,52,Yes,71.90141416920395,A,E,D,9.025077352541366,9.533315036661365,-24.135278905632752,61.1587476326529,D,93.59648608292615,-36.94800032766198,C,E,E,D,158.43289777978433,1
Muslim,Black,73,No,-79.40723425270677,D,D,D,-31.432619783085748,28.266727344067426,2.0079352414790854,88.22057393008502,C,-174.60274271124598,55.444848344013245,C,C,A,D,-18.86860588063363,1
None,Black,69,Veteran,145.60446666896735,A,A,B,-128.98114437306492,-46.35873248795761,131.44708448840302,-102.61899070408265,A,-40.523445772304285,-38.73441277572534,A,D,C,C,5.343519096562677,0
Other,African American,30,Non-Veteran,37.24785257705528,D,E,C,22.281021560264076,-208.98923879235585,-154.11841955150652,-94.87470797641441,B,0.22604427361271018,-125.92494981804958,B,E,B,D,74.17280153052192,1
Muslim,Other,69,Yes,-14.365181975408623,B,B,A,35.773357147462335,116.86057529577153,58.300576605442075,105.32688903646785,B,-37.79558838724629,178.9370446496771,C,E,E,D,3.8698120078575067,0
None,Other,37,Veteran,-78.01479719154821,B,A,B,55.62051660199343,-124.49377713163527,-117.5870333197561,134.5473477755518,B,239.99431806304452,233.51458056159137,C,A,B,C,51.32544079517009,1
None,Hispanic,46,No,-131.014817342897,C,C,A,-12.220721957775185,-13.416567977830562,-5.453679564739716,54.94349265275028,D,-55.48742973015614,31.221798535399508,B,B,E,A,89.39335602073821,0
Hindu,White,75,No,-98.12889766698487,C,C,E,103.00800763625521,-93.74814570682454,-25.27552718977255,-57.623020607899434,E,-96.73434406120064,-11.766514891230083,E,E,A,D,26.99571266193319,1
Christian,Other,76,Veteran,131.63986247223542,A,D,D,50.72727030272552,-34.8086645182944,31.506608726805396,48.36700697181105,E,6.0869565862728665,-12.334428734342913,B,B,B,D,126.7011162146154,0
None,Hispanic,71,Non-Veteran,26.85922918718501,E,D,C,151.76442046009313,106.0840974243463,-181.7605570967799,-227.4685681780114,D,34.538416052669376,90.51553810583799,A,D,D,E,59.96927090004787,1
Christian,Hispanic,20,Non-Veteran,115.39340580821975,E,C,A,135.50456592558538,-50.91628313167891,119.06166856712659,60.610577604352834,B,-173.821278202,78.6232535930275,A,E,E,D,-94.28058882958867,0
Buddhist,White,62,Non-Veteran,33.90783321766626,C,A,E,-4.062768707893513,112.62546093924779,-63.32936743312989,-113.56683974934596,E,66.91822963781843,-99.23490500253108,B,A,E,B,81.0172113836426,1
Buddhist,Other,76,Veteran,-114.25254584979672,E,D,E,6.725425408480919,-45.238889735077095,-75.41758525006509,-9.38265328980456,B,98.62225697036686,94.41572677678755,C,E,E,B,90.3068635341262,1
Hindu,Asian,58,No,178.30069101190588,B,B,B,-90.80831229153536,-53.645891667396086,-4.835808905231741,-84.1546459446929,A,48.174779799182524,47.521609930547,B,E,D,B,-48.42468232028224,1
Buddhist,Hispanic,51,No,72.45717488050954,B,E,B,18.3491053313859,-180.67968387562888,92.90078413222186,50.90728035207041,A,135.09636642972802,-182.7436032038066,B,D,D,B,76.03792671985387,0
Other,Black,52,Yes,34.846281632083276,D,A,E,6.383038793229683,-2.9055104954074573,35.0187215202328,-100.39360244299256,D,-72.73196985390737,159.5661398308747,A,E,D,E,-1.3574596833320887,0
