Gender,civil_status,faith,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Non-binary,Married,Other,E,-60.64005199933672,-47.542968465200005,D,70.5067289806558,64.70541949624754,151.20066483974185,E,-43.06197792640448,A,-137.52407933735043,131.88070463941287,E,D,-83.02122414646288,-31.536020527076207,17.606757613162564,0
M,Single,Jewish,D,126.73393562262842,-134.23981015106028,D,-97.3217408680291,-31.960890178268148,-186.36755187070747,A,-23.883991375279592,B,-86.29944517380223,-17.395500821004376,E,E,-25.749243616594097,-21.64311091118974,-30.753582076346675,0
Male,Single,Other,A,-63.04032014132797,104.47629971949155,A,115.40542701906806,-47.73911095993114,-31.680624625270703,A,-54.81479707692111,B,-224.54030450679915,-120.569257388553,B,D,-38.909541329889855,-10.304291108241996,81.44855718080979,1
Other,Single,Other,C,88.706818534554,-1.4249792491099964,C,-104.5300365623077,-21.30878380720335,-16.870523451768932,E,86.27342040905498,C,19.51376115037785,62.11949359405692,D,D,64.58734326553973,-6.62885768667381,38.18016729873073,0
Non-binary,Divorced,Buddhist,D,-14.941544547947261,-31.966525835597988,C,-35.18366438662983,-143.2788527255162,122.44144078610802,E,-11.244581219667868,E,-186.19333892300423,29.7296763630814,C,C,-39.02653650117584,-66.64249719771672,-39.848647030854764,1
F,Married,Buddhist,B,-64.32158389087004,60.3563990137146,C,-0.5306644483173677,7.040071481178279,208.01585214113155,B,-10.200887761980697,C,-53.96290516680755,-122.53825773625316,A,B,8.881887985170085,16.446832113268314,-51.12558111493304,1
M,Divorced,Christian,C,-100.75847886339042,-131.81907802540758,A,-147.23397420607512,85.80933224529612,-119.1959398076711,B,-41.51856948624509,E,46.00512169648147,293.11697506702995,A,A,-40.87845470912881,1.3138806565578252,-100.06031056825337,0
F,Divorced,None,C,38.05552942790703,-52.96943923459163,A,-102.03346288419004,-11.787305334004552,135.39675433599592,E,-51.12897844567167,C,10.836361694122095,104.90136592938761,A,E,-82.61515272080659,157.31567446213947,-23.76968599391763,0
Other,Married,Hindu,A,3.1574860040480157,135.25893303504043,C,96.36412399401759,3.6472815643065855,-59.84863658872963,B,28.520917658007583,E,-49.517974360997016,-96.23430642551436,A,E,-214.04999169800445,111.15416790992131,194.55906687213982,1
F,Married,None,A,119.89331790012197,-68.71908352492856,B,64.38332078264168,-134.08665826757783,-132.58539013714145,E,4.944160178370203,B,-129.70259162799434,-80.26311477965477,D,B,-43.963981242405154,88.5136904725173,-144.99781293464687,1
Non-binary,Married,Christian,D,-6.386784618874727,20.24572583410362,D,94.12600738356187,126.48475863634631,-53.324179409506456,E,30.8989325384364,A,-101.06770733035519,-173.57667504938252,E,C,-133.73942733570564,189.071220737752,11.362893695898745,0
Female,Married,Other,D,70.024154341051,95.04776834245928,D,201.1648454085599,64.10415790889718,8.533470144464287,A,-134.08960689280156,B,-128.35528137568804,-85.10533899056438,B,A,70.91300601274165,49.966028925082526,-72.89922436187061,1
Other,Divorced,Other,B,-0.3685337939881843,-10.34989916619804,D,-128.99938066517123,53.93207924294302,30.53820662361806,A,8.086834086328516,C,106.69823113107415,-9.090143936640361,D,A,79.42373857657759,-12.823637535558122,-184.98103786795517,0
Non-binary,Divorced,Hindu,E,16.93162449666395,204.8468439288881,E,-30.566082593599987,26.26247122366984,-40.506373415652156,B,-24.216678942792925,D,-29.610993977686224,-101.01838267615739,C,D,28.034365234423387,-34.60560594247003,92.68353805293123,1
F,Married,None,B,100.34249981429615,-20.637231049664994,B,-104.60319957357247,-113.91911418497436,58.910341141034415,E,-77.08587717543881,C,22.08800632786106,-51.593769319151065,B,C,98.91753770876223,-8.284569287112276,133.1612638911798,1
Other,Divorced,Other,B,148.79450154700083,-9.710284556676015,B,38.578745010544665,-231.04348851704205,53.35742908828104,C,101.49043630750437,E,-104.60447969139177,263.08689635257133,D,D,-193.04072357459512,84.38178209849573,11.720660856143345,1
Other,Married,None,A,79.35108580698625,16.3370311455484,E,81.00369050136203,-162.91557135990377,-88.77774620212507,E,59.665372729389574,C,129.65298613604247,-35.316043566253725,E,C,-203.09292917310927,227.97307446191692,91.6246053325078,1
Non-binary,Married,Muslim,D,158.39965160841368,44.161438661589855,B,-101.26273930634275,-57.43595314917521,-134.7217438845357,D,-19.813881862676165,A,34.740979189273915,42.181554171264004,D,C,-14.158350197229163,-26.49804379953178,94.71186740929858,0
Female,Divorced,Muslim,E,-142.96219013197683,-15.120118747336381,E,-8.251062911626219,106.2435368904237,-111.80037659968538,C,56.489456179733935,A,-96.81741017738084,17.193547701500986,E,D,23.68668087690465,-131.18797566688323,72.25106228351052,0
F,Married,Buddhist,B,208.0885315655426,-25.76526198160855,B,-7.7978057023765,102.29060952335296,-53.257445611551034,B,6.92508722114452,E,138.76485674514154,-57.561386287694894,A,B,-66.76075794346158,-28.949159413342016,64.2630595839,0
F,Widowed,Christian,A,-128.06245287617654,161.2044097604465,B,0.227033417434146,-77.40581711536296,-180.95236876096288,C,-12.263391643755213,B,111.01576555699188,-328.4525570042756,E,E,131.92637028969773,57.81896297202835,89.74127022947897,1
F,Married,Buddhist,E,74.9246163942553,-121.77308635567647,E,126.24420958287601,113.3341504191967,265.30066924754345,E,2.8215693782735234,B,3.8482937313842287,14.84489327915959,A,D,108.21556525185659,-184.26492127160375,-6.198955897646955,0
F,Divorced,Muslim,E,23.408907603983597,-50.74952392398332,E,224.49683417417958,-187.8216105641383,-14.239736827405396,D,87.71196741969473,A,106.14908347996123,-80.77240651288537,A,C,77.88973221675504,-96.430669305152,35.108977763319466,1
F,Widowed,Buddhist,D,-16.6046187816507,94.19208336406047,A,-35.01031542785695,-107.09013577927166,54.41170100662224,D,162.445499684613,D,51.498567119509,102.05776013613988,D,B,212.77757805365337,-96.75735404931068,36.686869518203196,1
M,Married,Muslim,D,-9.355986690567605,-21.35556692817878,C,0.028976044386601427,195.7549689326439,60.51708878090619,D,-131.25568717754334,D,-19.15267445689916,36.73444957138553,C,D,134.8488711227099,122.02204923985968,-61.0721437262351,0
Female,Divorced,Muslim,E,-20.90432271713541,-64.71513106733536,E,84.64054092692028,-110.87175630403404,69.7157278548181,C,-219.5467542088671,A,129.71851555948626,-115.65736608292059,A,C,90.24914046755993,-122.6879721387818,69.18953165775964,0
F,Single,Muslim,B,-86.71913537309437,-21.633275788162106,A,103.10724895366825,279.0499814379736,87.03379494657631,E,-137.96193291652807,E,23.782306787592297,100.76649799414487,E,E,-33.72450279283787,-105.54771958221009,46.88728197668504,1
Non-binary,Single,Christian,D,-36.33837803352268,87.7700455394293,A,64.0146017380187,-143.5805546601981,3.4556696320446245,D,134.53018130820033,D,70.0175843420722,103.06837371916512,A,D,73.51293849003079,-17.654359458392705,100.04063617611807,0
F,Widowed,Muslim,D,-77.94755022914116,55.89004895498508,B,30.207569756027137,-36.46182595092414,118.23456318109355,B,107.71349830542785,D,-161.42929791477948,-77.90422943134536,D,D,101.36116899421883,72.26436992046628,-15.444254802859803,1
F,Widowed,Muslim,E,-180.5848889199968,78.68442724927802,A,9.940939672384618,201.54006584716933,-135.70106078503034,C,-22.725915288345394,A,21.666230973080733,57.139332343855074,B,E,-7.811317215135399,-223.6600374998374,-13.717596488613882,1
Other,Widowed,Other,B,83.31948469234504,-62.455453223437395,E,-160.74849811859266,-54.8514090884914,23.944478820193012,D,-19.493983954292084,C,149.08052855752666,68.22377835293004,A,D,127.20100942744746,68.86791676676376,-73.18777434722692,1
Female,Married,Buddhist,A,-87.85802442234657,163.69578964300203,A,-34.6271167154557,19.42099824509124,-125.26644999410996,C,-4.796173501024958,D,-11.385903199952562,-180.6595795715119,E,E,-41.72294308880311,-148.1128779554881,-49.167366935501256,1
Male,Widowed,None,A,-142.86974221936885,33.12529292623574,C,-46.18297577724805,53.235488191304825,-62.3989561099908,A,-76.51344833702768,D,-44.69394604955282,-10.044005019219366,B,C,-13.541130271948177,223.46678706600858,-123.51953354970364,0
Male,Married,Hindu,E,-140.76416166750292,-95.3577743953026,E,111.25790349521627,-12.343105207552876,60.14804213210928,D,-1.9179219558980287,D,-0.06946367118499759,98.62129151882067,A,A,-24.354751672240162,94.13920463351457,-73.2171856716222,1
Male,Single,Hindu,D,-74.6286905950108,27.19361200107343,D,-46.65771170281691,7.125847283437768,21.522777642473343,B,103.61393053325526,A,-261.53873479420423,4.666638792052273,C,A,81.60256564696357,-80.44565762327069,-139.7634894850217,1
Other,Divorced,Other,B,-55.76899043147559,-25.073268579813124,C,-14.016236150547615,116.45139031322249,-41.88335667826449,E,121.8051825143203,E,-48.86718653735003,-108.8885329533978,E,B,-89.292961779616,-137.38726093037386,23.770430483270975,0
Other,Married,Other,B,206.79963601835206,-32.5013569198717,E,51.72604851622956,10.729142012614117,77.76975641113287,B,121.64692501852059,B,10.30579739363143,62.45237498034052,E,A,194.10219905685005,-41.24402754444319,-141.5702279868534,0
M,Single,Hindu,B,17.832203747156278,-147.89379626162628,C,22.10017482360178,-65.64150050164083,-137.54595313533778,D,14.953459405460645,C,94.4109963630677,121.81723040559118,E,E,-52.69323528889963,54.36857870509423,170.03134108406323,1
M,Widowed,Jewish,D,-38.477156988314164,-170.65868197461182,C,-71.91036401123952,64.18284181436593,48.71955656170208,D,95.54088798623901,E,-2.2924223476604912,185.71125213315176,E,A,-70.97300158449345,-69.88708096470731,43.469728414254746,1
F,Single,Buddhist,A,73.16583583958334,-124.12092790214513,A,-10.107972064370536,-27.963547308971265,110.55863634010137,D,201.5590209623909,D,36.07964405808467,-12.286470046652855,B,A,-126.33871602591287,167.879653711261,86.88751283775981,1
Other,Widowed,Other,C,-11.941981850716504,-65.30210086470706,D,91.37597257203268,-248.2896115209121,-96.21522016547675,E,17.885482933464978,A,4.854685960281216,-56.19275306029662,B,B,64.206761492531,41.49434032770848,60.99797344102588,1
Other,Widowed,None,A,223.12955172377,-65.88605046164643,E,-63.70542393001405,184.26455203030417,-186.06508257320095,A,54.844606441984524,C,-55.596612243298146,53.291486432090494,B,A,33.31989828359084,-187.65598752261295,-43.44700761007979,1
Non-binary,Married,Hindu,B,14.739369378386305,44.64566064425953,E,165.30715532463805,63.967727800288955,-36.66398414691542,E,2.8281203381322357,C,-26.733009037164724,-135.28729422074045,C,E,-252.60402644700233,73.44450648911088,65.75143451855756,0
Non-binary,Single,Other,A,46.49255759252999,23.553541841524837,C,3.857233358997334,-74.5129284334032,45.66655651793414,A,23.069563066931224,C,114.54474009242395,33.28243819794705,A,A,68.30966362350817,25.775996672541535,104.22304743854238,1
M,Single,Muslim,B,118.83609927733323,1.7338530218546737,B,-58.006706254467666,-28.983203874855732,-30.29624777450886,C,82.67400580411429,A,-287.3499617518804,-20.863227583478558,A,B,235.64235440314602,72.3238498273343,-89.83389880229531,0
Other,Single,Muslim,E,55.948666098819025,39.1411442554565,C,21.331512140462248,44.67680663044679,122.35647033337378,D,-107.1842449017796,C,-99.51010236803181,-20.082084080428096,C,E,-65.38657680163656,135.84116192335102,-160.97950926508088,0
Other,Single,Buddhist,B,53.898713812104134,-53.01690966535336,B,85.80619704105689,-60.70666348299294,64.2763854024227,E,-17.48576942079859,D,-36.38501863105951,-47.7437343696446,B,D,-1.6826569932841757,-52.59002484164325,249.58567422374185,0
Other,Divorced,Hindu,D,-12.389884199470888,-87.60747389529429,B,-51.04973217715373,7.088464920784002,22.02220475755172,C,-33.98350795469686,C,74.0713368926152,181.1290978605623,D,E,2.6544441046476495,72.91036891715717,-71.28197370397928,1
M,Single,Other,C,63.59451955828616,198.62657297874432,D,56.49110282687337,-9.147860220973811,14.125108519922597,E,-25.74409459312425,B,108.72759512578862,-45.73131408828567,D,A,-96.88379165519392,-170.85048164008947,183.86704326745226,0
Male,Married,Hindu,A,49.92462955746832,79.44124433508402,B,30.382780463699405,-204.74405890475302,75.69428577491615,A,41.078430699887235,A,4.735452583342595,-52.071793620231354,E,C,-106.18697129847472,129.85997872630392,-34.721843035098345,1
F,Divorced,Hindu,D,-26.71516188035793,-105.86004700703786,E,-24.752720278180217,98.52197269965247,-114.0569073833706,E,-15.731881117926624,B,-74.77869036859751,-193.1069166662131,E,A,-150.94246647226944,34.40947692898553,55.82224823517387,0
Female,Married,Hindu,B,-39.66382970588755,-77.87563947380637,D,-17.111647338607987,-35.14462795629714,-192.58759189532532,E,-12.783966868601595,D,127.44746114309864,90.82465921743571,C,A,96.94497546949398,83.48337303052183,-114.91605774615749,0
Other,Married,Christian,E,-154.21220297114905,16.14788247451008,D,118.18702432430865,-107.37246515624523,149.7080363617253,D,-4.180311282500531,C,-210.2452539615447,135.75586556340156,C,A,-38.40828164409803,-225.70412801355303,-44.646429894531046,1
Non-binary,Widowed,Hindu,E,173.79307610720193,62.18861120536402,B,-22.031140712691847,-63.57392194387826,16.533321152604444,A,118.44485204033141,A,1.7615968375540958,-114.51329913649766,A,E,101.9321173138058,-138.8012896939196,11.027498506258317,0
Other,Divorced,Buddhist,B,-67.36815356400082,17.13461818473185,C,-59.71266126821324,25.983722203015525,162.597925564921,C,-85.34935260384309,A,18.402881894500776,22.726419956218287,B,B,-138.3271643176295,25.69797318710726,20.59948861878738,1
F,Divorced,Other,E,68.43329221886219,-59.60678211830148,D,-66.36123724605262,-45.564028801368636,34.118876629466335,C,-42.689812376723296,C,-22.40575435100805,184.31371394272972,D,A,20.54172875746359,43.573049584742826,42.991573280603205,1
Non-binary,Widowed,Muslim,B,49.86175104574049,41.0393116727438,E,12.448863481326958,22.553527451337345,68.1633316730093,E,89.07986308317872,D,-54.61315191268014,-242.6086604772987,C,E,-13.884013433747485,-14.08834972284736,49.10349471331984,1
F,Single,Christian,D,97.43368305413202,-156.30836644733188,B,-175.87013728077082,310.07721928275487,-24.32373893274625,E,66.70243303992494,B,66.34856063037414,100.78666768586315,D,E,-196.26322731661577,-51.86907838820572,187.51155580702402,1
M,Single,Other,A,-1.5720639233191207,-8.268020038127995,B,-68.62325010456479,-130.61905365998243,31.009826942207123,A,-27.352812557179213,B,13.304589746411386,36.37614768223408,A,A,202.1546463523582,-55.87232952751155,-36.83986797695172,0
M,Single,Buddhist,C,-45.86240831212699,74.05316532746626,E,-92.53068965558461,184.45511661240775,-4.094143867849235,B,-120.00057115469835,A,-141.59389686807808,-92.56608558751833,C,A,-8.952987245699934,16.469639496400713,82.87193021447382,1
M,Widowed,Other,B,5.493366896799569,-6.03505101806725,D,92.03792982244579,58.62745839057798,41.700537728676586,D,104.30579628430374,C,127.50363448633297,-31.168852474867165,A,B,63.47409262271493,96.48990308278047,-17.680184944109772,1
F,Single,Hindu,E,24.22137444246387,-81.6560824935535,A,70.30264256056911,-24.969419735646305,6.008045417935646,D,-83.30595514560186,B,-109.83983496552585,18.527931979567576,D,E,-136.00509186189348,13.594966257527316,-69.32273262261033,1
Male,Married,Hindu,B,-167.5040643210095,-22.556525609522314,C,98.58428805113836,-43.43466485221792,-90.46651417060154,D,20.49600210599468,E,17.6097560177409,-73.79481127640088,C,A,-21.41785700991595,-84.65179075011623,-3.9289193575757304,1
Other,Married,Other,B,21.831455991711646,-184.96662847179266,B,-79.49327638712074,129.54170349931442,-32.49552138911675,E,90.90132697567844,E,-54.42866656378864,97.09848380260877,D,B,129.68345723260956,134.66045211877952,-44.145380855829764,1
Male,Divorced,None,C,42.62156621641592,85.72747929941966,B,88.13681796370476,54.402354918334886,-4.768676406627997,D,-80.97311536389468,A,65.59848826429841,-59.19039634981621,C,C,28.817742931768723,-95.72920404705498,47.158315617553434,0
Other,Widowed,Other,B,28.246273551586327,142.28665370838192,B,-82.30703167134608,63.75891168474686,-100.20692240963358,A,-193.99426916481778,A,-96.23332807292256,-14.675520947722486,B,A,-146.6405220567871,72.24219678020965,140.4781038509021,0
Male,Widowed,Other,A,-35.97053587687697,65.68291337540683,A,159.75102824432884,-196.1403680775791,127.43719088899077,C,84.58577881515063,B,76.00007073128647,-22.96850280414103,B,D,-111.68909891134528,-72.6574951374652,-150.23848462578584,0
Other,Married,None,B,-84.97030044912248,-126.39711815056617,B,-96.75372184915896,38.398140849794096,-9.477223761013848,A,167.77720424303268,B,-72.76810074707882,-107.3983378184067,B,B,25.34510429954942,1.0199788614600804,33.937600268264404,0
F,Widowed,Muslim,D,163.64029256878143,-188.19513676549553,B,-64.95093086100971,-20.92349854837905,-110.76146360045176,E,-38.48244952062546,D,119.46792036099563,24.458293805214048,B,A,-44.7406294430151,-171.70656309134657,51.3632925742289,1
Male,Divorced,Jewish,A,-140.9943679319357,-183.30522642282432,B,-212.9998598097743,-14.511765484678449,123.38082054205877,B,-37.34581742437072,C,-26.100135395418135,22.581964005077385,B,E,-30.704030417103347,53.3843254618113,-80.70848223675362,1
Non-binary,Married,Muslim,B,-36.480234419858775,-173.5744108347676,B,65.87124476921635,16.19965433811558,184.7849945583243,B,-76.49952354840369,C,37.81122420440134,-174.0989912162786,C,D,-52.661897251366554,-47.81347751900929,51.87354912573959,1
Male,Single,Hindu,C,-11.318168349100802,155.82595680165602,B,33.307546245475194,-35.84111978546319,-54.73466807539017,D,222.84848634726663,A,-184.59622736396432,63.301449141548716,B,A,-185.88655392376359,26.67517089994752,-2.6871607600604652,0
Other,Widowed,None,D,43.572181719102694,2.4858454019136103,A,17.654837510526107,-4.184453766953644,147.85861800840786,B,-44.74786418666371,C,44.931840198985036,81.6050175434327,E,C,-24.327842623609545,-96.82885269109184,-88.26351208431468,1
F,Widowed,Muslim,D,36.32428205913586,-75.84787918449348,A,20.21134303117354,-18.311832909341565,69.04844177779036,C,14.73302577322842,A,-79.73325443765391,-58.207352759689876,A,E,177.37212622554455,77.85427138572634,-73.08033327068529,0
Female,Single,None,C,53.40276973165473,92.25840043779499,B,-107.95508227443973,-151.79702830058156,-103.7347623037299,B,-14.734297627200124,A,-31.533520930008653,25.57288779145325,D,B,166.9866504162241,213.72474317121436,-99.62085949684754,1
Other,Single,Muslim,B,128.73907268878406,72.96535799258102,C,16.015828481420975,-19.97818957596777,-29.665220113300233,A,-99.56720779038666,A,54.51048891574343,84.98631181363014,B,A,30.468556655032774,47.4063659475751,262.6281364106161,0
F,Widowed,Buddhist,A,176.35594490292522,-40.5131324087971,A,66.65377037650228,-55.93514451621883,40.3151864229232,A,279.5960707639422,A,-81.9552077277804,-88.52805397358344,C,A,114.13229950602259,83.98419423777551,35.826967639183025,1
M,Divorced,Christian,D,-40.16405067073192,-48.46663038795817,B,-110.36786335403932,142.8686534525184,-109.88328926694444,A,35.30554844576043,A,19.446412033328546,-132.18080967284718,D,A,-71.0977183147493,-302.65301209642456,-156.32908124426953,0
Non-binary,Divorced,Muslim,E,-19.0349915991623,-26.03859214647814,B,43.04913022494385,90.15476771530815,-19.90135841830415,D,-66.49214377621956,A,-60.96760505798794,-53.20796849020459,D,C,93.54803106418251,15.43615856033695,83.4998532449154,0
Other,Divorced,Christian,D,-78.76765789588283,-38.31334338073463,D,49.61593178597439,-70.53131170257736,-130.97414374814488,D,54.05074094607091,C,81.0996507690968,-77.30876641434956,A,A,164.62755863673328,-116.90462136556408,121.2781779167342,0
Female,Single,Hindu,C,-36.08071405525319,37.693169714664165,E,230.52911841529138,-64.41677922214673,-44.76453007243447,C,56.43172668483369,D,78.70685221575604,85.54806723760493,B,B,152.62526086509786,-39.84243072640575,-99.57045897749599,0
F,Married,Muslim,D,107.417401398369,-34.32011147257779,E,-40.28650876207027,-16.660148643618754,-57.06819459667726,E,15.15426675249342,E,-99.73753469026602,64.61325683134224,E,C,53.16835734267631,-10.686514819544742,-65.44317446960574,1
Non-binary,Divorced,Christian,D,5.1241360001149685,-108.72591366365,E,1.255098545195157,66.42506195218525,81.2022538832814,E,84.81853929829018,D,-158.81676244176123,104.16812655318431,A,A,16.802487329264544,13.019777032706555,48.108375848897,0
Female,Married,Christian,A,-88.64924784706673,-30.211891510155397,E,230.6926568885359,-7.86041261147057,213.94048244199945,E,67.34415936475689,D,54.5485947917115,16.08883029032628,B,D,114.0482697164427,-120.8621710065946,113.2780625126833,0
M,Widowed,None,B,-84.96475874883373,36.78471249947675,D,-90.7561653314732,-133.33939489949196,222.02867589788124,D,-208.31779779731465,A,-166.8594839595453,-119.91372116536422,C,C,-116.50797582292857,-9.774849583774289,-49.67163709825926,0
F,Married,Buddhist,E,66.5837290444945,-66.89298409686025,E,79.5089545751616,-122.82563270434824,-138.83332646540205,D,-81.23290196164452,C,-7.581172473236397,-31.79443214867822,E,E,-6.526230566760089,62.92151201520352,96.28345213832293,1
Other,Divorced,Hindu,B,-76.46995453896456,16.25407132785149,E,11.450918647562036,244.28852169409006,33.80252460581893,D,63.582974543568874,D,38.04920426667879,109.13187359720209,D,A,-29.135987193830008,-107.88160889721298,-57.675387184127736,0
Female,Married,Hindu,B,-19.39818175897663,-25.696671593671255,B,76.62673056507653,-77.36234379120417,174.67444967266513,D,36.396402540101555,E,43.63116572247471,146.75193155664314,A,B,-22.951076061687857,-0.5584396216549236,-33.91907239738457,0
Female,Widowed,Muslim,A,101.1916602381058,-18.147821655121362,D,-31.635106383052157,13.61589157039361,-194.29273973194861,E,-191.11699191461352,A,-44.447106614594816,-25.243032040001218,E,D,-101.8084602571975,-10.88321202575577,-132.10879656832043,1
Male,Divorced,Christian,C,157.27279402009572,29.631068233866444,D,80.36204218095293,30.970610752220324,-23.84054002927246,C,145.14515559069235,A,185.7779927300445,225.19389117597584,B,B,119.45795099986579,-83.11341768086082,86.07936944586602,0
M,Divorced,Muslim,A,162.85660210489596,-103.52065917228188,E,62.55463337269109,41.03384422038127,-94.87962609624944,E,148.98581827865848,D,267.7888582381976,33.662589950355844,D,D,-44.742576914943314,-22.0146547625604,-89.7182928875931,1
Male,Widowed,Buddhist,B,2.775026454466705,-73.09062686741207,B,36.90962936092562,-93.84110463753834,36.53315150879582,E,-41.858307185122776,A,68.7278607368097,-88.8398429889895,D,E,-126.6915463403984,129.32597124441781,43.42311613629356,1
Non-binary,Divorced,Other,E,113.78875870871023,-275.2724316191846,D,50.77345367765162,-77.20157732170868,93.08454674051066,E,54.99154793230486,A,-159.19350981823598,-37.38814633921693,E,E,-148.68836300693357,80.32843381062646,-45.994511663760754,1
M,Married,Buddhist,E,11.553209637879798,79.15572279937959,D,-31.872258077538035,27.98470696258769,-8.839174545178993,A,120.85882278694034,E,49.31188378524955,-19.672665134233835,D,D,-38.52304734973183,-52.68260273711789,79.73257138643373,1
Female,Married,Other,B,112.0054625944403,-110.53426524273658,D,-106.69082569694336,140.20612987819132,72.3902640179042,D,-12.027392027451505,D,-17.91089421874719,134.22298192640574,C,C,-155.8015019901453,189.8810810669444,-200.76355440481674,1
Female,Widowed,Jewish,B,-166.29833230548456,18.849422695068828,C,202.06003886884994,-81.78507385558557,19.714689520211166,D,25.56318475757513,A,184.9719068929094,-70.99605538811598,A,B,-180.35912834377498,58.27189418102989,-80.64166655920813,1
M,Divorced,Hindu,A,-103.79645695663476,147.73742144837226,E,-222.20376738355986,-126.73149706574016,28.868833459768204,E,42.98743956949149,A,140.48480859220257,-28.02141638416576,D,C,-86.55449562143228,21.58974023301628,-64.39149621193167,1
F,Single,Hindu,B,-58.9377617485079,95.338998666098,A,-262.3125284229117,87.19683419238206,-240.3344522307787,B,10.558650210564924,B,-119.90352359489933,159.19698962933225,E,E,23.07085561901206,-26.90389675600919,51.4765818195222,1
M,Widowed,None,E,87.17008550167974,52.623634359832394,C,12.489248909797757,-48.203264896859736,-121.79205989105266,C,-5.0705454392653095,C,-19.724361375071712,-115.05902547216434,D,E,-73.65867239512133,-132.1880181518085,20.892445094494047,1
Male,Married,Christian,D,-105.40330760325438,-67.6956085414978,B,-117.75364680956197,108.464761918149,92.97068549416593,B,-136.39015586938905,E,-195.02042132497297,-12.441193546546007,C,A,-4.138272056263571,12.178671827772408,-47.43962016133888,0
F,Married,Buddhist,E,57.646576624069986,-54.56294192082808,A,97.39720330825557,35.44585391647619,140.5496592800801,C,-214.449488113186,E,79.58893526064493,-109.85179900216673,B,A,188.26673147412748,-55.607724817817626,-24.323710381328862,0
Non-binary,Divorced,Jewish,E,28.35501986024207,67.08658085793246,A,180.0136935635009,-3.727343279318027,6.900956554351853,B,-60.29434809437409,C,121.84289356408425,43.53850736549399,D,B,-5.948990925293875,28.72440278923505,-108.24293675353044,1
Female,Married,None,B,-48.35151587935944,-4.805245079046401,A,-61.175735651871996,-127.29840393416228,79.1989277485541,D,-130.52315875567712,A,91.0162263477928,-3.415108886118571,D,E,-105.21035323417607,139.41688384467895,-48.51549796709044,1
Female,Single,Christian,E,-84.41425980933809,-4.080084143914798,B,26.921005173985,22.291266933781284,-75.67046072322402,C,46.25487133305804,A,-189.94320754488493,106.09747522110781,C,D,64.6889457226843,-52.554264394112906,148.60489191606115,0
Other,Widowed,Christian,B,49.894660412823114,63.87689675989085,C,-231.9192896957901,-6.952199648282467,-181.02808877598278,E,75.20795591651111,E,-119.25659477789836,-113.29488327854816,D,B,109.39183036690194,17.08879023102428,68.70827168537879,0
Male,Married,Christian,C,-54.89337899584741,28.004613317107314,C,-88.28534423095458,52.855839026878094,-75.45279030845829,E,-64.58140090048042,C,-93.38519122395168,175.0640615331042,B,D,-69.89464053616712,-43.46108052106025,-32.70148188547671,1
M,Divorced,Christian,E,85.93345492282796,136.82056414397803,D,32.89111677409517,-169.979754748988,-41.77383532614168,C,-70.56525850974637,D,64.21399565960785,-30.627921932319452,C,A,50.76814160244788,4.5765552323279675,-122.20913451026712,0
Female,Widowed,Christian,E,-129.96691177133084,-102.23661609188832,B,121.4947458031703,32.310579456287286,9.294732590220775,E,-75.94530372736186,C,114.42971079740396,62.025888687372934,B,E,70.36622422535754,88.63770205776433,43.41375455048997,1
Female,Divorced,Hindu,D,-50.23452873253179,20.7357859867414,C,94.7280598228917,-95.55881288391913,40.39262714400792,A,31.508012761117744,A,-99.83577141904625,-60.57458825773454,A,C,20.28028786616521,-169.03810068976736,59.76409379048747,1
M,Widowed,Hindu,B,-19.665864050866226,111.84659522269367,E,139.53354295956626,-192.4934567952271,-4.495066109233253,C,14.066937374713998,A,20.471620085076463,35.08163011813862,A,B,-63.8950134903785,49.53864080828615,-22.57978471103457,0
M,Divorced,None,D,-54.78468263870241,-29.931818856414377,C,-154.4695497029966,126.0225363320182,-43.42382910154864,C,36.20250540359161,C,3.889546674933033,100.62999645478374,C,B,14.432622290854294,-142.35550705298837,-166.64365673640154,1
Male,Widowed,Buddhist,C,126.33932122521733,-22.74468527091134,B,-109.77956392987802,-137.33602197769022,38.59902848738639,C,90.37271373263812,A,-113.37322124642203,87.70057813741063,A,D,-4.029810056889246,-34.595263376581656,66.75134374065009,1
Female,Married,Christian,A,22.72857133496448,168.75474843246923,E,-2.550282717554549,7.391013422590162,-33.962163346463065,C,17.447991022904727,A,119.5728165574295,20.421282155072046,D,C,-7.630017305007811,214.6223202079097,62.1301249200187,0
Other,Widowed,Buddhist,E,58.455786796311706,36.26293849176138,B,-124.81440868631559,27.2382373004847,-91.32450443247409,A,-162.43990564772284,B,-6.327451633843239,31.012089128369187,C,B,155.51652585841381,98.04413068144204,41.38191507499719,0
Male,Single,Hindu,D,-105.66049206999276,-19.92623066947012,B,24.395910396300973,12.330735404270888,232.16747850794079,A,-12.05090360765987,D,15.826319158301494,69.74229954341213,D,A,82.15288984146586,-45.45535626686302,-68.78820774494076,0
Other,Divorced,Jewish,E,134.79109977091736,98.2249327344432,B,1.956038962431107,-42.42399824150137,-48.861540014634684,A,40.830667338187844,A,84.1603593063214,51.01275340497533,D,D,83.71652128340205,-97.49609725025874,139.69199315058333,1
