marital_status,genero,faith,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Widowed,Male,Christian,A,A,D,E,B,-0.6656479881525115,C,5.410352736620208,A,E,-64.99416944183666,B,28.061775472155382,C,C,49.37039033625113,1
Single,Female,None,A,A,D,B,B,-114.66874818257808,C,106.44231224001781,E,C,170.3822111201742,E,-62.96197322686976,C,B,-27.744798689970253,1
Single,Male,Other,B,B,E,E,C,78.96790472551527,C,79.25089933230839,E,E,-76.5892112592092,A,120.6445889658301,C,E,-156.05114393244705,1
Divorced,F,Other,D,C,C,D,D,-120.74023529035524,B,-147.47752443275303,A,A,47.174573123586995,B,27.45879022465073,C,C,13.09156231238749,0
Divorced,F,Buddhist,B,A,B,C,A,55.64696508408291,A,1.3342330940939002,A,E,-87.01480915635946,E,45.210267309888785,C,B,-19.44000755253347,0
Single,M,Christian,A,C,E,A,A,-168.29779603028956,E,-131.9867709097526,C,B,112.76919641615528,C,25.192423548882516,C,D,124.38551573881642,1
Married,Male,Christian,B,E,B,C,E,19.707077377172872,C,14.192918149018881,E,B,-112.75330835998005,C,77.03956165296778,B,E,71.27788039081395,1
Married,Non-binary,Buddhist,A,C,B,C,B,15.55366659240468,A,-35.74541669577284,E,E,50.184637264705735,A,-64.87423052247729,D,C,-82.37712609412696,0
Married,Non-binary,Christian,D,C,A,D,D,-13.291692872034305,E,95.26560896724541,C,A,3.011234396913099,E,-86.51701339334502,E,D,60.26991768560066,0
Widowed,M,Buddhist,C,B,E,B,B,-199.29097405094575,B,-47.74343063146206,A,D,-68.44108261849705,C,142.3047889756099,E,D,69.34282517814961,1
Single,M,Jewish,C,E,C,D,B,-24.43098738947052,E,-53.812709896095036,D,B,198.76026061274766,B,-26.61597764234565,B,D,-89.41796967548217,0
Divorced,Female,Buddhist,D,B,C,C,C,-34.85410720714709,A,-13.801059055440179,B,C,95.31978503386989,B,49.64539168902577,C,E,9.60562355668856,1
Widowed,F,Muslim,B,A,A,C,A,-32.05663354288148,E,-79.59026638126856,B,E,-59.66927868950387,A,102.7540544599375,B,E,193.60681288008718,1
Divorced,Female,Muslim,A,E,D,A,D,200.22395186245072,A,-94.51626260435292,A,B,-153.1030371067752,D,-144.01272460933555,B,A,77.86308278323362,1
Widowed,Other,Muslim,B,E,C,C,B,-39.69801952053275,D,-72.07150657868361,D,E,-86.53959732580067,A,-16.54353684734963,E,D,-35.40151374673829,0
Divorced,Male,Muslim,D,D,C,B,B,180.30654021788536,B,-7.664690900204348,A,D,75.21920371603188,A,1.1692992612939472,B,A,18.083750497673776,0
Divorced,Non-binary,Jewish,D,E,A,D,E,-166.96930507528918,D,-17.67247651428076,C,D,0.5218804826186656,B,-36.03699070275191,C,E,27.591654765382984,0
Widowed,F,Hindu,D,D,A,C,D,-28.34950070247898,E,148.61085827781017,B,C,30.895481642364864,C,2.1697342959264803,D,B,75.84924332104355,1
Divorced,Other,Hindu,A,A,B,E,B,-34.57481823627596,C,-85.58168658858536,D,E,-15.40162384181121,B,4.726992961400862,D,E,-19.837455537755655,1
Married,Female,Buddhist,C,C,A,B,A,45.71021369440777,C,-26.53481511154484,E,C,-21.968056193862786,B,-6.292974098661978,A,C,-107.54874796394685,0
Widowed,Non-binary,Jewish,B,A,D,A,C,45.27273556405657,E,-6.336430234437724,A,E,-63.5739420902214,E,-35.064491307430806,A,C,-130.0594964818273,1
Widowed,Non-binary,Jewish,D,D,B,A,A,95.66595653201439,B,-107.81754087439953,D,A,86.48568951578434,C,193.68416524755548,C,A,27.096710787117082,1
Widowed,M,Muslim,A,E,A,C,E,83.5472187547948,D,35.163966028879074,D,D,-45.59174122184737,E,32.56862663940557,D,E,-116.21589755080572,0
Married,F,Hindu,B,B,A,C,E,-146.3125219708275,D,-21.19982157759271,C,A,3.2602253675081414,A,134.03850358008467,D,D,53.87157886855606,0
Single,Other,Christian,A,B,D,E,A,-85.18820100374468,D,55.523399789824346,C,E,-92.51762622389987,D,-86.67287844915462,D,D,94.42654101986776,0
Widowed,F,Jewish,E,B,C,E,D,118.80278741299917,D,109.15298733132323,B,E,-165.16722395714262,D,286.18641163269416,C,A,-22.77034664584716,1
Single,Female,Christian,B,A,B,D,A,-74.79682915323836,D,-44.150953066902275,B,A,198.61635947741473,B,79.88685948536582,A,C,80.59534045068811,1
Single,F,Muslim,C,D,B,A,C,-7.7443117628039015,C,82.66199064609178,D,A,58.84984178130329,D,89.46992862893678,D,D,-10.902926466465294,1
Divorced,Non-binary,Buddhist,C,D,C,E,B,-49.02217219896778,B,5.912240415329092,D,E,80.11463166746688,C,-95.07784021193979,B,A,-38.75911644463469,0
Divorced,Female,Hindu,C,E,B,B,E,-108.28862205653438,A,109.70226917632931,B,A,-90.78268605184992,E,172.07502226327486,C,B,-40.63807266063162,1
Single,Male,Other,E,A,B,B,A,119.91219932728572,B,60.72648238457106,C,C,70.17057752789128,B,-95.94747312308279,C,D,-205.04467091229284,1
Single,Female,Buddhist,A,E,B,A,B,-72.11865756131498,A,80.15219195074957,A,D,-188.64754438379197,E,-71.82233325179008,D,D,-172.7800407210737,0
Married,Other,Jewish,D,A,E,C,B,101.41106024197495,C,22.998399691160134,D,E,-64.95837666214483,D,-123.07163502617244,A,D,-98.10653040241388,0
Divorced,Non-binary,Buddhist,C,B,E,A,A,128.64602679622536,C,37.25098396712139,C,A,-162.55791776684794,B,37.08826244561608,E,A,182.3966655207024,1
Married,Female,Buddhist,B,D,D,D,A,23.505462917084937,E,-50.592233835355316,B,A,49.67075975081567,E,112.28495721849616,C,B,76.4567121068746,1
Married,F,Other,E,B,B,C,C,77.34509961291674,B,57.8424096026083,B,D,30.696661020305193,A,36.5698639791363,A,A,12.38369530600137,0
Single,Female,Buddhist,D,B,B,D,B,-193.1442682158159,C,93.35020818747523,D,C,49.49216466803186,E,204.0850966762574,E,B,148.75919282469647,1
Single,F,Hindu,B,C,A,D,D,-234.03847748235302,E,81.02224514522757,E,E,-169.2573729105931,B,-72.7629926487308,E,C,-236.47330825410418,0
Widowed,Female,Buddhist,A,D,A,A,A,112.89018322999848,C,-156.39609361000967,B,D,119.51226987565882,E,-17.991429777696055,E,D,34.493059753801695,0
Divorced,F,Hindu,C,B,E,D,D,-272.1132463194421,B,35.487036931218825,D,C,-31.376548626934042,C,88.99372308763887,C,C,92.64352178425477,1
Divorced,Female,None,E,C,A,C,D,229.0166651125882,B,-54.3865752009824,C,B,32.25997798700694,B,133.97925644118214,B,C,55.238512605085,0
Widowed,Female,Christian,C,B,A,A,E,8.549975669758169,D,-105.2895709128419,A,D,-51.08705540625444,C,101.88187583473305,A,E,-4.927111849318396,0
Single,Female,Other,D,E,D,C,B,-233.56406014659763,C,50.27014946334402,D,E,46.33837047984271,C,100.51970283597105,C,A,160.29128326012597,0
Married,M,Muslim,A,E,E,C,A,102.29805231884055,B,-47.883006449554436,B,C,-25.222172311190118,B,40.469631349257746,E,B,105.39591644526105,1
Divorced,Male,Hindu,E,B,A,B,C,35.87522740171509,B,-21.775108573829723,D,C,89.56347089689552,B,-212.12808274683658,B,B,-131.81725583871992,0
Married,Female,Jewish,A,D,A,A,A,-130.87657832595852,B,56.19184185074803,A,C,-60.04759213150797,E,65.63847342799217,A,B,-21.26511525829067,0
Married,M,Jewish,E,A,D,D,D,54.40514437960289,D,-28.656568598732502,A,D,-210.42800116899448,E,302.12328800510676,E,E,-46.15947334315313,0
Divorced,F,Muslim,A,C,E,A,C,-4.04868053801259,E,-69.9905754935444,B,B,52.976580017704066,B,60.05329549626841,A,C,32.07962943110428,1
Divorced,Male,Buddhist,A,E,B,B,C,99.25282395021232,E,188.58693272240475,A,D,-7.973846840942625,C,4.422116258379619,C,C,-27.10696659338347,1
Single,Other,None,E,E,A,E,E,76.84004608235334,D,4.634229968873306,D,E,100.76799768263088,D,6.9286150819426435,E,B,63.728714983256495,0
Widowed,Other,Other,B,D,D,B,D,-19.106276255133128,B,-152.71067828392341,E,C,-192.08804463459595,A,46.63212485088726,C,E,100.0732244117306,1
Single,M,Hindu,A,B,E,E,E,27.950250674007364,B,-63.65216690695693,A,A,-40.08571167108486,D,141.43438990643605,B,A,-196.12267724014356,1
Single,Male,Other,A,E,E,A,A,126.04858595513357,A,116.59535526955906,A,B,166.02351861009004,A,31.862936065427032,A,C,-140.93824761394868,0
Divorced,M,Other,D,E,A,E,B,16.723721386424923,A,-61.7034660733157,B,D,41.70547313651846,B,17.360968025346683,B,A,-74.37410001972403,1
Married,Female,Muslim,A,E,B,A,E,-81.23523336466599,C,-89.82659937707417,D,A,31.365358501032542,C,59.417911816199364,E,E,97.84814153878159,0
Single,Female,Christian,D,E,D,E,E,119.04189069759994,A,0.5443865467258797,C,A,58.211161740152406,D,-4.14795932618576,A,D,-135.27752143104442,1
Married,Non-binary,None,C,A,E,B,E,-55.592353084926216,A,-6.0481704018365745,E,D,40.93366882244006,C,16.698414271410204,A,B,22.237274293168657,0
Single,F,Muslim,E,B,E,D,B,102.96722224489005,B,3.375684667796276,C,B,-48.225230050109225,B,170.44374849602085,C,A,13.005502162595523,1
Single,M,Christian,E,D,C,C,C,122.36637001011074,A,7.911737727148453,E,D,-196.28286041735555,B,88.9056474794525,A,A,-170.9333369461799,0
Single,F,None,B,D,B,D,A,224.05415959827445,D,110.03182766108957,B,C,-80.03617706959368,C,101.33300324124176,C,A,-38.33916774280389,0
Divorced,Other,Hindu,A,A,B,A,B,98.00847593450457,C,-78.77262313128452,B,B,-25.469323690354468,C,129.25856640336275,E,D,82.59643353433181,0
Married,Female,None,D,D,E,B,E,-41.62857866754292,C,-44.193062312994456,D,B,252.57907500363532,C,112.30989333420183,D,E,106.47415591025906,0
Married,Non-binary,Other,A,D,A,D,D,-86.35939330320251,D,-10.68727618617057,A,E,-73.75079436628822,E,18.977668739084738,A,C,-14.230252456990913,1
Divorced,M,Muslim,D,D,B,E,D,-65.4520200414821,A,-92.20663084007785,B,B,-58.04339522514466,E,158.07672332078212,A,D,29.972156326906045,0
Divorced,Other,Christian,B,C,A,C,C,229.19846910186075,E,-64.1724656984351,B,D,10.96995593017179,B,76.69173797715578,C,C,27.897096201198373,1
Single,M,Hindu,A,A,D,E,B,-108.39205276743382,B,47.260807345501085,A,A,186.93232990591036,C,82.69349945740618,E,A,-70.14027961240214,1
Single,Other,Buddhist,B,B,D,D,C,180.93906901702155,E,103.30264786428762,B,E,-10.94220693146301,E,137.45025946852925,B,A,10.00921402252482,0
Divorced,M,Other,E,E,A,E,D,-21.85625471885472,A,-223.77725965254274,E,A,241.78889455520022,E,62.462767829790636,B,E,66.39758527796391,0
Divorced,Non-binary,Buddhist,D,C,A,B,A,61.088251365924286,E,91.38181085100231,B,D,-139.1830630551226,A,44.733277214172794,C,C,36.763087184377184,0
Widowed,F,None,C,D,E,C,A,-147.138729548898,C,-74.56163451344973,B,E,68.67291901670308,C,22.37766528563314,E,E,-49.07523250254847,0
Married,Male,None,C,C,C,A,C,157.94179392323372,E,69.41222968149772,C,D,108.39847529800839,A,104.47262729560245,C,C,52.011047404148925,0
Divorced,M,Buddhist,A,C,E,B,E,45.055908910011375,E,-36.48537088525085,D,B,-6.097947114533749,A,73.32047517258634,D,A,37.56485260116281,1
Divorced,Female,Christian,C,B,A,E,E,-16.833422906558283,B,102.85495443375106,A,E,-26.109181237372166,B,78.72074156841643,D,D,69.37874891557361,1
Married,F,Other,C,A,B,D,A,-82.19388664901305,B,-163.94854184303327,A,B,116.19994606306057,D,-53.241742917337035,C,A,-41.24061404235152,1
Single,M,Other,A,D,E,E,D,-103.59203922007036,D,134.29903472431008,C,D,24.28750531755384,E,-120.13160246526317,E,D,33.93669795441971,0
Widowed,Non-binary,Christian,A,E,E,D,A,31.121458233237863,D,158.63585928811952,E,A,-79.22038423528362,A,-61.72077065681002,A,D,-44.493960892283816,0
Married,Non-binary,Jewish,B,A,B,E,D,-14.317114809954475,A,211.25785398291774,B,B,111.55970106235526,E,163.9900129212112,B,D,-103.89069728837094,0
Divorced,M,None,E,E,E,D,E,72.73472254850357,C,-94.61575779333357,C,A,-97.24141869589744,C,69.22155129869051,A,A,-161.7007755130758,1
Divorced,Female,Christian,E,B,D,B,B,-151.32222659935059,A,65.4067919515607,B,E,-10.681711485603811,A,100.58256790390013,E,C,-233.85132064797088,0
Widowed,Female,Buddhist,D,A,C,E,E,-73.13533339383461,E,-121.37467230594146,E,E,54.49773578249831,C,105.49770449230789,B,A,-10.956487927579808,1
Widowed,Non-binary,None,E,B,B,C,E,-49.98019079185585,D,72.96570048827482,A,A,-49.2654393169685,C,295.7462669668754,E,D,63.0183833321897,1
Single,Male,Other,B,B,B,E,B,-27.649343144687354,E,-16.455343563904474,A,B,-51.79492718323024,D,-117.42829257318218,E,E,25.102632485822525,0
Married,Other,Jewish,A,E,E,A,C,-30.714513018187063,C,18.99978087814204,E,A,-87.59804724838152,C,-45.01623810360618,C,D,-14.478193912834902,1
Single,M,Jewish,D,E,E,E,A,81.01619399138296,A,180.62524860112362,D,A,133.76237261868528,E,-124.88747084705135,E,A,-81.82269085146527,0
Widowed,M,Hindu,B,E,C,C,B,-127.78369659631848,E,-115.07208527473702,D,B,105.74927934139357,E,-47.72778061918467,E,C,-73.2814001741518,0
Married,M,Christian,C,A,B,C,C,137.36232990974545,C,18.49636677308262,D,E,-65.97337399899759,E,-121.6213485862931,B,A,179.84876894966197,1
Single,M,Christian,D,E,D,A,E,65.32995897862239,D,100.99535865041007,D,E,-74.47761907276056,C,13.172021894041336,C,C,216.6964919136799,0
Single,Non-binary,None,A,D,E,A,D,-53.00848611508818,A,-237.2628416538913,A,C,-14.867736305281968,C,-47.301593784590104,C,E,115.16880510945131,1
Widowed,Non-binary,None,E,A,D,C,E,-17.159982601655177,B,-156.50422643823686,E,C,-111.46405609590211,E,-67.72980250173849,C,C,-107.75367267114375,0
Married,Other,None,E,C,A,A,C,-0.8242981988332388,D,-32.86569184752459,D,A,-74.23381342230644,A,57.55698045311903,D,C,101.88949529912958,1
Divorced,Non-binary,Christian,E,B,E,E,D,30.24782882191785,D,-23.871504752187413,C,B,44.11441852715194,A,-142.04573022541263,A,D,95.48679175309486,1
Single,F,Christian,E,E,C,D,B,-114.88499616262082,C,-95.77004539882779,B,B,109.48254565742485,C,-50.87210135477416,C,C,47.75367879565178,0
Married,Female,None,A,B,A,D,C,-127.3379758748312,B,74.33670391888676,E,B,174.2106493940472,E,41.9112010134212,A,C,40.64865064662666,0
Divorced,F,None,D,A,A,B,D,56.43825382940014,C,251.89532125238298,A,C,-91.0431426812071,C,-57.478555322331246,D,C,-3.422483270847967,1
Single,M,Other,E,A,C,B,D,25.606949768510827,D,34.18026505369672,D,D,204.2621811965527,A,72.10410638373077,C,E,-50.92403027289155,1
Divorced,F,Jewish,B,A,C,E,E,-51.042293972553225,E,-15.495777656912255,C,A,-74.78256553868346,B,68.8386451586907,A,D,-39.83806069169282,1
Widowed,Female,Christian,D,B,B,B,E,-48.34469942020573,C,14.131459858708507,D,A,148.5979154172166,C,44.64795192346273,C,C,16.321583740611125,0
Married,Male,Other,B,A,C,C,A,12.580236499942698,A,-155.94621971460126,C,C,-77.50799265804328,E,-20.498390867180767,C,D,-26.286356418431,1
Married,Non-binary,Other,C,D,D,B,B,234.67651213201512,B,37.04277346374104,E,B,20.90320966354534,D,-66.74207347701764,A,A,-141.92115700684377,0
Widowed,Other,Hindu,B,A,C,A,C,-130.68165111193724,A,29.025988484427046,D,B,-42.0524385587709,A,101.23277808018716,E,A,54.03745949437284,0
Married,Female,Muslim,A,D,C,A,B,48.11508676469844,B,233.74892566391102,D,A,86.7904556528702,D,-6.071241409928291,D,C,-13.370069708285307,0
Single,F,Jewish,E,C,E,A,D,-66.16530104961078,D,-11.44299533058029,C,A,72.48527832727643,E,-88.22897762963497,C,C,46.80469238913949,0
Divorced,Female,Jewish,C,A,C,D,A,133.1899180224339,A,77.76529983945322,A,C,-92.64467921864636,B,-85.68454090163044,D,E,-97.57899971499788,0
Married,Male,Christian,C,C,E,B,B,66.68416158585225,D,16.60180115856983,D,B,-18.9489368464307,B,11.433767954777025,E,B,125.84841582728158,1
Widowed,Other,Jewish,C,B,E,B,C,77.98205191778351,E,79.57959769747411,A,E,-16.49543288466542,B,124.99987494745947,E,E,127.07189666123536,1
Divorced,Non-binary,Other,B,B,B,A,E,-142.63530919434123,B,-273.6268047098974,D,C,56.1698672110712,C,56.67940509888933,E,B,-108.83786794099377,0
Single,M,Buddhist,E,E,E,D,C,175.3062330455617,B,-39.95333032511229,E,D,-194.58489085468557,B,-73.4202906514653,A,E,-87.43442043710209,1
Divorced,Female,Buddhist,D,D,B,C,D,167.7877447567271,C,111.0966884213264,D,C,-248.32990890487204,E,180.17189664626753,B,A,94.85434285419342,0
Married,Male,None,B,E,B,E,A,-41.98287896163955,C,-69.18394379143507,D,C,-98.63560292474833,C,-106.1688267829769,A,D,52.0836172234987,0
Divorced,M,Jewish,E,A,A,C,B,44.936981343213205,A,62.42689268232622,A,B,-109.29033933533523,D,98.14492629169597,D,B,90.75638953205878,0
Widowed,F,None,B,A,E,A,B,-59.17590225457965,E,-59.64751562748639,E,C,-15.01508300761683,D,-26.291180556631577,E,B,108.22289893605117,0
Single,Non-binary,Muslim,C,E,D,C,A,59.836701375091025,A,57.20828365331943,D,A,-102.20708424907201,D,42.10863258334419,E,D,-43.583056633865944,1
Single,F,Buddhist,D,C,C,C,E,-6.6066016209820795,B,-91.44861777519405,C,C,115.52058697322931,D,5.661678469332626,D,B,59.43903925469649,1
Divorced,M,None,B,B,B,E,E,-56.00458935015934,E,25.128752646517416,D,D,62.86304776000969,B,-101.48016738333622,A,D,-104.85193564099488,0
Divorced,Non-binary,Christian,C,B,C,C,A,125.53292679093538,A,64.18790093116364,E,E,45.877192805209056,D,-186.90011434692954,A,A,98.47782482152996,0
Married,Non-binary,Muslim,D,C,D,A,C,8.986817021036456,C,-53.29005447897022,D,A,100.33653429126097,A,-332.18324299877213,B,A,41.70102933938269,0
Single,F,Hindu,E,E,B,B,A,-148.48922211862765,D,11.33543295502065,B,E,7.913853018681244,D,97.86472685052924,E,D,15.498160594771463,1
Divorced,F,None,D,B,E,B,C,-3.735794258792744,C,75.68224677180989,E,B,-88.6025372788563,B,-60.24411569174024,B,C,101.1477697362879,1
Married,M,Buddhist,E,B,D,A,B,45.811902757698505,A,-9.190879614331832,D,E,40.24657915623707,D,-29.700526229312512,E,A,-121.26992449164733,0
Single,Non-binary,Jewish,B,A,C,B,E,-201.37293964821964,D,-93.5078769096572,C,A,24.47219611722765,A,96.67902838465068,B,C,-240.67985102755446,0
Married,Male,Buddhist,B,B,A,A,E,-142.22489994982155,E,-21.402058090078498,E,D,212.9273965731893,E,-112.96184507554321,A,D,70.6313980861889,1
Widowed,F,None,D,D,A,A,B,14.536466124852968,A,-53.78441442936134,B,D,-48.24573607994399,E,-57.585543958299965,E,B,-228.45256183358907,1
Divorced,Male,Muslim,B,E,D,B,B,40.12185832317206,D,32.99348245076856,C,C,51.28090195944581,E,-122.39132925138571,E,C,-144.80309228134848,1
Married,Female,Hindu,D,A,B,B,B,-198.78768597836165,B,33.58480562673281,D,B,106.50847082473305,C,-80.95593764195634,E,B,130.96295813068272,0
Single,M,Hindu,B,A,B,A,E,-141.59992335321664,E,127.07095767932937,C,A,98.6474916264409,E,94.51668527399472,A,E,-61.55821124164164,0
Single,Male,Jewish,E,D,A,B,A,-97.10434848564789,C,-0.4231151612823848,B,B,-190.7172210321686,B,1.140149801118585,C,D,112.08460976630046,1
Married,Other,Muslim,E,A,E,C,A,48.71085224596799,B,-17.82005973386886,B,C,-70.10943971906886,B,53.87793816590527,E,C,139.1966206329288,1
Divorced,Female,None,E,A,C,B,B,-75.30304869312351,D,-56.28828201249137,E,C,26.236554883133035,D,78.3709139899448,B,C,-191.13387757356364,0
Married,M,Christian,D,D,A,B,D,-6.887531166870292,E,47.23778923652733,D,D,27.489316844365845,C,150.0330448076146,D,D,131.16029244175732,0
Widowed,Non-binary,Christian,D,E,D,E,D,-20.197471804140935,E,-10.29492035301722,A,B,-54.74380451286757,E,-43.02130255989486,E,C,232.7012702788932,1
Widowed,Non-binary,None,D,B,B,A,B,-241.01329548808823,A,-74.53625768768605,A,C,124.18130728881853,D,110.88801275352571,E,A,66.82845459657557,1
Divorced,Female,Buddhist,D,E,E,B,B,174.20409111506595,E,22.765305637578088,C,A,118.28374161349234,B,1.9782067591566694,D,D,97.05970813274098,0
Married,M,Other,A,B,A,D,E,-125.92697495076497,D,-12.552193882601204,A,A,-65.79451472160697,B,77.32743284919937,D,C,-15.596096050865595,0
Widowed,Male,Jewish,D,B,E,C,D,-206.50756152448028,A,29.027739968644322,E,D,114.56707211469963,A,-56.13366859953285,D,C,117.13730852042461,1
Single,M,Hindu,D,D,C,A,A,-298.7007670894696,D,99.65476158855196,D,E,-26.830791083349038,E,70.48193330244794,A,C,-45.507800496300405,0
Single,Non-binary,Other,D,A,E,A,D,128.07672793228647,D,-88.09728833521223,D,B,-132.62057786385893,E,40.99376680541329,A,A,46.47235473384723,1
Single,Other,Buddhist,D,B,B,A,C,38.27674547800462,D,74.33093301739194,D,D,-79.35650357782096,E,53.38637655866748,D,C,40.80821582717387,0
Widowed,Non-binary,Other,A,B,D,C,E,88.97698747829001,A,143.042288145232,D,A,-58.515046583918895,B,200.21885880889462,C,A,70.59044048765412,1
Single,Female,Muslim,E,B,E,D,E,-16.075763008656395,E,-49.35667886546587,D,D,133.22652751449826,D,99.28038062886948,A,A,146.7075369129279,0
Divorced,Other,None,C,A,D,D,B,-125.71287230370251,D,-88.76045932512233,D,B,-31.92829542770695,D,-20.172787426240273,D,D,-141.41737329228076,0
Widowed,Female,Buddhist,B,C,D,A,B,50.53247644866642,E,19.19098668868797,E,B,126.57394766508617,D,12.493356450430634,E,E,-230.72174080642532,1
Single,Male,Christian,E,D,A,D,C,-13.071943381961534,B,-35.60859015709289,D,C,-15.935850344138307,D,203.16315318375914,E,D,58.73996773138489,1
Widowed,F,Other,C,A,E,C,C,89.54294173593324,D,-54.332611600557925,D,C,-11.948807148046402,E,39.833169789220804,B,D,-88.12067576011192,1
Single,F,Jewish,A,D,C,C,C,-14.957941646460007,B,86.0035313480574,A,B,-11.914232876014657,A,-158.64610059658366,E,C,-168.72428753949538,0
Married,Non-binary,Jewish,B,B,B,C,B,203.646094566781,D,161.71295830338508,E,E,171.00299612823093,B,-31.299724934374524,E,B,32.54312508378199,0
Single,Other,None,A,E,C,B,D,-7.928216400018641,B,142.07375419702907,C,A,-103.44665405042137,D,-107.48408237907464,B,B,-135.1030757186033,1
Married,Female,None,E,A,E,D,A,-32.23948343933642,C,-178.1395066027281,E,B,95.21498228333476,B,54.474007319392015,D,E,6.872775623706211,1
Divorced,Female,Hindu,A,D,E,B,B,-139.11231281913382,B,-53.023958103267134,D,D,-112.50447300616129,C,-21.409790903878623,C,E,-12.904394272128414,1
Widowed,Female,None,D,D,B,B,D,23.894700087770758,C,101.03561830521251,E,E,-294.70945264425177,C,-136.39701407247756,E,D,-82.95517196684945,0
Married,Male,Muslim,D,D,D,E,D,24.352672774464764,B,-97.94906679264177,E,D,11.426477203457056,E,65.56711214795169,E,C,2.9423186808037136,0
Widowed,Female,Jewish,C,A,A,D,E,116.23321748644264,A,107.66584414889438,D,B,93.3733295077239,A,156.3808351261468,B,D,-162.00593492012433,1
Single,Non-binary,Buddhist,D,E,C,D,E,172.00213571733627,C,-145.88136772855125,A,E,-77.87278288456451,B,-25.16026055445441,C,B,103.41337667918327,1
Widowed,F,Muslim,A,C,D,A,C,-76.58380159292263,D,17.490166825393622,C,E,97.14893033817756,C,58.3265604299679,C,C,-30.677911350778036,0
Widowed,Other,Other,D,C,C,C,C,39.64068469950407,B,50.27832204777828,B,B,-1.7483046844260202,D,-12.84913292873629,A,D,91.3593205342393,0
Married,Non-binary,Other,D,B,C,E,A,56.514531794678035,A,-79.68939506225519,D,C,-1.633132986355109,E,-110.02246208063345,E,E,71.9125284101834,1
Single,Non-binary,Jewish,B,B,B,B,C,-3.2196762010474846,A,-17.197044076618713,B,E,-191.85043296647382,D,54.94614125488197,D,C,-71.11303525491853,0
Divorced,Non-binary,Jewish,C,C,B,A,D,-91.69907263552646,D,18.51175815730222,D,E,-14.479340762012738,E,-61.67184975609714,E,D,127.83622784851826,1
Widowed,M,Jewish,D,C,C,A,D,27.32025126494716,A,-22.616814353630268,D,E,40.70573476838767,B,83.74277934720239,A,A,46.1954266062099,0
Widowed,Female,Jewish,A,B,C,C,B,144.45917287975126,B,-67.79858398414945,E,A,45.213848461219165,A,-94.16403348595003,E,A,98.14502483184064,0
Widowed,F,Jewish,B,C,D,E,D,55.34322786246197,E,179.17184073211763,D,D,86.62963532607316,A,-7.049729817883048,A,C,9.860982796246345,0
Widowed,Female,Other,B,C,A,B,C,-184.66972369207392,A,20.42388641328959,C,B,63.877193838570136,D,-73.86572788039943,D,A,-214.0364297353863,0
Divorced,Male,Muslim,C,B,D,B,A,-23.13620058476162,C,-39.48336488593006,D,E,-228.88360148565158,B,130.3824684134553,E,B,130.40759460143633,1
Single,M,Muslim,D,B,E,C,B,21.888426095576598,A,-81.437238303164,E,D,-6.936389368036304,B,138.0620208807907,C,E,-85.35094108084866,0
Married,Other,Jewish,C,E,A,A,A,47.45877374265625,C,-38.07639914742988,D,B,-120.64855255562739,E,-82.88956890844061,B,C,158.76224994072425,0
Single,Female,Other,B,B,A,A,A,116.24149987375267,E,-19.243504611566397,E,D,-104.98291873984145,A,-45.065560629168274,B,E,-120.82447523748112,1
Married,Other,None,D,B,D,D,A,-11.596584034801282,D,32.19795399149234,A,B,-137.05489157372688,A,-4.358113542096402,E,E,-53.12471368692182,1
Divorced,Non-binary,Jewish,D,C,D,D,E,-157.5845148147543,A,-31.121468455102818,B,D,73.40843133230838,A,-32.22431085433695,A,D,-92.04619024257153,1
Widowed,Non-binary,Other,B,D,E,D,E,-4.266864995945333,A,87.235037332324,E,A,-66.96153360146732,B,-63.446829211416514,D,D,97.51399275257481,0
Widowed,F,Muslim,A,C,C,D,D,-191.08619266360577,A,-140.75191518556707,A,A,150.66971627592758,E,49.67627240277839,D,A,-110.93503074428797,1
Widowed,F,Hindu,B,C,C,E,D,-17.41006630433893,B,-43.57819560654956,A,B,139.43532209099857,E,-145.49529570390087,C,D,-1.5615465010537222,1
Widowed,M,Other,D,D,A,C,D,72.46537056402448,A,-88.92418523909976,D,A,59.68922739958297,B,31.930725816337002,D,D,68.43414758813735,0
Single,Non-binary,Jewish,D,E,D,C,A,-38.90744382419689,A,41.73709553250852,C,A,33.49281503806019,E,-30.50927282448996,B,D,-116.33491287718766,1
Widowed,Female,Buddhist,A,D,B,E,D,-70.44893874090258,B,30.26394550380691,A,A,92.3992601836767,D,134.07460404515942,B,D,-50.91616645849728,0
Widowed,Male,Jewish,E,C,C,B,C,-1.0795080337107306,D,-319.19642905612875,C,B,-57.762828028714054,C,-103.22779197728697,E,D,-147.55440633918698,1
Divorced,Other,None,D,B,D,E,D,-135.48333526122954,E,82.17981646545431,B,D,35.56904652127897,D,25.192869801493007,A,B,-30.029121227706472,1
Married,Female,None,B,A,D,B,A,-6.398577113763368,B,38.57582620154806,E,B,51.4450070538735,D,62.65121343997757,A,C,151.56236137473525,1
Single,Other,Muslim,E,D,B,C,D,66.79304296964898,D,185.37441991512188,E,B,152.07333506622166,D,-125.479268048309,A,A,21.017209182321345,0
Single,Other,Christian,A,A,C,D,C,-39.88120278236739,A,283.08830920331025,E,B,232.8374494637511,A,-11.778181700983325,C,A,29.72959381152225,1
