military,religion,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
No,Jewish,26-35,A,-167.8797561575465,-95.97676790776299,74.236586734376,D,A,D,170.12798837483004,D,A,B,-116.70538529754772,-109.67485363951268,-51.64105459248237,0
No,Buddhist,36-50,C,39.54528500093316,192.74788684003593,14.089312960341354,A,A,C,-30.104961114209793,D,C,D,22.764473983117167,97.28981469487596,-87.50529297545074,0
Non-Veteran,Other,26-35,A,30.716922968790534,-163.94658543162043,10.001112444231582,B,C,D,-37.926492757943876,A,A,A,27.857121263411766,-157.09877660510696,141.5951356765001,0
No,Jewish,65+,C,-75.60636868329492,-141.16875493797622,113.29872371303912,C,B,B,-21.654649871658552,E,C,E,-53.19743393069698,93.28497929412451,195.39014270939654,0
Non-Veteran,Hindu,36-50,E,218.45749610050254,36.225472756254305,-104.89927303327211,D,C,A,-131.53319206936348,E,E,E,2.938606120219089,-217.8427364515547,-53.78306999649751,1
Yes,Muslim,65+,C,-38.7513785456741,117.34522967747114,-41.30241000101419,C,A,D,7.943485511920262,D,E,B,22.978618948462277,-39.29795896569299,-21.176514314902057,0
Non-Veteran,None,36-50,A,-110.9056831533038,6.706145805093544,52.76777910668019,E,E,B,50.285662585987026,A,E,B,65.6232436776434,233.0938941337755,99.73116234804846,0
Non-Veteran,Other,36-50,E,-23.68841114765382,-34.97122967309384,-98.37106367300294,B,B,C,95.78345603998717,A,A,D,-2.308185626278383,-241.4369166650788,-164.56786211375427,0
Veteran,Christian,18-25,E,88.45850777194036,-107.60250808258513,127.71349218514825,B,D,C,132.86438964940274,A,D,C,110.69720538863297,-16.10139270986635,70.75561530821508,0
Yes,Muslim,36-50,A,-0.6210860549394553,152.31971126882502,24.749215459939585,E,B,D,128.14071006111988,D,A,A,67.42863672519009,12.185812154652286,26.120290381693994,1
Yes,Jewish,65+,C,-119.66087296215429,41.2171488717344,-37.18750090094933,C,B,D,-115.63443718680632,B,D,C,57.57327788897475,153.68663292204462,8.167739392975875,0
Non-Veteran,Jewish,26-35,C,4.79778039895668,89.53723242935868,-31.18475999324395,C,E,C,22.54241499922671,C,E,C,-108.29328049664588,-13.729998190449939,-46.878086932381024,0
No,Hindu,51-65,B,73.95301931016004,157.59525712827718,-142.59380556990257,A,C,C,-38.393664731361405,E,A,B,-37.86182821129025,209.58310336360864,-81.97003561852897,1
Yes,Other,18-25,C,-21.555422272386924,-232.38859756630578,67.86032067615231,E,C,C,154.9168114036188,A,B,A,-71.73565793614046,48.52536606841195,-72.77354138393554,1
Non-Veteran,Buddhist,18-25,E,-11.48205567881402,-21.31994203546128,0.16656695883702438,D,A,A,189.36071405837154,E,E,C,91.91445336068539,10.725978289427529,-68.45681345073902,1
Non-Veteran,Other,65+,B,-53.03247704972118,158.24939085919078,-47.89813123008228,B,D,D,-48.70305585417126,A,A,D,-20.176312869743274,-145.53691833118737,-54.483287726375615,1
Yes,Hindu,18-25,A,90.54611033389331,32.606369465342254,69.63946285672361,C,A,C,-113.44264966329027,A,D,B,-15.193213140116036,86.01710021297895,-77.12462361694922,0
No,Jewish,18-25,A,31.614125993741194,-5.26347166626763,-103.95735612589287,C,C,A,182.94663728117897,B,C,E,33.057013336691064,56.06559151287372,-102.95731483448614,0
Yes,None,51-65,D,-148.7607483035526,-64.96551786137339,70.6001661649565,C,C,D,-80.70416412261679,E,A,D,103.07500577027584,34.643532195459386,66.62942021421092,1
No,Hindu,36-50,E,-52.7498026976715,-101.18951740835979,-39.186285033458304,B,B,B,158.96533468638194,A,C,D,119.30249199052541,-24.46219937121571,-70.13726006821533,1
Veteran,Hindu,18-25,C,53.85273195082819,155.34089552571504,14.914491768139424,A,C,E,57.40597329795709,B,E,E,-228.05290479756488,-55.28002085739951,-40.15695341923312,1
No,Other,51-65,C,-59.63220578906879,37.582017202040234,63.35678294735554,B,C,D,-25.616459005576637,B,D,B,-154.25475875851626,-136.08650413609595,-28.856066487278888,1
Veteran,None,65+,E,199.47828152919467,46.71853002459634,-75.95062640067248,E,D,C,-21.886273576726985,C,C,C,128.76283222431834,-46.288069308834956,-49.386036902334055,0
No,Christian,51-65,E,-53.77952924035597,62.13042230717933,26.55970751280424,D,A,E,42.14291820104546,C,B,A,67.67057861110376,-7.145673596306317,132.28602543469228,1
Non-Veteran,Buddhist,36-50,D,52.27866880488293,-95.55528047835905,77.52806174383426,B,D,A,4.30071307654433,E,E,B,10.129524601808253,8.29550841019298,68.71565581593975,1
No,Christian,36-50,D,-57.72747145444147,-51.35567220417395,97.58400332365412,C,C,E,-47.214883366809545,A,E,C,-29.61470713859124,-87.14170406414478,-83.98661586688183,0
Veteran,Buddhist,36-50,D,-14.40241869256062,4.213590987565273,87.82379914893866,B,D,D,-64.34290454443887,D,E,B,183.64645719115288,-12.890276640131601,57.611205299722855,0
Veteran,None,36-50,A,52.24542795575113,-158.86668618891343,208.67431245672762,D,E,D,-16.27386811452989,B,D,A,90.50158030765955,52.33318571595733,75.83341726673125,1
Veteran,Jewish,18-25,C,-159.60484148261233,51.968056643351915,-61.335305206553535,C,C,B,20.29292642164236,B,A,A,-93.60652788465619,-31.205797993699196,114.85805475315456,1
Yes,Muslim,18-25,C,-51.98935206119704,-179.81359753489707,-6.609780361451986,E,A,D,-94.99110916567719,A,B,E,-41.12657578749071,115.40096905989203,9.441767490191069,0
Yes,Other,18-25,A,47.6558943403943,18.651776242390426,-43.64072841585116,E,D,B,-42.01685778747575,A,B,C,-184.6425001149628,-55.77349821423958,94.06294647838051,1
No,Hindu,51-65,E,27.168692670572987,26.270563548834293,-29.638006419202295,E,D,B,124.54091551732918,A,C,D,-45.70557291182733,52.922855277448434,68.49602393458515,0
No,Muslim,18-25,B,-42.4425485485232,-96.73115259032585,116.14126084760694,D,A,D,28.701505558946284,A,B,A,228.8114234217057,-160.30789177697898,94.25111949643123,0
Non-Veteran,Muslim,51-65,A,153.39791379819005,136.0820764270274,-24.09103324194713,D,C,A,245.4250670833351,D,B,A,-114.75469598400147,-34.67581542253825,143.05268023675393,1
Non-Veteran,Christian,18-25,C,14.357448818793475,-133.45468373331542,57.423524913164634,A,A,A,26.761192114750354,B,C,A,88.7137252232584,39.34881501778279,-3.0906917135046563,0
Veteran,Hindu,51-65,E,-76.56995797713411,73.28964201712728,26.187608513421846,E,A,A,60.61688123925501,C,D,D,137.04956176560594,-35.730104231385944,14.490125176289718,0
Non-Veteran,Jewish,65+,B,-60.13578442434131,112.28265222878105,-24.275586086184887,D,D,E,-122.18792849515543,B,E,D,-126.07787401374297,11.27691396709469,-2.8745884836591524,0
Yes,Other,18-25,E,-175.63726479922218,-243.02747971984977,-60.2111973707873,D,A,E,87.50935063298814,E,D,A,18.182743264820324,-32.9857369402229,123.15647831450809,1
Yes,None,51-65,D,35.32312430922035,12.019103558184197,8.968627607489756,A,C,A,21.367054648573,C,C,E,-154.95077076688005,-25.082800348876976,-74.82144058625363,1
No,Buddhist,51-65,D,-0.40544852282293026,-40.95924719675683,27.182096356214323,D,A,E,-56.11732572751933,B,A,D,-26.264172796104763,129.76874442294647,62.392494138844825,1
No,None,26-35,D,207.70096288663402,-18.416095130808444,-39.216208854697115,C,C,C,63.587211286590104,D,B,E,-98.67891472771034,-9.10868069129203,-140.76804101347014,1
Yes,Hindu,26-35,E,31.376941074375047,-92.29878704997265,78.4273389610118,A,E,D,46.14175802167864,B,E,D,18.073961680853778,-107.37411533015262,139.27519395368643,1
Yes,Muslim,26-35,A,-0.07261479052675396,-166.8578446724931,148.17435332490746,E,D,C,75.10409775464575,A,B,C,-67.17883860818058,15.836470134044353,68.43306367132529,0
Veteran,Buddhist,51-65,C,88.51202421518637,23.132489719606923,-9.712581448982775,E,E,B,-4.424319898941714,C,A,B,88.41838375715997,26.867820808765863,-123.88471095100446,0
No,Jewish,65+,A,4.530141520716531,102.22220761682152,-150.73843879726155,A,D,D,-72.84003940836897,D,E,E,-46.047023992085236,-193.43185905345905,-126.77655938354384,0
Non-Veteran,Hindu,26-35,B,-82.31427385946888,-18.3320737348708,-47.1074832942793,B,C,D,-95.5596185549175,C,A,A,-129.43830209100102,75.26217696041661,-106.34952016733496,1
Veteran,Christian,26-35,E,-161.82143860532113,28.17731751016922,8.946967606307474,C,B,D,-129.22341702871648,B,A,E,153.2355601066552,14.018320419318462,-24.81490460012348,1
Veteran,Buddhist,18-25,E,-31.0807617901821,31.83444272418214,-234.1280480747432,E,B,C,85.14480743002507,B,C,E,-34.23341646994809,35.7043784382497,108.79184032458902,0
Non-Veteran,None,65+,D,42.43402960931268,-184.75053529227503,20.05457326516591,E,B,E,-22.567786277785093,B,E,A,201.2870571501291,-40.37169920792433,118.64493277483639,0
No,Buddhist,51-65,A,107.79374100672234,-75.90112686728149,3.053324744417669,A,B,D,-74.71396749225377,A,B,B,-121.37668440946175,-107.81213104445496,34.04941917831395,1
Yes,Buddhist,36-50,D,112.13731499626792,136.36250164480313,-35.71325068194512,A,C,B,-16.681383016837916,D,D,B,-91.39288601273414,-40.52057850841698,86.1048711536673,0
Non-Veteran,Muslim,51-65,B,49.04231499994446,11.271101059936896,114.92835545378435,C,D,E,-61.175973650827466,E,E,A,5.954700751161429,-262.45274249624424,156.18042365916085,0
Non-Veteran,Hindu,36-50,E,-34.33035187248053,45.028214357702986,48.016120910128755,D,C,D,-53.8194814997907,A,B,C,-113.04686097412547,18.278912424845792,90.75997516443101,1
Non-Veteran,Muslim,18-25,A,45.13317715272757,24.772866948946355,-11.590104910522538,C,C,E,66.73170015521842,C,C,C,-21.88319002970624,-128.4672009132199,-59.943949162740104,0
Yes,Christian,65+,A,11.417280058224003,255.53558144946598,-142.8945547571877,A,D,D,48.607627255035965,A,B,A,-22.044429385871748,-82.95274928399017,41.095292914215435,1
Veteran,Buddhist,51-65,C,61.895233897750465,3.3121817129989384,-91.60630756407629,B,D,D,38.688882533016006,A,D,D,-16.190921691498083,42.910621179463746,122.62693358779941,0
Veteran,Christian,65+,C,137.68932542403962,-219.11972168201964,-12.698700081147388,C,E,D,-120.26243460637534,E,D,E,118.12032487005865,89.94348167547214,-11.756327172294991,0
No,None,36-50,D,84.64714588252377,-9.471512547320472,-184.61159030529254,E,B,B,-12.352353148647865,D,A,A,-49.523319988534475,51.28300777533341,-10.678057084086001,0
Non-Veteran,None,18-25,E,-74.61148998304809,-85.63706365844385,-163.20368085768956,D,A,D,-12.12251911860478,A,A,A,89.60119031117401,-19.145678656061595,-78.58116686135057,1
Non-Veteran,Buddhist,18-25,B,-60.35740367328001,-14.639165020698893,5.41527488059854,C,D,D,-91.97402472580495,C,A,B,-82.6568712745441,29.209616398932365,-21.47018187997404,0
No,Other,18-25,D,79.69532063277927,235.98308909163364,-107.13742483255999,B,A,D,160.65453573825917,C,D,D,-73.59613872778655,-3.1396602398486877,-62.92674283124644,0
Non-Veteran,Other,65+,E,-20.503251698652182,-56.28342775850024,-134.12755900547907,E,E,B,-135.74413177134804,D,B,E,-63.69559478040061,3.5418286467683435,33.17218190699424,0
Yes,Hindu,18-25,E,-199.07371239180932,-37.6877673067071,140.8053686430426,B,B,B,-3.1737297087189233,E,A,B,86.31956726703402,-237.5698782151392,-68.02569292373619,0
Veteran,Muslim,51-65,B,49.21105989433483,4.724752781672796,105.74370280480478,C,D,A,-9.845547771117753,A,B,D,-7.963024535431908,19.70318516801089,101.05225939091112,1
Veteran,Jewish,51-65,E,-113.56635167403604,-169.01811183698132,-57.160351077928816,A,D,E,-64.76092066947797,E,E,E,-36.74863367062281,-142.03787226093485,146.50358672953888,1
No,Other,18-25,C,-1.3249516707997167,125.76816844959973,-47.039073493902265,B,E,D,128.29536203717126,E,A,A,-37.590389155609024,92.54738719714223,26.714505409566268,0
No,None,65+,E,-69.01476005558216,55.34490921498275,172.73226576738497,A,B,B,-88.4612715938746,A,A,D,-98.2977136773942,-1.8512585453828987,-157.07547491987643,0
Veteran,Jewish,51-65,D,-55.28633491780717,103.81714128862842,153.94388999991037,C,D,C,29.052697177374487,C,B,E,-221.42184740421484,75.44971271658322,183.47589333313343,0
Yes,Jewish,51-65,C,-50.78841536284296,55.79973589115218,42.05032056681193,A,B,A,64.85221751819118,C,B,C,63.36909444822977,-22.20239829281472,-167.78180099520185,0
No,Hindu,65+,C,29.01140502513875,-34.05115749872928,63.98922567003284,A,B,C,-45.1756435621869,A,C,C,92.64175618825942,89.52334395569426,-116.72257497757523,1
Veteran,Other,36-50,B,-83.73864079644709,-143.3217760784183,138.6219359046028,E,B,A,17.473684559333254,E,E,D,47.7186709727702,17.99367769722858,-106.9837335337065,0
Non-Veteran,Christian,51-65,D,-91.2314042098652,-54.049823849735354,-22.95167330782011,B,E,E,31.258712010486178,C,C,A,78.45334706646342,-26.562173580887155,-53.76192731814031,1
Veteran,Other,51-65,A,-103.45582658908097,6.832814969395469,292.82626041963806,A,C,C,137.06693515677938,B,C,A,-73.54415756009041,96.86262925267755,41.30646459384076,1
Yes,Muslim,26-35,C,-73.56632308504987,148.34614773706576,61.9359950646133,C,C,B,38.735196080222124,C,B,D,15.683486137498026,15.182051901304266,160.98729703630175,0
No,None,65+,D,-38.72246862960211,-27.373066815508988,219.54265168937718,E,C,C,-84.57239562417959,A,E,A,-22.23531192062979,49.41484673284402,-173.25150484612482,0
No,Christian,26-35,B,-2.4412865156685886,62.82596728755695,119.23563771232534,D,D,D,128.24277522412345,C,D,C,10.31364856205471,-26.344720057844967,-1.6917111588710652,0
No,Buddhist,18-25,D,16.692196455054546,154.3673110445782,115.79821674876453,A,B,C,42.97018258192845,B,D,A,-75.15337131716055,19.514076303759946,-57.445328304616005,0
No,Christian,36-50,E,21.10795038292381,-177.93367028471806,16.556385102453955,B,A,E,64.22387739820445,A,E,E,49.705536322023136,74.35328204323433,203.4599241211664,0
Veteran,Jewish,65+,D,19.428384412630905,108.1209671558235,22.55965858093543,A,C,D,-12.75924445105365,A,A,A,9.902352606527606,-201.03555031353798,32.807879595944364,1
Veteran,Buddhist,18-25,B,-55.04499413840998,52.26744014574337,22.417933988619378,C,C,A,-147.1229445966077,C,D,A,-46.047265242771516,118.63138782741972,-36.41936558410132,1
Non-Veteran,Christian,18-25,B,66.12713962107985,6.551284794135732,72.40849980064144,D,B,B,41.32984253596522,E,C,A,24.611403407640132,153.62498782543037,85.03623053133462,1
Non-Veteran,Hindu,51-65,E,-47.472625266825894,-1.9671273547838812,-91.64906466764049,E,A,E,12.225329566622305,D,D,C,61.57647347528608,-228.60943902608116,54.5104197761361,0
No,Christian,65+,D,-26.71248882983169,-139.50459151729493,63.1648478861917,E,C,C,-37.37405306273928,E,D,C,41.79708255679707,-106.22965751040448,14.119861413104848,0
No,Other,26-35,A,4.836499058960436,67.24770794451375,244.17704700125307,C,A,B,20.980928850135644,B,A,E,-77.85008994807352,68.63462719537324,137.0770925224647,0
Non-Veteran,Buddhist,51-65,D,94.73346727322935,-32.8377949952952,-80.75307015882571,D,E,C,-92.82922937805078,B,C,C,46.274160118832164,-93.88697991830209,-85.40326347316348,0
No,Jewish,51-65,C,42.27898586666863,31.659519097877787,-111.3617181453685,E,D,A,36.19532032820444,C,A,D,-68.99881158537967,25.735489239632585,48.06277018504906,1
Non-Veteran,Jewish,18-25,C,-113.39539779043453,112.80110865779174,137.63963640854507,D,E,B,71.56631168711753,B,B,D,45.096233216186846,37.97759743103375,-12.372600408111497,0
Yes,Other,18-25,A,69.43178505824137,-22.499156234575185,-35.45002478188366,C,E,C,-206.25904707531487,E,D,A,42.66928293801469,-49.64183899486358,67.24158186644416,0
No,Muslim,51-65,D,-115.14046835307053,36.82683252934883,48.45988485164928,B,C,E,-75.67576539700738,A,C,D,13.307231665745237,80.4956010590327,29.71550414724755,0
Yes,Jewish,51-65,C,70.17895016480657,-59.231615489001086,34.4768260203083,C,E,E,25.703394263704034,E,B,E,-72.21538069701283,-45.749939616875565,-158.06905129619412,1
Non-Veteran,Other,65+,E,-117.23651436842408,-41.451404546151096,-67.36982219993763,B,B,C,8.221931064422604,B,E,E,79.22156790707,-180.96892077859053,35.55755678262253,0
Non-Veteran,Christian,26-35,A,28.803157183525947,131.27639086306223,-43.31181737311031,B,A,C,16.964325101217547,A,A,A,81.24645742201885,-98.66611023551718,-4.88435394394656,1
Non-Veteran,None,18-25,D,-20.427785164034997,56.69720187475512,241.81808441159208,E,B,E,-27.491639639725218,D,E,E,75.09415349196445,-68.67668840890502,-23.199083713172737,1
Yes,Muslim,18-25,C,41.66067236648457,-22.28637288114443,86.55108867476584,B,E,B,14.432685875109074,B,A,D,115.55057766519555,48.206176182327795,-24.089677577996866,0
No,Hindu,26-35,B,-74.56979730202626,-6.109233078092368,161.49203743248734,D,E,D,-69.59277343430924,D,B,B,74.41371567767922,-4.126491988859749,-14.926365863257457,0
No,Christian,65+,A,102.48552375857459,-95.09905422595268,-2.9218518342002895,E,B,A,169.6955307836629,E,E,C,59.50531778069079,100.31585203390603,63.007112600116635,0
Yes,None,36-50,C,-62.94554775899863,-19.378252694556867,107.52309362506473,D,D,D,-59.928578414125575,A,D,E,-45.177947475403016,-73.38784424412266,197.0665341023528,0
Yes,Jewish,36-50,A,-37.134003271442616,-101.30500063958989,37.22663253388961,B,B,A,67.06396662197176,C,E,E,-29.152241725096882,-65.60551665467555,76.5062706216211,1
No,Christian,18-25,C,-66.90834377413962,44.57696441746246,14.517832208894028,C,B,B,30.491513552261583,D,C,C,175.73997674070222,67.33952401086005,18.070134899425977,0
Non-Veteran,Jewish,36-50,A,31.210776187452293,54.970672246984755,94.83203317492641,E,A,D,-61.68403142880966,D,C,A,0.532113510578461,-151.56736817429518,127.1209458735912,0
No,Other,36-50,C,78.17458898338106,-75.83522359538584,-129.8352935302092,B,B,D,-45.61192574074481,B,E,B,-180.2502098148142,7.694041236307739,178.6965958666442,1
No,None,18-25,B,0.4488574267477412,-146.5412421923184,-131.38763844003935,D,C,A,177.8380737646462,C,C,C,10.165070166586872,94.7295466516382,-118.66741956840796,1
Non-Veteran,Other,36-50,B,17.786395941487775,50.76610232148552,195.52643982313322,A,B,D,166.66740192752954,A,D,A,-81.36387363114342,87.27959297512845,-40.66088698146619,0
Non-Veteran,Muslim,51-65,B,-131.03229360476192,-19.49185466066801,-73.79033913831931,C,C,B,-279.36004041962076,A,C,E,47.21432660370587,-20.572592744096823,107.80132078147697,1
Yes,None,36-50,E,-57.50239848527341,167.47741506986614,-22.860610158365677,A,A,E,110.69470657420955,E,B,C,-82.1232096345716,-1.2897590098193932,126.91320786013827,0
No,Buddhist,26-35,A,47.30543828451117,-159.6834081004794,1.0612997515736118,C,C,C,117.31499837444457,C,A,D,76.10611655593704,-47.83810236944067,-175.51493520375135,1
Veteran,Jewish,65+,E,-49.50179050840551,20.392877750041006,154.7820620785488,E,C,A,55.57159973895798,D,C,C,97.86911623115184,-30.84764042179677,-76.07091439716552,0
Veteran,Buddhist,65+,D,-6.748912510588209,-107.63757311933315,41.728437660655494,B,D,C,-132.20966878925594,C,E,D,-40.98209828963618,-38.69232842001928,-98.75810482580438,1
Non-Veteran,Muslim,18-25,D,28.458919884471772,128.2488775611317,59.906721984800484,D,A,B,62.550676716791465,C,A,D,-125.43767959808716,-111.6428383517688,60.333880623571076,0
Yes,Muslim,36-50,E,-38.29773177447373,-70.53624677440648,223.37940859239671,A,B,D,-10.213472218715118,B,E,D,143.43437648159096,-11.166702231509657,64.58286804419602,1
Yes,Hindu,36-50,E,13.104226497309943,-115.01903845779222,-54.40619564214087,E,B,A,-30.280015598562404,D,A,D,-60.95496471084652,-154.09281321674072,7.15441259672383,0
Veteran,Christian,26-35,E,141.33597409132832,17.13482357312779,-245.4568726712155,E,E,B,-63.41278113433495,E,D,E,-159.95962431357472,-307.1917781916278,-2.681002177423695,1
Veteran,Muslim,51-65,B,128.47608448373612,-158.07803559443045,64.11512823719538,D,E,C,-35.426782108135605,C,B,B,-59.794075212544925,99.01433994268083,179.41940392537785,0
Non-Veteran,None,65+,C,15.511989363833134,53.867758165254884,-98.5597027874678,C,D,D,61.40158411973545,E,A,E,-168.672656073902,33.92915720172983,-128.09740912911167,0
No,Buddhist,36-50,C,-89.2586457242161,-39.27308653492586,33.593800590690584,C,D,B,-72.49621639455424,A,A,B,100.29824879353964,-211.25116083068605,-20.9217896869936,1
No,Other,51-65,E,-19.319397989802354,25.960055893110468,79.9741706444727,D,B,A,111.99587301543849,B,A,D,-149.7262793095259,65.10931982019183,-242.4694854002461,0
Non-Veteran,Muslim,36-50,E,-42.848551445707976,-36.94962352311801,-42.86948370457148,D,E,B,-148.77397884650213,C,C,D,29.903902069179196,45.50906340740305,-19.33930790130121,0
No,Buddhist,51-65,A,51.25422133732649,-30.137270286479346,35.237834625754346,A,D,A,-90.82841061522173,B,D,E,39.17706737580922,83.3367068791464,-60.67716402716484,0
Non-Veteran,Other,65+,C,78.9194294039843,54.769875735163765,-76.98305656475765,D,B,C,40.09053460849494,A,B,D,-211.72529648686336,10.165231709792339,-94.78085214344723,1
Veteran,Christian,26-35,D,-118.17536146945362,-279.0895764720953,27.210261563326593,E,D,C,-115.8221057719253,A,B,D,-47.672651489112305,-259.406530164444,30.224920857067666,0
Veteran,Jewish,36-50,B,73.26001572186173,-140.02588220391817,179.3535892671742,A,D,A,103.61831068418441,D,C,C,132.86714703834818,-135.0181269016242,143.3492560744244,0
Yes,Christian,51-65,D,-2.8564546852010193,212.85979349478978,-205.61132240695375,C,C,B,111.81769859893143,C,E,E,115.63528984414249,58.75368703289454,-161.4790889592977,0
Veteran,Christian,18-25,A,-53.30378720624748,13.52164120240102,95.10141776585282,A,D,E,267.6281210093579,D,A,D,-73.67895964898908,-28.31621757417989,-19.63737104698279,1
Yes,Christian,65+,A,-20.858608196885015,-165.43054591343991,-154.36699458269817,E,A,A,44.629818603167585,B,E,C,52.402869623766115,114.6563304064263,-76.50061585099786,1
Yes,None,26-35,C,15.894459989503684,-207.86506448249392,-16.45146652309981,B,D,E,1.0781138026360066,D,A,D,61.41181932364245,9.931379891771874,165.30167839390472,1
Veteran,Muslim,18-25,C,139.13557453592512,69.68437179170004,104.17886715541356,B,D,E,19.700065419355933,A,C,E,189.28633730886418,-199.30223034237653,175.66635758496943,1
No,Muslim,36-50,B,-57.72662865298127,44.562298532997744,3.270875840844003,E,E,A,214.3789555054732,B,B,E,-7.393818846624672,-18.192463328278926,141.32257620697055,0
Non-Veteran,Muslim,65+,C,-11.065360570691654,-74.0369414095076,-45.05897349824047,A,C,E,-13.625588263935853,A,C,A,-22.603134930270947,-20.30248958483957,67.50507360659104,1
Yes,Hindu,36-50,C,115.74135805383409,68.54356351848261,-191.95452794711417,D,C,E,-116.824477602149,E,A,B,177.64227116089134,29.147768387956834,116.81328469270476,0
Veteran,None,26-35,B,-57.000699718632916,25.52118272538405,168.9326173845875,E,D,E,-36.466235596585726,A,A,A,140.07449814502158,-69.34385523651646,-14.879592118479884,0
Non-Veteran,Christian,18-25,C,-168.4993717665259,-151.86475747772818,122.54169375769818,B,D,A,4.892921136134671,D,B,A,-96.96802189677078,-123.50098423792863,49.05553178520135,0
No,Other,26-35,A,-111.4153261077356,-33.078332464295045,-227.5848413068287,E,A,E,203.17917424447324,C,C,B,146.341160377595,85.80160716142298,40.72097160704512,1
No,Buddhist,36-50,E,90.32921595299257,30.046567476861945,21.660013890170386,A,E,A,-104.96653643228476,C,C,A,-18.239307436697676,-185.81072790137375,-66.65377734933634,1
Yes,Christian,36-50,B,13.60170379079497,-18.126697102375793,-65.93681260314594,A,A,D,222.06053756318545,A,A,C,114.99912976568969,-109.71911804310483,-55.892593482792726,0
Veteran,Buddhist,51-65,B,-50.408541033314144,-165.64120983486868,-189.3677629034601,B,A,B,18.509052612661037,E,E,E,48.965893872972735,-98.55467374852356,-88.1058661666079,1
Veteran,Hindu,26-35,A,-68.66017186115198,-55.8574470238116,3.136260302770872,A,A,A,-45.95959134019022,E,C,C,-28.975709004420985,-30.658194161162733,251.71066109890467,1
Veteran,None,51-65,D,53.70131389602998,-32.78249597123959,-32.798154766217884,B,E,B,52.471514533883344,E,A,D,-167.90728584168914,-52.900979390376094,-20.0269547955887,0
Yes,Buddhist,65+,C,-45.188284057955336,49.7452382205918,-168.2696264766366,D,A,E,164.35932664144752,C,B,C,155.91282929347264,-47.93426916935799,-66.16139457061378,0
Veteran,Muslim,51-65,C,-129.87608803023537,69.51529421959867,-163.27555336749842,A,E,A,62.25272354402587,A,D,D,-58.068705414606434,-176.89592778307812,-20.34941292185205,1
No,Muslim,51-65,C,157.51650699536808,-84.63240097632149,-38.49045237774706,D,E,E,216.18258619523846,B,A,B,-18.065219580880726,212.89239853104291,-57.06296726061431,0
No,Buddhist,26-35,B,-99.41808718006887,44.35392214236853,-65.40313675693564,D,A,C,59.723260327992044,A,A,C,112.87583560779075,20.858816957584356,-69.52680650319438,0
Veteran,Other,18-25,B,156.4134058944095,-78.1543902215799,-123.43160594337192,A,C,D,-90.54027298042872,D,A,B,-73.59869080353289,-8.147499808466108,-25.657788743719102,0
Non-Veteran,Buddhist,26-35,B,15.951506808904819,151.43462312910458,58.99955170919677,A,E,E,105.18494314029778,B,A,C,-75.0942515842564,-85.66941450038925,-23.4103234021211,0
No,Buddhist,36-50,E,148.6160468135413,-129.8352911660622,-0.4893851096487994,C,A,A,-38.73505126259703,C,C,A,138.42172412448022,-61.08558045266196,58.12190117791914,0
Yes,Hindu,18-25,A,49.54963063866125,-22.60869412776903,44.244852501796075,C,D,B,-129.19309107397626,B,E,D,-47.168142755234804,-210.5928473750645,-59.93711151026863,1
No,Other,26-35,A,147.1568316087105,78.52470516168695,212.74415592349132,D,B,C,15.44019531502345,E,C,B,43.930844699695875,-187.36902103518074,12.3780266764442,1
No,None,51-65,E,-27.216753251961485,73.60031169020837,110.41617254690301,A,C,B,29.467634077540538,B,E,A,-29.986440137301308,-68.50459842986774,84.84576565630942,1
Veteran,Christian,18-25,C,264.07685942125164,95.50182783480689,184.8067430194564,D,A,B,147.75110329630067,E,A,A,61.96684531181087,172.67874985969848,-189.6011700088887,1
Yes,Other,51-65,B,70.04362280195559,-119.3629498130701,20.912387173822548,C,D,A,88.23669585284897,B,B,E,-5.680584711814785,-44.173731898504535,26.483879222748786,1
Veteran,Muslim,65+,D,141.18904161604598,6.205263079801872,107.23564136194837,C,A,A,-69.42606846934311,E,A,E,77.99450345804757,227.6849500645358,-119.9589288719569,1
Non-Veteran,Muslim,36-50,A,58.746060363743666,-149.99773274214834,24.21866930258194,A,A,B,-94.60696581265316,A,D,D,78.08074321752133,-78.25573406704075,58.89235252877083,1
No,None,18-25,A,-111.059444528424,2.21972064037951,-1.1046206732627502,A,C,D,-121.42584786595106,D,B,C,29.40738060969676,228.12668498023103,167.94817004336727,1
Veteran,Jewish,18-25,D,201.2990804261627,177.10355813311725,226.42764356966208,A,E,D,106.53044001256112,E,D,A,-41.92891805567796,-65.55637205239412,-67.17455454537868,1
No,Buddhist,26-35,E,64.7290870770875,-55.19168400945274,-23.922495355194243,E,D,C,149.6775923674917,A,A,B,-32.854616378792244,-31.650709023401514,-1.4547865550734045,1
Non-Veteran,None,18-25,E,93.63805098577427,5.581034156084865,25.55144457376931,C,D,D,110.09043396291405,D,D,B,-106.13952043721284,110.25982340516123,-91.13407140864574,1
Yes,Other,65+,E,-50.433286613487894,244.20849918654758,34.00404358220942,A,A,E,196.31206777696664,A,B,E,24.66409944294132,105.17263152554305,-133.92574879069937,1
Veteran,Muslim,65+,B,-27.16236452685553,105.31966619666025,63.11213363586666,E,E,C,53.79991109744518,D,D,B,-33.54614236928227,-36.003498602530186,-118.9606762939825,1
