race,Veteran,nation,birth_year,feature_0,feature_1,feature_2,feature_3,feature_4,target
Asian,Yes,India,59,E,-92.42474775130853,25.387436698744292,154.46353109111072,B,0
Hispanic,Veteran,Other,67,E,-236.47067363622395,-45.92426943009604,-196.1089755809109,A,0
Hispanic,Yes,China,52,E,-53.03187887475222,135.80397983189815,133.1111457556028,A,1
White,Veteran,China,46,B,-70.29447737953576,-323.8407403003079,104.32096291568416,D,0
African American,Non-Veteran,UK,38,C,-25.374554157814842,-31.93996239236872,-154.35606487861472,B,1
Black,No,US,69,E,-116.72395666692958,80.75065985915847,140.33842848673856,E,1
Asian,Veteran,Other,78,E,-15.299190875373103,20.888444271244957,-77.01222024806314,A,0
African American,Yes,UK,18,A,-72.54518792961663,21.872642424097883,151.08616723405996,C,0
White,Yes,India,28,E,-100.21763115548967,122.24913674200326,-17.28141143375194,A,1
Hispanic,No,Mexico,37,A,144.13282598511228,2.842045907019871,-69.80093580751617,A,0
Black,Yes,China,73,D,23.4195659658726,-1.1792451912761361,109.46514614548776,E,0
Black,Non-Veteran,Brazil,39,D,-94.02139008832133,160.46272061821938,173.7317376813821,D,1
Other,Veteran,Brazil,21,A,-51.61906427010939,114.6646047355457,111.53640383773906,E,1
Asian,Veteran,Germany,70,B,49.314269565403116,-134.70606121622637,69.5545694376165,D,0
White,Veteran,India,76,D,-28.916442400256457,-116.22397826388338,142.0923538101422,E,1
Other,Veteran,China,32,A,-35.365691194948106,-47.0134846533739,18.952874229424175,B,0
African American,Veteran,China,70,D,-2.327926934592196,52.219779650186204,126.02590427064338,E,0
Asian,Yes,UK,59,B,-69.74747504868716,-155.43048404637213,139.07064586807195,E,0
White,Yes,Brazil,48,B,-119.23515740458302,-251.90861702244516,-219.29916784078242,C,0
White,No,UK,18,C,-35.368911844674564,45.136686502256346,153.01838134937034,B,0
African American,Non-Veteran,UK,50,B,-7.577231246271577,155.23401403612482,58.21520206994174,B,1
African American,No,US,69,C,-202.00528007875872,-83.48164747786132,-75.9483749861225,B,1
African American,No,Brazil,38,B,92.13849008578713,13.936802517045951,40.3839854195018,D,0
Other,Yes,Mexico,72,D,-49.52501009571167,-36.97902259761455,-31.846165538242445,A,1
Asian,No,US,18,A,-55.96605377993503,145.12152775299575,-45.5023022015161,A,0
Asian,Yes,US,44,E,135.70345105015187,-189.10369575643983,53.16274552142312,D,1
Asian,Yes,US,18,C,-82.50886901631704,206.9760740061526,-179.00877482989515,E,0
White,Yes,China,71,C,0.5093324192017006,-37.176742494656565,2.4676267290067946,C,1
Black,Yes,China,69,B,60.57239607418074,-114.73175946408733,-23.010354398066255,C,0
Hispanic,No,China,43,D,-107.79257388288185,17.127046389130538,-216.86386755594648,C,0
African American,Yes,Other,73,C,17.93729291287983,163.49386849550373,-115.15731245023709,D,0
Asian,No,UK,53,D,39.84271967640298,47.65494030405594,71.34475185256254,D,0
Hispanic,Veteran,Other,62,C,-60.86558640663819,-77.7571904835343,84.97159228037725,D,1
White,Non-Veteran,Mexico,41,A,-98.36187273490403,97.77631455214978,-58.483348647098076,D,1
Black,Non-Veteran,Germany,52,A,42.44646723770889,231.72687678764015,-2.269119909041087,E,0
Asian,Yes,Other,54,E,141.9126955695521,-80.17034188293503,38.69364330482649,D,1
Black,Yes,China,71,B,61.686313939195436,41.43428891221744,-61.74708764442956,A,0
White,No,US,69,C,-74.90314857730688,135.6547979201794,-50.68765475113351,E,0
Black,Non-Veteran,India,79,D,20.617556801980307,-145.94074607292384,54.83512300133797,E,0
Asian,Veteran,Germany,67,B,-9.087310044469755,-168.8073626106204,-29.44646321812545,A,0
White,Yes,Brazil,21,B,74.03072931471804,10.932194809552868,-85.98414052220768,C,0
Asian,Non-Veteran,China,32,E,-2.6548951687934452,-1.4977025486347435,-175.62437406428072,C,1
African American,Non-Veteran,Brazil,19,D,86.52910762768029,-136.38044572714335,5.157460010994027,C,0
Black,Yes,Mexico,30,B,131.2782141112912,-34.14254112721709,61.583336395860954,B,1
White,Yes,Brazil,68,B,15.403731198331958,16.496123337498307,19.944451152901742,A,1
Other,Veteran,UK,24,D,-191.29979490936225,-21.948148352041997,41.488602325270115,D,0
Other,Veteran,Brazil,23,B,-95.66253266887844,-67.93338284092513,-106.75756732745853,E,0
White,Veteran,Other,66,B,37.88713051746002,56.59135597821915,88.16070098993643,B,1
Other,Non-Veteran,Germany,46,A,154.92077521557613,73.30907655540034,-64.90136224927434,B,0
White,Veteran,Brazil,54,A,-50.442582666939394,-39.648707666444274,-84.05221165127615,E,0
Black,Non-Veteran,India,30,E,-26.332641358972687,263.4382204805241,-61.47105109682808,A,1
African American,Non-Veteran,UK,56,D,-26.193318814163703,-151.4887868552528,-167.91365952631102,B,0
Other,Non-Veteran,Mexico,62,D,-19.143432899205333,-41.80832326323291,94.01892144725701,D,1
Hispanic,Veteran,US,65,A,-83.87988843762434,24.96942587804206,-25.831112506832955,D,1
Hispanic,Non-Veteran,Brazil,40,A,27.726504462125078,27.60379966638568,14.395096777468005,E,0
Asian,Veteran,China,67,C,41.90371841541385,-12.29952519356531,-96.92410186052574,B,1
African American,Yes,Germany,50,E,-99.06517222660204,121.03328290734427,-98.87999141699821,B,0
Hispanic,Non-Veteran,UK,27,B,145.33571793130997,-48.02214608237535,125.05305872197232,C,0
Other,No,Brazil,41,A,-138.09405791294844,-128.40214414551835,40.79837907212263,A,1
Hispanic,No,Other,26,D,-69.18675546304452,74.27975878642293,-87.90939739645265,C,0
African American,Non-Veteran,Other,30,A,74.8531672218585,113.61395229881192,-139.42712143929378,D,1
Asian,Yes,China,52,B,207.39544740659107,-69.58895425360382,144.9053855519491,C,1
White,Veteran,Mexico,59,D,-70.50109980829023,55.432157552392894,-83.13458145034467,E,0
Asian,Veteran,UK,79,A,8.829761709984341,95.91958136222873,-106.78699093945447,A,1
Black,Veteran,India,52,D,-8.416944292974568,-49.07996430793568,71.88068548437745,D,1
Black,Non-Veteran,UK,24,E,228.07942043539953,5.687285492748455,-195.2016505129297,E,1
White,Non-Veteran,Mexico,66,B,121.24093238601792,11.022750102386759,-138.06636827593172,B,1
White,Yes,UK,49,E,-198.12375982459267,132.09493658178212,9.661073044364631,E,1
African American,No,US,67,B,96.24495060424498,-106.79989286856282,113.05492179180649,E,0
White,Veteran,Other,64,C,41.341277542010744,-35.760103994806585,0.6053720050858296,A,1
White,Yes,US,23,E,100.42079269911429,-31.358621510272055,-98.88274158341919,D,0
Asian,Non-Veteran,US,70,D,148.72294191630516,6.8725528503051105,-47.28022198066248,A,1
Hispanic,Veteran,Germany,25,E,12.07328714594262,-30.78276979864037,-101.90828467418392,E,0
Hispanic,Non-Veteran,Other,56,E,-160.34158851667485,32.08401007134011,108.1526692262117,D,1
African American,Non-Veteran,India,62,D,102.74194046557498,117.46480362368573,-54.10229680975308,B,1
Hispanic,Yes,UK,62,B,13.871348647285242,65.63233774295152,64.92261007309035,D,0
Other,Veteran,China,58,E,-94.46734006232134,-32.75083252166777,90.98956638574708,A,1
White,Veteran,Brazil,75,B,4.721034305670577,49.76374547316185,-59.10614014272446,B,0
Asian,Non-Veteran,Germany,72,C,-114.30486729091847,-118.36025454643861,-177.65953689445894,A,1
Other,Non-Veteran,Brazil,19,B,-10.794262730394303,212.40980769892923,116.58299897278212,D,1
Hispanic,No,Other,35,B,-25.28802871750992,52.13672256158175,-84.43594249244929,C,1
Hispanic,Non-Veteran,Mexico,39,B,-166.85900700895456,-8.858725233051308,-53.54762900339662,E,0
Other,No,UK,25,B,-106.94115456241387,10.070208117192912,105.50069140760787,E,1
White,Yes,Brazil,49,D,54.11211675308421,-80.34437957547838,70.04754371552391,B,0
Other,No,Brazil,28,D,13.827512402846862,40.76202881336868,49.63585099797704,A,1
Other,Yes,Other,64,C,-27.956956086663208,211.0436377781008,-30.435564218936427,A,1
Black,Veteran,US,79,D,155.00798415851315,74.88439307794634,-15.810896780338227,D,1
Other,Veteran,Other,39,A,170.18038184586499,68.7410172790882,-68.67329342954417,C,1
Black,Non-Veteran,Germany,66,E,-62.52894347150087,-1.355354572972955,147.8555037270852,C,1
White,No,Brazil,23,C,-27.694868540465627,48.0087141213095,83.16749401172437,E,0
Hispanic,Yes,Mexico,20,B,158.54435575320335,-230.89296915826313,59.017664047234376,B,0
Asian,Yes,China,67,E,-56.99125100741487,-145.05374519543756,30.36818313655384,E,0
Asian,No,Mexico,42,E,-100.15192716393145,37.27272427806507,115.09439815894527,E,0
Asian,No,UK,77,B,70.94101587541019,-28.40021545556023,-112.83672467103692,C,1
Asian,No,Germany,67,A,265.5324684310554,94.91475431490754,109.36063871805572,B,1
Other,Non-Veteran,Other,35,C,12.080536446983544,20.86486935075107,-176.1140495061102,A,0
African American,Veteran,US,61,B,-99.92926326421939,91.10353960944309,-71.58006556914049,B,0
African American,Non-Veteran,India,23,C,-100.46546429334504,-166.45172873594524,-33.86628420658868,E,0
African American,Non-Veteran,Brazil,25,A,290.4521703191552,-165.94440062655488,-31.13071429178244,E,1
Asian,No,Germany,40,C,-102.48554801963714,-20.253303222407883,208.13176520770566,E,1
Hispanic,No,Other,20,A,78.69414192942095,-128.5037360296109,61.56515997651139,C,1
Black,Yes,Germany,30,D,2.79040741706551,132.52289647624508,-97.4377712799945,C,0
Other,Veteran,Other,76,E,25.190795444068176,62.85566435941078,66.85001710237428,A,1
Other,Yes,India,27,A,-123.79539791941514,100.86453306801641,-113.774453429542,D,0
Black,Non-Veteran,Germany,31,E,-148.22235506739347,49.32669098897271,-52.135483166795396,B,1
Hispanic,Yes,Brazil,77,E,-75.75482240923169,-320.0069724738018,212.73119395862597,A,1
White,No,Germany,75,D,71.44400950909755,-35.58260869022862,-17.500060710958497,E,1
African American,Veteran,India,55,D,-201.96478611340248,117.17261514686103,57.66616548115693,A,1
Black,Yes,Mexico,45,E,19.652511307542667,50.10446458223963,134.72780911610653,E,0
Asian,Yes,Other,66,A,95.70828443143006,3.8858552412874636,-97.39725774058073,B,1
Asian,No,Germany,72,E,16.708584639108935,183.44226114301452,-81.61535008267946,A,1
Hispanic,Non-Veteran,Germany,51,C,66.0525030383176,-162.28448493737685,1.9485257363039084,E,0
Black,Non-Veteran,Mexico,74,C,-46.19646753537245,-7.7347422241524075,-30.150089298349442,C,0
White,Non-Veteran,Germany,69,D,16.97563066585917,16.650237781436246,85.83601676437634,A,0
Black,Veteran,Germany,60,C,66.13695559724701,122.68259843753427,-17.34974704314432,A,0
African American,No,US,49,C,-152.7370619718505,-129.75378710440742,-3.18999883912624,C,1
Black,Yes,Mexico,23,A,-162.65756058441985,50.24927311699272,-31.216362110604518,E,0
Hispanic,Veteran,US,58,B,28.703993577402976,-69.20182924775796,20.862129724037242,B,1
African American,Yes,US,23,E,1.5300549056615895,55.0865346331223,-136.36604054528237,C,1
Asian,Yes,Other,31,D,-94.86897016357786,81.20326133537021,-6.394524653304378,C,0
Asian,Veteran,UK,78,C,-2.1447605298478436,-111.38591352431722,-91.74147635633048,D,0
White,Veteran,UK,72,B,5.637995971601285,29.694691656635086,-3.9662413268563594,C,0
Black,No,UK,53,D,-30.69627610846751,138.80022402668172,-36.41647395090729,B,0
Black,No,Other,35,C,-86.75685952494749,-14.485370923240456,212.41861691443114,B,0
Other,Veteran,Germany,54,E,0.7778398037074941,-67.58993260239538,272.0264566143039,A,1
Asian,Veteran,Germany,31,D,29.464073847557316,-35.49168034220872,118.77542021115575,C,0
Hispanic,Veteran,Germany,66,A,-7.576350651367555,63.046288741522716,-93.97594835620772,B,1
White,Yes,Mexico,73,A,-79.06106883673893,-24.016131104281683,66.9992818180234,E,0
Other,Non-Veteran,Mexico,79,C,-116.5899525784541,-115.18702301019623,94.62521428391551,B,1
Asian,Yes,Other,62,D,-144.61925448856368,42.07073764644401,-17.56909370411776,C,0
Other,Non-Veteran,China,29,E,-76.49731979034206,-97.87120602853977,-54.699506709480175,B,0
Asian,Non-Veteran,Mexico,39,C,45.057367988133265,5.410762594244362,-98.77843438298056,A,0
African American,Yes,Mexico,40,A,126.53639574462181,53.04493425905764,114.36359506781433,B,0
Hispanic,Yes,Germany,30,C,-76.41964978568538,-65.39110970370365,-214.52196411641995,B,0
Black,No,Germany,38,E,88.24253260450612,70.11627078260334,-119.07408692424042,E,1
Hispanic,No,UK,49,E,39.05511272644049,58.510453811989514,-12.464829329486658,D,1
Asian,Non-Veteran,China,34,C,-23.55173989590996,55.919912568726915,-81.62591667819163,D,1
African American,Veteran,Brazil,37,E,115.29492789700546,115.44983637045935,-28.25759601599142,A,1
White,Yes,Germany,64,D,-25.00527645069693,8.828166913235687,253.19144209485458,D,1
African American,No,India,34,C,123.09647996808695,51.77392999382723,21.57597769129654,E,1
White,Yes,US,54,D,10.400795567171636,-24.51783144855792,110.09890900650907,A,0
Asian,No,Other,36,A,-81.2248861319579,12.962857985005858,22.13255407133922,B,0
Black,Veteran,Brazil,27,C,4.356455964339627,188.0022838922536,-54.62897665987667,B,0
Black,Veteran,Brazil,72,B,52.613722351023675,36.83493272107067,32.152792118529945,B,1
Hispanic,Non-Veteran,India,37,C,-20.114285729584672,-13.219084112550647,107.16191184354172,A,1
Hispanic,Veteran,Other,77,D,-141.8871672157661,-139.32099923600174,14.10050787470854,C,0
Black,Veteran,Brazil,25,D,-25.364140961742553,-93.25492770513439,-41.832440463667616,D,1
Hispanic,No,US,67,E,38.84068672139973,69.68025401760212,71.91620487875768,C,0
Other,Veteran,Mexico,26,D,-11.436655785695743,78.05252303083545,-4.306656526647965,D,1
Asian,Non-Veteran,Other,73,D,-45.76812969005778,133.80840225415744,-1.2625251227147478,D,1
Hispanic,Non-Veteran,Mexico,67,E,87.88351663541827,-38.396200631888554,6.0268051017808295,C,1
African American,Yes,Other,73,A,-68.05904374239617,265.2976875269176,-70.74321723610846,A,0
Asian,No,China,62,D,-74.14090614298173,142.6529494015175,-103.27150996828973,D,1
Other,Veteran,US,38,B,59.56649835644014,7.360085804631075,-65.85493511873022,C,0
African American,Yes,Other,42,E,-21.490297884171536,-4.396222517204468,112.17527544507166,D,1
Hispanic,No,Other,51,A,2.7637108017926653,-97.02299839351902,6.592008772804498,E,0
Asian,Non-Veteran,Mexico,33,A,128.80011705875415,141.89074278257385,56.46336846446396,B,1
Hispanic,Veteran,Other,50,C,90.88854110507665,-142.8747420308536,178.15252164918562,E,1
Asian,Non-Veteran,US,79,E,-160.1200087022589,31.555614522447083,-4.3214430616962165,B,1
White,Veteran,China,27,A,-175.33493119205235,-184.50733905185527,49.16777033560999,C,1
Black,Yes,Germany,22,D,-10.352446034401442,-26.512450445905404,-8.690665331438279,A,1
Black,Veteran,India,61,A,-217.5046930452212,28.523230480589206,23.854475902445742,C,1
Asian,Yes,Other,52,C,72.90790325895122,69.90171141321946,-23.855702917687648,E,0
White,Yes,US,50,A,226.61209954950138,80.45457903960389,85.52413888688754,C,1
Asian,Non-Veteran,Other,39,A,0.689669567158408,-61.64092679523468,-54.01319991932597,B,1
White,Yes,Brazil,43,C,53.308341963748184,2.9567164429544897,47.08768380660861,E,0
Asian,Non-Veteran,China,19,E,156.43084466386026,-173.28603849816653,155.03198873424765,A,0
Hispanic,Veteran,Germany,54,D,37.16497419654763,-77.37227986498498,97.70770375052706,D,0
Black,Veteran,China,75,B,-181.9428086405178,141.1627141908224,-82.4101279473432,A,0
Black,Veteran,UK,45,E,-78.89127616213946,16.36544512444267,54.413062351807696,B,1
White,Non-Veteran,India,74,E,167.56699434403455,-112.25472619138863,41.65376979132861,A,1
Hispanic,Yes,US,41,D,8.917515214643219,-22.57658385363156,-18.670351870633144,B,0
Black,Veteran,UK,62,E,-154.3653218173319,-54.79121458509765,15.407120375856021,C,0
White,Yes,UK,33,A,106.41694596937813,16.169973210661166,-91.38276472831704,E,0
Asian,Yes,Brazil,29,D,-29.287840902694974,-42.34149250961219,60.65119267318171,C,1
Black,Veteran,Mexico,74,B,-73.37821100128524,-60.49029130946298,-121.67401919489788,D,1
Asian,Yes,Brazil,38,A,-82.69654815392451,53.27978630400325,-17.264768959256564,B,1
White,Veteran,UK,30,E,-50.166526782863684,-162.98353073699028,-79.5845923613081,D,0
Asian,Non-Veteran,Germany,65,B,-131.63839324356584,-14.022333974381901,-30.68708207021858,C,1
Hispanic,Yes,Mexico,45,E,217.82533001243763,-94.47232909842782,150.14115566653908,A,1
White,Veteran,Other,45,E,66.29019721480883,72.21012636252125,-29.61507384063665,A,1
White,Non-Veteran,US,49,A,252.0080576969066,-0.8634213679858121,-15.862583932546517,D,0
White,Yes,US,30,E,12.792545403213445,108.12476706652139,22.245965906551053,E,0
White,No,India,39,A,225.6867281632732,67.58774540138361,-33.272707909946746,A,0
Hispanic,Veteran,Mexico,73,D,40.15717662422881,-6.979577766568723,-45.30476157747392,A,1
African American,Yes,US,50,E,-34.50916273211167,-33.32044867278173,-78.70779185497088,E,0
African American,Yes,US,65,E,-87.06068229157312,156.41531447809726,-70.5442803580654,A,1
African American,No,Germany,27,D,211.86190150450668,61.56411893698951,-36.39784598959188,D,0
Other,Veteran,Germany,66,B,217.90025953197295,-113.70059399241433,-35.94768132852305,E,1
White,Veteran,Germany,61,D,-70.44819065219905,-89.0105101932821,-112.26528321003786,A,1
Hispanic,No,China,28,A,-63.245856089860595,-120.76285438498553,-0.9387552906539174,E,1
Hispanic,Veteran,Mexico,38,A,-121.57813814199801,254.89021802612126,-51.630254825190825,C,0
Asian,No,US,36,B,-21.133182357657983,94.736716129552,-65.23139157560124,A,1
Asian,Non-Veteran,UK,64,C,-149.02655696543883,164.2340962102862,146.78435315156085,B,1
Other,Yes,UK,18,B,29.446878552723337,207.24791399403196,117.08006090498932,D,0
White,No,Germany,60,B,-61.948862183834166,131.3358025309558,-10.159922766547366,D,0
White,Veteran,Mexico,45,B,-68.5000229740149,104.08881215496875,-0.6245169785278653,D,0
Hispanic,No,UK,63,D,-67.63266091941263,237.77219889437328,64.28952453490578,A,0
White,Non-Veteran,UK,38,A,157.89477247949665,-110.69189521140154,-18.34402442716083,E,1
Asian,Yes,India,19,A,-101.37457566648196,139.34001817159964,-168.2404325556461,B,1
Hispanic,Yes,Germany,62,A,47.48801943573411,46.148451551198846,-28.10535181414468,A,0
Asian,Veteran,Mexico,42,B,-85.99531416938024,-31.186723023075814,95.25970609519308,B,0
White,Yes,China,39,C,66.03884706979926,41.57004695308784,22.139836664939498,D,1
Hispanic,Non-Veteran,China,20,B,57.166484009864824,82.55173027436523,-75.55317811544381,A,0
African American,No,UK,49,A,148.22993497005885,-174.7767468392121,-2.4213470922575393,C,0
White,Veteran,China,26,A,-84.4515698052371,-34.486569720007395,72.77344142126464,D,1
White,Yes,UK,47,B,72.45197313590232,-174.9044490625874,93.94549347206804,C,1
Asian,No,India,43,A,110.49178351003424,135.24552944696762,-85.7500044921577,C,0
Black,Veteran,India,28,D,-88.7121991570004,234.7128865668356,-90.95940918286647,B,1
African American,Non-Veteran,UK,24,A,-229.52206398152288,103.11697203578869,52.38886987000457,D,0
Other,Yes,Brazil,50,D,-88.68757084134316,82.38817394026346,-43.25200750038453,A,0
Black,Yes,Mexico,45,B,135.87754648849935,-87.52108614953356,-117.17382195844814,C,1
African American,No,India,71,D,30.13801087200441,13.775199394350778,-118.01110047853322,E,1
White,Non-Veteran,Mexico,27,C,-116.6924278862125,-60.74766151375559,-62.64421348784373,B,0
White,Veteran,Other,26,A,-59.241694732273764,57.15339772694542,2.39546651930202,E,0
White,Yes,UK,73,D,-77.6879303584008,-122.60413998686859,-46.19509281003363,E,1
African American,Veteran,UK,19,D,-14.732194801812074,-19.030503025900952,-101.44120282147273,A,0
Other,Non-Veteran,UK,52,C,-106.82147072006333,-50.11824778918044,47.791275258634805,A,0
White,Yes,US,57,B,126.95101019048707,-85.66502577618895,-63.28306451654518,D,1
African American,Veteran,US,27,D,-43.32405613727398,-6.241543356688679,-82.44095288450781,C,1
Other,Yes,Mexico,25,D,70.19304754149697,-7.3191610054638705,141.63426911035907,C,1
White,No,Mexico,75,E,-168.66950889954228,53.7257184507059,268.338535394169,B,0
Other,No,US,19,E,-141.93689297112303,-71.59554971565721,135.50884194493779,B,0
Other,Veteran,Mexico,41,E,46.84406420815975,-171.77986497881125,-45.45487589793161,A,0
Other,Non-Veteran,Brazil,25,A,-294.4306050384992,-63.08142933304306,189.4981394317107,A,0
Hispanic,Non-Veteran,Other,39,C,-102.08535843730189,-129.60381148842404,-123.73176425593297,B,1
White,Yes,Other,53,B,53.2152436160503,109.84064773105182,-95.44160859824731,C,0
Other,Veteran,Brazil,48,D,34.61364236489778,72.54561861192829,84.28776207660928,D,1
African American,Non-Veteran,US,71,A,41.32881386740356,47.991995252520134,38.62096673929054,B,1
African American,Non-Veteran,India,76,C,127.08552292158018,-58.851962550624215,90.05791736027491,E,0
Black,Non-Veteran,China,67,C,30.01027254107348,-101.8408262937097,-82.65465246924883,B,1
African American,Non-Veteran,US,65,D,39.819178253340056,-138.6120669044165,231.98943238654434,E,0
Other,Yes,India,71,A,-104.39889414862698,-207.0591347863575,84.75953673161285,D,0
Asian,No,US,20,C,-50.38955396991521,109.94705477832683,4.742325166591998,B,1
Black,Veteran,Mexico,61,D,0.8549871612745156,-68.94614576177115,25.4780418390607,B,0
White,Non-Veteran,Other,34,B,125.42724841647845,101.3591179807411,-221.61814008646422,B,1
Asian,Yes,Brazil,22,E,-153.35591129689647,-93.13203324601916,-42.236402498116036,A,1
Hispanic,No,Germany,30,A,-145.77848689734017,57.97903692550682,59.92363519958215,C,1
Other,Veteran,Brazil,65,A,250.31916692901018,115.53889993985511,-161.39196795092363,A,1
White,No,Mexico,28,C,-34.84514580882549,81.82429458138542,-102.22499408315144,C,0
Black,No,Germany,58,E,129.7592666025604,134.43864348604137,108.17921696136712,E,1
White,Yes,Other,37,D,-82.12296274588977,-81.09191071007963,-73.09086812516712,C,0
Hispanic,Yes,Other,21,B,-2.187500986688463,-75.69618188066262,58.75066819008955,B,0
Hispanic,No,Other,20,D,15.062551718500783,49.2043792875135,245.7476791528208,C,1
White,No,Mexico,77,B,39.33831523228684,73.45295175066346,74.11837419665174,B,0
Black,No,Germany,43,D,59.91175515622914,-10.397904790091955,-101.88283419468848,D,0
Hispanic,Yes,India,57,C,-139.82833745994455,86.26813614637663,41.07847191766806,C,0
Other,No,India,25,B,-31.362199847003552,25.035132910425737,321.7379693376524,A,1
Asian,Veteran,China,29,C,-18.977833017238904,-55.82230466581829,-33.15019643353587,A,1
Asian,No,India,44,A,188.84777673714044,21.080583845236823,9.02267777423904,D,0
Other,Veteran,Other,63,B,181.98041170976373,45.79461113932698,62.73316906493183,A,1
African American,Non-Veteran,India,31,B,87.70625967006599,90.6456657865496,76.23646610955352,C,0
African American,Yes,China,30,D,-66.29257658538343,34.10023720884852,76.1683214940611,A,1
Other,No,Other,41,B,62.74970427058302,-59.92551132297883,-72.99520629982689,A,1
White,Veteran,India,35,C,82.47782747790521,184.3246068629911,79.72530805152441,A,1
Asian,Non-Veteran,Other,55,E,-130.1443185786057,1.4390258749019633,-19.6252443848059,C,1
White,Non-Veteran,Germany,35,D,-86.15737199242794,-182.89372380636,-86.7107883458754,E,0
White,Non-Veteran,Other,71,B,-18.044092577357247,-253.93109163134596,118.98149495384641,A,0
Black,No,Germany,57,B,113.73803291371947,22.80040794986401,161.50457493847128,B,1
Black,Veteran,India,56,C,12.988042732274454,-13.92251060379374,-53.52404768354081,B,1
Hispanic,Yes,Brazil,60,B,-202.38055130259713,72.8150640909756,39.12158977911163,C,0
White,No,China,35,E,67.68428567519324,91.8517256212977,-239.0104831340012,D,1
Hispanic,Non-Veteran,India,20,B,-0.4862816932837247,173.70256564830154,-51.194559335500465,D,1
African American,Yes,Other,78,D,-85.25313951973291,-13.609714950220846,-33.27107745460077,C,1
White,Non-Veteran,UK,19,A,153.8967002962409,-18.1387615792872,87.44058933203588,E,0
Other,Yes,Other,68,E,83.70094201879958,-105.58598995462269,46.733649764093855,C,1
White,Non-Veteran,China,69,C,32.37623069381226,-92.57928462859542,-38.77467909200882,A,1
White,Non-Veteran,Other,79,B,-97.53202895462616,131.03923864984074,37.79538651369269,D,1
African American,Veteran,Other,56,A,-73.25560513123064,25.53492981310777,70.22155262744663,D,0
Asian,No,Mexico,32,B,5.21256270988867,-7.906849127919248,-62.175888282568245,B,1
Other,Yes,Germany,62,A,-43.934613477377944,147.11417800415848,-132.77868753863697,B,0
Other,Yes,India,79,B,-16.46490881553156,-14.071633855617435,-118.86172268732169,E,0
Other,Non-Veteran,India,31,E,-158.38142319886563,-83.9909193504441,-59.05114601536477,C,1
Black,Veteran,UK,42,A,-15.076930664428174,-9.676914261157288,130.6320835150459,C,1
Asian,Yes,UK,48,B,-6.107320700232602,-98.8221318396038,34.782227700732975,D,0
Other,No,UK,71,E,-134.2569277854432,-187.81221638594857,137.0327674193848,C,1
White,Non-Veteran,India,42,A,32.49357644782738,17.845984744447836,-41.347074735143714,A,0
Other,Non-Veteran,Mexico,33,D,-39.95343741894805,-146.28934903427415,-41.31723580904842,B,1
Black,Veteran,Mexico,45,C,-164.89624816421045,-85.45059081838036,235.05614699287332,C,0
Asian,Veteran,Brazil,64,B,-4.948359468885884,-8.540960331367007,-79.88257244167418,D,0
Other,Yes,Other,68,B,186.4103269134047,48.958222006988386,-134.42151562879954,B,1
Black,Non-Veteran,UK,45,E,-78.56924874702457,-131.09874044200873,-104.563700114116,B,0
Hispanic,Yes,China,48,D,130.10515021985395,0.9237030639977021,77.60206073970764,E,1
Other,Non-Veteran,UK,75,E,37.977099786482235,52.136559796440466,-303.56611538757943,D,0
Other,Yes,China,54,C,1.4936625910160939,205.46356355324681,-59.14605579354141,A,1
White,Yes,Mexico,20,E,113.36682561997291,31.583047049881763,16.977677910283226,C,1
Other,No,US,70,A,154.72003219629192,-7.458067910206435,20.08362798818071,A,0
White,Veteran,Germany,56,D,63.767829094762504,-63.95467804538602,68.98301833784595,A,0
White,Yes,UK,62,B,-24.028127049686166,174.33213924685128,-101.69441814971209,C,1
Other,Non-Veteran,China,73,B,53.225313171535724,-26.53921050871757,131.91144339400535,A,0
African American,No,UK,58,C,15.461473912214169,-30.613021013031478,-99.17148875338646,C,0
Black,Non-Veteran,UK,21,C,61.40560041403609,-33.565441964407874,308.1296858262573,E,0
White,Yes,US,62,E,-14.794192176692347,-73.6084402140363,31.037824430002146,B,0
Black,Veteran,Germany,56,A,13.298573446119324,99.52938116586523,-24.110525185212104,C,0
Asian,Veteran,Mexico,73,D,-39.83211793562052,237.95655072718657,55.521770241926575,B,1
White,Non-Veteran,Brazil,67,C,33.01861693810774,-177.4494081937163,-263.3275729201237,A,0
Black,No,US,57,A,-15.448284341793908,-16.088940654292514,41.62117023427495,E,1
Black,Non-Veteran,India,24,B,-76.2414311614032,19.79437187951619,-53.13394799079425,C,1
Hispanic,Veteran,UK,26,B,-106.45325460460988,68.65211811566844,-28.84007346112875,D,1
Other,Non-Veteran,Germany,40,D,53.65545452913104,-156.3584307810692,21.697414453867843,A,0
White,Non-Veteran,Germany,64,D,139.1308849292326,158.45328445186883,-48.72352694059769,B,1
African American,Non-Veteran,China,30,D,-376.6724426380633,53.52455580653831,15.607555836318085,B,1
Black,Yes,US,27,E,-331.3949034188145,335.6857169326398,176.29576900534994,B,1
African American,Yes,Brazil,26,B,-159.532439434212,77.64886150665863,152.80898037575133,A,0
Hispanic,Non-Veteran,UK,57,D,11.401806021413025,155.35584105533246,15.323414885128148,C,1
African American,Yes,US,35,B,15.63930212378526,-7.149365660860556,161.84464406575657,D,0
African American,Non-Veteran,China,32,D,40.33750490202482,-21.010840719553965,231.7421318467013,D,1
Black,No,Germany,46,B,1.4406737304534114,-74.53560655138948,145.04796018666502,C,0
Asian,Veteran,US,49,C,165.96272499744543,64.51314444839721,99.17922448726337,C,0
