disabled,orientation,AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Mental,Bisexual,51-65,B,106.75615559485053,C,E,B,C,C,A,-63.06174015075877,-29.126320401514416,0
Physical,Heterosexual,51-65,E,16.437805741834417,A,A,D,D,A,E,35.3687609572784,154.12035558470433,1
Physical,Homosexual,18-25,A,-0.21177468766799898,D,B,D,B,E,E,-147.24518757073128,-29.545253392106947,0
Both,Bisexual,36-50,B,96.84637742569944,A,B,A,E,A,B,205.1697008737285,-121.09181067592998,1
Both,Homosexual,65+,C,-170.4803747530821,B,B,C,D,E,E,-10.826102031888206,11.425817422161295,1
Physical,Other,51-65,C,-50.88477994767121,B,E,A,E,C,D,-102.72175448376466,76.7605720956906,1
Both,Heterosexual,65+,A,105.36875522820215,C,A,C,A,D,E,5.73048220772688,172.90987624296156,0
None,Bisexual,65+,B,-3.5408679580679445,C,E,B,C,A,A,53.43463090421155,57.690336609404504,1
Mental,Other,51-65,A,-75.98890185660066,D,D,D,B,D,A,-70.17484612478898,-144.20041963004132,0
Mental,Bisexual,51-65,D,79.34084784317118,C,A,D,D,A,C,-0.5057901731709393,231.23113731453137,0
Physical,Heterosexual,26-35,E,-92.07467197798894,D,B,D,C,C,C,271.0180884095354,84.23434217755906,1
Mental,Other,65+,D,11.456095624875843,A,B,C,D,D,A,49.795206923605875,-56.36877344809946,1
Physical,Heterosexual,51-65,A,20.43380366332942,C,E,E,B,D,C,-55.769137596515115,90.5854739897793,1
Yes,Homosexual,18-25,E,-7.417595797661915,C,A,A,C,E,A,97.2049100495275,-24.990517276493225,0
Mental,Other,65+,C,-153.0173592906623,D,B,B,C,B,D,-130.9706668407054,0.7916344314773277,1
Yes,Heterosexual,18-25,C,-10.712862845955183,C,A,D,B,D,A,-28.213338525086513,68.14331681804009,1
Both,Other,36-50,B,89.98462458262227,A,E,E,B,C,E,-99.26654343930483,-124.08873980780943,1
Yes,Homosexual,36-50,D,-48.35227559288013,A,D,A,D,B,B,181.89299693413415,117.22780201383227,1
Physical,Bisexual,36-50,D,133.3852421397342,B,A,A,C,C,B,-72.98955840646629,-8.28507567933937,0
Physical,Bisexual,65+,D,51.95260443788185,C,C,D,C,D,B,-71.1101267707854,-15.182374949784169,1
Both,Bisexual,65+,D,107.98726403456722,B,A,A,B,A,B,129.2225792226333,148.49305969246325,0
None,Heterosexual,18-25,C,20.611101435421006,C,C,B,D,B,B,14.992326752054513,-153.30538542230065,0
Yes,Bisexual,65+,E,-2.06128622676315,A,E,D,D,D,E,65.21098141177968,156.46574932402802,1
Mental,Homosexual,65+,E,-131.76118041348133,D,C,B,B,C,C,42.70364511533001,136.92268580958356,0
No,Other,26-35,D,49.28330098367785,A,B,D,C,B,C,55.26526089587431,31.817124814011834,0
None,Heterosexual,51-65,A,90.45216459450111,D,C,A,A,A,A,6.470878234160188,-175.31800988292238,1
Physical,Other,51-65,E,-121.1718852057228,C,A,A,E,D,B,6.589096438335609,-86.752087993666,0
Mental,Other,26-35,A,-132.14959260983764,D,D,C,C,A,E,192.60502183100675,118.19856313469386,1
Yes,Other,65+,D,-189.65867016699795,C,C,E,B,C,B,-7.4710918622406846,223.88890820492574,1
Both,Homosexual,65+,B,-10.847020004088499,D,D,C,B,C,B,-55.307781406400366,-271.32516405248816,0
Physical,Homosexual,51-65,D,-18.70946610513636,B,D,D,A,E,C,54.955126949807685,-14.455925354784169,0
Both,Homosexual,51-65,B,161.48820098392517,B,D,D,B,E,C,49.49225115257495,-316.6038417474499,0
No,Homosexual,65+,C,-36.68429743604396,D,A,C,C,A,B,75.90268132061773,-107.05284672016748,1
Both,Heterosexual,18-25,B,-68.9336109549788,B,A,C,A,D,C,108.11404026696782,82.11067848923987,0
Yes,Other,18-25,B,-42.47310357866246,D,D,B,B,D,C,11.238514399262487,-100.72041574467336,0
Yes,Heterosexual,18-25,C,-86.01158735506515,A,B,C,D,A,D,73.03213864332334,-155.21539320005252,0
Physical,Heterosexual,51-65,A,-136.43671296473178,D,B,D,B,A,D,41.84868813036797,-64.06479230385663,0
Yes,Bisexual,51-65,E,-29.854131372382803,B,D,D,D,E,E,-1.0865798433589877,-134.55993219865775,1
None,Other,18-25,C,53.14521056383016,B,A,D,A,E,B,-182.83466031322916,124.46229680931033,0
No,Homosexual,26-35,D,-167.77517451047038,B,D,D,D,D,D,-128.6914953704113,-69.97459978645624,0
No,Other,36-50,E,105.42232140196302,E,D,C,D,E,D,27.386359831652783,-21.54258841873321,0
Mental,Other,18-25,E,58.04888751787708,A,D,E,D,D,E,147.0815083263181,44.112698696937635,0
Mental,Other,51-65,E,107.25554562373387,A,B,D,A,A,C,56.87362675183787,21.8198426883595,1
Both,Heterosexual,26-35,C,49.37945437559962,E,A,A,A,B,B,-4.406988656855852,-26.175131990108735,1
No,Homosexual,36-50,E,-56.55328717789499,C,A,C,C,D,D,88.70066367147828,73.20503661948534,1
Mental,Heterosexual,51-65,C,-150.56096344049536,A,E,E,C,B,E,-50.15144513326767,93.39082625682127,0
None,Other,51-65,B,-83.22599749139953,D,C,A,D,B,A,105.65574486625924,-114.48514020904979,1
Yes,Homosexual,26-35,C,13.221239682294788,A,C,D,E,B,C,-84.84440745591097,-98.23787243594366,1
Physical,Other,26-35,D,150.75025081905787,B,E,E,C,C,E,93.82105630665332,52.86009095676597,1
Both,Bisexual,18-25,A,-40.808524515359075,A,C,A,E,D,B,55.19801832403574,-233.78423346427456,0
No,Other,65+,E,-221.99837326699074,D,C,A,A,E,D,-32.205847223622655,-83.4289896051859,0
None,Bisexual,65+,D,58.34699111592785,B,B,A,C,D,D,6.1201436955740895,31.39785608599805,0
Yes,Homosexual,36-50,E,-37.73098158124391,D,D,E,A,D,C,72.37016944661812,-32.59896629677249,1
Physical,Bisexual,36-50,B,-100.70779038130202,D,B,C,A,D,B,-107.88158218216837,20.87936050690096,0
No,Heterosexual,26-35,B,-188.09760199658345,E,D,C,D,C,D,32.596263297423356,242.83262995821596,0
Both,Homosexual,36-50,E,-74.2385146051577,A,B,B,D,E,C,-152.98528195674922,-85.99650578145986,1
No,Homosexual,36-50,B,124.79903400075167,B,D,E,B,D,C,134.72220716920341,-27.0586170588662,0
Physical,Heterosexual,18-25,E,92.1572822511312,A,C,C,B,C,D,9.173901126911659,-187.8717664114216,1
No,Homosexual,36-50,E,13.97938982589943,B,B,B,B,D,D,-1.5758454727088842,14.763695738690599,0
Physical,Bisexual,65+,B,-12.038608507087721,E,C,A,D,C,B,92.00731503391697,-98.19989275489483,1
Mental,Heterosexual,18-25,B,128.24262951660265,E,E,C,D,B,D,23.415966446540928,157.2064072660798,1
Mental,Heterosexual,36-50,A,-113.32977757696199,A,E,B,A,A,B,42.27999823650784,-196.53634662774476,0
Physical,Homosexual,26-35,B,-48.30834402551085,B,B,E,E,D,A,134.83312878244803,-28.399106785929284,0
Physical,Bisexual,26-35,B,-70.90541624605804,D,C,B,E,B,D,-76.62118120898171,-157.2528548778823,0
Physical,Heterosexual,51-65,D,-134.59822285868347,C,C,D,C,B,C,31.26741484304145,95.28594620914281,1
Yes,Other,65+,B,246.2361227645295,E,D,A,B,A,A,26.51838190176492,-160.37434169660744,0
Yes,Bisexual,65+,D,-19.22795078144647,A,D,A,A,E,E,63.19816666951915,64.3854901599737,1
Both,Heterosexual,26-35,C,9.024971246345178,D,A,B,E,C,C,-11.2699352422845,-299.4713952321753,1
Mental,Heterosexual,18-25,A,118.7336810210972,A,B,B,E,C,D,68.10876058593874,-81.52085321822202,0
Both,Homosexual,65+,D,81.08257120749126,A,A,C,A,D,C,2.417263656789694,106.46036000669005,0
Yes,Other,36-50,C,-11.787791084573055,B,A,A,B,D,C,-62.6203809594407,-71.7479958801226,1
Yes,Homosexual,65+,C,-1.5644323560963285,C,A,D,D,D,B,-164.63610803413096,33.24995025589102,1
Both,Homosexual,51-65,E,130.78075646070442,C,D,A,C,E,C,45.92326504475188,-16.51510205869063,0
Both,Other,51-65,A,-141.2166093597737,B,A,D,C,C,B,-233.90160201280622,-138.52138309934568,1
Physical,Bisexual,36-50,E,5.066583052574031,B,B,A,C,C,D,54.9087660774373,57.65391435877627,0
Physical,Homosexual,36-50,C,28.434057433100307,C,B,B,E,C,B,67.40799941048695,-3.101327593939173,0
Both,Bisexual,18-25,B,120.74121156430415,C,D,D,D,C,A,207.82909342784902,-101.19665412204822,1
Yes,Other,18-25,A,123.31464998334079,D,A,C,C,A,C,109.43757030658364,88.86824574723451,1
Yes,Heterosexual,26-35,D,-70.45811036417543,A,D,B,A,D,C,49.003584556702016,-159.01468670341453,0
Physical,Other,36-50,D,258.6319300460292,A,A,E,C,C,C,-23.988625044473718,-27.22372464136352,0
None,Other,51-65,E,1.2904956033951944,D,B,D,A,E,D,17.298203598749684,-64.98190394288444,0
Mental,Bisexual,36-50,C,-21.436007501252103,A,E,D,E,E,E,-81.55720468219023,41.17522252630044,0
No,Heterosexual,36-50,E,-61.75801085894649,D,B,E,E,C,A,118.12154355949116,-50.43466747451125,1
Both,Heterosexual,65+,A,-256.90528678981184,A,D,C,D,D,D,-62.90437865273179,-65.67567725243367,0
Physical,Bisexual,36-50,E,5.1770974473293725,E,C,C,B,C,A,24.27695741151087,63.44583352973948,1
Mental,Heterosexual,18-25,E,94.35512449661356,E,C,A,D,C,E,-278.7997219336389,-13.159737330908355,1
Physical,Other,36-50,B,34.20869190001762,D,B,C,D,D,E,-175.2812268983313,6.70920494274865,1
No,Bisexual,36-50,C,78.37947496634875,B,A,A,D,B,B,65.45378268772537,17.66037948199623,0
No,Other,26-35,B,-0.3519763729894966,B,A,B,C,E,E,106.14739416677057,-68.81543314178305,1
No,Bisexual,18-25,E,11.612031544192412,E,D,B,C,C,B,-35.986020323663396,140.28292314987638,0
Mental,Homosexual,51-65,C,34.21076959691373,C,D,B,C,D,E,-15.99928886631448,-0.5755742849699014,0
Both,Bisexual,65+,B,14.962435624935624,B,C,A,B,E,A,44.61636312297605,66.81322011274452,1
Mental,Other,65+,E,96.5558714179782,E,C,E,C,A,E,73.03925395233945,36.67371214986887,1
None,Homosexual,65+,E,68.42975387787207,B,D,C,A,E,B,43.352067518206944,148.65512962313758,1
Mental,Other,26-35,E,65.0580554773546,E,D,B,A,C,E,5.170958294964578,33.007444193027716,1
No,Heterosexual,18-25,D,73.54315745564888,D,B,D,A,E,E,-159.20443846862875,-8.454720667686008,0
No,Homosexual,51-65,E,-147.66544445556787,D,B,A,A,C,E,6.0654735242272455,21.70958115728301,0
Both,Heterosexual,36-50,A,-47.951868806982844,C,C,C,D,B,C,162.91631933626206,-174.33648409206063,1
Yes,Homosexual,65+,A,-66.9875415340386,A,D,B,C,D,E,57.79882439567605,-8.032630865786322,0
Physical,Heterosexual,26-35,B,-54.91922488642723,A,E,E,B,A,D,-1.9517084020745274,-41.887063658612114,0
Physical,Heterosexual,18-25,B,201.55769490056028,C,D,B,A,D,E,50.346127458018664,-2.7745706671480557,1
Mental,Homosexual,65+,E,39.39482779938651,D,C,B,E,C,A,-10.693038917178574,8.457681464059249,0
No,Heterosexual,65+,B,-53.4677379765718,D,A,D,A,B,E,-87.92655765303846,274.8210645489782,1
None,Other,18-25,A,-44.60239564947323,C,E,E,E,B,C,6.779885064546629,-25.44411873314809,0
Yes,Bisexual,36-50,A,-34.0513253761928,B,D,D,E,B,A,127.9807337194776,88.06875482709178,0
Both,Other,65+,D,222.362308251504,D,D,A,C,C,B,54.92592410933358,56.52257786346201,1
Mental,Heterosexual,26-35,A,102.36760026246961,B,B,B,A,B,A,78.78057664240397,37.49660095909476,1
Both,Bisexual,26-35,C,197.1789205221099,D,B,E,B,C,D,-153.77132963328245,-30.634045451370163,1
Mental,Bisexual,51-65,C,-55.70660098088904,C,D,D,A,D,C,176.57212346169695,-285.8571898416254,0
Yes,Heterosexual,26-35,D,87.03834579691602,A,A,B,B,A,A,-72.74288210448407,31.639873627930704,0
None,Other,51-65,D,-38.26423721586663,E,C,E,E,B,B,183.47051479778432,51.616214686302456,0
Yes,Bisexual,26-35,E,52.0829774262148,A,B,E,B,A,C,287.0812397490941,-1.9526811427639723,0
Physical,Heterosexual,65+,D,87.62236870809839,C,B,E,E,B,D,-81.77878166288451,68.2599379695239,0
None,Bisexual,51-65,D,-189.29729344401673,B,A,A,A,B,B,98.00546423208289,-113.41636094541239,0
Physical,Homosexual,26-35,E,-76.29660336465689,E,C,B,A,E,E,25.767831305448695,188.55056692380973,1
None,Heterosexual,26-35,A,10.185287506763292,E,C,C,C,E,B,-76.21625720689711,-15.78646228623054,1
Mental,Other,36-50,D,74.4509876353071,C,D,B,E,C,A,-94.14455801006328,-182.4299652569003,0
Physical,Other,18-25,B,-18.23428912095053,D,A,A,A,C,C,0.925592375023656,48.28906000646849,0
Both,Other,26-35,B,-53.90868025826205,D,E,B,C,B,A,-89.26895739987272,-41.09270649706859,1
Yes,Other,51-65,C,-9.115738131989714,B,E,A,D,A,E,-28.015584788195852,-102.53712686301981,1
Mental,Other,26-35,B,-52.6858782961711,B,E,D,D,C,D,-33.793365376241994,-57.19846703251045,1
None,Heterosexual,36-50,D,5.283102476533624,E,A,C,C,A,D,-81.42829610979717,-182.38187714214095,1
Mental,Bisexual,51-65,C,59.69749868633958,B,E,E,C,E,D,63.64036101873114,-106.17115475966324,0
No,Bisexual,26-35,E,-125.94088743306675,B,C,E,B,D,E,-261.1500763979826,54.605932177814054,0
Yes,Bisexual,51-65,E,235.80032562388183,D,D,D,B,A,C,-32.546456757655804,28.694766723620173,1
Physical,Heterosexual,26-35,B,-74.77228676401732,E,E,C,B,C,D,17.844047567056567,19.707098806449096,0
Physical,Bisexual,51-65,A,43.0801535180225,E,C,B,E,C,E,-27.991648153089983,28.48483609831667,0
No,Homosexual,36-50,A,-4.388984731206083,C,E,A,A,A,A,36.626087175355835,-8.32821316444205,0
Mental,Other,65+,C,133.44768089990467,D,B,D,A,A,D,-189.14402572099263,76.00206968299227,0
No,Homosexual,51-65,C,-12.67836195943277,D,E,B,B,B,A,13.714836100698632,38.34964711693901,0
None,Homosexual,65+,E,-143.7474652570931,D,C,C,B,B,E,-95.73515227831305,0.839455168390961,0
Mental,Homosexual,36-50,E,51.42658612154891,D,C,B,D,E,A,-152.1490468347116,-31.22292505488658,1
Physical,Bisexual,36-50,C,-266.04414207952203,D,E,B,D,B,D,-183.48527018613788,-81.14111611918247,1
Physical,Other,26-35,C,20.1566858933403,C,A,C,A,B,B,119.47078431826952,-100.25784474055487,1
Physical,Homosexual,51-65,D,-37.50679655651969,A,B,B,E,A,A,38.06488903564673,-5.6341750001724815,1
Both,Heterosexual,18-25,D,-31.843095803232067,C,D,E,D,B,C,52.261502707627514,100.21055654600745,0
Mental,Bisexual,36-50,B,82.23802056698707,A,E,D,B,E,A,94.03398589062,-99.08331911284579,1
No,Bisexual,26-35,A,46.46368912275796,D,C,E,E,B,D,74.98468416853696,211.23868762227772,0
Physical,Heterosexual,36-50,E,-21.1402179804254,A,D,A,B,D,C,-35.19182662166269,-3.0840539520948025,1
Both,Homosexual,18-25,B,-144.51887151548885,B,D,C,C,A,A,20.806153520417055,111.88176031682835,0
Mental,Other,65+,E,4.940658118637571,A,A,D,B,A,C,-84.26146957611189,-69.75152314913316,0
Both,Heterosexual,18-25,A,-145.4414630790981,B,B,D,B,B,C,66.86219780956219,-66.85611173057006,0
No,Heterosexual,26-35,C,-38.30901119460288,D,D,D,A,B,E,-33.25335306052428,-26.77554268252257,0
Physical,Bisexual,18-25,A,90.29161927313098,D,A,D,D,E,B,158.5146519119897,20.17805212678425,0
None,Heterosexual,65+,C,-18.507081662249277,D,C,E,D,D,E,-75.52739771677062,-111.64714517342833,0
No,Heterosexual,51-65,B,-86.37424870712806,A,B,D,A,E,A,-1.535418907178006,59.746524815685795,0
None,Homosexual,18-25,D,3.1582879164453432,B,B,E,D,C,B,195.97763681335147,93.98236337500705,0
Mental,Homosexual,18-25,E,5.824541044777208,A,B,D,D,C,E,-222.72409040385938,-97.35315385114139,1
Both,Homosexual,36-50,E,-25.639800924101724,B,E,B,D,D,B,-165.47054396361253,24.25365800478972,0
Physical,Homosexual,36-50,D,37.67967818335374,D,E,C,B,D,A,-82.49507441997108,-38.64709641011398,0
Both,Homosexual,26-35,A,-185.1435926211207,C,E,E,E,C,E,-102.47435308429063,-31.144233598016008,1
None,Bisexual,18-25,E,-20.88754552147482,D,C,D,E,C,D,-45.5830133256524,6.019907127964632,1
Mental,Bisexual,51-65,D,-81.04960423285704,E,E,C,A,E,B,-132.97941756659748,-0.9263614449044234,1
Physical,Bisexual,51-65,D,115.25932070359521,E,A,E,B,A,E,-51.94792370430239,130.6515403705553,1
None,Heterosexual,18-25,B,-159.36259146791036,A,E,B,C,A,C,186.55332497155214,-0.08614065864843819,1
Mental,Bisexual,65+,E,-16.063927327917963,E,D,D,C,E,D,-30.279644827842116,116.62883320967032,1
Yes,Bisexual,18-25,B,139.4232066122311,B,B,A,A,B,C,76.67964303531363,-31.66545256203181,1
No,Homosexual,36-50,B,70.74213768863136,D,E,B,B,C,E,121.85697197483385,151.87071950667988,0
Both,Bisexual,36-50,D,-52.94262078279933,A,A,B,A,B,E,-18.266416362305797,-0.5837603334753471,1
Physical,Homosexual,26-35,A,-93.24814449604922,B,C,E,A,C,B,-32.27733700883809,2.813565645187406,1
Both,Other,36-50,E,-154.80854665836762,C,E,D,B,B,A,97.63825695864256,-64.39042878686512,0
Yes,Homosexual,26-35,B,-53.20127512690379,E,D,B,B,C,D,225.0984347773196,43.32328899281689,1
Yes,Heterosexual,51-65,D,153.17723985005367,A,B,A,C,C,E,-106.4770063618749,-60.54368505422348,1
Physical,Bisexual,51-65,D,-71.82255817426658,A,C,A,C,E,A,56.12336254724646,163.51858869848704,1
Mental,Bisexual,65+,A,-21.57927591199333,B,E,E,A,A,D,19.494357952579936,-87.85095526047353,1
Both,Heterosexual,36-50,B,-30.675250858934096,E,B,D,D,B,C,24.07496631883589,111.85162932244477,0
No,Heterosexual,51-65,E,9.567708438373861,B,D,B,C,A,E,30.997556414293914,-2.5357090166381524,1
No,Homosexual,51-65,E,263.11699353649703,E,C,B,A,E,E,9.59657830627751,-194.06269886717075,0
None,Heterosexual,36-50,B,13.565403721599834,A,C,D,A,C,C,31.438490056859326,22.996696439305488,1
No,Heterosexual,26-35,E,-11.760589377580047,D,B,D,D,A,A,67.79316933411909,-18.650088139257985,1
Mental,Heterosexual,26-35,C,49.242148250355605,E,D,E,A,C,E,205.25377979354764,224.8873298919765,1
No,Homosexual,36-50,A,-167.6920674393508,C,D,E,E,A,B,-164.36137874819764,-93.71529892034836,1
Physical,Heterosexual,26-35,C,-108.21698758100484,E,D,B,C,A,D,80.70619469208313,-32.531538801450424,0
No,Other,26-35,D,-33.366055644647844,D,E,B,B,D,E,-99.87299404011041,49.57436252575732,0
No,Heterosexual,36-50,A,-164.63389922218684,C,D,D,A,A,B,19.0955326998868,-128.64125359641122,0
No,Bisexual,51-65,D,-60.917609574316025,D,A,C,B,D,A,-63.83620400363513,-148.9714958909175,0
Mental,Homosexual,18-25,E,90.27755436261799,C,E,D,E,C,B,86.32858218972834,-170.41523655488305,1
Yes,Bisexual,18-25,B,45.46799274071,A,B,D,A,B,A,-6.691860556404934,64.90718894461602,1
Mental,Homosexual,65+,E,-52.18530089263061,A,A,D,D,E,D,-50.32330642407372,34.420367237274064,1
No,Bisexual,26-35,D,-41.54931459740603,B,A,A,C,C,B,91.6482346334623,-71.65242944065699,1
Mental,Homosexual,18-25,E,-56.20766649262582,E,E,C,C,B,A,127.9825388042364,66.12737344851216,1
None,Bisexual,36-50,E,-3.894372169758097,A,B,D,E,B,E,90.43807528640883,26.988978408580127,1
None,Heterosexual,18-25,C,74.06686144867413,A,C,A,A,D,D,-120.14542686366276,6.354727376550624,0
None,Homosexual,18-25,C,19.309655111086236,E,C,D,C,E,A,130.70208059973123,53.594057951620165,1
Physical,Homosexual,26-35,A,-59.88924716933369,B,E,A,D,D,D,-206.64270945371445,-34.544699462364306,1
Both,Heterosexual,18-25,D,-26.698689918431363,B,B,D,C,A,C,-45.64126188792697,-137.08815700778402,1
Yes,Heterosexual,18-25,A,-82.2741267841949,B,C,C,D,D,A,-100.11833157379293,-80.95648362006713,0
Mental,Other,36-50,C,38.407897720091874,C,C,A,D,C,D,76.3951500322275,-57.291488412488846,1
Yes,Bisexual,36-50,A,207.92914565454973,C,A,A,A,A,E,-22.65214853049362,-14.355810427425936,0
No,Other,65+,B,-122.14205077782943,D,E,B,D,C,E,-131.41104695504484,-54.96963852069272,0
Both,Other,36-50,D,60.63711717892107,D,B,A,E,B,B,131.55071282100934,-166.94882538237212,1
Mental,Heterosexual,65+,E,-16.089570206568855,C,D,D,D,E,B,67.64514899554132,18.082473992196608,0
Physical,Homosexual,36-50,D,59.20344761467891,E,B,D,A,E,A,28.325409325344626,31.74442867141386,1
Mental,Homosexual,51-65,D,-38.5969912054539,B,B,A,C,B,B,-81.97273375210993,70.31175959376968,0
Yes,Other,51-65,E,107.95996047218514,C,A,C,C,D,C,124.47318077529268,-76.53747559778087,0
Yes,Heterosexual,26-35,A,54.37756984160329,E,B,E,A,E,B,96.7979551301667,129.01328186065697,1
Yes,Other,65+,A,-117.93262052500654,E,E,C,E,B,D,-100.13643098160013,-168.70963051768305,0
None,Heterosexual,51-65,D,66.35542100739467,E,E,A,E,A,C,170.5368443410646,-1.2881647037762254,1
No,Other,65+,A,117.29322516316091,C,A,B,B,D,E,90.64063233653273,-46.193785026495334,1
Both,Other,51-65,E,125.14985609460277,E,E,B,B,B,B,126.7799868127019,-105.96351510824952,0
None,Homosexual,26-35,A,-123.01297865812695,A,B,D,A,D,A,-108.95128882617055,114.21785361792294,1
Mental,Bisexual,51-65,B,-5.641564013983143,B,A,E,E,D,A,-1.1916554559900312,-49.905802014064285,0
None,Homosexual,36-50,E,17.0111092443787,A,A,C,C,C,D,-134.4057705064037,-113.78746315899622,1
Both,Homosexual,65+,D,-7.714997592461237,C,A,C,E,A,E,228.23082615591113,-98.75905635023085,1
Mental,Homosexual,36-50,A,-61.20070346254527,A,D,A,D,E,B,73.66815995175612,-80.774117277921,1
No,Heterosexual,65+,B,62.07940895673858,B,B,D,E,E,D,-0.40065451186974654,26.56263310792389,0
Both,Bisexual,18-25,C,83.97490826884794,B,D,C,B,B,C,155.58431991180063,-47.52708190714205,1
Yes,Other,65+,D,74.18496457168513,C,E,C,E,C,D,-209.08235258472826,-134.26713588228773,0
Both,Homosexual,26-35,E,-4.672359072238386,D,D,E,B,E,E,2.5598728146843284,-52.65459734330611,1
None,Other,36-50,B,-10.132544620427625,C,A,B,A,C,B,-41.7208460005755,103.50025586521112,0
Both,Bisexual,51-65,E,-40.873648935653584,E,E,D,A,B,A,-34.66203627228212,-123.63360163167346,0
No,Homosexual,65+,B,-23.353894840691225,E,B,A,E,E,D,2.169644150587,51.186946650104744,0
None,Heterosexual,36-50,E,-13.278447164190569,C,B,D,D,E,C,167.05810822431025,-94.45017431022299,1
Both,Other,18-25,A,-243.253837147,C,A,E,B,C,D,-112.9882022692492,15.46082654106326,0
Both,Bisexual,65+,D,71.54067622458648,C,C,A,C,D,D,44.12956318213951,117.48000206920648,0
No,Other,65+,C,4.867512040269699,C,A,A,A,B,D,65.69864426844748,76.83835512114905,1
None,Homosexual,51-65,B,47.200820079156316,C,D,A,E,A,E,-73.67607366682367,30.879055614747298,1
Both,Other,36-50,E,109.68194750511114,C,E,E,A,B,C,29.36397084949853,-20.23088575326847,1
No,Bisexual,36-50,B,31.898588812213507,C,A,B,C,D,C,99.84552471848878,-140.76864442488818,1
Mental,Heterosexual,26-35,E,-15.710068440792814,B,A,A,C,B,B,0.8717656946783925,15.491897669769275,1
None,Other,36-50,A,-182.45179532819463,D,C,B,E,A,D,86.43800920935941,-112.50646303372918,1
No,Homosexual,36-50,B,-7.179547868611704,C,A,C,E,E,E,-85.99208493685873,165.1334964565498,1
None,Heterosexual,36-50,C,-33.03601692034571,B,E,A,C,C,B,84.3732675122898,142.05157523745038,0
No,Bisexual,18-25,D,151.0385474774869,B,B,C,C,B,C,-133.6717300464215,47.78988637053322,1
Mental,Other,26-35,D,-133.56360483642774,D,C,C,C,D,D,-9.122901855813012,-7.242047518508166,0
None,Heterosexual,26-35,C,-174.76519171275257,A,B,B,A,E,C,3.747484538659438,-55.57900526579558,1
No,Bisexual,26-35,D,-107.12197245767219,B,D,D,E,E,D,-37.529248553512716,109.12755917262014,0
Both,Other,26-35,E,-96.87305866478506,C,E,C,E,E,D,-45.439569833158174,132.31683053422014,1
Yes,Other,26-35,B,45.209327066447244,C,D,E,D,B,E,36.39288190974302,-79.40137226447807,1
Yes,Bisexual,26-35,B,73.7713437667513,E,C,D,B,D,B,-40.47105621774898,-138.15884532306308,1
Mental,Homosexual,36-50,C,-39.90951134288583,A,B,A,B,E,C,6.103412363580669,144.76558578361517,1
No,Other,51-65,C,-90.05877780932975,D,A,C,D,A,A,-146.82998676962825,-94.63558945260736,0
No,Other,18-25,E,48.97021700467904,A,C,D,A,A,C,95.9845334278377,42.27509585940628,0
Physical,Heterosexual,65+,C,-29.430679426940586,E,E,A,D,C,B,-25.432825570858427,19.518070913040415,1
Both,Homosexual,26-35,D,-111.88437251352323,C,A,B,D,A,B,-73.21937009959356,-176.67811779968534,0
No,Heterosexual,18-25,C,-8.0975281094868,D,A,A,A,E,A,43.21159009478912,97.28594357530686,1
Physical,Homosexual,18-25,A,218.03296678341485,B,A,B,A,D,E,146.85793216328997,-80.26916853504268,1
Both,Bisexual,18-25,D,31.41558847964131,D,E,E,D,C,E,-236.43609086699814,57.54236966315906,0
None,Other,65+,B,153.40689734806787,B,E,D,C,A,D,-78.86031288335607,-123.28810361641844,1
Both,Bisexual,26-35,B,-146.1922959880907,B,D,E,C,A,D,-7.394018698151503,77.89582195033321,0
Mental,Bisexual,51-65,E,21.94406336110469,E,D,A,E,E,E,62.93992798485668,115.83230775955687,0
No,Bisexual,18-25,B,-120.29853048030135,E,A,B,A,D,E,30.068122709175782,248.6015117910743,0
No,Homosexual,26-35,E,-96.01121624987633,B,C,D,D,E,A,145.69616002029696,-31.422834665776765,1
Both,Other,51-65,D,58.676581755981196,D,A,D,A,C,B,4.5498688402008804,8.556021651493241,1
Physical,Homosexual,26-35,D,68.6472683631958,A,C,A,D,C,B,-99.68178657183503,-14.453736717966532,0
Yes,Other,36-50,B,-101.44297816730676,C,E,D,A,C,B,-25.562052738218732,98.17074017069869,1
Mental,Heterosexual,65+,E,-43.83008493487924,C,C,E,C,E,B,-167.31660028408578,-5.568352528121456,0
Yes,Bisexual,36-50,C,-14.4077122811531,B,C,B,A,D,E,35.26912749059286,-29.03362157598663,1
Yes,Homosexual,26-35,B,-7.436145593917204,A,E,D,C,D,C,-6.096711774343294,46.64275661071486,0
Both,Heterosexual,26-35,E,192.313084538412,E,B,A,E,B,B,-33.67941484294724,77.52288919173964,1
Yes,Other,26-35,E,-4.528159308676713,A,E,E,C,C,D,42.524669474597374,-25.57260264570822,1
Mental,Homosexual,51-65,A,-58.20658945277811,E,C,C,A,B,D,-169.26108437140186,17.018122552673336,1
Physical,Bisexual,18-25,C,-198.62091712297786,A,E,E,B,A,B,-8.085386995921349,-65.35235804854194,0
Mental,Bisexual,18-25,D,-143.66318923178915,B,B,C,D,C,B,-30.511850484301572,-18.241801299902825,0
Physical,Other,65+,A,-71.40747425105593,D,C,E,C,D,A,123.44120836150793,24.101677463807892,1
Physical,Other,18-25,B,2.7531233531834145,B,B,E,C,C,C,117.49692981075894,57.739225130095974,1
Yes,Homosexual,18-25,B,-104.08177955078972,C,D,C,E,E,B,-9.348066760673698,35.62910572480575,1
