Nationality,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
India,26-35,E,75.18454700120759,A,20.123274580638135,-75.40083970548562,D,D,A,E,C,0
UK,26-35,A,173.75624863777546,A,-11.221476837927632,-10.82969948880557,A,A,D,B,A,1
Brazil,18-25,B,68.96669571747282,A,14.413120509443338,3.2808141150559926,E,D,B,D,D,0
UK,26-35,B,40.97263637566986,A,-249.83289888566026,-54.62317557647929,C,B,E,A,C,1
Brazil,65+,E,-155.77801486625327,B,-24.739464117275773,148.41212186323258,E,B,E,A,E,1
India,26-35,C,-91.46930064822764,B,182.27196008691539,123.00256594870835,C,D,C,C,B,0
Germany,26-35,E,-48.62240512939995,A,41.52587981942179,53.101296198067175,D,E,E,B,B,1
UK,51-65,D,17.363205480832775,D,-47.14854489259945,-55.37223894822304,C,C,A,D,D,1
UK,26-35,D,249.22952150913648,D,-60.8317930599373,-60.85695273675432,D,D,A,D,B,0
Brazil,51-65,C,-27.487222820392937,E,215.34533611465866,-141.04113621543303,E,B,C,B,E,1
India,18-25,E,-27.776336426661626,E,18.735004175612268,-18.250760076928614,E,C,A,A,D,1
Brazil,18-25,A,4.904748128444574,D,72.7776342965045,168.80882669036606,D,A,C,C,D,1
Germany,36-50,C,-121.2877955124143,B,-41.06505514477844,1.3424184579537368,C,B,E,C,E,0
India,18-25,B,-106.29771689038854,E,122.44794986285386,168.22779781997576,C,E,A,D,C,1
Mexico,65+,A,172.8823537445944,A,-60.46636101685606,-46.90889510104903,C,A,D,E,A,0
China,65+,A,107.51817761608133,A,-26.541877371332124,-15.24046602298428,E,C,D,D,C,0
US,18-25,D,1.8086865963893133,C,105.50769632402923,140.48465867286708,E,B,A,D,B,0
US,51-65,A,-207.06605444121945,D,-82.79664879263629,179.36313872564696,C,C,A,C,C,1
UK,26-35,A,-39.961602570723485,E,-218.75573673137384,86.70508891486519,E,A,A,A,B,1
Germany,26-35,E,-61.65837107700835,C,-98.11380704401516,122.46195338948786,E,B,E,C,E,0
Mexico,36-50,B,115.45110294344654,B,-101.77869095916896,-3.1283428032521905,E,D,B,A,E,0
Brazil,36-50,A,-16.41595497921534,D,119.29655470773206,-23.904064307174963,A,E,E,D,B,1
US,51-65,B,-3.7712087189752665,A,-4.470662192091147,-60.94918648996598,B,B,D,D,E,0
Brazil,26-35,D,30.033386265801553,E,14.28974331365823,40.2388933091255,C,D,B,D,C,0
Other,51-65,C,109.40455715496229,B,-122.49698976836156,-68.49337701579734,B,B,C,C,B,0
US,36-50,C,-48.80518083080524,A,-102.23245988179141,-34.580809350422015,B,A,D,D,C,0
India,65+,A,48.000394990794824,C,41.72538741134834,245.05726399518224,B,E,B,C,D,1
India,26-35,D,-144.20727516512346,C,-39.065552721309494,197.90250826430207,B,D,B,D,C,1
China,18-25,D,-46.2848759239368,B,-20.048974111789736,72.14106628442326,C,B,D,E,A,0
Brazil,18-25,D,103.99061757195946,E,-17.417250577637702,188.64528909996096,A,A,E,C,D,1
Mexico,18-25,A,-32.63243574615383,C,-81.00005569017571,201.64918231278887,B,B,B,E,B,0
Germany,65+,D,-207.5629315203148,B,94.2420580450449,4.241520837964666,B,A,B,E,E,0
India,51-65,A,-116.19045766124574,C,-10.262807126308376,25.022396646046985,C,E,C,E,B,1
Mexico,18-25,A,-216.81272485370204,B,-45.034362086856895,2.3212621414869643,D,B,A,C,C,1
US,18-25,D,-65.39588388690699,C,-57.39044014814109,-89.67260989414491,C,B,A,B,D,1
UK,18-25,B,-13.869944345426708,C,-1.206137908187131,-100.28512985244242,A,C,C,A,E,0
Mexico,65+,A,114.59566871601739,B,-21.712894381227386,50.88649318328892,B,D,E,E,B,0
China,51-65,C,-361.3224566065729,A,9.698221882711756,13.388844953526712,A,D,E,E,E,0
US,26-35,A,98.49894072063074,A,117.27807423288242,14.409713352235881,B,D,A,B,D,1
Mexico,26-35,D,56.146808936981174,E,32.40842417501658,-84.83780378945553,D,C,E,B,A,0
Other,36-50,A,-51.3482267544987,B,35.45281958268534,192.78166970260142,B,D,D,D,A,0
India,65+,A,-35.83449123151718,B,-33.159448541816694,-7.641339893958232,A,A,B,C,C,1
China,36-50,B,64.60080317484352,D,-81.42083640824103,19.384862160285905,E,E,B,C,B,0
Germany,26-35,C,44.771676578062845,D,54.33199359722679,-5.968806395020019,A,C,B,A,E,1
Brazil,18-25,A,78.52810172377886,B,180.731131375035,-161.9589000440144,D,D,E,A,E,1
US,51-65,D,202.11358502050084,A,-48.06196462837883,43.69246099469867,E,B,C,B,A,1
US,26-35,E,-90.49289651870897,A,14.666170213178184,36.83128629839515,A,C,D,C,A,0
Brazil,65+,E,83.34818548338872,D,-40.39256142583462,-22.462529647379938,C,E,E,C,B,1
Other,51-65,A,-128.48852029566885,B,28.296837537938814,-166.81358263469141,C,C,D,A,A,1
Brazil,26-35,E,-53.08362179617724,C,-32.221587769754095,-122.01884416863894,D,B,B,B,C,0
Brazil,65+,E,54.923861540920704,B,52.87041718676399,-1.0278469510040986,D,C,B,E,E,1
Other,65+,C,-52.21930271105788,C,-40.059518893215305,-6.920000290299197,B,B,A,D,C,0
Mexico,18-25,E,-13.685019052259292,B,233.38462805389048,-89.38969833706486,E,C,B,A,B,0
India,36-50,E,-93.7041502860196,A,128.6219189109061,2.8354867209168155,A,A,A,E,C,1
UK,65+,B,156.4442649262738,A,-52.72746148804529,-148.03546071040506,E,E,B,B,C,0
India,65+,E,-9.071194063552053,D,22.55723138274964,59.362929137642325,A,A,A,E,B,1
India,26-35,E,141.67416787042384,C,-91.57368473463879,173.16206932678168,D,D,D,A,A,0
China,18-25,C,-211.7144740652605,E,0.6803015835824616,-77.16002668802348,C,C,A,A,E,1
Mexico,18-25,E,-53.22156419085865,E,43.977723088253725,-133.38682295836347,C,E,D,B,A,1
India,36-50,B,-69.79249005460937,D,-56.25464570078669,54.17175490755458,E,B,E,B,B,1
US,18-25,B,-28.399028973565294,C,73.799546863496,-99.18728179351557,D,A,B,A,A,0
US,26-35,E,22.810052461437028,B,79.77985127445245,-29.43039684447114,D,C,C,E,E,1
Mexico,65+,C,-55.680600482141315,C,-7.5562252119863516,-188.01457719021718,A,E,B,E,C,0
China,51-65,A,130.4049883532117,C,-101.15099886065641,48.72130944530583,E,A,A,D,E,0
Brazil,36-50,E,-153.79802858831093,D,215.1988854555205,-120.77227194738813,C,B,D,A,D,0
Brazil,36-50,A,-117.30300662186282,A,-173.96766989807196,-22.81228300349192,A,C,D,C,A,0
Mexico,18-25,A,268.2606327328035,C,37.768774054722584,-89.7665205194035,C,E,E,D,A,1
China,26-35,B,76.4765362181978,B,71.75325280597755,-46.63658245473041,C,E,C,B,A,1
Germany,65+,C,-102.88936697968325,D,-29.873724822787455,130.95231505039985,A,E,C,B,A,1
UK,65+,E,114.9446100449232,B,-18.4355829285795,-152.40975519197318,D,E,A,E,B,1
Brazil,51-65,A,-142.74408433120834,E,46.92684485154419,-61.49739871102155,D,A,D,D,D,0
India,36-50,E,49.3177785664243,A,20.046299736700142,144.80994190042088,C,C,C,A,E,0
UK,51-65,D,-224.2525386292911,E,43.13977321044079,-59.32306948226837,D,D,E,D,A,0
Brazil,26-35,B,99.10560106023757,E,-49.94732438432765,121.98395415652377,D,B,C,C,C,0
US,36-50,B,-91.78058533384892,D,-49.46262341011278,14.411885904206423,A,C,D,C,D,0
UK,18-25,C,-15.41203266025572,E,83.3673307786051,86.88467982822709,D,E,A,E,D,1
India,18-25,C,81.33113515351909,A,-197.58870566364794,-317.4788477942411,C,D,B,A,E,1
India,36-50,A,-185.42167818345186,C,16.33103945633962,36.93348342443969,E,B,E,E,C,1
US,65+,E,111.2432025303609,B,85.89330392925346,-22.710919181304682,A,A,E,C,D,1
UK,18-25,B,16.02348243541913,C,-62.988746285160325,-42.11813524028173,C,A,C,B,E,1
US,26-35,B,-115.14989086669516,B,-0.7245387152639144,-82.13120361364193,B,D,B,E,E,0
Germany,36-50,B,-167.6550671415635,C,-83.47124369760067,1.8762591241203435,D,D,A,D,D,1
Germany,51-65,B,5.354430222437164,A,3.4592031358648994,-115.45292794282598,B,B,B,D,D,1
UK,26-35,C,161.97701655941867,B,-35.86496059890249,68.66471393018313,E,B,C,B,B,0
Germany,26-35,E,-26.99556085790013,C,-60.22860038704228,-111.59823494048031,D,D,C,B,E,0
UK,18-25,D,143.76379922658947,D,-202.49846795700398,-33.242949865588535,D,A,D,C,C,1
Brazil,51-65,C,-0.10635142204049274,B,111.9895666556986,-29.848070167165947,E,A,D,D,E,1
Brazil,65+,A,122.12550079589623,E,-18.13216922536306,-150.98441798004586,C,E,A,C,E,1
Other,65+,D,194.4227036693072,A,-129.5948057258659,42.33721169207275,D,E,C,B,E,0
India,18-25,B,45.69476149308102,A,58.33672602716939,-29.73642942894662,E,E,B,A,C,1
Germany,26-35,A,53.01464218821064,E,-102.5635131225249,-106.90315047981267,B,A,D,D,E,0
UK,18-25,C,-29.312408614310918,B,-175.55656419551266,-122.90175464927584,B,B,C,C,B,0
UK,18-25,C,-48.27797720688237,B,-63.6305925351053,186.62005795127908,E,A,B,B,A,0
India,18-25,D,34.732695711538916,D,-2.183796857225593,100.13944909010597,D,C,E,A,D,0
Germany,36-50,E,125.59241520327558,A,16.5030430598157,-88.62822048058248,D,C,A,A,E,1
Brazil,65+,A,-146.3185720739878,D,71.42844659813667,-69.52328290392072,C,D,A,C,A,0
Germany,26-35,B,-91.01773591900755,E,-52.63181563085565,-188.96151394139187,B,C,D,D,C,1
India,26-35,B,135.31837508925187,B,-12.476941159301633,-164.25759712230524,E,E,E,E,C,0
UK,51-65,E,19.82902131072028,C,27.02193752946927,-9.599965955886772,D,A,A,C,C,1
China,65+,C,-87.1328697916085,B,-48.44713293807353,-54.41371190787122,A,A,B,B,E,0
Brazil,65+,C,-29.14567642407689,D,223.62918113904482,54.01722446720139,C,A,C,A,D,0
Mexico,26-35,A,-76.84424181591127,B,-12.019347712876947,-47.99263445000882,E,B,A,A,B,0
India,36-50,D,98.78730807574617,A,99.86166213885936,-88.43929677817076,D,A,C,B,E,0
India,18-25,E,-83.64997524397899,E,111.45805518693173,-77.8167305979104,A,B,C,C,E,1
US,51-65,B,27.28939629443927,B,65.646722960623,37.97998319367994,D,C,E,C,E,1
Other,36-50,C,-196.41665478293334,C,-121.36384294423914,-124.55472670820424,C,D,A,B,B,0
China,18-25,A,101.54553313175909,B,46.255727638767254,-7.024980275417033,E,D,D,C,A,0
China,18-25,E,-159.99418855806718,B,88.21187418165361,51.875771224668554,E,D,B,E,A,0
India,18-25,D,107.5092011842822,B,86.66950582937415,183.51768901380348,A,D,E,A,C,1
UK,26-35,C,-4.337164305149418,E,-58.8617996519358,20.157216482810362,D,D,B,E,D,0
India,18-25,D,88.24569575335451,A,26.578928793538047,-84.03867320117203,D,E,C,A,B,0
Other,18-25,A,76.82364317865871,D,-90.4706555514798,63.61865560162205,A,A,B,E,A,0
Brazil,18-25,E,-0.8507833368763793,C,108.05219896253992,-37.698260253921475,D,C,D,C,D,1
Germany,51-65,E,-55.35515583707724,E,-79.0029877447005,138.82109022892374,B,B,C,D,D,1
China,65+,B,-293.70638324408407,C,81.16833665186486,5.724665639892775,C,A,E,E,B,1
India,26-35,B,-61.99138275501737,A,-28.09069818626248,41.04792674801001,B,E,C,C,E,1
Mexico,51-65,D,-83.31758390694925,C,77.69455570811175,5.516182841193035,A,B,E,D,D,1
India,65+,E,-139.20737131993505,E,58.40621135443775,58.707599285418056,B,C,E,B,C,1
China,65+,B,61.609267228515726,C,21.011986123645503,75.56967926565683,A,C,C,C,B,0
UK,18-25,B,10.060521717326987,E,121.95287689871324,-175.87127439788955,C,C,E,E,B,0
Other,65+,A,-45.58963219671627,E,-236.2605614084361,24.64854873298447,D,D,B,C,B,0
Mexico,51-65,C,40.39818563381317,B,-14.608117619002126,32.759066019782864,B,E,A,A,A,1
Germany,51-65,D,73.68325492176062,A,-60.914155053844475,-36.56480807395007,C,D,C,A,B,1
Other,51-65,E,101.19750592677038,A,93.99867862201312,71.26898149286643,E,D,C,A,C,0
US,26-35,C,-11.134208285832303,B,74.6383161727852,155.99813164469936,C,A,A,E,A,1
India,36-50,D,-19.577355736338212,D,-99.15604557538995,144.93380035562149,B,E,E,E,D,1
Other,26-35,B,-66.14184879221095,B,-91.61870948353135,12.28715176115109,D,D,B,B,B,0
Other,26-35,C,-199.89472442645157,B,-122.76469789595181,133.8522238946857,D,C,A,A,A,1
US,51-65,B,4.784055491347859,B,-59.55966048338226,-35.490966077939476,B,D,B,A,D,0
China,51-65,C,-157.40128671392395,B,-9.092973265528714,82.40079693565545,C,D,E,E,A,1
China,65+,D,100.34384037959853,A,172.54571849365354,63.345060050084626,E,B,E,D,C,1
Germany,65+,A,67.5612654055054,B,44.09731938401815,19.12697048066131,B,B,E,B,D,0
US,26-35,B,-19.12185485904677,D,-12.937532283152281,-44.81415736290158,C,D,D,A,E,1
Brazil,18-25,E,-216.81840566408871,C,-69.19016810635537,46.33291679650542,D,A,B,A,E,0
China,51-65,A,-90.73204729303312,D,100.23852936463685,9.00029878898689,A,E,A,A,D,0
UK,18-25,B,133.84705174699798,D,-25.658324367209183,316.3801022099936,C,C,C,B,D,0
US,18-25,A,39.923431848553534,D,9.03032049542259,32.60775203729838,B,E,E,D,A,0
UK,18-25,E,-63.733200863652264,A,-122.43277511182247,105.73474568353267,E,B,D,D,A,1
US,51-65,B,193.90448010943686,E,104.3196593438661,-20.965756711276782,A,E,D,A,C,1
Brazil,26-35,E,61.82947280784655,C,-7.979635343193283,15.253196384225436,D,B,E,C,A,0
Other,65+,C,46.59776973069541,C,-62.05873282088093,21.835843532463116,A,D,E,E,A,0
US,65+,C,-151.8085422874314,A,-172.878166726633,153.1631409633279,C,C,E,E,C,1
Other,51-65,E,15.170226940496754,E,-34.705292953268426,27.916320164646084,A,A,C,E,A,0
Other,18-25,E,235.27282836720192,A,38.9673668551784,-5.290985413555816,E,B,E,B,D,1
Mexico,65+,A,76.46965309708408,D,30.7352409786329,-85.99523651789445,D,E,A,C,C,0
Germany,26-35,A,-87.34360824970402,E,-49.66742905890003,201.00162924454463,C,B,D,E,C,0
Germany,36-50,B,38.25357428291223,C,-93.91319127493827,-91.02810836609233,E,C,C,A,E,1
US,26-35,D,-90.18221438241653,A,62.20182516382068,-8.19278283903753,C,E,B,E,E,0
India,65+,E,59.6285553987963,D,-30.565501020437374,-202.98509282881358,E,C,E,E,C,1
China,65+,A,-30.193592577590255,E,7.84774977972197,-4.717503805691918,E,D,E,C,A,1
UK,26-35,D,41.68447734710855,A,-127.14281660306762,-41.23760297011045,E,C,E,C,C,0
UK,65+,B,-15.969285570639663,A,-231.27994981507803,-50.985721570304484,C,E,A,E,C,1
China,26-35,B,-34.634012446131116,B,-89.79551480779912,-122.68392542206281,B,D,B,A,D,0
Mexico,36-50,B,-137.90078288296627,B,-65.20656553836687,-37.21450138528178,E,E,B,D,D,1
US,36-50,D,87.18766087658221,E,-50.17699928319258,-20.663968469348347,C,B,A,A,E,0
Brazil,36-50,C,101.68232319527226,A,-16.722200795726497,-139.84743762506554,D,A,E,E,D,0
India,36-50,A,207.25446993401943,A,105.15264436101666,8.735587449007198,B,A,C,B,B,0
Mexico,51-65,B,62.97046542874662,B,-66.63908169805484,19.53565409761963,B,A,C,E,E,1
India,18-25,A,-87.86865821989913,E,20.80802774221304,-38.35709121765169,D,A,A,C,C,0
Brazil,26-35,E,3.666762070052893,C,-181.98083590729323,74.03430652216902,D,E,C,C,D,1
China,65+,B,-148.76556263277328,D,47.77166866355207,-99.8712141750026,C,D,A,E,D,1
Brazil,51-65,B,69.95197284292051,B,16.376271065014425,-24.359324386329963,B,D,D,C,B,1
Brazil,51-65,A,-15.320141735244789,D,-19.974315885867988,186.3700253606753,D,A,B,A,C,1
Mexico,26-35,D,-55.287274914172656,B,-116.14717781368186,134.16610285946825,D,E,B,E,B,1
UK,36-50,D,51.07438799591593,E,41.94810331627154,-216.8839321221083,A,C,A,E,C,0
Other,51-65,B,66.74693026401502,C,-42.96470876105632,-52.166271089969115,E,E,E,A,A,0
Germany,26-35,C,-80.18405258877196,A,31.43804930024559,7.997017610087694,A,C,A,B,B,1
UK,18-25,D,-17.77736154832198,E,27.754520970796452,183.86970066309442,A,C,D,A,C,0
Mexico,36-50,E,78.34683131140063,B,-100.20575045130131,-129.308349910134,E,C,A,C,A,1
UK,51-65,B,-73.61969421031053,A,-165.1758250321606,-138.99063577478162,E,C,B,E,D,0
Germany,51-65,B,-31.13083980884109,B,70.26540929240797,-118.03811019176618,A,A,E,A,D,0
Other,65+,B,-20.585130673337346,B,81.72358852776064,-69.58708862470414,A,B,C,C,E,0
Brazil,36-50,D,312.2008645627162,B,4.4010898230566085,100.16139482246165,D,B,C,A,D,1
India,51-65,E,82.56348042730738,C,-44.69658390706433,141.1948482506266,D,C,C,A,D,0
US,18-25,B,203.4221919129843,A,213.39735477087717,6.1024957314160915,E,C,D,A,E,1
UK,36-50,D,-60.11022302462648,B,-67.3910213662461,-27.21694326085145,E,B,E,C,A,0
US,65+,C,40.46968875886265,C,35.38960529967159,44.013596507863646,B,E,A,C,E,0
China,36-50,B,-54.09286513995269,D,223.24552731129702,-33.76619061194776,E,C,C,C,E,1
China,51-65,C,-126.172031328097,E,2.676979790075077,21.89919059000586,E,E,B,A,D,1
UK,36-50,B,26.81757529011509,E,3.118720226159831,4.155539342148244,A,B,A,C,D,1
Brazil,51-65,E,70.22410451942731,C,-84.46908343903317,-207.9629882828809,C,B,E,A,D,1
Brazil,26-35,E,-187.20209020654764,D,31.391530889738057,-122.07596514221908,C,A,D,A,C,0
India,65+,C,38.32036483125223,E,46.78428720086678,-281.5067489900309,D,D,B,E,E,0
Mexico,36-50,C,62.14937372713245,E,20.149304282521552,91.78148591878225,B,A,D,A,A,0
Germany,36-50,B,-32.87289293494587,A,163.50012807306766,-19.485965259547545,C,A,D,A,A,1
US,26-35,C,68.0690688811886,B,-57.09967168123142,25.418201351867133,E,D,C,E,E,0
India,18-25,A,137.3498432372096,E,-105.0635255979341,67.28617601896654,A,D,E,D,E,1
US,18-25,E,-53.5214512744283,C,-5.515802312015947,-38.26930445382056,A,E,C,B,E,1
Germany,36-50,A,90.23740098425218,C,256.3441119796121,82.6980844808002,C,A,D,B,D,1
Germany,26-35,A,-51.110873636312824,C,-208.2959218454881,44.25044186631564,C,C,C,E,C,1
China,36-50,E,79.65527604475137,D,-252.1943213571132,-33.50774675857152,A,C,C,B,B,0
US,18-25,D,112.64254698056197,B,132.98832365357228,-42.77459478734513,B,E,D,B,E,1
China,18-25,A,65.47831449880118,A,-140.32338472451917,-92.3621843907877,A,E,B,C,E,0
Other,26-35,E,34.21601022881757,E,188.9840469991595,66.66178514889921,C,A,C,B,C,1
Brazil,36-50,B,-174.482161961401,B,83.86153731906658,-121.49513881670958,E,D,A,E,C,1
Germany,51-65,D,-2.9868878324873274,D,39.56461238755617,106.65235787384928,A,E,E,D,E,1
Mexico,51-65,E,273.91084452957483,B,-71.03736299478044,32.55897176967035,B,D,A,C,D,1
Other,65+,C,85.42579622360171,A,-25.164180659095248,-34.29685189907336,B,B,D,C,A,1
Mexico,26-35,B,34.3754497770969,D,60.595904162187374,-3.474477209215507,C,B,B,B,E,0
Mexico,26-35,A,-35.9524187688853,D,-35.0582109348409,-187.62612675644243,D,D,A,E,D,1
Mexico,36-50,D,-82.00986878879995,C,14.294835963579446,27.57243343978308,A,B,C,D,A,1
Germany,36-50,B,-42.985821495162355,B,-176.57180310816324,50.4065569289635,C,B,A,B,C,1
Germany,36-50,A,71.54798371078924,D,110.1905715390953,-295.3009879357309,B,E,B,C,B,0
Germany,18-25,A,203.4880096980428,B,49.00610706532486,167.14364291592793,E,E,D,A,B,1
Other,36-50,E,27.983151779842302,E,108.85307461151686,33.49305003824882,B,E,A,B,E,1
India,36-50,A,-75.61018981849476,B,0.5109225235765353,59.96059494918631,E,B,C,B,E,0
Germany,18-25,B,-26.087678146434172,D,96.42317609451723,0.1722345463899188,C,E,C,D,E,1
India,26-35,C,32.6079141065467,A,90.39314840678023,87.98112602978857,E,E,D,C,E,1
UK,51-65,C,-134.94005892715836,D,63.06194430121834,224.9906470731779,B,D,C,A,C,0
Brazil,65+,E,-54.89987006479482,B,-33.54474896434417,20.050281048756084,E,D,B,B,A,0
UK,36-50,B,235.35285437876348,C,144.55648300938313,-289.602293769436,C,C,A,C,A,1
Germany,51-65,A,83.68573381206618,C,154.5252566177227,88.41525467276266,A,C,C,E,C,0
US,36-50,B,-75.87785407356742,D,-200.6107047818131,6.102832816323267,A,C,B,C,C,0
Germany,18-25,E,-71.85069313469768,A,-66.06736388646527,-57.19308286347463,B,E,E,B,E,0
India,51-65,D,-47.459105990777516,D,-136.90642422598435,43.595131623244086,E,C,C,C,A,0
UK,36-50,D,-11.35675598080673,E,-73.83475342229272,50.215942310955505,D,D,B,A,C,1
Germany,65+,E,26.143536644900028,D,118.51832304535989,35.67137553815671,A,D,C,D,C,1
Germany,51-65,A,167.97600571310065,B,-178.394675198638,157.3035471306771,E,B,E,A,D,1
Mexico,36-50,D,-77.05207729760292,C,46.226206851358,-26.645006845207654,C,D,B,E,C,0
China,65+,B,70.65524722079516,B,4.19100626070775,-127.7617076065295,C,D,C,B,E,0
China,51-65,A,195.66625839366543,D,-28.438303270795284,-34.77970681138901,A,D,D,B,D,1
Germany,65+,B,87.19917063593809,B,-64.13477859325795,-46.823590062265666,E,B,C,A,B,0
India,51-65,E,-125.28720070859517,B,97.7352286689266,194.30734972182887,C,E,B,D,B,0
US,36-50,B,-190.80888256858663,C,-66.3844221656891,-28.761513854811145,D,B,E,D,C,0
US,36-50,E,-48.8340303807183,C,170.5719756308042,39.73238197609854,C,D,D,E,C,0
Germany,26-35,D,-83.90714782160464,E,-19.05431546554153,-141.48254609304084,B,A,A,A,B,1
Germany,26-35,B,-46.65049074783527,D,51.075274492289445,-187.22725795791507,D,E,A,B,D,0
UK,65+,B,135.68399432321053,E,-135.54481341437895,6.01500324353832,D,D,E,C,D,1
India,18-25,A,118.05729288765568,B,-95.32861327255456,-47.6387614158182,D,D,A,B,C,0
UK,36-50,B,-55.98172911119798,D,88.29251678121133,94.272177688547,C,E,B,E,A,1
US,26-35,E,-93.890153154627,E,13.036766603919656,-30.64010742688535,A,D,A,C,D,0
US,18-25,B,62.99948769562138,A,72.74701201050509,-107.29214043716055,A,E,C,A,A,0
Mexico,36-50,B,-45.113240815742046,E,156.29858093501883,49.72652649853032,C,B,A,A,B,1
Other,51-65,D,48.17205163560802,C,-112.4626574076712,10.783073359356981,C,B,B,D,D,1
Germany,51-65,E,88.42459577691861,B,21.71580250517767,-47.31522043321925,A,E,B,D,A,1
China,18-25,B,-78.72851552766984,B,-113.91276550816197,-35.7330175068502,C,E,C,E,C,0
China,26-35,B,80.90228536513874,E,-66.01423896642996,40.72265771747915,E,D,A,C,D,1
UK,51-65,D,85.83767344395136,E,-22.335266588971937,180.9575696533631,B,D,E,E,C,0
India,18-25,D,-144.94235910316905,D,106.47417757346354,101.04461207187711,A,B,A,E,B,1
Other,26-35,E,-31.09584726342385,E,-88.219689770215,77.23302346587238,D,E,B,C,C,1
Germany,18-25,C,-116.58929298558476,E,119.50700644649719,-89.64789252852576,A,E,C,C,C,0
China,26-35,D,69.97872325227212,A,-30.185674431990456,-15.647406139405595,A,A,D,E,E,0
Germany,51-65,A,-3.9038765113493223,D,-61.82920706460928,-126.34150869590555,B,B,B,B,D,1
India,36-50,E,-84.43870020962108,D,-36.72746596800803,95.13195456269538,A,E,C,A,C,1
China,18-25,A,-97.58014528202182,A,-35.317230117339484,-268.53790201695296,A,C,B,B,C,0
Other,36-50,A,29.740286430629837,A,-145.18178909959116,92.5924472200388,E,E,C,B,C,0
India,18-25,A,94.73238837074634,E,180.16663105711882,8.833342390629554,A,E,A,D,D,0
Germany,36-50,B,-13.477840389545017,C,-42.81994725763308,133.22956468752184,A,C,B,B,D,0
Mexico,26-35,B,-117.69030049780866,B,-92.67291253786499,-105.67990646643841,E,A,A,B,B,1
Mexico,51-65,C,-36.02281023623918,E,43.164648836647615,-117.62793236912887,D,D,B,D,A,1
Mexico,18-25,E,-5.525391887420585,E,-138.3487457639856,-68.3438777033931,B,C,A,E,B,1
Brazil,36-50,C,236.46021207659356,D,-42.96181388345446,99.66198211003149,B,E,B,A,C,1
Other,65+,C,-15.58506408828941,A,-74.09995120758526,-111.61980529992303,E,A,E,E,B,0
India,18-25,C,-22.831623129523017,E,-69.47500267561433,49.05046636515763,B,C,E,D,D,0
Other,36-50,E,-81.86679548791341,E,55.22104741306714,-66.36929167274566,E,D,A,B,A,0
UK,26-35,D,-99.16961333814702,C,-254.67201655320952,13.2525368155842,A,C,B,A,E,0
Other,51-65,D,31.233622785576564,A,234.96475691255282,43.00384213578703,C,B,D,D,D,1
India,65+,E,-72.4315477648098,B,-104.47274373510011,-92.50843656729815,B,A,A,A,D,1
Other,51-65,D,-69.84416474345376,E,54.76612199222824,-173.32955865498346,B,E,A,E,E,1
China,26-35,A,-102.47228475900143,B,158.98965706483986,-189.60104596138817,B,B,C,B,E,1
UK,26-35,E,114.5524972330254,C,104.7473692052922,11.935439835539169,D,D,B,B,C,0
Mexico,65+,D,-66.51185183539272,C,115.80893207066909,112.05512142014678,B,B,D,C,D,1
Other,51-65,C,-70.56408991815997,D,-55.82685803126501,-244.18019609863845,E,D,A,D,D,0
Mexico,36-50,B,-53.35022427239352,D,-62.27143677904051,23.61667211002638,D,B,C,C,E,1
Brazil,65+,D,121.2917788658753,E,82.23258513049218,-49.40032600897151,D,D,A,E,C,0
US,26-35,C,-116.81755168578208,E,-174.14545239605135,74.23060181339058,B,E,A,D,B,0
Mexico,18-25,E,96.62628256486845,A,118.29755068035254,-129.41159590284568,C,B,B,A,A,1
US,26-35,A,-35.9375194426711,B,-86.19746827357851,1.8701084498489389,C,B,B,A,A,0
Brazil,26-35,B,30.053172257714913,C,13.758526658803556,4.29647764964453,A,E,E,D,B,0
India,65+,D,49.43064160467081,D,43.66562786181878,-99.63206664536914,C,D,A,D,D,0
Germany,65+,D,-31.44583826412108,B,50.30661774002806,269.78411099152703,D,E,A,A,A,1
China,36-50,D,142.0095501883835,A,-200.37239776017523,11.915869198337452,D,D,D,C,C,0
US,65+,C,-135.82244600685968,B,49.812720854548,-40.58465181727182,E,C,E,A,B,1
Germany,26-35,A,3.496572690075033,D,-198.2693256180069,7.237088958519002,B,C,B,D,C,0
Brazil,18-25,E,141.29841511356065,B,-67.08365032836208,-78.37887467269505,E,D,B,A,C,0
China,18-25,B,-130.1432856171541,B,18.954151809602866,-58.777372080000276,C,D,A,C,B,0
Mexico,18-25,B,-127.64192193444323,C,25.33832721546057,62.654767816006974,D,C,C,D,B,1
China,51-65,B,-13.446668883900717,C,-25.688157004539473,28.505625598477778,D,A,E,E,E,0
Brazil,51-65,B,-66.32181828719513,B,42.098388832495864,172.4656607858715,A,B,E,E,C,1
China,51-65,B,28.844429741860406,B,27.227167636331913,-145.75815449294524,C,B,D,D,A,1
Brazil,36-50,E,-122.63487426241102,E,-75.83960133352157,110.33503476758746,A,D,A,D,A,1
India,26-35,B,101.04962482287401,A,81.83979042415221,83.28879452460639,E,E,B,E,C,0
Mexico,65+,E,87.11495517166085,A,-150.46488831673895,-9.088456603119585,D,C,A,B,D,1
US,65+,B,132.14028498043697,E,92.38269526883472,19.37380839121456,E,B,A,E,E,0
China,36-50,B,86.94160567953068,C,70.86371253548434,72.00404947018347,A,A,A,C,D,1
Germany,18-25,E,43.12960414221451,C,42.33897333878014,-181.37681001705874,C,A,D,C,A,0
