age,disability,gender,feature_0,feature_1,feature_2,feature_3,feature_4,target
48,None,Non-binary,D,68.97144387714465,E,B,E,1
60,None,Male,C,96.5024503275742,A,D,C,1
28,No,Female,C,-3.6954505281787937,A,B,E,0
54,Yes,M,E,32.453614610456405,C,B,A,0
57,Physical,Female,D,-31.86507085140114,C,A,A,1
61,Both,M,D,62.33143258419147,E,E,D,1
64,Mental,Male,D,-12.645379363745713,B,B,A,0
21,None,Non-binary,A,-122.8394295646814,A,E,A,0
54,No,Other,C,-39.06321066511594,C,E,A,0
52,No,M,A,-39.11527599428575,E,C,E,1
75,Both,M,A,99.22801381004169,E,B,B,1
34,Physical,Male,D,-55.61185376324773,D,A,C,0
73,Physical,Male,C,-2.387175543422063,A,B,C,1
56,Both,F,A,41.24409414932209,D,A,A,1
32,Mental,Other,D,-89.65991098379014,A,E,D,1
38,Mental,Female,E,53.460761488735066,B,A,E,0
57,Mental,Other,D,-11.91172671693,C,D,D,1
40,None,F,B,-81.58361415293398,E,E,B,0
78,Physical,M,D,-44.05302485218057,E,B,E,0
54,No,F,C,-187.52790311646356,B,B,D,1
75,Physical,Non-binary,C,-139.8657544297004,D,D,D,1
77,None,Male,E,-34.450949773629254,E,D,A,1
46,Mental,Male,C,67.47331414243256,E,A,A,0
61,Yes,F,C,-141.65054700266725,E,E,A,0
32,Physical,Male,D,26.94396454319598,E,D,A,0
61,No,Male,D,-100.46812441174511,C,B,A,1
75,No,F,D,48.020123510754104,C,D,E,0
42,None,Female,A,20.884530196576424,D,E,C,0
50,None,Female,B,-107.07158667750112,A,C,B,1
38,Physical,Female,D,222.98355226531842,C,B,B,0
57,Mental,Non-binary,E,14.54274698112916,C,E,D,0
25,No,M,D,139.921887901366,E,B,C,1
25,Mental,F,B,-147.33073494101967,A,D,A,0
44,Both,Other,C,10.330089826915914,C,D,C,0
35,None,F,D,-23.96209630059547,E,D,D,0
68,No,Non-binary,A,45.527981025255805,A,C,D,0
24,Both,F,B,-50.02041102029138,D,A,A,0
40,Yes,M,D,-47.36353884604181,C,C,C,1
79,Mental,F,D,-118.96836903695561,B,C,A,1
49,Yes,M,D,-1.3717969107698793,A,A,D,1
50,No,Non-binary,C,-39.33324997956186,A,A,C,0
20,None,Other,A,-88.87684011364905,B,E,C,0
43,No,F,C,-27.68100338647706,E,E,D,0
21,Mental,F,C,53.09229032610968,D,D,D,1
79,No,Other,C,67.74694249970604,A,B,A,1
57,Yes,Female,A,-126.88874357147569,B,D,B,1
64,Both,F,E,30.94634171934426,D,B,C,1
75,Yes,Female,A,4.761212223689751,E,C,C,1
57,Mental,M,B,-189.46914858081146,B,C,C,0
50,Yes,Male,A,54.04446351588024,B,E,E,0
50,Yes,Male,C,-74.96536616690723,B,A,B,0
24,None,F,E,-58.30456941209336,E,E,D,0
58,Yes,F,B,129.3106583177332,C,D,E,1
63,None,Non-binary,B,-18.5557553773369,B,C,A,1
56,Mental,F,A,3.969468385527074,B,C,B,0
79,Yes,Other,D,131.3720833092984,A,C,A,0
18,None,Female,A,-12.518893192651555,E,B,D,1
76,None,Non-binary,D,-34.30650794098501,E,A,B,0
71,Both,Non-binary,C,73.63459254083266,E,B,E,1
38,None,Non-binary,B,18.424257159015355,D,A,A,0
30,Mental,Female,E,-34.859301439375166,D,E,B,1
28,Both,Other,C,-80.53484081601547,B,A,E,0
49,Both,M,E,73.87147041520079,A,D,E,0
22,Yes,Male,E,131.73293266007158,D,D,E,0
20,Yes,Non-binary,D,69.57997211521187,B,A,B,0
33,Yes,F,B,204.48060958343842,B,B,E,0
68,Physical,Other,C,82.02037656715771,B,D,E,0
51,Mental,F,A,-51.94470165684842,E,B,A,1
21,Mental,Female,B,-52.881170567354694,D,D,A,0
51,Physical,M,B,299.87228861085225,E,B,D,0
27,Yes,Other,A,-60.395082260290735,C,C,D,1
19,None,Female,B,30.52899727857173,A,B,E,0
61,Yes,Male,B,112.17219973448667,D,A,A,0
22,None,Female,D,83.67463629668376,D,D,E,0
59,Both,Female,A,-2.5912811578452466,C,D,E,1
58,Yes,Female,E,83.0606178028389,C,C,B,1
42,Yes,F,A,51.37200986370873,A,C,C,0
46,Physical,Female,A,4.152384063598864,D,E,B,1
19,Yes,Male,A,105.53481530777917,D,C,B,1
40,Yes,F,D,82.10676361528229,E,C,A,1
55,Both,Non-binary,B,31.221647700499194,C,B,A,0
46,Physical,Female,E,7.3428068296659115,B,A,E,1
70,Both,F,D,158.86218378639748,A,B,D,1
72,Yes,M,B,-208.286826746352,B,E,B,1
35,No,Female,B,-223.33994264770269,A,B,A,1
48,Physical,Female,A,43.515604315848066,E,B,B,1
26,Physical,Other,C,-143.7289383747068,B,C,D,1
41,No,Non-binary,D,47.20755297795274,B,B,E,1
55,No,Female,C,-237.11449578395687,E,A,D,0
44,Mental,Female,C,217.3285503112741,D,D,E,1
66,Physical,Male,D,-129.2950738545636,B,A,D,1
37,Mental,Male,C,63.392301771205474,C,A,C,0
39,Physical,F,A,-56.99106980276106,A,B,C,1
70,Mental,Male,D,161.01451481662028,D,A,D,0
75,None,Non-binary,D,-0.7407301270648072,A,D,D,0
37,None,Other,A,124.82508603024405,B,C,E,1
27,None,F,C,12.833375374641747,D,B,A,0
24,Mental,Other,A,96.03603010443747,E,D,B,1
57,Yes,Female,A,55.60573586884418,E,A,D,1
62,None,Non-binary,A,-42.60069319835949,C,A,A,1
65,Physical,Other,E,163.30856942011516,A,D,B,0
56,Yes,F,C,-92.61164304587427,D,E,D,1
64,Yes,Other,D,185.89378011451026,C,C,A,0
40,None,Non-binary,D,61.40927302803074,E,B,C,0
50,None,F,B,89.32827029475618,A,C,E,0
46,Yes,Male,A,92.10646642585954,C,E,D,1
56,Yes,M,C,221.63071120250783,D,E,B,1
55,Yes,F,B,-215.25078485067272,C,A,C,0
19,Physical,F,E,81.83205288315766,B,D,C,0
71,None,Other,A,-31.8177856064646,C,A,A,0
49,Mental,Non-binary,E,-8.56998628654076,E,D,B,1
55,Both,Female,A,-151.82141812860098,B,D,A,0
79,Physical,Non-binary,B,165.57412989587456,A,B,A,0
46,Physical,Male,E,76.18916938070471,B,B,A,1
23,Yes,Other,B,-29.05822655267211,E,C,A,1
73,Yes,Other,A,-106.13965732417397,B,E,B,0
66,Physical,F,E,81.08877548854723,E,C,D,1
41,Both,Male,E,-13.671355413594899,B,E,D,1
40,Both,Female,A,2.0610166521728317,E,D,A,0
47,Physical,Female,C,-20.335166782838346,E,C,B,0
68,No,M,E,13.692585160364098,E,C,E,1
60,No,Other,B,-55.80893991690434,C,B,B,1
22,None,F,A,70.27453026545692,D,E,D,0
43,Yes,Other,C,-160.4994185850569,D,A,B,0
52,Mental,Female,A,-43.34614669990934,D,A,B,1
57,Yes,Female,B,-39.602563367404095,B,E,C,0
45,No,Female,B,-59.00479461008265,D,C,E,1
63,None,Non-binary,D,144.53649331728832,D,C,A,1
62,Yes,Other,C,31.04685517156484,C,E,A,0
70,None,Female,E,15.20448403702756,A,B,C,1
37,Both,F,D,105.16284375589342,B,C,B,1
20,Yes,Other,B,226.30146852835117,A,D,C,0
30,No,Non-binary,C,-118.88914027627253,E,C,D,0
69,No,Other,B,74.3029990610577,D,D,B,1
53,Physical,M,A,-50.029937557076046,C,C,E,0
29,Physical,Female,E,145.87045351173134,B,D,E,0
37,Both,M,C,166.55306104886222,E,A,C,0
48,No,M,A,15.210940365842232,A,A,A,1
67,Mental,M,B,-81.78584308062781,B,E,D,0
51,Mental,Other,B,81.16411979165522,C,C,C,1
28,None,M,A,70.70510297692874,E,B,B,1
64,Mental,Other,E,-119.79087815814616,D,B,E,0
63,Mental,Other,A,-6.525844258880643,B,C,A,1
79,Yes,Female,E,-48.96173667052489,D,D,B,0
34,Yes,Female,C,-61.44050986021868,E,D,C,1
19,Yes,M,B,-182.20743531679207,E,E,D,0
32,No,M,D,-60.56300907594289,C,E,A,0
38,Both,Non-binary,C,102.4468329907406,D,A,C,0
42,Both,M,E,54.68622373318198,A,B,C,0
69,Physical,Non-binary,D,-44.119289159072636,D,E,B,0
41,Both,Non-binary,A,64.40399335957737,A,E,B,1
26,Physical,Non-binary,B,-18.1672715416094,A,A,E,1
29,Yes,Female,C,83.0436020018725,B,E,A,1
23,No,F,D,-41.21711410448331,A,D,B,1
21,None,M,D,-97.94257096135209,D,C,E,0
46,None,M,D,92.14991996772237,E,D,B,1
66,Both,M,B,142.91062399346464,C,E,A,0
25,None,Male,E,193.00676577187076,E,D,D,0
20,Yes,Other,B,220.9891928843678,C,E,A,0
66,Mental,Male,C,-64.4132409440491,D,E,A,0
53,No,F,B,-76.24681212306112,E,C,D,1
54,None,F,D,49.742591829021876,E,E,B,1
76,No,Other,A,153.6283804072405,A,B,C,0
39,Mental,M,A,-23.315103494491048,E,A,D,1
54,Both,Other,A,-122.41843260094485,D,E,C,1
63,Both,Other,B,17.08169348216966,B,E,B,1
24,Both,Female,E,26.38333189796614,C,E,B,1
63,Physical,Male,E,-35.08688006270384,D,D,B,0
57,Yes,Female,A,-62.37813541550763,B,A,B,0
66,Both,Female,D,-64.82249719318095,A,C,C,1
47,Mental,M,C,43.172336803410545,A,E,E,1
18,Physical,Male,A,-104.32723349529024,C,E,D,1
56,Mental,Non-binary,C,-154.78289641953268,E,D,E,1
40,Yes,Male,C,-61.71839435785267,C,D,E,0
24,Both,M,B,31.237986323197976,B,A,E,0
50,Both,Non-binary,C,15.814257331345209,E,E,D,1
24,Both,Male,B,16.853582089230827,D,D,B,0
60,No,F,E,-26.86236961222471,E,A,B,0
47,Yes,Female,A,20.354795877822777,B,C,A,0
47,Both,Other,B,37.30798566361164,B,D,C,0
46,Yes,Male,A,-118.23926971119583,A,C,D,1
45,Physical,Non-binary,B,-151.13721170829692,B,D,A,0
56,Physical,Other,C,-119.80939686096015,E,D,C,0
38,Both,Female,B,-15.376152499730072,E,B,A,1
63,Yes,Other,E,-149.39960092334908,A,D,A,1
29,Mental,M,D,-177.99713141255495,B,B,C,1
39,None,M,A,-86.48519974762134,B,D,B,0
21,Physical,F,E,79.65580715817296,C,E,C,0
30,Physical,Non-binary,E,79.16737648462667,E,B,E,1
75,Both,F,A,19.129389331358347,A,E,E,1
19,Yes,F,D,-94.05371987840681,D,B,E,0
25,No,Female,E,-21.48780957584984,E,C,A,0
38,Mental,Male,B,16.647763984664905,A,A,B,1
45,Mental,Other,C,-22.482631547271232,C,D,E,1
73,Mental,Non-binary,B,32.113570628289864,C,C,E,1
43,Mental,F,B,-86.8655749780411,A,C,C,1
18,Mental,M,B,-114.53939512329583,D,A,C,1
52,Physical,Other,C,-21.268984772541717,A,A,E,0
50,Mental,Male,C,44.09473190302293,A,A,A,0
48,Yes,Male,D,151.77959034060217,E,B,B,0
33,Physical,Non-binary,E,118.71265037072682,A,D,B,0
32,No,Male,B,21.465093483549655,B,D,A,0
78,Mental,Other,D,-22.47367381640086,C,A,D,0
54,Physical,Non-binary,E,20.41287275794763,D,E,A,1
51,Mental,Other,B,-155.99088033469422,B,C,C,0
59,Yes,M,A,-66.54609497514525,D,A,A,1
35,Mental,Female,D,-24.121724731490314,C,D,C,1
73,None,Male,A,3.4853413147005936,A,A,C,0
28,None,M,D,24.756755779275615,B,C,C,0
45,Mental,F,D,-306.72964457125704,D,D,E,1
43,Yes,Other,D,224.7980500180288,B,C,B,1
61,Yes,M,C,12.23927347759762,A,D,C,1
19,No,M,C,230.6532899660527,D,A,C,1
31,Physical,Female,A,61.7509278356242,B,C,D,0
40,No,F,B,-145.29335915957452,D,B,D,1
79,No,M,A,30.002454691139725,A,B,E,0
34,Both,M,E,107.30064017680847,D,E,B,0
28,Physical,Male,D,-33.82405488557779,D,A,C,1
18,None,Female,D,122.49423074589187,B,E,B,0
29,No,M,C,7.141295348042807,E,A,A,0
31,No,Female,D,28.933902464131574,B,C,C,0
45,Yes,Non-binary,B,23.111453131270945,C,C,A,0
32,Mental,M,D,-19.287089513659737,E,D,A,1
39,Mental,Other,B,41.190683307024216,B,E,A,0
62,Mental,F,E,-36.88867517208932,A,D,E,0
39,Both,Other,A,69.6205827167952,A,E,A,0
26,No,Male,E,231.5997996511426,D,D,E,0
20,Both,M,D,-45.417816110707186,A,C,A,1
73,Both,M,E,-40.47447027632192,C,A,E,0
41,Physical,F,C,329.39299625815545,D,D,C,1
72,Physical,Female,D,109.56146615418072,D,E,D,1
22,Mental,F,E,-136.78796398076162,D,B,B,0
50,None,Non-binary,B,-143.29779142332347,B,B,D,0
41,Mental,Non-binary,B,-77.03661780585756,A,A,C,1
35,Yes,Female,D,-185.09462906843854,C,A,E,1
63,Yes,Male,B,-0.5211684958439847,B,D,E,1
58,Yes,Non-binary,B,-128.00989406738472,E,E,D,0
58,Both,Other,C,43.08980155684761,B,E,D,0
58,Both,Other,D,-150.98101991266043,A,A,D,1
48,Mental,M,C,2.147398464623099,C,D,E,1
75,None,Male,E,-222.76655829495823,A,E,A,1
61,No,Female,C,191.8733843288014,E,E,D,1
76,No,Female,D,47.21011182851138,E,A,E,0
27,Physical,Male,A,-81.15148973951341,A,D,C,1
34,Both,Non-binary,E,175.1548294735978,D,D,C,1
35,Physical,F,E,-68.82744623579418,B,B,A,0
47,Mental,Male,E,-62.21001690923096,E,B,A,1
19,Both,Female,A,12.199938015302779,B,B,E,1
72,Mental,Other,A,111.4598776147235,A,E,A,0
65,Physical,M,D,-187.553824188814,C,D,E,1
19,Both,Non-binary,E,232.88965148601974,D,A,D,1
24,Yes,Female,A,-42.86428650137359,D,A,B,0
65,Mental,Male,E,71.18120080237176,D,A,A,1
47,Both,Other,B,7.16657048128422,C,A,D,1
18,Yes,Other,C,39.000658200679446,D,C,E,0
26,Physical,Other,D,-129.5455492535022,B,E,D,1
62,No,Non-binary,A,78.19622931418675,D,D,A,0
24,Yes,Other,A,-40.58965532333585,C,E,D,0
18,No,Other,D,18.66960401950825,B,B,E,0
30,Mental,Male,A,-88.51857044065949,C,D,D,0
34,Mental,Non-binary,E,41.261315573016766,D,D,C,1
43,Physical,Other,E,-48.67440752724792,C,D,A,0
47,Physical,Male,E,116.28675348632129,D,A,B,0
34,Mental,Female,E,117.38380378356379,D,E,E,0
42,No,Male,C,-71.13892296133265,E,D,B,1
32,Both,M,C,114.76367617142773,C,A,A,1
50,Mental,Male,D,12.104084929157496,A,C,B,0
18,None,Male,C,53.273244957042344,B,E,E,1
23,Physical,F,B,140.13970231597986,E,B,A,1
35,Yes,Other,C,-53.18582047155771,B,D,C,1
60,None,Male,C,-46.12967914793052,C,A,E,0
31,None,Non-binary,C,-1.2404046626347678,E,C,B,1
65,Yes,Male,B,48.282238293955146,B,A,D,1
50,Physical,Non-binary,E,-202.93204169903274,A,C,A,1
38,None,Non-binary,B,-54.87223912332454,A,A,E,0
21,No,Non-binary,A,64.36540669778732,D,C,D,1
72,Mental,Other,B,175.42842979271362,E,C,D,1
56,Yes,Male,E,-96.67705753542741,A,C,E,1
66,Physical,Other,D,-201.58121650623823,D,C,A,1
44,Mental,Male,B,114.7917916182476,A,C,B,1
37,None,F,D,-73.1175170090949,B,D,B,1
35,Both,Non-binary,C,-154.1857313145931,E,E,C,0
31,None,F,C,-15.52548225506856,A,D,E,0
27,Mental,Non-binary,E,64.60337537374053,B,B,A,0
63,Yes,M,D,-45.411331216793364,D,E,C,0
70,Yes,Non-binary,E,76.6066761527094,C,D,D,1
38,Physical,M,A,-155.41320850935102,E,C,E,1
46,Yes,Female,E,91.51752010643165,D,A,E,0
66,Both,Non-binary,D,16.628103236303726,A,D,B,0
68,Yes,Non-binary,E,24.028537645399677,B,C,C,1
64,None,Female,A,16.621925586132257,E,C,E,0
41,None,Non-binary,E,81.26408956008125,A,E,B,0
51,No,Female,C,17.648293257011545,E,D,B,1
50,Physical,Female,D,-58.47829592825706,A,C,C,0
46,Physical,Non-binary,A,-15.265320119178854,B,D,B,0
74,No,Male,D,25.04151821250747,C,E,E,0
74,None,Other,C,-83.4603036468247,A,B,A,1
44,None,Female,B,90.23141011609005,D,C,D,1
29,Mental,Other,A,-64.36087184926032,A,E,B,1
22,No,Other,C,21.338758702888427,D,D,E,0
38,Both,Female,E,-105.31861241720908,B,B,A,1
45,None,Other,C,79.64733475904812,D,E,D,1
19,Physical,Male,E,36.77581394857347,E,C,D,0
78,None,Other,E,187.2510446438158,E,D,E,0
68,Both,F,A,-199.3771601577572,C,A,E,1
41,Mental,Non-binary,B,-45.640280871005956,D,D,A,0
76,Both,F,D,-79.65322934486747,C,D,E,1
29,Both,Non-binary,A,121.93233391695435,C,A,B,1
63,Physical,M,B,-148.23830689877448,C,A,D,0
48,Mental,Female,E,-25.886125378537805,B,B,C,1
18,Physical,F,C,148.6328087613992,D,C,B,1
61,Mental,Non-binary,A,-98.13604574462404,D,C,A,1
54,No,Female,A,115.03816639171755,C,A,B,0
78,Both,Female,E,7.2187138088250835,B,C,B,0
30,No,F,C,-199.9040914743753,D,D,E,0
55,Both,Male,E,-30.347123120955644,B,D,E,1
30,Physical,F,B,-131.92612882859828,C,D,A,0
24,Mental,Non-binary,A,-58.724618006691124,A,B,C,0
20,Both,F,D,-47.89887499807929,B,E,B,0
48,Mental,Non-binary,E,10.558038213210029,B,D,C,0
26,Both,Other,B,-44.69764957903235,D,A,D,1
54,Both,Male,A,143.51335571190899,C,E,C,0
42,Physical,Other,B,8.669216962098425,D,E,D,1
78,None,Male,E,22.525481550051836,A,E,B,1
40,Physical,Non-binary,A,-101.50119721070526,D,A,E,0
31,Physical,Other,C,-1.3179841791880789,C,C,E,0
36,Both,F,A,242.66654002737914,C,B,C,1
69,Physical,Female,B,-85.82844560442499,B,C,C,0
44,No,F,A,197.48414129406072,D,E,B,1
47,No,Non-binary,E,-40.76738177874474,B,A,E,0
69,None,Non-binary,A,-121.83948182831617,E,A,C,0
55,Both,Female,A,14.136959350689263,D,E,B,0
75,Mental,Female,D,-201.05288113446102,A,E,A,0
19,None,M,B,-115.2569528025775,B,D,E,0
65,Yes,M,E,160.9157741722686,E,C,D,1
62,No,Female,C,-73.10451956804982,D,B,A,0
24,Mental,Female,A,-100.01667140951909,D,C,A,0
41,No,Other,C,3.3380521544160073,B,E,A,1
54,No,Other,B,16.481018281951002,A,E,D,0
77,None,Other,A,56.94557412139116,D,C,B,1
77,None,Female,E,6.963212516545891,E,E,C,1
62,Physical,Female,C,19.376517714498974,A,B,A,0
49,Physical,Other,D,-41.81608606224738,E,C,A,1
41,Both,Non-binary,C,-57.58862644124713,D,D,C,0
49,Physical,Non-binary,E,121.19627702084614,E,D,C,0
73,No,Other,D,-248.2478146288286,C,E,C,1
25,Yes,Other,A,-32.315675613912354,D,D,D,0
62,None,Non-binary,A,-69.4326582017995,C,A,B,0
71,None,Female,E,31.497602121059607,A,D,B,0
70,Both,Non-binary,E,-55.135819787915175,A,E,D,0
26,No,F,B,6.036597929306243,C,D,B,1
48,Mental,Other,A,51.468780937222114,D,D,B,0
52,No,M,D,85.70971388419952,D,D,A,1
76,Yes,M,A,-113.49554121067287,C,E,B,0
43,Physical,M,D,164.32536928312936,C,B,C,1
24,No,Non-binary,E,231.31930149378684,B,A,A,1
56,Yes,Non-binary,A,117.94505270083242,E,C,C,1
18,No,F,B,74.21165218276957,B,C,D,0
21,No,Other,D,-89.82414286052901,C,B,D,1
35,Mental,Other,B,-38.01891678687395,B,D,A,0
73,Physical,Male,D,-16.63937749828318,B,A,E,0
77,No,Female,C,20.370888118658044,C,C,C,0
25,Mental,M,D,71.20999986679735,A,C,A,0
62,Mental,Male,C,102.82840560492342,B,B,B,1
33,Mental,Male,E,-70.79641852257656,C,B,A,1
25,No,Female,B,-37.83012497722778,D,A,E,0
25,Yes,Male,D,60.95688277055733,E,D,E,0
54,None,Other,E,-70.547660469238,A,B,D,0
23,No,M,E,-53.26078851623932,E,E,A,0
28,No,Male,B,48.83646846509742,D,A,E,0
41,Physical,M,B,-140.14277175355997,B,C,B,0
25,Mental,Female,E,55.318687531082766,E,C,A,0
77,None,Male,D,1.7768931042998748,C,D,C,1
73,None,Other,C,168.82530704536566,C,E,C,1
42,Mental,Other,E,-133.6815001309496,D,D,B,1
36,Yes,M,B,-231.43042219539782,C,B,A,0
63,Both,M,D,119.83875670198263,E,A,B,1
33,Physical,F,E,-25.229409797041107,E,E,C,1
29,Both,M,C,-163.40313605980398,A,A,C,1
65,Physical,Female,C,208.1137667339061,D,B,B,0
64,Physical,M,D,-101.87698949910038,A,A,E,0
24,Yes,F,B,-42.22565815193431,E,A,E,1
43,None,Non-binary,D,83.46384840018868,B,B,E,1
37,Mental,M,C,49.22143747227489,E,B,C,1
53,Physical,Non-binary,B,-77.9619220922192,B,A,A,1
58,Yes,Male,E,-59.47285373986041,A,A,D,0
26,Mental,Male,D,-22.851746688311593,D,C,D,1
78,Yes,F,D,91.5623699045605,A,A,E,0
35,Yes,Female,A,23.04194341637967,B,B,B,0
24,Mental,M,B,-202.67283962508094,C,E,E,1
29,None,Other,A,154.6323889113508,A,D,E,1
32,Yes,Female,B,43.31680577917488,C,D,B,0
26,Yes,Other,C,-8.004110690538187,A,E,D,1
67,Physical,F,A,-304.37784188870955,E,C,B,1
50,No,Male,B,26.758757670857054,D,A,B,1
71,Both,M,D,10.191536227282343,B,A,B,1
52,None,Male,E,235.52879076629813,C,E,D,1
60,Both,Other,C,-47.95770554111238,A,E,C,1
45,Physical,Male,B,-66.91912123562103,A,B,C,0
50,None,Other,E,-88.58281170577742,B,B,C,0
76,Physical,F,A,67.62469948524651,A,E,A,0
46,Mental,M,D,-59.93834056385169,E,D,A,0
25,Mental,Male,D,-16.07684314854549,C,A,D,1
62,None,Male,E,-15.400094146954228,E,A,D,0
34,Yes,F,D,-116.16792635425426,C,B,D,1
46,Both,Female,B,58.12248933742911,C,A,B,1
50,Yes,Non-binary,A,6.1038807734594585,A,C,D,0
44,No,Other,C,-50.00639374498355,E,D,D,1
76,Yes,Female,A,-73.92109898288962,E,C,A,0
55,None,M,A,13.943421067845557,E,E,B,0
71,No,F,A,197.5309744255342,D,A,B,1
69,Physical,F,B,70.9874004902381,C,E,C,1
21,Both,Non-binary,D,-99.86824392169427,C,B,E,1
37,No,Male,E,50.979848232861805,D,C,B,0
29,None,Male,E,126.1331561974324,C,D,A,0
19,Mental,M,E,10.280430535919619,A,A,A,1
67,Mental,Non-binary,D,-128.45542641172074,E,B,B,1
20,No,M,D,120.79611163357391,B,E,D,1
32,No,F,E,-196.34927082384954,D,C,D,0
53,Yes,F,C,135.80620587440896,A,E,E,1
43,Yes,M,B,75.28352207496529,A,A,A,1
76,No,M,D,172.84382071249243,D,B,D,0
36,Both,Other,B,-24.165969396602435,E,E,B,1
45,No,Other,B,161.61162645432847,C,C,E,0
20,Both,M,E,35.64327564942544,C,E,D,0
22,Yes,M,D,-86.78620602750388,B,D,E,1
43,Both,M,D,37.31882965717843,B,B,E,1
61,Mental,Non-binary,C,-116.2504846123175,A,C,A,0
19,Physical,Male,E,11.397731810417538,B,E,C,0
27,None,Non-binary,E,48.84032542155764,A,C,D,0
52,Yes,Male,C,178.5887528019855,B,A,B,1
74,Yes,Male,C,43.30383317395013,E,B,E,0
33,Mental,Non-binary,B,-23.407386102654815,C,C,E,1
74,Physical,F,C,-66.3942226821484,D,C,B,0
56,Physical,F,B,105.55751449941798,B,C,B,0
57,Yes,M,D,-82.12946238702156,A,C,D,0
28,Physical,M,B,130.40969105901146,A,A,C,0
37,No,Non-binary,B,75.2737127687304,D,B,E,0
31,None,Non-binary,D,-15.542440215451126,A,A,C,0
72,Mental,Non-binary,A,-137.16080772227897,E,C,E,1
53,Yes,Female,D,-58.806579823731155,C,D,E,1
45,Physical,Male,A,-128.78107780835953,A,A,C,1
73,Both,Other,E,-4.27809492270489,E,B,D,1
36,Both,M,C,-52.125258696622566,D,B,C,1
71,Yes,M,C,-100.64629335255255,B,B,E,1
45,Mental,Female,D,-161.6915231288909,C,B,E,1
50,No,Other,C,-19.664956752776288,B,C,D,0
28,Mental,Male,B,71.72373198340499,D,D,C,0
51,Both,Other,D,-247.74894601527149,A,B,E,1
62,No,M,E,28.81688255871906,E,D,D,0
60,None,Male,B,92.76825223738511,C,E,E,0
51,Both,M,B,-43.26408784410391,D,C,C,0
66,Both,Male,A,-155.63146723490263,B,A,D,0
27,Physical,F,A,-160.98292434200766,A,A,B,1
60,Yes,F,B,100.72783855640482,A,B,E,0
26,Yes,M,D,-4.134387297610672,D,C,C,1
56,Both,Non-binary,B,67.75727815560028,B,A,B,0
63,No,Non-binary,C,54.13155155737797,A,E,D,1
35,Yes,Other,A,73.6082451211946,C,C,E,0
73,Yes,Other,D,156.2993629646326,C,E,C,1
64,Yes,M,D,24.888059747355587,C,A,C,1
78,Physical,M,C,54.16098806189223,B,D,D,0
37,None,Female,E,-59.08376219563164,E,E,A,1
65,Both,Other,D,73.48049851620296,A,D,B,0
71,Yes,M,B,124.16647476945903,C,B,D,0
49,Both,M,E,86.51351255900563,B,B,A,0
65,Yes,F,C,-69.89080227466513,A,D,B,1
32,Yes,Other,D,4.46190551088264,C,C,B,1
39,Mental,Non-binary,D,-10.205014425364862,B,D,A,1
53,Yes,Non-binary,E,178.828276646933,E,D,B,0
77,Mental,Female,C,150.22681296873006,A,C,A,1
71,Yes,M,A,0.5250988982299248,A,E,E,1
46,Yes,F,D,144.90696652420027,B,C,C,1
29,Both,Other,D,-148.0009217888364,E,E,D,1
59,Both,Male,C,16.53342492214909,D,A,B,1
39,Mental,Non-binary,C,14.140105321699917,A,E,A,1
59,None,Male,A,68.22320473186092,B,D,C,0
32,No,Non-binary,B,-43.55976612933395,B,A,C,1
46,None,F,A,33.39009508808974,B,C,E,0
31,Both,Male,B,14.884573049973316,A,D,A,1
68,Yes,Male,D,49.177441538162725,A,C,B,1
48,Physical,M,B,-50.207047366770595,C,E,B,0
43,Both,Female,E,-15.325894085244782,C,D,A,0
59,No,Other,A,69.4510409658659,A,B,D,0
52,Mental,F,A,-80.59668755730621,D,A,C,1
48,Mental,M,B,27.071068516232533,B,C,D,1
43,Yes,F,D,17.624021619631876,E,A,C,0
69,Yes,Male,E,133.77102374180998,E,D,C,1
43,Yes,Male,B,22.389835773760737,E,A,E,1
37,Physical,Other,E,2.455044514181489,B,E,D,0
25,Yes,Male,D,124.63897632110803,A,C,A,0
67,Yes,Female,A,91.48954242312868,E,A,E,0
23,Mental,Female,E,-22.307515152159414,D,B,E,0
53,Yes,Female,E,9.651611480999382,B,E,B,1
61,None,Female,E,50.11859952740581,E,C,C,0
22,None,F,D,4.602787595052462,B,D,C,1
50,None,Male,B,77.59355613559815,B,C,C,1
55,Mental,Other,B,86.30635689027754,B,A,A,1
74,Mental,Non-binary,E,-87.10581895452599,A,C,C,1
79,Yes,Non-binary,D,-42.33760673969303,E,E,D,0
71,Mental,Male,E,-123.11796793806707,A,B,B,0
32,Both,Non-binary,E,-117.049049927225,E,B,E,0
38,Mental,F,D,-107.59082169852176,A,A,C,1
73,Physical,F,B,-22.08130147313271,A,A,D,0
43,Physical,M,B,17.44379275910322,D,A,B,0
74,Mental,Male,A,-115.6945849872405,B,E,C,0
76,Yes,Female,A,68.12161073135013,D,A,B,1
75,Yes,Other,C,0.5982390499630288,B,A,B,0
36,No,Non-binary,D,-42.044523191365116,C,C,B,0
30,Yes,Non-binary,A,93.17674904964488,A,D,D,1
51,Mental,Male,E,10.197757629922586,D,B,A,0
45,Mental,Non-binary,E,-16.001344008436504,A,A,A,1
72,Yes,Non-binary,A,-153.8103359929491,A,A,B,0
72,Mental,F,C,71.54671283528317,A,A,E,1
58,Physical,F,D,237.41974809674832,C,C,E,1
61,None,Other,E,26.275321963519442,C,E,D,0
38,Yes,Male,B,138.38402990454105,E,C,C,1
77,Mental,M,E,132.81455185408234,B,A,C,0
