age_range,faith,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
36-50,Hindu,D,C,A,E,-101.75583324020212,D,-69.98642772938616,B,D,A,C,-88.15011900838584,1
51-65,Hindu,E,B,D,B,-51.764925873362735,B,-195.5269577082055,B,D,E,E,67.46890855536506,0
51-65,Jewish,C,C,A,A,-174.56611509083532,C,19.728028020392756,B,E,A,B,82.72310211476254,1
51-65,Christian,E,B,A,C,106.63893567346716,A,-91.90104067309481,D,D,A,B,58.11730554769281,0
36-50,None,B,B,E,B,-43.415637298499284,C,143.30702292438232,C,A,E,E,212.80428937423528,0
18-25,Other,E,A,E,B,-74.88957567266861,B,4.898447078228278,B,B,A,C,155.2153481988217,1
18-25,None,E,D,A,A,128.6108970708824,B,88.61686790503917,D,E,D,B,1.0949312203671087,0
26-35,Muslim,A,A,B,A,6.770581104009523,C,18.67662873330675,A,E,D,C,-11.46189079597776,0
51-65,Jewish,A,D,A,A,208.4173556451324,E,93.7207096282132,B,E,D,D,-36.411380900224174,1
36-50,Christian,D,C,E,D,-154.88373540166802,E,22.558291336083716,B,A,C,C,-153.07801258382807,0
36-50,Jewish,A,D,A,D,-112.89012677712611,B,123.77221450167393,D,A,D,B,-69.46359934141806,1
51-65,Muslim,B,A,C,C,188.8656708074301,A,-177.64620402864486,D,A,C,D,75.44515539004506,0
51-65,Muslim,D,C,D,D,-65.5847625718014,D,-45.44432305582066,C,A,A,E,-8.850354850040311,1
51-65,Hindu,D,A,C,B,213.22803744197324,A,-10.025079966521352,C,E,C,E,180.8417493428657,0
36-50,Muslim,E,B,A,D,-97.26493737979958,A,53.13296546597548,B,A,D,A,21.45085226011554,0
36-50,None,B,C,B,C,25.051814328445428,D,-112.40189068330567,C,B,B,A,-3.143379034851585,0
36-50,None,C,E,C,E,153.42550786916408,C,-72.64963894308839,E,E,C,D,-122.46643240352766,1
51-65,Jewish,E,A,E,B,37.11901846949131,D,-85.92603690390804,E,D,E,A,-99.95390069520883,0
51-65,Hindu,E,C,C,B,-80.19780043719814,E,-0.7972832032064006,D,B,D,C,-0.12726355466047062,0
65+,Christian,A,E,A,E,48.0510393898696,B,129.48731850324498,A,E,C,B,200.63746015533926,1
36-50,Muslim,E,B,B,A,-30.230953611839535,C,120.18676324024501,C,E,C,B,16.476015351277734,1
18-25,Hindu,C,A,E,E,-78.24271504641722,C,-111.9022237459006,A,E,D,D,51.923437145151986,0
18-25,Muslim,D,E,C,C,-57.30589100727849,C,82.5401033355448,D,B,D,C,40.59176550038832,0
18-25,Buddhist,E,A,A,D,-184.42572458740904,A,59.694496153271125,E,B,A,E,-32.79131604217051,1
26-35,Hindu,C,E,D,B,-64.16770378588133,A,-239.81362979138618,E,A,C,C,-10.876862069449343,1
26-35,None,C,C,E,B,-30.284660370591375,D,-40.08515499961284,D,D,B,B,-52.68732949030643,1
65+,Buddhist,A,E,E,E,302.848469717746,C,75.37729778776504,C,C,C,C,161.56811990521868,1
36-50,Christian,A,A,B,C,77.9926706827578,B,87.65984521496665,A,D,B,B,-18.267981125324038,0
26-35,None,D,A,B,A,-100.29388074189285,E,29.642182632090314,D,A,C,E,115.56997662614339,0
26-35,None,B,E,C,E,-99.25142448581687,B,-105.77843136749738,A,C,E,A,-115.99974329049985,0
18-25,None,D,E,C,C,152.3540672549733,C,-65.38596657884274,A,E,D,B,-87.24711125315693,1
51-65,None,D,B,D,C,2.1865838218175586,D,-76.6608079031482,E,B,A,E,-98.82346769459492,0
18-25,Other,D,B,B,D,91.01313411303046,D,-97.79078235938157,D,D,C,A,-74.10097826421222,1
65+,Christian,C,C,C,C,4.463819254032838,E,-68.35032138914562,D,E,E,E,144.04087304565402,1
26-35,Hindu,D,D,D,D,-23.836658528591283,C,117.85758972108941,C,A,B,A,58.28327406163451,1
51-65,Other,C,C,E,A,150.65264705994622,C,127.69367987689002,E,D,A,A,60.448793576258,1
18-25,Muslim,B,D,C,E,82.15124406213265,C,68.8208771235663,A,C,B,B,-175.34386174981265,0
51-65,None,C,E,B,A,51.50063785237161,E,-88.0039011802781,B,D,E,C,-29.99789150311955,0
26-35,Muslim,C,A,E,B,23.99141863555959,B,245.40797656385203,C,E,B,D,171.85253161757353,0
36-50,None,A,A,A,D,166.64702525723504,C,-44.39159179951437,E,C,B,B,-25.691946758408147,1
51-65,Hindu,E,D,B,E,26.982005359766966,A,-174.62559781129198,C,E,B,C,149.8991013292654,1
18-25,Other,D,B,A,A,52.52582656617353,B,-40.889968591668165,E,C,E,B,-34.553076472429076,1
36-50,Jewish,A,A,D,A,6.148688746589449,A,-88.4035206041019,D,A,E,B,-214.25888036835752,1
51-65,Buddhist,C,E,B,B,-147.71322057782095,D,2.2440758125101263,D,B,A,B,-126.07772170296731,1
36-50,Muslim,A,B,D,B,-42.7919491155158,B,77.03549568279335,E,D,D,A,-93.71676512897842,1
18-25,Christian,E,A,C,B,62.439317826662986,E,37.65802986915051,A,A,B,B,184.8288973441013,1
51-65,Hindu,D,E,D,C,65.69376082837148,A,-169.1281758343936,E,E,E,E,-79.24812247211418,1
65+,Muslim,C,A,A,C,-41.82030094136692,B,62.95509645230612,B,D,B,A,11.668042511081406,0
36-50,None,C,C,D,D,104.23908863700267,E,-155.47824231687594,E,B,C,A,-26.11735955382743,0
26-35,Buddhist,B,E,D,E,-117.31462008976807,E,57.13785834227537,B,B,D,B,-191.99972589410913,1
18-25,Buddhist,B,B,A,B,-115.74579145741882,A,-37.14434663726232,D,B,C,A,-145.78013991134887,0
36-50,Jewish,E,D,A,E,-121.29521266551231,E,96.04102120985745,C,E,A,A,122.1614228906534,1
18-25,None,E,B,B,B,83.64786031312153,B,-2.6682163686303544,D,D,B,E,70.11133387865293,1
51-65,Hindu,A,E,B,C,-24.74888708699305,D,-163.88798743997134,E,E,A,D,-41.026597202455875,1
26-35,None,D,A,D,E,66.06704474653714,A,90.07838338522843,B,E,E,D,-20.5408092324981,0
51-65,Muslim,E,C,C,E,-19.431211713083307,C,84.36832964729717,E,E,D,D,-24.073541757713887,1
26-35,None,A,B,E,A,134.5717066717381,A,-82.83002090768105,A,A,E,D,95.2277743764285,0
36-50,Other,C,B,A,E,26.609524260703683,C,100.8102812279538,D,B,C,C,-107.9946607213877,0
26-35,Muslim,B,C,C,D,-6.807016480259835,E,62.117750470178166,A,E,C,E,100.00935791443098,0
65+,Buddhist,D,B,D,D,-107.01920046354694,B,-9.854417035344772,B,D,B,A,-46.757975330318644,0
51-65,Muslim,E,E,C,C,65.8310183108721,B,69.72315994207959,D,B,C,B,-145.81970914922792,0
65+,Hindu,B,B,D,A,111.39671940019522,B,-81.60503516071829,A,D,E,B,-22.707585371298954,1
18-25,Other,B,B,B,A,131.96502510434277,A,-3.074023350771223,C,B,E,A,179.6044423685655,1
36-50,Other,C,D,C,D,-62.85131573720607,D,-28.452440913227996,B,D,E,D,143.09716495246997,0
26-35,Jewish,D,C,D,C,-3.3228978691463027,B,-44.46396327904275,E,B,E,D,48.433683469911756,0
36-50,Hindu,E,A,A,B,49.30723235709609,A,-127.28999647206297,E,D,A,E,-81.66983982737537,1
26-35,Muslim,A,A,E,B,44.29463475318013,B,-16.488359516331826,D,C,C,C,97.43848381425335,1
26-35,Jewish,D,A,D,B,-136.0539263792567,E,132.86201369772272,A,E,A,D,40.33184485454196,0
51-65,None,D,C,A,C,53.18601880880514,A,-63.05982560123815,C,E,E,D,92.9268467746896,1
65+,Muslim,E,B,D,D,-228.39467029083883,E,-9.744704157092336,C,D,C,D,-53.70313339924566,1
26-35,Jewish,B,A,B,E,-28.229732797914338,A,-248.1717471236645,C,D,D,E,-39.553154020778386,1
36-50,Jewish,B,B,D,C,-102.84677153497121,B,48.465926197091385,A,B,E,B,-33.81539778156966,1
36-50,Other,C,C,C,A,32.197051001733385,A,-125.94334497119533,C,E,C,D,22.62782740969096,1
26-35,Muslim,D,D,A,D,12.39077701156897,C,-175.05404145029274,B,E,D,D,83.25449641146452,1
65+,None,B,D,C,C,-89.95786066316167,E,49.46339864505637,E,B,D,C,-31.402465031147646,1
26-35,Christian,B,E,A,A,313.1013346714481,E,-80.84676966382332,B,E,A,C,31.902912489019496,1
18-25,Jewish,B,C,E,D,2.777552998247464,E,142.2968129508881,A,B,C,D,-155.28231998051015,0
36-50,Hindu,D,A,A,C,140.81382750508752,D,5.610700009739672,B,B,C,C,-96.20803659873091,0
51-65,Other,D,D,A,C,43.289180386378334,A,30.983833941127752,C,E,E,D,135.39516848955344,1
36-50,Buddhist,B,E,D,B,137.6829295330323,D,81.81556414049959,A,C,E,D,181.36699450755566,0
65+,Buddhist,B,B,D,E,71.01003828598697,E,-2.040896343664661,E,C,B,B,-46.20454111938123,1
26-35,None,D,C,E,C,92.74315428055,D,27.67374205168649,C,E,C,A,-62.21165653928825,0
51-65,Other,D,A,E,E,-79.09313970769502,A,-80.13903389974048,E,A,E,C,-13.094969884373015,1
18-25,Other,C,D,D,E,7.313432738840868,B,-23.23119686373552,B,A,E,E,168.69127518557875,0
65+,Other,E,D,A,C,-19.844217988971877,E,17.7635855608285,C,B,A,A,-4.01897360134522,0
65+,Christian,E,D,E,C,39.91418851122918,E,81.68170130527237,E,B,E,D,-13.389685442010734,0
36-50,Muslim,A,C,C,A,53.97341485548278,D,-117.41076124750683,A,D,E,E,64.43176934263755,0
36-50,Buddhist,B,E,E,A,22.296336629549405,D,-59.96043096768182,B,A,E,B,152.26868981255447,0
65+,Jewish,D,E,D,A,-79.10409519525147,E,-46.36794736876209,E,D,B,C,-52.594584248456144,1
36-50,Jewish,A,D,E,C,76.5131452879506,E,-261.8558260335057,C,B,E,D,-88.33064344478477,0
18-25,Christian,E,A,E,D,-163.07224079939292,D,-97.20157659583933,C,E,D,C,-87.42957918737628,1
65+,Muslim,E,C,B,E,-43.816163998312916,D,-50.68654621376238,B,D,D,A,54.57986324492477,0
36-50,None,D,D,C,D,-46.45514821856941,D,75.38758994660408,A,E,B,D,48.94065925371807,0
36-50,Buddhist,D,E,A,E,-152.46059608970134,B,-19.198790495856183,D,E,C,A,70.07824939215074,0
18-25,Other,B,C,B,B,-94.76125339822661,C,31.46274780405453,E,B,D,B,-72.35164923310916,1
18-25,Other,E,E,E,B,-14.54899548251114,A,146.70727356923533,A,E,D,B,-97.17557877316924,1
51-65,Other,B,E,A,B,-23.20665158006086,E,-95.82833037825992,B,B,E,C,153.63865939004774,1
18-25,Christian,C,B,B,B,-78.92865074282281,B,73.75755735221831,C,E,B,C,50.53146028038367,0
36-50,None,A,B,D,D,27.62265356371394,B,-53.08424539834532,E,C,A,D,196.5801793132597,0
18-25,Muslim,A,D,B,A,70.85677145765924,D,-22.30596455466073,C,E,E,D,-98.87736820629644,1
26-35,Christian,C,D,B,E,62.102158621734624,A,-101.48044905901969,C,D,E,B,-28.34672179644452,1
18-25,Other,C,B,C,C,262.80990854431093,A,-124.36928781187666,C,C,D,C,168.2317936679456,1
18-25,Other,A,E,A,B,57.446064137129405,E,84.63374335031645,A,D,E,A,-79.9322941092526,0
18-25,Jewish,A,B,D,B,-96.10107806567854,D,15.585719976386429,B,A,B,C,-82.52964984890589,0
51-65,Hindu,C,B,C,B,61.49438834592833,E,-94.03529885021109,D,C,E,B,-169.75161119913133,1
36-50,Buddhist,E,A,C,E,-84.53417624381375,E,-88.56608640705429,D,A,A,D,75.39208127921187,1
18-25,Muslim,B,C,D,C,-35.01903742342798,C,-73.66043695172924,D,C,E,C,322.19940689100326,1
36-50,Jewish,C,B,D,E,25.960374224384502,B,-10.77939956099638,C,E,B,C,123.82660966782018,1
26-35,Buddhist,A,B,C,E,102.98399160867484,C,-37.87176357181992,C,C,E,B,-16.96032801423718,1
51-65,Buddhist,E,B,D,C,-29.667972424586452,A,-105.51514099587011,D,A,D,A,-92.5152900568596,1
26-35,Other,E,E,B,C,-79.35522975980614,A,-177.91507119135886,D,C,E,B,-108.70327819393579,0
26-35,Other,C,E,B,D,39.122774130757335,A,-4.142133432949529,D,B,D,A,-2.2485129148394067,0
26-35,Other,A,A,D,C,142.74468472992783,B,58.46373036568265,B,B,D,C,11.361487738674803,1
26-35,Jewish,D,A,B,E,95.75939876943133,D,33.177025796509774,E,E,B,B,-103.78922781039137,0
51-65,Buddhist,D,C,B,D,-16.353774091579627,E,-25.84969782384498,D,A,C,A,-46.902902540141916,0
18-25,Muslim,E,D,C,C,-0.4116677013195658,C,102.3226574377929,E,C,E,D,105.18296293815928,0
36-50,Christian,B,A,B,C,-4.819009112268953,B,120.02944492277001,E,C,D,A,-7.0230783400527645,0
26-35,Jewish,A,A,A,B,-89.66209504137402,C,135.39049962010233,A,C,C,C,-131.83787974993027,1
26-35,Jewish,C,A,A,B,58.774243243678534,A,-100.6028463415987,D,E,C,B,-22.580062232175337,0
51-65,None,B,D,B,D,39.59810616733141,C,-111.60317895113,B,D,D,A,185.00547350711284,0
36-50,Other,C,E,C,C,22.178641878979757,E,-132.659190476504,A,A,D,C,147.4223363253726,1
51-65,Buddhist,E,B,C,E,-69.33781109106162,A,98.45181077346284,D,C,C,E,106.65595096605018,1
36-50,None,A,B,E,E,-74.48956589536796,B,48.40554027892848,E,A,D,B,154.67754911189223,1
51-65,Other,E,E,B,C,-27.24362796683583,D,87.2171419092835,B,D,C,A,-46.76416053768146,1
51-65,None,D,B,A,A,13.108730156004059,D,75.0104076947958,C,D,E,C,40.57384034010732,1
26-35,Jewish,C,C,D,C,-168.43357504342185,D,197.7569315061088,E,C,B,A,100.6342491446718,0
26-35,Hindu,E,C,B,E,39.4755008527722,D,44.420959230157365,C,B,C,E,-98.35329034323327,1
26-35,None,A,C,A,B,60.95970645578903,A,-136.44260844563098,A,B,B,A,317.13201233825083,1
26-35,Hindu,C,B,B,D,-6.297670328777577,B,90.61364089482846,C,A,D,B,68.91339678144757,1
65+,Other,B,D,A,D,-47.13258304206132,C,-17.689840703910278,E,D,D,E,26.347455955779164,1
26-35,None,D,A,D,C,-12.09649402571983,C,95.0508007296396,E,C,D,C,-5.494597304959942,1
18-25,None,C,C,D,C,75.24699824861486,A,17.695333013769837,D,A,C,C,-22.433101361308154,0
65+,None,A,B,C,E,68.40506605314613,C,-66.45234533723408,E,E,E,C,101.69101328791686,0
51-65,Christian,A,D,A,C,115.26475603900788,A,-142.7900879190283,D,A,D,D,83.14968798098815,1
51-65,Other,D,E,D,B,64.70859079510099,D,-91.03204605766005,E,A,D,C,-48.070752512078116,0
51-65,Hindu,A,C,B,E,153.30994612828016,D,46.77581686942223,C,C,C,C,31.5830802956235,1
18-25,Christian,C,B,E,B,-30.293505645066034,E,-163.2229374916238,B,A,E,E,147.00894878263,1
51-65,Hindu,C,D,B,B,150.02250349810697,C,-10.070308605167519,A,D,C,B,132.06395054855568,1
65+,Christian,C,D,A,D,68.37742249101768,A,-99.61681867555649,D,B,D,C,132.80315318863452,0
36-50,Muslim,E,C,C,C,-40.61770321412224,D,-236.40903776454007,D,C,E,C,90.60616170621358,0
26-35,Christian,A,C,A,E,-91.1219301344536,C,114.1000957494149,B,B,C,B,-23.051794136098664,1
65+,Muslim,B,C,E,E,-15.738077543402355,E,118.40765346231876,D,C,A,C,10.767077831018861,0
65+,None,D,B,D,C,-2.5514802497114175,B,4.304516113980903,A,A,E,C,82.16789691633316,1
26-35,Buddhist,A,D,A,B,79.11418497139005,B,-94.20648695732416,E,C,E,E,-5.722614827910554,1
65+,Other,A,D,D,C,-49.53677004947043,A,-59.42314194789772,E,D,C,C,36.58508160590963,1
65+,Christian,B,C,B,D,11.683115475294489,B,-26.32233141381346,A,D,D,B,74.45498405748448,0
65+,Hindu,D,D,B,C,45.919003799541635,D,-126.48218307568774,E,A,B,B,-29.426407995537744,0
36-50,Other,C,D,B,C,30.799092865115192,D,36.96918786882613,E,E,B,D,-91.79171912212949,0
36-50,Muslim,C,E,A,A,11.929991094171955,A,-169.38046475271224,E,E,A,B,131.35367107546304,1
36-50,Other,C,A,C,A,36.25174675669695,B,-173.64573313667228,D,E,B,E,-58.28285385668924,0
36-50,Muslim,E,A,D,B,88.81415064963294,B,122.6909334209263,C,B,A,B,-99.28096590660073,1
65+,None,A,E,D,D,40.49255410758799,C,-41.27259437679184,E,C,E,C,45.717564259628475,0
36-50,Buddhist,B,E,C,E,69.68127478423641,B,-62.001589829829086,A,E,A,A,-53.445726050830956,1
65+,Buddhist,E,B,E,B,-123.82473214060047,A,-30.371125193583147,C,A,A,D,-56.16548232928454,1
18-25,None,D,E,D,C,-26.130731427076846,B,-128.1327997007915,C,D,B,A,-75.60646442477797,0
26-35,Jewish,D,C,C,C,-242.23701214333127,D,-110.1381027615989,B,A,B,C,-93.88533289302138,0
65+,None,E,A,A,B,20.232895625467318,E,37.36427098116371,E,A,C,E,-5.7370625331530025,0
18-25,Hindu,A,B,B,A,41.51552744926816,D,-13.558516422585823,A,C,C,B,-3.449164189035675,0
26-35,Hindu,D,B,D,E,-93.27599767763591,D,-10.40322453594375,C,C,D,D,8.057809872693152,1
36-50,Other,C,B,C,A,-48.33071531243857,E,42.373581778201334,B,D,C,A,143.91646044503682,0
18-25,Buddhist,B,D,C,E,-103.67769441061195,B,72.53175879532722,E,C,A,C,50.47276175729626,0
26-35,Buddhist,E,A,D,C,100.53295366077273,A,172.5159651199639,C,D,A,A,-48.693851360606075,1
26-35,Hindu,C,D,B,A,-162.0979508052498,B,111.82975129676078,D,B,D,C,97.21638827028649,1
36-50,Christian,A,C,E,A,-186.1449409755735,E,234.1233883317477,E,D,D,B,40.14333861157829,0
65+,Other,D,C,C,C,-12.818934104606194,C,-49.679245160487284,C,D,D,A,-58.960958732068036,0
65+,Hindu,D,E,E,C,-110.62975337055843,B,8.033575435691635,E,C,D,E,-12.920393363372847,1
26-35,None,A,D,C,E,-145.07378680649938,D,27.26413146103919,D,A,A,C,-52.73402944552813,1
18-25,Buddhist,C,C,C,C,27.446610932170678,E,-57.65577415791299,B,E,A,A,22.587640787832104,1
36-50,Buddhist,C,D,B,C,-23.561481772177373,D,-41.54928177779528,B,B,C,E,105.48800674977367,1
51-65,Buddhist,D,B,C,C,-89.30937532888215,E,-207.1049668572799,B,C,E,E,-7.229145614499282,1
65+,None,B,B,A,D,62.844658572655945,C,70.5424071558596,D,B,E,E,-35.31956543375739,1
65+,Christian,B,E,D,D,177.2437265636351,D,-28.090747378469867,E,E,A,C,-93.09905615135338,0
26-35,Jewish,E,B,B,D,-196.94492497590502,D,-61.48977047835985,C,D,A,C,-157.69818712107352,1
26-35,Christian,E,E,B,C,-26.69224693444962,E,-76.74658668046152,A,D,E,D,141.4388776720098,1
51-65,None,E,A,E,D,105.001866192865,D,14.67479459910085,D,D,B,A,-134.96729929093095,1
26-35,Hindu,E,D,A,D,24.738633053595123,D,-53.41979176972267,C,D,C,D,51.30872384843697,0
51-65,Jewish,E,B,D,E,155.89473433962624,C,39.0868332028505,C,B,C,D,99.5518000948849,0
51-65,Other,D,B,D,C,78.44146455517718,A,-80.42175154907224,E,D,E,D,47.18218932057495,1
36-50,Buddhist,B,A,B,C,-64.7674230193146,E,150.08672458989955,E,E,B,C,-17.884201977772648,1
51-65,Jewish,A,C,D,C,-73.28865956034426,B,40.78920950783084,C,D,E,B,84.63705329525527,1
26-35,Christian,C,E,C,C,23.18474049302027,D,-65.03189280753644,A,C,D,E,-29.712311805098896,0
65+,Christian,D,C,E,A,-76.89445378811648,B,-67.62235703882318,C,D,C,D,-129.17867140894995,1
65+,Jewish,B,E,E,E,-19.719812263350644,D,205.31317258551417,A,C,E,D,30.563595784115083,0
18-25,Jewish,A,C,A,B,-8.453671935059429,D,-82.80126124936746,E,D,A,C,147.25976431033797,1
36-50,Jewish,E,A,D,A,40.82165478169269,D,-42.90086794030476,C,D,E,E,-8.239068015131155,1
18-25,Muslim,B,E,E,D,27.868434193319892,E,-178.59130704477707,A,B,A,D,90.40060776453811,0
18-25,Buddhist,E,E,A,B,-44.45893842734861,D,51.06738070558418,C,E,E,E,-88.35675390204094,0
36-50,None,B,A,B,C,40.30019169112023,D,-70.94408310470648,B,D,E,A,98.74604319141642,1
26-35,Jewish,D,A,B,B,124.3882234495814,C,-36.84564904166934,A,C,A,B,130.0455555520754,0
65+,Muslim,A,A,C,B,-38.77937245137211,C,-42.4487775576624,A,A,D,C,-128.94715064594868,1
51-65,Christian,C,E,E,C,65.19875641661639,B,261.1840600419581,A,E,B,A,-38.65912994106037,0
65+,Muslim,D,D,B,E,111.43145976830064,A,32.590861567040456,B,B,C,E,-71.38313941126812,1
65+,Hindu,E,A,D,A,-109.04398129222301,E,-43.421949293976716,C,C,C,A,38.96067781281209,0
51-65,Muslim,D,E,E,B,-38.28232847494181,D,-24.570569376698767,E,D,A,B,144.1002354620151,1
51-65,None,D,B,E,B,-38.79271133992258,D,-90.69122469504293,A,D,E,A,36.38488089989875,1
26-35,Muslim,B,A,E,C,50.36403985038436,A,121.77315502962229,C,E,C,A,-90.93698899923885,0
65+,Buddhist,A,E,D,A,-33.22079367266079,B,-107.4133122987963,A,C,A,D,16.07642085613257,0
36-50,Christian,D,B,B,E,9.214700886405158,C,90.1637201836154,D,C,E,C,91.3853584542787,0
36-50,Jewish,E,B,A,E,-46.80325462727126,C,52.17777010125969,C,C,A,B,-95.96713377298147,1
26-35,Jewish,A,E,C,D,20.18999498391525,C,54.550624323432906,B,A,E,D,292.0719445292635,0
18-25,None,A,D,D,C,-119.40801903156002,A,-91.1900969656633,C,C,B,D,-28.794748203252755,1
18-25,Hindu,D,B,B,C,110.34855594123478,B,-56.49390788931249,A,B,C,A,-71.73767537471241,1
18-25,Muslim,B,E,D,E,128.34997509136778,E,137.39090260989795,A,B,B,A,9.553974797655453,1
51-65,Hindu,D,C,E,A,-47.156873020536004,E,-101.6849652687584,A,C,D,B,-45.643435144190455,1
36-50,Christian,E,C,E,B,-55.4405907464972,B,-15.346874811832187,D,A,B,A,52.152728731656325,1
65+,Jewish,C,E,C,D,104.68229671677858,A,47.07083448498682,B,A,C,E,0.6090484426007261,1
36-50,Buddhist,D,E,C,E,-44.09798372004155,E,-133.5444142367951,C,E,C,D,-138.06200364838875,0
26-35,Muslim,A,B,C,B,-74.55078825879863,B,167.7259523619643,B,E,D,C,-25.495068281233518,1
36-50,Other,A,A,B,D,-21.8157438740786,A,16.53357985768018,E,C,D,D,-211.83374520525703,1
51-65,Other,D,D,E,E,-23.435951873573664,A,148.96669463941697,A,A,C,B,106.160282648129,0
18-25,Christian,B,E,B,A,5.36383356627816,C,-20.1217961058342,D,C,A,E,-11.457839965693823,1
65+,Christian,C,D,E,B,-91.5009279750341,C,0.8391860478831786,C,E,B,A,19.280283613361423,1
51-65,Other,D,D,D,C,-29.98379590558396,A,-21.82033114729371,B,E,C,A,107.34972595452194,1
18-25,None,C,B,A,A,-169.44887544305013,B,206.97674010685887,A,C,B,A,-192.94437906697473,0
51-65,None,C,E,C,D,53.29228343522189,C,-104.39398706069971,C,D,B,A,-33.5876799878801,0
65+,Buddhist,E,A,B,E,77.82484450494323,A,-49.158936431065335,E,A,C,E,193.01891233044682,0
18-25,None,E,C,A,C,-37.55439900303177,D,95.79950755555808,E,D,B,B,100.81794596381013,1
65+,Jewish,C,A,D,C,-192.28343357812304,E,0.7842995688452518,C,A,E,E,-45.84478005685853,1
36-50,Jewish,B,C,D,B,55.19807246713074,B,172.44193245388217,A,A,B,E,-187.04428734979578,0
18-25,Muslim,C,B,A,B,-13.41295165505587,D,-51.258625716252496,C,B,B,E,92.69865350100599,1
36-50,Muslim,E,C,B,C,6.511951069495297,D,74.20638732329425,D,B,D,B,-248.11684313348428,0
51-65,Other,D,C,E,E,-56.74768190436921,B,92.79409724074618,D,E,D,D,0.8394101966152667,0
26-35,Hindu,D,B,E,B,238.2222567239112,B,56.80254383833201,E,A,D,B,122.76505045238034,0
51-65,Muslim,A,B,B,C,-10.435774913962986,E,-130.29260058857489,D,C,A,D,-2.8153613203774204,0
65+,Other,E,A,D,B,-92.49391415280175,C,87.9343516416761,E,C,C,B,131.04363179648027,0
51-65,Hindu,D,B,D,A,-4.838571266541647,D,-37.46541838278034,C,B,D,D,-99.26311134403848,1
51-65,Other,E,D,A,D,-42.965421643591334,B,139.8616356693624,A,C,A,B,-62.2914578056156,0
65+,None,E,E,B,C,23.235482305529597,E,82.91642486181836,B,B,C,C,67.28270542377123,0
65+,Hindu,A,E,C,C,155.90089296452442,D,-30.16667837419854,D,C,D,B,-105.9900140739372,1
18-25,Buddhist,B,A,E,E,-258.69453245392367,D,-102.13866346101528,B,B,B,B,109.16287008550208,0
26-35,Hindu,D,D,B,A,-19.894977686050602,E,80.41270257338738,D,E,C,A,105.32088443961682,0
18-25,None,B,E,C,A,-3.259720929601472,C,64.3397908961322,D,D,E,C,5.276072771689148,0
65+,None,C,B,A,D,-69.58017127736727,A,-112.61443846487214,C,A,E,B,108.55306101912667,1
65+,Jewish,E,D,E,E,9.78099241285048,A,83.40311808822914,C,E,B,D,4.903550544070131,1
65+,Hindu,D,C,A,C,4.526572405308415,A,57.366662627323706,A,E,E,C,-91.46954069883897,1
36-50,Other,B,E,B,E,54.99730570844908,B,-100.62488227176527,E,D,C,D,191.1614376994025,1
26-35,Other,E,D,D,C,3.4935230491482336,B,-76.90360467825583,C,E,C,E,-0.41660695803302195,1
51-65,Other,B,E,D,D,-65.10612287387835,E,-86.22104619270209,E,E,C,E,41.8960577912295,1
51-65,Christian,B,D,B,E,106.81146869516309,D,2.6772611763608825,D,A,E,C,4.109498205079653,0
51-65,Christian,E,C,B,E,-174.71216928950344,B,278.2864732622313,A,C,A,D,163.64970234472798,1
65+,Christian,D,C,D,A,-70.01597797730082,C,-75.9339077564281,B,A,B,E,103.9984896540296,1
18-25,Jewish,A,A,E,C,88.1501052130886,A,-22.842301793952096,E,A,C,D,-10.470549268758758,1
36-50,Muslim,E,C,E,C,-94.5871675285301,A,78.50707484960834,C,E,D,B,-93.53922751488035,0
18-25,Jewish,A,B,C,E,107.47632015135726,B,-141.565391651172,D,B,D,E,75.25260373390067,0
18-25,Christian,E,B,E,B,20.947813111957814,B,-92.92031950994462,C,C,B,C,-75.85437471664834,1
18-25,Buddhist,B,D,A,B,-52.40642053393655,C,-187.3230946478518,B,C,D,B,-167.21244020536668,1
36-50,Other,B,B,B,B,56.47472495652733,D,45.500028488225084,B,E,E,D,-17.50353863007776,0
18-25,Christian,A,A,B,C,82.42834889916027,A,34.89016835140743,B,D,A,E,248.4266274541887,0
51-65,None,C,A,E,B,-88.00094291244709,B,-49.00236065573688,E,D,B,D,49.59276157549708,0
18-25,Muslim,C,A,B,B,81.66905366185391,E,-167.12262053226405,C,C,A,E,12.937082936277866,0
65+,None,E,E,A,E,-88.44056356027272,D,95.02580978947555,A,C,E,D,-50.59305621268909,0
65+,Jewish,E,E,A,C,-3.4774754086378605,D,29.146189960193443,E,B,B,D,52.13007113467665,0
65+,Christian,E,A,A,D,44.44660829563757,B,-108.33536880720507,A,D,B,E,64.91822300850265,1
36-50,Christian,B,E,E,C,25.242464860998,A,-138.95655884882052,D,D,C,E,143.5426961210209,0
26-35,Muslim,D,A,E,B,96.91312656492944,A,-35.16776838833211,D,E,C,A,-145.90594776779758,1
26-35,Buddhist,B,B,E,B,-30.099273870631205,B,-43.12316466489127,C,C,C,A,13.382894627845562,1
51-65,Muslim,C,A,A,D,-61.60573300502562,E,31.230823429460276,E,A,B,C,75.22370751808332,0
18-25,Buddhist,E,C,D,A,141.92606280543384,A,53.36791587693107,B,A,B,D,58.30901021715339,0
18-25,Jewish,C,B,C,C,164.76620433684167,B,46.408297414100694,D,D,B,A,49.53959047352282,1
26-35,Other,A,D,A,E,110.7894008831427,A,-110.34479714858895,B,A,D,E,75.9587793258524,0
