Gender,country,birth_year,feature_0,feature_1,feature_2,feature_3,feature_4,target
Other,UK,87,-62.668172291557,B,A,D,B,1
M,Mexico,77,-39.11429074076918,D,C,E,A,0
F,Mexico,34,-2.775465327927082,B,D,C,E,1
Female,Germany,64,78.69081831077987,B,B,C,C,0
M,Mexico,44,76.83211439486728,E,C,A,E,0
Non-binary,Brazil,75,-31.504674838000117,B,E,A,D,0
Male,China,80,-0.5146405773311677,D,D,E,C,0
F,UK,23,-138.40148501882496,E,D,A,C,0
Female,India,27,60.811829370898295,A,B,C,B,0
Non-binary,India,68,12.206030409851106,C,C,D,B,1
Non-binary,UK,39,154.13429518225973,B,E,B,D,1
Female,US,81,21.153767633266547,C,A,C,B,1
M,India,97,144.82434085120332,D,E,E,E,1
Female,US,97,46.92803325446509,D,C,B,C,0
M,Mexico,60,-100.20445041385995,E,C,E,C,1
Non-binary,Other,45,86.63303311276933,C,B,D,E,0
Other,India,23,-35.86433709761994,C,D,E,C,1
M,India,60,121.51195325631919,C,E,B,A,0
M,Brazil,61,-59.470859612854795,E,D,E,E,0
Other,Mexico,94,43.392085572598525,E,D,C,D,1
Male,Other,90,4.775916807447132,B,D,B,A,0
Male,Germany,70,-23.538664721030575,A,E,B,A,1
M,China,42,-45.718847811119524,C,E,E,E,1
Male,India,76,-64.16083939206123,C,A,B,A,0
Non-binary,Other,38,-5.2326303698471595,E,E,D,E,1
F,Germany,90,-104.44598494863908,A,C,A,A,1
Female,Brazil,97,-81.4958846710942,C,A,B,D,1
F,Other,34,-10.534791555957927,D,A,E,E,1
F,UK,29,-57.146035165921546,C,B,E,A,1
Female,India,67,-16.179585766928696,E,C,E,E,1
Female,Mexico,92,-219.59338625156724,E,A,D,A,1
M,India,80,-84.82483099251155,A,A,C,E,0
Other,US,26,-100.28961587602643,D,E,A,A,0
Female,Mexico,37,-158.7393463735698,A,C,B,E,0
Male,India,22,-187.04143885513486,E,E,E,B,0
Female,UK,75,-42.70781641168417,A,E,B,A,0
F,China,28,71.82535855729168,E,D,E,E,1
F,Germany,93,-251.66148382256318,A,E,D,A,1
Other,China,74,-12.53390140659565,D,C,E,B,1
M,UK,24,22.177675687578212,E,B,E,A,1
Male,China,65,75.81078650281779,B,A,E,E,0
Female,Mexico,32,-176.16641126785743,D,A,C,B,0
Non-binary,India,18,49.86314838203337,D,A,E,B,0
Male,UK,71,-147.1654804556235,A,D,C,A,1
Other,UK,78,30.207543491908034,C,E,B,D,1
F,India,87,178.71897063647765,C,D,D,D,0
M,Germany,94,147.4631442673692,B,E,C,D,1
M,Germany,46,147.40039683499435,E,A,D,B,0
Female,China,38,59.38276376919877,E,A,D,B,1
Non-binary,UK,80,-42.73956245087396,A,A,A,B,1
Female,Germany,30,-20.515425714854644,D,A,A,A,0
M,China,32,-152.55186678927208,C,C,A,C,1
Male,UK,53,22.20656704187546,B,C,E,C,1
Non-binary,China,30,76.11998654980863,E,C,D,C,0
M,China,45,118.519419399876,A,C,D,E,0
Non-binary,US,23,-21.059117853574325,E,C,B,C,0
Male,US,69,110.36484113761828,E,B,E,A,1
M,China,44,-231.63341824933653,C,C,E,C,0
Female,Mexico,50,-31.361244037825,A,C,E,B,0
Non-binary,Other,35,45.65081144099579,D,D,B,B,0
M,Brazil,54,8.6455456349934,A,D,D,C,1
M,India,62,-44.70997417295928,A,C,A,A,1
Female,Mexico,20,46.17322852041105,A,E,B,B,0
Other,Brazil,38,91.03622492086633,D,D,B,C,1
Other,China,76,-88.66933577757025,C,E,E,B,0
Other,Germany,46,38.10040991292505,E,D,A,C,0
F,US,89,-39.812718400824686,E,E,E,A,0
Other,China,64,-162.05223334827133,A,B,D,C,1
M,Other,45,101.46659062616048,D,A,D,E,1
Male,UK,20,-123.13350813808283,C,A,D,B,0
F,Other,32,-4.475831296296027,D,E,A,E,1
F,Other,22,42.12361156128643,E,D,A,B,1
F,Brazil,72,-2.10326056367523,A,E,E,D,1
M,Mexico,76,-95.50851398400604,A,C,C,D,1
Other,UK,48,-79.36186743429829,E,D,E,E,1
F,Mexico,67,-58.8616792768629,D,E,C,B,0
Other,Germany,59,5.193123718643672,C,B,E,B,0
Male,Other,34,-117.9544255677379,C,A,B,B,1
Other,China,53,-70.92768002996414,B,E,A,D,1
F,UK,55,-4.422081334417702,D,C,A,A,1
Female,Mexico,51,106.1396417139355,C,B,E,D,0
Male,Other,24,-50.06427184273586,E,C,D,D,1
M,UK,96,270.48673576366906,C,A,D,E,1
M,India,69,-112.7868066504075,D,E,E,A,0
M,Other,97,-21.88372265938879,C,B,C,A,0
M,UK,84,193.5913877901218,C,C,C,C,1
Other,Brazil,40,-25.044089503815314,C,E,D,E,0
F,Mexico,77,-57.38763496517183,C,D,A,A,1
Female,UK,46,98.11023274478427,B,D,B,A,0
Male,Germany,85,-27.093216954864367,B,C,D,E,0
Other,UK,73,12.57854890873251,C,B,B,A,0
Non-binary,Other,62,254.39333316641225,C,D,A,A,1
Non-binary,India,36,-86.00888286727269,B,C,E,D,1
F,Germany,63,99.53676121334465,A,A,A,D,0
Non-binary,Brazil,31,7.340772143373443,D,D,E,E,1
Non-binary,China,52,15.759528932391648,C,B,D,D,1
Other,Germany,41,-116.82272393409671,B,C,D,C,1
Non-binary,Mexico,22,-45.28509460322533,A,B,B,A,1
F,China,76,32.05690419954409,E,C,D,B,0
F,India,22,152.39683176211904,D,E,E,E,0
Male,US,78,-56.386015984368285,B,A,D,C,0
F,US,75,-10.252414474926233,C,D,D,C,1
Male,Brazil,50,31.384048926995504,E,E,D,E,1
F,China,24,148.66862840795346,A,C,E,D,0
Other,Brazil,25,17.22604179186345,A,C,C,A,1
Non-binary,UK,86,-16.691972435233858,E,E,B,C,1
Male,US,98,128.60349673021133,B,B,E,E,1
F,Mexico,34,-72.17281477863882,E,E,C,E,0
Female,UK,28,95.04852587223787,E,B,D,D,1
Male,Germany,84,86.32899819738728,A,A,D,E,1
Non-binary,Other,61,6.184796103868876,D,A,D,D,0
Male,India,63,21.717410652431532,E,C,D,D,1
Male,Germany,66,-82.06167827125428,D,E,E,E,1
M,Germany,40,-44.26319384639246,E,D,C,E,0
M,China,83,-141.01645708679257,A,E,A,E,0
M,India,95,-220.49271157042466,A,D,E,C,0
M,US,56,20.467670745122803,D,B,B,D,1
Other,Other,20,-78.19310347304422,B,C,E,C,0
Non-binary,Brazil,93,86.3154545563019,A,A,C,E,1
Male,Other,26,-5.811663901532631,E,C,E,B,1
Other,Germany,90,-85.86293390959896,E,B,C,D,0
M,Brazil,52,60.54732935763649,D,D,C,B,0
Non-binary,China,19,-261.32357794264163,C,C,B,D,0
Male,Mexico,92,130.15592191143804,D,A,C,C,1
Other,US,23,-23.075502045628387,C,A,B,A,1
Non-binary,Mexico,78,66.76992671530374,B,A,B,C,0
Male,UK,85,-125.3352915773819,C,A,B,B,0
Female,Germany,25,-5.19878729696518,C,A,A,D,0
Other,Germany,94,-209.5705276268356,B,A,C,E,1
M,China,96,183.73700548546083,E,E,E,B,0
F,Brazil,47,-159.8957794254618,A,C,B,D,0
Other,India,95,35.263770044713205,C,A,A,A,0
Other,UK,83,-73.66329949095085,D,D,D,A,0
Non-binary,US,48,-90.17818943780819,C,A,B,A,1
Male,US,50,216.44551773753946,C,D,B,D,1
F,India,39,130.6446334474338,D,B,C,D,1
Non-binary,Germany,43,52.47168275234762,E,E,A,D,1
M,UK,18,30.734000237056225,E,A,E,D,0
M,India,45,42.0736432700308,D,D,A,D,0
Non-binary,Mexico,77,-95.26241745612734,E,C,A,A,1
Non-binary,Mexico,34,-108.27904380795039,B,A,D,A,1
Non-binary,Other,69,78.79791022608802,C,A,D,D,0
M,China,91,0.5002385714364298,B,D,B,B,1
M,China,39,-138.76192982004406,C,D,B,A,0
Female,Mexico,62,-30.197748281478248,C,B,A,D,1
M,China,91,97.48972800912013,C,E,A,C,1
F,China,38,384.76515287369836,E,C,C,A,0
Non-binary,UK,75,118.23493157536642,E,D,D,D,0
Non-binary,China,69,22.389720042684687,E,B,E,D,0
Non-binary,India,25,-13.525200525517997,A,E,A,E,1
Female,Brazil,64,-26.594240816443023,B,C,D,C,1
Other,Brazil,44,-78.02233058076192,D,E,A,C,0
M,India,23,-199.48075096498084,E,A,A,D,0
F,US,79,-200.25547427281282,E,C,A,C,1
M,Germany,26,-32.84119727711108,B,C,E,B,1
M,Brazil,27,53.475723590559454,D,A,A,D,0
Female,India,59,67.53369820330725,E,D,A,D,0
Female,Mexico,42,18.26942112714099,E,B,A,C,0
Female,Mexico,36,112.41955937277848,A,D,D,D,1
Non-binary,Germany,45,88.26843251347391,D,A,E,B,1
Male,Other,54,64.46800974542299,E,D,D,B,1
F,Other,45,199.8107485307243,C,E,D,A,0
M,US,72,-62.890115584023796,D,C,B,B,1
Female,Mexico,24,-108.51860434197438,A,B,D,D,1
Female,Other,90,169.11003244719578,D,C,E,C,0
F,UK,22,-140.85776325570026,C,C,A,B,0
Other,US,29,-81.30499240559071,C,C,D,C,1
Non-binary,Germany,73,181.82636148379984,E,A,D,B,0
M,Other,46,-138.95506236525117,B,C,C,C,1
Female,China,53,70.81939302008306,B,E,C,D,1
M,Brazil,68,91.28995828266582,C,C,D,C,0
Female,UK,65,50.61687512992946,B,E,B,D,0
Other,India,54,-3.135927350997906,E,C,B,B,1
Non-binary,China,50,150.69181981256887,E,D,A,C,0
Female,India,81,-167.51167534025996,C,A,A,D,1
F,China,91,137.34708832726488,E,C,C,E,1
F,UK,21,-28.874117564330664,D,C,E,D,0
Male,Mexico,20,-34.28550542278781,B,E,A,A,0
F,China,98,92.13867526914521,B,A,D,B,1
Male,Other,65,-83.80050475798119,D,C,D,A,0
Male,India,21,-96.8968810181712,D,E,B,A,0
Other,Germany,69,42.34993826327516,E,C,D,D,1
Female,India,93,-1.883683121122014,A,A,B,B,0
M,UK,80,9.151822128598113,E,D,D,A,1
Female,Brazil,54,-130.05038519515716,E,D,B,D,1
Non-binary,China,49,-96.45766222968597,D,D,E,A,1
Other,Mexico,96,22.780291790532875,C,D,C,C,1
M,US,56,-116.5019233141126,B,A,E,D,0
Non-binary,US,47,-146.49521615854118,E,C,A,A,0
M,Germany,26,-123.21099850801387,E,B,D,D,1
F,Germany,68,-108.54261961707896,E,B,B,E,1
Other,US,32,0.7002822575542754,E,E,A,C,1
Other,Mexico,54,-99.83674770559556,A,B,D,E,1
M,Brazil,67,164.36072512213912,A,B,B,E,0
Other,Other,37,-36.75750613810786,C,E,D,D,0
M,Other,62,-146.03123627050277,D,E,D,B,0
Male,Other,48,-58.12027612831615,C,C,C,B,1
M,China,70,-60.15786178361513,E,C,D,E,0
Male,Brazil,59,114.64786933973615,E,D,E,D,1
Non-binary,India,65,8.414140337329856,D,C,E,B,0
Male,India,92,44.42430531440343,D,D,C,A,1
Male,India,50,-135.72527071918887,A,D,B,A,0
Male,Brazil,56,-197.14481385602184,B,E,D,D,1
Female,India,27,144.83680087929216,B,A,E,D,0
Non-binary,Brazil,46,76.66786468937151,B,E,B,B,0
F,Other,51,-140.48956017138747,C,B,D,B,1
Female,UK,86,-92.71035750001973,E,B,C,C,1
Other,UK,46,234.6164320450648,A,A,D,E,0
Non-binary,US,31,38.0850624247372,B,A,B,E,0
M,China,29,23.659932005856106,E,B,A,B,0
Other,China,57,-113.06940717531641,C,A,D,C,1
Non-binary,Mexico,31,-3.964520044057974,A,C,C,A,1
Female,India,51,23.605675598513876,B,E,B,B,1
F,India,94,-57.71965358870531,E,E,B,B,1
Female,Brazil,91,22.724559805413968,A,C,D,C,0
F,Other,28,-31.101073584668164,B,C,A,A,1
Non-binary,Other,45,-186.09383955802866,C,A,E,D,1
M,Other,22,-127.29345977817023,D,E,D,C,0
F,UK,42,125.89080631004497,D,D,D,D,0
Female,Brazil,99,-52.001498081725096,C,E,B,C,0
Other,Germany,51,4.951309353584991,B,A,B,C,1
F,Brazil,47,-30.326462428798646,D,D,A,D,0
Male,Brazil,24,42.02827662783519,E,B,C,E,0
Female,Brazil,19,59.94919565901235,E,A,B,B,1
Non-binary,Other,74,-67.46397306250857,C,A,A,C,0
Other,UK,40,55.933111202290064,A,E,A,D,0
Other,UK,67,-0.5629018904943409,E,C,E,B,1
Other,China,92,-9.003475428054161,B,C,E,E,0
Male,Other,31,103.80902594989345,C,A,B,E,1
Male,China,56,151.57691287394434,C,C,D,C,1
Non-binary,US,77,-9.245821526131547,B,D,B,D,1
Other,India,44,55.22179568522585,E,D,C,B,0
F,US,46,-30.685753043566024,B,B,A,C,0
F,Mexico,71,-30.90993354686016,E,C,D,D,1
Female,Brazil,86,136.45891560568037,A,D,B,E,1
M,UK,23,44.164573697550345,A,A,C,B,0
Other,India,34,68.50930018979004,D,E,A,D,1
M,UK,37,66.37398033906018,C,B,D,D,0
Female,US,54,83.80858534547558,B,E,E,B,0
M,Germany,80,10.568594789514032,A,D,B,D,0
Male,Germany,74,16.045439187656953,A,E,C,B,0
F,Mexico,84,-40.90194905100775,E,A,C,B,0
M,UK,93,212.5388251460176,D,B,D,C,0
M,Brazil,31,-146.66785086299444,A,B,A,B,0
Male,Brazil,25,-113.35358189068228,D,A,B,B,1
M,US,96,145.91768920441478,D,A,D,E,0
Non-binary,US,60,-123.47795398178528,C,C,A,E,1
F,Mexico,39,109.15813532339529,D,E,E,E,1
Other,US,33,-9.950328288760252,B,E,B,D,0
Female,China,38,13.854810100742924,C,A,B,C,1
Female,China,49,-74.91045912640922,A,A,A,D,1
Male,Other,63,136.26465820900654,D,A,A,A,0
M,Brazil,69,100.5971110414372,C,D,C,C,1
Other,China,69,60.60627067283995,C,E,E,B,1
M,Other,33,44.36518098931688,E,C,A,E,1
Non-binary,Brazil,27,22.91037211076123,C,B,B,A,1
Non-binary,UK,23,144.3591611883483,A,B,C,E,0
F,China,28,83.12282531896538,D,D,B,E,1
M,Mexico,23,69.00933942759589,B,C,B,E,0
Non-binary,Brazil,51,32.764776641200434,E,D,D,D,1
Female,Mexico,59,-93.39590073008223,E,C,C,C,1
Female,Other,18,-7.979190047048662,C,E,E,E,0
F,UK,52,-80.56624681678318,E,E,E,E,0
Male,India,54,-64.5280358707558,A,D,A,B,0
M,US,46,-204.92513254161793,D,E,E,A,1
Other,Germany,56,98.35672575499342,E,B,C,E,0
Female,Germany,37,-70.35225555650553,A,A,C,D,0
Male,Mexico,77,68.35380580602826,C,D,A,C,0
Male,US,41,64.99655054809132,C,D,A,C,1
F,Germany,23,-56.89940710822109,A,E,D,E,1
Non-binary,Other,18,191.86857836866096,B,A,C,B,0
Other,China,92,45.19037546276709,D,E,B,D,0
F,UK,49,59.81714320228616,D,C,B,D,0
Male,UK,64,-70.08441409371596,C,C,D,B,1
Other,India,58,91.63551646886509,D,C,A,E,0
M,Mexico,28,-40.870541586671166,C,A,B,A,0
Non-binary,Mexico,92,-141.61586933197884,A,B,B,B,1
Male,India,57,41.338904802855865,E,C,B,A,0
Male,Other,70,-35.28740290472197,A,B,D,A,0
Other,Other,45,-70.41330477433175,C,A,C,B,1
M,Brazil,74,-91.44557712270502,D,C,B,C,0
M,India,42,-88.58486156373296,C,E,D,A,0
F,India,57,-6.545533531702659,D,C,C,E,1
M,UK,33,127.72051656974712,E,A,B,D,0
Other,Other,24,92.77810277453152,D,B,D,A,1
Female,UK,55,-70.05503138315238,D,E,D,A,0
Male,Brazil,46,0.26078118440616516,D,C,E,A,1
Male,Brazil,71,-14.975928879746373,E,C,D,C,1
Female,China,86,-75.9544478064724,D,C,C,E,0
Non-binary,China,44,-97.60991628658496,C,B,A,B,0
M,US,61,55.544699066620375,B,C,B,E,0
Other,Mexico,32,21.577647755175317,E,C,B,D,0
Other,Germany,70,25.37186880428776,B,B,C,A,1
M,Brazil,42,-48.1666332122316,A,B,D,E,1
Female,UK,20,44.33108201739084,D,B,A,A,1
M,US,24,-99.25516367947617,C,E,E,E,1
M,US,25,-116.39339479751169,D,A,C,C,1
Male,India,89,-4.017693313816011,A,D,C,E,0
M,Brazil,31,-59.35096975058881,B,C,B,D,0
Male,Mexico,50,15.989855662816469,B,B,B,C,0
Male,Other,62,54.62322562107494,A,B,E,A,1
Other,Other,69,-44.47747027747735,A,A,E,E,0
Female,UK,21,145.1025341555826,C,A,C,D,1
Non-binary,Brazil,34,-42.46289610389995,A,A,A,C,0
M,China,60,-321.0274163584331,C,E,C,C,0
M,India,83,-91.61209577334256,C,D,E,C,1
F,China,68,35.25619383959675,B,E,D,B,0
Male,Germany,60,26.291414984127258,B,B,C,C,0
M,Mexico,44,93.66259775896474,A,A,C,C,0
Other,China,32,-18.940563055864875,E,C,E,A,0
Female,Germany,64,-45.25121545999971,C,B,B,C,1
Other,China,86,101.95636885373733,D,A,D,A,0
Other,Other,80,0.2329458551849447,E,B,C,B,1
Other,Germany,32,93.05224330352799,C,B,E,E,1
Female,India,59,52.930727193348005,E,C,D,B,0
Other,Germany,32,41.639570281431176,E,D,C,E,0
Other,Mexico,48,240.21990245250188,E,E,A,B,1
Female,Germany,46,-3.5679553627884184,B,E,A,B,0
M,China,91,74.42184488202284,C,B,B,E,0
Non-binary,UK,32,69.45424946819394,B,E,B,D,0
F,Brazil,32,121.10839058096809,A,E,D,D,0
Male,Other,66,11.53024961315071,B,A,C,E,0
Non-binary,Other,39,-65.60609328421239,A,A,C,B,0
F,China,39,-40.799217519749426,C,A,A,C,1
Other,China,52,25.993398831865694,C,C,B,A,1
Other,Mexico,18,33.68083839932931,A,C,A,B,1
Non-binary,US,49,-25.1935455286915,A,B,D,B,1
F,India,51,-48.32279303819211,B,D,A,D,0
Other,Germany,47,170.21612516163472,C,E,D,D,0
Male,India,57,31.819946231681783,D,E,E,D,1
Female,Mexico,50,69.50883683997445,E,B,D,E,1
Non-binary,Brazil,64,-83.88024569816345,B,D,A,D,1
M,US,78,109.93159987640983,B,B,C,E,0
Other,US,28,43.731808270882425,A,A,A,A,0
F,Brazil,63,-31.574187863408454,B,B,A,C,1
Male,China,49,-130.08206981470187,C,E,A,E,0
Non-binary,India,75,162.84261144715916,E,A,D,C,0
Female,India,94,33.34077961579468,B,E,B,E,0
F,Germany,60,-0.22962567337887796,A,B,E,E,1
Non-binary,Other,62,-58.02931602244048,E,E,B,A,0
Other,UK,87,-96.39042561041207,E,D,C,A,1
Female,India,97,0.45217130768181674,D,D,C,B,1
M,US,27,-161.49709315967306,E,D,D,B,0
Female,China,29,-100.33164447684601,E,E,E,C,1
Male,UK,54,-66.60874198797256,A,B,B,B,1
Non-binary,Other,31,-17.63925850903115,D,C,E,E,1
F,Brazil,58,2.7038190405153966,C,E,A,D,0
Non-binary,Other,67,3.6810028787043008,D,E,D,D,0
Other,Germany,18,183.1555215671527,C,B,A,B,0
Other,Other,88,-147.59093370284126,B,E,E,A,0
F,Other,93,161.93404813079079,A,A,D,A,1
M,India,37,83.67446250234094,B,A,D,E,0
F,Mexico,62,53.946893457340806,A,D,B,A,1
Male,Germany,92,-276.9193728391945,B,C,A,B,0
F,Brazil,23,85.75977402786947,E,E,B,D,1
Male,US,83,-38.38639827315604,D,E,A,B,1
M,Other,81,18.592122268460443,E,D,D,B,1
Other,India,59,-173.59245175868872,D,E,A,B,1
Male,UK,26,-44.009295333491345,E,A,D,D,1
Male,Brazil,31,91.45468342468264,A,C,C,B,0
M,China,45,-55.22566784979362,B,D,B,C,0
Female,Mexico,19,-11.485409314380588,A,A,B,D,1
M,Other,63,76.69012861487093,A,E,E,E,1
F,Mexico,37,34.81935499270574,B,C,C,E,0
F,China,94,48.05267327639597,A,B,D,B,1
Female,India,62,109.64802410897538,E,D,A,B,0
Non-binary,UK,33,-36.97872870871757,A,C,A,A,0
Other,UK,40,29.855758994180974,C,D,B,B,1
Female,Germany,30,-23.476976395824618,A,D,C,C,0
M,China,63,-78.67151808012672,E,C,C,E,0
Other,Brazil,41,29.31704362777422,C,C,B,A,0
Male,Other,96,153.96935264171196,E,E,A,E,0
Non-binary,China,35,-122.6522966372886,C,A,A,B,1
Other,China,50,-3.943298189470696,C,D,D,D,1
M,Mexico,24,14.327484378165634,C,C,E,E,0
F,UK,20,22.765774685708152,B,A,E,B,1
F,Germany,52,14.070546832775968,E,E,C,B,0
F,India,92,75.94883058465432,C,D,E,B,1
M,China,98,-45.60553804386143,E,D,A,A,1
Non-binary,China,71,264.40993446325615,D,D,E,E,0
Female,Brazil,64,114.19456602261275,D,A,A,C,0
F,Mexico,63,-164.74610372597007,A,B,A,E,1
M,UK,32,-2.863413455788605,E,E,B,A,0
F,Germany,43,-18.01968050132671,C,D,E,E,1
Other,Mexico,70,17.989633393265656,E,D,D,A,0
Female,Other,25,-55.728316915843735,B,A,A,A,0
Other,China,32,34.583974089477955,D,A,E,C,1
M,Other,81,-49.30661670071498,C,E,B,C,0
Male,Germany,47,80.6670466500835,D,B,C,C,1
Non-binary,Germany,63,-64.25338448796776,D,B,A,E,1
M,Mexico,48,-61.90469871392336,A,E,A,C,0
F,China,85,-31.860363833404055,E,B,C,B,1
M,Germany,77,56.790443960990864,A,A,C,A,0
Other,Mexico,28,-141.7198059710793,D,B,E,E,0
Other,Mexico,56,71.7408008634008,D,A,B,D,0
F,Mexico,98,-133.1354985043385,C,C,B,C,0
F,US,79,101.39660724388699,C,D,D,E,0
Non-binary,China,78,-55.98041583514418,B,A,B,B,1
Male,US,29,111.37059899170876,C,E,A,E,1
Non-binary,Brazil,55,10.598997742741426,C,C,C,B,1
Non-binary,US,24,5.078776654412266,E,D,C,B,0
Male,India,55,181.81822652410463,B,B,C,B,1
Male,India,34,-65.1184629988134,D,A,E,D,0
Female,US,27,-91.4094178481795,D,A,B,A,0
M,UK,57,-20.36983904794109,A,A,B,B,1
Non-binary,US,71,-17.32323528252257,C,B,C,E,0
F,Other,39,12.852194661344956,E,B,A,E,0
F,US,55,63.11253506924033,D,A,E,D,1
Female,Mexico,29,32.50750989459698,B,C,A,A,1
F,Brazil,85,94.37819250605122,C,C,D,B,0
Non-binary,Mexico,80,59.90881483172632,B,B,E,D,0
Male,India,39,37.27515625964981,B,C,D,E,0
M,Germany,52,38.50626291873305,E,B,D,A,1
Other,Other,68,-203.01988733135374,A,D,C,B,1
Male,India,94,-37.935212588750026,D,B,A,D,1
M,Mexico,56,-61.19676513881422,E,D,C,E,0
M,Other,66,0.2781255035358312,B,E,A,B,0
Male,Germany,36,29.923141655124784,B,A,B,E,1
M,India,20,-83.29758971374311,C,C,C,D,1
Female,India,88,178.64685410408282,A,C,E,D,1
Female,India,23,-30.967532408087585,C,A,A,A,0
M,China,22,122.58271690711355,E,B,E,A,1
Non-binary,US,31,70.94651513475712,E,A,B,C,1
Female,China,74,-124.7333971719868,C,D,A,A,1
Other,Other,46,-152.6106020841462,E,A,E,E,1
M,Mexico,39,-69.93364757862507,A,E,A,E,1
Female,Germany,72,25.11534870311214,E,E,E,C,1
Male,Germany,25,72.30094706830099,D,D,D,B,0
Female,Germany,51,-113.37449924620182,C,C,E,B,0
Non-binary,Germany,30,-77.90934339108479,A,E,B,D,0
M,India,72,76.00904179278855,C,A,C,E,1
Non-binary,China,65,66.67247150566251,A,D,D,A,0
Other,Germany,77,-153.25742250246702,E,B,C,D,0
Other,China,56,-19.5383114111567,C,C,B,B,1
Non-binary,Other,46,49.86301793265896,A,D,C,D,1
Female,Other,96,-89.68454880971622,C,B,B,D,0
F,Brazil,50,-41.39714401121602,B,C,C,A,1
Male,Other,69,26.320903840577497,B,A,E,E,1
Non-binary,UK,76,12.309870993040077,E,A,A,A,1
Other,Brazil,28,-15.259354492584182,C,E,D,C,1
Female,Mexico,72,103.94158888490168,C,E,E,D,0
Non-binary,US,79,20.225275888566735,A,A,D,B,0
Male,India,78,29.964753281259437,D,E,D,D,0
Non-binary,Germany,43,37.13454199838431,E,A,B,C,1
M,Other,89,-81.4815650750102,E,B,A,D,0
Male,UK,65,18.5530954485691,B,A,C,D,0
M,India,62,49.96905448744207,E,A,B,D,0
M,Germany,38,-169.63073819448658,A,C,D,E,1
Female,UK,81,1.0215065632267524,B,D,B,D,0
F,Germany,91,-95.31362710498816,E,D,A,B,1
Other,UK,55,28.474114959714726,E,D,B,E,0
F,India,64,61.87642727093151,E,E,E,A,1
Other,China,52,-71.96573662632427,D,A,A,E,0
Male,China,84,-73.61789626239079,A,A,A,A,1
M,Mexico,94,-112.92522386311607,D,A,A,A,0
Female,US,61,-2.810038183759172,E,E,C,B,1
Female,Brazil,60,-64.21178949434254,A,D,C,A,1
Other,Other,35,283.78942761334287,B,C,C,B,0
F,UK,20,-98.49694262271707,E,E,C,A,1
Non-binary,Brazil,32,160.278111685744,A,E,A,E,0
F,US,76,-3.9849156254048266,D,A,E,E,1
M,US,30,10.111809222996294,D,D,E,B,1
M,India,62,-18.643451860184427,A,C,D,C,1
Female,UK,79,74.79526369372498,D,E,D,A,1
Male,Other,64,4.162350790640884,C,C,A,E,1
M,Germany,62,97.02618405389005,E,A,A,D,0
M,Other,73,41.01810550256846,B,A,C,E,0
M,India,59,-30.939601740886452,E,D,B,B,1
Male,Other,98,-84.07675238483743,B,B,A,D,0
F,UK,89,117.05657954020312,C,B,B,C,0
Male,Mexico,44,-47.035423442581106,C,A,B,B,0
Male,Other,38,-47.090994320577224,D,C,C,D,1
Non-binary,India,46,155.1405750913827,E,A,C,A,1
M,Brazil,44,-221.4604308230931,B,C,B,A,0
Other,Mexico,76,170.28979247337347,A,E,E,E,0
M,China,43,-21.273499778408148,C,A,C,D,1
Non-binary,Other,36,-26.75823881143719,B,B,C,C,1
Male,Brazil,50,122.2940892432286,B,A,A,C,0
Male,Mexico,32,19.023795892777482,B,E,E,E,0
F,UK,96,-31.436583937821872,E,E,B,E,0
Non-binary,India,88,14.537263850270174,D,B,C,D,0
Other,Other,51,-17.268941688305723,B,D,E,E,0
Female,Germany,66,159.175643563999,C,D,A,E,1
Non-binary,India,98,71.05968923252937,B,D,E,D,0
Male,UK,23,36.466231488445864,C,C,E,E,0
Non-binary,China,61,167.08413191672813,B,D,B,E,1
F,Brazil,34,52.31207802982768,C,E,A,E,1
Non-binary,China,57,85.91744328306739,D,C,E,A,0
Male,Brazil,53,162.59540647358372,A,A,D,A,0
Female,Other,32,-137.02980229151996,E,B,D,B,0
F,Germany,97,233.10205196369603,D,B,C,B,0
Non-binary,Other,73,17.142393473573826,A,B,C,B,0
F,UK,64,-52.948105373833485,C,D,B,B,1
M,India,53,126.07473126777728,D,B,B,C,0
F,US,95,-24.384312315344708,E,E,E,B,1
Male,Brazil,95,23.29681885481238,D,A,A,C,1
Female,UK,19,30.058579355002873,D,E,C,D,0
Male,UK,64,83.61843487236622,A,D,A,E,1
Other,Mexico,46,70.75998224521017,A,B,E,B,1
Male,Other,85,-32.50878646759961,A,C,B,A,1
Male,Other,62,39.09175826447195,A,C,A,C,1
Non-binary,Brazil,18,-94.80531064625058,B,B,D,B,1
Non-binary,Germany,78,-18.90843544658051,C,B,C,C,0
Male,China,98,166.4186782468532,A,D,A,E,1
Female,Other,40,-138.49891876317773,B,E,A,D,1
Female,India,26,91.83054487612729,A,B,E,E,1
Non-binary,India,67,-116.11161274312364,A,A,D,A,1
M,Brazil,58,-152.14697446119405,B,D,A,A,1
F,US,54,-29.687722623274016,D,A,B,C,0
Other,Mexico,54,50.793848064006276,B,A,C,B,1
M,Brazil,87,-50.24450227074113,E,D,B,A,0
M,UK,32,139.82806148623635,C,B,B,E,0
Other,Mexico,86,-8.809369173533328,D,D,A,D,0
F,Other,88,49.94870116756991,C,B,E,C,0
F,Mexico,39,49.53929336203482,A,E,A,E,0
F,Germany,36,-241.87729730495445,D,D,C,E,1
Non-binary,Brazil,26,97.2920774927053,C,D,B,D,1
Female,US,32,72.14672717901345,B,C,C,C,1
M,Brazil,82,77.84227040842848,D,C,D,E,1
