Disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Mental,-64.98820977876534,B,D,D,C,77.33090902200661,-122.4442377621912,A,-122.72082266884918,A,66.23406938414672,C,B,A,88.16399134268732,-80.29841323659215,1
None,23.895371486891733,C,E,B,E,-130.1542212378378,96.12221172546121,E,-119.07375329001522,B,-161.8808793698206,C,A,B,-19.484372287424215,-41.078141581819345,0
Physical,14.938605793863763,D,A,A,A,-21.344400322873476,194.19367612822523,B,91.3205206938967,D,-122.09084005847288,C,E,D,-3.9890461078339774,85.64439064934771,1
No,57.68930782467771,B,A,B,C,3.7885469749096554,-92.00658557105541,C,-18.564950101006513,D,-74.17557977724255,E,D,C,-43.268330717042886,44.49150471434576,0
Physical,19.744676873402824,E,B,D,B,68.05041610912468,35.592688577425804,E,-84.70460710842259,D,14.121600416913665,C,C,E,48.13087633059113,145.40048145676317,0
Yes,-105.89316991047353,E,B,B,A,26.617564593019594,-48.93124367594653,C,-99.21187979316548,C,-192.85424158921313,D,E,E,79.80534290830758,-91.26920877695561,0
No,124.87387960226492,B,B,A,C,72.2304507635174,-26.49291636299867,E,92.05154648526769,A,-20.000846697233,B,E,B,-27.385366514452947,-52.987585459574746,0
None,67.86249081282367,E,B,B,B,-107.49932077659172,161.6115215292133,B,-103.90594420367962,D,10.950359153856672,E,C,B,-93.95519374373946,265.86571085028356,1
Both,103.08405191807344,E,C,B,B,-5.500563176522626,102.14620367762399,B,23.274577276577585,C,-179.35590244472593,E,C,D,-127.28804460958555,-107.18720790180728,1
Physical,108.52232828478203,C,A,B,D,95.1878815524244,-53.87639890395421,D,-169.43681454511747,D,118.90672874797555,C,B,C,168.23530906024678,-128.11595525303105,0
Physical,159.2915440563833,A,D,D,C,91.58108688511652,-88.98647660560579,E,-7.853290876827719,E,103.84427036660455,C,C,C,28.6177869968753,77.39577842843556,0
None,-81.58748596648593,D,C,C,E,-18.31870432410692,144.3798393036134,B,30.632792081404247,E,44.82226782617647,E,A,C,-35.05985829074271,-13.748348275693775,0
Yes,30.775965536974436,C,A,D,C,-38.312853751078,-107.21627873254667,B,58.68636740905922,B,-84.27566357525428,A,D,B,31.938282322339322,-61.90699183420932,0
Physical,-177.37969138220421,D,C,B,A,29.717781052065334,31.21540925324382,B,-54.2689269602514,A,38.77436193943623,C,C,D,5.59010959693519,-129.23890704003747,1
No,-192.93084600251157,B,D,D,D,-18.98169063622319,-131.32452680074223,C,-48.627331985543854,D,-104.99598622886886,C,C,A,-3.7264053924479636,-54.4717715117165,1
Physical,-0.3031330074247681,D,C,D,B,-42.60921230932401,104.30787506383669,C,98.02662239194686,B,256.36966448255873,A,C,C,-23.004059968329855,106.9786817320888,1
Yes,37.184384495429406,D,E,A,D,14.312336021812696,-42.15743494758376,A,-75.92618803276167,C,4.204483022535461,A,C,C,-31.092160601864332,39.40253966600988,1
Mental,22.68290840798535,E,D,C,E,-24.96009901532043,8.043807336314687,E,-69.12996577991865,A,-130.4330770824287,E,A,E,38.203177666349646,14.813447871293029,1
None,-87.93456660804836,C,C,E,E,-97.39676896215677,137.97561346880238,B,-169.44865535059333,B,29.137849163552414,C,E,D,30.935177073286578,52.30891316178447,0
Mental,18.38076195819231,D,B,C,A,-76.60712279151097,21.065853457196862,D,134.66904386830527,A,-43.41707429810662,C,B,E,-69.41029003808039,47.67992494455512,0
No,-141.4785661009305,E,A,A,D,90.91493002534298,-65.66452248491407,E,-147.46124785387929,B,-75.16854273894094,D,B,B,147.19065179324872,25.120810136335837,0
Yes,38.74668475416906,B,C,C,E,-8.412593394035476,29.85441827332925,E,-214.66147664200963,B,83.09821210607143,A,B,E,61.160219058829504,111.28409199853617,0
No,74.10966593524535,D,D,E,A,-5.52851164809212,162.94339744240506,A,-125.4125891985823,A,200.2797555960412,D,A,C,-34.47669170699926,197.19377404833378,1
No,-84.95031624019806,C,C,B,A,24.933503032103904,128.85089261098867,A,115.58773162422393,A,-203.00993254376885,B,E,C,-63.258737925778064,96.27153528415843,1
Physical,-73.67442950471165,A,D,B,D,115.41174077643474,28.163458885474384,B,19.758465480404773,C,-45.97510661663117,D,D,E,-49.44247918526798,-144.1111975008225,1
Mental,74.28677808312045,C,C,B,C,-114.17203427491145,-90.42371937291679,A,191.45352282490163,B,12.65847092153287,D,B,B,-168.35106674463253,-92.16708829747165,1
None,-122.26163566243426,B,A,D,C,33.852789318853254,-77.4960937494999,E,60.44571520878499,B,64.47098603033238,C,E,C,-91.20278606956882,64.06904780986844,1
No,61.77357265156825,C,E,B,C,56.83301736201554,-2.600696384470579,C,90.7193392553114,C,-67.78348135565122,E,D,A,29.474064760429957,27.363577281798594,1
Yes,-19.39286662708015,A,B,C,C,-143.7233723226017,66.05316213164276,B,48.54896907560594,E,-219.20215283231244,E,E,D,-196.26246391274128,-61.8074373896811,1
None,-105.82068741483377,D,D,E,E,-171.72901263266175,-186.6322649626741,A,73.98151002164177,D,58.61787621339701,D,D,D,48.542894788334095,17.439959363477687,1
Both,-118.79373744606762,D,E,B,D,-20.07530948710294,134.43658982793792,D,-162.19836392429622,B,-90.64512917692825,A,D,B,94.23845850429504,264.1349866152273,1
Physical,111.5910668951413,E,C,A,B,152.32469871375707,-105.89093350463905,D,-76.41567041432421,E,-6.263265251600463,E,B,A,137.47825489862498,-24.809284111731607,0
Both,-29.976537937026563,C,B,E,A,-25.305597493123592,-76.73844128948474,C,-121.44933195859878,E,-20.627927535351475,E,E,B,-27.506181557194196,-190.83681747109446,1
None,90.34308570855913,C,E,B,C,-42.682960044270224,41.90837093918044,D,-86.75890519398467,C,83.95404823929191,B,C,B,-78.24091181413735,-3.5462645052756523,0
Yes,-71.8048860020731,A,B,B,C,-39.01296650378509,94.53059025092833,B,42.53596764099191,D,92.37732855620696,C,E,A,55.85441864745193,200.76390993011825,1
None,-238.1581269945232,B,E,D,D,-95.02909892223109,28.26719168126674,C,-32.13369195404587,D,-12.261882135538055,A,B,B,28.9560565941253,62.776564167042494,1
Mental,159.9013266323664,A,E,E,A,-22.225354473185842,113.31003548793588,E,4.105054035706527,A,-13.473122486000749,D,A,C,-91.38294375461334,-108.66265991967386,1
None,46.1859230989057,A,B,D,A,7.775068753600724,-34.93682784987611,D,-217.01662962212916,A,-58.06161394172652,D,A,A,-21.516114500720562,-2.4668968644602987,1
No,37.7042751648363,A,C,E,E,-68.10086927887608,2.2721708266323186,C,-173.87873667510277,A,44.47211624958842,D,A,E,161.13671126125706,52.181624953093895,0
Physical,-155.30342763480633,D,E,A,B,-34.639576764524136,90.8700681737201,A,-22.964418408904002,B,11.7776539351215,D,A,D,8.803683900135399,-18.079529985383953,0
Yes,5.329050831273737,E,C,B,A,-10.865210509451389,-8.550694296994832,E,-33.072050875091264,A,235.9457351603809,D,D,E,1.1562428346059335,-163.69963354782234,0
None,-56.82208002957685,B,B,E,A,-299.6404219023011,45.37779068850718,E,-63.62974559405854,C,-165.92030035803694,D,B,A,-208.34004912112624,-29.133606991321347,1
Yes,4.168304429042099,B,D,D,A,-24.31288998559937,33.248791062263656,C,70.50309958927595,E,-17.507921171973344,A,E,C,-43.26408338816884,-10.095553268198872,1
No,-104.53825082342681,D,A,C,A,-67.89522091575309,-115.96761195507696,C,168.8105105098292,A,-7.828945676415315,D,D,C,96.80658358855297,34.28435269575401,1
Both,-120.94032244022937,A,D,D,C,-81.97541644480177,112.54289308543628,C,221.22616313337554,A,137.54693882627612,D,E,B,-69.93336130643391,-185.02541007392682,1
No,-108.12495025279793,E,C,A,D,62.33822323388365,38.127662390507915,A,204.5107510886409,A,146.38534658796112,A,C,C,15.330701834256356,116.77224567328884,1
Yes,16.72616206525707,E,A,D,A,95.86760809406081,39.51114941124147,A,66.37723292093027,E,-51.10109455433999,D,C,A,-8.98447882585081,-11.213256423529382,0
No,52.17074884654714,E,D,B,B,-16.595049068004304,93.46341657998508,E,-63.46085682504003,D,-114.07904470798202,D,A,E,-68.44433433201257,-30.647646819577147,1
No,-77.30868469654288,C,E,A,C,43.99427240555269,61.73452463674042,E,-14.411461378487067,A,90.94922661199536,A,D,D,123.19167687281754,133.11092089153192,1
No,-90.04812035444657,D,D,D,C,149.32642072058897,79.40295760913357,C,-11.569891465653367,C,-44.93129566493472,A,A,C,-22.350552526500884,-66.29241046526582,1
None,17.81359436837557,A,C,D,A,-23.305790125618973,-3.040625706080053,E,7.700793494569414,E,-184.79298513772576,C,A,D,-59.585972511815044,156.19405231824638,1
None,-42.721524527254424,E,E,E,C,-66.31734300311288,-148.1103114504048,B,-29.883495443355855,C,94.67385814587998,D,D,C,156.07188009577828,53.31889298856589,0
None,69.07320729697084,D,E,C,B,238.66268435524822,-108.10021970194252,E,73.11346028291533,A,-83.17562973705725,B,C,C,118.26953422660121,-67.27546328330195,1
Both,108.29499681031436,D,B,D,C,49.57045971259544,-119.19947547988991,C,-166.15329040866578,D,22.838221196314578,A,C,B,189.9864045078397,6.886874682106026,1
Mental,-157.4590495894782,A,E,B,A,82.87303920434697,-189.74946725855523,D,75.25977347597626,E,-203.47497510313812,C,A,D,13.35785102465069,-185.50118388114322,0
No,-44.39564608324426,A,E,E,B,-14.751685561885644,-47.31774031879823,E,154.18630753241717,D,251.94477337645495,B,A,E,39.61471230214196,76.0381825380131,0
Yes,99.31612794800381,B,C,E,C,-215.52026762708724,-37.682429128376064,A,-67.90740393139124,D,199.69437379977342,E,A,A,-23.345218033155884,-39.323378084517365,1
None,-42.22246565052231,E,B,D,D,206.4763352965505,80.73838514184129,E,-68.9808908708952,D,70.72716490910315,E,D,D,130.82447245962112,-107.95461455296108,1
Both,44.18904862362623,A,A,C,C,116.83274894338054,36.66669603848046,B,104.71957256835096,D,-34.01454527356344,D,D,E,44.57613514983324,-66.51559349013405,0
Mental,37.94555840962946,A,D,C,A,164.437991662646,32.825364481345105,C,4.55962954720988,C,-23.33331949942852,C,D,E,8.898484818080803,29.81216709731035,0
Physical,24.49148108709113,B,A,C,E,-159.96391788878248,-89.02225315545064,A,138.66071403148064,E,-45.70153096922617,D,B,A,118.9771160580482,100.82280453699306,1
Both,-113.44092113759041,E,C,A,A,1.5521464880320288,38.16931217235179,E,-7.077700211638002,D,-30.339399368055968,E,C,C,-1.5244849787103167,49.83554667615926,1
Both,-20.673584172416103,B,E,A,D,-100.93892212762354,-50.71498830305209,C,-66.64007339431501,A,27.25763770152645,E,E,C,56.83947973343858,-39.88874434446479,0
None,78.36971802049388,E,E,B,B,305.84257811920025,-48.84610967712257,D,-39.047656876064245,D,-22.73728507795187,C,E,C,-1.7971965651470978,-68.25748961103722,1
Both,64.28364787545516,C,C,C,E,-106.5650790307115,-76.55317627892798,B,27.872855455190237,E,182.8557021628258,E,D,D,-0.3073142774266433,12.965225187633534,1
No,25.171028712148193,D,A,D,A,-64.11311819212234,-7.509043647222017,D,-29.924166716867433,E,40.86460281390376,A,C,C,-54.676366584108905,23.22838281337532,0
Yes,57.99005587428289,D,A,A,B,-7.0519301463286626,-118.13637601061575,A,-92.77782546019742,C,24.736760393031318,B,B,C,-69.79298949256922,-34.02330083638099,1
Physical,56.047545929096096,A,E,E,C,-149.54963281982688,45.62540400513021,E,-23.444867643165498,A,63.98719108345138,C,E,A,-3.0431859398592054,-112.72588037790499,0
None,50.517030964552035,D,B,D,E,28.6665460350043,86.1307290055281,C,192.71609168974322,B,85.60642071461386,A,B,A,-139.93635937592342,-12.068757651575332,1
Both,-36.945661873328525,A,A,C,B,121.57996001984155,-16.083073023675855,B,56.87875677134354,D,-96.61111773087751,C,D,E,-68.04380864934032,-3.0170373047123307,1
Mental,-165.6219378737704,C,C,B,B,-75.25143528830961,105.14355935726694,A,120.38529618229528,B,-3.363403825753777,C,B,B,-167.41776651512396,-53.978799087599505,1
Mental,-114.16623023644124,C,E,D,C,-65.66222964049062,-25.022938654713904,D,-21.973436742165728,B,-119.1919633653675,D,A,E,77.34792376068317,22.173069657978157,0
Yes,-91.59439141245257,E,A,C,A,-40.065727300031284,-75.2352279289008,E,-160.12678926532797,D,-25.29376325340432,D,B,D,4.304519798281533,-78.66656951936118,0
Both,75.0741606613442,A,B,A,E,-73.58248559129918,-93.1273263125121,D,-147.833127578014,B,-87.55516968529203,B,B,A,-202.58778063894547,-59.67659960355587,0
None,-29.023495229690425,E,C,E,A,44.79482843864613,-1.9297767510803334,D,30.843031650998093,A,6.811160271701899,A,B,A,-117.76655703853169,-74.56033747585705,0
None,-157.10235966731256,C,A,B,E,86.55173408350552,-59.93367368304777,A,67.49671587697163,B,-34.036199485320864,A,A,B,-50.410447347218735,-57.029233988510065,0
Mental,-90.25498738108921,C,E,D,A,39.17435336755658,-117.19890552630746,A,-70.32047522275717,E,127.14765895363192,E,A,D,122.41068090405463,64.09997229466389,0
Physical,-64.62742621327092,A,B,E,C,-2.9619993466097743,-97.2087039238523,A,47.170248427039674,D,-60.97455177995683,E,E,E,118.36664895715501,-89.06776517009402,1
Mental,120.6748376709522,D,C,B,E,-6.982261535085297,76.13502295687864,D,-64.76678698655765,D,-172.38707810002973,E,E,E,-113.24393830507809,65.09422852984048,0
Both,30.139266294084077,E,E,D,A,-215.72307484498748,112.36161871018908,A,-78.2931900168535,D,155.26576118322455,B,A,D,3.1403273356607357,70.60112883602152,1
None,-43.404808615026155,A,A,B,E,-104.09101138609111,-69.38678832364367,B,40.592453657081826,C,78.28399845089284,B,B,C,-29.911483226418838,12.13406060697052,0
None,84.77523242004328,B,A,D,D,35.20582835661254,-214.15834661904208,A,-104.2480055627338,A,-79.02943886801657,D,E,C,55.36806758308366,-0.4682329665311604,0
Both,122.97683769259402,D,A,B,D,-2.8717732619969336,-7.443382988674919,D,295.75792661539805,A,5.188235301180472,C,E,B,83.96946081014957,37.70670654872699,0
Physical,165.90255436984788,D,D,E,A,-154.38503341631812,103.79456728544818,B,-31.958367977782142,A,-115.3154600687061,E,B,B,123.41296648747104,29.679838106914207,0
No,9.083749320715675,C,E,C,E,-7.359146935650469,-15.844743197687757,E,-30.091134695188416,C,-157.31061216819825,C,B,A,9.208936032357636,-63.92017532613764,0
Physical,-74.6885282147877,E,B,E,C,-116.93835257865418,-13.972235857298815,C,-259.39227823044,E,-146.73268988814146,E,B,E,-0.028748214078310397,155.7903663722913,1
Yes,-257.24466888528036,B,B,B,E,15.000333025820064,70.02073946580313,A,6.275156634953455,C,39.07151661302278,C,C,E,-1.8937789069996818,125.19199201435465,0
Mental,-97.80843021406587,C,E,B,D,102.27097707641126,153.95503853274923,E,148.56849757793677,E,101.51780797839771,B,D,D,6.149144339252463,-60.53577800789681,0
Both,83.99513736991601,C,B,E,D,13.595842839209048,33.75347039023242,E,77.93204110286501,D,11.989935531043288,B,A,E,-41.68224783228449,100.64372016788587,1
None,-76.09309615102761,C,E,D,B,3.543359194257599,10.77535716591965,E,0.7577499397837869,A,-18.323380969430264,D,C,B,178.63090493463193,-74.86693607944267,1
Yes,95.94298124115086,A,E,C,A,-21.472330932769555,-49.538449496697936,D,-107.3399180626357,C,20.156343426330807,B,E,A,94.21250985951963,-67.69252118401927,1
Physical,-114.03106702162317,A,A,E,D,54.70387115825972,115.86964249541303,E,31.712638591454738,B,52.34981136206639,E,A,C,-196.17707865015032,-41.335843700850745,0
Yes,-64.96762879698692,E,A,D,B,-127.68381762827762,-0.9609864772844602,E,-93.1560319503645,C,-4.577914732618115,E,B,A,-60.080016643888534,87.58786621530004,0
Mental,64.19996858094032,A,A,C,B,-52.697757914302656,-90.65449953593219,E,57.86777691139399,A,-152.69817037138708,C,A,E,-36.8224003723866,2.5291344818969734,0
None,-21.23558690624103,C,D,E,C,23.820884986048895,-196.5792763931112,B,-33.02321131209926,B,-272.31148620863485,C,A,B,0.6090553255737784,131.14375693147258,0
Mental,-30.98729585029757,D,A,E,B,-131.18141388626782,-67.60764706150326,A,70.03030798789712,E,-119.27501640331984,C,A,B,-97.91572134592896,-109.93590527345383,0
Both,183.42888204336467,E,B,D,A,-260.48679088460165,-69.7093711821966,D,-55.61672637455034,D,93.94103583571118,A,B,D,-25.789080559540867,81.42804820371961,0
Mental,-21.446951865902836,A,B,A,D,58.25799962865317,-87.03511750184421,E,-41.84565792204313,B,-55.85776374751782,B,C,C,180.5661806035593,18.795163511982537,0
None,-3.2691374009418865,D,C,A,A,78.68455863478468,128.20142290344828,C,-40.959031692511886,E,111.90895172544548,E,B,C,45.85274917689429,228.10907014522797,1
Physical,69.78644306661256,C,C,B,B,-83.67699545695214,-44.34822065183843,B,-27.663524030596342,B,56.283295778279474,A,A,B,216.90566482294318,-196.87396871570627,1
Yes,-14.022528007641569,C,D,A,E,68.19373976329844,-14.697666340235415,B,21.78367103901055,C,-57.56150873360226,A,B,D,191.85332665080728,108.52568977975827,1
Physical,-49.33545884604852,E,A,D,C,-91.63762904411142,-60.523961118877764,B,-125.72573029735523,A,55.72841714335419,B,C,D,72.81581096879322,-4.488573732720578,0
No,187.04962618094726,E,E,C,D,68.51511855514147,-2.969217700721087,C,-10.425075534019548,C,113.04752313651198,C,E,C,-82.27378527044375,-50.79890645636,1
Both,39.31881980248542,C,C,B,C,53.97342263255121,66.60456799820206,B,-91.34198650233887,D,-128.83702439183617,D,D,E,-7.654815636791897,37.81036888556806,1
Both,31.049661201119527,B,B,D,B,164.53211440259975,77.38348565035898,E,-57.88990245132016,A,72.06009686725176,D,B,C,17.643935168969943,-52.52764895630897,1
Both,128.62223581771596,A,A,C,E,-96.82980834505666,-37.20775584189493,D,-9.010869786781349,B,-124.66842022897966,A,C,C,63.46539067999786,96.92226769728907,0
Physical,-46.46346138047418,E,C,D,C,-45.7970956059977,72.44043494391838,B,-144.030134893233,B,-68.48690464988668,B,B,D,-92.83707390345184,42.62254180008491,0
Both,-78.18662699347712,E,C,E,C,15.642677652895282,-116.6466671119383,B,100.98879082991135,B,26.54873301132993,C,C,C,-56.67661870711541,-71.10481633264159,0
None,-78.46925963641137,D,E,D,B,97.53788674018318,-114.30458717345562,B,-107.70462850254164,C,-2.1456910839973067,A,E,C,11.431745289402693,215.34222129144078,0
Mental,96.69383080033552,E,A,C,E,153.5771833270363,12.544911149123664,E,40.287623143248084,A,-0.9229668049111566,B,C,E,-71.65784836506889,29.681040480893618,1
None,-215.57340723491504,E,D,E,A,60.79045178403288,147.46371263836022,C,-30.32648336821704,B,1.2665120552763294,C,E,A,-18.15763930455266,-75.4785406404023,1
No,161.34944639659733,D,E,D,B,-20.803121106692622,109.15699935096741,E,51.219970781988486,D,-14.48244113704001,D,E,A,-48.3116980441414,98.01894992785176,0
Mental,-160.80697386787315,B,E,C,E,86.57672607627302,40.88807869318222,D,-145.42696892216628,D,-45.022220179067,B,E,B,-17.62654484729805,-29.96108339965553,0
Yes,-78.18120379959217,A,B,D,B,4.078042440050356,209.00262694734351,C,56.602726192566486,B,110.4568368766909,E,E,E,92.5743320716401,154.656631574527,0
Mental,-2.31328179042264,B,E,D,C,-30.752175464792376,130.515677085782,A,-117.24575895071239,A,-141.68059279393205,D,C,C,-224.6048046148711,-35.51633754507672,1
Both,77.5576696813553,E,B,A,E,-106.02023755581187,52.436651951473635,D,-14.968522115896189,A,-72.44325309351308,A,E,C,-63.9355971166956,26.599787795581154,0
No,-65.81854501162984,B,D,D,C,-194.25761165452136,110.35705988113433,B,272.15612013246465,C,-85.98100489557291,B,E,A,57.15753513652327,65.07926817402986,0
Yes,-70.81040368266702,A,B,E,B,-5.2603957411127205,29.95096614846673,B,16.093656641051204,C,-235.08366395824189,D,A,C,88.33282686500257,-59.241274639636224,0
Both,30.833905141721118,A,E,C,A,-53.36813697046894,-47.843719302285706,A,-163.61600133614994,A,-101.46429142646403,C,C,D,28.085963427372025,-119.83216598107214,1
Both,88.1220877286688,A,D,E,B,26.73659774959881,-115.47978899901896,E,-163.2893084316773,D,-38.35161882088733,D,C,A,80.2364629461589,-37.238348142920735,1
Physical,146.83922277301923,D,E,D,C,93.83529346479405,-6.990638413778741,E,89.64837532939401,A,-116.26868446150047,E,C,A,-97.18377968104323,-51.58142126066429,1
None,86.89224288986658,E,B,C,C,-22.517176013413977,-16.229006575170022,A,-60.18755135043722,E,71.67906902002711,E,C,D,-121.06996638193597,136.86019227184943,1
Both,120.78212639615782,A,B,A,A,22.656644768363606,115.09106342108007,C,-57.66037927475608,A,33.89302324629258,C,E,E,129.4733229203915,69.51447154275817,0
Yes,-37.02457138935195,C,B,A,C,-172.00926279671222,68.94818719995132,B,0.2939836046296744,D,-87.53419426762183,A,A,B,193.785494707865,-218.80451484894832,0
Mental,-130.54408328298348,A,B,B,C,136.33687851055595,45.118400651857904,D,138.49139217714594,C,10.9806022964823,A,D,D,100.46319816591091,133.520692717188,0
None,2.538312322077805,E,A,A,B,174.91658805192293,-4.293924202020252,D,40.880295394209604,B,176.66577449103949,C,A,D,-96.1703673157563,-15.257141266208698,1
None,-1.6451847414801652,E,B,A,E,7.915805953582508,-31.75144755470974,B,-113.52684926483782,C,-99.704869091187,C,B,C,-142.81193438356033,64.49984061438018,1
None,121.64502120307503,E,C,D,E,-102.28283428413947,17.01194023014418,C,-119.6620116330412,A,-145.10177057834665,D,A,B,-67.54981680884357,69.156587180282,1
Yes,-121.56580203399055,E,A,D,B,53.45319134039912,6.388167849145875,B,75.64118449982487,C,35.419724923661136,C,B,C,142.8405798491321,-13.991590701437623,0
No,-106.72947503735615,C,E,D,B,-261.75924513111,209.01474856972078,B,146.51489904945697,B,-10.10440865741832,A,B,A,-37.39378680415472,-43.32806845411804,0
None,-317.5919855156604,D,E,C,D,-112.67735389240715,25.956937921838062,B,50.14513612048768,A,71.67157410167025,A,C,B,71.25453638120742,69.30852615472799,0
None,-117.6344946329974,D,C,A,C,-148.9974091082761,-197.74185436519113,C,-175.24858365510255,C,-91.06064950477652,D,B,C,25.00298536590528,-218.4217985903574,1
No,-37.479872452943866,A,A,D,D,-93.6678347635975,-125.86984357918232,E,-161.6585193795276,C,94.02041243796765,C,A,A,-75.32059576663488,80.64022483562123,0
No,-85.84798563899211,E,B,A,B,100.53574862379409,19.54904031713309,B,-4.364236870159148,A,-177.6096462380472,D,B,C,-8.65454763257114,-108.58905542983396,1
No,-60.09523189295568,C,A,A,B,39.67847747373864,179.82193666404817,A,-7.836039654253611,B,-49.54958231314256,D,A,B,-189.28171050686115,-102.43322845482066,1
None,51.50579762857973,B,D,A,D,77.00225953277504,-36.425138631791974,E,-68.53484487124022,C,85.75896865072171,C,C,E,-84.26525816264959,17.471708668365533,1
Mental,-25.150363585279432,D,C,D,A,-105.7509301101065,63.64954455388824,B,1.7850217712087755,B,-13.360528965748248,C,A,B,6.227249075955013,5.341016402491667,1
Yes,-47.68109746202778,E,E,C,C,-60.750250247731316,-56.71118767695502,A,-102.82062109362798,D,-113.71986997559074,A,E,B,133.08529291477177,-56.418785432240924,0
Physical,47.7181749162763,A,A,A,E,-0.8377427852319932,44.48978566970296,D,-38.51848630127358,A,106.85457079491452,D,E,B,34.75570887807924,117.60930848381375,1
No,-118.923322627763,B,C,C,B,-255.26156179699555,25.75933684602832,D,-88.69995680256446,E,-163.9135372784961,A,B,D,-106.95307386075,6.217973778265944,1
Physical,-25.255407612359726,B,D,A,C,-24.316796557335525,-80.82407214290606,B,174.4691337964676,B,33.689294405176085,E,B,B,17.91240977339718,131.44735781395724,1
Mental,-38.10778958995872,D,D,D,B,-66.01911681479493,-83.01167987797636,D,160.56287994455977,C,-155.13907826032903,B,D,A,87.68656745938343,-82.70192778576106,0
None,71.57027107777564,E,C,C,A,-253.43860331031348,69.26255655565953,A,-24.178524767936484,B,138.65315670895998,A,B,B,-85.73705278177854,-39.24209983865571,0
Both,-97.88457723846753,C,E,E,E,-90.22676516898063,66.74315566390754,D,105.94299237854557,D,71.77027441261913,B,C,B,-87.8708908235457,102.68872358124446,1
None,-15.522232811999825,E,A,B,E,-112.07117315531599,135.77934871914613,D,144.86004776212258,A,14.530893982293847,D,D,E,-57.33718286545264,-28.159408023847103,0
No,73.77176428300673,C,A,D,E,1.3608052196217622,-2.2091209259273126,A,47.41596883427049,B,83.94629425578344,C,E,E,-107.29848815563068,-8.485358919769796,0
Both,33.12583535435333,C,E,A,A,8.912357472740934,50.75613881262573,E,-107.64612549064027,B,148.5594039439301,D,E,C,-8.148594021407984,130.15353523051232,0
Mental,-99.43163714100571,D,A,D,D,27.20149045461004,-53.030690728182215,C,20.720551250429093,B,73.42261435420535,B,A,B,347.68421364986887,58.597578574318774,0
Physical,-34.7709633277014,C,A,B,A,114.7658533888845,-53.85208110566645,A,-50.42952622148127,D,-96.71606586991223,C,E,C,-98.45156399791175,74.62701773509536,1
Mental,173.29904710656567,D,C,C,B,14.316144299719898,115.6112910095863,E,-1.2494817016178668,B,132.50657970986404,E,E,D,-57.94224501755966,-16.782366253075516,0
Both,97.6426717669652,C,D,B,D,41.993197044024114,178.83183487861447,A,102.7663448936456,E,50.35575964875005,C,E,C,-8.944296223971444,-71.65648769335775,0
Both,-248.7836331109407,E,C,C,E,53.4007192862804,-57.2810403074693,B,28.99940813979211,A,-62.085796201765206,C,B,A,152.12975600875097,114.02602621337515,1
Both,11.987363167141902,C,D,C,E,-86.42298594417757,-64.56099499973124,B,147.7727270379412,C,-34.0883819512048,B,C,A,-16.269128033256443,-136.67324374957076,1
Yes,-21.200645285063658,D,E,B,A,-75.18203214694228,33.864315242996824,B,84.40907295729552,A,-3.893597374905415,A,B,B,-82.44485981934763,-9.381166118989595,1
Yes,-34.00574200638102,E,C,A,A,-30.73397929086475,-96.48768567731825,E,-146.83275364102158,D,135.89782129756793,B,A,B,67.03622868081999,-48.876849288684845,1
None,-99.49579224647555,B,C,A,E,38.407817970571855,-201.6966208799597,D,5.616445380343075,E,-1.766219524148903,E,A,C,103.9549408552964,24.703022225655456,1
Mental,41.39991457154713,A,E,D,A,76.66202962317509,77.811334947268,D,-151.1032161790085,A,130.16797604193547,D,B,C,-63.83119837055583,-163.8862911141669,1
Both,-117.12498653004,C,D,A,B,23.87628062978655,66.5298221005599,B,-30.589537563153375,E,-85.15076899065429,E,A,B,74.54434008854156,-91.69230570032767,1
Both,-9.130544265768261,A,E,C,D,-136.52688963341458,50.67278315761254,E,-80.26976865516933,D,112.56479991092931,D,B,A,-63.94759737711012,-69.88090949837975,0
Physical,141.60442725292285,B,E,D,A,28.023272259761338,135.63436313409173,B,-10.484215780158184,B,-18.373525388597965,E,D,C,-68.1275261922705,84.6052263362671,1
Mental,-120.80216395329482,C,A,D,A,115.3691870063934,-68.01285025090651,C,-25.38264690676741,A,13.766292116899647,B,C,B,30.375909943514102,183.77043470327163,1
None,44.693810217780474,B,D,A,D,-119.51142786624149,152.9517811079031,A,-57.53189923913896,D,-31.899085672104622,B,C,E,256.7888838922358,-11.866378758422792,0
Mental,145.4053786578291,B,E,A,C,170.54321763233017,89.88156048588495,E,67.84672040311276,D,-51.218198628347125,E,C,E,41.60174044432557,-133.54187301886802,1
Both,-29.082571790415628,D,C,C,A,-11.025495627400646,-53.15777012337654,C,-6.6983579404169395,E,36.712915177034674,D,E,A,52.918261002405195,83.08547530616114,1
Mental,171.2528391193513,E,C,C,A,-6.777882420589997,-41.5714855397911,E,2.92063056069373,C,47.46620251269682,A,B,E,-71.20565289203883,-87.84880310740049,1
Physical,64.55720672046088,C,A,A,E,-40.77758290598332,21.825965272078236,B,32.013927905438536,E,39.370658446198284,B,B,E,-18.905705538750897,160.99743677950843,1
Yes,-1.7434285578430526,E,A,C,D,24.499554395750845,-38.71220061970356,A,20.78139019410669,E,29.879209529589744,E,A,C,-121.4399832005871,-231.1236960257809,0
