sexuality,genero,feature_0,feature_1,feature_2,feature_3,feature_4,target
Homosexual,Other,B,A,-129.16584717330605,D,176.18429312096254,0
Bisexual,Other,B,C,67.89064227781535,B,-33.2624377961974,0
Other,Other,D,D,-125.83258581027653,B,73.81132750300381,0
Bisexual,F,B,B,-95.52088891839301,C,-40.65175348279639,1
Heterosexual,F,A,B,45.11131910554321,A,-17.907697087963268,1
Bisexual,F,D,A,273.8584455728801,A,-80.55879886756749,0
Bisexual,Non-binary,C,E,-161.14382214788372,D,62.94573137818678,1
Homosexual,Non-binary,D,B,213.9840193768175,D,30.009791244603846,1
Heterosexual,Female,E,C,15.92034432643655,E,-71.58285945056501,1
Other,Other,A,B,-25.349967107090237,E,-111.94481890590518,0
Bisexual,Male,B,A,9.329817295413093,A,-102.33730709673397,1
Bisexual,Female,B,B,130.00909271860667,E,-120.93515573900251,0
Bisexual,F,C,C,-230.89073063705504,C,-205.71531139558275,1
Other,Other,E,D,-46.88959350366279,A,-56.925593215977074,0
Other,Other,D,A,221.15559044812224,D,84.33658666262158,1
Heterosexual,M,C,D,-44.908066684397006,A,163.5348737973594,0
Homosexual,Other,D,A,-118.09998314110402,A,194.62603915038227,0
Homosexual,Male,D,D,-59.64410778520318,E,14.295092989832783,0
Other,F,E,B,68.09163490240442,C,-43.96152340639101,1
Heterosexual,Female,D,E,130.9142572139674,B,136.81333860547764,0
Homosexual,Female,D,C,-20.270870321556124,B,-88.89332932242144,1
Bisexual,Other,E,B,-113.8405772168684,A,-39.979333927196116,0
Heterosexual,F,E,C,-8.71399861224273,D,45.122324629659786,1
Heterosexual,Other,D,D,-262.40392544167884,D,89.40971642890771,1
Other,Female,B,C,-44.10103123685503,E,62.12329079632827,1
Other,M,C,E,-54.141194834782446,D,-117.19086029098793,0
Bisexual,F,B,C,73.34389383880833,C,-28.321874779492294,0
Heterosexual,M,E,A,2.3075983255300065,A,13.968824930722809,1
Heterosexual,Other,D,C,18.06452049623508,A,-11.611207541881896,1
Heterosexual,Male,A,C,-43.825549392228595,B,143.48928720648482,1
Bisexual,M,C,B,106.74725965470455,B,91.36442844786113,0
Other,Other,C,B,100.10888919007247,C,-203.27321349649372,1
Homosexual,Female,B,D,-94.35933320134863,E,63.788136854088236,0
Homosexual,M,B,D,116.83131854332657,B,17.58419667748271,1
Other,Non-binary,D,E,-46.43262031433918,B,-63.68323092294158,0
Other,M,E,E,170.26869175860227,B,215.8340150225456,1
Heterosexual,Male,A,B,-196.26916801508946,A,-64.15497233778036,0
Bisexual,Female,D,D,12.6582445117281,A,-48.13126088304781,1
Bisexual,M,B,C,71.3858231744433,D,-55.430228367928756,0
Homosexual,Non-binary,A,D,32.21285855909866,A,40.01774487117219,0
Homosexual,F,A,B,-103.13476370194574,E,-79.45977009671627,0
Homosexual,Male,D,A,-5.18976958819938,E,-22.662857795072707,1
Bisexual,Non-binary,D,C,29.668213253727693,D,191.36054957036222,0
Heterosexual,M,A,B,-78.94748936021216,A,73.82522368281454,0
Heterosexual,Female,C,D,-93.88627176316474,D,24.992489669250343,0
Homosexual,Other,E,C,25.923140811200078,B,-10.85282698519371,1
Bisexual,Non-binary,A,D,37.08538556454721,E,52.27183671755616,0
Homosexual,Female,A,A,-170.55431081882898,C,52.14890455449258,1
Other,Non-binary,A,C,-1.5950003382936968,B,87.17023178725022,0
Bisexual,Other,C,C,-104.50135978779664,B,126.14357470618845,0
Heterosexual,M,D,B,-20.71703581279137,E,-9.738539550207493,1
Heterosexual,Female,E,C,1.2899212830615783,C,57.44250579909017,0
Homosexual,Female,E,D,-40.78279094318514,E,34.30932470476348,1
Heterosexual,F,D,A,-44.82194214313175,B,93.19246444271754,0
Other,Female,D,E,-32.43159164874052,E,107.81672855941189,0
Heterosexual,F,C,A,216.22676095378455,D,88.16452092335243,1
Bisexual,M,C,C,-84.53776087234736,A,-73.92271564654762,0
Heterosexual,F,B,E,-151.66589195451198,E,214.58897414589237,0
Heterosexual,F,B,E,-129.34196265585175,E,150.68779641461046,1
Heterosexual,F,E,E,68.44342819897106,A,122.75154323400656,1
Heterosexual,Female,C,A,-200.93244392380788,C,33.28954353594732,1
Homosexual,F,E,E,-123.43198865703897,B,-142.00015437948258,1
Bisexual,Female,C,D,-23.756492676404967,A,-70.42366751123285,0
Homosexual,Male,D,D,103.1620422501713,B,-95.71837090700241,1
Bisexual,Male,C,A,-45.93824784881699,B,17.833788269014587,1
Other,Non-binary,A,E,8.477379782961433,D,-92.51690433311343,0
Bisexual,F,A,E,10.353908901954194,B,84.9144010851458,0
Other,Non-binary,E,D,-75.67624557519768,A,-39.359647079860366,0
Heterosexual,Non-binary,D,A,104.07578101527059,D,-11.349959407502695,0
Other,Male,B,E,-166.7992419292614,A,-20.884414882516985,1
Heterosexual,Other,B,D,-144.10769191350872,C,-61.53636946974793,1
Bisexual,Male,B,A,-13.704720679424504,A,-161.006403491354,1
Bisexual,Female,E,D,27.69305416709547,B,-20.40888195135868,0
Homosexual,Male,C,B,13.520838189584891,A,56.67782766664907,1
Bisexual,F,B,A,183.1273600799128,A,-133.85995265181975,1
Other,Male,A,B,-16.24624077140092,B,-24.261316029667345,0
Bisexual,M,C,A,-19.794065771691006,E,128.25032369028798,1
Bisexual,Female,A,D,150.6551439428281,B,3.261737264593964,0
Homosexual,Male,E,B,-21.02494227010287,B,158.14079366627692,1
Other,Male,D,E,-121.42408568843277,E,-17.911033540991035,0
Heterosexual,Other,D,B,-103.22818505511468,E,-5.354791364174282,0
Heterosexual,Male,D,E,-6.561220810646917,A,-39.60495388873,0
Other,Female,E,E,102.8862882660039,D,24.23410744937441,0
Bisexual,Female,A,A,78.2773405416277,A,-49.08786929091876,1
Homosexual,Non-binary,C,B,-200.14882047545805,C,-42.40417344122252,0
Other,Other,D,D,-46.76378737951808,A,-40.398057602051715,0
Heterosexual,M,E,A,-12.638968019264475,D,71.79483792615218,0
Bisexual,Other,B,B,-87.15160904397386,C,98.61402750687074,1
Bisexual,Male,C,D,-44.51040766089551,B,15.762660198644523,0
Bisexual,Male,C,A,53.12822287305675,E,27.98232757094142,1
Homosexual,M,B,A,-106.35620521358203,B,-88.1431294135856,0
Heterosexual,Female,A,E,-93.56085397411114,E,-64.0388199414541,0
Other,Female,C,C,-27.24137613886473,A,-9.165674048969521,0
Bisexual,Female,A,C,-82.3370056873779,E,34.57170786240965,1
Other,Other,D,D,-176.96237188242324,C,141.98640926815605,0
Other,Non-binary,B,B,17.80169502022053,B,-1.490988835423962,1
Heterosexual,Female,D,C,-12.251247398898627,C,52.57619025649502,0
Heterosexual,Female,D,D,-48.29850464632859,A,-161.57122795468507,0
Homosexual,Non-binary,A,D,7.824235807629451,C,26.859951183575916,1
Bisexual,M,B,A,-102.04837891204778,A,73.51773970557026,0
Homosexual,F,D,C,-98.81471194046962,A,-7.179321016030194,0
Other,Male,A,B,-101.43254161199324,E,-0.2611240556095822,0
Bisexual,F,E,C,142.35666101394085,E,65.04203761413869,0
Heterosexual,Other,E,E,-171.3031823761419,C,160.70772921564983,1
Bisexual,M,D,D,51.92097440888171,D,-49.591118215050216,0
Bisexual,Other,E,C,29.75289657321774,A,95.34789350111946,1
Heterosexual,Female,E,A,136.92605501873908,A,-54.83608813444156,0
Homosexual,Female,C,C,88.17745415350817,A,16.11123789627322,0
Bisexual,Male,E,A,-66.05877577105358,C,-51.75081235933072,0
Other,M,B,E,-28.801713377250245,C,95.21678967465124,0
Homosexual,Non-binary,E,E,-164.16895712967818,D,109.23108315022274,1
Bisexual,Other,D,D,32.1765923233593,B,-58.20792122060706,0
Other,Male,A,C,-134.82367055159375,D,47.22877653332549,1
Other,Female,E,A,130.25396619780054,C,-82.08373135746794,1
Heterosexual,Female,B,B,-63.648099755043205,D,-85.32949279411581,1
Homosexual,Female,A,C,174.65993364362268,D,103.91652575270368,1
Homosexual,Other,A,C,-166.55489151049332,E,52.765067704780876,0
Homosexual,M,E,C,-59.73642393800864,B,34.68977925135275,0
Homosexual,Male,E,B,3.5805824056275073,A,53.12001815237688,1
Other,Other,A,C,-51.722830815699574,A,208.35822139885144,0
Bisexual,Female,B,C,-28.43940184746831,C,-51.8428171744037,0
Heterosexual,Male,D,E,36.32370514587926,A,145.91548036099334,0
Other,Non-binary,E,A,-0.060625084748221016,B,96.32718509226382,1
Homosexual,Other,B,D,103.67624532538262,D,-23.03752254766708,1
Other,Female,B,E,-18.28295873500183,B,59.10784032793897,1
Bisexual,Other,B,D,186.92723931753946,E,-1.497838160001387,1
Homosexual,Female,A,D,115.91954526357162,A,89.92585393896177,1
Heterosexual,F,B,B,-94.43993756925464,E,-4.460836456277214,0
Bisexual,M,B,C,-50.01719691560695,E,137.91754013413433,0
Heterosexual,M,A,B,59.03287226688781,E,-70.70790745921761,0
Other,Female,A,B,-112.06367464466243,C,-31.507461999879073,1
Bisexual,Female,E,A,149.07917326294583,B,18.434650662792723,0
Bisexual,Other,D,B,115.34465420903854,E,-16.899770627691744,0
Bisexual,Other,C,C,-180.27844554474103,B,111.91390954936462,1
Other,Other,A,A,-110.813676815371,D,-4.165093290984769,0
Heterosexual,Female,A,B,-133.99489189585177,A,-23.986095586592555,1
Other,M,C,A,-8.52554538267127,A,23.917543242755343,1
Other,Female,B,B,92.97262131997998,C,23.943420696046005,1
Heterosexual,Male,C,A,44.171376838410254,C,-54.27472587576978,1
Heterosexual,Non-binary,C,A,172.80226094434857,A,93.1102254517006,1
Bisexual,Other,A,A,71.27750721605028,E,51.08436545927666,1
Other,Female,E,A,95.22128711125669,C,57.9200934934903,0
Other,Female,D,A,98.94798036777182,C,-61.8672399854247,1
Heterosexual,Non-binary,D,C,108.58221393444232,A,31.18288545635663,1
Other,Other,D,D,28.51102583913577,A,-86.49180347055395,0
Homosexual,M,A,C,-35.78077338145023,C,14.776786397608499,0
Heterosexual,Female,B,C,-53.02804955833589,C,116.04884460389515,1
Heterosexual,Female,D,A,-147.1114100638942,E,-64.58939233722953,1
Other,Non-binary,E,D,-20.434543184376473,C,56.54170355209103,0
Other,Female,D,D,-48.41636624413273,C,-32.97622120996976,0
Other,Female,A,A,-30.76538152459169,E,-64.46335663817702,0
Homosexual,Non-binary,A,B,-107.2563908018029,D,-89.31860600147633,1
Homosexual,Non-binary,B,E,122.59233565280994,B,-22.50554375389528,0
Heterosexual,Male,A,C,-115.9839831893448,D,-140.58418511791615,1
Other,F,B,A,-138.44106639548605,B,-46.50494055813459,1
Bisexual,F,A,C,116.80764129846362,B,-23.149068096319596,1
Bisexual,Male,B,D,229.27981597022784,B,41.069832414149964,0
Other,Non-binary,D,C,106.89980186236001,C,20.488009745951043,1
Other,M,C,C,-38.96841990280308,C,142.20396875890663,1
Bisexual,Non-binary,A,E,79.35229267017958,E,-63.0922396460228,0
Bisexual,Other,E,A,-2.2989094660396043,D,-19.96101228070615,0
Heterosexual,F,B,D,-21.837731433689797,C,-56.560215055067275,1
Bisexual,Other,D,C,4.962047573115767,E,-5.06719818227542,1
Heterosexual,Female,C,D,135.1981941114739,C,109.45215332398578,1
Other,Non-binary,D,D,-33.56617373935497,A,34.31403609311491,1
Bisexual,Other,B,D,67.3962570004528,B,184.5449681944852,1
Heterosexual,Male,B,D,-161.5842283375658,C,-12.468924035228463,1
Heterosexual,Male,A,D,88.58068637447951,A,8.251283034397359,1
Homosexual,Non-binary,D,A,-181.39840862154782,D,-109.76436260908035,0
Homosexual,F,D,D,-95.23018278558347,A,172.24881417917973,0
Bisexual,M,E,D,-268.70238065148743,D,-106.52387129413871,0
Bisexual,Female,D,C,64.05450592178379,C,29.072996292319274,0
Heterosexual,Male,A,C,44.846823743196104,B,-90.89649558870784,0
Other,Female,B,A,-80.85108176712245,C,-70.78238680564404,0
Bisexual,Non-binary,D,C,47.07674004825325,C,-124.94564157330481,0
Other,Female,E,D,-20.336602880543957,C,35.2416145326717,1
Other,Other,A,C,64.28188664517481,D,214.77800801219314,0
Bisexual,Other,C,E,-66.43850395027326,B,-57.62608023156505,0
Other,F,B,C,-187.3751364221941,B,2.6018811166306564,0
Homosexual,F,C,B,-39.60733803355896,A,-133.3164833501926,1
Bisexual,F,E,B,46.06847693951633,B,-88.47565045478188,1
Other,Non-binary,C,D,10.798425516836263,A,-176.57731308579406,1
Heterosexual,Other,E,B,-86.50851594846215,E,-14.869248011936264,0
Homosexual,Male,D,A,-32.96288776236527,B,156.24660274735595,1
Other,F,E,B,60.27726710787944,D,23.607583239676643,1
Other,F,B,B,-47.85140117609913,B,-30.454485714521663,0
Bisexual,Female,E,D,174.0805478218211,A,-69.29372310183489,1
Homosexual,Other,A,E,30.10445815939582,C,36.918418481915054,0
Other,Male,C,B,39.24735139606798,D,-51.403091195163256,1
Other,F,D,E,12.309603046834363,D,108.01135098503254,0
Homosexual,M,A,B,-126.97190772230988,A,0.15963989589521974,0
Heterosexual,Male,C,C,-117.54442209346485,B,-189.1301504565023,1
Other,Female,A,E,-138.9580453626234,D,-40.58943285861661,0
Bisexual,Other,B,A,49.98819878162437,B,-152.09492673457146,1
Bisexual,Non-binary,D,B,-262.678024962049,C,-9.854388854117907,0
Bisexual,M,A,B,-24.455149665432057,A,-67.79107631546395,1
Other,Non-binary,D,E,-34.10107176842795,A,-109.49381218029221,0
Homosexual,Male,A,A,146.46469810521225,B,178.65927723554597,1
Heterosexual,Other,C,C,-130.35309484491825,C,70.10668944028899,0
Other,Other,D,A,-94.49334114652889,A,123.95140105092028,1
Bisexual,Female,E,E,-141.8414132348309,D,-162.52970134501288,0
Bisexual,Other,A,B,-78.2669785670056,A,-58.55153047315784,1
Bisexual,F,B,A,129.9869979831955,A,-0.689108942220077,0
Heterosexual,Female,E,D,-173.4707523623382,B,-72.04076556266207,1
Other,Male,B,C,120.12025806443145,C,-124.60349308224194,1
Heterosexual,Non-binary,D,D,51.598015843999065,E,-153.50628677519686,1
Homosexual,Other,C,C,65.50971941384725,B,46.7169551523296,1
Heterosexual,M,C,C,144.94212863219082,C,84.44511673631574,0
Other,Other,D,E,-119.75756947881678,C,147.1609977959973,0
Heterosexual,F,A,D,169.68825865661933,B,-2.7936247281394264,0
Homosexual,Non-binary,A,B,210.02035003815683,A,106.80396214834711,0
Bisexual,Male,B,C,33.81965974487436,E,60.275551903017686,1
Other,F,D,A,-48.15496899901411,B,-0.2895978425873062,0
Other,M,A,E,62.289627040146655,B,27.614262815639584,0
Bisexual,Other,B,E,67.7452450796238,B,160.29966694364296,0
Other,F,A,E,-31.71002586135464,D,-142.2655562207332,1
Other,Non-binary,E,B,109.36070619382477,E,67.21310536915222,0
Bisexual,Female,B,E,-3.0868017069495295,D,-42.36542358286861,0
Homosexual,Non-binary,E,E,-1.8007476722323006,A,103.11975105792186,1
Other,Non-binary,D,B,-64.47500484921633,D,109.93435018448294,0
Bisexual,Non-binary,A,D,-31.561980183826442,D,67.01819927939215,0
Other,Female,B,B,-96.94208006762676,A,61.16151162882014,0
Heterosexual,Other,A,C,64.30460449867341,C,-5.462157172108794,0
Other,F,B,C,59.61626724344439,A,66.27127242181835,1
Heterosexual,M,B,D,22.42453695120446,E,-30.0468675564466,1
Homosexual,Other,E,D,145.9867733224333,D,72.56437248710576,1
Heterosexual,M,B,D,-64.05364586887782,B,41.80366147919951,0
Homosexual,F,E,C,-48.965830943680345,D,-37.8378691532682,0
Other,Female,D,E,148.1305351209047,B,123.12244324339645,1
Heterosexual,Non-binary,A,C,74.73126659519232,E,25.84261948116971,0
Bisexual,M,E,C,98.7804277459236,D,-90.22121870137066,0
Homosexual,Male,D,B,-267.0261204726469,A,37.975361948792774,1
Bisexual,Male,B,A,-31.782180563293466,E,65.9063127721588,0
Homosexual,Female,B,A,67.91130322463508,A,59.70031327077254,1
Homosexual,M,B,A,-8.92454350591853,A,11.610209292670469,1
Homosexual,Non-binary,D,C,129.6698700941645,D,-9.304399883847598,0
Other,F,B,C,84.93427256013301,D,40.11538712078925,1
Heterosexual,Other,E,B,69.05114505243213,C,49.922150756289554,0
Heterosexual,Male,D,E,81.66004391436668,A,-116.18364151011929,0
Heterosexual,M,B,E,84.20367437131088,C,89.03267702212628,0
Bisexual,M,E,D,-120.35459527166852,C,47.72758826533738,1
Bisexual,Male,C,E,-25.613726199775737,D,3.4188349005703147,0
Other,Male,E,E,71.02357942320154,A,28.123043806081903,1
Bisexual,Non-binary,E,D,-16.887184025512315,C,23.94858455318736,0
Heterosexual,F,E,C,58.27933029044047,C,15.152201091560249,1
Heterosexual,Non-binary,B,D,-86.377933573981,B,41.461431756035,1
Homosexual,Male,E,B,46.021796260078304,C,40.86765692430733,0
Other,Male,E,B,38.2967316269791,E,7.856091512879611,0
Other,Other,A,B,11.23243291708775,C,-124.4972062012685,1
Heterosexual,Other,E,A,-90.45994041042434,A,-265.84400595420277,0
Homosexual,Non-binary,A,A,-7.641869327821348,A,-42.00606756336149,1
Other,M,B,E,72.06379774475731,B,31.541615982780463,0
Homosexual,Female,B,B,270.996365272763,A,25.342929656642827,1
Bisexual,M,E,D,-110.32184201921558,D,-38.54695759595325,1
Bisexual,Female,C,A,-70.69397600255691,D,-42.194071468710696,1
Bisexual,F,D,D,-224.3286803341025,D,62.54872150494677,0
Bisexual,Other,C,B,52.79249953903743,C,78.11304561723958,0
Homosexual,M,B,C,-19.748709739796237,E,108.58071017296231,1
Homosexual,Male,E,B,138.8103756458147,E,-97.56719911391433,1
Other,M,B,D,89.05518079909594,D,11.279450549892331,0
Heterosexual,M,C,C,-142.13311369658055,B,113.31255087202912,1
Heterosexual,Other,E,D,-194.83562861508915,D,-24.98374277394842,1
Bisexual,Other,D,E,-27.046905363668916,A,-65.24126241739287,0
Homosexual,Female,C,E,104.60175804062747,B,84.85815747681067,1
Other,Female,D,C,49.6443567252426,C,-135.74183690034988,1
Homosexual,Female,D,A,-25.229728563597675,E,-11.287523917597872,1
Other,Non-binary,D,D,-53.83813940384008,C,-113.36135988170292,0
Heterosexual,M,C,E,76.22360982941429,D,-19.175518664710502,1
Heterosexual,M,C,D,-46.151363815876024,A,-48.77216702722793,1
Bisexual,Non-binary,B,B,63.4476477315035,E,-177.68004016110032,1
Homosexual,Non-binary,A,B,0.2731145704400865,C,0.020407238845438314,0
Other,Male,D,D,65.78896072352278,D,-259.7810459592,0
Bisexual,Other,D,E,-104.91447447487336,B,-183.3459064920851,0
Bisexual,Non-binary,C,C,121.17669707997938,D,54.572999051215085,1
Heterosexual,F,C,B,16.23505984849229,E,140.70117475465202,0
Heterosexual,Female,B,D,-21.905810575210346,B,-8.831909691651472,1
Heterosexual,Other,C,C,126.49167932442163,D,61.62947167984852,0
Bisexual,Female,B,A,5.383425522019235,D,142.30407440026133,1
Other,F,A,C,-99.58642810096488,D,-115.38909152237262,1
Homosexual,Other,A,D,57.274268425725204,C,16.413304822175505,1
Heterosexual,Female,A,E,126.59142495036228,C,110.36969715658805,1
Homosexual,F,D,D,107.86080678564278,E,-168.34478489540078,0
Bisexual,Other,A,A,132.53634659173449,C,15.121235935598806,1
Homosexual,Female,D,A,-77.7938040490903,D,37.415830194555554,0
Heterosexual,Other,C,B,74.71066369086394,E,-75.5130126416352,1
Bisexual,M,A,C,70.25999068059569,E,-109.55370755269884,1
Heterosexual,Female,A,B,103.25030738375523,D,181.19412781386978,1
Bisexual,Male,B,E,146.65181884679714,D,45.025683648605124,0
Other,Non-binary,B,A,82.40412914543863,A,213.42003296542168,1
Other,M,C,E,60.60264515276557,A,-106.32844324361199,1
Homosexual,Non-binary,A,D,-92.25913852172658,D,114.10488120578961,0
Homosexual,Male,C,D,111.37176489390426,D,-213.28074381887143,0
Heterosexual,Male,A,A,-182.37121815411606,B,111.4726400565272,1
Bisexual,Other,D,C,-266.01829632493826,D,32.20798481111331,1
Other,Male,C,E,22.52866210794847,D,-64.14862701443764,1
Heterosexual,M,E,D,-52.333824566164544,B,95.42872526765677,0
Heterosexual,Non-binary,A,C,-3.893996091464172,E,50.12152991516733,1
Other,Non-binary,A,E,8.118151288789837,A,-16.77451380004726,0
Bisexual,Male,C,A,-52.31787851037787,D,-46.37769705602788,1
Heterosexual,Other,B,D,-140.54968082206332,C,-74.05956654511102,0
Heterosexual,F,A,E,73.68659189871997,D,-37.583666441006244,0
Homosexual,F,B,E,-8.287754923599687,A,-80.87264778225483,0
Other,Non-binary,B,E,-120.74114959023134,D,-120.10640852545205,0
Bisexual,Non-binary,B,C,60.09665508775227,C,135.19509741376152,0
Other,Non-binary,A,B,-26.35850003328601,B,-21.891649782769733,1
Heterosexual,Non-binary,B,C,-104.3310118181565,E,-96.95304021834814,0
Other,Non-binary,C,A,-68.58114938477684,D,123.74712704840383,0
Bisexual,Male,C,A,-69.66432283784147,B,46.77494352635824,1
Bisexual,Other,E,A,32.22956119933158,A,-196.8686680767466,1
Heterosexual,Other,D,B,111.96634557344656,B,59.712598078182346,1
Heterosexual,Female,C,A,70.75746925347394,D,4.884256671941857,1
Bisexual,Female,C,B,190.06845412120902,B,0.6503141698082764,0
Other,Other,A,C,175.25074325349004,A,108.57249115097618,0
Homosexual,Male,D,A,-80.0412615405703,B,-106.07469170818796,1
Heterosexual,Male,B,D,60.79461967701295,A,-116.10257349948918,1
Heterosexual,F,C,D,-33.06413834763178,C,-176.51364763265687,0
Other,F,D,A,-4.395737201726919,E,-53.92670800377286,1
Bisexual,Other,A,A,-31.148525329982707,E,-6.587547215561111,1
Homosexual,Non-binary,A,B,-12.945669267815635,D,58.38456359051002,1
Heterosexual,M,E,A,-88.28330380527369,C,-64.00703850385023,1
Homosexual,Non-binary,E,C,-222.42982935493,A,143.77460906541327,0
Heterosexual,M,C,C,145.5406997358554,B,-63.52299538952394,0
Heterosexual,Male,B,A,18.271127966813594,C,-49.58907399645571,1
Homosexual,Female,C,B,-21.551293390736824,B,-139.52840860197279,1
Homosexual,M,D,D,101.55484955232095,C,67.15382862154952,1
Homosexual,F,D,A,26.366345978015904,A,-179.1065727116965,0
Homosexual,M,A,E,-89.33243417458056,D,136.2967942495866,0
Bisexual,M,C,C,-59.3400058138014,B,39.59882441712814,0
Homosexual,Female,D,E,178.42243772274105,B,-59.44560940940779,0
Heterosexual,Non-binary,C,E,-8.280696497141541,E,105.25776479808624,1
Heterosexual,Other,D,C,173.1820933560461,D,-74.77398644654856,1
Heterosexual,Other,D,A,75.17958788162737,E,134.6508316197061,1
Other,M,A,A,-88.47253119932405,E,42.82471072895126,1
Bisexual,Other,E,A,130.94910363877744,C,76.70019295545403,0
Homosexual,Non-binary,A,A,9.294968217829728,B,-54.38956568213945,0
Homosexual,F,D,B,-69.59036986853798,A,-9.0432205563828,1
Other,Other,C,B,-26.13447313976928,B,-185.67648502859478,1
Bisexual,M,D,E,74.79134250166086,A,-60.77913413167045,1
Heterosexual,Male,D,A,-144.27202309984025,A,-38.552832330202705,1
Homosexual,Female,D,B,-246.63698119841325,E,161.93702650890614,0
Other,Male,C,E,-28.420752489744256,A,-12.059491002550697,1
Other,Non-binary,A,D,-157.95737291355908,C,91.0508480911071,0
Homosexual,Male,E,C,-110.90149311484126,E,-146.84640661109395,1
Other,F,B,D,106.82017622022822,D,-28.593104112336697,0
Heterosexual,M,D,B,103.17342152739997,B,-140.81759662631373,1
Other,Female,C,C,35.41467297993901,A,94.22400261726406,1
Heterosexual,Non-binary,A,D,-93.61547628464878,D,81.57001735649946,0
Heterosexual,Other,E,B,-152.7119674559723,D,58.32270052348332,0
Bisexual,Female,A,A,-5.649790177602221,B,117.86523448268073,1
Other,Female,E,A,14.939518665026721,B,137.1651914297767,0
Bisexual,M,D,E,59.73762056059957,E,137.77020080168967,0
Other,Non-binary,C,A,129.78238710828467,E,-23.638679281996367,1
Heterosexual,Male,D,B,-57.04380950162331,C,172.0633965903507,1
Homosexual,Male,D,C,59.90878633770678,C,99.25714851250625,0
Heterosexual,Non-binary,E,C,81.87464394119904,E,-135.94697638349487,1
Homosexual,Non-binary,E,D,143.66347987519526,A,202.26613459805242,1
Heterosexual,F,B,A,-7.69302834266096,D,129.47509789243279,0
Homosexual,Female,A,E,-27.02694182649631,D,-17.25944821120662,1
Other,Male,E,B,-269.41415213634707,E,169.98882303831036,1
Heterosexual,Male,A,B,79.09069033956152,B,-92.64947965685906,0
Homosexual,Other,B,A,-104.79604905975202,B,-1.1497300336649512,1
Other,Female,C,D,-138.13875785994506,D,-48.55610296263169,1
Bisexual,Non-binary,B,E,-2.7939825877337556,C,117.83048277125867,0
Bisexual,Other,C,E,-148.9254959774035,D,-35.77072742761249,0
Bisexual,Non-binary,E,C,-19.335397712573947,A,-282.78223605814327,0
Other,Male,C,D,16.428340212943343,A,-41.82665076272835,1
Homosexual,Non-binary,B,C,188.33638882530548,C,61.396678404071956,1
Homosexual,Male,D,A,-104.82944353822703,A,-81.84075088744804,0
Homosexual,Male,D,C,-30.835272994748703,C,183.18091835064368,0
Bisexual,F,B,B,-93.4692421089809,D,33.27866646499187,0
Heterosexual,M,B,B,3.5902688389953514,E,98.27400183764802,0
Heterosexual,Other,C,B,29.314807565291524,A,-173.23867211764858,1
Homosexual,Other,C,E,-124.414685978722,B,-46.55328099051769,0
Heterosexual,Other,B,A,-85.69674817929105,E,85.65879611547155,0
Homosexual,M,E,C,12.656831702528681,B,178.41107733582987,1
Heterosexual,F,E,A,96.05772637789616,C,131.39267632853532,1
Bisexual,Non-binary,C,E,90.93370725623515,D,-4.261611561214014,0
Other,F,D,E,10.273787108500123,A,6.506417790233557,1
Bisexual,M,B,B,-60.562663199572455,C,-4.650473703798241,0
Heterosexual,Female,C,C,-148.8280972725942,E,23.41992773172957,1
Other,Non-binary,A,C,6.9887023266271715,B,18.373938235642758,0
Heterosexual,Other,C,C,-48.52568573542557,D,-80.90666184305987,0
Heterosexual,M,D,D,-64.35384519612774,B,-52.99269594640544,0
Other,F,B,D,31.784824563754004,A,-17.284228551901872,1
Bisexual,Other,E,C,39.761428329094244,E,-59.99789497207105,0
Homosexual,Female,C,B,-107.98455804806525,A,73.89789343224164,1
Homosexual,M,B,E,23.087705627518414,A,-38.607201103556626,1
Bisexual,Male,C,A,147.7258650869774,A,-103.67784164603808,1
Bisexual,Other,A,A,-93.36582884266413,D,102.3435384106,0
Homosexual,Female,E,E,-41.309107564841966,C,-22.792486098483412,0
Other,F,A,E,75.56982388473921,B,-91.21060068464062,0
Homosexual,Male,C,A,75.72265781466245,E,82.81419483348486,0
Other,Male,D,C,-191.6807431037292,E,-142.79868056625102,1
Other,F,D,E,-95.45688195442882,A,-51.639696089748796,1
Other,Male,B,C,-75.86683912053161,E,91.41744879150185,0
Heterosexual,Female,C,D,86.12723721653654,C,-153.58922292407843,0
Bisexual,F,D,D,8.16538580289635,C,-86.20365549789368,1
Homosexual,Other,E,A,14.079840919386061,A,-34.07136662240171,0
Heterosexual,Non-binary,B,A,61.48257920426422,A,-90.49841173403995,0
Homosexual,Other,C,D,44.80888157341752,C,-115.95577370608471,0
Homosexual,Male,D,C,-118.70135406188037,C,-79.07631663331448,0
Homosexual,Other,E,B,73.45639612608989,B,75.16063407195797,0
Homosexual,F,E,C,71.13678704402972,B,-7.541613564887546,0
Other,Non-binary,D,E,14.07155239686548,E,-211.3451662785601,0
Heterosexual,Female,A,B,116.74620970101124,C,-104.36389973067102,1
Other,Other,B,B,-4.033279881113503,D,-93.78289981800198,1
Bisexual,Non-binary,C,E,-12.254795896078756,B,40.821730815551405,1
Heterosexual,F,D,A,-79.5221997642342,A,10.026575613295117,0
Homosexual,Female,A,A,-81.94574391325484,B,61.661214592067395,0
Homosexual,F,C,D,98.77403412863787,C,-86.56175545802263,1
Bisexual,Other,B,A,4.318534783744314,A,46.25547314020964,0
Heterosexual,Male,C,C,-156.14893671461024,C,120.45120399381604,0
Homosexual,Other,E,D,-14.790117286441157,A,-21.18430276390242,1
