nationality,civil_status,Veteran,sexuality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
UK,Divorced,Yes,Heterosexual,-0.9082148090854943,B,A,C,D,-21.269252015744215,-29.26096679017041,19.22515621215412,1
Other,Married,Yes,Homosexual,-61.54360941959541,D,A,D,E,166.70815548714543,185.46934498259247,-96.6584242964722,0
India,Married,Non-Veteran,Other,-143.2534361960733,C,A,E,E,-103.35741269366791,15.107911339669636,-34.73225046866996,1
Other,Single,No,Homosexual,89.68167687327225,E,A,B,E,-14.554993031598903,-47.012310530301384,-40.9477920201465,0
Mexico,Divorced,No,Other,1.7822320236696583,C,A,E,A,58.00442026143303,-7.276590698878166,58.319230788946044,0
Other,Widowed,Veteran,Bisexual,105.0051614069345,E,E,D,B,-43.66968222677606,125.16636192238042,-55.412259536421146,1
Brazil,Married,Veteran,Heterosexual,-244.3601892191056,A,E,C,B,-72.51458890114897,-6.2841458655807525,142.3880406661991,0
US,Widowed,Veteran,Bisexual,75.29687263406922,A,E,A,A,77.07605935837866,-90.09549939526114,99.59681031367138,1
US,Married,No,Bisexual,-146.34385544626844,D,B,C,E,-128.58644621166343,21.91361498406822,93.60533386442185,0
Germany,Widowed,No,Homosexual,-50.978866084739494,D,C,C,B,-14.848430873957849,-44.71115176485843,253.99968951387478,1
US,Married,Non-Veteran,Homosexual,-23.085827933231847,D,B,E,A,-17.06734020940005,-53.46108954489669,141.8590190322068,0
UK,Widowed,No,Bisexual,149.77795884323092,B,E,C,A,-96.1663922097152,-139.51253281802119,-81.01181005967143,0
Germany,Single,Veteran,Homosexual,-158.77100671107817,B,B,D,C,37.7002939267522,-39.70138177180027,-63.87595591515459,1
UK,Married,Yes,Bisexual,-99.63259508588453,A,A,B,A,-235.3544812068539,128.60827783400833,-59.30726926940877,1
Other,Married,Non-Veteran,Heterosexual,140.3433182321366,B,E,E,B,81.8325347907799,-96.36188124582922,-98.85178849967761,0
Brazil,Divorced,No,Heterosexual,-60.6846750309176,C,E,C,A,34.01475877720174,-67.48833413063366,108.91041851443062,0
China,Married,Veteran,Bisexual,-26.66363626127405,A,E,A,D,-198.8994637846592,-9.961795528791551,2.6242172684306366,0
US,Divorced,No,Heterosexual,184.66655250885532,C,D,C,A,-73.37830302335459,-105.37907412502365,-149.23229569065995,1
Brazil,Single,Non-Veteran,Homosexual,-30.0988648888674,E,D,E,E,71.36987149157218,-137.83665163322686,-14.312066078416445,1
Germany,Divorced,Veteran,Bisexual,-165.75110355758133,D,E,B,D,86.0576696544528,41.375994700007354,-103.99858334445054,0
India,Widowed,No,Heterosexual,96.55617675860717,D,B,A,A,-86.91475833448524,22.24636761813283,7.576266755649515,1
Germany,Widowed,Veteran,Other,120.15487263050288,D,E,C,E,-11.475326820096864,13.558599793515674,67.85867164289371,1
China,Single,Yes,Other,2.4870856476032293,B,D,E,B,142.31992838658715,-1.461436612433128,63.83424656545472,1
Brazil,Married,No,Other,57.472578651040926,A,A,D,B,-4.0331089434074325,145.5858466586499,-116.30263323173024,1
US,Single,Non-Veteran,Homosexual,8.146235717042778,A,E,D,A,-113.99434110691058,-27.894182539114166,92.17564009432702,0
Brazil,Widowed,Veteran,Other,65.6237116243361,A,D,C,D,126.91325496015216,23.96694116671756,73.57061573477085,0
India,Married,Veteran,Homosexual,-10.174923325335053,E,C,B,E,-124.9577696066192,-25.48185191598017,-10.326544804590966,0
Germany,Divorced,Yes,Other,-59.20534648620407,C,A,E,E,42.80992271983449,109.32018387255687,122.52956367396506,0
Germany,Divorced,Non-Veteran,Heterosexual,23.868552108652977,C,B,C,C,50.496778045101145,110.83747178218242,-78.68347395078106,0
US,Married,Non-Veteran,Other,-147.72835056044505,A,A,D,E,39.972856641912394,37.084405688848896,-62.61966196963109,1
China,Divorced,Veteran,Heterosexual,60.38509743776454,E,D,A,D,-14.18569572849509,-75.31832166815332,-134.8513368437238,1
China,Widowed,Yes,Homosexual,19.550932245744022,E,A,B,A,82.39903511480763,-177.76944431714637,37.52715668736951,0
Germany,Single,No,Homosexual,-14.184780185154452,C,C,B,E,-28.469685978067318,34.25686679964235,-134.00139699471615,1
Brazil,Divorced,Non-Veteran,Other,-26.59447002229114,C,B,A,D,239.4214475251813,-71.86631233985203,-40.73555334811546,0
Germany,Widowed,Non-Veteran,Bisexual,94.22389248828476,D,E,B,E,-2.987832295642105,-73.80830723826506,141.5652220545911,1
China,Married,Non-Veteran,Other,-63.1913961868241,D,C,C,A,-42.21678053908703,-18.028735203710493,-252.6715528806426,1
Mexico,Widowed,Veteran,Other,-149.44169003294917,D,D,C,B,-37.74304299194935,7.29255272911801,-73.26831881458608,0
UK,Divorced,Veteran,Other,9.439671829482451,A,C,C,A,-64.18115508769533,-83.52982576896322,64.58441918848548,1
Brazil,Married,No,Other,157.87206974661137,B,B,A,B,117.06930220165165,-32.707204687695096,-55.0005952745622,1
Other,Married,Non-Veteran,Homosexual,-167.28579226182015,D,C,A,E,-76.36565647053763,27.556658699385935,76.54145838111674,1
US,Married,Veteran,Bisexual,-131.34423235279692,B,A,D,C,-123.28018922277282,73.19341432124818,-95.21639307732013,1
Other,Single,Non-Veteran,Other,222.7851144673239,D,C,C,A,154.09041936301148,139.94364393942226,128.54764186280667,0
US,Single,No,Other,-39.54833446363789,B,B,A,B,59.57182041797468,185.1179332160536,-106.94518361562598,1
Mexico,Single,Veteran,Bisexual,-168.22606794141018,D,B,A,A,-207.5688758218985,-194.78893715823858,-90.74576120980929,0
Germany,Divorced,Non-Veteran,Bisexual,116.9387395939959,B,A,A,D,-95.16256940255805,63.489009567889845,-49.63843301641595,0
UK,Divorced,Non-Veteran,Homosexual,52.153995623545576,B,E,E,B,-141.9752666360156,-184.98783881451374,-99.63826507444868,1
Mexico,Widowed,Yes,Heterosexual,-31.15992481038553,C,A,A,C,-176.0035983629012,83.15898228620847,-9.493553449997881,1
Mexico,Single,No,Heterosexual,-11.069513934899328,C,C,E,C,-93.05566335812104,-7.557402391888692,-18.54105565283622,0
India,Divorced,No,Homosexual,188.64746988746217,E,A,D,E,-71.21144664258622,-92.34526593640555,-28.368364986072436,1
Germany,Divorced,No,Heterosexual,-50.45055995626515,E,A,C,E,17.633627634304254,15.723307647663567,-172.24008609724396,0
US,Single,Non-Veteran,Heterosexual,-7.3918430327334725,C,E,B,E,-175.23668485051184,124.75067790433185,81.55481458715593,0
Brazil,Single,Non-Veteran,Other,-52.24229058716476,E,C,C,A,-73.39466047586298,-116.53862874522443,-112.38516656250057,1
UK,Divorced,No,Bisexual,-2.3919101295096143,B,A,D,D,299.12701333226244,199.5261056352532,82.22961432946867,1
China,Widowed,Yes,Other,3.7552120280322905,D,A,A,A,49.52524755164756,-172.159041150012,-174.5274303044966,0
Brazil,Single,No,Other,-17.215600031583282,C,B,D,A,-167.71959506084,9.925895777163369,-110.73444453705798,0
Brazil,Widowed,Yes,Homosexual,147.41271712830493,E,C,E,B,-142.53960695252047,77.72180716685642,-115.86458255933285,1
Other,Single,Yes,Bisexual,-30.575438138031952,B,D,D,C,90.91087754204132,-54.82299883052774,38.03649637807981,0
Brazil,Married,Yes,Bisexual,41.99088887991011,A,B,E,A,121.11540734032118,18.37849035161995,84.5139974430701,0
UK,Widowed,Non-Veteran,Other,-143.08065284859856,C,D,B,E,75.26606465904379,33.85744107761067,94.27544396726653,0
Germany,Widowed,Yes,Homosexual,30.788574420922686,E,B,D,D,-75.13694521397709,-21.89985661797764,-136.03089193658886,0
China,Married,Yes,Bisexual,91.11223050900894,C,A,A,B,-49.1660905499985,-10.867173579589819,-127.05323709388321,0
Germany,Married,Veteran,Homosexual,-8.631120616878968,A,C,B,E,31.351152099113765,-108.52492603552997,-25.670596042077005,0
Germany,Divorced,No,Heterosexual,7.423420944283669,E,C,A,B,88.0487776732796,8.018121984763177,25.092045952168927,0
Brazil,Single,Non-Veteran,Bisexual,-140.2763982549879,B,E,D,C,169.57106402661714,-21.36740848803865,127.76915783859567,1
China,Divorced,Non-Veteran,Other,22.55766999127857,A,E,E,A,22.277797479345484,39.50919743235383,59.10425711274583,0
India,Widowed,Veteran,Homosexual,58.95504979448746,B,D,D,B,99.05836891496111,73.3209257083984,97.57983349882312,0
India,Widowed,No,Bisexual,127.62199048198933,C,B,D,C,147.19734193544107,-73.07443733701378,96.82790854819923,1
US,Divorced,Yes,Bisexual,-93.50786267713615,D,A,C,D,-1.8088700221549003,83.05521175976104,-68.08259454523184,1
India,Single,Veteran,Bisexual,81.35062755465638,E,D,E,A,86.35036879636866,130.06963878701427,-123.03254737704454,0
Brazil,Divorced,Non-Veteran,Other,-144.92849872883477,D,B,C,E,29.646668054064445,-208.7369681072159,-92.85439895173278,1
China,Divorced,Veteran,Bisexual,-140.97053457285358,B,B,A,A,36.57819824952868,6.191424918229885,167.07217138392076,1
US,Widowed,Yes,Heterosexual,-61.664342775222394,C,D,B,E,-120.72795915023194,-60.81095098115969,-39.93083516474089,1
Germany,Divorced,Non-Veteran,Heterosexual,23.460086837401107,D,A,C,E,166.44268404749747,-114.31655128207765,54.655411102733666,0
Brazil,Single,No,Homosexual,-163.53750509564534,B,E,C,D,-78.70147495378438,32.97391148549056,76.20054789933351,0
Mexico,Divorced,Yes,Homosexual,82.64632366110031,E,B,E,B,-31.372912443466966,-127.30307809485288,19.269752851804466,1
China,Divorced,Yes,Bisexual,88.84888440905019,A,B,A,A,-26.75134902968853,14.176595818157864,74.23501022225226,0
Germany,Married,Yes,Bisexual,-65.03379457303873,B,A,D,C,88.06988298729712,-205.4292411989724,147.59127950284716,1
Germany,Married,Non-Veteran,Other,49.354133307368826,D,B,E,A,-182.64926513121017,-144.17911312826385,25.315347345481282,1
US,Divorced,Veteran,Bisexual,-10.393565754613968,D,B,D,B,-133.6839563745986,-25.326783429189202,-33.97902577460663,1
Other,Single,No,Other,70.58276297623155,B,A,C,A,25.171207929480616,64.09938734680904,-68.06876855836315,1
UK,Widowed,Non-Veteran,Homosexual,155.7325394115019,D,E,B,E,-143.11063776927085,-27.62483004087392,-126.49463743892888,1
US,Single,No,Bisexual,-61.40308006170291,C,A,E,B,-85.98698410741633,38.13440789645856,43.960535491947326,0
UK,Divorced,No,Heterosexual,50.549142546831504,C,D,C,C,3.219164187732178,221.0248517355744,-10.113200543830656,1
China,Divorced,No,Heterosexual,-219.2942932072145,E,E,E,E,-87.9638873513194,67.85764545263018,-119.18117956211805,1
Brazil,Single,No,Bisexual,-85.76521696954974,A,E,A,A,132.31691578863158,179.10144550053175,108.7571355185795,0
US,Divorced,Veteran,Bisexual,1.17732126013471,D,C,D,A,-61.68404689652935,25.010303015753237,-176.28309964760237,0
Other,Single,Yes,Bisexual,152.7747560017259,A,E,C,D,-78.98110715289131,-16.028458006282854,79.09689309872229,0
Mexico,Widowed,No,Homosexual,-36.379672639167524,B,D,C,A,-177.68872024688253,61.31268037027515,80.7085213553199,0
Germany,Divorced,No,Homosexual,58.03430196980938,E,D,C,D,61.54701847390393,-12.020432097256489,-139.79440590259696,1
UK,Widowed,Veteran,Bisexual,-0.9808997772099131,B,D,E,E,12.110787302231543,-51.580511155698815,-130.1778304637373,0
India,Single,Veteran,Other,21.220710391801152,B,E,E,A,-84.34931889635271,-50.20367560958836,-111.18836788850221,1
Mexico,Widowed,Yes,Bisexual,165.93253103742177,D,B,E,B,-152.59031330049083,-70.9251117066645,-132.76289146691968,0
Mexico,Widowed,Non-Veteran,Homosexual,-156.93658454861935,C,E,D,E,-14.9239871453507,-99.38650397930658,-112.81518183034866,0
Germany,Married,No,Homosexual,53.05106506083778,C,D,B,D,46.57228312084593,47.763584382070576,-71.50889125953987,0
China,Single,Yes,Heterosexual,47.053006814128246,B,C,E,C,-51.08509824476882,-165.09592990990419,-85.80564654761153,0
Mexico,Single,Yes,Heterosexual,76.48659698582199,D,A,C,E,-60.466739662258504,-82.17794457089221,66.41180008512873,1
Brazil,Widowed,Veteran,Heterosexual,-74.91501417339362,E,A,B,C,74.65886483186266,87.31619656650409,105.16809742581606,1
Mexico,Single,No,Other,7.785328512554505,D,E,D,D,207.2907188385414,68.59814645509866,-122.655719792874,1
US,Married,Yes,Bisexual,65.94242502717533,C,A,D,C,-74.23875668328563,273.7140701970173,-51.04739552993941,1
UK,Married,No,Heterosexual,-199.208364282469,A,A,D,C,-80.15542554249832,93.48541316445375,-167.36948282527266,0
Germany,Married,Yes,Bisexual,113.68129176806252,D,E,B,A,102.42007614123824,-5.24377901491525,-122.87630659216727,0
Other,Single,Veteran,Bisexual,-40.67278151887705,B,E,E,E,-12.603052457077737,20.147696785003074,-20.79039272961874,1
UK,Divorced,No,Heterosexual,-120.4655261628046,A,D,C,C,-6.966606381526355,-78.40614159929214,137.27008307881349,0
Mexico,Widowed,Yes,Bisexual,-236.4454625332729,E,C,D,E,76.95120854073494,-125.13387301407796,157.98913437389405,0
Other,Married,No,Homosexual,-2.7195589003050817,C,E,E,E,163.42439150888598,41.50419013853011,6.798969956048638,1
Other,Married,No,Heterosexual,-95.08554073391484,D,B,A,A,98.16528738067596,19.351472637598267,-47.09384083688916,0
Brazil,Single,Veteran,Bisexual,-10.787552135253344,C,A,B,E,-254.77342614044133,-105.81306956936093,72.06788566091448,0
China,Married,Yes,Homosexual,12.547111255478061,D,C,B,B,119.29111508731518,58.480089060590146,102.04896968266969,0
Mexico,Widowed,Yes,Heterosexual,-1.4942820911650714,D,E,C,B,36.61295220443924,3.1966639251642968,-192.11063280002202,1
Other,Widowed,Veteran,Homosexual,188.6862860012096,B,B,D,E,178.8258486819687,-14.29732865963061,193.19424797707785,0
Brazil,Divorced,Veteran,Bisexual,-14.538649694172545,B,B,C,D,4.627398916043319,-37.1170990995716,14.411027411370597,0
Brazil,Widowed,Non-Veteran,Bisexual,-97.94652658272665,B,E,E,C,-18.264102000535328,-49.88227733765789,-2.061594418724636,0
Other,Widowed,Yes,Homosexual,81.15462124257697,C,E,E,E,-59.02112768929671,10.841317894026103,110.49583953184236,1
Brazil,Divorced,Non-Veteran,Bisexual,86.44276677274681,D,D,E,B,-172.5077927231818,-3.28033211820731,-54.84535618526157,0
US,Widowed,Non-Veteran,Heterosexual,-30.379970831091164,C,C,D,B,-1.0846640950691304,42.581091142259766,25.957906582548308,0
Germany,Widowed,Non-Veteran,Heterosexual,146.64117997916202,B,C,B,D,132.42532623680097,89.0447965580879,38.4393361266251,1
Other,Divorced,Yes,Bisexual,265.83075447538073,C,C,A,E,106.85369054056832,-53.88992927008709,-79.16928136138289,0
US,Widowed,Yes,Other,122.26054916506264,E,C,B,E,-171.4022420957364,-77.74089644394088,-31.18573852558652,1
US,Widowed,Veteran,Heterosexual,68.73838662984001,B,B,A,C,-110.59041464282504,104.300713464798,77.57564478305538,1
US,Single,Yes,Other,153.79999464018164,E,A,D,A,12.912284529500301,27.98426084821556,-136.3224771305211,0
Germany,Widowed,Veteran,Heterosexual,125.87968350302418,D,E,E,E,9.204968700125283,137.9243585598069,74.88187512369065,1
UK,Single,Non-Veteran,Bisexual,-6.184125148839658,A,B,E,A,-42.14071323920342,108.90402740054593,35.7231049713601,0
India,Single,Veteran,Bisexual,1.1683315082783692,D,B,E,B,2.323193681836364,-175.494851598908,8.493617625197757,1
Mexico,Divorced,Yes,Heterosexual,-202.50491941480382,B,C,D,A,15.799774405714093,-26.417338762701476,86.73233834132925,0
UK,Divorced,No,Other,-195.281832869347,E,B,E,A,141.69459755232558,-101.28839964604572,231.83470506593576,1
China,Single,Yes,Homosexual,-151.26089057135675,A,E,B,B,105.99267151374694,-167.22453401657307,-81.77963072599282,0
China,Widowed,Yes,Homosexual,23.98183217404826,D,C,E,B,-23.082634756090727,-43.79590537232469,-125.92371979257184,0
Other,Married,Non-Veteran,Bisexual,-126.74597615304617,B,B,E,D,-43.82550517108189,83.24928409973388,60.92910308835905,0
Germany,Single,No,Homosexual,83.7855888232989,E,E,C,E,-56.44941220000946,-33.30983701206676,-162.4088094550505,1
Germany,Widowed,Veteran,Heterosexual,-251.05784016801272,B,D,A,B,105.43405194324961,-43.6555683069871,76.93789130276298,0
US,Widowed,Yes,Bisexual,-77.7743180240487,A,E,D,E,-114.14447100265963,-20.984799009155992,-64.64163620026738,1
UK,Married,Yes,Other,-58.84512418931146,D,C,D,E,-66.4076550742299,92.16208133375726,122.36970793683331,1
Mexico,Widowed,Yes,Bisexual,75.32046008208596,A,C,A,D,-16.840592838223774,-65.22346688773425,-80.99175040985978,1
Germany,Married,Veteran,Heterosexual,-49.56224360856748,B,D,D,B,-59.91067086539401,-41.10639815224511,-24.47471939696441,1
Other,Married,Non-Veteran,Bisexual,152.9202918771396,D,E,D,C,149.9164799344349,-2.1017280509474703,-69.51331857486963,0
Other,Married,Yes,Heterosexual,-90.49081452312646,A,A,D,D,197.8433597214466,38.83252017496778,93.3262755704087,1
Other,Single,Veteran,Bisexual,13.516706037567547,A,E,E,A,-3.173552528160404,50.46635554384476,-101.32361163535641,0
Other,Divorced,Veteran,Bisexual,-87.73490796043521,B,B,A,D,-77.22113324101666,-74.8808251098888,-134.546366079763,0
US,Married,No,Other,5.8169695858969215,A,A,C,A,-12.734690352883208,-21.713404648873297,111.44237697081837,1
India,Widowed,Non-Veteran,Heterosexual,211.01387192318214,A,B,E,B,50.22406206658356,87.88224703219191,-25.353961597690404,1
China,Single,No,Heterosexual,23.14416943661057,B,A,E,B,-62.74273678673309,19.72941629244098,-80.07229318698266,1
China,Married,Yes,Other,-8.31950535575503,C,A,E,B,232.05515959417627,-44.80751542878131,12.192716068143223,1
US,Widowed,Yes,Heterosexual,14.632892294534377,D,A,A,A,-2.2317068432127702,100.65452360763729,-0.842570581567998,1
US,Widowed,Non-Veteran,Other,26.64073379855915,E,A,B,B,-64.96533223101007,173.94176004864588,28.15784952682854,1
Other,Widowed,Non-Veteran,Homosexual,-28.899967874502185,B,C,D,C,62.03458453949294,-62.29240275695924,14.817043160495965,1
Germany,Married,Veteran,Other,-109.2405949617697,B,C,D,A,181.09309839864684,212.22925730380587,170.33323517062638,0
China,Divorced,Veteran,Bisexual,35.071894479387154,A,A,E,A,96.45987976971469,-52.44707308644211,67.66599661290206,0
Germany,Married,Yes,Other,-5.212310437631483,B,E,C,C,50.44352535109697,241.30401689984015,178.24193914123407,0
UK,Divorced,Veteran,Heterosexual,-34.5961589595384,D,D,C,C,95.56073807820974,-113.56083777751364,14.479262265918717,0
Brazil,Married,No,Bisexual,197.69901837175817,E,E,A,B,184.8526494242787,-220.3775495572827,91.59493542837511,1
China,Single,Non-Veteran,Homosexual,92.96678065041954,E,E,D,A,-100.95666721006677,-2.5170365466779403,59.11178204826037,0
Other,Married,Yes,Other,-71.15428219339766,E,C,B,E,-51.168101395570595,-172.07313277809496,-133.2714260643572,1
China,Single,Non-Veteran,Homosexual,71.79352301705359,D,A,E,A,-146.9555099990272,48.026364019014586,125.62164516258638,1
Germany,Divorced,No,Other,-110.9800217521741,C,E,A,D,-86.66940623120666,-195.49845823569848,-86.4830251732212,1
China,Widowed,No,Homosexual,139.42679339489467,C,D,C,A,128.70053013928424,40.33680430488963,6.561842779050825,1
China,Divorced,No,Other,156.08481604846048,C,D,D,C,66.64352242351443,52.71610335855983,91.28804407018478,0
India,Married,Veteran,Heterosexual,-117.92857174689462,E,A,E,D,-5.712133395687988,21.754226707150128,134.73090976234374,1
Germany,Married,Non-Veteran,Homosexual,-41.279187709409484,A,B,E,E,-159.72978561816032,118.40284319829237,-11.405992384722548,0
Germany,Widowed,Veteran,Bisexual,-88.97833303469497,B,C,D,B,10.138840301543613,107.65067245278235,-100.25042524818058,1
UK,Widowed,No,Other,-79.05521121454275,A,E,D,D,89.51817137627509,107.94543448624798,-107.7161098258068,1
Germany,Widowed,No,Bisexual,21.78282280748062,D,D,E,B,1.7659212078940956,-81.18925877621336,21.217651852504147,0
US,Divorced,Yes,Other,-54.97433239844197,B,A,E,A,212.99947294321998,-46.47300693465675,132.47267456338315,0
Brazil,Single,Non-Veteran,Bisexual,-0.9116631915770587,B,D,C,A,26.10429435805972,-117.76831340937011,-157.81367069201494,0
UK,Single,Non-Veteran,Other,-18.504061423240092,C,B,C,C,137.15618158565402,-78.05763035002671,-36.806113088880934,0
Germany,Widowed,Non-Veteran,Other,-107.26189433472837,D,B,E,D,-118.97870883815827,121.50577549383992,97.06089763827667,1
Mexico,Single,Yes,Heterosexual,196.58843478542698,E,D,D,B,-35.17433885189536,-27.786637433635487,-148.4221906664928,1
India,Single,Veteran,Other,161.94696205058926,E,D,B,D,-160.35977699520853,3.4159514910222324,-86.99132536360658,0
Germany,Divorced,Veteran,Bisexual,-1.6635106802909911,B,D,D,B,-96.30214673055943,-98.79378833727051,-114.91484818809252,0
UK,Single,Non-Veteran,Other,-74.37769756376291,A,E,B,D,28.832473209446853,18.16532942928204,6.231733097385101,1
UK,Single,Non-Veteran,Bisexual,-9.604308211690965,E,A,A,A,38.369221566857235,-296.1871930587675,-54.114506252663986,0
India,Married,No,Homosexual,42.53865728629776,B,D,B,D,85.83502479967777,-16.701632036367357,27.794943712752783,0
Mexico,Married,Non-Veteran,Bisexual,-4.580781545193538,C,D,C,D,243.2444833697171,54.53241174180783,-82.7737536967014,0
UK,Single,Veteran,Homosexual,72.10662524912455,A,A,C,C,29.77102756099692,-17.355710950957874,-58.41197706615275,1
US,Widowed,No,Homosexual,-90.09694851158027,B,B,B,C,94.49580926880778,158.46096361509748,12.23489389724314,0
UK,Single,Veteran,Other,-93.12539228634617,A,E,B,E,-47.456113954630744,248.98952972470227,-19.731144120889883,0
Mexico,Single,Non-Veteran,Homosexual,-30.757392280665197,A,B,E,A,-17.926823511724233,20.0112062042096,-21.202163881763028,0
Brazil,Married,Non-Veteran,Heterosexual,80.65933551523963,E,D,B,A,-12.194807327111096,52.89797564373474,-193.1208207470684,1
India,Widowed,No,Bisexual,-89.80864944197985,B,C,E,A,36.359524764748905,45.545754145456364,-119.75839901659266,0
China,Widowed,Veteran,Other,-109.58082568839782,D,B,A,D,-111.8496072574723,-77.35002587797979,-101.50879912099484,0
Other,Divorced,Non-Veteran,Bisexual,-22.133479977786045,C,E,B,C,95.31388533064882,-83.59885381924357,43.14246412121304,0
Germany,Widowed,Non-Veteran,Bisexual,-2.475264611616356,A,C,E,E,-72.24453884658448,11.898507904224518,132.92080067558902,1
Mexico,Divorced,Non-Veteran,Homosexual,-90.53443465152239,B,A,A,B,203.86115056883045,-21.03811089446041,38.488965857415316,1
UK,Single,Non-Veteran,Bisexual,-55.14497791796814,E,B,B,D,-26.733368755856073,134.89819096303094,-140.43098112833925,1
Brazil,Widowed,No,Homosexual,-28.914767207104873,B,A,A,A,-174.85207407398886,-166.7991082341641,-113.92228392342523,1
US,Married,Non-Veteran,Bisexual,150.338995624317,C,C,D,B,49.22516303354814,84.45937562109822,-98.18882894459414,0
Brazil,Divorced,Non-Veteran,Homosexual,27.926920331807757,B,D,A,D,-34.35192337362513,-18.19159434005501,-87.3225587409595,1
UK,Married,Veteran,Homosexual,7.104723857566286,D,C,E,B,-51.48694967621717,28.53296697706518,-10.135262989230322,0
Brazil,Divorced,Yes,Bisexual,-104.80690704862616,E,B,D,B,-52.135327108948374,72.53588925193878,-78.02886783042084,1
UK,Single,Non-Veteran,Homosexual,-11.78749849224304,E,A,E,B,184.704847072074,-114.71438551641877,-102.45156964295845,1
China,Widowed,No,Other,76.02092188533277,C,A,C,E,76.98625674604548,13.359011821951498,-55.555337859889995,0
UK,Married,Non-Veteran,Bisexual,144.69063245877393,D,C,D,C,-57.366579903694884,-82.41666933104894,-91.4562570269117,1
Germany,Married,Non-Veteran,Heterosexual,-89.38692424593333,E,D,E,B,44.37324437008007,-300.8551127831429,4.006734721716627,1
UK,Married,No,Homosexual,-84.65775092970627,C,A,E,D,-140.40890589312116,-28.966746551984436,-37.850911847729726,0
Mexico,Widowed,Veteran,Other,71.23285750405796,E,B,C,D,-52.928337320803166,-136.39869073305482,-84.20772788297555,0
China,Married,Yes,Homosexual,-27.459376404521898,D,B,E,B,88.36715936150517,-140.76720941732395,-15.997306650098327,1
UK,Widowed,Veteran,Other,-75.37230622696033,A,C,C,D,69.80880025830092,173.1112459231738,-40.681899670029516,0
China,Widowed,Non-Veteran,Heterosexual,57.45718077794891,B,B,D,D,-44.914156015955705,-138.80769844854072,-45.723421128819986,0
UK,Widowed,Veteran,Other,31.550868370014918,B,C,E,A,-114.74687879452765,-226.38131642774374,-280.69884864587584,1
India,Widowed,Yes,Bisexual,34.97178081100099,B,D,B,A,12.384838706663757,-34.09965865483725,-90.24715860118214,1
China,Divorced,No,Homosexual,76.85242163899846,C,B,A,C,-32.857013913095436,-26.573742305735937,3.8788071216349804,0
Brazil,Widowed,Non-Veteran,Heterosexual,26.605559103128694,A,C,B,E,-116.14869984636933,81.64090471277173,26.594816350769808,0
Mexico,Widowed,Non-Veteran,Bisexual,10.443135946069944,C,D,A,E,146.6349921240916,-39.710536579565925,-8.556909910088672,1
China,Divorced,Non-Veteran,Heterosexual,-125.53756692199238,E,A,C,D,59.95865335018363,105.1055769354373,77.02361764181376,0
Other,Single,No,Bisexual,-96.253698001253,D,B,A,C,65.69185655028528,44.55591094721684,77.01973118338022,0
Mexico,Widowed,No,Heterosexual,-118.40397969899745,B,C,C,D,158.92981373224583,45.42751029219619,-85.44252463767042,1
UK,Married,Veteran,Heterosexual,116.1544268426733,B,B,D,C,-17.908137174671246,24.421911060963282,-53.54640361435761,1
Other,Married,Non-Veteran,Heterosexual,12.456282867135767,B,D,B,B,149.12410046356268,174.13358675672345,116.85454505075383,1
Other,Divorced,No,Bisexual,72.45544203409679,D,D,D,B,-37.072896140595255,-88.78722625060401,251.33948445564243,0
Mexico,Married,Non-Veteran,Other,46.782205422934325,D,C,D,C,-84.34208306038789,-168.5327383238978,23.90995548481338,0
UK,Single,Yes,Other,-48.94703720060762,C,B,D,D,-45.199125169860984,-32.99605019953783,-150.55846498175546,1
Mexico,Widowed,Yes,Homosexual,93.05867544490133,E,D,A,C,78.07009600303144,-24.2293063303525,-101.716488270022,1
India,Married,Non-Veteran,Other,81.4791573451179,A,E,A,A,-102.62665042795145,119.86936601070938,55.459874444856204,0
Brazil,Married,Yes,Heterosexual,90.54740461430025,D,B,A,E,97.49872911058324,86.24302749310924,-121.84935548350622,0
UK,Married,Yes,Other,46.58886769630484,D,D,D,A,-79.7867493512024,64.66651208927324,-38.2720253480607,1
Brazil,Single,No,Homosexual,192.42723973011127,C,C,A,D,182.67803143776598,-174.1583287006076,3.0005294949907437,0
Mexico,Divorced,Non-Veteran,Homosexual,37.17751638277721,B,A,D,A,60.44481885091075,-6.66324330337493,41.86342982296111,1
US,Married,Yes,Bisexual,-35.38513467495337,C,A,E,B,54.92484668937798,48.82733113554207,-129.5658242985329,1
UK,Married,Yes,Other,-33.981743018064776,D,C,A,D,-169.95115685089314,56.306249983579434,213.11089335894303,1
China,Divorced,Yes,Homosexual,-82.42440323156735,D,D,A,B,-137.02287835806257,-67.7719757924729,50.10104892072511,1
China,Single,Veteran,Bisexual,-49.53520534098621,C,E,E,D,227.22816551088707,81.56433109617741,-207.58302379485482,1
India,Single,Yes,Heterosexual,64.57006464926758,C,C,D,B,-95.22350492942915,128.90350615383437,-183.34783025508355,1
China,Widowed,No,Bisexual,-113.25931631705286,A,B,D,E,-146.08919330420662,-57.20904457468768,127.80415908142204,1
Other,Single,Non-Veteran,Other,2.193787580457403,D,A,B,A,69.35296198067009,-25.385082834288873,-75.14734524977176,1
China,Married,Veteran,Homosexual,57.4803584365966,C,B,C,D,147.64484666663026,-71.80026032523314,18.234287737590556,1
China,Widowed,Yes,Bisexual,-288.1604695937151,D,E,A,C,9.779949094954251,39.57083711580317,73.47105711059604,1
