sex,faith,military,anos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
F,Other,Veteran,83,E,C,-27.664448114826452,C,C,E,E,C,B,-90.931633236648,-116.91571874781543,D,C,C,E,E,0
F,Hindu,Non-Veteran,31,C,A,32.56971419915727,D,A,B,E,E,E,-9.362886930160414,40.050148535918915,D,E,A,C,D,1
Female,Buddhist,Yes,59,C,C,-106.41644533245487,B,A,B,A,B,D,0.7581997470548824,-92.81793694444703,B,B,A,C,E,0
M,Other,Yes,73,C,D,-27.558117215534327,A,B,B,D,D,D,7.279446739603521,38.710794506449936,D,C,D,B,B,0
M,None,Veteran,24,B,D,67.34027913528547,B,C,D,B,B,D,-74.56894351144402,31.223948657526236,E,C,D,A,E,1
Other,Jewish,Non-Veteran,59,E,E,-103.78839039131749,B,B,A,B,D,C,-44.692147517030975,-53.02402288588948,E,A,A,C,B,0
F,Jewish,Yes,75,E,C,233.76150276019646,C,C,E,C,B,A,-188.79571902342406,55.69975871842473,C,B,B,E,B,1
Female,Buddhist,No,63,E,D,-21.047068376086674,B,C,C,D,C,B,-14.950841480750137,3.4153663485735923,B,B,E,D,C,1
Non-binary,Muslim,Veteran,72,D,E,28.073918821835907,B,D,C,B,E,B,-93.80450288125309,-75.06589283338198,A,D,A,B,E,1
Non-binary,Christian,Veteran,66,D,E,-92.50961067174434,D,D,B,E,D,D,-3.500090746648317,64.91988864971879,E,D,A,B,E,1
Non-binary,Muslim,Yes,85,A,A,47.234743581063846,A,E,B,A,C,E,-55.97124395053514,66.55715191462892,B,E,D,A,B,1
Other,Other,Veteran,45,E,E,-22.47454318617877,D,D,C,E,D,D,-1.5009419832752267,-183.28794855390893,C,E,E,C,B,0
Female,Hindu,Yes,36,D,B,45.492412484646884,B,B,A,C,D,A,-190.8182048599542,-2.011178374678144,B,C,D,E,A,1
Female,Jewish,Veteran,53,E,A,23.083341135307418,D,D,A,A,B,C,-11.80074867421808,45.5187119004265,A,B,D,A,D,0
Other,Buddhist,Yes,88,A,E,231.86049037362406,E,E,C,B,E,C,125.58784672017455,-46.8159766103469,B,D,E,B,D,0
F,Muslim,No,32,A,B,47.02154713402862,B,D,E,A,B,C,84.8912634952614,-103.44895344305685,C,C,C,D,D,0
Male,Jewish,Yes,35,E,C,145.4300947037511,D,E,C,A,C,D,-131.7097042538625,61.65904138132081,C,C,B,B,D,1
Non-binary,Christian,No,83,B,C,66.63002455693352,E,D,B,D,E,C,22.82990398536556,-33.93098819562688,D,D,D,E,B,0
F,Christian,No,38,C,D,-95.26598695237625,E,A,E,D,A,B,-185.37120573985203,33.62907347650605,C,C,A,B,B,1
F,Buddhist,Non-Veteran,61,E,C,-135.81095694364197,D,A,B,C,A,D,-18.451165685540012,30.061249503288696,B,E,D,E,C,0
Male,Muslim,Non-Veteran,37,A,E,-17.15855528186936,C,E,E,E,D,E,-26.370843762530537,-11.151992346381506,C,A,D,A,D,1
F,Jewish,Yes,85,B,C,63.90290218367131,B,D,C,C,D,C,-38.32541856676887,31.554977154201207,C,D,D,A,E,1
F,Jewish,Veteran,71,C,C,83.26918776668357,D,A,A,A,C,D,138.62954110974414,-55.34336876909926,C,D,E,C,C,0
Other,Muslim,Veteran,89,B,E,4.385392332570965,B,E,B,E,D,A,-64.77887779260993,-91.28250664597043,B,A,D,D,B,0
Female,Jewish,Veteran,73,E,B,-126.88754018611026,A,A,E,B,B,D,-115.72300651059034,-3.6702265596080266,D,B,B,B,E,1
Female,Muslim,Yes,48,C,E,29.79947115012276,D,D,B,D,B,B,150.90862589629143,-42.186671775628206,B,B,E,D,A,0
Non-binary,Hindu,Veteran,98,E,A,126.6848997545214,D,A,D,E,D,E,34.385869567966225,-201.54144768841573,D,A,E,D,B,1
Male,Buddhist,Yes,87,B,A,4.854566455778599,E,D,B,D,E,A,70.33352910747209,153.16208407779942,B,B,B,C,E,0
F,Buddhist,No,52,B,D,-53.57528484687637,D,B,D,D,D,B,81.85393440658339,-119.84098550497306,A,B,A,B,E,1
Male,Jewish,Yes,79,D,A,-109.63999189981169,E,E,B,C,A,E,-69.74364142515608,-150.5171180880343,A,B,A,E,A,1
Non-binary,Jewish,Non-Veteran,72,E,E,-49.82766447984947,E,A,E,B,A,E,7.215262802687043,6.712139054351225,C,E,C,D,D,0
Male,Jewish,Yes,42,C,C,50.31006178030216,D,C,B,E,B,B,40.492212727695666,-163.21386177670541,C,D,D,E,E,0
Non-binary,Buddhist,Yes,64,E,E,-43.13618629066913,E,C,D,C,D,D,177.91470918100072,33.32222959167888,E,E,B,E,D,1
Female,Other,Non-Veteran,35,E,B,-115.03860113289521,A,B,C,C,B,D,111.94513850386988,40.603306931019134,E,C,A,E,A,0
Other,Hindu,Veteran,86,D,C,-130.21031470496817,C,A,D,B,E,C,-65.6323094350206,68.930983660308,C,A,C,D,B,0
Male,Jewish,No,28,A,D,0.2099067583149212,E,D,D,B,E,C,-22.596539295973713,-75.6524542760815,A,E,E,B,E,1
F,Hindu,No,35,A,C,77.02821054370858,E,D,B,B,B,E,90.65384823426645,52.66251267438088,C,C,E,B,B,0
Female,Christian,No,48,E,E,-67.3187121383357,D,D,B,A,E,C,125.26562261106673,10.667429542565943,B,B,A,B,B,1
M,Muslim,Yes,87,C,D,49.67417696610857,B,B,D,B,B,A,110.7595131525024,9.407369169230828,C,C,E,D,D,1
Non-binary,Muslim,No,68,C,E,-160.44644859494963,D,B,C,A,C,D,-22.59482821471038,-32.67291964456416,D,E,D,A,C,0
Non-binary,Other,Veteran,32,B,A,123.18645939919332,B,D,B,C,C,C,49.089018572205596,235.91908063015046,D,C,E,B,D,1
F,None,No,60,D,D,111.29390464352741,D,B,D,A,D,D,-163.35078166779593,57.41220970513,A,C,B,A,D,1
Male,Jewish,Non-Veteran,36,B,E,-128.3703511647999,A,D,B,E,E,D,-54.230754456484235,-103.74981387517795,A,B,B,E,A,0
Male,Hindu,No,86,D,B,118.99025222796257,A,A,B,D,B,B,-158.88535369967744,-43.61684843862486,D,D,A,C,C,1
Male,Hindu,Non-Veteran,45,C,D,-67.7662674982619,A,D,B,B,E,A,-9.767516663092346,-24.547325045421847,C,A,D,E,B,0
Non-binary,Christian,Yes,92,A,A,-64.34867324918633,D,B,E,A,E,E,96.544713353141,-87.28043217307922,E,C,D,C,C,1
Male,Jewish,Yes,85,A,A,133.62315762355976,A,A,C,D,A,C,-47.996562999308864,-88.26722548303873,E,B,D,E,A,0
Other,Other,Yes,84,D,C,67.1825898232362,C,D,A,C,B,C,4.542056758972306,75.21390565358989,D,E,A,C,C,0
M,Christian,Yes,91,D,E,-23.584337954263525,D,A,B,C,B,C,17.614241328288387,1.2862571924192179,C,E,A,B,C,0
F,None,Non-Veteran,56,B,C,15.103245599314615,E,A,A,D,D,C,138.66771828108634,162.1353040243789,D,B,B,D,B,0
M,Muslim,Veteran,84,E,E,26.130896308691504,E,D,D,C,D,C,-31.059227776879332,6.090115271649282,A,C,B,B,D,1
Other,Jewish,Yes,20,E,E,-1.1587405059787281,B,A,D,B,D,E,-0.8170531672546187,32.60624354925315,B,B,C,E,A,1
Non-binary,Jewish,Non-Veteran,62,C,B,-40.450897741427674,B,C,E,B,B,E,-113.51009338290541,0.719935731387288,D,B,A,C,E,0
F,Christian,Veteran,41,C,C,-58.10215711101573,B,E,B,D,B,C,-92.10732955019132,-57.700779867784156,C,C,C,C,A,0
Other,None,Yes,48,A,C,54.3024742304307,C,E,D,E,E,C,-79.81442501003815,-94.99914395738614,E,E,E,E,A,0
F,Other,Non-Veteran,48,A,C,70.14403784639185,E,A,C,A,E,D,-136.70960131466003,-130.36383825150605,C,E,E,D,C,0
Male,None,Veteran,82,B,D,-10.248661863223733,E,D,A,A,B,D,57.77165650325878,61.00477873433555,D,B,D,A,D,0
Non-binary,Hindu,Veteran,82,E,D,193.47185438537952,C,B,D,E,A,C,60.34632390501871,-20.90601421569655,D,B,D,B,E,1
Female,Jewish,Veteran,69,B,C,-8.397475265168472,C,A,C,B,E,B,-110.19321805364271,-44.637904249634566,B,D,B,E,C,0
F,Muslim,Veteran,71,D,C,-94.03274857155367,C,D,B,B,E,A,78.59304320149683,50.395706696307016,B,E,A,D,C,1
Non-binary,Christian,No,79,A,A,81.65609385606028,A,B,C,B,E,E,191.2241669326796,76.38280611580464,A,E,E,D,D,1
Male,Christian,No,96,E,D,-7.879339811226255,E,C,B,D,D,D,76.89713724456655,43.40632475347571,A,D,B,C,C,1
Female,None,Veteran,98,E,E,70.39810267229788,C,C,A,A,E,A,32.47544188291526,-116.72545880145555,B,C,C,B,A,0
F,Hindu,No,64,D,C,98.35415743289069,E,C,E,A,B,D,193.77214293284467,-129.49960685561172,A,A,C,B,B,0
Non-binary,Hindu,Veteran,32,A,D,207.0538504002542,C,C,E,D,D,A,67.33635891710435,-133.65402092783307,E,B,D,C,C,1
Other,Christian,Non-Veteran,86,B,C,-43.25158636663139,D,A,C,C,D,D,79.320460376758,117.250851162601,C,C,D,B,E,0
Male,Christian,No,88,A,D,-94.55238519591204,D,D,C,B,E,C,-128.24579939751575,55.14917626886944,E,E,D,C,A,1
Male,Hindu,Yes,27,E,B,102.80146575452748,B,E,D,D,C,E,-59.455746917354645,86.01646199683064,A,B,B,D,D,1
Male,Hindu,Yes,36,C,C,14.218118238229152,E,C,E,C,D,A,218.513718510719,-58.96601028321859,B,A,A,A,B,0
Female,None,Non-Veteran,89,B,A,-72.2759932457414,D,E,B,D,A,B,103.65984348137549,-191.77355277779313,E,A,A,A,C,1
Male,Other,Veteran,98,C,A,-35.32924191361435,B,D,D,B,A,A,70.93498886210105,181.71946565423826,D,A,E,E,A,0
F,Hindu,No,38,E,C,-25.653428485080287,E,A,A,A,D,E,155.4794006292158,-134.12626567286756,A,A,B,B,E,1
F,Hindu,Veteran,32,D,B,-114.4871061689432,E,E,B,D,E,E,103.47082971630806,-104.2406591435959,C,B,B,B,C,0
M,Other,No,21,D,A,-14.63978472209174,D,C,E,B,C,B,-43.1933403930152,13.212009949441228,D,E,D,B,D,1
F,Muslim,Yes,51,D,E,2.1993534947710054,D,D,B,E,C,C,-39.95917643166212,52.80595104350155,B,E,A,D,D,0
Female,Jewish,Veteran,95,E,B,-4.780908585899237,D,B,E,D,B,A,-26.540573860750477,91.99058742509627,E,D,A,A,B,1
Female,Christian,Veteran,88,E,A,211.40405170195237,A,C,D,D,E,A,74.19250796941552,-145.93706869489586,E,C,D,E,A,0
Female,Muslim,No,27,E,E,-44.108447203836455,E,C,B,E,D,A,-124.65349008326709,55.312220038848594,B,A,A,E,D,1
Non-binary,Other,Yes,96,C,E,1.8176251798531773,D,A,A,E,E,E,209.40736902389196,-0.26945472402606574,D,D,E,C,A,0
Female,Buddhist,Non-Veteran,56,A,B,191.84378655668348,C,E,C,A,E,A,-60.165700916624296,-150.2654587635884,B,D,A,A,A,0
Non-binary,Jewish,Non-Veteran,68,A,E,-101.92842764638823,D,A,E,B,E,B,-44.920907823491795,29.626672333297936,B,B,C,E,B,0
Female,Muslim,Veteran,25,B,A,209.93156349986978,C,A,B,B,C,C,31.53489883617248,-157.53208157122904,E,E,A,C,A,1
F,Buddhist,Veteran,54,B,E,12.87086060815199,A,D,C,D,A,B,-37.89306648688872,-43.66229835050795,A,B,C,D,B,0
M,Christian,Non-Veteran,33,C,E,21.006412409556628,E,A,B,E,A,E,-8.38214499724918,163.35097168257363,C,D,D,B,D,0
Female,Muslim,Yes,61,A,A,-176.01462154109723,C,B,D,D,D,A,-16.88351286051197,-223.96498271362844,C,C,A,D,B,1
F,Christian,Veteran,27,E,A,-32.19658920003162,C,E,A,B,C,A,64.71113303314542,104.24936317895555,B,A,A,D,A,0
Female,Buddhist,No,40,A,A,-111.38539402320062,A,D,A,A,D,E,-57.90832903818578,-26.054984743730834,B,B,D,A,E,0
M,Buddhist,No,74,B,A,198.9264946728599,A,C,D,A,C,A,-95.52916377930745,241.36615882316232,A,E,B,D,D,0
M,Christian,Yes,50,D,A,165.73497843070265,A,A,E,A,E,D,-144.02844465063384,-47.03373650963141,E,E,E,A,E,0
M,Jewish,Non-Veteran,67,B,A,71.73006219173837,D,B,A,A,D,E,92.0725565014304,-191.79159967440057,E,D,B,D,A,1
Non-binary,Buddhist,Non-Veteran,86,B,E,-87.36539040825558,E,A,C,A,B,E,11.569536566485253,4.405340050765971,E,E,D,C,E,1
Male,Hindu,Veteran,72,A,E,0.4472099567828947,C,D,A,C,A,E,19.343221208843683,51.94893933055135,E,D,E,B,B,0
Female,Buddhist,Yes,33,A,B,65.42363695219896,D,A,B,A,D,B,212.83763925253726,-11.808970498891124,A,E,A,D,C,0
Female,Buddhist,Non-Veteran,50,D,E,-172.10274690980597,E,E,D,D,C,B,-54.02923266158454,166.06723855321482,D,E,A,B,B,0
Other,Jewish,Yes,97,B,C,-43.006809067868765,D,D,D,D,B,B,82.4896699159162,34.99075214631398,D,A,D,B,E,0
Female,Muslim,Yes,78,A,A,-53.05412884675774,A,D,D,C,B,E,116.24387179762539,172.80339986093398,C,B,A,E,D,0
M,Muslim,No,61,B,E,-160.69256807576346,C,B,E,E,E,D,-79.75142938972365,43.52891328570774,D,C,C,B,B,1
Male,Other,Veteran,63,E,C,29.21512636271742,D,E,B,E,B,B,111.42074621523228,-144.7970557959083,E,A,E,B,E,0
Other,Muslim,Non-Veteran,98,D,C,-169.92686347919442,D,C,D,E,B,D,-101.10924344674397,79.45672669930858,D,C,E,D,C,0
Male,Hindu,No,49,E,B,24.045500750055663,D,E,D,E,C,A,-58.42637193588776,84.39320247992033,A,B,E,B,E,0
Male,Other,Yes,47,E,B,100.01575233842253,B,A,B,B,E,D,27.150120389639458,176.22682506940015,A,A,A,D,D,0
F,Buddhist,Non-Veteran,72,E,B,-5.714392157778423,D,B,B,B,A,C,142.68043735925576,45.70556599681484,B,D,D,E,C,0
F,Jewish,Yes,89,E,A,-78.96970420616853,D,D,E,E,B,E,12.58492540954028,66.12492219240418,C,E,B,C,A,0
Non-binary,Muslim,Non-Veteran,82,D,A,-171.90024196440407,D,E,B,D,B,C,64.65498948683751,62.288449306046246,C,B,B,A,A,1
Non-binary,Hindu,Veteran,93,E,E,85.00654669524546,A,D,D,E,B,D,-108.32624103568457,31.312462882996268,D,D,A,A,D,0
Other,Buddhist,Yes,32,A,D,-25.54642624517961,A,B,D,D,C,B,-253.0121113884028,-42.29450462204271,E,B,D,B,E,1
Other,None,No,62,C,B,23.82357559415445,C,A,C,A,E,C,-59.5265851858491,25.765283946811383,C,A,E,B,A,0
Female,Christian,Yes,85,D,B,-6.541261257588641,E,C,D,A,B,A,11.807369843975419,-10.78818269181337,B,D,A,A,C,1
M,Muslim,Veteran,40,D,E,-32.424504722166255,A,E,E,D,A,B,119.73882785322292,46.54660346702974,A,C,E,D,A,1
Other,Christian,Veteran,18,A,A,24.442652987982946,D,B,E,A,C,C,141.0655370318198,112.59567899231166,E,A,C,A,E,1
F,Christian,Veteran,73,B,B,7.844706646442227,B,C,C,A,C,C,63.520624416572915,-31.24848181639721,C,E,E,E,C,1
Non-binary,Muslim,Non-Veteran,44,A,D,113.23969079638286,D,E,B,A,C,C,123.45213540202502,5.93115488399453,E,C,E,A,D,1
Non-binary,Muslim,Veteran,89,D,D,-14.953808291315706,C,D,B,D,C,A,124.21098719472066,-82.62690827483792,D,A,D,A,D,1
F,Buddhist,Yes,42,B,E,-92.17468596781286,A,E,D,D,E,C,79.50507907828303,54.77751934441139,B,B,A,C,D,1
Other,Muslim,Non-Veteran,51,C,C,35.62243183422303,A,A,A,A,A,A,-129.2949613618755,133.5191188791714,C,D,E,A,B,0
Female,Muslim,Veteran,48,E,D,-47.49191789228364,A,D,C,C,E,D,-59.49504634243312,146.26201978627708,E,C,E,B,B,0
Other,Christian,Non-Veteran,46,C,E,39.72914191639087,D,E,A,E,C,C,-71.14267140697459,-4.475111108971241,A,D,D,B,D,0
Other,None,Yes,78,A,C,-170.31945122093228,C,E,D,B,A,C,163.16380472291308,44.04629962458188,E,C,A,D,C,0
Female,Jewish,Non-Veteran,24,A,C,128.06241945314144,B,B,E,E,B,A,98.92066782833389,167.49112172839574,C,B,A,C,E,1
Female,Jewish,Veteran,92,A,C,4.167191629468855,C,C,D,C,D,A,-50.80740278029524,-56.47614142555574,C,B,E,D,E,1
F,Muslim,Non-Veteran,91,D,C,-23.988769656694654,A,A,B,B,D,B,65.2621797822579,22.93255753636765,B,C,E,A,B,0
Female,None,Non-Veteran,59,D,D,23.44689220358965,B,B,B,D,C,B,11.73971492747766,56.73441310781523,E,D,E,B,C,0
Male,Hindu,No,44,B,C,8.271011953677087,B,B,C,B,E,B,148.48710061657388,101.29525480519104,E,E,B,B,C,0
Non-binary,Jewish,Yes,84,C,A,40.72876215689868,A,B,C,D,B,C,-6.957278185353603,-84.74364341404808,B,D,E,E,C,0
Male,Buddhist,Non-Veteran,93,C,C,-263.557259476618,C,A,D,C,C,E,21.41139287737827,-48.35177730642701,C,B,E,B,B,1
Female,Jewish,Yes,18,A,A,-54.560741560132634,B,B,C,D,C,B,47.0534127453097,-57.572909952654584,C,C,C,A,C,1
M,Hindu,Yes,38,E,B,-73.8975047612873,E,B,B,B,D,E,-57.71981840603376,80.67119051149727,E,D,A,D,C,0
F,Other,Veteran,66,C,C,4.2405063386767665,B,A,A,B,B,E,91.16506848069879,-40.26212494446482,B,A,D,C,A,1
Female,Buddhist,Veteran,29,D,A,-107.58957281272204,D,C,E,C,B,B,-174.98685912074254,-128.27218285217285,D,C,C,B,B,1
M,Other,Veteran,45,A,D,-85.3787419082429,B,C,C,D,B,B,100.30673470409877,-60.018370433968215,A,B,E,B,C,1
Male,Christian,Veteran,76,C,A,-125.64895220372769,D,C,E,B,D,B,103.90813496639473,-13.779483272631547,D,C,E,D,B,1
F,Christian,Non-Veteran,89,D,C,156.8786271794227,E,D,A,E,B,A,-56.6221563867655,10.904852468161089,D,A,C,E,C,0
F,Hindu,No,89,C,A,10.718685658563661,C,D,B,D,E,B,68.26007522461063,-107.06763233424633,D,A,D,B,D,1
Male,Christian,Non-Veteran,88,B,A,-19.885939983376566,B,A,E,D,A,D,-201.5478617050547,30.36747627682242,D,B,D,E,D,1
M,Muslim,No,44,D,B,2.555708248977747,E,A,B,E,D,C,-119.01295052940807,51.83975162833298,A,B,E,E,D,0
Female,Christian,Veteran,91,E,A,-57.814089246834364,C,E,C,D,A,A,121.96974067707156,-76.18989799890448,E,C,D,A,C,0
Other,Other,Yes,86,D,A,16.917171656574258,C,B,B,E,A,D,-72.03662760461974,-175.30919066503822,B,C,E,C,B,1
Female,Buddhist,No,19,A,E,140.309731760923,E,E,C,C,C,B,-242.59411826378198,24.744640196883907,A,C,E,A,C,0
Non-binary,None,No,70,D,D,-75.6193028449824,D,C,D,D,C,B,97.99197644391866,13.4862260282784,E,B,C,D,D,0
Non-binary,Hindu,No,92,C,D,72.40075224272681,E,B,E,D,D,E,75.36361656380427,-105.69078451318448,E,B,A,C,A,0
F,Hindu,Yes,90,D,C,-16.387208339570293,C,D,B,E,B,C,66.94024818444144,-330.5490988221981,D,E,A,E,E,0
Non-binary,Christian,Non-Veteran,96,E,B,152.5898531296123,B,D,B,E,E,D,14.542722868762,-57.79264432480008,E,E,C,C,C,1
Male,Hindu,Non-Veteran,51,C,E,121.37858790049683,D,E,A,C,C,C,66.88093829381756,167.86318917543718,C,E,E,E,A,1
M,Buddhist,Yes,99,D,A,42.667429979224956,B,C,B,D,B,D,19.945244098712138,-8.002224791167606,A,A,B,B,D,1
Female,Other,Veteran,25,B,A,-133.61517596607737,D,C,B,A,E,D,-57.96385586365983,135.86541518283275,D,D,C,B,E,1
Other,Muslim,Non-Veteran,70,E,A,28.865537470718028,B,A,C,A,D,A,-123.8718967903546,108.7988244414895,C,D,A,C,A,1
M,Hindu,Yes,89,C,D,0.3544283228508733,D,D,C,C,B,D,-7.513796906780272,-61.53308262466126,E,E,A,A,B,1
Female,Muslim,Non-Veteran,70,B,A,-11.862948489452503,C,B,D,D,C,D,85.23586901429681,88.4274942009887,E,E,D,B,E,1
F,Muslim,Yes,72,E,E,84.40179301521185,B,E,D,B,E,D,-45.84410138176243,91.47956565328911,A,B,E,E,B,0
Male,Muslim,Yes,84,B,D,68.4167258137359,D,D,E,E,B,B,-15.136351246150415,0.42433043751632143,B,E,D,D,A,1
F,Christian,Yes,80,A,D,179.07481502858886,A,A,E,D,A,D,24.825214811061905,-29.76916734189211,A,C,B,E,A,1
Female,Jewish,Non-Veteran,91,A,D,12.486999206374206,E,A,A,C,E,B,122.9328767638372,-70.93230197152955,C,B,C,A,B,0
Female,Jewish,Non-Veteran,39,C,E,-79.99931271761311,B,A,B,D,E,A,106.03092584535749,-69.90653438789386,D,C,D,B,C,0
Female,Other,Non-Veteran,56,C,D,-47.58428026077945,B,C,C,D,B,A,-89.61779658245604,149.9473917139832,E,D,D,B,B,0
F,Jewish,Veteran,35,E,C,21.329219292647938,B,B,B,B,A,B,-230.14027548896064,-128.83898688174312,A,D,A,E,C,0
F,Jewish,Veteran,20,E,B,-51.13591284042646,B,B,A,C,B,E,-162.52817986312087,4.2859464543617225,A,A,C,A,E,1
Female,Christian,Veteran,43,B,B,29.74048670269966,C,C,B,A,B,B,-30.021682547168894,-73.10954540860993,D,D,C,B,C,1
F,Christian,Non-Veteran,80,A,D,14.13305214930034,A,D,A,B,B,B,-171.8459274546149,98.51636677495446,D,D,A,B,A,1
F,None,Non-Veteran,28,C,E,61.64132638483019,B,B,B,D,B,E,-40.230766711789755,-55.52374698338311,A,C,C,C,A,1
M,Other,Non-Veteran,98,C,A,164.93117647057244,C,D,E,B,E,A,-113.31494121024697,129.6825583777571,C,B,B,B,D,1
Other,Jewish,Veteran,91,B,E,122.81897307517352,A,D,A,A,A,B,60.20121882032947,-41.488947107716264,D,D,B,D,D,1
M,Hindu,Non-Veteran,25,E,C,-186.69886296319817,E,D,A,D,C,D,-173.08114683157885,128.12126933737332,A,E,D,A,E,1
Non-binary,Other,Yes,59,E,D,184.92809822819595,C,E,B,D,B,C,-7.678218239817017,-173.6726595688546,B,B,D,E,D,0
F,Muslim,Yes,48,B,E,18.788880138492946,E,C,D,E,E,A,-79.35394014864451,-127.82954887811037,A,E,C,C,A,0
M,Christian,Non-Veteran,58,C,E,103.01030838608183,E,D,E,A,B,C,62.545239955557975,-76.49620529898434,D,C,B,B,B,1
Other,Hindu,Veteran,37,B,E,-144.7125505722371,C,E,E,B,E,E,-127.33281193937738,-52.49609285376747,A,B,B,C,A,1
Other,Hindu,Veteran,18,D,D,191.63325934125604,E,D,B,A,D,D,-15.702808380715819,124.85490927705744,E,B,E,D,D,1
F,Other,No,76,A,D,-144.56751083237634,B,A,C,B,B,C,-97.18329787383806,178.43026210826497,A,C,B,D,D,1
Other,Muslim,Non-Veteran,41,B,B,-249.68711184171895,C,C,E,A,A,C,68.6493632719259,-41.51986900215272,A,E,A,B,E,1
Non-binary,Muslim,No,91,B,D,-117.36430685168395,E,E,B,E,B,D,-181.72843709376565,-126.2558758764392,B,D,B,E,C,1
Non-binary,Other,Yes,39,E,D,-98.47619043339854,A,C,C,E,A,D,-11.625326655383121,140.1241878188506,E,C,E,E,B,0
M,Jewish,No,25,E,E,-65.75393667044295,C,A,A,C,E,E,334.49343624243267,-29.833256312221895,B,E,A,A,A,0
Other,Hindu,Non-Veteran,21,A,A,-98.86854138881354,A,A,E,B,C,C,-117.21774157341396,-5.482908595736452,D,C,D,A,E,0
Non-binary,Hindu,Non-Veteran,42,E,D,173.52431874306023,B,B,C,A,D,B,-91.81902664072943,74.50528200871722,D,A,E,B,D,1
Male,Muslim,Veteran,54,C,C,1.6328952701550647,A,E,A,B,A,B,74.56363482807977,35.30710990155811,A,E,E,E,A,0
Non-binary,Christian,Veteran,69,A,D,-36.923163977788555,E,D,B,D,A,C,-0.1461014356517428,-77.08266185541206,D,C,C,C,D,0
Male,Christian,No,94,B,B,20.03993881326013,C,B,C,B,C,D,129.0999223219187,36.48161620858909,A,B,B,C,A,0
F,Buddhist,No,62,B,C,11.20010425669998,D,D,A,C,B,A,-53.39248770912505,-153.71479446305764,E,D,C,D,B,1
Other,Hindu,Yes,41,C,A,-4.29254429819481,A,B,D,B,E,E,-128.79815299427253,-9.521696951000983,D,D,D,D,C,0
Male,None,Veteran,46,D,D,-53.49611510593088,C,E,D,E,E,E,-58.577533220787245,13.80204483780977,D,D,A,A,E,1
Female,Other,No,18,C,C,26.77774274229463,E,D,B,C,C,D,-92.09964991556281,-69.79958760505093,C,A,B,C,E,0
Other,Muslim,Veteran,66,E,A,-105.59555408555387,B,A,D,E,A,B,-63.99841625601132,133.60838246443686,E,C,D,C,B,0
Other,None,Veteran,30,B,E,72.26653698393166,D,C,C,C,D,A,71.18779538640838,-80.10551913090916,C,E,E,C,C,1
Male,Other,Veteran,73,C,C,-107.33996171325795,D,D,C,E,B,D,67.3099231126981,-140.4931150861625,E,A,D,C,B,0
Female,Other,No,55,C,D,28.81314270567493,B,E,A,E,A,E,-177.46002742141624,0.4702681474624803,D,B,E,C,C,1
Other,Christian,Veteran,37,A,A,170.47406202571096,A,D,A,C,B,E,65.65346262168069,-87.1850093528587,C,C,E,B,D,0
F,Other,No,33,B,E,-38.10109623175014,C,A,D,A,C,C,62.05773314886242,-106.45458987996123,D,A,A,D,B,0
Male,Jewish,Veteran,72,D,C,86.5549230354859,A,D,D,E,C,D,198.60273487573855,-20.650923958143082,C,B,D,D,A,1
M,None,Yes,65,C,B,24.818411632413518,B,A,E,B,E,C,57.516081178909275,18.174494910287862,A,E,D,D,A,0
M,Buddhist,No,50,A,A,-156.58482311505267,E,E,C,B,A,A,79.33363367462324,-59.51832518367708,E,D,A,E,C,0
M,Christian,Non-Veteran,36,E,D,208.33832394172765,A,C,C,D,D,D,-5.889538088889386,-117.4544557303429,A,E,B,D,A,1
F,Other,Non-Veteran,45,D,C,8.627291894154752,B,D,A,B,E,D,-96.9685931967605,-152.335664194586,B,B,B,B,E,0
Other,Buddhist,Yes,48,E,E,-176.84104871112777,C,D,D,A,E,B,-33.15476074997289,-149.41841241495155,A,A,B,C,D,1
Other,Jewish,No,52,C,D,-91.27243074970045,D,C,A,B,A,D,-38.56241120213441,-198.74967521105157,B,D,A,C,E,0
Male,Buddhist,Yes,31,B,D,-61.28678133503919,A,C,C,D,B,E,-81.46660285860801,162.37126047268976,D,A,A,D,B,1
Other,Christian,Non-Veteran,79,E,A,80.76487637443978,E,D,B,C,A,A,367.2002238316443,8.16525235113817,A,C,C,C,D,1
Female,Other,Yes,35,A,A,-11.354613018292776,C,D,C,A,C,C,145.2086963761603,96.67186532108671,E,E,D,C,E,0
Non-binary,None,No,97,C,C,-33.91680905595813,A,D,C,C,A,E,84.09397370512792,-17.957830843895543,A,C,B,D,E,0
Non-binary,Hindu,Non-Veteran,53,D,A,-155.74393837440542,D,A,B,B,C,E,62.45879515795053,179.91482291486693,E,C,D,E,E,1
M,Other,Non-Veteran,34,A,A,-81.61607983083563,A,A,B,D,E,C,-59.875583646186556,-71.52261541466395,B,E,B,E,D,0
Male,Jewish,Veteran,88,C,C,-175.33669838219117,B,C,D,D,E,E,7.7301978107454286,-36.51658893884584,A,B,B,B,E,1
Other,Christian,No,87,D,E,8.138713513413718,D,C,C,B,E,E,13.496763282404958,-158.50574231005297,B,B,E,D,C,1
M,Buddhist,Yes,36,C,B,-64.89974208646333,B,E,A,D,E,D,-32.192757150276044,-26.548463008036695,B,C,E,B,B,1
Female,Other,Yes,94,B,E,47.053994073983,E,E,D,B,A,E,-19.797165426240014,32.62004007101619,A,A,C,B,A,0
