handicap,AGE,military,nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
None,54,Veteran,India,E,E,95.77664413307663,C,B,-129.307684162555,-92.41941630735602,-16.379796517402248,C,B,0
Both,60,Non-Veteran,Brazil,C,A,69.5311661508211,D,B,82.45053559631378,60.375910751025685,82.57714766386614,C,E,1
None,20,Non-Veteran,Mexico,C,E,113.10026285908566,C,C,-96.06324635866935,-29.8725798689578,-50.078957993742165,E,C,1
None,30,Yes,India,C,C,76.13156386043927,D,A,-47.227101034392284,-94.6115817012844,76.3815260743761,D,E,1
Physical,94,No,Other,B,D,-23.392389149171354,A,B,3.6097721114432817,85.15982670184222,104.09619199329624,E,D,1
No,28,Yes,China,A,E,-24.750121018198477,E,C,40.525149189232536,-43.112088142654564,-142.72706472964433,C,C,1
No,56,Veteran,Germany,E,B,12.358916373266087,A,A,-75.5396315279338,204.60020414015543,17.25866868274397,B,B,1
Yes,22,Non-Veteran,Other,B,C,66.12689341989105,C,E,-78.71745455648829,-118.2944286338163,118.35903879348525,E,E,1
No,31,Non-Veteran,Mexico,E,A,-140.04224892235706,C,C,6.162576899388963,17.408782385319867,137.22932107319744,A,A,0
None,30,Veteran,UK,D,C,-68.68251619337437,A,E,-193.83513074451702,-144.90528987558127,103.4078748788234,A,C,1
Both,56,Veteran,India,B,C,101.39064638709772,B,A,-49.10780322103005,-136.9147919322901,81.07913303423001,B,E,1
No,32,Yes,Mexico,E,A,-193.29796429746327,D,B,17.794008275791033,-7.944624919080311,-2.284666591324037,D,B,1
Physical,84,Yes,Brazil,C,D,-113.54102228575267,A,B,-47.700814010895776,148.69348493041284,48.13073139861965,E,A,1
Physical,47,Veteran,Other,B,C,-7.047587446228092,B,B,77.3785390178994,-96.05552507985912,100.08546264371181,D,D,0
No,44,Non-Veteran,China,C,D,-44.37180923321222,C,C,52.0771995747616,-59.8728753728054,-30.022222090050576,C,D,1
None,65,Veteran,India,C,A,-10.727945814665059,B,C,94.70635342586111,-36.896237312103366,155.92844169994137,A,E,1
No,98,Yes,UK,D,D,-237.7248276136866,A,C,-124.27931578345822,3.7515234090476275,123.96778278336804,D,A,1
No,38,Non-Veteran,UK,C,C,102.57027126088683,E,A,85.39082506911053,-111.68818755182647,-111.26278102608063,E,A,1
No,68,No,Other,D,B,117.11750288447016,C,C,89.84204796143786,-260.51296792679506,56.8015367981914,E,C,1
None,29,Veteran,Brazil,E,D,27.72408555999299,B,B,-65.41667461786895,179.8181811330809,-250.99758187784133,D,A,1
No,84,Yes,US,E,D,-49.41224734427881,A,E,53.30118322315249,139.9670139054465,-77.6481477803903,D,C,1
Physical,42,Yes,Brazil,E,D,52.54896538585325,E,A,50.177900517613615,16.8164349888545,-83.36130164749977,A,B,0
Both,26,Non-Veteran,Other,D,C,104.35684754985084,C,B,-146.42010123042002,-204.20214712193686,69.41211939994224,B,B,0
None,88,No,UK,E,D,-96.6229086647749,E,C,297.69532879435496,-58.47429249760313,-38.69917259280735,C,B,1
Physical,41,Yes,Brazil,B,D,-0.21876787220871086,C,B,-6.6228957643106785,98.7105832972291,163.61865544958397,A,B,0
Yes,58,Non-Veteran,Mexico,C,C,-27.133857404042487,C,C,-319.2106287139975,-70.22051446614967,78.17935525804481,A,B,0
No,94,Non-Veteran,Brazil,A,A,54.61023192208465,A,D,-76.36948850904943,-92.99458369935878,161.95952140325787,B,B,1
None,58,Veteran,Germany,C,C,84.6906243139497,C,D,-141.3235314292973,-84.37240322048956,-20.930976106124312,B,C,0
Both,60,Non-Veteran,India,A,A,-9.581354745778144,E,A,74.43290100371313,-100.23800037623394,138.36220600242478,C,C,0
None,27,No,Brazil,B,E,-111.98683393866669,D,C,49.666236621409304,-139.8676619314816,-185.99637302161872,C,D,1
Both,41,Veteran,Other,B,D,40.64971511799148,C,A,-86.67845606140337,-123.47830162925023,78.3887487594172,B,C,0
No,94,Non-Veteran,India,D,A,21.043561161857383,E,E,-105.76613620823044,146.21479761050728,5.8202417199857015,D,A,0
Physical,25,No,US,C,E,-72.65850702637174,C,A,47.67614490596969,73.26190387231671,-31.011976344400026,E,B,0
Both,40,Veteran,Germany,D,B,-8.153916190212787,D,A,-196.22951251919142,94.93008690068227,-43.305167815848776,E,D,0
Both,35,No,Germany,C,C,-121.3242447182435,B,E,-19.128572720979786,59.05074498758468,-38.16227423949483,E,C,1
None,23,Non-Veteran,Germany,C,A,-21.910955148169144,D,A,-19.57022645182625,168.73186692908544,-139.08592570299953,D,B,1
Mental,80,No,US,D,D,-24.72077230946961,A,C,41.11284044771899,-190.5567650508002,43.4588227823946,A,C,0
None,51,Veteran,UK,A,E,-90.46368063042554,A,D,18.210738290712296,-20.801852257198625,68.7632167831639,C,A,0
Mental,47,Non-Veteran,India,A,D,133.65967635816233,C,B,-67.90111690962406,36.806170071941764,-62.37055509734159,E,A,0
Mental,21,No,Other,A,C,115.09719350885348,D,D,88.98529708764083,-54.50267250861249,66.78082554324966,A,E,1
No,82,Non-Veteran,Mexico,A,B,-186.1418665601118,E,D,26.080306032938118,51.110447306137644,-45.18686417394838,E,C,0
Both,81,No,Germany,A,B,-66.48581373228612,C,E,-44.97315586878298,157.16250893126406,-53.38952828245399,C,E,0
No,89,Veteran,Other,E,B,-210.43707978377407,B,D,128.61702565913706,81.65146555146286,-145.12798458756717,E,B,0
Physical,48,No,Germany,C,B,17.53678860742049,E,B,64.19123234213444,276.8951994067029,-181.22329532942518,E,A,0
Both,81,Veteran,Brazil,E,D,-69.10520483959621,E,D,8.691025175132385,56.55797084855308,-19.858758517847903,B,B,1
No,70,No,UK,D,A,77.36870348648311,D,A,-50.54017299656367,-20.82067075824662,65.73820768329753,A,E,0
No,48,Yes,Other,B,E,37.40434543139443,C,B,-170.05807440355676,-2.618192794814602,-219.79796701859829,B,C,0
Mental,45,No,Other,B,D,-43.73551181471874,B,D,-28.754590466051592,6.2576353929192985,-15.827568666652708,D,E,1
Mental,64,Yes,UK,D,C,-70.17653136866807,D,B,-7.893425713150546,-81.8691583809311,-48.957648917204416,E,C,0
No,38,Veteran,Germany,D,C,-17.57775174638774,C,B,196.08608989950167,76.49014530515186,119.97537782815431,C,C,0
Physical,37,Veteran,UK,E,A,43.71283167394901,D,D,-18.700149789796576,43.825314808079426,-33.43168602480161,B,A,0
None,42,Non-Veteran,Other,D,C,-125.4328733227829,D,C,49.582880437248534,-60.061583018825495,-26.156329553198916,D,D,1
Physical,94,Yes,Mexico,C,A,-86.28560060410538,B,A,-48.111798575738135,15.66375841504498,21.940855989192237,E,C,0
None,66,Yes,India,D,E,-191.94116746511932,E,B,129.96980731599717,116.0746016167781,82.70052071359785,A,B,0
No,45,No,Germany,B,B,128.826145414879,C,C,-121.25913574741173,27.59521684833147,-129.7554814937168,D,D,0
No,69,Veteran,Mexico,D,D,192.15984329658212,C,E,142.1473958760479,-149.44260127732633,88.91441631767923,B,A,1
Mental,28,No,UK,E,A,145.7008130575628,B,A,-90.8093740414234,-34.22591925386128,21.619410364564843,E,E,0
None,93,Yes,UK,D,B,0.6082353256410189,D,A,105.8260908681451,34.806812319260395,156.3654182765791,C,D,0
Mental,99,No,China,B,C,-1.4033165854865726,D,A,92.3115102640131,-24.540742864120492,-101.14669464080947,A,C,1
Yes,46,No,US,C,E,-15.281440510640085,D,C,-40.20579164280672,117.3850747430502,121.38228928283917,A,A,0
Physical,34,Veteran,Brazil,E,B,51.19333298978677,D,B,53.44098076269837,-78.35839531249084,54.26787180793523,A,B,0
Yes,90,No,India,B,C,-18.00316486821603,B,B,52.46727712771679,65.48526806675112,-58.47998491981773,A,A,0
None,93,Non-Veteran,Other,C,B,27.480685284885837,B,A,57.80718673571699,-9.264841864884076,54.327917681141415,C,E,0
Mental,59,Veteran,India,D,D,-35.14371228431581,D,A,55.09188078692255,-8.569021303644917,119.85820764454277,A,B,1
Physical,98,Non-Veteran,Mexico,C,D,-60.080574212150715,B,D,26.729301352579643,274.04830705608657,-11.592366137680768,C,C,0
Physical,58,Non-Veteran,China,E,D,128.95023358182357,A,D,32.3213147745721,80.27112728697648,-40.95129855278905,E,E,1
Mental,34,Yes,UK,C,E,146.84706440913635,D,B,-10.273365981355196,-85.90069342052222,-245.14935592804358,B,E,0
No,30,Non-Veteran,UK,A,C,-27.46965083029554,E,D,1.1446966991884724,-93.28740562771831,-124.98766768724634,B,C,1
Both,95,Non-Veteran,Other,E,D,130.69870563204847,E,C,-122.16801209745414,-102.08974580201536,55.22603073100035,E,A,1
None,36,Yes,UK,E,A,-10.59621627387821,D,C,35.99644516803615,-49.60875310322269,124.33415973671822,C,A,1
Mental,61,No,UK,A,A,-6.749551065086219,D,C,244.84275135342358,-259.22683285020787,39.06734850957496,E,C,1
Both,76,Non-Veteran,Germany,E,B,43.514916919160655,D,C,-159.74987445559964,19.84184711205575,143.63262311409704,B,C,1
Yes,94,Non-Veteran,Brazil,A,D,-92.03908225870147,C,D,-80.56111405422847,130.88901625279533,6.109678297754482,E,B,1
Physical,98,No,Germany,D,D,73.32105316411503,A,B,-110.69728373992456,67.85362314008775,-32.67979745234634,D,E,1
No,56,Veteran,Germany,A,E,-177.0805854898762,E,C,29.659735431659882,117.01546482172083,204.6661267833878,A,C,1
None,52,No,Other,D,E,-119.77981736664916,C,D,-29.627475530147763,-47.816320544611926,20.199170557577123,A,E,1
Mental,68,No,US,D,E,183.8259299995411,A,A,126.66625461660837,-7.240766446658848,-12.609950956807719,D,C,0
Physical,74,Non-Veteran,Germany,B,C,-188.57613427003434,A,A,-238.22536480573794,-113.38256525333748,17.82481605846272,C,B,1
Yes,59,Yes,Brazil,A,C,69.27738261065059,C,C,50.708403168469964,-126.1035282362158,0.05274425573903479,D,A,1
Mental,29,Non-Veteran,Mexico,A,C,-115.64182220062986,E,C,49.297077180675245,-25.774550942202968,24.169407489558434,E,A,0
Physical,19,Veteran,Brazil,B,D,-95.12167136614323,A,C,121.84666768089738,153.07677092977767,1.9484347141918335,D,B,1
Both,48,Non-Veteran,India,B,B,-103.43582262228696,D,D,-94.14974651284281,-10.013571337489841,45.65261682430528,D,A,0
Yes,62,Veteran,Germany,B,E,105.32392754827869,B,A,-151.5033190370374,133.90853314361763,-52.71074872834848,B,A,1
None,92,Non-Veteran,Brazil,D,A,137.42574067002283,B,E,-25.17536936223085,8.854565027686053,15.943592573235128,E,C,0
Both,34,No,India,C,C,-174.53619492358683,C,C,-78.84967513482782,10.829187772475173,65.95101441819784,C,E,0
None,90,Yes,India,C,A,-187.16669523587208,A,D,48.91647172219326,102.88901804891645,53.51132793060505,E,E,0
Both,71,Veteran,Germany,C,A,-19.63249151406494,D,D,54.23083178174206,-80.4887782802068,-73.53354107544854,C,A,0
Mental,54,Veteran,India,C,E,-60.006901784813536,B,B,-120.11289231210205,88.57696397293407,32.771868440897286,C,D,0
Physical,77,Veteran,US,E,E,132.43785117182026,D,D,-31.583920455114843,63.55269582187617,108.57287222456127,B,B,0
Physical,98,Yes,India,A,D,-41.95152317276657,D,C,-88.69403407560623,57.04069635276541,150.16963570415018,A,E,1
Yes,45,Non-Veteran,Mexico,D,D,102.39740258188257,A,D,263.4403171208353,52.05068032442026,-18.999142860724607,D,A,0
None,55,Yes,US,C,E,117.40916560794119,D,B,-59.28349196978573,2.480668304187337,14.231888621628865,C,D,1
Both,66,Yes,India,E,E,0.8487898443292434,A,B,-40.056692305464516,182.07241049682236,74.79639015465793,C,D,0
Physical,35,No,Other,A,E,-55.69249116747193,A,D,-240.37847781389496,-39.85612034610196,-290.30512948619133,B,C,0
Yes,51,No,US,D,C,-10.792891603071181,D,D,-210.36626367635606,-12.020480625302227,97.3077582998804,B,C,1
Mental,23,Yes,US,B,B,-55.587198775953915,B,A,-81.88583743800973,-62.90204298678985,40.166182290288496,E,A,1
Physical,18,Non-Veteran,US,E,B,82.15021810338462,D,A,115.68082633986538,59.10676849509563,12.454123309612077,D,B,1
No,55,Veteran,Mexico,C,A,11.236811256685355,A,D,36.55994612444279,-77.73009203027202,-103.37199110607162,D,D,0
No,37,Veteran,India,E,C,-108.89195498843371,A,D,-70.33140929585082,-31.714440322558822,89.42596794785538,C,C,0
No,33,Yes,Mexico,D,E,-23.989541437854502,C,C,-100.68751418079955,98.8488576576776,-15.651456729095475,C,C,0
No,68,Yes,UK,D,A,39.34155813518846,E,B,10.107975416599684,94.50301526177091,93.27290146757171,E,E,0
None,78,No,UK,E,E,129.29732165773217,A,E,33.815031269346285,42.04593534574001,-45.937290414408864,D,A,0
Physical,28,Veteran,India,B,B,-192.67937854487616,A,C,-12.257953181353813,68.3751270370516,-139.6277505288632,D,B,1
No,93,No,UK,A,D,-84.75035535841108,D,C,-165.72444719786245,-43.40851674426835,56.01087639943812,D,E,1
Both,20,Non-Veteran,US,A,A,-170.79968856166636,D,A,-197.41470831857637,-46.26045353726893,-392.1495351857181,B,B,1
Mental,35,Non-Veteran,Brazil,B,B,218.5480199458302,E,B,-69.96622738096474,32.689034262650914,-7.847248754319783,C,B,1
No,43,Veteran,China,A,C,166.68112836029223,B,A,-115.91409700250719,-65.48854506988724,-170.3992566302836,C,D,1
None,52,Non-Veteran,India,E,C,143.697863159338,B,E,218.387839390537,178.96908603168148,290.4373384151988,A,B,1
No,92,No,UK,E,A,-5.1816455368359415,C,A,139.8810840570286,39.22342756633653,108.42604569237253,C,B,0
Both,51,Non-Veteran,Germany,C,A,-79.15804944001805,E,C,-19.207491878010256,8.24565945936321,71.91668989443485,D,C,0
Physical,35,No,India,C,D,50.506836633285836,A,B,48.62549909879983,-222.2657070191188,101.25122726025853,A,C,0
None,69,Non-Veteran,UK,B,D,-70.80893288996974,E,A,-42.93349185840476,47.39762299695977,-27.139625517129183,B,E,0
Physical,49,Non-Veteran,US,B,A,169.7069731509807,C,A,53.822164395915784,-105.29203405274372,11.072788696987796,B,C,0
None,27,Veteran,Mexico,E,E,41.590963755856635,A,A,-96.59730437247785,27.693888775288507,40.83795903807449,E,C,0
Physical,36,Non-Veteran,China,E,A,-164.92093169930098,C,B,80.35198787470635,-1.8068680528071688,65.80795485183633,C,C,0
Mental,34,Non-Veteran,China,A,B,-169.10485582481846,C,D,13.914108576004802,-19.62672769014856,-72.76574687954933,A,D,0
None,34,Yes,Brazil,A,B,44.57967131638823,A,E,26.152039284319716,0.932506159024257,149.2465827969047,B,C,1
No,40,No,Mexico,E,B,23.607449795769732,B,A,-141.75310113350346,77.40342536523667,-40.38248887678164,E,D,1
None,88,No,Brazil,D,B,186.49662045033512,A,B,-15.662001799334144,-54.74469137641276,59.68752779905546,C,D,0
Both,36,Veteran,UK,B,D,-85.7886586356011,D,B,-209.69748355647866,26.1924967885185,-64.58413033978223,A,B,0
Yes,24,Veteran,China,D,D,-53.09245005078904,B,E,92.89250284147056,17.93572756664348,46.74148347536391,A,E,0
Physical,18,Non-Veteran,Germany,C,B,-215.47748641224044,C,D,-110.08732143759087,101.05197361587888,-105.03606459631855,A,A,1
No,41,Veteran,Brazil,C,D,118.06285420506013,E,A,48.36554839158804,148.22872210682593,64.08855480360977,C,A,0
None,60,Veteran,Other,B,D,50.04685736796054,E,D,-197.25785845508446,67.44719135426277,113.83642689200062,A,C,0
Mental,86,Veteran,Mexico,D,B,53.18551487016716,C,E,1.5012528255486908,-118.00152272409746,-179.12831870758217,D,C,0
Physical,60,No,UK,B,D,-109.69134607253972,B,B,-54.9697163334265,23.740553442010587,8.694975922062426,E,D,1
Yes,94,Veteran,Other,D,E,74.40063009842358,B,E,80.5935708172933,-81.41663634967537,71.61470313271582,D,C,0
None,80,Veteran,US,B,E,54.6990890437868,B,C,162.6793320401146,85.84214575188315,8.956000455703721,A,D,0
Physical,29,No,Other,B,B,-38.41594792711866,D,A,6.35364840755432,42.6829089282439,-57.63425116367487,B,C,1
Physical,39,Veteran,Mexico,E,E,-0.0071495179950886376,B,E,-154.2246282495842,152.73912445563752,99.07449072466589,E,A,0
No,91,No,UK,E,B,15.315305993015842,B,A,-97.92063614170989,-77.5397890841749,-55.31306450320961,E,D,0
Both,94,No,US,E,B,-39.38349630971431,D,E,-89.61208784256733,40.89638972419104,-89.39128194949524,E,D,1
Yes,72,Yes,UK,D,A,-55.539062561640165,A,D,-22.209206230300317,-162.66125804891624,-199.97249148903376,E,E,0
Mental,55,No,Mexico,E,D,44.255819433323005,B,B,9.380833693463488,-40.75343023756436,15.936408238574682,C,C,1
Mental,84,Yes,India,A,B,-72.15426895721876,E,C,-62.36985123529004,-76.73440388427362,-68.01878321000906,D,B,1
Both,67,Veteran,UK,E,D,-222.1652902540932,D,B,11.727802075282584,239.4942072743845,114.91170710547888,A,E,1
Physical,35,Yes,Germany,E,E,11.642787765942126,B,E,-20.523972828797703,-21.642586807845642,1.6196452121950942,C,D,1
No,24,Non-Veteran,India,E,D,184.88098982444393,D,C,-13.540417558556006,-54.64895960078645,174.36773258234578,A,C,1
Physical,70,No,US,B,A,-120.78070972984982,C,D,-30.68303269046721,81.93165087002147,150.64611266418999,B,B,1
Physical,38,Veteran,UK,A,B,269.8972621584311,B,C,-120.12994230521153,-108.67982689811939,39.88018959627717,E,D,0
No,92,Non-Veteran,India,C,E,-102.88958167319787,A,E,28.61473981969841,-97.48287303091163,153.2328076583791,C,A,1
No,92,Yes,Germany,A,D,43.89777874421167,B,A,13.225241834081386,-19.001225374759645,225.00631831340675,C,C,0
Both,49,Non-Veteran,Brazil,C,C,112.1751002495699,D,D,154.58847362586948,-23.538456280393742,-149.23560207112615,B,E,1
None,22,Yes,Germany,C,D,110.75950972783319,C,D,2.6110675545400923,60.775409955609305,-69.19501117870651,E,D,1
No,78,Yes,China,D,A,-153.53136306840318,A,A,-147.0777511832696,-44.10725274866328,27.534875015889153,B,D,1
Physical,76,Veteran,China,C,A,289.383772419158,A,A,-11.620072287976853,-86.69562489985603,-150.76764192497868,B,B,0
Yes,65,Veteran,Mexico,C,B,207.33499650381918,E,B,18.80991729012005,-112.50891637788634,26.042662960010727,D,A,0
None,31,No,Other,D,D,-72.51586454039152,C,E,37.930138476655415,-114.40723696188044,-202.24437209161863,A,B,0
Yes,28,Veteran,Brazil,E,A,-58.99289013452487,D,D,-97.3864605204207,55.31575902771313,-83.50846205844014,C,A,0
Yes,84,Non-Veteran,Germany,B,D,59.27398194602206,C,B,78.48727688303919,-26.572110616703842,-1.6122639662107574,E,E,1
No,44,Non-Veteran,Mexico,E,A,-176.83555635306857,E,C,58.56920409122617,-132.32704071303226,-101.14425363921227,D,D,0
Yes,41,No,Germany,D,C,45.914537606864165,B,C,4.564565913329674,172.8099272370925,-73.03410645203661,A,D,0
No,98,Veteran,US,E,A,111.39168888614009,D,E,29.249504296537598,-130.7621207335185,-61.36170325673235,D,A,1
Physical,88,Yes,Mexico,C,A,-1.4551732509788882,C,C,-6.195659049770754,28.148606272705834,24.712602981466983,B,A,1
Yes,51,Non-Veteran,UK,B,E,-106.63493417337588,C,E,12.629431416760827,96.38118942375885,33.5355339948968,B,B,0
Physical,30,Yes,Brazil,B,E,-128.9779138571467,B,D,-10.205297106164233,41.75041038576964,-78.24422119082732,C,B,0
None,92,Non-Veteran,Other,B,B,97.41270814976217,B,E,17.31452422729222,71.57511310550638,126.17781837834603,D,E,1
No,95,Veteran,Brazil,A,C,-138.85279076355735,D,E,-141.499699264408,-101.60781091806624,-63.34135597380611,A,A,0
Mental,44,Veteran,Other,E,B,115.45090329887593,E,A,-151.28284918074385,58.76991630260133,-11.64010969885838,C,C,1
Physical,82,Non-Veteran,US,E,E,23.894134234335667,E,B,12.327685629386558,-92.41639504260023,-95.38322791765196,C,A,0
Physical,75,Non-Veteran,Brazil,B,E,54.48316286819592,D,D,10.91670906327778,149.90760570410498,-26.094589590050347,E,A,0
Both,88,Non-Veteran,UK,B,C,50.7674074857188,E,C,67.36243371168007,86.99954215283863,34.5690299909512,A,C,0
Both,97,No,Other,C,C,-163.80248936773435,A,E,-6.297090575758175,-30.31122575331186,-47.44884731914972,E,E,0
Both,86,No,Other,C,E,102.30313988997737,E,A,210.4393792879998,140.02972362613343,-55.49046902588471,E,B,1
Mental,56,Yes,Mexico,C,C,-87.10856592871453,A,B,51.614556891150656,-86.36825518388153,30.294522785316385,E,B,0
Yes,51,Veteran,Mexico,E,C,83.95321014220283,D,B,84.20559677129482,83.7927580476496,-36.1644832087442,C,D,1
Mental,97,Yes,Other,A,D,-82.71054553550168,D,B,165.86132931918925,-49.13943400930421,63.28058220266479,C,A,0
None,20,Non-Veteran,Brazil,E,C,-55.04895203081161,E,C,-107.65353385105752,115.19515240614157,-92.9940349751526,D,C,1
None,62,No,Germany,C,A,96.31915961684736,B,B,-51.246763862187805,107.74260848129377,41.131872511246634,E,A,1
Both,49,Yes,India,B,D,-60.83659003304638,A,D,-21.513443894392456,-142.63203780600827,-58.08050141224644,A,A,1
No,80,Yes,Mexico,A,C,-15.173507660382226,B,D,-142.1308087821762,-96.81773824120339,-14.121544088089225,B,C,0
Mental,19,Veteran,Mexico,B,C,154.09420629927772,D,A,50.29131552889847,9.047017631658182,204.30606866747576,E,B,0
Mental,74,No,US,C,E,-30.90232369680914,B,D,55.73712056266903,180.99230514048796,-42.090589793842156,A,D,1
Physical,37,Non-Veteran,Germany,D,C,76.93315748897554,D,A,65.86313504163392,-104.90549834336464,33.99659027384686,B,B,1
Both,63,No,China,B,C,27.00561103143977,E,C,86.0561965821264,-263.7566538213378,-12.69311984507743,D,E,1
Mental,19,No,India,A,B,80.59291213970084,E,B,-109.17456553116467,137.70353804811145,-47.63226406930332,B,E,0
No,71,Veteran,UK,B,C,167.41143216565882,E,D,-63.365858033829895,12.717436794178777,-10.356783027964605,A,D,1
None,83,No,China,D,A,91.60983183189143,B,B,0.9083699817926187,-48.185679679832155,40.17918603965493,B,B,0
Physical,42,Yes,Other,D,A,68.82498853775431,A,B,-88.99415229393936,-74.27112781477221,111.49118545588156,E,B,0
Mental,42,Yes,China,D,D,-58.435865451782846,B,D,-131.6086404837392,-20.919390478541164,130.6195629534407,B,C,1
Mental,48,No,Germany,C,A,-136.43299518810318,E,B,-4.320387201073222,115.11395072436402,16.121118281205764,B,A,0
Yes,49,Veteran,Germany,A,A,129.47965704804548,B,C,-304.4242065087576,-68.05770861207412,-246.509233960223,A,E,0
Yes,42,Yes,Mexico,A,C,38.72503429496114,A,E,-15.045809263760008,127.74713549982735,-143.40581371193355,A,B,0
Yes,72,No,India,A,E,-164.04528883635604,D,E,-9.954267957385335,84.39419772197543,-49.399139135735744,D,E,0
Mental,54,No,Mexico,C,C,28.831962736311084,D,E,99.2587155506074,-41.32758791135035,-205.01914546126247,B,B,1
No,57,Veteran,China,A,B,-11.113052243996666,E,E,-130.16825346161048,102.93664986440147,59.273181973561094,C,D,0
Physical,50,No,US,A,B,-16.143016713767043,A,C,59.81621058685086,-83.29277209769072,42.67900138913044,E,C,0
Physical,32,Veteran,Other,C,B,-167.1057785760058,D,A,-155.535790182,-29.75015143939832,-66.57034361214431,C,E,0
Physical,85,Non-Veteran,Germany,B,A,-42.468887361069754,D,B,55.677257114240554,-74.99825156478556,30.319720393637468,A,D,0
No,32,Non-Veteran,India,B,C,50.50463131629985,E,D,-116.89966446398275,16.663598769021075,-141.90154280693673,A,E,1
Physical,52,Veteran,UK,E,D,-1.1052732165853023,A,D,3.2342210304976207,-10.498947275334126,-49.17299438260068,C,B,1
No,22,Yes,India,B,A,92.13105542255488,D,E,153.95569854455002,-100.54025589750066,155.0840680761992,C,D,1
Yes,31,Non-Veteran,Germany,A,C,1.4034475002868143,A,D,57.0167961323595,101.8752669294548,33.221954226801536,A,C,1
Yes,89,Yes,Other,A,D,140.33210020535017,A,D,14.354972835228521,93.06819025687211,-61.60935805778646,E,E,1
None,37,Non-Veteran,Brazil,D,A,-1.5754704833796158,B,B,80.28346981272544,56.80542497888062,-105.34873836948344,D,C,0
Mental,83,No,China,C,E,-87.00441477550352,B,A,208.58237197658394,121.13769169055044,-14.3444625036352,D,A,1
None,90,Yes,India,A,A,62.037785278868405,B,E,-32.94711196392367,-24.515757089674977,90.4940622089882,D,E,0
None,93,Yes,Other,C,D,277.75779769688853,B,E,-290.1265570090034,49.95325789459373,-127.51524816076059,B,C,0
Both,98,Veteran,India,C,D,-114.7615747087558,A,C,-6.106686039210412,-237.3630474505698,-157.25579351927348,B,E,0
None,46,Yes,Brazil,A,D,107.65815659896623,A,C,24.752324049668836,-4.528459016768515,-80.04058634276116,A,A,1
None,61,Veteran,China,E,D,-89.73376128653908,D,D,131.74273120892047,-53.161394648478364,-69.71094261464754,E,B,1
Mental,34,No,Other,E,C,95.68360842418606,B,E,75.54475522551084,36.92819372264054,123.69612035250836,A,E,1
Yes,93,Veteran,Germany,B,D,-58.144452042499594,A,E,138.36297512702663,165.91467569679818,80.35109719028257,C,E,1
Yes,48,No,Brazil,A,D,-39.654918586874324,E,D,-101.84814879065975,-43.87651239497028,35.67135457916461,E,E,0
No,71,Veteran,India,E,D,-136.1957478648939,A,C,-26.764809936746765,-14.360437681265422,-80.43548967090486,A,B,0
Yes,64,Yes,Mexico,A,B,-47.46798555631461,C,A,127.46151510823952,-96.66868403610798,28.736563093967266,A,B,0
None,34,Veteran,UK,C,D,-222.38432123898346,A,C,78.94902887569387,16.178561244375008,-163.97378839882825,C,D,0
Mental,54,Yes,Germany,C,D,165.30865409085385,C,B,-151.2258362006616,-53.61506797072009,-33.10861402626033,E,B,0
No,93,Veteran,Other,D,B,-169.90173743801574,A,E,-50.841180421788835,-119.36241227806512,-196.16095687333802,D,C,0
Mental,39,Yes,China,A,B,67.8810951492813,C,E,25.331400634933487,87.33730610950563,112.8006041437412,A,A,0
No,38,No,India,E,A,25.212604578646474,A,E,92.85853136663232,-96.69875556015552,-65.83810412588167,A,A,0
No,26,Yes,Mexico,E,B,-2.9520250846485134,C,B,52.29493853682944,130.35780436660164,115.23951109262714,E,A,1
Physical,99,Veteran,Brazil,A,A,-38.970388558705,B,A,52.28606668449489,-13.909148291965693,11.381986683951737,C,A,1
No,75,Yes,Mexico,B,B,-51.11761102711449,E,C,-20.16432293281365,-116.26917892011058,-68.7695165560954,B,D,1
No,68,Non-Veteran,Mexico,E,C,-53.92331237200077,C,C,-188.7357756728694,178.7770208977784,-242.6914158804895,E,D,0
No,79,Veteran,UK,C,D,-112.86584423074062,D,D,60.76498314259718,86.71287587233937,101.01764497033068,D,D,1
None,86,Veteran,US,A,E,-39.62017480958388,C,A,107.5745303941841,-78.3289826553516,13.149687393747339,A,D,1
Both,27,No,India,A,C,26.831128465833633,A,E,-56.284457798953206,-76.80137086868584,-112.14113907889676,E,D,1
Yes,80,Veteran,US,A,B,-56.71306047611581,C,A,119.85711568913521,-53.472285558725865,10.132011545457114,D,D,0
Both,32,Veteran,Germany,D,D,-43.48462974830467,D,C,9.225506156827182,129.9792401078569,123.36680083513103,D,A,0
Physical,90,Veteran,India,D,B,-202.14241865340975,D,A,-116.2718046480752,-149.7203658893203,-58.446673176307115,D,B,1
No,80,No,Other,C,E,146.01147593366434,C,A,-0.03856222675435015,-67.1928490555379,63.737379029212015,E,A,0
Both,58,No,Mexico,C,C,-42.85459968255586,D,A,36.00517486550205,-142.0081241551543,-22.803408256396363,E,A,0
Both,99,Non-Veteran,Germany,A,A,32.6178698859233,B,D,82.90087808855829,-31.942792275381816,-72.61523253084493,D,B,1
Both,43,Non-Veteran,India,D,A,-151.0974618684548,E,C,-69.20654278795169,101.73221802454697,-93.65907691672777,A,B,0
Both,42,Veteran,UK,C,D,40.86695296625663,D,D,66.06210621149086,-60.35959473607897,-125.50337324620872,C,B,0
Yes,76,Yes,China,C,D,132.78020125675855,D,C,123.52862183370105,-23.463760123209827,-30.400138446908205,A,D,0
