ethnic_group,Gender,birth_year,orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
Hispanic,Male,41,Homosexual,-110.61105774340368,-76.87717114626007,193.63573673555712,59.74085922373209,D,-92.49494565666777,0
Hispanic,Non-binary,63,Bisexual,-80.850401383666,41.14532772013486,-1.36600693101838,-30.09651389607775,E,-233.7848901484202,1
Other,Other,48,Heterosexual,-125.95117483630811,-106.1926354106027,48.496399542780786,-75.32038692340296,D,-38.561487587652095,1
Black,Female,71,Other,-137.12215438497023,-77.32434390467803,150.23390440322092,-79.97272722267968,D,230.52789735759686,0
African American,F,45,Bisexual,11.042661304797965,-32.07783929234614,-19.560372857875652,-21.326390082550255,C,19.177019598731533,0
Black,Male,53,Bisexual,-221.594003978307,-6.034952423000266,83.43068678549571,56.217349469271106,B,-143.45572929197866,1
Hispanic,Non-binary,28,Bisexual,74.66843585646052,75.1077266039624,56.85529348113104,21.18457889824584,A,-9.11158259221378,1
Hispanic,F,62,Homosexual,-30.35907859414858,82.92958930871835,87.78578957431927,17.324853085548146,E,115.0644896795862,0
Asian,Female,61,Other,-71.04326488757499,-147.85289592728196,-23.346747813064873,-34.12010844153049,E,-87.79681357905869,0
Black,Male,19,Homosexual,-24.820334415965373,18.70896097013615,81.9369983896854,73.67821374135443,B,14.945467069674692,0
Hispanic,Male,40,Homosexual,5.747754273417625,11.583404169188443,-134.89974776861246,-12.554382105407115,E,62.4890699891265,1
Black,Female,18,Homosexual,-195.34857235948263,120.88177652238903,119.38393408338364,22.310346710859214,D,30.34345040156013,0
Black,Non-binary,76,Bisexual,22.87146440051012,41.67233074767191,-103.96372693217548,45.64882703722197,C,-156.86076358487858,0
Black,Non-binary,34,Heterosexual,-12.687460415212287,122.81493479685398,-160.0353185231525,17.6409120870058,B,-71.02380585370443,1
Other,M,72,Other,-80.09556921313099,-73.0505856897571,86.02861867858218,-28.85690072520648,B,48.38987354331378,1
Asian,Female,52,Bisexual,25.71799070168719,0.7239767475951735,-30.25986355558496,-118.0005100569426,B,28.086421468782568,0
Asian,Female,48,Bisexual,32.27639765347153,-41.70808801764254,-136.11168099922241,-39.03370246086517,E,61.40281169066455,1
Asian,M,23,Other,166.2445905366085,-112.10909344097028,-46.27246201020977,123.98576043454854,A,-21.42889141348208,1
African American,Female,72,Bisexual,217.13417317677073,50.40783682105715,40.56484197575766,-14.278989251958455,B,27.501800693440803,1
White,F,64,Heterosexual,-37.52754259561083,-43.47994441515423,-6.2880510685706135,-23.409725270073135,B,-0.8445783073179203,0
Hispanic,F,38,Other,219.0229841122067,4.968607336472666,-19.527256692803714,-177.4172915745219,B,34.59518488273015,1
White,Male,42,Homosexual,120.1944711938874,1.2169617074396908,-42.93159095982798,67.00106419649914,B,182.8591585787273,0
Black,Female,30,Other,213.05929568942696,49.17478046378997,80.23392410836556,-73.30243147510276,B,133.36222860435808,1
Other,F,73,Homosexual,-3.871231622055963,93.0708354254611,-79.7583602262576,-60.46576289009714,D,-182.3871066777232,1
Black,M,64,Homosexual,136.7313256889822,-60.61090548558051,-91.32845284034127,7.35833993045565,B,-117.72078277903088,0
Hispanic,Female,56,Bisexual,25.516280490904165,-185.29978837628886,180.4557009271435,49.56273591602538,C,-5.552588193737818,0
African American,Other,50,Other,-32.65123646209268,-208.83679903870083,65.09701292262586,-166.2411681038796,C,57.116681466173745,1
Hispanic,Male,37,Homosexual,-21.134131440040203,-68.34191983439386,69.26550887857925,-109.79449733082573,D,17.91394694419371,1
Hispanic,Female,53,Bisexual,-188.84568241725177,79.20052165431098,-143.64639973859312,40.98605841740862,A,-195.30959946204482,1
Other,F,74,Bisexual,-160.9884615304766,-52.737123781033304,-15.188420772402983,-59.744169818805595,C,12.85700291266629,0
Other,Male,70,Other,-16.94527191226426,-9.767867592826649,97.96055652314082,100.20511522736048,C,-99.35843571264252,1
African American,Male,79,Bisexual,128.77366678698877,-122.44285576470651,114.4691286077594,82.9122597434227,B,64.92419895010907,0
White,M,67,Bisexual,-8.934185497968967,175.01063978435346,92.30200347429202,-44.32736211586453,C,10.583854269432331,1
African American,F,55,Bisexual,-101.35505274106605,150.02024180720844,-145.5098258984489,230.4947225614333,B,17.77669393678417,0
Other,Other,50,Homosexual,-0.014693789167060248,-65.56636771626,64.19224589098177,35.63800067532494,A,169.11297477266564,1
Asian,F,51,Heterosexual,224.7522323672584,-23.12105998744683,-217.9385697736809,-82.22846226217169,A,181.974106275827,1
African American,M,32,Heterosexual,-125.76839606762817,25.50206123191494,-197.00179788001995,-14.420542786286372,A,-48.745921979569744,0
Black,Other,54,Other,114.31937810308679,69.63042126898483,-113.80751450855425,115.39969460800312,E,24.60368657160159,1
Black,Other,28,Bisexual,24.57520136655427,16.392824388891334,65.41506057537173,10.627191469975692,C,-163.0921818674228,1
Hispanic,Female,76,Bisexual,-12.924017006604652,-55.616390240273304,60.23773635584825,115.61846401581089,C,40.528745499723115,1
African American,F,64,Heterosexual,-112.41643872579334,69.9862343146993,-194.3962289253539,-2.2509445789952327,A,6.326369012350249,1
Other,Other,29,Other,71.6865664383683,-150.78953090313786,17.182004402091327,-119.41047102957751,D,-25.716109108720996,1
Black,Female,29,Heterosexual,176.45871329929784,79.94337403258372,-118.94863602188657,-93.640261732606,E,65.42442064310305,1
Asian,F,23,Heterosexual,64.37872015995646,65.50499626445617,-71.14576872561224,141.18197738769894,C,-15.43458381849998,0
Other,Male,59,Bisexual,-9.51116058850116,-161.22108059353383,-177.3495733202259,61.55238784661925,A,-61.24375202313958,0
Hispanic,F,66,Other,-3.322225561571974,189.06490377504207,-63.01886204172116,-115.05180358355706,E,-177.78811400694124,0
White,Non-binary,45,Other,83.36252680750073,-108.5211037342963,35.32985199137673,100.55109007080982,C,-58.33426179118746,0
Hispanic,M,33,Heterosexual,-90.05581619388482,-79.67664215084329,27.941720258862073,118.16015888259528,A,26.816724601878665,1
Black,Non-binary,31,Heterosexual,42.505893525212365,100.34545483946383,49.17949528049918,-206.1836599627401,D,-148.1695186374884,0
Black,F,22,Heterosexual,-44.625407839122246,-11.278832195962218,-43.33001371863603,-35.204699628408534,A,-93.02579544564654,1
White,M,28,Homosexual,-53.07637054338862,77.28602326160483,-61.67120016155755,53.09513564387286,C,-187.40487231657696,0
White,Male,33,Bisexual,-64.59371564300709,64.55924600832505,-46.31248339280455,172.577349616212,D,152.6225916714205,0
Asian,Other,76,Heterosexual,-178.90317314971412,156.70175018935294,-0.600692307884972,25.911774826741397,D,-29.520764670341322,1
Other,M,55,Heterosexual,90.18891308724717,-142.8419593969397,-74.58811424998628,-66.04299702612862,E,86.28347899751539,1
African American,Non-binary,66,Heterosexual,68.1865335624735,-65.02420335464514,-88.3353485476061,-58.53579342174054,B,-6.269353681890221,1
Black,Male,42,Bisexual,225.78067436154842,184.91015685275383,200.9849634545046,-103.68063479337286,B,-212.3025818032235,0
Asian,Male,51,Other,-67.12839290487686,170.8125371618977,11.583581087422504,-14.789323030930776,D,55.6626737164972,0
Other,Male,37,Other,0.9644759689806961,-51.621262638604136,-37.509733590733504,-39.479299853016684,D,166.15090379386552,0
Other,M,30,Bisexual,69.85363974354968,-28.894235087048546,-14.03220892389376,-164.67223997370976,B,92.11893794709569,0
Asian,F,57,Bisexual,17.05716271640169,24.036632476548636,-153.70938128774714,-93.05432279090573,C,-97.68767422087453,1
White,Other,21,Bisexual,12.693772975628551,28.522796435417664,85.13456861549672,21.698137312568644,C,90.10130066133917,1
White,Female,62,Bisexual,39.669825272371924,13.782735779544428,-123.80260465632927,46.69211149192871,E,28.201418034487492,0
Black,Other,59,Heterosexual,28.459193628524204,-24.134080227060103,-81.15501254190357,42.55429219235615,D,161.2142341000195,0
Asian,Male,31,Homosexual,-48.33181197938313,16.53112090046841,-89.21165786183093,-152.3330667162235,B,9.152891599841807,0
Other,Other,18,Heterosexual,-97.15247784790986,-29.08862753901895,-138.60001885050153,60.172204676419014,B,74.24175703865701,0
African American,F,64,Bisexual,42.99344665069943,-51.5730856494224,1.6326551312915105,-46.97162311340508,D,3.4381623309388374,0
African American,Non-binary,35,Homosexual,62.56815111986073,151.92169567569903,117.4323499157305,111.12715801635953,B,0.9227054765157453,0
Other,Female,22,Bisexual,59.120354635590964,112.3291888491536,-67.50179277069161,106.92355678207849,E,-94.9222075878841,0
African American,F,47,Homosexual,-20.506056745203203,-58.5318644733806,-23.07434596896571,136.71027663022852,D,-22.40381297547331,0
Other,Non-binary,68,Homosexual,-212.69564257272845,-11.163269845795062,-97.46695953923049,83.61650058218878,C,19.941388208717097,1
Other,F,31,Heterosexual,-96.39650064517619,35.128923826153994,173.25493679760933,-84.20758976202461,B,112.12040395713032,0
Black,F,30,Bisexual,-85.14628715901225,48.43192008567123,119.77954723284785,5.093868510121849,A,59.09068974507379,1
White,M,39,Homosexual,78.33425253128696,-107.52410777405753,-149.39116177540296,-154.55315460016928,E,89.86394740260349,1
Black,Other,34,Other,58.087047673100535,114.77956961454758,74.17163815087744,17.5090523557163,C,-110.04475934246345,0
Other,Other,50,Homosexual,-67.76476687239888,146.8632979584817,49.21442908546929,95.54235223580194,C,104.83161661323052,0
African American,Male,38,Heterosexual,11.72687836901797,-127.63265988931836,-237.1407074145549,65.53513908291195,A,46.59688647394351,1
Black,M,22,Homosexual,103.73861690899413,-34.53831960416583,-122.18601250009931,54.35080274836225,C,-63.93059849454471,1
African American,Female,52,Other,-113.79234906705497,-29.308049207251724,73.76833100002752,161.214367174425,E,23.66036062203921,0
Black,Other,65,Other,37.57127543395961,-123.83510293835371,64.12511424712206,81.35006519816928,A,-16.186668973066574,0
White,Non-binary,43,Bisexual,-90.26935365998247,-17.906271546409272,33.271038548340535,1.162654707560655,B,-76.98217744931264,0
Other,Male,79,Other,2.162253081178841,41.17994665836927,31.53874524715688,45.47085366210396,D,-59.338352278437824,0
Black,Male,42,Heterosexual,-37.53410779594103,46.66520843925203,-31.160644033882313,-34.68464876604687,C,41.77044970558777,0
Other,Non-binary,79,Bisexual,-263.9086704268419,-74.22843953839117,0.11988920400010172,-49.8095361248733,B,-55.720885135849876,0
Other,Other,51,Bisexual,25.454202733920805,-26.122528433576058,51.297234008113655,51.711667912312166,D,-11.380425657743363,1
Other,Other,79,Homosexual,-96.12024983407312,-194.774694060594,-183.56039713823083,-7.693530635011172,B,15.443449284872186,0
Asian,Male,29,Other,-92.69703479230265,-97.41786451008058,41.64297451109032,18.67908995965832,A,-34.4557963644777,1
Hispanic,Male,23,Homosexual,-139.89723995928097,-10.909727690425175,151.62192342113968,-15.992566245273066,B,29.63154658959941,1
Black,Male,29,Other,-52.32118060956902,-119.50863406554446,96.41680010387516,-24.703086001049495,B,26.336462905639184,0
Asian,M,63,Bisexual,-43.2125052760271,-8.041157780519116,-56.95583269471365,-11.621108852845211,A,87.25905148634948,0
White,Female,50,Heterosexual,68.50564061139553,16.856499398571632,-192.1683327642839,52.99073511550043,C,16.754486760441935,0
Other,M,45,Heterosexual,34.27670221272568,-37.60829402126543,62.898933805474954,-19.12959524747003,E,-102.37454865700101,0
Asian,Other,71,Heterosexual,-42.415960363945956,-59.33696147893194,26.422336524161093,59.54430799057284,C,95.20892063231086,1
Asian,Female,68,Bisexual,197.46076078317282,192.47473622852493,-1.1094660797299947,41.965573323159525,C,77.89931630479838,1
Other,Non-binary,21,Heterosexual,-42.274905281497816,-25.37122515009353,-152.18098379847055,18.766241112466396,D,70.83449404976861,1
Other,Non-binary,67,Heterosexual,2.2846492126510523,-203.96426274844166,-114.01842463680933,-44.98640954679299,D,-122.3921272501259,0
African American,Female,79,Heterosexual,-13.662754291515803,264.2915434643768,-15.315883136468011,64.59915140613684,A,-2.502853240849239,0
Asian,Other,78,Bisexual,-109.0017672109232,-14.730923337790669,-15.231807097197139,52.38565217830454,C,-71.08610575473391,0
White,F,47,Other,48.69189759497181,-91.709174229553,-73.5294470076212,2.066887140623721,A,-13.383283164870353,1
Black,Other,71,Other,-123.93228731493495,47.072941068896355,-46.53280418824679,-74.60709374713467,C,-27.24096808227258,1
White,Female,37,Homosexual,-1.4975001146116127,-140.87584381672627,22.654196233287706,-158.95893904858664,C,97.66939840410942,1
Asian,M,66,Heterosexual,34.5238840963982,-10.521086579393872,270.5420080102916,147.4112962653991,E,-16.774285789473574,1
Other,Female,34,Bisexual,24.260056269528295,-87.17489024365938,59.134225296389786,93.87863539806267,C,117.9248142903892,1
Hispanic,Non-binary,33,Other,-13.066851197191468,-50.944260810569354,-207.92945505508663,37.49583878100531,A,-119.12992937613609,0
African American,Other,62,Heterosexual,18.87244358083195,-32.176541314902224,-104.54835055226694,-127.28191080149556,E,-246.43131859915667,1
Asian,Female,54,Bisexual,99.23953558880247,-136.02083722442205,7.582305925023035,4.9653137409701325,D,-202.49221516166364,1
African American,Other,70,Homosexual,-19.895022477289075,3.7675754177979406,-29.14651367389653,122.16204509536368,C,-65.22165353564058,0
Hispanic,Other,35,Homosexual,-71.97389455831711,85.89673675591557,-34.10390540259916,-139.11180696579447,D,-14.136432585632386,0
White,Male,65,Other,-86.690717789638,-104.15033222168324,15.25438915188215,20.640112218603644,E,38.77529192349102,0
White,Non-binary,63,Other,31.629224788587294,-74.64825503324302,19.680085279283833,152.6126328312308,D,-24.868557995899724,1
Hispanic,Non-binary,33,Homosexual,37.48009020807749,21.970541787121352,1.5190599389556703,49.87839867199467,D,47.29200095294971,1
White,F,59,Bisexual,-66.67001216652636,-35.345636373949205,-42.28060527575046,-45.93060007151231,C,96.62409580008449,1
Other,Other,32,Other,-78.86470076792571,51.89740042646315,53.16461364684761,-67.13640375048001,E,-14.774872616822918,0
Black,Non-binary,40,Homosexual,-56.73608636407088,14.94519356971752,-33.134171695441424,46.86704213598317,D,120.18052300871385,0
Asian,Non-binary,40,Homosexual,-140.889475065161,15.062169656121615,34.67752273976616,-122.07462610377708,D,-98.67199643963092,0
Other,F,42,Heterosexual,143.6109102676771,51.96226284719354,-51.53652267387203,-14.915883431891713,A,-106.57801047939819,1
White,Female,41,Homosexual,-44.16384036182858,40.75856842069757,-4.314285811427466,-124.7103680914712,D,-187.27694741855484,0
Asian,F,33,Heterosexual,-75.60995843668474,-72.95404076134909,247.9293587249774,80.97258478952742,D,-79.32960528387035,0
Hispanic,Other,65,Homosexual,26.402763154446614,99.72179166223405,55.35381975684993,8.22352449304774,E,208.94520832080246,0
African American,F,20,Bisexual,-19.264069310590624,-14.21406293796319,-37.29370589437077,7.246547733293708,E,116.14470995543846,1
Asian,Female,28,Homosexual,28.5486900607533,-180.60964101072034,-85.56299747447976,-154.86868511134983,D,-242.42723756901194,1
African American,M,57,Bisexual,62.119879586487045,-107.8818966509181,38.006746606713364,5.338388102218323,C,142.19058464305618,0
White,F,49,Bisexual,189.154232184661,-38.73804300200263,-156.8308019424786,74.1257332002181,D,-29.375271535369546,1
African American,Non-binary,44,Homosexual,37.47809958751124,134.9219756562006,63.98485581200153,-55.76232722161676,C,10.046264580205781,1
Asian,Male,71,Other,44.12869826109754,-105.29616823674257,-13.230662209053106,20.569126376794898,B,82.77571090795513,0
Black,Male,45,Heterosexual,-9.194337241699614,62.85443350103116,112.8744383254107,-51.056186706570486,B,-55.76669919529655,0
Other,M,79,Bisexual,-39.830299131545985,-27.084993506554955,-126.67005599409202,135.81125663594187,B,-122.47058891347176,0
Hispanic,F,55,Homosexual,-86.72961835450648,-49.932110004771765,2.9052103158906117,-192.50665827899323,B,-4.769431469473713,0
Asian,Female,31,Heterosexual,2.1516417911954364,8.324724990196444,226.85940241733155,259.1320531352014,C,-18.864316759032537,1
Black,Non-binary,19,Bisexual,155.63824625760878,21.745728747527885,206.9583698275937,-9.592844483590277,C,-22.36753924155471,1
Hispanic,F,21,Other,23.140959208453374,-27.95405830103681,-5.744664530142205,-25.11693590494036,A,-87.91455769485312,1
African American,M,67,Homosexual,61.597547887365,124.18050731693577,154.80504202663826,-114.64836690809213,B,-87.78226297356264,1
Black,Male,71,Heterosexual,-50.0742188803854,76.69745897102759,14.995360751585803,90.16527193515435,B,-162.98351170074397,0
Black,Non-binary,45,Other,207.1103024954042,-260.31153156345715,4.951662748925301,-68.7623963423362,D,162.71121531430282,0
White,Female,48,Other,-104.3698220448813,13.885890261309363,119.32552203088717,28.758915860783656,B,37.80899842326753,0
Other,Non-binary,18,Homosexual,72.40192547077471,73.13735984992813,-87.71477629264956,106.51358258865152,B,83.86984209916513,1
Other,Female,36,Homosexual,24.28123127988426,-83.50585654660087,57.130977923462545,-47.9744964162116,B,33.4377281394135,0
African American,Male,77,Homosexual,112.88182109154693,-38.146122226640124,-28.376277373818294,-116.26662221619932,E,180.39022914323573,1
Asian,M,44,Homosexual,27.3739940465048,44.70666095658839,75.42735983611715,151.04471176057277,C,-120.90845427882225,1
Black,M,49,Heterosexual,150.19783995465136,-9.059208430953266,16.946546964013308,-43.242719429375256,B,-121.79261436512402,0
White,Other,69,Bisexual,-93.20181662334413,-83.64812373647305,169.5764944851699,85.32043580163055,D,-105.31617769939015,1
Black,Male,79,Other,18.601858760836524,22.684741056078806,-35.96687128619837,63.02337393489527,C,-133.72087404971074,1
Asian,F,57,Heterosexual,-13.339040706383093,132.06646419900946,2.657893780237595,-209.61891444271487,B,9.701007784012582,0
White,Female,43,Homosexual,34.13180130966286,-31.20063147883862,-121.56767307805147,-43.28130968723747,E,10.697124204636314,0
Black,M,55,Homosexual,76.37363137196263,-92.02577988044659,195.6862765159089,4.230745794965045,C,109.0802007912075,1
Asian,F,70,Homosexual,-64.82606967551365,58.420315174546126,-23.38399731953053,38.698178813486194,C,0.6419111778534903,1
Asian,Other,72,Homosexual,100.67134693715187,104.47941232568034,20.427175787931105,-0.7311260660033225,D,165.97709272379035,1
Hispanic,Non-binary,61,Homosexual,-27.840057386820583,171.22922179626082,-107.89821464723705,55.5861049436163,D,-211.59459709274645,0
Other,Non-binary,77,Other,55.4293390353242,-36.8620797057832,100.95327578703976,23.882472989809862,B,-232.28474002635613,1
Hispanic,M,44,Heterosexual,-109.49537870756618,-221.23202580865177,189.4655620174252,-94.33188741480326,D,-51.691711370859174,1
Hispanic,F,23,Homosexual,-7.113561372246917,-49.68045357826321,32.84599335328987,-89.46124900271755,C,92.07690479347596,0
Asian,F,72,Bisexual,-130.98655909669907,123.39343221637178,-76.57305394657274,-39.45699770995218,D,16.238561101261816,1
Hispanic,Non-binary,50,Heterosexual,-148.71887909388713,-10.75121340164725,-85.99381926310467,-80.42702713389497,E,-14.408163341916556,0
White,Male,63,Homosexual,57.72320941502008,-131.81840266118644,-124.62086139186637,1.4556997090643664,B,-15.450311219373972,1
Other,Other,57,Bisexual,-12.18112446986577,150.81794887924548,-97.93347509677804,207.11396990453395,E,15.099721904419752,1
Black,M,29,Homosexual,-85.50373136164878,151.02577075906646,-52.133493805201724,50.40864304603814,D,83.33376451245957,0
Black,F,50,Other,6.67906406773134,168.60209446806425,-17.633436911931266,-278.13622472192236,D,-64.91586379923106,0
White,Male,24,Other,-88.09200579786972,-40.182366699236155,193.16076054247583,112.53808565108044,A,-66.61384731795289,0
Black,Male,22,Other,-31.185276343614643,-171.00694145731333,14.477560387157313,90.53451131534403,E,-7.744991552327816,0
Hispanic,Female,36,Other,94.91726723888603,30.788458779697848,-35.38067461616548,-54.45607555701525,D,145.31988006847024,1
African American,Other,60,Other,38.48537373274343,34.296869795884966,37.062140739390905,68.22642501964843,A,264.51088309880004,1
Other,F,50,Other,-2.5078802585373836,10.767417683897454,112.6617808651843,-37.70387807423863,A,109.67029547269051,1
African American,Non-binary,59,Homosexual,2.45830192595122,169.07991950012067,311.0714327033498,-167.8942549807117,E,-129.40135595292392,1
Asian,Female,75,Homosexual,115.24082447494433,-209.12826409532695,-64.93897085363926,35.88155366719416,D,-117.59655241160077,0
African American,Other,34,Bisexual,-120.41360229968514,44.01793606067541,-86.72478094167643,-50.93334640154291,E,-21.93022922542183,1
Asian,F,66,Other,0.9306786816736778,194.58506514192428,-64.47290871931224,-125.14126347706072,C,-131.94757203754986,0
Asian,M,30,Bisexual,-77.48574294412137,-92.71061708658456,-124.80207374505568,-15.950250220904158,D,79.04057529031255,0
Other,Male,59,Homosexual,-164.31460789818587,60.75800092379022,-37.984656953683455,-186.43794037595913,C,59.877582892855315,0
Hispanic,Non-binary,24,Homosexual,69.52246851151784,-17.408659777355975,-18.99519087087716,126.7330514444363,D,-95.97295036362627,0
Other,Female,50,Bisexual,89.03153409989918,-7.267166813556096,86.38261163452657,-18.011184023383237,C,-34.2505562284121,1
Asian,Male,56,Bisexual,140.03302734139265,-23.226399882249225,118.86841021790077,-182.18901018366927,A,19.603057541409356,0
Asian,Other,66,Other,195.6465546012756,59.32786655837565,-172.50236424695115,-81.16884627760297,B,-33.26916028310908,1
Hispanic,Non-binary,56,Heterosexual,-245.5202635762634,56.92637516079463,186.80289705071286,15.07909250005254,E,-47.684761458876366,0
Hispanic,Male,67,Other,-20.680030647975116,-59.310067843786264,15.819161153000435,184.5183076420928,B,106.6213983990206,1
White,Other,39,Bisexual,-3.6519519414956054,-90.12521830099323,-82.06657928648272,-35.08859378352673,D,-204.18046382860697,0
Black,Non-binary,71,Bisexual,-162.20578596387548,-75.58876707052914,-20.539387621070627,-17.180845197993058,E,-121.56175034014558,0
Black,Other,78,Homosexual,162.4501965071714,-205.37903712246322,183.46484149635268,40.36971003886721,B,5.13008278208895,1
Other,M,62,Heterosexual,35.8022223206076,47.57935228834396,-63.97379108301363,112.02146879147739,C,-62.473764627005245,0
Black,Female,41,Other,-31.860029036113012,112.89987004559426,198.28813404346096,-27.431874095721366,D,-35.99294949239316,1
Other,Other,46,Bisexual,-50.51082399385724,47.994483484482906,-92.85363257334718,57.57550274922829,B,-159.60953990195722,1
Asian,M,30,Bisexual,-85.94231176523235,55.226646409848776,126.6395470453195,14.016892147716572,B,-72.2269051078557,1
Black,Female,27,Heterosexual,-193.76265205896902,71.10780056502432,58.78896966323809,-56.859006139561906,B,-75.39776230818886,0
Other,F,33,Homosexual,-5.520179096121598,134.23684348004,-105.00932538894614,28.956186436652676,C,-166.96773514908196,1
White,M,22,Heterosexual,-28.177837294474916,45.616849095006785,42.62832217429835,13.129267551941773,E,-128.21144644868164,1
Hispanic,Male,66,Other,8.93515919408603,75.5768520873387,-0.30400960770111723,62.46037185297201,E,-157.1487423481287,1
Other,Non-binary,73,Other,12.44632440098734,149.7364268201203,72.4852935258497,25.881235511793832,A,-8.98632731239059,0
Other,M,45,Other,11.390087662186971,-7.026708355073877,121.71319682346196,-367.09534427637,A,-167.48773702901784,0
Asian,Other,77,Homosexual,14.177199703197424,34.05950982163741,89.66818277484163,64.21038664476768,C,80.17881741568166,1
Asian,Male,18,Bisexual,87.57930337074035,66.82818544553992,3.455748232449049,-67.14730874495643,D,-184.09763926345624,1
Black,M,55,Homosexual,-31.22736363163885,-143.0617204442174,244.31269856128176,-123.20727107876561,A,-105.13396527850227,1
Black,F,49,Homosexual,-99.34692831435031,-12.997227225856319,21.327760435517245,-15.354678726666544,D,-54.597763735963426,1
Hispanic,Female,75,Bisexual,-130.61815611972136,-102.28933864994956,-127.29764741457635,-94.87758042742799,B,-47.86971927240714,1
White,F,40,Other,32.941520010840186,182.24957588457747,64.12724631657284,-176.78379914531945,B,-82.15462686544322,1
Hispanic,Non-binary,28,Heterosexual,156.27805994489134,-102.52140888154474,155.85529652932422,23.07452862577683,B,70.21278374910268,0
African American,Non-binary,37,Heterosexual,-27.80309538005873,142.61975850066938,-58.92551566913164,59.50537407743614,D,36.675449909552924,0
Black,Female,22,Bisexual,62.12700388823201,-73.00138069308116,-204.33511944220712,-222.016964250226,D,-114.09860415995796,1
Other,Non-binary,71,Homosexual,11.954841411399354,6.005064914446121,79.7320064452688,-34.46805619153895,B,-3.370936881533134,0
White,Non-binary,39,Homosexual,-127.53496036057972,-135.1241734059037,-79.84572322162417,112.98060310097331,A,-39.20220175264783,0
Other,Non-binary,53,Homosexual,-27.377221444195595,-110.74002410713612,-41.983593001771354,20.878193759719668,D,98.85529847042042,1
Hispanic,F,46,Homosexual,88.0077705849158,-54.60108093992929,-57.024538342984265,120.54601652520178,E,-59.840025038153975,1
Other,Male,24,Heterosexual,83.52003464602569,74.11577620442196,-136.9539688334435,142.55987906207685,B,-120.33917833713372,0
Other,Male,79,Other,9.930215801880085,170.56323339749702,170.8583203314168,-91.53767362647841,C,37.59692006117354,0
Other,Female,77,Bisexual,-101.55444512091378,-167.53402142273305,27.612576910218838,-0.5356058690572372,A,68.53442603572108,1
Hispanic,Male,47,Bisexual,-77.78174127402602,-35.27889958247237,-1.9462457772564408,29.789801207218257,A,203.42859953598963,1
Other,M,43,Other,-114.46496262133599,136.81495431260845,-31.81705606989027,52.2300193526339,D,-89.3578666987846,1
African American,Female,47,Heterosexual,0.18199992436214266,107.19563429077571,81.23838997809874,40.69636898589165,B,22.33676542426077,0
Other,Non-binary,61,Homosexual,174.57395492497517,174.98709941816247,-45.00698691258564,-50.68267382695294,C,240.4242310552909,1
Hispanic,F,31,Bisexual,-71.08580488422791,-162.68407891800481,-113.59850644348613,-122.35992381421016,A,44.122833357137395,0
African American,Other,29,Homosexual,93.60090859309014,16.03784990877644,44.15531199905648,211.27160353787602,D,94.99856274405931,1
African American,Female,33,Bisexual,-35.57196953427061,-3.810404864794683,84.36774045108469,-52.52666786921984,C,-67.51443921882327,0
Black,Male,76,Bisexual,17.004849325538046,47.68712892845961,-3.2961683889230637,-112.14809536242969,E,122.00888898678323,0
Hispanic,Non-binary,31,Bisexual,86.9467688263018,-71.71622413283838,126.71861388585295,-108.34619333549401,A,50.16502068083572,1
White,Female,38,Homosexual,4.765057734857941,49.301493542497234,-108.55321790692065,189.50269598050627,C,-79.20022299624037,0
Other,Other,59,Heterosexual,77.71187798659389,26.689142214514632,0.8430433139267283,54.928417630037366,D,85.77058852339961,1
African American,M,64,Bisexual,-54.17057320125329,-16.550621259483783,-113.14477878661972,73.86356424894474,B,75.10446506363905,0
African American,Female,35,Other,31.374959781141353,4.778928307705672,30.26602947685872,121.65613378957396,A,47.82688003273708,0
Other,Other,20,Heterosexual,-52.65830757446472,-22.452950584502613,16.264559593409704,39.738435354084004,E,59.266561776350976,1
African American,Non-binary,79,Other,-135.5070421882933,-60.43844421080503,8.225487929999522,85.83823792827798,D,-30.382546665607222,0
Asian,Other,42,Other,17.61654416490654,-153.72141371801263,-167.9418701126355,96.23783894118834,D,50.74656018169797,1
White,Non-binary,60,Bisexual,42.15991960102464,147.28616594448485,-95.93627951855535,-165.922484528285,A,-13.376168873145735,1
Black,F,18,Heterosexual,16.449453839920142,-100.78315676762269,-90.91097453878928,-18.261470836901207,E,5.562923096977525,0
White,Female,57,Other,-3.955361127665981,40.29079772209514,-29.546174857381118,168.46805383194518,E,-162.97245341862387,0
Other,Non-binary,74,Bisexual,-108.59773843362306,-22.467670898490116,50.934655471796916,326.36943675364574,B,-60.177621642472566,1
Asian,Female,72,Homosexual,-78.80190090000451,74.88667116483893,-3.685815557752702,-91.16985663649331,C,-155.1409852375512,1
African American,Male,52,Heterosexual,22.553223781644117,-130.63079906269218,67.79576345331047,-15.49618293974491,B,91.61154521052887,0
African American,Other,39,Other,-57.512936973086624,-72.68846157319973,62.91437298081096,65.40717107130666,B,101.31693252267499,1
African American,Non-binary,69,Homosexual,-27.30974324127939,-3.544893639605394,25.530699148489482,19.06788020892244,C,-99.82991932213413,1
African American,Male,65,Other,-52.936570432719975,69.71234180637713,-29.336504233922934,124.38728120729701,E,-42.49099462747203,1
Hispanic,Male,38,Homosexual,150.58383161629186,-40.18496330544756,7.949579673649396,231.31693226846656,C,-49.45800513270188,0
White,Female,45,Bisexual,0.21871146445700926,-100.7575549751515,-10.243439680372033,-68.1658295676999,D,-32.311229370774825,0
