orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Other,C,B,9.277979461886963,B,-70.5844481412164,A,A,D,C,62.60533020609829,16.206913638400046,0
Homosexual,B,E,67.80814646956937,B,4.871641014985127,B,E,A,B,-72.24665560766095,82.66464035986367,0
Heterosexual,D,E,93.97526327389151,D,213.66047692053516,D,B,B,B,-4.672161237510958,-122.01466493614907,1
Homosexual,B,A,57.748810288222195,E,95.21461752677844,C,A,A,C,-42.58343198273623,93.38373543804113,1
Other,D,C,65.75037336768003,E,93.54948920233164,A,E,A,D,53.37139952807563,-177.44734869915845,1
Heterosexual,A,E,-30.01949809155612,E,12.584982799830094,E,D,D,D,45.60822997590476,-114.4979982613821,0
Bisexual,E,A,-97.32359633566409,E,-2.515038472492024,C,E,C,A,13.55227709243381,83.97431266358211,0
Homosexual,A,C,-2.4303677539614528,D,77.10796493842142,A,D,D,B,-88.34665755456085,-44.4334035786477,1
Bisexual,C,E,27.888640834502137,A,-192.27176369808777,E,A,C,A,-63.44560204190815,-79.84403140236573,0
Other,C,E,114.84987974652768,C,14.827116365279721,B,D,B,B,93.9535556886675,-112.09407970869287,0
Bisexual,C,E,-40.95559589318293,A,-199.4611157246182,E,C,E,C,-11.87102516187604,-6.669966764597679,1
Homosexual,D,B,-70.78227867569822,C,-53.67879527663407,E,C,C,D,-85.80670376261466,45.03390295622996,1
Bisexual,E,C,7.87413792848324,E,194.35985000271444,D,D,A,A,109.40638104968994,86.51424848099329,0
Bisexual,D,D,116.74533886119794,D,138.81421870090713,B,C,B,A,-84.76426062212772,-30.42474277371446,0
Homosexual,D,D,-49.294564690680446,E,-242.80549738875342,C,B,A,A,32.957281253509855,56.35390389542911,0
Other,E,B,-48.530523585466504,C,-201.88908804787377,E,B,B,A,71.4148465660367,19.543020840803006,0
Other,C,E,-27.626238323571517,A,-9.375708269373312,B,E,C,A,-44.15452583663674,-27.192464173390597,0
Heterosexual,A,E,-93.99707927699538,B,-50.95152984576161,C,E,A,A,-141.03216303860927,-94.07238539773894,1
Heterosexual,C,A,-156.3640631622672,E,-43.30701301585225,E,E,D,D,25.510162091159234,-8.196345800034612,1
Homosexual,A,D,-44.893570903117244,A,83.1016417962976,C,A,A,A,-25.351221371087433,2.4231917364989415,1
Other,E,D,-109.44769617349964,D,3.9274433212310416,D,C,C,D,16.59668912071708,-221.69299845152196,1
Heterosexual,E,B,69.465187111954,D,65.98496667974779,C,B,B,A,63.97954436884263,-113.16095918602468,1
Heterosexual,C,B,58.02872523810895,B,33.97233166795981,C,C,C,C,-88.25935237043375,48.37561283403537,0
Heterosexual,B,A,65.75289022343131,B,121.25895486867977,C,B,B,B,168.87561841821505,143.76416318951416,0
Bisexual,D,D,249.56805371386253,D,-201.96493842588472,D,E,A,B,111.56468625748954,54.40162496428248,1
Bisexual,E,C,-3.52810005772094,E,-154.66701220680127,B,C,D,A,70.42550301625725,-50.91977252202733,0
Bisexual,D,C,-5.48120239064163,E,66.34856667935372,C,B,C,C,264.16854227730585,-88.67873428613822,1
Homosexual,B,C,22.749852670428155,D,41.23578113779116,C,D,B,E,69.61234120812283,-203.05029301729402,0
Heterosexual,C,C,-166.5319070397697,D,-11.548730449391845,C,C,A,B,-5.04344948658088,131.57617066895065,0
Heterosexual,B,B,26.53786717543614,B,15.15381584029914,B,C,C,A,86.94575850611334,3.80844222488659,1
Other,E,C,23.222552910778468,D,-32.86571205572845,E,D,E,E,107.60896007542038,-34.81053015959263,1
Other,A,E,77.09206281964212,D,57.89745795946275,E,B,C,E,92.00929006877985,5.363238696547587,0
Homosexual,A,B,-154.46736542328026,D,-64.79779678522915,B,E,A,C,142.74650438511728,172.5264051470257,1
Bisexual,E,C,44.074071417343674,C,-65.27238634056984,B,E,A,A,-15.965240544203288,-229.30674992161428,0
Homosexual,A,D,72.48585911575212,B,10.276973132773337,B,C,A,B,90.30922981035478,-87.00013351091505,1
Homosexual,B,C,77.85120346112502,B,72.87740630069241,B,A,C,B,-148.29869320308865,-44.71457953088033,1
Other,D,A,-33.83611139415162,C,23.05047404952497,C,B,D,C,77.43833561893763,-57.9360075313671,1
Other,E,A,-15.97354641902475,D,-62.71503328713977,D,C,B,E,-155.3352240575987,-115.57743553562419,1
Bisexual,B,E,22.852657891847706,A,-25.741648779665518,A,D,A,E,-107.79821134053319,207.66582250115127,0
Heterosexual,E,E,42.33061524947056,E,-105.73608239688663,A,C,B,B,-238.24886495675491,-356.4187570078506,0
Homosexual,D,C,97.36754801938922,C,4.457856019170127,C,A,B,E,166.7237104695269,35.439974779732296,1
Heterosexual,D,E,41.43875357698874,B,77.3196667718117,A,C,A,D,-27.676033659260526,-139.07940139623688,0
Homosexual,C,C,161.70541605744572,C,6.546226739278739,B,E,B,C,-114.39941930495382,-103.88714109741257,0
Heterosexual,E,E,-103.57007084035577,C,6.222640597325501,B,D,B,B,37.58203684456258,132.10156393630044,1
Homosexual,C,B,12.59813199998022,C,58.79619734277749,D,D,A,D,-2.3454278328857403,59.90658275871055,1
Bisexual,E,A,-183.37304195781775,E,159.5853931783855,C,B,E,D,-32.545108464394175,54.070412740143894,0
Other,A,A,-8.5222883766661,B,38.027079809072205,A,A,B,C,60.84060444297164,106.63444880951502,1
Heterosexual,B,B,-188.1855771911506,A,-223.99139037641902,E,E,E,E,55.43351795444924,17.11583769212052,0
Bisexual,E,E,35.53469195962183,A,-149.06646790829558,D,D,B,A,-24.787251460399492,-133.86246236013022,0
Bisexual,B,E,53.44903529818961,A,107.51482417830549,B,E,C,D,-47.6067796252118,-73.32247776914673,0
Bisexual,A,C,-20.8555121769176,A,33.62192937171369,A,E,E,E,-89.2476939050469,-69.21827614090368,1
Bisexual,B,C,-3.2033912985166215,B,9.43182357787982,C,C,B,C,-54.67451169341191,47.709376112627375,1
Homosexual,E,A,-55.786675381021446,C,-11.412064323720838,E,C,A,C,-264.6662751963386,65.78690440400023,0
Other,D,D,48.67206372442223,D,-98.00824670501623,B,A,D,B,-75.6196782188296,-87.71338405762464,0
Other,D,C,44.99844030975421,D,-247.71844433799473,E,B,E,A,138.3537094312501,19.450398657077105,1
Homosexual,A,A,-19.33130329909684,C,-89.35951128643357,E,E,C,D,-192.77153876226564,16.576780765715554,0
Homosexual,B,C,120.06891546683478,C,154.92680050798927,C,A,B,B,-141.8612692007057,55.10221949998632,1
Homosexual,B,D,60.11885499623288,E,68.93505874965498,D,A,D,D,-75.52204822182318,-2.5393304091791173,1
Homosexual,A,D,16.73477533828966,C,-36.35943739718157,B,D,A,B,30.92294753697284,-116.72796796729517,1
Other,E,B,25.57708885039319,B,26.27628059052482,A,E,C,C,69.1121177295299,20.856415771113788,0
Bisexual,E,E,-170.16974717671965,A,-94.4619110186842,A,E,D,C,56.97607757468079,-124.8714475734187,0
Other,E,E,-92.51548352648936,D,162.70509869329925,B,E,A,D,81.47203312154356,-99.23824270338172,1
Other,D,C,-109.83174061128256,A,-170.4999013731069,E,D,D,A,-56.112411999263344,168.32720829630253,0
Homosexual,E,D,8.578521530605409,B,-13.64154450506376,B,E,D,A,-94.96877189770116,-39.635900135516636,0
Other,E,B,125.04663865243106,B,48.7348207731754,C,D,E,B,-86.49148438114047,-216.60060428861266,1
Other,A,A,-77.2027090723576,A,-52.32642976577081,A,D,C,A,59.287864440500485,3.5473632719610633,0
Bisexual,D,E,56.121677357259756,B,-117.74374589669789,C,A,A,D,177.01546880681843,-89.10599344529061,0
Bisexual,E,C,-72.88535868777575,E,-18.430958066742694,E,A,E,B,-119.64734561194079,-78.76849463416885,0
Homosexual,B,B,49.47843826410639,D,-44.65190386224421,E,E,D,C,-56.81230220375476,74.56959859852543,1
Heterosexual,E,B,188.5057778589532,E,-114.05000953701958,E,E,A,D,-63.531141589476604,134.06228058328045,1
Other,C,A,-56.86079444766414,E,35.204915126445044,B,D,A,E,89.83303777037216,-1.3682459751695597,0
Other,C,C,64.5659577765939,B,-30.51184540995883,E,C,E,E,-38.6969709864851,-10.823421410987855,1
Homosexual,A,E,-109.43436789693699,C,8.27188063262314,E,E,A,C,-56.8418927181504,-34.76902001078279,1
Homosexual,C,C,-108.15558688217331,E,48.031123298544244,E,E,E,A,102.00228212318821,107.21298337866531,0
Bisexual,B,C,-18.63379178904924,D,-75.72162608412543,D,B,C,E,-12.256925435522756,193.00504332531168,1
Heterosexual,A,C,2.580071683777122,D,-64.94936106004053,E,B,C,B,-61.237423779918956,47.291321688929784,1
Bisexual,D,A,37.63232781533847,A,-10.730096062135722,D,B,E,E,-202.29847231371613,-6.830063941301131,1
Homosexual,B,E,-49.013824548357945,B,-43.05743509802719,D,A,A,D,25.041520575546183,49.57745844883587,1
Homosexual,E,E,-87.2795696742953,B,-144.4840016218811,A,D,B,A,-135.38252971867018,81.60749989315745,0
Homosexual,D,E,-147.37432378938533,E,9.925318985795947,A,D,A,A,76.91764204480742,-9.338958482348774,1
Heterosexual,C,B,107.08406828756284,D,103.52534289571366,D,C,E,D,35.44440578228759,131.01857281455494,1
Heterosexual,E,B,47.69814606279652,D,121.37954127384845,A,C,C,C,-168.03102477375094,-38.202339127515955,0
Bisexual,B,B,-85.31700146196994,C,82.28238085647861,A,E,E,C,35.22912595799527,-47.35966101515838,0
Other,C,C,-25.109547960682495,E,-133.28377658573612,D,D,D,A,-69.21468746594044,-126.06787948292542,1
Homosexual,D,D,-186.2959206959848,A,-140.8387472442516,D,D,E,D,11.528280875802398,198.14646838867307,0
Homosexual,B,A,15.440868830615468,D,56.60860504852725,C,C,C,A,12.920275734175618,120.1049218165314,1
Heterosexual,B,A,42.50130725282973,D,137.0547008996965,A,D,B,A,-166.86970460861903,-123.33570616643128,0
Heterosexual,A,E,120.7993553603457,B,33.956386775088795,A,B,E,A,55.651785183978454,-52.46318206643884,1
Other,E,A,-94.17621301498646,B,-226.19836256514532,B,E,A,B,42.09241311679591,98.89639244211865,1
Other,B,A,-0.6633734995289456,A,-40.85019354213557,A,A,D,D,-107.57834115353,-46.15668930309487,0
Homosexual,C,C,-72.21265247980459,A,88.84072919024145,D,A,A,E,-167.92393796205874,-217.22997576743373,1
Bisexual,E,E,44.58752691300017,D,25.6574921425168,E,E,A,B,-52.10601567831517,143.46277906973805,1
Homosexual,A,C,59.38459577832044,C,-229.2177699851354,C,E,C,B,-11.990827473165695,-57.77782112239135,1
Bisexual,A,B,69.02009358680577,C,78.46747613952232,B,B,D,B,75.93903398096084,206.84505323954662,0
Heterosexual,A,B,209.80814032544188,B,-109.51290555918847,A,B,A,B,-86.67122424690166,-27.20589456378997,0
Other,C,C,82.75102258335852,D,112.01468433352832,C,A,E,A,39.91217949791212,-121.18682826355464,0
Other,C,E,-120.87746821671286,D,92.28118092679021,A,E,C,D,16.711618058618075,108.10953941679591,0
Bisexual,E,A,-16.771361458805114,A,2.089267025929598,A,C,D,B,-124.50375267777174,-10.022257622582199,0
Homosexual,C,D,-108.31985302825807,E,124.54121034505086,D,E,A,A,2.056277955123291,-65.51961514826051,1
Heterosexual,A,C,-373.66353893958774,C,-19.81418278463497,C,E,A,E,64.31846545262513,12.212879923952249,1
Homosexual,D,C,40.182211823200355,A,48.607648858463556,B,B,D,C,61.69577242145338,21.135653088765665,1
Other,C,E,264.31687713042515,B,-162.72894604021047,B,A,D,B,-7.435303560727534,-122.30077948198046,0
Bisexual,D,E,89.48238344277941,C,83.20564312751442,C,E,A,D,6.0699094422304665,-46.462284625161196,0
Homosexual,B,A,-83.09058983926907,B,-164.99961829782063,D,A,C,C,-42.60658638169577,-41.21383041434195,0
Heterosexual,D,B,113.46450013150186,A,137.11012734562706,C,A,E,E,201.01865621851562,-148.88265234849877,0
Bisexual,D,A,116.25776740946803,A,74.92879769500635,E,A,E,B,58.54202938710835,4.798323020483445,0
Homosexual,B,C,-16.723575530110438,A,-103.1568526802543,C,D,E,A,-27.74342585337841,39.5896172692083,1
Bisexual,C,C,-138.96033072258794,D,-16.057375672771812,C,E,D,A,-179.14882305533553,-10.997619117216097,1
Other,A,E,-52.95303122504721,C,51.19634248168481,E,C,C,A,-17.02508604406161,-66.97886589339393,0
Other,A,B,-16.052501449438964,D,-88.87283132260073,E,E,B,B,-34.53044788553276,155.27543074021648,0
Other,C,D,-175.3049816178786,A,92.12785272455008,B,D,C,E,-49.87082580610341,-43.080748331381464,1
Homosexual,C,A,65.30785944770689,C,57.78674352224804,A,B,E,C,-113.53058038099364,-71.24972166925461,0
Heterosexual,D,A,8.318880442311714,C,-95.08969739418686,B,D,C,A,178.21988069277816,21.998230727051464,0
Bisexual,D,B,61.737784938405106,E,-139.81288814887108,C,C,D,C,119.55449672246783,86.98383183227625,0
Heterosexual,B,E,74.56680873554996,C,0.8594953058633559,D,A,B,D,73.87700307045355,-79.07212745667279,0
Heterosexual,A,C,79.12966079657336,C,-111.68843028031827,C,D,A,C,226.7722238585125,-33.64258118317085,0
Other,A,A,67.38550171450905,D,11.199297289090483,A,E,A,A,-5.131748179992996,61.730203587703826,0
Homosexual,A,C,20.551703653697253,B,-82.18785387007797,E,A,D,C,-33.116299897936294,-75.31038578548088,0
Homosexual,E,E,-87.74184781396931,D,47.8919112539117,A,B,E,E,102.37779242627106,71.60281767365507,0
Homosexual,C,B,1.862958492231517,D,-38.77636083205995,C,E,B,B,54.49786890425409,65.85374052538052,0
Other,A,B,-54.94230199172676,A,104.11995665730056,C,C,B,E,-10.755192147921214,-53.914739471641695,1
Heterosexual,C,B,-31.2194930864296,B,-83.14936530766434,A,B,B,C,-95.90203025146393,-114.35596320904095,1
Heterosexual,B,B,-110.01195529701214,B,115.46127177307794,C,B,B,C,184.7185413885111,180.27468049166197,0
Heterosexual,D,B,-38.569690632722356,A,-108.69584635225038,A,C,D,C,-159.32193352733984,123.15514485993053,1
Homosexual,A,C,-76.37320203988332,C,-38.12696172545559,B,E,D,E,45.1193232278173,189.0189962803135,0
Heterosexual,B,C,67.58539855261982,D,57.786389145067844,C,E,E,C,-110.58327634551881,98.34782254896847,0
Heterosexual,C,A,75.8318040307954,D,45.97456880775993,D,B,A,B,-2.4897933722696783,-154.44805009965157,0
Other,A,E,110.6071334581702,E,-0.7127467888043678,C,D,D,A,28.50200142032826,298.91913986664116,0
Homosexual,B,E,148.73292492541526,D,113.80260215586566,D,E,E,E,-273.0573993622057,-29.43968552486754,0
Bisexual,E,E,-135.9304124232017,A,-24.006669648569474,E,C,D,B,29.45528504792775,12.819364978937214,0
Homosexual,D,B,32.748150972617765,A,62.08247830307907,D,C,D,B,-174.24179889403513,-94.429576810553,0
Homosexual,E,D,12.94385448734953,B,107.40686182804859,B,C,A,B,-9.16329919251725,-43.41782185996605,1
Heterosexual,C,C,-34.57026642338739,C,-14.722474617259484,E,B,D,C,185.4464323646103,-45.31370785698283,1
Other,C,D,-108.65485115062383,B,131.7768570579944,B,C,C,A,-71.09892431043102,-60.21907526295311,0
Heterosexual,E,A,-0.2732196842358699,B,186.23889035799982,D,C,E,D,-62.62556768536225,-91.9492689508748,0
Bisexual,A,D,185.07558882384092,B,26.90061987174439,E,B,B,C,27.451560003803277,39.46617325382636,0
Homosexual,A,E,-113.20451633200214,A,13.91161863574476,E,D,E,D,-200.29362624461498,33.99491749765087,0
Homosexual,A,C,81.70067887525745,E,-65.51980312285961,C,D,D,E,-21.74762797725698,77.87753601669655,1
Bisexual,E,B,-242.02473281926973,C,41.62781717180906,D,C,A,D,23.155505857756804,82.38163758156576,1
Heterosexual,C,C,-126.92828615288343,B,-128.61442144269785,B,C,B,B,202.41526951342217,81.24585017476376,1
Bisexual,B,D,82.69610779469006,C,43.50981889562054,B,E,E,C,19.981301627291742,-83.38393001695762,0
Homosexual,E,A,-56.741466826496826,C,142.60008159803988,C,C,D,E,7.301898397382669,7.898466644981163,0
Heterosexual,C,E,-85.99063939603265,A,220.3775023633514,A,E,A,E,144.7209531551876,143.47559179193752,1
Heterosexual,A,D,-13.232574922953521,A,103.4198718635615,D,D,A,D,-15.690907937916911,-57.86242970345583,1
Homosexual,D,B,-87.87006032428002,B,32.58529027229386,B,C,B,D,-77.53588974368341,-94.73567550377412,1
Other,C,E,133.4034134303375,B,29.243399270286798,B,C,B,E,86.53002669570031,-183.56694616236206,1
Homosexual,D,A,63.83129000906864,C,-156.92707844745948,C,E,C,B,-107.73992486944162,93.4989396417071,1
Other,C,E,104.09730893958273,C,2.423713413964661,C,A,C,E,83.16566331811549,-85.19917466465094,0
Heterosexual,C,D,92.29722395462925,B,-40.68236050043609,B,E,B,C,-23.458883388626056,73.48311450992159,0
Bisexual,A,B,90.6503753979713,E,-3.143273339344172,B,A,B,C,-53.73934764797808,-10.601428820057503,1
Bisexual,C,A,150.83180501336258,C,39.8759270247112,C,A,C,A,3.063039268144547,-74.6985851129206,0
Other,D,E,-168.35782796645887,C,12.395285451222223,B,A,E,B,17.17288586013821,109.06919264739976,0
Heterosexual,E,D,-5.329434717616902,B,-36.25491748584502,C,A,A,E,-15.705743388224484,-38.760670703986285,0
Bisexual,B,D,15.950448384537053,A,249.44162023724502,E,C,A,D,-32.216834688782185,110.68983006521427,1
Heterosexual,C,E,162.82493198671597,A,-70.80019648251135,C,B,B,B,-35.815035787403495,137.06436902294183,1
Other,A,D,36.53676074197452,A,-71.17079435589872,A,E,A,E,135.12722306528238,-63.485945249740915,1
Homosexual,E,D,-11.084426126099872,D,-97.88636045893757,C,E,C,C,-60.88995294430498,36.95448084189896,0
Homosexual,A,C,-46.769934541820724,E,-117.40252300195213,C,C,B,A,242.42983976386446,-82.03420224344309,0
Bisexual,D,C,-70.09234228895819,E,-43.85341475219492,C,E,A,A,-27.026021018135722,-64.13084634098118,1
Heterosexual,B,B,-17.09609800343396,A,-20.729185069252697,C,B,D,B,-49.07796991362789,-18.59300356756043,1
Homosexual,E,D,5.736179298023209,C,100.54146996674136,E,B,E,D,24.728869385934818,-99.95748047602645,0
Homosexual,B,A,-159.1269300395683,C,3.0572502273276485,A,D,D,E,60.31030878211291,8.679417307087208,1
Other,A,E,159.76132924038347,A,18.79032557229374,C,B,B,A,-41.693446934869,57.529088430209164,0
Bisexual,A,E,-127.28712020177866,D,-170.27239931525907,E,E,D,D,31.905351355542177,5.9991565278341135,0
Other,A,A,-102.95573335255285,A,76.51747954633467,E,C,D,D,31.285607771140516,-50.85081115445183,1
Other,C,E,-48.86020005564607,A,-213.7953965119341,A,C,A,D,-113.42043467871208,-48.30760261137911,0
Heterosexual,D,C,86.4309528568201,D,-30.195567652408943,A,B,D,A,-15.769037035445102,-88.39914754039555,1
Heterosexual,A,E,78.40892655703277,E,78.70961562705745,C,E,C,C,54.409525833927844,64.7691146790185,0
Bisexual,C,A,-43.75425771068937,E,-20.82852899996935,E,D,D,B,-19.082708602589197,53.483677500280294,1
Homosexual,C,A,261.9923780809467,B,-36.13460939483227,C,D,D,C,-3.2859153938458987,-50.727072485480285,1
Other,C,A,136.425649415686,C,-100.49861325827096,E,C,C,A,-67.81363399398121,36.81806290765802,0
Other,D,A,-31.042993451182543,B,142.82633141473852,E,A,C,A,105.09989486405385,-63.601490896416976,0
Bisexual,A,B,-218.78559071932236,D,130.0934755371444,E,A,C,E,70.09115930637823,29.487548461190134,0
Other,D,A,-52.32033485404036,A,95.33462279935509,E,E,A,E,-138.80051804978254,30.77822069668543,1
Bisexual,C,E,-65.91511572985465,D,-66.7061084303049,C,D,A,A,166.10601148654536,-37.37137024704452,1
Other,D,B,-10.39810272869822,D,52.62575791912853,D,D,B,B,-37.58351985864765,-182.07792491586008,1
Homosexual,B,D,-121.04571067044022,C,-14.838756197922958,A,B,C,D,-249.21547084353807,24.184771126725344,1
Heterosexual,A,A,-82.61767922212545,B,85.861667705917,E,D,D,B,63.703162926582536,-7.40105060913513,0
Bisexual,D,E,8.819256736343084,D,108.15692811798287,D,D,E,C,11.130751426231928,-30.081847373196947,0
Homosexual,B,E,130.09346923479237,C,-23.865507952802346,B,E,D,B,-1.9958870515975404,172.77624634031093,0
Homosexual,B,D,44.16125630949342,B,-22.253956818169073,A,A,B,E,-9.708159297338774,-53.839723755209675,1
Bisexual,D,C,-126.58264177959407,E,45.60875970310179,E,C,A,B,-88.92981145663387,2.6048742340743143,1
Other,A,A,-108.2183504223222,B,-147.05473115614063,B,B,D,E,-49.828470221124135,67.57941630499441,1
Heterosexual,A,C,84.12000384014186,D,-63.30864520990769,C,D,B,E,3.2114956278080413,147.36137195926554,0
Heterosexual,D,E,81.58978492378075,B,21.881098295531476,C,D,E,E,48.499962168708635,-27.14309701923981,1
Homosexual,D,E,-164.34289108681804,D,-259.60571037910483,E,B,A,C,71.64067687576214,89.3735313499169,1
Homosexual,B,C,173.28016746948128,D,-54.01234605187837,A,C,C,E,-244.4443017437516,123.2645307139064,0
Other,C,D,-56.70015624513087,D,49.13514012946949,E,D,E,B,-57.89027827884302,-188.0104772829402,1
Other,E,D,66.18148134459199,E,81.75035080905846,C,E,D,C,-77.80753186120448,-168.48056183383156,0
Bisexual,C,E,-104.15709344202565,C,105.74988572134,B,C,E,B,-137.68401922909894,83.33198376660096,0
Bisexual,D,D,82.14760257601425,E,-190.70775499527446,E,B,E,D,-48.61604194856318,-178.5235388288886,0
Homosexual,D,A,62.68903790098131,A,-177.01545617591805,D,E,B,E,62.52990983001175,46.21098404046579,1
Homosexual,C,A,-17.39302051145123,D,54.87135211073596,D,C,A,C,-95.75371740040079,-33.30012535077477,1
Homosexual,E,B,-101.09302804105806,A,62.16153887221323,C,D,B,A,69.79028241930797,-96.79367292916896,1
Other,D,D,41.48242425064778,E,92.55200422748959,B,D,A,E,-19.422311658412212,122.60028000046854,0
Bisexual,D,A,-38.02708140439317,C,-106.3555391614061,B,C,E,C,-177.7091153346464,89.08167239703036,0
Bisexual,D,E,-2.868277865889145,A,-189.18046103867877,C,E,E,C,52.6645558462195,210.99217049295586,1
Other,B,A,-46.648512177378024,E,-11.12731909685695,B,D,E,C,38.799968094794515,113.39082922206146,0
Other,D,D,24.70059514139423,E,142.66716342701994,B,A,E,D,-196.13313275344785,13.175737714802702,1
Bisexual,E,E,32.01955871323365,B,-52.39615847145524,D,C,E,E,70.50180166841965,54.09590072509081,0
Other,D,D,-2.319105510781601,A,-31.798283932912685,B,D,B,E,-9.237770134707025,54.40348367161592,1
Bisexual,C,A,56.454558085537776,B,-11.695923757941863,B,B,C,B,-78.97300726685633,34.61640645636058,1
Heterosexual,D,C,-180.6756165400232,A,74.79431894703517,B,E,E,D,91.66485099122787,-131.04712893040207,0
Other,D,A,-158.1005624167579,A,37.78761544462467,E,D,B,B,-151.39670284786274,40.79134155929836,0
Bisexual,C,B,-29.80837944231083,B,35.80581146302734,B,B,D,B,61.29675329639785,184.34967454177925,0
Heterosexual,A,E,107.41340909143928,A,117.41600971292361,C,B,D,E,31.642981144464017,84.6734436384462,1
Heterosexual,B,E,11.569442184935742,A,123.0699464105892,B,B,A,A,138.68659635473716,-9.596480952789964,1
Other,C,E,34.04468210849974,C,39.24873454813102,E,C,A,E,-170.39447270303103,-119.20373917378852,1
Other,A,D,67.02416800509205,A,-41.49269606958076,D,B,C,B,-35.806690391260496,-5.850220883417631,0
Homosexual,C,C,-68.04751197023268,C,117.37909763248253,E,A,C,D,51.26292210493237,24.543706563802072,0
Homosexual,D,A,13.29573248344455,E,-122.65722633891392,E,B,C,B,-113.81366885611209,48.90878088469135,0
Bisexual,E,A,188.55638602402047,D,5.121966628207439,B,C,C,B,84.64575122460978,120.14916895317809,1
Bisexual,A,A,-27.094110180487252,D,-84.11098408696421,D,D,B,C,45.010753060190616,-45.84027070842216,1
Other,B,C,-18.37514023058566,C,69.61027274403084,B,C,D,E,-137.2328333542077,-72.62582293328217,1
Other,D,B,117.85798241113625,B,-43.14111368338631,C,D,C,B,108.39919069667754,137.72145773792505,0
Other,B,B,-28.30655583499693,A,-15.671347188382684,D,C,A,B,105.13692889774966,-12.114096405341416,0
Homosexual,A,E,-117.31778639055032,B,-133.82276221579232,D,D,C,E,-82.76246733117524,-34.745082672057514,1
Heterosexual,A,A,-6.718603784049426,E,-60.91728441466162,E,E,D,B,-162.47380673821618,-102.51762846184882,1
Homosexual,C,A,-14.506173545544804,E,-66.97527697646993,A,B,C,A,26.244913995574315,16.773714569134693,1
Other,D,A,-110.33134746848232,B,109.26228295935925,B,A,A,D,-44.39943266006498,-47.825453023051686,1
Heterosexual,E,C,-11.100422184471265,E,-104.6492401331329,B,D,A,A,-4.372571635164743,-122.61009194130533,1
Bisexual,E,D,-138.10978192827469,B,172.50132420379458,E,A,C,D,71.4155545034068,21.37764505720688,0
Heterosexual,E,E,-41.87418289017587,C,31.49432231593059,E,D,A,E,-141.51496242679627,157.1836414689158,1
Other,E,B,18.569137480922564,D,165.40057932393174,D,A,E,A,171.25725061472613,-109.42524275646379,1
Bisexual,B,E,-116.28176461836648,A,-77.1199626392228,E,D,C,C,-143.7643470283468,-98.74789721515359,1
Homosexual,E,E,91.32742158435227,E,-70.78088433522076,A,C,B,E,107.75355861052927,14.937312367578123,1
Bisexual,B,B,-22.34948399816747,E,-181.48737877502407,C,B,B,B,62.11143858527064,-57.56448370724488,1
Bisexual,E,D,10.521045187631653,C,-28.468943724989327,C,B,D,E,-166.31654227424798,6.611602826915938,1
Homosexual,B,D,-81.8359059606529,D,156.96404568573624,A,A,B,E,46.75497795733427,0.9065790177073769,1
Other,A,E,-36.10294665819887,D,-53.50601125450021,C,B,B,E,192.30859336801447,91.18372056961623,1
Other,D,A,42.89696727880421,A,-13.600129046676523,E,D,A,E,2.1703194873959992,64.16202982456186,0
Heterosexual,A,B,135.4134753875671,E,-66.39039816791701,B,D,C,C,59.63991354507201,36.51449353916548,0
Bisexual,E,E,-34.84006025404714,C,80.24253841097091,A,A,E,C,33.18088205759847,-45.370133008571415,1
Homosexual,C,D,-114.1847690390964,D,-29.48228565990091,E,A,D,E,-105.68669425548495,-27.560312134981064,0
Heterosexual,D,B,57.043694602788655,E,-150.43068260277298,E,B,A,B,-59.63767888575304,40.92329816587248,1
Bisexual,B,E,62.58071708756731,E,-104.4770560067995,D,B,C,D,-65.82799744125978,140.25670517228392,0
Heterosexual,D,B,82.15433735905567,B,17.04588293975888,D,C,D,B,-150.75992259650496,17.017846830042256,0
Homosexual,E,E,1.3895684184643073,A,-85.71889209277276,D,A,C,C,176.7499515579915,166.3302527785455,1
Homosexual,A,B,-59.808534197626194,A,119.46402161464746,E,E,A,B,54.21635585493013,105.17321186124991,0
Other,D,C,-55.29184682970122,C,29.12380320215524,A,D,C,D,-10.894171750117952,56.00692667841176,0
Heterosexual,A,C,-12.761116339035175,E,25.392734103924546,D,A,A,B,-18.70124819261329,-58.36548760562614,1
Bisexual,A,C,-35.31248811735742,B,-97.9911142603989,D,B,A,A,101.67217448891728,98.68512582560723,1
Homosexual,C,D,-11.235340724548827,C,86.44834228265702,C,A,E,A,-27.894826296103613,1.445389164564739,1
Other,E,C,96.81329336505962,C,184.4191503370816,D,C,A,D,94.05043294670371,66.84302223526093,0
Homosexual,D,B,-22.36581088039305,E,35.16023747579485,E,B,A,C,-61.20027124404858,-2.996079554520323,0
Other,C,C,-1.0531865912889666,E,33.08189225415718,E,A,C,C,23.8137365289269,-68.37734207531653,0
Bisexual,B,A,-53.091142647365174,D,-183.50712172151697,E,D,C,C,79.7358937262122,18.305552538412826,0
Heterosexual,D,C,73.29004301433709,B,-72.1339559625131,E,A,B,B,-38.516517549464844,-101.58953038721658,0
Bisexual,B,A,38.495068104274026,A,108.29444393033107,A,E,D,C,42.03506295017003,4.627073259061644,1
Heterosexual,C,D,-159.9933222221104,B,48.89053096958572,A,B,E,B,-70.64623205361823,15.31179728770892,0
Other,A,C,-111.62842557419997,A,52.14309405836273,D,E,B,E,25.56931500374998,-13.103704372299582,0
