sexuality,Veteran,disabled,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Other,Non-Veteran,Both,-37.21228232002467,D,D,A,-35.74330457595541,E,A,118.09150195561,C,136.3226511796161,A,-144.1473042782073,B,A,-27.833806209214934,D,E,1
Bisexual,Non-Veteran,Mental,-6.4128523944834,A,C,C,-262.6006841915582,E,D,46.27724381811837,A,-69.55028418949263,A,-69.64075003541926,C,C,40.835404946398754,B,E,0
Heterosexual,Non-Veteran,No,22.825204375145297,E,C,A,-81.8459428895106,A,A,-6.288398792659882,A,-34.59288064679356,D,-115.73515589020971,B,A,23.429282131952412,C,A,1
Bisexual,Non-Veteran,None,-10.567378174002547,C,E,A,-221.34374872647763,E,C,198.09366931271742,B,205.27171225877677,E,-45.101990264732876,B,B,7.358529734614672,A,C,0
Homosexual,No,Mental,99.7543548260697,A,E,B,1.9912084637766412,D,C,29.3550398722231,D,-46.892802635703966,A,2.235302620569111,E,B,-88.20780416115147,E,C,1
Homosexual,No,None,-118.1662652340413,D,B,C,-133.33397934035546,C,A,66.20784551754875,D,-104.31782607391096,E,-105.55154144301547,D,C,59.838631833674214,D,A,0
Heterosexual,No,Physical,67.11732192053533,B,D,B,132.04158492827514,D,A,-143.40299027146352,B,112.90264434828555,B,149.59819045140563,B,C,8.6634993140848,C,D,1
Bisexual,Veteran,No,-65.29458260799055,A,D,A,-70.77810993409271,B,D,-71.71747513069866,B,-49.49740634056404,A,-7.999370217087459,E,A,138.81108714634595,C,C,1
Bisexual,No,No,37.087192808039354,B,E,C,110.23325930610572,C,C,120.4039709503131,D,-7.5522145755287955,D,-4.513508194609225,A,D,-173.59853761112424,A,C,0
Heterosexual,Veteran,Yes,34.964938063788225,D,C,B,20.9803405363854,A,A,-14.76557738098037,B,18.66651715540937,A,209.09823994548762,E,A,43.458305542856586,B,D,1
Bisexual,Non-Veteran,None,16.93232516425292,B,C,A,-76.50114931247116,B,E,-31.760129467968913,B,-76.1419652475742,B,-78.36719960853623,B,B,-49.27654812875587,C,C,1
Heterosexual,Non-Veteran,Mental,168.7901552502687,D,D,C,-4.202711285531136,C,D,-72.3557233841265,C,33.07498854783196,D,113.3470152157721,B,B,43.89028231922557,B,B,0
Homosexual,Non-Veteran,Both,-13.98726647241788,A,C,A,63.67758198244502,D,E,-48.38148680336263,D,188.04127202593557,E,3.7736734394427125,D,C,-3.232228483330775,B,E,0
Heterosexual,Veteran,No,192.2962660471435,D,C,A,-107.60645890152682,B,C,-77.19389660940736,C,-112.14591681013162,E,-19.7095668315186,D,D,-73.96745751650063,C,C,0
Heterosexual,Yes,Yes,80.74428433384111,B,A,B,-65.18400216858063,B,C,35.57390187693764,D,-65.74593791695513,C,16.60819737480741,C,E,-199.92034378764671,B,E,0
Other,No,No,-46.24372459831898,A,B,B,-20.70368245837448,A,C,11.06749606202108,B,-103.07998992188918,B,-75.20087613639951,D,D,-84.80941307081582,C,A,1
Other,Yes,Mental,117.32045121672716,D,E,D,-166.57424219251376,C,B,-232.9373035150914,D,-50.33139929315187,E,123.69107212352634,D,D,29.675080729170507,B,B,0
Other,Yes,No,-24.809923710527855,A,B,B,151.0207236085068,E,E,19.826631512405413,D,51.50833082651983,C,8.390941480464251,E,B,82.32704854357405,B,D,0
Bisexual,Yes,Mental,173.80079847558875,C,B,E,57.18254566532841,D,B,-46.728462772602505,A,42.15172072363318,B,0.621013521551352,E,C,-170.91740639490348,A,D,1
Bisexual,Yes,No,31.813661226355457,E,D,D,93.98726193327778,E,C,-128.91628805907342,E,108.4028286378645,E,-90.54875644901615,D,B,-233.44212132177216,A,E,1
Bisexual,Veteran,Mental,-63.4056519705623,A,A,B,149.2334129965888,C,B,-114.54801875102471,B,111.18939109561066,B,-46.82362515138462,C,B,17.396515744607846,A,D,1
Homosexual,No,Both,-98.70623952987013,A,A,C,-72.70649188501997,E,D,33.396143142824336,C,56.389637118507544,E,24.21696868826768,C,C,161.80215487813393,C,D,1
Heterosexual,No,Mental,160.4162162061153,E,A,C,-117.95428158296566,B,C,-142.06392013665393,A,-73.63929813249025,D,105.33293847844713,E,C,107.21521147112225,E,B,1
Other,Veteran,Yes,-86.76492099978691,B,D,C,11.144737247488543,D,D,55.96263301169165,D,-88.79673725149101,B,-364.98140547454466,D,C,197.47464051927176,B,D,0
Other,Non-Veteran,Physical,14.88226879726739,D,B,E,0.8279046867967309,C,A,167.93883467443086,C,37.82261655409332,A,86.52692848627677,D,B,55.15663640275977,D,E,1
Homosexual,No,Both,-63.02478876729802,A,A,D,-151.2955421383808,A,E,-20.257197604515106,A,-117.06124975371712,E,135.92279411495898,C,C,162.58160217676834,B,C,1
Homosexual,Non-Veteran,Yes,-52.41565566897229,C,D,B,18.821504475666952,B,D,23.274041724606626,A,34.37524955207888,B,23.255918367547242,D,D,49.921860383690166,B,E,1
Other,Yes,Physical,-4.644768305440756,B,C,B,35.330217209459384,B,A,61.027371397118934,D,-48.057885183915616,E,-67.89835773467931,D,C,-85.22535014335435,E,E,0
Bisexual,No,Mental,-54.97873811027222,E,A,C,-64.09023599413986,B,B,-21.685712761658042,D,-173.4923414878149,C,5.409511663006716,E,E,-92.7024884281065,E,C,0
Homosexual,Yes,Physical,81.1905065656235,A,B,B,313.125934449002,C,D,-52.373779183006796,C,139.2208354642587,A,207.42156816525377,C,D,120.20490271759105,E,D,1
Heterosexual,Yes,Physical,-21.938379903275685,D,D,C,-122.52713378802072,D,C,-21.746748880449964,A,-18.576890243463716,B,-196.50628082174532,C,C,-79.44830051451613,E,C,1
Other,Veteran,None,-18.14780911670657,A,A,D,5.52109341653209,B,C,84.2802277144427,D,22.39277914948414,A,-260.3501379049164,B,B,-59.35789392768448,E,D,0
Other,Non-Veteran,Yes,106.13490865333036,B,C,C,53.16920315095788,C,E,115.53811040736397,D,-96.24246051990288,C,51.670230909823786,E,C,34.77910783262817,A,A,0
Bisexual,Non-Veteran,Physical,216.4312123158232,B,E,C,-286.5496554891019,E,E,-0.26661201813202456,D,139.42408852812895,A,-9.425163580348844,C,C,1.228957732949174,C,A,1
Bisexual,No,None,51.47551763004397,C,B,E,63.70839291816404,E,A,-50.705317657580004,C,132.76452793182295,E,-62.62191584632072,C,C,-50.803779084083025,A,C,1
Other,Yes,Mental,8.32464742775716,C,A,D,-38.93427324948309,D,D,61.44867886665708,D,73.60695748673497,C,168.4101578211431,C,D,42.761746105598355,B,C,0
Homosexual,Yes,Physical,-59.66672918711485,C,E,B,118.97268258507849,D,A,-56.91118008281437,B,12.276487224095826,B,-125.75967547441742,C,D,-8.609993546004569,E,C,0
Heterosexual,Yes,Mental,-296.79117601196833,E,D,B,-130.54010134650272,E,C,-103.85421683645357,E,-117.22533782392223,D,-20.562899234594738,D,B,-136.6340992740853,C,C,1
Bisexual,Veteran,None,-83.09170014341801,E,A,E,89.41253632604753,C,C,-80.46180051206818,B,152.17935922014536,E,-127.20682294691397,D,B,24.180527369335444,E,E,1
Homosexual,Yes,No,155.38271329603288,A,E,C,60.38542255291872,B,A,-1.1185618319961583,E,-47.87768370373968,E,-46.14621161363217,D,D,11.713017396175896,E,C,0
Other,Yes,Physical,102.50505376154535,E,C,B,99.7478570873065,A,A,91.68217543470021,C,-2.0507726877497685,D,57.7944753896732,D,C,-67.58574513316499,A,B,0
Homosexual,Yes,None,8.129015986249048,D,A,E,88.82396248173967,C,B,-16.51721500517652,A,-48.38112227277654,D,-14.835273674022496,C,C,74.42698687672069,D,C,0
Homosexual,Veteran,No,-106.57582826785436,C,E,B,112.46912822746206,A,C,74.94560164046129,A,-106.70821396658654,C,29.968125812624795,C,A,84.94986042107384,B,C,0
Other,Non-Veteran,None,-48.212616076133266,E,A,B,-49.25760574864144,A,C,30.437487638750145,C,2.7936305322942396,D,-44.81882285204763,B,C,-23.78752060475532,D,E,0
Homosexual,No,Yes,-32.917171235116385,A,A,A,15.163873959204915,A,D,-87.04238683791007,A,77.51668529156038,D,9.35284791895546,B,A,113.09234247673668,A,A,0
Other,Non-Veteran,None,0.19834782390998287,D,B,E,-33.17892807545529,D,B,28.514317726989173,C,-32.92081892309849,E,172.02667101332904,D,D,-110.76085130162245,C,A,0
Other,No,Yes,111.3752174238223,C,B,A,-19.53495357072761,C,E,-167.32887872266454,A,23.1372025461838,E,121.90755083649975,D,A,-41.299973962130665,D,C,0
Bisexual,Yes,Mental,-96.35340958779948,E,B,A,24.337212357798435,A,E,172.45656197378543,A,22.969272533816174,C,166.31402939518932,D,A,-76.53334304461292,D,B,0
Heterosexual,Veteran,None,19.658986541246467,C,B,D,-40.82833628258886,E,D,73.05209688139837,B,-69.081421863945,B,104.15136532100149,C,C,-2.5855692906893895,A,D,1
Heterosexual,Yes,No,-16.8304811044681,C,A,A,-211.23569510686377,C,B,261.274831915499,A,103.96977021936138,C,18.13544897820978,C,B,188.39581848285636,D,D,0
Heterosexual,No,Yes,103.39278286548543,C,D,B,161.74903341459841,C,A,108.32824562346684,D,3.78413228279147,C,-127.17982042667735,D,B,-84.20415142047462,D,A,0
Other,Veteran,None,12.871532594396346,C,B,B,109.38338312673741,E,A,-64.63642882459641,B,185.00380841130186,C,-35.13421477470494,E,E,-101.12278838084003,D,A,0
Bisexual,Yes,Physical,-3.995023207363265,D,B,D,290.3616513212267,B,E,67.4108547880013,E,47.855647513766705,B,87.71804053391784,D,B,-61.93884384643184,E,E,1
Bisexual,Non-Veteran,None,-286.39491425879123,B,B,D,-55.11111693094685,B,A,-44.270453952331565,A,93.01019586534083,B,19.099608620405842,D,B,-205.24472951755905,B,C,0
Other,No,Mental,128.38298932103768,E,B,C,18.09684510083674,B,A,-45.60613685313019,A,49.21977946227147,D,-12.512277040743806,D,A,-27.745171537750885,D,C,0
Other,Veteran,Yes,-28.656840427669238,C,D,C,-31.272123057961505,B,B,123.97523668929813,E,52.09021523361825,E,165.16924057756032,D,A,-88.90055961832192,D,D,1
Other,Veteran,No,6.724068858894153,E,C,A,-15.818688807221168,E,B,119.63944196347836,E,-56.36530279596461,A,144.55757449534426,D,A,-50.976650691474525,A,D,1
Heterosexual,No,Yes,-75.27483016796677,A,A,B,102.37149541789552,E,E,-86.53215654849758,A,93.09617019328049,A,17.597598879888796,D,C,-145.70800813868104,A,E,0
Heterosexual,Veteran,None,-72.15013882502755,B,B,B,-4.515948251673614,A,D,125.57284744216926,A,-235.56081028596324,E,-40.153406776598146,A,B,-98.73944561839296,C,C,0
Heterosexual,Yes,Physical,-64.16466727460899,E,C,C,-30.62176099635086,D,E,190.95603184009295,E,62.5551574967867,E,-114.13357110299542,B,C,33.254784599345065,E,A,0
Bisexual,Non-Veteran,Mental,40.71983834496156,A,C,D,-11.973737959998964,E,B,-54.83469588359235,A,-85.75137920264049,B,-17.77829584300235,D,E,-48.285486643502814,C,D,0
Other,Non-Veteran,Mental,-105.27442538813226,B,B,B,33.5307719242443,B,B,129.83992320996742,A,86.86675822895327,E,-39.28339855399193,B,D,-66.398707299421,C,A,1
Other,Non-Veteran,No,-38.13900869601883,C,A,C,-72.64617598119834,B,B,-160.75241225941602,A,208.80848717296453,D,89.61705765993366,C,E,79.79254345969052,D,A,0
Other,Yes,No,180.6587954887218,A,A,E,-89.47563356079131,D,C,-46.241269794484495,B,113.09071144649035,C,147.88978213178325,B,A,26.354576573403254,B,B,0
Homosexual,Non-Veteran,Physical,-354.52157163455973,B,C,B,10.348332357457508,D,C,-43.649486030436734,E,-2.738530359293802,C,145.27492478384406,E,A,147.96130475661525,C,C,0
Heterosexual,Non-Veteran,Mental,61.19639930597612,C,E,C,46.31412480092398,C,C,8.88118871198477,A,-89.5656705262299,D,-100.01443148203396,C,E,110.7384431853143,E,E,0
Other,Veteran,Mental,-62.45557291765428,C,C,C,-138.84129588238827,B,A,50.022717047364736,C,35.90245915347952,B,-106.26215340298289,C,D,-69.18074733024827,A,D,0
Other,Non-Veteran,None,-94.80018142453622,D,B,D,-1.4561370685978934,A,E,-42.32372412892354,A,53.8787892818509,B,-4.026327633398084,C,C,61.904716197002884,B,B,0
Other,Yes,Yes,152.19169974026443,C,B,D,7.945987924590649,A,C,-77.27722502950292,D,136.310187026737,A,6.092190814917778,A,E,-26.26424837726923,A,E,0
Heterosexual,Veteran,None,-43.663272460290486,A,C,B,132.40051614192183,C,B,39.166294356111734,E,-107.65450318997661,A,-65.75865909803265,C,D,-28.806023639407197,C,E,0
Homosexual,Veteran,Yes,0.7749773258065161,E,B,A,-197.69309928146586,D,B,31.160395284747764,C,77.14478667718623,A,-24.027723403978644,C,C,-11.320972652771855,B,A,0
Other,Non-Veteran,Physical,9.93454430610714,B,C,D,39.93167643143464,A,B,61.37136468929809,C,54.0737620211172,A,165.86446662563117,C,E,-41.919067466561394,A,C,1
Homosexual,Non-Veteran,Physical,3.2873868487278433,C,D,E,-70.32134330224686,A,A,-17.169917283571483,B,81.60269895785169,A,-47.47468643729849,B,D,183.63020984827955,C,C,1
Other,Veteran,Both,-5.658030313669102,A,C,E,-51.38914017722447,C,B,86.93731766738672,A,72.6080476341026,D,98.8436179108581,A,D,-62.772598621482636,E,A,1
Bisexual,Veteran,No,-86.6012665275732,E,B,B,171.91230664811127,B,C,57.365417867239735,B,76.07420925475634,B,-141.35860726654593,B,A,191.64596028814412,E,C,1
Homosexual,Non-Veteran,Both,57.34775729174901,E,E,C,-30.196984422111186,A,B,-235.78676050374804,C,221.89336658082098,C,-25.95171833814981,A,E,24.31371000846311,B,B,1
Bisexual,Yes,No,149.22164739595837,D,A,A,6.450917675891489,C,C,154.97804100696973,D,-206.89338893023518,A,68.93853322197896,D,A,-78.61188242254622,B,D,1
Homosexual,Veteran,Mental,-93.3318336595718,C,C,D,83.78288620398902,B,C,19.546963020959456,B,-164.3891391076182,D,-12.89034551145192,B,C,-15.148023288187803,C,C,1
Bisexual,No,Yes,-129.5355027510763,D,C,C,-15.402703476914848,B,D,-170.4228353731845,A,124.78397890594411,B,191.49634988865913,C,B,21.559314030797644,C,A,1
Bisexual,Non-Veteran,No,74.80097981708931,E,E,C,-46.65643246406728,E,B,-27.311762288657242,E,-30.350605048602862,A,-143.72188846259183,D,A,8.306670523668382,C,A,1
Other,No,None,-118.26087012875325,A,D,D,-74.8168260520081,C,D,84.5997807271832,D,112.00468202992681,A,-55.61586269140795,B,C,4.139095676826472,B,D,1
Bisexual,Non-Veteran,Yes,24.373554155951467,C,A,B,-40.2213760936488,E,C,-125.58418795946211,B,15.670246283402218,E,-79.32272112003164,E,B,27.746624206029768,D,A,0
Heterosexual,Yes,Physical,-28.312722727454865,D,E,B,15.255678289284337,A,D,-80.7528530313945,D,-157.10925907222085,A,61.70288928067003,B,E,-117.69374716751307,C,B,0
Heterosexual,No,Mental,-84.38175327875153,E,C,A,-40.842400158055106,D,B,-52.389320014233334,D,35.690901842211744,E,-173.32366253457172,C,B,60.93486291856727,B,E,1
Bisexual,Yes,Both,-132.3371131114461,E,B,E,95.82134704032528,B,D,-105.293514930363,E,79.56486339681648,D,169.2597784515118,C,A,38.67883947735441,A,A,0
Other,No,Physical,198.8557827057101,D,E,B,-122.48050889854846,C,E,8.822873981849,E,12.31407506517664,B,225.4270210974072,D,C,58.42811228516484,A,C,0
Homosexual,Non-Veteran,No,132.89137332956088,B,C,E,157.23084548464212,D,E,114.88010124488987,D,129.09737444230478,D,108.50579251239687,C,E,-109.84823071201274,C,C,1
Heterosexual,Yes,Both,84.64167490560224,A,D,B,3.1022389796039636,D,E,-4.307340071337766,D,-21.157307710493185,E,5.025930073305954,E,B,-90.60873097113297,C,B,1
Homosexual,No,Yes,182.27528170166923,D,E,C,-137.12043323128876,C,A,-51.95333202023244,A,225.95118219188754,E,109.21150613940999,D,E,-74.95826379316124,E,B,0
Homosexual,Veteran,Both,-189.46633144868375,B,E,D,-111.03187510078634,E,B,152.62456287720394,A,46.79364779608175,A,48.07981912318276,C,B,66.49366190165782,D,A,1
Bisexual,No,Mental,-138.7349140721679,E,D,C,61.14645777560095,D,A,-110.09624441249348,C,-121.11692361141822,C,-78.23636925709594,A,C,-51.79219364434735,E,B,0
Homosexual,Yes,None,93.94470089860157,D,B,C,-240.7765965843645,A,A,26.336866150502146,E,69.88342531461187,A,25.44510509032624,E,C,-88.89882846542288,C,C,0
Heterosexual,Veteran,None,-99.98682006052155,B,A,C,-98.47761819603834,B,B,-56.501025051799836,A,-89.97026614276436,B,-73.69664035690575,B,E,-45.24528326101942,A,B,1
Homosexual,Veteran,Physical,-132.40585002627344,D,C,A,60.48545949972694,D,C,146.83343358123585,C,-105.47654422085763,B,-109.14751415570743,A,B,-42.835337762771175,C,A,1
Heterosexual,No,None,-164.23362260034565,E,C,E,-91.5726751244038,C,A,-83.2847165976633,A,26.863477022655736,D,-30.603324944497174,D,D,-24.639930981324913,E,C,1
Bisexual,No,Mental,79.23769676106205,C,E,C,-19.188662010400286,E,E,167.6785600734303,E,-15.196477978140019,E,7.571336536670725,A,C,-183.35834024172584,B,C,1
Heterosexual,Yes,No,-15.907567561350364,A,A,D,115.54876527883162,C,E,128.7285035953356,C,-266.8479911117627,D,49.34151309014558,B,C,139.64115752994485,C,A,1
Heterosexual,Yes,No,-48.698231215593054,B,D,D,106.62781786508468,D,D,70.4596660204718,E,95.05473524906543,E,58.085284803832906,B,A,48.311529302096844,D,E,1
Heterosexual,No,Yes,-199.40898182268444,A,A,D,-33.10781053835538,C,C,42.5149004087491,B,-172.78461026729326,E,61.12578780341299,B,E,-54.60240832189688,E,E,1
Heterosexual,Yes,Mental,-59.061075821273555,D,B,B,13.794274086474696,A,B,-362.5664779158251,C,-60.34760402066007,D,-32.115060332930064,D,D,113.02844726800352,B,A,1
Homosexual,Non-Veteran,Mental,-79.34975878782163,B,C,B,169.90456031006426,D,A,17.037947428038823,A,79.69305128316375,B,66.14586768562545,E,D,70.90997402703131,D,A,1
Homosexual,Veteran,No,174.67618837042,A,B,C,109.07337813137883,B,C,-3.3563140504889315,B,110.77499696342716,C,-214.30535764776874,A,A,-96.14228739122947,A,E,1
Heterosexual,Yes,Physical,-43.69245204684847,D,B,B,0.49819435464818596,A,D,137.05538852641465,D,-15.317534274514767,E,186.76415483494742,B,D,165.112760524568,C,B,1
Other,Non-Veteran,Yes,-8.462075279813881,E,E,E,8.55938235108214,C,A,231.75082241103757,C,-99.63074637210885,B,31.536205521889325,A,E,-18.99530711880633,B,A,0
Other,Veteran,Both,24.578565863729594,E,D,D,-1.9398151023104742,D,A,-25.640814983304764,E,-77.81467281169675,E,-231.41953513907478,B,E,45.79476675167367,A,B,0
Other,Non-Veteran,Yes,32.882176016450096,E,D,B,-83.75186708021835,B,B,11.296183592958503,B,37.90293054579694,E,38.12387247820669,C,D,-98.90956244329116,B,A,0
Other,Non-Veteran,None,-64.3333065892464,D,E,E,-38.97282413500817,A,D,30.59710234798581,C,-62.185525088564276,D,52.62124108626869,B,D,90.89918420213942,B,B,0
Other,Yes,Both,-95.73972351550698,B,C,C,-57.09477620321607,C,B,-44.5016121778032,E,-23.73660895804887,E,0.26496031159434197,D,A,25.18458822693675,E,A,1
Heterosexual,Veteran,Mental,-95.42048280315554,D,D,A,60.55087793186921,A,B,33.17822369030502,A,168.6194432294637,D,-137.33700208236434,C,A,120.78504862510057,E,D,0
Homosexual,Veteran,Physical,-37.48682870435572,C,A,A,51.31680159684798,D,C,92.02231883244438,A,109.25667416622377,E,29.699256813861446,E,E,-167.0129960166668,E,A,0
Other,Yes,No,193.3217715453224,B,D,C,13.099981684960577,E,E,58.05399047335099,E,-3.4269903770078916,A,12.272455911358115,B,D,-61.86317251199128,B,C,1
Heterosexual,Non-Veteran,Mental,-87.49493774257841,E,E,A,-92.30884894176621,D,C,-197.30504640579767,B,68.76448356580033,A,23.3743286666504,C,B,117.80182736451262,D,C,0
Heterosexual,Veteran,Mental,-63.31929733976796,D,D,A,-40.71172418538047,A,B,-37.763360780642785,E,-11.642895550100421,E,-83.93343383076093,A,A,-89.16976782122586,C,C,1
Homosexual,Non-Veteran,Mental,-133.04060743055862,D,D,A,103.17145338383389,D,A,-25.250225817645365,B,-133.10962196240135,A,-159.568823721983,E,C,-31.381715258117847,C,C,0
Heterosexual,No,Physical,158.66996644454161,E,A,A,107.79784245683896,A,E,-20.8257800628987,D,22.831688729842988,E,30.433805227760462,C,A,145.61313489492198,C,A,1
Heterosexual,Non-Veteran,None,-56.9877031699335,A,C,B,-45.781779912407124,C,D,108.4523515488623,D,-46.04420465963032,A,144.06555926602164,D,C,-211.12377085022578,B,C,1
Heterosexual,No,None,92.35579650717052,C,D,E,-34.2563726768437,E,D,33.40072196501537,D,180.70107428676408,B,-123.29875052304382,A,E,-131.1050000223037,A,D,1
Homosexual,No,Mental,106.62202255214177,B,C,B,35.005132431850974,A,E,61.1273587811477,A,-83.29065283313412,B,73.37575742174019,E,A,-29.903054728964317,D,D,0
Bisexual,No,Yes,130.9045743766896,A,E,C,115.5870954383985,E,C,-9.414444072798092,A,54.25466447900733,C,-17.069862100894596,E,A,107.45587423290257,A,B,1
Heterosexual,No,Yes,14.042313050973043,C,C,B,-36.55944185399683,A,E,238.82375458974522,D,6.441025875379841,A,108.61463410665368,B,C,58.08056904092381,B,C,0
Heterosexual,Yes,No,27.43197640940683,B,C,C,-41.23202106574702,E,D,59.62077169029184,B,-95.36775026986274,D,47.34333988258841,B,B,-122.60878470207271,D,B,1
Bisexual,No,Yes,-140.3366087120552,B,D,A,102.69330708892144,C,B,-114.94368441340121,A,-69.80650866398504,C,-98.56340368966295,B,C,-3.2941383042498176,D,E,1
Other,No,Both,-19.695602970518028,B,E,B,202.68780871306552,A,D,105.86997174116604,D,101.07109261483096,E,97.14506657399929,C,C,-141.63637142047892,A,D,1
Other,Yes,No,-179.93499337676178,B,A,E,-27.890034524437095,C,C,133.24855512609852,C,69.34970573874014,D,-114.50885297485507,A,A,66.6752558913716,A,E,1
Other,Non-Veteran,Both,181.0981512534616,A,A,E,147.80453613446133,D,E,-116.9221511806001,A,116.5066533510419,A,-19.952699570404935,C,B,9.328081339469815,B,C,0
Bisexual,Non-Veteran,Mental,-64.86436960653042,D,E,D,-125.9491500455258,A,E,114.55219622767665,A,-13.093227366042544,D,58.731496835519735,E,C,146.87900718693538,C,B,1
Heterosexual,Veteran,Yes,67.90700039270774,D,C,E,-5.468020738128324,C,D,-105.53127057092115,B,-60.12189559960276,E,177.3020542627712,C,C,60.681314351936265,C,E,1
Heterosexual,Non-Veteran,None,-65.3080769109158,A,A,D,-39.14174549319894,B,B,-20.1051702340024,C,14.0199203760511,E,152.720658749843,E,C,69.20129549337233,D,B,1
Bisexual,Veteran,Both,11.275250522264562,C,C,C,-59.21176622056682,D,C,51.62537502579268,E,-13.322114714304892,D,-18.51722019721665,B,B,-64.281604391379,A,D,1
Bisexual,No,Mental,51.33749331493136,A,C,C,105.04108633111655,B,E,133.39913782914834,C,56.01476281292651,C,-18.233000212534474,C,A,-70.26951388017918,C,C,0
Bisexual,No,Physical,118.55861308229638,C,B,A,-99.93197266636282,C,C,134.6547024922114,D,-131.65832666323013,D,-0.8848697501059035,B,B,191.01742495495162,B,C,1
Homosexual,Non-Veteran,Physical,43.859128853660884,D,C,A,-32.26334561592802,C,E,56.33461742500718,D,62.46459068945144,A,-173.97142250604546,B,B,46.06352744628442,C,A,1
Heterosexual,Non-Veteran,Yes,-147.3273492681831,C,E,E,50.520543543974824,D,A,39.95819123980846,E,-23.7508595422441,C,41.66535581981346,A,D,79.50434621593706,A,D,1
Homosexual,Yes,No,26.655411233995462,C,C,D,-76.66983577502263,A,C,-71.20910108123645,E,-48.76429851867877,A,-195.71693675150007,B,A,-37.77765753037051,A,E,1
Homosexual,Yes,Yes,42.0723927244213,D,B,D,-28.39643619840318,E,C,100.18452456792308,E,-1.5598735373958017,E,11.613538177499644,E,C,30.586457346956568,B,B,0
Bisexual,Veteran,No,59.40264296404577,D,D,E,99.34072007294712,E,A,30.952982428209786,E,44.07812080722094,D,-117.35790685514647,E,A,-91.88958707023097,B,C,0
Bisexual,Yes,Physical,-168.91817588376207,E,C,D,-43.770080760136246,A,E,-4.046556584553058,D,53.63852939981329,E,-58.18326986755095,A,A,141.77196230038064,E,E,1
Other,No,Yes,-46.20629110707329,C,C,B,14.935459700676898,A,A,-8.664526359535735,D,-13.952064069565578,E,-6.256385777194118,A,D,-227.723071418538,B,E,1
Homosexual,No,None,-76.44554112273525,D,A,A,-123.10499590019765,C,C,-131.62233765750443,B,27.002002604480506,A,-90.64684032286846,D,B,4.773062660775569,B,B,0
Homosexual,Veteran,Both,72.9168909590355,B,D,E,-57.10287095275399,C,C,76.6981804794329,C,-62.43072399029711,C,-21.79039856649737,A,A,74.61620420109682,D,E,1
Other,Veteran,Yes,13.066230949264183,A,D,C,-169.03283030816218,B,C,38.31128715888823,B,-191.0355445537937,D,58.063053316975356,B,B,-33.29381846001398,D,A,0
Bisexual,No,Both,28.656541471187104,C,B,B,44.45397194185001,C,B,76.04408482929206,D,99.35351616335541,E,90.74212224878704,C,E,-132.39260023648305,D,E,0
Bisexual,Yes,Both,54.57912770887725,B,A,A,29.80571404721552,B,C,211.8218096152498,D,-102.91337732391719,E,-96.83337179764115,C,A,29.462890121408474,A,A,1
Bisexual,No,Both,23.242732187134514,B,D,C,-117.79705295414456,A,B,12.982417004451813,D,21.58906579255046,D,156.06711059414445,B,D,-21.139476643308484,D,D,0
Other,Yes,Both,-25.627976392546888,B,C,E,-62.9032840596394,A,E,-29.440020984097163,E,48.70132181107708,C,44.03767354495444,A,E,61.543494505996435,B,A,1
Other,Non-Veteran,None,-42.95896153639433,D,C,B,40.670073561170994,E,C,67.24015290876545,A,31.644244642999027,B,-58.68905479715997,D,B,-74.32227087716164,A,C,1
Bisexual,Yes,Physical,88.7570998047165,B,A,C,-61.64305421125347,C,B,-131.4088517070183,D,-25.405097178341364,A,-132.75705660644192,C,D,-109.95228587992037,A,D,0
Heterosexual,Veteran,Both,-253.24519355721776,C,D,C,-39.309534838226234,A,C,-127.35075200555576,D,54.855426416239325,C,101.06556705472019,D,C,93.22661269611403,B,C,0
Other,Veteran,Yes,114.4678881334523,E,A,A,-81.59542978192204,E,B,119.36779328247495,C,0.9817969192192385,C,26.64602192490788,A,A,135.9639874417249,D,A,0
Other,Yes,None,-155.71157267943238,A,E,B,-266.7798520469496,C,C,-140.54571218852203,A,71.2462252069507,D,174.5828867109888,C,A,152.6686925475495,C,A,0
Bisexual,Veteran,Physical,78.81365579809143,C,A,A,1.1750281510060447,A,A,-0.3381131497991703,D,44.4436200508842,C,-37.61967246414008,C,D,100.62908126878345,C,D,0
Homosexual,Veteran,Both,133.39461539583658,D,E,D,145.06753333092632,E,D,45.97987294156397,B,54.86375328212838,D,-61.354431131395174,C,D,123.22153660974237,C,E,1
Heterosexual,Yes,None,-40.11343238152029,B,E,E,-136.7976037742664,B,D,-152.01800726054154,D,-61.712796576163875,C,32.46950818533441,A,E,-66.86034036754319,C,B,0
Heterosexual,Non-Veteran,Physical,-84.47884543298714,A,E,D,-155.0069942202882,A,D,-42.24226789804489,D,69.00957357277491,A,-121.1164543254843,C,E,-3.7534171953674456,D,D,1
Other,Yes,None,72.40843018869032,D,D,B,74.8489351517671,B,C,23.84906992979186,D,-48.682810926002425,D,5.806955274480753,C,B,1.9025283567547335,B,E,0
Bisexual,Non-Veteran,Yes,-70.1906469738977,E,E,B,31.31722435867411,B,A,-99.14396564953562,C,11.823490333332884,E,19.380264826473237,D,E,-115.86967679692965,E,C,1
Bisexual,No,Mental,-145.88940278120148,E,D,A,-195.73124481495162,D,C,40.6464519445871,D,30.65726284257347,E,81.98915732075508,D,C,32.26756976316831,A,C,0
