race,handicap,marital_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
Other,Mental,Married,E,1.335755515424346,B,-124.89794876581558,A,A,-126.77195788358837,B,B,A,5.286341537699615,D,E,1
Other,Physical,Married,B,-40.73868319125336,B,-2.2443623646600668,A,D,-55.064647525588285,D,E,D,-14.383663667063523,E,C,1
Hispanic,No,Divorced,C,40.35912785458081,E,-132.92062276771958,A,B,-16.84645736552077,B,C,D,61.21445439137623,C,E,0
African American,Yes,Divorced,E,-79.2924163070527,C,-22.919977733203,E,C,-15.77887794101,C,E,D,-35.90674540739587,C,B,0
Hispanic,No,Widowed,B,-97.60856914639758,E,-46.061027521128395,A,D,-95.48380403793998,A,E,E,-2.289934261168961,E,D,0
African American,Both,Widowed,C,198.3592360686481,A,47.492811360007536,A,B,-46.69840202230265,C,E,E,46.539254521922565,E,E,0
African American,Mental,Married,B,146.57385142973885,A,74.07709628830469,A,A,-95.87851112929728,A,A,E,-99.40576123617373,B,B,1
Other,Physical,Widowed,D,30.28739297159585,B,17.75899141452021,A,C,-191.8197872378701,E,B,B,46.60511670849083,C,C,1
Asian,No,Divorced,E,91.40373604213056,E,169.5845878535934,A,A,161.91541550020963,D,C,B,4.447527659457221,E,D,1
African American,Mental,Divorced,A,-16.700328080547507,D,39.089091395902294,B,E,23.607560993687315,C,B,E,-204.4452701471028,E,D,1
Other,Physical,Widowed,B,85.26040058043863,E,55.04047255527804,E,B,53.36811060772333,D,A,B,-122.49898911293997,D,A,1
Black,Yes,Married,B,-46.25462592570667,D,-136.77372708662278,A,C,30.067026373605625,E,A,E,69.83002291467234,E,C,0
Black,Mental,Married,D,116.92607553695973,E,-15.224404904715657,B,E,145.5753398403956,B,D,E,59.00700121418816,C,C,1
Other,Yes,Widowed,B,-54.21101206720772,E,-67.91105414577697,C,A,72.09181836940074,A,C,A,78.60378180639151,D,B,0
Asian,Mental,Married,B,-202.25425226740433,B,63.08450689290357,D,B,0.8059557972383632,C,C,A,-46.81244032295156,B,D,1
Asian,Yes,Married,D,81.5656329235934,E,76.5767324052378,A,A,-38.355225217072295,B,E,D,-7.17418196467749,A,B,0
African American,No,Single,D,13.033367574351326,C,-150.7280531548182,D,A,119.84284367275124,E,B,D,-77.86695539379966,E,B,0
African American,No,Married,B,-4.270226150913538,C,4.346308805530896,A,E,-194.04313881929437,E,A,E,-50.23883723549434,C,B,0
Asian,Physical,Widowed,D,-36.472183306634584,E,119.63328160458093,C,C,-44.44598056105302,E,D,D,-123.82323236824749,B,E,1
African American,No,Widowed,C,-18.19968156851766,A,14.209561265831436,A,B,-56.61402276264694,E,B,B,9.993999758769275,E,C,1
Hispanic,Mental,Single,A,91.60960255902187,C,76.25600268927366,B,B,-65.03787566421386,D,B,C,26.564759865093162,D,A,0
African American,None,Single,A,-74.96144852537819,B,158.21357108936343,D,A,-76.05856615145503,A,C,E,-70.18517795917629,A,C,1
Black,Yes,Widowed,E,-130.28389018110863,E,103.2713719743485,C,E,-53.35574988608391,A,C,B,94.20106839208411,A,E,1
Black,Yes,Widowed,B,-173.30668202559846,B,35.88961588252884,D,E,-137.24729027585605,E,C,E,-86.40147036861283,A,B,0
Other,Both,Widowed,B,-30.095940431023994,C,37.947800335620215,A,A,-27.10779206286459,D,D,E,169.38097670647184,C,E,1
Asian,Yes,Widowed,C,-159.89614349160485,D,5.06014246766147,B,E,1.5356251416961482,E,D,C,25.03160186385131,C,D,0
White,Physical,Single,B,46.98701972503317,A,-26.199195203591717,D,B,57.00607962667629,E,C,B,129.57451099508418,D,D,0
White,Mental,Married,A,35.64270542161855,A,-25.023372969576492,B,C,73.40590869318552,B,A,B,-120.55447188979139,A,C,1
Asian,No,Single,D,-137.4780418343856,E,-119.1019939676864,A,D,56.0003963525244,A,A,E,278.04498085190386,E,A,0
White,Yes,Single,C,-25.02549218016773,A,24.874071091783094,C,E,114.45592534108637,C,A,A,-19.75508656442128,A,C,0
Hispanic,Both,Divorced,B,-3.5675656681878767,C,22.832359042541654,B,B,56.05288440328927,D,C,A,5.698247484168899,B,E,0
African American,No,Married,D,-13.588246604495724,A,-162.9927991114458,D,D,-70.28252898021871,C,A,B,-161.9917019516451,A,C,1
Hispanic,None,Single,C,152.75617422153897,B,12.30242007983022,E,B,20.320034343106638,C,D,D,-85.41031630803404,E,B,1
Hispanic,Yes,Single,E,93.19589998557245,D,-109.00925451129947,C,C,-123.67771545829223,C,D,A,-33.8557457254658,C,E,1
African American,Mental,Single,D,32.20887504482043,E,70.01734706267192,A,C,8.190359694468315,C,D,E,54.84177083343046,A,C,1
Black,No,Divorced,E,185.94659595611233,A,-117.43198092211784,E,B,-79.86163716307907,C,A,A,-7.29972321962209,E,A,0
African American,Both,Single,B,-25.34902947067218,B,50.860968895291,B,E,98.63553434428975,A,D,D,-118.94459225574145,D,B,1
Hispanic,Both,Widowed,D,-27.710104201247876,D,5.12301252371771,B,E,2.592460696764812,E,E,E,-171.8353027968037,E,B,0
White,No,Widowed,E,95.26455579285324,A,28.252603784472658,B,B,-127.73615455321836,C,D,C,-78.98399633633483,C,D,1
Hispanic,None,Divorced,E,-39.9123468265108,C,121.16015737652872,B,C,3.809663258659894,C,C,B,-144.38384739683326,A,E,0
Asian,Both,Divorced,C,51.11306460552174,C,-104.2500212123789,E,B,165.12414424721374,A,B,D,108.64428559451962,E,E,0
Asian,Mental,Widowed,D,-130.81484426846578,A,-59.67924434125366,B,E,-3.1073390159266525,E,D,A,-9.508504472888438,B,C,1
Black,None,Divorced,B,-180.74196296457077,B,73.15124327397822,B,C,204.04732297717447,C,C,C,39.2961894600592,B,A,1
Other,Physical,Single,A,-128.2656566614692,D,71.00760538301506,E,A,-10.336644472621986,E,C,E,90.50815468037575,E,A,1
Black,Physical,Married,A,-78.31276693325124,E,-44.026060118779654,A,C,-100.72662719914369,E,D,E,142.13487019704607,B,D,1
Black,Yes,Single,C,174.3305111081201,D,18.189601887512442,A,D,128.37109518193995,C,B,D,-55.330921162181504,A,D,0
African American,Yes,Married,E,7.476747562159562,A,117.58234627681361,C,E,67.84315463451667,E,B,E,-137.42385166623245,C,E,1
Hispanic,Yes,Widowed,B,-78.1393911157623,A,-49.645268987843544,A,D,-105.55915831943582,C,C,C,-8.408478487184972,E,B,0
Asian,Both,Widowed,D,-40.60548920320718,D,-47.86452848144793,E,A,18.88338605234358,A,C,D,135.05037831115774,A,D,0
Hispanic,None,Married,B,12.556389212087266,A,29.3943721189941,A,B,26.771647821494664,D,B,B,190.02764464728077,D,B,0
African American,No,Divorced,D,75.94231388952133,A,-9.157090240009353,E,C,131.87565951866026,E,D,E,85.75236245112261,C,D,0
White,Both,Single,C,222.47784506436133,C,96.87529121264589,B,A,79.5320250672626,C,A,D,78.21923249429408,C,D,0
Other,Physical,Divorced,E,-65.12921300109272,C,-7.656028774009204,E,C,100.74838107108286,C,A,C,-74.61477609537492,C,A,0
African American,Mental,Widowed,B,-6.555331387877629,D,118.15045093922951,D,A,-29.265242591528512,E,C,D,-59.62194113324833,B,E,0
Other,Yes,Married,D,176.39312923769816,C,-76.7881367989094,B,B,-5.799089906428151,A,A,D,-7.741168514930973,D,D,1
African American,Yes,Married,A,23.606096647233723,E,16.282959420492602,B,C,-84.79429384857157,D,E,C,29.327511157110663,D,E,0
Other,None,Married,A,112.82265710129079,E,-1.188034933900179,B,D,-13.844378735044288,A,A,C,17.15574245623311,E,B,0
White,Mental,Single,A,-91.79947645880408,C,-75.04571904172863,A,B,73.62124426308067,C,E,B,147.3335754747648,B,A,1
Hispanic,Both,Single,D,-71.73965403607076,C,-116.48651793774667,D,B,32.97919343936887,E,D,B,-79.49880764862576,E,E,1
Other,No,Widowed,E,1.5305299202803802,C,-165.55702372351558,D,D,-181.87346090960375,A,A,A,-40.13092424316059,E,A,0
Asian,No,Single,E,-171.97075437955377,B,140.80410007436714,C,C,111.05123700185086,C,C,A,-119.44587392033033,D,E,0
Asian,Physical,Divorced,B,-217.26052715185352,E,148.894374037802,A,E,-20.460372425272038,E,D,B,-128.38186579022667,A,D,0
White,Yes,Divorced,A,19.103352351652422,E,-108.85266473653581,C,B,42.83059185977528,C,E,C,90.17605938875242,D,D,1
White,Yes,Married,A,71.4227956583291,A,-128.61779907398522,C,D,0.6547512733463965,A,D,D,-149.20019117177858,B,C,0
Asian,No,Single,B,157.91304222634247,D,12.360190283982593,B,D,-15.784661674529083,A,E,D,-41.04063404284779,D,E,1
African American,Yes,Single,B,98.30772616577896,C,-36.882101721053026,C,A,173.78587861462248,E,A,B,-35.62172364653916,A,E,0
White,None,Married,C,21.453316089938436,A,84.55738743239662,B,A,-214.72601604120715,E,E,E,-204.5832218204302,A,A,1
Hispanic,Physical,Divorced,E,-54.5947923382888,E,-87.58470810333841,C,E,-90.95608674176546,B,A,E,145.46410180462453,B,B,1
White,Yes,Widowed,B,16.72714558457477,A,74.5341817714359,B,B,67.89505970665587,A,C,E,16.779405924218693,D,E,1
African American,Mental,Married,D,95.66078956591674,E,13.351631264342862,B,C,30.240846962482827,C,E,C,152.5629161112681,B,D,0
Asian,Yes,Widowed,C,126.44817577953917,D,-52.39774542174096,A,C,-78.66976926317805,B,B,D,53.98059272918577,D,A,1
White,No,Divorced,C,48.67684678121984,C,-96.2004649898839,D,D,299.05039740108015,C,A,D,128.56949117713773,D,B,0
White,Yes,Single,B,-49.39512139052715,A,122.116504010476,C,D,-64.9666937131869,E,A,C,50.12211573348914,A,C,0
Asian,Mental,Widowed,D,-55.29645316679242,E,-96.87925591170308,A,B,-21.829659712122158,A,E,C,245.19573386055336,E,E,0
Hispanic,Yes,Married,B,18.431885856222312,B,-74.01946451137374,D,D,203.96055708004127,A,E,C,-75.7466183049427,E,B,1
Hispanic,Yes,Married,C,-114.2847009571079,B,28.08755531466087,C,B,-46.331124401239016,B,A,A,-21.368049812881676,A,D,1
African American,Both,Widowed,A,2.119609631732308,D,24.539251516567433,C,B,40.51823063778529,C,E,B,55.0105828381786,E,C,0
Asian,No,Single,B,-34.377226013644474,C,160.16664441480597,C,B,106.95765666171798,A,B,A,-114.1991380255011,B,C,1
White,None,Single,E,69.85429957264866,E,68.00087526107366,C,B,150.62300580144154,E,C,C,-4.547182862351689,C,E,1
Hispanic,Physical,Single,A,33.91072726440323,E,-18.63299215231631,E,D,118.38728863548262,D,C,E,-177.27136788792808,D,C,0
Other,Physical,Divorced,E,-84.30318368745704,E,34.454039348368795,C,A,-41.95721541871214,D,A,E,-58.34334756493803,D,C,0
Black,Mental,Widowed,C,-145.76462965584435,E,69.67597799631208,D,B,-52.96920729977971,E,B,D,228.28117035547257,A,C,0
African American,Physical,Married,E,-13.561026202512583,C,-107.07848830582,C,A,-191.87657553562104,D,C,E,4.850894425485159,A,D,0
African American,Both,Widowed,C,132.0264154855626,B,-5.527893576609497,E,E,-44.89919159915265,E,C,E,74.62962307389309,A,C,0
Hispanic,None,Married,D,102.1416678769262,E,112.48155150925187,E,E,204.59983067469238,B,C,B,-27.456071766633706,C,A,1
African American,No,Divorced,D,135.91575903383864,A,96.50263660978919,D,E,131.7100512192598,C,C,D,39.90502480205747,D,C,0
African American,Mental,Divorced,D,-19.106451310293117,D,-19.621512841808258,A,C,-197.34203851371498,D,E,A,7.262382143033087,B,D,1
White,Mental,Single,C,110.97733503554095,A,32.595201849950314,D,C,-84.24346170170791,D,E,E,65.4110586873466,D,D,0
Asian,Physical,Divorced,D,-94.2660816637283,D,15.845348878368535,C,E,-5.11144592507782,B,B,A,114.96225815242127,A,A,0
White,Mental,Single,A,3.7086709153935367,A,-53.53672845027971,D,E,79.30618081171538,B,E,C,-40.967614979565234,A,E,0
Hispanic,Both,Widowed,D,31.042379902559624,B,-131.69292949117536,D,E,26.001761392414135,A,C,D,-50.52121055299761,E,D,0
Black,Both,Single,C,-59.74860765520704,C,51.57064517767357,E,E,-25.85952518519835,A,A,A,98.25146492597095,A,B,0
Other,Physical,Widowed,E,-188.1191179234972,E,-119.1634988152963,C,E,-0.7088553666887363,A,B,E,-4.576540806464732,E,D,0
White,Both,Single,C,179.15244539616128,D,-53.57717097357121,D,D,196.55031885680677,D,A,A,-40.95295564936897,D,D,1
African American,Physical,Widowed,C,292.98750374896184,D,-128.13568021163508,C,B,44.77429699818102,D,C,C,71.41370335319331,C,B,1
Black,Yes,Married,B,164.54767828380852,C,19.728598719982372,C,A,121.26316907990962,E,C,A,14.317937125838249,E,A,1
African American,None,Single,B,-64.24387999074176,D,29.443556037661363,B,B,65.85916321913746,A,C,C,10.147233304231287,A,C,0
Black,Mental,Divorced,E,-41.383462139377656,E,159.07310564639883,E,E,-218.28798193007387,E,B,B,-55.85781654291847,C,C,0
White,Both,Widowed,E,-106.23680650684815,C,-124.30562417136616,E,D,-130.37635738397861,B,C,D,-0.42278231700611385,A,C,1
Hispanic,No,Single,C,64.5997341783171,B,9.461119999749839,A,E,61.062141063852316,D,D,E,-78.07955166509682,D,A,0
Hispanic,Both,Widowed,B,57.63336472979398,A,-35.50620272437959,A,A,187.07908576587457,B,E,A,-22.568710012582397,B,B,0
Other,Yes,Divorced,E,41.904023384956545,C,151.6386320492938,E,A,67.71247116840523,A,C,E,-5.347486382226008,C,D,0
White,Both,Divorced,E,0.703267970122752,A,-51.006058800137154,C,D,55.0523083087157,C,D,C,-5.912290807738242,C,B,1
Asian,Mental,Married,B,-70.38618045643858,E,-84.22971746243765,D,E,170.8383860109305,B,A,B,-79.4890800859521,B,D,1
Other,Physical,Divorced,C,140.89206988541852,C,-180.44188791303165,A,A,-64.58601946037984,D,E,A,18.7142492049492,B,A,1
White,Physical,Single,D,21.33641265497055,C,-18.895842442654,D,B,-34.06754699585462,A,E,C,38.85208614292923,E,C,0
Other,None,Divorced,D,-113.81168482095796,E,102.6872795870744,C,E,8.74700789662211,E,C,C,242.8755304325108,C,A,0
African American,None,Widowed,A,-125.83673485207505,D,-90.09379621798288,A,A,109.73678010592663,C,A,A,53.31942230502765,B,E,0
Asian,Physical,Divorced,B,86.87710448085106,E,114.09595020550844,E,C,-16.99799250159221,D,A,E,-145.0567676897754,D,C,1
African American,None,Widowed,C,71.80518842348235,D,-84.00449266503826,B,E,-16.76482020761921,B,D,B,5.25255275142384,C,A,0
Other,Mental,Divorced,E,-131.80311738471505,B,181.33810637802614,C,D,-79.2741345133378,D,B,B,183.88101704562567,C,E,1
White,Yes,Divorced,D,214.45846823302156,E,0.834681919684029,A,D,-97.81111929335233,B,A,A,176.73400859191932,C,C,1
Black,Yes,Divorced,B,-20.257312617982667,C,90.3770782072988,A,D,-2.8258164222009428,C,D,B,-13.674000283411702,D,D,0
Black,None,Divorced,D,152.59701287649196,E,-178.47787751330532,A,B,94.53210325939897,B,C,B,16.344239364426677,C,A,0
Asian,No,Widowed,B,12.42850073448737,E,26.81820724844637,A,E,166.09250491211625,B,C,D,-74.93480682113213,A,B,0
White,Both,Single,A,8.913259401434596,A,70.63003246858679,A,E,78.61522604818163,B,E,A,-128.066958763287,A,B,1
White,Yes,Married,C,-108.26644198281095,D,-15.848721835240948,B,E,94.82198554125917,C,E,E,-62.92255288287083,D,C,1
Black,Yes,Married,C,26.166135371981795,B,110.02156881045211,A,B,29.330874017251624,A,D,C,8.921458620611741,E,D,0
Black,Both,Divorced,A,-96.45763227683182,E,-84.32759493137077,A,C,-91.66884922682756,E,E,E,53.80296529303913,D,B,1
Black,Both,Single,C,-53.958386033412665,C,141.96453109583913,C,A,-40.10967476741777,D,B,E,11.777230313948557,E,B,1
White,Yes,Widowed,C,93.71258229750264,D,-61.751762542998435,D,B,-62.08369425644871,C,D,C,18.922471326736552,D,A,1
Asian,Mental,Single,C,48.86393976682093,C,-48.48790791070805,B,C,79.37818412261218,D,A,E,7.823590723172656,A,A,0
Asian,No,Single,A,-52.20602069850185,E,17.420855687389416,E,D,91.97936650722528,D,B,E,139.85808817417043,A,A,1
White,Both,Divorced,B,76.72518272105681,A,8.027415787915329,C,E,-69.85899720524266,E,C,B,6.721285524955402,E,A,1
African American,None,Married,D,-203.65797815729402,C,-153.17960947777416,C,B,-27.154459151435873,D,C,A,-137.3900002328945,B,A,0
African American,Physical,Single,D,-42.019040213811486,D,-108.90031204451782,A,D,0.4893888624048109,A,D,C,-17.397505149656407,A,D,0
Asian,Physical,Divorced,E,-10.674656626552265,B,83.52574340372222,E,E,75.76761436634926,B,E,A,-10.783984409227873,E,B,1
White,Mental,Single,D,97.64403294176608,A,13.220692796029617,D,E,145.57114818510527,C,E,B,136.12253704510724,D,D,1
Asian,None,Married,B,-7.374805812097941,B,179.41895542541587,E,E,49.60961962960206,E,D,D,-9.25189592804113,D,B,0
Other,No,Single,C,-105.65637348343276,D,-119.08155677513864,A,E,-6.6473372661394,A,E,D,-43.477156917526585,C,C,1
Asian,Mental,Single,A,3.3073163179056584,C,-90.29937762123616,B,D,0.5096099496468743,C,E,B,-203.0313496098631,B,A,0
African American,Physical,Married,C,-84.8074080012054,D,55.13186503369531,C,E,-53.484875558622456,A,D,B,-100.54865295590218,A,D,1
Other,Mental,Widowed,D,-6.317006296371379,E,-55.721765120096975,C,C,17.478432525504882,A,A,D,-47.597400868072434,B,C,1
White,None,Divorced,E,-6.054893529585446,A,27.404510126579098,C,E,76.56428164124019,B,D,D,120.22674018312702,C,E,0
Hispanic,Both,Widowed,D,-9.802272485107773,D,-157.2466667850085,A,A,-22.36731040929391,A,B,E,-84.74287983530601,D,B,1
Asian,Yes,Single,E,-185.00279041275704,E,192.61602248238418,D,D,9.880796276932042,B,B,D,80.77983363720914,A,B,0
Asian,Mental,Divorced,D,72.69044948648757,E,-9.21229060056978,A,E,-79.58916359662082,D,A,A,-115.51695805161093,C,E,1
Asian,Physical,Widowed,D,6.146379699546613,B,-63.12328723803001,A,E,90.38529002214204,B,A,B,130.18648745944495,D,B,1
Black,Both,Married,D,90.10267238437538,B,-51.94521461122661,B,C,-7.234211937094037,E,C,C,122.95611077005763,B,C,1
Asian,Both,Widowed,A,46.216774605792466,D,3.919170617333232,B,D,71.65706449424172,B,C,D,130.3829252907053,E,A,1
Other,Mental,Widowed,A,-170.95858491721629,A,-124.72619339266195,A,B,-136.88392577245975,B,B,E,-66.56362215455009,C,A,1
White,Both,Widowed,A,29.32152803464916,E,6.098636221494412,E,D,-18.37298854473146,B,A,D,100.98523947672142,D,B,1
White,Both,Married,B,95.70479248515599,D,-58.701849567931006,A,B,40.30198615422671,C,D,D,-57.56398074253188,B,A,0
Asian,Mental,Married,D,-48.19021621297412,E,-102.3301744764118,D,B,-161.2703677116482,C,E,E,95.32139549147757,E,D,1
Black,None,Single,C,-93.85002782653386,B,9.566989167526968,D,C,-8.066516389783455,C,E,E,-182.72347857578802,D,A,0
Hispanic,No,Divorced,E,44.97011170051682,D,66.17835139902813,D,A,76.9203281688512,D,D,B,-112.89799683110478,D,D,1
Other,None,Widowed,E,-88.3547335174262,C,11.496274179712875,C,A,61.102036033675674,B,D,C,-163.6472676852676,E,D,0
Asian,None,Divorced,B,-12.23030668406424,B,58.654709001861185,A,E,-84.27206230280801,A,C,C,56.570605091200356,A,E,1
Black,None,Divorced,B,7.122375525367246,B,-66.28845171158565,B,E,-48.73010821705346,A,B,D,26.614878077894836,E,B,0
Asian,Mental,Widowed,B,-98.70515746538632,C,136.24703128748786,A,D,126.88718602911042,C,B,A,-125.61685360542518,B,D,1
Hispanic,Mental,Single,D,22.866159762363207,E,45.13202598699879,D,B,-207.48575172056175,E,B,E,120.08327420625218,A,A,0
Other,No,Single,C,75.35216880148774,C,-84.90349483556525,B,A,51.11144796471593,C,E,B,50.51345721371723,A,D,1
Asian,Both,Widowed,D,90.83841283568816,C,25.507374456706334,E,C,-155.7878688597486,D,C,C,89.2993694364663,E,C,0
African American,Mental,Single,D,57.75639049419057,A,147.1985046021296,C,C,31.631987631613168,D,D,C,-73.54372600091081,B,C,0
Asian,No,Divorced,B,-208.52382429127886,A,-64.16301987748732,B,D,-40.82760586461745,E,C,C,-24.43464229035711,B,D,1
African American,Physical,Married,A,117.86991682323757,B,0.7545508096354678,E,A,-113.31907319657178,E,A,C,-40.81997169124376,A,B,1
African American,Both,Single,B,-178.35348495293536,D,28.428042174549965,B,B,-219.07553120366651,E,A,A,85.50810380531475,A,A,1
White,None,Single,D,49.754876353892335,B,48.894785588743815,E,E,269.58873301742034,A,A,A,76.08673329513097,D,E,1
African American,Physical,Single,D,-26.598776554951204,C,-70.42014766366454,C,C,-101.26212035550748,C,E,E,10.275331219725024,D,E,1
African American,None,Widowed,E,-21.114923226730216,A,21.1060725524754,C,D,138.98242189527295,D,D,D,40.23263912971694,A,A,1
Asian,None,Single,D,5.8516956359180154,D,-31.718162307886633,A,C,106.2572737774278,E,B,E,76.06069773437723,E,A,1
Asian,Both,Widowed,B,-181.50056132033157,D,-22.960134823556167,D,E,16.638138658273114,C,C,D,-91.25296386707878,E,A,1
Other,Both,Single,D,85.80166014607414,C,34.60869471091739,D,D,64.1906876026996,C,D,B,-118.57548649603496,A,E,0
Other,No,Married,E,-34.292109308539345,C,-187.7266832161821,C,E,55.67066720106247,D,E,E,-101.23226616352319,D,B,1
Other,Both,Married,B,-131.63530426271365,E,-4.975348214154411,A,C,-67.40237206572182,B,C,E,99.37022129664683,E,D,1
White,Both,Married,A,21.58209029309324,D,-73.07944622732651,B,A,186.28511287143036,D,C,D,95.38716088505075,C,C,0
African American,Yes,Widowed,C,251.93384910940964,B,148.0842844479069,B,D,78.90232562242228,E,C,A,-134.39877720028585,B,D,1
Hispanic,None,Single,D,164.64749522902147,A,27.516808493914635,D,A,-92.19629171623738,D,D,D,-107.85787744046142,D,C,0
African American,Both,Married,A,-93.21150798698649,D,-184.92966765837082,C,A,-196.2444835678111,A,A,D,-4.203368625900403,E,A,1
Hispanic,Physical,Married,D,-67.93390325666032,C,38.314780070843405,E,A,-91.11823877524712,E,E,D,14.581144478717592,C,D,0
Asian,Both,Married,B,-46.730943578535815,B,-19.26758567379585,D,A,205.6101475550639,A,E,D,84.62424846668547,C,C,0
African American,No,Single,D,0.12385992826862482,A,-57.62406574306949,A,B,59.76946046462599,B,A,E,129.95192920962822,D,A,0
Asian,Both,Widowed,D,-179.6885485110402,A,54.49326373596991,A,E,-1.5238150364471494,E,B,C,-12.609184640488333,E,D,1
African American,Mental,Widowed,B,-118.98182878049084,A,-10.71296102320539,C,C,120.35854665653495,A,B,B,145.13805123878288,C,A,0
African American,Yes,Single,D,-1.5299628241395307,C,30.780332844897462,B,A,-71.82484608723064,E,E,E,53.7517846960066,C,E,1
Asian,None,Widowed,E,115.04374533291559,C,-80.47261926720019,C,D,87.84776641917084,D,B,B,162.01188493588504,E,E,0
Hispanic,Mental,Single,D,16.310806074864665,A,-85.3064730959146,D,E,130.96270463098455,C,D,B,68.66976618812909,A,C,0
African American,None,Divorced,B,-5.2630719865119415,E,-103.2722199069902,C,B,-153.58997313270254,D,C,A,46.87596001447895,C,A,0
Other,Mental,Widowed,A,-203.372060792968,D,126.47953174448037,A,B,106.0922176865231,D,E,A,-141.64652957078357,C,C,0
Other,No,Married,D,86.08251018173672,B,57.92104129544284,E,A,93.04721282570621,C,A,B,9.385416748981026,E,C,0
Other,No,Single,C,-196.70948085992234,B,-92.45675263241291,E,B,105.61335350843102,C,C,C,-65.66857546417495,C,A,1
Hispanic,No,Single,C,29.696694068094974,C,-62.192576107948284,B,B,52.99397430402526,B,E,C,6.763390064419051,E,D,0
White,Mental,Divorced,B,75.25179351303503,C,-46.249278077920906,A,D,-75.62397322302844,B,D,B,-54.83157236338049,A,C,1
Asian,Both,Married,C,29.020852441813872,D,-124.73817237496493,D,D,-86.7942510966057,C,D,C,167.00681537605826,D,D,0
Hispanic,Mental,Divorced,C,30.55098466688949,A,5.237459165165571,A,C,90.47166177207642,E,D,C,48.7473313575024,A,C,1
Black,Both,Single,D,147.391068568269,C,-163.46862360146298,B,A,-78.21884148253861,B,C,A,54.798935544712016,C,C,1
Hispanic,Physical,Single,D,-40.99861263937415,C,81.73476264222246,D,C,230.83799916489895,D,B,D,-32.710268944020264,E,A,1
Hispanic,No,Single,B,293.5716867548789,B,-62.13030391225802,B,A,101.31970148555382,B,C,D,-73.84010014441905,A,C,1
African American,None,Divorced,B,108.383785704286,D,-48.948533336419075,C,D,-211.8429403760698,B,C,B,-76.1859548554247,B,A,0
Asian,Mental,Divorced,A,-142.2058779914917,A,135.50642950903682,B,D,1.0772743195298073,A,C,D,-29.452431456206362,E,D,1
White,Yes,Divorced,D,102.30473008743206,C,26.245784517911503,A,C,-13.036352472676215,B,B,C,64.34419701912297,D,B,0
Asian,No,Single,E,127.90874590211871,D,-80.76367911670388,B,C,42.96986515965283,C,E,B,242.52505600900363,D,C,0
Black,Mental,Married,B,109.662835724435,E,120.23647541933695,C,A,142.99562803077737,E,B,B,53.882481312584176,D,A,1
Hispanic,No,Divorced,A,-68.66895627609142,C,-83.34831115820404,D,D,37.191117455912284,B,C,D,-94.43594381450922,D,A,1
African American,Mental,Widowed,D,-31.343916379526803,A,100.49411534237957,A,D,-76.35679245791108,B,C,E,-111.22239710476347,E,B,0
Other,Mental,Widowed,E,41.49125863162511,C,144.14783466102844,A,D,-61.91070940484072,C,E,B,-57.64141352939009,D,E,0
Asian,No,Single,D,-68.37644112521401,B,-56.48769631580021,D,A,18.69156082655806,E,E,D,63.63888447090008,B,E,0
Hispanic,None,Single,D,55.669700594415474,D,81.51612823371579,E,B,-16.685976591587163,E,E,A,-48.968572949681985,E,C,1
Other,Physical,Single,E,-52.228779174638426,D,-99.60326275998952,B,A,-160.37457941414544,A,A,B,11.603798477846015,A,C,1
Asian,Physical,Widowed,A,89.9157154467955,A,-51.77172054713372,D,B,7.510348288639069,A,E,B,-48.41697090589474,A,B,0
Black,No,Divorced,C,-100.03527303675597,A,-118.16482044924406,E,D,-64.78516279039954,D,B,E,132.0075386404822,D,C,1
Asian,Yes,Widowed,A,73.12763345252768,D,79.870551754048,A,B,59.35215018686073,D,B,D,-105.93332777359277,E,C,0
White,No,Single,D,204.21214579570776,D,39.69567960719703,A,A,-105.61413134464281,D,A,A,-179.14729548447082,E,B,1
Hispanic,No,Widowed,B,88.51587376597405,D,-110.97136181074974,B,C,-100.04931512307813,C,A,D,76.90724709677023,E,B,1
Other,No,Widowed,D,44.31319490135365,C,-18.745109555673096,B,D,-9.574242268546591,E,B,D,171.68640157348,A,C,1
Hispanic,Both,Married,E,-37.27448086122831,A,93.04079181710539,D,C,11.334866465358317,C,B,C,138.29875806267404,A,D,1
Other,Yes,Widowed,B,10.802863512797876,E,69.7878298519191,A,A,136.3350384327516,A,A,D,160.77600635658172,A,C,1
African American,Mental,Divorced,B,53.11252899753045,E,94.25875298149056,D,C,-25.556567205934744,E,C,A,-85.64231148194604,D,B,1
African American,No,Married,B,152.1464436384433,E,172.33706879775784,A,D,-63.50225948153992,E,B,D,-40.05942623119845,B,C,1
Other,None,Married,A,60.57306353718207,D,-96.30426449444604,E,B,204.25369777491568,B,B,E,-132.96093488952758,B,B,0
Black,None,Widowed,B,78.67308778637174,B,-67.4725906894465,B,B,-61.6801803615181,B,A,E,48.448690494791734,C,E,0
African American,Yes,Married,C,235.70110763458524,E,58.2672383253509,E,C,6.375523124923419,D,D,E,95.40167780618654,E,C,0
Asian,Physical,Single,D,82.50943133617675,B,156.92586438165154,C,C,-75.73272239023363,B,B,D,41.603277009155065,D,B,0
Black,No,Married,B,21.3202019755186,C,-260.52091447898215,D,D,96.52756283238442,D,D,C,-9.946028207946522,D,A,0
White,Yes,Divorced,C,-37.058136705059134,E,97.37770652383472,D,E,-56.100856672356436,E,D,B,109.78113581618054,D,B,0
