married,country,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,target
Single,UK,51-65,D,A,-53.54343334350891,E,A,1
Divorced,Brazil,18-25,A,D,0.28640831917508924,C,E,1
Widowed,Other,18-25,A,C,-108.66638090295393,C,B,1
Divorced,US,18-25,C,D,-66.97221565748517,E,D,1
Married,Other,26-35,A,D,28.36790272448467,E,C,1
Widowed,India,18-25,D,B,-134.0742200543879,A,C,0
Married,China,36-50,A,C,-92.17489883942747,C,D,0
Divorced,Other,26-35,C,D,48.549946781481665,B,D,1
Single,Brazil,65+,A,A,171.77215078288003,A,A,0
Single,Other,26-35,E,D,105.2162418291626,A,E,1
Married,Other,18-25,A,E,-35.26690601532742,C,E,1
Divorced,Other,18-25,D,C,-218.62205902222934,B,C,0
Divorced,Other,51-65,A,C,-99.55019333782825,C,A,0
Divorced,Germany,26-35,C,C,-44.89746390051344,E,B,0
Married,Other,65+,E,E,-167.28516594721552,B,D,1
Married,India,65+,D,A,47.20890479157218,E,C,1
Widowed,US,51-65,E,C,-16.342480046303802,B,D,0
Married,Mexico,65+,C,B,-135.2403779566616,A,C,1
Widowed,India,18-25,C,E,94.68696728018662,C,E,0
Single,Germany,18-25,A,B,11.817343144377897,C,D,0
Married,UK,36-50,C,D,19.28488825827655,D,E,0
Single,US,36-50,A,A,72.55549085810226,A,A,1
Married,Germany,36-50,B,E,27.254422633369902,C,A,1
Married,Other,51-65,E,C,20.92817267966459,A,A,1
Widowed,UK,36-50,B,D,301.01030915841267,B,E,1
Single,India,51-65,D,B,-104.26159626932193,E,D,1
Widowed,China,51-65,C,B,-105.04569915067982,C,A,1
Divorced,Brazil,51-65,B,B,-16.20586945980039,E,B,1
Single,Brazil,51-65,A,C,100.4534534579517,D,C,1
Married,India,51-65,C,D,-32.647765177503416,B,A,0
Married,Germany,65+,E,D,11.02880669061929,C,B,1
Widowed,Germany,36-50,A,C,-41.735053490044166,E,C,1
Single,Other,51-65,C,C,-13.991675827913886,C,A,1
Single,India,36-50,E,B,9.122265330482156,E,E,0
Widowed,Germany,65+,E,E,-175.30618818449497,B,B,0
Divorced,Germany,36-50,D,A,13.57471018502259,C,E,0
Widowed,UK,65+,C,E,12.671473752218107,B,A,0
Single,India,36-50,D,E,-62.405548051064066,D,E,0
Single,Other,51-65,A,C,-30.174692304110472,C,B,1
Divorced,US,51-65,B,A,-139.06679317859835,A,E,0
Divorced,Brazil,18-25,D,A,-68.18380096939698,B,E,1
Single,UK,36-50,B,A,100.58288426639317,A,A,1
Divorced,UK,65+,A,A,0.907127098018705,B,E,0
Divorced,China,18-25,D,C,-137.08480037128717,B,D,0
Widowed,US,18-25,D,B,-1.631650613182266,E,A,1
Married,Brazil,51-65,E,D,-120.36251823552529,B,D,1
Widowed,Mexico,36-50,C,D,-23.82305266215968,B,A,1
Widowed,US,26-35,C,E,-38.31779244138208,D,C,1
Married,Other,51-65,C,C,30.91381947596857,E,B,0
Widowed,India,65+,B,A,217.93188362082918,B,B,1
Single,Mexico,36-50,C,C,-156.32211305597514,B,C,0
Married,Mexico,65+,B,B,31.473281849400614,E,D,1
Single,Germany,65+,A,E,123.82927019787016,A,A,0
Divorced,US,36-50,D,A,-37.48327073031179,D,A,0
Married,India,65+,C,D,114.2963655948745,A,A,0
Married,Brazil,65+,C,D,144.90598132439197,E,E,0
Single,UK,18-25,C,A,-26.82399835751385,A,C,1
Married,India,26-35,B,C,-57.83993482023016,D,A,1
Married,Brazil,26-35,B,C,-50.833929880115036,E,E,0
Married,Germany,18-25,C,D,-44.45551239431278,E,D,0
Divorced,Germany,65+,E,B,117.04232777107977,A,B,1
Married,UK,36-50,E,A,60.38208677221426,E,E,0
Married,Brazil,18-25,B,A,-23.010926751580037,D,A,1
Widowed,China,51-65,D,D,-175.74409927869092,B,A,0
Single,US,51-65,C,D,-26.04595138310876,C,B,1
Widowed,India,26-35,A,B,-101.75815100965262,D,C,1
Divorced,US,51-65,B,D,-17.117176953277443,B,E,0
Widowed,China,51-65,E,B,-30.34406052638614,A,B,1
Divorced,Brazil,26-35,E,B,3.797542232524884,C,B,0
Widowed,UK,51-65,D,B,-150.14547376671345,E,C,0
Single,China,18-25,A,B,42.80335194958271,E,D,1
Married,UK,51-65,D,D,-60.5156645772222,B,C,0
Married,Mexico,65+,E,B,-47.097926476652404,A,B,0
Single,Germany,65+,E,E,138.91023946835764,B,A,1
Divorced,Mexico,65+,B,C,84.02547736121015,E,A,0
Single,Brazil,36-50,E,E,125.69772662946484,E,C,1
Widowed,UK,18-25,A,D,138.41230271934216,E,D,1
Divorced,Other,36-50,D,E,-188.9732302866416,E,C,0
Single,UK,65+,B,E,-132.24057164006138,D,A,1
Divorced,Other,65+,A,D,-12.6639824109237,B,C,1
Divorced,Brazil,36-50,C,E,-165.8732837548416,D,C,0
Widowed,Brazil,36-50,B,B,19.11449385151588,E,D,1
Married,Germany,51-65,C,C,81.54210827360315,D,E,1
Single,Other,36-50,C,B,-200.29285905752178,D,E,0
Divorced,Mexico,65+,C,A,-22.479564477572396,D,E,0
Divorced,China,36-50,C,E,-35.22112992715465,D,A,1
Married,China,26-35,E,E,58.96386328499613,C,D,1
Divorced,Germany,36-50,C,C,168.69571584307852,A,C,0
Married,Other,65+,E,D,-64.46200269563163,B,D,1
Married,US,36-50,B,A,97.07141370386474,E,E,0
Divorced,Mexico,51-65,B,E,172.97834906456853,B,B,1
Widowed,Other,65+,A,B,-40.562461759716115,D,A,1
Divorced,China,51-65,E,D,-15.268983244488382,E,C,1
Divorced,India,36-50,B,C,57.32226486956308,C,D,1
Widowed,Brazil,51-65,D,A,207.27242940924313,A,D,1
Divorced,China,18-25,E,C,-204.32499566144142,A,C,0
Divorced,UK,36-50,C,C,52.699400142164535,E,A,1
Single,Mexico,51-65,D,D,21.343238542080552,A,C,0
Single,UK,65+,B,C,-64.69098709940656,A,C,0
Single,Germany,26-35,C,D,65.69541257328781,B,E,0
Single,Germany,36-50,A,B,-39.98185258093101,B,A,0
Divorced,Other,51-65,A,C,88.44333059927902,B,A,1
Divorced,Mexico,18-25,E,C,30.75234178211954,A,E,1
Married,Brazil,18-25,D,A,49.19192154482646,C,C,0
Widowed,India,26-35,B,C,-57.07842425827838,A,C,0
Single,Other,26-35,D,A,-78.61820020818287,D,E,1
Single,US,26-35,A,C,-158.41044389911906,E,A,0
Widowed,China,18-25,B,A,20.13855541503277,B,E,1
Married,China,65+,C,E,119.55587651841142,C,B,1
Single,China,51-65,B,E,-16.518643446406966,E,D,0
Married,US,36-50,C,E,-13.4200795362882,C,B,1
Widowed,Germany,36-50,C,B,14.716381629534734,E,C,1
Single,India,36-50,B,B,-13.53872631199361,E,C,1
Divorced,China,18-25,D,E,217.20458311914976,A,E,1
Married,Germany,51-65,A,E,49.04807112842627,C,C,0
Married,Other,26-35,B,B,51.126624889971936,C,A,1
Widowed,Mexico,65+,C,B,-4.685144209710936,A,B,1
Married,UK,36-50,B,E,-24.805152899628713,D,B,1
Widowed,Mexico,36-50,A,A,-30.047755925583626,D,E,0
Single,Mexico,51-65,E,D,-69.49892656689364,E,D,1
Married,China,36-50,B,D,-6.904098896479131,D,A,0
Divorced,Other,36-50,D,C,-49.174456136762586,A,C,1
Widowed,India,26-35,D,C,-130.8823699013863,B,E,1
Married,Other,26-35,A,C,158.98214491127504,C,B,0
Married,India,51-65,C,B,141.30492136467913,C,D,1
Single,China,18-25,D,D,-176.14050463314635,E,A,0
Married,Other,18-25,C,D,-41.5633140800124,E,E,0
Single,Brazil,36-50,D,B,-85.27264896793878,A,C,0
Married,US,36-50,B,E,-56.63119133850275,C,A,0
Widowed,US,26-35,B,E,-57.72124030547817,B,A,0
Married,China,51-65,C,C,60.87665908757261,D,D,1
Married,Germany,26-35,C,E,-93.1086260661128,B,C,1
Married,Other,18-25,C,B,-7.094705127930279,A,C,0
Single,UK,18-25,C,C,-93.06125281476648,A,B,0
Married,Brazil,18-25,E,D,104.14343121878835,A,E,1
Married,US,26-35,E,B,47.38066368501382,B,B,0
Married,Other,36-50,E,C,-56.25973567633561,C,D,1
Widowed,China,18-25,A,E,123.2130085283737,B,A,0
Single,Germany,51-65,E,B,35.08670984919932,E,B,0
Divorced,US,18-25,D,B,-151.10203704946906,C,D,1
Widowed,India,51-65,D,B,120.03583206697826,C,A,0
Widowed,China,36-50,E,D,-69.97579866993578,C,A,1
Widowed,UK,51-65,E,D,-123.986309946297,A,A,0
Married,India,26-35,A,B,75.71780483497659,B,D,1
Single,Germany,18-25,B,B,-155.4502216345551,A,A,1
Widowed,India,18-25,A,E,-146.3986390042821,E,A,1
Married,Brazil,26-35,C,B,63.80305189017372,B,A,0
Married,Germany,18-25,D,D,101.18418019839667,C,C,0
Widowed,Other,51-65,D,E,98.33566841710257,A,B,0
Widowed,China,36-50,B,B,106.36090417211935,A,B,1
Married,US,36-50,C,E,-94.57345954903383,C,C,0
Widowed,China,65+,D,C,1.1683136515087191,D,B,1
Divorced,China,65+,E,D,-89.51340095842599,E,D,0
Widowed,UK,26-35,A,E,53.8449459953444,D,A,1
Divorced,India,26-35,C,C,-108.2331204134303,B,D,1
Single,China,18-25,E,B,-43.89669127830295,D,A,0
Divorced,Mexico,18-25,B,B,-36.269091291468335,E,B,1
Widowed,Brazil,18-25,E,E,-72.56898606718963,B,B,0
Widowed,China,36-50,C,E,-110.72960480494353,D,A,0
Married,Germany,36-50,E,D,-93.16469884344,E,A,0
Married,Germany,51-65,B,E,-34.60045503969253,B,D,1
Married,Other,26-35,D,C,14.884776815641148,A,C,1
Single,Brazil,36-50,D,C,209.31849508488307,C,A,0
Married,China,65+,E,A,-37.96356277137059,C,B,0
Married,Other,26-35,A,D,-165.20376471472153,C,C,0
Single,Mexico,65+,D,A,-67.09970770075346,C,C,0
Married,China,65+,D,B,14.0015068090651,E,E,0
Married,Brazil,65+,B,E,-154.561574403842,A,A,1
Married,Brazil,65+,A,D,-136.81119256048052,A,B,0
Single,China,26-35,B,A,-48.1769130641247,D,B,1
Widowed,Brazil,51-65,A,D,-149.67541699537438,A,E,0
Married,India,18-25,B,C,185.32761340629244,B,C,0
Widowed,US,65+,A,A,128.72484263919986,C,A,0
Divorced,US,65+,C,D,-4.4249693682917135,D,D,0
Widowed,Mexico,51-65,C,E,26.974754088016685,D,D,0
Married,UK,65+,A,A,1.3428511158148801,C,E,1
Widowed,Other,18-25,D,E,-157.4263980106244,B,C,0
Divorced,Mexico,18-25,A,A,172.65953944341234,E,E,0
Divorced,Brazil,65+,B,E,153.15009754489145,E,E,0
Married,Mexico,18-25,E,C,100.97566734320597,D,A,1
Single,India,26-35,A,D,86.5590309528611,D,A,1
Married,Germany,18-25,B,C,164.25728604269295,A,E,0
Divorced,Germany,51-65,C,D,84.17534700667066,E,A,1
Widowed,Mexico,26-35,C,E,2.993429100488417,E,C,0
Divorced,US,65+,C,D,6.425983983534657,B,B,0
Widowed,India,18-25,D,A,63.47679399070106,C,A,0
Married,Other,65+,C,B,-197.75259925394084,C,A,1
Widowed,US,36-50,B,D,9.634287347984435,C,D,1
Widowed,China,26-35,C,D,-0.8153045509235858,D,C,1
Single,Other,36-50,E,E,-42.1669306398134,E,D,1
Married,US,65+,B,C,-26.883495100095622,E,A,0
Divorced,Other,65+,E,B,71.84101831051721,C,E,1
Single,UK,51-65,A,E,-84.626337737691,E,E,1
Divorced,Other,26-35,A,B,-333.95513098085917,E,A,1
Widowed,Mexico,51-65,E,C,102.6265606611253,D,D,0
Married,UK,18-25,D,D,165.67829986526647,A,A,1
Divorced,US,26-35,A,B,-45.4890192341746,E,B,0
Married,India,26-35,B,E,-6.753908695844317,A,E,0
Widowed,Germany,36-50,E,B,-55.34412147110631,E,E,0
Single,Brazil,36-50,D,B,126.5986378696131,B,A,0
Widowed,UK,36-50,A,A,-5.996955826265201,E,D,0
Divorced,China,26-35,C,E,-34.43477757803455,D,C,1
Single,UK,36-50,E,A,34.35932478359933,C,A,0
Single,India,51-65,D,C,29.245579997871683,B,C,0
Married,Mexico,36-50,C,E,1.0750099763614671,D,C,0
Widowed,Mexico,36-50,C,E,126.21398619508793,B,B,1
Divorced,Mexico,18-25,D,B,-87.40986750715251,A,D,0
Divorced,Germany,65+,D,D,35.953325861119055,D,E,1
Divorced,India,36-50,E,B,63.24295685307227,E,D,0
Divorced,Other,36-50,A,C,109.91311263230266,E,C,1
Single,India,18-25,A,C,-36.086064270445796,D,A,0
Divorced,US,18-25,D,E,-7.339455451292931,C,A,0
Widowed,UK,26-35,C,C,148.8843581562614,B,B,0
Single,China,18-25,C,A,210.00885720492448,A,E,0
Married,India,51-65,E,A,-84.16823990211412,E,C,0
Widowed,China,18-25,A,E,-92.70245904803275,C,D,0
Single,India,36-50,C,C,-166.3462547320187,E,D,1
Single,UK,51-65,D,C,-2.836133305202843,E,E,1
Single,US,65+,A,D,99.23235829335759,B,B,0
Widowed,Brazil,18-25,C,A,101.69952764820319,E,C,1
Widowed,Other,18-25,E,B,15.545354990697756,B,D,0
Single,US,26-35,E,C,-15.449067217793077,D,D,1
Divorced,UK,26-35,C,D,-181.2987140766228,C,C,0
Divorced,Other,65+,B,A,73.94237646444608,D,A,0
Single,China,51-65,D,D,71.6057270713687,A,A,1
Widowed,Other,51-65,E,E,-78.98509993269317,E,A,1
Single,UK,51-65,C,E,29.556028826881086,E,B,1
Single,Other,51-65,C,A,-40.64618439715974,A,A,0
Widowed,China,26-35,E,C,-92.92093934903667,B,B,1
Widowed,Germany,36-50,D,C,83.41376388238024,C,A,1
Widowed,Other,36-50,E,A,42.0649097046807,E,E,0
Married,US,65+,D,A,187.103544055247,A,A,1
Single,UK,18-25,B,E,75.86247841032716,E,B,0
Married,Mexico,65+,B,C,21.594526791461142,E,C,1
Married,UK,36-50,E,E,-38.55332919632926,D,E,1
Widowed,UK,26-35,D,D,22.449940722016677,B,E,0
Divorced,China,36-50,B,D,20.69492582018772,E,D,0
Divorced,Mexico,18-25,E,D,41.20757641967704,E,C,1
Single,Mexico,51-65,E,A,32.879175092605465,E,A,0
Divorced,India,51-65,A,A,-43.240437330829174,C,D,1
Married,UK,51-65,B,E,88.86573260807957,B,A,1
Divorced,UK,18-25,B,D,74.44874654192498,C,E,0
Widowed,US,26-35,E,E,26.76470609245303,D,E,0
Single,UK,18-25,D,E,71.99624162296087,E,A,0
Single,Mexico,51-65,E,C,141.33137522645376,E,E,0
Divorced,Brazil,18-25,C,A,50.67079937764155,B,B,1
Widowed,Germany,18-25,C,D,79.92174477340896,D,D,0
Married,UK,65+,D,E,6.399893099131858,D,C,1
Widowed,Brazil,65+,A,A,-74.92908325403523,C,A,0
Divorced,UK,26-35,E,B,9.321342938189838,D,B,0
Married,Brazil,26-35,C,E,-30.978134883543433,D,E,0
Single,India,36-50,A,D,160.80480981274346,D,E,0
Single,India,26-35,E,A,220.00065872068006,E,C,1
Single,Mexico,65+,C,D,128.65351237090434,D,A,0
Married,US,36-50,E,A,-21.23010363599689,C,E,1
Widowed,Other,26-35,C,A,90.46617381078089,E,E,0
Divorced,Germany,26-35,D,B,67.97321535065734,D,A,0
Married,India,36-50,E,D,-115.91682847768026,D,E,0
Married,China,51-65,B,E,-35.60978153220119,C,B,0
Single,US,18-25,D,A,18.3017359584847,A,D,1
Married,China,26-35,E,E,-5.436750565241509,C,E,1
Single,China,18-25,A,C,85.28851449439378,B,A,1
Divorced,US,51-65,D,E,-155.47428899642082,D,B,1
Widowed,India,65+,E,E,23.017600448070247,A,E,1
Married,Germany,65+,E,A,-130.3981324136405,D,D,0
Married,Mexico,51-65,C,E,152.99459084149166,A,D,0
Divorced,Brazil,18-25,E,D,120.06407398451185,D,A,1
Widowed,Germany,51-65,B,A,-49.99994956696332,A,E,1
Single,India,65+,C,C,62.741863782649254,D,B,0
Married,UK,18-25,A,B,17.467482530795042,B,D,0
Widowed,UK,65+,E,A,101.20562752314464,C,A,1
Single,Other,36-50,C,B,-170.08904361850676,A,D,1
Single,UK,51-65,A,D,81.71510859579315,C,E,1
Divorced,UK,36-50,C,D,120.89842037388743,D,B,0
Single,US,65+,C,A,201.93464971179176,B,D,0
Married,Mexico,36-50,D,D,85.70381547680928,E,C,1
Married,Brazil,51-65,E,A,-80.66148659756874,A,B,1
Widowed,UK,18-25,B,C,124.35039355098037,D,D,1
Divorced,Mexico,26-35,E,D,-31.160437638062383,B,A,0
Divorced,Brazil,18-25,E,A,39.999234447725854,D,A,1
Married,Mexico,26-35,D,E,-23.379387186285857,A,E,0
Married,Germany,26-35,B,D,27.0584027614157,D,A,1
Widowed,China,18-25,B,B,100.83916305223981,E,A,1
Widowed,China,26-35,D,B,121.13176468639084,D,A,1
Single,China,26-35,E,D,-83.919615589916,D,C,1
Widowed,Brazil,65+,A,D,-181.03153580559143,D,E,1
Married,China,65+,C,C,-7.549156439482557,E,C,1
Single,US,51-65,B,E,-103.34181104712013,D,B,1
Widowed,Other,18-25,E,D,132.09552870283198,B,B,1
Widowed,Mexico,51-65,A,A,-91.16855623811537,D,E,0
Married,Germany,26-35,E,D,-91.77130588039118,C,B,1
Single,Brazil,65+,A,C,1.1677689000483549,D,D,0
Widowed,China,26-35,D,B,81.26721151429265,C,D,0
Widowed,UK,18-25,E,B,4.900477269282517,B,E,1
Single,US,36-50,C,C,-86.20790561718994,B,B,1
Divorced,Mexico,26-35,A,E,164.75295092928738,E,B,0
Widowed,UK,51-65,C,C,-99.45878421345876,D,A,1
Divorced,US,18-25,C,E,54.721309810391496,B,A,1
Single,Mexico,36-50,A,B,73.70586160481895,D,B,0
Widowed,China,26-35,E,B,80.90769003578686,C,B,0
Widowed,Germany,18-25,D,C,-13.30595808423514,D,C,0
Divorced,Brazil,51-65,A,C,-48.243400771557724,C,B,1
Widowed,Germany,26-35,B,E,-1.1726199980815857,D,A,0
Married,UK,51-65,C,B,-103.94729976672889,A,B,0
Married,China,65+,B,D,46.06990075417962,C,C,1
Widowed,Other,26-35,A,A,-92.06121825693934,D,A,0
Married,India,36-50,A,D,10.613554588974129,B,A,0
Single,Other,36-50,C,D,-49.996742075960945,B,D,1
Widowed,UK,51-65,E,E,84.00321986798598,A,C,1
Married,Germany,18-25,D,B,215.120590174357,A,A,1
Widowed,Brazil,18-25,A,D,-15.979068528404374,D,D,1
Widowed,Mexico,36-50,D,C,-83.75095534909119,C,C,1
Married,Germany,65+,A,D,-91.28285629263017,D,C,0
Divorced,Germany,18-25,D,E,152.17429931472375,A,B,1
Single,Other,26-35,E,B,-157.58943608400838,D,A,1
Divorced,Germany,18-25,E,D,67.16388001534673,B,D,1
Widowed,US,51-65,E,E,-60.780607292215116,D,D,0
Single,India,51-65,D,D,42.89781571675176,C,E,0
Married,Mexico,51-65,C,C,58.2731562895879,A,B,0
Divorced,India,65+,E,E,-67.26825008131809,C,E,0
Widowed,Germany,65+,E,A,42.71704107504251,D,A,1
Married,Brazil,18-25,C,C,13.690345500266668,E,A,0
Married,US,26-35,A,A,196.6647416227899,C,B,1
Divorced,Germany,26-35,B,E,-79.10628092540622,B,C,1
Divorced,Mexico,36-50,B,E,9.581638898499325,E,E,0
Divorced,UK,26-35,E,D,-182.81982628165542,C,A,1
Divorced,US,18-25,E,B,-71.28991378118909,B,D,1
Married,Germany,36-50,B,D,101.29598613813873,A,A,0
Divorced,China,36-50,C,B,141.59848053098136,A,C,0
Divorced,UK,18-25,D,D,-94.8508522063538,C,C,0
Single,China,18-25,B,A,-3.4819172565388397,C,B,1
Widowed,UK,26-35,B,E,2.0293040236434443,C,D,1
Divorced,India,26-35,A,B,-12.392640077988622,E,A,0
Single,US,36-50,A,B,32.47975798829679,E,E,0
Married,China,51-65,C,E,121.537699668609,D,C,1
Single,Brazil,51-65,E,C,-28.253700017738524,B,B,1
Divorced,Brazil,26-35,A,A,-87.25753227044741,C,B,1
Single,Brazil,26-35,C,A,142.34713518613742,B,C,1
Divorced,Germany,18-25,E,C,-0.992276465412221,B,E,1
Single,Germany,65+,E,A,-49.0771308793262,C,C,0
Divorced,China,18-25,C,D,59.00258875803739,B,E,1
Widowed,Brazil,65+,D,A,-222.08503020399428,D,D,0
Widowed,China,51-65,B,A,-16.248746541538804,D,B,1
Single,Other,26-35,D,B,-125.08676181567611,D,C,0
Divorced,Germany,51-65,E,D,-160.02596772095194,D,E,0
Married,Mexico,51-65,C,A,30.984534072995412,A,D,0
Widowed,Mexico,26-35,E,C,-210.04384742450583,E,C,1
Single,UK,26-35,D,A,0.7806752406896791,B,D,1
Widowed,Other,36-50,C,E,80.06976397586473,B,D,0
Married,UK,36-50,E,C,54.03939762740253,D,C,1
Widowed,Brazil,18-25,E,A,-166.68505965661367,E,B,0
Widowed,UK,65+,B,A,-72.51726852381674,A,A,1
Single,Mexico,36-50,B,D,131.31540321643973,C,C,1
Married,Brazil,18-25,C,E,-76.98508110016154,B,C,0
Widowed,US,26-35,B,D,-278.9191472115267,D,C,0
Married,India,18-25,C,D,132.6996742857298,E,A,0
Single,Other,18-25,B,D,111.46909218469266,E,E,1
Married,Germany,51-65,A,A,-25.957573609013075,C,D,0
Divorced,Other,65+,B,D,141.95008669879763,D,D,0
Married,Other,18-25,D,E,14.052546036038818,D,C,0
Widowed,UK,36-50,E,C,1.3074695054451841,B,B,1
Married,Mexico,65+,A,D,220.50640028735754,C,E,1
Single,China,26-35,E,E,-54.06811283556412,B,D,0
Widowed,UK,51-65,A,B,96.5701084816643,D,B,0
Married,US,65+,B,B,-59.95915421473859,A,A,0
Married,China,18-25,D,D,163.5524489184943,D,E,1
Single,Mexico,18-25,B,B,230.1327316459671,A,D,1
Divorced,China,18-25,C,E,16.21911725795011,C,E,0
Widowed,Germany,36-50,D,D,-55.20672081680159,E,A,0
Divorced,Germany,26-35,E,B,-96.44800141082361,C,E,0
Married,US,51-65,D,C,-74.37102014784315,B,B,1
Single,India,18-25,A,A,97.2624339225048,B,D,0
Widowed,Mexico,65+,C,C,121.98318043431856,C,B,0
Widowed,Germany,36-50,B,D,95.45246286671316,B,E,1
Divorced,Brazil,36-50,E,E,-198.5551709479686,C,C,1
Single,Germany,26-35,B,B,70.5888942261767,D,B,1
Single,Other,65+,E,C,20.698786866944612,E,C,0
Married,China,36-50,E,A,14.544735644924934,D,D,0
Divorced,US,18-25,C,A,36.00010722002301,C,C,1
Married,India,65+,A,E,-91.61295877060353,C,A,1
Single,US,36-50,D,E,-67.10457217166731,C,A,0
Widowed,UK,51-65,B,A,-187.55469348549084,B,E,1
Single,Germany,36-50,B,D,-18.83983771945387,A,E,0
Divorced,China,36-50,D,C,-140.57954860245675,A,B,0
Married,Other,51-65,B,B,-36.9330809789962,D,D,0
Married,Other,36-50,C,E,145.99671738181286,A,C,0
Married,China,26-35,C,C,170.33326002108737,C,D,1
Single,Germany,51-65,D,B,-95.554291353589,A,E,0
Married,US,26-35,B,A,206.64340268356844,B,A,0
Widowed,China,26-35,A,A,-4.06010508580864,A,C,0
Widowed,Brazil,51-65,D,D,-40.25109734559207,D,B,1
Widowed,Mexico,36-50,A,E,-25.01197959994511,A,D,0
Divorced,India,18-25,B,A,52.05160752559617,A,D,1
Divorced,UK,18-25,D,B,-26.942312782354865,C,A,0
Married,UK,65+,D,E,-1.3900448147062283,E,D,0
Divorced,Brazil,36-50,C,D,61.50453533728077,C,B,1
Single,UK,26-35,B,C,83.93130064046709,E,D,0
Single,India,65+,E,C,202.35859099255276,C,A,1
Married,China,26-35,C,A,-120.96839307099805,B,D,0
Widowed,UK,65+,B,A,-40.943561689131016,E,E,0
Single,UK,26-35,D,A,-66.49556537559508,D,A,1
Married,UK,36-50,C,C,-43.064355931909155,B,D,1
Married,Brazil,36-50,A,A,-122.0675002351183,A,C,0
Married,Brazil,18-25,D,D,32.13276470017169,D,B,1
Single,UK,36-50,B,D,58.86032868323057,E,B,0
Single,India,26-35,B,B,-41.53358329719962,C,C,0
Single,China,26-35,A,D,-158.63866053868313,D,E,1
Divorced,Germany,18-25,D,D,-93.55344618672977,B,C,1
Widowed,Brazil,65+,A,D,24.93959073140868,A,A,0
Divorced,Other,18-25,C,E,147.03963832104412,C,C,0
Married,Mexico,51-65,E,E,-103.64245202143121,E,C,0
Single,UK,18-25,A,B,-102.89797883118446,A,C,0
Married,Mexico,51-65,E,E,-50.69882792018432,D,D,1
Single,China,26-35,B,E,-192.73160602979178,C,D,0
Divorced,UK,51-65,B,E,131.71314835413511,E,D,1
Single,UK,36-50,A,D,-107.25451495023708,E,E,1
Divorced,India,36-50,C,A,-13.582782889898512,A,B,0
Single,China,51-65,C,B,-48.90568573416085,D,A,0
Widowed,Brazil,18-25,C,A,119.25860930325152,E,B,0
Divorced,UK,36-50,C,E,82.61095670103334,C,C,1
Divorced,India,51-65,D,B,56.47079987533101,D,B,0
Single,Mexico,65+,E,D,-78.66080060014583,D,D,1
Divorced,US,51-65,E,C,32.85599214186909,C,B,0
Widowed,UK,65+,B,D,138.7964169209372,B,D,0
Divorced,China,65+,A,D,4.660386599136919,B,B,1
Divorced,UK,65+,D,E,128.92777752486242,B,D,1
Single,China,18-25,D,B,-80.24088556776692,E,C,1
Single,Germany,65+,A,B,12.641923993269069,D,E,1
Single,Germany,18-25,A,A,72.81767192596627,A,E,1
Widowed,US,36-50,D,E,111.41247136653918,C,C,1
Widowed,Other,65+,A,D,39.20407789532207,A,C,0
Single,China,65+,C,A,-97.5187294574986,D,A,0
Married,China,36-50,B,D,106.69054679471097,B,B,0
Single,India,65+,E,E,-9.876130817148901,D,E,0
Divorced,US,36-50,D,D,-20.80822773798644,E,B,0
Divorced,Germany,65+,A,E,-30.388798895904017,B,C,0
Widowed,US,65+,C,C,-142.7277503101993,C,E,1
Divorced,Germany,65+,D,D,-91.16868057818945,C,B,0
Widowed,Germany,36-50,D,E,84.00024197366156,A,B,0
Single,Other,18-25,B,B,-71.74380761499742,D,B,0
Single,India,51-65,A,E,126.31567222075881,B,D,0
Married,India,18-25,B,E,-18.129443578623743,C,D,1
Married,China,18-25,C,D,105.40507149878262,D,D,0
Married,Brazil,51-65,A,C,23.485250427635425,A,D,1
Married,US,51-65,E,A,59.65182146014668,C,A,0
Widowed,US,51-65,A,A,81.13631718751915,B,A,0
Widowed,US,51-65,A,D,13.639169352344933,B,D,1
Married,Mexico,65+,C,E,73.648618597361,D,A,0
Divorced,Other,26-35,B,C,195.41842854032933,D,E,1
Widowed,Brazil,18-25,B,B,76.5912704124196,D,C,0
Single,UK,36-50,C,A,45.712164103617056,D,C,1
Married,Brazil,65+,D,C,-132.56214736780296,B,C,0
Single,Brazil,26-35,A,E,-3.2676364926611594,B,B,1
Married,India,18-25,E,E,-182.09411270924664,D,A,1
Married,India,36-50,D,B,21.02599734653056,A,E,0
Married,Germany,65+,C,A,-190.78845112389618,E,B,0
Single,Germany,65+,E,D,47.542022999110436,D,A,0
Married,China,65+,A,C,81.89093793755636,A,B,1
Widowed,Mexico,51-65,A,B,-73.7465660938973,E,A,0
Divorced,China,36-50,B,C,139.25252151428847,D,B,1
Single,US,18-25,C,D,-44.82722153365526,E,B,0
Widowed,UK,26-35,A,A,-110.7810613462,C,A,1
Widowed,India,26-35,E,A,20.436515226655796,B,D,1
Widowed,UK,26-35,B,E,27.020177989906593,C,E,1
Widowed,US,36-50,C,D,-37.299165235000004,D,B,1
Single,India,65+,E,D,-28.74717625261369,B,A,1
Widowed,Germany,51-65,A,B,-51.068083000511386,B,E,1
Divorced,Brazil,18-25,B,E,-220.43152332420465,E,B,1
Divorced,India,26-35,D,B,6.65135382732365,C,C,0
Divorced,Other,18-25,B,E,76.50856995420403,A,D,1
Single,Brazil,36-50,C,D,115.1277982445788,C,B,1
Widowed,Mexico,65+,A,C,-27.25685763444728,B,B,1
Single,Mexico,36-50,E,A,83.0506281832596,D,B,1
