age_range,Nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
65+,UK,C,C,B,E,-33.26676870047149,E,0
18-25,Mexico,D,A,E,E,113.03529930546571,B,1
26-35,Mexico,E,E,C,E,-15.314681592205497,D,1
65+,China,B,D,C,D,-8.36103390810668,C,1
36-50,Brazil,B,E,E,E,-132.81134659555954,B,1
26-35,Brazil,A,E,E,E,136.83656112359134,C,1
26-35,Mexico,E,D,D,D,-6.6765098935624,A,1
26-35,Other,C,D,C,B,-130.75014432324696,E,1
65+,China,D,A,C,A,-132.4857749329733,C,1
65+,Germany,E,C,B,A,-38.53358680629387,D,1
51-65,India,A,E,E,B,144.18547745987388,A,0
65+,Other,E,B,E,B,-69.67084624078555,C,0
18-25,UK,D,B,D,B,-24.27166147068426,C,1
36-50,China,C,A,E,A,-34.91771468070846,B,0
36-50,Brazil,C,B,A,E,32.05590287632758,B,0
65+,Brazil,D,A,C,B,139.05580457374657,A,0
18-25,Brazil,D,E,B,B,-20.58669503131167,B,0
51-65,UK,C,E,B,C,-106.38062646241038,A,1
51-65,Mexico,C,C,A,B,79.50339433106606,C,1
65+,Germany,E,A,D,E,86.4782351610476,E,1
51-65,China,D,B,A,B,-151.9756598593068,B,1
51-65,Brazil,C,B,D,C,-192.66886293316233,C,1
26-35,UK,E,E,E,E,-115.9828944128364,A,0
26-35,India,E,E,A,D,-26.349141409342263,C,1
26-35,India,D,E,D,B,-121.88931328379604,E,1
51-65,Brazil,D,E,A,E,-83.56777918854564,D,1
18-25,US,D,B,A,E,55.90510297970867,E,1
26-35,Other,A,A,E,D,49.422349713805666,B,1
65+,Germany,B,A,C,B,-177.01609560204287,C,1
18-25,Brazil,B,D,A,D,5.195366591908638,C,1
51-65,Other,A,E,D,D,130.36532278372425,A,1
65+,UK,C,A,C,E,68.44859009578056,A,1
26-35,Brazil,C,D,E,E,-99.08892850983403,D,1
18-25,India,E,D,C,B,128.86903594571203,D,1
51-65,US,A,A,C,C,-116.1955176363273,A,1
65+,India,D,A,A,B,5.039731822790118,A,1
26-35,US,A,E,A,E,-34.942019555584274,B,0
18-25,Other,B,A,E,E,40.11160826632469,A,0
51-65,UK,E,C,A,B,-92.57203883720213,A,1
26-35,Other,A,D,B,B,61.45638160460225,D,0
18-25,US,C,B,D,B,59.670712221173105,C,0
65+,Mexico,D,D,E,A,115.44521534228176,D,0
26-35,UK,A,A,B,D,-189.0770619642078,C,1
36-50,Mexico,A,E,B,C,-29.550560750021525,C,1
26-35,US,D,E,C,B,-29.40245586874306,A,1
26-35,Germany,D,B,A,B,129.91956513985377,B,1
36-50,Other,E,B,B,D,-65.54322875033102,C,1
65+,Mexico,A,B,D,D,118.4650802831833,C,1
51-65,India,B,D,C,C,-109.58125784447222,E,1
36-50,Other,C,A,D,A,117.9426667131739,B,1
26-35,Germany,B,A,C,A,-115.40569076642385,B,1
65+,UK,D,A,C,B,-127.5691376053518,C,0
51-65,Germany,A,A,D,B,123.17994500917906,A,0
18-25,UK,B,C,C,E,50.072885989765226,C,1
51-65,Germany,C,A,A,B,-62.976082258167466,D,0
36-50,China,B,E,E,B,157.9760113324151,D,0
18-25,China,C,C,C,C,-99.76677171142326,A,0
18-25,UK,E,C,A,C,-132.3583222212252,D,0
51-65,China,C,D,E,A,-97.13396401667576,C,0
65+,UK,E,B,D,A,166.14810025728525,E,1
36-50,UK,C,C,C,A,-100.34723114502675,D,1
18-25,US,A,B,A,E,65.3921736516165,D,0
26-35,UK,B,E,C,A,-104.62109928356244,C,1
36-50,US,D,D,B,A,-142.74082597724532,E,0
18-25,China,D,E,D,E,9.51266509800922,E,1
65+,US,D,D,D,A,-102.35298349231452,E,0
51-65,China,C,A,C,D,-4.048349385426055,E,0
26-35,US,A,C,E,D,-54.56145510535669,C,1
26-35,China,A,B,E,D,-37.59135976053131,D,0
36-50,US,E,B,E,E,-83.17134200458065,C,1
18-25,Mexico,D,D,D,C,22.044226362185746,A,0
18-25,Other,D,A,E,C,-214.0280725977775,E,0
36-50,Germany,C,A,A,C,-144.60778262257955,A,1
18-25,India,B,E,A,D,97.79168533974801,E,0
26-35,UK,E,E,C,A,-3.6424296281579576,E,0
51-65,Brazil,D,A,B,A,186.44678141173338,C,0
18-25,India,A,C,C,B,27.767500574852445,C,0
36-50,Brazil,B,A,A,D,-150.80527927731063,A,0
51-65,UK,A,E,D,C,62.572998763996445,E,0
26-35,Brazil,A,A,A,A,30.029249112341372,B,1
36-50,Mexico,D,A,C,A,-18.02057072148873,D,1
18-25,India,A,E,A,D,45.39592532080999,D,1
18-25,Other,E,C,A,B,-148.90335442482717,E,1
65+,Mexico,C,B,A,B,117.49079051319808,C,0
65+,US,A,A,B,C,119.30194012639492,A,1
26-35,Brazil,A,D,A,A,-43.80070606344038,D,0
26-35,Brazil,E,A,A,A,-29.29871783223499,B,1
26-35,US,E,C,A,A,-99.8096852391802,D,1
36-50,China,D,A,E,E,37.964136880963586,D,0
26-35,Brazil,E,A,B,D,241.9318100120388,A,1
26-35,Mexico,C,A,D,A,-90.40254403486506,B,1
65+,Other,A,E,E,A,73.61210612572722,C,1
65+,China,C,C,B,A,-23.06086626899584,D,0
65+,Mexico,C,D,B,A,118.25669219910424,D,1
65+,Other,D,B,A,A,-43.09626022317287,B,1
65+,UK,B,A,B,E,-163.97905750030787,E,1
51-65,US,D,A,C,D,-156.4760932262783,C,1
26-35,Brazil,E,D,A,A,-91.00711493995645,D,1
65+,India,A,A,D,A,105.78383343865123,A,1
18-25,India,E,C,B,D,62.052203327227865,A,1
65+,China,D,E,D,C,-25.376332425168535,C,0
18-25,Brazil,D,B,B,D,53.26062751469377,B,0
36-50,China,A,E,C,A,-20.214195239172312,A,1
26-35,Mexico,D,A,D,A,-2.173765079988945,C,0
65+,India,B,A,A,B,-98.78028924431786,D,1
51-65,India,C,A,A,D,86.35810379216984,E,1
18-25,Mexico,C,C,C,A,42.2831472916159,E,0
26-35,US,B,A,E,D,-13.777565858934041,D,1
18-25,Other,C,A,A,D,10.631932414585545,B,1
18-25,Other,A,B,A,C,-86.47195442225578,C,0
18-25,Germany,A,C,B,E,-35.9399176437231,B,1
26-35,Mexico,D,A,B,E,196.83038425775464,C,0
26-35,Brazil,C,C,B,C,-45.31763950602735,E,0
18-25,China,C,D,B,D,-164.45234535016206,B,0
51-65,China,A,C,E,A,-55.77447137247481,C,0
51-65,India,C,E,C,D,59.195590294919995,E,1
26-35,Mexico,A,A,E,E,25.43600767221464,C,0
51-65,India,C,E,B,E,147.03003036681508,B,1
18-25,Other,D,C,A,D,-42.51624115664491,B,0
65+,Other,B,E,B,C,54.59385012961449,B,1
26-35,UK,A,C,A,D,-115.80699276636611,E,0
36-50,Brazil,D,D,A,A,-223.9751465613275,E,0
18-25,UK,C,B,B,A,76.95239554928372,C,1
65+,US,D,D,E,A,-34.13498478565602,E,1
51-65,Other,E,D,E,B,-11.93186884133899,E,1
36-50,US,D,D,C,C,216.1487695498493,B,1
65+,China,A,B,B,A,111.33451280087941,C,0
51-65,Mexico,A,C,A,D,-5.533910416233547,B,1
36-50,Germany,A,A,E,D,-23.7411024885356,E,1
26-35,Germany,B,A,B,C,-158.4323128980293,B,1
65+,China,B,B,E,A,48.64249492453309,C,1
