disability,RACE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Physical,Black,E,D,C,B,55.785843786277255,B,C,C,64.91774894295148,B,-147.38744486679263,-95.96295517448036,-57.12980359916612,C,E,48.13915929434327,-12.001331816889275,A,A,0
None,African American,D,B,E,C,-109.75807791648415,B,C,C,-75.99674867691408,E,106.36733546205342,11.14881751890825,-58.14706147044395,D,A,-4.782738275203641,-100.05300393728463,C,C,0
Mental,Asian,D,E,D,C,168.5686017342087,A,E,B,-129.64551090278817,B,-85.98371057769818,127.2374775796108,179.18370863722225,C,B,-56.75312646811238,-166.45907569889667,E,A,0
Physical,Hispanic,B,E,E,B,-211.89551600349353,A,C,A,90.30032412468523,B,-120.96124338868393,2.9194793386112496,-73.50190516885395,E,D,233.15339476056832,-55.74854307747172,B,E,1
None,Asian,B,D,E,D,-29.2391042274171,B,A,B,49.59586115839954,A,-125.85849541808535,-8.972064037669663,-192.70405923209364,D,B,-131.32063890529437,96.7672839260795,E,A,0
No,White,D,C,D,D,2.0226360736910163,C,D,B,-136.20985277348095,D,90.60354212454249,35.878017964839906,-231.12668034859266,E,C,-48.470442571752535,10.92789871629939,A,A,0
Mental,Hispanic,B,E,D,A,-76.12090990661353,A,E,B,118.8053293374988,A,-122.04892480796643,154.96095765131957,-18.269155314500466,D,C,-49.020497856411936,-13.979429399867962,A,C,1
Physical,Black,C,C,A,B,-16.842647882878765,D,B,B,-92.02927308737198,A,90.80358025953242,90.1736699114887,-56.536756018426225,D,E,-84.93767449095077,-30.33186054384457,D,A,1
Mental,Asian,D,A,A,C,-31.89619453353652,C,A,E,90.18357017404388,E,-100.16135042436278,94.69000368248372,-137.04915505496663,B,A,133.985065895429,146.1997374605919,E,A,0
No,Black,C,E,D,A,169.0999843283141,D,D,D,-51.28878692591289,B,-6.52865766571851,-240.27277662772465,70.70660662548381,C,D,-97.62484065479204,130.54718158103128,C,E,0
Yes,Hispanic,C,E,B,D,-61.2137407731481,A,B,A,-44.93043640706465,E,-123.2904155982,46.95261319351038,63.80597175483265,A,A,114.83524012292807,157.7129484102752,A,B,0
Physical,Other,C,C,A,C,149.2931352930039,B,E,B,141.1491999757455,C,199.20514072770357,102.40884369401924,2.2945055928328317,E,A,-136.22861540103847,-180.01665872963747,C,C,1
None,Black,E,E,A,E,-64.01380841926459,C,C,B,8.075521843910364,E,-37.747539596819855,19.852783836654876,-125.02874254581225,E,D,147.97811639111117,230.83953019857034,C,D,1
No,Asian,E,B,B,A,-22.59513497653479,C,E,E,85.9754646911054,A,73.67614944839164,130.1862394383738,-149.0871540760442,C,D,220.60611616185523,-15.127316866450958,C,C,0
Mental,Black,A,B,E,A,122.31567398548222,A,D,B,87.55267575008973,B,-129.53757902017014,7.182861723670521,4.2528429310012665,B,B,30.866580807990612,-149.70372846213894,E,E,0
None,Other,B,C,D,C,-20.544061239018095,D,C,C,-41.38165411459452,E,17.31079543027709,148.55390573908724,-74.90054289413429,C,C,69.13401210497047,-94.78337332331539,E,D,1
Both,Other,B,A,A,B,47.22901495945054,D,D,E,-50.46105983650766,E,83.57159142881427,85.31710313518943,-60.226046836842926,E,D,117.35397279970512,272.52902762623205,A,C,1
Yes,Asian,C,C,A,E,100.55133735751316,D,B,D,-84.49366629769706,C,-73.81399115393175,-59.81444275310398,132.00788902297484,C,B,-251.43591108638654,-185.07255140559425,E,A,0
Both,Asian,A,D,D,A,-32.53011361884421,B,D,B,172.59336974631756,E,3.9569153310634873,0.39790448386681176,-56.13464806178453,E,E,-58.66517585993716,-68.02255122434384,A,E,0
Mental,Black,E,A,D,C,-100.58718790044104,E,E,A,-93.07504795364375,C,110.85849979085137,-104.47068142827032,-64.25115558790128,A,D,23.637415024933482,-86.57040387429053,B,A,0
Physical,African American,E,D,C,E,-92.79884732056709,E,C,D,-21.858000899174836,E,-76.97354679654097,-43.89826991323024,-19.069798081351916,D,C,-55.0724780188633,185.34601811439256,C,D,1
Both,African American,A,B,C,D,-117.19165085242504,B,C,B,30.887811961815657,C,-46.551965684448724,-49.23942643347988,-5.705189302407491,B,D,32.853634030232385,-123.15434418137292,B,D,1
No,African American,B,A,C,E,-9.578784216013785,E,D,E,-68.80652670711605,B,-110.58410900988262,85.0553538840898,-129.4882411789933,E,D,117.25730734146885,-222.0875269833194,B,A,0
Both,White,A,D,D,E,57.086906153388306,C,B,D,106.05867900206268,A,-40.32252057388361,113.74885547577323,-86.30622090940457,E,B,-32.50689189703958,-152.4051189904713,B,E,1
Yes,Asian,A,C,E,E,68.50756800036405,C,B,C,93.36129019770641,C,91.92873358391388,13.085308392159867,-184.63957661385965,B,D,76.9529805062805,37.901216514964936,B,A,1
Both,Black,B,A,D,D,103.94478271020367,B,A,A,84.45967567045362,E,37.09338830736437,-2.4287394060865295,-15.487555330577344,E,D,-53.29413701442927,45.82662172162713,B,C,1
None,White,B,D,A,D,-48.926685978048134,A,D,A,37.58925171804996,A,-169.7818409358745,-165.71562414810325,74.13422039764286,A,E,219.4739096036613,67.93770445895102,D,D,1
None,Other,A,A,A,B,-45.61685010467919,D,E,B,20.328972971386115,E,-278.96793673753643,-178.35506475067373,-104.78482004355516,D,E,-140.8380247967787,-126.53337198521201,A,E,1
Yes,White,D,B,E,E,4.747294720663715,C,A,C,11.645488343611742,C,22.899220978358535,136.9763300679224,-298.0543884298531,C,B,97.10489550694645,100.40000610463568,A,D,0
No,Hispanic,A,A,D,B,-41.24949155690912,C,B,A,49.32365967719959,D,52.45992180274111,-20.000838394260885,46.34113298376973,E,C,47.758507333296144,201.68739258367953,C,E,0
Mental,White,E,B,C,E,218.09320443731258,C,C,B,-99.56285959984773,A,327.79084949549565,-8.326827614114654,-35.142503819898884,C,C,-59.433679482883996,-51.891362256896656,C,C,0
No,Hispanic,E,C,D,E,102.81237524967734,E,A,D,81.36083520819157,C,-167.84811745332547,-8.220357633287687,123.49222241721203,C,D,-70.6743685773216,-70.26601706055132,A,E,1
Yes,African American,B,A,E,D,-6.715415736174064,B,E,C,-107.96912090498284,E,-153.5177679198025,-116.28150611776454,-205.1605294502662,A,A,-163.21262912832702,-15.933320674086632,E,D,1
Mental,Hispanic,A,D,D,D,24.7257826898776,B,E,E,-5.597638497088455,C,122.53880546881797,147.28549965370544,26.61563938606035,E,E,211.4015186657806,-260.5875409077395,B,A,1
Both,Asian,D,C,D,D,-69.04456944056957,B,E,E,-67.12213156259143,A,-47.447556196049504,-33.15815839511777,37.154904010561616,C,E,-115.90639637176623,-56.20857226905082,C,D,1
None,Hispanic,D,C,C,C,-173.33669558071918,A,C,C,-179.72784546538358,A,-47.52029128937561,-65.25949488480863,-11.187307546306341,E,B,27.043727336422098,73.66545368161184,B,C,0
Yes,White,A,A,A,B,25.82713803009845,D,D,D,116.85501191341451,B,-171.09232632083433,-80.3202673592389,83.74962017309358,C,E,209.47965611936544,-168.55822583180648,E,A,0
Yes,Asian,C,A,A,C,-195.918856825534,D,D,E,-133.4651930827788,C,-38.41704463031134,22.288170321757033,72.76083643530181,B,E,-62.56386258370165,-57.476990516310956,A,E,1
Mental,Asian,A,D,C,D,-38.50726266471196,C,A,C,42.94038445734626,A,-31.882970169653213,113.8645083282665,-69.82171203135144,A,B,-84.77044508998458,-103.87644082943481,A,B,1
Physical,Asian,D,C,C,E,-52.290155470355224,D,E,E,32.795232038016266,E,17.73860193020973,35.820384344829286,229.95585906148418,B,B,-21.427417081676914,64.89991145797322,B,E,1
No,African American,B,D,D,B,80.46131187962331,A,A,B,36.736984237473976,A,2.9978775635533985,-65.85753288661724,-191.3477693493164,C,D,-140.07845347628657,204.53579487734723,C,C,1
Physical,White,B,E,B,E,-54.60279217445998,B,D,C,-184.68348379354157,D,-1.0157983490066513,-128.61574397975576,48.52326355272446,E,E,85.11029216691387,19.2268702234291,C,A,1
Both,Hispanic,E,D,D,C,-130.68979850230212,C,B,B,75.06359794147507,E,-33.727663340456374,-114.1148825269585,-162.15890437994636,B,E,35.7053782432691,-53.86700192324226,B,E,0
Mental,Asian,D,E,D,E,98.91647124560993,C,D,A,-148.24859786385568,C,103.2846227268227,-111.88437832744313,-174.90018179673928,A,C,-30.869084731091114,-141.8614474829478,D,A,0
No,African American,E,E,C,A,77.82981371406656,A,A,B,18.88736172210643,D,-239.16438955651168,84.91445584517135,124.74498310199742,A,B,134.58082271567858,176.60425327295195,B,E,1
Mental,African American,B,B,A,C,171.32713438250755,B,B,D,39.76084297112861,D,52.410608300511065,-104.27241693100835,82.59492000548744,E,B,-22.16429844856969,-2.513204176934868,B,E,1
No,White,B,B,D,A,79.59445138890578,A,D,D,41.14422063841779,D,114.96680029806694,-235.1016431469812,182.43052362555855,D,A,-57.58142461284164,-23.208497368904702,E,C,0
Both,Hispanic,A,A,B,A,-13.139876014985225,C,C,E,206.2427878213406,A,-148.3272273609236,85.16247719406618,1.735559166318762,E,B,-121.02132201850371,-67.54271818158132,D,D,1
Both,Hispanic,C,A,A,A,-17.267185079533338,D,B,D,55.91893608358923,C,85.93448458906875,-216.96585748704464,44.56673208295137,B,D,27.43260615405688,-47.850123790882755,B,A,1
None,African American,E,D,D,A,-47.534977154650235,B,C,D,-82.4214781700033,B,-69.65260832549454,42.37377717499448,45.14156433437183,D,E,-51.23909845815472,166.39357029598926,D,D,0
Both,Asian,B,B,C,E,85.38053705592846,B,E,E,-127.44587403729022,D,-313.1729361106424,3.055302937903484,54.60738936666715,E,E,81.30589999834379,-24.1153299575174,C,D,0
Physical,Black,C,E,E,B,23.028585998317006,C,B,B,-49.05030211753497,C,-139.32640210154085,12.331809055578825,14.966112370557349,C,D,-10.779220288392876,133.03555620148117,E,C,1
Yes,African American,B,B,D,A,45.93054169876827,C,A,B,16.0065808929069,D,58.804896107521884,85.2875305823011,54.910806155448185,C,C,104.31978553248224,-89.7292609643454,E,A,1
Both,Hispanic,A,C,D,E,71.72468312750874,D,E,B,-49.5695507967954,E,60.67051142919833,186.71873274201252,156.9458375651856,C,E,7.039164158667817,28.927993453110957,C,D,1
None,Other,D,E,E,B,-32.21379856677301,B,C,A,-102.9378962550064,C,-145.8501898219739,26.920751058022258,-37.771254031975424,C,B,100.46539361024006,56.664548145515866,D,E,0
Physical,Hispanic,A,B,B,E,-24.90551094274575,A,C,D,69.69894214704341,B,76.37846409811273,57.22522340001232,-69.7012959057306,E,A,44.27237096238478,116.1686019176156,A,C,1
Both,Hispanic,C,A,C,D,66.41356061349742,E,C,A,-28.21181238010106,C,223.33394993543848,47.19888755023566,-23.612796304776083,D,A,-105.97594435852666,-48.54527406422379,C,D,1
No,White,E,C,B,B,-88.83766872193344,E,A,C,-79.67699865077437,A,-96.68461694345486,30.093199318406633,53.05122270388944,C,B,11.366211404655157,-37.8225604141833,B,D,1
Yes,White,C,B,B,D,106.00173053482126,B,D,E,92.86596676849132,E,12.549327017446288,69.52298253084278,-139.22141867932507,C,D,43.42019787722042,32.54610517522648,D,D,0
No,Other,E,D,D,A,-44.46014825922303,E,C,A,9.96804458462385,E,247.20749974249313,35.774884479515535,30.018000005293487,E,C,-27.74844788598151,-70.63098250388698,D,B,0
Yes,Other,E,B,E,B,-15.97137901609872,B,A,A,11.239639328271473,D,81.94191211798754,-84.46728771160574,-188.58018726573837,A,A,32.44894700050029,-100.18748599230524,E,A,0
None,Other,A,C,A,C,118.88740799554702,B,E,A,-140.36034566077035,C,165.66927103252394,62.94278538796759,73.90715346595127,A,D,189.88659757975904,25.86600083645692,A,E,1
Yes,Other,E,B,D,A,99.19397522375183,D,C,A,-0.884719891667138,D,-89.86242222688729,-12.578513717308434,-20.214096138509376,B,C,147.8491968035977,-74.1168819989896,E,D,1
Both,Other,D,D,A,E,26.23657833674041,A,C,B,79.76518781361754,D,58.11791009594628,39.9695907359171,148.89508075402878,A,C,-29.32094578105049,127.67537353541285,A,B,1
Physical,White,C,C,E,A,-126.12189372576388,D,D,D,292.5566713115868,D,-26.262987665896283,51.991918660614225,-20.11513569853208,B,C,139.4804279539173,84.4888143533906,A,A,0
Mental,Hispanic,C,B,C,C,5.374416807591093,D,C,C,-150.57954449953104,A,118.82185046831775,-168.15476797297976,-124.12636035028322,B,C,-95.60297045676546,142.55002057283107,C,A,1
Both,Other,B,E,C,B,-125.9672935739387,E,C,D,107.66064555038615,B,-139.6301779484427,-120.81466916724644,262.7170124618506,C,D,69.54442481147886,-82.37669572460166,A,A,0
Mental,Asian,E,B,D,C,-57.754157894943404,D,D,E,-58.0850244643476,A,-60.12991828200243,-17.232127132722322,137.96424892796654,D,D,-111.63441478427907,-97.66591012053021,E,D,1
Physical,African American,A,C,D,E,15.244484658841174,B,C,D,177.82554367768012,E,36.60464525660802,-72.02768950823355,221.25419918941088,D,C,-101.86722949049471,223.09974282490774,E,E,0
No,White,E,E,A,B,-150.44472810392725,E,C,D,4.431502100425474,A,-77.7351142043455,-41.268268365902905,-34.51466918714846,B,A,142.0653164633133,5.194833047758791,B,E,0
No,African American,D,E,D,D,124.54201663865535,C,D,C,-133.66593558766823,B,-24.46081605132964,-97.84276681526177,-206.16420611138665,E,C,27.63637836680467,44.765280014291676,C,D,0
No,Hispanic,A,D,D,E,-93.32399563916067,B,B,B,-193.52586977317353,B,119.77173998886772,-95.82292485720495,-14.508970177296913,B,E,231.66987502160094,-128.91430688263927,B,A,0
None,Black,C,B,A,E,-29.296926487869545,C,B,A,-117.9602077193767,D,159.0325428310043,79.16253330802687,69.80929440989078,A,D,124.45192140696027,30.235373780930114,E,B,0
Both,Other,D,B,A,B,-22.356602000158254,A,D,A,-118.44956005225005,D,-42.42818086228194,113.62077813875729,-28.944588048390134,C,B,-162.1977655187196,-104.37212845669302,E,C,1
None,Asian,E,A,D,B,-153.31960630193572,E,A,D,54.71308311796055,E,153.53374180267656,-193.51991305485842,82.71527275227844,D,B,37.844175990780066,-89.2418729747369,D,D,1
Both,Hispanic,A,D,D,C,-11.122472405880403,C,C,A,-10.399750807475778,B,210.2591451031476,-143.66985077907526,7.377171486312176,D,B,-20.65845240540701,82.14929778589737,D,A,1
Mental,Asian,E,E,A,C,-8.158968231673263,C,B,B,130.62606420264768,C,95.93884575524518,16.440440916750905,31.3331978213644,B,B,99.8894078102689,51.74277349716655,E,A,0
Physical,Hispanic,D,A,D,E,-3.199538362176927,D,A,C,-22.246010388371253,B,-3.382547431159217,-22.556384723293974,-24.209666414948426,C,D,139.8662425257115,-95.23586612487922,C,B,1
Yes,Hispanic,B,C,A,E,-9.849606897864899,A,D,E,235.23393193019677,A,-11.439148342203104,-57.3474857463367,19.588382914653682,D,E,67.97418060405528,99.52276425185816,D,C,1
None,Black,E,B,E,B,29.594391876825345,C,B,D,24.73879562384333,B,-109.56456133597723,-130.90278219933828,-148.56747848742995,B,A,33.9115697980494,20.744572519349415,E,A,0
Yes,Black,D,E,C,D,-36.82679772509832,A,E,A,-159.99316640456976,A,126.18840089199779,114.56815375779317,-30.76289617181417,D,E,67.92539726438648,70.00163445674856,C,A,0
Yes,Other,D,C,B,A,9.152718638474497,B,D,D,78.44939898885272,E,15.642715226223835,-160.68829248321774,45.135307477244986,D,A,213.1018868745295,-49.092143191238144,E,E,0
None,Other,E,A,C,C,-4.05688047024335,C,E,B,89.79101182458189,D,-155.08290198589108,153.6250200032108,41.40511795204504,B,E,-50.79723308982965,-35.00400665248397,B,B,1
None,Asian,C,C,E,C,168.3391707067784,A,E,C,114.14918459053834,B,1.3276216849188573,198.62592332273178,-235.42054527106183,C,B,141.46925940960443,-118.29325677214393,D,D,0
Mental,Black,E,A,C,C,85.74270044413569,E,A,B,-57.55479584063624,E,-92.22843091417457,69.27016486468769,18.60855184801122,D,A,127.8628439553079,-200.47641555912173,E,C,1
No,Other,A,D,A,E,-53.07556186054422,C,D,E,221.30094969314374,D,-68.71524830180375,-68.33267000785635,-109.69598600059831,B,B,-60.24450640442566,-97.878409813669,A,D,0
Physical,Asian,C,A,A,D,-59.47729793667701,A,D,B,-132.67795644278345,E,-84.99151946145929,75.5666918110428,32.39359725262268,C,C,-64.16536641173325,37.33377220699479,D,B,0
Both,White,D,D,E,E,143.82341996522845,B,C,C,-44.410886416683475,B,43.682433297424566,85.4775280918866,-21.228865139837563,D,D,6.1841686897638475,-73.49718129518506,E,B,0
Physical,Black,C,A,A,D,128.54941740474584,D,E,D,-42.48975464249715,E,77.40545755646218,153.735637804085,43.599861207864066,C,C,-67.14806994776217,45.881671616327054,A,C,0
Physical,Hispanic,B,C,A,B,-16.5945732669891,C,E,D,67.38168772860207,D,-48.12499105451844,69.22655822913406,18.025409849469366,B,D,-100.74008312314771,46.67159027663216,C,C,1
Mental,Black,B,B,E,B,104.5191463061096,B,B,C,-14.31396389362386,D,-95.76719026554511,6.2072144244107115,-136.15843332885242,B,E,-66.46652401411532,15.48652954997372,D,D,1
Mental,Other,D,A,B,C,15.351403740606614,E,B,B,-15.576405606417461,D,-58.102758267574785,-104.501865648767,-141.04073925546595,A,C,79.7397297293198,-94.47975106713038,B,A,1
None,Hispanic,E,D,C,E,-130.6439597569638,B,C,A,173.5471346477467,A,-19.706212744081604,-91.59266179263889,46.05547549980219,A,D,-50.65428483228832,64.13112122597691,E,D,1
Mental,Asian,B,A,A,C,59.084629377833686,A,C,E,-6.763180628468375,D,161.62919404743266,-53.546430245649944,-17.882992494692818,B,C,-9.242510629019705,120.09524943358747,C,D,0
No,White,D,D,B,A,-77.77761988385062,E,A,E,29.73991987249817,A,-140.53348300233748,117.99408139968301,-152.1724890781111,B,E,-32.06323736253032,95.86511257936475,D,B,0
Both,Other,D,E,D,A,-44.44632281980106,C,C,C,98.69592798157119,B,-198.0385478009564,16.18341702993873,111.48671247479487,D,E,17.759211856720853,-13.795902552354288,E,B,0
Yes,Hispanic,C,E,D,D,-67.48941404108996,B,D,A,-10.763937230081684,C,-52.32230919543177,183.08185548297317,58.88379165968421,B,D,-44.17524289307806,-43.85821447762098,B,C,1
Both,Black,E,A,B,A,-146.2338753497922,C,C,D,51.90137195657978,E,-84.978224301413,-85.62692000438274,-8.526619902928937,B,B,-133.95024486156396,-34.12798899001306,D,E,1
Both,Black,D,E,C,B,-103.62539778655506,C,A,A,11.096121007957375,D,-102.34596241548584,-101.52747199374848,-96.61845424858268,C,E,80.5560632225852,119.11465464994613,A,C,1
Mental,African American,C,E,C,A,70.85004917884707,E,D,D,23.448237675676683,B,-171.11551049542354,46.0801361163583,39.417977925539475,C,B,162.58104392254282,-45.62658198422055,A,C,1
Mental,Asian,D,C,D,B,34.350657717524896,E,A,E,128.54106216408206,D,-143.59307635443975,117.45993016998932,96.31401675105514,E,E,156.0833573328668,53.959458546333835,E,A,1
Yes,Asian,E,D,D,C,13.852902354892905,A,B,A,-64.44766629748538,D,88.87078619357777,129.29905940998353,-57.18610624231807,D,A,140.91030734784655,-19.363992173058005,B,C,1
None,Asian,B,A,B,B,222.57589485541462,E,D,A,-27.971663926127622,A,-48.0848298848414,16.515860587369474,-53.77862605920074,B,A,-45.230852762001284,110.89396065067065,B,D,0
Physical,White,E,A,A,E,-55.06548803605882,B,D,B,-123.35454313520013,C,-18.910220130658473,97.03267656516394,76.96085427941361,E,B,-73.47511432465798,162.93350762677852,E,B,1
No,White,A,D,C,E,61.28347630511244,D,E,C,93.3253123363707,E,104.54050423354427,42.95407679757759,263.99842594483266,C,B,-103.35429434186511,44.59511228649426,B,D,1
No,Black,B,D,C,B,1.7806841535098688,A,C,E,85.51635215165219,C,-103.48048207047025,-39.15207668238113,-9.101034981052194,B,B,131.40769571302766,-72.23370017120405,B,B,1
Physical,Black,B,B,B,C,-11.68825120302229,D,C,A,65.9611488361015,C,-109.52544613220125,136.8359617279578,71.66186197434298,A,E,47.74787054305343,-141.89106310142984,C,C,1
Mental,Asian,B,A,D,B,161.31213666645814,A,B,C,-52.39003323337991,E,-91.65021030021803,-202.80841482849075,63.25827828347105,C,D,20.314193869814375,157.79559490508822,C,B,1
Mental,Other,C,C,C,E,-7.23938896983395,E,C,E,-89.00871394234458,A,98.24506430911613,-167.2764804215766,-62.21546367594204,A,D,105.68842155772857,-118.24304033041506,A,D,0
No,Hispanic,A,E,D,E,-87.0897442559264,A,C,C,-120.84238378654139,A,-19.372187892707572,-20.393788986245877,-107.97035108439543,A,D,46.0457718720821,12.207493591948722,A,D,0
Mental,White,D,C,A,D,-35.7476356662305,A,A,D,7.53659926147543,C,-136.59221278227238,-104.56996979106161,-47.288127814377326,E,B,-310.8722838078574,-19.558054176974668,C,E,1
Mental,African American,A,E,A,C,65.32035002390568,A,A,E,68.2935215012392,E,-14.20388903538949,17.736942431752404,16.28414862372889,C,B,143.77270320364067,-24.017601776798205,E,E,0
None,Asian,B,C,C,E,33.25381520623488,A,B,B,67.90668499187332,E,-7.769567161534336,65.19989842833654,30.120061729597445,C,D,59.51905920150223,62.09851118149322,E,E,0
No,Hispanic,B,B,A,D,50.53423202012506,B,A,D,86.72554664376685,D,5.936018858438363,-126.9783142344866,97.32120036019384,B,C,-41.5669168039265,56.81247626566774,D,A,0
Yes,African American,C,A,C,E,29.894943084073777,E,B,D,13.888153576208639,D,14.267487733306488,8.802659598413616,-0.22529368995021842,E,E,128.20451006571855,55.2599445393532,B,B,1
Physical,African American,E,B,D,E,28.919700599032993,E,D,E,2.8581389490583162,B,-97.3768105892155,13.204669295456469,-208.93596445198745,B,D,-161.9610434519411,36.49562434743553,C,B,0
None,Asian,D,D,D,C,-123.0810664231501,E,C,C,-64.37144605317859,D,-46.72104763657014,-5.984460420127047,-131.3006516287147,B,E,-115.66177061750781,62.27764958669114,B,E,0
Physical,Black,D,D,A,A,20.105434583920648,E,C,C,35.97762425930576,B,-0.6895430781303734,-33.91040711800616,161.9445754606995,C,B,-26.84316883155087,100.80028322222807,A,B,0
Yes,Hispanic,B,C,E,B,22.42124870413502,B,B,B,-52.087757208158806,B,-24.90670921953988,-34.8615711723689,-163.4424298357557,B,E,0.25290659845211444,-69.66881363993124,E,B,0
Yes,Black,E,B,B,A,113.51596432460069,A,D,B,147.73214307436385,B,-83.32491876641551,-7.181471011705195,69.3389266425797,A,A,15.634914839284653,-6.756859321431802,D,D,0
Mental,Asian,C,D,C,B,-199.21897951193674,D,B,D,24.948951956580505,E,13.719795542458424,69.18414368307133,-158.31065816496027,C,C,34.49914074558127,86.88981165300574,E,B,0
None,Other,B,B,E,B,-30.251370890789836,D,B,E,4.184061465989532,B,-54.70191479413421,101.49966967143705,-87.64655444584741,D,B,-255.07397634414093,129.12358992060842,C,A,0
Yes,Black,A,A,C,B,61.01922516052317,B,B,A,-67.34890447340254,D,25.100603323305325,-67.12679270194033,32.48647794384421,C,B,42.21555744855415,-55.09677653093955,A,E,0
None,Other,D,C,C,E,104.24100294388963,A,D,A,93.49322870204513,A,-27.660043627833236,202.59735559367047,-153.8804734214028,B,C,-188.22253064478375,-197.6100099023956,B,B,0
Both,Asian,B,B,D,A,26.45806993511049,A,E,C,90.65263585796926,D,-111.79258567648232,-76.75418203561097,222.48405347825852,B,B,-97.69070795980545,56.46779349522948,A,C,1
No,White,D,E,B,E,-46.93604718304471,E,D,C,-58.10543479322179,C,134.49377269070297,-10.38354679584073,-244.62192664302296,A,C,-23.543736910876582,58.10438770251189,C,B,1
Both,Other,C,C,D,E,99.9854895033601,E,D,D,110.286427101401,A,113.35438745432289,-85.65798867955743,22.481870998366087,D,C,-42.990414714297515,-129.18817279141018,C,C,1
Both,Hispanic,A,E,A,A,63.68515659533004,A,B,E,52.37657894871373,C,224.98955428252233,-90.37269011030442,36.47402141201515,C,B,-157.99434400200147,-209.8440636716235,E,D,1
Yes,Hispanic,A,A,B,A,54.80543148879138,E,D,B,229.80351592521973,C,-21.851242749345616,-23.10405128398903,-103.69833906114154,C,C,99.76992580497283,-46.025410134504796,C,D,1
Mental,Hispanic,D,D,B,A,-82.70897193130568,A,D,E,26.57598704147911,B,5.43553034697564,139.5020103099517,-26.294487590362547,A,D,79.09619282722278,77.0005827363372,A,A,0
Physical,Hispanic,E,A,D,B,-18.916646080832365,B,A,D,23.832482365791975,E,184.40559419107473,-209.2303488608157,-118.25263883539053,C,A,-35.88245394943568,-4.725897535620325,B,A,1
Yes,Black,C,D,E,D,16.825923771735273,B,B,B,114.06463608410043,E,76.28306640330523,-11.406091929619253,140.72179854137778,C,E,67.91985789354621,-43.53926710284056,E,E,0
No,African American,B,A,A,D,-4.205310420622029,B,C,B,58.844382662397635,E,-22.696487621885463,0.6582302518300429,10.26059599379122,C,D,-150.79309252816938,-64.05712988476098,C,C,0
Mental,Hispanic,E,D,A,E,143.98399480529525,C,D,C,258.6511232099405,A,-95.16498375172213,-35.537292176815136,-29.791883349971393,D,A,-38.32368367742031,156.8994306204812,D,D,0
Mental,Hispanic,D,D,B,D,-34.47509858713851,E,B,A,-204.70266653630742,C,-29.260227670204497,14.74765865998304,-7.529683683281024,C,D,-156.38526703861388,-9.927073776453176,E,E,0
Mental,Hispanic,E,C,C,D,21.409152112168062,A,E,E,179.88812821329145,B,-22.153891991367736,42.15847034846748,-158.28040474781815,D,A,-54.2459984803482,-147.6668104393116,E,A,1
No,Other,C,B,E,A,57.51743479873287,A,C,A,34.39083812708098,B,11.996096539498117,-52.619487642556216,9.95712755074693,C,B,-263.1423707608338,18.418973636017718,A,D,1
Physical,Other,B,E,D,E,-41.278622021281386,B,D,C,9.293026921999203,E,10.422207032312562,45.27066103594907,-82.2205042837364,B,D,15.266502012853714,216.87014789308455,D,D,1
Yes,White,B,D,D,B,-84.00537894984275,B,A,B,-95.762958674651,E,106.35140509926175,101.80322186550421,12.989984031800539,C,E,-20.833822751434187,-152.48068169557334,C,C,1
Mental,Hispanic,D,D,A,C,-46.03892465037136,C,C,C,-6.726347781641338,E,74.61092889513607,-154.13490961839176,41.508048305122855,B,A,31.315896886931167,24.305657325543027,E,A,1
Both,Other,C,B,B,B,107.37932896451106,D,C,C,242.20232673081736,D,-60.015663308980734,109.41690338488681,44.317013449630885,E,B,0.7242385057591371,-121.47396145582591,B,E,0
Both,African American,E,A,B,B,101.30582304005512,D,D,B,-50.85043399886372,A,-134.7603546336749,118.42399941692325,-6.726471670629381,E,E,-128.19902709740967,-47.21072927826618,A,A,1
Both,Black,E,D,C,C,-44.64621979023447,C,A,E,-213.74824769822771,E,193.7594517231826,-94.38580841391531,-51.95248408452908,E,A,15.869146981683313,29.547062953522897,E,C,0
No,Hispanic,C,C,E,E,-105.74238387347046,A,C,E,-130.6290479545473,B,126.10589634184028,28.191494335551244,141.84343479466,A,A,105.17532341627881,52.249877905334955,D,D,1
None,Asian,E,B,D,E,131.19901379552624,D,B,D,-159.03290189445914,E,22.21292192818236,164.88911829069355,11.116658266272166,B,C,19.70781943617898,22.337297493137285,C,C,1
Both,Other,C,C,B,D,-19.636280571224543,D,C,C,87.32828515751888,D,-39.96741234699573,-61.04964306232779,-207.58792030369383,C,D,-1.7653694172388688,11.639849414598944,D,D,0
Mental,Black,C,A,E,D,17.18132248932797,A,E,E,113.84467023859841,D,48.0309206864845,-142.68693590731203,55.95202605427111,E,A,-33.17362422272494,104.18610582959576,A,A,1
Mental,Black,C,D,C,D,-203.45388162837446,E,E,E,-32.362711248444334,B,-4.874837838155174,-1.0949296834815212,32.62858782302155,E,C,-33.659698355264325,231.93050849662833,C,B,0
Physical,Black,B,E,A,B,78.48525449877269,B,A,A,85.16748718615013,C,-139.55769774070285,-88.80355010187395,-7.574606875888157,D,C,-95.41342388261234,27.458736016590045,A,D,0
Mental,African American,B,B,B,B,-75.54152544222222,E,B,E,-32.608361952008146,A,-25.06493491813927,-157.40332402916962,124.17192694478068,E,E,-28.596275323817622,18.90505749389535,E,B,1
