military,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
No,D,15.974413827291514,A,E,-6.102304377010326,A,-26.575231450779658,B,B,B,128.2711640446236,123.45583528759406,E,86.3577258716976,-50.27394376511768,0
Veteran,D,-38.917609284067254,E,C,145.2787098103966,C,-52.05091646787638,D,C,D,121.79496028724247,7.113708418546589,A,34.58295606782266,-61.276296722580504,1
No,D,-48.97800848404913,D,C,-260.39982622888635,C,60.67104000686862,E,A,D,-195.28196220461,-206.44986068679933,A,90.85355138361042,37.02371568324195,0
Yes,C,-122.5763771702792,B,E,-134.2378542255265,E,2.555928579776756,C,C,C,-87.74236060298833,73.89591838915109,B,-11.433981234251592,29.834517749740137,0
No,B,117.89706848497745,B,A,41.21705080441788,D,-50.70831198646063,C,A,D,-76.17210384405644,138.55208164958114,E,107.61629674326991,50.21460636085882,0
Veteran,C,132.80509683224133,D,D,235.71003157532354,B,-0.2956227522329946,A,E,B,86.88947417991564,-148.76452042929282,E,0.6651094779000335,-68.27869455567836,1
No,C,135.1412010645994,D,D,84.44019079115948,C,124.69042647813826,D,A,B,13.558051295689491,-34.797343526222704,A,-47.70185670789242,35.954947308438165,0
Veteran,B,52.20742626345024,A,C,-40.25279570149767,D,124.52240414777786,C,E,D,111.83435700600992,160.90516178832138,A,-99.34183958022183,128.2866827582495,1
Yes,C,153.32147442347468,D,A,-74.84452435433136,A,32.50815789900259,C,D,D,50.19215152281329,76.18959943765931,C,-192.3512732047951,-116.73183187814809,1
Veteran,D,191.11188149540436,E,C,-169.1774871343091,D,84.46149816956175,C,C,D,-164.7031803671247,182.680928668699,D,-125.81999716539765,125.04082879312244,0
Yes,D,87.02632551195967,D,C,-47.78192488740036,D,33.0718927400699,A,B,E,-201.1173769869588,61.60377358455873,A,43.90783784557725,-32.09388657956243,1
Veteran,C,-106.88927633243739,A,B,9.46527940037912,E,-9.16484885902517,C,E,B,-103.20960597437958,-20.1308099649748,B,135.1705875252057,64.52067576976071,0
Veteran,C,-101.80689949197588,B,C,38.14097074695157,A,67.0231850417575,B,D,A,72.51892559755001,156.06940314096047,C,93.0884032626004,-7.135398592061786,1
No,D,-118.09444280079985,B,E,-226.64608572909142,C,62.70485321356152,C,E,A,-112.77843766278126,-76.16487715199555,A,-37.03182656435014,91.52906326978945,1
Non-Veteran,E,164.42330699880412,E,D,115.96588676893624,B,50.86068935723933,C,C,A,-150.94590149698493,111.89517737385096,D,107.16827066986447,-8.417597101042107,0
Yes,A,12.610685801341164,B,A,-42.67553524743803,E,-31.58641790968113,B,B,E,-144.30953406239578,126.7295430152615,E,-93.37867297267172,28.27992884826214,1
Non-Veteran,C,-101.63625110588907,D,D,-241.1724589191491,A,-5.83632299007066,E,D,E,-111.45266388952003,60.58560115538445,B,46.01949152514071,-176.13535320979275,1
No,A,-80.57132766530403,D,C,79.45950736808946,D,-65.4864047922462,E,C,D,-117.17895229326254,-139.43121988062947,D,48.2010907991133,94.85147602593524,0
Veteran,D,113.03956720104729,A,A,92.1078901987308,E,-125.2298093492765,A,E,B,-19.72044858497391,-112.06531958336501,C,-37.212729553129996,-252.08214178450638,0
Non-Veteran,B,-200.63176767604256,D,B,-8.29308469692408,D,71.53856272499598,B,C,A,-55.93014266410066,-4.491995293040223,B,58.46097881027311,-73.35267377232927,0
Veteran,B,-27.46650496259565,D,B,-53.15311493831628,C,27.471261811892294,B,E,C,33.02087835487206,-70.17385886906776,A,-97.41998165796375,51.92130446989501,0
No,E,-137.4380046002585,B,B,-69.25046426028179,D,-94.65834113210954,A,A,E,185.75689270729657,-123.28106106933046,D,100.1779049442739,21.298133489583375,1
Non-Veteran,D,-33.27334069157896,D,E,-108.70806037396142,C,-16.60183667403519,B,E,A,-34.011421483981344,-52.48545543063263,E,-269.61465983871733,-70.84202192665106,0
Veteran,C,-139.558140241717,A,C,-20.117178152001784,D,38.190217845533866,B,A,D,100.63254172925022,-84.49455473431374,E,214.79818676916994,-122.11606595623445,0
Yes,C,15.514406624917504,B,B,148.62253395323035,C,-89.59189638404366,D,C,C,-138.28369907078383,133.84712364129794,B,6.107611626520287,48.32839321070727,0
Yes,E,-6.615903224007345,C,D,-69.02366541181266,C,-111.02956892055091,C,E,D,136.33319305606992,22.057284204749866,D,155.91527815622334,0.7633595928583127,1
Yes,D,-32.882374709757926,A,A,-24.994820642440374,B,24.799227211619588,E,B,B,-77.43074131926508,64.43554696786418,D,-102.16941221728403,-181.4521839387757,1
No,E,-70.38742234691495,E,A,-60.29075987907786,C,-34.81782244373603,A,A,C,13.126924274392007,32.250060669313605,B,210.70042357376698,60.37903182626222,1
Veteran,E,203.87482233253263,B,A,-219.86444638633878,B,-106.98857084183011,A,D,B,-39.949934840459825,24.907885298531347,C,10.816797900104778,198.2515726886772,0
Veteran,B,-27.493148194116152,E,D,-127.18107442623679,E,45.77307098853144,E,C,C,16.903793652192324,87.30422689958367,B,-99.43713500824173,59.1480738558603,1
Yes,E,-23.47774917949303,D,D,-14.024979724906746,A,-37.152664945675355,E,A,D,-91.90510253532693,-20.92362010308796,B,-68.26940239624119,204.1414289274285,1
Yes,B,-100.05873116317676,C,A,-62.7027208830829,D,-150.31922138450614,D,E,C,-34.207716440439874,10.431318644108352,A,41.999604429027755,-0.5427924965943538,0
Yes,E,-119.10544585732359,B,A,71.29666333278944,B,-46.22719395209904,A,E,D,-88.55079269984088,8.042803510071046,B,5.948423730734131,59.92844381282886,1
Non-Veteran,E,51.48111050528724,E,A,55.31995943077903,C,-35.87468822434,C,C,D,26.97699239529628,65.02208526197846,E,74.40756630221979,101.48676653797368,0
Non-Veteran,A,-38.93801815032189,B,B,-8.81975342439865,A,25.41075035419775,B,C,A,-90.8181461041059,11.229147720663882,E,-272.4068945907991,-63.105884853531514,1
Veteran,B,-75.27963154519122,C,A,28.75221482857338,E,-31.17009324267213,A,D,D,102.84554940815262,-188.222244994278,E,185.13948921135037,87.2198697541872,0
Non-Veteran,D,159.06992603784045,B,B,18.974984020251807,B,-67.43399395858447,D,D,C,168.88055454872165,135.53274053938947,A,123.4268257101474,138.0940285356616,0
Veteran,D,-20.292179093004695,D,B,-29.938547952888676,A,-14.485438016086889,A,A,D,-48.09144619259555,-164.12144783783154,B,78.74102173919411,-76.09475073884576,0
No,E,119.4248687709438,B,E,-22.685389445284727,C,37.533111676740226,B,E,B,-138.2308879198286,-217.81763659500695,B,22.642976869024885,-128.72634004374297,0
Non-Veteran,C,75.56840639635064,E,D,-25.35653654111261,A,-17.83294758955992,D,B,C,-161.99068113638486,143.00406218519475,C,161.16402834869393,-122.93381865538231,1
Yes,E,-119.99486078533484,A,A,34.25076610110126,C,162.59080409538532,E,D,D,20.611717203922606,61.09695414196628,C,-55.51126843988834,81.07226668880743,0
Yes,C,61.31307619443923,C,A,-142.41894350725437,B,139.48292748625076,E,E,E,53.14941144033253,88.01175986179545,E,-56.99722056375458,49.31959931970808,0
Non-Veteran,A,120.00803403749678,C,D,56.12402286369624,D,-79.23257764278645,B,D,B,-31.740816605806188,-34.713190860093476,D,24.268664917867653,9.470458683722285,1
Non-Veteran,D,-38.12063821103399,B,A,152.60009723694154,C,-1.300750912975504,E,C,C,79.47256563252417,-146.04300642036483,E,-133.78042504781715,95.03105186433628,0
Non-Veteran,E,-23.88613529731619,B,E,106.17943156562211,E,-112.84638214963006,E,B,E,-82.06434066749954,29.48751484700965,C,-25.34284358528074,50.045823969486335,1
Non-Veteran,C,-65.70415484990585,B,C,123.7523370849474,B,57.474213064360136,B,B,A,93.88583913007277,21.674119209390984,E,284.701470442484,-27.554840500601426,0
Non-Veteran,E,-336.0407712109514,D,B,-17.81399951503314,D,-32.50459313322783,C,E,E,23.60642749326898,20.94604214879903,E,-76.26875755096923,54.241510762635315,0
Yes,B,-52.957244903002945,C,D,119.05217734894433,E,55.259596274654974,C,D,E,13.606832695885165,-51.52135012495882,D,-162.51377012431183,15.161786978038073,0
Veteran,B,-79.38109116181455,E,D,14.602665105004927,D,62.57697440300104,D,E,E,0.8588400380160734,-5.976978660149553,A,-0.7217688595043996,-141.9130807677302,1
No,E,100.81307051778477,D,D,-49.86712752798104,A,34.5026906144444,A,D,D,-51.5353681315766,-15.264254904930718,C,-8.13825310004843,-28.071901427446544,0
No,C,78.99469493995458,D,B,10.180174235220619,C,-156.11998276014876,A,A,A,-82.27309289157648,46.07232452622735,B,-96.3071577498964,99.83225695766626,0
Veteran,D,32.41761067798245,A,B,66.88655240115936,A,-6.560256895716418,B,D,D,142.30074111116048,46.53519499481772,E,-57.376473649166435,-58.16983424091221,0
Yes,E,99.82284001624618,D,B,79.38096557836391,E,-163.64020007127388,C,D,E,-51.44311435780923,42.94646693460798,E,59.34568627002083,-16.4530776638461,1
Veteran,B,-167.6114794640678,B,D,45.275603219258734,E,128.56002280494238,E,D,D,82.4038231524058,121.08998259932488,A,-70.21154468255814,-26.052306891226117,0
Non-Veteran,D,170.92359411852544,D,A,98.96682097976883,B,-222.56032228774026,B,C,C,81.21577070001646,-104.46644047596449,C,-48.377135388022715,-112.74970978794319,1
Veteran,A,-124.75369756865416,D,A,-66.42516819427097,C,77.3152962423295,B,E,E,-164.18043909748175,-11.069482522234177,D,-123.13180416061142,117.0827239698829,0
Non-Veteran,E,83.48412878994183,D,E,-40.72678645432134,C,-134.37885781911228,B,E,E,-18.472832234938018,70.5502104108913,D,-125.95917388232733,-133.13028405472122,1
Non-Veteran,D,139.82628421489997,E,B,-51.05888361087344,C,129.8948922303986,A,D,C,-11.785544775409367,10.589314854076655,A,-76.45999401970538,2.248316253547294,1
Yes,C,57.12720381231392,D,D,-27.855704899468464,B,-127.50855281893043,D,D,B,-94.14680892407318,-50.773016106275406,A,-46.36649984255715,-118.35002801651953,1
Non-Veteran,C,204.07152147266262,C,B,29.19306711740337,A,104.29399907211237,E,B,C,-25.056499684142402,-49.150228969023836,C,19.30493175554396,-64.6979713830082,1
Non-Veteran,C,36.26597079679978,B,E,25.50634769508593,D,108.33583670255908,C,E,C,98.07805526533136,78.36853947292197,C,-228.92500874151258,28.068407079749175,1
Veteran,B,87.73763788391038,E,C,25.167221851034572,E,-113.51860962352308,E,E,D,2.46530067576082,111.29504054267056,E,-44.32182156218309,215.54093538752093,0
No,B,103.54255963979497,B,C,101.11779357859767,D,31.906839543313936,A,C,A,-281.16626360244777,168.37368879204953,C,59.14202651218492,108.90100791669148,1
Non-Veteran,A,60.323912163602955,E,D,11.308803265302947,C,115.01355328022602,E,E,D,-81.5996712087885,6.938630603969425,A,32.00641300270929,-98.3587803632123,0
Veteran,E,65.11778373901228,C,B,-61.83516116454126,E,-125.86432625830099,A,B,E,42.06083449907768,7.4613998630382286,C,41.19322374180482,117.0857783841043,1
Veteran,B,92.81135577628777,A,E,75.57679809513942,D,-76.97324871842642,B,B,C,-134.5800339855004,-88.70502796419814,A,48.72729016816936,81.54078516237021,0
Veteran,C,207.47794218555478,E,D,-47.67356332425328,B,11.416356767112301,D,B,E,133.32369051504557,-39.80625239415496,A,175.94014465664458,-95.84396039651702,1
Non-Veteran,A,-118.16136716621422,E,B,15.10344423941136,C,5.008367167775597,D,B,A,87.4325204091836,-32.333420419569634,E,-7.212641629647022,46.356224365261625,0
Yes,A,-156.3795513440673,A,D,48.21363477515954,D,97.12451370979687,C,D,C,-211.17236170756368,-6.226993009532056,A,99.01255295711525,-23.391142588041873,0
Yes,C,-132.42567596745118,E,D,-14.991460651868433,D,-40.12396387598389,B,C,E,12.919646863992718,146.57438232649122,A,54.61258217345409,-16.90387898407368,0
Yes,B,58.95096704503919,B,A,190.53361891550438,A,-250.18704801856865,D,D,A,-87.85697547304333,-51.83390246863062,D,162.31039639521728,18.61307572239071,0
Non-Veteran,C,99.68419385061496,B,A,-110.63936548793234,D,-48.14473763367711,D,E,E,-139.6727906809812,-8.601225255850677,B,28.603561943276652,-161.92270895698326,1
Veteran,E,32.96930542918032,D,D,28.38984246265544,D,81.57017252660388,B,B,D,-82.1091547212122,59.9465797505294,B,165.26398930983564,-0.9334013897236912,1
Yes,C,-0.8827398648867151,B,B,25.897758247942136,A,40.87562442415001,C,B,A,75.09388836262335,-21.46935766010275,D,-16.97297722106763,-123.75815002897225,0
Veteran,E,49.74239491129175,E,A,-85.24750545958662,A,110.35579907446235,E,B,C,-18.059280736629056,-49.793260978689545,A,226.30106890086304,18.225212944944175,0
Veteran,D,287.72186436731266,B,A,-147.43582066153508,B,86.45967899064883,C,E,D,198.9107488578323,-42.05442058276447,D,-77.56170267988149,278.2294400609703,1
Yes,C,2.9939765302005408,C,D,-79.93401192337849,E,-68.65227946215316,D,E,E,42.084491793231784,-27.587351781228787,A,55.233974618621474,-14.921508995617543,0
Veteran,B,78.77545453480984,D,C,-1.4141438160964204,A,11.839156778833406,B,B,D,-44.470373351455216,-16.629844764015953,D,35.27748021345577,4.963266378482053,1
Veteran,E,183.92764863274792,E,E,8.220405044856962,A,-65.33635551353416,E,A,B,232.3600865252645,76.4154709807654,E,139.96415017149556,113.98209641956663,1
Non-Veteran,C,-4.628802128719002,C,D,75.83259780898611,A,202.89071828993022,A,B,D,49.05843521832377,133.70639098427986,B,76.69072391654723,-78.82115581166796,1
Yes,C,-156.37044145916198,E,E,-59.623148865899914,B,67.10108412134215,B,B,D,-190.068831174816,-76.6167381238969,C,12.311317894667956,31.447884131048365,1
Veteran,E,-60.37833382207967,C,D,-91.0115847068842,E,84.2904318088474,C,E,A,-14.593026190582862,8.324243309625542,D,25.36660233824274,19.65482339439087,1
Veteran,A,27.288432993726413,E,B,-7.333545887372465,C,21.202110166001404,E,D,D,-24.296891220458324,-72.67988836849692,A,46.47249138888998,-152.70933360627862,0
No,C,51.48099977197826,C,A,-166.08046815449313,C,108.95131338651431,E,E,D,104.34970155872622,4.379255547891254,B,-89.19183803997403,-107.08048312595899,1
Yes,C,-103.39995528056608,A,C,55.6401823155317,C,51.52284437282968,D,B,A,-105.43016841974611,213.62324793963526,D,265.7925915220795,80.034559287164,0
Veteran,E,112.41075027476685,A,B,-39.196929089752736,D,126.45398685595121,B,C,D,106.65743692964045,75.67929099738971,B,-142.60450437413954,17.351093349247826,1
Veteran,D,61.01824638719881,D,D,155.94496914876197,D,14.399563834324915,B,A,B,15.212270128806301,-34.21158344218392,D,10.805882809448313,7.582900859185698,1
Non-Veteran,B,-105.07132112400765,C,B,84.34426779067593,C,-28.062864553964406,A,D,D,56.51445136044696,-80.74255248663503,B,-241.54614964409825,45.74365713984746,0
Veteran,E,-17.979742097001118,D,D,-62.05680110196332,C,-71.01084628475832,E,A,A,45.74505130880146,-177.0368707858265,A,88.58418633547143,-67.3833681326379,1
Non-Veteran,D,88.65714717647259,D,D,125.95859087394317,D,-1.621610216388948,D,B,A,30.557309423911487,-92.76860457382926,C,26.898627856173285,-280.518911145489,1
Veteran,A,-59.7537179565853,D,E,124.70067873970017,C,189.71655064067286,E,B,A,-2.2886909247776583,21.161758310867818,C,-61.9264355306155,32.51335417120843,0
No,C,-48.789915721723254,D,C,-50.939885921417115,A,21.907451084743894,E,C,C,28.49909086154026,-177.2450251663597,D,9.512520177536251,-19.951172423894995,1
Veteran,B,86.49263968086916,E,E,-58.56680678166655,C,-69.69833079091687,B,E,E,136.8437289145892,31.472672791455818,A,-61.10842610915002,112.41504251839073,0
Non-Veteran,C,-128.59733723447252,E,C,66.50830322431432,C,62.93008094560402,B,E,C,205.96923877362278,71.27195169304629,C,110.57647533600058,35.68246282704868,0
Non-Veteran,D,-13.301489112497231,D,B,256.1451695810751,C,97.18528584408398,B,C,B,-123.21691648794983,-51.22492092407283,E,-6.20238453740281,-47.148167310603846,0
Veteran,D,-147.29313721029123,A,E,-87.28526387053533,D,-118.437773574469,E,A,D,122.23262236563642,-19.305640643470912,E,-27.316580032057914,2.8827251287558595,1
Yes,E,-153.04631547060922,C,D,44.67713492386661,C,68.25631429281285,B,C,B,-40.969752751442826,-91.55588447709667,C,-134.25994038857803,77.27441208202474,1
Veteran,C,6.873336239295873,D,B,74.79158402766214,E,65.44137348215142,E,C,B,-113.85180744196279,-105.87797637980454,A,50.060888012867586,-85.64830759727442,1
No,B,49.7667178352852,B,D,0.6965957938769402,C,-47.644212774348574,B,B,C,-11.503771193308584,-108.45212250993164,E,139.77844547109913,-94.77316992072143,1
Veteran,B,-44.69104181169535,E,A,-4.005489912775619,B,-187.862970927504,B,A,C,-69.26903852875937,-86.81841748154217,E,-156.80556685842794,2.397265211156081,0
Non-Veteran,B,-50.218224980830826,D,A,-0.24851088803545923,C,-104.67663540397825,D,C,A,-63.8277666004664,-72.0487077465503,B,-129.28436326586993,18.031114688778523,0
Yes,D,-0.5777528237903242,B,E,-227.23196348469253,B,-102.71496353396992,E,E,E,-11.796104204920821,42.63025358917529,C,106.60877466559482,-86.11566838088135,1
Veteran,B,-93.23670296747655,B,B,-152.5544058875927,B,-7.012692395567894,C,E,C,10.219382380773146,-105.07950377050057,C,46.86296973788906,29.268920179711845,0
Veteran,D,156.45565807870094,D,C,52.32381538267858,C,-118.75221016553105,A,E,D,35.80237107155349,-10.553759009575453,A,-35.26724225123273,-7.635066751448183,1
Non-Veteran,B,-67.68282166943874,A,C,153.9676300635519,A,87.8020952101989,B,A,B,36.466022241882676,154.15192756666173,C,-69.15207420798839,13.225296020128926,1
Veteran,B,-34.04159969444103,A,B,-61.37445091128737,E,-54.494995004499124,A,C,C,-15.884260150676303,90.00348777033959,C,21.534825706929247,67.14632378466538,1
Non-Veteran,A,23.319056989622876,E,E,186.45098400540388,E,23.3505279129972,E,A,D,17.57689195385032,53.494543147029425,C,-139.0622977661694,-93.83395797846565,1
Veteran,B,55.85724829228076,C,B,77.86730693592881,A,31.760678621639883,C,D,B,-37.240011249297,125.2051438593015,D,236.95538349613665,15.912839392639839,0
No,A,-27.00842982865052,C,D,34.13939212509483,B,-38.640370926542055,A,A,D,-30.708655123216534,-152.60119418968188,A,120.72503860010646,-254.24106347481947,0
Yes,C,256.3362679209664,E,D,-183.83087863540894,C,108.90695401911358,B,E,A,167.68476530116558,-92.14456678584038,E,-21.250930076774736,2.5630102312487772,0
Non-Veteran,C,205.57619333539375,E,A,6.333667523371458,D,10.919780178588658,C,B,D,-191.97475054553107,-2.1216464130812174,C,68.16258623715801,2.9062754030551425,0
No,D,106.35004104937104,E,C,9.122759078019335,C,-114.02085976171436,E,E,B,-12.347466971956496,105.14283799763496,E,-58.708172474805174,-37.66267545069045,1
Yes,E,-255.96707083892775,B,A,41.37470566542899,D,-62.35106092593613,E,A,A,199.0844630467473,61.801616482813735,A,-30.6315208129506,102.27130735600203,1
Non-Veteran,D,-20.793453458894433,A,A,-24.565940165726342,E,9.396498712016212,E,B,B,-90.55680294678452,-327.92046491398264,B,-106.05377644489064,77.37807343388424,1
Yes,A,-16.802992878128684,E,B,-152.73531093918734,C,155.3844916276313,E,A,B,118.28619997236342,-70.70411028906865,E,-44.42118928955745,-45.02500781898691,1
Veteran,B,35.33768195567037,E,D,-91.16564292895625,A,-30.762913739012575,A,E,A,33.175953497056696,61.97332626750322,A,2.2698524117461654,-54.31250686700285,1
No,A,19.00883726237483,D,A,189.8651802890248,B,142.0120285078864,E,A,C,79.04647298299523,174.70499843902704,D,-46.743081435042384,27.02774717229713,0
No,E,21.31190104835049,E,B,-68.63211618453099,A,67.59170563151162,C,C,B,131.56372954882184,47.279068039191884,E,-132.1415293819582,51.29633755811637,1
Non-Veteran,B,-102.01755234383623,D,B,60.458390273482465,B,79.36742682710417,B,B,B,109.25983433949382,1.121711380613848,B,-113.32581108019181,85.09280007775486,0
Yes,D,-28.708357002454733,D,C,-24.41940565872139,B,181.2122131066147,E,D,E,11.541308816157377,85.78007676157007,A,51.18602450246493,181.5945554168834,0
Yes,E,-127.14242785271739,D,D,-50.152360337069936,D,-36.90538982865347,B,D,C,15.489744941748873,87.99266189002361,D,-37.32045601325837,-4.426708142486966,0
No,A,183.16273320742692,B,A,25.420471689840774,E,-165.01324569407925,D,D,D,-105.52106966563095,86.6854518793272,A,-244.9035506356952,21.854809244221244,1
No,C,38.486036999492676,D,E,193.53243090246605,A,85.75757965183855,B,C,B,-160.86280447839968,30.821697828596395,B,-58.20260101139073,-16.124998661029696,0
Veteran,A,-39.70160520332442,B,E,-30.527139939364982,A,78.5112409469335,A,C,E,39.79097810347027,102.91786129592037,E,215.03782180703843,46.60157455190573,0
Veteran,A,-28.148676098312098,B,E,-98.59493589066025,C,90.12290014326597,D,B,C,13.601044534695165,-118.49662792674347,D,99.50719597136623,-82.26311711905055,0
Veteran,A,73.54117888731952,B,C,-22.383017539528822,D,15.279484906553284,B,A,E,-67.40579660201401,205.5461602339943,B,-19.877143165048754,-230.79573199844305,1
No,C,-103.37189893191956,C,D,-30.663639103440595,D,-12.944266219128858,E,C,A,-95.33288589926157,-142.74157433442844,A,66.00330575649339,-200.00080714355497,1
Yes,B,95.20924896506322,E,D,-201.6514537326976,E,-48.46197171579269,B,E,D,-39.41731467399915,-19.021091194463537,D,29.0917838322568,-54.20334845117263,0
Non-Veteran,A,51.678714407839955,B,E,45.97434654624144,C,66.8892632401914,A,B,B,-133.22812131770525,46.65910771083522,C,21.84498922852877,15.601099107231425,0
Veteran,A,6.974985250807684,E,A,153.13130469444405,B,-59.93511889200237,C,C,D,-39.61135605171434,22.605050376369253,D,176.78002599346135,-130.57212970233013,0
Yes,B,65.68934983605168,B,C,-141.8303580291946,D,-186.42534874123388,D,C,D,7.825461980684295,156.85079153057112,B,70.79092685222993,-358.878087995169,1
Non-Veteran,A,42.72505556858876,B,E,-26.522556330760917,A,21.845067456622992,B,B,D,-147.32527671942594,165.8562738476344,C,-43.89148674406399,17.138180468984764,1
Yes,D,51.27175206146127,E,E,-87.12219474477509,C,101.01728063346604,C,D,D,51.95138317337123,39.47359138111728,C,51.42434932443033,-130.04345055038027,1
No,C,-8.081503164985273,B,A,-55.13051697397028,A,26.7415271086324,A,E,B,-56.41699629462301,-62.57855790861875,E,73.99810672505144,137.5597376021808,1
No,B,93.35672928405354,E,D,-34.54867212470789,A,-61.10171448399697,E,C,C,65.68170009949075,-103.98659449446865,C,43.010997815954454,80.15907830980848,0
Yes,E,-131.09929685415705,B,A,99.80816725273112,C,-75.37934463547542,B,C,A,-107.87862392122906,-103.57039468176367,E,26.432159368406356,-63.44594059476915,0
Veteran,A,10.12394311991939,E,C,-88.65628237935039,E,-189.6192505981394,B,A,A,-191.5689035966998,-113.83097618542755,B,147.676645469801,71.60359026675873,0
Yes,B,194.06320617070227,E,B,-36.450509752660196,E,-188.98503672912236,C,D,C,78.77052092311712,7.933502609131359,B,3.9376903534667704,47.457624989422385,1
Veteran,E,26.2195937733383,E,D,235.30498201347473,E,-40.67105319292904,A,B,E,23.38083526577395,107.60757411347646,D,93.08580777449829,-10.588013522147559,0
Non-Veteran,B,143.41777674439518,A,B,-5.9785460143329905,E,-29.696268965089896,E,B,A,135.59058898559155,239.62482711775536,C,143.8468528066496,39.81053146651945,1
Non-Veteran,A,-28.667086882892427,C,A,206.7859418306576,C,-204.69826709648765,C,B,A,-59.94808748003565,-14.04781612227682,D,-94.87405058073183,54.33227259076278,1
Yes,E,118.42269910953895,D,C,-117.85319260081626,D,153.78989396787458,C,C,C,-136.27387024351384,-259.55990619213225,D,-23.91400205537065,-66.37585116590193,0
No,A,210.34308426791895,A,B,-14.648522267152131,A,37.802506313446784,E,B,C,55.18690979048652,-53.1098839590903,C,-146.06161753840945,-165.20984749946578,0
Non-Veteran,B,141.36243601215534,D,B,79.69382885287027,D,12.868318339018947,B,E,E,96.54372158829129,-161.2242648559531,B,51.511094666609445,-143.60292275043633,0
Non-Veteran,A,143.45779386828806,B,A,-134.7087044894294,D,-85.53664870175129,D,E,A,-152.51155976504413,-7.494180138020748,D,-6.725407151036375,22.773527950445004,1
No,E,-80.637292034369,C,C,67.3464769794929,C,-40.64086418035937,B,A,C,85.8837637935811,52.276204918134816,C,-144.29133170318593,-43.16074884577086,0
Non-Veteran,C,-53.24491211850146,E,B,-26.559704465337,C,-122.91274149207203,D,C,C,-163.86740576034572,-65.97868669685022,B,166.85271493007042,-88.16084375508872,1
Non-Veteran,C,259.6300835459173,C,C,89.91770878766717,E,-71.9691976644061,E,C,D,-14.393297827337845,48.93234495002366,A,185.09685862425934,-11.269400572211955,0
No,C,-18.069483488833075,A,E,60.33046030513765,C,-164.28720184348583,B,B,C,-40.92301160049343,227.00951565297677,B,4.947707267669334,-24.671539804059524,0
Yes,E,28.51204488574378,D,A,-51.218330013789405,C,188.46062559801214,B,D,B,61.295425841625516,58.55878246303264,B,112.24506979529632,19.908752088386336,1
Yes,A,95.4047014901528,C,D,-25.518089574673077,B,69.4390040641773,A,C,E,63.10661554648761,104.89194917517825,D,10.881141087235514,-36.65684960132921,1
Veteran,C,53.14163544372021,A,D,-26.046089751614304,B,77.3987917786313,E,B,A,115.27511416175516,-29.826553476911773,B,-29.072200037385237,86.54848989613727,0
Veteran,E,17.431516987730763,B,B,65.05624436852415,C,-73.25430632225212,E,C,C,54.91349011015796,116.57244710715837,C,-9.917284621869012,66.4185803884654,1
Veteran,C,-94.11294908916022,C,E,29.644515976193187,C,69.48029530253763,B,B,D,47.15805051196376,-11.046836167504066,D,-13.005644773833398,-43.31679055186237,0
Yes,B,24.70943472959638,D,C,223.72345700398378,D,-11.387898971592088,E,E,A,99.94617503766645,-8.531764036873092,E,-64.23595560889378,12.017116397927966,1
No,A,-82.44367987415366,B,E,-44.89902790538431,C,-27.983676709807387,D,B,E,32.81183519865948,-139.66169229586583,D,-135.07137480665,-20.523242817026667,0
Veteran,B,-14.58505751722908,C,A,27.94592921274291,B,-58.589886777079194,B,A,C,-26.91363293442593,20.738674728959804,B,99.28690684345382,182.5495143234792,1
Yes,A,121.27823686658175,E,B,21.24789439743219,C,118.53494855620023,D,E,C,177.58552341537498,-94.86711699323061,A,220.75721255262786,-7.229104228628973,1
No,D,163.25640194937364,E,C,109.96800301697627,C,32.270038272874146,C,E,C,-25.626692302679093,-83.26498296471281,D,-89.43435812652528,73.67437892210505,1
Non-Veteran,C,-252.69576655464004,D,A,-127.76351389601331,C,-159.6669756651643,C,A,D,74.08589045460047,33.39368878926712,A,-33.82195038090436,18.57933314231501,1
Non-Veteran,C,-67.99272664220166,A,A,-87.52651165335672,B,20.604685536161192,E,C,E,24.909384647230333,-16.600203410182683,D,-155.12183090121013,-8.705199776945015,1
Non-Veteran,C,20.962182563943642,D,A,29.297828085463035,B,102.94597865636648,C,E,A,-166.38551874047127,-70.66244675206306,D,66.57942352895857,-54.393340319006455,0
No,C,-30.31307140895126,B,B,-98.16749147838597,A,-322.9145352938491,C,D,B,-21.03202110397426,77.33516055102639,D,36.73444937744218,0.5472339783297719,1
Yes,C,33.36678978457101,B,E,57.07885650827793,D,75.51899598826924,A,A,C,97.5283119184772,-9.371482648814315,D,19.377485873117408,12.118598104428608,0
Non-Veteran,D,101.56377837744483,B,D,193.7200215577003,B,-20.506091941977324,B,B,B,0.6574044996465888,-24.554962038673846,A,137.34921112227812,15.467611679662083,0
Non-Veteran,A,65.24253322189185,B,A,-97.01758837089234,C,17.174951537959977,E,A,B,-18.759634505968545,-59.75820594522221,C,-199.58411723742392,118.48426993133967,0
Veteran,D,-163.96976482665548,C,A,-75.93489104269109,A,248.66848261305273,E,E,A,-125.90962335005347,69.35726779606307,B,53.188763627206235,132.88698986312238,0
Yes,D,73.26381261854118,D,E,-76.14529453534531,E,-85.82680244696813,D,A,E,150.59960537059686,-9.277668096817502,E,-135.73974885213937,85.64034006071508,0
