genero,marital_status,disabled,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Other,Married,Mental,C,-42.218410335769065,E,D,40.75199654121888,23.4354696973738,14.567482536357504,B,E,-19.064413950748193,-30.79313914712411,E,B,D,100.50684383080693,B,-79.72865946010175,0
Male,Divorced,Physical,B,-141.66530543465902,C,D,-26.59655323263104,17.672405295228447,40.974266485801834,D,D,-129.80956104756564,-50.5235610000598,D,C,B,52.30410064238996,C,41.48585557591446,1
M,Divorced,Physical,A,131.77964004461757,C,D,-6.254222025444382,-140.31056335106433,-112.22708776226004,C,D,1.155674837491246,-85.27489788002661,D,D,D,120.36337086400928,E,35.97064727365164,0
Non-binary,Divorced,Yes,A,96.77094636095492,B,D,67.1513367580077,88.8883318477045,17.12150456846883,E,C,-133.5772771723923,-26.970930453579527,E,A,A,-147.68430822506537,C,159.61463015235017,0
M,Married,No,D,-20.483536196001918,B,C,73.72954947428015,79.81239963981116,0.4657643804185067,A,D,-93.81046625015202,86.8800303728656,B,A,D,90.35300884862316,E,198.84954105766337,1
Other,Married,Physical,D,33.1305468423419,E,A,41.34741180812832,151.06260857960302,40.19563483994842,D,E,-62.199598966172296,-46.88933364764863,C,B,A,-3.1549419597875383,E,-0.5756187254193293,0
F,Divorced,Yes,A,15.189317498194429,B,B,10.966465989140142,64.45794861533571,-27.245264016610193,B,C,-46.32952538811782,64.94767040394325,C,B,B,34.94716688877696,B,149.67928785140938,0
F,Married,Yes,D,93.74392119283038,A,A,70.96918335290866,73.1536344381459,-84.54262428667187,E,D,15.145062712128848,-194.09293291957417,D,C,A,-119.748580595521,A,135.98326006663598,1
Non-binary,Divorced,Mental,D,70.269540599616,B,A,-152.722920995769,-51.26145586970269,184.55490244983952,E,A,-212.69745992844324,31.474201537782825,D,D,D,64.76827979601299,D,11.936165330946363,1
Male,Widowed,Physical,A,-17.75587252585831,B,B,-40.855756023167864,-157.7739346050216,-16.33631437530033,D,A,-5.13248284481848,5.361354655611648,C,A,A,173.9230862555259,A,15.018218729676413,0
Female,Divorced,No,C,64.34388079825706,C,A,24.961973201983685,122.226684843877,-22.78760385598112,D,E,-114.69592816280196,-52.96180731075584,C,B,B,157.81861568327494,B,-61.30686607073608,0
F,Married,Yes,E,-72.62147297610106,C,B,-13.877355462198416,99.67134334679663,-1.0801129109120398,B,E,-112.61296390371287,-125.00020808114398,D,D,D,230.02293501967347,A,53.97639966721628,0
M,Married,None,C,131.0146366671977,B,A,-12.37651876543974,-108.78144947062187,-50.56826944259332,D,C,58.19972981511392,-81.65420921665988,C,D,E,131.7585434645523,C,-138.0746828842845,1
Other,Married,Mental,D,67.58084069883152,B,C,8.450536987245187,127.52694408639644,15.650497678116734,A,B,-94.3677962131229,72.6272298319657,E,C,E,-68.31626413979791,C,65.61869368942114,1
Female,Divorced,Yes,B,162.0242342300785,B,C,155.5161680023975,-70.65832786900332,-171.90037641242452,A,B,-108.49072391365313,-75.04737339060694,C,D,E,-150.5735314365973,C,-81.27989562597516,0
M,Married,No,B,36.69728829538843,D,B,90.89763767871327,-233.10520164938674,24.33718350951849,C,B,35.79412252658088,50.049336352159536,A,B,D,142.30107863339353,A,22.535781109235632,0
Female,Married,Yes,C,-99.74115890900174,C,D,179.2289973865649,-72.47874478405575,30.24959405255728,D,B,76.97880019509716,36.47778447484221,B,E,A,-76.4729859932033,C,48.06470596647554,0
M,Divorced,None,D,-62.11280280735767,A,D,-60.4885622618679,83.68472391633814,66.4867518841714,E,D,134.28443023204258,18.268623821899972,C,C,E,-27.306904905462364,C,-69.1764736749295,1
F,Widowed,None,E,59.1783765629519,A,A,-42.23209950917053,-13.331356301293502,-56.37348537126251,E,B,-184.03421040818506,94.57453402736954,A,C,D,-42.79717503053726,C,46.59616116906656,0
F,Single,Both,B,-97.43751851206616,A,E,-141.35358975465678,52.64848513767011,122.94256687704936,C,C,-232.0345374335099,-17.08922905498394,A,E,D,38.51776176492873,D,116.28259558609355,0
M,Divorced,Mental,C,307.3317733013403,D,C,32.1113692956564,30.291242338069786,47.797663208716884,D,C,-99.79315383223589,118.8415996787227,C,D,C,-19.44967661509213,B,-0.5490051130366854,1
Non-binary,Single,Physical,C,-13.03373415331821,A,A,132.2509877370281,116.55008458760791,125.88125701915702,A,B,22.918012539967144,114.73032668833365,E,B,D,63.64025154790238,C,-82.72927109480705,1
M,Widowed,Physical,D,-47.402375938258295,C,B,-122.40813556014139,23.45333038440588,113.47139204952144,D,C,-74.00697388129043,-7.961876202934455,D,D,E,-35.737365925728746,E,24.608478358518653,0
Male,Married,Both,B,58.573985224298006,E,B,-14.436678805812416,27.159163566967653,27.026400266299234,C,C,-51.23242483935119,-99.54225809044573,C,A,C,92.65327619030914,A,-86.42156936263888,1
Female,Divorced,Both,B,-69.22719698756742,D,A,-102.73527017587858,22.16445019042376,-144.64432729016136,A,C,-0.7076687438425986,-41.8336554991855,A,D,D,-250.54577764139663,D,-44.484535428227005,1
Male,Single,Yes,A,55.70638200632499,C,D,-107.0773881136969,-125.51957405545313,-10.449449287283477,B,B,42.46812298803578,-142.46159264162281,E,E,D,-107.94909449078791,E,46.40600906713354,0
Other,Single,No,C,142.699697264506,D,D,-45.3340874758608,239.70990461452485,3.926596363304529,D,E,-2.565260393589659,29.117896420168194,D,E,E,-154.95469029865112,B,-79.03707022079527,0
M,Widowed,Physical,C,37.60278596741128,B,C,22.674152755258557,-42.87600391640226,34.16691598606991,C,C,172.3749451525722,4.788833306376424,E,E,D,-199.5089218132351,C,45.4532889038247,1
Female,Married,Mental,B,-137.44085256229067,E,B,-79.31547902964715,20.26376140436583,-15.505781763637275,E,C,122.91900672014727,-110.1639620137455,E,D,E,-71.26018757014343,D,-57.30068501131188,0
Female,Divorced,Mental,E,74.91722616865887,A,C,-48.27519892950842,-33.85517171943093,-132.3364243133105,B,B,93.28212678728292,-203.71817671101482,C,D,A,33.36722749335324,D,43.35613166962561,1
F,Single,Physical,A,-235.9430967941015,A,B,205.6848071727752,-186.68471371643707,47.733777277871546,E,B,-44.98162965805362,-60.29188088875578,A,E,D,-53.55463426176637,D,-40.35975558294842,0
Female,Married,None,B,39.61043872280523,B,B,67.06921174033542,27.416167971280796,0.6737745299312448,C,B,-81.51366929181462,-82.53970494150768,A,B,C,-204.71231301395858,A,87.92210126167713,1
Female,Widowed,None,A,207.71754628234063,A,C,-89.59236975830468,135.81501497713285,39.71315071865506,A,C,-46.82396119570551,-137.88082696810912,D,E,C,-8.390718264149708,E,-86.23416929505399,0
Non-binary,Divorced,Physical,E,20.16678117959751,E,E,79.84967495044106,155.91307662293383,265.01850002033007,B,E,-17.705901673555147,-70.36036689171901,E,A,E,133.0874335524253,E,-13.597032485398566,0
F,Widowed,No,B,-42.00540545342622,A,C,-39.397186063370334,49.038479986664385,-192.28180208973754,C,B,19.570659513112812,-160.7676532255393,D,B,B,33.02952421138624,D,-92.33079955265832,1
Non-binary,Single,None,D,10.072197599118267,A,B,-16.639337075791463,2.385011843097543,100.19579998793004,D,B,38.94975114262041,-64.46844470270973,B,B,D,-2.727890503618485,D,84.5275374163029,1
Other,Single,No,A,69.83023594434479,B,C,-113.79899608253766,68.24173912251847,9.39382075442294,B,E,63.20707440565309,-76.22672603879322,E,B,E,14.425391903357268,A,-38.62545854271319,0
Other,Single,Yes,B,76.14756468070478,E,A,-51.313349242939395,-9.400992700304284,-33.567470773214566,D,C,117.61745900497884,41.832307005774425,E,A,E,56.22072900218322,E,-140.4328754717877,1
Non-binary,Married,Both,E,182.19654340465502,A,D,-47.486532966503745,6.981728445962066,68.61426026533091,C,E,185.19760868365617,58.5055974596441,A,B,D,-17.021488042005032,E,71.56364602744793,1
F,Widowed,None,C,60.33395127158032,D,C,23.340765651244755,-67.11668680987978,-103.51939886251351,B,E,-7.47897086601053,136.9179700289606,E,C,E,-18.867540382697115,B,-9.993420038477998,1
Female,Divorced,Both,C,44.42069323677183,E,A,74.85416886746054,5.217893898425815,74.24404665528415,D,A,93.921183299657,-123.2617838536759,E,B,B,-20.755231847896603,E,32.095097723804464,1
Other,Single,Yes,C,-64.59284609274091,A,C,-106.18242750068138,31.479525835223814,-140.5000331464767,A,C,12.862503630454638,-34.025657188388465,C,D,A,58.64395754856425,D,0.9097665425442075,1
Non-binary,Married,Yes,C,-165.22137295351152,A,A,11.61304359788972,129.97868717314682,-52.46566754754601,B,A,-31.0491538659407,-15.050418640847923,E,E,D,-19.076643616046596,A,-0.7474605799629991,1
Non-binary,Married,Yes,D,33.35010229228432,B,C,-69.03694433784281,-13.67489179605327,16.620653592343928,C,E,28.04404636789462,-223.73962943685166,A,A,B,-58.70257102745977,B,-78.74147279379469,1
M,Divorced,No,D,49.32050556360276,C,E,-51.84342191319119,8.218802722218179,266.2318273013739,C,A,-117.05742692625249,-93.38933814594435,A,D,C,152.07313570563548,D,-105.31032055016331,1
Non-binary,Divorced,No,C,-96.46690662447618,B,D,-170.00859712735385,105.80660153877142,-116.3411848548163,A,E,-12.696315213198323,103.89331776144988,D,E,E,211.55844794417126,C,54.458119204604685,0
Female,Divorced,Mental,E,-15.223772366533053,B,A,114.81983974750992,-83.89197344784482,-36.18787771553683,C,D,-47.150940864161036,-104.24677052202831,D,B,C,-225.11982006050474,E,7.197287677429795,0
M,Widowed,Yes,A,-73.82201517483293,B,A,-51.05276517475148,-7.888566153122454,-76.73310208509905,A,E,-102.94930344886812,-21.365111581962,C,B,B,70.54382173665395,A,10.418554167523435,1
Non-binary,Single,None,B,-53.98664869626305,E,A,33.86929452553479,-55.54805962265598,27.78824700872706,D,B,-21.473446603232897,80.82791483837887,A,A,B,-222.0133593326989,C,-126.65343072787051,0
F,Divorced,Both,B,154.2434170209506,C,B,-125.34317511483746,136.17121450065008,151.91412793393084,A,C,-88.77098424629011,146.47084883423807,B,E,D,205.96244496692523,C,85.26328964440225,0
M,Single,Mental,B,194.88435771805374,E,D,13.118800449677956,-80.91015346141407,0.43789042309661785,B,B,-38.18581314195655,125.40022898878227,E,E,B,138.12077499800185,E,77.26129146080972,0
Other,Single,No,C,22.18378308272082,A,B,26.261123773246553,-40.02622923503271,77.83751862639032,B,A,-215.16834921485798,-25.442676734352354,A,C,C,-65.70717629036915,C,68.65239642586327,0
Male,Single,No,C,64.31917302903214,C,C,-93.3141457305855,86.94215958282314,-84.75059555064507,A,B,-18.318289056806073,-76.32072624359958,D,C,E,235.97005152878526,E,92.60967217113514,1
M,Single,Mental,D,-139.16205028230618,D,B,31.644068683177796,12.754628901767653,6.370213764426287,B,B,56.900883428609504,-65.50126838675169,D,B,C,5.752343268558483,C,-41.553740465284136,0
Female,Divorced,None,B,-99.26166823958144,E,C,-209.22798087874722,-69.17652655984735,29.04357529541919,B,C,70.1737280582176,-11.384983422355655,D,A,B,-44.26149383638698,C,351.19891900225366,0
Other,Divorced,None,A,-26.20655465275429,E,A,13.113733531666194,-67.42810871344408,164.96268594012793,B,A,172.80822444466438,-90.54777895327834,E,A,D,-60.04254185875987,B,251.42713863415355,0
Female,Married,Yes,D,80.04503264149078,E,B,-70.28447676023002,-142.92489388879767,42.887468225092086,D,A,85.73518854114617,144.71700426745423,B,A,B,-153.7813283127187,B,-74.1072203757843,1
Other,Divorced,No,C,113.34854470316822,B,D,-168.72341646722998,82.60008988281213,15.459195796374377,D,A,3.228292859170545,39.68180626481321,E,D,D,-25.503072889786544,A,-29.436659036656355,1
Other,Divorced,Physical,D,-32.57422310603768,A,D,151.306479436652,86.0951200915363,120.34330120066974,B,D,-104.30085085966714,-118.82238630296793,B,B,D,-35.9541727978054,C,-180.56310230692483,1
Other,Married,Physical,B,131.3595674574397,A,E,27.061185910761786,3.299301596090512,167.29022687296947,B,E,-53.88216931554564,88.13994411305724,D,A,E,-120.83010228930786,A,-106.70830475903645,0
Non-binary,Single,Physical,D,-69.0989649913837,D,E,-24.07394519014468,112.66628270766866,71.77164956841511,D,C,-78.01579219268301,19.15380016637962,D,E,D,-95.42704536106073,A,-33.582637866351355,0
Non-binary,Married,None,A,-18.5285781141674,E,D,5.1920127654257655,-6.405272828083181,-72.49869945759554,A,B,-6.864430225581257,155.68325879238154,A,E,A,-77.19535006209331,D,-19.7316051207155,1
Male,Divorced,No,C,-216.3428221099557,E,E,113.55109035412454,-22.645304917411423,-49.2307932900783,D,C,-61.63017126108489,-5.625889942181955,A,A,D,-19.90037375265164,A,94.26233938449006,0
Non-binary,Widowed,Mental,A,-49.99402432613331,D,C,-49.3750833487507,-129.15757562160553,149.803047974687,A,B,-40.61196423751213,10.840198914696963,E,D,D,-102.32821384763342,C,-124.78435219869107,0
Female,Single,None,A,-138.91259214479484,E,E,35.74840440586053,153.4480111070878,-196.28558864100452,C,C,120.00789573037214,39.20939490966823,C,C,C,-80.20735711270467,E,84.5671655288552,0
Female,Divorced,None,B,22.594432359684628,C,B,72.04155535738835,-50.65412227377662,172.25268838885762,A,E,-87.27322977800867,-135.0141578234314,E,B,D,-0.4860008081099803,E,17.40952410450721,1
Male,Divorced,Both,E,-7.268629419388397,A,D,-118.95733341682508,-59.74707615956664,33.502488952159304,B,C,-130.12304495388028,193.26710201761045,C,D,A,-42.94938933968159,E,-12.831007118284077,1
M,Single,Physical,C,-173.8435473165193,E,B,39.53880010095286,-134.31150986731112,-154.3071728393699,C,D,70.24686739152223,-76.29657653804107,B,E,D,-36.062379563393336,D,-12.304412278943879,1
Female,Married,Mental,E,-137.10898377902618,C,B,-70.426288743536,28.899163133547194,16.307419427425057,E,E,-17.653110603995632,-70.39870966745926,D,D,B,40.032180887189796,D,-62.37038402494832,0
Male,Single,Mental,B,-151.3701708248646,E,B,8.262022369625107,38.232738913907454,-89.41146130811775,A,E,18.86588121976573,172.54133768003808,A,E,C,42.4417630029199,B,-1.596168205455013,1
M,Widowed,No,C,-76.97418918252885,D,A,99.05172598197734,-131.84877127185902,30.34690826205648,B,E,89.02652482963612,-210.41658232744163,A,D,D,-110.18013933642379,B,-43.76341341548086,0
M,Single,Both,C,-34.133153360435806,B,C,10.424294474383755,-2.445122298488417,41.43990921576778,C,C,-34.17659145886939,-90.01337882522942,B,E,A,13.49179117603071,A,-107.14723989271829,0
Male,Divorced,Physical,D,115.95558441302049,E,A,-29.87773138552444,6.925037443690145,-0.9698028409650821,A,E,-42.659444025144,91.76276535979824,E,D,A,12.110609812988558,C,41.032016623366204,0
Male,Divorced,Physical,D,-115.82841034265495,B,D,-59.17187108677433,31.185182814496702,-9.309834129386624,D,A,-102.49283515586885,-52.17931251571505,D,E,B,61.38485101254456,A,-377.76022878267514,0
M,Divorced,Both,D,-46.55418738261665,D,D,-216.93103584448926,167.04445967420037,55.048222304178964,E,A,-63.052028596670986,-50.98836568478894,E,C,B,150.34959514260368,D,-134.21050397017459,0
Other,Single,Mental,C,127.1683951531259,A,C,9.564638502703234,40.751007684285376,-59.80486941409152,E,E,31.99120830642432,-28.22696459324352,C,E,C,68.7610690504202,E,87.34002003883272,0
Non-binary,Divorced,Both,E,-96.72403615240816,A,E,87.09005217912038,225.53450927365412,70.37488372374274,B,B,-154.91857970289078,-90.74486189438458,A,E,E,-112.6662857965081,D,-55.76381074170259,1
F,Single,Physical,D,81.32994035120484,B,A,-0.8365584281291933,15.213736244116932,-107.39451922230214,E,A,87.66757441763717,131.1531741645176,C,E,C,209.03617417068742,B,225.36930690650468,1
Other,Married,Physical,A,-35.34750400375285,A,B,-38.904352772261895,-172.76689429190571,-107.84599103651948,C,C,54.09863450447905,-67.9553014162569,B,E,E,-161.7900858227291,B,-158.81814302586926,1
Other,Married,No,A,56.329367776419794,E,A,0.31838063098312264,188.05392836675418,-32.766914638725495,A,B,-57.84860043748223,-0.6143366950595568,C,B,D,-83.6524377470934,A,118.62915111535884,0
Other,Widowed,Both,D,91.17582508476188,C,B,-100.58208797845982,-129.4710451863361,-182.14998853755375,C,A,72.84175114913288,-39.279420382785126,A,A,A,69.69525797125823,E,156.629461066766,0
Female,Married,Yes,B,57.42062823753991,E,A,-76.16889340511463,189.36816789592868,30.50199648857309,A,A,-20.40680789542733,-16.901038683145494,A,C,B,-10.45950930862895,C,75.7285399700265,1
Non-binary,Divorced,No,E,-17.614375857663646,A,E,58.755202863098056,-203.1204799259178,-159.1693825248445,B,A,199.45451455707976,70.54756587557517,A,A,E,38.33732853329241,D,0.8047269738863324,0
F,Widowed,Mental,E,110.15761164173841,E,E,-151.2823226415745,98.79234963974693,-37.7010047750769,C,B,4.643438699646929,75.64787751785099,E,B,A,157.88219381891756,D,16.988426839062434,1
Other,Single,Yes,E,90.04353573977818,A,C,80.30529509895081,108.44335997354393,323.907698782873,A,D,-8.323577456587563,39.032400625288965,E,D,C,-76.99185531874738,A,57.50265834618293,0
Male,Single,No,A,-99.91252285412162,C,A,-90.06068897025321,126.54006315714209,-223.90802799832906,C,B,120.49525947788014,126.54028887471817,B,A,B,189.95322203431658,B,-15.965782804548484,1
Other,Widowed,Both,C,-22.98365760757271,D,E,-0.27549295306461125,-138.81295378408,-87.4254930182248,C,C,-34.50010675645603,12.246595378241508,B,B,C,56.476007856871036,C,127.15995007845646,0
Other,Single,Physical,C,-32.382375930885885,B,D,65.71541989638037,37.25097848694406,74.15087592649242,B,A,62.24502389939529,-19.63083761157451,E,A,B,-171.46989251910892,D,53.55158405470819,1
Female,Divorced,Yes,D,-10.123271380005484,A,A,40.33980483979385,-225.7553405215471,36.178517416530994,B,E,20.654478502230806,-30.137035323377066,A,C,E,-10.171431016417287,D,0.12155841327705698,0
M,Widowed,None,C,-14.7711296299458,E,E,-0.852076049523112,9.79308723357269,-125.0820078385031,A,B,113.79246303750247,-58.35340687257799,E,D,D,12.461529690148522,A,130.42411777893835,1
F,Married,No,A,150.77931845961237,E,B,-33.377256202163494,-5.656415978065709,13.52121013393577,D,B,-107.9048791018423,191.4669513508943,E,A,C,80.37988616329768,C,70.70070312795119,0
Male,Single,Both,B,9.557544845254085,A,E,-97.33355236230636,79.58487028702251,71.47080780600949,A,C,-101.71973726721836,29.054355716143487,A,B,C,-19.955379444254508,C,23.13167031798326,0
Other,Widowed,None,C,-88.52241868418962,E,C,-32.99886223560776,5.144555170946034,9.61379171021299,B,B,62.39330921543511,-116.5735685678546,B,C,D,-130.782239135518,C,97.86247628062014,0
Non-binary,Divorced,No,C,-110.5580794358595,B,A,-24.06258360655573,-102.1791043064839,-3.890140935412359,C,A,-179.44998802025026,-43.57153511605996,E,A,C,102.05898447028581,E,-29.91792889489137,0
Non-binary,Single,Physical,E,70.01447290220617,D,B,8.86475563487574,119.82023098854326,80.80582304096689,A,C,-99.12518055982522,-80.46343262258759,B,A,C,-23.672123750093675,C,-67.22522449113632,1
Male,Single,Mental,D,-38.17721059138446,B,D,-80.38386939017332,-87.7042151646762,-58.40033961044403,C,D,136.69372587205908,85.44877992953694,E,D,C,-59.39257506872608,C,22.702058654991074,1
Male,Single,Both,A,-15.152589732077354,C,E,26.412524968706858,-76.4441821169967,86.86641984215959,C,C,55.52982381547748,74.40637671305831,E,B,B,108.55628121518201,D,-95.39080006194877,0
M,Divorced,Mental,C,-59.042400227073024,D,E,153.78384489658475,-94.11472261275716,-4.295979599098507,A,C,-50.32827594115737,129.43660447340056,B,E,D,-110.8601148774665,A,-281.5146333493561,1
Male,Divorced,None,D,56.98900512039686,A,E,-335.2362067253306,-37.23262356472607,56.82383719165899,C,A,9.49515973714634,-129.33297555144856,C,C,E,85.95714742796223,D,-69.93255359686317,0
F,Single,No,E,-19.21636628420752,C,C,18.17040567078198,-90.92917974714054,8.793827422548366,B,C,-77.23566193805367,-17.865364367560264,C,A,A,-4.59420328228499,D,0.0188338185947768,1
Male,Married,Physical,A,59.82070933886554,D,C,28.552533755255094,123.89354099328929,42.781712427639526,B,C,84.62272507706743,-20.47596090477436,E,A,B,111.7965680512788,E,-114.9052627083053,1
Non-binary,Divorced,Mental,C,-172.69848822401457,B,A,217.91403832299915,124.11716967330939,22.34660845285366,A,A,-213.4606300396639,-14.628897649669595,C,D,C,190.893718037143,A,24.311816440479866,1
M,Married,No,B,-3.342371895559876,D,A,149.86696585452813,12.998742314442868,-39.021079487179684,A,C,2.8126555454026594,-120.8810041506798,E,B,C,-20.380159397248214,E,90.31317460178306,0
Male,Divorced,Both,D,11.481441785740728,D,A,3.4888866893612045,64.94685790424377,74.59539338434598,B,E,-73.65306111385298,-46.20084809761279,D,B,B,-171.7338321362674,A,-16.49937756224441,0
Other,Widowed,None,D,-44.801963581334974,E,C,27.780114516679244,29.75922770941223,73.00920236236718,D,C,-80.91599173795814,90.50731870291753,A,E,B,-2.1428366072574363,C,73.6730390216653,0
Other,Divorced,Mental,B,263.2381210664594,C,D,140.237144247117,-40.692737893801116,-18.741733237275326,E,B,95.1290984504133,-44.71922586348317,E,D,E,-244.96612288804934,D,-180.7167123906799,1
F,Married,Mental,A,-46.89412035473895,C,C,101.18488066675573,31.703969016713522,135.91978940030043,C,B,-72.99716337862876,30.39567924803459,A,D,D,-30.345479830368877,B,-10.276467901421684,1
Other,Divorced,Mental,B,-20.560047337136737,A,A,120.72221222959413,-21.33216353159597,-78.23306607134121,A,C,73.31025149327569,-22.790243280396012,C,A,A,-59.17825868644777,A,5.22304191295546,1
F,Widowed,Yes,D,-182.77486978148755,B,E,-109.38256094771172,59.24221407967099,76.81837534978612,A,D,-183.41146424638285,48.26063188618585,A,C,C,-151.4868154620003,B,-32.45194121450088,1
Other,Married,Mental,C,-119.75630652159369,D,E,57.1801917628023,83.51010433934579,37.38098274899455,C,D,109.08564386655937,2.7849491936424964,D,C,D,-92.35354192384821,D,-89.63086324744303,1
Male,Divorced,None,E,197.7679483311213,A,B,25.164258091964964,30.549493784051833,-102.60160073629872,B,E,46.67349562650323,-27.784916331382703,D,B,E,55.14577325958954,C,-4.20391194342474,1
Non-binary,Widowed,Yes,C,-88.48191986080724,C,E,123.92845125579632,57.51935777435931,-93.4356776290155,C,C,23.39741959891992,-44.11253758454321,B,B,E,-46.29937797580752,D,83.67368529697487,0
Other,Single,Both,A,-209.08481302506138,A,D,-40.928848704279396,-125.5542047254439,295.17371974496496,B,B,92.79981562385147,81.49126779733893,A,E,E,164.7904976982199,E,40.02374292619489,1
Other,Single,None,E,-19.69231539940779,A,A,-193.07232914275195,27.278578652203905,172.75142306645682,E,D,87.43419164088819,-39.344094331263136,A,B,B,-105.47943792177196,D,86.29696033386736,0
Male,Single,No,C,-133.26394641651166,C,E,-95.67984537395931,44.036527363266174,-13.51623631122109,C,A,46.41443148678194,196.35386002996114,A,A,A,4.556465615776401,B,-93.77844858469804,1
M,Married,Mental,E,-99.37463597738358,E,C,-117.01510040063295,110.74140831770794,-103.25668255240107,E,B,-49.62864386820041,-81.81832193612208,D,D,A,87.99331690824303,E,40.98396689205771,1
Female,Divorced,Both,B,-157.84825765524982,B,D,168.93422145045344,108.83375307751638,-154.14781031728967,D,B,-27.170019098064703,57.45993473099726,B,B,E,-28.61810744049926,C,161.24787527800297,1
Non-binary,Widowed,None,E,72.98058354215415,E,C,-24.5384345514276,-25.518615989300397,53.04912658890566,C,E,-117.00437330765227,-71.14003839895965,A,B,B,90.24205271360837,D,27.592316426917268,0
Other,Single,None,D,69.49160390085923,A,D,-56.331772972880024,1.221386904087377,-37.68263683855439,E,A,58.28233202286089,212.6310236053388,E,B,D,74.13973607768281,D,147.53321571174246,0
Male,Divorced,Physical,B,-92.13398652370716,D,D,-86.96084964587978,139.51196295581002,-194.23185714043422,B,E,-114.0835277518288,39.24408810200556,A,B,E,13.230711195566982,A,116.23432134230545,1
Other,Divorced,Physical,D,60.45563363856517,C,D,56.94672087091814,-64.30416927212335,120.90724519230636,A,E,68.20641300011438,88.01761898673686,A,C,E,85.5707643394856,B,106.7768899828366,0
Male,Single,Physical,D,107.05200875759371,E,C,-25.521323782832244,-102.51999402472936,-44.640410767636105,D,A,13.875335603503272,-15.378585514087831,E,E,B,-76.47484859974286,A,50.20388749209419,1
Female,Divorced,Both,A,25.659766470778422,A,B,171.8521174291801,-138.7146887343513,-19.983434332059062,B,D,-151.95459325524573,-89.47939910390394,E,E,A,-22.34623719823718,C,1.7212492416211957,1
Non-binary,Single,Yes,A,32.58951273755758,A,C,174.246586917301,106.06744937885655,17.40206207469668,E,D,128.03786452401917,-173.82848269977478,E,B,C,-160.12480842019266,D,-75.87822413097007,1
M,Widowed,None,A,-231.83872629272417,C,A,156.8568765705519,112.18840695599323,-159.5085392560754,A,B,-3.8411486149296072,-339.53597618717316,C,D,A,62.416527279622905,C,-108.82116848160163,1
Male,Widowed,Both,B,-3.6928826973230735,D,B,-8.984897119312242,-28.21612414363721,-22.35955990202682,B,E,52.96621175473032,0.5583942326724041,E,C,A,121.31671581701107,A,117.48091791673505,1
Female,Married,Physical,E,-76.56115059730932,D,A,-97.06867178465022,-49.19828615252387,115.30095221920797,A,C,-85.95928722315163,123.7571929229395,C,C,C,-297.4712032622617,C,-112.82170676237568,0
Female,Widowed,Physical,E,111.93429941148013,C,C,-116.9085431924638,159.75815520873095,80.7587334524009,B,C,106.63394469795551,49.441754194277706,C,D,D,7.698175449486652,A,109.59029113038609,1
Other,Married,Physical,D,-135.53371331040597,A,B,140.29161014373045,88.2078306277929,-134.7516470538971,A,A,-64.86850937194212,-158.29581105469873,C,A,B,52.12005037047936,C,65.34499200544877,0
Male,Single,No,C,21.885088370972934,E,A,-21.05680212353476,-67.80968914010597,91.55863702269515,D,E,28.878383599378747,-97.39434651643539,A,D,E,45.72932402923178,C,-92.58838045660615,1
Other,Single,No,D,-66.61644170794322,A,C,17.69315269316232,174.35275501528653,-69.11003709728807,B,B,56.1230089121055,-96.40111589527123,E,E,C,170.54552054112716,D,-123.4942812664243,0
F,Widowed,No,D,-57.32693113541679,A,D,17.88955853588076,-72.12978632414865,129.5319297817357,A,C,79.04208515371708,-53.635857722666344,E,A,D,-116.22567901744951,E,217.58093327856875,1
Non-binary,Single,None,B,-82.75717969521467,A,A,10.825914422942066,138.96893093215823,-159.1210117366467,A,D,66.85796485790284,9.068998393864918,C,C,C,-54.48694642416563,C,108.90026961206571,0
Other,Widowed,Yes,D,-81.08535676151489,E,E,-143.16666133268657,114.27922622033357,37.349059039224784,C,D,71.37352160622619,-2.068604694891675,D,D,C,2.1442695757547927,B,69.58515474499814,0
Other,Single,None,D,104.05429210866647,D,D,-178.8857813885214,-14.591377232565122,136.54016250745224,D,C,-222.19761192853974,-166.4541068337002,E,C,C,-140.62638475400965,E,33.846523526588754,1
Male,Married,Physical,B,157.86576799244565,D,B,-73.86540535152358,21.401054568678713,131.0964555593513,E,E,-175.21427668122195,-146.53220034037457,A,E,A,141.57321528020455,D,130.0137453701835,0
M,Married,Yes,B,82.90498634893986,B,A,17.915198514456208,332.04123819233786,24.495542786753393,C,A,55.794619804698385,-102.2945531190703,E,B,D,188.09760411305322,A,133.9372093115787,0
Male,Widowed,No,E,116.44110512215435,D,E,0.35131197865545377,123.21719175077051,-18.269208867655607,B,C,-4.353900530973373,76.80998268900872,D,D,B,38.84231084819713,B,-149.4431759599934,1
Other,Single,Mental,D,121.3031727546966,C,C,-128.00769578080002,101.56646353607609,-80.19324500743356,A,B,-84.37716772181662,8.24525419992387,E,A,D,-79.03497705326511,B,-78.25585134848795,1
F,Married,Yes,D,94.42477055462908,B,D,-73.61358980011109,75.26324582033736,-53.68254281296375,C,A,42.37574446847486,-106.3781444980271,B,A,C,27.457726448606557,D,-13.831719806811366,0
Female,Married,No,E,-83.39359473022137,D,A,-27.603735064168834,24.654700993140526,71.33248289046698,B,C,-72.5511153313119,175.55352596180853,D,C,A,41.07566841250123,A,-78.05992416435157,1
