faith,handicap,Nationality,genero,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Jewish,Yes,Germany,M,E,C,-105.17395678093831,D,B,-13.678921397476651,58.89438828259033,A,E,202.5124539133544,B,-102.78088732479588,D,136.0756239228167,36.68058965766405,D,E,0
Hindu,None,Mexico,Non-binary,B,B,-17.869244202285593,A,A,65.55410099433264,75.00830494442032,B,C,-13.080063768216382,B,42.74756671558863,E,-32.31209914444936,-69.37885877386539,C,A,0
Other,Both,Mexico,Non-binary,B,C,147.6042151094089,C,A,-78.42437273767118,-19.048070168778633,D,D,-27.735969895008505,D,93.5795573101887,C,98.33689776283762,-39.850279219329956,C,D,0
Muslim,Both,Mexico,F,A,D,130.64763688310993,D,E,166.27108260842843,-126.90879567698113,C,B,-86.04530052650958,A,86.46705338378644,B,101.87972424779225,-4.955745565178601,A,C,1
None,Both,China,Male,C,A,173.57407243938815,B,E,-57.415012003342994,94.81902510996046,B,C,-29.53047320992149,B,20.03186772636461,E,-42.41830841029016,-176.81373058562377,D,C,0
Other,Mental,China,Female,B,D,41.805855242288274,A,A,19.73876598502725,-70.69032531137259,C,C,182.9037534926204,D,52.80491512878136,D,-40.14803780879492,108.92646985415055,C,A,0
Muslim,Mental,China,M,E,B,24.69423200185701,D,A,-66.18071931599472,-65.25703194188247,B,E,107.01852262558158,B,-18.31416694468742,C,65.31843301770111,-13.057473491090466,D,E,0
Muslim,Mental,Brazil,Other,E,B,45.27500996426711,E,A,98.25812458497415,133.86672231211907,D,B,179.2125683135744,A,-153.79452374271924,A,-10.800941843065779,-177.53845775708956,A,E,0
Jewish,Physical,Brazil,Female,A,D,134.22291187342785,B,C,-135.70914669197535,65.4796295411634,C,E,-55.27432742006968,C,-26.210062007506597,E,93.8556679578477,25.05055195565811,D,E,1
Muslim,Physical,Other,Female,E,E,6.734872989446935,E,B,-17.25025393758296,-85.4146605689777,A,C,14.717496890141874,D,25.885731332835814,D,168.06889359290747,70.12775783489317,A,E,1
Christian,Both,US,F,C,E,-17.241955339035382,B,C,17.186670503622647,-155.99789059593655,B,C,-162.29884185700234,B,-2.4985222940605754,C,112.34275272128413,83.27353150791441,A,B,1
Muslim,Physical,Mexico,Other,B,B,229.56628018251078,E,D,101.53011741954201,-37.7346401391433,D,C,55.50779281750779,B,-42.55776679027915,C,54.68945576705703,-220.14096097484722,A,E,1
Buddhist,Physical,India,Other,B,D,-79.52643428406563,B,A,-8.942877720674337,-73.89622668875462,B,B,198.94737525254575,A,204.6734778342185,E,38.28173509117084,-168.4971935547126,A,B,1
None,Mental,China,Female,B,C,-47.96003505946752,B,E,-82.28707060022373,-146.52013202810647,A,D,4.010320248045551,B,-133.1281231126963,C,-19.822153516191623,23.1304635787414,D,C,0
Christian,Yes,Other,M,D,A,37.41867463801377,A,E,89.97346042056307,6.896795276097041,B,B,129.52845928041597,A,54.310271680490004,A,52.038571251469214,72.35517355926581,E,A,0
Hindu,Mental,Brazil,Other,A,C,-31.82804435753141,B,B,201.7322789792306,18.564780029638072,E,B,-83.62626133849476,B,66.72706882202121,A,42.849584507124796,26.824150165911874,A,C,1
Other,Physical,Mexico,Non-binary,A,B,101.01973903958846,A,C,-43.49247862810934,40.91060964783137,E,A,-23.75014324029043,C,62.960412513991,B,130.5722146675832,8.274821597979917,C,E,0
None,No,Other,M,A,A,-104.75564465735306,B,D,-102.67878849707242,168.91071205490766,E,B,-157.1327844302767,A,-89.96771648657838,D,110.3468033300486,-23.629299348158845,C,B,0
Buddhist,Both,Mexico,Male,D,A,34.79221345743101,C,B,2.3089347116797168,36.57616685266859,E,A,28.000787174924806,E,235.2100216260674,E,84.36360733897465,-77.9585982873236,C,E,1
Jewish,Yes,China,Female,D,B,-125.83538001059244,A,C,76.78027122892689,-167.17451467227923,B,B,49.730836360847405,D,-6.974338728470325,A,-95.64102026238069,134.84647976176208,D,B,0
None,Physical,China,Non-binary,B,D,37.972913732998656,A,D,-30.45510543264043,98.44876598909708,E,E,-14.950996474369315,E,-91.72733572537575,A,-127.65593445792899,-26.673379915486056,E,E,0
None,No,Germany,Other,D,A,-36.27351943940511,E,E,139.81561657802789,43.95524122074184,E,C,88.81210043533916,B,-179.16390040031624,E,-101.33222926471204,25.256781664765903,A,D,1
Hindu,None,India,Non-binary,C,E,9.270702052273359,E,E,-27.535227219388275,55.21914572278755,B,D,-7.289241043989085,B,-218.03543737188838,C,-44.29167045331082,52.65113831260337,E,D,0
Buddhist,Mental,China,F,C,D,92.52239235543131,B,A,72.26587863953527,-61.70824392239081,B,D,-189.39067330590672,E,92.81105647951645,C,-86.47033501209222,-2.777454654111305,B,E,0
Other,Both,India,Female,A,C,-110.81282759654016,B,A,-84.53151461827466,99.85948749462173,D,D,45.129919951681266,B,128.60365749571648,C,54.96723566531868,-185.73769842971018,D,D,1
Christian,Yes,Other,Male,E,E,-91.03706221869639,D,A,33.42641131679436,-76.43258081092401,E,B,134.20830881004426,D,61.29666893308605,A,-40.123639036198,133.76983386406363,B,C,1
Jewish,None,India,Other,D,C,-58.048422231548955,B,C,-73.6075511378256,4.674642628758602,E,E,53.36611861998301,A,-3.7663012024843114,A,-13.905238931246004,192.60263513547025,D,D,1
Hindu,Physical,Germany,Female,B,E,174.93408954435324,B,C,-102.63588521894525,0.31833688647704406,E,B,51.47771547136474,C,-131.25276067493112,E,-141.60734525704189,12.031033527148672,D,B,0
Jewish,Physical,US,Non-binary,C,E,46.085838167560624,C,B,95.81051358321187,-78.74631971888283,A,A,-38.32051669026831,D,34.77258040213908,C,-126.24322485590567,51.912779455360166,E,A,0
Christian,Yes,US,F,A,D,190.21824673154146,A,C,-90.08655882332202,-49.11555664388906,E,B,64.94119619614835,B,91.62080553598989,B,-68.81428319048896,91.97884440223947,E,A,0
Buddhist,Physical,India,M,B,C,48.45135565292201,C,D,-49.43033457502193,78.78537030032275,A,B,61.97538390309628,A,163.3306094779482,E,-61.34717230092227,-50.86873998928376,A,A,0
Muslim,No,China,M,C,D,54.03296178973485,B,B,39.97192268084489,-2.862669247030083,B,C,51.78811818662182,C,12.511601430759509,B,-23.697275932339757,-80.19222996704515,B,B,0
Christian,None,US,Non-binary,B,A,38.79876184915777,E,D,82.54962641821392,-73.6271383776262,B,E,19.107472112153093,D,29.92785108477142,B,29.483291113777536,57.22014167167272,C,A,1
Hindu,Physical,UK,Male,C,D,-104.72574641605885,D,B,-31.72021364446825,-90.69887173632098,D,E,19.203013073973594,E,58.5351987765747,D,37.14224730359413,66.60791929470098,D,D,1
None,Physical,China,F,B,B,121.15943248015519,B,C,62.8473594418998,-110.66481333049202,A,B,-144.28074237757264,A,109.24314465028677,C,112.74663705144886,124.75480763791822,C,E,0
Hindu,No,India,Male,C,B,-8.00413626110969,A,B,15.734108238178937,-36.922175685004305,C,D,-35.31495560507417,C,17.1208410505752,D,31.22355650402896,192.869674951975,E,C,1
Christian,Physical,India,Female,C,E,-53.39081060254699,E,E,150.75843442688642,58.535427337972656,D,A,175.17178484344095,C,-96.0538027565761,E,-130.54238541758767,64.17460333956514,C,B,0
Christian,Mental,US,Female,A,C,-7.355850334301424,B,D,95.75788276156575,-23.688036290255383,D,C,1.525859970071043,E,72.35186385830147,E,83.57480128673863,-63.76537226364074,B,C,0
Buddhist,Mental,UK,Female,C,B,-15.94759825119726,C,B,10.644782452423946,-94.57663746276002,A,C,-84.30878650716981,D,-3.5909809678560665,D,9.942794056036746,233.43178099864556,D,B,1
Jewish,Mental,Germany,Male,D,C,-72.14111415464328,C,A,-34.78964113023914,-96.88658400171936,B,A,-25.068575474125858,A,17.2379463481327,C,-21.71998412604812,-88.93043643227064,A,D,1
Muslim,None,Mexico,Female,D,E,-72.15148927898743,C,E,-63.77363457955819,61.88816653336969,A,D,-104.31493424308724,C,-122.00233196475672,E,-46.91445770626509,120.58565820081273,A,D,1
Other,No,US,Other,D,E,11.75834033195655,E,B,-79.05727059932921,142.3872138808843,A,A,43.82932587710701,C,-45.822126847074706,A,46.978957273162834,-135.88767140217638,B,D,1
Buddhist,Mental,US,Non-binary,D,D,31.248746522891217,C,D,9.366877351785876,-68.04745223765596,D,C,113.44843268553562,B,-12.373785576678788,D,-103.53478105393907,-68.24986278250627,B,D,1
Jewish,Yes,Germany,Male,C,B,-98.25439609568281,A,D,46.70267127990335,27.6445856869675,B,C,-85.42704880756457,A,105.88223132509236,E,-55.89975980011413,54.35589072230758,D,D,1
Hindu,Mental,Mexico,M,A,D,101.64772980168506,A,E,19.276958516619892,27.98803544012448,D,D,151.92346367586833,E,51.42409045715388,B,-63.14604740381655,-170.91236779819212,C,E,0
Muslim,Both,Germany,Other,D,A,-180.49650824457012,C,C,59.900581880514906,-4.225422663616997,E,C,149.82347934466168,E,9.861847424769575,A,228.6132460913622,41.908146517887936,B,B,0
Jewish,Yes,Other,Male,D,A,171.9567341193313,E,C,51.13841325003429,91.10482851930412,A,C,-83.60399566881466,D,188.62454803728482,B,84.1744854317743,-53.02737268390997,D,B,1
Muslim,Physical,Other,Male,B,D,112.10496704522737,A,E,-191.27207725881195,70.41095445379706,E,A,-69.0591812585392,B,-109.18848861967744,E,74.17033764354953,230.0400482398664,E,A,1
None,No,India,Other,D,D,-18.120367210050244,A,D,-11.288887915602555,123.88175960082965,D,E,-185.1355695371614,E,179.08309143937166,A,-95.15551103937425,-59.00610901368572,A,C,0
Jewish,Mental,Other,M,C,A,131.80814989462527,E,A,56.20106817417404,-6.957268930920782,C,A,-71.76725730820903,C,-22.94296975259092,E,189.79000232793095,86.56426746087375,D,B,1
Jewish,Yes,US,Male,A,E,25.48237373843375,D,E,-139.68945305846904,-71.3988066897143,A,E,-155.50844719099769,D,-22.230594106401572,E,-84.85146924249403,-169.83480351022413,D,D,0
Jewish,No,UK,Non-binary,C,B,3.3886195770960907,C,A,-58.05449500384668,-44.330691612556706,C,C,35.353076817638026,B,300.06937116220996,A,197.871839178109,-94.43666209870038,D,D,0
Jewish,Mental,Other,Male,A,A,-121.2924955718246,D,E,-94.00218804881672,-84.76029552936772,D,A,-227.53274850164385,C,-3.73252851539951,A,-47.434501091491114,8.459854726463211,C,C,0
Other,No,Germany,Male,C,D,-122.65816757034771,E,B,60.38379721671993,100.16599266178059,D,D,43.199407007447476,C,170.22836535161872,C,13.690435951511008,68.73543323321061,B,C,0
Jewish,Mental,Mexico,Non-binary,A,A,-31.543431445397417,E,D,93.03742161920697,-176.2667347038896,C,A,-30.25300329270213,D,-40.740580798081446,D,34.82869974054486,41.65637251543641,D,D,0
Jewish,Physical,Other,Non-binary,D,E,-164.65437063470605,B,C,163.58858591489798,-118.80086070069625,E,D,-50.74925468267766,A,11.548150314660315,A,64.7342819401181,18.991858436213384,D,C,0
Muslim,Both,US,Male,B,B,182.59065265423112,C,A,71.6124648270458,-154.43468879124302,C,C,45.57685033068121,D,-84.43208073202726,E,38.203431141436496,-35.04050757941448,B,D,1
Buddhist,Mental,China,Non-binary,E,A,-31.8880970693022,C,D,-22.870186818073087,-64.41982049226816,D,A,-68.48619216977265,C,-33.05038906206902,B,112.89511359626061,21.415048557681224,B,C,1
Hindu,Mental,China,Female,A,A,15.749047837552125,A,B,27.89694770692865,-91.58741507965968,C,B,-77.8049339565529,D,-57.89522163559212,D,-53.98284259345808,71.30725437425882,B,B,0
Jewish,Physical,Mexico,F,D,B,-23.562086725364242,A,A,-6.145172387844897,46.48740415465865,D,E,75.69224183224826,A,-36.322011726169,C,-8.450446237842371,19.288930236533503,B,D,1
Hindu,None,Mexico,Non-binary,E,B,11.361178535329914,C,A,109.9242686854151,-46.79442888430126,D,E,189.3667090843861,A,65.66755895965522,C,-23.110460682053834,69.68271607417303,B,C,0
Christian,Mental,Brazil,Female,E,B,-57.82589452925616,C,B,-86.03302682365474,-20.14543262286593,A,D,-122.8236368782897,C,-1.6238104297041311,D,-143.39711977296238,-339.59560857982495,A,E,1
Jewish,Both,Brazil,M,E,A,-92.12372809822885,B,E,131.93188126527448,-75.62932365248739,B,B,65.45103151428916,D,32.82632481962614,B,53.22764099715,-40.06327249810949,C,A,1
Buddhist,Physical,Mexico,Female,C,C,-8.914627513427787,E,D,22.96208029856615,-40.290812822208636,B,D,-184.95370478889254,C,-114.51598308066897,E,26.036243536387815,36.418519245423,E,B,1
Muslim,Yes,Mexico,F,C,C,-27.856377094456896,E,D,-20.449554177250096,-5.391645894761458,B,B,80.0852346577069,E,-19.746582843555682,A,26.883210227852672,-106.8713510402624,A,E,0
Muslim,Both,Brazil,Female,C,B,105.31822743911825,D,B,22.39156647334763,-23.43241910798198,D,D,-80.5899807379454,C,-175.50094617208373,E,-6.523340948734066,21.761692421298726,A,E,1
Other,None,UK,Non-binary,A,C,141.36355029106363,B,E,-118.24951168046402,53.26354580139753,A,C,-50.16206001965055,C,-91.29806670756504,D,12.096841182554309,-60.720541010481476,C,A,1
Muslim,Both,Mexico,Male,E,D,149.13802162490143,B,B,-55.701693051715196,72.14369684309438,A,A,79.73319917697795,B,133.92634927659446,D,102.09010122208868,85.57504386945524,B,B,1
None,No,UK,Male,E,B,179.4769350047529,C,B,81.80503444367136,-3.1409870144459813,B,B,126.1069429146545,B,-26.701083975045837,E,11.489105896662046,-50.15340847715055,E,C,1
None,Both,UK,Male,D,D,133.6966112406486,A,A,114.41878499772338,129.10194446663843,C,A,-82.70533092162806,C,14.33998038668304,A,-165.36969279765955,44.00339600642889,E,B,1
None,None,Brazil,Non-binary,E,C,201.6938803065706,E,E,-11.850232157352405,-63.0088482268944,C,C,132.70683697625054,D,-77.49275621887067,D,131.1173201660357,54.397761441392674,D,B,0
None,Both,Brazil,Other,A,A,195.67088774414773,C,C,-43.636617792889524,-14.328669466984342,A,B,-15.92568027250155,D,-12.913233369042413,B,130.42093602182655,137.18047617557215,D,B,1
None,Both,UK,F,E,C,-12.057702938695183,A,A,330.00855915267863,23.76314175150023,D,A,155.28392644278995,E,45.46338168998181,D,28.577738173128136,-65.74103003463199,E,E,0
Muslim,Physical,Germany,F,A,A,44.69764753739891,E,E,18.840104419833313,-147.59873098228232,E,E,-122.34044188704252,C,63.12350643422203,C,31.62379172674284,-26.492043862939298,B,E,1
Hindu,None,UK,M,D,A,-74.36121718590941,E,A,-22.322509970930955,-234.24439525672983,A,B,-72.1415572518134,E,-182.82790476926746,D,40.209066307168854,80.84870503813683,B,C,1
Muslim,No,Mexico,Male,B,C,-74.98836053409708,D,B,-31.972632424434355,-48.13005039825636,C,C,82.95857786900828,A,52.55251460392058,B,94.97069899795045,-62.8314812451892,B,C,0
Muslim,No,Other,Female,A,E,121.21312059682379,B,A,82.20489181006032,-211.77943235623425,D,B,-105.36687685342707,B,-207.5403693538095,C,-17.78254606503833,-20.19970100683583,D,E,1
Jewish,Yes,Brazil,M,C,B,58.675149457765905,A,E,-120.90884354551983,94.35878892501957,C,B,-46.9816575273537,A,204.0896619213432,E,66.38929978898138,95.95833035134756,C,C,1
Other,None,India,Non-binary,A,B,-1.7372408918317304,C,E,96.55081140607766,-205.11544268569887,A,C,-65.6166104376453,E,-94.21471108233533,C,72.90629305135216,122.26379096520962,C,E,1
Hindu,None,China,Non-binary,C,D,-146.20937017289788,D,E,44.234382099817836,-120.1258313080498,C,D,-32.57108069897617,D,-31.212081655625955,D,29.64969033847278,-92.7897204843116,E,D,0
Christian,Physical,UK,M,A,C,-5.804081770586031,B,C,52.82812436257564,126.71707454393089,A,C,-26.402495891391208,E,-57.589900914281756,B,55.84164274698379,-89.25612293634444,E,E,1
Buddhist,No,Germany,Female,B,D,-153.29558249501,B,B,-112.36102460336954,-42.578607967780314,A,B,41.73757729378708,E,-4.108698843054181,E,4.393378976510604,119.2776431961462,E,C,0
Buddhist,Both,Other,Male,B,C,-170.54602481939614,B,C,8.443922728940553,34.28951888378586,D,C,-150.93559446150317,E,13.734064001773474,A,97.09168798968179,100.59497621267879,E,E,0
Other,Both,Other,Non-binary,B,D,44.68547049157392,C,C,-193.4960634798997,-25.03818819790592,E,E,-199.2591846484549,A,-75.00688754813527,B,-68.50816377069981,-65.19312778760926,B,D,0
None,No,UK,Female,B,C,-63.724259603900805,B,B,-46.50828203046925,-136.5608948412456,A,C,-109.41215429197581,D,146.28611228223696,E,163.34203224527752,63.24921531496015,E,C,0
Christian,Both,Other,Female,E,D,-75.67099050986535,C,C,131.9054874990615,-155.20821036010233,B,B,71.62863640352325,A,-56.93251530603175,C,225.39625858266996,71.64497354712913,E,A,0
Buddhist,No,Other,F,D,D,100.37450313570872,C,B,-13.418979443758811,51.56604065778784,B,E,97.97432059138909,A,19.877786537690913,B,144.4319367462859,-83.78901325788924,C,D,0
Jewish,Both,Germany,F,E,E,174.4531216976082,C,B,137.77978509097596,29.563887170120818,C,A,123.38494688006914,A,-74.5569258984989,B,116.27118572631687,-74.06388940768836,A,E,1
Muslim,Yes,Other,M,E,D,74.76202559649249,E,A,88.15749131196087,157.31006131057532,B,E,89.66539344996562,D,-155.84821990061673,E,146.1698206442638,60.47184503288708,E,E,0
Jewish,Both,Brazil,Female,C,A,-20.594131057835178,A,E,-32.65686826795066,-193.37027522740186,A,D,165.61655277240928,B,30.61658596317585,D,36.529642914409095,-71.64687292801541,B,D,1
Christian,Mental,Brazil,Female,E,C,32.924923128129244,A,A,-20.348743175008277,-46.65621008259171,C,B,-81.19410266431537,B,-59.65913990003299,A,-91.40592350858591,141.81846422365487,A,C,0
Other,Yes,Germany,M,A,C,237.69361305823776,E,A,64.51518087797626,-258.7998046287343,B,B,189.2652393323151,E,72.14854855657154,B,-5.281090809308622,-36.257692725051086,B,D,0
Muslim,Physical,UK,Non-binary,B,A,3.0513438035013394,B,E,-48.793474678457464,-10.711508256566166,D,B,64.83700768402666,A,17.96654692327902,D,23.38349124628305,91.2990063770532,E,C,0
None,Mental,UK,Male,D,A,-8.146303723556331,A,B,-33.66339206243656,117.14573083761553,B,A,-117.91438408307332,C,47.05992537505872,C,183.61569948850013,57.41503002298215,C,E,0
None,No,US,Other,B,E,110.60886873223616,D,E,-150.91043921974838,-37.4309478600802,D,C,-24.190708977483002,D,-25.235107534507634,E,-4.976053323698961,137.68341160343266,D,E,1
Christian,No,US,Female,E,A,3.6946857630090353,A,D,-28.757019255223714,-143.41757124386075,A,D,59.76352364211536,C,54.905944380260074,C,5.27651383212731,72.04162809161372,D,E,0
Buddhist,None,Mexico,Other,B,B,-145.49560296341497,D,E,127.06325918116868,-29.210648091063344,A,D,-19.783488037247057,D,-110.4559372376901,A,123.24734260605432,54.089755536112015,B,C,1
Other,Physical,Germany,M,C,A,-72.9530019241228,E,B,-143.0745358108082,113.96085611322731,B,C,-43.34605339599676,C,-36.3628936998353,E,-171.4653106760954,42.73791516358292,C,B,0
Jewish,No,Brazil,Non-binary,E,B,-57.80717706969971,A,A,-132.06988108295735,69.49178192596615,C,D,39.00441597199605,A,-80.14182382655689,A,163.46061305668115,-56.54289647692017,E,A,1
Christian,Physical,Germany,M,D,C,-103.60520450823722,D,C,46.82634825219271,80.89665113388787,E,E,-129.62596243846224,D,178.07995407565622,D,19.11829552656488,-34.462073011408044,C,C,1
Christian,None,India,F,D,A,-33.0638008535112,D,D,24.661372208272418,-4.5893012835812526,B,C,14.022286855996896,D,-14.02070554319826,D,54.53759141853839,-23.371429497547513,A,D,1
Christian,Both,Other,Non-binary,E,A,103.90499173860397,B,E,-47.37536377565903,-81.05587712325799,D,E,-53.652108710194355,C,-222.7446215248217,E,163.87733020952956,105.38338351895962,D,A,0
Christian,Both,Germany,Female,B,D,104.37294988905154,A,B,18.717211336620224,-77.79497774780437,D,A,-76.49598293735758,C,-74.33440326526878,C,-88.75012095924947,-69.50916230566541,C,C,1
Buddhist,Mental,Other,Non-binary,B,A,-277.6781058572566,C,A,-23.056721086661433,83.41863583341325,D,A,-66.1437828462596,C,81.64958261580901,E,-7.747282104707627,131.5664719919579,E,B,1
Buddhist,Physical,US,Non-binary,C,A,-79.99889460020604,B,B,182.81437216443973,183.09926562116414,B,D,36.69476341814989,D,-71.13893993068004,A,81.5625320623127,-4.554300822784371,B,B,0
Christian,No,Mexico,Female,A,D,92.15294727825234,E,E,-131.8068046066145,46.83308519967625,C,E,-87.20847725625273,B,-5.734060140571709,C,-28.909526523379487,86.3087775898288,A,A,1
Muslim,None,Germany,Other,D,D,111.060216093172,C,B,-19.201991720479995,41.12933217438647,D,E,134.94911742557437,E,254.57666205100384,B,159.0012956591061,-111.9177446014279,B,E,0
Hindu,Both,Mexico,Non-binary,C,C,-14.63004998946354,B,E,-79.56746163860564,51.76973235523927,C,A,242.21705884497692,C,-72.7966069076157,B,32.970406972034304,-125.14428656726986,E,E,0
Hindu,Mental,Other,M,D,C,57.92044892519479,D,B,-81.74311282898158,-16.022406279434744,B,C,-249.74354487325056,E,53.08925335311974,B,53.263501625519375,59.3304808784252,A,B,0
Christian,Yes,Germany,Male,C,C,24.339017409450577,B,C,34.352496567461024,1.1319913992932977,C,B,-28.487642755557857,C,89.273069698587,C,315.40022111900544,5.115522573464133,E,D,0
None,Both,Brazil,F,E,A,22.14834628566402,B,B,-90.5594951620605,-172.55991288187826,C,A,13.144123178583907,A,95.12330008137418,B,-110.35946349045341,-99.05079402761663,D,E,1
Other,Yes,UK,M,A,B,28.51534081334866,D,C,-17.350912830100206,-102.09721568688023,D,A,-96.80254049834012,D,-46.817681534363295,B,47.1668727639473,-242.67184600701768,B,B,0
None,Yes,UK,Male,A,C,-10.743389854080254,E,C,-92.96792600991948,94.39432945304725,A,D,-258.731384386605,E,-212.62049161773123,E,90.39319779033144,-89.07386554722838,D,B,0
Buddhist,Yes,India,F,B,E,28.937014976694474,B,D,18.801551227561003,-112.28050913498973,E,B,63.712566897678315,B,130.85442580413908,D,-142.69140110328965,-33.78291053432678,B,E,0
Buddhist,Mental,Brazil,Non-binary,A,C,113.95282167126801,A,E,18.973036629856225,-165.67532941695254,B,E,105.98572275123507,C,79.39583176379968,E,-21.942030045458864,-28.64577734772081,B,B,1
None,Yes,Other,Other,E,C,-22.547905197063592,C,A,-9.627667636325265,22.07875786232054,A,D,15.539430515075376,C,169.76679210889637,E,-95.5679685223225,76.9375590610378,E,A,1
Buddhist,Physical,Mexico,Other,B,D,-104.23924219749041,C,C,-75.34830707469672,62.358852972787474,D,A,-63.9647675783076,E,-215.62135646905892,C,27.315371170280805,-131.82894485843644,B,B,0
Buddhist,None,Other,Other,C,E,-79.72567717969196,A,A,-68.60958424802989,-20.114197900858162,D,D,22.674265708098133,A,-11.364694946030923,B,45.483024697642406,362.983571619749,A,C,0
None,Physical,Germany,Other,A,D,-59.39749612517843,B,D,-85.56214202392046,135.06520442061262,C,B,-71.71884927729367,A,-100.93081182435171,C,-79.89938443705647,4.4299346751397355,A,D,0
Other,Physical,UK,Non-binary,E,E,8.961493634811667,C,E,112.97731238276619,-120.13648786442066,E,E,-52.906610486520655,D,-151.14209869242768,C,-155.8921354128964,148.35045256445292,A,A,1
Muslim,None,Mexico,Female,E,D,83.39350252873669,E,D,-20.279496799686576,118.75820109649129,B,E,-106.0369217199511,B,103.72897918672126,A,122.59434126621254,57.16130965057678,B,C,0
Buddhist,None,US,F,B,B,-53.61180929654128,B,C,115.18805783643641,20.080945834458525,D,A,98.87952853749744,C,-40.03672424955826,A,89.47148737548625,-5.047261103754516,C,D,0
Other,No,Brazil,Non-binary,B,C,18.068591735552936,D,C,39.54911542372671,22.368753944322695,C,A,10.407776756154217,D,-60.56139902833324,D,-18.688966625120685,-33.12798743956797,D,B,1
Christian,Physical,India,M,D,A,-193.2844210900588,C,C,42.10406426473261,-102.52572438241403,C,E,-77.00786740751326,A,-27.771900831040234,E,-10.5049571723465,42.8599474902543,D,E,0
Muslim,Yes,UK,Female,A,D,-44.534841041575845,C,A,71.7720686404643,-77.3779122761493,D,C,-75.27393972229702,C,-63.891336100163166,B,75.38265540533615,-7.063608275069552,A,E,0
Christian,Physical,Mexico,M,A,C,-59.149248353159045,A,A,-132.69644807611925,27.90729461655265,E,A,106.47725473567252,A,-148.06825048989566,A,-89.7984777982132,-51.33695892441869,E,C,1
Buddhist,Physical,Brazil,Other,E,A,-91.30016990016433,E,B,62.43241038713919,73.60615762900073,C,D,-147.24717080257378,E,157.1647522783909,D,-111.42584149778982,-78.90617763079543,A,D,1
Jewish,Both,Germany,Female,D,C,36.564255570447486,B,B,-139.34864440076234,-71.90042862170766,B,E,-16.108973117106505,B,-95.74439033929025,D,83.4907639896473,-68.50714446825786,C,B,0
Christian,No,Germany,Other,B,A,-22.73921008286083,B,C,45.517500462964655,49.94442768837602,B,D,-81.46935191567025,D,-94.86068817804217,A,-30.92969107209493,-14.220448817005076,E,C,0
Christian,Both,China,Other,A,D,-127.6275176136173,A,A,-48.28306339746456,-22.61190905720794,D,E,84.64973003786562,D,-9.447646398689171,A,28.408997028065784,-16.46812769874309,A,A,0
None,Yes,China,Non-binary,A,C,-103.65198830355044,E,B,6.413836772015137,0.6505791267205167,E,E,52.063570045048955,E,85.62195354461623,C,-137.90069198240818,-182.19077393659953,A,C,0
Other,Yes,China,Non-binary,C,E,-33.06148974451983,D,A,-0.7037669400215336,75.4407715009829,C,A,58.22477690027483,D,-82.85547512654287,A,-6.4440336018166775,-115.31604678592358,E,C,0
Jewish,Yes,Germany,Non-binary,A,D,251.42048618865954,C,E,64.00597030559274,146.93300114371868,C,A,42.45138181351472,E,-106.49089220089323,C,76.4613326627035,18.083333907957428,A,B,0
Muslim,Physical,Mexico,Female,E,B,-23.524568059028965,E,A,13.876970972206804,160.69015044006994,B,D,-55.97765642173089,D,-65.48073373795198,C,39.974913881102026,-197.6930475291821,C,D,0
Buddhist,Yes,Germany,Other,A,C,-10.906453983769213,A,C,58.92736525667769,-24.168069533026358,E,A,-76.41969937360696,A,8.816455177086441,E,58.18676190464996,-103.2536743206636,E,B,1
None,Both,Mexico,Other,D,B,-150.30088633417287,C,D,86.89105382748504,232.50658418614427,E,D,-126.49512651104571,E,95.09513699897414,D,82.47825635100453,177.29561007616726,B,E,0
Other,None,Brazil,F,C,A,-238.47929303592994,A,B,-8.976158789089226,148.35868295992475,A,A,-136.19827784831273,E,-72.85889717092105,E,10.103267846544801,-107.07767874181422,A,E,1
Buddhist,None,Other,M,C,D,165.61095161877384,B,C,32.45540229840771,-124.95039419293836,C,E,78.76222248035766,A,9.041795490251829,D,31.21689472625766,-64.72807341533951,A,D,0
Other,Mental,Mexico,Female,D,B,-28.048921537710097,D,E,15.164639060137732,107.46720740821215,D,B,-127.59100821222455,C,-129.40724385277238,B,16.194209243064716,35.12257259365218,D,E,0
None,Mental,India,M,D,C,-4.145005756040234,E,E,-71.32847901797912,-93.25634637729286,E,C,54.07461877635967,E,50.07535904018622,C,-102.54187231570904,84.39146448330254,B,E,0
Hindu,None,UK,M,A,A,132.5579869018354,A,B,89.03679073495691,-15.067166204317035,C,B,128.63305409022016,A,120.66915322502554,A,134.68138241478562,-44.98148484645899,D,B,0
Other,No,China,Female,E,C,-87.95061127444993,D,B,-184.02238913425896,-71.661651843714,A,C,35.326261799361724,C,177.2189106622877,B,63.618356189298574,69.3225154484873,C,B,0
Muslim,Both,Germany,Male,B,E,-3.293896419562408,D,D,48.65257997737027,-140.3333613673156,E,C,76.87904911791894,D,-28.060059338519356,D,4.883465080033201,-48.46654825408161,D,D,1
Other,None,India,Other,A,D,-51.16696155749397,B,E,-110.17596121205185,43.91792266778015,B,A,46.96583582409122,B,-55.63545634369953,B,-66.77215079166007,-112.70929665958253,A,D,1
Other,No,US,M,D,C,-75.09619600657682,C,A,233.06226114852052,-22.6190153176027,D,D,34.719705881195175,B,-7.202898993096222,B,108.31401054607275,-167.701539873341,C,B,0
