sex,birth_year,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
F,59,E,B,D,E,D,86.69688864707034,D,-150.4711729913274,C,147.73404963865585,15.160954844076654,E,A,B,B,26.905552985115833,-163.54021593448792,1
M,70,D,D,E,E,B,-125.02649067338083,A,208.9269660478452,A,14.377815280842862,270.9460401674801,C,B,D,E,59.379703468896786,-49.959441246779086,0
Male,58,A,D,B,A,B,-179.130662927847,D,149.7769521451272,D,170.5030089165721,-36.51960093800118,D,B,C,C,93.14382988050248,-212.69971525806878,1
Male,68,C,C,B,D,D,-129.72711555365115,C,-100.80403458809946,D,65.88747897241397,-12.11998510095275,C,D,D,A,15.975009480529847,-51.97999535148444,1
Male,71,E,E,C,A,E,-78.04426971845754,C,-12.581272042952167,C,-145.09558098743128,-130.74551910472405,E,E,B,C,55.083241508019,-58.243537544223564,1
Female,19,E,B,C,E,C,-13.933773103049967,B,20.073467354081405,A,98.50075387958535,146.4842107356524,E,D,D,C,3.4645054547303675,70.71856331852857,0
F,27,C,B,B,C,A,-3.1353287013958195,E,-27.770944773937345,B,52.3968988789804,62.39702104257091,C,C,B,E,141.8056488794597,-32.806219117372784,0
Female,32,B,C,B,A,C,-27.41828213418474,C,70.52999578056806,C,47.46283848100792,-67.21171686635367,C,D,D,A,93.43799621604958,60.884398183574106,1
Other,66,E,A,C,A,A,-24.640149735466828,A,-105.51274092887326,D,-186.852177531474,49.76034685094153,D,C,A,D,0.25119670322523524,-101.77931193915701,0
Female,50,E,D,E,C,D,135.80684128309557,B,-136.34742430403452,A,100.07510691592367,-51.42991891140872,E,D,D,E,85.39245097024587,-29.05029601750609,0
Non-binary,78,D,D,A,E,D,178.11497922443164,A,-104.55195388688878,D,-7.233765129709887,-107.98067681804801,D,D,E,A,-145.10275663983862,168.20829907135519,0
M,78,C,A,B,A,A,-85.6139450745254,E,-67.9524180807936,E,162.39511274927975,-40.97648492453892,D,C,E,A,55.35531760082249,12.312005087874528,0
Male,24,C,E,E,E,C,-43.74586620031777,E,36.197773529269526,A,-96.15898583914769,-74.80093650730025,B,A,B,E,-171.7290511867083,217.7307659735448,1
Female,63,E,A,B,C,C,119.02075503920437,D,4.346798458805376,A,95.19240989728749,-17.94114633154677,A,E,E,D,-5.720773938546422,79.45340506929487,0
M,71,E,B,B,C,A,217.8807456204411,D,-107.45048109697677,A,29.58537562853398,-51.52901729510416,A,E,B,E,28.694737329141585,144.9357024408664,0
Non-binary,36,D,E,D,C,B,-12.732609998778956,D,123.76678535027419,C,28.856204926972485,-64.68015919013743,C,C,E,B,-74.84830866202017,104.63641535415047,0
F,26,B,B,A,C,D,106.2524965133736,B,54.60148268637721,A,19.8656717689728,47.03297560099122,C,C,C,E,-15.12593382272608,-64.80177974708174,1
Non-binary,30,A,B,D,A,A,-68.39940288444049,C,-65.89734474462762,C,89.99885454581688,-14.646257585873554,A,D,D,B,87.77971206798456,-65.05465627912572,1
Other,34,A,C,A,A,A,-51.65887553895985,B,-15.191173409473443,D,67.42305747546781,-196.8220629630245,D,B,D,C,-79.3083908055386,-64.86169955750249,0
M,19,D,D,D,A,D,-212.65304163952635,A,144.33766281920032,D,-103.98130703037745,-7.060507611526947,D,A,A,E,-28.482129549872266,34.14905882448644,0
M,71,D,B,C,D,E,-45.41537114968503,E,-75.95751567873053,C,-123.66224649330482,-19.470144802072383,C,B,D,A,131.13825675837668,-98.31663044356654,1
F,50,A,A,D,B,B,81.11519725334097,E,-15.488231654947052,D,-53.87797940264295,18.228765209814107,E,C,B,E,53.75818972169554,-31.444701134893556,1
Other,27,D,B,B,C,A,-57.084804710146805,E,84.89419209827997,D,39.78025328422883,-188.57958080000876,A,C,A,E,6.1778707968945294,-9.29184134934489,0
Female,46,A,A,E,B,B,58.61717583626247,C,108.54547999547366,E,-216.30700407256094,-27.598187478953744,E,D,E,B,49.39317140298644,-105.18856358166806,1
Other,25,C,E,E,A,C,22.818639320009872,A,94.89011188383833,D,24.707398726776386,-23.943551328467255,A,A,A,E,-125.13784342598974,131.1397228257226,0
Male,33,C,A,D,B,E,-14.204397431675572,E,36.53803791778279,C,-107.63678962174727,101.93353240489256,B,A,E,A,69.752592138172,14.481813868752091,1
Female,50,C,D,A,A,E,19.329436315488763,C,-36.4489471315008,E,-97.17540921133761,111.20447602646837,E,A,D,E,103.74684945588373,94.34474416319186,1
Other,75,A,C,A,C,C,26.002575774798036,B,-85.58508406617544,D,-71.36598595678522,-164.94250683315462,A,E,D,D,-125.30314930087643,-0.38331279015302505,1
F,44,E,D,C,C,B,110.36694644094203,A,98.98717729075936,E,45.593140250806314,108.47756884805418,C,C,A,B,-67.17220803544865,-75.9777843924735,0
Male,18,D,C,C,E,A,172.08331848810548,E,-124.68238355514929,E,58.75665612042354,-54.29390087691199,D,B,A,E,27.566127624156156,39.155708708703976,0
Male,34,A,E,B,C,E,-10.7125651786976,D,-64.33354083867383,C,84.06349320859263,44.182534488302025,D,C,C,A,62.0533403363519,215.58538690155768,1
M,58,D,E,D,E,D,164.27563455491324,A,69.00117567758014,D,39.88282602115249,-102.77513434607512,E,E,A,C,54.28676447884367,41.05504296469428,1
Female,33,D,B,C,B,D,-112.1695007576918,D,71.84004890576486,B,235.4891618052323,29.453544633164412,D,D,B,A,105.32100478446687,271.1572853971722,0
Other,46,C,C,B,C,D,20.800277608870392,E,101.49263963558776,C,3.6503854855710625,132.1829484640793,D,C,A,E,-139.64367956053752,101.04224001957162,0
Male,61,B,C,D,D,B,-64.95876004111012,D,-106.44584242149612,A,-80.849908329386,-136.01324623028546,E,A,E,C,-137.04234782981726,29.725824417762077,1
Non-binary,41,D,A,D,D,C,96.36073826943624,B,-145.28011298495582,D,74.91997371854256,51.9408537604194,D,C,C,B,-119.70729684341639,114.4234513980089,1
M,45,B,D,E,D,C,77.19619403694999,C,-75.7140741397003,A,53.61094504654709,26.450071312326546,D,C,E,C,14.536851308433855,100.08747510674108,1
Other,53,B,C,A,A,D,-36.53656485601116,B,98.4849492118954,D,94.74187783647004,6.957253507105343,E,B,B,D,37.77310879952799,18.182741668986537,1
F,26,C,B,C,D,B,-60.25426518034873,B,-242.69304674394238,E,-3.7812704614119665,119.58465096653477,A,C,A,C,-198.59470457843227,-65.66122217242652,0
F,51,E,C,E,D,B,176.32531800694326,B,17.439897481219006,C,-51.72916390656934,53.52981059456251,C,A,B,A,26.871403547451518,-5.029520500784192,0
M,52,A,E,A,E,E,-5.316913620730905,B,-3.184657651511484,B,-52.12590582670894,106.68057582353234,C,A,C,E,167.2167500700646,-29.960879712418482,0
Non-binary,77,A,D,A,A,A,-141.3592374236716,E,208.3745478335663,D,-84.7471499922035,-34.70556588487078,B,D,B,E,-49.81949090606105,241.90242262617718,1
F,39,A,A,C,C,E,-207.67529969649692,C,46.550564919067085,C,24.105392816115838,-93.14630950819809,A,A,B,B,-3.0184773762352304,4.967111324549887,1
Non-binary,59,D,E,A,B,C,-44.03184674052041,A,-188.38396352515872,D,-102.32755513942524,107.77962840595605,D,E,D,B,-10.417538379989965,-72.14091463515834,0
M,63,B,D,B,E,B,-10.29742668834874,A,-16.39501706269535,C,-26.195191411441787,15.473337923484735,D,A,D,E,-131.59751334095313,-126.81916504150452,0
Non-binary,27,B,E,B,C,B,138.69648202838388,C,-136.2950921024555,D,-16.286092422813585,-135.8781775326661,D,A,E,E,62.62317985675935,-135.42534415895037,1
M,47,E,A,C,E,E,-7.6486811211618075,D,45.46725863137843,C,-51.522663529081726,68.72833780333953,D,A,C,B,-21.66514146628057,-244.54331734856706,1
M,36,A,A,A,C,A,-83.30191865411558,A,34.77486858659232,E,105.57800229609306,-1.8552177141735366,E,A,E,A,-115.87738828742825,97.04199246633245,1
Male,26,B,D,D,A,D,116.0344852741651,C,-110.37220484727716,A,-57.72874782725559,203.22740261650608,D,C,C,D,-28.508125864172545,0.7796183249482004,1
F,21,D,D,B,D,D,86.34526777621349,E,-70.19952453121103,E,-74.96571432277608,1.0642949607225363,C,C,E,C,-33.58566354380022,38.806842819624336,1
M,23,D,D,E,C,D,-38.94611523668959,D,136.02903263960323,C,146.3961578107775,-141.20591276488494,A,B,B,B,-74.75633825458128,-43.12965313865807,0
Other,42,A,C,A,D,D,121.00266958232704,B,102.01104734584693,E,88.92585880090296,82.55648214594822,E,E,C,D,80.6625187383759,-67.10385523141402,1
Non-binary,31,A,C,A,C,A,6.972616539821135,C,-40.99154977355832,B,10.761111985317681,-84.79757361275445,A,A,C,A,38.7983535578427,75.62564331651718,0
M,67,E,E,E,A,A,76.52872669502409,B,84.45961596804844,B,-28.640665591484886,40.32345132063325,B,D,E,E,-60.15743360140464,-211.39871948537308,0
M,60,E,B,B,D,C,63.70907963164638,B,-266.94586109863707,E,-45.576033386746936,-11.690002132002396,A,A,A,A,-38.60481825942652,4.556519604005035,0
Female,50,D,A,E,C,C,104.5398269012375,E,-53.03708270868115,A,-3.751402647312463,56.1533595176624,E,B,B,C,-78.34416900436624,-230.58787524709152,1
M,24,E,A,D,B,E,22.34891246323224,E,79.06248896252025,B,-13.407264321744677,6.048386045921236,C,E,C,E,23.067567975159918,-249.59569515519075,0
Male,28,E,E,C,C,A,-88.95848619659655,D,61.08312142496787,C,-48.21923898221222,-44.791808201374906,A,B,C,E,-112.87346213847567,-46.870811747389375,1
Male,54,E,C,E,D,D,3.6051906876193662,B,-43.26337048231767,D,38.26030625330812,85.12556471496414,B,D,A,C,-40.35492359644729,-19.055678926672492,0
Other,25,E,A,B,D,D,28.698932215131705,A,-167.19491855106455,A,90.54951502873315,33.81544739069435,C,C,E,E,1.885180428465344,-101.0114600955161,1
Other,54,B,D,B,C,D,25.8331681465351,E,164.03000556290942,C,-76.8147215043223,-124.66448820975529,D,E,C,E,-120.35839888624112,163.28130186241623,0
F,33,B,B,A,E,D,34.45566753387802,E,-8.39452236721253,C,-180.08650736453038,-16.633939137795743,B,D,C,E,130.8154132064507,-40.46708930739612,1
Other,59,C,B,B,B,E,8.330934480257046,E,40.376714786046485,B,-76.21811622890871,6.144729649800527,B,A,B,C,26.900471914115236,-200.81534722792674,1
M,67,E,D,B,C,C,-15.49235697034269,D,25.65680398101524,E,-170.95961339438023,22.056252966513902,D,C,D,C,135.7786266161521,101.20466439376071,1
Other,34,A,B,C,D,D,5.122967020904738,B,11.511733309977206,A,-100.21319041003318,-60.09346198959313,C,C,A,E,61.6495917678238,-105.50770035011135,1
Non-binary,54,C,B,B,A,B,-36.24433329370927,D,73.95258542156223,B,-53.74547035090609,-151.6009734976048,B,C,A,E,-136.09068199524074,222.88175184535862,0
Other,53,A,B,B,B,B,-73.56482094132322,D,94.0556410470498,E,-147.11778028859956,27.929651173028162,B,D,D,A,5.334491812554712,25.594206046226116,1
M,77,E,C,B,C,A,-0.175895188673638,D,-5.895422278396572,E,64.93515453596675,180.08594062082847,D,E,B,E,-72.37429755871693,-9.598792762361057,0
F,51,A,C,B,B,C,-121.78798013024277,A,142.67792379733,B,162.17578729173627,-29.979021613390834,B,E,C,A,109.4727575817985,-89.13926592252898,0
M,78,A,A,B,B,E,24.348526885451335,C,88.0577817954436,D,-6.917947290679795,9.140892269668024,C,B,D,C,46.7979031385536,28.057243891029156,0
Female,29,C,E,C,A,B,71.17341927599028,A,157.18680408919718,D,98.63960387249858,-23.296687244010624,C,A,D,E,-175.80032975254133,-216.52459306794643,0
Other,41,A,A,A,A,C,122.24207350948384,C,1.6296367477744589,C,-200.07149531545699,66.87462873029341,B,D,B,E,-169.37997542388362,-105.36960075550878,1
Female,66,C,C,C,B,B,-12.782367571873413,A,-42.34252079368066,E,-56.05495449034804,24.071233054268202,C,C,A,D,-60.70573427649484,31.298634106074413,0
Female,63,A,B,B,D,C,-138.0086904850908,D,-59.07865440813419,D,52.319818345383226,45.109078542030126,C,E,D,E,145.05482928422964,66.89596042861244,0
F,40,C,C,A,B,A,11.999221996984112,A,-137.72220400358137,D,172.8524767213606,-176.69310400963366,C,B,C,B,-107.9384645685459,-19.720290288640182,0
Other,57,E,E,A,A,E,0.41402144911010175,C,-100.1183295740597,C,51.73730982541739,86.85499065868521,C,C,C,B,-5.589901283355713,-17.575155301402354,0
Male,24,C,A,C,B,A,-120.09614569949846,A,-146.90849923074057,B,-189.07742371413383,-49.11392173476176,B,E,D,C,118.98473310814512,-88.76628620191383,0
Other,63,A,E,C,C,D,107.64972967008906,C,-170.82165719754894,B,77.16607231708299,-17.780995358082542,A,E,C,A,88.53307110949035,177.18617325389516,1
Other,30,A,A,C,E,B,-53.59950521954687,A,8.540659125384147,C,285.28697402263765,-46.28195909519399,D,D,C,B,-4.548131001274156,-49.046402674863344,1
Non-binary,56,C,C,E,D,E,14.939699189631181,C,164.05992806666706,D,84.18508490255651,86.85259659151204,E,B,D,D,-188.1953148222854,-37.27867294957888,1
Non-binary,32,A,B,B,B,D,-55.74613315771473,A,-56.07331613769583,B,58.848642841296275,109.25404941711956,E,B,A,E,-88.96537187423985,3.6765445425694474,1
M,68,E,D,C,E,A,27.234652055476072,C,-15.964780743616242,B,46.395228216746595,29.440705302599202,E,C,D,A,-32.09446863592568,-10.379658549850369,1
Non-binary,20,E,A,C,E,D,148.68541296187158,B,138.904992443451,B,91.47509245883147,0.2718400469140001,D,E,B,A,-116.16179980922774,91.17634130365079,1
Other,23,D,C,C,A,A,115.09584421528174,A,-100.085050733808,A,163.55069983382086,56.52992170894679,D,C,A,D,64.78733626069531,23.560558166955143,1
F,77,A,C,D,C,C,-105.21928239577605,A,-126.98374075741023,A,-114.15610846928949,138.6556041760869,A,C,E,D,9.226094971000073,-109.29384891724092,0
Female,25,E,B,A,E,B,48.71031307031995,E,-96.03202310326202,A,32.91907794009763,125.50463550210979,B,B,A,E,51.799950606824716,-143.48762560673708,0
Non-binary,42,D,B,B,D,C,-39.11562866462962,C,-17.242831971315955,D,128.4195168027499,-55.40615865459363,C,C,C,B,-116.97983654256674,5.026490037124101,0
Non-binary,73,A,E,C,B,B,-20.41720715458016,E,-63.818807042695425,A,-16.912248585090044,78.74214914105286,A,E,A,C,-159.56386035857793,30.756209704827608,1
Non-binary,79,D,B,D,B,E,-38.14831362156234,D,133.93124224173025,E,-146.10546192254156,27.30556170117484,D,E,A,E,-82.25591821798119,-32.73824797498129,0
F,42,D,E,C,A,B,117.37677440018051,D,80.31258255958417,E,130.91233238695372,51.702314922013436,A,D,A,E,-247.59110659072778,-53.446966819836014,0
Non-binary,56,C,D,A,E,A,-109.58186638306428,A,6.629921119760324,A,-26.857018957167273,-38.97254894137576,D,E,D,A,36.230529477627904,-57.50014256234051,0
Non-binary,72,C,E,C,C,D,65.29765440756084,D,90.79744222753651,A,41.56525792942293,-83.85350680638425,B,B,C,A,89.93036389910084,55.223438128095424,1
Female,40,C,C,C,B,E,58.15943551765724,A,-132.57512327635808,D,95.32850262896699,155.5647036528224,B,D,C,E,-89.76417118178564,-30.41816983235567,0
Other,37,E,D,E,A,E,22.365438157215863,B,63.022941807858516,E,30.25550962720059,-137.73129587175916,E,B,E,B,20.288458406854645,110.37882939286519,1
F,44,E,B,A,A,B,-83.60304028590532,C,-10.047718961467627,D,-74.55592627181163,-102.56475448061097,E,D,B,E,30.035168687902836,-46.06187928606982,0
F,59,D,E,C,E,D,7.421877368867724,E,109.20488610894921,C,-30.04088386798813,-60.64544949717552,C,D,D,B,45.422092497019364,66.78504950899313,0
Male,38,C,E,D,E,D,-134.8479437349867,E,139.92783098416513,E,-6.886345606810161,-65.43825148161588,C,A,A,D,-12.323354862824356,54.14128490505781,0
Other,57,C,C,E,E,A,9.395311443085642,B,75.83397844192676,B,64.46024298673055,-57.48839234716898,A,C,C,D,-72.06440407259292,-160.03270634709506,0
Other,25,A,E,B,B,C,-146.6735067361728,E,9.54733611690397,E,141.97343374189447,39.82931318059466,A,E,A,C,-107.30236382551628,-105.94566232372833,1
Male,57,A,A,E,D,A,13.474998553154569,B,25.765786290427332,B,230.593878375028,71.70781679427105,B,D,C,E,-164.52590514763537,-63.69180101260879,0
Other,64,B,D,D,B,B,33.34009365259037,D,-82.38646710172863,B,-123.39131246531704,-106.20654973784214,A,E,E,D,3.942639985444612,-113.13027234846211,1
M,50,B,D,A,B,E,124.75685773141116,D,137.43739906827793,A,63.03440800455227,-41.991309722686935,C,A,E,D,-230.7067698169619,-73.68410886237,1
Non-binary,75,E,E,C,D,E,26.75858712131585,B,-85.14344839088754,C,-65.43536563183416,112.23771876098763,A,C,A,B,-77.17646900143724,76.08437816830305,0
Female,41,D,A,A,D,A,153.9877476862115,D,6.695408040525024,E,-90.19114009348982,33.554794327686324,C,A,A,E,82.42893025845126,-77.36829415029712,1
Female,66,D,B,E,E,D,-72.89962699881815,D,112.45711483670824,B,18.564812101452315,188.10755734433496,E,A,E,C,-84.89343820120911,73.19687004651905,0
Non-binary,33,C,E,D,A,B,-78.97251651176542,A,-4.086624609748127,E,159.31018249065784,89.861440270775,A,D,E,E,21.706669507954807,-24.3763451841488,1
Male,77,D,B,A,B,D,-56.703471805589714,D,12.799732254412557,C,10.710155678251942,-25.751845058405515,B,D,D,A,21.131038898335845,9.441032227792181,0
Non-binary,39,C,E,A,C,A,-66.667536048248,E,37.41225707877242,A,28.704591876236197,7.548080645634629,A,B,B,C,-81.66554560554866,215.74381578842838,0
Female,39,A,E,B,D,B,-226.83810731717213,E,44.442737850391815,B,116.1197894803303,-277.1340658250003,B,D,A,E,101.30715746974732,-94.89557662055473,0
Other,25,E,B,A,C,B,-177.41418332653356,E,-2.347142956082298,E,-219.44796661485708,-41.16175751024807,C,B,D,B,-111.46952091012649,-28.370584891795307,0
Male,79,A,C,B,E,C,2.5201601730627825,B,15.879855485402263,A,23.21775277920972,-50.2083868741608,C,B,A,A,-161.03158641757574,187.19738646029572,0
Female,35,D,A,D,A,B,16.90926006031451,B,103.7545390389268,D,54.63149341038657,90.54210424650273,A,D,D,C,-1.8849087602070804,81.21278265996264,0
Non-binary,43,D,D,D,E,D,13.779061798778272,C,114.31024538075758,A,4.214619523924575,-9.240043310734155,D,E,C,D,131.80444958357586,19.662822540706262,1
M,55,D,A,E,D,A,2.285375463128453,D,-35.2738054393902,A,234.9029087227505,-87.53702929512062,D,C,C,A,-96.58368979210401,-43.95161396269584,0
Male,30,A,E,B,C,D,-134.82582315423755,C,132.702347877203,C,18.41128299578246,-140.96608748145684,C,C,D,E,-135.44704808341467,-104.92443084863714,0
Non-binary,53,A,D,E,D,E,112.61571984018859,B,174.97103254309883,B,-80.28477088026361,114.48109966393247,C,C,B,E,128.9884499859547,-34.48393838593817,0
M,53,B,C,C,E,A,-52.955185619131626,C,-28.131212551429357,B,-77.56509635472851,95.88442119671099,E,C,E,D,-102.7879681736236,4.470384055154165,0
F,59,B,B,B,A,D,-125.56025443373129,D,-95.37883908087376,B,-170.2630534929554,-64.37739343797934,B,E,B,A,-31.48817279164433,-98.05586072027373,0
Female,43,D,D,B,A,D,99.24221376573246,E,160.8357409900853,E,2.942309291126084,56.54152067029432,B,C,D,A,-28.203405361232946,-148.62119395676402,1
M,51,E,E,A,E,D,19.088686350329034,E,-50.58363977887975,A,112.35425528249357,13.126642768916088,B,E,B,B,-145.38989063907135,161.62388946064215,0
M,69,A,B,B,D,B,69.61740992310887,D,1.744925756761721,A,64.90923327290338,241.98115076845275,D,B,C,C,-149.5019869366595,7.749373773527132,1
F,76,E,B,E,D,C,179.2539320891922,C,-48.876438844946456,A,-138.79832726961732,-82.56778797366276,C,D,C,E,-61.80978052899755,133.7188626388793,1
M,20,E,D,A,C,C,43.88338888050958,E,-11.075257591143844,B,-77.26039965475148,-68.04912689924022,D,A,D,A,-176.4879600606833,93.70270624706664,0
Other,18,A,A,A,B,B,50.120917680263965,C,-42.92333360611422,B,-37.77069239303145,231.48718610268622,C,D,A,A,-125.34782615102014,114.81409323903344,1
M,54,D,C,E,D,E,-32.07047440619647,C,71.31517229293397,A,-229.4880458896851,-1.9310574247851149,A,B,C,A,102.37104844315499,9.69458436612931,1
M,57,B,E,D,C,E,9.627621916609101,B,36.41868957946181,E,33.2447653354184,3.798080083260713,B,A,B,C,17.926299709410593,-17.521030623211097,0
Non-binary,66,C,B,E,A,B,114.36511221795904,A,-6.794702478971397,D,-43.39942189133548,74.22238404152822,C,E,B,D,-1.2399649786131923,89.56738135978102,0
Other,58,B,E,B,A,D,191.47188437317163,A,-30.19816315408613,B,120.80569420520845,34.188934958174535,C,D,E,C,-83.48430584213492,-69.13777330402223,1
Non-binary,42,C,D,B,B,B,88.00733957369485,D,32.689454317175034,D,50.4659768108461,200.70798501359312,D,B,D,D,-5.669920811444121,118.5208542638095,0
M,31,E,B,C,A,A,-117.92140743038479,E,-45.820568053401445,B,200.3947089376955,48.93351580737983,D,D,C,E,77.94482994288636,78.69618573824141,0
M,69,D,D,A,B,A,-156.356900579641,E,86.95172292986258,D,119.89582648701531,59.629255069994834,B,D,C,C,18.535126110799517,8.852649884646336,0
Non-binary,41,D,A,C,D,A,-131.8154161192794,D,25.627856513053445,C,161.95086959517093,64.87743386383816,E,E,C,C,65.58193991297263,-46.85422615269512,0
Male,19,B,D,A,A,E,125.32106511799822,E,27.064519130052883,D,-45.37810204910594,68.77898024891716,A,C,E,E,43.03166684571717,101.35359048105421,0
Other,67,C,E,A,D,A,-146.7559366745692,C,-190.54814871034606,C,-157.60349280768258,76.91160358737783,C,D,A,E,-92.3719367772988,-8.23193593557914,1
Non-binary,23,D,C,B,D,E,93.34818791428002,E,130.61738606998003,B,-212.27130898293774,-42.896175817429814,D,C,B,E,-29.80015929090959,5.397863493303732,0
F,73,B,D,D,C,E,-89.32815212005086,B,-9.394099201272585,B,6.1819290915430765,62.16961341190026,C,D,B,A,122.79508465761178,41.01183277627267,1
Non-binary,25,B,C,E,E,E,131.55808126095278,C,55.132981016136995,D,13.29231018617718,26.192053933839194,B,D,E,C,1.3201585611873459,-43.26507147616996,0
F,40,E,B,A,D,E,8.333264309985028,A,52.06902466908504,E,-168.37201197860384,44.50495861522712,B,B,C,D,7.6423347272596045,35.780476905676636,1
F,40,B,B,A,D,A,-120.65949075410126,E,73.40848199196982,B,-71.44660664676096,182.21156711884223,A,D,D,A,269.60982071632463,-56.833684800806914,1
Male,22,C,B,A,A,D,2.1047320848812134,B,-45.17015995063672,D,-43.68353068439198,35.81724602686157,C,E,D,D,-25.36309382494873,52.564090602550316,1
M,63,D,E,D,D,A,-120.82566008072035,D,-6.5348694638608995,B,-101.45380079090698,213.2127747550387,B,B,C,E,-6.54450849713951,0.00962322543825044,0
Female,56,D,A,B,A,B,59.41958205134298,B,113.13291862743596,C,126.9017549012802,-61.74916434885199,A,D,E,E,57.81528803227807,60.10577546880317,1
Female,48,E,A,E,C,C,-95.12682727546957,E,-95.00581917011614,C,-47.57214841948916,114.32497602641998,E,C,E,E,87.9989261318926,-27.92832697544855,1
M,61,A,C,D,D,B,-145.9918440391225,C,59.349437538967685,A,-5.55239797370848,43.47232676199116,A,E,D,E,44.55610904655901,-98.05637082697271,1
Other,66,D,B,B,B,A,8.497369668777457,D,-107.87113534687978,B,76.34428512571891,134.63182269162638,D,D,B,E,-119.75120528883814,-264.2742019291861,0
F,62,A,E,B,D,E,-141.85100826757687,A,-135.04680384406325,D,-62.20651795729321,141.25442013711444,A,B,C,E,33.23967507973119,-54.163098835439335,1
M,57,C,A,E,C,A,-58.91887661869606,E,-11.476015854691124,C,-40.04516981793485,53.14589081075909,C,C,A,A,-207.60203820383984,-13.805765842705659,1
Other,77,A,E,A,D,D,-127.48296212002992,A,14.967841006862614,A,-53.32372388557594,-51.920122771265774,E,E,C,E,-170.19074815094072,-12.887407458369196,0
Non-binary,77,B,E,C,B,A,-69.31987648617326,A,169.8630210575085,D,92.273646767155,-128.4594577338143,E,B,E,C,75.57099579016344,-62.34162418644523,0
F,38,B,D,D,C,A,-105.87318701543403,D,109.68919075738542,B,18.177108270617914,50.76750953701023,D,A,D,A,-64.22787720908835,-48.525259604129545,1
Non-binary,43,E,C,C,B,D,-91.35976083473165,C,22.73143059778291,E,-146.7100681206531,-47.00251441242445,A,C,E,D,97.7532529198313,-71.84247422572095,1
Other,22,C,B,B,D,D,-31.385066849142973,C,8.554687573281164,A,178.65665160561076,71.7159812954711,C,C,C,E,-35.396426157027875,-25.968594590111916,1
F,38,B,D,E,E,E,-63.76131798844437,E,60.832853362929605,D,-124.5521577302632,80.8633385814972,D,C,B,C,42.197808878919425,-10.510559814175876,0
M,33,D,D,C,D,B,-110.09512270033102,A,-60.057249152368705,A,243.8929227948838,126.3958846818894,C,D,C,D,115.38409466194463,-6.320331501437416,0
Non-binary,57,B,E,C,D,D,-133.85181086747988,C,148.09753674944423,E,-155.3168626841233,90.60340469167416,B,C,C,B,-124.283748362221,39.93916849391999,0
M,60,D,E,D,E,D,-36.08027521483941,C,-219.96226937931453,A,71.78926619906794,184.23103334109132,E,C,B,C,-233.7345771766907,-2.3086855252449094,1
F,36,C,E,E,B,D,110.34829197232587,B,-96.08610650672638,E,87.5212096447772,-144.6275112209882,D,D,D,C,-6.729963679691172,-7.759735769955399,0
Non-binary,54,A,D,A,E,D,2.932381783913008,E,1.0517666719278775,C,-82.00815948257681,-83.14392095666834,B,B,D,C,-3.0879920938103718,171.35076297263433,0
F,65,C,B,C,A,D,95.23146537221064,B,-110.75413315687337,C,-46.94170270080002,-50.196339831337035,D,B,E,D,-129.03814336568814,271.59108838494944,0
Non-binary,28,A,B,E,B,C,176.72444214078362,C,-120.25761835948563,C,203.67939173950154,-19.446993789922253,D,D,C,E,-111.93204429724426,214.16821007464017,1
Female,34,B,C,A,A,C,-140.97694290445622,A,-122.50995625112773,A,34.88154437421106,33.74041091928939,A,E,A,D,-106.21723652032573,97.67881109433367,0
F,19,E,D,C,D,C,-65.50679924441349,A,44.83750633251423,A,10.325289876242957,51.01070632766677,E,D,C,E,-21.334692221862415,131.28577195935506,0
Female,56,D,B,A,A,E,-107.49802025756156,E,-7.815402129580776,D,71.23953621278041,176.85171772661786,A,B,C,A,-116.6740630812446,-56.60921951780911,0
Female,56,C,E,A,B,A,95.27642477463816,C,58.914733293734024,A,-58.911075879514115,-47.24949488960418,E,C,D,D,-62.167828806500694,46.251946971203964,1
F,41,A,D,D,C,A,-6.879772701991957,B,46.064340942960705,E,7.785400522169252,-110.99829177597047,C,A,C,C,-7.7095460053388996,-21.838892337883177,0
Other,60,D,C,A,C,B,109.48992157393273,E,25.230845546881525,A,-171.05798378902713,-139.5016628487517,B,A,E,C,39.48109115070562,74.59762041923683,1
F,73,C,D,E,A,A,108.47004491107128,E,28.390020672545944,D,123.00468807161555,20.320586692935752,E,C,B,E,84.5819619519958,45.79560727917161,0
Female,21,E,A,E,D,A,8.399166334074915,C,77.6247266116464,B,-114.39108960027234,115.21425413111525,C,E,C,C,-262.7930811210212,92.76828139582702,0
Non-binary,27,B,B,A,D,B,116.59394501899986,A,92.00160082208446,A,119.519120134877,12.011388590811869,D,C,B,C,231.3457411838206,27.050584148253197,0
Other,33,D,E,B,C,A,-68.92489789057703,E,51.69303204025797,C,39.24939521163146,30.321562447773204,C,D,C,A,36.33819540095484,16.87947411045087,0
F,36,D,C,E,B,E,39.20176877449013,E,-37.65049152334083,B,-137.12248567797462,-265.8527640889479,D,B,D,C,83.108187528702,159.06212629324702,1
Male,39,D,C,C,D,E,219.183199660002,D,82.47765053628714,B,-3.702906363468925,-170.2021654097544,A,B,A,D,45.62555669446526,-251.06435754897518,1
F,36,C,A,E,B,D,17.14410085048243,C,-101.96337010156134,D,81.02018457929057,12.378880531982738,E,A,A,D,70.0733437559141,-179.29902027964505,0
