Disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
Both,B,B,-44.94851687974622,B,B,C,D,5.092082570781975,1
Both,A,A,-138.17392782110457,A,C,D,B,-29.632439264568443,1
Both,A,C,14.333541047484866,D,A,A,D,-33.851785467118425,1
Physical,A,E,-29.118745049349652,E,C,C,C,-134.85019840933253,1
Mental,D,B,-30.843937782569114,B,C,E,B,112.16839986010643,0
Yes,B,A,68.78196733736425,D,D,E,C,-14.154151251000396,1
Yes,B,B,32.23756197617239,E,D,C,C,10.649707336053368,1
Mental,B,A,-7.979655659516103,E,A,B,B,-210.5332827426186,0
Mental,A,A,47.72696971793734,D,D,C,B,17.169760327164653,0
Physical,B,A,-108.41220030083683,B,A,A,A,-76.16975197756848,1
No,B,D,-7.371302681668772,B,E,B,A,-152.44817586632266,1
No,D,C,-112.50848024980189,A,C,E,E,-210.20348269311486,0
Both,B,C,121.37102526458608,D,D,A,C,-207.56610977041152,0
Both,E,E,-27.542630349651386,B,C,E,B,33.93300491540687,0
No,C,A,88.67239063381786,C,A,E,D,-16.307638867403753,1
Both,D,D,-24.231098930446606,D,C,D,B,-88.390879925472,0
Yes,A,B,-76.85236131547944,D,E,D,D,78.41818613844825,0
Physical,A,D,60.413846360117574,C,A,C,C,-27.940289611246545,0
Mental,D,B,93.36399783028972,B,E,C,D,-104.45107214076303,1
Yes,D,D,222.45634923761043,A,E,C,C,161.3267295836909,1
No,A,A,-128.5887980520601,A,D,E,A,170.23394108905669,1
None,A,D,-122.94569215848404,D,A,E,C,-27.406480922670077,1
Physical,A,C,-50.568423701912444,C,E,B,E,31.49081867755474,1
Both,D,D,175.481525245981,E,A,B,B,165.4158640718985,1
Yes,C,B,-10.601051611553789,D,D,B,B,-213.57418199169516,0
Mental,B,E,-151.7739260058484,C,A,B,E,-110.57247830327954,1
None,D,B,12.463400988044805,D,C,A,E,61.457823154996674,0
Physical,A,C,81.68687790633176,A,A,B,C,-169.9611214394799,0
Yes,E,C,-50.4245675537231,B,A,D,E,-26.02047045924833,1
None,A,E,49.06062531547205,D,E,E,D,95.04131006842252,0
Physical,D,B,76.85100502991857,A,B,A,B,87.61159753381776,1
Physical,D,A,263.62478795471344,C,A,D,D,-84.78028202205728,0
Both,D,B,12.602908699027775,B,D,B,B,34.99548541326301,1
No,A,A,118.24602450022017,E,B,C,C,110.07523804047679,1
No,D,D,106.42290640271376,C,D,C,C,126.88232913128927,0
Physical,E,B,-9.988416710238516,E,D,E,C,48.88820480018533,0
Physical,A,B,114.77875200128855,E,C,B,A,33.70447339222839,0
Mental,D,C,-21.333369782349493,A,A,A,B,33.514160628431426,1
Mental,A,D,0.7865507806984492,B,D,D,B,41.44776320313119,0
Yes,A,B,47.414362953078516,E,A,D,A,-172.60074184128925,0
Both,B,E,-9.359031201273721,D,C,B,D,48.938095676259714,1
Yes,A,D,73.08336283182719,A,C,E,D,-56.81780003018497,1
No,A,E,-175.02336578235585,A,A,B,D,-45.74844301686266,0
None,B,E,-106.14404336456593,C,C,E,D,31.70166896404053,0
Both,D,D,-39.93902419968175,C,C,A,B,-0.4503947926888119,0
None,C,A,-47.69262525504311,D,B,D,A,-125.86191538008578,0
Physical,E,E,60.625349326555735,A,B,E,B,-110.3151828438286,1
No,E,B,134.55050999619542,B,C,E,D,-38.17956779164569,0
Both,C,C,38.125895804318624,E,C,A,D,284.5876950731747,1
None,E,E,-21.951382882678455,B,C,E,E,110.22444886501826,0
Yes,A,B,-15.644717095402275,B,D,A,B,23.408471193701946,0
Both,C,E,53.225056732358546,A,E,A,A,83.64721235757146,0
Mental,B,E,-129.0242803480497,B,C,D,B,50.5758917578999,1
No,E,D,58.544789136094735,B,D,C,D,20.739862999482927,0
Yes,A,B,31.441564980886046,A,C,E,A,-30.517442624251995,0
Yes,B,D,-12.72283666043327,C,E,A,B,1.000709083559687,0
Physical,B,B,1.0330510835020563,A,B,E,D,-62.72275476358421,0
Physical,A,C,-105.04149457756145,E,B,D,C,38.531345499196625,1
None,B,D,145.10034239381304,B,A,D,D,-150.79168622244399,0
None,E,C,-18.848206222718474,A,A,E,C,-87.2040010815993,1
Physical,E,A,-69.93641025340946,A,C,D,D,-101.06159445993134,0
Both,A,B,0.5572288684655287,E,A,B,C,28.914199479538937,1
Physical,B,B,139.2451026673331,C,C,A,E,-122.89994863888063,0
Mental,A,B,-111.36377326401217,A,E,E,C,95.33983827164816,0
Both,B,E,-69.75783821012082,B,B,E,E,-169.16823537736065,1
Mental,E,A,-29.272960077036714,E,B,A,D,19.676745994830508,0
Yes,E,C,-9.874119547312125,B,A,E,A,-71.1047899576624,1
Mental,C,E,75.11434149222296,D,A,E,A,10.601114154611036,0
Both,D,D,157.56617354645422,C,E,D,E,39.00716319392127,1
Mental,D,C,-4.255056426348274,A,E,B,B,225.81634464360323,0
Physical,E,D,-59.86093480184923,C,A,B,D,-150.76635842306402,1
Yes,C,C,26.777885746732288,E,D,E,C,-52.10603685861186,0
Yes,B,B,69.65489196547371,E,D,D,D,25.581714937345012,0
None,B,D,77.31800125537195,E,E,B,E,-9.226854890895213,0
No,D,E,-83.35122444117005,A,D,A,B,-87.16973293684359,0
Mental,D,D,4.731974449115693,D,A,E,B,-36.72003843724369,1
Both,D,B,21.96614094081876,E,A,B,D,-69.03799093472556,1
None,C,A,49.54257583201163,B,D,A,C,205.32584042108098,0
No,B,E,132.0177940759164,B,A,C,A,-157.47276727460792,1
Yes,D,E,29.084471547701675,C,E,C,D,-144.4351816256811,0
Both,E,D,-133.39444775756186,B,D,A,C,-52.64551636244544,0
Both,A,E,125.74649534658562,C,C,B,B,111.55846249281794,1
Mental,E,D,73.28467274848444,C,B,B,D,-54.58422828226966,0
Yes,D,E,29.999817057939705,A,A,B,C,-16.659487788173877,0
Physical,B,E,162.59664027126254,A,A,C,C,38.76596348450926,0
Physical,C,C,-203.04738862078676,E,E,E,D,12.390644520167797,1
Mental,E,D,-99.90524446116315,C,B,B,C,-174.6741262061603,1
None,D,B,24.79855689422333,A,E,C,A,-151.64237390424285,1
Both,A,B,91.22885350903593,D,A,E,B,96.63960292327948,1
Physical,C,E,19.308381411993025,A,D,C,C,57.352526373993754,1
Both,C,E,-69.28412150053816,B,C,B,C,73.63783931375157,0
None,E,D,106.65869539428563,D,A,A,E,-140.57180035014878,0
Both,B,A,-48.5539641501663,C,B,E,A,-122.92811956652399,1
Mental,A,C,-77.72804590717226,B,B,D,A,-40.01517571365519,0
Yes,E,B,-29.820963653167958,A,C,D,A,37.00288563708557,1
Physical,D,E,-62.884357529933986,E,A,D,D,15.574947857924002,1
Mental,D,E,31.971795516720825,B,A,D,E,96.06807103599436,0
Mental,C,C,-74.404974322081,C,A,C,E,6.706361831370562,0
Physical,A,C,49.03614248082535,B,D,D,A,-122.56819087166507,0
No,D,A,23.117067187974754,E,D,E,D,-32.7873151442647,1
Physical,B,A,44.872854516523184,C,B,D,C,38.07423585838717,1
Both,E,B,-62.94930568395114,E,A,B,C,100.01619169235116,0
Yes,A,B,-65.2166807645516,E,D,C,B,77.44020420835156,0
Mental,D,A,-106.35449954994847,A,A,D,B,83.11347074465752,1
None,B,C,-71.27832853708502,D,E,B,B,55.99940143530083,1
Both,E,A,-69.40716172208869,E,D,D,A,130.8058518239206,0
Physical,E,D,-31.096648705959463,D,E,A,A,-20.792904048119148,0
None,B,D,-82.48328587093538,A,E,A,E,12.110057872100809,0
Yes,D,C,-38.09618574171567,E,B,E,E,-100.53694739947095,1
No,A,D,65.80689369868897,C,B,D,E,50.12169416631017,0
Yes,A,A,-47.77246103399015,E,C,C,C,99.48781124554044,1
Both,A,C,-216.7763537132152,E,C,A,D,18.89875183760033,0
Both,E,A,121.792692012292,E,A,D,C,-4.743819874513507,1
Physical,E,A,-5.546373131360069,E,E,C,C,-121.82597542180287,1
Yes,A,C,-43.30810111384288,A,D,D,D,-47.7777217417309,1
No,A,E,13.266680724732593,E,A,C,C,-29.687608060566294,0
No,D,E,-65.77524031995719,E,B,C,B,40.47667707806626,0
Yes,C,B,-80.17028337417385,C,E,C,D,-167.36640691318252,1
No,C,B,5.705706854030433,C,D,D,A,-43.61780189156648,0
No,B,B,-21.554705335785762,B,C,D,E,149.98981046085768,0
None,E,B,-39.264332734128104,E,C,A,D,209.47395555957465,0
None,B,B,55.20901564331795,A,B,D,A,-7.853456848596495,1
No,D,D,90.47115943462812,D,B,C,B,-32.725120670479534,0
Physical,E,A,17.90762913398478,D,A,B,C,182.18590098555114,0
Both,C,C,77.4651891022085,D,A,A,D,-90.3182976916368,0
None,C,E,111.27998708920272,E,C,D,B,-80.47834233567363,1
Both,B,B,122.3968508701232,C,B,A,C,-34.86797315491056,1
Mental,A,A,73.90922660704457,B,C,B,D,61.46583579175299,1
Both,A,D,-125.1197402756123,D,C,B,C,25.339972117657865,0
Both,A,D,-87.63836444723012,E,A,C,A,28.606889559301873,0
None,C,A,-59.81417921427566,D,D,C,C,-112.83487318831014,0
Yes,C,D,-124.57416241070389,A,D,C,B,124.47831091198441,0
Both,B,E,-69.6011944846399,E,A,D,D,-12.749356352878685,0
Mental,C,E,-65.9119854102644,A,C,E,E,-141.20984687112207,0
No,B,D,243.80708806651262,E,C,A,B,50.01588799872082,1
No,C,A,-70.63727049692542,B,E,B,C,115.7268665365302,1
No,A,B,69.76037078080903,A,E,E,B,138.96699713827581,0
Yes,E,D,168.7444617584156,C,A,A,E,13.548192317180588,0
Yes,E,B,-12.12836047345187,D,A,D,E,-179.79902947155398,0
No,D,B,-25.511652691521007,B,A,E,A,-82.88123178826918,0
Physical,E,B,-1.1332042848043178,B,A,D,D,128.51667116554026,0
None,E,E,22.51114815946988,A,D,C,B,155.05101596566325,0
Yes,E,E,-214.7764054826533,D,E,E,B,25.853541390149744,0
Mental,B,E,-195.68147473768445,E,A,A,E,-171.04914406217023,1
Both,D,E,50.459477086910255,C,B,B,E,-7.845302357668518,1
Both,E,C,-35.24110923311811,A,B,E,C,-28.01021831417544,1
No,B,D,-21.063785463534863,C,B,A,A,-217.7276198413156,1
Mental,C,E,44.98748219881888,D,B,E,B,240.7036241955321,0
Yes,B,A,11.953281292535447,A,E,A,C,209.87908765408832,0
None,C,E,-51.113115771546546,E,B,A,E,80.58733227931165,0
Physical,B,E,-84.62320610965854,D,C,C,B,35.67716238085154,0
Yes,B,C,93.2699880182305,B,B,D,B,150.38983118521432,0
Both,A,E,-130.31207663631506,B,A,A,A,202.40298546973997,1
Both,E,E,0.7382541963387099,C,A,B,C,11.798427110833408,0
Yes,E,B,1.5910158987063179,E,E,C,D,17.898438118217225,0
Mental,E,C,-3.123806968875335,D,B,B,E,-19.88763005425427,1
No,A,E,-73.77585867770082,B,D,A,C,37.95259816524946,1
Physical,D,E,200.70550176442373,D,A,C,A,-167.09234436773139,0
Both,A,A,42.33149491441702,B,C,E,C,78.30090219020383,0
No,B,E,79.33699573881522,C,E,D,C,-102.2737386351493,0
Physical,A,C,124.83779634736791,A,C,C,E,73.0306784543229,1
No,B,A,48.183112813905865,E,C,A,D,17.881829852279026,0
None,C,C,-9.544648040357094,C,C,A,D,79.41518254953638,1
No,C,A,23.108933279784342,E,B,C,B,-24.043087749940987,0
Yes,D,E,-53.384411680185316,C,D,A,E,-26.964671015810808,0
Physical,E,A,-246.68613479420114,D,D,A,D,-166.64487554046673,0
None,A,A,-78.84914072752815,B,E,C,A,78.5399034986566,0
None,B,E,-121.03312420325662,A,E,A,E,6.605944093767321,1
Mental,E,A,0.1680954939369947,B,C,B,A,-25.045526550829102,1
Both,A,C,-93.09640617781083,A,C,E,B,5.3014402929429085,1
Yes,D,A,29.71285599391446,C,D,C,D,-60.85663142228363,1
Mental,E,D,218.23989939967404,D,D,D,D,-28.218035788668082,0
Physical,D,D,8.355517566217872,D,C,A,D,-166.68363993523667,0
Yes,E,B,58.7587095327889,E,D,A,C,-91.41881815528969,0
None,A,E,68.7381549186315,B,D,B,E,105.51233865213328,0
Yes,D,D,95.03425772736807,C,C,D,E,-39.07265547988864,0
Yes,D,C,-113.3538921090553,A,D,E,D,7.172490770717414,0
Both,D,E,-2.913653323621161,B,E,A,B,165.80380646252365,1
Physical,D,C,53.463192477087915,E,A,B,C,-58.98439174985051,1
Both,B,E,73.56506848341827,B,B,E,D,37.54152501379949,0
Both,C,C,-139.25146209534807,A,E,B,B,49.55940365891121,1
Both,C,E,-13.523126783904083,D,C,E,A,-64.89008125073158,1
Yes,B,D,-115.28604070077577,B,B,E,C,25.9622306543139,0
None,D,C,-68.84782131794951,E,A,C,A,26.296296751735497,0
Both,C,A,121.90555707548567,B,E,B,C,57.884620241821075,1
Mental,A,D,-20.53502715275825,E,C,A,A,-154.2013140283707,1
Mental,C,A,-68.24529278903006,D,C,E,E,-61.0942209655373,1
Physical,A,A,-61.29079072691817,B,C,A,E,-36.3774335671215,1
Mental,B,D,85.50793323695262,D,C,A,C,9.696956727932696,1
None,B,B,144.94384593914626,D,A,D,B,83.08144288966281,0
Physical,B,C,-23.07457926590473,E,C,A,E,-204.2724998832799,1
Both,C,E,49.39626120675087,C,D,C,A,-58.696829931650555,1
None,B,C,-9.614559992610431,B,C,C,A,-63.68850864282742,1
Yes,C,A,4.977747245529496,A,C,B,B,48.99588657190923,1
Both,A,B,-3.9925433613026926,C,B,E,B,47.33604392292298,1
Yes,C,A,28.70584513014775,A,C,B,B,149.5843850496563,0
None,D,D,42.67352752111203,D,D,E,C,151.29040731539214,1
Mental,D,C,-96.27896421194622,A,D,C,B,-83.81736137775275,1
None,B,B,63.07979966858165,B,C,B,D,-5.710340919449238,0
No,A,B,-171.2713441423195,A,E,B,D,122.76593702553875,0
Both,B,A,-167.85921073335436,C,B,A,C,-104.7488233141564,0
Physical,E,D,77.87102452045156,D,D,D,A,-95.64194558007341,1
No,E,B,-48.06540549126107,C,B,D,C,65.24350724036283,1
None,E,C,101.1336674251816,B,E,D,D,-94.35089601559677,1
Physical,E,A,-57.81427189837905,D,C,D,B,-48.07134867183765,1
No,D,C,-13.834540127250452,E,E,B,B,163.88338476488326,0
Mental,E,C,-165.29300765353668,B,D,A,E,-105.10931562907307,0
Mental,E,D,57.45797462297131,E,E,C,E,-175.5103296700309,1
Physical,D,E,135.98405948372786,C,C,E,A,-1.706845709215083,0
None,C,D,-269.69009430656615,A,E,B,B,93.76652092005443,1
None,A,A,102.68852021536716,C,D,A,E,97.75955425148503,1
No,E,D,146.4701789102593,A,E,B,A,-210.25426306299076,1
Yes,E,C,-191.6414699212769,A,A,B,B,-3.171158767003126,1
No,C,D,212.370333472387,D,B,D,C,-32.57906511965992,0
Physical,D,E,-76.19133325024755,A,D,C,D,-107.78554822606318,0
None,B,E,-174.48586575189742,B,A,C,B,57.867460748858136,1
Yes,E,B,-55.55773484349123,B,C,A,E,16.125485233754418,1
None,D,E,26.596757885099127,C,A,A,B,20.881162564293998,0
Yes,A,E,93.17671362265324,C,C,D,D,-66.58907639334724,0
Both,E,C,-104.80695822311807,C,C,B,D,8.260599874392769,0
Yes,D,A,-41.125725781574545,C,B,B,E,-79.16197760958111,1
Mental,A,C,-157.80189690726982,B,C,C,B,47.712321269696986,0
None,D,B,-31.368140967534213,A,E,B,E,55.149041658217946,0
Mental,A,A,202.84570454379983,C,D,E,A,24.66896944070384,0
Both,D,E,-77.50915998134398,E,D,E,A,-116.8638124913437,1
No,C,E,-182.97159060373204,A,A,E,C,-35.922110677022516,1
Mental,E,B,-123.50929603867029,E,E,A,D,-8.430060558579445,0
None,A,C,18.60906445902242,D,E,E,D,44.140359153588,1
Mental,C,E,21.98907376994256,A,A,C,A,117.88116225718296,0
Physical,E,C,121.47915699400988,E,D,A,B,30.31006539013148,0
Both,C,B,-106.55710221313429,B,B,A,E,-78.64978631113495,0
No,D,B,-182.57899168375096,B,D,D,D,-13.3737654351987,1
Yes,A,C,-45.95730761966031,C,B,E,C,94.6040660869916,0
Physical,E,A,-163.54228518513628,B,A,D,B,61.45519109844907,0
Both,C,D,48.243984168299306,A,C,D,D,13.621291101924243,0
Yes,A,D,137.6236239625087,A,B,D,E,-14.431262383308452,1
Mental,D,B,-47.6257757740986,D,D,D,C,33.56521010042469,1
Mental,C,D,18.403781672683557,C,E,B,C,85.04983026593624,0
Both,E,C,-9.444544655599639,B,E,B,A,-114.71596439950011,1
No,D,C,-11.890080288678217,E,D,A,B,56.862805438338405,0
Physical,C,E,155.15946899483416,B,E,C,A,7.160567023587331,0
Both,E,A,-127.7201616359747,B,C,A,D,36.24564937974398,0
Physical,E,A,-20.32490359574009,B,E,B,C,33.079790418463226,0
Both,B,A,-25.595302279587372,D,C,C,E,112.62793060398847,0
Physical,C,E,62.947896762000624,C,E,D,B,19.4511439946858,1
Yes,C,C,88.50031061490691,A,E,B,C,-30.93940233512945,1
None,A,E,135.94929482925647,E,B,C,E,-120.83727479755326,0
Mental,E,C,-99.68234655258932,C,E,C,D,-38.02790990877752,0
Physical,D,D,-6.2605680235219605,C,D,E,B,-36.07249891628705,0
Both,C,A,-49.93132372458892,B,A,A,A,21.081374637732104,1
No,E,A,-97.37221465003232,B,B,D,D,-20.100807256077143,0
Mental,D,C,10.627441739206349,E,B,E,E,-18.02971769379366,0
Both,D,D,-148.20227267519834,E,B,A,B,-109.99110917789076,1
Physical,B,C,-132.84348002462005,E,A,D,C,-64.08138630241294,1
Physical,C,B,14.008106267219981,D,B,E,E,51.95073379113977,1
Both,E,D,51.667084264788784,A,A,A,A,-96.815568851039,1
No,B,A,221.3955988255588,C,C,E,E,-43.603879144796295,1
Both,B,B,-124.43458666947598,B,E,C,E,266.16675350640844,0
Physical,C,E,-27.83736335598842,C,C,D,A,108.71973102855969,1
No,A,C,75.07828796258447,C,C,C,D,134.67689373606248,1
None,C,A,-9.38842686397221,D,D,B,B,15.990578399669793,0
No,C,A,46.05681212014985,E,C,A,B,-229.43994111319003,0
None,D,C,147.27123658830976,E,C,B,B,-69.33738146254342,1
Both,E,A,-144.77913164084387,E,A,E,B,-55.58363930740672,1
Physical,E,B,37.22797742691432,A,A,A,C,37.92429965551777,1
Both,A,D,32.9657045232621,D,A,B,A,-137.86553234767794,1
No,D,A,-72.32987433782523,A,B,B,A,229.2008609643422,1
None,B,E,57.68538015487219,B,B,B,D,-87.56550870527123,1
Mental,A,D,-2.2971386805589513,A,D,B,E,-117.94511200279698,1
Mental,C,C,-2.1993698581486125,B,E,E,A,156.31941745216764,0
Both,B,A,68.33991379700414,A,E,C,E,-37.78048994356988,0
Both,D,E,72.52366662196039,C,D,E,A,-28.197984142010657,1
Both,B,A,19.104755518130062,A,E,B,C,-33.61687366492073,1
Physical,D,B,31.731890895883446,C,A,C,B,-73.98584844652432,1
Mental,D,D,-51.438937869272074,A,B,B,C,105.509854487455,1
Both,E,D,4.529333557422073,E,C,E,D,-120.75914628734705,1
Yes,D,A,-75.19820036515796,A,D,B,D,90.65616179698145,0
No,D,B,-80.72005736816466,A,E,A,C,-12.12604288204041,1
Mental,B,D,183.61061496179803,B,D,C,D,80.08618965121225,1
None,C,E,122.84922716064091,D,E,D,C,108.37611538649182,0
Mental,B,D,-3.3472875514107243,B,D,E,E,-45.16187096225334,1
No,B,E,139.07425349282758,D,D,C,A,-16.333427434599948,1
No,A,B,168.95173736903752,E,E,D,B,-16.63534749065784,1
No,C,B,-200.62322744486684,C,A,E,D,-54.471256671565726,0
No,C,A,-9.610091030737916,D,D,E,E,-110.30998609313187,1
Yes,D,C,-93.17277984849078,A,E,B,D,22.280517779543356,0
No,E,B,-41.21443673268968,A,B,E,D,108.78533635558432,1
Physical,D,B,-91.58157268543587,B,D,E,B,100.19651426009351,0
No,B,B,5.921332170986361,E,B,B,B,51.13641706009084,1
No,E,B,13.493994143428232,D,E,D,D,250.44250804271928,0
Both,A,C,-123.08142342570638,B,D,D,B,-102.62250059787394,0
Physical,D,A,-50.87368324146414,A,E,A,B,-58.39597467271729,0
Both,C,E,-122.92528530883023,C,E,D,E,58.28834906530567,1
Yes,A,B,62.07140004170964,A,A,A,D,-199.42456250705044,1
Both,C,C,-45.61134700157483,A,B,D,C,10.30191494431404,0
Mental,B,A,-146.89487009263854,D,B,E,A,-232.8082436474788,1
Yes,D,D,74.53525830570607,E,A,B,B,168.91758413918257,0
None,A,B,-190.15366735351793,A,E,A,D,47.81687292696259,1
Yes,B,D,-81.07961767811929,B,A,E,E,-57.036124880582584,1
No,B,D,9.657106013229184,B,E,B,E,-145.34490822121435,1
Yes,B,E,-115.628814245953,D,B,E,C,202.20203512482954,0
None,B,A,38.38235537487226,B,D,A,C,-94.55644232487155,1
Physical,C,A,91.32355685803934,D,A,D,E,-15.979081953186537,1
Yes,E,D,-180.82485469467983,B,E,B,A,-18.85148850944102,0
Yes,C,D,-38.56151116974428,B,A,B,E,-73.59229431507235,0
No,B,C,9.302644036138522,B,E,A,C,-3.1373788912715064,1
No,E,D,-208.49731630641583,E,B,D,B,23.80510458923511,0
Mental,C,E,-115.01055356659498,D,B,A,B,-18.64924482280783,1
Physical,A,B,-7.278339409628266,B,C,A,A,-55.356034525271745,0
Yes,E,E,39.14740789352669,A,C,B,D,14.393351448749772,1
Yes,B,B,72.55217836920059,E,A,A,E,41.26425038719057,0
Physical,A,B,69.01143163345297,D,C,A,B,-94.78460638139823,1
None,C,B,-211.96414263447835,E,C,C,B,49.956164359521004,0
Both,E,A,171.33791717917902,D,D,D,C,-66.63499176015222,1
No,E,E,-72.93450350623438,C,A,A,A,103.47240704499356,1
Physical,B,E,254.12471816043407,D,E,A,B,-77.66063440686611,0
Both,E,D,-109.81826988173906,D,A,C,B,-128.73124685684596,0
Both,A,D,-2.3138861680124125,C,B,E,A,150.11483555459623,1
Yes,E,C,89.51900666608627,E,C,A,C,77.83582102561188,1
Physical,C,D,-1.2556710124721193,D,A,C,C,-5.424076689007124,0
None,B,B,-68.45978118886501,A,B,B,C,43.53100962402572,0
Physical,D,B,-94.76312650654755,B,C,A,A,-83.52283661459748,0
Mental,A,A,-26.9799734989368,A,D,E,D,-17.278550469467486,1
None,C,E,-21.581240415274017,E,C,C,D,114.9488660241942,1
Mental,A,E,38.81541201752389,A,E,A,C,-110.00696057012654,0
No,E,E,-25.399111916905987,D,E,D,A,78.66021838808793,0
Mental,A,C,-61.81880168485987,A,D,B,B,78.5360262712026,0
Mental,D,C,-95.45907300221968,E,E,A,E,-58.317327228199346,1
Mental,A,C,-154.54065887752256,B,E,D,E,144.1958721481708,1
None,B,C,237.40105163318165,B,B,B,D,22.141766526394115,1
Yes,A,A,131.2656352135843,E,A,D,A,222.3192532181455,0
Physical,D,C,130.95088558299653,B,A,E,C,-128.94552001826116,0
None,E,D,20.219126559387487,D,C,C,E,81.60040275472848,1
Yes,A,B,22.800095565552265,C,C,C,C,-0.35987345930730563,0
Both,E,B,-171.88829492577787,C,B,D,B,-87.6494439056368,1
None,D,B,50.26107982854536,B,B,A,E,-48.003202247527796,1
No,B,C,49.27806819331786,E,A,B,C,-64.46573077923972,1
None,A,A,89.1163476096933,E,B,E,B,-25.99817698962829,0
Physical,B,D,253.26858622017232,E,E,B,A,77.85711263077026,1
Yes,E,C,74.27286479829955,C,A,D,D,153.5661883502363,0
Mental,A,D,-104.23281504776256,A,C,D,A,-15.722846489867731,1
No,E,D,119.24647280759797,A,E,E,A,150.85304448470777,1
No,A,E,42.64861971126977,E,B,D,D,-35.5429359528437,1
Yes,A,E,-171.7829969282369,E,E,C,C,-5.284460514083715,1
Physical,A,B,11.109931775901549,B,C,D,D,60.16838959933859,1
Mental,E,A,45.81614778002976,D,E,E,A,64.64528475771299,0
Both,B,C,122.87902306090805,A,E,E,E,-160.99881882195692,1
Mental,D,E,-211.89643843830538,C,A,E,B,118.86660084982708,0
Both,E,B,-136.71166212633182,E,B,D,D,9.617147381427376,0
None,A,A,103.26043249459475,D,A,C,D,-42.10363152346704,0
Mental,D,D,-96.28297175793558,B,E,D,D,-78.55302840523272,1
None,B,C,-57.52038988339305,B,A,E,B,-107.36564754947422,1
None,B,C,184.21460731673156,D,C,B,C,-61.410523760475755,1
Yes,D,A,238.72730670792498,B,C,A,B,23.213831291734195,1
None,C,D,22.051617758455816,E,E,D,E,41.86716490371648,0
None,B,C,72.84676530351348,A,E,D,B,112.64367538001143,1
Yes,E,C,-43.32083145259311,A,B,A,B,207.18215263117847,1
Mental,C,E,-91.55820481137138,A,E,C,D,-86.34338302935086,1
No,A,C,-94.07591273745292,B,D,A,E,102.54128772568927,0
Physical,A,A,-83.17915854846444,B,D,D,E,-164.46443818345057,0
Yes,D,E,-88.14063852478813,C,C,A,C,96.51845281456674,0
Yes,C,E,166.16228434583715,E,E,A,A,-30.267382198871008,0
Both,D,E,18.991054233559403,C,C,A,C,21.494327009232542,0
Physical,C,A,-54.01960631423124,A,B,C,B,90.34630007920185,1
Physical,E,C,156.87224777062104,A,B,A,C,8.63433602977334,0
No,E,A,59.87280713933075,B,A,B,D,54.91628375465134,0
None,E,A,-95.43757838406867,B,A,D,E,28.05150517991895,1
Mental,B,E,-70.4555470211575,B,E,A,E,18.571104068239666,0
Both,E,B,90.55411718657382,A,B,D,C,-66.96729136039903,1
Mental,D,D,-81.97860182073804,E,D,C,C,176.73843691349745,1
None,D,E,204.2523577278979,B,D,A,D,-6.639003621978394,1
Yes,C,B,148.0300569802747,C,D,B,E,78.32652739979908,1
Mental,A,A,-41.121575119072936,B,D,E,A,-17.73648831057202,1
Physical,D,B,64.91818864417833,D,D,C,A,-102.04238037813163,1
Yes,C,B,-68.81604708112296,B,C,C,B,111.081735440746,1
Yes,D,E,58.400627663667315,B,E,A,B,93.20226411719655,0
Physical,E,D,136.28888396730628,C,D,E,C,-94.76837878860277,0
Physical,B,E,-93.74811838163248,A,D,A,A,-9.845166957664258,0
Mental,D,B,138.0025282668785,C,B,B,E,-73.99330187552661,1
Both,E,C,21.058807493016403,E,D,E,C,-49.114721262957,1
Mental,A,E,23.212207999110518,B,E,E,C,-11.65178096466416,1
No,D,C,5.878951127235235,A,B,C,E,75.96552406610377,0
Yes,B,B,8.50616718474823,E,A,B,A,-116.50301504019116,0
Yes,B,E,-71.20010061336262,E,B,E,C,-173.6781223059535,0
Mental,A,E,-75.04924153861727,D,B,E,C,34.080001837504035,1
Yes,E,D,-52.983387203907306,B,B,D,E,139.92736874062118,1
Mental,B,B,2.4307031944685535,B,C,D,A,-108.6075494631138,1
Both,B,C,-33.24290365779936,C,C,E,D,17.341450595695314,0
Both,A,A,96.74492600449834,C,B,D,C,-66.97486315213519,1
Physical,D,E,102.83556043369873,A,B,E,E,-79.19599037485007,0
None,B,D,113.66454243499342,B,C,C,E,44.67014200544741,0
Both,B,E,34.61625684182005,E,A,D,B,-126.94490861986228,1
None,E,C,-84.14905447008672,B,E,C,D,-2.9268909287759803,1
Physical,D,A,47.66592625078334,A,C,E,E,-28.82060376235757,0
Mental,A,D,119.33174070244041,C,D,E,C,72.28220661311244,1
Physical,B,C,-24.116640806464858,D,D,C,D,148.70425815946356,0
Both,E,E,-151.01762696553138,A,A,D,C,8.91183339621295,0
No,A,A,78.1923066363373,A,D,E,C,-11.483624697170375,0
Yes,C,A,-16.62472548055819,E,D,A,C,65.45794936484636,1
Yes,E,A,54.029410189938496,B,D,E,C,26.810210336027986,1
None,C,E,-220.40500105233335,B,C,B,A,-25.399825256773806,1
None,B,B,126.76565084433253,B,E,A,C,16.676752160837296,0
Both,B,E,68.50964792263838,B,B,E,C,74.23572432797107,1
Physical,E,D,280.8558324439071,D,A,C,D,67.9443375688653,0
Physical,E,A,214.2458243079472,D,A,D,C,89.22610323868537,1
Mental,B,C,73.27181057921294,A,D,C,A,-8.952424682793653,0
Physical,A,C,40.97465289437082,D,E,A,A,79.1160225089776,1
