ethnicity,SEX,age_range,religion,feature_0,feature_1,feature_2,feature_3,feature_4,target
Black,Female,18-25,None,-156.8924800207311,-49.5388174220504,C,C,C,1
White,Female,18-25,Buddhist,-51.572990940076934,36.118377820917864,C,C,B,1
Asian,M,51-65,Buddhist,45.09245613128989,97.96902656265064,B,A,E,1
African American,Other,51-65,Other,-26.109501355649105,-24.656284648995626,E,C,C,0
African American,Non-binary,36-50,Christian,-72.33958239308902,114.70636584721028,E,E,E,0
Black,Male,26-35,None,20.645472787935024,42.06100059359359,C,D,E,1
White,F,26-35,Other,102.92151409866503,63.65430731938212,C,A,E,1
Black,Female,36-50,Buddhist,24.38091670749553,-143.2610104310029,C,D,A,1
Hispanic,M,18-25,Christian,33.71290457613164,-122.74073533474066,B,B,D,1
Asian,Female,51-65,Jewish,33.66000553813237,-7.405339617601279,E,C,A,1
White,Non-binary,26-35,Hindu,-47.005770471468054,-4.2847234057538035,D,D,B,0
Hispanic,Non-binary,65+,None,36.990663409973074,75.58884863958941,D,B,D,0
Black,Other,65+,Buddhist,34.15918714436664,-120.60710297681483,E,D,A,1
Hispanic,Non-binary,36-50,Christian,15.981497526202734,94.53768449067397,D,B,B,0
Black,Male,51-65,Christian,-171.20196515031913,-194.06158526962238,D,B,B,0
Asian,Male,36-50,Muslim,-39.84137628531823,12.247513626599856,E,C,D,1
White,F,26-35,Hindu,-95.3996937647465,-149.9233370415209,D,A,A,1
Other,Female,65+,Jewish,-139.4154250510516,177.76913238049292,C,B,A,1
Other,Female,18-25,Hindu,-64.13775654968363,-15.995269666294334,D,A,B,0
Asian,Non-binary,36-50,Other,5.6764239382934,-122.98183919927112,D,E,E,0
Asian,M,65+,Christian,-81.54136359075184,81.22700659730266,B,A,D,0
White,M,36-50,None,56.6748463825605,203.28373706850024,D,B,A,0
Asian,Other,26-35,Christian,-7.274070574097061,-109.03974740114224,A,E,A,1
Hispanic,Other,65+,Hindu,87.36822054984941,-3.253565822101706,C,D,B,1
Other,F,26-35,Jewish,32.38850677631112,25.84071999992334,A,A,C,0
Asian,Female,36-50,Muslim,12.14080825655664,-62.26548297608006,A,C,C,1
Hispanic,Female,26-35,None,-35.76596399841681,50.961754644932235,A,C,A,1
Hispanic,M,18-25,Hindu,-31.5368296036462,111.61124916492693,C,C,E,1
Other,Other,26-35,Jewish,30.839487930735032,-46.47054357933544,E,E,B,1
African American,F,26-35,Hindu,86.78186863223767,21.74729271052009,B,E,B,0
Other,Female,51-65,Christian,170.69262015073625,-180.72457863038116,A,C,E,0
Hispanic,Other,36-50,Other,-22.50979242066336,-51.430536138021935,E,A,A,0
Hispanic,Non-binary,36-50,Other,4.790763507151875,-71.05303704278317,C,B,E,1
Asian,Other,26-35,Christian,-38.28450950782929,-10.479923606869782,C,D,B,0
White,Other,51-65,Christian,121.97924217935459,114.75611567613957,E,E,A,1
Asian,M,18-25,Other,-73.74937272519846,-3.196992584217035,C,D,D,0
Asian,Female,18-25,Jewish,-116.78097791420514,77.80497948912324,D,E,D,0
Black,F,65+,Muslim,-193.01941457734023,-199.91626286623676,B,A,E,1
Black,Male,51-65,Christian,-15.377254890279849,202.820908229705,B,A,C,0
Other,M,65+,Jewish,-82.43869315879937,14.308940578275408,D,D,D,1
African American,Male,26-35,Jewish,-34.43486378884557,52.60567148716948,E,A,C,0
African American,Non-binary,18-25,Other,71.68424784325109,-38.90739808690777,A,C,A,0
Asian,Male,51-65,Muslim,-7.916561555981382,96.28361971995261,B,C,E,1
African American,F,26-35,None,-73.96942705807986,67.54805734239706,C,A,A,0
Hispanic,F,26-35,None,12.31115515751174,34.53087711727588,C,C,E,1
Other,Non-binary,36-50,None,-15.810077681213524,-21.088086345154238,B,A,B,0
Asian,Male,65+,Christian,-52.29213698583687,-29.635479863768072,D,A,C,0
White,Non-binary,51-65,Hindu,-10.086198094100695,40.9605258390844,D,E,E,1
Other,M,18-25,Jewish,123.3754127763847,33.83485330097482,E,B,C,0
White,F,26-35,Christian,3.79032574290087,-84.68287324146556,D,E,A,1
Other,Male,51-65,Hindu,23.21914995081992,-57.53946229398793,A,D,A,0
African American,F,65+,Jewish,98.75418827245903,-72.49650242519544,C,A,D,0
African American,M,18-25,Jewish,-63.60993318331217,43.613317446489965,A,A,D,0
African American,M,26-35,Hindu,-10.632954833936854,5.250635948197399,E,E,B,1
Asian,Other,26-35,Hindu,72.66916337294084,-21.156540051920285,C,C,A,1
Black,M,51-65,Buddhist,-22.91921084546782,-65.42403331060575,D,E,E,0
Other,M,26-35,Muslim,19.943033465717065,86.7820547760348,A,B,B,1
Asian,Female,51-65,Hindu,-42.41002150672526,27.196815181960527,B,B,B,1
Hispanic,F,26-35,Buddhist,-84.66925547627407,35.38821195030197,D,B,D,0
Other,Other,26-35,Jewish,-13.087821921056575,-53.5388135223369,C,D,D,0
White,Non-binary,18-25,Buddhist,-14.05017246195179,-89.20717877183037,E,B,B,0
Asian,F,26-35,Buddhist,-22.669255995759258,181.39075944669497,E,E,B,1
Black,Male,18-25,Buddhist,-41.187557511257886,-34.61452928028959,B,B,C,0
Asian,Male,18-25,Muslim,-201.64893457950348,-103.10349618319559,D,B,C,0
African American,Female,51-65,Other,76.88530309701311,-87.72050111956754,C,A,A,1
Black,Female,36-50,Buddhist,24.256585845738453,27.837469274457337,C,B,E,0
White,F,26-35,Hindu,248.44702467860995,-22.211189701176707,E,E,A,1
Asian,Female,51-65,Hindu,168.37498623286066,39.09853679032459,A,C,B,0
White,F,51-65,None,92.1866532113422,-15.893884727428276,B,C,A,1
White,F,18-25,None,-92.64324778133086,-42.79260388403888,B,A,B,1
Hispanic,F,18-25,Other,121.53761049389757,20.332598867444926,B,B,D,0
White,Female,51-65,Hindu,94.13365036158129,-110.59001755656422,D,D,D,0
African American,Non-binary,51-65,Other,-78.54361908083817,91.52246986738398,B,E,C,1
Black,F,26-35,Hindu,-32.98941603370626,-91.87017032790664,E,A,E,1
White,Non-binary,18-25,Hindu,35.75681882288303,-14.085701050882967,C,E,D,0
Black,Other,36-50,Hindu,64.53069652782088,97.14431319557798,E,D,D,0
African American,Male,26-35,None,-114.9146894640671,-39.67296150039071,B,E,E,0
White,Other,18-25,Jewish,-47.86686202789073,-60.795814125115065,C,B,E,0
Other,Male,26-35,Christian,-77.07080245218924,-72.5753179640672,A,E,D,0
African American,Male,51-65,Muslim,-6.152851718576049,-83.80242028406117,E,A,D,1
Other,Non-binary,51-65,Christian,-30.233702289800306,-153.88900436590004,C,B,C,0
African American,Non-binary,65+,None,20.765361242995258,-27.184381161032796,D,E,A,0
White,Other,26-35,Other,-118.77561476195955,-75.52059698185064,A,C,D,1
Asian,M,65+,Buddhist,100.08846487432186,-140.2571487218394,E,D,A,1
Black,Non-binary,65+,Hindu,9.560643681457147,78.39103817461812,B,D,B,1
Asian,Other,26-35,Jewish,-38.1436635500386,79.17121236595477,A,D,D,1
White,F,51-65,Muslim,36.83953946727839,78.37296624794898,A,E,E,1
White,Male,51-65,Buddhist,-138.26199031375404,-10.109080836600032,A,C,B,0
White,Female,36-50,Jewish,-90.00757986920004,66.3541519224923,B,D,C,1
Hispanic,Non-binary,26-35,Christian,54.598764152800236,6.199049387736762,A,D,E,1
Other,F,51-65,Muslim,-71.26079742817171,49.316342169233316,C,B,A,1
Hispanic,Female,26-35,Hindu,-40.58513558226614,35.266323036666094,E,A,E,1
African American,Non-binary,26-35,Muslim,17.628878971983113,-50.18191852566043,C,A,B,0
White,M,65+,Buddhist,-236.82016084968674,14.446701880985453,A,B,B,1
African American,Female,51-65,Buddhist,30.46187196141364,-48.34602660713354,A,D,B,0
Hispanic,Male,26-35,Christian,101.83731362583445,-2.2019983898558766,E,B,D,0
African American,F,36-50,Buddhist,-52.225021700476226,121.21772844066265,E,C,E,1
Black,F,26-35,None,-45.13845954776595,123.57544615391987,C,E,E,0
Hispanic,M,36-50,Jewish,86.30052208878337,-31.632699940784498,E,C,E,0
Black,M,65+,None,-20.72415901154717,-104.30272457457204,E,A,A,1
Hispanic,M,36-50,Jewish,86.05956908264771,-192.98632880211463,C,C,B,1
Asian,Non-binary,18-25,Christian,-55.31672226868983,-155.60113893905,C,A,E,1
Asian,Male,18-25,Buddhist,-79.60349608096175,-11.192685154291857,D,E,D,0
Black,F,18-25,Hindu,78.99780297000535,27.317838481450334,E,E,E,0
Asian,Female,18-25,Muslim,92.2434546312143,-105.17912897296134,C,E,A,0
Hispanic,M,18-25,None,-87.43866285174771,97.88333862484231,D,D,A,1
Hispanic,Non-binary,65+,Jewish,-53.9478437356986,-8.350189452933076,D,E,D,0
White,Other,36-50,Christian,34.998753631311374,27.807792421669454,C,E,E,1
African American,Other,26-35,Christian,22.08066810316917,-23.23766276602942,C,B,C,0
African American,Female,36-50,Hindu,-200.11164345058577,23.10446806192261,E,D,B,0
Hispanic,Male,65+,Buddhist,-5.6735138196534995,-84.58943015144408,C,A,C,1
Asian,F,65+,Hindu,-54.57964173720915,36.85213381822867,C,A,B,0
Other,M,26-35,Other,160.0232800975692,-77.43788908682913,B,A,A,1
Hispanic,Other,36-50,Buddhist,37.66408695992985,13.700930257289873,C,C,A,0
African American,Other,36-50,Other,68.36304423926985,-157.213382221066,C,E,D,0
White,Non-binary,36-50,None,42.24981560324244,60.85454490283423,A,E,E,1
Black,F,65+,Other,82.88754244221215,-63.4474474536717,E,E,C,0
Hispanic,Male,18-25,Christian,18.968276888414874,-66.64354631222868,A,E,D,1
Other,Other,51-65,Christian,-23.105526557954693,-12.512979328135051,A,A,A,1
Other,Other,51-65,Other,135.58279618955785,-69.45177623867227,D,E,A,1
Asian,F,51-65,Hindu,21.048093370520615,-56.24651521237989,E,B,C,0
Black,Other,26-35,None,-130.30245833885485,23.012363892394166,A,A,C,0
White,Non-binary,26-35,Other,7.811451630534768,-119.16954496789454,B,D,E,0
Asian,M,18-25,Buddhist,-14.222790469505942,181.28934833840304,B,B,D,0
Other,Female,51-65,Jewish,73.46425280109976,55.91134465774803,D,C,C,1
White,Male,18-25,None,-136.69092741718165,-142.8106518280811,D,A,A,0
African American,Male,36-50,Jewish,-76.49001129724932,-241.5048068947829,A,E,C,1
African American,Non-binary,26-35,Christian,41.87271439594064,-167.5489015333668,D,B,E,0
Asian,F,51-65,Other,56.0682639240999,11.732681163327042,A,C,A,0
Black,Female,26-35,Buddhist,-132.38523285493912,140.65049355116665,A,E,E,0
Other,Male,18-25,Other,-132.99319666242025,-62.884376736969074,C,D,C,0
Other,Female,51-65,Christian,67.8304506518916,177.3198927048235,A,E,A,0
Other,Male,36-50,Hindu,-66.49302967363433,86.68937887473568,E,B,D,1
Hispanic,M,65+,Jewish,47.90976589329332,-73.53073595843857,A,A,A,0
Asian,F,36-50,Other,-27.88485425912211,-3.0759375876648063,C,D,E,1
Other,Male,18-25,Jewish,42.95406623830783,134.46285951767433,C,C,D,1
Other,Female,51-65,Jewish,110.1293379107127,-50.03323669624644,E,D,D,0
Asian,M,51-65,Muslim,19.445306524573425,46.76921541665182,B,D,E,1
White,Male,65+,Muslim,66.70773097217376,27.688088234621933,E,D,B,1
Other,Non-binary,26-35,Buddhist,-46.49149369567813,-1.4399515261144378,C,B,B,1
Asian,Other,36-50,Hindu,-175.83308402561448,51.26641698555224,A,E,A,1
White,Male,18-25,Muslim,93.8562644880288,138.10855460183805,A,B,E,1
Asian,F,26-35,Buddhist,-76.85075723874442,38.07203406502303,B,E,A,1
African American,Male,65+,Other,61.95801081246315,15.228622475258877,A,B,C,1
Hispanic,M,18-25,Christian,16.326295786276653,38.637536907743566,D,E,D,1
African American,F,36-50,Muslim,18.962924390753365,74.07986522213086,E,B,C,0
Other,Male,36-50,None,85.99925921042474,59.51866062937079,E,B,B,1
African American,F,51-65,None,-34.63896992972778,63.71729316735364,B,B,D,0
White,Non-binary,36-50,Hindu,-68.72305755323434,-4.711783028460105,A,C,C,1
White,Other,51-65,Muslim,-114.96010605708116,-56.3712213584571,A,E,A,0
Asian,Female,26-35,None,126.65375728942116,-190.2128063046687,D,C,E,0
Hispanic,Female,36-50,Hindu,60.346788537753895,36.457219696281676,E,D,B,1
Asian,Other,18-25,Other,-123.53824500033517,49.58871643580765,E,E,A,0
White,F,36-50,Hindu,-58.54956804904388,115.94999512789428,E,A,A,0
Hispanic,Other,51-65,Christian,-129.58425061063656,-45.98577460792267,D,B,C,1
Black,F,51-65,None,113.29525496604136,-117.74863196147835,D,B,A,0
Black,Other,36-50,Hindu,-95.13324427362242,53.41272418377551,A,A,E,1
African American,Other,51-65,Muslim,49.45358197284542,-69.90166927740104,A,D,E,0
Asian,F,36-50,Christian,77.81901749189231,141.9755477330688,B,A,E,0
White,Non-binary,18-25,Christian,134.53958729268933,-37.27499863449465,D,B,A,0
Other,Other,36-50,Jewish,-49.696568773857535,30.43590435137694,A,A,B,1
Hispanic,Male,26-35,Hindu,-39.61622113207996,-167.81255202930268,D,E,D,0
Asian,Non-binary,65+,None,-15.957297704367612,4.050589828233112,C,E,D,1
Hispanic,Non-binary,51-65,Muslim,-128.42155329116883,-329.5914017045592,D,A,B,1
Other,Male,36-50,Christian,9.43283593711489,229.7474532389105,B,B,C,0
White,M,36-50,Hindu,-74.90868048595047,160.9301056424205,A,D,B,1
Asian,Female,65+,Jewish,-26.41013614438356,20.28527910992708,B,A,B,0
Black,Other,65+,None,52.66846672790396,-157.05135519569754,D,C,A,0
Asian,Male,36-50,Christian,168.6515681658479,8.813220486328687,B,C,B,0
Black,F,18-25,Buddhist,-7.430822480234177,25.497265482586556,E,E,C,0
Asian,Male,51-65,Hindu,-18.973324236342695,144.9326342723625,A,A,A,0
Hispanic,Male,26-35,Jewish,99.51939226954357,-92.37802154956601,A,B,C,0
African American,Female,65+,Buddhist,-49.998823724839035,-135.82542179250405,C,B,B,1
White,Male,36-50,Muslim,77.77410943486986,-29.778543493257857,E,C,C,1
Hispanic,Male,36-50,Hindu,-134.02850698557458,-87.55990719108814,A,E,D,1
Other,F,26-35,None,132.5775238998139,-77.50336459204595,E,D,D,0
African American,Female,36-50,None,58.10496122966978,-29.045499202339492,B,E,E,0
Other,Male,18-25,None,-87.26111180541044,28.69676123605928,D,C,B,0
African American,Non-binary,18-25,Christian,-133.87491178679468,-55.9613481729511,E,A,E,1
Other,F,51-65,None,-103.95013609276273,88.6210289683098,A,C,B,0
African American,Other,51-65,None,-123.08275820293109,185.94534595752992,A,C,E,1
Black,Female,65+,Other,-168.77168830851292,-94.09216580457706,A,C,B,1
Hispanic,F,26-35,Other,-5.2300632650997025,-153.19909024586224,E,A,E,1
Black,Female,36-50,Muslim,-132.14048854546053,-104.15287964483097,D,D,C,0
Hispanic,Non-binary,26-35,Muslim,-54.12318893078202,-67.48611366796545,A,A,C,0
Hispanic,M,18-25,Other,-21.157607311850203,101.09303364000645,B,E,A,0
White,M,26-35,Hindu,-58.144675739876185,-63.18400662212801,C,D,C,1
African American,Male,51-65,Hindu,-100.71475789849016,-4.817812076471693,A,B,E,0
White,F,18-25,Christian,76.99395050553755,121.81645273606404,D,A,B,1
Other,Male,26-35,Jewish,11.829486383385353,-27.711822203578222,D,A,E,0
African American,Male,26-35,Hindu,124.54088222971092,31.524017304661367,B,C,A,1
White,Female,18-25,Jewish,161.1203329396634,-255.35726267025876,E,C,B,0
Black,Other,36-50,Hindu,-103.05347724569238,43.22832292892388,A,D,C,1
Black,F,26-35,Jewish,-55.254496458047775,-48.45081144166364,B,B,C,0
Hispanic,Non-binary,36-50,Buddhist,7.214328380778068,94.37308884601482,A,D,A,0
Other,Other,36-50,Muslim,-34.7658126489338,-186.75422010827668,D,D,C,0
Black,Male,65+,Jewish,96.52198452969668,94.2567123727096,B,A,C,0
White,F,51-65,None,-83.33898325269266,-26.9774972414769,A,E,E,0
Hispanic,Other,36-50,Muslim,-262.9282327074197,-21.92712137621338,E,C,E,0
White,Other,65+,Muslim,-15.9073713686408,70.27273602139039,D,D,C,0
Hispanic,Female,51-65,Buddhist,-22.878830348586334,-140.85630885334274,D,A,A,1
Black,Other,26-35,Muslim,152.8152382777479,81.34289031350875,E,C,A,1
White,Non-binary,18-25,Muslim,-144.3836204273923,43.51938286076684,A,B,E,1
Black,Non-binary,51-65,None,64.22566388242906,-16.460755371317106,D,D,D,1
Other,Male,36-50,Muslim,-9.237833208994147,238.9318731102199,C,A,A,1
Hispanic,Other,36-50,Buddhist,64.79394150000128,31.718137104695586,C,C,B,0
Asian,Other,18-25,None,109.83909875688282,-235.50740818267002,A,C,A,0
White,Non-binary,18-25,None,156.2632858461177,53.03746343179081,E,E,A,0
Black,Non-binary,51-65,Other,61.51298386795543,-78.54098647748108,C,D,C,1
Black,Female,65+,Buddhist,95.31057495380475,129.53552931109743,A,E,C,0
Black,F,36-50,Jewish,-4.203118259371521,86.23942934334393,D,B,A,0
White,M,18-25,Buddhist,-14.981014810037955,-89.40254379758727,D,C,A,0
Other,Female,51-65,Christian,90.62393658550606,-12.094958474944843,D,B,C,0
Other,Non-binary,51-65,Hindu,104.01618054602667,-23.26625330678202,B,B,D,1
Other,Other,65+,Buddhist,-57.937514598175675,32.7797669689408,E,A,D,0
White,Male,65+,None,-53.33335153024353,49.31426439185582,A,B,D,0
African American,Other,65+,Other,152.34492783984913,86.48501579463706,A,A,B,1
Black,Male,26-35,Christian,64.63853607540948,9.754041131133054,D,A,A,0
Asian,Other,18-25,Christian,8.254392666155098,28.818411491370664,C,C,B,1
African American,M,26-35,Hindu,54.83245445985527,-109.41971294141,C,E,C,1
Black,M,26-35,Hindu,40.8777097817778,4.123178151608464,B,D,E,0
Black,Other,26-35,Buddhist,-129.49668226857906,137.09346417281552,D,D,E,0
Asian,F,26-35,Buddhist,62.47411777839319,2.905209974012049,C,B,B,0
Hispanic,M,26-35,Buddhist,91.55589830587473,101.56303407349824,A,E,E,1
Hispanic,Other,18-25,Other,-65.99564862064362,79.306620813886,B,E,B,0
White,Male,26-35,Christian,9.155884863179322,15.43275794999261,A,B,B,0
African American,Other,51-65,Other,-7.339717993699275,56.402046644853854,B,C,A,0
Other,F,65+,None,142.6755879302495,32.17690890143179,E,C,A,1
Asian,F,36-50,Other,-48.62940233202055,24.96844686075544,C,D,C,1
Other,Female,26-35,Other,47.56729840307787,-13.227720622602583,B,C,E,1
Black,F,36-50,Jewish,-49.66538134959148,93.95054391776978,D,A,D,0
Hispanic,Male,18-25,Muslim,79.51642666339333,-66.41260365217249,E,A,B,0
Hispanic,F,51-65,Other,170.80110786568207,-256.8579919265887,A,E,A,1
Black,Male,51-65,Hindu,149.1734821478628,73.72147130619331,C,B,E,1
Asian,Non-binary,18-25,Other,-80.38096849135849,11.71678405047588,C,D,A,0
African American,F,36-50,None,-11.960117660402007,47.55706054996206,B,B,E,0
Asian,Non-binary,18-25,Christian,9.534511332898497,41.641505822621895,B,B,D,0
Asian,Male,51-65,Jewish,-25.936292839529145,176.5948480655771,E,E,A,0
Black,Non-binary,18-25,None,-111.29224156478364,-206.8514144799537,C,D,C,0
African American,F,18-25,None,101.66071184262744,68.47388036597353,A,D,E,0
Other,Male,51-65,Muslim,24.719236672564197,-12.081788280923563,D,D,D,1
Hispanic,F,36-50,Jewish,-143.95547830667707,-147.45440892935474,C,B,B,1
Hispanic,M,36-50,None,-81.75582576342583,75.88038676498877,A,A,D,1
Asian,Male,65+,None,-228.2179609287009,-150.63212267637311,E,B,C,0
African American,Female,51-65,Other,134.038108972883,61.00603816626268,D,C,C,0
White,Female,65+,None,59.65713223620587,73.85953233321652,E,B,D,0
White,Non-binary,36-50,Muslim,-16.40275286240602,236.25219986489944,E,D,A,1
Hispanic,Non-binary,36-50,Hindu,6.953098584829992,-47.17471283143111,C,A,D,1
Black,Female,36-50,None,-155.74988618818207,-61.29298910684939,A,B,D,1
Hispanic,M,51-65,Christian,208.18891474828467,-32.03153665499078,E,D,B,0
African American,F,18-25,Buddhist,-99.58397444747689,-34.807297492660126,B,C,C,1
Black,F,18-25,Buddhist,48.975697500582086,-30.319088665638745,E,C,A,0
Asian,Non-binary,26-35,None,-157.4816560453085,104.0937577003129,C,A,C,0
Asian,Non-binary,18-25,Muslim,-65.4620004054969,177.52053988217222,B,B,E,1
Asian,Non-binary,65+,Muslim,45.75870428428922,109.7766914137015,E,A,A,0
Other,F,65+,Hindu,-80.00617187784574,-8.874737715622057,E,C,A,0
African American,M,26-35,Hindu,69.59179367461749,170.3430108817954,B,B,D,1
Other,Non-binary,51-65,Christian,125.1105400463154,-92.60974198136824,B,A,A,1
Other,Female,26-35,Christian,-23.530475105804978,50.31705269324834,E,B,C,0
Asian,M,36-50,Buddhist,-28.444439200416138,37.87285265604624,E,D,B,0
Other,Other,26-35,Jewish,-98.09365391149947,-10.768667962574344,A,B,B,1
Hispanic,Female,26-35,Hindu,-91.69550598222827,47.69654479478704,E,D,E,1
Black,Non-binary,51-65,Jewish,40.84655305119054,-26.94960484383645,C,B,D,1
Asian,Male,18-25,Other,125.31625676187599,-12.24139842599661,E,E,E,1
White,Female,65+,Hindu,204.05811023849583,-89.04690810463819,A,D,A,1
Hispanic,F,65+,Other,-34.154122221032004,-2.363706306010453,D,C,A,0
Other,Non-binary,26-35,Jewish,-74.72920542151621,37.32712359329289,E,C,E,1
Black,Other,65+,Hindu,-23.378681809398728,-29.3849980756743,B,C,C,0
Asian,M,36-50,Hindu,-8.066878314778581,86.358797229763,A,B,C,1
Other,Female,65+,Buddhist,-6.469413707585976,-104.90979155951865,A,D,A,0
Asian,Male,36-50,None,16.598600923216054,114.28704860756625,D,E,B,0
African American,M,26-35,Jewish,128.7587733123621,-69.83350007887135,B,D,E,0
Hispanic,Other,26-35,Other,-18.646712273246333,-113.922747666093,C,C,C,1
Black,Female,51-65,Christian,-142.17406824654998,-66.17987955929956,B,C,E,0
Other,Other,51-65,None,51.78742442011188,212.74972344424782,B,C,D,1
White,Non-binary,26-35,Christian,-104.99500138584601,-30.347240649441726,D,A,C,1
Other,F,18-25,Christian,64.70779566030578,116.64344597336648,E,D,B,1
African American,F,18-25,Hindu,77.65326501965951,-49.36486143179381,C,E,A,0
Hispanic,Female,51-65,Muslim,-75.19467782703896,97.71187792247281,C,D,D,1
Other,M,65+,Hindu,127.1555283041337,-47.98361022578433,C,B,A,0
Asian,F,36-50,Muslim,-84.26004072039419,-121.82155225413811,B,D,D,0
Hispanic,Non-binary,65+,Muslim,55.96654300072604,173.85376638735593,D,C,D,0
Hispanic,Non-binary,51-65,Christian,-34.536900821449784,177.09641161049032,C,D,B,0
Other,M,51-65,Other,-8.967302409662823,39.483642329606134,B,D,D,0
African American,Female,51-65,None,-67.89294320175665,58.78797011435645,D,C,E,1
Hispanic,Other,26-35,Christian,41.246213879888316,-92.01959063865692,B,A,B,1
Black,Male,26-35,None,31.150711144339294,-86.20316279854146,A,E,B,0
African American,Female,26-35,Christian,69.45319001933544,115.84198860319499,B,E,A,1
White,Other,65+,Other,-61.36330025007757,-142.39436009233674,E,C,B,0
Hispanic,Male,18-25,Muslim,-80.37135818241849,-110.50838771777165,E,C,A,1
African American,Non-binary,26-35,Hindu,80.45070553258947,-80.49466282225725,A,E,B,0
White,M,65+,Buddhist,-56.260106012393685,26.80293066572585,E,D,C,0
Black,Other,36-50,Christian,-28.931016518029935,69.88230816849772,E,C,C,1
Hispanic,M,51-65,Hindu,52.42876458465512,-161.94740058288698,D,E,B,0
Asian,M,65+,Buddhist,-151.21071770994044,-31.836499322459854,A,B,E,0
Hispanic,Male,36-50,Christian,-43.79529516919894,34.090651299593645,D,A,D,0
African American,F,51-65,Buddhist,-222.11833805284647,153.53498891736962,B,E,E,1
White,Other,26-35,Muslim,-156.9728372435862,46.132171594861084,E,E,D,0
Other,F,36-50,Muslim,-37.36831713600538,56.106291640824246,D,E,D,0
Other,Other,65+,Christian,150.2695448832062,-44.18231456807011,E,D,D,0
Asian,M,36-50,Christian,-47.763149961942005,172.90578268151228,B,B,D,0
Asian,Male,36-50,Christian,81.7228086020907,-22.99377815421989,A,D,D,0
Other,M,26-35,Hindu,152.4640983355678,-27.31908595992901,D,D,B,1
White,F,26-35,Jewish,-161.86164586637372,-82.11312435423253,D,C,E,0
African American,Male,26-35,None,18.22617393940851,187.86857868055841,A,A,B,1
Other,Other,18-25,Jewish,198.79606339040694,43.32747523865629,D,E,E,1
Other,Other,36-50,None,-39.14674125496181,-68.88567199533531,E,E,E,0
Black,Male,18-25,None,32.608515965639576,-65.92303151619879,A,D,A,0
African American,Female,51-65,Christian,-183.03122383103647,58.275000129891474,C,D,B,1
Hispanic,Other,51-65,Christian,58.564921614946016,-71.8066740259894,E,D,A,1
Asian,Non-binary,36-50,Hindu,73.94725010064066,46.855993448353615,B,B,A,0
Other,Male,36-50,Hindu,-98.35323051327768,-102.9832989205854,C,A,C,0
African American,F,26-35,Jewish,-66.03207634638186,177.83605645977778,B,D,B,1
Hispanic,Other,51-65,Hindu,100.94418879433714,102.52742861130552,C,E,D,0
Hispanic,F,18-25,Muslim,-19.310478789858323,123.99790355892053,D,C,B,1
Hispanic,Male,26-35,Buddhist,-88.52223929232905,25.56933338270926,E,D,B,1
Asian,Male,65+,None,-63.77203585001219,-39.13947810648915,A,D,C,1
Other,Other,18-25,Buddhist,7.738009700769903,122.65665338909497,A,A,D,1
White,Female,65+,None,150.38614800504857,137.61683307325902,D,A,A,1
Hispanic,Female,65+,Buddhist,3.3862203656241334,-27.793212003371604,E,C,A,1
Other,Male,26-35,Hindu,38.80541279413474,169.05903979517993,B,C,E,1
Asian,M,65+,Christian,140.65919808796025,19.1683349740163,A,C,E,1
White,F,18-25,Muslim,98.1265662570024,-156.86268259691997,C,D,A,1
Black,F,65+,Muslim,117.18886004646913,199.0667909335885,A,D,C,0
Black,M,65+,Muslim,13.9310990148152,104.57160609640034,C,D,E,1
White,Male,65+,Jewish,27.57667913407763,-77.55669368378197,B,A,C,1
Black,Female,26-35,None,138.0100298908573,99.76145503188242,A,E,C,1
Other,Non-binary,26-35,Muslim,44.79371302653618,-247.15306944494563,C,D,E,0
Hispanic,Female,51-65,Other,-118.6351383603879,-8.272250549526849,C,D,B,0
Black,Female,51-65,Christian,-195.59545791187688,-84.21585941515292,D,E,E,0
Black,F,26-35,None,-193.64879539474623,-104.0360565938863,A,A,B,1
White,Other,18-25,Hindu,92.33783154587039,-123.37401394482563,A,C,A,0
Other,F,65+,Buddhist,-224.78497894176647,10.347563317591915,E,C,C,0
Hispanic,M,51-65,None,-0.499279428846607,71.05923303573016,B,A,A,1
Hispanic,Other,18-25,Buddhist,91.17005736480397,84.01019842954543,C,B,E,1
Other,Male,51-65,Hindu,-77.65435657973191,-265.2042042621775,E,C,C,0
White,M,26-35,Christian,-206.75112170663823,30.009015575762803,D,A,D,1
White,F,36-50,Hindu,83.12012385483591,-39.97978451180021,E,E,D,1
White,M,51-65,Other,-139.2162466641103,-131.45254048055594,D,D,E,1
Hispanic,Female,18-25,None,-120.34234844004442,296.4760009780864,C,C,B,1
Black,Female,51-65,None,2.7512154891430494,230.5564954115857,B,B,A,0
Hispanic,Female,18-25,Muslim,151.2956541864323,58.64087380067827,C,C,D,1
African American,Male,18-25,Christian,-118.1709848789245,104.13377935233095,B,B,A,0
White,Non-binary,18-25,Other,5.687969110082785,162.35957245892777,E,D,D,1
Black,Male,36-50,None,-43.812114653722844,105.16627579048053,B,D,D,1
White,M,26-35,Jewish,89.54060097441932,101.97388335847361,D,B,C,1
Asian,Male,36-50,Muslim,118.01837067966976,98.13800190014821,B,D,E,0
White,M,65+,None,-37.263676577879465,-32.06985864730471,D,E,B,1
White,Female,65+,Christian,105.27353819208957,-3.5254201039514896,D,B,B,0
Asian,Other,51-65,Jewish,92.25032921137057,11.49126681903614,D,A,C,0
African American,Male,65+,Muslim,47.08622777794477,-163.60279938070332,B,E,E,1
