veteran,handicap,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target
No,None,-106.7745025937739,101.90856234142105,C,-139.71570549891328,A,D,-120.8552246871689,D,A,85.34995780788795,B,C,A,B,-101.99657871228747,D,-103.2736222482585,-104.64070319085161,0
Non-Veteran,Both,-110.53045005775371,-83.64860849763637,D,-7.653881669275465,C,A,14.283418115859778,C,C,43.67948259707538,B,C,C,A,-39.4460214892253,A,-26.24783679787272,-13.11570424007525,1
Veteran,Mental,65.84887764475444,65.44568772268418,A,51.11396128832282,E,D,-98.35080023043867,E,A,-160.1768445815117,E,B,E,B,128.0266477810472,D,-17.71658708905179,140.68006120575015,0
Veteran,Yes,128.34073840118484,26.466170914663913,D,-47.799612908104116,D,D,23.2554432853788,B,B,108.38531086916983,C,B,E,B,70.84245235715832,B,83.67976701615156,-36.19261646815263,1
Veteran,Mental,-6.27054870918878,-209.86933601338774,E,-211.64981343165329,E,B,-113.68932151822855,A,D,-166.61724885374335,E,C,D,D,26.076874900923404,E,-16.25189174073677,-73.99633109375212,0
Yes,No,186.5811341367758,-16.14427226935307,D,-53.584122373872155,A,B,-98.73155860495135,D,C,104.89050786649823,E,E,D,D,70.51971847624341,D,-48.83600605841379,-291.0390962128594,1
Non-Veteran,Physical,41.275535262133204,66.11484231514694,C,114.64940918666969,D,A,58.55765301462939,D,B,-27.402180351922677,E,D,E,B,247.7377641146379,E,151.7763220347875,7.078106940798652,1
Yes,Mental,126.2452793052396,121.22760869704862,B,-64.28738056393726,A,A,-8.878655619755323,A,E,-111.31862776418579,A,A,A,B,-5.683088585898155,D,-23.729364062046457,-105.07066907535905,1
No,Mental,71.69223956014262,153.50294601338308,C,27.620798357608333,D,D,82.90187791787275,B,C,247.877964441456,C,D,C,C,-29.02650655937235,D,136.96996937692344,-17.632471362379547,0
Veteran,Mental,-105.42286359548594,-41.71318687992763,C,105.43404134718092,D,D,48.51268633883707,C,E,-161.06192130769685,E,E,C,B,101.31704981807621,A,60.648727238373546,-4.385568781869209,1
Yes,Mental,-105.89772885145774,50.25028719865225,B,-129.03357306181994,B,D,-129.59691351307953,E,E,-2.6723824053636136,E,E,E,E,-142.38883008356046,C,33.712391747026075,69.45970419606292,0
Yes,Yes,-4.6203957892453476,50.13132604502305,C,-117.08106519151278,C,D,81.7718128203172,D,B,66.74249103342866,E,B,B,A,-34.330516637693364,E,132.27585387095695,-81.98871002061824,1
Yes,Physical,5.5201515206247125,-153.89700267773182,B,208.79188191331454,C,A,147.67686862849635,A,A,-3.1629897856433926,C,D,A,C,30.683714887752828,E,108.29564136848755,-211.1166553145082,0
Non-Veteran,No,4.478937938733692,89.28493469993866,A,0.8205501569792446,B,A,62.644550461539794,E,A,110.56920617605763,E,C,E,D,74.96553691766465,B,142.94299528301275,159.03924507401868,1
Yes,Both,-108.40163678767809,-7.949565791507916,B,77.57215749175974,E,A,90.31152014093522,D,B,-150.58404359615568,C,B,A,C,83.17940323945821,A,-10.478816596569438,172.1420261078817,1
Veteran,Mental,113.84117364347925,-77.75955593707724,E,62.67103312258486,E,A,53.73498008236797,D,A,-31.215932260098306,D,B,C,D,-49.38658180447113,D,-55.87087052288031,-55.82217451110134,1
No,None,17.095775885666527,86.17916077962734,D,-16.714104577927564,E,A,95.8799200375448,E,D,48.04270735224686,C,B,C,D,47.80094363403272,D,243.0401354105583,-26.19602416602047,0
Veteran,Yes,-20.405401865800357,-146.82745564290568,D,64.42455319234655,C,E,-52.44192599691196,A,A,23.52607696454834,D,E,C,D,31.9768383114194,E,-88.89719500941783,-80.86815266715776,0
Non-Veteran,Yes,6.620931721518561,-109.93449874956656,B,-73.9690088548548,B,B,-76.5606042428829,D,C,106.24911630994328,E,E,D,D,70.7970873195953,C,123.35754441074407,-40.94728036835993,1
Yes,Yes,-96.87034794669216,-111.43562575926292,A,107.52543351670818,A,E,166.11357700825533,D,D,-155.3378299393737,E,A,B,C,43.6699054093261,A,195.92646191957508,-183.52934302455404,0
Yes,None,-25.152023854530807,37.43541500111639,B,-97.8736401771643,D,D,-161.03468947502012,C,E,62.61649633654906,B,B,D,B,-219.95102962664177,B,85.95832841933411,30.316264023777656,1
Veteran,None,12.237044573038093,13.44369555391191,C,114.24150610542014,C,B,-69.54311257012493,D,B,119.17555259189807,A,D,A,C,154.8085233310605,D,120.57654070197434,-65.23956600805842,1
Yes,Both,-54.25270870832747,199.91760376092518,C,29.582374293463836,D,C,-20.90828337961043,B,B,172.93334950575374,B,A,C,E,113.22099745360259,B,-94.53976873158953,76.32655425049589,0
Yes,No,-71.41341019156569,1.1009062509881569,B,59.95202739642021,D,C,95.6372696710307,C,D,-92.12600766449869,D,B,C,A,-33.30865830321267,D,-87.51129202428797,282.50562346376915,1
Non-Veteran,Both,9.002447559464114,-105.25142057793926,B,-24.842642809212123,C,C,170.30085377804366,E,E,-9.993620334628524,C,B,C,D,174.95045609544823,D,110.68508089875391,80.26344588227016,0
Non-Veteran,Both,-2.0286547488199416,4.098588523732659,D,84.22476176421,A,D,-80.47937619818654,D,E,147.0022222073447,D,B,A,E,-0.9546985827373425,A,-22.725293654182437,-208.1491606739702,0
No,Mental,-66.56492617556366,-124.03675632365017,B,-56.98735300276302,E,B,81.17573511617661,C,D,67.4961277819508,E,B,E,D,-289.5217572996798,D,-122.08621060062337,-112.631542991848,0
No,Both,-161.87863016497013,136.33693099594043,B,-49.66217960204561,D,A,20.39625885128526,C,D,-45.00169541266398,C,E,A,A,159.83953261965073,D,143.21241209526292,-32.874730084413564,1
Yes,None,63.41507508283046,-198.64584835563073,E,53.3410332438083,C,A,1.3434634429332903,B,A,-111.9792267046587,C,D,D,C,6.837369415160907,B,47.42845679356126,-178.6733133110247,0
Yes,No,-60.03805849210543,132.25604054402478,B,25.390483983933947,C,A,-69.50880029152756,D,A,-68.34701669836467,E,B,D,C,-111.88018422599788,A,-8.832101880400572,-111.14318550389225,0
Veteran,Physical,-106.23798503438407,55.49546978799712,D,55.66370300696126,E,A,-277.2001105551876,D,E,-82.10935399882918,B,A,E,D,41.34232571066622,B,116.58541356638077,-10.261219758463588,1
Non-Veteran,Yes,185.4557013406791,225.87726110133048,E,-189.19252717658094,C,B,60.80604443751473,B,C,-80.05233025798069,D,B,C,E,-18.134459109743954,E,-77.55318813973145,77.90200387657387,0
Veteran,None,-99.31242594819932,92.76572334849658,C,31.788349732170417,B,D,-79.99736024912958,D,C,-91.75194687944756,A,E,B,D,111.05961011757843,B,113.8356921075748,-35.762771664637874,1
Yes,Both,-92.35798946404356,75.81144462811746,B,14.736802854314297,D,C,11.498573138180035,A,D,8.924195523901048,A,B,D,E,21.67605097472788,A,-157.53376738679177,76.98251247355526,1
Non-Veteran,Mental,118.7396378231832,-67.40071131826066,B,24.30651376186492,E,D,72.52414340401658,C,D,197.85661834127183,E,C,B,C,72.59542949243847,B,-154.68010954350294,66.23021030656253,0
No,None,12.422032839004638,-96.08555341312547,C,108.66678506140843,B,D,-46.0878369793761,A,D,47.1614982425923,D,A,E,A,96.96823783601788,D,-72.51432454481746,145.040864423505,0
Non-Veteran,None,103.64641832961254,-19.208660041938476,B,-85.10549548674949,D,B,-91.24391558931843,A,D,-2.931169125669082,E,C,E,E,-149.89311789427936,B,12.556525779611263,5.541935092050685,0
Yes,None,46.12221740087308,47.25594630322185,E,62.496127875256846,E,E,11.960198372183399,B,E,118.99491530823705,A,E,D,B,28.478223699213363,B,-64.8909473817945,-49.464236852334544,1
No,None,-39.77580914109108,-2.116820764970159,B,-61.88491330980892,D,E,-186.33181987668306,B,E,-48.17854889033159,E,C,E,D,-79.0944608475395,A,166.75833919228688,96.81681841565354,1
Veteran,Physical,-135.85823685802606,99.42197784601622,A,-112.31383325176165,D,E,-49.83580440481188,C,C,-9.870318639033199,D,E,C,A,-86.2640460629593,A,10.162049776834525,156.0112537956583,0
Yes,No,22.26462341391511,72.99266372503939,D,-72.30967620890557,D,E,-36.0709080384898,A,B,-29.598350710151504,C,A,B,C,-90.1617804258206,B,-40.139727946234736,7.5653858902251905,1
Yes,No,-128.1957530178714,20.92878966638725,B,-10.235597654535539,A,B,17.327231226447942,E,D,108.97206628515319,A,C,D,D,-16.203028735366402,B,-62.96983168453385,-54.28444249665249,0
No,None,185.58198165062097,36.983739620252074,D,-106.75654024348094,A,A,76.13250577207744,B,A,7.403724322409046,B,D,C,B,47.217898144069466,B,130.24191718088693,-34.628711753788686,1
Veteran,None,-89.86377828219526,-17.03246635095219,E,64.99421376832905,C,C,-213.6640379630647,E,B,-13.054881442497404,C,C,A,D,-111.26801845148402,E,50.6225027224955,-85.2728213928269,0
Non-Veteran,No,-13.550779272127034,-38.61337692112376,C,71.81054331792947,B,C,154.35125775664355,D,C,137.9821907532783,A,C,B,B,-11.786807895543669,C,3.1614038590058615,-100.4075488174266,1
Yes,Physical,-85.35007617505535,-262.4810067801625,C,-106.6631737677525,A,E,114.07280821315791,C,B,153.137188281586,D,E,C,B,42.849885886533606,D,-117.15540859317164,-79.03406087087733,0
No,Both,79.14824120264234,-44.39506244390351,D,79.58247756362684,A,C,-59.08537024895787,C,B,61.19536971157393,B,C,C,D,-30.595761788467268,D,112.78740916075883,-129.46954370984062,1
Veteran,None,-105.71296216262805,69.04820106636711,D,127.08258539195268,C,E,7.062205496158358,A,C,89.16430161260074,E,C,A,B,-87.60023874775078,E,-48.071227165419295,-201.74499425696771,1
Yes,Yes,-111.45209461734584,169.3624325312322,A,-76.11228209293544,E,B,-25.8202577122007,E,B,-67.76000069017864,D,A,D,B,-144.4884249449493,A,-65.93897616390835,57.66888608085553,0
Veteran,Physical,16.816304228034756,4.712747236158893,C,211.78239125517587,B,D,62.1548440803815,A,C,-142.64716904026668,A,A,D,D,-56.97795433741623,D,37.07230704349433,47.20916083234148,0
Yes,Mental,16.620291186493276,-15.097465287520615,C,-24.602527831368096,C,E,-32.880475117124455,C,A,14.790817480577592,B,A,E,D,-111.02949042888967,C,-83.7534663739085,-59.83056338321294,0
Non-Veteran,No,-44.33606356590875,24.787480937944675,A,-96.3338227375082,C,D,166.86715911415183,C,C,72.80905615868288,D,A,C,E,80.79566479480862,D,-193.9740981776662,137.96498334725192,0
Non-Veteran,Physical,-86.67902429753008,-28.39742186615278,D,-83.08712880982559,D,B,-123.10892058217775,E,A,-74.56811385819739,C,B,C,D,-127.83096841493804,D,59.78002766169269,-9.874009671479017,0
No,None,87.87837653963926,-190.75440385823578,B,-2.2860073126779232,C,B,-75.56960741344706,D,A,27.734726961397627,C,E,A,C,-45.06200503772186,D,29.912622493478942,63.540548367564774,1
Non-Veteran,Physical,104.53972013485367,228.1087958415706,C,-113.4554077756883,B,A,181.65359667184188,C,E,-61.453211943324035,E,B,A,A,-34.971387672512755,B,204.8559422211216,-180.00779815517288,0
No,Physical,47.68310089323312,-20.172810560938174,B,-74.30010268203722,A,D,47.64562510019272,D,D,-33.59003570266823,E,D,C,C,105.665886675292,A,61.39218792531518,25.05741637563752,0
Veteran,Physical,-27.19553646725814,-99.93415628794183,C,94.53550875178912,E,D,134.00721639164834,E,B,-31.58911360304263,E,A,E,C,-51.869761336738605,D,-23.21082166000786,15.161378654226315,0
Non-Veteran,Yes,-37.001028935909744,-151.80393520339845,C,-69.72702446277185,C,C,292.09699436241425,B,D,-86.47451967457236,C,D,A,D,-75.76668778749288,B,48.067253633235126,-7.93824338647581,1
Veteran,Mental,75.543307562858,-21.66771612635828,A,-116.16406955755443,A,B,-30.570990679596555,B,E,180.70014101505302,A,B,A,B,18.39533913133516,A,-107.31867211247221,-3.701449716538721,0
No,No,-26.073252447937143,-89.32653469337014,B,-103.50949203486846,E,A,-82.95812425733993,B,E,-114.48104061756241,A,A,C,A,112.96420913671841,A,71.04497474971146,-61.52609773606152,0
Yes,Mental,78.08243057806249,-7.408474840508342,C,19.58865598841916,A,D,52.94732786204677,C,B,-44.88825035839037,E,C,A,E,-124.5548318647698,B,-76.67768463925792,26.53687177151898,1
Yes,Physical,40.93283064825821,188.13723710521217,E,20.850984193646404,A,A,70.17905387168425,B,D,-21.957458069042353,B,B,A,C,-134.12970954761144,A,140.88077231887303,-47.08304785678434,1
No,Yes,-197.67730418294974,-66.95785099883929,A,-198.17417357456205,A,E,122.94764446590278,D,C,187.59979477551894,D,B,B,B,-84.2320656606324,C,-5.585193222079944,12.463166686927707,0
Non-Veteran,None,88.78399496212566,87.59067136383665,C,-14.996500928254056,D,D,-46.85418482631635,D,A,-125.05233699242386,A,D,A,A,266.0826302611554,C,-1.8455950862171449,33.951415410754954,0
No,No,-57.96245493190392,-74.80388840755371,B,-127.7722161968478,C,D,-67.19344990364337,C,E,186.52343450270007,A,C,A,D,99.10258393182433,D,61.79617320826198,-44.77025376737435,0
Veteran,None,86.15004262241132,-123.01058608245373,A,-64.62821095703552,E,E,78.29327337383253,A,E,-9.386332258257983,B,A,E,E,4.289846112941252,B,-165.4408009701915,87.9516685425465,1
Yes,Both,158.9659552759777,26.978139471087314,A,-11.252224807636193,B,A,27.160757775422507,D,B,118.39327639261693,B,B,C,C,-14.267457482156379,C,9.753466967151528,-80.21764821086424,1
Non-Veteran,Yes,-25.046144611896054,95.34459110111585,E,176.4703846509389,D,B,102.39746505696591,E,A,-75.45808510599473,B,C,D,E,74.2001858778358,D,104.88260706700758,19.954031249850864,0
Veteran,Both,-30.739023868720317,38.287963476476094,E,-45.23853188735726,E,B,-99.45068540720966,B,D,-124.20729606629169,C,B,B,C,-165.21817209297274,B,-174.74237157871084,89.38698907910401,1
Non-Veteran,Mental,-92.19300424093693,-51.86096124714916,D,-53.187065224495676,C,A,150.38464782612672,E,A,-102.54293921608868,E,A,C,C,-133.895080173971,C,-103.99441035147285,-43.31217570694112,0
No,No,-41.97697791598032,83.63563004924832,E,-30.604404762547784,C,D,-103.53917210589772,E,B,82.01267624180232,B,D,A,A,-16.2936262436696,E,39.76831214052326,44.13539096785093,0
Yes,Yes,-132.51733624773968,-62.60800609915299,D,-18.842764825600867,A,A,106.03560031813007,D,E,39.111394483150605,D,D,E,C,77.71844670815243,A,-71.60001553158149,-33.10968771222982,1
No,Physical,-128.87596830484912,54.19838503582829,C,-70.69712470623091,A,A,-12.20261824332825,A,B,29.991824495010334,A,D,B,B,48.25362550766229,A,108.87597177885739,192.3264041385409,1
Non-Veteran,Both,-38.51581216193681,-3.479856842073807,D,38.4854116326584,C,A,-201.77067123890558,B,C,-62.78096982583203,B,C,C,E,-14.291020197360977,D,53.567914273442305,-28.114669060039056,1
Yes,No,8.54599565463654,21.030034698113774,D,53.8391304004933,E,C,78.53105247370394,A,A,-134.61380602990442,C,B,E,D,-52.261231554258394,D,85.96579026866135,-40.369407920252456,0
Veteran,Physical,-121.07855574115176,-2.884413828757518,D,34.67737527214402,A,C,44.47016562927248,E,E,74.64957311919095,C,E,D,C,-13.130529895050211,C,14.567241348829615,135.6997880964307,0
Yes,None,-81.06730035003721,90.88176354350928,B,-38.53750475873212,E,D,-102.37292654325809,D,A,-214.96924478100712,B,D,B,D,-125.49518032310512,B,-50.841558702740365,110.68367499304756,1
No,Physical,74.67622758126325,-155.7310857526454,E,29.270240629769468,E,C,98.54666322859312,C,D,4.849669617917258,C,E,E,B,-88.46704793167733,D,223.43709708123228,62.75449069261947,1
Yes,Yes,-48.203361017219834,88.57561936514367,E,33.25508370457839,B,D,-56.269432480097805,E,E,24.950639731104125,A,A,A,A,102.0124156672729,A,41.72896767597867,162.57027444284566,0
Yes,Yes,99.02986726420113,-68.49961456409359,B,20.93428543982226,D,B,53.46638618475986,A,A,0.0921094182769401,E,A,D,C,-174.32631676628512,E,-9.833805926290099,-66.73548519088735,1
No,Mental,-46.2515393604851,-99.02970813405823,E,174.2098629697043,E,B,-118.40395662367429,A,E,54.09592677501548,B,B,D,A,-63.168954275810776,E,-44.126008234443425,-11.216815618345374,0
Veteran,None,-118.05156705180511,183.0279401738996,A,199.75885081316866,A,E,-56.763728499899656,E,D,-26.241332757426726,E,A,C,D,-67.27951542495583,C,-137.47548124159078,-86.99750282360876,0
Yes,Mental,-38.714910025425944,-197.41243172967827,C,65.67949655310191,E,E,110.4318445128786,D,E,-75.21200227672958,C,A,B,A,37.87343342834566,D,-20.153259233241407,8.894606592232602,0
No,Mental,23.538756006373053,177.84857262114403,D,-62.877074618639604,D,C,1.7793536250955093,E,D,35.209038144002456,E,D,D,E,-19.966315388221894,D,-162.0288876870412,71.43048996224144,1
Non-Veteran,Physical,31.664677015906566,155.28227279529045,C,-7.115122945194672,E,E,-231.88699739815647,C,C,54.36517169006269,A,B,C,A,-183.56462002268816,E,77.33251173271641,-90.74542780815561,0
Yes,No,21.50206573996271,-44.22697005665642,B,60.904179550303425,C,A,128.3450110035609,D,C,72.49259453734686,D,E,D,B,-75.64130901913482,E,21.455374050764153,76.89060309951728,1
Veteran,Mental,-95.81201100561965,-7.334796189539651,B,116.83860901236358,E,A,-111.35981123186332,D,D,-62.49253165482942,B,A,B,B,-59.92902050308596,A,44.57237953680823,112.78605679870002,1
Veteran,Yes,115.24008564660868,-40.633081227458526,B,110.07596207463648,B,C,132.9105838070681,A,C,52.34509522992905,B,E,D,C,69.41111923326423,A,-69.965848025817,46.027447331572105,1
No,None,-183.19666011940595,114.41390149742097,E,92.06307796848587,C,B,106.85000222822659,D,D,-111.96716158931052,D,E,B,D,61.21116543004405,C,-56.20939492157822,16.273067067855283,0
No,Mental,-51.03156997409399,40.18525661904646,A,41.14274818529721,B,C,-16.385603728839765,B,E,82.53615085240871,E,C,C,A,3.7820202986400817,A,26.58205402588057,100.20895057775985,0
Non-Veteran,Both,-61.65643953095012,77.05682729113182,A,15.797233395739294,D,B,73.87664113440853,B,B,-96.93499373549346,C,D,D,E,33.91374831719176,B,144.33653909209136,-16.538242772674312,1
Non-Veteran,Yes,32.95411995652284,-35.28903703027561,B,3.493408608023713,B,A,-52.19893992835549,C,E,-84.0862471719348,B,C,E,D,-101.15322752075271,A,-20.515604992351115,-50.28654597027954,1
Non-Veteran,No,35.87840504305406,44.767736708509496,A,159.43587601747134,C,B,-51.508062937189834,D,D,-7.685932890298133,B,E,A,D,92.93673606746687,B,-3.4693929266598658,51.49978460664938,1
Non-Veteran,None,-50.999949959060444,89.43566069562878,A,-102.51364840214134,B,D,-32.395271330013045,B,D,-205.1372492236723,A,D,A,E,58.52149451146016,C,-21.55496279201329,157.22735002047241,0
Veteran,Mental,13.928366223055445,140.86492698137008,D,-22.785576520795665,B,D,-64.67877068519276,C,B,35.002407981492105,B,D,C,B,-87.34664717226718,E,40.732908254465556,-207.7556240568932,1
Veteran,Mental,41.52280283721676,96.10720313274297,D,150.7673626666885,A,E,-171.012692509681,D,A,-73.82422099384941,D,D,B,E,90.88814531569811,C,-14.931234663718277,90.03573485955555,1
Veteran,No,-156.11249131271455,54.248243438127986,D,12.983219242819729,D,E,242.66607672726934,E,C,-154.2629036092069,B,E,E,D,46.571543428092795,A,-237.99850735471733,50.79470154837023,1
No,Yes,-38.64753154901589,-22.96356026430652,C,-63.703613117364355,B,D,77.87213588652297,B,E,174.45338144172828,C,B,D,B,30.149377373453902,C,95.84194937784683,145.35301148160102,1
Non-Veteran,None,27.187002506585184,53.01144036372194,E,-50.7291965263374,A,C,-120.64532907505259,C,C,267.33077601790455,C,C,E,D,64.01627161373534,E,-77.83975649213286,17.227560972039367,0
Yes,Both,-78.90988120707804,41.79714019133617,B,52.848415923157035,B,A,-100.97350985840221,E,D,-88.44024808739962,E,A,E,D,0.214957853121052,A,-29.406174270342454,49.699811386066536,0
No,None,-23.309281241345666,16.637198906028047,D,117.64871087035962,E,E,127.88950431660444,E,A,102.29490034190005,D,C,E,C,1.3884876119033618,B,-110.40468588585772,-196.45066164337777,0
Veteran,No,-82.1079378792669,-44.92237775542495,C,-121.69415656192885,A,A,69.45639591304013,D,E,-228.46142979100844,A,E,B,E,-146.77852610190604,C,18.34984253329088,-84.17858566639329,1
Veteran,None,-1.5863621936197503,77.77141714387827,E,61.3723254725158,C,B,-106.52251686571728,A,D,-87.45089488167318,A,C,D,C,-12.776018598749092,E,-140.47472194359352,-0.1071815363761113,1
Non-Veteran,Mental,-169.49613219914278,20.91314062526343,E,-80.06209894530546,A,B,-83.32945556565892,A,A,37.78613456233361,C,D,B,E,70.20951266405329,D,141.08395870405803,-64.73674951731869,0
Veteran,Physical,-6.6855084391928665,152.35742892604566,C,-150.31980271149862,B,D,23.523868582890664,A,A,-35.60977823245341,D,A,E,E,-83.14801538650369,B,138.05224369290158,-104.18161366694764,1
Non-Veteran,Mental,-75.96318416449611,-194.9863309724389,D,91.6114678757303,E,C,-106.42519367668102,B,A,-143.7862625815648,C,D,A,D,-0.014158736175182832,A,-63.59714991520741,-52.66465647873102,1
Veteran,Mental,59.761927224902,-48.39132664990466,A,-33.54513023350029,D,D,-22.26693082270695,D,D,-36.19085137812998,C,C,C,B,-62.79574928918736,B,-141.82738867040268,-37.01806653443608,0
Non-Veteran,Yes,160.41885791849074,183.87673463124813,C,-173.71304498271246,D,A,-165.0513769135834,D,C,178.94223785610396,B,C,B,B,-23.107462024719812,A,-121.86126114019096,134.88279215488762,1
No,Both,-106.41300471625819,151.06489890081784,C,141.02803613368516,C,B,17.242134279463812,A,E,-82.70167209503914,D,E,D,C,-52.318859027234495,E,61.45848871414661,-59.741692316221304,1
Yes,Yes,-7.389841649664879,-15.339402811828625,A,-11.884072791197916,C,E,-110.26636599551117,E,E,142.55118138052515,D,B,A,B,80.04733078041237,C,-289.47175238600363,-105.45587209120937,0
No,Mental,-9.544207656543842,-68.4416015535293,B,-74.49149647132178,D,B,84.07145682645853,A,E,8.154435635670252,C,A,B,E,44.06829392584976,B,35.75871402443948,-54.87465096230674,0
Non-Veteran,Physical,73.91518677481528,55.254385684237114,C,107.28151560803265,C,A,60.40668583309107,B,D,-15.128241106474508,B,E,C,C,-41.30885186726357,E,-49.477536488444386,97.86535826971495,1
Non-Veteran,None,189.33053809253371,-83.55576057657001,C,-7.3258243849801925,B,C,-58.6115274308511,B,C,-107.83225287182063,A,D,A,C,39.23731488538653,B,-155.74034172560144,56.90233477027413,1
Yes,Yes,1.09788991680843,29.986869942685118,A,49.59828326714321,A,D,2.263387940417748,D,E,-68.67372621645399,D,A,A,B,-107.87075612889778,D,-3.090800625861807,141.0414686013342,1
Non-Veteran,None,114.59767189599617,-101.75805201177994,B,3.4845405882282363,C,D,-102.28560981113229,A,C,56.375200669407185,A,B,E,D,-114.48272416309153,C,-68.26894028965796,-12.666733833796858,0
No,No,-40.67231235729088,91.98744366791966,E,-86.78841127423195,E,D,76.70088453155654,C,C,6.670288409969969,B,D,E,B,114.93489103648191,C,-27.444005874200467,71.09681907596827,0
Yes,Yes,-183.69250328200445,-234.88774439400214,A,-138.4906595033232,B,A,-32.39953716640313,C,A,219.06036320462115,C,D,B,A,26.53468796962904,E,-133.6827626025449,-34.93602405457393,1
No,Both,-39.27231456517071,230.7800929454432,D,37.107720446176074,E,B,-89.22293654908188,C,B,-132.4059988279728,E,E,E,B,94.8125660983311,C,11.053109972749425,138.41970227652473,0
No,None,71.5704509574305,-181.84180269362653,B,132.31039472768566,A,E,-115.97826213299473,E,E,20.092219077256065,C,D,C,B,-96.9930761110465,E,-104.77804687626247,34.56514080247149,1
No,No,-107.83972064346781,1.765920369404207,A,105.78258561275844,B,D,-66.9046038000771,A,A,-86.65082252262741,B,B,A,B,-153.8397023875932,C,94.47304910918551,-20.721418470334488,1
No,Yes,117.26201841972606,-58.71794263736384,A,-54.20947396009465,B,D,-55.211180723261734,E,B,62.75034325616423,E,E,C,B,11.97803289183244,E,40.984563898844286,2.803806841430247,1
Yes,None,75.74201192020156,-104.12949220444585,A,67.18524891697,A,E,227.49156368690996,A,C,161.19380179992945,E,E,C,E,42.37384893165703,B,55.10636674124657,143.47839282745866,0
No,Physical,-28.195089991969326,-44.50071016986329,C,44.589714764907704,D,C,-43.133795591500146,E,D,97.93805743356033,E,D,E,D,1.4735437745280675,E,100.02845543169695,69.56945233328062,0
Yes,No,87.30868539357974,9.285438185097822,A,48.16912984782633,A,D,-66.11630492789557,C,C,14.63031716842131,E,A,B,A,-53.03294651488609,D,142.98485978580936,-32.86394394834996,0
Non-Veteran,Mental,186.52005150027097,-59.51640633763999,C,-245.3546023845619,E,C,-18.2580428483262,C,B,-223.44634260313651,C,E,B,D,130.2237364608783,E,-2.9831133450548477,-78.33739683290771,0
Veteran,Both,-26.004393506336783,-162.85795633952847,C,40.38250150949782,A,D,22.829133500725828,B,E,32.35044149793411,E,B,C,A,48.35287363654204,A,69.75086559514541,40.67168515143298,1
No,Physical,-168.1753235722581,124.05485906361213,D,-161.6773075901368,E,E,70.98084442486709,D,B,-27.967342544808737,E,E,D,E,132.48869348798965,C,-112.4516435762394,-159.31484916948776,0
Yes,Mental,206.7026340584137,207.53385695141918,E,108.00051678167854,C,C,183.98961300401163,B,C,-23.16224505175481,E,B,C,D,-42.85150774837284,C,-12.82569407450366,-98.53592980587878,1
Veteran,Mental,-52.70814704268039,-170.39026970550978,C,18.785521267246228,E,C,69.78304627414832,B,A,-238.68665527499792,B,A,C,A,44.65883832706991,E,106.94173620592287,278.6353875076526,1
No,Physical,-67.60385784736664,-94.04219028675472,B,21.17993545808854,A,A,7.801319867078364,A,E,72.13947358838352,C,A,A,D,72.44162470540925,B,53.24940113329015,19.83093360549022,0
No,Both,-48.41988071560194,-37.354189141982715,A,7.950063621657526,D,C,3.617138208884374,A,D,0.34213923078131453,B,D,A,A,-17.00008461876495,B,46.042815910087164,-90.40524294830124,0
Non-Veteran,Both,-77.6939705308651,-31.2488308534822,D,18.55431083709528,E,A,2.165507576601913,B,A,-9.672161041074338,A,A,B,C,158.62447297390827,A,11.204579573859471,-164.87233296703383,0
Non-Veteran,Both,68.91494863732144,-10.492466490045192,C,-163.46398912351995,E,E,-175.8890678676259,B,A,168.47722732313306,D,C,C,C,-69.26304563664635,E,-82.97306273399401,-33.830607367202035,1
Veteran,None,71.15182243401041,-105.68373354108726,D,-39.0926635143388,E,D,1.0979290014168188,D,A,-32.57272620648538,D,B,A,A,-23.92846444386777,E,150.57178148925084,25.040189764771064,0
Non-Veteran,Yes,80.22556487301789,13.12534620991132,B,11.663504704324113,C,A,103.27894009194596,A,A,53.36023573216728,C,C,C,A,-149.38996349336026,B,70.10323769330147,-11.401230811151983,1
Non-Veteran,No,-10.631706673093134,-17.079425716548,A,-153.52272080869471,C,B,30.887310731288213,A,E,-3.7073005096024403,C,C,E,E,82.44839857225716,C,40.69462038804712,-199.5366347824952,1
Veteran,Both,-46.03144568796456,9.238127339873909,D,28.047795285482806,E,C,-98.63848477045961,D,C,129.6998443017644,B,D,E,A,-55.136941506994994,C,73.87107921417989,10.115591822937201,0
Veteran,No,-128.06400464982312,55.95612024278077,D,83.81837770152679,D,E,-45.91106530363615,C,C,123.41146975957986,E,A,D,D,3.899513872954289,C,7.147063878584676,83.18841634167545,0
No,Physical,187.59650967874217,-1.8068659362910868,B,-98.62642451683668,A,A,15.736451998325565,E,E,-79.41335862940001,E,C,B,E,-9.979563458700838,B,-29.480373441221197,77.76562561117612,0
No,No,-84.202481375358,65.58752837001065,B,-66.10674636259213,D,B,-38.684018160163944,E,C,98.02050425739051,C,D,C,E,149.9540927483149,A,24.634064573768573,-149.99578845239023,0
Non-Veteran,Both,51.91923508452847,79.5965546220455,D,31.36372311031485,A,C,-33.37083405022736,D,A,-45.72821394031622,E,E,E,D,-94.39610430328203,E,-211.9235713122702,-53.71544870747136,1
