Gender,age_group,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Non-binary,18-25,None,D,-84.91248994658449,D,E,-3.29564642645855,66.47305396862362,E,B,D,82.92365845044615,A,-34.40854781881087,1
M,26-35,Muslim,B,49.98230074360852,E,A,222.73169788132643,-0.7191344965386696,E,D,D,-69.90944171945004,B,74.91640086315813,0
F,65+,Buddhist,D,13.87570038133194,E,B,-77.53768580684866,42.50970348841472,C,B,C,47.6900494642853,A,9.580784696836004,1
Male,51-65,Christian,C,-20.41287362895314,B,A,-35.609657498298425,30.417583738975495,C,C,C,-132.90979202552893,E,-46.52648238591321,0
M,65+,Buddhist,B,8.42108986353487,A,C,-90.52926219882656,-53.253945684760986,E,E,B,59.695617120247434,A,75.54567980614463,1
Male,26-35,Muslim,C,81.85412278255635,B,E,-54.83591439754419,83.30658379534572,C,E,A,-2.342355314330394,E,9.631407118537307,1
F,18-25,Hindu,A,-83.99858931013094,E,E,24.168559030991535,38.35034001803004,B,B,B,-8.162670553028416,D,-18.38941930977413,0
Female,26-35,Christian,C,-65.66384562406856,B,E,-73.5887062540216,-3.993203297008605,C,A,B,-65.20681991337133,B,34.51127107534972,0
M,36-50,Jewish,D,-85.22518544692123,E,A,66.58407532566967,88.85543362336118,E,C,C,-32.13377946554381,A,191.01061024406988,1
Other,51-65,Christian,C,-11.133779032844286,C,D,26.234657382747134,-78.04022541294398,D,A,E,25.627777260766205,A,-62.397624516006765,1
Male,65+,Muslim,A,-56.43412146415535,E,D,-87.51101370789505,13.229352566609217,A,B,E,72.16339947472873,E,-22.3249264588254,0
Non-binary,51-65,Other,C,-22.357855032348052,A,D,21.268412019556127,135.28860844088953,D,D,E,50.86383087423319,C,19.62924787061971,0
F,26-35,Hindu,D,-194.7299844756258,E,A,75.16360473307229,-104.10224525931059,C,C,C,-92.66914597711668,C,8.212277899610912,0
Male,26-35,Jewish,A,-80.72559572923038,B,B,54.53314248307056,-197.78755914274862,A,A,A,18.19656913628545,A,-97.77290374222018,0
M,26-35,Other,B,-117.2515172172486,C,E,-102.09078396330871,89.50201688263974,C,B,A,31.996428199828365,D,-280.2939915776001,1
Other,51-65,Muslim,B,86.22801956651065,B,D,-13.091183398175637,-46.72261500074102,E,A,B,48.64186740652073,B,114.48261580914154,0
Female,65+,Christian,C,-119.57052683591667,B,B,83.29849782479239,66.2324891058957,B,D,A,13.34151384894433,A,226.25185239766967,1
M,18-25,Christian,D,-7.3033141716977985,E,E,-93.56886896242686,-28.135229570107228,B,D,E,-93.53776264773266,B,22.92895268506928,0
F,18-25,Muslim,D,1.4999516042757572,C,C,154.3931151501534,31.964991546100425,A,E,C,176.5934370663704,C,212.27573464331394,0
Female,51-65,Christian,D,-83.35622938083189,C,B,243.39228268714166,7.325453747424028,E,C,D,-143.73307252646737,E,-159.91679072998818,1
F,36-50,Christian,C,23.35605316715561,C,E,-42.04586812772048,-57.800607050785366,E,E,C,93.00225171627328,B,10.012886909923257,0
Male,65+,Buddhist,E,116.38928563659903,D,D,-22.010172487838677,64.84492320033358,D,E,C,186.58253149835934,C,-115.95611034875203,0
Male,18-25,Christian,B,-126.62099779396421,E,E,-69.34552634768755,104.14276407276046,B,C,C,225.03908186391243,A,-169.60599573654446,0
Non-binary,51-65,Christian,A,102.94313886201058,A,D,-31.768139506057697,-7.995612968683117,A,B,C,28.6973700799462,A,123.04939400630606,0
Female,18-25,None,A,77.32438597162886,A,C,-50.39316623157636,-50.36473864471027,B,C,E,-38.43747637252333,C,56.652696828658996,1
F,26-35,Jewish,B,-0.6702164682126109,D,C,72.89889837638258,238.78681757535097,B,A,C,35.62891935396567,E,-62.5013378309757,1
F,65+,Other,E,-52.96196259343202,B,C,78.36145746029544,-71.20212452515024,A,C,E,64.11798165378174,E,-81.35987997429834,0
M,26-35,None,E,-86.71819977954462,D,B,114.48985798271232,-72.02001630810456,E,B,D,188.4586455789766,A,201.4983597413218,0
Non-binary,65+,Muslim,C,-40.18914272362931,E,B,-44.14880900034984,-100.90087504885703,D,C,B,-26.37658565304576,C,-27.955420882199313,0
F,18-25,Buddhist,D,-64.03999810216922,A,C,132.04522184331583,20.186329802392493,E,C,E,144.35728374593387,C,85.20545182786243,0
Male,65+,Buddhist,B,57.29920158811499,A,D,-200.16287072954842,-114.96822305304515,A,E,B,-84.27323479257788,B,-104.86494152088875,0
Male,65+,Hindu,B,168.74380094988527,E,A,15.442550187731236,-45.63603448583494,D,A,D,-88.00720537186955,B,79.65641670071098,0
Non-binary,65+,Jewish,E,53.750130599626814,D,E,94.45070435772205,20.985524978044086,E,B,E,-144.65462131342153,D,-103.44385061751802,0
Female,18-25,Jewish,D,-134.18869183453123,E,C,-136.11369736201962,-86.56905284427968,E,E,E,-124.10785793650534,C,23.633750783725308,0
Male,65+,Muslim,C,-43.07412764703043,E,B,16.158484948955856,76.2624599920266,C,C,A,-60.99271483765354,C,-201.01448231514,0
F,36-50,Other,E,147.5387288380062,B,C,171.9011970059684,80.40602138357394,C,C,D,-142.87887167011544,E,256.2688102300091,1
Male,65+,Hindu,A,-214.41133015113908,C,A,13.027891383161913,20.35875029880005,D,C,A,86.093475387254,D,-109.98345250329868,1
Non-binary,51-65,Jewish,A,-98.9597738782207,E,B,-74.14884958243896,104.49743104612014,B,B,D,118.76255265254012,A,122.98062001356543,0
Other,26-35,Christian,A,86.0163726451015,E,A,-82.57757380364711,-78.42022793690961,A,A,D,-11.934503186168158,C,106.80668017801362,1
Female,51-65,Christian,E,19.652786937740366,C,C,-25.57144233148237,-45.089416839296774,D,A,C,37.51137290735101,D,-48.531116284691265,0
Non-binary,26-35,Jewish,A,135.227116507325,C,A,-184.8772612848159,5.970525433481397,B,E,B,-78.58406602050384,A,120.9301517980661,0
F,18-25,Christian,B,-137.34443894689505,A,D,-61.11648018301552,38.26983504678329,B,D,E,-75.47867541819298,D,-153.6905299557624,1
Other,18-25,Other,A,92.44227026689822,E,C,-10.551801361068676,102.95078392165422,C,E,E,-124.02082317182521,A,-18.457316220891144,1
F,36-50,None,B,-35.01603513072528,C,A,-61.543762770311595,143.2628016612681,A,A,B,25.991603676404807,B,-66.70426157264923,1
Non-binary,51-65,Hindu,D,180.25159434144263,A,E,67.04724075932131,177.90968498708438,C,D,E,-18.043556866727826,C,-130.38601571351867,0
Other,18-25,Buddhist,B,98.86989230331267,A,A,-12.800113325393427,-1.3672219400554908,E,C,B,-104.27500834803153,A,22.098267542303912,1
F,26-35,Hindu,B,-95.53469790731694,C,A,32.478896149132744,-62.682464137939164,C,A,A,167.5811641411433,A,-118.66261902586044,0
M,65+,Christian,E,43.72370195477565,B,D,57.81581871313721,-184.17961010221075,C,E,C,-127.60995699780486,E,-100.14896819490995,1
F,36-50,Muslim,A,18.641455976636017,A,A,136.20726909276203,-119.07897706105976,C,B,A,-83.09735027550535,A,-53.14854622704052,0
Non-binary,65+,Christian,C,-52.05672927398369,B,A,-45.21011885548021,-10.651922914975511,E,C,E,7.15198062222428,E,-26.641866883657013,0
M,36-50,Christian,A,-184.54792802651647,A,C,-41.008584550114776,1.1012291142655015,A,C,B,-35.928062782745165,B,175.91993955746872,0
Female,18-25,Christian,A,-141.30590681896473,D,B,5.640953717472268,79.1135440292821,D,C,D,106.80554413283971,A,-38.97604758697959,0
Female,36-50,Christian,B,19.22781754823956,C,D,136.4935240785242,98.7934858058742,B,C,B,9.45316320340011,C,-44.94634401877145,0
M,18-25,Buddhist,D,-102.11654726352954,C,D,-70.97098046369717,26.20959230184823,E,C,E,-89.09227360298496,C,-7.062516025929051,1
F,51-65,None,B,77.13574187318898,D,A,-11.359485877209583,89.26296152562749,B,C,B,-72.73278818844663,D,-112.53519863071114,0
M,51-65,Muslim,C,3.2748868876027437,D,B,23.04271822369396,25.728987058435482,E,E,B,-82.10636495443903,E,-153.79776246918962,1
F,65+,Hindu,C,-34.85806263104287,E,B,-72.57863142130539,-107.18834160864665,C,D,A,44.820311348604726,A,0.41000789496827145,0
Male,51-65,Hindu,B,66.74387356473494,B,A,226.2795213374161,-147.84541395132254,E,C,D,-26.687684458235477,B,-15.879119693437357,0
F,65+,None,C,77.29388912218758,D,D,-84.80942971689689,9.349546706755083,C,B,C,40.96297367945277,A,-45.9927890822777,0
F,36-50,Other,E,-73.43192470965285,C,A,170.40403941234717,60.246319188456596,D,C,E,63.54880816315163,D,-70.81427655009907,0
Female,36-50,Jewish,E,-13.192346729382432,C,C,52.718621014589736,-88.91048493617684,B,E,C,33.277482027444044,A,-158.23130446404065,1
Female,18-25,Jewish,B,-93.6886191514692,C,D,-81.87701568677292,49.94617642445095,B,A,D,48.121685838477944,D,0.12275837660191814,1
Female,65+,Christian,C,-134.52729289274373,C,B,-46.92756054244677,-65.22979915492422,D,C,C,5.076911106686322,B,-73.81814664686496,0
Male,65+,Buddhist,B,-51.00093916000918,D,A,-23.915796976401857,112.91051801127674,A,E,D,-33.80075399095942,C,-20.767935789662687,1
Non-binary,18-25,Muslim,A,-57.39248274255869,E,B,-123.77583649224937,41.10133637367171,A,D,B,235.4708917507747,B,58.49851208863507,1
F,18-25,Muslim,E,-22.606778608564383,D,D,-73.87285006579617,39.32407383756325,D,E,E,35.36337017475212,E,80.6645108436987,1
Other,36-50,Hindu,C,18.159703080468155,A,E,81.3757610445712,-136.4406514408938,B,C,E,44.40710677167499,C,32.08421225194452,1
Non-binary,18-25,Hindu,B,109.4092166856599,C,C,-0.8582809246916401,145.58575478972415,C,E,B,23.084276886061623,E,-94.07395703795838,1
Other,18-25,Muslim,A,126.79530037551908,A,A,107.90253962478207,6.59162860958491,A,A,E,-89.80485245628516,B,-9.434360326953104,1
Other,65+,Christian,A,-88.61144610444461,C,E,-112.53476245879543,95.02768250223214,C,D,D,75.8048557169807,A,-76.46203167294617,1
F,18-25,Muslim,A,193.62532705831498,E,A,210.25036031219238,6.906072667540078,D,D,D,1.5506409923349258,D,126.60848949549306,0
Male,51-65,Other,C,-36.381645592768145,C,A,-9.298029258115644,-63.68702645740777,B,E,B,-164.69849639004832,C,-17.606058200300872,0
Other,51-65,Christian,D,-160.21701654193603,D,E,-4.272262109982734,-106.74466916325294,B,C,A,48.127753124859474,B,170.1044601510324,1
F,36-50,Other,E,116.75857651343784,D,A,-28.094307664610863,-107.50059027471282,C,B,A,20.37374350486705,C,112.40435495026335,0
Female,26-35,Other,D,-23.741395628170928,D,A,97.76037511240922,21.0378319869153,A,C,B,-24.29152012188,A,42.50651896561792,0
F,36-50,None,B,267.7181354489199,B,E,-41.1446904477498,161.54933106688125,D,E,A,88.4588463744502,B,-117.65972537385187,1
Non-binary,36-50,None,E,-100.26004763177426,D,A,-71.62379347127393,84.85433197197156,C,E,D,63.114644117420184,E,-114.91688101164704,0
Non-binary,18-25,Muslim,B,-129.34991515445103,D,D,-112.95738838528054,-193.20366388255292,C,A,C,39.66419924760026,A,121.21334253054974,0
Male,51-65,Christian,C,-12.349418626691868,E,A,-100.1875064088039,38.714858508023426,C,D,C,206.44659265156645,D,310.8802713531159,0
Other,18-25,None,E,-146.2178490015318,C,A,1.7305491627537928,-151.12359672991238,E,C,E,-13.556508152845758,C,-98.55877842007452,0
Male,36-50,Muslim,E,40.93125914806428,C,A,-61.18698234106795,-103.71852814798044,A,A,B,220.39592775588858,C,-3.9085838222476523,0
F,36-50,Hindu,A,221.33640016635047,E,B,21.038800984987752,48.393824551508516,D,E,D,142.49557429386184,A,-159.64135445609546,1
Male,36-50,Hindu,D,-39.23497348898009,C,B,59.97627678908998,-102.47920512526085,D,A,D,-26.32387249411494,A,-20.013281271500432,1
F,18-25,Christian,C,-14.366355579324106,D,E,134.379352567233,21.650802105327312,C,C,C,123.85632091344651,B,-90.58806353848371,0
F,36-50,Christian,C,176.24585866509284,D,B,-68.40030135288677,-25.813218368633283,C,A,B,-79.46226620640103,A,22.208824893040116,0
Female,65+,Hindu,D,44.64517519902406,B,E,215.67675181010043,51.21239369140934,E,E,E,-94.59644807396067,D,36.773290058955595,1
Female,65+,Buddhist,B,59.784812911341604,B,D,56.611633346677145,22.832726546285,A,B,A,-59.53305406477346,B,81.71262902691761,0
M,65+,None,D,72.35606415634392,D,E,-95.1674391880761,4.797481852448475,C,C,D,-201.18200977510892,D,26.82038667148082,0
Male,51-65,None,C,-60.11197251778129,C,A,41.94088445457931,18.400895152679446,D,A,D,-153.7926403681019,B,-17.624504097280155,0
Female,26-35,Hindu,D,50.058569625672874,B,A,196.11279060731036,-62.313851014484726,B,C,A,-40.28911564097083,B,-196.91515283621138,0
M,51-65,Buddhist,C,40.759799617479175,C,B,63.91065180685413,156.76930712764496,A,D,A,65.34724957116866,A,60.60574580427115,1
Male,65+,Muslim,D,-249.85595049615063,D,E,37.13711607198168,96.3328575705559,E,D,C,-21.468145153877987,E,6.667235835340067,0
Female,26-35,Buddhist,A,108.40199001328403,B,C,127.96815004324966,-78.96436853740143,C,A,C,185.85722189322942,A,-19.039967459003748,1
M,18-25,Other,C,-0.5990223908124555,B,B,-0.3756418073595308,57.48190718530193,E,B,D,-65.14337339162213,C,-11.592909794125143,0
Female,26-35,Other,C,182.92240012249798,C,A,-19.028937145986884,-102.59276272977922,E,E,B,-83.13261452131341,D,-83.57560970592148,0
Male,65+,Jewish,B,-69.26605443163965,B,B,-62.239136177557754,-67.34919280272005,D,B,C,176.5359433230341,D,-63.96831683830585,1
Female,51-65,Muslim,E,-57.10174069363866,D,A,-38.404317622360175,5.514854291207053,C,C,A,31.630281397143218,D,11.074799164751514,0
F,65+,Christian,D,150.68652281316557,B,B,65.9993016678482,-12.825185201968312,B,D,C,-89.4784629242113,B,-37.784305982046874,0
Non-binary,65+,Buddhist,E,69.24565782086157,E,B,-80.77135834678614,59.706204687536676,C,B,D,-157.96501269932196,D,-168.23869922081926,1
M,65+,Other,E,-26.87948207022651,A,D,32.847619201659725,-81.8224532907027,D,D,A,-46.8725685692283,A,-74.70882190131192,1
Male,36-50,Christian,D,-9.504085068094865,A,B,-9.450227267913345,-52.70396201683493,A,C,C,-52.5448512954917,C,213.6083132174461,0
Non-binary,18-25,Muslim,C,44.42932683613347,C,C,6.0886702234320245,-131.88601771686632,D,E,A,-151.94713779875465,D,-22.136176588545435,1
Male,65+,Jewish,B,-146.59026773865182,A,B,-52.691222251048075,136.9026587990873,C,B,D,-45.55740991868866,E,79.90420612948272,1
F,26-35,Muslim,A,-30.944999896484347,C,B,56.07693476053809,-95.65058004784586,B,D,E,-59.53593882548475,E,-15.461544331396082,1
Male,26-35,Buddhist,B,-36.13143264041385,E,D,75.90059232763838,-9.76074740064501,B,A,B,-3.9819151831919455,B,164.7951661176977,0
F,18-25,Muslim,A,50.35044313846894,E,E,-73.14850635222044,-14.666864549735795,D,E,D,44.607541446215635,D,-131.93380864363758,0
M,51-65,None,A,-4.107010441290696,E,D,72.73857256098896,-190.70521117854014,B,A,B,-17.823483857705636,E,-30.907361256438122,1
Other,51-65,None,D,147.3622164787831,E,A,29.12027966433023,86.77999302345411,D,C,B,88.52553714001722,E,-62.25452681746053,0
F,26-35,Jewish,A,91.78937777123272,D,A,-89.11210129893264,132.3075341051789,C,C,E,68.27564725453212,B,53.57238495561341,1
M,26-35,Muslim,D,-150.0981518205436,D,B,48.18163777402473,-6.718494031576447,E,E,C,24.257029780172097,A,44.379642477307094,1
Non-binary,26-35,Hindu,B,-41.6369106115831,D,E,235.1029709133853,-86.54484521960443,B,D,D,-158.4007408090735,E,1.1843715494038862,0
M,65+,Jewish,E,173.49561043055687,A,C,-100.0300067311084,-24.95726245762967,D,C,C,59.28617732434165,C,20.806068442967707,0
F,51-65,Muslim,C,-134.75751858299435,E,D,-61.38683184919069,92.15159629300929,C,C,A,142.14004988308238,D,26.07503620492776,0
F,51-65,Muslim,C,-157.84302456522272,C,B,-11.698334765395925,-39.880893679123524,B,E,E,11.406998237979229,B,135.03283512942926,0
Other,51-65,None,A,153.4055628769375,E,B,-69.59357372841019,137.48444142393652,C,B,C,-68.32112880841234,B,208.33493154346047,1
F,51-65,Jewish,E,152.47598099014212,A,A,140.0816495215924,-65.20250081413931,C,D,E,83.33505613766282,A,-43.1261490549799,0
Male,36-50,Jewish,A,-138.57276483821826,E,C,246.598024179261,-35.52485704233251,B,B,E,87.63581147503385,C,73.6759131908896,0
F,18-25,Muslim,A,122.96775023137847,E,C,-83.82563139854169,59.025907882404795,B,A,E,20.403811872548474,C,53.60709934323478,0
Male,51-65,Other,E,-88.76017623691988,D,E,50.11369876270749,-73.5321793709942,D,C,B,-98.49601460491996,B,-21.61002603248811,0
Male,65+,Jewish,C,292.68971556575167,B,C,-260.0170972668675,247.69924032334922,E,A,B,62.90338874247268,D,-130.04734614729267,0
F,36-50,None,E,-103.31350528402079,E,D,-62.7408939328777,-65.01896727436838,A,D,E,53.77266892365476,B,-139.94831845176333,0
Male,36-50,Muslim,A,209.56358716866114,C,D,-118.76279593227355,-126.6444420705062,C,D,B,-2.9752437047722053,C,38.227058874579946,0
F,51-65,None,D,-191.79525492323825,E,B,104.32171155645558,240.79178241259638,A,A,E,-136.451711949149,D,-174.46529589669942,0
Female,18-25,Buddhist,E,36.096106642001274,B,D,-10.947790531907048,-44.03257233372311,C,D,E,-128.50861371461068,C,-18.696329838993826,0
Other,65+,Buddhist,D,-111.15697699608953,A,E,-33.60190846326302,25.892667665827435,D,C,C,-84.7349351034027,D,59.74685156036917,0
Male,65+,Other,D,-40.76271893946323,D,E,-1.796218316484589,50.896145808556156,E,C,B,0.9162493850662953,A,7.049097835036987,1
Non-binary,36-50,Other,B,-48.45612371851983,A,A,30.52017717013362,49.142951037403975,E,D,D,70.29780800179013,A,20.294576913309587,0
Non-binary,36-50,None,C,-22.96839952584308,B,E,-106.42432614466667,-103.95219062807904,E,A,E,93.67670551869821,E,-19.67113166873106,1
Female,65+,Muslim,D,214.33874761936585,C,A,120.58363949897935,47.34517993273346,C,A,E,21.69888228948797,D,-74.89367811311102,0
Male,51-65,None,E,31.09802693517872,D,D,2.676044119518768,93.49925861675504,E,B,E,-95.51265372183609,E,153.91935363283932,0
F,51-65,Jewish,B,83.58327169909361,A,A,-107.8659038155835,-58.35138318635652,A,C,D,-26.350238793165275,A,-69.10589977369305,0
F,36-50,None,B,18.67116675343344,C,B,12.424059647388173,47.59275314808261,D,B,A,184.94131707958147,B,100.91445650927866,1
Other,36-50,Hindu,C,85.16075479136487,A,E,8.819132994186138,84.94390056211492,C,E,C,-17.478251937484167,C,-43.629516330864504,0
F,51-65,Muslim,E,-130.90597953555502,E,E,65.08451853893088,-2.4239303637414586,E,C,C,240.5953763943026,E,2.563728642405593,1
Female,65+,Christian,C,-66.50113286216369,D,C,-140.0368064688233,-133.27363335631895,C,E,E,-117.8660963035574,A,33.32901490909194,0
Male,18-25,Jewish,E,20.282854666167044,A,C,7.055372232365281,13.395343982892072,A,B,E,101.13132426321442,E,215.07728046812562,0
Male,36-50,Buddhist,B,126.77492177627249,B,C,163.14141251783946,152.94456808516503,E,E,A,133.65132182965073,D,-82.58904954976303,1
F,65+,None,E,0.41145192548042536,D,E,-12.230343835906869,-48.58845279522801,E,B,D,-24.504669071531833,E,21.66328394856223,1
Other,18-25,Muslim,D,-79.20900507866365,B,C,101.60958433322503,63.16676876885792,E,C,D,135.62428897430112,B,-211.73274350179398,0
M,36-50,Jewish,B,-233.87300843737552,A,A,73.48646545464476,-14.63133017113558,B,E,C,25.84674697191307,B,-77.17236007378571,0
Female,65+,Jewish,A,167.86852398480218,E,D,-154.58201665260165,34.43150512488066,B,B,A,-30.743513509210928,E,132.21962570312937,0
Non-binary,65+,Christian,A,32.868370543019246,B,A,-51.706318461921995,179.01583431453466,E,D,A,25.396364158650155,D,11.232796517860656,0
F,18-25,Buddhist,C,-38.25506275366373,A,D,-121.24469753738177,81.54622266943672,C,D,C,-173.29097310770578,A,-147.08658434784036,0
Other,51-65,Christian,A,1.7926275277416521,C,D,253.09511739236478,-215.32379720070537,A,C,C,9.658937659791821,C,161.1750264328887,1
Female,26-35,Hindu,C,54.156897549595705,A,C,-159.75301875295537,-74.005362670278,B,D,D,129.26949524747405,A,-8.448659519691873,1
Male,36-50,Hindu,B,-9.384108017867076,D,A,-84.00840654225108,-174.14678543987398,D,C,B,55.222115787960156,B,-113.07761357080412,1
Non-binary,36-50,Buddhist,E,-20.626998513904162,C,B,92.49262005305876,-182.5526922116259,D,B,E,4.424949872168938,A,-35.58565395800142,1
Other,51-65,Other,A,-140.27706565291092,E,D,-158.69357608864954,-138.66459581249347,D,C,C,-194.1410327656822,E,73.37232711530312,1
Female,18-25,Hindu,D,-48.820288873712585,C,A,142.01137288122848,1.1655817730895035,B,C,E,-81.44617335714032,B,-68.4446038458857,0
Other,51-65,Other,E,72.98464507087216,D,B,17.309852069349336,17.633680071201287,A,C,C,-54.47121743423351,A,-27.50929230390543,1
F,65+,Jewish,D,42.37691926358555,B,E,-110.33954950460479,-22.852737305038424,E,B,D,-55.62729361628668,A,128.48967316812926,1
Other,26-35,Christian,A,106.27102089104667,E,C,-73.35871443029298,-193.94695360630152,C,E,C,-66.5640196260044,E,-96.58722214929986,1
Other,65+,Muslim,C,-81.69089447788508,D,B,139.53382767151166,182.1322364894874,B,E,C,-40.676907250695706,A,-6.643100466016214,1
Non-binary,65+,None,D,236.2521205617377,C,E,-142.19157357364378,120.97884392310152,D,A,D,15.29250472266658,A,103.337785704597,0
M,18-25,Other,C,4.777352804603278,E,D,-78.27523792319997,67.00790566977926,A,B,D,9.393675550100744,B,133.52084940336317,0
Male,51-65,Muslim,A,112.46910036047497,E,A,45.09918730610179,92.99076412008769,C,D,B,8.07405240762554,B,84.65510430243731,0
M,51-65,Hindu,B,-287.4503490345532,B,C,-52.409638944596196,-11.528560170725154,A,D,E,-157.79543748790476,D,12.477175243328368,0
Female,51-65,Jewish,C,107.75289967745178,B,E,64.25955204691873,42.371247723765634,E,E,D,-188.31805323461728,B,87.29484934789036,1
Female,65+,Buddhist,E,95.0014958081725,B,D,-97.90340633157872,-83.62050017877921,A,E,D,35.31429886843584,B,-15.18765802443587,1
Other,65+,Hindu,B,72.90271040016174,B,D,30.998035625444597,-40.86941426795656,C,B,E,122.48855427517921,D,-74.2042822497162,1
Female,51-65,Hindu,A,-167.18113984298702,B,B,80.44314314120857,-136.4731586486998,D,E,C,111.57155660888588,E,46.03273491908087,0
M,65+,Christian,D,72.15402774531782,C,C,-113.90980724649876,14.173391408877144,C,B,C,-81.44764027946924,B,-94.1983709097777,0
Male,36-50,Muslim,D,-25.394464334253158,E,C,139.73986662791543,-43.82726423600345,A,B,C,18.723659247304152,E,56.44236296756988,0
F,18-25,Jewish,A,-3.723248095574653,A,D,-3.2796288569034076,-42.42430685435066,D,D,C,112.99584535894083,D,-203.9724639166288,1
F,65+,Buddhist,C,34.171834304935764,D,A,44.85269923332657,-110.04131768911307,E,B,C,-51.645322502723054,D,48.7674665483148,1
Female,51-65,Jewish,E,35.45927238756155,B,B,-40.71510096428814,214.37286770158636,D,D,B,193.7834993209163,B,209.50004793849936,0
Non-binary,26-35,Other,C,17.281473806048357,E,D,63.33630895169294,-31.329385644389863,E,A,B,39.42939602615802,E,57.984096003678275,0
Other,18-25,Hindu,A,-164.40470344428607,D,D,-85.7277007690468,6.878334077218875,D,B,A,22.93998047428681,D,-11.396571587722278,0
Non-binary,51-65,Christian,D,26.0939421261703,E,A,179.16221571161265,-69.41677737022958,D,B,D,-121.57326587783102,B,-114.88980705803398,1
Non-binary,36-50,Buddhist,E,102.01006504012895,B,A,115.81396365012198,118.31796973010013,B,D,B,-25.11908373485749,B,-172.18497477373518,0
Other,36-50,Other,B,-42.84765863566277,E,C,63.09304782269882,29.49206507327841,B,C,D,-49.163828928331874,C,-52.99916205433225,0
Other,65+,Christian,E,-38.216547842461914,E,D,73.34677353248492,44.60563555205173,B,A,A,-106.37192426191156,D,10.092681793064331,1
Other,65+,None,A,-15.954840268116593,D,D,19.615709153321657,-21.677174525222647,C,A,E,112.50467866442591,D,-53.715237036356214,1
F,26-35,Jewish,D,189.5601283476604,B,D,-4.98076630843468,-167.70450494598427,E,A,E,-0.5446044997814793,B,-40.5787427979968,0
M,26-35,Christian,C,-103.28301538286084,B,B,-6.292429781984435,3.048991559276273,A,D,C,132.9351062964238,C,-12.454173011174955,1
Other,26-35,Christian,B,-87.42003758969507,D,C,-29.288294930300413,-90.36609274623267,C,D,B,5.976535626517595,A,140.20194364599604,1
F,51-65,Jewish,E,5.9959935476585144,B,C,75.74544158749504,4.26535588090919,C,C,C,-104.3739319136072,A,-72.36368199204578,1
M,36-50,None,D,20.78435476173258,D,E,-22.80234781995746,140.11426509666833,E,D,A,-58.247483895086475,D,-65.78637182608101,0
Other,26-35,Other,C,4.890374391015078,E,B,71.2729841372949,50.419148332475196,A,B,B,27.16496984642891,E,-32.89020700867062,0
Other,65+,Christian,B,-71.46052127564653,A,C,86.54020909141067,-103.8162803968753,A,C,E,65.15062142751769,B,131.62529717306896,1
Female,65+,Other,A,29.64325562113161,E,B,0.5955752887262825,28.03969291631453,D,E,B,18.372099652933667,D,31.698648762622835,1
F,18-25,None,B,12.634952954952533,A,B,57.39261624657802,19.97351710091607,B,E,B,223.21229519583318,D,12.137886045950028,1
F,26-35,Muslim,A,242.4745759755674,C,D,136.76460534108463,89.0180488696377,C,D,D,-14.109811870824762,B,146.44640369115604,0
Male,51-65,Buddhist,E,278.15522786869076,E,E,-91.30696257386276,123.42341003928512,D,A,E,96.70743066225114,D,-142.99376051862643,1
M,26-35,Muslim,A,20.175471427348228,C,D,157.00117562517667,52.97134216091577,E,C,C,122.0471621337827,B,-165.17301823863352,1
Male,65+,Muslim,A,27.071994988912966,C,B,69.96620936900982,14.59610144799549,A,A,D,-81.86954847783402,B,268.47986370669685,0
Female,65+,Muslim,B,194.9167333603753,C,C,77.647230363821,5.074410913922459,B,A,A,-104.10067561934598,A,-225.0145506167611,0
Other,18-25,Buddhist,D,-71.0312938190792,B,C,-47.95508462518163,65.4382777772197,A,D,B,126.96357835565311,E,14.849738764146986,0
Female,36-50,Christian,E,-134.59142973218604,D,E,109.51739252656161,-119.26846255030978,C,A,B,11.015022190214781,E,58.89992165884282,1
M,18-25,Jewish,A,-93.29395362787119,D,B,-23.68316211362674,-21.41989315089325,B,E,E,86.02831605290386,A,-96.33317476058662,1
M,51-65,None,A,18.362442981804698,D,E,-24.752759942815334,3.3761001366030228,A,C,E,-105.69992615651537,C,-242.42619100890676,0
Other,51-65,Other,B,-199.54166113083974,E,C,-68.4867553427759,68.53615133565852,A,C,B,-49.51769909236522,E,34.565650250562506,1
Male,65+,Other,C,103.16823917376539,A,A,120.18472838701561,27.668444516643397,D,C,C,-77.5302096296465,D,-65.50100073822595,1
Female,26-35,Muslim,E,18.375647393503975,E,C,23.637354683761842,319.7179719448868,C,A,E,152.89448862457778,C,118.23154973689999,1
Non-binary,18-25,Buddhist,A,-109.06134836126402,C,A,-15.735082424667151,21.73067664228073,E,A,B,-131.30420873681373,C,-101.43040113759938,0
Non-binary,36-50,Hindu,A,-15.590823414752641,E,E,-33.304297238770744,167.58993250539112,A,B,D,177.61452664046772,A,-156.26342446136715,1
Non-binary,18-25,None,D,-56.889561081710895,C,E,-26.87245362245813,162.90330111393837,E,E,A,125.69834165111442,B,61.51168950530387,0
Male,18-25,Other,A,-9.891290094620471,C,E,-41.59598954914024,-23.501455892942385,B,B,D,5.024029990121359,A,-119.42246779773112,1
Male,36-50,Other,B,-81.43625204172812,E,E,-123.99854034388504,35.57953849022684,E,D,E,-23.894994503822574,A,133.86213468951556,1
