faith,Disability,age_range,gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Christian,No,18-25,Female,B,D,A,E,49.269132586552125,72.21041596175648,219.2287127475946,-262.81101010247886,290.8279753335966,B,-30.41628495409035,D,0
Other,Physical,26-35,M,C,C,B,C,25.797592836619515,106.84179227699777,90.83047151118693,204.30365566213334,-142.14151111396674,C,-97.0992362034892,E,1
Christian,Yes,36-50,M,E,B,B,D,-57.30856669126144,124.61382788246782,-164.74156652886046,0.10359172707705595,-44.967717105352726,C,41.98014989987451,C,1
Other,None,65+,Non-binary,B,E,D,E,89.25472971949034,-78.0258779085133,81.53082741679978,-2.4875123680663824,-46.56219146845956,B,-144.16894487013403,D,0
Jewish,No,36-50,M,B,B,A,A,38.430387450091885,168.10837794360575,32.73417691559156,66.14972608651098,-178.04529840951153,E,-45.24907145683905,D,1
Christian,Both,51-65,Female,E,D,C,D,-9.890806107402938,-69.80061338989293,-10.607433987860704,4.342993774397579,-53.90816805004379,C,225.98532257416826,A,1
Hindu,No,51-65,Male,B,B,C,C,-45.40679685117719,174.03232000548599,-39.54800307422632,-78.04437852531248,-181.42401591178833,B,160.7345238250908,A,1
None,No,36-50,Male,A,B,D,B,-13.574682444185457,39.190179024620996,-27.314841173531207,20.816657933097485,-44.047866373033635,C,27.92455493646771,B,0
None,Physical,65+,Female,B,B,D,B,150.09969606801974,-46.03398809040867,206.39359411840204,-142.129704622226,-75.40968511586811,E,-228.969635402566,C,1
Christian,Mental,51-65,M,C,A,E,D,-121.03694757465406,-157.28572418165828,-64.72172729407527,-208.12181037766777,-25.762968624152865,E,-154.81843869163066,D,0
Other,Both,65+,Non-binary,E,D,E,B,36.00469168948663,-59.963827720750174,-51.2318049508647,-23.13050867121269,65.66336546654416,D,57.93687082294389,E,1
Other,Mental,36-50,Female,A,A,D,E,-90.1261258771017,16.96956182590379,-15.934620538984204,105.00289084616163,-181.412728545247,A,-174.2116714959144,E,0
Christian,Physical,18-25,Other,E,C,D,B,-64.29008956149814,-21.07058656697019,-30.687626761829335,-140.34897019338524,103.39615974520287,B,28.775592032328824,B,0
Muslim,Both,18-25,Non-binary,A,C,A,D,-53.432349736074535,136.87180156553018,28.54945582066104,-126.77141289314564,-6.958647257599941,E,0.7269221885610766,B,0
Jewish,Both,26-35,Male,C,E,C,B,1.5536863070875002,19.6286104111726,-11.840043835673407,-40.78297388993529,-105.67098656519114,D,18.042624590661084,C,1
Christian,Both,18-25,Non-binary,D,C,B,D,-31.01641099316798,-101.63934113302166,-156.41853504269494,-119.66631797417153,178.7173619970529,E,-60.09576983399471,A,1
Christian,Both,26-35,M,D,B,A,B,-55.31383002501291,-196.6425157408506,-74.8668572157609,61.786527654342414,-46.81220818775384,D,-83.34243711358411,D,0
Christian,None,18-25,Male,B,B,B,E,-24.681865606822214,54.475914484246424,-159.9430054186357,215.06331029144437,-88.8045561865342,B,-51.221464456073754,C,1
Muslim,Mental,65+,Female,A,B,E,A,-90.4181311341152,-169.00866597648394,147.85160330241555,72.24758248608578,49.60026072809079,C,233.02621610491389,D,1
Hindu,Mental,18-25,Male,C,C,A,A,-35.3016780308969,-79.54485186408108,-5.498928818025869,137.08720795429477,-117.59181214758365,C,69.08610255325,B,0
Buddhist,None,36-50,M,E,C,A,A,0.8502355659776217,-85.81426263736279,-4.760902209811013,150.86650121584802,13.33939339731605,E,-46.87898705620427,B,0
Christian,Physical,18-25,F,B,B,A,C,137.52274392221608,-51.809883695923865,101.56327491214444,-36.56214656266859,-50.60012724501172,D,88.41372814330984,D,0
Muslim,Mental,18-25,Female,C,B,A,C,-2.570959307124228,58.717613599647045,6.607931774146502,-136.70459452019946,-58.51325267396018,C,18.40035747177956,D,0
Hindu,Physical,65+,Non-binary,D,C,B,A,-24.677288641701946,67.23427085595202,61.006196747921436,97.26948391538467,-44.63900521065372,B,-191.18328819109922,B,1
None,Mental,65+,F,E,A,A,E,169.53886027327582,142.959312905199,-32.57585846947012,-101.7521282866964,-35.758726444253035,B,66.00112508746525,C,1
None,Yes,26-35,Female,E,C,E,C,148.98778759845513,81.31830079887035,92.13365047053469,-78.25205039211039,-2.992133595213626,E,-126.23493692191082,A,1
Buddhist,Yes,65+,M,D,E,D,D,1.5513417592560637,-96.00254203357353,14.172979293932867,11.74360984241815,-62.51323882242239,E,95.64724773909734,C,0
Muslim,None,18-25,Female,E,D,C,D,62.19690367102876,0.09911593517664724,-0.07683805639259934,7.834439810656517,-205.09131460603203,A,-65.02434164529238,E,0
None,Yes,36-50,Male,D,B,E,B,-53.53188682332064,171.84712239398505,67.04733510288884,44.47554166933835,-23.847364296221922,E,176.17035986085992,C,1
Jewish,Mental,65+,F,E,B,E,E,76.11630810565687,-76.1514582730737,-36.192814829892654,69.74148380982227,-57.553752304857,A,-44.95647366268322,C,1
None,No,36-50,Female,B,A,D,C,-21.707525540927328,-161.03540271068695,54.33784047596132,57.36880874017467,207.24472994082714,C,72.6950702962954,A,0
Muslim,Physical,36-50,F,D,D,A,D,-31.946903371881753,-23.17092927988653,90.00342166093593,21.161541522902546,-19.26012084239228,D,-77.30875026753549,D,1
Other,Mental,36-50,Male,E,C,D,A,-80.31515515381177,-70.89348004489361,-64.14328599204033,-191.419897473866,25.402801714400567,A,110.57467311761616,A,1
Buddhist,No,18-25,Non-binary,A,B,B,A,-151.71216027052472,136.46007266213823,125.43311516385569,-103.46601322716722,148.14990243877432,A,-201.00846308045544,B,1
Buddhist,Yes,51-65,Male,E,B,B,A,-58.73352170281129,-90.72519909535428,-76.24899325044399,127.3760241225557,49.570590771722564,C,-20.424976228491783,C,1
Jewish,No,51-65,Male,C,B,B,E,-5.284940369994799,-32.4242955424086,79.77608510973285,148.82839638273558,-150.54100105857034,A,64.54483504440852,C,0
Jewish,No,65+,Non-binary,A,D,D,E,121.00280195933951,122.29712796190542,129.48016790552762,-97.20621879904289,-87.28388266691289,A,-50.71543696864445,E,1
Muslim,None,18-25,F,E,C,E,E,-110.96170275998776,-156.36211421074748,62.3980336755248,-49.41324375467897,-71.02933399959349,A,44.836895136742065,D,0
Muslim,No,18-25,Other,B,B,E,D,93.821511399843,48.57173887887619,30.32751931677392,-137.27579423296578,69.67619615495407,B,25.60154275352206,D,1
Muslim,No,18-25,Non-binary,C,D,B,E,128.39049618059755,-100.96250625164902,110.49878711593506,110.21834139771576,45.57237614836341,D,-116.09571134723724,C,1
Other,Yes,65+,M,B,D,A,E,20.281290089369055,55.31988269536383,31.88805438074958,-111.1294247854518,-108.03711620018979,B,230.75172573433073,D,1
Muslim,No,51-65,Other,D,A,C,E,-32.788428438087244,14.507434959859426,17.74667306210911,-0.41141557224945297,38.712247536276365,A,5.796938744065247,C,0
Buddhist,Yes,26-35,F,E,A,A,E,-8.147002312798568,165.983300380619,115.6307880469572,38.32447892537004,100.61993325303757,B,-40.29376351716149,D,1
None,Both,36-50,Other,A,E,D,A,-63.19924769281995,-74.6054458916679,-294.501871942399,-276.9244416730366,21.93915685777451,B,7.437449204146872,C,0
Christian,No,65+,Male,C,A,A,B,57.97502381625061,-102.54806863349124,43.64375432798758,-126.79657112795941,170.6513811830124,D,2.3631862465589326,B,0
Christian,Mental,18-25,Male,C,C,D,E,167.5432679588911,-193.50500556176777,-90.46609303764997,-118.32946829617093,-111.8174448147596,A,23.217667976545165,A,0
Muslim,Both,26-35,Male,E,E,B,A,68.63781756181152,81.9536413009152,-97.95119157326718,86.14632370587663,22.650481111668334,C,-11.352723862045504,A,0
Buddhist,Yes,51-65,F,C,C,A,D,-73.18957716504671,-102.02376152868746,-12.42075628687242,0.17905978662277705,60.49934322492495,E,-119.77663328031088,B,1
Buddhist,Physical,26-35,Non-binary,E,A,A,D,-27.39249556335586,133.0909102144913,-202.9351957546309,106.73719466150908,116.74972250236767,E,55.815692894439195,C,1
Hindu,Mental,51-65,M,A,E,A,D,-137.85564436272753,-118.2641683548866,93.94291408595389,-17.169759446702074,-107.20148186970366,A,-55.444159739561314,E,1
Hindu,No,26-35,Non-binary,C,A,E,D,-38.3806962485437,221.041967873508,75.62160243407678,-22.79505525457986,-7.29141678180361,B,-14.30033466346309,E,1
Jewish,None,18-25,F,E,D,B,D,-110.98935737136937,81.18075288158532,-10.383166048843778,75.5680267081412,-40.23133055731727,B,-30.273642900320485,D,0
Other,None,26-35,Non-binary,A,A,E,B,103.84832795764636,-3.184774584330917,-38.96460462595588,55.4308490702167,72.34100675771506,D,64.42442894896573,C,0
None,Physical,65+,F,D,B,A,C,114.58981068549939,49.04541042567098,37.22227794513749,50.52194298128852,-131.77870237410187,E,15.890881555511069,A,1
Jewish,No,26-35,M,C,D,A,D,122.0569515246956,-122.96819603336078,67.6209834372274,44.124174660656564,189.91158317595753,D,-6.412660498162927,B,0
None,No,26-35,Other,A,D,C,E,-61.86238043404252,257.65056077496604,80.46514470660226,-5.338884545014419,-153.57739897472248,A,35.30711494930955,B,0
Other,No,26-35,M,D,A,E,B,-48.80320248657511,73.95931038289845,34.876503498653015,57.94256133024959,84.32500311271157,B,-88.10704151166625,A,1
Hindu,None,36-50,Non-binary,A,D,C,A,30.8130327645036,-241.8015444158082,-175.49928926179717,27.99197176544745,-56.10946247358364,C,24.560353032798787,A,0
None,No,65+,F,E,E,A,D,26.640710985287612,139.04597231498732,-2.3248789578988642,52.19711375175441,128.20233838369106,C,-32.296007444485426,B,1
None,No,18-25,M,D,E,C,C,114.5769837275332,-31.653605486198664,-53.41922390504992,-15.525959335156744,-76.60975945649868,C,-98.72696762624902,D,1
Buddhist,Both,36-50,M,E,C,C,C,27.68354802815942,-103.3967016323366,102.08064219479324,133.99014886891158,128.10069613392378,E,19.51006589564442,C,0
Christian,Mental,51-65,Female,A,B,D,B,137.8507154800438,-55.504667564439124,-21.681520170923005,32.57796049292539,129.80550119480142,E,13.621036549926346,D,1
Christian,Both,65+,Non-binary,B,C,E,A,-137.2297070269434,138.5284417932238,46.44812645791328,-61.16398500994773,-284.3274598615849,E,135.97506539350792,E,0
Buddhist,Mental,18-25,F,B,B,E,C,135.45220198782283,-19.101235783654822,230.0977102716149,141.7752825076052,-33.74836927511352,D,-58.42839947372552,C,0
Buddhist,Yes,51-65,Other,C,E,D,B,11.925971372716363,16.604012779704096,112.74324836176261,64.98576478470022,-2.499769240709508,E,-122.58643892736399,A,0
Muslim,Physical,18-25,Non-binary,D,D,D,C,40.96208372279986,-62.17641755751101,-57.558554062029735,-98.82585963073751,-138.49872435954413,A,21.648671717959356,E,0
Other,None,26-35,Female,C,A,C,D,-138.72070064608593,50.988491056487085,-80.8432914747261,147.25699676682552,160.63053337946113,D,129.68802268312777,E,1
Muslim,Yes,18-25,F,C,A,B,C,23.793441075892286,-52.561981905116625,-42.664285564538254,-31.898505512220236,63.29778248558151,A,-61.97751612989263,E,1
Other,Both,18-25,F,E,E,C,D,37.41246225097558,-54.10085407166238,-34.00380027668397,-129.05719450367016,-155.94956852134803,B,-7.766443676042522,E,0
Jewish,Physical,18-25,Non-binary,C,A,C,C,41.36223503830037,-236.1085299478844,124.44784263809274,88.46262943565382,-54.829234906268034,B,-160.5091434276994,E,1
Hindu,No,36-50,Male,D,B,B,D,48.65642339960182,-192.6011727668041,43.774575570857756,-47.13915896839135,-15.54584391573017,D,-90.35606583697559,D,1
Other,No,18-25,Female,B,D,A,D,-201.34485484671595,-109.04239764432629,-22.735934417385177,-28.72473887958232,-69.05639040248143,B,-161.0986231730832,D,1
Christian,None,18-25,Female,D,D,A,C,-78.16844421240951,59.80846630052162,-3.6072167049732013,57.909190530722945,-161.89186283353618,D,12.711478448783717,B,1
Muslim,Both,18-25,M,C,B,D,C,0.8536630710162477,-115.57432957989934,-123.63323263300003,-106.50412587348299,44.9264670049111,B,-60.97469364243283,E,1
Jewish,Yes,36-50,M,E,A,C,E,-122.90135669064807,13.894577874823813,50.13322894454297,-91.55571508688064,-170.90732394988945,E,-10.714260782949664,C,0
Christian,Physical,36-50,F,B,D,A,B,147.73660697601287,-58.58221987191668,23.05544015626789,33.55037785817686,11.878295986579086,B,-14.82646865600439,E,0
Christian,None,36-50,Non-binary,D,A,B,C,-20.654611895923562,-39.51737914445601,-0.4388401705067341,-0.6673774061567174,57.37709808791666,A,-241.7536068622587,B,0
Other,Mental,65+,Non-binary,C,B,C,E,83.79544593911984,11.71533875300505,-314.91906244029855,106.70789389832642,81.79489993952444,B,84.87596059287134,D,1
Jewish,Physical,26-35,Female,D,B,D,B,-27.443917177977834,-65.17566464452112,109.21325151577483,-117.28767727193868,65.17130122818993,B,-127.23710029723973,E,1
Christian,Both,26-35,Non-binary,D,B,D,E,77.68262575218442,-4.0035221944849075,92.33568634068575,-247.43713421741978,148.23233983584998,E,61.53497807196361,E,1
Other,No,51-65,M,A,A,B,D,56.389724937491515,-109.84295974275524,-10.657847663036243,65.60122914452819,-47.85341449687695,C,-51.206486803667005,A,0
Other,None,65+,M,C,B,A,C,-47.065789698679964,106.18317057444119,-97.51151510497922,85.25506409265799,-10.334028408526256,C,171.00903803798056,E,1
Hindu,Both,36-50,Male,B,E,B,B,-56.82559872778947,24.76681166595353,196.17332263434085,138.00140671238412,57.64762149294644,A,60.362409920835766,D,0
Muslim,No,65+,M,D,A,B,B,-177.9379688824428,218.2587774573826,145.88025371544114,-47.49035209429557,-0.8887717802953956,D,74.58022800460026,B,0
Jewish,Mental,36-50,F,D,A,E,A,-76.32555296476733,-133.89564428155677,-124.17277630992476,63.15345644408086,-38.11279770568626,B,-72.63273543700203,B,1
Other,Mental,65+,Female,A,A,A,B,20.386898247684623,116.03960231464603,-7.55943138983063,-86.20222597620064,-43.4606805775567,D,-55.278317688747,D,0
Hindu,Mental,36-50,M,B,E,B,A,-19.755586885270965,-32.59766370170376,-96.99593002778757,-130.0775983100589,-48.08362478875473,D,245.43666670917167,A,0
None,Both,18-25,Non-binary,E,E,E,C,-49.35669249661838,49.78517622933201,-65.20811944747405,50.82160068795554,31.386052683736466,E,-97.4229950487605,C,1
None,Both,65+,Other,A,D,A,E,-22.44661985110468,146.87088037549182,-55.99074547551612,-89.43121983742586,99.07354553636665,B,136.6494321765997,A,1
Hindu,Both,51-65,Other,C,A,D,B,-49.988377974661056,-39.44156313306177,-70.35940235572072,-206.1276759939134,5.580010673809712,E,118.7903601260397,E,0
Other,None,36-50,Non-binary,B,D,D,E,-6.203221540322455,28.73651315554968,-24.801236544297183,138.81230587485277,58.43771218632288,A,-125.62926731254022,C,0
None,No,18-25,Male,C,E,B,A,-102.55291520825836,29.045151755471167,75.86346985530645,-16.126061703856145,-12.038076964063487,C,182.42402724971583,D,1
None,Both,18-25,Female,C,E,E,D,29.00623081028214,-96.75098404920564,43.884375398631214,-80.08355854755244,346.365495265776,C,-118.96580238885089,C,1
Hindu,No,51-65,Non-binary,C,B,C,B,82.42032582625002,71.24001773346406,97.2691310333797,-168.32250525393096,-281.92099500011847,D,-114.1533743090142,B,0
None,No,65+,Female,B,B,C,E,21.50454258193492,-24.74838216887433,93.79211596766707,-116.36411307432554,76.06170016472412,B,-13.975046879472094,E,1
Other,Physical,65+,F,A,E,B,A,28.693333722944068,-99.8056616458953,53.10868137151471,127.2869846918536,115.85650303950574,C,-158.5283240405079,A,1
Other,Physical,26-35,Male,C,A,B,E,78.4608468402865,-89.21728181566867,154.93767205183943,-20.434423269949765,10.585217012822758,E,121.40865039181807,C,1
Christian,None,18-25,Female,A,E,A,E,48.32419139413797,-111.46403307476899,-53.13169288856812,-146.76750395915354,-18.127823100876665,E,-55.56357227929005,B,0
Muslim,None,51-65,Non-binary,B,A,A,E,-40.05009837903182,-12.6000518798071,-42.05824834506087,112.92514656592176,-67.0886681574681,A,-89.27925698717952,A,0
Jewish,No,18-25,F,E,B,B,D,-12.049290597085536,-3.485447628525213,-11.701889431891464,-20.237157098405394,-30.00110267991992,B,97.96600627161179,E,0
Christian,No,18-25,Female,C,A,D,E,34.334843151840076,-67.76153532493575,-17.277361195889263,43.5982256787132,-44.24706600821126,E,136.1450029293708,B,0
Jewish,Both,26-35,Male,C,D,D,D,-6.829301068760743,-185.22584749762126,70.61798818285348,-61.73643626759224,-56.986555631624306,D,110.52133664920207,B,0
Buddhist,No,51-65,Non-binary,D,E,E,E,-144.6340040808262,65.28719094710648,142.53940140730595,-1.4582272615379368,105.65646129463795,C,219.80461096283602,B,0
Jewish,Mental,18-25,Non-binary,B,E,C,A,111.53465248844316,-66.37053833944945,59.88103257242242,-29.88681445177943,-129.80571461881698,C,-29.431843393563106,C,0
Muslim,Both,65+,Female,D,E,C,A,26.138346163842147,85.24060429838659,153.85160590328346,-49.84862490866397,117.64599774380993,D,-90.93697332283736,A,0
Jewish,No,36-50,Female,C,D,B,A,-34.833701273667714,-123.49992358079392,43.35506589054424,-35.012139760318625,-64.53441420478906,A,-105.30137391302348,A,1
None,No,18-25,Other,D,C,B,C,140.65001594309422,21.160832797918953,75.79602369214538,109.62135943943193,-52.39323850945927,A,34.6497411524863,C,1
Christian,None,65+,Male,D,C,E,A,119.20159828193808,-163.08157184639413,68.65930840748152,43.21974728783841,-69.91562680282367,A,59.15722932836639,B,1
Hindu,Physical,26-35,Male,B,D,D,C,5.125487665706525,52.51430672540679,13.710341180776616,24.589119439119187,-41.246056099419384,A,-101.40990071458143,B,0
Muslim,Yes,65+,Male,D,D,B,B,-78.69530650923377,-187.2842270645935,35.839405273640516,82.36822444008466,65.84001261293712,D,70.34439411985585,E,1
Other,Mental,65+,Non-binary,B,B,D,E,-59.122400221000746,-257.8466388182804,-27.377412907666233,-64.21064015985527,2.165561599054805,A,130.69582592829053,C,1
Buddhist,Mental,51-65,Other,B,D,B,D,93.5985037775439,-19.074405088207076,-19.435809280798956,23.5796736328254,8.940921014422818,E,192.5548697877698,D,1
Buddhist,Mental,26-35,Male,C,B,D,E,-28.005844806713682,3.2646196573544533,205.75194316793994,39.72846199744324,-20.871680779615147,C,-30.27117423658425,B,1
Buddhist,No,26-35,M,B,D,E,A,-68.76769886424981,-11.116430283971269,-14.524801609697796,-20.457895328765314,55.43696692445194,C,30.46303639931423,D,1
Other,Mental,36-50,Male,D,C,A,A,-102.7898286245016,-120.0513213974973,162.47382094392933,133.43114476475918,-103.52414966300465,E,175.54561060975112,A,1
Hindu,Mental,65+,Other,B,B,E,D,107.21076787432753,-63.808180845848206,-26.654706136503492,71.83451862007922,-84.09285660351816,D,-104.16167924708289,D,1
Other,No,18-25,Female,C,C,C,A,37.57574450186878,-62.71366406066042,-11.936208267043726,-27.16103867273717,3.427107964288447,D,-97.09184864802421,E,1
None,Mental,65+,Non-binary,C,D,A,B,-77.53159130024947,-136.38248855399112,8.075972464750897,-13.599943445537976,156.36938314212802,B,-4.803722632168831,B,1
Christian,Both,65+,M,A,D,D,B,245.73974994113473,-11.063932501702167,26.903397836342563,-128.65885441943746,-110.32715656290341,E,9.152889147498161,B,1
Muslim,Physical,65+,F,B,B,A,A,-19.41371865606194,-148.16247817361693,61.56861653017113,-26.81112438808379,-45.94241530586463,E,93.78717493954188,B,0
Hindu,Mental,36-50,Male,C,B,A,D,178.2965677694856,-180.33503235666072,24.325210493688466,13.33013548402102,-68.30294730358484,C,-40.18647435401711,E,0
Hindu,No,51-65,Other,C,D,D,C,-21.60938338016685,-47.546406336217686,-23.050568634526012,64.82671757288065,-44.847557016043,A,-240.48207705855185,A,1
Muslim,Mental,18-25,Male,A,B,E,B,-18.81390108184165,104.40867622076375,230.04603489858414,-10.913054226510848,69.98713854245221,D,91.480815825808,C,0
None,None,51-65,F,A,D,B,D,-75.05944727971618,34.163798982787156,-5.63336771419475,-10.645919436720321,-50.52591039820453,A,110.0672964308831,A,1
Muslim,Both,36-50,M,D,C,C,B,-56.33912681496271,245.7974617136594,-131.98763666446072,-86.65632177726106,133.2911854439491,E,30.723373680294543,B,1
Hindu,Physical,36-50,Other,B,C,B,D,-50.575629115107766,60.532969352401544,-3.6709137595901145,174.34128948681223,38.16383655789045,C,-23.88267160541245,E,0
Other,Mental,51-65,Male,D,E,A,E,182.90633737914686,107.67656610762917,2.395368770869837,-166.15113610901562,-23.62232279795478,E,-77.64437644509911,C,0
Muslim,No,51-65,F,B,C,D,D,118.14341654526581,127.77900911876046,81.15417417665084,-85.91401871750513,175.3810315252204,E,-91.13216379728694,C,0
Jewish,Both,36-50,Non-binary,E,A,C,E,105.77079983803883,-110.39980014486335,126.11213402077739,78.75857693653879,-24.18017371017284,C,7.928703970720422,A,1
Buddhist,Both,65+,Non-binary,E,D,E,D,246.18532609458134,12.872684481493277,-69.05446594646422,115.56951305469076,60.80288334269376,E,127.09499538609334,A,1
Other,Physical,51-65,Non-binary,D,C,E,B,209.69008930371288,-65.32963761819802,-257.8935055332944,-59.163874342406395,204.77749568800934,E,21.718270688179896,A,0
Muslim,Yes,36-50,Non-binary,A,D,D,A,-16.90613175089537,-174.98086663850083,65.64880272050985,-147.4635651320326,105.76930538205815,C,-53.3448448185766,D,1
Muslim,No,65+,Non-binary,C,D,D,A,-19.419739800342033,95.21654383139953,-52.17927066830613,12.375646944933498,-97.35368607134312,E,-88.5259463539831,B,0
Muslim,Mental,18-25,Non-binary,E,B,E,E,102.88962125978848,-207.77822503783997,31.96987530489457,97.44826659904462,-1.2473836605504225,B,-66.70445210255986,C,1
Muslim,Yes,18-25,Non-binary,B,D,A,B,-215.6364801631437,-108.81194652874665,103.38731193149849,-20.3789774882464,130.88548408597663,A,70.60481956733756,D,1
Jewish,No,36-50,M,B,B,C,E,50.383103567907725,169.25606860205394,28.161955408941125,-12.286653304700756,13.34485227283088,E,-114.8323215134007,B,1
Buddhist,None,65+,Male,C,E,E,E,24.490201996080373,12.970425993326403,-19.95249356598901,-258.06935975426023,20.469580756297336,E,59.64090836824059,E,1
None,Yes,65+,F,B,E,B,B,239.6382204119473,-1.6538748975635966,150.56626577792508,87.03801480450018,4.384294341286062,E,-37.62853383413134,A,1
Hindu,Mental,18-25,Other,D,B,A,E,54.30247282459335,-81.69501020428035,-146.00809762277757,-24.884408136439344,12.761598859242673,B,-61.05932565165675,C,1
Hindu,Yes,18-25,M,C,A,A,E,13.688645073958758,43.041329619591856,4.504593607075077,71.98292752026214,178.21482975978276,C,-62.99911400998859,A,1
Christian,Physical,18-25,Non-binary,A,D,B,C,-58.41184418499973,68.49926071065966,-15.880792411971814,-24.165514583224798,55.97657448151715,A,147.66533736256088,D,0
Hindu,Both,26-35,M,C,E,A,C,67.14414626473717,-14.963158917213084,38.1994610281985,91.43918900315785,0.4684710161612761,C,214.34615804948064,A,0
Other,Both,51-65,Other,A,E,D,D,-59.552439240828626,266.52660544845253,47.89283876787982,29.582093174555823,-68.81983900969577,D,38.96934464491928,E,1
None,No,36-50,F,D,D,B,D,46.61640682358204,4.6232218356656265,-57.027225929355104,-54.94437234272779,102.71896308679858,B,-122.05149023033049,A,0
Muslim,Mental,26-35,Female,A,E,A,B,143.51973506198064,43.41793672389802,-77.1246096454127,47.87870140254182,54.25103694646391,B,18.268975639268316,C,1
Jewish,Both,36-50,Other,E,A,B,B,40.754226185740436,263.8932916332781,71.96732098719109,32.52637507679331,36.4157536654306,B,-26.52188563705818,B,0
Jewish,Mental,51-65,Female,D,D,E,B,-48.427118454732764,-15.628983770640046,60.72758633308559,-123.33902558921908,197.5886896960763,B,-3.377146926898776,A,1
Hindu,Yes,18-25,M,C,B,E,D,21.70262335929645,-79.59874818959854,-23.600312884268142,-25.987212388210047,-36.551774101414885,C,4.660419597740296,D,1
Other,Mental,18-25,M,E,D,E,E,39.89584698613146,22.23567889219371,71.46585330336941,-137.6150654412444,-140.68352425517438,B,227.1528704718678,C,1
Other,Yes,36-50,Female,E,C,C,D,-42.599708928666566,78.38993543903005,-39.065587561908075,-251.8697668897829,53.44067740215232,C,61.98890654313465,E,1
Hindu,Both,18-25,Other,E,E,E,C,11.736229002198433,58.301232160610695,-212.48281039627645,-33.57560929512289,-44.56852489603886,C,-118.43457788015837,C,1
Muslim,Physical,26-35,Non-binary,C,B,A,C,134.96706946849608,-39.16814976779621,87.12110683670646,-152.2805739650906,60.226804902463385,B,239.60139683614102,B,0
None,Mental,26-35,F,C,D,B,C,89.61672609743216,73.31256456328272,80.15821353639963,-63.709911682198126,-83.69291988412324,A,-144.01460107530505,A,0
Muslim,None,65+,Non-binary,E,E,E,E,-228.64511276293973,-9.868542713867916,48.801157513100975,112.53813864650652,-185.1326533806357,B,99.7089457464852,C,1
Other,None,36-50,F,E,A,C,A,63.17317022104796,43.94584303974668,81.4778756541182,-67.0821715375321,-7.0241454307627835,B,157.04024931710862,D,1
Jewish,Both,51-65,Female,B,C,B,A,-73.17116485270077,56.76770100905452,-9.575410981282676,30.02606041545916,173.27956172269327,D,-13.11700377028778,E,1
Muslim,Both,36-50,Male,D,D,C,C,105.65057365597332,-60.617971185457286,-119.84535623532496,108.72011246927669,-147.64540927120387,E,-64.68555379061256,C,1
Muslim,Mental,18-25,Male,B,D,B,A,134.2308999976213,-57.58679537634753,31.367465539219907,87.84891371996378,66.98652554235636,A,-58.31350321200045,E,0
Buddhist,Yes,36-50,M,D,C,E,B,89.70720684821902,56.119633151129655,84.40012531662838,-154.91659759565252,-38.05425739660754,E,33.89603694782982,B,0
None,Physical,18-25,M,C,D,E,B,-32.46061880800436,98.92982454868485,-13.848168876537645,-48.68796756530949,65.07935192918055,B,109.53527629060402,B,1
Jewish,None,36-50,Female,C,C,C,E,-115.07938152773195,53.28046871202292,-118.40337085557113,-83.94417111819267,-70.85056867959891,A,2.74304068715291,A,0
Hindu,Yes,26-35,Female,C,B,D,C,-217.8563311823827,-79.42678354689865,-66.08021133969753,7.024435719475412,85.23487589616286,E,8.481531836293444,E,0
Jewish,No,26-35,Non-binary,A,C,C,C,-199.89397974570215,-217.77107646801593,-58.673187188359385,-28.15031327802141,-92.92802980994715,C,-45.56190128857567,E,0
Hindu,Yes,36-50,Male,C,A,A,A,33.199384832550905,121.26004268642497,-35.41654257885305,-5.762020488625776,79.22687079123504,A,-105.97362071775487,E,1
Buddhist,No,65+,Female,E,C,E,E,97.5501044607291,149.23656369123765,-79.12835365967204,-7.503983129848595,-103.66821025039967,B,-48.200004394177206,B,1
Christian,Both,65+,M,E,B,A,A,86.83366363981828,55.26181050952489,-112.2458338681257,-6.822226372925424,-73.19636652993347,C,39.93138492647491,A,0
Hindu,Mental,18-25,Female,C,E,B,B,48.10713791326286,-86.6378784982153,32.53714372985952,-237.30921633516365,108.03905041260234,B,-107.03282712980094,C,1
Christian,None,18-25,Female,B,A,D,A,119.65696755308146,122.15689075568767,124.40820081908947,28.876737015335628,-44.48084370505546,D,-72.000359872354,C,0
Other,Physical,65+,Non-binary,E,A,B,C,-62.109920121277526,-80.8067693212399,41.435151662946296,-70.51380387224395,182.08317237929242,D,130.01641945505526,D,0
Buddhist,No,36-50,Other,C,B,C,A,-31.60511478825304,58.60624081065413,-75.9378988845598,74.41935924805445,-109.15782928777563,B,131.36722676653503,C,0
Jewish,Both,65+,Female,B,A,A,A,-109.9497370765296,-76.31792110811858,-243.29540792939045,85.2913268878882,97.52522845861918,C,137.53484468489103,B,0
Muslim,Yes,36-50,Non-binary,B,C,B,A,99.58555741110077,-232.82568340308427,-80.0787464539361,5.740995318532051,155.8784930985572,A,80.8740505338526,A,0
Jewish,None,36-50,Male,B,E,D,A,76.48278952599318,89.40005298752769,3.2843596833423194,-30.35652952789998,150.7017803044645,E,-39.18075568898697,B,0
Christian,Yes,18-25,Non-binary,D,B,E,E,-124.94550253192939,49.705824299860936,112.078411181167,9.138775263672878,122.94696428891783,B,-32.39723893925152,D,1
