veteran,civil_status,age_range,faith,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
No,Widowed,18-25,Other,C,D,102.32076027495347,-63.39931899312734,C,-272.1418325643486,D,E,E,B,1
No,Widowed,18-25,Christian,E,B,31.30074214182142,-109.94734811641074,A,25.413444537643766,A,A,C,C,0
Veteran,Divorced,65+,None,C,C,-38.06026108069342,-1.5931081390485398,B,332.72083926867475,E,E,C,B,0
No,Married,36-50,Jewish,C,E,72.37819559092208,-3.004659097259078,D,32.362918756245016,D,E,D,A,1
Veteran,Divorced,18-25,Buddhist,C,A,0.5097940686509803,109.6812528693988,E,10.845758247533672,B,E,C,C,1
Veteran,Widowed,65+,None,A,A,120.10833293974466,24.754475871797567,A,93.13471805951407,B,A,B,E,1
No,Married,65+,Muslim,D,E,-34.58633782106328,-72.25653025564682,D,-105.17837840364108,A,C,C,C,1
Non-Veteran,Divorced,65+,Buddhist,E,E,-40.93479253728583,-55.86458604275251,A,39.699536898854824,A,A,C,D,0
Non-Veteran,Widowed,51-65,Other,B,D,125.80005205888374,-24.562459009656305,B,146.24650141608362,D,C,E,D,1
No,Widowed,65+,Christian,C,C,2.380598644077386,-23.699912660602003,E,94.01248477971332,A,C,A,B,1
Veteran,Widowed,36-50,None,A,A,-32.43890086463496,43.739747395116375,E,68.55268201484071,E,D,B,A,0
Non-Veteran,Married,65+,Muslim,A,B,82.90294092964953,46.01405850325697,E,-37.34256034228493,B,C,C,E,1
Non-Veteran,Widowed,18-25,Other,C,B,-11.067867636000502,-68.63319174876747,A,-156.00176530425114,B,E,B,B,0
Yes,Married,65+,Jewish,A,D,132.7104403936795,-88.70470555086108,A,172.1748451373802,C,A,D,B,1
Non-Veteran,Widowed,26-35,Muslim,D,C,-68.84583004345404,166.26176132496556,C,-247.28930381192714,E,E,D,E,1
Veteran,Widowed,51-65,Buddhist,C,D,-59.327116223274004,84.75686764700956,B,119.95708698224887,D,B,B,A,1
No,Widowed,36-50,Muslim,E,B,29.584406112697444,40.594248983519144,C,-48.34831571148365,D,B,E,A,1
Non-Veteran,Married,51-65,Muslim,E,D,-119.07924327765423,-29.776487457941247,C,-6.995476160092516,E,D,C,E,1
Non-Veteran,Divorced,26-35,Jewish,C,A,14.94393781911206,-8.193506543604105,B,44.254057830044324,D,A,A,D,1
No,Widowed,36-50,Other,E,C,215.88141912782083,-69.64213625883164,B,-47.86857235466674,D,B,B,D,1
No,Single,51-65,Buddhist,A,E,-163.57035730153055,39.392393991342864,C,-131.84643220059138,C,C,A,E,1
Yes,Married,36-50,Buddhist,B,C,34.50882815331946,200.1455890035884,E,-84.06051997867674,B,B,C,C,1
Yes,Single,26-35,Buddhist,C,C,-98.25845972726196,-113.00927361462118,E,44.668339782742564,D,B,D,E,1
Non-Veteran,Widowed,18-25,Muslim,D,E,-86.01963055033256,-32.0824289959037,C,-29.81520684907056,B,A,D,B,0
No,Widowed,65+,Buddhist,D,E,110.2369487420162,-58.89095661621242,B,-16.11560085131422,C,A,A,E,1
No,Widowed,26-35,Buddhist,D,A,-89.37329300027477,60.414038104997125,B,54.52356147301606,E,A,A,A,1
Veteran,Married,26-35,Hindu,C,B,61.27527657823296,-17.504892504146873,E,-18.225866417165406,C,E,B,C,0
Veteran,Single,18-25,Hindu,E,A,-133.87654565833617,73.27141097371171,C,-174.32986618954624,A,B,A,E,1
Non-Veteran,Divorced,51-65,Hindu,C,E,0.18697282935547838,86.9942428308764,E,-123.80412347568482,D,C,E,C,0
No,Single,65+,Christian,B,D,102.36881569411698,-136.982810873967,E,9.225106302624642,A,A,A,A,1
Veteran,Divorced,65+,Christian,C,C,-35.661008519343426,64.91474542250474,A,-50.10828359943219,B,B,E,E,0
Yes,Widowed,65+,Muslim,B,D,102.33297613265412,-22.319287023581303,D,-12.877634088433679,E,C,E,A,0
Veteran,Married,18-25,Other,B,C,82.02192396888158,-91.12063555012499,C,-29.12863458091641,A,B,B,D,0
Veteran,Single,18-25,None,C,E,-10.761913710873594,-87.54036842208693,E,-76.61191830227672,E,C,C,B,0
No,Divorced,18-25,Christian,A,B,18.60452635844645,68.96354114479757,E,-39.07687236233912,A,D,D,E,1
No,Widowed,36-50,Jewish,D,D,-173.28529903577763,15.704688428649405,E,-38.069726289979386,B,E,E,A,0
Yes,Widowed,65+,Jewish,C,C,206.3416131967316,-98.40545707894883,D,222.28566283771602,C,B,E,D,0
No,Widowed,26-35,Jewish,E,B,139.8368777611748,65.6287273977922,D,40.87285750625109,C,E,C,C,1
Yes,Widowed,26-35,Hindu,D,D,-72.65886091240871,8.829016695697689,A,130.410453748048,A,C,E,B,1
Yes,Widowed,51-65,Other,C,E,25.17715255663816,162.66493909157415,C,45.06316426089057,D,A,B,A,0
No,Single,36-50,Other,A,C,33.87173736714838,-18.63524807846017,A,62.17473987949903,D,A,D,A,0
Yes,Widowed,65+,Jewish,C,A,-46.7619458616236,-39.29330473491458,A,-62.88890576716566,C,B,C,D,1
No,Divorced,26-35,Jewish,E,E,-249.8970369959644,140.28091874326384,D,-48.118027114270625,E,D,E,D,1
Yes,Divorced,18-25,Muslim,D,E,72.99506483321808,-42.5884971624237,A,99.96099245348297,A,E,E,E,1
Veteran,Single,65+,Jewish,A,E,3.430906929240993,20.521920591174663,B,28.827295955034376,C,B,C,B,1
Veteran,Single,65+,Muslim,A,E,41.445361417548646,76.66666259408356,A,58.744975448278225,C,E,E,A,0
Veteran,Divorced,65+,Hindu,B,B,251.54932259842406,-121.14161033481558,E,53.693565388536705,D,C,C,C,0
Non-Veteran,Divorced,18-25,Christian,B,E,-99.80842344189787,3.0418522261847736,E,113.83373142251519,D,E,B,E,1
Veteran,Married,36-50,Other,C,E,-51.75601603489564,59.256424151756626,C,31.172627524584197,B,D,A,E,1
Yes,Married,51-65,None,C,B,-90.74361842364985,46.27513204805436,A,-22.838722778163948,B,B,D,D,1
Yes,Divorced,36-50,Other,B,A,-84.9930768760864,77.01718451481479,B,124.78908460862385,E,C,D,E,0
No,Single,65+,Buddhist,B,D,-67.49399651340305,81.66234164339676,E,189.41708473092922,E,C,A,D,1
Non-Veteran,Divorced,51-65,None,E,B,224.11027434960872,166.29284424410912,C,196.08418710907645,D,C,A,D,0
No,Widowed,51-65,Hindu,D,E,18.450778194915816,8.519356000969251,B,-157.94482871033634,A,B,E,E,1
Veteran,Married,26-35,None,D,D,-35.47278977486371,203.49876567787013,D,-248.4540327388551,B,A,B,E,1
Veteran,Single,18-25,None,C,C,39.050377788393114,-47.64115301405521,D,-226.4858358606199,D,C,B,B,0
Yes,Married,36-50,None,A,E,-44.98096120224756,-4.147293735945461,D,16.677877048402173,D,A,D,C,0
No,Divorced,65+,Buddhist,B,C,-95.09902972488834,-62.15861384296443,C,8.464475752022093,D,E,D,E,1
Yes,Single,65+,Buddhist,A,B,-172.228644880047,-28.48215602142197,C,7.03856113257078,E,D,C,D,1
Yes,Single,51-65,Hindu,E,D,4.791426743517032,64.40033697185963,C,186.9152676739525,E,C,B,C,1
No,Married,26-35,Jewish,A,C,-56.1106962293481,-9.671367088618329,C,277.6166784809303,C,E,B,D,0
Veteran,Single,26-35,Other,B,C,159.20957681415328,-110.05659821866874,A,1.5028970440277365,B,D,C,B,1
Veteran,Married,26-35,Other,C,B,-120.18143469996221,-145.23241514962996,D,134.3244112294195,D,C,C,E,1
No,Single,18-25,Other,B,E,64.12186740864176,-51.83454198681522,A,101.18071244788378,A,B,D,C,0
Non-Veteran,Married,26-35,Muslim,B,C,19.675366859306678,130.0713699705625,E,68.57930544401867,E,A,A,E,1
Non-Veteran,Single,51-65,Other,A,A,-71.22942524627572,75.02965042466445,C,174.9029178621746,D,A,E,A,0
No,Divorced,18-25,None,A,B,92.32950987865568,84.03301446330525,D,-51.56428197108265,E,A,B,B,0
No,Married,51-65,None,B,B,188.66318769884913,47.109772244338416,E,91.70291935565744,D,B,B,B,1
Non-Veteran,Married,36-50,Christian,B,B,-28.96700604048147,-163.24875545070643,A,10.318899831669489,E,A,B,B,0
No,Divorced,18-25,Muslim,B,A,3.3431444630125178,-211.5330824021458,E,10.402634918383002,A,C,C,B,0
No,Widowed,51-65,Other,D,A,183.81198048658436,-150.71624448862286,A,-10.12973898751331,E,D,E,C,1
Non-Veteran,Widowed,18-25,Christian,A,A,209.09025788523735,-108.23849004764622,E,-77.06289576399651,C,C,E,D,0
No,Widowed,51-65,Muslim,A,E,1.2966126358087275,90.00236986616774,B,39.73798383436251,E,D,D,B,0
No,Single,26-35,Buddhist,E,B,21.160881067967104,-128.00766590613756,C,150.11114871207823,A,D,D,D,1
Non-Veteran,Married,26-35,Christian,C,B,42.092034825090614,6.620514226343263,E,-104.75625210108421,B,E,B,B,1
Non-Veteran,Single,36-50,Jewish,A,A,45.11835547657279,55.37801903924316,C,-100.01286792339066,E,E,C,E,0
Non-Veteran,Married,65+,Buddhist,A,B,-98.30005305888197,-142.67656495986654,A,-184.36004458465348,E,A,A,C,0
Veteran,Divorced,18-25,None,E,B,-21.1762360877043,-134.9778788719842,A,25.047871743558446,D,C,D,B,0
Non-Veteran,Married,36-50,Jewish,A,D,35.63388164111472,50.71618496543968,E,-0.9351175536571495,D,E,B,D,0
Yes,Widowed,36-50,Other,D,C,13.692829848880129,140.74853564830966,C,-14.907031689945526,B,D,B,A,1
No,Widowed,36-50,Christian,C,B,19.656203537463682,75.25481571675117,D,-146.1950459033433,C,A,E,B,1
No,Married,18-25,None,C,B,96.77311703084688,101.78358912397461,A,1.009575843489293,A,E,D,C,1
Non-Veteran,Single,36-50,Muslim,B,C,149.98316199307524,-24.07211148023906,C,54.47825665523578,C,D,B,E,0
No,Widowed,36-50,None,E,B,-93.55989616403171,-90.46484393473345,C,163.64860657783265,A,C,C,D,1
Veteran,Single,36-50,None,D,C,122.01790498408181,-24.968813377629626,E,22.706101424464574,E,A,A,C,0
No,Married,26-35,Christian,D,B,84.65722738482202,72.52246202797589,B,-97.52178554462957,A,B,D,E,1
No,Divorced,26-35,Buddhist,C,E,-98.6022444032493,33.32461279504342,D,-238.38162204587525,E,E,E,C,1
No,Single,18-25,Other,D,B,90.7461938833707,68.56412434649019,A,158.31944538242567,A,D,B,E,0
Non-Veteran,Single,36-50,Other,C,A,106.2251591309601,17.059243895422917,A,170.47397726906567,C,E,D,D,1
Veteran,Divorced,51-65,Other,A,C,135.79923776671083,147.25127861506917,D,22.2740631115106,C,C,E,E,1
No,Widowed,26-35,Muslim,C,A,-9.975539290691888,-2.072949132984723,C,-3.2875057414367728,D,D,D,E,0
Veteran,Widowed,36-50,Other,C,E,-23.62064180838764,160.61227682564382,B,-153.62940865251423,C,C,E,E,1
No,Single,51-65,Other,C,C,-215.46890068433387,154.91030430059348,E,-121.6059898238443,D,D,A,E,0
Veteran,Single,51-65,Christian,D,B,195.53365597422885,58.72846120258542,B,-62.196002651252726,C,D,C,C,1
No,Widowed,65+,Christian,E,A,44.61910049101181,46.694425055779895,A,-17.790133484773555,E,D,D,E,0
Yes,Divorced,65+,Jewish,A,B,47.10284595507495,36.60089324045366,E,-4.723529197737289,E,B,B,C,0
No,Widowed,18-25,Other,D,A,155.97468005040727,93.92252313185719,D,12.28503824796826,B,D,C,C,0
Yes,Widowed,65+,Buddhist,B,D,-48.483179526457235,249.90932691081161,C,6.623009870303647,E,B,D,C,1
Veteran,Divorced,26-35,None,E,A,108.02634659506238,28.432922582226983,E,3.32808320775459,E,B,E,C,1
No,Married,51-65,Other,C,E,-103.25012021371877,41.9057377506975,E,21.926709841771018,B,B,A,A,0
Veteran,Married,51-65,Jewish,B,B,-133.9418735171373,-28.803134408648525,D,45.25170036255021,B,D,A,D,0
Veteran,Widowed,65+,None,B,A,-121.54864919857759,-228.04763757342084,D,70.29755712096586,E,C,E,C,1
No,Married,36-50,Jewish,C,A,-18.354605691898442,131.1094074135276,B,154.2553997994709,A,A,D,A,0
Non-Veteran,Divorced,18-25,None,C,C,78.81885270409803,48.96066770263822,A,-114.03154827296986,C,A,B,D,0
Veteran,Married,65+,Muslim,D,C,-127.15483519045925,-63.87843764675979,D,-95.83023574062643,A,A,A,A,0
Veteran,Single,36-50,Hindu,D,D,-66.26766953465793,13.604774293899741,E,125.45852616131667,B,B,E,C,0
Non-Veteran,Single,51-65,Jewish,D,E,220.9504949794138,105.34287692844603,A,45.8054738905126,C,E,D,E,0
Veteran,Divorced,36-50,Muslim,D,B,3.913505474622567,-87.31722594914012,E,-93.75034826347344,C,A,A,C,1
No,Divorced,65+,Muslim,E,B,15.604957941335407,-81.48640881229005,C,164.10266856428865,B,D,A,B,1
Veteran,Married,51-65,None,C,A,-19.990900193814976,37.88050601429409,A,94.02904399447701,E,E,C,C,1
Yes,Widowed,36-50,Christian,D,C,-109.21286890373523,-82.46723573867453,C,-98.38367199593502,D,A,B,A,1
No,Widowed,65+,Hindu,C,D,-84.22702770149738,-99.86690348475962,C,-99.93631794113496,C,A,E,D,1
Non-Veteran,Married,65+,Hindu,D,D,-24.064129507836718,-99.77784454898378,E,-89.96314577315874,B,B,B,B,1
Non-Veteran,Widowed,18-25,Christian,B,B,-7.6123710398212765,-56.18511822982713,D,-135.38953319161024,B,A,C,D,1
No,Divorced,36-50,Buddhist,B,D,-85.51652863256417,61.88868877074793,A,-121.0384540237774,C,E,C,C,0
Non-Veteran,Married,36-50,Muslim,D,E,161.99727391006863,-85.68453109251261,A,36.642532233363774,B,D,D,E,0
Non-Veteran,Married,18-25,Christian,B,D,63.078947056097235,-102.1489053733276,E,-40.61043741703834,D,D,C,D,0
Yes,Widowed,65+,None,C,A,18.473735806378446,-73.91891492942794,C,-160.93300325342875,A,E,E,C,1
No,Single,51-65,Christian,E,C,129.11708951136112,-5.077182064668431,B,109.64348184764194,C,A,B,D,0
Veteran,Divorced,36-50,Jewish,B,C,84.26360993672063,50.946509290119565,A,145.95792339953422,C,D,A,E,0
Non-Veteran,Widowed,26-35,Buddhist,C,A,-130.88070873395367,3.8532382534424308,B,-36.267716739596125,E,C,E,A,1
Veteran,Widowed,26-35,Christian,B,C,4.254883422398117,239.17535117090085,E,-97.46266998860303,A,C,D,C,1
Non-Veteran,Divorced,51-65,Buddhist,A,A,160.2596559409841,-70.81354037192841,E,80.9501967246494,A,D,B,C,0
No,Single,26-35,Jewish,E,D,29.676511173984327,-165.58004160218363,D,-20.396406218285218,E,C,D,D,0
No,Married,65+,Hindu,C,D,25.495045542507928,-194.9072648199722,D,-84.1959022041807,A,C,C,C,1
Veteran,Divorced,51-65,Other,C,B,71.12127164834477,-159.0954791978667,C,-123.46970250869856,B,D,A,A,1
Veteran,Single,65+,Muslim,C,E,-36.03663410677405,36.2424674385483,C,15.681075676694356,A,E,A,E,0
No,Single,65+,Hindu,C,C,151.89952215415582,48.569626202787106,B,216.833417153094,B,D,D,A,0
Non-Veteran,Single,26-35,Jewish,C,B,77.78168810973466,-99.61217394806951,D,-207.6295265903769,D,A,B,E,1
Non-Veteran,Divorced,51-65,Hindu,E,D,94.59064327770854,-28.246557797210226,C,72.94310055312067,A,D,B,A,0
Yes,Divorced,65+,Muslim,E,C,-23.925041607391233,98.61384295629209,A,63.034470427809374,A,D,B,D,0
No,Single,26-35,Muslim,A,E,-80.51577032373099,-74.44926594806257,A,-25.664799053228098,B,C,A,C,1
Non-Veteran,Widowed,26-35,Buddhist,B,C,-34.03195313851562,-105.89185124555496,E,106.12166984483247,A,C,C,E,0
No,Widowed,26-35,Jewish,B,A,48.10613806439274,193.05156993301787,B,-88.48904411639485,C,C,E,E,0
No,Married,51-65,Jewish,A,A,-54.12443703949572,-78.11132333870144,B,1.594397082935372,C,A,A,A,0
Yes,Married,65+,Buddhist,A,B,-36.53937383648071,-101.27486442145495,E,9.759139470846806,A,D,D,B,1
Veteran,Widowed,51-65,Other,C,D,-132.0005526359207,120.03036597034915,C,-32.584737549322426,A,C,E,B,1
No,Single,36-50,Other,B,E,52.51695884700746,76.33593859862494,E,-43.209782925348236,C,E,D,B,0
Yes,Single,26-35,Christian,A,B,-57.037542910917225,113.16708582914413,C,-14.677869854617834,D,B,C,C,0
Non-Veteran,Married,65+,Buddhist,C,E,0.9929450279168248,50.24821914835281,A,13.422587160017699,E,C,D,A,0
Yes,Married,36-50,Muslim,E,E,-34.067024050490474,172.1603705888031,A,94.8094028233419,C,B,D,E,0
No,Widowed,26-35,Other,C,A,65.43391529575325,27.238194355323238,A,-38.950482457764856,C,B,B,C,1
Veteran,Single,51-65,None,A,B,101.43923718268748,-88.92272432993767,A,-293.12573367762997,E,D,D,E,1
Veteran,Married,18-25,Buddhist,C,C,26.059928413545215,141.81602606785734,A,19.573659567684913,E,D,C,C,0
Veteran,Divorced,26-35,Muslim,A,B,158.0369806081923,-55.858776361295284,A,36.874937059680846,E,A,D,D,1
Non-Veteran,Divorced,26-35,None,A,A,-136.32996453750172,8.342977967667801,B,-164.60670846257636,D,E,C,C,1
No,Divorced,18-25,None,E,A,124.67226136881455,-148.74440434853543,A,-104.44052479645956,C,A,B,D,1
No,Divorced,26-35,None,A,D,189.0487021040703,212.9607870008087,A,192.04729254038946,B,A,A,B,1
Non-Veteran,Widowed,26-35,Other,E,C,45.19875649217548,-18.887089772404433,B,-13.37073315186984,E,A,A,A,1
Veteran,Married,65+,Buddhist,C,A,-35.99901776595898,-62.55269747850605,C,-30.98519343241184,D,E,A,A,1
Non-Veteran,Single,51-65,Hindu,C,C,132.97826692398633,-142.40751194079414,C,-186.485302130072,C,E,A,E,0
Yes,Widowed,18-25,None,B,B,-49.47587287487281,6.461751456949097,D,-129.6353466809405,E,E,C,A,0
Yes,Single,65+,Jewish,D,C,107.32306737794613,22.627129436472714,D,47.2401960562164,B,E,B,B,1
Veteran,Divorced,65+,Christian,E,C,-106.66266026094023,125.19027489330242,B,146.37903609191667,B,A,E,C,1
Veteran,Married,36-50,Buddhist,E,E,-112.79766169428733,80.53580792803832,E,-80.47158814586376,A,E,C,B,0
No,Married,51-65,Jewish,E,A,81.20128476140638,8.038993922664128,C,15.342886604263365,B,B,E,C,1
Non-Veteran,Single,65+,Christian,A,D,-2.540310734159004,-179.7827481764035,A,-24.86809060140099,A,C,D,A,0
Yes,Divorced,36-50,None,E,B,-12.31820055792599,163.91665702853143,A,96.0837608957513,C,C,D,A,1
Veteran,Divorced,18-25,Hindu,A,E,-44.466467559316285,-38.02905968347417,B,-7.487986799844407,B,C,A,E,0
Yes,Divorced,51-65,None,D,D,-28.68216221907786,19.22318227279186,E,-12.5474034992581,E,C,D,B,0
Non-Veteran,Divorced,65+,None,E,C,-28.308380450041447,-57.116949888368026,E,-22.259412478158513,D,B,D,D,1
No,Single,18-25,Other,E,A,200.7256951863895,-128.06801494299555,D,66.88797840626376,D,A,D,B,0
No,Divorced,18-25,Hindu,B,D,225.33408529556002,-124.90769509064006,E,-16.69004490922072,C,E,B,A,1
No,Single,51-65,Christian,B,C,41.921916592306644,-177.54345340484284,A,-47.08507436180973,C,B,D,A,0
No,Married,51-65,None,A,E,-189.7705368768351,-209.99595324086536,C,-26.004074034800574,A,D,C,D,1
Veteran,Married,26-35,Other,D,A,44.65997835610517,-165.65425314841505,C,-104.80842083392284,A,E,A,E,1
Veteran,Widowed,18-25,Buddhist,E,A,-230.34702718358392,115.71554829072042,E,-131.01836490796038,D,C,B,E,0
No,Divorced,26-35,Hindu,E,D,168.80839923717522,152.6213202942859,E,51.80866424066314,D,D,A,E,0
Yes,Widowed,26-35,Jewish,B,D,-8.424599290001428,152.6952416526774,C,52.57640060810454,B,D,A,A,0
Veteran,Widowed,51-65,Buddhist,B,A,-31.347658805186562,130.31300941800393,E,50.80922673584817,C,E,A,D,0
Yes,Divorced,65+,Christian,A,E,-63.193750980175345,119.60931120288289,E,76.98952831506863,E,B,B,A,1
No,Divorced,26-35,Muslim,C,A,-73.92660208964814,-27.038268532869274,C,105.08756080855225,B,B,D,E,1
Yes,Married,65+,None,B,B,139.23488581487686,-13.668224320620089,E,69.00961657255269,C,B,A,B,0
Non-Veteran,Widowed,51-65,Hindu,D,C,128.7764879919792,-87.44565503767163,C,-13.603758418020263,A,B,B,A,0
Veteran,Married,36-50,Other,C,C,27.187821585657744,86.67321430262326,A,-50.30448636670444,C,E,D,D,0
Non-Veteran,Married,26-35,Other,A,A,-5.178302954421056,187.91676366215603,D,-22.72617126079198,B,B,A,C,0
Yes,Widowed,18-25,Muslim,E,B,-59.602296710321426,-104.66646418503534,C,39.31026646191939,E,D,E,E,1
Veteran,Divorced,18-25,Other,C,A,73.72485440418188,-91.9165144201341,A,131.4310422876846,C,D,B,B,0
Non-Veteran,Single,18-25,None,E,D,-32.65965634323585,12.742642633995773,C,187.3117481608361,B,B,B,E,1
Non-Veteran,Married,65+,None,D,E,-29.32088553870445,-192.17085997206345,D,105.05540032765694,C,C,C,A,1
Yes,Divorced,51-65,Buddhist,B,C,-67.05556763105614,182.25867892590279,D,-111.39001449790152,C,B,C,B,1
Yes,Married,26-35,Muslim,A,A,-69.73640068166453,14.742008201719603,A,-1.044709926690585,B,D,E,B,0
Yes,Single,36-50,Christian,D,D,-102.58456936047932,51.25538844640689,C,82.34266067363151,B,A,E,C,1
No,Single,26-35,Christian,E,C,26.182410648372965,-157.29535888011975,A,-16.700909626919046,C,B,D,D,1
Yes,Married,26-35,Christian,A,C,-60.25787766865428,-30.02858244939923,E,45.474764782914676,A,E,A,C,1
No,Single,36-50,Jewish,A,C,-187.31986602497025,0.4162733561724726,B,45.11257192015705,E,D,E,B,1
Yes,Divorced,65+,Muslim,C,E,47.633648822019225,48.59545979863963,C,-1.1372431970452843,B,D,B,D,0
Non-Veteran,Widowed,36-50,Muslim,C,B,153.21142156238085,14.604139632497509,E,-7.196281175363242,A,A,B,C,1
Yes,Single,65+,Christian,D,E,-72.15432382210209,-57.803979327003894,D,90.95569597055996,A,A,A,A,1
Yes,Single,65+,Christian,A,C,98.86083311067453,68.01712378652294,B,-119.0876957598908,A,A,B,A,1
Veteran,Single,36-50,Christian,A,A,127.19080589687796,219.17526716515886,D,63.39010585567758,A,D,C,A,1
Yes,Single,51-65,Buddhist,E,B,-75.87284757801903,56.99746437562489,E,24.00704010610123,E,C,B,B,1
Non-Veteran,Divorced,65+,Jewish,D,E,63.649170543478895,43.214033969149455,C,-30.162422822615437,C,B,E,E,1
No,Widowed,26-35,Other,E,E,151.98268199171804,31.180529740045976,C,-76.83956180704634,E,E,A,C,1
Yes,Single,36-50,Christian,C,E,39.587221962605746,-123.34315607737383,D,37.44439704288078,C,B,A,A,1
Veteran,Married,65+,Hindu,E,D,-63.229046796068154,82.33588770024139,D,-81.04285246825114,C,B,C,E,1
Veteran,Divorced,65+,None,B,E,-142.130731245288,23.376209949189857,C,-5.188508413018832,E,E,C,D,1
Non-Veteran,Widowed,26-35,Other,C,D,140.69609342259432,61.79986979516947,E,-78.09357395219904,E,D,C,C,1
Non-Veteran,Divorced,36-50,None,E,A,-110.88472458394295,62.53148042565931,E,-137.63422017304083,E,D,A,C,1
No,Divorced,51-65,Jewish,C,C,36.83889327745559,-9.009063869981098,C,-97.5379043931287,E,C,C,B,0
Yes,Single,26-35,Buddhist,B,D,72.67181189020839,-32.52430078887567,C,153.19605577293652,C,B,B,A,1
Veteran,Married,36-50,Hindu,C,D,-46.463884408154534,-31.08105060029791,E,80.97307835833519,A,B,E,D,0
Yes,Married,26-35,Other,C,C,76.37682631327071,24.117437027668647,B,26.75279126822452,E,B,C,A,0
Yes,Married,36-50,Christian,E,D,39.12851967330717,59.398967160773886,A,99.4374137027427,A,A,C,D,1
Veteran,Married,26-35,Hindu,A,B,204.64841051844834,118.01026297340175,D,20.437750733284087,B,B,E,A,0
Yes,Divorced,65+,Buddhist,D,B,-187.4239083938207,88.06122001292026,B,-68.15499753766763,B,C,E,A,0
Veteran,Single,51-65,Christian,A,A,-33.66084791861878,-134.93877043725212,A,31.108727604338615,D,E,B,E,0
Veteran,Married,18-25,Buddhist,E,D,-1.6996485139441138,130.81818252930398,C,-148.620738274723,A,B,D,B,1
Non-Veteran,Married,36-50,Muslim,C,E,-1.824221887855908,11.238652897115719,C,122.37978814132792,C,B,E,A,1
Veteran,Divorced,36-50,Jewish,A,D,179.2308612361985,-27.17025424036676,A,169.89674914649038,E,B,A,C,0
No,Married,65+,Muslim,D,D,-48.86851818209592,-90.36917004948039,B,-114.7833626734971,B,D,E,C,0
Yes,Single,36-50,Muslim,C,A,-127.98835255882388,112.09413191154982,E,109.0096599816808,B,E,B,A,1
Non-Veteran,Divorced,26-35,Other,E,B,219.73797317864228,-6.679322364112787,A,99.34861552718779,E,C,E,A,1
Non-Veteran,Divorced,18-25,Buddhist,A,E,-21.830728010354807,94.87927931957539,A,-129.09000661752026,D,C,D,B,0
No,Divorced,65+,Other,A,A,135.01528805442615,4.850486790376225,E,-132.48069948700532,A,D,A,E,1
Veteran,Divorced,51-65,Buddhist,E,C,-45.205643583655466,-104.17393951391169,D,-131.3764491689931,B,B,C,C,1
Yes,Married,36-50,Jewish,E,E,81.64225381606624,24.4156536184471,B,-80.30371070223543,B,B,D,A,1
Yes,Married,36-50,Buddhist,B,D,-131.44488825280828,-24.14888428063273,D,93.74914533401714,D,D,C,A,0
Veteran,Married,51-65,None,C,E,-102.74272904817998,-134.94376284861,D,177.8561079046793,C,E,E,C,0
Non-Veteran,Divorced,51-65,Christian,B,C,-71.20714355171701,156.99369771987114,D,-30.445425976163463,A,A,D,B,0
Yes,Divorced,51-65,Jewish,B,A,93.47992413011538,-136.33634415880874,B,31.2652953202032,D,D,B,D,1
Yes,Divorced,18-25,Buddhist,C,B,-138.35199390326824,118.66264795518215,A,74.56491211489367,A,A,B,D,0
Yes,Married,65+,Christian,D,D,11.74708714264958,153.85506981229946,C,-19.027525943608588,E,B,C,B,0
Veteran,Divorced,36-50,None,A,E,-19.45843421669297,-30.040415540084563,C,124.58785746328101,D,A,E,A,1
Non-Veteran,Widowed,65+,Muslim,D,B,123.13049416987457,19.322339632974384,A,119.2754286028082,A,A,B,A,1
Veteran,Widowed,51-65,Jewish,A,C,-61.67569552148624,168.08239914036545,B,60.24416603383946,D,A,C,E,1
No,Married,51-65,Hindu,C,E,-100.13621516154079,0.21476044691985693,C,208.3958162175092,D,C,B,C,0
Veteran,Single,51-65,Other,B,C,-49.204509358498996,85.0039388854061,A,-7.052077111090975,A,C,B,A,0
Veteran,Divorced,65+,Christian,D,C,22.052275835786332,0.3627731990702093,D,281.55014429584827,A,C,B,C,1
Yes,Widowed,26-35,Christian,A,D,17.774042454151484,248.11389140296535,D,158.80183879174857,A,E,E,D,1
Yes,Married,36-50,Other,B,E,10.393540440683235,166.56623081283385,B,-29.667834085038653,E,D,B,C,1
Non-Veteran,Divorced,18-25,Jewish,C,B,240.17758604253333,-24.893996542196923,E,-96.48956607977892,D,B,E,E,1
Yes,Married,26-35,Buddhist,C,B,151.43384502320907,33.78223906051369,E,-136.1325515330178,C,A,A,C,1
Veteran,Married,36-50,Jewish,C,B,-104.43214067619033,-132.5768999379818,E,7.615599473918097,D,D,A,E,1
No,Widowed,36-50,Muslim,E,C,54.17870509980924,192.56017399960774,A,48.539685532738645,B,B,E,A,1
Non-Veteran,Single,65+,Hindu,A,D,-79.76615136434383,110.50312317691552,D,-40.58307462866215,A,D,E,E,1
Non-Veteran,Widowed,36-50,Christian,C,A,115.89629652912612,89.51696030003974,E,89.50831657147899,B,E,E,D,0
Non-Veteran,Divorced,51-65,Christian,E,B,91.24206497472993,-13.281361678667706,E,-112.44273672875718,A,E,C,B,0
Veteran,Widowed,26-35,Other,A,E,132.67155569494324,4.681806772055235,A,-1.7565619817726572,C,C,C,E,1
