orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Homosexual,96.45892793542606,B,A,C,-59.61794227743036,D,-163.11829213947135,1
Bisexual,29.4570598219533,A,E,B,-36.986902614513426,A,76.8259877509981,1
Heterosexual,-11.121936389529576,A,B,D,-49.44485318511866,A,142.70999409550103,1
Other,11.10611432715341,D,E,C,169.99969342333944,D,-39.72160703549121,0
Other,-23.986572315230315,D,A,C,1.8605217067618105,B,26.994728581576915,0
Bisexual,-58.69589250373474,C,A,E,31.698763600104684,B,-54.05183885752381,1
Homosexual,3.3032861999628125,D,E,A,-35.05749964937242,C,-91.73862500245805,1
Heterosexual,3.0993694211920895,E,E,A,121.09917714552962,B,-105.93437981011893,0
Other,-83.38593328396274,A,A,D,57.57161736907924,B,54.46750371499187,1
Homosexual,-21.116865286829942,A,E,D,82.36412972464913,B,-6.125363716208154,1
Other,146.55185751935076,B,C,E,-71.21322542332479,A,86.77672400712243,0
Heterosexual,75.81120858405276,D,D,D,-174.82823106474015,E,-232.34146103971835,1
Homosexual,287.000266526417,A,C,A,-37.83915777028281,B,-43.993691161017765,1
Heterosexual,-112.97513857497299,C,B,A,18.655202795341747,B,61.43949632250308,0
Other,-69.97292537893891,C,E,D,-144.70941221844558,A,238.53804853514126,0
Homosexual,124.8566257935263,B,D,A,90.92463119329562,D,0.2660251565392289,0
Homosexual,59.04217721453242,B,E,B,-34.89887101534391,A,-65.88561534182887,1
Other,-53.70266687398404,C,D,D,-116.08693905622367,C,-6.799159393672531,0
Other,193.465157945655,B,B,B,-33.598690387679326,D,-44.54031601206781,0
Bisexual,-23.992199398191495,B,C,D,-11.387666253670059,D,40.96707104899938,1
Bisexual,70.68495242801602,A,A,E,-126.03622330424504,C,23.82702188492788,0
Other,145.68444740897417,D,E,D,28.992739568560726,C,41.485193390241726,1
Homosexual,-158.11264053257213,A,A,B,-79.4486036679003,B,72.56268557962457,1
Homosexual,-36.72800112787863,D,C,B,-42.229743869513854,B,13.659139837808404,1
Homosexual,-29.219564496988585,A,A,A,-76.05476735328705,A,-39.3379021240156,0
Homosexual,-130.54213616357802,D,B,D,64.20967064876662,C,-81.33663153214964,1
Other,27.428529774897648,E,C,D,-214.50692975992095,B,-62.5942245554158,1
Homosexual,-73.5630393950036,C,D,E,-66.65665019287104,A,3.9429880140760236,1
Bisexual,-130.0196989028893,C,D,A,4.033816866621705,B,146.4011312217471,0
Other,-92.0460782433866,B,B,C,-179.65167931181978,C,-229.8233183685053,0
Heterosexual,-31.33701517324749,D,B,C,-25.555177803133013,C,32.41773267846953,0
Other,-118.00798634333245,B,A,D,14.027685663818708,B,37.07702223070116,1
Homosexual,37.18539204104328,E,C,E,10.409428804741006,A,-16.62480436626854,1
Homosexual,69.95984026230256,D,B,B,-170.67357574173124,A,39.296213009869255,0
Other,24.54780531467532,D,C,E,35.3460925948266,A,51.795501244518306,0
Homosexual,-53.982751996399436,D,A,E,0.7424243746544857,B,-41.07754748575243,1
Other,-74.16521442886805,B,C,E,-59.54733221336751,E,-75.10288022624967,0
Other,127.31302609528099,E,C,D,-110.03202547484659,A,-24.89824990471684,0
Homosexual,-34.25419136516604,A,D,B,-77.2699145278887,B,95.55186173982759,0
Bisexual,-49.51502184632662,A,A,A,73.76719195591969,B,-162.2471601809905,0
Heterosexual,-88.90466544020988,B,C,A,64.46383397251368,D,-34.15310084891496,1
Heterosexual,83.57885797487641,A,D,C,34.40997895600208,D,29.167940057374388,1
Other,120.29383581786513,A,E,A,63.99602678896098,B,107.15242504824467,1
Bisexual,18.00055161367178,D,B,D,-146.595546846295,C,-145.6986720306477,0
Bisexual,21.67593445042341,D,C,C,-26.38723184304885,A,12.677846565473269,0
Bisexual,141.70564578368163,A,D,B,-54.781642100535066,E,-115.30384262924498,0
Bisexual,106.38831219305511,D,D,D,-66.18200700151348,E,95.35837199387835,0
Other,-39.61751604756832,E,C,E,-24.21528154272446,C,-71.59013306844545,0
Other,14.61302686730948,A,D,E,-57.49519670161113,A,-125.80428180929417,0
Homosexual,55.12711125831756,B,C,B,-70.8555233007535,E,-44.528092159023196,0
Homosexual,-12.151346167932916,B,A,D,-83.75884091644673,B,-97.67155123639868,1
Other,57.51489753843509,A,A,B,52.04784654252506,E,-9.771957304122738,0
Bisexual,-130.3957756224357,D,A,E,-12.294921014911054,B,-39.724190191928365,0
Homosexual,-183.09774283784364,E,A,E,26.87179094760675,C,19.908742236001896,0
Homosexual,15.214856186189332,B,E,A,36.790746428429905,E,56.21327909174681,1
Bisexual,101.29647277949738,E,A,D,94.49058967606905,E,-86.0181820680513,0
Heterosexual,79.83729214407677,E,C,D,-13.93713350143759,D,-87.63848035698193,1
Heterosexual,-94.31592292161758,D,A,D,-102.57035375767055,D,169.24856224181792,1
Heterosexual,198.04165204478622,C,A,D,-185.30457966509067,D,22.868071925805058,0
Homosexual,6.548571919686524,B,C,E,-104.9734672397549,B,-65.92752153730297,1
Other,24.039401951041008,E,A,E,-109.55083515650384,D,3.2279332275997765,1
Bisexual,-229.50070178622585,D,E,C,60.241974188587974,D,-300.967772036473,0
Heterosexual,-33.176281446616535,A,B,E,51.69720932228115,A,-15.926672927900103,0
Heterosexual,47.808863460653086,E,C,B,43.866184934691425,A,-177.52175363288373,0
Bisexual,-4.509396662689761,D,E,D,-33.72584095999774,A,-143.9599136614616,0
Homosexual,145.83481212981604,D,E,E,233.6274620958774,C,-88.93492098678661,0
Bisexual,-100.76087016738893,A,A,E,140.9017210769722,E,50.44320521568132,0
Heterosexual,-60.20668756030424,B,D,E,17.677733302132424,C,12.708466136348529,0
Bisexual,4.817446100874279,B,B,C,-28.385724281021258,B,-84.57645823290451,0
Homosexual,35.11048354931545,B,B,B,82.43445226842663,E,-49.162488309473,0
Bisexual,-74.67259548734312,E,E,C,57.77786554318458,D,-59.82903971122162,0
Heterosexual,128.93751333393817,D,A,E,-5.373632093385201,C,2.400516967104884,0
Homosexual,-0.9109519674414405,D,E,A,-109.48011076269142,A,68.84554429475315,0
Heterosexual,40.340964678518645,E,C,C,130.75269585134635,E,-190.47001997611244,1
Homosexual,191.9254078179274,D,D,D,16.954578610475295,A,-91.50962410812905,0
Heterosexual,24.962869758347576,A,C,D,182.15554569854464,D,189.3240184121712,1
Bisexual,-3.130776975993289,B,B,B,-92.31270733558328,D,-73.6389345852521,1
Other,123.25446611612414,A,C,A,19.67089487175265,E,-47.46368002029247,0
Bisexual,172.55903347182542,C,E,B,-11.643864254360043,B,-200.5315621201043,1
Bisexual,-175.97135981296012,E,E,D,-107.48512323393469,C,29.172410523822606,1
Homosexual,-130.33749289960974,D,D,B,90.44752021650186,C,80.95717262036784,0
Heterosexual,71.71590807966093,B,B,B,75.88443610274926,C,0.7492238989377163,0
Other,107.07494571789628,A,D,B,-94.89961082467197,C,-146.64110070043446,0
Homosexual,5.743294717781775,D,C,E,150.71557306069266,D,69.33835713728473,0
Heterosexual,-74.3330043072289,C,E,B,-41.3775864084847,D,45.61462953893442,0
Bisexual,27.63250085300395,D,C,B,206.40067700199026,B,151.88822563642242,1
Heterosexual,13.119401757822741,A,B,D,-108.11593451452077,D,-51.126944562442475,0
Other,-95.35447727868227,E,A,C,64.89828645187329,A,-80.08293440231203,0
Homosexual,0.9606796187085225,C,B,E,-97.96328818749829,D,61.40974077041598,0
Heterosexual,-300.9605365751293,C,E,B,0.7880547446071289,A,-43.20212129150182,1
Heterosexual,44.38333039921536,B,C,D,48.730565097588524,E,192.0306804570286,1
Heterosexual,-53.429786481503406,E,C,B,10.126444499940636,A,-66.53928931234984,0
Homosexual,-37.20902955325082,D,C,B,-96.71043007759312,B,113.74484643209864,0
Homosexual,-77.25574804230398,B,C,A,66.55645146452723,A,-190.64253972540604,0
Heterosexual,-24.195171556955998,E,B,E,-99.59317529241379,D,50.46861051715528,1
Other,-18.243739616061877,A,C,E,77.8260305729228,A,66.81069310587554,0
Bisexual,-61.163752057397794,A,C,B,-101.52872093710683,B,153.9324469401999,0
Other,-79.96957536537909,E,B,E,-5.562498206003107,D,154.3981819568646,1
Homosexual,-62.45135066980192,B,A,A,-45.17116715585311,D,-125.55158253855647,1
Heterosexual,114.67801563655074,C,A,C,-57.7715608443724,A,-85.13012759426016,1
Heterosexual,46.17438397853396,C,A,D,-31.324374887270757,B,-51.85791149073019,1
Homosexual,184.90044144863325,A,A,C,80.1745066968378,E,97.22016465868083,0
Bisexual,99.84640839400296,A,E,A,-35.578778958765646,A,1.1554878688539019,0
Other,-41.97291240346706,E,D,E,0.186533012702448,C,-33.89629475943588,0
Bisexual,-183.49781962452562,B,D,B,136.42977028956355,A,-145.11876369811105,1
Bisexual,22.853433369112484,E,E,C,-12.761452338826352,C,26.029357966673945,0
Bisexual,-90.42643713298116,B,A,B,-0.08401633832949486,C,32.09525816764583,0
Homosexual,-14.836194332415442,A,A,D,-23.836224687105066,D,35.76773703028926,1
Bisexual,86.302593326162,D,A,A,93.9249003289214,C,-46.619651502677975,1
Bisexual,144.81501301517508,D,C,C,-7.034155202272455,D,156.53267610296666,0
Homosexual,5.77990404280017,A,E,C,49.6515279375979,D,10.04093990755128,1
Homosexual,-45.09807494625353,D,C,D,-44.61162612316104,D,67.02119979279709,1
Bisexual,39.12478735955365,B,D,B,-34.79937278435488,E,-43.272731941110024,0
Heterosexual,7.797904719657242,B,E,D,90.54935988805795,C,72.37668311906967,0
Other,-57.98003102224718,B,D,D,18.653838452782246,D,59.43173596905291,0
Homosexual,93.31632063454991,A,C,A,0.8463967694702864,D,-38.02586697223485,0
Bisexual,100.55854328627308,E,C,E,154.6230042915347,C,53.04664728501237,0
Homosexual,-41.15054555126919,A,B,D,-68.70740212171734,D,-2.3234470618388285,0
Homosexual,90.10101453255568,D,D,E,74.51420313294926,B,104.1430002514729,0
Homosexual,140.61012921933377,C,E,D,-49.14150126085509,E,164.229858963695,1
Heterosexual,16.673447645469896,B,C,C,35.286351152647214,B,150.38417280221066,1
Homosexual,62.88259802519711,D,C,D,-157.1185142281676,A,-6.983833116365648,1
Heterosexual,226.25207490802956,B,A,C,-63.3406160781674,B,134.66094097141155,0
Bisexual,-16.89688996993293,D,D,D,-28.61253735760771,D,-64.71722535718774,1
Heterosexual,34.4474327477846,C,D,C,77.01011506838384,C,19.6804946105139,1
Heterosexual,-70.93776106435573,B,C,D,-16.542680380104027,D,128.45017671892987,0
Homosexual,61.467704797012814,B,B,E,-7.908771344529877,D,67.23995336535312,0
Homosexual,-45.8177304955081,E,E,C,-21.937528482210435,A,-165.05785055743146,0
Bisexual,2.3035675939176605,A,D,C,83.92338889060876,B,38.76441416412123,0
Heterosexual,89.55405378130166,A,B,D,6.17233713010762,A,70.8323846436976,0
Bisexual,132.3097897600192,C,E,A,17.467993009660887,C,-75.09360985734772,1
Bisexual,-5.432802717880934,A,A,D,100.12144868283224,A,-50.8368774061289,1
Other,-204.8522702577007,D,C,B,46.68836595718256,C,46.436507271095486,0
Heterosexual,71.89721177210478,D,A,E,50.41677469490612,D,178.41781489630986,1
Homosexual,96.02817855723895,A,E,B,155.00616119733502,A,166.522378517282,0
Other,112.71737475208283,B,C,D,129.75312125952317,D,34.471318420356965,0
Other,-49.568671618141344,D,D,E,95.16508191111095,C,140.97129759810184,1
Bisexual,95.70406201897434,C,C,A,-120.48168344200359,B,37.95212445916298,1
Other,-4.895882757598287,D,A,C,-63.011919953568274,B,57.93722979022421,1
Bisexual,113.9026320329592,E,B,B,81.66877921295196,B,-63.245536615251815,1
Bisexual,-60.15106079196846,C,C,E,165.20934299404837,B,21.30544215705786,1
Bisexual,54.871787595122,D,B,D,-70.32758228434197,D,176.08166872943374,1
Homosexual,-97.097318383437,A,A,A,-78.4541573943218,B,99.71493542557455,1
Homosexual,-216.97026285599227,C,A,C,36.18484736945608,A,-70.72771999771204,1
Other,28.296303367833065,A,E,E,-38.65746325938799,D,119.35283144458455,1
Heterosexual,-73.95002939277438,A,D,C,-66.13061280841904,E,-120.87415457301476,1
Bisexual,-159.27474168373533,E,C,E,97.02267124671037,E,-114.24281295232275,0
Other,115.36686702232215,D,E,E,78.89899283196972,E,-52.41742938861118,0
Other,-71.42367836809757,D,A,D,-142.75953212481156,C,134.4718565136203,1
Heterosexual,-127.95978012602075,E,B,D,136.97667482737964,C,1.6230499276740358,1
Homosexual,-9.970191902227741,D,D,D,-41.91535402047462,E,-121.07928716388052,1
Bisexual,33.308705729436554,B,D,D,22.954253664309118,D,-91.60263234229558,1
Bisexual,-42.05668586769215,C,A,B,-147.6564329985673,A,-67.27485318869229,1
Other,19.7347280810554,A,B,B,-80.59687169152626,C,-33.54600993526658,0
Heterosexual,24.339815904276243,B,E,A,46.04185632501282,A,-22.175371595210336,0
Heterosexual,44.61099047740466,C,B,C,222.4681776627092,E,8.331905741302323,1
Bisexual,43.18069955642702,E,B,E,-39.8380222838518,C,-37.8057047340165,1
Homosexual,-36.87829303304513,D,A,E,-152.96035922191814,D,-54.61297925698864,1
Heterosexual,102.99235081878848,B,D,D,42.379632559558786,E,-35.69235138010888,0
Homosexual,-19.106944428168703,C,C,C,-93.04806733880925,C,-93.56332022333588,0
Homosexual,-32.931362354808634,E,B,B,-38.83116085220257,E,61.24069599501664,1
Homosexual,135.21544133724885,D,D,B,89.08478376401476,E,13.340774287302084,0
Bisexual,-193.54309809067956,B,B,A,-127.45939431712341,E,16.128401817478384,1
Heterosexual,10.090762588885658,D,B,D,146.49656594212018,A,105.6751263246176,1
Homosexual,51.65921295423666,D,E,E,209.8176428660982,E,-37.744431211936345,0
Bisexual,114.9168245372384,B,B,D,8.67228306019018,D,-129.6751357696703,1
Heterosexual,-8.943521462371463,B,B,B,-46.98059920292928,E,110.23436345375646,1
Bisexual,-22.491921323086785,E,E,C,89.83228117920832,E,-138.70063344773214,0
Other,84.78449553603835,E,A,C,-204.06138963190173,C,-63.42808878604106,1
Heterosexual,113.9027193559781,D,D,B,-236.05238984912864,C,166.31939019726295,1
Heterosexual,-24.230937658684,A,C,A,-24.888661831476973,B,-29.89490422041635,0
Other,-55.70821070178438,D,C,D,-68.22757936995058,A,-121.17660219036132,0
Other,-72.3240353738183,C,D,C,-168.2723506691174,A,-33.69022785425047,1
Heterosexual,-28.683303085953966,E,E,A,-49.20763831213601,A,22.054368148811356,0
Bisexual,4.866380731879932,A,E,A,58.382869049479645,D,-66.33775531333713,1
Homosexual,135.18036164080235,A,B,A,-49.00199768029411,A,-1.0467502776473399,0
Heterosexual,-196.83133874904567,B,C,E,-89.84911648819386,C,-66.71595466769517,1
Heterosexual,-66.78432364387528,A,C,D,71.73781389590191,B,198.7927159253467,1
Bisexual,-102.86774642916008,B,D,A,6.09718882600915,C,21.5440329217567,0
Bisexual,255.67597894058335,C,E,D,132.38651411419,A,-94.42534120771032,1
Bisexual,118.7665036284707,E,B,C,-213.1568242359916,A,62.253613246732044,1
Other,-12.63997455901554,B,A,E,129.3836299778688,A,-135.6437642963799,1
Heterosexual,-55.159231095478425,A,D,D,-130.73464264493015,B,13.317247515910108,0
Bisexual,51.00344825997071,B,D,A,26.271808066866043,E,61.28586007209497,0
Bisexual,-92.15908884465952,B,E,E,-67.51816664263015,B,-58.567863679280606,0
Other,-147.8056995400454,D,B,D,152.8962603798771,D,20.664244248368423,0
Other,-54.12066060801825,D,A,A,78.70495635165136,C,-54.53312446575522,1
Bisexual,114.16701607669162,E,D,A,217.29090531572405,B,184.47981189204933,0
Bisexual,-113.48974730033494,E,C,E,49.52363258353954,A,-2.413051736427259,1
Heterosexual,-4.034100177928686,A,D,B,64.94485566217027,A,70.33557391706118,1
Other,47.8919187426466,C,A,B,-92.62674353693808,E,7.746353175470035,1
Other,-122.21581362372054,C,C,A,-148.18491551947253,B,-47.22587848674261,0
Bisexual,51.86815550516117,D,A,E,-62.45532542284092,C,-34.732279800145896,0
Other,-11.14996466218897,B,A,B,-94.15475108870798,B,70.39214788397922,1
Bisexual,167.45750422271192,D,A,D,22.475799830564526,D,-41.4946284963597,1
Bisexual,-57.78496791694613,D,E,E,164.4535394578316,D,128.81831078316293,1
Bisexual,53.01696242116757,C,D,C,3.2051546641072135,B,43.78437708932139,0
Bisexual,18.04896925635337,B,A,D,-76.72403921993832,D,-9.572494975252074,0
Other,-105.3973925890253,D,E,B,-52.0354563075204,D,-17.730165524171476,0
Other,45.52349545244369,D,C,C,54.0494287677491,E,-49.67630235442077,0
Heterosexual,84.90409901234337,D,E,C,-42.42089068432923,B,117.9185658002003,1
Bisexual,11.749920982046792,C,C,E,-15.85238086693307,E,87.50814655000734,1
Bisexual,-43.03374293233937,C,A,A,-76.67819903398112,C,20.62870782629595,0
Bisexual,150.34526162846146,E,C,D,-3.4785718602786577,C,-120.5550092128773,1
Heterosexual,-74.89314076901152,C,A,E,-111.56092911430406,B,-222.88247242210826,0
Bisexual,75.78149443722916,C,A,C,-4.64058162008588,D,20.44074316012865,1
Heterosexual,259.0708432547632,D,C,A,-29.010555489913763,A,-153.41104065401592,1
Heterosexual,-54.08188359423396,A,B,D,-7.292518787196996,D,21.975755123526657,1
Homosexual,78.9228645224323,D,A,B,69.4561329847605,A,-24.324174031963352,1
Other,-53.290963656460534,B,C,B,-21.57030239691941,B,28.733938619743416,1
Heterosexual,187.61854866693818,E,D,E,34.79683505121213,A,51.06756151292934,0
Homosexual,73.140476896103,E,A,A,47.35814833204186,A,-206.39300280789482,1
Bisexual,-79.09199469013002,D,B,E,-28.725626114892705,C,132.97783202363166,1
Heterosexual,-172.65739145487473,C,C,B,138.67924968122898,B,-33.55744751769505,1
Bisexual,70.11126079763457,C,C,C,-58.57890617858339,B,-52.75839067109844,1
Bisexual,136.9861048782976,B,E,D,-41.61873058869999,A,1.8542747876201053,0
Other,-13.689841617037054,B,B,D,3.5520050496789684,A,23.15596459278376,0
Homosexual,-1.018794346154569,B,E,E,258.3939060308194,C,-24.168955061624448,0
Homosexual,194.00373971189128,C,E,B,-42.212573103678835,D,51.23461964953289,0
Other,98.41109407323052,A,E,E,81.09979508373895,C,44.79878428115324,0
Bisexual,-169.83792282463958,A,A,C,82.24305896661672,A,168.26232002639324,1
Bisexual,-20.715130022278,D,E,A,-66.73320661314128,E,42.16963422120653,0
Other,-19.05352696530453,A,A,D,49.445407757684364,A,-83.78611155918108,1
Heterosexual,26.78185343018135,A,A,A,2.619569294221016,C,137.67242433709302,1
Bisexual,-48.29423795254189,A,B,D,89.49428488015761,E,-60.20442553691612,0
Bisexual,-99.50405342361348,D,D,A,-120.59024539312276,E,69.25219461781738,1
Heterosexual,-29.793507783958358,E,E,E,40.87374484182818,C,-47.145197426217486,1
Homosexual,33.63222165195735,E,E,E,40.11409388382155,E,43.532816346520896,1
Homosexual,-216.36382016934817,E,A,C,-204.29717972356664,E,-16.12572606453434,1
Other,7.132041798997195,B,C,E,-11.853446171910557,D,-103.7244643786735,1
Heterosexual,-173.85944434175167,C,C,E,130.54266141220396,D,7.340658734630996,0
Other,-103.88339740828194,D,C,D,-102.22306305593555,D,82.25609171408018,0
Homosexual,4.667745560317153,A,A,E,-4.5850149808764815,E,44.01880500419393,1
Heterosexual,-99.65480473691758,C,A,A,208.49909507800714,E,-99.15291158092569,1
Heterosexual,-30.329494925312776,A,B,A,-12.439223969353776,C,69.43746159316068,1
Bisexual,-153.01007810714447,D,D,C,-29.181338814205077,E,-176.10824342742083,0
Homosexual,87.46950070706076,D,D,D,-166.02382606514422,E,-35.51270970490416,1
Bisexual,77.50839402757023,D,E,A,-4.4053811019044025,B,52.63922631673431,0
Other,106.9190425611652,D,B,C,-141.84470845014368,A,50.00071859527373,0
Bisexual,-124.71572787784912,B,B,C,-13.661038493498268,B,-124.95296287469829,0
Bisexual,150.72851824597922,A,E,B,51.320409244759176,B,-13.935563512979392,0
Heterosexual,13.120750664201475,B,B,C,-44.335787344555435,A,-97.18760188194209,0
Homosexual,12.925823023899893,B,E,E,-45.76008028418087,C,-122.30127551609303,1
Bisexual,90.77750639339075,C,D,E,173.26829822092677,B,-105.99196415506154,1
Other,-60.111155285554865,D,A,E,-60.62802726511281,C,-108.83825846555042,1
Homosexual,-41.61992118126212,E,A,B,-33.30837965173449,D,-66.39799644280227,1
Bisexual,-4.705193169112333,C,E,D,92.93220332449927,A,-76.64572630762055,0
Homosexual,59.66790709630799,D,D,C,59.673845350468646,E,3.8232004742113004,1
Homosexual,44.73795102315473,A,C,A,-81.54335786492408,D,-163.97144180003085,1
Bisexual,-87.92535652542325,B,D,C,77.00355553131169,D,144.64678625987193,0
Other,25.884267856931004,A,B,D,-38.480908755581176,A,145.70692974419993,0
Homosexual,-129.78171901764816,A,B,D,-75.78863831274265,D,73.6284566144981,1
Bisexual,90.74063866842098,C,D,B,-39.18810773385897,C,-5.912243132124765,0
Homosexual,9.05483117923096,B,E,A,-42.63198682618235,C,-37.09768462679635,1
Heterosexual,103.89582775293964,C,E,D,-0.6953519922218259,E,-89.78792811290714,0
Homosexual,-93.17243909783774,B,A,A,64.30920916569588,E,4.109248074378362,0
Other,74.88823437998235,D,E,C,-172.18340575554134,D,25.315473248152813,1
Bisexual,20.62674683639649,C,D,D,-11.943823318919813,C,-36.37613849219797,0
Bisexual,-39.32509206365959,B,E,E,-71.416458205897,E,50.50140593224535,0
Homosexual,-7.054361896672082,A,E,D,159.02697570544547,B,88.87468756182366,0
Bisexual,-61.003868919013826,E,A,A,177.52991015095455,D,66.09822737898703,0
Heterosexual,255.16205048007527,A,D,A,-93.51123635962534,C,-84.29377061005516,1
Bisexual,51.789328843029494,D,C,A,-135.40481323763686,A,-216.0998159215935,1
Homosexual,116.30957322014861,A,C,C,122.99747354085224,B,25.870408184130667,0
Homosexual,-18.18214409468062,C,D,A,244.01713424698244,E,-89.09784398052385,1
Heterosexual,-99.22615549536175,E,C,D,27.70935693308016,D,-15.238340341003177,1
Bisexual,20.862309301210555,B,A,E,-2.267740959410216,D,-121.85154213905724,0
Heterosexual,-17.99270524126437,C,A,E,-45.24884663853264,E,-32.86206467135678,0
Other,-260.1750345823402,D,B,D,193.77644093982283,E,-25.40175319361927,0
Bisexual,133.37540774680608,B,C,D,-80.01178841433448,D,215.66234595368095,0
Bisexual,-226.7908389486326,D,A,C,151.57263927620411,B,-139.99591977702383,1
Homosexual,51.63650100901519,D,B,B,-64.92797191751332,D,66.97825435930288,1
Homosexual,61.5737768373247,C,B,C,-166.84146273697905,A,58.07398717250168,0
Other,133.03902408513872,B,C,C,63.37687297764389,D,-185.9272519184976,0
Homosexual,-43.650856805701636,D,D,E,-85.91777957135653,B,-202.93825128989465,1
Other,-4.378022284820811,B,C,A,134.44278713624726,C,103.51052946744548,1
Heterosexual,-52.70333952261387,B,E,E,-185.40123877491146,C,5.213994923943228,1
Bisexual,-69.44954719579654,D,A,D,84.92530586938739,C,-74.48722080796469,0
Homosexual,-29.125561884008142,E,D,C,1.9766241011976242,D,-40.2467579418974,1
Heterosexual,-29.891349536537703,E,B,B,-10.070106706921479,E,34.29410643794369,0
Bisexual,-17.824577314692743,A,E,C,85.8559123707847,D,-13.042622156762201,1
Heterosexual,-86.28560543431814,B,B,D,101.4370871217851,C,-198.00599186634756,0
Heterosexual,-19.895619005440455,B,C,A,15.12867696117596,A,83.18023022362443,1
Heterosexual,100.32519270240576,D,B,A,94.51041435353244,D,0.9255060304785049,1
Bisexual,-37.316574575024845,A,B,D,91.21944394424193,A,-103.21423233874545,1
Other,-109.73195189196072,A,E,B,-123.78215231999809,D,31.72331941529925,1
Homosexual,-86.02040087797316,A,A,B,73.86811245797085,E,42.880782451673596,1
Bisexual,-35.8936367197378,B,B,C,60.59013326263335,C,71.95814104005973,0
Bisexual,74.64083746135725,C,C,B,168.04821257870282,D,-176.91484172467403,1
Bisexual,87.37195208301533,B,B,B,20.3094194777291,B,-65.01686855220082,0
Bisexual,-291.0770221476654,E,C,A,94.18707660379437,E,36.09284359889299,1
Other,-73.78512933331541,E,B,E,-92.68052892804639,B,-21.354891590670995,0
Homosexual,66.0333718241054,E,A,E,157.4633883698329,B,100.12867637288487,0
Homosexual,47.16416716385742,E,E,D,-11.742210710413358,B,-111.96135160374187,0
Heterosexual,-73.78456064115841,E,E,C,-74.78610030941556,E,107.52422084875808,0
Bisexual,142.66945422614313,E,C,C,-69.10649654707235,B,27.54173753037771,1
Heterosexual,13.042069630905791,B,A,A,68.66864797063783,D,-84.8843378352163,1
Heterosexual,144.80642706593312,E,E,C,-23.234534291925762,D,-83.57815291422699,1
Other,-13.474309180208438,E,D,E,5.09754949013892,D,118.71993938242498,0
Homosexual,76.66184957825537,B,E,B,-69.54022069560757,D,58.26902674430771,1
Heterosexual,105.53136281292446,D,A,C,-166.4774295829424,D,60.41494000249996,0
Other,109.82139442262539,E,B,E,68.92851926396646,D,-30.243477013089443,0
Bisexual,62.84241520082343,C,E,E,70.71445224767186,E,-78.79772787022344,1
Bisexual,-150.45913994304064,E,B,A,-113.43291580770536,E,-30.257044591049265,1
Homosexual,24.924653973616202,B,E,D,113.04318311302379,E,-29.479578467253642,0
Bisexual,51.18984574325509,E,A,B,-128.32207093373094,C,-105.32335012519272,1
Other,-103.74298259656851,D,E,B,-153.43623706344306,E,54.98769392130023,0
Other,-144.06285836984645,C,D,E,-11.615641165788503,E,20.29542400242886,1
Heterosexual,89.96439282124888,E,D,A,86.82701545670542,D,-108.99491042113634,1
Heterosexual,74.73959965698394,D,B,A,-112.70194222944303,D,-121.77590543217111,1
Bisexual,12.633624030868674,B,C,B,-32.413994560408895,A,-155.94447500379988,1
Bisexual,119.23069490668468,A,E,C,-22.305167880852338,E,257.95440814866396,1
Heterosexual,43.2712783085399,C,A,B,-130.9228849867393,C,-1.354243442620543,0
Other,-50.74240950215524,A,C,E,39.57210768088084,C,-38.24253245313257,0
Bisexual,46.2077515697518,C,C,D,-174.1326255553789,D,125.38110678573189,1
Other,206.8708421038667,D,A,C,124.95557971993787,D,95.14249381874073,0
Bisexual,-60.6648331084928,E,C,C,-122.6256549018077,D,-29.33873412466552,0
Other,4.774119314537548,A,C,C,-229.49803515290745,D,102.34577128217217,1
Bisexual,80.82429436904698,C,B,B,99.72449438974462,A,-44.588799012893645,1
Bisexual,-226.10630565303157,A,A,B,12.206702618247059,D,-57.847833189131926,0
Heterosexual,33.01244814341498,C,D,C,13.798991438690948,A,-17.121018023213654,0
Homosexual,-44.160332031572466,E,E,D,-122.2536493879103,C,189.27337916557872,1
Bisexual,140.92440897760022,C,B,B,-54.76516670477105,C,0.24931080874241127,0
Other,-228.9370022720596,B,A,A,183.3865762803305,A,84.25633220171986,0
Homosexual,160.82041773188803,A,C,A,-52.7106648172801,B,99.1847377296512,0
Other,98.57335659774175,E,B,E,66.8273541608602,C,-88.17250906252461,1
Other,-102.4575725311859,C,C,C,94.23241033810737,A,151.35535334393916,0
Homosexual,-102.39740261106311,B,E,A,172.2890536058324,D,66.8068570912716,0
Homosexual,78.84025629060405,D,D,D,13.691422268539382,D,14.378567042197817,1
Heterosexual,60.11384748232379,C,D,E,78.61711316082747,A,55.63097188985701,1
Heterosexual,-59.31842881138505,C,C,A,23.572906684208156,E,-42.07693350626728,0
Other,6.236394821977955,D,D,D,-180.56801919459895,B,-48.28723585701748,1
Homosexual,-228.5533365651866,C,D,C,94.71648617332617,C,50.4973427576359,1
Homosexual,-82.60978190852035,A,C,E,81.00867381577399,B,-22.599175046838944,1
Heterosexual,147.491027661663,E,C,A,156.48725765830315,A,-71.05071911815783,0
Heterosexual,-104.05852429632381,B,A,C,89.63191286195585,E,-122.56829318588849,1
Bisexual,-84.26082644837543,D,E,E,104.36271038822933,E,46.9030362089961,1
Heterosexual,66.9253998125535,C,C,E,98.89187255902792,C,45.85765423701819,0
Heterosexual,-23.277123813928107,E,C,C,-17.213797847554535,E,89.9182315415792,1
