Disability,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
Both,Muslim,D,109.15956384219744,A,B,B,C,C,C,D,C,-137.6561605023627,-45.25436226739284,-42.18905721338386,0
No,Christian,A,96.82687807964486,B,D,A,D,B,B,B,A,-155.11592635810547,106.15079075843366,203.68533693075966,1
Yes,Muslim,A,150.14639000817732,C,C,A,E,B,C,A,C,3.431826781073182,-116.04855558887283,-42.577140260102105,1
No,Buddhist,E,-31.090062935761946,B,D,A,C,B,E,A,D,-61.56403821917635,82.05838420166252,70.49078133138777,1
None,Muslim,D,14.786866987093086,B,C,C,B,C,D,B,A,-71.64501395728122,8.446949668192488,65.57324625105989,0
Yes,Hindu,E,-46.28069817714118,B,D,A,A,D,D,C,D,137.62614051097643,57.20565948894334,10.49249770918646,0
No,Other,D,93.45985515322577,D,D,A,D,E,B,C,E,169.19955940664673,58.97334834843399,84.96715463231433,1
Physical,Muslim,A,33.70478273989518,A,E,E,C,A,D,E,D,117.01089475488999,-75.60651190330243,-36.25707762328632,0
None,Jewish,A,-56.57465314481619,C,D,A,C,A,E,B,B,-61.2863287650217,-43.16575047319722,-48.39347799858343,1
Both,Other,C,-50.861093389850154,C,A,B,A,D,C,B,B,-101.90927705239581,38.143502746300975,29.198446119036515,1
Mental,None,D,204.97355991933804,C,E,C,B,A,D,D,E,36.25628246089206,27.177070123345537,-60.41013044940057,0
None,Buddhist,B,72.45981130646992,B,B,D,C,E,E,C,E,191.90855392560184,16.74305107751361,-119.94140222254947,1
Yes,Christian,C,117.09798580042303,A,D,B,E,E,A,A,E,-17.79544021472976,-105.74661128682898,62.18398698375145,1
Physical,Christian,C,-37.67052615509981,C,E,B,B,D,E,E,A,63.84959112512849,129.3143648589131,113.73843420263965,0
Yes,Other,B,-36.95401701137065,D,E,B,D,E,A,C,B,127.42855229376148,-83.60959973236663,130.29656641464976,0
None,Christian,A,41.832309179463564,C,E,C,B,B,E,A,E,-90.0480183842518,-15.956288965947559,-23.748669199469116,1
Mental,Buddhist,D,151.08472509165424,C,C,A,B,D,D,E,A,-58.053627134353626,94.02431120274953,-1.9524030447077918,0
Yes,Hindu,B,82.81753619497906,D,B,E,D,A,A,E,C,-48.37184457219632,25.057076948215666,4.567744172955099,0
None,Christian,B,100.02512659400118,E,E,E,A,C,A,B,E,88.18296780656169,-92.14862534851672,-12.549192353646957,0
Both,Muslim,A,-19.702151764709697,E,D,A,E,E,A,E,E,85.84503380193006,76.31583715628332,21.37847150434802,0
None,Muslim,A,176.97638156326389,D,D,A,A,C,E,B,D,-41.23815208577371,-46.73782084208262,67.35144327602627,0
Mental,Buddhist,B,34.769116435500116,B,A,D,C,E,D,C,A,226.84023073270555,-54.27052435436879,-51.52822644086255,0
Yes,Jewish,D,125.41938833148537,B,C,D,E,D,E,A,E,-68.25465942948843,-37.2315473670556,63.74895125530886,0
Physical,Muslim,D,-51.09657497475801,C,D,D,E,E,A,A,E,-11.234607199910721,-32.03527884404374,-204.28780559538566,1
Yes,Hindu,C,109.96975179723107,B,E,A,D,C,C,D,C,73.17048889230017,-159.57908493761795,6.587629976334103,1
No,Hindu,A,-138.00774187544818,D,B,D,D,A,C,C,B,-96.90765084571812,-24.974925921334908,36.968846569398735,0
Physical,None,D,136.84573839484582,E,A,E,D,B,B,A,A,-195.49643108840002,-37.208580658338406,77.3883300329197,0
Both,Muslim,A,-53.19755816630858,B,D,D,A,A,C,D,A,11.693934497032698,-45.673260952738445,43.351283429601494,1
Mental,Christian,E,23.855489795678146,B,B,E,D,B,C,D,E,-24.056194833916233,-37.32390001950843,8.050150820704447,0
Mental,Muslim,B,69.47921585354884,A,A,E,B,C,B,D,B,-23.43031926037101,96.06367641718344,-85.93685387647709,0
Both,Christian,B,66.05335910226479,A,E,A,D,C,E,E,C,-33.996883918899314,-77.17217603317195,76.13560036072091,1
No,None,D,172.38888493162383,E,D,C,C,E,C,D,C,112.9678141268656,-71.95478125230727,25.440487765395375,1
None,Christian,D,133.98181131344836,D,A,B,A,B,B,B,C,-18.33535824932275,-59.78903048185414,105.51536465793193,0
No,None,D,98.78847143943932,B,B,A,D,C,B,A,A,-65.70223757984377,-107.67355267566336,38.92785596547509,0
Mental,Jewish,B,-114.06858707651169,E,B,E,B,B,C,A,C,-5.010097243986536,93.25949047831921,28.936052023715085,0
Physical,Muslim,C,-30.49273671955418,E,D,A,B,B,E,C,E,83.19909632855156,60.87007938292231,-1.6457060095184046,0
Mental,Jewish,B,-322.76261712398457,A,E,B,D,C,B,B,E,185.71277078469103,-1.546683887700663,5.761763587880185,0
Mental,None,D,-192.98505775540426,B,D,D,E,E,D,C,B,-31.353519745432273,91.48562470653255,87.66433827031157,0
Physical,Muslim,A,-4.083223242997799,B,A,C,C,B,C,A,C,-73.04253880128451,59.17377779483148,339.9372663049205,0
No,Hindu,D,-53.511918022726654,D,E,A,E,C,B,A,E,110.50446254788359,111.9229904588277,28.256868113609656,1
Both,Other,A,-128.0943924290653,E,D,D,B,B,A,C,C,-92.9100110278948,-23.226902072135903,-3.228069753010729,0
None,Christian,E,-67.33648799510239,D,A,D,A,D,A,E,A,-78.77164542709322,17.07285104334487,-76.9292110886728,0
Physical,None,E,58.1313081693015,B,D,B,E,E,D,A,A,-157.91178475828016,16.853027748720603,110.60366944076958,0
None,Buddhist,A,-16.893196194724595,A,E,D,E,C,B,A,E,106.67068202190677,-101.61300794241758,-53.84022692921581,0
Both,Hindu,D,-11.17818774580703,B,C,C,D,A,D,B,B,-102.09905246641691,37.04626500271534,-94.25079913282167,1
Mental,Buddhist,E,-171.17925253578085,C,D,C,C,A,C,E,B,231.37040187094894,-21.306810676520335,-68.48611271434511,0
Yes,Other,E,25.10232983959787,B,D,A,A,E,A,C,A,31.209419802088522,-120.12379441945653,7.150409930394056,1
Yes,Other,C,58.53047404457264,E,D,C,E,E,B,D,E,88.77779697105026,174.54777170099123,49.63462207339403,1
Both,Hindu,A,-50.61064852427457,A,C,E,C,C,D,A,B,15.350765345794454,-6.705165527588621,-11.261209848395545,0
None,Christian,E,-80.4966232437418,C,C,A,C,D,D,D,D,53.962932543670775,30.818020202408213,-69.14202312175314,1
Yes,Jewish,A,108.14597314110077,E,B,C,C,D,D,C,B,156.57979965299484,-65.5240198145526,199.05869846030694,1
Mental,None,C,48.676518660158266,A,E,A,D,A,B,C,C,92.36369507525212,-29.749772525337736,72.91416289119364,0
Mental,Jewish,A,125.59566443887394,C,C,D,A,C,A,A,B,-79.0682692344127,-26.218698657401934,13.399892194519841,0
Physical,Muslim,E,-11.707923841701922,B,E,C,B,D,D,E,D,-126.90756857028455,111.09354801497521,193.71590999072586,1
Both,Buddhist,A,98.23317970647446,D,A,A,B,A,D,E,A,-178.6483445731224,196.38696340435268,142.53905361217198,0
Both,Muslim,A,-139.8819441834069,C,A,D,A,A,A,C,D,10.022327954443952,-9.111726250523507,-38.08026112931515,1
None,Christian,C,-176.04562527853926,E,B,D,E,B,C,A,A,-56.96150344569776,53.66823914236748,180.8166783890017,1
Both,None,A,187.12136422026552,C,B,B,C,D,A,A,E,111.14947263679198,-83.11876039879513,-78.4513317442234,0
Yes,Muslim,D,121.18351753761827,C,A,B,C,C,E,B,B,-12.061702502865883,-30.627083816100985,41.13303157179895,1
None,Hindu,D,107.8703347867328,D,B,D,E,E,B,B,E,39.41987055763407,-59.28092715601364,-53.81205255173636,1
Physical,Christian,D,111.41353514572523,A,D,A,A,D,B,E,C,-56.78412300225346,-66.15417670978177,68.69187933684523,0
Yes,Hindu,C,127.8872226831511,B,A,A,E,E,A,A,B,114.09747325291941,-21.637669072001575,337.1061046577774,1
Both,None,A,-68.73727202322722,A,E,C,D,C,D,D,B,-187.47017275950168,-116.732839010839,-5.957072938491064,1
None,Buddhist,B,106.78044417189021,C,C,A,D,D,B,E,B,-35.01428367211142,-253.27684249301302,115.0006637598278,0
None,Other,C,-147.54268982957402,E,E,D,B,C,D,B,E,-72.6471317111487,-130.0960811885461,110.74024953397179,1
Physical,None,A,6.368815224745757,C,B,D,C,B,A,B,E,125.2427126280464,-43.70152704875882,-73.29285362709709,1
Physical,Hindu,B,-120.43456778208521,C,B,A,E,D,A,C,D,67.17347174230751,117.45366129570596,10.600394030477364,0
No,Muslim,A,-133.97592514747532,E,E,E,B,A,A,A,B,192.2830268173113,-51.513853046773896,41.39151483482034,1
Yes,Hindu,A,-39.18078260744032,E,D,B,E,B,A,C,C,-49.570328034807346,74.23804951700626,-162.63775231153787,0
None,Jewish,A,-55.301356803769075,C,E,E,D,A,C,D,B,-34.37514815217219,-20.59325347719025,95.92889508366265,0
No,Muslim,A,79.88685114047775,B,E,B,B,C,B,E,E,91.70137976395748,161.37291424489624,3.016223590284756,0
None,Muslim,B,-144.06463473964246,D,A,A,E,D,E,D,B,28.765162436425395,-268.62307773751525,-159.13324541290018,1
Physical,Hindu,E,108.30273706752276,C,B,A,B,D,C,B,E,89.90662153807193,-127.23795656194665,64.82415223250183,0
Both,Buddhist,D,101.75600152892255,A,C,B,D,A,E,B,C,-198.29615727389077,160.72876355683036,-136.2262615213498,1
None,Other,D,306.573585891562,A,E,A,D,E,E,D,B,-62.054496113209765,-147.95012345971398,72.36558293816827,0
No,Christian,D,107.08171526008165,A,B,C,A,D,A,C,C,-98.22537010623032,-107.61470901033803,161.7744774029641,0
None,Hindu,E,75.83500733269356,C,A,E,B,B,D,C,B,-98.44692149527499,-135.58675471231618,-45.638420499720254,1
Mental,Other,B,23.44430124547286,D,E,C,B,B,E,C,E,-67.87510940398367,-31.59279923225305,54.28572247853369,0
Mental,None,D,-56.385707513333074,D,D,A,C,C,A,B,B,-102.90000842419155,43.56386279223879,-30.77101436642367,1
No,None,A,317.67343250872733,A,A,E,D,A,D,D,C,122.83376881841556,-25.196648922241383,74.09597688697957,1
None,Muslim,E,38.84504693848749,D,C,D,A,B,D,C,E,119.66796333743785,265.7715689796687,-45.98919588969248,1
Mental,None,B,-153.51828339718438,C,C,E,A,C,B,C,A,-107.63916194475746,-36.473020980617584,-22.251577714630983,1
Physical,Other,D,-100.15876536438022,B,A,D,E,E,C,C,B,22.900516176516557,45.304935781450375,-5.937251154315354,1
Mental,None,D,17.717255460875595,C,A,C,A,D,E,C,E,-77.52979033896355,-33.426987524035006,-87.17493171121959,0
None,Buddhist,B,65.13384703943315,B,A,A,A,A,D,E,D,101.67653212292065,-31.333048796280433,189.00023789997528,0
Physical,Christian,E,93.22305108556147,C,A,E,C,A,E,C,C,135.85595617332407,-38.217988138953615,29.179748036788023,1
Both,Other,A,-38.77248083146612,D,E,E,D,C,C,A,E,42.59066584310743,-55.97756554280687,101.55203629583617,0
None,Hindu,C,167.13346428445251,C,B,A,B,A,B,B,C,95.16225031604374,-107.78653070915745,-35.59436814939127,0
None,Buddhist,C,62.502315674168706,E,C,E,A,A,D,D,D,74.94254117906884,90.79761610924689,-6.077445768306436,0
No,Christian,B,-176.97780296507614,E,B,B,D,C,C,C,D,147.3208262071624,-146.40776576129377,-172.55964495380795,1
Mental,Buddhist,B,57.602270051115255,E,A,C,D,C,D,C,A,-18.403652426104394,-154.44990444745835,-73.47356158684832,1
Yes,Christian,E,10.748283297340272,B,A,B,D,C,E,D,E,-98.9368809130144,19.342873376932015,-26.16984404322002,1
Both,Other,A,257.19453589451336,C,D,D,E,A,E,C,B,-115.42388116005395,-68.18184435724996,44.28103197097153,1
None,Other,E,-141.1289686473936,B,D,D,E,A,B,E,E,32.498081925166325,-52.36380016695976,-70.65019112468623,1
No,Muslim,D,42.195231072363335,A,E,C,A,B,A,B,C,-88.23476153522579,7.814181622832709,-192.87217536717665,1
Mental,Muslim,A,-28.495845915577206,D,E,C,B,B,D,B,B,-113.10966983629953,19.877099902783314,93.09410978297069,1
Mental,Christian,C,51.22024926935922,A,A,B,C,C,E,D,E,4.162505900707322,70.16455023627674,142.27777981320898,1
Physical,Buddhist,A,-126.15178107498718,B,B,C,C,B,C,A,E,-130.95561503590415,-2.0262034252004075,-20.890748455698073,1
Both,Christian,A,-82.84412783580434,E,D,A,E,B,D,D,C,-55.962098836822115,-130.5771849302909,-12.222270346412651,0
Both,Buddhist,C,90.94247055867838,C,C,D,C,D,E,B,A,23.03053602342448,2.2150257930088766,-52.044446026731606,0
None,Buddhist,A,72.11241177439926,A,A,A,A,B,E,A,C,-34.01881329528327,68.48883555117793,81.1359117108324,1
None,None,C,106.73603104004856,D,E,B,B,D,B,E,A,97.01309697353892,-39.736068268100915,-39.80442340546897,1
Yes,Buddhist,A,193.56549363496208,C,A,B,B,C,D,B,A,72.73557133236453,-73.61816674125195,128.87349147339165,0
Mental,Buddhist,D,24.845197530882793,B,E,E,E,A,B,D,A,-2.274549649770675,-33.67177421446168,-40.74246829533868,1
Physical,Jewish,C,-239.4631778973237,D,B,C,B,C,D,B,E,68.75298318657553,209.62548952604033,-12.995742699217452,0
Yes,Jewish,E,-48.11952735916345,D,D,B,B,E,C,E,C,-132.98757340562213,1.9934810405831191,29.585956481495007,1
Yes,Jewish,D,-129.8995518661634,C,B,E,D,C,D,C,A,-128.84852163734544,-81.05871587159858,66.06924474701503,1
None,Other,C,-46.28732826011022,B,E,E,A,D,D,A,B,-76.0514401856341,185.26331232989628,-71.6239163755759,0
None,Other,A,127.95930714165232,E,C,C,C,A,E,C,E,-181.714704878915,-87.45420825846367,-17.584873190275417,1
Physical,Buddhist,E,9.81158368954261,B,B,E,A,A,B,B,D,-62.62658490257119,2.0026555895223437,-13.64025667223805,1
Both,Hindu,D,-159.5499418929519,A,E,B,C,A,E,B,A,-62.0367983321914,67.74177448862265,29.619054272689844,0
Physical,Christian,A,-128.35808873687236,A,B,C,E,B,A,A,C,-96.06963523164133,-41.714308978977186,35.73120163159077,1
Both,Muslim,C,15.65184606388595,D,D,C,B,A,A,E,D,107.45481461731829,85.36347813717715,149.85884187961872,1
Physical,Other,C,78.43605114479526,C,A,E,A,E,C,D,E,-70.48941437842461,-197.01345522474023,-112.03184450282757,0
No,None,D,61.24617779627176,C,C,B,A,D,A,D,B,-24.814298873987838,-114.53297990346954,46.45558552409895,0
Mental,Hindu,E,50.442720628403634,B,A,A,D,C,B,D,C,132.6828119316529,57.94867871057525,94.3917767637389,0
Mental,Hindu,A,36.73738909821568,B,C,C,C,A,E,A,B,44.55320307236785,150.90216230204683,-223.25617767989922,0
None,Hindu,D,-3.5606571197908923,C,A,C,C,C,B,A,C,-275.2743756125021,3.3806640325292197,-73.99375609756417,1
Both,Hindu,E,-91.72688095280742,E,E,A,E,A,C,E,C,-69.33164443569802,-101.4718385606242,102.72832873282671,0
No,Jewish,D,-64.38453863830402,B,E,B,C,E,B,A,D,129.86609028346012,144.63546500446972,-225.34741673652596,1
Mental,Jewish,E,-15.493082027490008,C,D,D,B,D,A,E,B,192.89931666508505,-1.8904404085428108,20.976760498560196,1
No,Buddhist,D,155.68249009112714,A,C,A,E,C,B,B,D,212.05693895203416,155.81996599337634,17.245337492067687,1
Physical,Buddhist,E,-86.00060356614377,D,C,C,D,B,E,E,D,-66.15491361484796,-46.10436298298972,-82.28538474147689,0
Physical,Jewish,D,-102.10688543341342,C,C,A,B,E,D,A,B,-251.38255768533918,-58.29496806620511,66.56350029719421,0
None,Hindu,E,109.17129460236792,E,D,A,B,A,B,D,B,-18.55172760494885,19.648924112148535,-46.9811024454532,0
Mental,None,B,-83.45312825061002,D,C,C,D,B,C,A,C,-145.97272720218453,111.09620666786688,-96.12992106188875,0
Yes,Hindu,B,88.14113212929632,D,B,C,B,D,A,B,E,19.2368693601358,177.09698837364965,-42.769346416192114,0
Physical,Christian,E,45.68453893925037,D,A,D,E,B,E,E,E,-158.9170676128572,-33.039793471652764,-37.55401048979886,0
None,None,E,7.603057680242899,B,A,A,D,A,E,B,B,19.947928717438497,125.27395716260672,-1.476138850880175,1
No,None,D,-116.51180521177271,C,A,C,C,A,C,B,B,-10.462176846539792,-51.82570333534411,32.34030327377512,1
No,Hindu,B,122.64114241646517,C,C,A,B,D,E,D,C,-31.890761161499704,-63.16010317769858,67.93955261547366,1
Both,Buddhist,D,11.427837966725988,D,D,A,C,D,D,B,C,83.98514777447006,-61.12018058209193,-14.332535758523562,0
Mental,Buddhist,C,-37.899027823535995,E,A,B,D,A,D,D,C,-84.35227931699222,-90.68137643945946,-90.54228090798166,1
Mental,Hindu,A,7.041419080911644,E,B,C,A,E,D,B,B,146.19976249280342,79.56200325087262,35.277805105915505,0
Yes,Christian,E,-70.00976059593323,D,B,C,C,D,D,E,D,-19.69810387066904,-93.64933227367635,61.91495161712343,0
No,Buddhist,E,-74.06116954288319,B,C,A,C,C,B,B,B,131.36611111369584,34.490621752907764,-27.561637423351836,0
Mental,Buddhist,E,-17.781079101686732,E,C,D,E,A,C,A,E,101.66973170881046,7.203642684820998,192.15465004896174,1
Yes,Muslim,E,-0.7397743656211417,C,B,A,C,D,A,C,A,163.33701674968952,149.90693052439497,-110.64127376000332,0
Mental,Muslim,C,5.9662491603227785,B,A,E,B,B,E,C,E,32.02248314840282,45.47879112938923,28.07819361063527,0
Mental,Christian,A,6.912384638439933,A,D,C,A,C,B,D,A,-162.3807066240301,53.493420349656596,-10.408183807356837,1
Mental,Muslim,D,-14.72748291524699,C,D,A,E,C,C,E,E,80.28088928103787,120.36469722768426,-26.57524069375745,0
No,Buddhist,E,189.89568700745656,C,A,B,C,E,E,B,B,-42.36151799720217,-1.4927780227989953,-354.7577795667482,0
None,Jewish,A,-87.25691620342421,C,B,A,C,D,D,D,B,74.8570813607254,-95.08297018432019,-72.95864730017118,0
No,Hindu,B,61.435827146318914,C,D,C,A,E,E,A,D,-36.149019106644104,137.26057001308868,130.5654260807425,0
Yes,Other,B,-27.607774129258043,B,E,A,C,A,C,B,C,101.23968565869559,33.57852336918225,-51.43462411362748,0
Yes,Muslim,A,-71.32347228178364,E,B,D,E,C,C,D,C,-69.63738456788067,-44.206575104415144,199.38309646624373,1
Both,None,E,-112.57181945007737,B,D,D,A,A,B,E,A,-35.22793830457873,94.75906006487345,142.86933176371735,0
Mental,Hindu,A,83.51640811931547,D,E,B,C,D,A,E,D,-62.611341305920845,251.2815870085012,299.78242455310544,0
No,Buddhist,B,-74.60495808719196,B,C,C,D,C,E,B,C,44.01102568846497,12.487331693876701,43.439707094703486,1
None,Hindu,A,-287.941586002038,D,B,E,A,B,C,C,E,-235.8148061027929,47.2017626327102,-118.92015997136356,1
None,Buddhist,E,-12.149076675142695,B,B,C,D,B,B,C,A,1.049044550356758,-13.31826241748318,38.46571678661648,0
Both,Muslim,B,60.87633778595595,C,A,B,E,E,A,C,A,-52.83947544006982,-79.69498548147769,-29.23374436692681,1
None,None,D,141.7650707967092,B,A,C,C,C,C,D,C,-272.12373233214134,76.66033174413897,-6.019929451610692,1
None,Muslim,B,-33.24778761433013,D,C,C,C,A,A,E,A,122.91954367883903,245.84232356146208,-17.93875592808014,1
Both,None,D,-103.73741467289395,B,C,B,E,E,D,B,B,-2.1857479186723263,87.33572959544463,-121.72206820593176,0
Physical,Hindu,B,9.94640935051131,A,B,B,A,B,E,A,B,74.02191725564634,1.6698342562915203,28.001353685354335,1
Physical,Muslim,D,123.03454861307355,E,D,A,E,E,E,E,A,-14.01975455361618,-102.16917784648739,243.09295568902155,1
Yes,Buddhist,C,-47.35578723423679,C,C,A,E,E,C,D,A,-151.3382334746274,-57.88213122842091,38.864051691985836,0
Both,Hindu,B,97.64102019914857,E,E,E,E,A,D,E,B,-19.014364376231672,-50.059937216449455,-51.65502324963288,1
None,Other,A,192.2069871305149,C,D,A,B,A,C,A,A,130.02918836465264,18.387891283400826,-127.67257002744196,0
Physical,Buddhist,B,134.15380915660805,E,C,E,C,B,E,A,C,-81.87407801050738,-222.87819089487556,-90.67173398897314,0
Both,None,E,208.37707276541764,B,A,B,A,B,A,E,B,88.08709429029406,-38.27162887265146,49.09550470519154,1
Both,Christian,C,109.15170658293638,E,C,A,A,B,A,E,B,22.030598687478918,-101.93353157188936,53.43314915974069,0
Physical,Buddhist,D,69.55666113838123,E,D,A,A,A,B,E,D,-25.297971694573462,88.43512727660057,-70.12056035002558,1
No,Jewish,E,-54.69796664056427,D,A,D,E,C,C,A,A,252.5020566068635,52.26037342337392,-124.53639808628614,0
Mental,None,C,-202.98193389899154,C,C,A,E,E,D,A,A,-101.29929890936471,22.744961296067675,88.56943280159133,1
Both,Muslim,A,-109.97455551430487,E,A,E,A,D,D,B,E,-74.24077868247342,-13.387467681276407,14.998724751479827,1
No,Jewish,E,-68.1235965494814,D,E,A,A,B,B,E,D,31.504673515449532,144.68100757359454,0.23219015866991266,0
Mental,Christian,B,-25.74837305643376,A,D,C,E,D,E,D,B,-42.742260096346044,108.25004648906977,-186.79180425496244,0
No,Christian,B,-21.183597163699726,B,E,E,A,B,A,A,B,77.06112488048396,51.492515857216326,29.24820435968484,0
Physical,Hindu,C,68.42080167182478,A,D,E,D,A,E,A,D,137.49926750474782,-91.25219993963051,21.859622677968847,0
Mental,Christian,C,77.01281533681575,A,B,C,B,A,D,D,B,83.90152390728971,-71.7713184547863,-86.6860718541219,1
No,Other,E,-58.63655298023668,D,C,A,E,A,A,C,D,48.963232962391224,-31.71642931852522,-51.89996603643695,0
Both,Jewish,D,47.4131911368845,D,B,B,A,C,B,D,B,-35.916663584340704,149.4625894639008,-94.93406436759304,1
Mental,Hindu,D,46.898968234285064,D,A,A,E,C,D,A,E,19.527905089690094,-193.21504033619038,56.50168051633848,0
None,Other,C,-104.98949390930001,A,C,C,E,D,C,A,C,-47.97044994688262,-108.32015196425331,58.529862950939645,0
Mental,Muslim,E,-109.61100657892268,D,E,A,D,B,B,E,C,80.84773678219622,-34.71082244721181,105.36232555290508,1
None,Muslim,A,-231.10936348042225,D,E,D,C,A,E,C,D,168.06878429598206,-81.8416310949816,25.24312208360791,0
Mental,None,C,75.11247449259899,D,B,B,D,C,B,A,A,-26.62558357069284,-19.486418847170814,-39.94172060766818,1
No,Buddhist,A,122.68534747385058,D,E,B,D,B,C,B,B,-107.01440625919061,-11.561477814482384,131.82912448813912,0
Physical,Other,E,60.732065306867575,D,A,D,B,C,C,C,B,-54.55749333620472,150.9246218532784,-51.982915449816645,1
Yes,Christian,C,34.912725142090125,B,E,B,C,C,A,A,C,159.66671513434142,4.380315363258856,-14.826186398147732,1
Both,None,E,-31.25039780552189,B,A,A,B,C,D,C,C,73.88420674446945,105.27538658944326,-3.50534602291387,1
No,Muslim,D,-29.826165688192084,A,E,D,C,E,C,B,C,198.78979525526358,29.207623663941984,284.573365970777,0
Yes,Muslim,A,46.29702509657694,B,A,C,D,E,C,C,D,-14.180438048408417,-35.787675257292896,117.05595815725206,0
Mental,Buddhist,D,39.20119308229004,C,C,D,A,E,E,C,C,-84.86379661827411,-172.92955830122008,-15.5751797657912,1
Yes,Muslim,D,-88.34370591370612,B,E,D,C,E,D,E,E,236.43330663481805,48.565068225196484,111.1249266994706,0
Both,None,A,62.682088292785174,D,D,C,E,C,A,C,B,-45.30544831235609,42.80726785038925,-113.38632785644648,0
Yes,None,C,100.10848191722417,B,D,D,E,D,E,B,E,-78.52489643071097,-155.76938040599265,67.89867078244815,1
None,None,D,20.51288488359317,C,D,D,B,E,A,C,B,-81.36796340978489,157.87788096505435,32.40517512479341,0
Physical,Christian,E,-103.62139252412848,E,E,D,D,E,A,B,D,-292.4417645079995,58.48093532123865,85.1316516049395,1
Mental,Jewish,B,4.765243934700475,E,D,C,C,C,B,D,B,-284.86998000809115,58.47908585717225,27.518474743355025,0
Both,Hindu,A,-6.512888417476787,E,C,B,D,B,B,B,D,-167.94595132667865,-199.61016155645677,192.59800946493272,0
None,Muslim,A,-17.330368133514856,D,B,B,D,D,A,D,B,-25.359140144087238,13.591869880565529,-58.521444718402215,1
Yes,Buddhist,A,-50.78391265797323,A,B,A,A,D,A,C,D,-46.11348773614657,-226.57389405292912,5.184281139064568,1
Both,Muslim,A,64.06654198499953,E,B,D,E,A,C,D,C,-39.616203252848386,-2.7995983767077863,-145.3270659953,0
Physical,Jewish,B,18.919000757384147,A,D,E,A,D,B,E,C,144.2048772228958,-68.7807518014379,68.41975274879817,1
None,Jewish,B,-214.8993437938507,B,A,C,D,A,B,A,D,41.450787038700014,-75.00412447340632,-105.93642634919827,0
Mental,Muslim,B,-66.64058142377915,C,E,B,E,D,A,A,B,-26.687909406134963,4.607287745796701,-21.342849477026885,1
No,Hindu,E,95.22445059319156,A,C,E,A,C,E,A,E,101.47047914129546,29.181478544080452,123.6460211334705,0
Yes,Jewish,E,-141.30898312634312,C,B,C,C,B,B,B,A,166.67944940380912,-80.03660362634413,-28.971819141434146,1
Mental,Jewish,B,-22.62686404953918,B,C,E,A,D,D,B,A,-104.06763185170098,-208.19616081309027,10.915159343295617,0
Both,Muslim,E,153.82692870902787,C,A,B,C,D,C,D,E,-100.73457560553682,32.801889250889246,27.08537516117222,0
Yes,Jewish,A,31.843093398346987,A,D,B,B,E,D,C,A,-138.94342418030593,-101.17357868914483,5.797311800678581,0
Yes,Christian,A,158.2489903332992,D,D,C,D,B,E,A,B,180.62482891901718,86.94643051760524,134.42910116045596,0
No,Other,B,69.32156376247826,E,B,B,B,A,B,E,C,58.60764869144599,152.05497469463072,51.64626542289593,1
None,Hindu,A,107.71161163694276,E,B,E,C,D,D,E,A,-12.887902882291819,-74.92978523014764,59.476435379116396,1
None,Hindu,B,-0.2554048853228356,A,E,A,B,D,D,A,C,-174.63191120504186,-76.6647913565884,-79.70860487712183,1
Mental,Muslim,B,-104.81048392162427,B,D,D,A,B,B,A,C,-62.67346386963706,15.260468588945358,35.689010318256884,1
No,Muslim,E,-68.04635425215699,B,A,C,D,E,E,B,E,-253.71533913478154,-149.67568535659706,107.3157780200858,0
Mental,Jewish,E,-97.73473917181722,B,B,A,B,D,D,C,A,69.75823638979274,-46.955195667535975,85.5888958901387,0
Yes,Jewish,C,57.705351432463914,A,A,E,B,A,D,A,B,6.583570882178984,-152.386941479243,-57.588986139503575,1
Mental,Christian,E,-136.0882456661405,E,D,C,A,C,B,D,B,-252.49122371776602,46.436595818971185,-46.19333561609552,1
No,Muslim,D,93.96496511813321,C,E,D,B,D,A,C,A,68.10915119072929,-15.153288908650392,-220.344784339022,1
No,Jewish,A,92.22694811347397,E,C,B,E,B,D,E,E,65.23122581536622,23.479065144888928,126.5761633174281,1
Both,Muslim,C,-157.59431833222456,D,B,C,A,E,D,D,C,-108.84975768944291,148.8290416542553,12.991959288938684,0
No,Hindu,D,-169.4119082053737,A,C,E,A,E,A,B,D,134.8683754141944,37.249399583532664,-29.161811205818754,0
Mental,Buddhist,E,69.2663347397969,D,B,B,C,D,B,C,D,110.35411358520757,96.72051787421468,22.414535424832238,1
Physical,Other,B,10.809593742824477,D,E,A,C,C,C,C,D,-64.17057195805995,29.12629472203293,-251.79283710421433,1
Both,Muslim,A,54.434464622252065,C,D,E,D,C,C,C,D,-24.736646064203192,13.77348447682297,-60.33294066183411,1
No,Christian,C,128.32354790856536,D,E,A,E,B,B,C,D,70.01042793851701,-41.6682955776154,112.17165083845828,1
Both,Buddhist,C,30.7921727949181,E,D,C,B,D,A,D,B,50.09982398498208,-74.21634450389296,35.42330350257948,1
Mental,None,B,-44.91437433599753,C,D,C,C,B,E,A,C,195.8899684816345,51.15940984205176,74.95732343120672,1
None,Christian,B,-120.46660395930822,B,E,A,B,E,E,A,B,-30.571685208445647,43.447683482497375,-33.556111937289245,1
Mental,Buddhist,B,16.298777102684543,B,C,D,D,A,D,E,D,-1.9185747166474487,88.90295500029285,-235.29885149503866,0
Both,Jewish,D,109.24689699725221,D,C,C,E,E,A,E,E,-72.6789705226677,-56.24704770347031,80.35331130979661,0
