AgeGroup,orientation,disabled,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
18-25,Heterosexual,No,A,A,22.43234135909762,139.28486010149106,A,A,E,C,183.6957510733309,B,-83.74792787033688,1
26-35,Other,None,D,A,-30.5431091293847,28.148135149975182,C,C,C,A,-114.35928182426285,D,-234.78578273785126,0
18-25,Bisexual,No,D,B,-95.95443706577032,-136.33211733226523,C,C,D,A,88.8851367772865,D,-181.2450943073142,0
65+,Homosexual,Mental,D,D,24.332715248397264,-56.01867526046234,B,D,C,B,-51.98583393495314,C,94.3691822242921,0
36-50,Bisexual,Physical,B,C,231.28427301932595,130.95563611919775,C,C,E,C,70.51241945607643,E,-19.7371957055066,0
26-35,Homosexual,Physical,D,A,3.4029582524830673,77.81580575465996,C,A,D,C,-105.04412230977762,A,-125.52277107929935,1
51-65,Bisexual,None,A,E,149.06164195317498,-70.08054443162396,E,C,C,C,-96.45006936972244,B,52.668400102864645,1
36-50,Other,Yes,E,D,92.56850879459807,124.79558604649858,A,A,E,C,-56.52772104874714,B,30.75225944828744,1
51-65,Other,None,A,D,23.672084120208712,39.56658045228289,B,D,C,D,-16.41686861359517,E,-39.88630289914678,0
36-50,Heterosexual,Mental,C,A,29.284128835310568,109.90413333134225,D,C,D,E,-21.489904235147115,C,28.9130438755394,1
26-35,Other,None,E,A,153.26159174698768,-106.72714311768136,D,D,D,D,-84.37005778568526,A,-41.17379933066152,0
18-25,Other,Mental,D,A,-175.61746944461422,-42.85096363380773,A,D,E,B,-59.01064537662363,E,19.537867568465572,1
65+,Homosexual,No,A,D,-111.25140623538914,3.496043654411412,E,B,B,D,143.0744420316505,C,24.814101577670122,1
65+,Homosexual,Yes,B,B,16.304613409542558,-33.88365231737407,D,D,E,B,-143.78854131843443,D,-155.06704301364147,0
65+,Other,No,B,A,-5.050602541469148,-108.97873997278835,B,A,E,D,-38.74397836348068,D,98.76932196399744,1
65+,Bisexual,Mental,B,B,54.56868982196536,16.22256395610116,B,C,C,C,-97.2307747888195,C,-72.25361494940411,1
51-65,Other,Mental,B,C,-205.17248718747098,-146.9476069908078,A,E,A,C,-27.910727444768078,A,-8.758173265008296,0
36-50,Bisexual,Mental,B,E,-159.65113696834996,5.697961604799446,D,E,C,E,-12.429625257274926,B,111.95023923808283,1
26-35,Bisexual,Physical,A,B,40.9287275558234,-90.50064004215318,A,D,E,C,-177.29165524219357,C,-149.96189766391007,0
18-25,Heterosexual,None,B,B,122.55005591191778,11.812410752613278,E,C,E,C,91.4056733068042,D,-39.59422749774315,1
26-35,Bisexual,No,B,A,156.74749117678087,-17.000625109517014,E,D,A,A,-97.92975344777679,E,73.08618601098725,0
18-25,Other,No,A,B,3.31602210704324,60.23022192675348,C,B,A,E,23.239651699655358,A,57.82290900752971,1
26-35,Bisexual,No,A,A,44.62252704332305,147.68934234683354,A,A,B,B,88.4175217905598,A,-38.133908433264814,0
26-35,Heterosexual,No,A,E,28.240516827251028,-94.91739597478026,E,A,E,B,4.258605421263419,B,-134.66800197684793,1
65+,Bisexual,Both,D,E,-125.78184680443427,75.74262103370539,C,A,D,E,103.1132154616723,B,-73.98130051721388,0
65+,Other,Both,A,D,-199.34231178028966,-96.61475870591562,E,B,C,D,-220.49069954071766,C,-74.9017732493794,0
36-50,Bisexual,Physical,B,E,49.141870399076204,3.278314725387642,C,A,B,E,-135.51024116543633,A,-34.93521311186756,1
36-50,Heterosexual,No,A,E,-102.8320030731258,26.978848388392752,D,B,E,B,89.56697657276635,E,-58.82163828765295,0
18-25,Bisexual,None,D,D,-74.70345320706753,157.2894840425795,C,B,E,D,127.34044364303314,B,61.37283521356072,0
51-65,Bisexual,Physical,C,C,158.68601318319267,11.042501032740951,D,D,B,C,128.09022413554862,D,138.74078049574007,0
65+,Heterosexual,Physical,A,E,-71.53207668581925,152.6401909847918,E,A,D,B,200.88541041697442,A,-166.62806411045335,1
51-65,Other,None,C,C,77.23028033734025,20.251837124470136,C,D,A,B,24.234349467302565,D,-3.5498227090639065,1
18-25,Bisexual,No,C,C,115.6820432106967,-27.318785219413712,C,B,B,D,-51.45369034713588,B,-98.4365814118274,1
18-25,Homosexual,No,E,A,34.95632665443284,34.65456564008832,E,D,D,E,-180.2434101162495,D,-2.378407688577965,1
18-25,Other,Mental,C,A,9.993305919472041,108.67491850868393,E,C,D,A,18.648555935967615,C,-15.072194421963511,1
36-50,Other,Yes,C,B,-76.55753216506473,-36.44412367441982,C,D,A,C,17.404679544970712,D,-55.147641065882134,0
51-65,Heterosexual,Yes,E,D,118.52208993914101,136.71292977761163,D,B,B,C,-31.849105784325175,A,102.96836459785288,1
26-35,Other,Physical,B,B,-0.09170204580388829,117.80126086916869,D,E,A,E,-49.12985823471479,C,-132.06756886723127,0
26-35,Heterosexual,Both,E,D,-50.97959158838384,169.250237491557,A,D,E,B,-97.06844737096783,B,-111.49611941231274,1
51-65,Homosexual,Yes,A,D,80.67786523176954,-48.43326762472097,C,E,E,A,-78.63712626192493,E,-91.58791805041527,0
26-35,Homosexual,Physical,C,B,196.75280501030923,44.296041457763636,E,B,E,B,-83.26546459704353,E,-105.87150486970714,0
51-65,Other,Mental,C,B,93.24932757839944,238.51773907498801,A,E,E,A,56.49161253023463,B,31.469243867642792,1
26-35,Homosexual,Physical,A,C,-27.471100427194443,-61.679242614810505,D,A,C,A,27.08397146294807,D,-47.32949934489762,0
36-50,Heterosexual,Mental,B,D,-33.291423384327274,-104.21833964845794,B,C,D,C,-30.711110740346925,B,28.98900973602647,0
65+,Heterosexual,Physical,E,A,-75.12440012511787,-18.32455478578856,D,D,B,B,-195.11509885853025,B,-106.48245053834542,1
36-50,Heterosexual,Both,A,D,144.16011419426388,-26.818724107254354,D,B,D,A,26.206880273567982,E,189.4474722783084,0
51-65,Homosexual,No,D,B,140.3538215545626,-24.434472454525892,B,B,B,D,20.336199930956138,C,164.97149667724375,0
18-25,Bisexual,Both,B,B,41.79907048510101,57.06126796335781,E,B,A,D,-31.45930176010328,B,56.73898674397731,1
51-65,Heterosexual,Physical,B,E,178.84490955956437,20.69148812191082,D,C,D,C,44.07673416337594,C,-146.8379027626996,1
26-35,Other,Physical,E,D,39.93637080288202,-161.63716254011214,A,D,E,A,180.38379402232513,C,0.3649208145918408,0
26-35,Heterosexual,Yes,C,D,-23.502923514756528,73.70458317632784,E,A,C,C,2.943189142534461,A,-11.950271467598721,0
26-35,Bisexual,Yes,C,E,-275.47965435834624,-148.9305495591477,C,D,E,E,89.3767325012153,D,-73.03076251539964,0
51-65,Homosexual,Mental,A,A,-10.336855402340376,177.86113656336332,C,D,C,E,-87.95295430323367,E,101.36917812965032,0
18-25,Other,Physical,A,B,93.75877332706868,14.864443454939662,A,C,B,B,136.08379857544955,C,-38.134388659131396,1
36-50,Heterosexual,Both,C,A,193.38856481533506,-159.7007093439742,B,A,D,C,28.08405141970945,A,-56.640281039373086,1
26-35,Heterosexual,Both,C,D,-94.83384936180964,10.647255747188341,C,E,C,D,105.76946653953851,C,12.438714097468399,1
36-50,Bisexual,None,B,B,71.31515460982216,-23.747084199207883,D,C,E,A,-198.0604844401694,A,-101.72667808394135,0
65+,Homosexual,Both,A,C,-8.17370095975066,152.17641589801661,E,B,E,C,-53.73594014063245,A,-42.96242683138286,1
65+,Homosexual,None,E,C,-29.083389930792848,-3.7576949304049783,B,A,E,C,-167.75479284576096,B,31.14643719812755,1
26-35,Homosexual,Yes,A,E,-12.60245476921527,-34.04097743859339,B,A,B,D,12.158545061426846,A,353.5851098134805,1
18-25,Homosexual,Yes,B,D,63.99528788434048,53.65368240166406,A,D,E,E,32.663440903635596,A,115.48301451956733,1
65+,Bisexual,Both,D,E,50.55217904494731,-100.33898450970572,D,D,C,D,25.74525419808934,C,63.40204001977598,1
65+,Other,Mental,B,D,182.57181155301026,2.617438590794257,A,B,C,A,-115.9601255002993,D,-104.49976067251541,1
18-25,Bisexual,None,A,E,-133.09058327874354,140.59274145788012,B,A,D,C,160.13586100832725,E,64.3664944787853,1
26-35,Other,No,E,D,12.754031180925848,-83.76128273203362,B,D,A,B,0.6126538458922828,C,-17.81469055266066,1
51-65,Heterosexual,No,E,E,213.42407468776307,13.095725288343957,B,A,A,E,8.803952972663955,C,-93.94603472633055,0
26-35,Bisexual,Physical,C,A,-44.64040848812552,-89.3303897496995,E,A,C,C,-86.02149190507255,C,43.4480354446834,1
18-25,Other,Physical,A,E,79.35164921950062,-105.12069444983123,D,C,D,E,-111.71039535436842,A,-52.76094595502053,1
18-25,Other,Mental,E,D,-48.778393846569486,84.41141012745933,D,D,A,C,57.48151985764136,E,-63.45304801826288,0
36-50,Homosexual,None,D,A,-140.42372380464172,20.76031741883301,B,B,C,C,-179.9065150409283,B,-158.20592003259995,1
51-65,Bisexual,Physical,D,B,-109.6756103150591,-187.80342966291096,A,A,E,D,-93.30855242114094,B,-85.8840572415026,1
18-25,Other,None,A,B,-119.39580975236667,16.819959358216042,A,D,E,E,61.43805544860314,C,-78.8563461476,0
26-35,Heterosexual,Physical,E,A,62.16751971187933,211.72530981218048,D,D,D,E,111.81468964745478,A,-4.87157128899187,0
18-25,Other,Mental,D,D,-81.86236142150159,30.470543603688753,A,A,B,B,-60.679477506692336,A,40.78013532442187,0
36-50,Bisexual,Physical,D,B,27.59174652076119,12.445587242263075,E,D,C,A,63.595393622826975,C,-2.4565185829964244,0
36-50,Other,No,A,D,-28.89075111275399,89.8673355532304,B,E,B,C,77.87342944730857,B,28.32881534242259,1
36-50,Homosexual,Yes,D,C,-82.20447615709578,84.04188804378575,D,B,C,B,-10.016478074736634,B,13.553386704389931,0
26-35,Homosexual,Physical,D,C,93.39869660665411,141.7216514124705,B,E,C,C,103.63255038072099,B,-157.8668395166427,0
65+,Other,Both,E,A,-6.42563217937752,-81.2017992138,C,B,D,D,49.619037021736645,A,-112.1059763451996,0
65+,Homosexual,No,C,C,-93.21192415880179,6.755100683952364,A,B,E,A,-17.24364293871787,E,-72.71707877412403,1
36-50,Other,Physical,C,A,21.00911915863958,-32.16720883124014,A,B,C,E,-6.599265437025509,B,65.58412086305833,0
51-65,Other,No,D,D,-96.96152543178934,-19.430698210005463,E,C,A,C,-54.038146274515476,B,-43.64572752114403,0
51-65,Heterosexual,Yes,A,E,-46.38728129359534,23.521444351256022,A,B,E,A,-96.04986462392188,E,102.59227170602605,1
18-25,Other,No,A,A,13.029967880345122,-84.62246613401985,D,A,E,D,-75.07012659520952,C,109.3588962854422,0
18-25,Other,Physical,A,D,-19.36249021537311,-51.16208464809367,B,B,C,E,212.4066772594051,B,59.578243520844275,1
26-35,Bisexual,Physical,C,C,-54.899868950086514,-24.692014969257997,B,B,A,D,-6.043204556913779,A,-53.00034928685707,0
18-25,Bisexual,None,A,C,-60.655321491160805,-27.932611550183285,B,E,D,D,83.5564107718246,D,207.19808504742323,1
26-35,Other,Yes,E,C,76.62839814200508,71.61116545313969,A,A,A,A,58.613478943249994,C,-101.6212407922742,1
51-65,Other,Both,D,A,20.622504976157767,4.6157045327649975,D,D,D,D,-9.128154367965907,E,-123.25624507588937,1
36-50,Homosexual,No,C,E,-75.58113353547407,-23.416993023710173,E,D,E,E,118.39375132085368,A,118.11756935960996,1
36-50,Homosexual,Physical,B,A,-71.62055832411404,83.15430190506405,C,E,D,E,31.372894875862045,B,139.88611328983316,1
51-65,Bisexual,Both,A,D,-138.55542281381764,91.22270081967868,A,E,C,E,116.5309615660056,B,214.99117714622105,1
36-50,Homosexual,Yes,E,D,86.9825095000396,-112.56558197143254,E,B,B,A,-13.861131821632885,A,16.233148215550226,1
26-35,Bisexual,Both,A,E,-82.54464185203554,12.653667989190403,E,D,B,B,177.50872849992086,A,-79.97527720618743,0
18-25,Heterosexual,No,D,D,-79.79961158088912,48.20166764859463,C,A,B,D,-271.9116433601303,D,-63.01442663850514,0
51-65,Bisexual,No,D,B,198.85146024388155,144.93704672071925,B,D,E,A,59.90122431886894,A,13.469940267413882,1
26-35,Other,None,C,B,-8.099457163781851,-118.48400608656252,C,E,D,D,-23.721912049188195,B,65.41602044173328,1
36-50,Homosexual,No,A,E,-120.38329034868218,-139.773344738895,B,E,C,C,50.7332172526777,D,23.649822154946374,1
51-65,Homosexual,None,C,C,-3.895033042788255,-136.01267604276643,A,A,B,C,100.53584651280214,D,221.42247537416165,1
18-25,Homosexual,None,B,A,9.68335416930981,-205.71875867744026,D,D,A,B,279.5545024758406,C,13.838599547333837,1
65+,Heterosexual,No,E,A,86.41261641367771,-61.76554544068916,E,D,E,C,-56.713205182636685,A,15.70853817428319,1
36-50,Other,Yes,C,D,9.078235622625712,23.16869969786387,E,D,D,B,-47.04727091001319,A,103.10367509775955,1
51-65,Other,None,D,D,-0.8118104467832093,-216.53826598890754,A,B,B,A,-37.51828209765397,C,23.359379353613278,1
36-50,Homosexual,Yes,B,D,76.3070834751029,-98.51964655655468,D,B,B,E,-4.283450569945999,D,132.2351516617004,1
26-35,Other,Physical,C,E,-22.81773303140723,-81.32058439536685,D,B,E,E,-56.854162225283886,D,-80.8747001722668,0
26-35,Other,No,A,B,-61.810466030029076,-81.71006388115205,A,A,D,E,35.79743484647373,A,-46.98334636389017,1
36-50,Other,Mental,D,E,-10.598382619978103,98.96207645878748,C,A,B,C,268.63613499848867,C,-38.919497784240825,0
51-65,Other,Mental,E,B,-233.3506160078231,-86.70118026716472,C,E,D,D,-103.9029879865019,E,43.84183484814105,1
36-50,Bisexual,Yes,E,E,-51.023572383653715,45.876246672408946,C,B,A,D,117.31189105929849,C,97.8020288373153,0
65+,Other,Mental,B,D,-44.611407718438315,-54.226151494702655,D,E,D,D,-39.01452715496251,E,54.725341548931375,0
26-35,Heterosexual,Physical,D,C,-158.40708317460152,7.30654558336272,B,C,D,C,-29.785594085107924,D,-164.1900173783863,0
36-50,Heterosexual,Both,B,D,-30.617847960647765,-47.611198404947615,B,B,B,A,18.414206700897058,A,35.20505288096106,1
51-65,Other,Both,D,A,130.17044566796966,-88.58431727937607,C,D,B,D,-14.333104951354624,A,-151.00709049883133,0
18-25,Other,No,B,B,18.56817388228799,0.5935977420712375,C,B,C,E,161.50793534894365,E,32.339876079720895,1
51-65,Heterosexual,Both,E,B,-11.190487293658455,-28.729399180445327,E,B,D,A,103.47283984629125,E,38.35824009703664,1
36-50,Bisexual,None,D,E,49.667829306791454,38.5113510590372,A,A,A,C,106.15107932196979,E,-44.41215090552215,1
51-65,Other,Physical,D,C,58.95809865831176,-119.19693440074867,D,A,A,C,24.317827468803433,D,-156.49229829132537,1
26-35,Heterosexual,Mental,B,D,-84.7688954971496,199.97419383118654,D,C,E,E,195.95216408972732,B,103.52327776664458,0
65+,Bisexual,No,C,A,-2.4767355774322857,-33.54732150527087,A,A,B,C,155.81838481614807,E,-139.43597967146576,1
65+,Bisexual,None,B,D,-97.27594045892718,-130.76308558541476,C,A,C,A,49.64067154961334,D,-159.24584241357095,1
65+,Other,Both,B,A,194.5495305204461,-75.99158044606222,A,E,C,B,12.234457902590208,A,184.8818823953335,1
36-50,Homosexual,Yes,A,E,142.30825493518958,83.57884577208216,A,B,A,A,-51.84948328088107,A,-9.2508855693066,0
26-35,Homosexual,Yes,E,C,-71.77246885590141,30.684279138652414,C,A,C,D,27.22237296336066,D,62.513729380542394,0
51-65,Heterosexual,Physical,E,D,18.869631428457147,66.40283193160425,D,A,C,B,100.63447810191934,C,-37.0380526267767,0
18-25,Bisexual,Both,E,E,8.345880991679692,131.67713011971313,B,D,D,E,-93.05878100803963,B,-137.39917786194272,0
26-35,Heterosexual,Mental,B,A,-12.80844916044086,-41.953464424128825,D,D,B,E,203.54817689199587,C,-23.670460430615137,1
51-65,Bisexual,None,B,A,-35.61474993198847,-25.893914664952554,B,B,D,B,-160.11590182925931,D,2.0435539561377483,1
18-25,Heterosexual,Physical,C,C,126.16546332412189,88.87192058589733,A,D,A,C,-99.13525100267053,E,-107.81294755178806,1
36-50,Other,Mental,D,B,-152.68768482104937,73.86985907207779,E,B,E,D,-215.49185787845894,D,-58.116388717688416,0
51-65,Other,No,B,A,-74.56192393004221,-51.442435500881246,B,C,A,C,1.6575927848803402,E,-187.51554309597503,1
36-50,Bisexual,Both,D,D,-9.224572573695172,47.47620836003524,E,E,D,A,-29.34775481590897,E,41.55313315588502,0
36-50,Bisexual,Yes,B,C,31.57854958942431,-54.21113035910457,B,C,C,A,-117.76680369623014,B,-60.25007785331188,1
65+,Homosexual,Physical,C,D,190.23425843726255,25.477461462775548,D,E,D,C,-11.503675803167813,B,-4.445960867796841,0
51-65,Homosexual,Yes,B,C,-66.12928304440973,90.79304664216508,A,E,A,E,-69.4722572943564,A,147.73682078111474,0
51-65,Heterosexual,Physical,B,B,-56.24913268791049,158.81035146840446,A,C,B,B,-103.6083520687191,D,62.52883341134551,1
65+,Heterosexual,None,E,E,-114.12541394496152,68.38236205367583,B,E,E,D,-12.70477851513189,D,26.855141760660096,0
36-50,Other,Physical,B,A,181.74152775868976,-102.2378731215551,B,A,D,A,3.777179723780795,A,-19.365243721416032,0
65+,Heterosexual,None,E,D,16.06681100784278,-23.649034560972392,D,C,E,E,68.16191875825479,D,247.0696067809853,1
18-25,Heterosexual,Yes,D,A,49.75614797511618,14.148985272048362,A,A,D,D,94.19993607435526,B,68.80231587804062,1
26-35,Heterosexual,None,C,D,-159.86480385957006,4.525139466910626,B,D,B,C,-35.08985211759856,C,51.667321666415766,1
18-25,Homosexual,None,A,A,20.291217229583474,-23.007264583203053,A,C,E,E,-8.349995729460415,A,-65.7037324694989,0
51-65,Heterosexual,None,E,C,-74.91059680952839,-94.353776520486,B,E,B,A,58.42202174102452,C,47.470079474687786,1
36-50,Heterosexual,No,C,A,-28.6043126866192,-1.6928955550184304,B,A,A,D,-86.36735254401309,D,146.6364376238723,1
36-50,Homosexual,No,A,E,-64.05067109426452,-103.2550955120088,B,C,A,D,47.341112204329114,C,-128.19387345055603,1
18-25,Other,Mental,E,D,72.33921846292387,121.77099326516476,E,B,B,D,-77.36920093127684,B,-50.64212997819043,0
51-65,Other,Both,E,A,-35.304758707335104,-7.450635646697197,A,E,A,C,93.55390351810537,E,57.84865000974219,1
36-50,Heterosexual,Physical,B,E,-40.588326417962094,128.0924896917434,A,D,E,D,18.393323124361423,D,45.10465963003658,0
26-35,Homosexual,Mental,E,C,25.697717752389448,29.335023290241956,A,C,A,C,145.22006651963517,D,12.682186620823957,0
51-65,Other,Mental,D,D,-13.164654487527194,136.87534979466164,D,E,E,E,278.66519165924785,B,-67.02600173109268,0
65+,Bisexual,No,B,E,-33.78072097539358,63.622878638385124,C,D,C,D,40.85866609343595,B,-86.86594459596611,1
51-65,Bisexual,None,D,B,-74.2619603728703,78.07928238566808,E,B,D,C,-106.23069151110494,A,78.00967953030515,1
18-25,Homosexual,No,B,C,-26.137758965189693,-66.73877141294487,D,D,E,A,-42.6061444921825,C,24.136389630203904,1
36-50,Homosexual,Mental,B,C,113.03910716541694,-36.74127996067785,C,E,A,E,-101.32058735893995,B,-163.7987111322875,1
65+,Heterosexual,Both,C,A,-100.94894050200534,-70.38015781990356,A,E,D,D,-47.46305216000971,D,-139.99475525718557,0
51-65,Heterosexual,Mental,C,D,133.6293490315623,99.50342662620073,E,C,B,A,73.74701393527438,C,73.41649309002896,0
36-50,Homosexual,No,B,C,-4.795255395719442,88.02575641192763,D,D,E,E,-56.73003066749539,B,-122.4667442326119,1
26-35,Bisexual,Mental,D,A,-63.614738005290874,132.3026051513717,D,C,C,B,-6.040301330114318,D,99.63000060553611,0
65+,Other,No,D,B,162.79162763657362,30.94960461806684,D,C,C,A,12.706465021969699,A,8.718027204373053,0
26-35,Other,Physical,A,C,83.50201460072962,57.00333039414991,C,A,A,E,3.260335736468102,D,199.79749875142397,1
26-35,Bisexual,Physical,B,B,78.48835248189333,-3.3648513365752475,B,C,A,C,-93.15816100096032,E,-51.2217980660762,1
65+,Bisexual,No,C,C,-99.85337415206314,-89.21254057128397,A,E,A,B,-164.23161639207478,E,36.21068260448113,0
51-65,Bisexual,Yes,A,E,27.011317636952676,-42.43030335411112,B,D,B,A,-61.35912579787751,E,-23.200878296837267,1
51-65,Heterosexual,Physical,E,C,-155.31222130990042,-72.5477822919934,A,C,E,A,-124.53370453114563,B,-6.303268002474556,1
36-50,Homosexual,Yes,A,C,1.5424465349144498,-106.01918083161712,B,C,B,D,101.1236407759317,A,-63.24784474774934,0
51-65,Bisexual,Physical,C,B,-19.736639575326286,-83.22056902313777,B,D,B,D,21.929906321640285,A,-49.53609735215521,1
65+,Homosexual,No,B,E,-48.07876921281661,70.6660554694605,B,E,C,A,-4.5901116017665196,E,240.3822316916556,0
51-65,Heterosexual,Mental,B,C,161.05867170806275,97.08965266429581,D,C,D,B,-75.9232822195047,C,92.39744387805115,0
36-50,Heterosexual,No,E,D,-4.467349274955738,-8.05610535816888,C,E,E,E,72.72422490883903,D,-95.9825818857209,0
51-65,Other,Mental,A,E,3.0811125693062236,-89.44156670127613,D,C,B,D,-24.421291326372618,A,53.56608022413042,1
18-25,Homosexual,Mental,D,C,14.805123677374072,75.23154752659758,A,B,C,A,-37.8330766386292,A,-41.23955534994448,1
65+,Homosexual,Physical,B,D,64.76285338669886,240.61537739516706,E,A,D,D,-0.80419668906061,A,54.346819406565075,0
18-25,Other,Yes,D,D,22.569769854739345,35.17935761094689,B,E,A,B,39.75723535094736,D,-72.68081710476464,1
26-35,Bisexual,No,A,E,49.09425487804045,-51.28261707342603,A,B,A,D,-181.8512399506032,E,-54.36642975394289,0
18-25,Homosexual,Physical,C,C,-118.441481702196,95.46294889512238,C,D,B,A,-144.45147053872353,E,33.97673083804519,1
18-25,Other,Physical,B,B,-186.55023134202958,99.24324217244944,E,A,A,B,150.21225052116347,B,-83.10247545520974,1
18-25,Heterosexual,None,B,B,95.04661336105454,64.91427179884316,A,E,B,D,66.49700309579642,D,91.72461330589044,0
36-50,Homosexual,Yes,D,D,-56.91480734038571,-61.276673872168786,C,B,E,B,98.4030513734286,E,-13.836262343429324,1
18-25,Heterosexual,Both,A,A,149.13342444443555,-25.67659789236564,A,E,A,C,3.467343246367173,A,-17.34438986839873,1
26-35,Homosexual,Yes,C,A,-12.37935803921454,-193.1522234516535,B,B,A,B,-109.09675057651481,C,18.132605135564003,0
26-35,Heterosexual,Physical,E,E,106.01383284936045,-66.55433005279026,E,B,D,A,-112.58074232890306,E,83.4319477481028,1
51-65,Heterosexual,Mental,A,D,-118.11114105995009,-10.004713532677336,B,D,A,D,-262.42636637447544,E,97.7132977190343,0
36-50,Heterosexual,Physical,B,E,-14.017605227061336,-134.30664818751453,C,E,D,B,123.01066418585617,C,-48.01620978129792,1
65+,Other,Yes,A,C,14.13160380214597,38.82160947586746,C,A,A,C,39.389237907203835,A,-30.31507963546697,1
36-50,Bisexual,No,C,C,108.5684069637234,-64.73774865481808,C,B,C,E,-53.470165883481556,A,75.76339547455986,0
36-50,Other,Both,A,A,-70.02651445379696,-53.41287458519859,C,E,A,C,172.41726773647508,B,95.98987436204821,1
51-65,Other,Mental,D,D,30.22549199491423,98.56073578713782,D,A,C,C,30.671511054985025,A,-17.96075511960741,1
18-25,Homosexual,Both,B,B,-90.13788543588808,35.40569558710053,E,B,E,C,-34.62481304038559,A,-1.0165406779460908,1
18-25,Other,Physical,D,A,-14.895290969133749,-40.789591289671925,C,E,B,E,-116.10852141290647,B,-8.104301471048428,0
65+,Bisexual,None,C,C,36.28100623686098,24.632345239307334,C,A,E,E,30.238687326266728,D,67.07799350316071,1
18-25,Bisexual,Both,B,D,102.39486766679526,-49.341944887831296,C,B,C,E,-89.8239757729857,D,-19.041459543974945,1
18-25,Bisexual,Physical,A,D,-31.869354251752195,74.32983374347442,B,B,A,E,159.06382377394436,B,191.87165444380955,0
26-35,Heterosexual,Yes,D,B,-105.46724254668034,108.36268276214867,D,A,D,E,60.81222633009531,C,190.34978725005692,0
36-50,Bisexual,Both,C,A,62.148209020551995,-135.399913604721,B,E,C,B,20.053768065831214,A,-82.9470855556376,1
36-50,Heterosexual,None,C,C,-38.846885225419726,204.33069808074745,E,B,B,A,-5.7121388630780086,D,41.52628563780985,0
65+,Heterosexual,No,C,A,114.8493511585415,22.188084086865807,D,B,D,C,-84.32016696203064,D,48.89049160782078,0
65+,Other,None,C,C,118.32035074611369,-34.93586167855055,E,E,E,C,73.0711308749663,B,60.1963292862982,1
65+,Bisexual,Mental,B,C,-68.12985845052988,-125.33658806652316,C,E,B,A,50.62222382206435,E,65.54189558197697,0
26-35,Other,Yes,D,C,-16.816838910046826,16.012954397220202,B,C,C,B,60.267512426094505,D,-53.73632478614806,1
36-50,Bisexual,Mental,C,B,-179.85805204117585,91.59759582184994,A,A,A,D,-46.778993246798166,A,-35.06732004154164,1
65+,Homosexual,None,B,E,-31.65610899065115,-2.3496540703506734,C,A,A,C,-47.96571459798404,C,10.832514750382913,1
36-50,Bisexual,Mental,A,E,-19.86917137579419,-131.59492981979923,D,B,E,A,-56.30719413908708,A,-15.010877109036525,0
36-50,Bisexual,None,C,D,181.4613089969987,-6.052123847347779,D,B,B,B,24.609307622461365,C,78.14376852204312,1
65+,Homosexual,Both,B,C,-71.85694647753674,35.821559016628896,D,C,B,D,-81.37258605255651,B,-26.981834062982944,0
51-65,Homosexual,Both,E,E,-212.89162552559145,-200.03473203389873,A,E,D,B,38.383454729701896,A,-28.832448651031672,0
51-65,Bisexual,Mental,C,B,-69.13384672695713,129.37002807756423,A,E,B,D,-42.38087730108116,E,32.9854455100672,1
65+,Other,Mental,D,C,-279.270807284424,-137.05098415732294,D,C,D,C,-172.64867511727755,B,271.5553716212244,0
51-65,Other,No,B,B,158.21873905644725,154.41691697770676,C,A,C,E,-84.4414179258566,A,45.496051057535226,0
51-65,Heterosexual,Both,C,A,-48.964618267604756,18.773271174877912,B,A,B,A,6.926695283139585,E,72.69890040269973,1
51-65,Heterosexual,None,B,D,219.25710031760457,-164.71969603546074,E,C,E,C,-45.56614701465811,D,158.14767805864741,1
36-50,Homosexual,No,D,C,-140.1659013130739,5.318261856453558,E,E,D,B,-3.550176883914912,E,54.615438719258336,0
65+,Other,Physical,E,E,169.2286669058101,-76.10584627057383,C,A,A,A,235.4714392856156,C,-143.6663769777777,1
18-25,Homosexual,Both,C,C,-48.71827523871577,-92.80839986317947,E,C,C,A,80.35108071233336,A,131.74746984993783,0
18-25,Bisexual,None,D,B,36.15727872876253,223.75879303920945,B,D,D,C,59.81408801782961,B,50.37575007609977,0
51-65,Homosexual,Yes,E,D,-40.97043375165653,-168.91942281664532,A,C,B,B,-134.67065170585212,C,168.6223450643129,0
18-25,Homosexual,No,A,D,64.40240126920021,-32.18372717375926,A,D,A,A,170.8813669591077,C,121.16503547943636,0
36-50,Bisexual,None,D,A,-69.14508220775544,93.77919002961467,E,C,D,E,144.7272666272292,B,-89.34868125731693,1
26-35,Homosexual,Mental,B,A,-79.02557800656919,-2.423893925487629,A,B,D,A,80.99588674165578,D,19.31998548539701,0
36-50,Homosexual,Physical,A,D,-30.227692824276005,129.35628548574613,D,E,E,D,-42.26341997308853,E,176.4962864977207,0
18-25,Other,No,E,D,92.2611187656852,5.145508109470483,D,B,A,A,-111.97632988907654,A,113.74854992177063,1
36-50,Bisexual,Mental,D,D,-115.88746027675153,-150.69139229133202,D,E,B,D,-69.2427494777677,C,-26.19808942882785,1
36-50,Other,Physical,A,E,131.889455087409,64.66328057823982,B,A,B,A,-60.94600180370243,D,97.17665489998106,1
18-25,Bisexual,Both,A,E,9.70966939088142,54.8078637373838,D,A,C,E,56.556307730410225,B,-18.10852773705086,0
26-35,Bisexual,Both,B,E,-161.44471239888955,-8.373461082761423,E,C,B,B,-106.18916832820166,A,8.656356234913,1
