sex,orientation,married,AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
F,Bisexual,Widowed,36-50,B,E,A,A,-51.08850046080761,E,A,E,93.76888033134134,A,74.28661819308154,-174.51795883007662,89.30583680442243,11.143560819795496,-59.75557868789579,C,C,1
Non-binary,Other,Single,65+,A,B,E,A,6.412604463690401,C,B,C,4.409284426438572,A,50.52328712348778,128.38063302660808,-60.034462477610184,-26.76688918822568,-76.78895513369847,A,D,0
F,Bisexual,Widowed,26-35,D,C,B,A,-207.09037362686053,A,B,A,238.17139757946362,D,230.50724464948442,-3.7761138909910335,67.96590046092848,131.28020965207648,60.697194035181504,D,E,0
Non-binary,Other,Married,65+,C,D,B,B,-200.79140284946396,E,C,D,50.322532181494196,D,-9.615700373620351,-85.20962139085755,-78.14776069173897,53.072684250746704,21.037886908242744,E,B,0
Non-binary,Bisexual,Divorced,26-35,D,D,C,E,-75.59708760055115,C,A,A,101.3633394665604,B,-169.3452429423817,15.039536103637172,-89.81018123406517,-64.20789975936852,-68.0754879802945,A,D,0
F,Other,Married,18-25,D,A,C,D,138.76467145345717,E,B,E,-84.09586006208146,D,77.12346266779198,91.83036863600093,-190.99647292230705,40.27601739073,16.421512531209356,D,B,0
F,Heterosexual,Married,18-25,E,B,B,A,-115.55791740138461,A,C,D,277.3494978941873,B,38.125470962457634,2.104223997498721,100.17343855155538,-146.939975244894,83.50333741045326,B,A,0
Other,Homosexual,Married,18-25,B,E,C,B,-144.4749669329564,B,D,C,-121.7544157634006,B,71.41358414546126,245.20549328455593,-55.66020972751774,-133.8618388985162,14.503548282041914,B,C,0
F,Other,Single,65+,E,A,D,C,-111.79641150080417,C,A,D,181.119662482386,B,-20.212680762805,-69.47605902971848,116.27814906759173,-19.786133171688956,92.4059880345628,E,D,1
F,Homosexual,Single,26-35,B,E,A,A,-18.566347603695014,D,B,C,28.781817186934198,A,-152.2690121048574,-7.78262377843483,19.145832764522915,-91.95574044905163,130.25306433161774,B,E,1
Male,Bisexual,Married,18-25,E,A,E,E,14.685649196178879,C,D,A,-77.74689790679085,D,-138.66151326167687,-54.908608487343045,-93.43305275310925,-52.5918989914511,-98.03294633864606,A,E,1
Female,Other,Widowed,65+,C,D,A,C,160.79050281820685,E,C,E,76.79394585340324,C,15.40601164186949,-1.8125065381118826,-207.9795467048902,30.874905313372103,91.24383064467129,E,B,1
M,Homosexual,Single,51-65,C,B,C,C,-139.82359203223226,D,A,B,-32.17250470899671,B,-22.547851291204395,-194.6616859736763,138.35699641466496,78.34414674796756,-86.83916415821005,D,D,0
Male,Heterosexual,Widowed,65+,A,A,D,E,84.2451246570206,A,A,B,-29.89862582376825,A,24.491542700660887,45.06141306955882,-52.86921276602386,-17.413182943891115,-82.60894286872377,D,D,0
Non-binary,Bisexual,Single,65+,E,C,B,E,225.84792988597007,A,E,A,9.99750431413293,B,24.201529133393095,158.69076838317798,70.2308126066808,27.20229901376785,44.43895962954743,A,C,1
Other,Heterosexual,Widowed,36-50,C,B,D,B,-10.002014207968585,B,A,A,-8.652020535845965,C,-140.7121790280206,122.66795809004927,165.09018577069153,-76.84244214494055,-74.67486162866906,C,D,0
Female,Homosexual,Widowed,65+,C,E,A,B,47.20825356904472,C,D,E,-162.48216822855096,B,-53.53584282773558,-68.49507484746434,151.6308457989799,-0.41426535406402587,120.098521539009,A,B,0
M,Heterosexual,Single,18-25,C,B,E,E,-1.189973341407885,D,B,E,2.103861055090362,B,319.54197654585016,35.69330538145235,18.81872136396614,96.1061860891804,60.532413938182685,D,B,1
Male,Other,Widowed,51-65,B,E,A,A,51.94058656421638,E,B,B,73.31060171583891,E,98.53318521208631,-2.7606590585177604,-57.14724499339777,-129.91556309332697,98.23640309920884,C,A,0
Male,Homosexual,Divorced,18-25,B,E,A,D,-91.39072924733392,B,D,D,120.74216115866025,D,-21.160260713078163,-150.07908147109106,0.11706250242715206,-11.61768429573095,-7.132330710558127,D,E,0
Male,Homosexual,Single,18-25,C,E,B,A,207.23696223385843,B,A,E,-183.2953326576754,E,-10.297474521384142,-56.02507434227412,-14.649741803203476,45.79577826360152,48.59165334300236,E,B,1
Female,Other,Divorced,18-25,C,D,B,D,-65.63373192458664,E,D,E,-182.95028083805357,B,18.898181612351127,-141.88265888907944,24.53840263561493,72.6532731522733,-25.615721666339446,C,A,0
M,Heterosexual,Single,65+,C,B,C,A,87.23436156440548,C,B,E,139.31741148968248,D,-178.7233997822988,-25.793590659281502,48.29877506081349,-112.41579300035329,-165.67968651094324,D,B,0
M,Heterosexual,Widowed,36-50,C,A,D,B,-6.476908369663055,D,D,B,112.10095427848653,D,-40.91658054629473,156.13070872734733,-24.02030682688318,46.11998892621191,-28.157922810454345,C,B,1
F,Bisexual,Single,51-65,E,D,E,B,-61.47937147405044,A,C,A,-165.7380361796408,A,-168.33723643606436,-46.49179280946933,-44.49796538341617,61.795233322406354,112.92778456109605,E,B,0
Other,Homosexual,Single,65+,B,E,A,B,-72.78334183967279,E,E,C,95.27870461305935,C,-78.81319744640624,-249.53599679274436,-56.29804548350287,-25.577366401208018,-37.75582654737492,D,E,0
Non-binary,Heterosexual,Divorced,26-35,E,B,A,C,-66.5127375489467,D,D,B,192.39513626640914,E,-124.11209229350303,27.832495906052173,139.15508640343126,-104.24993722027953,16.33410118090088,D,E,1
Non-binary,Other,Single,36-50,A,B,C,E,-30.72731831428628,D,B,B,-79.70936772801923,A,-32.54318871575111,105.76379080136309,108.13366368038066,-63.70736235538384,1.4237192850751121,C,E,0
F,Homosexual,Married,36-50,E,B,E,D,131.6099813557797,E,E,E,102.20305894621393,A,93.38367613924038,-83.82559030776791,-39.69001154376887,27.151000511439623,-117.98438675251425,E,A,0
F,Heterosexual,Married,26-35,A,A,E,B,-60.702431478854166,C,D,C,30.62470014787283,D,-21.340755281238476,-26.985490089939905,-155.5041033959676,-27.551270277010804,135.99979786070813,A,C,0
Non-binary,Other,Single,65+,A,C,C,B,-124.91388593009005,E,E,D,56.870615532574355,D,151.07865799907856,74.67239132396335,43.207165284852934,125.71884335970591,-17.25260249659792,D,B,0
Other,Bisexual,Single,51-65,C,B,C,D,-23.31378890578594,C,E,C,-37.110011354805025,C,-101.88402271284079,15.271220592241402,7.024075545194266,-155.39688154432173,-4.8917548647096725,B,A,1
M,Bisexual,Widowed,51-65,B,A,E,E,67.99055343245736,A,B,E,-24.213814488499306,A,-158.85010960438285,92.25606242954944,55.1658104965932,40.282448223787384,-47.81507557679201,B,C,1
Male,Other,Divorced,26-35,D,C,C,D,92.43199372148896,B,D,B,50.75686560171098,B,-103.07339602247669,-196.4799672073631,19.238030970136883,54.7924828250549,-66.9016701251184,E,A,1
F,Homosexual,Married,65+,B,C,B,C,57.341224766880416,E,A,D,-28.86047404125525,E,7.171252734946163,61.3350215871573,61.19322373123545,-93.3710073756488,-102.34057567315003,A,C,1
Other,Homosexual,Married,18-25,A,E,D,C,7.199624650176791,C,B,C,46.314473883904455,A,263.28035137563273,-40.84840391831513,-87.37508198174409,198.76944472344974,-100.72221920235043,A,A,0
Female,Heterosexual,Single,51-65,D,A,B,A,22.791197624608127,E,E,B,128.01229276922274,C,-169.53557503916332,-91.09667277876808,-104.18924440234977,-47.65061401073947,107.52362762321599,A,D,0
Female,Homosexual,Widowed,51-65,C,C,E,D,64.3432474775882,D,B,E,-92.99956767864337,A,96.59345016814196,25.051369874348296,33.7818594385428,6.879435115250667,-78.07614253885446,A,C,0
Male,Other,Divorced,51-65,D,E,A,D,34.95023774406813,D,A,E,24.709442129925,C,30.840181521643455,-80.17875544496735,114.18078793327314,155.28898572970334,138.79053583996418,D,E,1
Female,Homosexual,Married,36-50,E,E,E,E,161.7531213037881,B,A,A,84.10204871889508,B,264.94296007682897,-2.2205362162597098,112.90540605935082,-63.90671309527923,9.670735104195199,D,B,0
Female,Bisexual,Widowed,51-65,E,E,B,A,202.1014009045643,B,D,D,45.31899616082317,C,-156.50381832412242,114.11634459743591,-21.921666840980738,-40.01937518511791,90.891900423609,D,E,0
F,Heterosexual,Single,36-50,A,E,A,C,-121.20270098014574,A,C,A,-21.258640659253196,A,137.55380661461675,81.83961862686432,-56.287347985136236,81.91531469226132,73.35686906778429,C,D,0
F,Homosexual,Widowed,36-50,C,D,E,B,-77.05179257002072,E,A,B,13.617858663491239,A,-78.29450208223177,57.27228171856535,11.462221701815961,22.399717401159705,33.61745909166905,E,E,0
Non-binary,Heterosexual,Widowed,26-35,A,B,A,D,-19.228268116477885,E,B,B,-33.4811300371287,C,-51.64669802335579,-68.85480568574248,-74.29840652098754,-2.2082612057784092,-33.01497627761627,C,A,0
Male,Heterosexual,Married,18-25,E,B,B,B,-38.45472153031318,E,D,D,24.874033365522088,B,105.16673137280259,200.56584373514372,59.126910689565726,-85.086114328794,-23.733596282187932,D,D,1
Female,Bisexual,Divorced,36-50,A,C,E,B,-122.00359977067461,C,D,A,77.03755435023209,A,-64.38768689703242,-27.59256308013194,-9.797764453054173,33.603328088680776,-30.306510340507124,D,B,1
Non-binary,Other,Single,36-50,E,D,A,E,198.6088537650351,E,D,C,126.40583765234848,B,33.45481820047305,49.824427884941336,-76.6444470790501,-20.856104236189754,-87.04710111299133,B,E,0
M,Bisexual,Single,18-25,A,C,B,A,61.091689462941424,E,C,A,-137.4214558911469,A,172.78746030021284,65.99794469983956,-62.38739879920795,-93.98414564341077,63.62465245576699,A,B,0
Female,Other,Married,36-50,E,D,C,D,166.05969403722048,C,B,B,-46.377810253355904,B,82.91168466572483,14.198210645797241,-66.42639544744297,74.68789169177212,133.16906362805264,C,C,0
Female,Bisexual,Single,18-25,C,B,E,D,-78.63972585986521,C,E,A,111.638400087097,C,-243.8241272880832,-10.800136570167789,-186.26886343516705,-81.97324033625702,-60.514280212203886,E,D,0
Other,Bisexual,Divorced,36-50,C,A,E,B,-37.8731118026305,B,A,E,98.29098581130758,D,151.75834574129453,74.64146277915556,66.94479739767331,-76.21457161439,-106.25719281877603,C,E,1
Non-binary,Heterosexual,Married,18-25,A,D,E,A,122.87268883766068,E,E,B,50.45911834468315,A,75.22053807105364,32.77986855896047,23.681679638800233,128.8486109555917,-0.33424305628649587,D,E,1
Male,Homosexual,Married,51-65,A,B,D,D,-174.72144354157862,D,D,A,-18.691562042393283,E,7.847006175612532,36.79725936789736,-3.6678507787317502,175.5009644473867,103.44109710378639,A,D,1
Male,Heterosexual,Married,26-35,B,B,A,D,-46.08275361015984,C,E,A,14.160469919396036,A,24.919471913192137,-95.61349247068136,-1.3699216146986497,18.67583332345985,164.39893940210422,E,A,0
Male,Heterosexual,Single,36-50,E,E,C,D,70.84377340806695,B,E,B,-44.90667242004839,B,102.82541998641994,87.58731355995153,-131.01216610572922,-59.35569091641857,-159.86865130162562,B,A,1
Non-binary,Other,Single,51-65,E,B,C,C,-117.96855484932173,E,E,C,46.76838923560852,B,33.15159346410217,-136.29088086194858,-108.26921552821933,278.17147305075656,-29.320908969403803,C,D,1
Other,Homosexual,Married,36-50,B,C,B,D,149.8578922141439,B,E,B,-6.402012861098805,B,179.10851122165516,-100.01684729049755,125.41171272550619,21.88146627350879,57.43912262485287,E,A,1
Other,Homosexual,Widowed,65+,C,D,A,E,28.169927507594945,C,B,B,-100.40342034233664,C,82.8145206104011,-19.658022186545228,-153.79169024350352,97.7030351060874,76.86066058521531,C,E,1
Other,Homosexual,Widowed,65+,E,B,E,C,147.8414094247471,D,B,A,-153.9035555399945,A,-19.47615783617177,-56.30132791343868,-140.99661034673525,6.30957447375158,60.37303337628111,B,D,1
M,Other,Divorced,65+,D,D,D,E,-52.34922842306864,A,D,A,131.75292637141553,E,12.290020606839109,31.585688554563824,-61.21791296669428,-45.15630017899143,-90.08187941826314,D,B,1
Female,Other,Married,18-25,E,B,C,D,49.49154165751239,E,E,E,-259.8744072725214,A,-2.622328943842146,23.800589909782413,-61.180054942286034,81.86839833113414,-38.24749871655759,D,A,1
F,Other,Married,65+,C,B,E,A,66.62293317619582,D,D,D,106.76454345844806,E,56.80761090609163,-4.093388836735293,-42.584386006163484,276.8495514385179,236.29962286322314,E,C,1
Female,Other,Single,26-35,C,C,C,B,-72.98860397382553,D,E,E,33.254369984997474,D,-2.2355607618481055,37.05974528041623,-88.17568379585786,-38.04703190471882,-8.218419534551776,D,C,0
M,Heterosexual,Single,65+,E,E,D,D,-279.1208939195378,D,C,B,-87.55533139501047,B,336.49045285080894,14.090148396309923,-21.333452058160002,-25.219823805782838,92.96923283721348,A,B,0
Other,Heterosexual,Widowed,51-65,B,C,C,D,-40.68602507768794,A,C,E,-54.474890677516406,B,-32.44021116039448,42.56015160126568,28.072801247923856,-62.899872277645095,-4.057393553436069,B,B,0
Non-binary,Bisexual,Single,51-65,A,C,E,D,-101.39166655792921,E,A,C,6.771476688863482,D,-230.13511915748578,-63.66461907346951,-5.596797585233786,38.073784401655516,-122.9096341209591,C,D,0
Female,Heterosexual,Married,18-25,A,D,D,E,50.26110848570858,E,B,E,-62.94884320785948,B,-182.16236335597966,-106.60880148965283,192.71519821172888,14.64619965213721,25.19995385692534,C,D,1
Non-binary,Bisexual,Single,36-50,C,A,D,B,-92.62161405992065,E,E,B,76.22681956850585,E,76.69792988356414,62.58689848793802,-43.69378059282947,117.08629882871399,122.85349570911121,D,E,1
Female,Other,Widowed,36-50,E,E,B,D,167.28774802784082,C,B,E,113.65802382766192,D,64.43526836789393,-8.495869450514853,-20.21467601703755,-18.09966978474188,81.71997345295956,C,B,0
M,Heterosexual,Single,18-25,D,E,A,E,72.04329190424747,A,A,C,-25.14701924547666,D,-126.54860266083242,-82.81628213196315,-272.8015684741368,27.08657460429466,-53.487061372798635,D,D,0
Female,Bisexual,Widowed,26-35,C,A,E,D,-23.299487108617516,B,C,D,272.0154301922643,A,-123.85126046873233,167.3057843510194,-60.84323445769579,53.41779527650065,55.24379042434683,D,A,1
Female,Homosexual,Single,51-65,D,B,D,E,-6.111367049282463,A,A,C,-11.883883319265665,B,-49.266175965366685,-71.34756081068942,-149.1608536250942,13.497092498146932,-93.29670720525571,A,D,0
F,Homosexual,Divorced,18-25,B,B,E,E,-18.820114696203262,B,B,C,-50.818142087214504,A,-19.578537540542587,-0.2838855918557553,187.31285857937462,1.5828581019539878,-127.07597959175084,C,E,1
Male,Homosexual,Widowed,36-50,A,A,D,A,163.5689736249921,E,C,E,1.066588386389726,D,-80.09580446065898,83.19398772298389,2.855275576258948,-83.0062305339516,82.6770640789916,C,E,1
Female,Other,Single,18-25,E,C,A,E,9.048074026881183,E,B,C,-31.337116597851388,C,32.06437287242849,92.5257572207319,44.74955117674809,0.6230251357026235,-122.66352358304948,E,B,1
F,Homosexual,Married,26-35,C,B,A,C,28.74672848886133,B,A,E,9.907765091955627,D,10.325759751156099,-70.11179239097797,69.98639288786597,-16.947551030178616,59.79249752827525,A,A,0
Male,Bisexual,Married,36-50,C,E,C,D,-97.72210322250692,B,B,B,-72.05503664800729,B,-3.7044079991385175,47.62667839133301,-95.46502327839346,-19.058218055816745,160.04799248788837,A,C,1
Non-binary,Heterosexual,Widowed,65+,D,A,C,D,-79.89745793686936,E,B,B,9.453736472006085,C,78.77808736915573,-6.222566160389671,43.45855599059939,-145.00249232908516,163.9254416622714,D,E,0
Other,Homosexual,Married,36-50,D,A,B,E,-71.85713315235526,E,D,B,72.9586370906527,E,-157.91644893054223,-125.082800545927,161.86897969238652,-27.58798290369776,108.71698229138764,E,B,1
M,Other,Divorced,18-25,E,C,E,B,-21.935711323433978,C,B,D,-46.549458278265874,D,-10.694531985778433,-1.658284095549413,-35.910331764057844,143.10379577548736,13.420471814248522,B,C,0
Non-binary,Bisexual,Single,26-35,B,D,E,E,-29.78708975679396,E,E,B,-47.925974082379355,C,61.19007457044447,-10.54283211755547,80.56134564249025,-1.758752047979575,-16.578955141488354,E,C,1
Female,Heterosexual,Single,51-65,C,C,E,A,-158.70133882444776,B,A,E,-192.05552607999908,D,-70.53010327061202,96.24826914014012,76.72234869528623,152.80723417058041,-62.614447203627776,A,C,0
F,Bisexual,Divorced,18-25,B,C,D,C,232.61086796437888,A,D,B,-26.617671164378446,A,19.778720171829708,-92.37733548974137,-52.95250931029215,-56.048428174680744,40.036383290024716,B,A,1
M,Bisexual,Divorced,65+,C,A,D,D,-18.544689985768827,D,B,D,-36.005216527361824,C,84.40392715792211,68.88161117874782,1.3869069234679838,55.60058394586843,102.23458627836841,D,D,0
Female,Homosexual,Divorced,36-50,E,B,D,B,-60.839814578819585,D,C,D,106.6208862753854,A,-60.45198838874438,-79.49368038091788,-112.25882911583203,27.458600589358323,-144.89128238224086,B,C,1
M,Other,Married,26-35,D,A,E,D,-51.32026663276654,C,D,B,2.002254458951912,D,88.70918793836495,25.330328017300154,-80.85343148745969,46.35358070887401,17.947334644063684,C,B,1
F,Homosexual,Single,36-50,B,A,A,E,29.94853104978076,A,C,E,8.871165152884076,A,-149.00373418880773,110.21699999115468,-72.83003902629115,-7.490233781011395,-152.120654662669,A,B,1
Female,Bisexual,Single,26-35,C,E,A,C,31.859602942526028,E,B,D,-45.99887158507563,C,-27.01589075453113,-85.09995691411176,52.994641585705814,149.77684510199728,124.4597066835642,E,D,1
Male,Bisexual,Married,26-35,A,B,B,A,31.92177922058891,E,C,D,-59.70299254883349,A,-99.6280630003494,65.59840826161003,50.18820722136219,58.48336073417707,-73.20022762160535,D,E,1
M,Heterosexual,Divorced,26-35,D,E,E,A,180.7604306535048,C,C,A,122.39350337296119,E,72.2825260165975,89.30015824779056,89.70789219897114,-50.10178558320556,-96.65778077613264,B,D,1
F,Heterosexual,Divorced,65+,A,B,C,A,-19.190237285330415,D,C,D,57.589742721256556,D,83.21264360323127,-68.99299197902968,59.57162943848518,26.63522901947285,4.956072693551287,E,E,0
Non-binary,Homosexual,Widowed,26-35,A,E,A,B,-115.24377611745484,A,D,C,21.79781308637867,A,-5.7042448034544995,-92.26456060153502,108.4649190756384,-60.40530113596356,-225.51213399056041,A,A,0
F,Homosexual,Single,26-35,B,A,D,E,-19.8921953957342,B,B,A,-57.57539201827077,D,-55.630733508480155,-57.725222705904464,-58.98428208116218,-105.13767937362249,-43.94037326309915,D,B,0
Other,Homosexual,Divorced,26-35,C,D,B,E,-32.0522347967476,E,E,C,14.758862486215682,E,96.66842886474056,-22.44850613667121,132.85789655254604,51.36830570193195,168.11309419675763,C,B,0
Female,Other,Single,51-65,C,D,A,D,-5.127160913566194,B,B,B,-16.50773799623601,E,207.11999510044242,34.2178371326398,26.40644401524065,37.90768588190897,73.72985512941061,E,C,1
Female,Other,Widowed,51-65,C,A,C,E,-17.040907646554174,D,C,E,260.7971280219286,D,-74.47173116079712,-265.53705633683313,-25.78832081998731,-75.90707049592575,87.83318638626506,D,A,0
Male,Heterosexual,Single,36-50,A,E,B,E,-40.59224989515788,D,C,D,73.25567518058405,D,-12.228896684468506,-212.43717715380402,19.309296606994604,-76.73152314178996,-188.75814663469708,B,E,1
M,Other,Married,18-25,D,A,C,D,64.67082037878322,E,D,D,130.7611329876388,E,-42.43048444145918,-57.48634246145444,-60.083927018996555,-42.94543029315436,42.30613125393062,A,E,1
Other,Other,Single,51-65,E,D,A,B,37.01869265500576,D,E,A,-18.166592602197536,B,56.77645630624806,73.07534795653123,-85.96920394731522,20.657786193735745,229.07956376421373,D,C,0
M,Heterosexual,Single,51-65,C,D,B,B,-71.95933728767758,C,D,E,-7.088749266622093,D,6.447077925249242,64.57098660129891,-80.54228063210425,62.39892422466586,-28.92064205696044,E,B,1
Male,Other,Divorced,65+,B,A,A,B,-2.848744886021082,E,B,C,-54.41393870193004,D,-162.1453640378043,-135.92986393017506,93.22256476542015,99.3931846029877,-3.4004283588678414,D,E,1
Other,Heterosexual,Widowed,51-65,A,A,C,D,-10.122356102406908,A,C,C,101.87955058878147,E,-13.619708730124794,-13.195731827763638,-63.42636760577721,-35.21429473861274,33.32666634064655,E,C,0
Female,Other,Married,26-35,B,B,C,B,10.127927364355536,A,B,D,-65.09078173330336,E,61.72764152882549,36.52196140544218,-40.18549768122382,3.9518242541836313,-24.17413946352787,B,D,1
M,Bisexual,Divorced,18-25,A,A,E,A,-23.6948751352738,A,E,C,-31.885583453112172,B,-94.4237240399034,9.32370650456411,-46.22136891796022,78.56372358959558,-175.29276395592947,A,E,1
Other,Heterosexual,Widowed,65+,D,E,A,A,-49.40457188806819,A,B,A,-1.0280380070660617,C,59.62836835191669,24.288644440382807,72.79986834835097,23.249339182698677,101.15101974771414,D,D,1
Non-binary,Homosexual,Widowed,65+,A,B,D,B,-22.615301698528874,C,D,B,60.10893477634392,D,15.060165844095158,94.32794831943305,42.778590951578934,-63.85662316449665,-12.971730659942438,A,C,0
Male,Other,Married,51-65,A,A,C,A,-0.31505355599983664,B,A,A,-3.7305126877862853,E,35.14887803752594,37.8420661598827,-32.79170213472826,-63.325712118198766,-258.9219159564147,A,A,0
Male,Homosexual,Married,26-35,B,B,A,E,96.88633760806975,C,A,C,-175.84776297106436,B,108.86739297339089,219.33600323411088,-133.12870257653046,-131.74804615308045,155.46010789531965,A,E,0
M,Bisexual,Widowed,26-35,D,C,A,C,-145.09312710759258,B,A,D,-130.5800132813012,A,-60.17880901004197,32.82758057908581,-55.4872887820935,114.51723140638572,110.92328087554124,A,A,1
M,Bisexual,Divorced,26-35,A,A,A,E,199.88828046644676,A,A,E,-130.4954664911281,D,13.31557015143595,47.87533917768184,24.10004517739287,-43.19240442380068,64.63583320258238,E,D,1
F,Other,Widowed,26-35,D,C,B,B,54.695926087598956,E,C,C,77.78165291230466,A,38.58230390124261,-139.76770785831087,42.37136478752859,280.9160623052907,-129.9391955891054,C,C,1
M,Bisexual,Widowed,18-25,B,A,C,B,67.21841579158706,D,A,B,139.61165005296849,A,62.82078526016311,-12.982748356779306,127.07190238666858,49.049717414562565,-95.58991546644991,D,A,1
Other,Heterosexual,Single,36-50,D,E,E,A,124.51817236408893,D,E,C,-31.138721724014413,C,-155.91923325197422,3.4592480673715196,-62.44180640320559,7.623056820941667,-205.90219044713103,E,C,1
Non-binary,Homosexual,Widowed,65+,C,B,C,C,-18.48346281324042,B,B,E,-190.057619270569,A,3.191606641231379,-66.11260908682517,-112.36127230592574,108.48610898677786,-279.6920581737767,D,E,1
F,Homosexual,Married,36-50,D,A,A,C,-63.99640168024582,C,E,A,-133.54511503355948,C,-6.5778216014079165,-50.71988815287442,188.80831316852152,-43.952385199890706,-112.12547662634955,D,E,1
M,Other,Married,18-25,E,C,A,A,-87.29867001507247,A,A,A,52.79355447796913,E,-124.4646921157653,27.913944769316146,-59.96837389457309,-101.99495258290983,-213.78814709307804,B,A,1
Female,Heterosexual,Married,65+,B,B,D,B,-51.04599718508578,E,D,C,-94.36508414735806,E,120.92598715274146,12.797979092878276,-69.86312404907487,216.73728306258377,-105.47988023184259,E,D,0
Other,Heterosexual,Divorced,26-35,E,A,D,A,121.82977326102522,B,D,E,-108.04118131062994,C,-46.26087531395029,82.59854798184315,-65.40209740523014,5.918751808735755,-77.56968488765823,A,A,1
Female,Bisexual,Widowed,65+,B,C,E,B,107.72122519355992,E,D,A,68.29253376521469,D,-155.41138084132822,12.889423139816081,201.28344886656205,-34.680182349204486,16.466488367657583,B,B,1
Non-binary,Other,Single,65+,C,C,C,C,2.7463941816720805,C,A,E,-10.549176122160219,E,139.05995588916932,74.00337494272475,-27.671466966325024,9.812521051015477,101.03893145782044,D,B,0
Male,Bisexual,Married,18-25,C,B,D,B,-11.039674046347653,A,B,B,7.798331059074706,D,97.6585328926455,-17.414092527326996,92.20963278063455,17.47943864752415,26.148140449036212,E,D,0
Other,Other,Married,51-65,C,E,D,E,-46.694531526764194,B,E,E,-108.42164702816437,E,-100.67275960147306,-44.63734382229912,-11.323674534205256,52.86727687313003,82.13413482804982,E,C,0
Other,Homosexual,Widowed,18-25,A,C,B,B,156.62660447125094,A,E,E,58.024577273725185,B,-67.76044991016386,-131.2352532894969,-12.227874862526356,-68.51846391401125,66.26013990902257,D,C,0
Non-binary,Homosexual,Married,36-50,C,A,B,E,-113.56877818348556,B,B,D,0.837516767672346,A,66.16271137351748,-90.10118907582022,51.866819824641574,-0.6091915254739817,149.43557573610542,A,C,0
Male,Other,Divorced,26-35,C,D,C,C,-68.93266147468611,A,B,C,-18.114376040677648,C,26.278096895749286,-165.55471677077432,18.875453017279835,135.97746619259493,37.50216543689045,D,C,1
M,Homosexual,Single,18-25,A,A,C,A,-70.90613157681585,C,E,E,84.92422533126971,D,89.13013162405919,-61.537788573492506,16.800580751988488,126.60487987133604,-102.20930331042888,C,C,0
M,Homosexual,Single,26-35,C,A,C,A,-65.1536970840851,D,D,B,29.30006425599101,B,85.85970683114918,106.27063357624127,-75.09158308659599,-3.9016665893468883,187.60667348974334,D,B,0
F,Homosexual,Widowed,18-25,A,B,D,A,-55.241738297504874,C,D,E,25.232851339429917,E,-54.31095221596435,-72.70242888568477,42.74346038269432,120.99613330721006,84.99425561284119,E,A,0
Female,Homosexual,Single,65+,D,E,C,B,-34.758929960056605,C,C,E,126.35620283440743,C,99.06355431449447,123.4316667342751,-34.26085354288415,99.55287339788804,31.076045410006497,E,C,0
F,Heterosexual,Single,18-25,B,C,C,B,-14.906855488692262,A,A,C,-96.2808764014887,D,-103.4842375421748,43.925515302154245,-17.85497076299056,-1.8837223621718135,22.856383329777664,E,B,1
Non-binary,Homosexual,Divorced,65+,A,D,A,D,-116.56872199938361,E,D,B,-33.79734864573033,D,-19.530552043321155,-97.27601457651195,-17.30691464372069,-50.94451642959273,68.74200641197224,C,D,0
F,Heterosexual,Widowed,65+,D,B,B,C,78.98038020631935,D,B,A,-93.13313401846544,E,-13.580712625453442,-21.71455932047246,-67.39806673809066,-29.20574089869249,122.9524928516124,B,A,0
Other,Other,Married,26-35,D,B,C,C,131.56319831886685,C,B,A,-153.17167607986482,E,-124.05378364381082,-110.02839618152882,-59.16562074183216,-76.11503912478251,-90.18587081895886,D,E,0
Male,Bisexual,Married,51-65,B,D,A,B,-26.06486477644614,D,B,B,-32.302796261897186,E,-99.23878879912363,-47.74330806397934,40.77083064791003,-52.70953054707837,-22.248303814637122,A,D,0
Male,Other,Divorced,65+,B,C,A,D,-31.174472653707358,C,C,A,93.22965071681956,A,65.21676022258436,-106.71333901136619,-112.67904059072198,19.64961987153801,-145.2649922656273,E,B,0
M,Other,Married,26-35,C,B,B,A,-115.69976999010305,A,A,C,-98.19468657697412,E,57.99073041140256,-94.36452008048641,-13.133993171209092,-140.09329422041958,44.59795943178262,B,D,1
Non-binary,Other,Married,51-65,B,E,C,D,64.6024104533123,C,D,B,-7.6588220783249765,D,75.13659712725207,139.40975134090698,99.1582936256672,-25.463236195173604,-144.348415590014,D,C,0
Other,Bisexual,Single,26-35,A,B,B,A,-31.3349994825932,E,D,D,113.05128503498052,B,-12.220823620630386,110.03229833801946,47.01213021936229,-79.37832276556307,-64.93206613767943,A,A,0
Other,Other,Divorced,51-65,A,C,E,C,27.611392035879632,C,D,D,-44.53232028203728,B,78.86923030708599,-13.815431732369182,139.68083383631622,75.86139369009742,-81.93646991413581,A,B,0
Female,Heterosexual,Divorced,65+,E,C,A,A,102.92966594647486,D,D,A,43.65758647194105,D,-24.555648850164065,111.8464633580424,-90.62173323112343,86.42277600700936,-88.77445263346458,C,B,1
Male,Other,Single,65+,B,B,E,C,-22.08276504063491,A,B,D,-225.4523807884278,C,-34.01447002046203,54.543870281518714,-94.89413846710151,-29.815355097003582,96.78924592981026,B,A,0
