sexual_orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
Other,E,222.32871604633226,D,-22.46719848474962,D,D,0
Heterosexual,A,-97.65782247616336,C,111.54438235831661,D,E,0
Heterosexual,B,141.79353300776788,E,-2.0973310600756383,D,C,1
Homosexual,E,-175.60990185151016,C,73.29525145065047,C,D,1
Heterosexual,D,97.6821461253587,C,146.66516250690177,A,A,0
Bisexual,D,5.207618765365942,A,9.160496672222015,A,C,0
Heterosexual,E,-138.4026103639573,A,200.05938662560467,C,A,1
Homosexual,C,-32.53604894849661,D,107.17406646100318,C,B,0
Heterosexual,C,-65.92837750338677,C,-72.1348261908776,C,A,1
Heterosexual,A,52.81945543031925,A,-42.179387250862135,C,C,0
Other,E,34.713605185854455,E,-65.82597371158225,C,B,1
Bisexual,B,10.190743205786507,C,4.477317965005943,B,A,0
Heterosexual,A,-117.95598199199928,B,167.6007737671062,C,A,0
Bisexual,B,-163.0574719241012,A,73.68410970821876,D,C,1
Heterosexual,A,-208.16966904160213,E,30.831128724408487,E,D,1
Other,E,-25.30492887675998,E,-46.86266475174682,E,E,1
Heterosexual,C,0.7329749535509843,B,-121.36768666442195,B,E,0
Other,A,34.9269884614954,C,-62.33907797720366,D,B,1
Bisexual,D,59.202018421548985,D,-171.27075968956166,D,E,1
Homosexual,A,217.0370818676678,D,39.55978711524502,B,E,1
Homosexual,A,-4.020492251770327,A,-52.63461905936103,D,A,1
Other,D,108.37720141939997,C,35.62456308876979,E,C,0
Other,C,187.90027429065617,A,-181.12457180870643,C,D,0
Homosexual,B,-176.14289082554205,D,147.26639150787454,D,B,1
Heterosexual,D,-54.44173166048256,C,115.68594785868405,A,C,1
Homosexual,E,-80.81439647496038,A,-74.31521810668582,E,D,0
Bisexual,E,96.60553330137806,C,118.9581397776925,B,E,1
Heterosexual,E,106.80703392635536,A,44.293837183186,E,C,1
Heterosexual,D,-26.063527357983453,A,30.110275808469133,A,B,0
Homosexual,A,-3.709127152878269,A,12.727447904374472,C,B,1
Heterosexual,B,44.63440595128103,D,16.593653724317395,E,A,1
Heterosexual,E,126.48174915614041,A,10.570206926431508,A,B,0
Bisexual,B,197.8689998892276,C,17.255344906552004,B,E,1
Heterosexual,C,156.05391094684654,C,22.85179785545607,E,D,1
Heterosexual,E,-56.75545178861036,C,-111.14005658670247,E,C,1
Bisexual,C,182.28675733066015,D,200.45086811223447,C,D,0
Bisexual,B,-22.861416954554226,D,-160.33374335828458,B,C,0
Homosexual,A,74.15584981171742,C,31.60126748465585,A,A,1
Bisexual,A,47.15135288153019,A,80.30468265109637,C,A,1
Bisexual,C,7.5138944425333145,E,67.0433232602699,E,C,1
Other,C,91.55173404570132,B,-194.5520464859726,A,D,1
Homosexual,E,26.537910388746756,B,-41.91783202469446,C,D,0
Heterosexual,A,6.496389861069493,D,43.44424201251883,E,E,1
Homosexual,D,6.578530192797398,B,-15.412343538086526,B,B,0
Other,D,-25.112004670528304,A,116.64987189417822,A,B,0
Other,C,60.55674875586724,E,65.76871010756528,D,C,0
Other,E,-182.37188971227454,D,-8.795607341318611,A,A,0
Bisexual,C,-66.4200908069966,E,-61.92539249854237,B,D,0
Homosexual,E,-42.706114320193485,D,-70.62234922663129,E,B,0
Heterosexual,E,78.21067188682422,C,128.61441072516405,C,C,1
Bisexual,D,8.172158169231933,D,-15.505167968657894,A,D,1
Heterosexual,A,-18.66940023291628,B,-114.62912935692027,E,A,0
Homosexual,C,40.74489617546375,B,140.57670834640265,E,D,0
Heterosexual,C,-91.18662785817975,D,-197.98301307739834,E,A,1
Heterosexual,E,-98.04638599127811,B,-12.94957288809568,C,B,0
Other,D,32.80046305146683,D,-97.68810252516397,A,E,1
Other,E,-92.11754259294452,C,90.09218399681261,D,B,0
Other,A,17.168644834856188,B,-21.860668741760154,B,B,0
Bisexual,C,157.04385856507258,B,10.259677201391316,D,D,1
Homosexual,B,-175.79846474463966,B,-97.69150530904226,B,C,1
Homosexual,C,29.840848149409943,A,-50.15430492004532,D,E,0
Other,E,59.48151397206497,A,250.3744735225409,D,D,0
Bisexual,B,79.26874138457514,D,39.44064799966182,C,A,0
Heterosexual,A,192.9559825395596,D,-38.61435512670597,C,A,1
Bisexual,D,84.68485368595708,B,48.29517071000085,B,B,1
Homosexual,A,-158.93816705946492,B,-1.1397988103260126,C,A,1
Homosexual,E,117.2602129214488,A,-12.831240196012782,B,D,0
Bisexual,E,28.756864558841166,C,-9.57752218841243,D,E,0
Homosexual,D,-33.307743275227594,B,10.500627318247156,B,E,1
Bisexual,C,-75.43845005049347,A,-30.879050800708217,D,B,1
Bisexual,D,143.80881167920484,C,93.33483174844805,A,D,0
Homosexual,C,-64.5083561035596,E,12.652915290036015,C,B,1
Other,A,-7.311684100049376,D,-53.39642083395712,C,C,1
Other,D,21.061186870915012,D,-46.899762299359544,C,D,0
Bisexual,B,51.44182421102216,A,-20.93022850561607,A,E,1
Other,E,150.98118538091498,B,-120.10009859151667,A,D,0
Homosexual,B,-83.7958831587129,C,47.26096156891048,C,C,1
Other,E,96.80490299307975,D,-128.77104289568456,E,A,0
Other,E,4.056238721333776,A,-30.626293220800132,C,B,0
Bisexual,A,-23.448436211576904,C,-108.3740152069609,E,A,1
Other,B,-42.972847854669965,E,-91.27509649813864,D,B,0
Other,E,-113.10572214413561,E,-130.77416867727484,C,C,1
Bisexual,E,-12.767579989556832,E,-72.92705552166994,A,E,0
Homosexual,B,-60.480442473333504,D,96.02237434306049,A,B,0
Homosexual,D,-73.59873843478344,C,33.702693235593905,C,D,1
Heterosexual,A,165.5778564752948,D,4.566766460462208,C,C,0
Other,A,37.75296031404174,A,47.11478262356664,A,B,1
Other,E,-50.6780917747459,C,-38.76018774640173,E,E,1
Heterosexual,D,32.61362384228154,D,-31.014448131461954,E,E,0
Other,B,70.83027478461517,A,-19.86752433544507,E,C,1
Heterosexual,E,-88.47415553419484,E,-10.67205981393424,C,E,0
Other,E,116.09873765385616,A,23.795580240408892,B,C,0
Heterosexual,D,-6.396978732824897,C,43.384268087151185,A,C,1
Heterosexual,D,148.7582912341209,A,-233.11863440800465,A,D,0
Other,A,-78.2335089005131,D,-18.311157545045393,E,A,0
Other,E,-98.34141785843862,B,0.8145292262694744,D,A,0
Homosexual,D,-18.610687175142367,A,65.99049908583828,C,B,0
Homosexual,B,-22.13983376901053,A,30.45859765579549,A,D,0
Homosexual,E,-115.76417950921424,E,62.42182055410835,A,B,0
Other,A,23.665504048638038,A,42.01099955991189,B,C,1
Heterosexual,D,-53.57566646230866,B,45.35315530180467,B,A,1
Heterosexual,B,-163.37217617983418,C,-46.056853044061036,B,E,1
Bisexual,E,-95.08839623154338,C,-53.017345161851495,B,E,0
Other,D,-35.57572476841155,D,33.674167153282966,C,D,1
Bisexual,D,29.642013479094125,A,-72.86135782192511,E,E,1
Heterosexual,C,17.34503527755826,E,-25.97039769925938,B,A,1
Homosexual,E,-82.19625725249057,B,-249.00995186448455,E,E,0
Bisexual,C,-14.877342744495467,B,8.292133930998645,B,E,0
Homosexual,E,-236.90434061552676,D,131.39821473653112,B,B,1
Other,D,-22.744647315154058,E,-99.23743424436535,B,E,0
Other,B,-17.274983286961458,E,-21.346572333967146,E,C,1
Homosexual,A,-70.51113774325093,C,-47.45425576906644,C,B,0
Homosexual,E,-123.44535136659667,E,-104.61982034787103,D,B,0
Other,A,396.09826814068924,C,7.858747522560295,B,E,0
Homosexual,D,-119.10021790215453,B,118.62429005758514,E,D,0
Bisexual,D,40.426210241750894,B,-45.54653373891021,C,B,1
Homosexual,E,-123.71744069572841,D,-70.81181286790174,C,B,1
Homosexual,A,-80.18351940299694,E,34.167788987668935,A,D,0
Other,C,59.51478680929409,C,-22.49078887458601,B,A,0
Other,A,-51.11358455413368,C,43.26131046943258,C,A,1
Bisexual,A,-168.54977455029112,C,70.29189886665876,A,B,0
Heterosexual,C,-6.4119933401289035,E,148.18666010820783,D,B,0
Homosexual,A,67.25809814756981,B,-17.3035786683285,E,B,0
Other,A,179.24294573802356,E,-173.59999026927798,E,D,0
Homosexual,B,103.55083396610986,D,50.62679099003113,D,B,0
Bisexual,A,124.64189577318538,D,-87.80289808763028,A,E,1
Heterosexual,B,-18.651618165485186,E,56.408239814722506,E,A,0
Other,E,-22.21457921437791,B,38.798808501637396,E,A,0
Homosexual,D,-3.5797609633736815,C,285.5944965262328,E,D,1
Heterosexual,D,61.88179395719609,E,112.14776132766306,E,A,0
Bisexual,A,-75.23500357511008,E,-34.48682472923083,E,E,1
Homosexual,A,-62.77860983509841,E,26.56811997971583,E,E,1
Homosexual,B,-54.354994096894174,B,45.56139907957649,A,D,1
Heterosexual,A,73.59735428809878,C,-29.33795507281145,D,C,1
Bisexual,E,164.19716030241463,B,19.113248391622555,E,C,1
Bisexual,C,66.58640169760393,D,132.47698782850284,C,A,1
Bisexual,E,-14.084191748178085,D,298.55917275356643,E,E,0
Homosexual,C,-28.80112660997767,A,20.983065581098508,E,D,0
Heterosexual,B,-83.01020796881282,D,-129.33724014884513,C,E,0
Heterosexual,B,-8.558265809776222,A,-100.74585425754759,D,D,1
Other,D,-0.5563526175503024,D,-46.26664708637836,C,B,0
Other,E,102.43826454215481,A,96.25619776144799,B,E,1
Heterosexual,A,-32.23327074092507,A,0.4940189113850223,A,A,0
Homosexual,C,165.08387607616515,A,-37.40564638701385,A,C,0
Homosexual,B,-92.21792460899648,A,-116.8420625488026,E,D,0
Heterosexual,B,-245.41867997560297,B,32.03003037962173,B,B,0
Bisexual,D,-72.269860544232,B,72.76297956519711,D,E,0
Homosexual,A,-26.43914058226865,C,-55.25233442407808,A,B,0
Other,C,-7.374295702393567,D,126.56087773137659,A,A,0
Homosexual,D,-72.91005635169203,B,-83.3701462143867,D,B,1
Heterosexual,D,160.70338551311707,D,116.87680480916679,E,B,0
Bisexual,B,233.9847154327924,A,36.661810987761164,B,A,1
Homosexual,A,-18.390466878469187,A,-104.13792184384916,E,C,0
Homosexual,D,24.49776121903156,E,-238.10458708840105,E,D,0
Bisexual,B,42.43221681738959,C,191.96960395984888,D,D,1
Heterosexual,B,-25.565505857443586,D,-50.27761889681277,D,C,1
Heterosexual,D,-13.67267946245446,D,92.0005676918637,A,C,0
Homosexual,C,25.570939562025096,A,-107.11052075539962,D,C,0
Homosexual,E,25.032697469521935,E,64.47812753582096,B,C,1
Homosexual,C,-124.85286771913822,D,-11.570007868409892,B,C,0
Homosexual,E,74.10257004930973,C,-10.096672310985577,E,B,1
Other,C,33.17468573341565,C,-3.529661161868062,E,A,1
Bisexual,E,127.66324280150987,B,12.673409372657332,D,C,1
Homosexual,A,-60.826315297092535,D,-293.9673668001252,D,A,1
Bisexual,D,212.38292366526142,B,-110.35920195987462,B,A,0
Bisexual,E,141.48437784692692,A,-0.5879553976965708,A,A,1
Heterosexual,E,-106.11315178790991,A,58.45169923258524,A,A,1
Heterosexual,C,-130.17592459119706,D,-97.90637240602373,B,A,1
Bisexual,D,52.99545719958149,C,-4.671946396281566,D,E,1
Bisexual,C,-63.65407607516176,D,-1.2933262705551303,D,C,0
Heterosexual,E,143.78493543431955,A,-24.47014507005871,D,E,0
Heterosexual,D,13.473971800827773,C,-5.368347820395521,A,B,0
Bisexual,E,-64.73820444391592,B,-125.41336353413955,B,B,0
Other,B,-42.311355115644986,B,126.6126984491919,C,B,1
Homosexual,E,183.72866420145763,E,-31.03360000054401,E,C,1
Heterosexual,B,11.612981526246578,D,26.742541874571796,B,D,0
Homosexual,E,114.20216767837736,E,58.59660167098196,B,A,1
Other,B,-23.649543848791012,A,-69.8395684626501,E,A,0
Heterosexual,A,71.73256590847312,D,140.17131344902737,C,E,1
Homosexual,A,-7.036020058192441,C,33.37839351569086,B,C,1
Bisexual,E,129.5144250695679,E,-250.19220326191947,C,B,1
Bisexual,B,-106.23116787114957,E,42.533809799931774,C,B,1
Heterosexual,E,58.574683981978545,E,-25.733602347366297,E,A,0
Other,E,-84.86775599758964,E,-39.228272065934675,A,E,1
Heterosexual,A,36.38995972391772,A,-14.920224982935526,A,E,0
Heterosexual,A,-6.511090360860064,C,149.40053734692367,C,C,0
Other,B,-49.08773355074755,C,-61.77318584798813,E,C,1
Homosexual,E,100.34699264455294,E,-25.141656186990076,D,A,1
Bisexual,C,24.33684814336374,E,-15.541333179895078,E,B,0
Bisexual,D,163.45021719747152,E,-5.494263886701808,A,A,1
Homosexual,C,-46.45207901578657,A,38.09428163122906,E,C,0
Bisexual,C,-20.687826914809314,C,67.4993001326775,A,C,0
Heterosexual,D,-56.41264973352354,A,-124.44724842729367,D,B,1
Other,D,65.81835474061009,E,173.74940028435225,B,E,1
Homosexual,C,134.80869958249065,E,-19.34011132039697,C,C,1
Bisexual,A,-12.037343636152526,A,27.0251498704572,E,C,1
Homosexual,E,-61.057496395124936,C,121.99617044280282,E,E,1
Bisexual,E,84.3766798619062,A,111.05717499433565,D,B,0
Bisexual,B,-83.42222746636025,B,-51.04784354584917,D,C,0
Other,A,-166.96515726343296,B,-48.358358121667244,C,D,0
Homosexual,E,-271.8329803266087,B,-100.5674778454902,B,B,1
Homosexual,E,-137.92439326901277,B,76.49761855338963,B,B,0
Other,A,14.845170243800276,A,-133.43497733738246,D,C,0
Homosexual,C,169.62134876615923,C,3.0235540839947115,C,C,0
Heterosexual,A,-74.61645001963058,C,23.44680070330544,C,D,0
Bisexual,A,109.01646139337302,D,-143.55811130981365,E,B,1
Homosexual,D,86.25938991234847,E,-50.12430605438465,E,A,1
Other,C,-15.658172833365445,C,-66.40028473251664,D,B,0
Other,A,29.530751652166398,C,-122.68875577506302,D,E,0
Homosexual,D,22.377007973072956,C,17.781896947134605,E,A,0
Heterosexual,E,11.25215013582182,E,122.25971155493913,A,E,1
Heterosexual,E,58.88688958145013,E,21.27151709865208,D,D,0
Heterosexual,E,4.832210685931201,D,74.63490696196014,A,E,1
Heterosexual,E,-170.6127539232683,D,66.14553404096655,C,E,1
Homosexual,D,51.83456438142168,A,-57.32230795864316,A,C,0
Other,E,-1.6686830104708128,B,-36.16894369944818,D,B,0
Bisexual,C,-6.373478521750937,B,33.38058110506585,E,B,0
Other,B,-119.33142872494082,C,-57.098333603828635,D,D,1
Heterosexual,B,24.742896839397048,B,-101.13422375120027,E,A,0
Bisexual,A,-44.58742743671999,D,195.28054304169825,D,A,0
Homosexual,C,-258.1469685693005,A,-67.99879794424132,D,E,1
Homosexual,C,-71.98305680594294,B,1.7161760391570862,D,A,0
Heterosexual,A,5.8397634597143915,A,63.01806611101266,A,E,1
Homosexual,D,-60.48334734111198,C,94.12701877351142,A,A,1
Homosexual,A,-87.71148919975766,E,-82.1137734779941,E,B,1
Bisexual,A,-134.5854120556192,D,70.13115342013816,A,D,0
Bisexual,C,-144.87145100400903,B,124.04737256322329,C,D,1
Bisexual,C,145.00843407303853,A,-68.66720848045983,D,A,1
Other,C,34.36985188433165,B,-19.123896340262533,B,C,0
Other,E,-112.62846597679423,A,12.88372806265663,D,A,0
Heterosexual,D,88.29196193162254,B,-200.10076406031624,B,D,1
Bisexual,B,116.39679708320504,C,-94.3456528480333,A,B,1
Homosexual,B,-5.888805810482702,C,-4.389496182102486,D,B,0
Homosexual,B,134.3838600568609,C,160.89520534082806,E,E,1
Homosexual,B,77.09996200710184,D,-195.48904787624042,E,A,0
Bisexual,A,-68.2654484046287,B,-103.1114616426307,D,E,1
Other,C,-33.70285265979081,D,18.929125343274738,A,A,0
Bisexual,A,0.16377242195841224,C,13.758714833568705,E,B,1
Bisexual,B,58.5878841857954,A,-306.52244099373456,A,B,0
Other,D,73.66803316090305,B,121.06713060765986,C,E,0
Other,E,26.694771728606366,A,-21.756166763359246,E,A,0
Bisexual,E,88.2473740733005,E,-132.67417305153828,B,E,1
Bisexual,A,-85.04068476092596,B,181.6819213592906,B,E,0
Other,E,89.62934462727648,A,100.52081372737818,B,A,1
Other,A,-9.40394282327976,B,71.43511140605916,E,D,0
Other,D,-70.27472673238982,D,29.110753532825257,A,B,0
Other,B,-107.81035047474259,E,13.69038173809663,B,B,1
Heterosexual,D,80.3990882612904,B,14.225081493566025,A,A,0
Other,C,-6.94119857676081,B,-13.346607411946765,D,D,0
Bisexual,C,-94.26533325985741,D,48.29887499170687,A,E,0
Bisexual,D,62.46690443553709,A,-177.1872301081172,A,E,1
Bisexual,E,-111.81806226264183,A,-4.779592360484013,C,E,0
Heterosexual,D,-44.97858854106387,D,-151.04656659655416,B,E,0
Heterosexual,E,-47.61683187949593,E,139.86667701437437,B,A,0
Other,D,-151.7205361591036,B,110.71239949612423,A,B,0
Other,E,-66.37752317410998,B,-17.729571472850857,E,C,0
Heterosexual,A,41.46086764048677,D,-84.95750291175234,D,E,1
Other,B,-23.038426317575773,A,37.51669256664986,C,B,0
Heterosexual,E,34.20942687633776,D,91.42181787467975,E,D,1
Bisexual,A,-12.293063077745856,A,27.068975092581756,E,E,0
Other,E,21.296097612542546,B,133.49024480810164,E,B,0
Bisexual,B,186.5209249600324,D,129.68025892766917,B,A,0
Heterosexual,D,30.203743177712823,B,112.59125999684983,A,D,0
Other,D,54.226771849909625,A,140.15029699317367,A,E,0
Other,D,140.50496773533632,C,-74.53334043315263,A,A,0
Bisexual,B,-21.884782518809605,C,151.33829360567154,C,A,1
Heterosexual,B,-2.374183449909457,E,-80.69891985256639,D,B,1
Bisexual,E,23.864047998580183,E,101.23157103580003,B,C,1
Heterosexual,C,-156.77728557938357,B,-55.37320118772946,B,D,0
Other,B,-79.51557155884647,D,132.7955418905039,A,A,1
Other,C,3.837697394241562,E,-14.869449557173004,D,D,1
Homosexual,C,177.67578596611077,C,-72.07723068301112,C,B,0
Other,A,-151.26544640838472,B,-39.61421645871354,B,D,0
Heterosexual,E,-27.02748018299454,A,115.03008902233123,C,E,0
Homosexual,C,36.11081625831515,D,52.239873837684804,E,C,0
Homosexual,E,-32.568004850609924,A,-125.20994283336617,E,C,1
Homosexual,E,-117.38851884861323,B,-80.30505238468508,D,E,0
Bisexual,B,54.42037557097541,E,-150.4648258628555,D,E,1
Homosexual,B,73.58973339929167,C,-14.146141901699075,B,D,1
Heterosexual,D,-77.90030581363816,D,41.4758804149302,D,D,0
Other,E,-48.728705402688824,D,5.518008334537668,D,E,0
Other,B,-125.58745114652376,C,9.223171836040027,E,D,1
Homosexual,D,153.8427724578962,A,252.7845078209328,E,A,0
Heterosexual,D,118.81477823367965,D,-64.19783932554068,C,E,1
Homosexual,E,54.73230052852852,B,-93.7263776637336,B,B,1
Homosexual,C,-13.842335662449672,C,1.545200470196909,E,B,1
Other,E,-0.8821438442704965,A,-277.1172310930997,B,D,0
Bisexual,E,-21.609571681198098,B,-2.6135812976776256,B,C,0
Heterosexual,E,86.41230723094705,C,-33.69862382372528,A,C,1
Bisexual,E,-66.47461061693794,B,-23.489179760269074,E,C,1
Bisexual,C,44.77198991238566,B,-58.10362987874612,A,C,1
Heterosexual,B,-37.8798798638647,C,52.526614969192906,B,D,1
Homosexual,E,-213.77116629070034,A,-41.22290074844871,C,A,1
Other,B,77.86549977991145,E,220.95652137215075,B,E,0
Heterosexual,E,34.85690685618137,A,51.71926894004938,E,A,1
Bisexual,D,158.83208158428238,B,72.62704449572564,C,D,0
Other,D,-41.649227840784484,B,28.932247987677723,E,C,1
Homosexual,A,-48.355267538080945,A,-105.0095935023328,E,E,0
Homosexual,A,85.60526058012691,A,188.31453375118326,C,E,1
Homosexual,B,-157.40733791116676,A,-111.53826702928092,D,A,0
Other,E,53.224489662647755,D,-39.25127882248771,E,C,0
Bisexual,C,-7.441925147376276,D,28.592397835113598,D,D,1
Heterosexual,B,156.99245766546937,C,173.59268506245203,C,D,1
Other,A,99.20825368485639,E,95.08185071243014,A,A,0
Bisexual,B,-74.75610882689769,A,-18.11333831349354,D,B,0
Bisexual,D,153.33077586294695,C,-67.23672456381397,E,E,0
Bisexual,E,-60.49204994498687,A,157.48850455438387,A,D,1
Homosexual,C,-39.35095032136803,D,129.8417795157462,B,A,1
Other,C,-26.098656487688316,E,-71.22140576030536,E,D,0
Other,D,-207.43482736532695,D,42.07041565008339,A,B,0
Heterosexual,C,-92.24237918655906,D,-46.729761617408826,E,D,0
Bisexual,A,39.77384392713865,B,80.92438665052134,E,D,0
Homosexual,B,2.4191522533948917,E,84.18968633217949,E,A,0
Heterosexual,C,-200.09977964931102,A,111.36623937983335,A,C,0
Heterosexual,D,75.19467987554512,B,130.80559403663744,A,D,0
Other,E,-102.93137213159633,C,91.25560197227176,E,E,1
Homosexual,B,-122.84035709629875,E,-100.86598376578277,E,B,0
Bisexual,D,45.0601443715874,C,-56.4788906386116,E,C,1
Homosexual,A,-34.679271710513916,D,-176.55615501310544,E,A,1
Homosexual,B,-30.883356365812446,D,-115.60015973045927,C,D,1
Homosexual,C,-183.14769850801076,B,-10.114534761539195,E,E,0
Heterosexual,E,-68.59925291179016,B,-46.41325259483343,B,D,0
Other,E,-85.29570260127198,C,-100.42122113219183,D,A,1
Heterosexual,C,110.97739532689106,C,-34.42896157694514,B,C,0
Homosexual,A,39.618154989197464,D,93.99238097217916,D,B,1
Other,A,-7.328599304117708,B,-156.98467133655015,A,C,1
Bisexual,D,-57.06929395516443,B,-146.44826409160643,D,B,0
Homosexual,D,50.39133535289444,B,46.352632180895846,D,D,0
Heterosexual,A,109.04019617329543,D,-97.52520707549036,B,C,0
Heterosexual,B,95.02898632600717,A,60.4664184814111,C,B,1
Heterosexual,E,-109.9321764871213,B,15.815216038688948,C,B,0
Heterosexual,D,-55.40862511480674,A,147.30907038400477,C,C,0
Heterosexual,A,68.54585508109233,B,-33.75689201466854,A,D,0
Heterosexual,A,-5.39536459344305,A,-102.37055685854526,C,B,1
Homosexual,C,50.371319816680874,A,-59.84829092977711,A,C,1
Heterosexual,D,-124.95719060345749,D,205.75619744613016,D,A,0
Heterosexual,D,144.93743389874737,C,1.52235419377605,C,A,0
Bisexual,A,-188.30582192266772,E,114.46859262633022,C,D,1
Bisexual,E,0.9701236469420909,D,-49.611763810618925,C,D,1
Bisexual,A,-110.2118306775145,B,13.886797911002354,C,C,0
Homosexual,A,58.82339109624882,C,-189.5159313536339,B,E,1
Bisexual,B,-58.504575604646035,D,-101.30289574631652,D,D,0
Heterosexual,E,-88.77546539526706,E,167.50759980596186,E,D,1
Bisexual,D,13.98076425496587,C,-67.95606541474768,C,C,1
Heterosexual,A,-54.62194302654845,C,28.657990848643355,A,C,1
Heterosexual,E,31.02921059859007,E,3.983027886146066,A,D,1
Heterosexual,E,-157.3606600062721,C,-31.56090875457707,D,C,0
Homosexual,A,-84.59817567609215,C,64.68335961527879,A,D,1
Heterosexual,B,252.39713912442613,A,-144.88859710025847,C,D,1
Other,E,-87.07327889494569,E,-63.87267438668065,D,D,0
Bisexual,C,68.65499394710429,D,24.48798436833152,D,B,1
Homosexual,C,-133.95028863656552,A,174.26724236948118,A,C,0
Heterosexual,E,174.81313813429685,A,-30.6688412963308,B,A,0
Other,A,-95.33437919204715,E,-59.011098711775375,D,C,1
Heterosexual,C,-5.8644315536949865,D,-60.46176203866993,D,A,1
Homosexual,D,-55.20366444656458,E,-134.02608184707253,D,C,0
Heterosexual,A,6.643817281380684,D,39.186148745436334,E,D,0
Homosexual,B,20.189031451912758,A,-4.479088219137025,E,C,0
Bisexual,E,117.75245177225312,C,-34.026017221584276,C,B,0
Other,C,78.89647763306098,D,-153.46956244007842,A,A,1
Bisexual,C,-4.1678837081806215,B,62.45317493925731,D,E,0
Bisexual,D,-113.10952438763474,D,195.06174948151124,E,E,0
Heterosexual,D,187.49917711007765,E,144.6570902250661,A,D,1
Other,C,-54.89365369140107,C,-19.914166678289092,B,B,0
Heterosexual,E,-126.37966278063124,D,-113.3758645917489,E,E,0
Bisexual,C,-116.84906556779924,B,13.276622052790108,E,A,1
Other,B,164.23290772794067,A,-58.73240578321036,A,A,0
Other,E,-24.757332929172293,D,-63.00490824659033,E,E,0
Heterosexual,D,77.64778813910308,A,-13.19662288635803,E,D,0
Heterosexual,E,167.50834281993096,C,-115.24272257860481,D,C,1
Heterosexual,B,172.52704984914337,A,-35.65615200227116,E,B,1
Bisexual,B,53.854740756848905,B,-10.292639609334616,C,D,1
Heterosexual,C,116.4916610908044,B,96.84799463795079,B,A,1
Other,E,58.516087397308034,B,-3.954645690627091,C,C,0
Heterosexual,E,125.53461172209579,A,97.11950909977747,C,E,0
Homosexual,C,91.21127617905351,A,177.82702912124492,C,A,0
Heterosexual,D,45.261424380207586,C,98.65827363101532,D,A,1
Bisexual,E,31.973336711835486,B,-20.833580830330593,E,B,1
Heterosexual,B,-39.17941346122703,E,-152.95900453523703,C,E,1
Heterosexual,E,-92.74970401441979,C,-32.44675331032704,A,D,1
Other,E,45.45274184049123,B,-27.50713114505363,A,E,1
Homosexual,D,84.02101957692675,B,56.921847086281005,D,C,0
Other,E,43.17628628283814,D,55.28635957307989,D,D,1
Homosexual,B,129.68618603932342,A,64.08477642863087,C,C,1
Bisexual,A,25.927050860732038,D,12.809513433587721,A,C,0
Bisexual,A,-10.127585045422363,C,-22.26025925952597,A,D,1
Heterosexual,C,-130.27403999134484,B,-219.4905962239352,B,E,0
Bisexual,B,-24.93451656633627,C,-91.32057829364302,B,E,0
Bisexual,A,161.66708460195355,E,99.09827209924413,C,E,1
Bisexual,C,46.377046606571746,C,-3.066425732209223,E,D,1
Homosexual,A,-48.83616888921057,D,-137.71245067801482,A,B,1
Heterosexual,C,27.262745207240812,E,-200.88788977342546,B,A,1
Homosexual,D,-147.63553114747072,B,-113.1706890767853,E,D,0
Homosexual,B,40.97605891477482,E,-140.64180627244536,E,E,0
Bisexual,B,86.54319064846067,D,-207.56897206302182,B,D,1
Other,B,-57.439118705354986,B,-111.7540551146429,D,B,0
Homosexual,B,-100.95732081845559,D,-29.58076540706127,D,C,0
Heterosexual,E,-98.60974080784129,E,63.87991416260243,C,B,1
Bisexual,B,19.338283731936613,D,-3.8040084270183647,E,A,0
Bisexual,C,11.964483943373079,A,58.56467382269619,E,E,1
Heterosexual,C,160.4429246249189,C,-8.291557824647924,D,C,1
Heterosexual,B,135.2869539687489,B,-75.15067470377993,D,D,1
Heterosexual,D,-170.2614191567339,C,-24.86241534384651,A,D,1
Other,E,-157.67189866422535,E,57.160862560055456,B,D,0
Bisexual,D,-128.94036403208653,A,-34.27664546722077,A,D,1
Heterosexual,C,-35.67441544853237,E,-258.03024873281373,A,A,0
Homosexual,C,24.27247405907476,C,18.554972721206507,A,B,1
Bisexual,A,15.185144845828088,C,-102.08664950129547,D,C,0
Bisexual,A,-232.59003541777585,A,131.31553691679093,B,A,1
Heterosexual,A,109.38639974967703,C,70.6663246244812,E,E,1
Heterosexual,E,-83.31453182793291,E,31.285920794153217,C,B,0
Homosexual,D,-0.25011468499226586,A,87.06120053106287,C,B,0
Bisexual,E,132.97992517945835,B,-0.11958442309212061,D,A,0
Other,D,260.357603682816,B,9.090793186392519,C,D,1
Other,A,114.76119820849328,D,91.11278209426922,A,B,0
Bisexual,A,27.122699210482658,B,146.04833760054692,C,A,0
Heterosexual,E,97.79371344486812,C,157.3337884707342,C,C,1
Other,C,-166.4970511010277,B,177.72534550786915,C,B,0
Homosexual,D,3.7870138104930127,B,-66.46960837504655,D,D,0
Homosexual,C,104.98734622711916,B,-62.924674230466124,C,E,0
Other,A,169.44513193634282,B,58.07918816116396,A,C,1
Homosexual,B,49.50242861089852,A,-12.415594131712021,C,E,1
Homosexual,D,-82.34272498039844,D,-184.85227270028162,C,E,1
Other,E,-102.64919582391252,B,120.64236562833995,B,A,1
Bisexual,E,29.00196432772047,B,8.308081155089658,B,D,1
Other,C,-26.09128382671779,C,-88.70417966436524,C,E,1
Heterosexual,E,58.29375530115447,E,-97.91091072168375,E,A,1
