nation,religious_affiliation,Veteran,marital_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
China,Other,Yes,Widowed,93.97750323752936,-183.83800773777352,B,B,37.04576524671999,A,B,0
UK,Muslim,Yes,Single,-119.59622482578442,-119.64584014497824,B,A,125.5265222872548,C,E,1
Brazil,Muslim,No,Single,75.39774484476618,-97.69527049700895,D,C,31.869693007680834,C,B,0
Germany,Muslim,Non-Veteran,Single,111.57112023661671,3.094402501747393,A,D,-126.11804462300611,E,E,0
Mexico,Muslim,No,Married,-46.476931652896724,78.06842594923828,D,B,127.60113623103135,A,C,1
Germany,Jewish,Yes,Widowed,39.00274155690362,147.9348746228204,E,A,148.29643880082764,B,D,1
India,Other,No,Widowed,23.85733676016638,-107.62253929708187,D,E,36.1293067286952,A,E,1
China,Buddhist,No,Divorced,-36.85998980500652,71.50376361432716,E,C,130.63126024998485,B,E,0
Germany,Hindu,No,Divorced,-141.28959281171737,-159.94038105034275,D,A,74.11904897408247,B,B,1
UK,Other,Veteran,Married,-53.64350584152364,141.78059241635012,E,E,156.16584593910784,A,A,0
UK,Jewish,Veteran,Single,92.1553044379166,63.74316228885974,E,C,70.85822515706003,C,A,1
China,Jewish,Veteran,Married,-168.732982265638,-32.35061235941151,D,B,-80.40596043221589,C,C,1
India,Hindu,Non-Veteran,Married,-136.7014192459031,8.65657062659378,B,C,21.241664940937085,C,B,0
India,Christian,Yes,Widowed,-6.029893497562544,190.7099044808858,E,A,103.7160961316423,B,C,0
Germany,None,Yes,Divorced,-112.26579759012085,-170.10161447441422,D,D,-37.21543194861386,E,D,0
China,None,No,Divorced,-48.61280454512097,13.128851511139908,C,D,104.37097742174419,C,C,0
Brazil,Hindu,Yes,Single,130.0921536975398,170.7700503222716,E,C,-148.36970061610367,E,D,1
Mexico,None,Non-Veteran,Divorced,66.83761841561163,-88.42387585301555,B,E,139.64910404770424,D,D,1
Germany,Jewish,Yes,Widowed,61.63294304289158,-30.65279350409474,B,E,146.19578392992318,A,A,1
India,Christian,Non-Veteran,Widowed,67.09724405361631,-11.144490548141059,B,C,-24.0137258804468,C,E,0
US,None,Yes,Divorced,-21.29032452628975,58.30728085381346,A,B,-0.43991008820011945,E,D,1
India,Hindu,Non-Veteran,Single,48.35936817474494,4.1507767088728365,B,A,43.80378550918324,B,C,0
India,Christian,No,Divorced,70.28880122889495,-13.310680723660306,A,C,19.194292188726138,E,E,1
Other,Buddhist,Non-Veteran,Single,-184.7941113066765,-55.646885356428236,A,D,17.769952279648482,A,A,1
Brazil,None,No,Single,34.418769345701996,27.89136359873201,A,C,34.64062458292972,C,D,1
India,Muslim,Veteran,Widowed,-25.30327323853824,175.22180055298685,B,D,153.9430372626667,E,C,0
UK,Christian,No,Divorced,-33.12208035495793,59.958491527416854,B,E,-52.64503132136088,C,A,0
Germany,Jewish,Veteran,Married,130.6541576640953,29.069065841168445,D,B,-95.59299957355587,D,A,1
Brazil,Other,Yes,Widowed,-54.73588285863914,-146.2584087159477,A,E,-73.79964398868658,B,A,1
Germany,Other,No,Widowed,0.24371159455498398,-29.428335894042622,D,A,128.81633465703806,B,D,1
US,Hindu,Non-Veteran,Widowed,127.60556783467123,86.20551541737046,A,E,-200.0981317951422,D,B,1
Mexico,Jewish,No,Divorced,-135.41663822243132,8.391535336175759,B,C,14.499205120268302,C,C,1
China,Jewish,Non-Veteran,Single,-127.9187012030036,-51.13182098638098,B,B,27.69211839155975,B,A,0
Mexico,Hindu,No,Married,32.77457517432367,153.2115693688438,C,D,62.91203546130263,D,E,1
Germany,Jewish,Veteran,Single,-217.01667017532688,22.60198808813605,A,C,-104.48219679330708,C,D,1
Mexico,Muslim,Veteran,Divorced,-132.1701720915724,-82.68426339180343,B,B,45.57788608354613,E,B,0
Mexico,Hindu,Veteran,Divorced,58.89147203338716,54.73092212356568,B,A,-16.155104393241494,B,D,0
India,Jewish,No,Single,284.01457896197593,-44.477659623011576,D,B,-88.25584846177064,A,C,0
Other,Jewish,No,Single,-86.10763193470025,28.187670301697054,D,C,-26.931024581882163,B,E,1
India,None,Veteran,Widowed,21.601265997359544,64.77680683826938,B,B,-119.02579498765269,C,C,1
India,Muslim,Non-Veteran,Married,59.03562854356051,51.519515087580636,E,C,10.505409361250255,B,C,0
US,Jewish,No,Divorced,62.882915574034136,31.072521275483865,D,E,-34.372174689664114,E,A,0
UK,None,Non-Veteran,Single,195.66269407680159,-43.450238496362225,A,E,109.94613823256503,E,C,1
Germany,Buddhist,Non-Veteran,Widowed,-54.730854735679976,60.334651087138646,D,D,8.295498490019082,D,C,0
Germany,Hindu,Non-Veteran,Divorced,91.72479520443491,15.205057741045835,B,A,-135.25261425426726,D,B,0
China,None,Yes,Widowed,-68.97278219080752,12.520709007683434,C,A,-0.512455659345178,E,A,0
Mexico,Christian,Non-Veteran,Widowed,61.18986591076605,-64.04235896850278,C,D,-108.40112901448879,A,B,0
Other,Other,No,Divorced,-58.41470309268896,139.69827316679155,C,E,-31.323599120528513,B,C,0
Mexico,Muslim,No,Divorced,68.34675807707359,149.52824891742674,E,D,-79.12535329837256,E,C,0
China,None,No,Widowed,-131.16593280620557,-123.16568007875483,E,D,19.92787110177349,D,D,1
Mexico,Christian,Yes,Married,-116.31070204154936,27.497969566540043,A,A,32.348289782022164,C,B,1
Brazil,None,No,Single,-133.16209772278322,-16.41793703622968,D,C,-206.6434068843806,B,A,0
Brazil,Buddhist,Veteran,Divorced,64.7743022287603,191.62178515596077,B,D,-159.77892240266874,C,C,0
US,None,Yes,Widowed,-17.813619309145594,61.35256022603232,C,B,53.7048006680653,B,E,1
Other,Christian,Non-Veteran,Single,-119.43649516509602,-73.01892014407603,A,A,-153.00681256339777,C,E,0
UK,None,Veteran,Married,56.82759254095055,-45.13760891603109,A,A,-226.42802936481195,A,E,0
UK,Buddhist,Non-Veteran,Widowed,43.0138252298845,179.53521269335678,C,C,-91.11497199805285,C,B,1
Germany,Other,No,Widowed,-81.64715963185651,-46.370300595278025,A,E,69.94605084724579,B,A,0
China,Other,Yes,Divorced,-0.5757036841775652,3.570677184752027,A,C,31.184357267801648,A,B,1
US,Hindu,Yes,Married,-12.592857394210158,-1.3678137179237526,B,D,20.60074167873737,A,E,0
Other,Muslim,Veteran,Single,1.6463161112302573,-192.05079078734707,C,D,88.64557809085794,E,D,1
India,Buddhist,Veteran,Single,-143.53114311665072,-128.52515637637325,B,A,-136.04711640315148,A,B,1
China,Buddhist,Non-Veteran,Married,148.70581413394592,-31.234186282168903,E,C,48.713836908853544,C,E,0
Mexico,None,Yes,Divorced,127.91617936183368,43.12399363473226,A,E,286.4313301474585,D,A,1
Mexico,Christian,No,Divorced,-50.66381592351568,215.5524416847567,A,A,15.919571279278221,E,D,1
China,None,Non-Veteran,Widowed,-29.94389939779458,-34.959283391318955,D,B,-61.2592042193471,C,E,1
Brazil,None,Veteran,Single,121.1550149123362,-111.23781920849424,C,E,14.782890745194463,E,E,0
US,None,No,Divorced,89.80742278080722,-42.51639226390003,E,B,-54.94873486028443,D,D,0
Germany,Muslim,Veteran,Divorced,-25.954247704803034,9.705249231288972,E,B,100.91333987598432,D,C,1
UK,Muslim,No,Married,6.89605745735541,-35.24426587622712,D,E,-93.2448276840547,D,A,1
UK,Hindu,Non-Veteran,Single,-77.14475158730653,95.76762213002793,C,D,48.45570151714275,A,C,1
Other,Buddhist,Non-Veteran,Single,224.69184895282254,65.77327747330357,A,E,7.384927004007009,B,B,0
UK,Other,No,Married,81.58065928974996,-69.19760997217705,D,E,-57.716568698758444,E,C,0
Brazil,Buddhist,Veteran,Single,-24.140664926091258,60.17243717539882,D,D,-77.00437352968012,B,A,0
Germany,Buddhist,Non-Veteran,Single,55.16708690350748,-50.26341466238989,C,D,-13.427214689534974,A,A,0
UK,Jewish,No,Married,63.30608364481976,90.15598946317115,A,E,13.333266163540083,E,C,0
China,Other,No,Widowed,127.12719154858034,224.08602088301515,C,D,-17.642430061357604,A,D,0
Germany,Jewish,Yes,Single,-47.99833437471533,4.434982285141376,D,D,-40.61248128351573,B,C,0
China,Hindu,Veteran,Divorced,-23.52460079607491,174.01726197472053,D,E,-52.36191446399623,B,E,0
India,Jewish,Non-Veteran,Widowed,-3.443532519060224,98.69352129661823,B,B,92.33517702020288,B,A,0
India,Christian,Yes,Married,124.27304196594055,50.65510688450349,B,B,134.27264421618472,C,C,0
UK,Buddhist,Veteran,Widowed,-94.20153496925575,175.18896197439494,A,B,28.53045134970145,D,E,1
Brazil,Jewish,No,Divorced,-1.4810488194282407,179.80477716917738,D,B,-67.58594335786735,C,A,1
Germany,Christian,Non-Veteran,Widowed,242.3192254211335,77.82224878875128,D,D,-108.60067141272597,A,C,1
China,Hindu,Non-Veteran,Divorced,288.39574670730264,32.680853631896554,C,C,-128.90436100833182,E,A,1
India,Buddhist,Yes,Married,-19.98889916914923,-145.01971902338607,A,E,41.477597487640345,C,D,0
US,Christian,No,Widowed,-99.00503059604353,108.0703565576687,A,C,-138.1161541643705,C,C,0
US,Buddhist,Non-Veteran,Single,-75.51756853420024,-89.83491601588618,C,B,-49.21815631517312,B,A,1
US,Buddhist,Veteran,Married,-78.26608384492499,123.26550229525137,A,C,-174.6144961710624,A,E,1
Other,Muslim,Yes,Divorced,-30.575598173181262,122.38573226207139,D,B,221.21070117302176,D,D,0
India,Buddhist,No,Divorced,-227.1494152563651,33.256549857813404,B,C,-54.20453833623131,E,D,0
Mexico,Buddhist,No,Single,-122.89557525659383,39.788601801540295,C,D,-45.15575705071186,A,E,0
Germany,Jewish,Veteran,Married,62.90924943563202,141.103439539134,C,D,-59.037750038917956,D,D,0
UK,None,Veteran,Single,118.43619793330689,65.01342972492944,B,B,137.7958765526901,E,E,1
Other,Christian,Yes,Married,32.270873582336876,223.65618704841035,A,D,65.19382271589984,E,D,1
Mexico,Christian,No,Divorced,27.269871977762488,-87.40105300241862,B,C,-90.56839978602409,D,D,0
China,Hindu,Non-Veteran,Widowed,-142.35779167246662,-45.80944252898286,B,E,67.41250679384262,D,D,1
UK,Buddhist,Veteran,Single,212.8046972188937,-72.30049670582721,E,C,-84.96267947326292,E,A,1
India,Christian,No,Married,-149.46664820308453,70.32111146303987,C,B,-32.74466531623445,C,C,0
Other,Jewish,Yes,Widowed,-124.78590445704714,-182.98396716490805,C,B,-0.9917207149932096,A,A,0
Germany,Buddhist,Non-Veteran,Divorced,22.933798541627056,123.34884211282038,E,E,-17.78915686456447,A,C,0
Germany,Hindu,Yes,Divorced,-28.060762063999817,-56.74169608147318,D,C,118.30573697985727,B,C,0
Other,Muslim,Non-Veteran,Single,-181.34697424788266,99.86819194313688,D,B,-86.058446738941,B,D,0
Germany,Muslim,Veteran,Divorced,-143.77346938229024,23.612882723964574,C,D,153.12536367751758,D,E,0
UK,Muslim,No,Widowed,57.80288161218188,-97.53774430071915,A,E,20.687834233107164,B,D,1
UK,Other,No,Divorced,32.735577571407845,-71.1093276399969,D,C,-84.94836997951275,D,D,1
UK,Christian,Veteran,Divorced,-164.07660448662378,-16.2726576985674,B,C,-5.064545489554926,B,C,0
Other,None,Yes,Widowed,55.41992834960732,82.74510533482994,D,E,-172.74434420095574,D,D,1
Mexico,Jewish,Yes,Divorced,-56.76777386069832,-74.77422031454954,A,B,128.7509797061161,E,D,0
Brazil,Jewish,Yes,Widowed,244.52982630563068,79.92022803049612,B,C,-81.77825498514785,A,D,1
Brazil,Jewish,Veteran,Widowed,-23.051462604819132,64.37532260362777,E,A,-39.44139625730578,D,D,0
China,Buddhist,No,Widowed,62.635396916061616,30.375997568922198,E,E,140.95824108775108,D,B,0
India,Buddhist,No,Divorced,-23.401571461454434,-58.516200984125476,C,A,-128.6240780048132,B,A,0
Brazil,Christian,Non-Veteran,Married,108.59313490865519,256.3768548366595,D,A,-136.8030773803958,E,C,1
Other,Hindu,No,Single,73.61136451127095,-49.49488994144453,A,B,-91.12104546722254,C,D,0
UK,Other,Non-Veteran,Married,100.82082125743088,-0.3374941137473188,E,D,-99.41453874333965,B,E,1
UK,Hindu,Non-Veteran,Divorced,3.499951526162585,10.18347252157409,B,C,-106.53036544010905,E,B,1
UK,Other,Veteran,Single,31.43657807469143,63.344720252246404,D,B,-10.442289344807204,D,D,0
US,Other,Yes,Divorced,178.06562784667878,-74.69642222036265,B,A,36.583055693552666,B,A,0
India,Muslim,No,Single,-182.5028628026249,-21.987902768986785,C,A,-71.88408782749576,B,E,0
US,Muslim,Yes,Married,122.6994939330478,36.762315996260334,C,C,236.74467946636238,E,C,0
China,Christian,Veteran,Divorced,-112.91789425115407,81.7575819937566,C,B,27.55581319543782,E,E,0
China,Buddhist,No,Married,30.90389472183746,53.68985685422367,E,D,28.68647797997921,A,A,0
US,None,Non-Veteran,Single,154.69492955798523,128.29862289659155,C,E,160.17391166185976,D,A,1
US,Other,Veteran,Widowed,-290.1032407613683,137.55444357255334,C,D,-17.345814598188262,D,E,1
UK,Hindu,Yes,Widowed,29.592143911899026,-74.54738198654054,C,D,119.44858121357083,E,B,0
US,Other,Veteran,Divorced,16.855363618954286,-63.0034298657707,D,E,-127.15797610406241,E,B,0
India,Buddhist,No,Married,-115.14324627385106,38.676579363172635,E,A,-84.81352317525624,A,A,0
India,Buddhist,Yes,Widowed,-127.8841825860312,-129.7929877963643,A,B,-147.66598906272148,C,E,1
US,None,No,Divorced,107.36685790696284,1.2550044858562501,D,A,62.676102683661625,D,B,1
Brazil,None,Non-Veteran,Widowed,-26.794030298352766,-77.835143717557,B,C,-20.07756612797042,D,B,1
China,Muslim,Yes,Single,-157.7040802172438,185.08909603173535,B,E,72.32367551187565,D,C,1
India,None,No,Married,-101.28641243284954,-60.88827198171104,C,A,80.68748185407834,A,D,0
Germany,None,Veteran,Married,61.66215165487638,-6.0404442689523945,D,C,-27.98433402334794,A,C,0
UK,Hindu,Yes,Divorced,-157.89810917081067,41.599889323909416,B,E,-21.217372673023508,A,C,0
UK,Other,Veteran,Widowed,9.613311283819298,-77.15053538915221,A,C,106.69937088189789,B,C,1
China,Buddhist,Yes,Widowed,-26.364552612236974,41.288381472111205,C,C,22.864021874475412,E,B,0
UK,Hindu,Yes,Married,-174.12821539312102,74.1203385086689,D,B,-73.62677276995046,A,B,1
UK,Hindu,Non-Veteran,Married,132.946475059038,73.75782087255631,E,B,6.747020419538989,C,C,0
UK,Buddhist,Veteran,Married,-79.28591106339769,26.331514465179062,E,E,100.2396241276507,C,A,1
Other,Muslim,No,Married,95.55455305705385,36.4241568081415,E,D,55.763722770462365,D,D,1
UK,Jewish,Veteran,Widowed,81.75133298728339,-125.94863511034966,C,C,2.1306617699976194,E,D,1
Other,Muslim,Veteran,Widowed,-65.71193026264648,143.90391080254773,B,D,18.27415656973242,C,B,0
UK,Muslim,Yes,Widowed,-93.08972570245699,-141.2908256477708,E,A,97.42516349770376,E,B,1
India,Buddhist,No,Single,-8.286108766536165,-93.1337343393799,D,B,-51.46990621460687,B,E,0
Other,None,Yes,Widowed,4.784714208283071,-61.286803040573346,C,E,-127.6977437495974,D,C,0
US,None,Non-Veteran,Widowed,194.64460287325718,3.8511661597082707,A,A,-99.75874047764773,C,E,1
Germany,Other,Non-Veteran,Married,-7.747171686958172,-44.11342286879588,E,C,-209.99125986441493,D,C,1
Other,Muslim,No,Widowed,-51.273169998807774,92.90707808723234,E,E,47.943563097532994,C,D,0
Mexico,None,Non-Veteran,Divorced,-126.295989068493,-135.26581745213176,E,A,10.481937283443674,D,C,1
Other,Jewish,No,Single,-155.14554454272624,103.71133854624375,D,C,-60.9173195079634,A,E,0
UK,Buddhist,Non-Veteran,Divorced,42.39936460761789,60.9464262303342,C,B,124.93005136544197,E,A,0
Brazil,Jewish,No,Married,-0.18173639817913623,-133.2879332997591,E,B,117.20009857134153,B,B,0
China,Hindu,Yes,Widowed,-0.252946847304552,-82.85258968136465,A,E,-1.8834759772889347,B,E,1
Mexico,None,No,Widowed,42.54596749433325,-133.04897621401867,B,E,-145.660171810658,B,B,0
China,Jewish,Veteran,Single,103.05100020831756,131.06945130752342,E,D,60.70182120095154,C,E,1
Other,Hindu,Non-Veteran,Divorced,105.7251892970031,88.45566062283585,A,C,173.30379975782319,A,C,0
Other,Hindu,No,Married,5.809325041923611,-192.33489708137407,E,C,141.9865373734431,E,C,0
Germany,Christian,Non-Veteran,Married,181.31863261317386,72.55637729209134,E,E,65.26594564584012,E,D,0
Brazil,Muslim,Veteran,Widowed,17.120822345564406,-10.15066558386571,C,C,110.72833339607146,A,E,0
Mexico,Buddhist,Non-Veteran,Divorced,75.28499462913108,-77.49055285013925,E,E,54.195165374291555,C,B,0
UK,Buddhist,Yes,Single,64.11372413835835,144.37864719917536,D,E,46.61797207295427,A,A,1
Brazil,Buddhist,Veteran,Widowed,-21.56348480884671,109.78085023583179,A,D,-0.5684296932534499,B,A,1
US,Christian,Veteran,Divorced,-123.36728883654094,-12.139873350140139,C,B,-81.40171379549376,E,E,0
Mexico,Buddhist,Veteran,Divorced,-95.01234155217811,-108.4599302894858,E,B,-62.60733334300569,E,B,1
UK,Buddhist,Yes,Widowed,203.0593582640738,8.089337688810794,C,C,95.25829749468927,C,D,1
Brazil,Christian,Veteran,Divorced,-110.81512642407102,134.93206344837995,C,D,-105.98517690780274,E,C,1
UK,Muslim,Non-Veteran,Widowed,140.35466342047556,123.80985167766919,E,C,-170.46121452871915,E,C,0
Germany,Jewish,No,Widowed,52.81157435611653,-1.7125034955274363,C,B,-50.345357280013516,A,E,1
Other,Other,Veteran,Widowed,118.97201504292627,130.68671319849494,A,B,-11.112221755558767,C,E,1
Other,None,Yes,Married,100.05457002583388,19.51433153452301,D,D,-246.0162907461279,C,A,0
India,Jewish,No,Widowed,-7.679430935887336,-72.09778044746255,E,E,27.382483133734002,B,C,1
US,Christian,Veteran,Widowed,-50.23150215792923,-138.1275819585281,B,C,52.67585434531773,A,E,1
Brazil,Christian,Yes,Divorced,82.65134908613952,7.308242077594261,B,D,207.94833211623015,D,A,1
Other,Muslim,Veteran,Widowed,-11.135479285771629,60.284100073993464,B,B,98.00996822672107,B,D,0
Mexico,Hindu,Veteran,Divorced,149.11031746089634,8.33127639075488,E,E,-18.761637739503076,B,C,1
Germany,None,Yes,Single,42.49739898389005,45.237221652259244,D,E,-92.02989253569098,E,B,0
Mexico,None,Non-Veteran,Single,95.20482423781527,123.31664241432337,C,D,71.45983911826076,B,C,0
Other,Jewish,Veteran,Divorced,-55.922390517315456,-52.89681148691094,A,D,-52.65324646500339,B,C,1
Other,Muslim,Veteran,Widowed,24.28128926986497,-31.50692575287275,C,D,-11.916498311933017,B,C,1
Brazil,Muslim,No,Widowed,-54.05015171548384,74.44307516488838,E,A,97.80313247108685,C,C,0
UK,None,Veteran,Widowed,10.952890756978361,63.68358449493989,D,B,86.77018408633539,A,C,0
US,Christian,No,Single,-109.60727219381543,100.77319989879337,E,E,-62.12853344255258,D,A,0
US,Hindu,No,Married,22.310158341904813,-107.64335759097727,C,C,45.42759178150447,E,C,1
UK,None,No,Married,-93.72267920939565,128.30768173530728,B,E,115.7703294830451,E,E,0
US,Buddhist,Veteran,Married,4.321106955356088,-26.210450653152556,D,E,-298.16797611927586,C,E,1
Brazil,Christian,Veteran,Divorced,67.60794530116559,138.3851698163208,A,A,-245.16651926529113,E,B,0
Mexico,Jewish,Yes,Widowed,-74.84748228939478,-3.2971739617005156,D,E,-77.5118852909554,E,E,0
Mexico,Christian,Yes,Divorced,-40.18659361458499,127.88362692165411,E,C,32.34455175610246,D,D,1
UK,Jewish,Veteran,Widowed,58.372689228707756,37.369135475689276,A,B,-25.16598608511746,B,C,0
Brazil,Jewish,No,Single,-16.450506087682413,150.47166316852434,D,D,-154.9975452358891,B,C,1
India,Other,Yes,Single,-35.62219147824105,157.007862219512,C,B,49.86160457015147,C,E,0
Germany,Muslim,Veteran,Single,-133.08195841494577,-37.64155697532425,E,D,-44.4000161097411,A,B,1
UK,Muslim,Veteran,Single,-16.024815403922606,-35.30922813342862,C,D,68.95982288684746,B,C,1
Germany,None,No,Married,230.9581282500163,-51.696730032033976,C,E,72.59430341656531,A,D,1
Mexico,Jewish,No,Single,34.802117224993495,-147.16481427974938,A,D,-41.980884055370446,A,B,0
India,Jewish,Non-Veteran,Widowed,87.74923865100591,16.50067593657863,E,D,251.28280148917074,C,D,1
Other,Jewish,Non-Veteran,Widowed,32.20506911535145,-42.281368629585714,C,D,88.8459883826106,B,B,0
Brazil,Other,Non-Veteran,Widowed,95.84888502625557,83.34281224787667,A,C,-7.036883167917998,A,C,0
Germany,Other,Non-Veteran,Married,104.86133630305477,25.976512944139195,D,D,1.2225628134121287,A,B,0
Brazil,Buddhist,Veteran,Divorced,81.53241614715222,179.9781615744377,E,A,137.0969357743088,C,E,0
US,Jewish,Yes,Widowed,67.05412432638141,-87.46275048878539,E,C,-63.510913330804875,E,D,0
Brazil,Hindu,Non-Veteran,Single,6.6878628437704775,-164.25500884330216,D,A,-23.109765842860966,D,E,0
Mexico,Muslim,Non-Veteran,Single,-30.933010928710345,-58.952126213353296,A,A,65.54072108144683,D,C,1
Mexico,Muslim,No,Widowed,74.18153750520788,1.714282165472162,C,C,-62.236083233120155,D,D,0
Mexico,Christian,No,Single,167.13873723572857,33.781618700191025,C,A,75.30649091745225,B,C,0
India,Muslim,Veteran,Widowed,29.75034938855669,14.541172188361672,D,A,184.78838874304387,E,E,1
US,Other,No,Single,-80.05737296121063,-139.44083770444163,D,C,-181.41427028096427,D,D,1
India,None,Yes,Single,-48.277742845321505,106.09962422439621,A,B,-112.58540121786191,E,A,0
China,None,No,Widowed,-17.849225454438887,-162.9206423246058,B,A,-168.2518949404559,C,A,0
China,Other,Yes,Married,8.408162250502855,98.48691539468716,E,E,-23.76157351471249,C,B,0
Germany,None,No,Married,112.35606325095881,-30.361121922046873,B,C,-55.77166377002278,C,E,0
US,Christian,No,Married,65.67403267752425,-145.7187074429251,A,E,129.44183813967075,B,C,1
UK,None,Yes,Married,7.983056022884079,181.05568272525176,E,D,-84.3824655033684,D,C,1
Germany,Christian,Veteran,Widowed,52.6037648346723,18.456839449912305,A,C,-83.04993802010134,B,C,1
Brazil,Buddhist,No,Widowed,-30.627528626247024,-89.99769836368928,E,C,-3.1998765017666937,A,C,0
US,Hindu,Yes,Divorced,6.626394644586544,-132.27917288623425,A,C,25.436464868116275,B,C,1
Mexico,Muslim,Non-Veteran,Widowed,79.44008911105335,46.65931327976313,C,D,-5.501219128058265,B,E,0
Brazil,None,Yes,Widowed,113.68444367018229,-22.005971927295757,D,E,-7.031030740869356,D,C,1
Germany,Other,Veteran,Widowed,120.91228085939818,80.22082322576782,C,A,-49.89158181694555,D,E,1
Brazil,None,Yes,Widowed,5.600295922419452,-25.751819084783705,E,C,67.55034092545827,C,E,0
Germany,Other,Yes,Married,-87.27620281938621,114.45480798112943,B,C,-63.32734314562883,D,C,1
UK,Hindu,Yes,Single,-53.34597296264062,196.64618163224813,B,C,193.55557540832567,C,C,1
Brazil,Jewish,Veteran,Divorced,140.42635015795918,-49.39262173369566,E,E,38.36142200263611,D,A,0
India,Jewish,Veteran,Married,54.008055720479675,-3.058133919758194,D,C,-75.94743730464023,B,D,0
Brazil,Jewish,Veteran,Married,377.41086917289704,99.39964028574457,B,C,83.60341835790656,B,D,1
Other,Hindu,Non-Veteran,Divorced,-7.13770103739555,75.25766723913665,D,A,-190.82245915258778,C,C,1
Mexico,Other,No,Widowed,-196.68990189666204,-2.5230727226945078,C,B,130.0437069420414,D,B,1
Brazil,Buddhist,Veteran,Married,-74.25110879467692,55.143251975064636,D,B,-80.60680924615988,C,A,0
Germany,Hindu,Veteran,Widowed,-183.3846610838044,84.59232380189134,A,D,-58.61306756344587,C,E,0
India,Other,Non-Veteran,Single,60.71977258049549,-162.30763332174217,C,D,143.76022379620036,E,C,0
Germany,None,Non-Veteran,Single,155.28418694497137,34.578662294168836,B,C,-48.23513479912233,B,B,1
Other,Other,Non-Veteran,Married,-81.97542160459096,-99.75449832179791,D,B,2.6851087849220545,E,B,0
US,Christian,Non-Veteran,Divorced,59.65920888631119,-47.3337481656185,D,D,24.765681108907437,D,C,0
UK,None,Veteran,Single,-23.05082413060134,44.605835315871325,C,C,-61.45243321091074,C,B,0
Germany,Jewish,Yes,Divorced,2.5890285055245355,43.28560657051136,E,D,29.527418824640595,B,C,1
Mexico,Hindu,No,Divorced,-49.265337601658175,-27.979865229590732,E,E,10.565142374631693,E,C,0
India,Hindu,Yes,Divorced,-108.90971838280788,68.42330554868023,D,B,101.14361745353786,D,D,1
China,Hindu,No,Widowed,-44.07935616103125,-177.9171608536451,D,D,-31.73077443621673,A,A,1
US,Christian,No,Widowed,122.97354009665216,26.867145885646202,C,B,-97.05633204352344,E,B,0
Brazil,Muslim,Veteran,Widowed,50.783727617583395,-28.38125569858051,C,B,-4.708333661706683,B,D,0
Germany,Other,Veteran,Divorced,-6.9146399514826875,-59.501419421954225,E,B,66.58512201859871,A,C,0
US,Buddhist,Veteran,Single,-0.6329376832550927,45.49864090764707,D,C,-72.46683758378447,A,B,1
China,Hindu,Veteran,Widowed,-104.32097550309878,26.615177518325982,D,B,59.150460849966755,E,A,1
US,Christian,Veteran,Single,12.406297535603263,-54.54808769693986,C,E,-23.581413173450862,C,C,0
Germany,Jewish,Yes,Single,114.981879378496,-110.3630648387528,E,E,66.76342964229062,D,C,0
Mexico,Buddhist,No,Widowed,-99.44258213303394,37.99198395899799,B,B,-47.27126657598886,D,C,1
Mexico,Other,Non-Veteran,Married,-10.646405739808372,142.61512417500916,E,C,48.652386451175026,B,E,1
Mexico,None,Veteran,Single,144.58605094983236,-113.22730718346199,D,D,-81.77435745866907,D,A,0
India,Jewish,No,Single,38.58793093895987,59.56984367127151,C,E,158.36267874721187,D,D,1
Other,Other,Non-Veteran,Married,-92.53036919010789,-136.48297046144822,D,E,-28.43886113363926,E,E,1
US,Christian,Non-Veteran,Married,125.35839261873902,61.13898930511533,E,A,147.12913254869156,E,A,0
India,Jewish,Veteran,Widowed,-43.99374562702761,131.2903194475651,E,A,-21.35939469257863,C,D,1
Other,Christian,Non-Veteran,Married,201.75827790840214,28.470764918160995,D,C,-25.872534408225338,A,C,0
Other,Other,Veteran,Single,-22.63704374366711,66.47250935275078,D,D,-266.7523660401568,E,C,0
US,None,Non-Veteran,Divorced,-58.77516103754454,138.3953878347137,E,B,-6.52089583149236,C,C,0
Brazil,None,Veteran,Single,-137.44404169762478,-50.68433887381213,E,E,-16.85969377203556,D,B,1
Mexico,Other,Veteran,Widowed,96.88436835023207,60.22532849480465,B,C,20.153107985855524,B,E,1
UK,Buddhist,Veteran,Single,24.974842983530177,-111.16892918325858,E,A,-48.49476806869485,D,A,0
China,Muslim,Veteran,Single,64.1221720734114,54.96230658396699,B,B,1.5470082903849267,B,B,0
Brazil,Jewish,Yes,Widowed,5.9992941231354715,92.14325895880765,C,E,-53.675332585737436,D,C,1
India,Buddhist,Non-Veteran,Single,-44.2363256218373,11.31991635782989,B,D,-16.321790580145613,E,A,1
UK,None,Yes,Widowed,129.8245173646578,-66.93028525867656,B,B,212.0561329165925,E,C,1
UK,Muslim,Veteran,Married,-181.44328129202808,-177.65218396634944,D,E,105.01226075257787,A,A,0
India,Jewish,Veteran,Widowed,-35.896393674881736,132.65126285342313,C,D,82.9640033845394,A,A,1
US,Muslim,Yes,Single,-63.045342854966705,83.11969951204684,C,B,130.2734886839603,E,C,0
Germany,Muslim,Non-Veteran,Single,173.24209108610555,-79.88944657083648,A,C,57.49825134422362,E,B,1
Brazil,Buddhist,Veteran,Widowed,-168.5754394109045,-107.43096671257182,A,C,28.53777517204256,E,A,1
UK,None,Non-Veteran,Married,203.78028370140075,-78.93604650449916,C,B,131.7025396382962,B,B,0
