Race,country,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Asian,US,D,B,A,B,A,-51.83592350326776,B,1
Other,UK,E,C,D,C,A,52.2014707139886,B,0
Hispanic,Brazil,E,B,C,D,B,-13.16009874318059,C,0
Other,China,E,C,A,D,D,-24.183337234541007,C,1
White,Other,B,D,A,D,D,165.15225875863115,E,0
African American,Mexico,B,A,A,D,C,-151.45265487940722,A,0
White,India,B,C,E,E,D,103.21369363473237,D,0
African American,Brazil,E,D,C,C,C,-102.89661399127044,A,1
Asian,Germany,C,E,E,D,B,88.63844115673906,D,1
Hispanic,India,A,A,E,C,A,-81.95113247596638,D,1
Other,UK,D,D,B,B,D,10.474196680298299,A,0
Asian,China,B,C,C,B,D,117.78735587218891,C,0
Black,Mexico,A,B,B,D,E,-116.43650083257873,C,0
Other,Brazil,A,D,E,A,E,91.96712765465197,D,1
Black,India,D,B,D,C,E,130.42509517883053,A,1
Other,US,E,A,D,C,E,9.980264623344313,E,0
Other,China,B,E,D,B,D,-148.79299538831032,C,0
Asian,UK,E,A,D,D,C,-153.37809399486795,E,1
Asian,Germany,B,A,C,D,C,159.62196474569927,A,0
Other,UK,C,D,B,B,D,101.88050320170356,E,1
Other,India,D,A,E,C,B,57.445616048222504,C,0
Asian,US,A,C,B,C,B,-175.76732533175476,B,1
White,UK,A,A,D,E,A,-183.38271658085822,D,0
Hispanic,India,D,C,C,D,E,-28.606015222598153,B,0
Black,Other,B,D,B,A,A,179.62091665764953,A,1
African American,Other,B,A,C,E,D,-30.45987409369174,B,0
Hispanic,Mexico,C,C,D,E,A,-157.2026476056503,E,0
White,India,B,E,B,C,A,-9.492743261913134,E,0
Hispanic,Brazil,A,C,A,D,A,139.93181722834726,A,0
White,China,A,E,D,C,E,45.56696600480329,C,0
Hispanic,Germany,A,B,A,E,E,-114.99368751189986,B,0
White,UK,E,B,D,B,D,-91.4486754020665,A,1
Black,Other,E,A,A,D,A,-15.223834455844695,C,0
Asian,Brazil,B,A,B,C,D,-34.26481826072757,E,0
Hispanic,China,B,E,E,C,B,-29.592152276851213,C,0
Black,Other,A,B,B,E,B,-37.107812023331086,C,1
Asian,UK,B,C,C,B,B,-169.91457420606258,A,1
Black,China,E,E,C,E,E,30.86838985601838,C,0
Other,Germany,A,D,D,E,B,-80.47655343198842,D,1
Other,Germany,B,C,C,C,C,20.04038908658101,D,0
Hispanic,Mexico,D,C,B,C,D,18.511355259250323,D,0
Hispanic,Other,E,A,B,D,C,55.83423319061556,B,0
Other,Mexico,B,C,E,A,D,33.10399581860401,E,0
Black,Germany,C,D,A,E,B,-7.693260762398786,B,0
Hispanic,Other,D,A,A,C,A,-234.61496785914798,A,1
Other,Germany,A,C,C,E,B,11.344612530634913,B,0
African American,Brazil,D,B,A,E,B,-129.19210856190952,A,1
African American,Mexico,E,B,C,B,B,74.08612348553612,C,1
White,Brazil,C,E,D,E,B,-78.92337383433474,C,1
White,UK,D,C,E,D,A,-301.1492104398807,C,0
Asian,Other,A,D,B,C,A,159.43058663939394,B,1
Asian,Other,C,D,B,E,A,37.366987268518514,E,0
Hispanic,India,B,D,E,D,E,83.94986587805914,B,0
Asian,Brazil,C,B,D,A,E,-53.91779006159676,D,1
Black,Other,C,A,E,B,C,-205.29332526153507,D,1
Hispanic,UK,B,C,A,B,C,-71.90629069511932,D,1
African American,US,B,E,D,C,A,118.6113042150845,B,1
Hispanic,Mexico,B,A,A,A,E,20.213152484794133,A,1
African American,China,C,E,B,D,A,-111.2841031537054,C,0
Hispanic,Germany,E,B,E,A,C,104.75590076583873,A,1
African American,Brazil,E,E,E,E,E,31.222432531935784,C,0
Black,China,C,B,E,A,A,-66.33172718834611,A,0
White,Germany,E,C,A,E,A,153.45459398723827,C,0
African American,UK,E,A,B,D,C,116.67150709242655,D,0
Other,China,A,C,C,E,A,-101.5253823041393,B,1
Other,Germany,B,B,C,A,C,-2.947948717358748,B,0
Other,Germany,A,A,E,B,D,-5.187158367315531,E,0
African American,Brazil,E,C,E,E,B,-94.51110956227726,A,0
Other,UK,E,B,A,C,C,61.93265551260436,C,1
Other,Other,A,D,A,E,D,26.026171681715216,A,1
Asian,China,C,E,A,B,C,-69.37678839781434,D,1
Other,Other,C,D,B,C,B,23.021541211930817,C,1
African American,India,D,E,A,D,A,96.02228331480505,A,0
Black,Other,B,E,E,B,B,20.468133752551132,A,0
Asian,Brazil,A,B,C,A,B,79.56883995828889,B,0
Black,Germany,C,E,C,C,B,105.70938970575936,A,0
Other,UK,A,E,A,D,D,7.936346090335412,D,1
African American,UK,E,E,D,C,A,-149.10142001884813,E,0
Black,Mexico,D,B,E,B,D,-178.7713643638572,B,0
White,India,E,D,A,E,C,250.53870766785593,E,1
Asian,China,C,E,A,B,B,132.44987016236092,C,1
Asian,UK,A,A,D,B,B,11.355461437493213,E,0
African American,Brazil,B,E,A,A,A,45.947242842056085,E,1
Hispanic,US,E,B,C,D,C,-133.39909590203413,E,1
Asian,Other,C,B,A,B,E,145.75609573193944,A,1
Black,India,D,E,D,B,E,-81.0899540645805,B,1
Black,UK,A,B,A,E,B,-167.7397488415143,D,1
Black,Germany,C,C,A,C,B,-114.86764466680451,D,1
Asian,China,E,D,C,E,A,-3.057324728602782,C,0
Asian,UK,E,C,E,D,A,31.266828868244612,D,1
White,China,A,B,A,A,B,-16.295345970864144,C,1
White,Other,E,A,B,C,A,-14.726774836897905,D,1
African American,China,A,E,C,A,D,168.4231406183453,A,1
White,China,E,B,C,D,C,-39.06936390671628,D,0
Asian,India,C,E,B,E,B,-11.891623132105982,C,0
Black,Mexico,E,E,E,C,A,-213.09613954775318,D,1
African American,Mexico,E,D,B,C,C,-190.77650387415278,C,1
Other,Brazil,E,B,B,E,A,-57.73626716287386,B,1
Other,Germany,D,B,E,A,A,-43.62130594996778,C,1
Asian,India,D,C,B,C,D,-53.460565309007045,D,0
African American,Germany,A,D,A,E,B,172.95009141531366,E,1
White,China,C,D,E,D,B,-30.260238328511324,B,1
Black,Brazil,C,A,E,B,E,-59.22041743423384,B,1
African American,Other,A,E,C,C,C,-13.78681319904707,B,1
Other,India,C,A,D,B,B,9.090573189869572,B,1
Black,China,B,E,A,B,E,-30.392247062383916,C,1
Hispanic,Germany,C,D,A,C,B,-16.415627491066285,D,0
Black,China,A,E,D,E,C,109.73320762407694,B,0
Hispanic,Mexico,D,A,E,A,D,-111.78268966822264,D,1
White,Other,E,B,D,E,D,-178.19288016135565,E,1
Asian,US,E,A,C,C,B,42.665231269690786,A,0
Other,UK,B,D,E,D,D,-37.62968262115539,C,1
White,Germany,A,E,D,D,E,68.01779549465155,D,0
White,Other,D,A,C,E,C,-91.38104908313952,D,1
African American,Germany,B,E,C,A,C,-126.13292079428156,E,1
Other,Germany,D,E,C,C,C,134.77060115824872,B,1
White,China,C,B,C,E,C,60.096908735099234,D,0
African American,US,A,E,C,D,C,17.786862020757635,D,1
Black,Brazil,D,B,C,B,A,2.0901432370032555,A,0
White,Other,B,C,A,B,E,-18.793552042955092,B,1
Hispanic,Other,E,B,B,C,A,-243.35587875500636,A,0
White,China,C,D,E,A,D,182.60398090753142,A,1
Other,US,C,C,C,B,B,-61.18742218277878,E,1
Asian,India,C,B,D,A,E,136.07297182155818,B,1
Asian,Germany,D,E,C,D,A,-202.1013637010304,A,1
Other,Germany,E,C,D,D,E,229.6856897752413,D,0
Black,India,D,E,E,D,C,-26.886998021943743,E,1
White,Brazil,A,E,E,B,E,45.11088546009542,B,0
Asian,China,A,C,A,C,C,-258.70758536698617,E,1
Hispanic,Brazil,E,C,A,E,E,3.7989617958611577,C,1
African American,Mexico,B,B,D,A,E,-85.12125084473597,B,0
African American,US,E,B,C,E,E,-3.112792052547833,C,0
Hispanic,Germany,E,E,C,B,D,-88.60197416162441,B,0
Other,US,D,A,C,C,D,38.25800440908557,E,0
Hispanic,China,A,E,C,B,C,-170.74140705240416,E,1
Asian,UK,B,E,D,D,B,172.47831109746014,D,0
African American,Germany,D,B,A,A,B,-4.137875906343039,B,0
African American,Brazil,B,E,D,B,D,-129.55231582593228,E,0
African American,UK,D,A,A,C,A,91.83810973825517,A,0
Other,India,B,D,B,E,A,20.56471237688769,A,1
African American,Mexico,C,A,C,E,E,100.05372012641097,C,1
African American,Mexico,B,A,A,A,D,88.94808760228243,B,0
Black,Mexico,C,D,D,C,B,85.16226891393663,E,1
Black,Mexico,D,E,C,C,E,73.14161941837452,D,0
Other,US,D,B,E,D,E,-94.36017720278815,C,0
Asian,India,A,B,A,A,C,-124.91386299192064,A,0
Other,Brazil,E,C,A,A,D,123.47465097446918,D,1
Asian,US,B,E,A,B,C,-198.5245751882065,E,0
Asian,US,A,D,D,B,D,39.68737345682914,B,0
Black,UK,E,D,B,E,A,10.676907051568158,E,0
White,Germany,E,C,E,D,A,50.1152461316388,C,0
African American,Germany,C,A,B,E,D,79.46002583589052,B,0
African American,Mexico,B,B,E,D,B,-2.152009625106502,D,0
Hispanic,Brazil,B,B,A,B,B,59.63663684946015,A,1
African American,Germany,A,E,C,D,C,-10.640734633757727,A,1
White,Germany,D,E,A,C,A,-20.535409544320746,D,0
White,Mexico,D,B,B,A,B,-161.470739767928,A,1
Hispanic,Mexico,C,E,B,C,E,-17.01984333891045,A,1
African American,Germany,C,D,B,E,D,-5.190739477851062,A,0
African American,UK,D,A,B,D,C,-82.35974074489357,E,1
Other,UK,D,E,C,E,D,-89.64901838460119,D,0
Other,US,E,D,E,C,E,81.73806509048389,D,0
African American,Brazil,C,B,C,D,A,251.8473664860325,D,1
Black,Other,C,C,B,D,D,117.25428435257628,E,1
White,Germany,B,C,B,E,A,87.52203796924204,B,1
Asian,Other,E,A,D,A,E,-10.976295726087953,D,1
African American,UK,C,E,B,B,A,56.99681709871336,D,1
Hispanic,Germany,B,D,D,A,A,43.09405410901505,E,0
African American,US,A,C,E,B,C,-61.40725390330958,C,0
Asian,Germany,D,B,A,C,C,28.258143595320185,D,1
White,UK,A,C,D,A,E,-22.720851916386067,B,0
Other,US,D,D,C,E,B,131.22286486491348,C,1
Asian,Mexico,B,D,D,C,A,-15.639847957147321,E,1
White,China,B,D,D,C,A,125.64870271986565,B,1
Asian,UK,C,B,A,D,B,18.110626841581276,A,1
Other,US,C,A,E,B,C,-107.22451581100128,B,0
African American,Other,A,C,B,E,C,-44.688482490008894,B,1
Black,India,A,D,A,D,B,21.69644235909599,A,0
Other,China,A,B,A,A,C,160.48308040691546,C,1
Hispanic,China,A,E,C,A,B,-4.724202606702713,E,0
White,India,C,D,C,B,B,-44.255053094371895,B,0
African American,UK,C,B,C,E,D,21.019657233413934,D,1
Other,China,D,C,D,C,A,-32.40630890870415,D,0
Other,Other,E,C,D,B,B,-90.30122534182942,B,0
Other,UK,B,D,E,A,B,-123.2446225214729,E,1
Asian,UK,D,C,C,D,B,43.210009504950506,B,1
Hispanic,Mexico,E,B,E,D,E,47.72371977580645,A,0
Asian,Brazil,D,C,D,B,C,-107.46335034684569,E,1
Asian,Brazil,E,D,D,B,D,115.35137045032762,D,1
Hispanic,Mexico,B,B,E,A,B,88.10154317494613,C,1
African American,India,B,B,C,A,A,63.87515407336696,C,0
African American,UK,C,D,A,C,B,-147.18169959118336,A,1
African American,Germany,B,D,C,A,E,163.42514730027025,C,0
White,US,D,E,B,C,A,10.541438706672714,E,0
White,India,C,C,D,C,E,-251.02703342363463,E,0
White,Other,A,D,D,B,A,-23.202650340802883,B,1
Asian,Brazil,B,C,C,B,E,-0.36966884911395065,B,1
Other,Brazil,A,B,E,E,B,-135.36386221195914,D,1
Asian,India,A,C,D,A,C,25.016427852806967,B,0
African American,India,E,B,A,D,B,-74.72012908975707,E,0
Hispanic,India,C,D,C,B,D,-0.7531864294068252,A,1
Black,UK,C,B,D,C,A,-15.281987774362795,E,0
Black,Germany,D,C,C,E,E,-43.85103895008439,B,0
Hispanic,Mexico,D,A,E,C,E,-170.56524213938073,B,1
Black,Mexico,A,C,E,E,B,83.38843395739455,C,1
African American,Brazil,B,A,C,C,D,146.5362465903228,A,1
Hispanic,Germany,B,E,B,E,B,-77.42666809711733,D,1
White,Other,D,A,A,E,B,91.4834859584949,B,1
African American,China,E,E,B,A,B,-34.35792052142842,A,1
White,India,C,A,D,A,C,-107.92178877427064,E,1
Black,Germany,A,D,A,B,C,66.08940564080584,B,0
Black,Other,C,A,D,D,E,-23.329071962445553,A,0
White,Mexico,D,D,E,A,E,-120.62391035931131,D,0
Other,US,A,E,B,E,B,-124.35807478804135,D,1
African American,Other,B,B,E,A,B,-36.04563856230732,D,1
Asian,US,B,B,B,E,A,99.27790021015508,E,1
African American,Other,B,A,B,A,C,-24.591413837928727,D,1
Asian,Germany,D,C,E,B,B,-69.95635524013848,B,1
Black,India,E,E,B,E,A,-62.04603387396905,D,0
African American,India,B,C,D,E,D,133.19194846882803,B,0
Black,India,C,C,C,E,D,-111.14940801643145,D,1
Hispanic,Mexico,D,D,E,E,B,-64.81907729337645,E,0
Asian,US,D,A,D,A,B,31.017462115759802,E,0
African American,US,D,C,B,C,E,6.856382116686321,A,1
Other,UK,C,B,E,E,C,-67.49030553268418,A,0
Other,Other,B,D,C,B,A,-89.76223614124983,B,0
Other,China,A,D,D,A,A,131.70819850319594,A,1
Asian,Other,B,E,B,D,E,95.14842834770477,A,0
Black,US,A,D,E,A,E,-14.418861667014824,D,0
White,Germany,A,E,B,D,C,37.14942578186456,C,0
Asian,India,E,B,A,A,C,182.2331593259744,A,0
Black,Other,C,E,C,D,A,-15.107447241480282,D,0
Asian,Other,A,B,D,E,E,72.9597345057915,C,1
Asian,Other,C,D,C,C,A,88.20266575690194,E,1
Asian,Brazil,D,E,C,C,E,12.278085607751192,E,0
Other,Brazil,E,E,A,E,D,-31.913908742109133,C,0
Asian,India,D,E,E,B,C,-36.45122718193223,B,1
Other,India,E,E,B,C,B,-139.49295173190617,E,0
Other,India,A,A,D,A,C,192.34325803607283,E,0
African American,UK,C,D,C,B,A,147.46738346195357,B,0
African American,Mexico,D,D,B,E,C,4.35037481140332,E,1
Other,China,D,A,D,A,E,-14.622095127878321,E,1
White,Mexico,E,B,A,A,D,-19.516082817773267,E,1
Black,Brazil,B,C,D,C,E,-109.33086799302356,E,1
Other,India,A,B,D,E,D,-16.649834931111844,C,1
Asian,UK,D,D,A,B,E,-91.00534360139028,A,0
Black,India,A,D,C,B,A,-71.5893392070848,A,0
Black,US,D,B,C,A,A,121.23752567660557,E,0
Black,Brazil,C,E,D,E,B,-164.13895899391832,C,0
Black,India,A,A,D,E,A,88.07519537775612,C,1
African American,Germany,A,B,E,C,B,-85.35795480323421,E,1
White,China,D,B,C,E,C,-60.12615994070176,A,1
Asian,China,A,B,A,B,E,-9.670504034286004,E,0
White,UK,C,C,B,C,B,-101.61587466941391,B,0
Hispanic,Mexico,E,B,D,D,C,49.185665105915746,A,0
Black,Brazil,B,D,E,E,C,-166.12446901974081,A,1
Other,UK,E,B,D,D,C,96.61297997387184,E,0
Other,US,D,D,A,C,B,-7.030214667670435,D,0
White,UK,C,D,B,B,D,51.206039799782765,A,0
African American,Brazil,B,B,A,A,E,-57.42270311226605,B,0
Black,Germany,E,B,B,A,D,111.83518786277753,C,1
Hispanic,Brazil,B,C,D,C,C,-170.8367377083083,D,1
Other,Brazil,B,C,D,C,E,-56.20510417923804,E,1
Black,Brazil,A,C,A,E,E,-43.41648141588486,C,1
African American,US,C,E,D,B,D,57.98059278710288,D,1
Asian,Germany,E,D,D,B,A,39.93382238508134,E,1
Black,Other,D,E,B,D,B,54.258128074947045,D,0
Black,India,D,D,C,D,E,75.46141064609424,E,0
White,Germany,D,C,D,C,A,74.32535970478823,D,0
Black,UK,A,C,C,E,D,68.12674594268138,A,1
Asian,Mexico,A,B,E,D,E,-2.7470646666219998,B,1
African American,US,B,D,E,A,C,-104.94016834726894,E,0
Other,UK,E,E,D,E,A,-142.96155409675208,A,0
Black,Brazil,C,A,E,E,D,-51.599638359652545,A,1
African American,Brazil,B,A,A,C,B,215.37825057274236,B,0
White,Brazil,B,A,A,C,B,-61.52524531234973,A,0
African American,UK,C,A,E,B,A,-11.374465598942821,E,1
Black,Brazil,B,D,B,A,A,106.3945895567384,A,1
Black,Germany,D,C,E,B,D,12.618223609593343,B,1
Hispanic,Other,C,B,D,E,E,121.89887400322775,C,0
Other,Mexico,E,A,E,D,A,-62.6314105147894,E,0
African American,US,A,A,D,A,B,66.77829742638738,B,1
White,Germany,E,A,E,B,E,78.74688169847433,C,0
White,China,E,A,B,E,A,17.621326343487834,A,0
White,Other,D,D,E,C,E,-21.09306888063567,C,0
White,China,C,A,C,C,A,-76.0882071310578,B,1
Asian,UK,B,D,C,E,E,-32.48522976930622,D,1
White,US,A,A,E,B,B,-112.49725517409995,D,0
African American,Brazil,B,E,D,A,E,20.052838151232955,E,0
Asian,India,C,E,B,D,C,72.44717547299317,D,1
White,UK,B,D,D,D,B,103.98195643852131,D,1
Black,US,D,B,D,D,A,184.35003863795367,C,0
Other,UK,C,D,C,B,B,-131.3212783785668,C,1
Other,India,D,C,D,A,A,71.44789785886529,C,1
African American,Other,A,B,B,B,E,37.97617541036746,B,0
Asian,US,C,B,B,C,D,113.17635931620778,D,0
Black,Other,E,D,E,C,C,165.627105977765,D,1
Hispanic,Mexico,E,A,C,A,C,-21.715034587181066,E,0
African American,UK,E,D,C,C,A,-25.63796571529182,B,0
Asian,Germany,B,C,E,C,B,59.06077202826218,E,1
White,UK,A,E,E,B,C,-166.4744329172428,E,1
African American,China,D,B,D,E,C,-0.12931402992411364,C,0
African American,China,E,C,D,B,A,-26.742956341282813,A,0
Hispanic,India,E,E,A,B,A,-7.061690458563971,B,1
Black,India,E,E,C,E,B,26.416531256277135,B,0
Black,US,B,D,D,A,E,5.96868816700393,A,0
Other,US,B,E,D,D,D,-91.00860427151748,D,1
Other,India,C,A,B,E,C,-42.24491017316085,A,0
Asian,Germany,C,B,E,C,E,114.78385328569334,E,1
Other,Mexico,A,D,D,E,C,120.7539397875259,E,1
Black,China,A,C,D,A,A,-261.01225640488576,E,1
African American,China,B,D,B,B,E,196.58251162491635,A,1
Asian,Other,A,D,B,A,A,53.93524700926893,D,0
Hispanic,Germany,A,E,A,E,B,-90.16175596856128,D,1
Hispanic,Other,C,D,C,C,A,-48.0234549885394,A,0
Other,US,D,B,C,B,C,3.7835830294622133,B,1
African American,Brazil,C,D,B,D,D,42.368775785069126,E,1
Other,US,D,D,B,D,E,61.79690909527077,E,1
Black,US,E,C,A,B,A,120.56529947897462,A,0
African American,US,C,A,D,D,C,-130.80249483992102,C,1
Black,Brazil,D,E,B,E,C,-88.26128647812624,B,1
Asian,UK,B,C,E,D,D,132.2915849029924,B,1
Black,Other,A,C,B,D,C,19.478626636143332,E,1
Other,India,E,A,B,D,C,82.21215038322585,B,1
African American,China,B,A,A,B,D,45.677108933620715,E,0
Black,China,D,D,B,E,C,-82.96632680719704,C,0
Other,China,B,B,E,B,D,86.25817452918852,D,0
African American,Germany,A,D,A,C,B,-44.92693889930987,E,0
White,Brazil,E,A,C,D,C,10.227474202843815,B,1
Asian,India,D,C,D,E,A,72.99663634643036,B,0
Asian,Other,E,A,A,D,B,50.69252360692632,E,0
White,Brazil,D,A,C,A,E,-149.35069926450853,D,1
Other,Germany,C,B,C,E,A,25.452893190333164,B,1
Black,India,B,A,C,D,B,15.21949972147838,C,1
African American,Other,D,B,C,D,E,-29.07218039210626,E,0
African American,Mexico,A,B,B,A,B,-65.95655136639532,D,0
Hispanic,Mexico,C,A,C,A,B,-54.08927688586137,E,0
Hispanic,China,A,A,A,D,C,-28.547687076411666,C,0
Asian,Other,E,B,E,C,E,22.81621878054225,A,1
Asian,Germany,A,E,D,A,B,-32.87549962037059,A,0
Other,Germany,E,D,C,E,C,-134.5378226222862,D,0
Black,US,D,C,C,A,D,-98.32116104004311,B,1
Other,Germany,E,A,E,D,E,-55.74425963918731,C,1
Asian,UK,C,E,E,E,C,91.21676710255225,A,0
Black,US,E,E,C,E,D,27.673228902741997,D,0
African American,India,D,D,A,B,B,-75.38904970129146,D,0
Hispanic,UK,C,C,A,B,A,-29.898995394606114,E,0
African American,UK,E,D,D,A,B,-16.481172669804785,B,0
White,India,C,C,E,E,C,-97.15872371274259,E,0
Asian,Other,D,B,C,C,E,6.262810025228224,D,0
White,UK,A,C,B,C,C,99.63130959429058,B,1
African American,China,A,A,B,A,E,2.7032718666845157,E,0
Asian,US,E,B,C,A,A,41.3822541767051,D,1
Hispanic,India,B,C,A,C,A,48.31248832234815,C,0
Hispanic,Brazil,A,B,E,D,B,91.35820764073375,B,0
White,Mexico,D,C,B,C,D,8.676233586260246,D,0
Hispanic,UK,E,E,D,C,A,-133.37500667856125,A,1
African American,Other,E,B,A,E,C,-80.26391123664463,E,0
Hispanic,Germany,E,E,C,A,B,-3.474528489073066,E,0
Asian,China,D,D,D,D,E,-68.72881531170466,A,1
Hispanic,Germany,D,B,E,C,D,26.19514910037043,E,0
Asian,India,B,C,A,B,A,120.42346848327688,A,0
Asian,US,B,C,A,E,A,65.13008554405295,D,0
Other,Mexico,C,D,D,C,C,-21.515869270427068,E,1
Asian,China,D,C,A,C,E,-23.880218193197543,C,1
Black,UK,D,C,D,D,D,95.08614143809743,B,0
Black,UK,A,D,C,C,D,-58.307065154534435,E,1
White,Germany,E,C,B,A,C,-22.55165446713743,E,1
Black,UK,A,B,A,D,A,-26.293707232554297,A,1
Hispanic,Germany,E,A,E,A,A,64.57584332339069,E,1
Hispanic,Brazil,D,B,C,C,D,26.971269887557575,E,1
Other,China,C,C,C,E,D,47.2485932075953,A,0
White,US,D,C,E,C,D,-140.4764915553361,B,0
African American,China,D,B,A,B,D,16.07959782426864,D,1
Asian,China,A,A,B,B,D,22.15026268188628,A,1
Other,UK,E,D,E,B,C,2.2148416593649136,C,0
Hispanic,UK,A,B,A,E,B,-128.39498410033332,B,1
Hispanic,US,B,E,A,C,C,-79.94553579331316,C,1
African American,Other,A,A,D,C,B,68.77340075924548,B,0
Black,Other,D,C,E,E,C,51.82215608246015,E,1
White,Brazil,E,D,A,B,B,-55.95901141985973,E,1
Asian,Brazil,A,B,C,B,A,176.76980199695248,C,0
Asian,Mexico,C,C,A,A,D,-26.163048926170067,C,0
Hispanic,China,A,B,E,E,B,73.59486228787662,C,1
White,Mexico,C,A,E,D,D,174.42263986863878,C,0
Other,Mexico,E,E,C,C,E,9.992929730754067,D,1
Asian,UK,D,B,D,E,D,-82.14185342103725,E,1
Black,Brazil,D,C,B,B,E,-160.711997237192,E,1
Black,Mexico,C,E,C,B,C,-45.48054879429912,C,1
Hispanic,US,B,A,A,D,B,-71.52469649539411,E,0
Asian,Germany,D,E,E,B,D,-14.585083531655116,A,1
Asian,Germany,C,D,D,E,A,10.657808033894733,C,1
African American,UK,B,E,D,E,A,111.15912409775864,D,1
White,Mexico,B,C,D,C,C,-46.74371926451923,A,1
Asian,Germany,B,C,A,C,A,144.67144364638506,A,0
Black,UK,A,E,D,E,A,97.78004021471668,D,1
White,Mexico,A,B,E,A,C,48.14928585266148,C,1
African American,Germany,B,C,D,E,C,80.53724371104806,D,0
Other,India,C,C,A,C,A,92.10893429293992,B,0
White,China,C,E,A,B,A,152.74168937789045,A,1
African American,Germany,E,C,C,B,E,115.73152799120305,D,0
Black,Brazil,A,D,C,C,C,75.73939959119022,E,1
Other,Germany,D,C,D,D,B,46.284390136727914,E,1
Hispanic,Mexico,D,C,D,B,A,-72.6269553049137,E,0
Other,UK,A,A,E,C,B,-74.98612198963829,E,1
Asian,Other,A,D,D,A,E,-118.32272777960739,A,0
Hispanic,China,A,E,C,D,D,27.911112982347703,C,1
Black,Brazil,C,B,D,A,B,-148.0507007145823,C,1
Hispanic,India,D,D,D,A,A,118.71336337120046,E,1
African American,US,A,B,E,B,B,-181.71574573325847,D,0
African American,Brazil,B,A,D,B,B,101.97120118787251,C,0
White,Brazil,C,E,D,A,C,-134.66308310883124,B,1
Other,Germany,E,A,D,B,C,69.96944215321766,B,1
Black,UK,C,C,D,D,B,-219.95912013077495,E,1
Hispanic,Brazil,B,E,E,B,A,39.19769420853795,C,0
Hispanic,India,B,D,E,E,B,8.002621373056941,E,0
African American,Mexico,B,B,E,B,A,28.572950356129954,E,1
Black,Mexico,B,C,C,C,D,110.07294907895151,A,0
Other,India,E,D,C,D,B,-69.80695768409151,C,1
Other,China,D,B,E,A,C,116.39531736543427,E,1
Black,Other,E,C,B,A,A,109.15342679315646,D,0
White,China,B,D,A,B,A,81.02107937208855,E,0
Black,China,C,D,E,B,C,164.9618496180909,A,1
Asian,Brazil,B,A,A,B,B,63.283217173445294,D,1
Asian,Mexico,C,C,D,A,A,74.7324272581844,B,0
White,Other,D,B,B,E,C,51.49092317564586,D,1
Other,China,D,C,E,A,C,-119.30201464351072,A,0
Other,Other,B,D,B,D,A,51.32113466861854,B,0
Black,India,A,D,B,B,C,1.6551004604012258,C,0
Hispanic,Other,B,D,D,D,E,120.39781895993326,D,1
Other,Mexico,E,B,E,D,B,110.70313993413023,D,1
Asian,Other,D,C,D,B,E,-105.81859627135476,A,0
Asian,India,E,D,A,A,A,123.52111213702064,C,0
Hispanic,India,C,E,D,E,E,-39.07767825598088,B,1
Black,Brazil,D,A,E,D,C,34.54087626588493,C,1
African American,Other,A,E,E,E,C,68.33374789880986,E,0
Black,China,D,D,E,D,C,54.610484365033166,B,0
Black,US,C,B,C,C,E,40.371761994098335,E,1
White,Germany,C,A,D,C,D,-86.92030369125199,C,1
Hispanic,US,B,B,C,E,E,18.1975726252582,D,0
Other,Other,C,B,A,C,B,-143.26236208830866,A,0
Black,Mexico,D,E,E,C,E,21.390512750099195,B,1
Other,India,B,D,B,B,C,409.36574239437056,D,0
Hispanic,US,D,A,E,A,C,56.995973828819714,A,0
Black,UK,D,A,B,C,B,33.59520963294858,C,1
Hispanic,Mexico,C,E,B,B,D,24.749195957395507,A,0
Asian,Mexico,D,E,C,D,A,39.664203099620025,C,0
Black,India,D,A,E,E,D,0.4187231319139571,D,1
Asian,US,B,C,A,D,E,-228.34509251552296,D,1
Hispanic,UK,E,B,B,B,A,-111.33110870430963,C,1
White,Brazil,D,C,D,A,C,-159.61991503521872,D,1
Other,Brazil,B,E,D,D,E,78.60359684266767,D,0
Asian,UK,E,D,B,D,E,-66.81474478125848,D,0
White,Other,E,A,D,E,D,-44.3178422868575,E,1
Hispanic,Germany,D,C,D,A,B,11.52512758646548,D,1
White,Germany,C,D,E,D,B,182.64241589386558,C,1
White,China,E,E,B,C,D,419.02683147212593,E,0
Hispanic,US,A,E,A,D,D,246.75298975420384,E,0
Hispanic,Germany,A,C,D,A,C,-59.73630676174633,E,1
Asian,Brazil,D,A,D,C,C,160.5642001204104,D,0
African American,India,B,D,A,C,E,-23.765595646816795,D,0
African American,Mexico,B,B,C,E,A,-146.90605668193845,D,0
Hispanic,UK,B,D,E,C,E,72.04199828089288,B,1
Black,UK,D,E,D,C,D,-11.35596997615966,A,0
Other,UK,E,D,E,E,B,18.233058761781837,C,1
Other,China,E,A,E,E,E,98.53067355294456,D,1
Hispanic,Mexico,C,A,B,D,A,-117.42207796808782,E,1
Hispanic,US,A,C,A,B,E,-146.24309293214924,E,1
Asian,China,B,E,E,A,B,109.21541933293553,A,0
Hispanic,Germany,D,C,D,C,E,-52.23829280781357,A,0
White,Germany,A,D,C,E,E,25.63148674695867,C,0
Black,UK,C,B,B,E,B,-119.099770672315,A,0
Asian,China,E,C,B,B,B,109.44550775474455,C,1
Asian,Germany,C,C,D,A,C,49.097473696046166,C,1
Other,Germany,C,B,A,B,B,135.04193846861216,D,1
Hispanic,Germany,E,A,D,B,D,115.48685316685989,E,0
Other,Other,C,D,B,B,A,-3.766528303917623,A,0
