Nationality,sexuality,Religion,disabled,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
Mexico,Heterosexual,Other,Mental,B,-150.91988072672822,-70.91913079731664,-21.436461643196818,B,C,1
Mexico,Homosexual,Other,No,B,-19.5731746463809,107.00138123281656,-123.55513824582506,C,D,1
Brazil,Other,Muslim,No,D,86.78556015048417,-182.51326432132868,-59.03908528024273,A,A,1
India,Bisexual,Christian,Both,E,144.38569818789924,192.83272921452428,-11.565168479150216,A,C,1
UK,Heterosexual,Other,Both,E,89.92175271536502,-99.94747568787304,-141.0748967011672,B,D,0
Other,Other,Muslim,Physical,B,-19.102134142401162,79.7521804760839,25.419182588333623,C,E,1
China,Heterosexual,Jewish,Physical,D,-45.81159714738433,197.8035541625389,-45.33839452873186,B,B,0
China,Bisexual,Hindu,Mental,D,13.734303628376976,101.59728784822161,-9.534017079936616,D,A,1
UK,Homosexual,Other,Both,E,-147.0194687603854,-57.19471758014119,-23.32197884056931,E,B,0
Mexico,Homosexual,None,Mental,B,-63.60399408552158,14.981640133577162,130.82273587621276,C,E,1
Other,Heterosexual,None,Physical,E,-103.5833963869337,-254.38244357629185,-49.294917447121705,C,B,0
Brazil,Homosexual,Other,Physical,B,43.27471683848098,96.02832656708588,-99.23532556354688,A,E,0
India,Other,Muslim,Physical,E,87.58225815042692,-69.02129154878975,-17.832395390343233,E,D,1
Germany,Other,Christian,No,A,15.768547285381004,75.45438980768863,18.550109568100513,C,D,1
US,Homosexual,Jewish,Physical,E,176.7360052520175,39.58597968056008,203.321646688537,B,C,1
Brazil,Other,Jewish,Mental,E,40.23324874216724,-142.8965473438285,-28.08037940721014,E,D,0
China,Homosexual,Hindu,Yes,C,-130.54177737743035,-29.79556408306061,19.565238392391347,D,A,1
Other,Heterosexual,Muslim,Both,B,128.03388957518942,64.89961796782404,44.40987571037338,B,C,0
China,Bisexual,Buddhist,Both,C,-151.79979623948722,-55.01609958593854,36.11186267329421,C,E,1
US,Bisexual,None,No,B,19.54673786570818,192.05283497685153,42.97825209051439,B,E,1
India,Other,Jewish,No,E,34.18089208013933,-34.72286767344241,-78.0236123659405,B,C,1
Brazil,Homosexual,None,Mental,E,61.27902585754521,57.42562510950285,156.76551848570736,C,B,0
Other,Homosexual,Buddhist,Yes,A,-32.060065964692804,-78.98780248140714,21.281985365173746,E,E,1
Mexico,Heterosexual,Other,Yes,D,-47.04732566588833,65.17640108649107,89.59405083401288,E,C,1
US,Heterosexual,Buddhist,Yes,E,-88.32614869653841,55.596969122838644,17.24039426403913,D,C,1
Germany,Homosexual,None,Mental,E,-57.38213036221346,23.519133751678005,-89.28007037303489,E,B,0
India,Other,None,None,E,67.25175465244122,60.616676172344164,-117.5821510320647,E,A,0
India,Other,Hindu,Both,B,7.660352067889639,28.83773592947854,99.01150349269857,C,B,1
US,Homosexual,Christian,Mental,B,1.61082636640099,12.370570931792722,-286.14284887660193,B,A,1
Brazil,Bisexual,None,Mental,B,88.99406570608687,147.09303888945712,26.16750436738034,A,A,1
Other,Bisexual,Other,Both,A,-66.37991360784038,119.21851578348858,80.89488757360368,B,B,0
Mexico,Homosexual,Other,Both,A,-113.37764269341326,225.54049611141932,-58.54390625409602,A,B,0
Mexico,Other,Muslim,Mental,A,104.25976807149742,-4.8611807949685835,-50.184128641123095,E,E,0
UK,Homosexual,Buddhist,No,B,-6.975497476806149,-116.89897735470916,-47.93579552035982,E,C,0
UK,Heterosexual,None,Mental,A,65.61783811036418,45.94998441792595,-136.35335252673696,A,B,1
UK,Other,None,No,B,-80.29154298434591,29.980141580562226,-204.79859439946196,C,A,1
UK,Other,Christian,Yes,C,21.932827306808644,-117.87650210171101,123.10947749159058,C,C,0
Other,Other,Jewish,None,A,-165.4608602687714,116.97279688517948,6.099094087740906,C,E,1
UK,Bisexual,Hindu,Yes,A,44.66234105013366,216.55482077253794,1.5350267381894336,E,B,0
Germany,Other,None,Mental,C,165.09623794752287,11.934028065545203,111.93755916729194,B,A,1
Other,Homosexual,Jewish,Both,B,75.78936570310985,109.3211046024314,-97.1322124133916,B,B,1
Germany,Homosexual,Jewish,Physical,B,12.347194559220739,36.981751054830305,134.8584914488874,B,D,0
India,Homosexual,Buddhist,Yes,B,53.05121937190028,42.775386807982485,-44.03905064201833,C,D,0
Other,Bisexual,Other,Mental,E,-87.84280844923637,-172.81873073516724,22.369528809263002,A,A,1
China,Bisexual,None,None,A,-57.08695554790035,20.386668753555163,200.96362186298867,A,A,1
UK,Homosexual,Hindu,None,D,103.26224625245976,112.36152349535458,-113.04664387234133,C,C,0
Brazil,Other,Jewish,Both,B,13.845510174068366,125.19239777125495,-45.24209265982341,B,C,0
Other,Other,None,Both,B,-183.9592441982383,78.64679681106053,-185.5976239639284,B,C,1
India,Homosexual,None,Mental,B,-89.91292618664298,-47.79227146505156,-62.7463780136444,B,B,0
China,Homosexual,Muslim,No,A,117.68587070173852,-49.61117831241099,-24.848790376558885,D,C,0
India,Bisexual,Other,Mental,E,7.4183926897226495,112.55436605735592,-33.775686024679004,D,A,0
China,Homosexual,Muslim,None,E,75.4070626670598,189.74809132589277,77.42295281601868,A,A,0
Mexico,Heterosexual,Hindu,None,B,21.38263112031145,-4.658900869269505,24.842350596438838,B,E,0
India,Bisexual,Hindu,None,E,-39.1574999693622,-154.95927828710748,191.20115664676817,D,A,1
Mexico,Heterosexual,Christian,Mental,B,8.583577608505177,85.96739566754212,144.1063554411123,A,D,0
US,Heterosexual,Muslim,Yes,B,99.56068484074738,-51.1397446702572,259.6193097754934,C,E,1
US,Heterosexual,Christian,Both,A,101.99709046550403,-30.85085181495294,113.8911991324788,A,A,1
UK,Heterosexual,Hindu,No,E,-77.92623758170912,-23.655571244046,-47.65591169695922,D,E,1
Germany,Bisexual,Jewish,Yes,A,90.22769023832436,10.311414808624834,101.38799837060111,A,E,1
Mexico,Heterosexual,Christian,Both,D,104.996173870405,-83.7829467660072,16.896603827021128,B,B,1
Mexico,Homosexual,Other,No,E,-6.743238960381016,-124.76251219079076,-68.6993876599494,E,A,0
India,Other,Christian,No,D,71.43730751763697,-24.395807193775337,-50.11412277577073,D,C,0
US,Heterosexual,Muslim,No,E,-102.26877913181096,39.64316916098253,51.678655500120406,E,C,1
China,Homosexual,None,Physical,A,135.859685567809,61.48110038600581,186.5752366968442,A,D,0
Germany,Other,Jewish,Mental,A,-61.44625278789854,-11.448151479402044,192.87668439578133,C,B,1
India,Heterosexual,Buddhist,None,D,1.5531126829077193,-266.0358990495479,30.463691342950412,D,A,0
Other,Homosexual,Buddhist,Mental,A,-46.6336168666927,-80.6700032638256,-52.989398432237664,A,C,0
Other,Heterosexual,Hindu,None,C,55.96373545823838,18.13783283057708,28.60491546698624,A,A,0
Brazil,Homosexual,Muslim,Physical,E,-30.490379422813874,184.89848072070484,67.03928365592007,A,C,0
UK,Homosexual,None,None,B,113.50388730859824,98.2275151073273,164.20132343477246,B,D,1
China,Bisexual,None,Mental,C,90.74864601916477,117.30991291032917,58.03204297141132,C,C,0
UK,Heterosexual,Muslim,Both,C,12.653452924489095,123.58827357223991,37.496313375193616,C,D,0
Other,Heterosexual,Hindu,Physical,E,-42.20042391431185,50.15374371405711,-30.406343255197655,C,B,1
Other,Homosexual,None,Physical,C,-183.34719344504032,87.68639869138244,89.52498791531748,C,C,0
Mexico,Homosexual,Hindu,None,E,4.18341795831073,-165.0719554659921,145.6882456446878,C,E,1
India,Heterosexual,Christian,No,E,-60.80906376477947,-10.44037287981038,45.389775999712626,A,D,1
UK,Heterosexual,Other,Yes,B,148.68265530166587,102.27159005253841,-53.71765195614111,C,E,1
US,Other,Christian,None,C,-53.18585479953685,-14.722586979106406,59.1306900475879,A,A,0
US,Homosexual,Jewish,Physical,B,65.89160082608673,-109.31707965597627,-46.70640281351622,A,A,0
China,Other,Hindu,Physical,D,68.24141468631957,-48.239462966019055,-112.61853027420075,B,B,1
Other,Bisexual,Hindu,None,B,-34.58454013023549,-96.2604289652987,-81.02878011664541,B,C,1
Other,Bisexual,Other,Yes,A,48.377694184814324,124.77412798380398,103.69815219496094,B,A,1
Germany,Heterosexual,Hindu,Both,C,115.32881667962829,114.76868020825326,-124.53863540420262,E,E,1
China,Bisexual,None,Mental,D,-48.286489172745824,-53.269101861062175,43.85310006573747,D,C,1
Other,Other,None,None,B,68.32108724566507,211.53335119652593,-32.662374215568605,A,B,1
Mexico,Bisexual,Buddhist,None,C,-44.12037498037718,7.299845939191519,-83.44024012375894,D,A,1
China,Homosexual,Buddhist,No,A,75.15518777533295,53.32598752496401,-102.02447707765731,D,A,0
India,Other,Other,Physical,B,173.05901038770875,-69.38339071269183,-97.47101351023782,E,B,1
US,Heterosexual,Buddhist,Both,C,-115.14940853611407,108.90282781064111,-68.16936431060789,C,A,1
China,Heterosexual,None,Mental,A,40.9489406956086,93.04478461304998,-163.80980240419433,C,E,1
Germany,Homosexual,Other,Yes,D,-6.881197133197496,145.47647030387415,51.235685979317026,B,B,1
Germany,Homosexual,Hindu,Mental,A,87.89766297089186,-91.31231563665345,-11.788788301687875,E,B,0
UK,Heterosexual,Christian,Yes,D,74.97835378402033,-22.934029710016798,-145.76742319533682,E,C,1
US,Homosexual,Buddhist,No,C,61.261889585702775,120.05146190295149,-161.8702899987636,B,D,0
Other,Other,Christian,Yes,E,99.62129375965455,-189.84074709049307,-125.6076923881572,E,E,0
India,Homosexual,None,Mental,D,-109.43161862379807,-46.11239759558812,-83.33922193483674,D,E,1
India,Other,Muslim,No,E,-25.023402582700534,-137.6104918928464,-44.820022974398,B,E,1
Mexico,Heterosexual,Other,None,C,-176.61702418460175,-5.931850511042037,89.37401691061095,A,C,1
Germany,Homosexual,None,Yes,C,168.72940103863493,-73.8026105848861,-190.90007789954012,A,E,0
Germany,Bisexual,Christian,Yes,E,159.97922822800575,-207.72458580372285,-119.07379560511914,C,A,1
Mexico,Bisexual,Other,Physical,E,85.11313784156955,130.95129799360714,-29.3123412770594,B,C,0
UK,Heterosexual,None,None,E,16.59836971132637,17.03443312747486,207.80731499013427,C,D,0
Germany,Heterosexual,None,Physical,C,-119.26581579668061,26.70480413650167,223.09544036662658,B,E,1
UK,Other,Other,None,B,189.98730937166752,-74.97372537381648,-26.45290072589911,C,D,0
Mexico,Other,Hindu,Both,C,-46.05428678789937,222.67253872277192,-158.74203299185658,C,E,0
Other,Homosexual,Buddhist,Physical,C,0.6534474406696276,-115.59892505468959,63.59687645207623,E,E,0
Mexico,Heterosexual,Hindu,No,C,-24.993309694854602,-94.00364292279926,10.610148276850548,A,B,1
UK,Heterosexual,Buddhist,Both,C,-212.83826068550198,-50.70575527676952,57.348833726136405,A,C,1
Other,Bisexual,Muslim,Mental,D,0.3419455842351969,-180.62419413019913,-145.8936409609781,B,A,0
Germany,Heterosexual,Hindu,Mental,D,35.58197676932939,-77.31662543722912,-135.07126785197602,C,B,1
China,Bisexual,Buddhist,Physical,A,-10.722644530049413,116.6256814259522,-53.906255562115504,E,A,0
US,Homosexual,Jewish,Mental,D,8.707386439272062,-26.578501203736288,-83.1774519497949,B,E,1
Mexico,Other,None,Yes,E,5.938064685063402,-72.7600345582633,133.0985225957169,A,C,0
Brazil,Bisexual,Muslim,Physical,C,191.11247725550925,204.08901266575882,14.747481979121895,E,A,1
Brazil,Heterosexual,Muslim,Both,C,61.62039091241833,147.60281479016038,87.0707992535446,C,D,0
Germany,Other,Hindu,Physical,C,132.44996047873838,-89.3727127716244,-11.151726100175575,E,D,1
Other,Other,Muslim,Both,C,-3.4719159261181765,-77.59853447303719,93.73076913244482,A,B,0
Mexico,Bisexual,Other,Both,C,73.95553450222886,-92.25558185302252,10.84728719783401,C,E,0
China,Other,Buddhist,Physical,E,28.154160248400657,57.90447767261186,25.060661299608345,E,B,0
US,Homosexual,Jewish,Mental,C,61.020853320261814,46.34530452487361,22.773647389017967,C,A,0
Other,Homosexual,Buddhist,No,B,12.792098835468305,-90.95562275546686,136.9738607448348,B,C,0
Other,Bisexual,Christian,Mental,D,-117.3370100306499,59.572244910652316,-205.05066343439867,D,E,1
China,Bisexual,Muslim,Mental,E,-51.59309493972013,70.90684735315105,81.80706149084945,B,B,1
US,Other,Jewish,Mental,D,-52.33420739236283,146.4097383097791,-35.70272643425788,E,A,1
Germany,Other,Muslim,None,D,-66.22271559823038,59.809266352670235,266.03423778520363,B,A,1
China,Bisexual,Jewish,Physical,A,-97.10319500124723,33.85850644709756,-9.2951111848059,C,E,1
China,Homosexual,Buddhist,Physical,E,65.86434767284774,85.83497803628715,80.47283804472278,B,B,0
US,Heterosexual,Christian,Physical,D,-88.48068507922615,-35.35259025428253,-119.12856755257617,A,A,1
Other,Heterosexual,Other,Both,A,87.9218888501984,-46.28172210705918,5.316447116765029,B,B,1
Brazil,Homosexual,Jewish,None,D,-100.93023888668755,43.65232110073663,98.21502492020825,C,B,1
China,Homosexual,Muslim,None,B,-166.54890944463173,-75.6472617744738,4.181468878027174,A,C,0
Other,Homosexual,Buddhist,Physical,A,44.560434889711544,-154.23146717984818,69.18211166562996,E,E,0
India,Heterosexual,Muslim,Yes,E,22.249474258749206,-9.821461073114753,-10.26423445179485,C,A,1
Other,Bisexual,Hindu,Both,A,-81.7380716890699,111.15065045780179,40.723762675069054,A,A,0
Mexico,Homosexual,Christian,Both,A,-2.1815012521096473,-24.59872042263269,97.93070724082874,B,C,1
Mexico,Heterosexual,Buddhist,No,C,-20.89365732742812,-29.63940760009717,-229.09573629596034,E,A,0
Germany,Homosexual,Christian,Both,E,-36.70413754620967,-81.5005100129491,-45.36947619831885,E,C,1
Germany,Homosexual,None,Mental,A,210.26134270713075,84.3309106306853,-6.012346161939122,A,A,1
Germany,Bisexual,Other,Both,A,-98.57079050227233,9.592143139958404,-46.39405872176381,A,A,1
Other,Other,Other,Physical,C,-55.994061954659436,-24.344538578504633,-97.05491952464381,E,E,0
China,Bisexual,Buddhist,No,C,22.937783149283675,-50.76570868594394,92.09475939285251,E,E,1
Other,Bisexual,Muslim,No,A,16.763324725140965,-81.29351692845222,123.4213152960426,A,B,0
China,Bisexual,Jewish,None,E,34.64559031439787,-21.130652878025746,187.13885458960718,D,D,1
India,Homosexual,Muslim,Mental,B,117.69383505082189,36.084694057151964,68.90690154706652,E,D,1
Mexico,Heterosexual,None,No,A,-22.58912798468164,-159.87624519126132,-10.216934784075312,A,C,1
Brazil,Heterosexual,Hindu,Yes,C,-40.243321030204285,-94.26932909699262,-78.6701749018291,B,E,0
China,Homosexual,Christian,No,E,84.8052868521892,97.22451443305478,-187.3328749109829,D,B,1
Other,Homosexual,Muslim,Mental,E,143.2355625310798,-166.98167172261833,21.43182620500334,E,C,1
Brazil,Heterosexual,Christian,None,A,-67.98438828162465,-29.99603370773653,-45.859458993417675,A,D,0
Other,Bisexual,Buddhist,No,A,-52.8037965617606,-14.685949050640637,-58.30565503605175,D,E,1
UK,Other,Hindu,No,A,-14.033571609982479,141.6210283400013,-15.987018768880432,B,B,1
US,Bisexual,None,No,D,186.86345216571257,-45.233230992545714,23.639679125958327,E,B,0
UK,Bisexual,Buddhist,Both,B,13.913004941028579,46.501636909895225,-113.25421464120052,C,D,1
Germany,Heterosexual,Muslim,Yes,D,-72.84193334082883,-30.224523509027755,-22.364722227377978,C,D,1
India,Heterosexual,Buddhist,Yes,E,59.15347350948294,-11.880829413734046,-73.02580538546695,C,D,0
Other,Other,Hindu,Mental,C,-102.27629784902479,-170.43366141260117,-60.430578272041735,A,C,1
Germany,Bisexual,Jewish,Yes,C,140.43778630652778,36.213920019950315,-37.118775458712236,E,B,0
China,Bisexual,Jewish,Mental,D,-84.92908968379014,-141.05279532329337,211.12217345235425,D,C,1
US,Homosexual,None,None,D,95.79563669273546,70.96930203366392,-50.12882705185069,E,A,0
Other,Bisexual,Muslim,Physical,D,-35.11220647289699,63.6274999643295,-38.295228249448186,C,E,1
Mexico,Homosexual,Other,Physical,B,20.84730819000059,19.969526912544374,-65.17200035454331,A,A,1
Other,Other,Buddhist,Physical,A,-178.68851036090666,147.6900903565035,-128.45082686347854,B,E,1
India,Bisexual,Muslim,No,C,-1.900267525303452,39.25901070328493,-131.48266961690257,D,A,0
China,Bisexual,Jewish,Yes,A,-79.48084963692705,67.30946339845467,28.38242459777146,D,D,1
Germany,Bisexual,Jewish,Physical,A,135.18838435124655,47.21244531373497,-108.1843758342725,B,C,1
Other,Heterosexual,Muslim,No,D,133.98882439383567,145.98094569875656,27.543960827877576,B,E,1
India,Homosexual,Hindu,Yes,D,-46.83260084723742,-54.94464560840978,73.4605714783694,D,E,0
UK,Bisexual,Jewish,Yes,B,-168.77795573928796,-37.635260275708795,-78.35127338363947,E,A,1
China,Other,Other,Mental,D,3.155435286689573,43.49664690343123,-102.75769750640562,E,E,1
Germany,Bisexual,Jewish,No,D,190.9598141674868,-226.24351407943143,-159.16355902380872,E,D,0
Germany,Other,Hindu,None,A,-26.024687794079792,-25.055495016635952,-132.65287795494206,A,C,1
UK,Heterosexual,None,Both,D,-53.61976722108265,-50.48835336084224,40.6891058801747,A,B,0
US,Homosexual,Other,None,C,94.3203577885988,-87.88658180585615,138.5677444301838,B,A,0
Other,Other,Muslim,No,B,97.41289195743529,-47.478347809369865,149.96205723229158,D,C,0
Brazil,Homosexual,None,None,D,-23.56682525073065,-93.01444955666909,-116.55911365525698,B,D,1
Mexico,Bisexual,Other,Mental,B,-120.411851180081,70.29796694788354,17.400492902951886,B,C,0
Germany,Homosexual,Jewish,No,C,-19.01004256012866,-159.42716742081686,0.7409531180683904,B,C,0
Other,Bisexual,Jewish,Both,D,141.44740406375266,50.477691175498286,30.05038264136412,E,A,0
UK,Bisexual,None,Both,B,-91.54752078539128,-4.104310923001073,-169.76333579148886,E,D,1
Germany,Other,Other,None,C,55.59477471642417,26.716650395577386,65.59524302313523,C,C,1
Other,Heterosexual,Christian,None,E,102.45949792173504,8.918559052813805,-229.0249817543292,E,E,0
Germany,Bisexual,Buddhist,Physical,A,-153.86728288679475,-137.20629416551924,33.4269930170636,C,B,1
Brazil,Homosexual,None,None,B,-86.0770435543222,-149.78533765661018,13.059154297868814,A,B,0
Other,Heterosexual,Muslim,Physical,B,101.83498170238568,-125.30998222399292,-71.73830474205276,A,A,0
Germany,Bisexual,Christian,Physical,A,132.0650060679112,59.087467992451145,202.71234771397584,C,A,0
Mexico,Bisexual,Hindu,None,D,121.40843589657683,34.54689371870783,-18.020561955748757,A,D,0
Brazil,Other,Christian,Mental,B,-83.69176132553342,-135.45553050056373,36.77517775455241,B,D,0
US,Other,Buddhist,Yes,B,-131.15067010931085,0.504196314178115,-14.464628322288029,C,B,1
Other,Other,Hindu,None,D,91.02141271481953,95.78275214359874,-48.10408044448426,B,C,0
Brazil,Other,None,No,B,-108.38537671862439,150.05349217559592,25.567552844589958,E,C,1
China,Bisexual,None,None,C,76.11266877555992,-187.3346859377681,-128.50045775290883,D,D,0
Other,Other,Muslim,Physical,D,-40.05014684434026,-189.30024503927172,-0.27646653236099494,C,C,1
UK,Homosexual,Muslim,No,A,76.98513461189681,99.8324383350612,13.979842876963799,B,E,1
India,Heterosexual,Buddhist,Both,D,-32.55039994359942,-38.38066704413213,38.86669065909022,E,D,0
Germany,Other,Hindu,Both,B,-68.57982394951068,9.837757823069019,110.02428510162656,A,D,1
Brazil,Heterosexual,Christian,None,E,-87.49105134659388,-213.83878665731072,-38.50094829218778,B,D,1
UK,Heterosexual,Jewish,Both,D,72.51031544855503,14.095595628834845,22.327543364614456,D,B,1
UK,Heterosexual,Christian,No,C,62.61182312294537,-44.73592848582461,-91.53693477118135,B,E,1
Other,Bisexual,Hindu,Mental,D,-56.71497160089414,-40.544934643256006,-35.600904827918775,B,A,1
Other,Other,Hindu,Yes,C,-17.751303038965936,156.0197630893742,68.25373517949228,C,B,1
US,Homosexual,Other,Physical,A,-164.3062617954014,43.11252111962877,-39.24199054007929,A,E,0
Germany,Other,None,No,A,32.268178753325245,-118.86309841103852,-5.650081891484333,B,E,1
Germany,Homosexual,Hindu,Both,E,-25.028058143337223,-35.544505337314035,-80.20730156902935,C,C,0
India,Homosexual,Jewish,Physical,B,143.4357492600141,-118.29364935846385,93.41152812334037,A,B,0
Germany,Bisexual,Buddhist,None,D,76.01500839634282,67.05715001328531,-103.08333350306718,E,B,1
Germany,Homosexual,Other,Physical,E,-22.34566163982832,-179.79654970305955,151.43248679240696,D,B,0
Brazil,Homosexual,Jewish,Yes,D,-28.156587164875397,51.535485277896974,69.13336279346905,B,A,1
UK,Heterosexual,Christian,Physical,D,-91.84112189847636,68.28794798730623,36.11792848267261,B,B,0
US,Heterosexual,Hindu,Mental,C,-18.176223828755695,-125.37493647725617,-173.8115504204681,B,B,0
US,Other,Buddhist,None,C,-145.39526584972614,-53.15631431385454,-29.545102632115672,C,A,0
Other,Homosexual,Jewish,Yes,C,45.456735602607644,-58.222568053153786,-9.517334031229732,A,C,1
Brazil,Other,Muslim,None,A,-77.53542161206293,-19.382836158196064,-125.92432547583763,D,A,0
UK,Bisexual,Christian,Physical,B,88.99316616488605,30.41145339333798,124.86429851884928,A,C,1
Germany,Bisexual,Hindu,None,C,84.43554922362398,-11.05707827258805,-105.28936550370658,E,C,1
China,Other,Buddhist,Mental,B,-95.22737617632615,-9.433337191258023,47.56258967393242,E,C,0
US,Other,Jewish,No,C,-93.39977359055838,79.63921587998519,87.60123314062427,A,B,1
Mexico,Heterosexual,Other,Both,D,33.26736963423636,-42.420654326694795,-121.4796480342278,A,E,1
Germany,Bisexual,None,Mental,C,-101.95515189429145,16.153535256711546,-98.13330316252022,E,E,1
China,Homosexual,Hindu,Both,C,154.01350371989125,53.50603788194533,-52.655894061278985,D,B,1
Germany,Other,Buddhist,Both,A,-63.932147405317885,41.96578201319364,-222.0499806632054,B,E,1
India,Bisexual,Christian,No,B,36.43978544793916,83.73757886531166,-26.621663722071233,D,D,1
Other,Bisexual,Christian,Mental,A,-24.184089641928136,-92.72177526698248,-110.08535228715554,A,C,1
Mexico,Bisexual,Hindu,Mental,E,110.13478427257928,-46.65941819180451,24.80950326897001,B,B,0
China,Bisexual,Hindu,Yes,C,-40.39942189745018,-68.63468440560735,-141.79504930355978,A,D,0
Brazil,Heterosexual,Other,Both,D,-82.86137216315453,-208.3064207015499,209.73925997619358,E,B,1
Germany,Heterosexual,Jewish,Yes,C,-15.723071083470655,144.40013345329814,193.12289025908197,D,B,1
Mexico,Homosexual,Muslim,None,A,-110.15880921643937,72.78519447902151,168.08951322878852,A,E,0
China,Bisexual,Jewish,Mental,A,5.144707508244484,67.72858109329378,-24.492409876499526,C,E,0
UK,Bisexual,Christian,Physical,E,61.68675046111194,116.39132621147978,45.76234384605693,B,A,0
Mexico,Homosexual,Christian,Mental,A,108.3619813420428,-37.223939034220834,-2.3972368977519682,C,A,0
Other,Homosexual,Hindu,Yes,D,-54.01821391919215,-43.39377054778266,21.800247217135578,A,D,0
Mexico,Other,Christian,None,B,90.47822014723454,19.91853020619333,-163.58573835644768,D,C,0
Germany,Homosexual,Other,None,D,-190.90395374113947,169.1138340593263,-179.35821141918976,D,C,1
China,Homosexual,Christian,Both,D,106.1772781549116,85.5298390932258,-141.00046279369522,A,D,0
Brazil,Homosexual,Muslim,Yes,D,-170.09589935871045,-103.10625626103797,-5.665815575819231,A,B,1
UK,Heterosexual,Hindu,Mental,E,-26.25420386325656,-17.71088314891449,-72.53444055909026,C,C,0
Brazil,Homosexual,Jewish,Physical,B,-10.01218001262732,113.0613797579198,-56.75534971853673,E,D,1
Other,Homosexual,Christian,Physical,B,34.29142140985129,50.3934332940134,93.83033371514877,D,B,1
Brazil,Bisexual,Jewish,None,C,109.26133714990766,159.1928635964019,-57.80559261274173,D,C,0
Mexico,Homosexual,Hindu,Yes,D,-113.41016685247318,178.4314719263538,209.78373375868094,B,B,0
China,Homosexual,Other,Physical,C,114.93836937076412,245.11243781535404,-98.27302587038903,A,D,0
Other,Heterosexual,None,None,A,-87.6420690860652,-27.747505688236508,-126.73041012829826,B,E,0
Brazil,Other,Jewish,Both,A,-132.17977827488346,-11.266736010761756,-24.530322766846176,C,E,0
Germany,Bisexual,Other,No,E,35.80118834082932,89.40956895199639,169.61775942879794,E,E,1
US,Other,Other,Yes,B,191.21585182897462,7.78962637393521,-22.826417892631355,C,A,1
UK,Bisexual,Other,Mental,C,16.401273986158948,-230.50585226930832,2.714204564647197,C,A,1
China,Heterosexual,Buddhist,Yes,E,-179.2146782812173,24.042429028805945,14.662689360675499,C,E,1
Germany,Homosexual,Christian,Yes,A,114.7455922877398,-34.14048619640256,79.09308700993414,A,C,0
Germany,Homosexual,Other,No,A,45.67295896659393,41.841348122806714,41.610314726266466,A,B,1
Mexico,Other,Christian,Mental,A,128.0006428326082,91.56668489378822,-168.48427486780858,C,E,0
China,Homosexual,Muslim,None,D,-75.5902608939221,245.17302439548706,84.60951832968381,C,D,0
US,Bisexual,None,Physical,B,-78.0628533070441,-136.48816123337068,144.47552537352314,A,B,0
Brazil,Homosexual,None,No,D,41.411105242870846,34.41894191835951,-129.8728217342908,E,A,1
Mexico,Homosexual,Other,No,D,26.777111254444808,-80.71698478766643,-24.16579045678571,C,E,0
US,Heterosexual,Jewish,Physical,E,-25.090173867433347,-66.10526488035856,-64.5607504774442,A,C,0
Brazil,Heterosexual,Hindu,Physical,D,80.66649825815743,-82.73938669904531,-32.32676399152749,A,B,0
UK,Heterosexual,Buddhist,Mental,E,-0.8838354735811558,-65.63745661952083,-99.09708615648947,D,A,0
Other,Homosexual,Buddhist,Yes,C,-89.18572990478478,98.38356293925875,82.26571760271561,E,B,1
UK,Bisexual,Hindu,Physical,C,11.501802711434784,58.63019904112612,9.350378817983817,E,A,0
Other,Heterosexual,Jewish,Mental,B,-202.02093480804928,-97.30150557603073,103.31271864180205,C,A,1
Brazil,Other,None,Mental,E,1.444677312171396,-100.4753921613486,-9.770106045422466,C,C,0
Mexico,Other,Christian,Both,C,-4.860904500835794,-81.4710269815771,-97.79587740387824,A,A,1
Germany,Bisexual,Buddhist,None,C,135.52097260883122,171.47600341544836,-3.218665699130638,D,A,0
India,Other,Other,No,C,-87.7986895826205,135.46119151853628,-7.547390242329224,A,C,0
Other,Other,Hindu,Both,A,-156.79098697611113,123.01710504513488,-96.72229294637127,A,B,1
Mexico,Heterosexual,Buddhist,Physical,B,26.753210199498472,15.09068199726359,9.108524764477112,B,C,0
UK,Bisexual,Hindu,No,E,126.74136460619346,60.370056452147814,49.38636714905663,D,E,1
China,Bisexual,Christian,Physical,C,-62.177293039669316,-84.45355894649865,92.38748102745092,E,C,0
Germany,Bisexual,Muslim,None,E,-11.689386865109235,-57.28009796578705,119.61427317078159,A,E,0
India,Bisexual,Christian,Physical,C,32.85701537714425,-276.69043841946615,24.052972459967588,C,A,1
Brazil,Heterosexual,Hindu,None,C,155.32079015202675,76.15228742904718,-193.5965778515403,B,D,1
China,Other,Buddhist,None,B,185.03596394756508,11.113939698274041,-22.455815396189678,A,B,1
US,Bisexual,Jewish,Physical,C,142.56045168073845,-198.38024601485876,122.78487311601063,A,C,0
US,Bisexual,None,No,C,111.02220164420675,204.61956318142745,72.1427677294058,E,C,0
Other,Bisexual,Buddhist,Both,D,97.83401309150406,-142.4739721308461,-137.23036124017563,C,D,0
Germany,Bisexual,Hindu,No,B,57.70334968869226,65.1336781989054,9.341877303665742,C,B,1
UK,Homosexual,None,None,D,-138.97736840108675,28.370925343407606,31.05949892438757,B,B,1
US,Other,Buddhist,Mental,C,106.3464966144728,158.685506027771,158.84501981453298,D,C,0
Brazil,Heterosexual,Jewish,Yes,D,-87.5772931246794,-140.19016407511344,271.1020930616742,B,D,0
China,Heterosexual,Muslim,None,A,-0.6892511984490516,-114.8376847166715,-36.673929517232395,D,D,1
