religion,birth_year,Disability,sexuality,feature_0,feature_1,feature_2,feature_3,feature_4,target
None,91,Both,Other,B,-68.33220493675488,A,D,B,0
Christian,59,Physical,Homosexual,A,82.96881524975237,B,E,A,0
None,76,Yes,Heterosexual,C,-10.33257122003104,D,C,C,0
Muslim,40,Mental,Other,E,-38.41783153032558,A,D,A,1
Hindu,84,Both,Other,D,78.06904218196765,B,A,C,1
Muslim,63,No,Bisexual,C,6.704012947792433,E,D,C,1
Hindu,72,Yes,Other,B,46.415385740464984,C,E,B,0
Other,54,No,Heterosexual,D,78.5010251987805,A,D,D,0
Muslim,43,No,Homosexual,C,19.57078818169406,D,A,E,1
Hindu,34,Mental,Other,D,-115.58825131352796,C,C,E,1
Buddhist,62,Mental,Bisexual,E,-68.06861920576128,C,E,D,1
None,37,Mental,Bisexual,C,73.90417921409642,A,C,D,0
Jewish,74,Mental,Other,D,33.41370706557897,C,D,B,0
Buddhist,72,Yes,Other,A,-164.29516405414842,A,B,B,1
Buddhist,48,Both,Homosexual,C,-14.307915382817187,C,E,E,0
Christian,90,No,Homosexual,A,130.90302471764014,E,B,A,1
Christian,26,None,Heterosexual,C,-82.34250326150742,A,B,A,0
Jewish,84,Yes,Heterosexual,C,160.72080110446709,A,E,D,1
Christian,91,Yes,Homosexual,C,-83.71158833506985,C,D,B,0
Christian,76,None,Other,E,2.8341553394906915,E,A,A,0
Buddhist,92,Yes,Other,A,-166.32432677801256,A,B,C,0
Buddhist,20,Physical,Heterosexual,E,202.11794575030004,C,D,B,1
Christian,37,Both,Bisexual,C,-181.2289476286131,E,C,E,1
Hindu,87,Yes,Other,C,-26.260115832122583,E,B,E,0
Hindu,89,Yes,Other,B,46.95068247688789,C,E,C,1
Buddhist,74,No,Heterosexual,C,-63.613702068376234,E,D,E,1
Christian,74,Mental,Heterosexual,C,35.33719076752375,E,A,D,0
Buddhist,91,Mental,Bisexual,B,-30.453272460105506,C,B,E,1
Jewish,75,Yes,Bisexual,C,-40.126809554191475,D,C,E,1
Muslim,40,Physical,Heterosexual,C,-42.6820315551175,B,B,D,1
None,89,Yes,Heterosexual,C,80.63010449026629,A,B,E,1
Muslim,25,Mental,Homosexual,A,148.6662454899261,A,D,C,0
Other,81,No,Bisexual,D,-158.44569966675937,E,A,C,1
None,22,Yes,Homosexual,A,-176.37661993653623,D,A,B,1
Hindu,58,None,Heterosexual,C,-57.60136752689841,E,B,E,1
Other,25,Mental,Homosexual,A,168.1964802087924,A,D,B,1
Hindu,87,None,Other,D,-112.10907329532971,C,A,B,0
Jewish,29,No,Bisexual,D,147.339321276278,D,D,E,1
Christian,22,Mental,Bisexual,D,4.691966959165401,B,E,D,0
Christian,53,Yes,Heterosexual,B,2.9172134317995546,B,E,A,1
Jewish,39,None,Other,B,20.985376442998366,C,D,D,1
None,86,Physical,Heterosexual,C,-28.695387442405355,A,B,D,0
Buddhist,29,None,Other,D,126.16883244404144,C,E,C,0
Other,21,Yes,Homosexual,C,-110.12573412596369,D,D,C,0
Other,56,Yes,Heterosexual,C,36.20803972094164,D,E,C,1
Other,84,Physical,Bisexual,B,5.582835892322943,E,C,D,1
Muslim,25,No,Other,C,30.14520138638454,E,A,A,1
Muslim,40,Physical,Homosexual,E,-14.06231980071096,C,A,C,0
None,66,Mental,Homosexual,B,-114.29975401000752,B,A,E,1
Jewish,59,No,Heterosexual,B,39.43771848773579,A,E,E,1
Buddhist,40,Mental,Other,D,98.16503785715392,C,A,C,0
Christian,85,Mental,Bisexual,C,98.61127069832935,C,A,C,0
Hindu,81,No,Other,A,20.129686937359693,B,B,A,1
Other,65,Yes,Homosexual,E,224.25596857031795,C,D,C,0
Hindu,96,No,Heterosexual,C,-85.9460049982388,B,A,A,1
None,56,Mental,Homosexual,B,-122.59402918427634,B,D,E,1
Christian,81,Mental,Homosexual,C,-120.09078607392092,E,B,B,1
None,33,Yes,Heterosexual,C,-13.5136581852091,B,B,E,0
Buddhist,64,Physical,Homosexual,C,-4.531289438356735,A,D,C,1
None,97,Mental,Other,D,-1.276162116329658,A,B,E,1
Muslim,79,Physical,Other,E,21.793950132428307,E,C,B,0
Muslim,52,None,Heterosexual,B,48.1094880539043,C,B,D,0
Jewish,24,Physical,Other,A,-7.417511897800547,E,A,D,1
Hindu,64,Both,Bisexual,E,14.135508648094058,A,A,A,0
None,79,Both,Bisexual,B,14.484437084372978,D,A,A,1
None,89,Yes,Bisexual,E,-14.276519601858158,C,A,A,1
Christian,74,None,Homosexual,E,-115.08412910252007,D,A,E,0
Hindu,91,Both,Homosexual,C,-54.90705090610698,B,E,E,0
None,19,Both,Homosexual,B,-94.90308952345488,E,A,D,0
None,96,Mental,Homosexual,E,-1.3620337945834498,B,D,A,0
Jewish,88,No,Bisexual,D,-83.27140758486856,E,C,B,1
Buddhist,71,Yes,Bisexual,C,-114.741626538133,D,A,B,1
Buddhist,79,Physical,Heterosexual,B,71.04208096788993,E,A,A,1
None,42,No,Heterosexual,A,-45.39235404353199,C,A,B,1
Other,66,Yes,Heterosexual,A,52.901145443720075,E,E,B,1
None,68,Both,Homosexual,B,-183.54840337458143,B,E,B,1
Hindu,23,Yes,Bisexual,B,-61.32422369275054,B,E,B,1
None,62,Both,Bisexual,D,-3.9641151523150833,C,E,B,1
None,46,Physical,Other,D,46.02251627295797,A,C,B,0
Hindu,69,No,Homosexual,A,129.33933484303267,D,A,A,0
Hindu,99,Mental,Other,E,99.41735663573078,A,B,B,1
Hindu,60,Yes,Heterosexual,E,-112.40494174203629,C,E,C,0
Muslim,30,No,Heterosexual,A,44.05160187159319,D,E,D,0
Muslim,72,None,Bisexual,C,-91.51184759129282,A,B,C,0
None,95,Yes,Bisexual,B,-211.4045751211184,E,A,B,0
Hindu,65,Mental,Other,B,-14.309879700296543,C,D,E,1
Jewish,23,Physical,Heterosexual,E,4.0158461018662654,B,D,D,0
Jewish,91,No,Other,C,-54.72370111214075,A,A,B,1
Muslim,69,No,Heterosexual,B,31.82572173739901,E,B,C,0
Muslim,18,None,Homosexual,C,-17.543622446344198,C,E,D,1
Christian,87,Both,Bisexual,D,101.16260421735319,A,E,E,1
None,51,Both,Homosexual,A,93.71727661349556,C,B,E,1
None,82,No,Homosexual,D,-20.477311905136432,E,E,E,1
Jewish,87,Physical,Homosexual,B,38.5718849723418,C,D,A,1
None,67,No,Bisexual,A,161.24759805386083,C,C,B,0
Hindu,23,Physical,Bisexual,B,37.28374696239099,E,B,A,1
Buddhist,26,Yes,Heterosexual,C,-163.15241343839685,A,B,C,1
Christian,46,None,Heterosexual,D,-61.589964746187455,B,A,B,0
Christian,87,Mental,Bisexual,B,-23.51888129310723,A,D,B,1
Buddhist,46,Yes,Other,D,111.77630389181657,B,D,B,1
Christian,55,Physical,Other,E,-24.145913008231453,A,B,B,0
Other,21,None,Bisexual,C,8.49430803339982,A,C,C,1
Jewish,57,Both,Heterosexual,E,53.602781790157536,C,D,B,1
Muslim,99,Both,Bisexual,A,-168.2713786835708,D,D,A,1
None,91,Both,Other,C,-70.73830445644629,D,D,D,0
Muslim,40,Both,Bisexual,C,-8.211682175621368,C,D,D,1
None,87,None,Homosexual,B,-190.3855508010302,A,D,E,0
Other,39,Mental,Bisexual,D,105.48647136193068,C,E,D,1
Other,24,Physical,Homosexual,B,33.59043978412198,B,B,C,0
Jewish,23,Mental,Other,A,-81.17696215584266,E,A,E,1
Muslim,84,Yes,Heterosexual,A,13.3456234770129,E,E,B,0
Buddhist,19,Physical,Bisexual,E,37.544676647469466,E,A,E,1
Buddhist,37,Both,Other,C,45.19910479049038,D,E,D,0
Hindu,35,Both,Homosexual,C,140.30881850898993,E,A,B,1
Hindu,24,Yes,Homosexual,D,63.88812381716148,A,B,A,0
Muslim,66,Both,Bisexual,C,203.88420024313402,A,E,C,0
Christian,65,None,Homosexual,E,208.69701144946666,A,E,C,1
Christian,83,Physical,Bisexual,E,50.698154052177216,D,A,A,0
Hindu,82,Mental,Bisexual,C,-51.64334704734848,E,D,C,0
Christian,97,No,Other,B,46.457840531199224,B,A,A,0
Christian,97,None,Bisexual,E,108.79501787976618,A,C,A,1
Christian,93,Mental,Other,C,-129.61222618904645,E,C,E,0
Jewish,87,Yes,Heterosexual,A,198.0106274367682,E,C,C,0
Muslim,37,None,Bisexual,B,-24.43637340394645,A,A,E,1
Hindu,36,Yes,Bisexual,C,-31.207433932587314,A,B,C,1
None,97,Yes,Homosexual,B,90.45048846394798,A,E,B,1
None,33,Both,Homosexual,C,0.3456553771626483,E,E,A,1
Other,91,None,Heterosexual,C,80.17300752845897,D,B,A,0
Buddhist,88,Mental,Bisexual,A,-101.62419002823033,B,C,C,1
Muslim,94,No,Heterosexual,D,-83.22655918291454,B,B,B,0
Jewish,61,Both,Heterosexual,A,-40.53567919856578,E,E,A,1
Hindu,63,Yes,Heterosexual,E,218.91331184671907,C,E,B,0
Christian,51,Mental,Homosexual,E,-36.785126471970045,A,D,D,1
Other,60,No,Homosexual,A,77.52105333650152,D,A,D,0
Christian,42,Physical,Bisexual,B,74.70855824013553,A,C,A,1
Buddhist,34,No,Other,D,37.5275005590121,E,A,E,0
Other,70,Mental,Bisexual,D,-142.59912596815565,A,B,D,0
None,47,None,Heterosexual,A,-65.04194091816433,C,D,B,0
None,39,Yes,Heterosexual,C,-53.849784609685514,E,A,B,1
None,59,Yes,Other,D,54.946885544476565,B,C,E,1
Jewish,67,Yes,Heterosexual,D,72.79092476594523,B,A,E,0
Other,28,None,Homosexual,B,22.38276015296026,D,E,D,0
Hindu,39,None,Homosexual,C,-28.765111879808114,C,E,A,1
Buddhist,99,No,Homosexual,B,-78.22698606934318,E,A,A,1
Buddhist,51,No,Homosexual,D,-60.40542276580159,D,E,C,0
None,38,Yes,Homosexual,D,71.54779490881147,B,D,A,1
Christian,96,Mental,Heterosexual,E,-118.25814038216713,C,B,A,0
Jewish,71,Both,Heterosexual,E,49.24685379167509,E,C,B,1
Muslim,93,Yes,Homosexual,B,193.7547172511354,C,C,A,0
Other,25,No,Bisexual,C,-102.36993378622527,C,A,E,1
Buddhist,23,None,Heterosexual,E,36.36542402941931,B,C,A,1
None,65,None,Homosexual,E,162.32470919808847,B,D,C,0
None,40,Both,Heterosexual,E,-38.5307234348677,E,E,D,1
Buddhist,93,Yes,Bisexual,D,54.35006222504517,E,D,A,1
Christian,68,Both,Heterosexual,B,78.0193840295744,A,C,C,0
Other,82,No,Other,C,66.21289206180543,A,A,A,0
Christian,58,No,Homosexual,B,6.757476327627127,C,C,E,1
Other,99,Yes,Homosexual,B,-31.74379016999136,D,E,B,0
Hindu,24,Yes,Homosexual,A,13.7552686368989,C,D,B,1
Buddhist,27,Physical,Homosexual,A,-105.40878416805859,D,B,A,1
Hindu,73,Mental,Homosexual,B,43.44237151591623,B,B,C,1
None,26,No,Bisexual,D,-60.350049286828586,C,B,C,1
None,79,No,Heterosexual,E,138.27482091368464,A,C,E,0
Muslim,84,Physical,Other,D,69.67557064771754,C,B,C,1
Buddhist,27,Physical,Bisexual,E,-67.94187592595888,D,A,B,1
Other,58,Yes,Heterosexual,D,46.8754002779993,B,E,D,1
Christian,96,No,Homosexual,C,-92.3740728934363,D,E,D,1
Other,85,Both,Heterosexual,E,-44.85232423338618,C,B,A,1
Buddhist,58,Physical,Other,B,-157.43846382998103,A,B,E,0
Christian,47,None,Heterosexual,A,93.20871610572465,A,C,B,1
None,65,Both,Other,A,-29.4782157638489,A,A,A,0
Other,94,Physical,Heterosexual,A,-51.697349440885674,E,B,D,0
Hindu,30,Physical,Bisexual,B,-18.641480138893435,A,D,C,0
Hindu,57,Physical,Homosexual,B,1.6313383017789378,D,C,E,1
Buddhist,51,None,Bisexual,E,61.291293938610195,D,D,E,0
Buddhist,53,Yes,Other,D,-8.687314440668233,B,A,C,0
Hindu,22,Mental,Bisexual,C,169.64975379344915,B,B,E,1
Other,84,Both,Heterosexual,E,34.38082937543266,C,C,A,0
Other,44,None,Bisexual,C,53.768810023207244,C,D,E,1
Other,72,Both,Heterosexual,D,-11.813784519833122,B,E,E,0
Christian,32,Physical,Heterosexual,C,146.3205412480152,D,C,C,1
Hindu,56,Yes,Bisexual,D,75.90850654474065,E,E,D,1
Muslim,67,Yes,Other,D,-28.313248107895483,E,B,B,1
Buddhist,77,Mental,Other,A,68.4448898548761,E,C,B,1
Buddhist,58,Physical,Heterosexual,E,47.908131259088705,E,D,A,0
Christian,21,Physical,Homosexual,C,123.68644790206338,A,C,B,1
Jewish,30,Both,Bisexual,C,-68.88183958959242,A,B,D,1
Other,40,Mental,Heterosexual,A,6.215917032534952,B,C,D,1
Jewish,30,Both,Bisexual,D,53.88362455620065,C,C,C,1
Hindu,35,Physical,Other,B,-97.53420784283158,D,B,B,0
Buddhist,62,Yes,Bisexual,B,-80.7448468633108,D,B,A,1
Muslim,92,No,Homosexual,A,82.56916133751734,B,C,E,1
Hindu,98,Yes,Bisexual,C,259.04534268596683,B,A,D,0
Christian,97,Both,Homosexual,D,-188.58600894272917,D,D,C,1
None,66,No,Heterosexual,A,54.77004165726146,E,D,D,0
Buddhist,94,None,Other,C,199.4271406733423,B,C,D,1
Buddhist,60,No,Heterosexual,E,-37.055336470015625,C,B,E,1
Jewish,52,Mental,Bisexual,C,247.02262009627955,A,D,D,0
Muslim,47,Both,Bisexual,E,-275.7722428817175,C,B,D,0
Christian,89,Physical,Bisexual,C,-66.69268432155746,A,C,C,1
None,93,Physical,Bisexual,B,-171.22445929023544,B,D,A,1
Hindu,96,Mental,Other,E,229.23256718885173,D,D,E,1
Hindu,67,Physical,Bisexual,B,141.6446871092774,E,B,E,0
Christian,81,None,Homosexual,C,71.28298071162929,A,B,E,1
Christian,21,Yes,Heterosexual,B,153.82883026561942,D,D,B,1
Muslim,22,Both,Bisexual,C,-21.267474070864008,A,A,C,0
Jewish,87,No,Heterosexual,C,51.418954325385016,A,A,C,1
Christian,97,Mental,Other,A,140.31736037410522,A,E,D,0
Muslim,74,None,Heterosexual,C,125.86122462359128,A,A,B,0
None,59,No,Bisexual,E,14.442331952880384,D,B,A,1
Christian,43,Mental,Heterosexual,A,-118.46353233476357,C,B,B,1
Jewish,47,Both,Homosexual,D,34.04883358946426,A,B,E,0
Muslim,24,Physical,Other,C,74.8923397817507,A,D,D,0
Hindu,30,No,Homosexual,D,7.749948655608881,D,A,B,1
Other,29,Yes,Homosexual,D,-65.34453009381443,E,C,A,1
Jewish,93,No,Heterosexual,B,141.33916377096725,C,B,B,0
Buddhist,81,Mental,Other,B,109.50209362219793,C,E,E,0
Hindu,43,Yes,Heterosexual,D,-69.0851268514224,C,B,B,1
Jewish,38,Both,Heterosexual,C,-82.23840560789874,A,A,D,1
Jewish,87,Mental,Other,C,-130.1522117894994,C,D,D,0
Christian,89,Yes,Bisexual,D,-50.392350194065926,E,E,D,0
None,63,No,Bisexual,C,-9.55804022043739,C,D,C,1
Other,27,Physical,Heterosexual,A,-82.93241023045157,C,D,E,1
Hindu,36,Both,Bisexual,D,155.81848163784827,D,B,B,1
Hindu,41,No,Other,D,10.738425429259284,C,C,A,1
Hindu,54,Both,Other,C,-22.24334968744653,A,A,D,0
Muslim,69,None,Homosexual,A,-157.27709706255388,C,E,C,1
None,24,Mental,Other,E,-144.9163224713808,C,D,C,0
Buddhist,70,Physical,Heterosexual,B,-19.421872540954862,C,C,C,1
Hindu,43,Physical,Heterosexual,C,-89.62107119862884,D,C,B,1
Muslim,93,None,Bisexual,A,-16.961864900410788,A,C,B,1
Christian,26,Yes,Bisexual,C,123.67222943620837,B,D,C,0
Other,19,Mental,Other,D,-185.31529915396277,E,C,A,1
Jewish,42,No,Homosexual,A,-127.12552897965213,A,D,A,1
Muslim,97,Physical,Bisexual,D,-3.6781717290713276,E,B,E,1
Christian,73,Yes,Other,B,-36.26307648858519,D,E,D,0
Hindu,72,No,Heterosexual,D,89.03084268923371,B,E,D,1
Muslim,56,Mental,Bisexual,A,-109.03019468810913,B,E,B,0
Christian,69,Yes,Heterosexual,E,37.35766156663604,D,B,E,0
Buddhist,68,Physical,Homosexual,C,93.49726456423214,D,E,C,1
Other,34,Both,Other,C,-56.44310264539138,B,D,C,0
Other,37,None,Heterosexual,C,-178.44062106062722,C,A,B,1
Hindu,37,No,Other,A,214.39452747099486,C,E,D,1
Christian,87,Mental,Bisexual,D,-85.22949517053823,C,B,E,0
Other,35,Yes,Homosexual,C,-87.0790880600136,C,C,B,1
Hindu,54,Both,Bisexual,C,59.710142028064695,B,C,E,0
Christian,65,Both,Homosexual,C,2.826886782090923,D,A,E,1
Hindu,84,Both,Heterosexual,D,-85.81952360525361,B,A,D,0
Jewish,31,Physical,Homosexual,A,-160.40321197716523,E,C,A,0
None,43,Both,Bisexual,C,-62.15376166289376,E,B,B,1
Muslim,46,No,Other,C,-51.00326554789465,C,C,B,1
Muslim,98,Mental,Heterosexual,B,87.02698628919792,E,E,A,1
Jewish,41,No,Heterosexual,C,111.02079253181694,B,C,C,1
Muslim,33,Both,Bisexual,B,-35.33314829648166,B,D,D,1
Jewish,24,Physical,Other,C,113.88853806751678,A,B,C,1
Hindu,26,None,Other,E,42.941066021061594,E,B,D,0
Buddhist,70,Mental,Heterosexual,C,236.0700589407986,D,D,B,0
Muslim,23,None,Heterosexual,E,-91.20779705784183,D,D,B,1
Christian,47,None,Bisexual,D,41.5002578902607,D,B,B,0
Hindu,82,None,Other,A,34.43434287079968,D,D,D,0
None,62,Yes,Heterosexual,C,-131.86112518954346,B,E,A,0
None,62,None,Homosexual,A,73.1366405765568,D,D,E,0
Other,41,Both,Homosexual,A,-71.29023242751529,E,C,A,0
Buddhist,81,No,Homosexual,A,130.43392905993775,A,E,D,1
Hindu,43,Physical,Homosexual,C,-17.772067131096726,E,A,E,0
Muslim,74,Physical,Bisexual,D,52.29218794869698,B,B,E,0
Jewish,50,Mental,Heterosexual,D,7.007337390844539,A,A,A,0
Other,20,Yes,Bisexual,D,-36.1599832582349,D,C,C,1
None,28,Physical,Homosexual,A,-43.56419441904439,E,B,B,1
None,18,Yes,Homosexual,E,1.5668986491584946,D,C,D,1
Other,27,Physical,Bisexual,A,249.87804313702466,A,E,E,1
None,39,Yes,Homosexual,A,-58.99944890926524,E,B,D,1
None,23,Both,Heterosexual,E,28.006299588500987,E,A,E,1
Other,54,Both,Bisexual,E,112.56168056700639,B,E,C,0
Buddhist,62,No,Homosexual,D,-142.5737629489116,B,C,D,1
Hindu,45,Physical,Homosexual,C,107.00803751736234,A,C,A,0
Other,26,No,Other,C,-143.86759151556038,B,D,A,1
None,62,Mental,Heterosexual,C,175.32602571901458,C,A,C,0
Muslim,78,No,Heterosexual,A,32.61575777416684,A,D,A,1
Buddhist,69,Both,Homosexual,E,33.726416757675274,D,E,A,1
Christian,26,Both,Heterosexual,B,12.332515418105974,C,C,A,0
Other,74,No,Bisexual,D,-129.67697587283092,A,B,D,1
Hindu,95,None,Heterosexual,A,169.310105499956,A,C,B,0
Buddhist,97,Yes,Bisexual,B,72.29781440170656,A,E,C,1
Other,18,Physical,Bisexual,B,30.68133134957926,D,C,B,1
Hindu,88,None,Other,A,206.67386027475052,E,A,E,1
Hindu,88,Physical,Homosexual,C,94.00500019069457,C,E,C,0
Other,83,Mental,Heterosexual,B,-0.7685102212848601,B,A,B,0
Muslim,69,Mental,Homosexual,B,-77.97104032972257,C,B,A,1
Other,95,Mental,Homosexual,D,139.13640133638847,C,D,B,1
Christian,26,Physical,Other,C,-60.111950115220445,A,B,E,1
Buddhist,34,Mental,Bisexual,A,218.04946894486096,E,E,E,1
Hindu,93,Physical,Bisexual,B,59.81687728105038,E,A,E,0
Hindu,57,No,Bisexual,B,18.933754850233463,D,E,C,0
Muslim,46,No,Homosexual,B,-103.26827922658981,C,B,C,0
Muslim,91,None,Homosexual,E,22.848168256674377,C,A,E,0
Other,52,Yes,Other,B,-225.86627935150153,D,C,A,1
Muslim,62,None,Homosexual,D,81.54627504948463,D,C,D,1
Muslim,88,Physical,Bisexual,C,39.61974456827439,C,B,D,1
Other,18,None,Heterosexual,B,106.1746296852156,D,A,E,0
Muslim,80,None,Heterosexual,C,132.32735402909233,C,A,A,0
None,20,Yes,Heterosexual,C,-45.46339184930355,D,E,E,1
Hindu,75,Both,Homosexual,D,-97.69157368306557,A,C,E,0
Jewish,42,No,Heterosexual,E,-78.11680900147748,A,C,C,0
Buddhist,82,Physical,Heterosexual,A,-71.32328111221908,A,D,D,0
Other,59,Both,Other,B,-9.979203662723073,E,C,B,1
Christian,44,Physical,Heterosexual,A,-23.64132297034336,A,E,B,0
None,59,Both,Heterosexual,C,-17.205560076669034,C,D,A,0
Other,57,No,Other,A,81.55435134207407,C,C,E,0
Christian,48,Both,Other,C,129.67257463919526,E,B,A,0
Christian,21,Yes,Homosexual,D,-94.78516203457515,E,C,E,1
None,27,Mental,Other,B,95.02599140105345,B,C,D,0
Jewish,74,No,Bisexual,C,84.03443977715773,B,A,B,0
Hindu,70,Physical,Heterosexual,B,37.710935673271294,E,C,A,1
Other,97,Yes,Homosexual,A,24.30979676509287,D,D,A,1
Muslim,32,Yes,Homosexual,C,-156.20632593080097,E,B,A,1
Muslim,97,Mental,Homosexual,B,-67.94915260091258,B,D,A,1
Buddhist,44,No,Homosexual,D,5.880757123224638,C,E,B,1
Other,41,No,Homosexual,E,-137.89305824919526,A,E,A,1
Christian,47,Yes,Heterosexual,A,36.338652377535944,B,C,D,0
Muslim,78,Physical,Heterosexual,A,-6.576360743514063,E,E,C,0
Hindu,99,No,Other,D,-147.89980507325686,D,B,A,1
Christian,65,Yes,Bisexual,B,10.419674803211109,B,D,A,1
Other,35,Both,Homosexual,E,-52.67727671933466,A,B,E,1
Hindu,57,Mental,Bisexual,E,95.45016860242171,A,A,D,0
Christian,36,Yes,Other,B,-42.41982991532947,A,E,A,1
Muslim,31,Both,Homosexual,A,152.00810562804293,A,D,B,0
Other,52,Mental,Bisexual,E,-20.93326793466395,E,C,E,0
Hindu,39,Mental,Heterosexual,B,68.65799754684343,E,D,C,0
Other,72,None,Heterosexual,E,24.164012415928703,A,B,E,0
Jewish,25,No,Heterosexual,D,-191.85419668189238,E,A,B,1
Muslim,65,Physical,Bisexual,D,-53.3892720521975,A,E,C,1
Hindu,72,No,Homosexual,B,-4.270116853581137,C,C,A,0
Hindu,28,Mental,Heterosexual,D,-56.96312392883406,C,C,E,0
Buddhist,60,None,Heterosexual,B,-43.76698337764415,E,B,E,1
None,27,Physical,Heterosexual,B,47.380075962863124,E,B,A,0
None,74,None,Homosexual,C,-30.480440814289807,E,B,A,0
Buddhist,62,Yes,Homosexual,C,73.41965316176892,A,D,D,1
Christian,97,None,Other,B,0.6879627626840049,B,D,B,0
None,84,Yes,Bisexual,B,2.735325242216718,E,C,D,0
Hindu,87,No,Bisexual,E,-139.3852631357136,C,A,B,0
None,94,Yes,Other,A,41.177016436465344,A,B,A,1
Other,87,Mental,Other,D,48.576250519963224,C,C,A,1
Buddhist,73,Physical,Homosexual,D,95.09417474779525,A,D,D,1
Jewish,70,None,Other,C,23.221580220123656,E,E,B,0
Christian,39,Physical,Heterosexual,B,-58.446143212721914,E,B,B,0
Muslim,55,Mental,Homosexual,E,-31.290381195662125,B,A,B,0
Jewish,66,Yes,Heterosexual,C,207.82812803520923,D,A,D,0
Buddhist,54,Yes,Bisexual,C,-89.65850701019701,E,E,D,0
Christian,28,Physical,Homosexual,B,159.13215010859486,D,B,D,1
Buddhist,42,Both,Other,C,77.99314489150906,C,A,A,0
Muslim,87,Mental,Other,B,-180.0132697342247,C,C,C,0
Hindu,38,Physical,Heterosexual,B,-92.49900149310295,B,D,A,0
Other,71,Physical,Other,B,-137.88859088430019,C,D,A,1
Muslim,25,Physical,Homosexual,A,11.854606045805156,D,C,C,1
None,39,Yes,Homosexual,B,22.547373014316424,B,C,C,0
None,93,Physical,Heterosexual,A,1.5830698337866735,A,A,D,0
Jewish,91,None,Other,A,-11.051491545515324,E,E,A,1
Other,37,Mental,Heterosexual,E,-31.44589082271588,A,D,A,0
Jewish,22,No,Other,A,122.29736555834528,A,C,B,1
Other,99,None,Homosexual,A,159.0602064476041,C,A,B,1
Christian,97,Mental,Other,D,-31.46176767542877,E,C,C,0
Hindu,71,No,Heterosexual,E,10.329566706435223,E,B,E,1
Jewish,93,Physical,Bisexual,E,-51.616830255546375,B,B,A,1
Other,45,Yes,Homosexual,E,-74.74233167259922,B,D,D,1
None,89,None,Heterosexual,C,234.47773671335676,B,A,B,0
Hindu,29,No,Heterosexual,B,-51.213333818122884,E,D,C,0
Buddhist,54,No,Bisexual,C,18.939142097470658,E,B,D,1
Christian,67,Physical,Bisexual,B,75.41900496389458,B,B,C,0
Hindu,65,No,Homosexual,E,-16.377446269707164,B,E,B,1
Other,33,Yes,Heterosexual,B,105.3076805133377,E,D,E,0
Muslim,42,Both,Other,C,88.61582882667216,A,A,C,1
Christian,81,No,Bisexual,E,-56.2847412666436,C,B,C,0
Christian,40,Physical,Bisexual,C,45.47831160366218,E,C,A,1
Muslim,98,Mental,Bisexual,A,-114.78503645551366,C,C,E,1
Other,91,None,Heterosexual,D,-42.552467409257076,E,C,B,1
Other,94,None,Homosexual,B,-76.61159513056565,E,A,E,1
Jewish,62,Both,Other,D,144.76796608524006,A,C,B,1
Buddhist,88,No,Bisexual,D,-118.40466694767204,A,C,B,0
None,93,Yes,Heterosexual,E,-27.079287143517433,A,A,B,1
Other,82,Yes,Homosexual,B,-68.16179899916118,E,A,E,0
None,51,Both,Other,B,-7.554112663970401,B,B,D,1
None,75,None,Other,C,-55.815464068224365,B,C,A,1
Muslim,41,No,Bisexual,A,-118.14886161337246,A,A,A,0
Muslim,35,No,Other,B,-64.03613337691682,E,E,B,1
Muslim,79,Physical,Other,C,-36.04515401014614,C,E,C,0
Muslim,59,Physical,Homosexual,E,92.48318687791166,D,D,B,1
Christian,88,Physical,Other,D,-27.991887171146995,B,D,A,0
Jewish,39,Mental,Bisexual,E,-112.71518289902806,A,C,E,0
Hindu,80,Physical,Bisexual,B,14.37911556078092,D,D,B,1
Muslim,69,Physical,Heterosexual,E,76.10634995451413,D,C,D,0
Buddhist,42,Physical,Homosexual,B,32.0497715421814,B,A,C,0
Hindu,62,Physical,Other,E,4.7234725953840435,E,D,D,0
Jewish,54,Yes,Bisexual,E,-70.16959254588338,E,D,A,1
None,84,Physical,Homosexual,D,265.2524300031901,C,D,C,1
Buddhist,47,None,Bisexual,C,38.824480441787784,E,E,B,1
Muslim,85,Mental,Homosexual,B,-179.31403781172196,C,C,B,1
Muslim,83,Yes,Other,D,-35.592853904225876,D,E,C,1
Muslim,45,Physical,Homosexual,A,29.313802795290595,B,D,B,1
Hindu,59,Yes,Homosexual,C,-28.5987238875363,C,C,D,0
Buddhist,44,Both,Heterosexual,E,52.70966353609219,E,D,A,1
Buddhist,68,Physical,Bisexual,A,78.97201876515716,C,E,B,1
None,56,Mental,Homosexual,E,-32.03944035086505,E,D,E,0
None,83,Physical,Homosexual,B,6.0634025836852015,B,E,B,0
Muslim,84,None,Heterosexual,A,98.65906923565497,C,A,D,1
Buddhist,46,Physical,Heterosexual,A,-28.082253237885517,B,C,C,1
Muslim,50,Physical,Heterosexual,E,35.916135396988096,E,A,A,1
Muslim,29,Physical,Homosexual,C,-136.3106428685618,A,B,A,0
Hindu,40,Yes,Homosexual,C,75.57876253748785,D,D,E,1
Muslim,88,Mental,Bisexual,B,75.49902660222261,D,C,B,1
Muslim,22,Yes,Bisexual,D,-21.842896013703466,E,A,D,0
Jewish,37,Yes,Homosexual,D,44.68624763205432,A,C,C,1
Christian,73,None,Heterosexual,D,-22.033109601283797,D,A,D,0
Hindu,88,None,Other,C,-28.675652916316423,E,E,C,1
Hindu,75,No,Other,E,92.66313004927365,B,C,E,1
