AgeGroup,married,nation,veteran,feature_0,feature_1,feature_2,feature_3,feature_4,target
36-50,Widowed,US,Veteran,86.98601736782759,C,E,D,-215.02545360787485,0
51-65,Divorced,Germany,Yes,-75.57851037094025,C,E,B,100.0572607801292,1
18-25,Married,Other,Veteran,132.1818336659202,B,B,A,48.225070839106465,0
26-35,Married,US,Non-Veteran,-30.132588845500198,D,C,D,-185.79125488613604,1
18-25,Married,Brazil,Non-Veteran,3.294748916678096,B,A,D,1.7422769798785902,0
18-25,Divorced,India,No,63.682991192158276,E,E,D,-190.70571709688565,0
51-65,Widowed,US,Veteran,-56.57869042195166,E,D,D,12.456099533497596,1
36-50,Single,India,Non-Veteran,0.6041322972804145,D,E,D,79.53791534705812,1
26-35,Married,US,Non-Veteran,39.61255425018087,A,C,B,185.01618592193665,0
51-65,Married,US,Yes,-7.987493913710214,D,E,D,22.16166160047045,0
65+,Divorced,Germany,Yes,-228.59315743173036,E,C,A,200.71267953770266,1
18-25,Single,Brazil,Non-Veteran,-3.314767639177519,E,C,A,-32.91717515229497,1
18-25,Single,China,Non-Veteran,43.72923735769193,B,C,C,3.611170458318057,0
18-25,Married,Germany,Yes,-69.35604027180395,A,D,C,-124.39497469993412,1
18-25,Widowed,US,Yes,-75.85324519727996,D,D,A,-56.35591705150059,0
65+,Single,US,Yes,85.24261954461223,D,E,E,70.42256400540322,1
18-25,Divorced,US,No,-22.143315057932767,E,C,D,100.4170562619372,1
26-35,Divorced,India,Yes,-5.9360302005633026,E,E,E,67.18327851681258,1
26-35,Married,India,Veteran,-36.87385204416857,A,E,A,3.909913424445915,0
18-25,Widowed,Germany,No,-70.32900647484762,B,B,B,143.65605074942155,0
36-50,Married,China,No,5.370423847300954,E,E,D,-50.745491680442534,0
51-65,Widowed,Brazil,Non-Veteran,77.56689958622933,E,E,C,-255.13871248116712,1
18-25,Widowed,UK,No,-26.320029486862406,E,B,B,-107.37174317288087,1
36-50,Married,US,Non-Veteran,-92.38978002460179,B,D,C,160.75613377088843,0
65+,Divorced,Germany,No,-154.2513526077048,C,D,A,64.44580233481084,1
26-35,Single,Brazil,Yes,53.79846059816419,B,B,E,86.36041951117444,0
51-65,Widowed,India,Non-Veteran,-202.6792758734108,D,A,B,160.31548869224167,1
26-35,Divorced,Other,No,-100.33337761390541,D,C,E,146.9003166172551,1
18-25,Divorced,Other,Non-Veteran,155.4530404840871,A,A,D,-146.8445679106209,0
18-25,Widowed,Brazil,Veteran,-178.85566005783272,C,A,E,-8.758209935536925,1
65+,Divorced,China,Non-Veteran,-277.1676279034719,B,C,C,32.99962031109963,1
65+,Married,Brazil,Non-Veteran,32.59241225586132,C,D,B,-40.704013225604655,0
36-50,Divorced,China,Yes,18.5078338676274,A,E,B,-119.32164008812205,1
65+,Divorced,India,Veteran,214.4610994591965,A,A,C,168.46117342102445,1
26-35,Widowed,Germany,Non-Veteran,7.845031285244838,C,B,D,-156.6402657785974,1
51-65,Single,Germany,Veteran,290.72370284235103,C,A,B,-47.36255724438958,1
26-35,Married,Other,Yes,-256.6927604187655,B,D,D,-16.089337603051643,0
51-65,Single,India,No,-74.37584425084978,A,C,E,2.1645789885646685,0
51-65,Divorced,India,No,-124.97513121666577,A,A,D,-53.86630867833174,0
26-35,Married,India,Veteran,-82.56848036056057,E,D,B,-9.097721676261482,0
26-35,Widowed,China,Yes,-46.72904767224632,E,D,D,-74.2596545733436,1
65+,Divorced,Mexico,Yes,-79.69077228944971,D,D,A,4.845027721109112,0
26-35,Married,Mexico,Veteran,-17.74780539565817,E,D,C,-68.41773842477625,1
26-35,Widowed,US,Yes,-55.84347906428899,D,C,A,-236.71873445838597,0
26-35,Widowed,US,No,18.17206081774784,C,D,A,108.81511672477164,0
26-35,Widowed,Mexico,Yes,134.18656276124048,E,E,C,114.73865144649753,1
18-25,Divorced,Other,Yes,51.20602134083473,B,D,B,-16.4801593662323,1
18-25,Widowed,Brazil,No,-65.12636322190973,A,D,D,-24.37480966968583,0
36-50,Married,India,Veteran,7.416327363034815,A,E,B,96.21896916556086,1
18-25,Married,Mexico,Yes,-158.07600497813874,B,C,B,15.692148371649356,0
18-25,Divorced,UK,No,-6.824283715079066,B,D,C,-83.6958930929475,1
18-25,Divorced,US,Non-Veteran,-0.1009764722767244,D,E,B,13.166912979258807,0
65+,Single,Mexico,Veteran,32.96930383450093,A,A,E,64.67590807974818,0
26-35,Divorced,Mexico,Veteran,54.871108227163646,B,B,E,16.494063082492648,0
26-35,Divorced,US,Yes,-43.14619196615943,E,B,C,-28.172795182299026,0
36-50,Single,India,No,-6.806194835473985,B,D,D,-108.720137464605,0
26-35,Widowed,Mexico,Non-Veteran,72.28013622477184,A,D,A,7.426243536261673,0
51-65,Divorced,Brazil,Yes,40.86766644593929,A,B,E,-72.68286218905601,0
36-50,Married,India,Non-Veteran,-63.94654361399069,C,E,B,104.7955444161807,1
65+,Widowed,Other,No,-207.86644277218426,A,C,D,86.53615864143576,1
36-50,Widowed,US,Non-Veteran,177.76144620203905,C,B,E,-46.83799058277922,1
51-65,Single,India,No,-124.35592855421976,B,B,C,4.510568515915251,1
51-65,Widowed,Brazil,Yes,112.85739410587945,C,D,D,-2.0961477350732927,0
65+,Widowed,UK,Veteran,2.326100653396132,A,D,E,-123.77185860767462,0
18-25,Divorced,Germany,Yes,-33.27202586087551,E,B,A,-162.38466778345324,1
18-25,Divorced,Mexico,Non-Veteran,19.993805854541304,B,A,B,191.59301953711793,0
51-65,Divorced,India,No,96.06959058236973,A,C,B,0.6075210990787627,1
51-65,Widowed,US,Veteran,-103.05814645579885,D,D,B,-90.86011287166743,0
18-25,Single,Mexico,Veteran,-42.74034242707073,C,A,E,130.70685667739897,1
51-65,Single,US,No,157.16565297360304,E,B,B,27.07366845863942,1
26-35,Single,India,Non-Veteran,-133.1753449840145,A,B,B,-115.20956655318702,0
65+,Married,Brazil,Yes,-95.62044313751625,D,C,D,32.91659913860037,0
51-65,Single,Germany,Non-Veteran,4.813980688114613,A,D,C,162.03550109333202,0
51-65,Divorced,China,No,-80.58937630606313,B,C,C,46.358808047341675,0
65+,Single,Brazil,Non-Veteran,60.553671494429565,A,A,A,-125.12593030284769,0
36-50,Divorced,Germany,No,-284.48034178915486,B,C,A,36.340460842289616,0
65+,Single,Mexico,No,32.99173419865444,A,E,E,-46.703074232674965,0
65+,Single,Brazil,Yes,-165.48578026544786,E,A,C,16.869382682012002,1
65+,Married,India,Veteran,87.6292004137422,D,A,B,20.639618415213903,0
51-65,Single,India,No,-61.043047987807974,D,E,E,-166.48129431423305,0
26-35,Divorced,India,Veteran,-123.936781848452,C,D,D,3.6418062742054684,0
51-65,Married,US,Non-Veteran,-76.3140321695593,A,B,E,-51.306404510139245,1
18-25,Widowed,Germany,No,-177.7065140173454,B,E,B,-10.916080390810313,1
18-25,Married,US,Veteran,-64.37666794419002,C,A,A,-46.05695850983083,0
26-35,Widowed,Germany,Non-Veteran,-104.28728242156933,C,C,B,-89.91273646812589,0
36-50,Married,China,Non-Veteran,94.43385139404879,C,A,D,172.1116588021752,0
65+,Married,UK,Non-Veteran,57.18356730004073,D,A,A,-37.95208296645094,1
51-65,Single,Brazil,Yes,-45.09048406211385,C,B,B,183.1782599465572,0
18-25,Divorced,Other,Veteran,33.31077280542368,C,C,E,-103.8692588120388,1
51-65,Single,Germany,Yes,-75.97522568235209,B,A,A,21.90454166160461,1
51-65,Single,Brazil,Yes,79.64489885968673,B,D,D,67.98386174703043,0
26-35,Widowed,Mexico,No,-66.99371089783527,B,C,A,116.57270489713628,1
65+,Divorced,Germany,No,45.788636904035805,E,B,D,7.804097301428474,1
18-25,Single,UK,Non-Veteran,196.32879088835227,D,E,B,0.76098177522474,1
65+,Single,China,Veteran,192.36657254778922,A,A,B,251.40034077858763,1
26-35,Widowed,Germany,Yes,-12.366359477461506,B,B,D,-38.063052463708736,1
36-50,Divorced,Germany,Veteran,-84.90713137042093,D,E,D,12.005526577677388,1
26-35,Widowed,India,Non-Veteran,-52.793246193478474,B,A,D,-57.9032324848467,1
18-25,Widowed,India,Veteran,-61.39652885853799,B,A,E,173.8993207966679,1
65+,Married,Brazil,Non-Veteran,-106.33646863666311,D,E,A,-69.36847672208398,0
65+,Divorced,Other,Yes,-76.1630352304265,C,D,D,127.17704641231396,1
18-25,Widowed,Other,Non-Veteran,41.02740530484002,A,A,E,-132.13854188687216,1
36-50,Married,Germany,Yes,-55.43501260720633,B,E,D,63.47121804211435,0
18-25,Divorced,China,No,63.464804731676615,A,B,B,-43.1142172965562,0
36-50,Married,US,Non-Veteran,-33.82747410178966,A,C,B,122.58494892138772,1
65+,Married,UK,Yes,-139.5283067476813,B,E,B,46.06398418988994,1
18-25,Married,UK,Non-Veteran,-24.9164618882366,D,E,C,-91.64634036334338,1
18-25,Widowed,India,Veteran,153.3061480410696,A,B,D,-95.24661769532716,0
51-65,Single,Germany,Non-Veteran,-39.49868212672113,C,E,C,-18.399440536125088,1
36-50,Widowed,Other,Yes,30.495750979863757,D,B,B,-24.61977080213571,1
26-35,Single,Brazil,Non-Veteran,-174.1974323207114,C,B,E,-16.220191782907396,0
18-25,Single,Brazil,Yes,-24.277086602947556,C,A,B,58.20634872119905,1
18-25,Divorced,US,Veteran,-27.53990211353312,A,A,C,-97.66140056369429,1
36-50,Married,Other,Yes,36.92572794149029,D,B,D,-93.25887204077293,0
65+,Divorced,Germany,Non-Veteran,16.993824744155443,A,E,E,201.27181545865392,0
18-25,Widowed,Germany,No,-10.904629269855393,D,E,E,66.77959455234856,0
26-35,Single,US,Non-Veteran,-144.02128439672288,B,C,B,-74.43828721176948,0
65+,Married,UK,Yes,-3.5211992407395454,B,D,A,-23.561915938443473,1
18-25,Divorced,Mexico,Non-Veteran,15.016420056474905,E,C,E,-69.65525267126111,0
65+,Widowed,UK,No,-111.49449228978578,D,A,C,-40.910189232067964,0
26-35,Widowed,Brazil,No,-50.250055883340636,B,C,D,159.34791779983075,0
36-50,Divorced,Brazil,Non-Veteran,69.91106540898431,A,E,C,136.83418442280055,0
18-25,Single,Mexico,Veteran,27.40532553771014,D,C,E,44.35831583832094,0
18-25,Married,India,Non-Veteran,-156.75216690532835,D,A,D,8.69013440606631,1
65+,Divorced,UK,Veteran,-124.16949300219149,D,E,C,264.5550844175433,1
65+,Divorced,US,No,82.0849943583855,C,D,A,84.62309627675991,1
18-25,Widowed,Mexico,Yes,-285.63731545246344,B,B,B,-52.733440669280284,0
26-35,Married,Germany,Non-Veteran,-144.35251915029485,D,E,A,-158.3381563560661,0
51-65,Single,Brazil,No,-7.129230249825695,C,B,D,-65.09300437545895,0
26-35,Married,India,Non-Veteran,-78.39946677502411,C,B,C,31.90197085004911,1
18-25,Married,Brazil,Non-Veteran,108.47238121969323,C,C,D,164.8277558557624,0
36-50,Widowed,US,No,-144.18564686722684,B,D,D,1.765819970265015,1
18-25,Single,UK,No,-98.43070120503103,A,B,B,93.71356641832868,0
26-35,Married,India,Yes,21.79608702406823,D,E,A,83.2502757846708,0
65+,Divorced,Brazil,Veteran,-11.369949602388314,B,E,A,-26.77231049410559,1
36-50,Divorced,China,Veteran,136.6293538895151,E,D,A,-186.62835640964664,0
65+,Divorced,China,Veteran,-116.37236329980864,C,A,B,-59.979649163796125,1
26-35,Divorced,China,Non-Veteran,37.538503009746,C,D,D,127.08115022324596,0
65+,Single,Mexico,No,16.621880470882505,C,D,E,114.37469717069797,0
51-65,Widowed,Mexico,Non-Veteran,80.56633167955218,A,D,B,191.28410275907152,0
65+,Married,Mexico,Veteran,102.158174151515,C,C,E,-36.63700100590685,1
65+,Widowed,China,No,-255.49863816484725,E,A,E,64.76063865374894,0
51-65,Widowed,UK,Veteran,-62.38674520187071,A,B,E,204.95328415344818,0
18-25,Married,US,Yes,183.27343292668525,A,E,C,63.03936345443382,0
51-65,Widowed,US,Yes,102.19254063808509,C,A,A,29.835899658329073,0
65+,Widowed,Mexico,Non-Veteran,-98.51534215807352,E,D,A,8.66501660667056,1
65+,Divorced,Brazil,Yes,59.268423758158676,C,B,C,-17.219188620489962,0
18-25,Married,Germany,Non-Veteran,53.506129912445786,D,C,D,-32.73975653108092,1
18-25,Widowed,Brazil,Non-Veteran,-49.57281831612267,E,C,E,-155.63473551709436,1
51-65,Married,Germany,Non-Veteran,-50.3071065117323,A,D,D,160.49425204176026,0
65+,Widowed,Other,No,29.3382317180313,A,D,B,14.119805877087217,1
18-25,Married,India,No,-32.588831996122565,B,B,D,52.000907483071934,0
65+,Single,Mexico,Yes,114.39585519279005,A,B,E,156.7437580236896,0
36-50,Married,US,No,-82.0640987506352,B,C,C,25.72318822733002,1
26-35,Single,US,Non-Veteran,95.66434137448925,B,C,C,-20.383400694189678,0
36-50,Divorced,Other,Yes,-111.73156873073108,C,D,B,-33.39387604080066,0
36-50,Divorced,India,Non-Veteran,-115.20333534007689,C,C,D,18.787936304723363,0
26-35,Married,India,Veteran,-149.12814333431572,D,D,A,106.32635370405549,0
26-35,Divorced,UK,No,118.7495918372369,A,A,A,12.900505602634006,0
26-35,Widowed,Germany,Yes,104.610498736067,D,D,C,-138.84044625131622,0
26-35,Widowed,Mexico,Non-Veteran,194.13609907481666,A,B,A,133.76017192808035,0
26-35,Married,UK,Non-Veteran,287.3004430527409,E,D,C,1.9651385542996063,1
51-65,Widowed,China,No,-84.551273844968,A,D,D,180.79501193078406,0
18-25,Single,US,Non-Veteran,194.2412648837982,C,B,A,36.30345068166609,0
65+,Divorced,Brazil,Veteran,11.98762720059269,B,E,B,12.752033030880847,0
36-50,Single,UK,Yes,-42.78057602158113,B,D,C,117.4461543531898,0
18-25,Married,India,Non-Veteran,78.88664134832032,C,B,E,25.78376518125962,0
65+,Married,UK,Non-Veteran,136.03276860580107,E,D,D,135.6127944977873,1
26-35,Divorced,Brazil,No,-130.374424101465,A,B,D,40.08574868585367,0
65+,Single,India,Non-Veteran,-89.97633423876923,C,C,D,-31.946797494185724,0
26-35,Married,Brazil,Yes,-11.847413120550437,E,D,C,-53.400472446509184,0
65+,Single,India,Veteran,6.94709330343043,E,A,C,-117.26204823098749,0
51-65,Married,Germany,Non-Veteran,28.97520691801509,A,A,A,-1.569468032406256,0
51-65,Divorced,Mexico,No,-74.61382815077621,C,C,E,144.07565629300007,1
26-35,Married,Other,Veteran,70.73110379497439,E,C,B,-7.343771761423326,1
26-35,Widowed,Brazil,No,-12.08987973515161,B,E,C,-54.80127897912561,0
36-50,Divorced,Brazil,Non-Veteran,132.26344881375164,E,C,B,128.33186119764545,1
51-65,Divorced,Other,Yes,122.81264128766993,A,A,B,184.08428974954083,0
18-25,Single,US,Non-Veteran,-143.96395701771405,D,A,D,-69.41252718364935,0
36-50,Married,Germany,Yes,21.00820310630198,A,A,C,80.16799671167033,1
65+,Married,Brazil,Veteran,44.21033994825741,B,D,E,-147.40684363177024,0
51-65,Divorced,Other,Veteran,-134.4599879204699,B,C,D,128.38843386326292,1
51-65,Married,India,Yes,27.786964767111677,D,E,E,152.6382665298829,1
51-65,Divorced,Brazil,Veteran,-41.958596644622816,C,C,E,88.52143267610708,0
26-35,Widowed,UK,Non-Veteran,15.636451526136613,B,C,B,-56.009047711086936,1
18-25,Single,Other,Veteran,311.90813316584445,D,E,D,-129.99531202096085,0
51-65,Married,Mexico,No,-119.16635585400282,B,A,B,14.410188740200436,0
26-35,Single,China,No,-53.428718415688394,E,A,B,-28.972419954324625,0
36-50,Married,UK,Veteran,-84.89802807486856,E,B,B,-86.92436595313254,1
51-65,Divorced,US,Veteran,178.18038388998076,E,D,E,68.07708224276536,1
26-35,Widowed,US,Non-Veteran,-288.38998605367794,E,B,E,119.82199440635262,0
36-50,Widowed,Other,Yes,-45.67071847711217,B,B,C,152.83389952748837,0
51-65,Single,India,Yes,-117.06995086398604,E,D,D,8.394805570651968,1
51-65,Widowed,Brazil,No,-5.679627167245196,C,A,C,-57.19503952894793,1
51-65,Single,UK,Veteran,119.48230714169006,E,C,A,114.69435338163319,0
36-50,Married,Other,Veteran,196.04333172868064,D,C,E,79.32749556835404,1
51-65,Married,Germany,Veteran,-126.41501621584715,E,D,E,61.157885642725695,0
18-25,Divorced,Brazil,Non-Veteran,115.65939218705992,C,C,B,234.4264174158779,0
51-65,Married,Mexico,No,128.20580967116095,A,A,D,136.5353983804303,1
51-65,Widowed,China,No,13.602214720313418,B,B,E,-53.76027533609932,0
36-50,Married,India,Veteran,30.59128974687387,D,E,E,43.94567987362834,1
18-25,Married,Germany,Yes,-200.03374437183217,A,B,D,-33.66995654907115,0
65+,Single,UK,Veteran,112.75976666573833,B,C,D,-81.04357420615597,1
36-50,Single,Germany,Veteran,-93.80501806213391,B,E,D,-7.081552986850406,0
18-25,Single,Other,Yes,-21.297602543951704,C,B,B,37.32864594942221,0
65+,Divorced,Other,No,-11.836382416549126,D,A,D,163.37797286746627,0
26-35,Single,UK,No,109.56473828933977,E,C,E,141.44525239725985,0
51-65,Married,Other,Non-Veteran,-221.68201835277816,C,B,A,-53.930831405951466,0
26-35,Divorced,Other,Yes,29.271532387360626,E,B,E,-44.96211532627645,0
26-35,Widowed,China,Veteran,-49.649046901693964,C,A,C,-240.59743241236467,0
51-65,Widowed,India,Veteran,121.35106272558545,E,E,B,127.44969141399893,0
18-25,Widowed,Mexico,Non-Veteran,133.15228563601053,D,A,B,-223.1851940812918,0
26-35,Single,UK,Veteran,52.13244148070807,B,D,D,-107.5079651287731,0
18-25,Single,Germany,No,-128.57426582949313,B,A,D,41.4835741423887,0
26-35,Single,Brazil,No,-34.248526594137296,A,B,E,33.04810011556475,0
65+,Divorced,China,No,-40.52545452931537,A,C,A,167.72757531945078,1
18-25,Married,Brazil,Non-Veteran,11.793800557253107,C,A,B,-100.43629919796521,1
36-50,Widowed,UK,Yes,150.00457418700825,C,A,A,31.39448352482002,0
26-35,Single,China,Yes,52.8043873860205,D,D,A,-128.14095302830108,0
51-65,Married,Mexico,Non-Veteran,-88.87544566693218,D,A,C,-70.88396115500566,1
65+,Divorced,Other,Veteran,127.88464962111283,A,A,D,61.399497598797204,0
65+,Married,Mexico,No,-7.068440425346028,B,E,B,-135.69852859834097,0
36-50,Divorced,Brazil,Yes,12.009204661073671,A,A,E,77.87537619903289,1
65+,Divorced,Other,Veteran,-88.67694438162204,E,B,D,-22.063422190852457,0
65+,Single,China,Veteran,103.54052603908607,A,D,C,-1.3584892875564432,1
51-65,Widowed,UK,No,-43.320504362079255,E,C,C,-21.635238683781573,0
36-50,Widowed,Other,Veteran,45.19215261984086,C,E,E,21.70680024709983,0
26-35,Single,Brazil,Veteran,90.84783595981891,E,D,E,30.69768603084158,1
36-50,Widowed,India,Yes,-42.274299282973764,E,A,D,35.68313195079568,0
26-35,Single,Mexico,Yes,50.44883243370032,A,A,C,36.027720117131985,0
65+,Divorced,India,Yes,-99.36082950048674,A,A,B,-15.223637035705002,0
36-50,Single,India,Veteran,-85.22334179136585,E,D,C,-60.68857625934078,0
36-50,Married,China,Yes,54.5529384336959,D,A,E,-75.08288777944497,1
26-35,Widowed,Germany,Yes,80.14169729993273,E,C,D,153.95101680052673,0
36-50,Divorced,Other,Veteran,59.106555170856204,C,D,B,314.5551751173783,0
36-50,Divorced,Other,No,-26.912647612504117,D,C,D,37.74403228336033,1
51-65,Married,India,No,-91.6536608310058,D,E,C,-27.191151038669283,0
36-50,Married,China,Yes,16.120838549141897,B,A,D,11.683435316982612,0
36-50,Divorced,India,No,59.43965894430865,A,C,D,-16.750650598258034,0
65+,Single,Other,Veteran,90.05691841336107,B,A,E,92.42002143439879,0
51-65,Widowed,Other,Non-Veteran,94.5892780093483,C,E,D,40.0581533020539,0
18-25,Married,Germany,No,-223.46086848100762,E,C,B,-111.79901189777534,0
65+,Married,Germany,No,28.790326774121517,C,C,A,-130.87660262050738,0
26-35,Single,China,No,35.17423914603718,B,C,C,-163.10352749708292,0
36-50,Divorced,Mexico,No,-14.466327314846833,C,E,A,-18.211912239727294,1
26-35,Widowed,Other,Veteran,2.0198435202204243,E,E,E,-26.951162809460122,1
26-35,Single,US,Non-Veteran,-8.026483474165136,A,C,C,53.67724738027704,1
26-35,Widowed,China,No,95.95879002071909,D,D,A,-64.43856539079985,1
51-65,Widowed,Other,Yes,-146.0572474770337,E,A,B,106.76731997185055,0
36-50,Widowed,Brazil,Yes,-125.44610322800244,C,A,C,-102.93012020018304,1
18-25,Divorced,UK,Veteran,42.18755794679257,D,D,D,142.67339627019402,0
26-35,Widowed,Mexico,Non-Veteran,1.0421707119620085,C,D,D,-192.48312705838015,1
65+,Divorced,US,No,88.12277103773346,A,E,C,167.25263456884431,0
26-35,Divorced,Brazil,Yes,16.68583152790462,D,B,C,-1.8331685337722539,1
65+,Single,China,Yes,-106.7003157131307,C,A,C,40.04877312972081,0
26-35,Divorced,Other,Non-Veteran,-88.80616350864015,D,B,A,-95.19194680168206,1
18-25,Widowed,UK,No,73.04228315482881,D,E,B,-5.434308384471255,1
18-25,Divorced,US,Veteran,-1.7523306431178765,B,D,E,67.51082525061858,1
65+,Single,Mexico,Non-Veteran,-37.08723227441263,C,B,E,0.8016321262129931,1
65+,Single,Brazil,Yes,35.86266309801406,A,D,B,112.954574640817,0
51-65,Married,UK,Non-Veteran,-68.56711967113895,B,E,B,-35.95785374056058,1
65+,Widowed,US,No,34.960246317239125,E,D,C,21.067482597202414,1
51-65,Married,Brazil,Veteran,64.09531593112544,E,B,A,-144.11102237677454,0
51-65,Single,UK,Yes,-100.27227791539414,D,A,D,-37.81959829050631,1
26-35,Widowed,UK,No,31.28097983540207,D,A,C,144.5129527357256,0
26-35,Single,China,No,-104.93892505332651,C,D,A,-63.781073942340974,1
26-35,Widowed,US,Yes,-170.87474260564275,D,E,A,107.58942521508065,0
26-35,Widowed,Germany,Non-Veteran,42.11558514197764,D,B,E,137.98134328927046,0
51-65,Divorced,US,No,-29.742113371585233,C,E,A,106.24613130993062,0
51-65,Widowed,Germany,Yes,-84.05572386225842,E,A,B,-45.52914714291868,1
26-35,Single,Other,Yes,-99.07163688332247,D,C,A,-41.07518043545607,0
36-50,Widowed,China,No,12.393325793395388,C,E,C,-112.7849125456996,1
65+,Single,China,Non-Veteran,-70.9290496007285,E,D,D,182.47900280507417,0
18-25,Single,Mexico,Non-Veteran,3.3316321661708987,A,B,E,254.72876416651366,1
36-50,Widowed,UK,Non-Veteran,66.18555687979664,E,B,D,27.755667038087818,1
65+,Divorced,Mexico,Veteran,-175.4857172003475,B,D,D,109.88400536418644,1
26-35,Single,Mexico,No,6.006662016702709,E,B,B,205.88832789240539,1
18-25,Divorced,India,Yes,-217.2096295863204,D,E,B,80.08027306501057,1
51-65,Married,India,Non-Veteran,-58.05241326599183,E,E,E,-5.987587317939156,0
26-35,Widowed,India,No,45.714069892139634,A,B,D,-105.7431696881836,0
26-35,Married,Brazil,Yes,-85.81786600989938,D,D,D,92.78002560075655,1
65+,Married,UK,Yes,-11.219958421494566,B,A,D,-197.9834742714753,0
26-35,Married,Brazil,Yes,10.95138614804747,C,B,B,-4.989771063541561,0
36-50,Single,Brazil,Veteran,8.091419433251268,E,D,B,129.58475061656205,1
18-25,Widowed,Brazil,No,-46.83559346980047,E,A,A,114.18819978375106,1
51-65,Single,Other,Yes,-106.33550797810732,C,A,C,-183.9793239435639,1
51-65,Widowed,UK,Yes,95.81471303974067,E,B,E,197.01243145557746,0
18-25,Single,Germany,Yes,79.57077989072324,B,A,C,96.96373135347422,0
26-35,Married,India,Non-Veteran,-105.54857139537634,D,A,B,83.89473261384221,1
18-25,Single,India,Yes,-102.06073219686671,A,E,A,11.883950017940561,0
51-65,Married,UK,Veteran,221.04771160990884,C,E,C,68.31867439114525,0
65+,Single,Mexico,Veteran,-109.42191123643792,D,A,B,156.18364443529572,0
51-65,Widowed,UK,Veteran,8.611477131362104,A,B,C,-163.86926576180673,1
36-50,Married,Mexico,Veteran,-105.19838133508304,B,B,B,-52.93823431998235,0
51-65,Married,UK,No,23.16779780722687,C,D,C,-23.430535159743332,0
26-35,Widowed,Brazil,Non-Veteran,57.985467796500025,E,E,C,180.0107743154207,1
65+,Divorced,Germany,Yes,-151.58930950960618,B,A,C,6.9653034303570855,0
26-35,Single,Other,Veteran,42.9718043780772,E,B,E,21.730302325566196,1
51-65,Widowed,Other,No,186.84829491545509,D,D,A,-45.11378699136432,1
18-25,Divorced,US,Yes,-173.43651196810922,C,A,D,-75.31704436595614,1
51-65,Widowed,Other,No,76.31520190168054,B,A,C,113.54718681107816,0
65+,Single,China,Non-Veteran,-88.24542555067251,D,E,C,-66.03309162609212,0
26-35,Single,Brazil,Yes,49.24760963805985,C,E,B,102.54020316270909,0
26-35,Divorced,Other,No,-62.472728508078475,C,E,E,34.59682759614444,0
65+,Single,India,No,-18.266610748904633,B,A,A,126.22331463646354,0
65+,Widowed,US,Veteran,118.82868015880167,B,D,B,-93.12462080451141,0
36-50,Divorced,US,Veteran,-87.86160618332946,D,C,B,71.47714900668255,0
65+,Single,Other,Veteran,127.67847419276958,B,A,C,-94.72228937349998,1
36-50,Widowed,US,Non-Veteran,107.6367988105418,B,D,C,0.3813013891615102,1
65+,Single,India,Veteran,-63.067597362875624,D,A,B,40.83137700983589,0
18-25,Widowed,China,Veteran,157.3273672521396,A,C,D,221.50357974987088,1
51-65,Single,Germany,Yes,-18.64029597082057,E,D,A,63.892085525409904,0
18-25,Divorced,Germany,Yes,73.20663323029737,E,C,D,49.173718646485305,1
26-35,Single,India,Yes,91.63376691057472,B,B,C,43.420630161416184,1
26-35,Single,US,Non-Veteran,39.451921190240334,E,A,C,-98.2084232233627,1
26-35,Single,US,Veteran,-40.71570016530432,C,A,B,36.45609121098737,0
36-50,Single,Brazil,Non-Veteran,-3.625161531011578,B,D,E,60.64384849784996,0
65+,Divorced,Germany,Non-Veteran,124.68639606408347,D,C,C,70.70975638734511,0
65+,Widowed,Other,Yes,-125.06675398816043,E,D,E,145.8919787869691,0
51-65,Widowed,Other,Yes,-39.81000066133752,B,D,C,101.59454746004653,1
26-35,Married,Germany,Yes,-70.49562819796418,E,E,B,-171.5436991892462,0
51-65,Divorced,India,Non-Veteran,-86.27963799539675,A,E,E,-146.7497221577693,1
51-65,Widowed,Germany,Non-Veteran,-124.23916387210258,E,B,E,-9.1804074465975,1
18-25,Divorced,India,No,133.6332047338632,C,E,B,14.915012219662527,0
26-35,Married,China,No,-65.32376729486569,A,D,B,-72.4275402371706,0
18-25,Married,China,Yes,-37.75512511551629,A,B,A,102.89074268485179,0
18-25,Widowed,Germany,Yes,16.874037246920878,B,D,C,-149.78745688524535,1
18-25,Divorced,US,No,92.81544128026025,B,E,B,-1.9527011318310112,0
26-35,Single,Other,Veteran,121.1998465052254,C,C,B,199.02830883155517,1
65+,Widowed,India,Veteran,93.80894204127891,A,A,D,27.893680227339768,0
51-65,Single,Germany,Yes,-114.02727034618275,E,B,E,-1.3788526411143367,1
36-50,Single,UK,Non-Veteran,57.123573220092524,E,D,A,65.74564840226351,0
65+,Married,US,Non-Veteran,69.89847560222782,A,A,A,-118.82595937229527,0
65+,Single,US,Yes,11.128817975055041,B,C,E,4.98705210579686,0
36-50,Married,Other,Non-Veteran,-39.75852503170169,A,C,B,75.85223660011134,0
51-65,Married,Other,Yes,74.60240732723658,A,E,E,-1.158869967256582,1
51-65,Widowed,China,Yes,113.99812990987827,E,B,A,82.49654591436953,1
26-35,Widowed,Mexico,No,-212.73990210200026,C,B,D,134.37662636350197,1
18-25,Divorced,China,No,49.45890617648189,A,C,C,-130.04458550824233,0
65+,Married,China,No,177.37948930611014,C,A,C,-1.2092330723532052,0
51-65,Single,Germany,Yes,94.11599416702164,E,A,E,17.570690128309867,1
65+,Single,Brazil,Veteran,-152.3066989678532,E,C,E,27.999937611280874,0
