disability,marital_status,military,Race,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Mental,Widowed,Yes,White,D,120.88205389149789,D,-83.60048291317763,B,28.739700627628466,75.4993604174814,D,E,C,84.60952183968679,55.08396026669876,93.247675989494,110.62755017605805,1
No,Single,Non-Veteran,Asian,A,77.690666620712,A,-14.822419537830896,B,-88.41273615684341,-3.524431835106065,D,A,B,163.9144181647357,-75.99620627655676,-18.999633697212396,54.94608108604038,1
No,Married,Non-Veteran,Hispanic,D,-0.8956394854233101,E,-74.3953560858864,C,-60.56270029410394,186.6587481819542,D,D,E,86.49888659424919,-23.853504248031022,-2.753094061195571,86.55077115587959,1
Yes,Divorced,No,White,E,-60.38299357202126,D,163.3682262650884,B,-39.929346584353986,58.4806794919509,E,A,A,-76.93230975582925,-87.63021454535301,170.54563055934298,-232.76967382557774,0
None,Widowed,Veteran,Other,C,-0.4876051045424115,A,-26.92613617417422,B,160.45598554495427,245.25734355782188,C,E,D,-32.96348330461721,38.773432254032706,-6.544598993634275,-54.38007951665975,1
Both,Widowed,Yes,White,C,-299.45515416155763,D,14.313519803527397,D,35.37220371379644,-51.793950972121515,D,C,B,-139.65416210893727,-185.10804170572905,85.53037937787387,-196.89337195074395,0
Both,Divorced,Veteran,Hispanic,E,-17.91041739441893,A,-46.123096460004234,B,-30.426994286626112,-107.7697233020034,E,E,B,-150.9433520485009,-13.024401258342666,-69.48961190275536,48.56207210264538,1
Both,Divorced,Yes,White,D,30.55557077211163,D,119.31458274291433,C,35.15668677674856,57.860645222174035,C,E,C,65.58750129976242,94.75731254964602,183.60321535205205,-16.230915259680224,0
Mental,Widowed,Yes,White,A,21.738085481726507,A,129.12174667106873,D,-75.83565303367274,118.47413960431355,C,B,C,-100.06501707535924,-157.42038762013107,-32.18329448849184,-76.28426091891036,1
Yes,Married,Yes,African American,B,103.58428118699415,D,-91.30877926066269,B,-12.008760187911125,-80.50138376790824,E,B,A,-263.0465711430889,49.58293169831906,-27.674254964299287,-151.1479016893377,1
Mental,Widowed,Veteran,Asian,D,-139.7643695565819,E,-89.15815111985468,E,71.11462141699789,82.737654235034,C,E,A,49.98782134169663,-66.7179748861417,70.73508289622033,77.89287415742375,0
No,Widowed,Non-Veteran,White,B,-0.35503143462960673,A,-129.9014865773717,C,-106.18302723101012,20.35567364961091,A,B,D,90.76584078806431,75.0940668171703,-141.3763809530695,222.15326593292147,0
Yes,Married,No,White,A,-236.60955130453175,C,-70.13510420424463,A,-23.41393403606273,53.77084088388243,B,A,A,36.503900397658356,-13.50436360297518,23.760153241709105,-127.51090240008924,0
Both,Widowed,Yes,Hispanic,D,143.19504593420774,B,-95.96139783403478,C,-39.55424152129628,57.03739050849258,D,B,D,49.08831582259288,48.693474770226395,-54.80039256487649,60.10833761451004,1
Both,Divorced,No,African American,A,9.18315304176877,A,138.7271097248627,B,69.00708933814319,147.5150823249292,C,C,C,64.59249590232055,-165.34723983724393,-134.9295127706029,25.457532651031883,1
No,Single,Veteran,Black,B,-93.25357490217745,C,55.45596664741746,E,-78.80311260142877,71.72327402632791,C,D,C,170.35254123972564,-45.04832916813149,156.8211077597947,-139.3990992496353,0
None,Widowed,Yes,Other,E,59.48336352736967,D,-59.15676477299263,B,98.11122945843293,113.7426398988935,D,B,A,-186.54089108970567,140.05158565425913,44.42408707399215,-74.43727619546043,0
No,Widowed,Non-Veteran,Asian,C,-66.05345760633699,A,-123.35532263967343,D,103.58699209994899,-17.843435686712848,C,D,C,311.0631141939959,-59.16497876072745,50.24127299418082,68.27693383324319,1
None,Widowed,Non-Veteran,Hispanic,C,66.01466230647178,C,194.66180665388325,A,224.4305650239748,-18.131112071644313,A,D,D,-8.231764424734953,-55.538448420920396,-36.199722979080306,8.577160295563925,1
Yes,Single,Yes,Other,D,-65.01899132865445,B,20.250810561933065,A,-80.32395022295765,-17.989294102464168,B,D,B,25.3220632640586,-114.0965021224122,-169.02807045582597,54.326244308874436,0
Both,Single,Veteran,White,B,110.65190413854621,B,176.4163515336618,A,38.1880109425017,-44.097575327795596,B,E,D,34.833186156082036,236.47717012806973,87.66132927459584,89.0262538744192,0
Yes,Widowed,Non-Veteran,Black,B,88.43866415839378,A,-83.35243973940479,B,108.72590425139093,60.11824683193219,C,C,C,-97.92261520603381,-50.00071937149592,85.71210473877304,-62.217556591807224,0
Physical,Widowed,Veteran,White,C,83.74500148872379,C,116.60530882921438,D,286.1983138042568,41.67509369760459,D,B,A,-31.354975281734337,72.10920489866423,-18.754036471650476,-80.50141500541825,1
Mental,Married,Non-Veteran,Other,E,-52.718927644739935,B,190.735898469527,C,-141.42942409446297,-78.30865381361593,B,B,B,65.18005472219401,-61.72532935101302,108.94056008176575,-140.49739355972704,1
None,Widowed,Veteran,White,D,148.67593107789716,B,32.04194359676369,C,-106.88061508411997,59.58032911902366,A,C,D,-3.1652615530002697,119.55514640846832,-18.387799998262402,-121.42283569711381,0
Yes,Single,No,African American,B,174.97366832016064,A,81.62723175167012,D,-126.75754937161061,67.45577156008646,D,E,B,19.522490300507435,-71.49230637649325,-155.71279898652887,22.271480182450937,1
Physical,Divorced,Veteran,White,B,51.47319235847991,D,86.79883226496989,E,-2.842984658789777,-195.11153372213846,C,E,C,47.94346395695776,-14.256322975085611,-152.98871019908125,116.42937979510532,1
Mental,Single,No,Black,D,-55.25438195284625,B,59.35919743699212,D,123.6487378978401,-269.34203999712537,C,E,D,86.32049144537442,-6.123780079703784,138.34915388005865,-23.546245792129856,1
No,Single,Non-Veteran,Other,E,-11.495876893028965,D,-79.90164600047686,E,-62.76947819134049,-112.55397225396734,B,B,E,36.28825746960557,-1.8531331976908993,188.37946224908288,-151.3000926640202,0
None,Widowed,Non-Veteran,Other,A,-261.76831650838596,C,27.041362973529143,E,249.14943402471056,-28.77947104193789,A,E,B,-121.37988660959425,-142.30179770777906,106.58188113665071,-24.173212156688777,1
Yes,Widowed,No,Asian,A,91.48082066301367,A,22.187298578705125,D,-135.24997316428536,191.89370879101972,B,D,D,-9.327829266248138,-22.030345752961043,-151.4150684111867,-20.191684834443887,0
No,Divorced,Veteran,Hispanic,B,68.12995361540312,D,-49.409071737575985,A,121.35078825805277,164.02363436974184,C,C,E,-127.20323047490024,-128.93138583779117,-4.1641034156137655,30.996369144631714,1
None,Married,Veteran,Black,B,153.48859428093408,B,-57.050774276074435,E,14.138772632136165,38.456828425162904,C,B,D,130.9440842795228,-43.15951792382393,-68.82655473821778,76.61238364880276,1
None,Divorced,Yes,Asian,B,45.913597881528254,A,-107.3093220219332,B,234.3777090690148,122.0974358411498,B,B,C,-15.676859334953106,-10.925809579548135,136.16698791143946,49.33167157825216,1
None,Married,No,Black,C,211.90168229137086,B,36.09326203407001,C,-4.46126692082279,16.872419462019145,B,B,D,-53.685681791303885,53.56142876338228,19.227627960656797,-71.43397583932291,1
Yes,Married,Veteran,Black,A,-141.27053828117315,D,127.81510062951524,C,-6.937055029053648,-26.707390268281628,D,B,D,-227.0717794885694,46.84563552150521,57.019948029748015,-95.59516116816778,0
Physical,Married,No,Asian,B,77.07958245062142,D,76.46272360505934,E,119.35248862183553,11.47500750365767,B,A,A,113.18859717743655,12.426671397813896,6.042900873383986,-54.66629757399627,1
Physical,Single,Veteran,White,E,-119.41044137698955,C,47.898109944922204,C,-31.932704694663716,-126.0971351498634,C,D,D,-104.7090396422093,-7.1292209260252895,-91.26286260060128,-13.327670005069079,0
Physical,Widowed,Non-Veteran,African American,B,59.449218993907785,B,62.072122420951736,C,103.75855926865883,69.7203354454862,A,C,A,21.180565088764318,22.63017132782203,-99.13366848308308,121.27227593138083,1
Both,Widowed,No,Asian,D,-3.9192744207306243,D,105.05516447428352,A,-108.88976293003859,-96.34335474477028,D,D,E,3.288127204645858,18.97129279124966,90.44921957830041,-62.27575543385541,1
Yes,Married,Non-Veteran,White,B,-16.76635835787556,C,86.4399050587806,A,158.12443579724518,-121.5794533861142,B,D,A,7.725143076239362,-50.97994344355118,-77.29797874829339,-44.17064018016556,1
Both,Divorced,No,White,E,-132.1920292194511,B,51.39872545774193,E,-48.494744357681654,43.56843724926144,B,A,E,35.58114595384262,10.817689295226277,-86.19198483050981,101.84495829184887,0
Both,Married,No,White,A,-51.685128963700386,C,62.115863995201856,E,-33.89300380795227,-5.9290845399021705,D,D,E,45.130835871894185,85.45036243315671,-73.17220661794997,-178.74104084379738,0
Mental,Single,Veteran,Black,E,46.106498105547736,A,61.59204700578735,E,-85.37846002304059,75.02949581739976,E,B,C,-87.37379899212335,-136.6814103257132,-118.10511324057404,-59.659907332704165,1
Physical,Single,No,Asian,C,14.265348783122885,B,-88.97260618873125,A,33.648254279503206,129.96261442419865,E,D,B,-67.23617742359222,81.89253961586573,96.66415212462056,91.82340160035032,1
Mental,Married,No,Asian,E,-94.06865892960298,C,-88.57731998422564,E,9.420914263217526,-71.12418408747548,B,A,C,-88.88386947890156,60.27638905089462,9.813601973090835,-134.29286540289561,0
No,Single,Yes,Black,D,98.83856418433692,C,-209.5198972036107,B,84.42202787493157,93.46602922853873,B,B,A,45.45134588642558,-2.375612293704243,72.07607118047927,-92.85731923829914,1
Physical,Divorced,Non-Veteran,African American,D,-9.940922089421857,D,-85.78255459717234,B,169.33185430186134,33.47769383665932,C,E,E,-112.16651624144262,42.519632179207036,60.95457027442699,-90.43404567283284,1
Yes,Divorced,Yes,Other,A,-86.36563783081745,E,-273.44228456984087,A,51.428910350967826,179.83952509766937,A,A,C,-106.37512042728976,183.16281227815563,104.14633278133401,-45.19155965286989,0
No,Divorced,Veteran,African American,E,149.8285251635919,E,-116.20508631462427,E,-30.466061954691025,-26.991592950399983,E,B,E,-77.60646383180173,-22.492504621514158,-51.611646995413565,139.94030021310374,0
No,Married,Yes,White,E,-65.9859929737231,E,16.340995426965605,B,53.815577017274904,86.84444524455716,A,C,E,62.62959201120355,-49.84624853920809,-39.70269262142243,26.308659831643162,0
Physical,Widowed,Veteran,Hispanic,E,-67.96338897099696,C,123.77642628120718,B,-16.984508645278698,-246.98888624375616,C,B,E,-7.98720425489187,-211.340797591017,-147.80495207465285,-104.29452729298019,0
No,Single,Veteran,Other,A,21.666928611795562,E,-86.11373296170838,D,-17.622062489712366,125.55458828335328,E,B,A,-188.22643527341128,-147.03136045899626,49.53338801142057,-132.4994586397119,0
Both,Widowed,Non-Veteran,Other,C,65.66294196544625,B,149.80947439365707,D,126.27039648700938,12.668180544467104,A,E,D,47.00410428662201,0.2119581681141421,-89.81310075463782,97.82002669614454,1
Yes,Widowed,Veteran,Asian,B,-0.09698110335109447,C,106.10667608898783,B,129.1259826460492,48.25916437979954,C,C,C,29.929971185997672,38.45205264380899,135.4640236511436,89.61739373284007,0
Yes,Married,Veteran,White,B,8.36748736902394,D,-55.461138624165166,A,-52.16630163732855,13.438982468603017,B,E,D,6.025292367700084,166.80393096526817,9.589582289456176,-0.7652347272298012,1
Physical,Widowed,Non-Veteran,Other,A,42.25919456051199,E,54.44036636204335,C,-74.78908790843856,-106.25800562162996,E,C,E,21.353131191597434,11.776437363588718,99.51235717562476,-75.9069416241019,1
Physical,Widowed,Yes,White,C,-69.05714666330475,B,-47.30511179875398,C,-65.38090216092431,145.43452503798096,B,B,E,-111.16438554528119,144.2030209675568,201.9032312980302,68.71687256849339,0
Both,Divorced,Non-Veteran,White,C,-117.68307885503523,D,-57.42365902896246,A,-229.42107726136297,153.72448047202244,E,A,A,-59.76966043492485,-48.07312853240263,-100.09510271616877,-216.4475758324967,1
No,Married,No,Hispanic,A,204.1413627962481,D,-29.094722333502183,B,-230.74820664394423,121.07618713897597,A,C,C,10.680923267403502,-31.543126470074235,-41.52119832816759,-8.278869147127756,0
Physical,Married,No,Black,A,-14.560961490704265,D,-93.79992086982439,D,-105.40971412365867,44.84263467593503,B,A,B,-268.89452363783005,-36.12792438939816,-101.90769798442933,14.771694220383564,0
Yes,Single,Non-Veteran,Hispanic,C,47.200103535777416,E,-91.53872235448198,E,6.055484552112941,-122.14999096660854,B,B,E,33.81077024315147,-60.53343380300829,-142.37195141469513,52.766697639745765,0
None,Divorced,No,Hispanic,C,-32.672728834398015,D,-69.34009826645861,A,18.448846148829055,222.77297857357837,E,B,E,63.94520813626507,141.57304950089699,-30.528215469006266,45.35930610832635,1
None,Married,Non-Veteran,Asian,D,-236.11900420368778,B,-15.363301672252858,D,-40.22569806312362,-74.39614044550986,E,E,D,37.83890382654166,-18.049135241399366,-28.629386290716642,46.509887540674995,1
Mental,Divorced,Non-Veteran,Black,C,66.61666902074442,D,60.83145457358443,C,-7.538710959081102,142.08128134830272,A,E,B,175.3031904475533,-28.582521463595917,-2.1376361267235917,-143.08674291149742,1
None,Divorced,Veteran,Asian,D,87.60584913894867,D,-51.09400082672171,E,134.8177771439044,5.471646638272394,D,D,D,-148.63105121012993,28.512819735911282,-8.581179996731771,-20.856578720278048,1
Both,Single,Non-Veteran,African American,B,-1.7841471089076573,B,15.79134223572291,D,91.12910199497951,-128.8078643256743,B,E,B,-86.95395305533877,-141.1554487927971,-90.08620977444484,87.09940749317902,0
None,Widowed,No,Black,D,-98.51245127589172,B,-79.79801865299827,E,199.0376101101026,-58.52886300369872,A,E,A,-49.00318912100714,-4.288627973306778,-148.89563864712366,-37.47824451130519,0
None,Married,Veteran,Other,B,-107.92193661612916,C,32.381024515391935,B,199.07109101130703,190.2463496563613,C,A,C,-232.55087592081605,-116.06013780937533,106.94891236541618,-122.23825003964389,0
None,Married,Yes,Asian,C,-95.41163341484905,C,-13.573812881956593,C,130.8560956091579,199.046541526928,E,C,D,-13.34876904171797,17.380995604040763,134.17522601944867,45.89573138883264,0
Yes,Divorced,Non-Veteran,Hispanic,B,-4.859728166014891,B,95.06034483992671,C,18.764474117855265,104.09057824575405,D,C,D,158.47767281005588,-126.12215326156846,-196.47006663743474,47.36981652789453,0
None,Widowed,No,African American,E,-126.48981645473623,D,-85.25142231237965,D,-87.06621493534789,-212.36342838295747,C,A,A,-32.583114469561096,-86.35764183229712,-23.683184664189966,8.949208572460774,0
Yes,Married,No,Hispanic,D,29.57837005988423,C,175.57333499490073,A,-201.1250037347579,-120.4842922435469,E,E,E,53.8499402989108,-174.72853514540236,-44.81425750812173,31.510877253202434,1
Yes,Divorced,Non-Veteran,Other,D,171.20706809525737,B,7.278641101419731,A,-71.65467567525054,179.4754247523622,E,E,A,-237.89868292210755,-54.56543844039654,-37.60033087547792,78.64849225448464,0
None,Widowed,No,Other,B,143.7839992846347,E,-155.6703572715191,E,-114.1108307327672,104.31936285262647,C,A,A,-275.8621404097687,16.809040859895507,-3.0239795315487963,-44.68303226658445,1
Physical,Single,Non-Veteran,African American,D,114.73986137662324,E,124.00653219430286,E,-6.133739809683705,29.12171875348693,C,B,B,79.92205947625204,45.42982377845822,-61.823808344622456,-30.57503154609317,1
Mental,Divorced,Yes,Black,C,103.00292109051922,A,66.78346818217624,B,-128.841944234521,9.144445024269382,E,A,D,104.98266899678728,34.1239046224464,-100.36151808870417,-72.1087262470505,1
Yes,Widowed,No,Hispanic,B,-62.11998889775372,C,107.38658607653322,C,49.34986296258003,-16.644674027779878,B,C,E,-67.98476188238554,109.33916205369074,-70.9637509343741,9.099649982943939,0
No,Widowed,Yes,White,A,-19.572345118629656,D,87.52671367379125,E,-253.58487087797195,-66.38427540848926,B,B,E,151.71059802237866,15.475761424271536,-115.7023015919203,-74.50981557205195,1
None,Single,Veteran,Other,C,108.91796339180755,E,-140.75787562851872,E,16.683364100737673,-41.43701988361511,C,D,D,-30.758887873658438,185.55610281952517,-66.24766052079882,-38.62092107852904,0
Yes,Married,Non-Veteran,Other,E,129.63107863638598,C,-19.24766270981116,B,20.371909636327523,152.50107963782975,E,B,C,112.16507789059547,14.190551518371796,99.33664801373689,-48.80137742214575,0
Yes,Single,No,Asian,D,36.72347537107313,A,73.53825419591428,D,-40.79396491116127,34.61888551878315,B,B,C,-200.27529024914847,164.3342588090077,-10.99141638890615,90.79042941043916,0
Yes,Married,No,Other,B,106.58741723479909,C,-7.809015906374758,A,34.601305813397346,-1.0007475744005772,D,B,B,-121.29576746921364,-127.00397980636234,54.03629831070212,-87.89402134224525,1
Yes,Widowed,Veteran,White,D,91.09831372919747,A,-180.4231246698473,E,52.265806776016646,137.9434334277338,A,D,C,-69.95303915828643,-65.84303038604683,-53.69042498950798,-100.93783508970229,0
None,Single,Veteran,Other,C,-149.85482795273737,B,-36.63969157609738,B,-3.1179752586834755,64.35553013693352,B,E,B,40.87468676691993,-103.54477748013342,107.3116992374769,96.90872903945274,0
Yes,Widowed,Yes,White,C,159.6532389220384,D,-33.736278633238534,E,10.90989302006831,45.56017661071292,E,A,B,-6.132342550042978,85.94436675348935,-53.370155667368344,36.975116481599045,1
Yes,Widowed,Yes,Hispanic,B,50.19344175071752,D,-2.672996796259756,D,-94.92114075643833,-29.035662606295915,D,D,B,-57.09969624816292,-23.766010782794332,-1.195492648757911,-159.74628380425304,1
Mental,Married,Veteran,African American,D,-27.523660454696774,D,76.77670772494864,D,67.37342206110738,-62.40265814874041,D,D,D,111.51143365730279,42.806771672121045,137.23969721859527,-30.126809235519186,0
None,Widowed,Non-Veteran,Hispanic,A,71.19169229599277,A,-110.34060080857864,C,-13.623300625549826,112.58436326848775,E,B,E,-60.01670193509363,-73.73029339818021,-60.198271208267165,-81.40743422752907,1
Yes,Married,No,White,E,27.43593629433682,A,-26.49580700508262,C,-26.402862292878616,99.53416254608335,E,A,E,-37.658835016905265,-142.721188508816,-141.46207396789384,-40.10859026179789,0
No,Divorced,No,Hispanic,A,-4.161939226341203,A,-104.43200080432959,B,175.53883928591023,-165.39142944875712,E,C,B,-9.022176619003398,140.64171696378892,-32.18685500254787,-222.13882946149587,1
Yes,Married,Veteran,Hispanic,A,-133.47064580877574,A,-124.89845108928144,B,-5.025900286875197,4.035254661544407,A,B,C,-202.41107549600946,150.6702909650626,124.15294035152553,88.13703201106588,1
Yes,Widowed,Veteran,Black,B,22.208202066853712,E,31.68391600347995,C,-34.72326386487654,45.70768169254221,D,E,B,168.4671737218581,-46.621402985084174,22.598777917378758,-24.791638588263034,0
Physical,Single,Non-Veteran,White,D,19.238217244483796,B,-120.1235975186447,C,-0.9941375343940329,38.83812147214583,E,E,B,-21.298525258295296,-59.254899360627654,-174.51452249639289,19.46348221713913,1
Both,Widowed,Yes,Black,C,56.66764316431815,C,63.16109561817487,C,44.5209837588824,84.39942494974858,D,E,B,-48.175610725040094,-20.755528363535785,10.498931217169847,27.0930488660099,0
No,Divorced,Non-Veteran,Asian,C,132.55646578226552,D,54.299369748338364,C,-131.8076613576256,91.78979537914475,B,E,A,12.60183652819437,-41.001099974053986,43.332699009489964,24.446774795259245,0
None,Married,Yes,Hispanic,C,-94.73828198953123,B,-25.4892039786546,B,-109.75107271967039,143.85996047583117,A,E,B,141.59713391974387,203.85873424755871,-13.755927920818825,81.277034537908,1
Both,Widowed,No,Black,D,-327.19776560757265,D,40.5703291971473,B,-66.10902619682393,-19.446620757607064,E,A,C,38.584126283357364,-58.31150868294303,43.29418729367547,-24.69215912372275,1
None,Divorced,Non-Veteran,White,A,-50.091708413084156,A,116.72381021825633,B,-122.2812081641654,-137.76423836960257,E,D,A,-19.366535222917964,167.99318614455416,-97.34922483924603,-113.76653489849076,1
None,Widowed,Yes,White,E,33.79955352981796,B,-95.21202153287449,C,53.61197278981239,-197.28418775611394,C,D,A,-66.14708484333572,115.96924140890738,285.52679447384685,110.23831008595104,0
Yes,Married,Non-Veteran,Other,B,-38.24503142290257,D,1.2933194960311987,B,90.29861271175591,114.47752805283311,C,D,E,-158.17345984586584,74.28920696107542,-88.30151544259733,-60.77957462643556,0
Yes,Married,Non-Veteran,Black,A,-27.276201095221158,E,-127.20669778799387,B,-65.3506583102333,18.638707411792723,D,D,C,136.38367423808637,152.01964031644056,-81.36079296310116,82.86346549262176,1
No,Single,Yes,Other,B,-9.492346806791968,B,-91.13779490223368,E,-96.46469640582818,131.7367894291233,A,B,A,62.564438828311644,-54.22475071923705,-17.843293028390892,-43.535049507716366,0
Physical,Widowed,No,Asian,D,-50.92479536760298,D,50.60761729427438,D,-19.357519164719765,90.31856068591824,B,C,A,125.08155261338555,69.57454867511171,183.4972269347779,-116.97139382986836,0
Yes,Divorced,Non-Veteran,Hispanic,B,113.4962951413551,B,190.8218166210605,E,126.29817355273158,100.1482973523046,B,D,A,61.41584837069687,-62.116872102599764,146.800427498515,-27.211666744588786,1
None,Widowed,No,Hispanic,C,-100.17733630280613,D,-111.61161374203547,B,16.187451205063738,115.2608700626367,B,D,E,-31.8535267073787,-39.562413044412224,58.29278593133414,35.098718045710086,0
No,Divorced,Non-Veteran,African American,A,-26.1479369495316,D,204.57477743911397,E,23.251306668849708,78.26799747146138,B,D,C,92.25694913021141,101.66737531717447,110.56981122351108,-166.52948091568723,0
Physical,Divorced,Non-Veteran,Hispanic,A,-83.11248559796674,E,-144.81792947554712,C,-23.32314086124321,-17.929376117302773,D,C,A,56.15294401600248,-36.27069642996678,-8.734161736468653,176.51909993436178,1
None,Single,Veteran,African American,D,11.608635192856658,C,25.08276755016946,B,-29.296969489843878,-20.603208754661747,A,E,C,111.84320565551629,184.84746277139973,118.62959368132123,-47.637503287879994,1
Yes,Divorced,Non-Veteran,White,A,-161.95822145285314,E,141.2956882726173,B,-39.63074479540512,20.65197443798357,B,E,E,-49.57241836973713,77.95805184088624,156.48511551280012,-4.953375208467483,1
Physical,Married,Non-Veteran,Black,C,-228.67957097685485,C,-84.43179609025077,D,171.26902697259194,-91.43716309224402,C,A,A,149.0965362588651,-60.81194879065849,93.66915606235739,-29.092355797290377,1
Both,Married,Veteran,Black,A,-132.62231559655427,B,39.03846053000912,B,-50.03474857268425,-117.51840728743997,E,E,D,0.8615901112239205,50.34054627423556,-62.202517045087944,-88.86606621816378,0
Mental,Married,No,Black,E,-27.598912262753615,A,63.54530065178865,D,-25.228446477303084,103.56951921924411,C,A,C,12.558401597294374,83.26053670341031,23.444494826716923,118.2930778599789,0
Both,Single,Non-Veteran,Asian,A,11.772823545557529,A,170.6870715424888,C,-41.60677747549648,208.41441052834807,C,B,E,15.804343282876074,-123.90251885247807,48.93631735651399,-329.1856642831088,0
Physical,Single,No,Hispanic,B,32.54517171734769,A,-20.835170677468454,E,7.608090783853058,-116.4832086350749,E,A,D,156.36630909425878,218.53594525950828,-24.8146152166892,-69.56374806660293,0
None,Widowed,Veteran,Asian,D,-124.33805984452147,C,-222.96886815430003,E,-30.534835059649968,-5.747890562741515,A,B,D,-109.06217331795173,-61.41549582786501,-181.42263411891543,-177.47306743064232,1
None,Widowed,Veteran,African American,B,10.74639002762229,C,124.64844767530829,C,86.15580895821245,-118.95911322315578,C,B,B,16.871071784050486,-137.31363430522356,94.64823055635037,65.77627844358686,0
No,Divorced,Veteran,Black,D,-34.649903616947405,C,-65.6808269404261,A,-209.54243521363364,-50.32223781687848,E,D,B,-117.24290673709103,158.7156279452229,-187.0473898934677,17.42078419128254,1
Both,Married,Veteran,African American,A,113.03946575213266,D,166.7964104172773,A,44.57812208402594,54.72698876853166,B,C,A,-44.76188283505586,-50.78580423212943,52.46378618369019,-9.330150395878904,0
None,Married,No,African American,C,48.46631425842126,C,-133.70348666320112,E,47.48945679234195,-42.75477962607243,C,E,B,-49.493812759878836,38.95035103839963,-35.39387637440146,-142.1906086648077,1
Yes,Married,Yes,Black,B,-107.912408154875,D,-56.931316657238874,E,93.80542200288204,-47.21863875010676,D,C,D,7.973752724693157,25.481166545679777,-4.034845678601267,-70.9665690854544,1
Mental,Married,Non-Veteran,African American,D,-100.25590342419311,B,-57.10287197778122,E,55.007063885004705,-38.458065773252564,B,A,D,-88.78732546347891,104.54564219386697,62.183312807668415,13.359893052782937,0
None,Divorced,Veteran,Asian,B,-50.98142161929937,B,-31.52841568504324,C,95.52459584498463,-102.28457745017292,C,E,D,100.50900976924704,-28.58572310739051,3.1609063852556707,77.84930383406272,1
Both,Widowed,No,Hispanic,E,34.023348420274466,D,79.53266853979487,B,-8.091114375815526,11.350635930736463,B,B,E,4.460091802781885,6.663268409722023,68.93721294205068,120.48483283464368,1
No,Widowed,Yes,Hispanic,A,36.69954874377282,C,65.07666498271647,E,27.532375144997033,87.28061421020867,E,C,C,68.15802053841824,-48.29518894066201,-17.483905767672507,-82.4923271878446,0
Yes,Married,Veteran,Asian,B,-192.86234887870606,A,5.0835384809121305,E,-97.59719738386583,-255.38665626018667,E,A,A,12.301725671926283,126.59341309626633,-154.2991250343188,5.233087926785669,0
Physical,Widowed,Veteran,Asian,B,146.17421624159562,D,23.24554449774204,A,42.59042826921672,-103.73438385503468,D,A,B,-27.880793132879887,72.88154803807151,-64.83297270728823,-97.5009117949555,0
Physical,Divorced,Veteran,White,B,-194.72972026732015,B,53.19046261150751,B,-26.24702953258009,9.709033524330305,E,A,D,200.6956909183552,42.57164620233383,-52.32487810872597,6.921073128503348,0
Both,Divorced,No,Other,A,249.63703760903195,A,21.974077593638892,B,9.155297258412563,113.24760021615565,A,B,D,222.94034882040222,-13.38256081529272,-5.596984413474808,37.717211506419304,1
Both,Widowed,Yes,African American,C,-8.894223681000938,B,-76.07158843314023,E,38.0446365150103,-1.0401725564266988,C,D,D,-286.95920815672815,129.38425522720223,-263.57568556539314,-89.6549474401674,0
Mental,Widowed,No,Other,B,132.6417240976015,B,-6.159483447062278,E,-30.35564236632477,10.81702024838069,E,D,D,-39.20904660993407,202.2134561421995,69.02720929144175,-184.93859487265436,1
No,Married,Veteran,White,E,-8.440265154283434,D,-73.63725519475234,C,14.738342625111777,-110.60519066677128,E,D,D,25.43727906258109,-103.26332282240543,158.84060105321677,-341.12125325312047,1
None,Married,Yes,Hispanic,E,46.765650538857535,A,18.308876449588148,A,-27.215258570339827,-58.7908361114843,C,A,D,-49.60234098276205,-180.68774530258898,-25.468132448804003,-48.35470304096181,1
None,Married,Yes,Asian,D,4.716753965044171,B,31.63701518112248,E,101.70171872303477,-78.04088919378358,C,E,D,67.13819430779601,-30.45246223402094,47.34148260986417,-108.49584396305627,0
Physical,Divorced,Veteran,Asian,E,-139.75795696572212,E,149.37330026667283,E,-25.366679211275823,-58.486017904910526,D,E,A,-77.98701111612914,186.19756966091592,206.76914374445028,11.61258899052875,0
Both,Divorced,Non-Veteran,Other,D,167.03698323101693,E,63.614212417888126,D,46.20557209006653,15.501876217378413,B,C,D,204.39407822470775,-108.22960784694422,24.894361281945017,-400.4640181257569,1
None,Divorced,No,Hispanic,D,71.60088647708609,C,129.60586122049668,D,-95.51683753808706,76.55236699852594,D,A,A,-51.609011168895144,-60.30115339354756,10.03674341335012,-30.691523291847616,0
Mental,Single,Non-Veteran,Hispanic,B,-1.4594938325912534,A,-39.45700738892152,B,-4.806476928768021,-50.90851948354154,C,D,A,-68.65658087322868,-117.67505438729653,50.20812325830653,151.13077994946156,1
Mental,Widowed,Veteran,Asian,B,35.22555239830727,C,7.210889500003886,B,-232.81271960132327,86.40252661531915,C,E,D,-52.87547255614541,-84.53700222944065,33.430527473133985,-49.136745517959746,1
Both,Widowed,Non-Veteran,Other,E,-45.998957529883846,C,108.53801494286326,C,102.71744309720772,-184.4044798336501,B,C,E,22.75859341214894,-67.59016277102467,64.71821356211346,221.65077129519645,1
None,Divorced,Yes,Other,B,-75.9928105739094,B,-173.73559112326907,A,155.8058588450108,19.77064464765961,D,C,A,-82.29723805399176,7.8289429139536,94.65224848217532,-133.57499771926254,1
None,Widowed,No,Other,E,139.54536958582608,D,-13.244982173603564,C,-77.0455198384753,59.708476900846975,A,D,E,40.750486147861956,19.212839183789594,-49.15737245610799,25.689499702452718,1
