disability,birth_year,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
Both,75,32.329760735875965,163.84256908465213,-8.134607234794709,D,A,C,1
Yes,37,116.7337727666661,42.336484730332224,79.8511748487374,E,C,C,1
Yes,38,70.87446434486837,10.436491619955778,-128.62824074541982,C,D,B,1
Physical,79,18.231298202294475,-98.38263837726306,58.480015729085,C,A,B,1
None,23,84.38338408459849,-29.925326517673252,-24.4083429263824,E,B,A,1
Physical,85,-103.07023401214846,-94.53739317522376,-148.6743883485121,D,D,B,0
Yes,30,-28.40256329329583,-33.88266137786112,-9.818263776819755,C,A,A,1
None,83,-41.55136485725303,-0.06565753506723361,-28.853379695094155,C,C,D,1
Yes,59,-86.41387436253763,62.41812277573211,-39.6214145597355,C,B,D,1
None,25,89.74188861691782,1.2757754453408476,-83.54725140638776,C,E,E,0
Physical,25,1.196718696366245,-143.57423555739595,-119.70082589638866,E,C,D,1
None,67,42.80090066674943,-9.553791670976619,-33.11383240595342,C,C,E,1
Mental,84,-104.07117337267127,24.905696811671206,-7.936128283822319,C,B,A,1
None,28,114.18062383499894,61.43500137883364,23.276400613920842,E,A,E,1
Both,57,-64.34600236569085,122.11651710365574,-233.38975397149636,E,E,E,1
Mental,32,-22.084738476113458,-46.198070358552165,-76.59892814394435,C,B,A,1
No,18,15.566505940505865,-146.15962635836445,-62.48262283214719,A,E,C,1
None,82,95.85552320955321,-122.16255044521876,-75.25259515458487,E,E,A,0
None,96,-232.81124587547072,126.92908557430033,-93.07218174737652,C,D,A,0
Physical,81,-57.985282899264746,-22.928733254149154,-19.858257788636273,E,A,B,0
No,62,-228.1496622088699,134.27021266204054,112.79397653666834,E,A,B,1
Physical,37,-31.75294351913233,-108.9647736040061,-94.93104093077419,A,A,A,0
Mental,97,-49.926135925614815,21.509934758470937,-210.66841446660084,C,D,D,1
None,70,26.47730487785218,-18.93436717366783,37.31211225853161,C,C,B,0
Physical,62,-137.80294990988477,54.64814438846847,38.15874657412145,C,D,B,1
No,39,9.60891334981956,-125.35733388723787,205.22875529711467,A,C,B,0
Yes,43,-70.57666965401725,-97.80547502725663,-114.57217054654313,B,A,D,0
No,38,-144.27309366066206,11.97718596764354,-294.755523196141,B,D,C,0
Physical,33,-101.61571514905681,-81.22377656110126,-42.14305535341622,C,A,A,0
Physical,76,-180.52352037383176,11.538520747924334,52.873000312129406,E,E,A,0
Yes,56,-36.815954873405126,183.60430916026127,185.6007459707146,C,A,C,0
None,87,204.91022779375635,-72.64004706412801,-34.25246733373679,A,C,D,1
Yes,64,-28.53387326687206,-43.72424678281369,96.0680542328024,A,A,B,1
No,20,116.86921384376392,26.020989287725417,150.97175208018902,E,C,C,1
Both,25,27.33530434394701,49.56510254357917,152.10459927161003,B,A,D,0
Mental,72,183.773754534339,-41.86019814041319,-148.97934447503357,B,A,E,0
Both,55,-30.444667692402465,-131.06098559629973,66.48319586263065,C,A,B,0
None,52,62.58277210310397,125.89000055684218,-63.19609453602742,A,D,C,0
None,18,39.66234662014635,44.092381049834486,35.130812142122046,E,C,D,0
Physical,33,86.67963141830549,35.57253212455196,-13.288138943823165,D,C,A,0
Yes,43,4.669720739211972,-72.2334399801558,-55.11213460739576,E,C,C,0
Mental,76,33.53533447012582,-36.01384212734397,3.7290424151313046,B,E,D,0
No,43,27.718977881365543,112.3453972719029,127.00516964522777,D,D,D,0
Yes,69,-82.18402730590681,-199.4407955095292,-81.36071563699745,E,C,C,0
Physical,56,40.194553734126096,18.06503037624044,-179.4443910968958,D,D,E,0
Yes,76,-46.67986773140556,89.07209359138665,188.09391905706192,C,A,A,0
No,58,99.09207559215312,-54.736314566083486,54.5584111748098,D,D,A,1
Both,32,-3.119488723021039,-45.69742429322218,-4.892352110738642,C,A,C,0
No,42,-85.33617758537105,122.85636347377368,4.583030590739684,B,B,C,1
Physical,70,-41.8683712443477,-82.78743053783228,30.795362156048256,B,D,D,1
No,41,268.8470259735584,125.42762442519914,-8.135236134118916,E,E,B,1
Physical,76,-173.96076844289811,-103.46093902665332,-86.93913368571155,D,C,C,1
Mental,99,36.164019918050265,-15.017914571662452,78.95076593243327,D,E,B,0
Physical,44,22.841557598532557,-76.85081762250704,-48.06694019298672,E,B,D,1
Both,35,192.3962175907191,-24.05222406970859,-43.4603945278504,A,B,B,1
Physical,36,-0.35838667690686776,25.807758844064267,-9.426974032667447,E,D,C,1
Physical,43,-90.06637075575391,97.71750856208624,-73.81072834604595,E,C,E,0
Physical,48,79.58754696325872,82.42354676919138,30.67847109687757,C,E,D,1
Yes,93,-65.25298395856237,31.30616273744086,35.731955106975974,E,A,A,1
None,28,46.124759978836934,-142.55151870091953,-24.153434358422043,D,D,C,1
Mental,49,58.18487760494756,93.75292502607314,70.78232080826874,D,B,A,1
Both,82,106.02161963433794,-25.050707217432112,-0.37341083777845435,D,C,B,0
Physical,39,28.58337159149628,9.707151948099751,-39.03291251450875,A,B,C,0
Mental,54,37.10895825910386,-57.28189805080477,-77.72482886126467,C,C,D,1
Both,94,55.457139735704764,-83.18338548797334,4.135164893806771,A,B,E,0
None,43,21.408753862686027,-14.832250479291337,9.04561968126767,A,A,A,1
Physical,95,-54.54132510563766,72.88094494262138,-111.56625609098904,B,E,D,1
Both,34,-1.041816436561707,-25.222651761690074,8.61777432789048,C,B,C,0
Physical,40,98.33913560339627,-91.11150467478426,21.339415708964374,A,C,B,1
Physical,19,-60.88605338383958,-205.61205935656227,-77.57868141052893,B,A,E,0
Both,43,-29.844350358570942,-66.38537493849567,50.61737312980979,A,A,A,1
No,60,-1.576193742704188,-38.876993316685606,17.650630100639,C,E,A,0
Yes,69,-55.93318323069696,-56.225042879712326,75.8863926955506,E,A,C,1
None,58,-21.261261738314733,-91.50832267731927,25.501405131765104,E,D,B,1
Physical,91,-77.98213574451997,-65.88932107300778,-59.687178732189935,B,C,A,1
Mental,84,98.50201595852421,-70.12361304668879,-113.01429423800951,A,D,C,0
Both,18,65.03122632612636,-54.86094718347613,94.95295929140113,E,C,C,0
Both,69,41.14069259871949,-65.2493204139541,-270.8849159052983,D,A,C,0
Yes,59,-97.9315987151901,-93.96742724152145,26.514147307451125,E,B,C,1
Mental,80,-19.18961088589658,65.51147594457217,112.98989726388082,C,B,E,1
No,77,43.87926058350397,91.66485659874446,2.1451828091523293,E,D,C,0
No,85,-79.76526300188996,118.76470604650271,-24.145187390691834,E,D,A,0
Yes,28,104.9704752406907,35.97541458942723,-53.777547240605095,A,A,B,1
No,36,83.2306537261118,-38.14584727835468,11.752163991566423,E,B,B,0
Both,55,-24.69747192352844,7.867300794086188,53.154882492495425,D,B,C,1
No,98,-147.4053164078137,-190.2266786227542,-81.48898849639237,E,C,B,1
Physical,79,69.57614556591177,-115.47631466717743,9.309664803879846,A,A,E,0
None,57,71.06019148261726,99.83921092329052,110.86777588180321,D,C,B,1
Yes,98,-9.200370828382928,83.89741199788605,138.87435228109283,B,D,D,1
Yes,19,11.710721695370998,201.55179290975292,121.85630446637812,E,E,C,0
None,70,-119.14142657956425,24.79659279907366,54.3403135016475,D,D,A,0
Both,89,-115.98662950421009,-9.90676306976233,-189.63648784641265,B,E,B,1
Physical,29,-33.85817133916702,-116.95874030311384,164.59739758667163,A,A,A,1
None,76,5.513383718020674,-123.29426451773398,-22.955503517561702,C,D,B,1
Mental,54,-134.73942163530683,-12.824257756116783,-30.899508848575273,B,B,A,0
Both,22,62.051362409348954,-46.84220407194446,-161.81930367224817,C,C,B,0
Both,66,-62.50179719241471,23.69879408667105,41.17221897528715,B,D,A,1
Both,91,5.283474275497806,-29.41688407319909,-94.18840871389108,C,B,D,0
None,75,42.132032310579476,-18.41935184066681,39.618202660199955,D,B,A,1
Mental,28,-72.13055957598885,200.1019243934302,126.06928840126676,A,D,D,0
Physical,66,-56.30863529040153,69.14189944731913,27.921547894769184,C,D,B,1
Mental,43,79.95581043902882,-216.05720394492454,33.981574863626804,C,D,E,0
No,19,148.38951292688293,102.30412459526778,41.9562090842675,D,D,C,0
Mental,95,64.7571008917379,71.05004000825215,-80.41396687627427,A,A,E,0
Both,43,117.36574308841594,18.41096556379837,-118.98601994220247,E,B,D,0
Mental,83,-123.47206864347264,-78.81041435534006,66.23921210017453,E,A,C,1
No,58,-34.367102195291515,11.236871686026316,-116.87344484219133,D,C,E,0
Physical,61,124.61126990870423,-81.3855797930282,-149.99516982950405,D,B,D,0
No,85,128.1521389080324,41.1276541187657,-95.4114921699385,E,E,B,1
No,50,-134.1422038487133,-44.67087316728225,-37.188789903778115,B,A,E,0
No,48,-21.77148791838539,31.59088325469745,14.409415144916125,E,E,A,1
None,53,-23.21420734111452,36.58206652945133,-158.05827180708414,B,C,D,0
Mental,43,-17.247265388682482,162.84998283836467,-46.31962903990697,B,A,A,1
Mental,92,-55.38981046397499,-106.21634331931324,-21.792595414762147,B,A,D,1
None,47,66.22375464157622,133.91163750900748,-80.7773654810004,D,D,D,0
No,85,-122.58062371675604,37.67184148988596,-46.79161368819839,E,E,D,0
Yes,77,-8.536817093963924,-13.827577097834512,-61.5130409629281,C,B,C,0
Both,80,-20.098283176137212,-89.05471324343587,52.12890718455208,C,E,E,1
Both,68,-34.85620613115631,72.50627184363131,40.133705595385685,A,A,D,1
None,89,-38.469385351407055,-109.3699547546102,14.15627061779464,D,C,C,0
Yes,85,78.73730799191783,4.327640925434852,-0.23344424512756354,B,E,E,1
Physical,36,41.21252704986234,51.351886875863265,-69.44173128713487,A,A,D,1
Physical,42,41.16046685975512,2.2008753316187155,-101.58730621777113,B,B,B,1
Physical,46,136.61583956470338,-48.86336659165927,53.5160097731015,A,B,C,1
Mental,90,71.84871601855797,71.56529734234657,-26.77473806358412,D,B,A,1
No,28,-52.745202094832266,125.78276932358632,-74.37619091491135,B,A,B,1
Physical,59,-88.33900793521121,-59.653117473042485,59.79102038184474,E,A,A,0
Mental,81,152.0879120938555,-48.66102684619095,139.79057719360333,D,A,D,1
No,53,-58.702850492904766,84.0111746508608,181.63900028449808,B,B,B,1
Both,76,-92.90351035562949,-33.60358945680965,105.62325915342099,A,E,C,0
Both,55,114.9626628047962,194.01803756723604,-45.16050292146154,A,E,A,1
Mental,21,-26.75308412056967,-83.09641576838615,-20.466145900548092,E,B,E,0
No,45,283.3032643897112,34.416710936969224,-125.37968846450111,D,A,E,1
Yes,72,103.74618735300001,77.44786509308356,1.7167725124569089,D,E,E,1
None,54,-164.8012625106896,62.25756475781099,22.542615602668473,B,A,B,0
Yes,89,205.94903910923907,-71.20830022219621,-1.1336192641003338,D,C,E,1
Mental,92,-76.24272485938083,-79.24100368890794,-26.483154350188354,E,D,B,1
Mental,34,-36.944162095137365,22.088274880695604,18.50511343051167,A,E,E,1
Physical,60,111.96155359262802,-59.969216532458944,26.66855409480539,C,E,A,1
Mental,27,173.3029643784145,-81.6846837109069,81.03536177605673,A,A,B,0
Both,98,-21.484932431538308,87.66602336266152,-89.47022153321255,D,A,C,1
Yes,77,-161.77069314457034,-169.00311286728981,-95.18220642361311,B,E,E,0
No,76,-66.24197685919137,168.3597101565381,125.36932115374154,A,A,C,1
No,73,177.21642078886572,-140.19945571479684,35.49662368986704,D,D,B,0
Both,27,-128.5855455363608,-200.58722277312486,-136.73582211059414,E,B,D,1
No,54,-150.26909331815986,2.230907114504114,18.173277277293316,D,A,C,0
Mental,59,43.0128177748089,-36.939192483668,-67.79376211804168,B,E,A,1
Physical,46,-38.236166603408286,11.217191430025832,-79.24276887943643,D,C,C,0
Physical,65,19.665529629438556,-75.0079968695705,-4.789588339942619,B,A,B,1
Yes,21,-19.59586371310141,-12.650431333013865,256.7081519793422,B,D,E,1
Mental,22,-197.07206821421934,18.725912194970423,-100.71244154026076,E,A,C,1
Yes,42,-54.676075000391236,48.70965675860569,-144.65139971584483,E,B,C,0
Yes,99,-175.1997519782038,33.061238856366856,-118.78516660257648,C,B,B,0
No,34,-14.672497295120701,100.3773426558477,37.5487946515542,D,D,E,0
Both,38,-31.907135598085613,-90.99253006992386,14.560205092412046,E,A,E,0
Yes,73,-30.08466736472373,192.10454511023863,186.14248109018743,D,C,B,1
Yes,51,19.83515935570471,65.95328025415108,7.751016629991408,A,A,A,1
None,85,-40.81929217168348,-90.40368502526248,-15.016451550865876,C,D,B,0
Physical,28,-58.96091888655802,102.90543765729274,162.72901363267334,C,D,B,1
No,87,-99.39363677778671,11.439850378879376,-27.79854736472917,C,A,A,0
Both,74,-105.87600689084297,-77.50746974657811,45.91892223165065,D,D,B,0
None,85,-80.83789815356806,70.32101308956433,221.1207928610695,D,B,B,1
No,27,87.46780934340315,-90.29707111120798,-34.60497614062621,C,A,A,0
Physical,59,18.591620110307822,-89.20678250209679,-53.50033649848901,C,E,C,1
None,45,-150.54816782289708,10.494671762485524,122.88204524337554,E,C,D,0
None,58,3.2761863009592496,14.927086357946006,-79.59246974951793,A,C,C,0
Physical,34,-18.66708574284092,179.55583188004417,109.21467559873761,E,B,B,1
Physical,18,164.62106269266144,-93.80486283596993,-79.37765225838835,D,A,A,1
None,92,18.0656023868243,-81.40808078924039,155.78280512103655,E,D,B,1
Yes,80,-80.05304761012715,11.086670508193714,-65.43582806174442,B,C,C,1
Yes,51,24.91649684433986,63.43606470787262,-28.162089398998365,E,A,A,0
Both,75,76.5361549096731,-26.118283720687614,13.677436362555746,E,E,C,0
Mental,38,14.38914432346845,-42.93743341648169,-174.51222481962213,B,E,C,1
Mental,87,-2.470248387123251,-5.824302538640736,-92.09158306860074,A,C,B,0
No,74,-11.892395426072493,-51.29858375148364,102.42967049379689,C,C,D,1
Both,94,-78.71925906034214,166.48438874490927,-26.83135020605037,B,D,B,1
Mental,56,126.9683399103598,40.98142733235009,-76.72814412723645,A,C,C,0
Mental,86,39.66729648085292,-38.140339677415,40.770729612347175,D,B,B,0
Both,65,-8.391939813632817,142.7834610545647,8.308143868814815,C,D,C,0
Both,82,-35.78275204227759,146.13789278994207,-185.52244047248533,D,D,C,1
None,22,121.84299483749203,-110.812771513857,40.00682218771136,A,B,E,0
Both,91,-50.59823826827532,-5.898586161143191,-4.312853508724421,C,D,B,0
Mental,86,54.27017409240429,-167.81086856427845,105.96589693080271,D,E,E,0
None,28,-85.32619604472245,-154.2952085600577,62.990243467293375,A,B,C,0
No,82,-74.88878347505296,52.709133302362055,-31.160828069117603,A,E,A,1
Physical,50,-20.503230645470722,107.60405706106455,154.60807722172143,C,E,D,1
Physical,76,36.65896920214343,-48.74099790271577,32.117274882721944,B,C,E,1
Physical,30,-14.334634025007336,22.300019901683765,-20.969709164849593,E,B,B,0
No,72,86.91072869907521,-83.57434917503218,18.82711927238238,E,A,C,0
Yes,41,-113.63328133286727,-202.68041035445162,136.8626200644639,A,A,E,1
Physical,78,-70.27318856304528,-147.78780316408358,-70.20725680146545,E,D,E,1
Mental,45,-115.00613577000773,67.39381974391506,8.668620750094187,A,B,D,0
Yes,35,-62.57000058790329,-73.31311627338115,78.78254332543017,D,C,C,1
Yes,89,-59.9243343011756,47.035462407712835,-215.86488756678648,C,A,C,1
Mental,48,-34.557163238809515,-2.667596168136203,-31.00514602116077,E,D,D,1
Mental,63,31.13053289535035,-79.57539343787256,130.92792960203602,A,E,D,1
Mental,64,-143.59526464723646,7.603939602727911,19.051116149252717,E,D,E,1
No,37,22.868873023365914,-3.1827744742921604,-204.52853237209246,D,B,E,1
None,37,-22.682604441411108,72.3995381330447,237.798031145137,B,A,E,1
Yes,46,16.68375193547769,-58.303270439476606,125.57155941804876,C,D,D,1
Physical,62,-21.396908886815822,-53.70563133588967,162.71879349037278,A,C,B,0
Mental,45,47.008565417829026,-51.57674215419754,52.76719539149954,B,E,E,0
None,52,144.85235775599335,-30.735558924168117,74.43753862868158,B,C,C,1
Mental,30,-70.15144909899007,117.46626163475034,92.91230772570623,A,B,C,1
Both,67,-114.34568542356365,73.64929684252292,211.44239874605023,D,E,A,0
Both,53,45.78775906934205,87.36011444237323,-107.27969734271059,B,C,D,1
None,56,-171.4206666766061,120.81534772159593,101.705649080572,D,D,E,1
Both,29,-75.55304074195153,103.144842675811,-32.467544497201075,B,D,D,1
No,94,158.00965437993173,65.91927096464862,96.88499593060232,B,E,A,1
Both,37,-368.2190196151435,54.097122128037824,58.78602285658347,E,C,B,0
No,37,-190.80975825782053,-36.443659002490996,-20.553420243388977,C,D,B,1
Physical,92,-173.9362101189709,88.90987885227383,-169.54245717093556,C,A,B,0
None,25,106.38385956417811,-149.96550933127205,15.609438054994667,A,A,D,0
Both,52,-52.96279835288858,-180.2383012277029,17.49347568949368,D,D,D,0
None,56,48.65987824599071,9.87998382084016,-229.6282747248501,B,A,A,0
No,92,5.153089909008955,-1.4465521607362866,-58.47875137730376,A,D,C,1
Both,51,-9.568130834432868,-186.0622711016183,77.00092371264711,E,E,D,0
Both,94,-106.8121654642967,21.47134367292623,-220.1398595659558,D,A,B,0
None,78,-91.8046773161006,50.77405469649453,-53.41163633331728,C,A,B,0
None,62,69.07670873420668,-103.20144891679068,55.83054808383798,B,E,A,1
Physical,98,-157.78970439421067,22.999553163835447,144.90860352340562,B,E,E,1
No,82,-64.16194481342242,67.73399011523699,70.40006295671766,A,B,E,0
Mental,30,-42.621027136409,-23.998083179958147,-201.8064620801082,B,A,E,1
Physical,91,-72.46573041445433,127.68072385577842,-202.91697337433158,D,A,D,1
Mental,50,-18.271907264571855,-110.42096591014625,-48.81086139846374,E,A,B,1
Yes,68,30.228786041067853,-86.22801235926877,-81.6371350658228,E,A,B,0
Yes,36,122.84087024352925,-6.4286560185568264,-114.30980755119717,A,C,E,1
No,57,17.478132535364203,-76.23075166708871,-35.62065968239628,A,C,E,1
Physical,98,-4.389262352633384,23.650444696358893,75.95637626411931,A,B,A,1
No,64,-115.9897418995977,-81.02893714796058,-51.977707443662936,D,A,C,0
None,37,135.56441116384423,-29.40923487715199,-88.78719426401962,B,E,E,0
Physical,90,-83.99321173810522,-108.21699786672,107.76517803588965,D,D,A,1
Both,84,-9.504199725553697,197.39911301364765,21.168174492226598,D,A,D,1
No,18,-138.15254790323596,83.07086020229829,41.240984379902805,B,C,C,1
Yes,98,89.0546874926002,130.23998445448453,-125.29237618457726,E,C,C,1
Physical,94,21.987860504915734,26.670849245413812,24.600047990127162,A,A,A,1
Physical,60,181.82999568505568,-132.83571984928741,-78.63853709232106,D,D,C,0
Mental,49,61.73208926961895,14.239639625575299,108.43128530118547,E,C,C,1
Yes,71,-203.80710148671798,-29.17792601784319,4.3626562261758455,B,A,B,0
Physical,55,-94.49625683419531,-87.62221800934108,-36.046915944552644,C,D,C,1
Physical,71,-38.224129608287036,-100.70062625427603,-19.60155730951339,B,D,C,1
Mental,23,-65.2179035949776,110.00721962894626,141.92848617686352,C,C,C,0
Physical,40,-27.063608465104235,82.06284759153225,-90.83494546482878,D,A,C,0
No,40,35.080749390512025,31.637680415210333,53.61094827536795,E,B,D,0
Yes,31,-9.38202186343797,115.63694331632317,-208.83337741392046,E,D,E,1
Mental,55,100.52734631194411,115.4100857087101,80.46730709233066,A,E,A,1
None,48,-3.6824737575675526,-46.37070110697767,92.5635525466668,C,A,B,0
No,91,13.651833402460728,-34.08805278442305,-41.83408885540593,A,C,E,1
No,25,-1.0012418773098857,91.82244378848957,77.8852691205577,A,C,B,0
No,36,72.34521392843996,21.248358611477702,-198.1396135128631,C,B,A,0
No,38,-14.725150806650028,-267.25318254547125,-117.01377165938183,C,C,E,0
Physical,54,-119.13691558926168,-69.0349449108213,174.21783347038203,D,C,B,0
Mental,38,182.65070849141242,86.23613799469749,-55.9675347960217,E,D,C,0
Both,26,37.170064530488,-204.37316636493574,-50.50227972085503,D,B,B,0
No,37,-11.308875857340883,-100.58719903739713,157.18533466279007,A,C,D,1
Physical,29,62.46408780384479,77.60495941402465,88.38654237749857,C,C,C,1
Yes,42,22.98167509972682,107.95280630535198,-91.91961378227789,B,B,E,1
Yes,62,-3.9588591610772905,-50.77789471676568,130.83775356002104,A,B,C,1
Physical,30,-50.36372835538714,-12.439923455440661,41.36286090543388,E,A,E,0
Yes,86,-2.3906572520818594,-151.53089050152354,-67.77203220387645,D,C,D,0
None,56,-143.7424099462072,55.39879151467628,37.02410912513943,B,C,A,1
Physical,46,-92.4647999112491,-240.67949355149642,256.42943597934686,C,A,E,1
Physical,37,61.34090196149058,90.0558352371108,165.28482586554395,D,D,D,0
Physical,69,78.38651773659232,-92.4821535380713,-90.89455513052499,E,C,D,0
Yes,97,-14.635400623068351,-51.94948459317617,28.43812694913378,D,C,A,1
None,54,20.492575065467992,12.637302645463366,10.085426751335923,D,B,A,1
Mental,53,30.27014230545814,10.357394289626589,-172.83166601346343,B,E,C,0
None,33,-31.94006884362229,35.69521698786373,-56.276463470143334,E,C,A,0
None,83,-177.04769299506233,157.03243953464008,-22.329256113282003,C,A,D,1
None,41,162.1543551007655,104.85560266946032,121.70015185902321,D,C,E,0
Mental,55,-39.50330532084743,169.93008061401434,-0.49834663678463537,C,E,E,1
Yes,87,32.81896115175124,89.56871211528792,46.870713427969065,B,A,B,0
No,22,-17.128500056182187,14.928440940739554,96.33079519567781,A,E,A,0
No,54,-59.876577285802746,-91.0531597360094,200.38922205585385,E,E,D,0
Mental,53,-34.91577878050775,-86.40032184379044,216.50022982742883,D,C,E,1
Yes,24,27.063774961024162,-33.55884632212472,90.6977891230903,E,B,A,0
Mental,49,126.93722819867652,-77.60541511913193,-29.910066968190314,E,A,B,1
Physical,99,26.923362338413913,-30.125168544357294,-27.109103075817337,C,A,A,1
Both,81,188.25476819353372,-85.79071604972792,8.45851659986806,A,C,B,1
Both,76,47.207197749791206,-69.379592045232,239.2385112266145,D,B,E,1
Mental,62,18.353220546878752,47.41163398689758,-93.80215527050017,C,A,B,1
Both,53,-66.21780710999212,26.808894240772567,65.15956741236324,D,D,A,0
Mental,69,21.25465001972876,41.9170296453519,96.613524330869,D,B,B,1
Yes,33,-53.284467745417544,0.7161305846738345,-60.40872652612903,A,C,B,1
Both,87,13.002490182909218,-5.60320684922052,-38.07246006155112,C,B,D,1
Physical,47,-225.4246894519349,-203.0383551931868,-19.75639064611991,D,C,D,0
None,89,13.8760835660181,218.39064541212022,62.65478173385692,B,A,A,1
Both,50,-28.755037813433898,-98.8150669972688,57.798079544803606,B,D,A,1
Yes,86,44.591497781348444,73.9947786460757,-204.45077792142024,A,B,E,0
Physical,48,-142.8416467711262,66.33573479619228,70.42914939681543,D,D,D,1
Yes,86,-95.95462447345187,-20.895957781658094,28.754361427789128,B,A,D,0
Physical,35,5.512463805888921,-211.0881675372282,31.62486315257477,B,C,E,1
No,52,-145.05902515349013,-34.59439488708418,-40.28962892730766,C,E,A,1
No,91,-44.62862436438363,65.27940672266898,-118.04234586800052,D,B,B,0
Both,68,-69.79375176860381,-56.013773093491956,-219.56793492713547,C,A,C,0
Mental,91,-74.52477742937383,-158.36257996980493,-47.43008643619185,D,B,E,0
Both,63,-69.13180236757286,-103.82595490437494,-94.61285456580507,C,E,E,1
Mental,77,-319.3830049042872,16.002798455445095,-4.697204412623688,E,C,A,0
Yes,25,45.712284706466434,206.02876055622042,-119.12901554640439,D,E,C,1
Yes,53,-29.167951320431683,76.5555548732123,-46.805732470512595,B,C,D,1
None,71,-61.71772955635222,-53.24597326969097,66.31104159397839,A,B,D,0
Mental,35,245.3112539601765,-1.7332231078291047,130.0252562647687,E,A,C,0
Yes,94,-129.6221025717977,-90.65548020948634,154.42210669701876,D,D,A,1
Physical,60,48.236448034511525,-29.007523230386962,-202.20013142417557,E,D,B,1
Both,91,147.17123406496444,-65.322186225889,1.6745863089240365,E,B,B,0
Mental,28,-125.25457020279318,-13.45499668893384,88.79140042096284,C,B,C,0
Yes,45,-32.34529704042591,87.93472674704662,74.91915557985102,A,D,D,1
Physical,97,-53.146896913374455,36.12102086054266,104.97544920267433,E,E,D,1
Yes,80,76.99235738933889,-46.891495950012064,108.20583865544553,B,D,A,0
None,23,-23.333438958195206,60.095044562370845,64.48296293063468,E,E,B,1
Physical,70,-131.6346414400018,-202.61702894393318,-105.63026354083678,A,B,D,0
Both,22,79.92390347741053,29.709477869349392,-45.91775797130156,A,C,A,1
None,67,101.28089531011564,-60.55360207785784,-37.57875637299239,B,B,E,1
None,64,-190.24303434809542,-54.80527265011699,129.96875843232235,E,D,B,0
Mental,86,-82.91178456204725,-92.49537157322689,12.375522754489495,B,D,B,1
Mental,98,118.48385239770747,155.7311024519611,-4.99561910023176,B,B,C,0
Both,34,-32.37326904122758,33.75105575452116,91.61854965459068,C,E,A,0
Yes,79,16.26615120076341,6.340829571886878,119.96066178990223,A,D,B,1
Physical,89,-6.670941122174899,70.65933260616862,80.59555593083671,A,A,E,1
Both,35,-55.732823466191064,-14.415402641678979,10.971614054451354,A,A,B,1
No,74,-92.60218177181592,91.03733516687207,18.670492062666593,B,C,D,1
No,80,-62.219216032617275,3.3982772250403275,-103.72623313631617,E,E,A,0
Mental,45,174.8294064542073,-14.247164095812593,-118.08251895997952,A,A,C,0
No,56,45.87796074557333,87.06532717429242,73.26707587465668,B,C,A,0
No,91,-150.2520250731733,-53.54983156145954,22.534209724716405,D,B,A,1
None,61,69.13865982026498,28.806654422986995,-16.047086192493936,D,E,B,1
Yes,33,-15.448797950304144,-107.39140903808153,49.147817169537674,D,E,A,0
None,97,29.27462185116086,97.45327382752555,-31.457366778911666,E,D,D,0
Physical,36,-9.364648041147028,-175.4000724893018,-197.15457982942738,B,C,E,1
Both,55,62.84065502239491,49.51747026216998,49.16194400960809,A,D,A,0
No,44,53.29264759903488,-1.6397050784515268,-46.67654630481932,E,E,A,1
No,51,-103.10280242231708,-106.3568031459786,-38.28589721220213,A,B,A,0
Mental,29,-108.72095121254684,6.675315531348339,-5.951806312130031,C,B,C,1
Both,85,19.094098377778106,28.85850227836933,62.11159999594447,E,E,A,1
Yes,66,-123.30811245696862,-38.62063467371027,-34.21839732792602,C,A,C,0
No,66,-22.753615046768306,99.76461865924408,-141.86241581298518,E,A,C,1
Physical,34,-30.120528503243136,-121.11937170341614,-11.680513567002434,E,A,D,1
No,91,-15.47497721181518,119.9601069762231,-46.828817387448396,C,E,D,0
No,72,44.8327107311102,49.20903988025318,71.22978377661988,D,A,A,1
None,98,-3.7938143883300093,86.74976906004342,48.560444065066136,D,C,D,1
Physical,77,8.017734260765403,-12.828091447350662,-234.25745467304458,D,D,D,1
No,50,16.109014765874385,-314.61547624773397,-53.21839958425969,B,A,E,1
Yes,73,-29.28259136548904,-50.6225883838779,18.110197145079958,C,A,B,0
Physical,34,35.05313583147854,-52.372773138313946,107.39376285615505,D,B,D,1
None,20,-35.8288392745315,141.56902752847134,-147.56729850823055,E,D,D,1
None,85,110.99300558716176,-19.238082638489715,-144.14565443994513,C,A,B,0
Physical,48,45.62282538417911,-117.58921642981612,-53.76703090343874,B,E,E,0
None,75,150.35564822978728,103.6471759570608,95.42029098197553,A,B,C,0
Mental,20,-139.6776046827803,15.490768565167858,88.9063030233873,B,E,C,0
Mental,90,128.74636363959098,-4.462529990186013,113.95026679795757,A,D,D,0
Mental,94,-38.48405545165405,53.01511266968802,-82.50310000540628,A,D,B,1
No,68,37.49862401195791,128.21451399065924,-213.2702546642241,C,E,C,1
None,65,-44.956158053721516,-68.8192752374833,-198.4680076332046,C,C,A,0
Physical,55,-122.11412022807812,-35.90628769343832,26.34598165295475,B,D,C,0
Both,96,118.51832719616479,-77.91950138470112,-107.91198345074105,A,E,A,1
Yes,56,74.92752400084814,-131.47022906943707,-114.33869198637177,B,E,E,1
None,67,147.3498980238991,-182.20410242984343,154.57210213490671,C,B,A,1
Yes,71,-144.57137829365087,99.99235931287203,-78.72923152432031,E,B,D,0
No,86,-28.33259484706777,-60.03669997094375,65.12358969744841,B,D,B,1
