veteran,sexual_orientation,age_group,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
Veteran,Heterosexual,26-35,None,22.901022208016066,B,E,-77.60281862243205,E,A,0
No,Homosexual,36-50,Other,-8.845427784346956,E,B,-11.46481634217409,C,A,1
Veteran,Other,51-65,Christian,123.1489021929217,C,E,-53.85714545872723,B,E,1
Veteran,Other,26-35,Other,-128.79835057604762,D,B,63.874231252408144,C,D,1
No,Heterosexual,51-65,Christian,225.22899340678967,C,E,41.31286027725603,D,A,1
Non-Veteran,Bisexual,51-65,Hindu,78.0384477620861,E,B,1.763614108529611,C,B,1
No,Homosexual,26-35,Muslim,-142.4467146806768,A,D,-40.334141390309185,D,D,0
Veteran,Homosexual,26-35,Buddhist,-12.134345240433081,D,A,-123.90712579991174,E,C,0
Yes,Heterosexual,51-65,Other,-179.6205326636919,E,A,37.48930108167712,C,B,0
No,Other,26-35,Hindu,-13.784109268582458,B,B,194.79081513259618,E,C,1
Non-Veteran,Homosexual,18-25,Christian,126.90493991192926,C,E,125.40576888001434,D,B,0
Yes,Heterosexual,18-25,Buddhist,-8.053808222079871,B,B,82.46094103779436,E,C,0
Yes,Bisexual,51-65,None,20.279167369517886,B,E,-108.31665956020555,C,C,1
Yes,Heterosexual,26-35,None,-114.8690486510406,E,E,83.58164461143352,E,E,0
Yes,Bisexual,18-25,Hindu,-122.23573459537616,B,A,73.61016077400282,B,A,1
Non-Veteran,Heterosexual,36-50,Jewish,-52.991777575894716,D,E,21.226387559575365,A,C,1
Non-Veteran,Homosexual,65+,Other,164.9541586299562,A,A,249.07782648583753,C,E,1
Non-Veteran,Heterosexual,18-25,Buddhist,23.41203418361196,A,E,-57.45111761266786,E,D,0
Veteran,Other,18-25,Hindu,48.653251519404286,C,E,-4.271274939542383,E,E,1
Veteran,Heterosexual,65+,Other,-130.3874077227188,A,A,151.6115347855218,E,A,1
Yes,Heterosexual,18-25,None,-50.64409707120414,E,C,57.68742331953417,C,B,0
Veteran,Bisexual,18-25,Other,-79.22489127445638,A,C,-22.311008052455776,C,E,1
Veteran,Other,51-65,Muslim,-50.39972356042721,E,D,109.38092580327998,E,B,1
Non-Veteran,Bisexual,26-35,Other,-78.3292883355797,A,C,-17.148926148877138,E,A,1
Veteran,Heterosexual,65+,Buddhist,108.2712197870816,D,D,53.4701180951424,D,E,0
Yes,Bisexual,26-35,None,59.506359869529504,A,A,55.515223352609276,B,B,0
No,Homosexual,65+,Buddhist,-45.871793998294635,A,E,-22.850403192071823,C,E,0
Yes,Heterosexual,26-35,Jewish,35.597284389592396,E,A,-51.19941936535045,A,C,1
Yes,Homosexual,36-50,None,-16.430460673278414,B,C,-202.13632835797785,A,A,1
No,Heterosexual,26-35,Hindu,-56.49942715106273,B,B,60.681389008899124,B,C,0
Veteran,Bisexual,36-50,Christian,-30.651398524563096,E,A,-160.61006972172393,B,B,1
Non-Veteran,Homosexual,51-65,Muslim,8.1197212213253,E,B,-255.35021198942093,E,E,1
No,Other,65+,Muslim,231.9422577759123,C,D,-41.4827200111751,E,A,1
No,Bisexual,65+,Jewish,-54.99306216173115,B,C,11.12208533502471,E,E,0
No,Homosexual,51-65,Hindu,-52.507910291291694,C,C,77.65074264586555,D,C,1
Yes,Other,51-65,Buddhist,-90.65422985981488,D,A,127.5448034674127,C,D,0
No,Homosexual,18-25,Muslim,8.078782730184654,B,D,-8.44334986621565,A,C,1
Yes,Heterosexual,65+,None,-96.33262744756672,B,D,21.590032857730606,D,C,0
Yes,Homosexual,51-65,Christian,120.14903139574737,D,E,-46.15220484896889,E,D,1
Non-Veteran,Bisexual,26-35,Christian,-67.4920357328626,C,D,100.92708641883068,C,B,0
Yes,Bisexual,51-65,Muslim,-11.655937350451484,B,A,64.80846753160459,C,C,0
Veteran,Homosexual,36-50,Christian,-31.827978510152676,E,D,127.88931968230311,E,C,1
Non-Veteran,Homosexual,26-35,Other,-6.904484630343588,C,A,-141.58020551703098,D,D,1
Yes,Homosexual,26-35,None,65.31214391795693,E,E,-61.300305180217215,D,A,1
Yes,Homosexual,18-25,Hindu,13.781097524856659,D,A,-125.93480162217661,C,E,1
Non-Veteran,Bisexual,51-65,None,22.568814989933273,C,B,3.7524494647080333,A,B,0
Non-Veteran,Heterosexual,36-50,Buddhist,87.99084078434134,E,A,-101.58317261910238,E,C,0
Veteran,Homosexual,36-50,Jewish,87.00200833481398,A,D,130.71824135274593,A,E,0
Veteran,Other,18-25,Jewish,42.84412518444473,C,B,-336.80632500709265,C,A,1
Veteran,Heterosexual,51-65,Buddhist,58.44817016552268,E,C,0.22415747043352655,E,E,0
No,Other,26-35,Christian,-14.70314858102381,A,E,-48.273055852768564,E,E,0
No,Bisexual,36-50,None,-56.0241636832318,A,A,-104.82684477731519,A,E,1
Veteran,Other,26-35,Muslim,2.2438629281655262,A,D,-229.14840106013528,B,E,1
Veteran,Other,36-50,Jewish,-82.04655082900459,E,A,-164.455135806159,D,D,1
Non-Veteran,Bisexual,65+,Buddhist,-30.33806556863598,D,C,175.12626856163217,E,A,1
No,Other,26-35,Other,43.65709427349877,D,A,20.602006459463354,B,C,1
Non-Veteran,Bisexual,51-65,Jewish,19.178150465591955,B,C,102.35989847239502,C,E,1
Non-Veteran,Heterosexual,51-65,Hindu,-128.86493767523018,D,C,-161.02285814572025,B,E,0
Non-Veteran,Bisexual,51-65,Jewish,150.3804476815122,B,A,-110.25184174299132,A,E,0
Yes,Bisexual,65+,Muslim,68.76777496592827,E,B,-55.67526832140614,E,E,1
Yes,Other,36-50,Hindu,-66.80746525560062,D,A,-18.394970209205667,B,E,1
Non-Veteran,Other,36-50,Muslim,67.36960473309011,B,A,-26.87759237391973,E,A,0
Non-Veteran,Homosexual,36-50,Jewish,214.8162649715113,E,A,-82.27535966121197,E,C,0
Yes,Other,26-35,Muslim,-7.588126769774243,E,E,6.382697730217801,C,D,0
Non-Veteran,Bisexual,18-25,None,33.069835568116545,D,E,-184.82472788472398,E,B,0
Yes,Other,26-35,Christian,-50.81010290417426,D,B,-116.76694239487834,D,C,0
Veteran,Bisexual,26-35,Other,-53.804089581250025,D,D,-1.6859276525462572,C,D,0
Yes,Heterosexual,36-50,Muslim,-65.94191941787345,C,E,3.138531013774448,B,E,0
No,Other,36-50,Buddhist,61.08089638026092,A,B,70.12853633560205,B,A,0
Veteran,Bisexual,51-65,Jewish,83.69282071059843,C,C,42.71739993148364,B,E,0
Non-Veteran,Other,26-35,Christian,123.88427305388761,A,D,-112.80650813366648,B,E,1
No,Other,51-65,Hindu,-69.50902449664173,D,C,87.31653731831096,C,D,1
No,Homosexual,51-65,Buddhist,-3.991923012008121,B,B,101.82056325623246,D,E,1
Non-Veteran,Homosexual,26-35,Muslim,23.102960288685765,E,C,-140.3450462244803,A,E,1
No,Heterosexual,18-25,Other,-107.02745589902693,E,E,267.1687850129588,D,C,1
Veteran,Other,18-25,None,4.424261350704755,E,A,2.224624429627646,E,B,1
Yes,Other,18-25,None,63.81642837963382,B,D,-72.38260909482442,D,B,1
Non-Veteran,Heterosexual,18-25,Christian,27.62642113375053,E,D,-214.02471851392542,D,D,1
Veteran,Homosexual,65+,Christian,-48.04419223247833,A,A,74.67723358729553,B,E,0
Veteran,Bisexual,18-25,Muslim,57.700880618072105,B,A,-16.219383179559607,C,C,1
Yes,Heterosexual,18-25,Muslim,102.70693985142807,C,C,-20.01269609300937,A,A,0
No,Bisexual,36-50,Jewish,-134.34378264564094,B,C,75.65963053318383,B,D,1
Veteran,Other,18-25,Other,179.98808745322174,D,C,-10.77974837035863,E,E,0
Veteran,Bisexual,36-50,Christian,-26.46259518623645,B,B,-26.93166682494848,C,E,0
Veteran,Bisexual,65+,Christian,12.611303475735102,C,D,-142.04101047723876,B,A,1
No,Bisexual,36-50,Hindu,88.12458700189238,C,C,-114.6887638582314,A,C,0
Veteran,Heterosexual,65+,Hindu,128.55170079488138,C,C,-78.12245587820749,E,D,1
Non-Veteran,Heterosexual,36-50,Buddhist,110.58191590010587,A,A,181.4749359544846,B,E,0
Yes,Bisexual,65+,Other,-144.20546637380258,A,D,220.27228921637865,A,A,0
Yes,Other,26-35,None,140.67217175060148,A,D,-68.38466431641027,E,E,1
No,Other,51-65,Hindu,91.88912754753905,A,B,-70.59780097669717,C,D,1
Non-Veteran,Bisexual,36-50,Christian,-157.8425321791835,D,E,103.5640024497157,B,C,1
Yes,Heterosexual,51-65,None,115.03657135053665,E,B,-49.919845634563885,A,B,0
Veteran,Heterosexual,18-25,Buddhist,260.9574683601392,E,E,-186.47689218665,B,E,0
Yes,Heterosexual,26-35,Other,260.6356588670821,B,A,-84.99141556248478,B,A,1
Veteran,Homosexual,65+,Jewish,-138.90861651025904,B,C,-17.22326144909868,E,B,0
Non-Veteran,Homosexual,65+,Buddhist,96.42370017027359,B,D,22.76149442694339,C,C,0
Veteran,Homosexual,18-25,Hindu,213.0385396653364,B,D,-10.292044826387208,B,C,1
Veteran,Bisexual,65+,Buddhist,135.54908111643704,B,D,11.444384146380292,C,D,0
Yes,Bisexual,51-65,Muslim,-38.46649201747586,A,A,31.9561815140589,C,B,0
No,Other,36-50,Muslim,135.27960150372388,A,B,-252.71674086979883,A,D,1
Yes,Other,65+,Buddhist,-30.129383846451745,D,E,112.25771368596271,A,D,1
Yes,Homosexual,18-25,Jewish,39.309321112142484,B,A,51.77722091294131,D,E,1
No,Heterosexual,36-50,Buddhist,-69.25707482452555,E,C,-199.24605121631242,A,B,1
No,Bisexual,51-65,Hindu,-67.2000977731274,E,C,18.895661336514156,B,E,0
Non-Veteran,Other,65+,Hindu,-99.26128982961872,D,A,-23.86791730305354,A,D,0
Yes,Bisexual,65+,Hindu,-95.40827479335593,D,D,42.00918208029063,B,E,1
Yes,Other,65+,Muslim,27.444767196534592,C,B,-143.31889532894994,C,A,0
Veteran,Other,65+,Christian,-27.776843771149235,C,B,-87.58997018087244,D,B,0
Non-Veteran,Heterosexual,26-35,Buddhist,12.028771257907476,C,A,97.00818688989744,B,B,1
Non-Veteran,Other,26-35,Hindu,49.246571114700586,D,E,-109.167299256935,E,D,0
Yes,Homosexual,26-35,Buddhist,33.35165162343678,C,E,-33.635426460819026,E,B,0
Veteran,Homosexual,26-35,Christian,63.48286790525945,B,D,34.68197376922902,C,A,1
Yes,Other,65+,Jewish,2.0080322355960156,C,C,-107.9960946839313,C,C,1
No,Heterosexual,26-35,Jewish,128.39333203591684,B,C,-13.142249409007544,B,A,0
Non-Veteran,Bisexual,65+,Buddhist,192.37444186488665,D,D,-3.5372024757257434,A,C,1
Veteran,Heterosexual,51-65,Hindu,56.22917134380465,D,B,136.42675309436268,E,D,0
Veteran,Homosexual,65+,Buddhist,-133.276314708661,C,A,224.60848052329592,D,C,1
Yes,Homosexual,26-35,Other,68.8655846484997,D,E,117.91950789575434,C,A,1
Veteran,Homosexual,51-65,Other,-149.9487342659983,E,C,164.73993648251462,C,A,0
No,Homosexual,36-50,Jewish,-167.2236774721095,C,E,-115.92298892505349,D,C,0
No,Homosexual,18-25,Christian,-99.29755891221528,D,D,-135.55514142490912,A,D,1
Non-Veteran,Other,26-35,Christian,44.16077051442747,B,E,38.50950079622957,D,B,1
No,Bisexual,36-50,Christian,1.6415360609485736,E,C,47.06136386350114,A,D,0
No,Heterosexual,51-65,Christian,30.866421511663894,A,C,131.89295963731638,B,E,0
Yes,Homosexual,18-25,Muslim,-116.88551879045963,E,C,-95.72811699459908,D,A,1
Veteran,Homosexual,26-35,Hindu,34.1898040234528,B,E,-80.8745821528974,C,E,0
Veteran,Heterosexual,65+,Hindu,65.98099591019883,B,C,-169.38580744214275,B,E,1
Yes,Other,18-25,Muslim,-19.41514948255724,A,B,-52.448269414280965,D,A,1
Yes,Bisexual,65+,Jewish,8.370703670485504,A,B,215.0827875858778,D,D,0
No,Homosexual,18-25,Christian,-59.5994986241749,D,C,-9.448133563491465,B,C,1
Yes,Homosexual,36-50,Other,68.74538870498516,A,B,83.47855389187477,E,E,0
Veteran,Homosexual,51-65,Muslim,130.3382097145306,E,C,33.462626057502035,A,A,0
No,Other,18-25,Buddhist,-163.98809430632832,C,E,-39.30974543628193,A,B,1
Non-Veteran,Homosexual,18-25,Christian,-89.99477223006971,B,A,74.62454133442434,E,C,0
Non-Veteran,Homosexual,65+,Other,66.93960215865698,C,C,57.33431847827626,B,C,1
Non-Veteran,Heterosexual,51-65,Buddhist,1.6215571232252706,E,E,-30.30847196792713,E,E,1
Non-Veteran,Other,65+,Other,41.06533895521236,C,D,21.143823590935618,C,E,1
Yes,Other,65+,Buddhist,7.415631564262816,B,A,21.63873078951411,C,B,1
Veteran,Bisexual,18-25,Other,39.884712418539706,A,D,-37.324038242612446,B,D,1
Veteran,Homosexual,18-25,Christian,115.42443937794566,A,C,86.75317903241746,E,C,0
Veteran,Homosexual,51-65,Buddhist,241.7163422150661,D,B,-43.00099506607759,D,C,0
Veteran,Bisexual,26-35,Christian,176.7345106936727,E,E,-22.049840685365588,C,C,0
No,Other,36-50,Hindu,42.762253005243664,A,C,-95.47424052930246,D,C,1
Yes,Other,26-35,Muslim,70.9903705103932,C,A,-94.93848799905845,C,E,0
Non-Veteran,Homosexual,51-65,Muslim,140.6471912700163,D,A,25.87222889056498,B,E,0
Yes,Homosexual,18-25,Buddhist,117.65861967997067,C,D,10.932549259714879,E,A,1
Non-Veteran,Homosexual,26-35,Muslim,88.95768985073549,B,E,-102.00100413665348,D,C,0
Yes,Other,26-35,Muslim,13.161573770123464,A,E,55.93759576339882,C,B,1
No,Homosexual,26-35,Muslim,-60.51566239905488,E,C,-16.384968167024653,E,C,0
Veteran,Heterosexual,36-50,Hindu,-4.054492405801535,C,B,67.08086539776835,C,A,1
No,Homosexual,36-50,Hindu,38.49199756150606,E,D,72.48529496506356,B,C,1
No,Heterosexual,26-35,Other,-63.47765163069098,D,D,-126.55764035396935,A,D,1
Veteran,Other,51-65,Buddhist,-26.425809749087374,A,A,21.685838099213345,D,D,1
Yes,Homosexual,65+,Christian,-2.8914401091511372,E,A,215.8677503922498,B,A,1
Non-Veteran,Bisexual,18-25,Other,87.28064188910054,B,A,-43.05970339910477,C,B,0
Yes,Homosexual,51-65,Jewish,-9.665916312946473,A,A,12.918791904879887,A,C,1
No,Homosexual,51-65,Jewish,-25.56546360324614,D,C,-70.05188710699156,A,B,1
Veteran,Other,65+,Jewish,-67.27545081031762,C,C,-72.68666109817126,B,A,0
Yes,Bisexual,26-35,Buddhist,-145.54051401334223,D,D,-37.19111948384432,D,A,1
Veteran,Homosexual,18-25,Jewish,60.76995577382578,A,B,18.93641157897712,D,A,0
Veteran,Homosexual,65+,Hindu,92.82978088210179,D,E,152.43318297611123,C,A,1
Non-Veteran,Homosexual,18-25,Christian,-113.15894974683039,E,E,-26.913473332073217,C,B,1
Non-Veteran,Bisexual,51-65,Jewish,114.1799401765496,D,E,-162.56865854404342,C,D,1
Yes,Homosexual,65+,Hindu,-15.4143429328307,E,B,82.41957838924813,B,B,0
Veteran,Other,26-35,Other,97.5710266033569,C,A,71.34141182874897,E,C,0
Veteran,Homosexual,26-35,Hindu,-32.98853588178201,D,C,94.53554112099212,A,A,1
Non-Veteran,Bisexual,51-65,Christian,50.8891022198501,B,C,50.54963973743243,A,E,0
No,Homosexual,65+,Hindu,-38.534808728761696,E,C,-15.36316979082439,D,C,0
Yes,Other,65+,Hindu,-153.18254096917315,A,D,182.26653713098443,D,D,1
No,Heterosexual,65+,Hindu,12.419592787919974,D,A,55.25851530717841,B,B,1
Yes,Other,51-65,Other,125.5027230826214,A,A,75.09244872514525,E,D,0
Yes,Heterosexual,51-65,Buddhist,44.67912524912911,D,C,-35.505749962151526,D,D,1
No,Bisexual,65+,None,-4.316978272171275,C,E,-206.27124105047696,C,A,0
No,Homosexual,18-25,Christian,13.896644602492495,A,B,45.81321009366593,A,E,1
Veteran,Bisexual,36-50,Jewish,115.52124458483497,C,E,63.157476017329785,C,D,0
Yes,Other,26-35,Muslim,76.8784018611202,A,C,-1.0531552665757395,A,B,1
No,Heterosexual,18-25,None,185.34461920708807,D,D,40.90545389827057,B,E,0
Non-Veteran,Heterosexual,18-25,None,-49.27185401510697,B,C,-65.55475516063498,D,A,0
No,Homosexual,18-25,Jewish,171.08117691221935,A,A,89.09440151267852,D,E,0
Veteran,Heterosexual,51-65,Jewish,-140.45967399798732,B,A,93.61346402930165,C,E,1
Veteran,Homosexual,36-50,None,42.63569501789904,B,B,150.76574782387922,B,C,0
No,Other,18-25,Buddhist,-89.15970852751641,E,B,37.96709786216567,D,B,1
Yes,Other,65+,Muslim,-115.89769479259108,B,D,92.38203906837619,E,D,1
Veteran,Homosexual,36-50,Jewish,-23.127363200514885,B,E,94.74758852607238,B,B,1
Yes,Bisexual,36-50,Buddhist,-78.68518373948771,E,A,-75.12351333331068,B,D,1
Non-Veteran,Bisexual,26-35,Buddhist,-64.38758986063293,B,A,32.18312595074224,E,A,1
Veteran,Heterosexual,18-25,Other,232.43973276642058,E,C,171.51389130537126,B,E,1
Yes,Homosexual,65+,Christian,18.409878203913824,A,B,-145.34377743168534,C,A,0
Veteran,Other,51-65,None,85.74080964473177,E,D,108.49083074037303,A,A,0
Yes,Homosexual,51-65,None,-143.17223250086636,E,B,8.863075667528772,B,C,0
Yes,Heterosexual,26-35,None,88.19401050470765,E,B,96.5409395184332,C,B,0
Non-Veteran,Heterosexual,51-65,None,-22.35828188099212,E,D,-114.2880057950596,E,C,1
Non-Veteran,Other,51-65,Other,172.3049863212563,A,C,42.1270549804987,C,D,0
Yes,Bisexual,18-25,Muslim,81.03768751604008,B,B,-59.23593918166217,D,A,0
Non-Veteran,Bisexual,18-25,Other,61.63971475575264,C,C,-106.7031683464868,D,A,0
Veteran,Other,36-50,Other,-195.62731838622975,E,A,83.26530062199863,B,A,1
No,Heterosexual,26-35,Hindu,-35.19776778469147,A,C,23.72721674705389,E,A,0
Veteran,Other,18-25,Hindu,21.715781925577986,C,E,-65.29987136813986,B,A,0
Non-Veteran,Homosexual,65+,None,-78.5855749966667,D,C,-24.92041033197569,D,C,0
Yes,Homosexual,36-50,Other,117.28463895129366,A,B,-33.621706364043234,A,C,0
No,Other,36-50,Buddhist,23.9480774941206,E,C,48.52405180939721,E,B,0
Yes,Other,18-25,None,-33.42823410988326,B,B,-102.57688012730071,C,A,1
Yes,Heterosexual,26-35,Buddhist,127.89172745711414,C,A,183.85075079708886,B,A,0
Non-Veteran,Bisexual,26-35,Christian,-0.5240944054185377,B,E,-146.00101904830424,E,D,0
Veteran,Other,18-25,Buddhist,79.16194724341145,A,A,-66.26832739629009,D,E,1
Yes,Homosexual,18-25,Jewish,-163.52949195219878,E,A,112.543358969521,B,A,0
Non-Veteran,Homosexual,18-25,Buddhist,28.65808174873914,E,C,137.97404876792547,D,D,1
No,Other,36-50,Muslim,99.71446493128005,B,E,66.90235187070789,C,C,1
Veteran,Bisexual,18-25,None,-91.99304794863603,E,E,-15.970954910332361,C,E,1
Veteran,Homosexual,18-25,Buddhist,-189.14362629319396,C,D,-96.74730202762582,E,D,0
Non-Veteran,Bisexual,65+,Jewish,43.09636252305398,E,A,-197.01684379263818,D,A,0
No,Homosexual,36-50,Hindu,214.86721084766458,A,A,26.71221449323889,E,C,1
No,Homosexual,51-65,Muslim,78.58032454428096,B,D,-38.37659592780643,A,D,0
Non-Veteran,Homosexual,51-65,Buddhist,125.60038912082688,A,E,171.58958029238843,E,D,0
Yes,Other,18-25,Other,170.9782906079738,E,C,105.68362461618284,A,A,0
No,Bisexual,26-35,Hindu,237.27999726746916,D,D,4.529849099690138,A,E,1
No,Other,65+,None,-9.131294083006079,B,D,86.13100528382418,E,A,0
Veteran,Bisexual,51-65,Christian,-77.68514090029261,C,D,19.94126725726569,B,B,0
Yes,Other,36-50,Christian,133.4950900154492,B,A,-168.99580085482512,D,C,1
Veteran,Homosexual,18-25,Muslim,151.3055047444121,D,E,95.784139934366,D,E,0
Yes,Bisexual,18-25,Christian,-114.29893163828166,D,D,88.8888418767268,A,E,1
No,Bisexual,36-50,Christian,97.77499899350838,C,B,-163.59354001391156,A,B,0
Yes,Homosexual,65+,None,-75.47531209608444,E,C,-100.00937723693728,E,E,0
No,Homosexual,51-65,Other,-59.7011455672093,D,E,-7.840946903605136,C,B,0
Yes,Other,51-65,None,55.21555331810253,E,E,125.18730395349257,E,E,1
Yes,Bisexual,51-65,Christian,-119.03247885844624,D,A,131.06533608806106,E,B,1
No,Other,36-50,None,3.0945571082512724,C,B,65.72872028774528,A,B,0
Veteran,Other,26-35,Hindu,-54.11331297974659,B,A,-110.99132834967054,C,E,0
Non-Veteran,Other,26-35,Jewish,94.99597142233345,A,D,-92.9942796246529,E,C,1
Veteran,Homosexual,18-25,None,-9.554783561299049,D,B,27.10393441462885,B,D,0
Non-Veteran,Homosexual,51-65,Muslim,-16.964523440279265,D,A,127.25593842879026,B,E,1
Non-Veteran,Other,26-35,Jewish,-112.28068575882864,B,C,154.91882606704604,B,C,0
Veteran,Bisexual,18-25,Other,2.6581913582847028,C,D,-31.545993977331182,E,C,0
Non-Veteran,Other,26-35,Christian,-3.205458567281636,C,C,154.34801728041595,B,A,0
No,Heterosexual,51-65,Hindu,-79.07613415772545,C,C,52.90610126667312,E,B,1
No,Bisexual,18-25,Hindu,-80.22997044570464,E,D,-36.98300687647686,A,B,0
No,Bisexual,36-50,Muslim,112.57000133306667,C,B,-21.830842854811312,D,C,0
No,Heterosexual,36-50,Other,72.08565097647141,E,A,82.3434910267074,C,C,0
No,Bisexual,36-50,Hindu,-91.0326496699853,E,E,-120.94960609674135,B,E,0
Yes,Heterosexual,26-35,Muslim,36.811664417826925,E,C,92.35893993770365,C,A,1
No,Bisexual,26-35,Buddhist,-14.788060930170024,E,E,-21.81774966696887,C,B,0
Veteran,Heterosexual,65+,Hindu,111.77579525842071,D,C,84.38740021727178,C,B,0
Non-Veteran,Heterosexual,51-65,Hindu,-86.49515681462927,A,E,-203.38119697859022,C,A,0
Non-Veteran,Heterosexual,26-35,Muslim,120.689614611026,A,E,42.39928018382405,C,E,0
No,Bisexual,26-35,Muslim,-30.597795575390606,B,A,18.443635485391745,D,A,0
Yes,Homosexual,18-25,Buddhist,66.01078582627173,B,C,161.7522202487354,D,D,0
Veteran,Homosexual,26-35,Muslim,-105.39528954595248,D,E,46.46385113726819,D,C,0
Veteran,Other,65+,Hindu,-47.15075789431445,B,B,-84.67425444112064,C,C,0
Veteran,Heterosexual,36-50,Buddhist,166.51300926036848,B,A,-40.04674578850654,D,D,0
Non-Veteran,Heterosexual,51-65,Other,-44.757982640447466,E,A,68.53207582313686,D,D,0
Veteran,Heterosexual,51-65,Christian,-51.805237683231134,A,B,-27.796063916114814,E,C,0
No,Homosexual,65+,Buddhist,-39.58953773118906,D,B,-157.80297581559734,C,C,0
No,Other,51-65,Christian,-162.90650089312166,A,B,38.51802720102719,C,D,0
Veteran,Homosexual,65+,Muslim,39.720959291368004,A,B,-120.22003222569664,E,A,0
Non-Veteran,Homosexual,36-50,Buddhist,59.76240967108084,C,D,55.593108390766645,C,C,1
Veteran,Homosexual,26-35,None,-26.14584466630821,D,C,-68.58584952240679,E,E,0
Veteran,Bisexual,65+,Jewish,-51.61856905995553,C,B,78.18791999210858,D,A,1
Non-Veteran,Bisexual,18-25,Hindu,133.7887446284546,C,D,-82.88003437768174,D,E,1
Veteran,Other,36-50,Hindu,86.53014550790867,E,B,98.39927026913328,E,D,0
Veteran,Other,18-25,Jewish,-25.17659857331277,B,A,2.3773836767216014,D,C,0
Non-Veteran,Homosexual,51-65,Christian,9.10660932130729,C,E,-39.228345872397696,A,C,0
No,Other,18-25,Other,70.12212265314075,A,B,18.369047139794,B,B,0
No,Heterosexual,65+,Muslim,97.9204403988032,C,A,51.48709472125813,A,E,1
Veteran,Heterosexual,18-25,Jewish,-48.305372931542124,C,A,-119.04591341606823,B,C,1
No,Other,26-35,Jewish,-22.597798771837244,A,A,-51.684903287834175,C,E,0
Veteran,Bisexual,36-50,Muslim,-57.783996422353326,B,A,-68.20383848586292,A,C,0
Veteran,Other,65+,Christian,17.29592975479109,C,A,-53.35146844560401,B,C,0
Non-Veteran,Heterosexual,51-65,Muslim,102.50485387752721,B,A,188.47762039241775,D,A,1
No,Other,36-50,Christian,-5.797197877282554,B,C,96.30953399104773,B,D,1
No,Homosexual,18-25,Muslim,16.19607184612044,B,C,3.2296417360801586,C,A,1
Yes,Other,36-50,Muslim,14.999168176568956,E,C,-84.44457706597439,C,E,1
No,Other,51-65,Buddhist,32.15480516302836,A,B,101.60877996580284,B,D,0
Veteran,Heterosexual,65+,Hindu,-9.588571799338558,B,E,167.31382002427256,D,E,1
Non-Veteran,Other,26-35,Muslim,180.30683146162087,D,A,37.70684096048626,E,C,1
Veteran,Homosexual,26-35,Christian,-70.1522636238858,C,E,-81.61044975322024,B,D,1
Non-Veteran,Homosexual,51-65,Hindu,-92.93896075392806,C,A,16.293948783577093,B,C,1
Veteran,Heterosexual,51-65,Buddhist,51.965136758307096,D,C,42.43149164058727,D,E,1
Non-Veteran,Heterosexual,26-35,Buddhist,81.83298143622957,E,A,-18.974786691623265,D,B,1
Non-Veteran,Other,51-65,Jewish,289.7624006421855,E,D,-44.431955441225575,D,A,0
Veteran,Homosexual,36-50,Muslim,-0.2309608360220992,B,B,-91.45706867244296,C,E,0
Yes,Other,36-50,Buddhist,101.40163827457043,B,B,145.08657489258155,B,B,1
Yes,Homosexual,65+,Jewish,126.95972395661587,A,D,74.52980055841405,A,B,1
Veteran,Bisexual,51-65,Buddhist,32.78866153178511,D,E,79.37337649510987,E,E,1
Yes,Other,26-35,Other,-141.07785019442852,A,D,-166.34731118616267,A,B,1
Yes,Heterosexual,18-25,Hindu,-6.578293640897434,D,A,105.74899261402871,A,B,0
Yes,Homosexual,26-35,None,81.9247841717592,A,A,47.12919104614262,D,C,1
Yes,Homosexual,26-35,Hindu,199.62470926877427,A,E,-19.860627291938147,A,A,0
No,Bisexual,26-35,Jewish,-35.57540912110094,C,B,-223.2125639332841,B,C,0
No,Homosexual,18-25,Christian,61.07803411979646,A,D,-157.75675664819553,B,E,1
Non-Veteran,Bisexual,51-65,Jewish,83.86836481277489,C,A,-27.71084559357454,A,E,1
Non-Veteran,Heterosexual,65+,Muslim,103.02258339419154,A,D,-41.143770780420695,E,E,0
Yes,Other,65+,Buddhist,44.62165480854166,A,A,-160.25928635674165,A,C,0
No,Heterosexual,26-35,Jewish,-117.81238837463934,D,C,-53.33623590722362,E,A,0
Veteran,Other,65+,Other,32.52738787927176,E,C,-77.21253973100325,A,C,1
Non-Veteran,Bisexual,51-65,Buddhist,-25.256531777648096,A,B,61.33862954975494,C,B,0
Yes,Heterosexual,36-50,Jewish,-100.07732788442316,B,E,44.526088709684245,B,A,0
Non-Veteran,Other,36-50,Other,-5.138773915978486,C,C,25.0198137777799,B,B,1
Non-Veteran,Bisexual,18-25,Other,-60.52546233608207,B,A,-22.435501584714956,B,A,1
Veteran,Homosexual,18-25,Other,-121.37717109340915,D,A,241.3587728358233,E,A,1
Veteran,Heterosexual,65+,Muslim,43.30381291540416,E,C,-45.08424102579815,C,A,0
Yes,Bisexual,51-65,None,-16.361074642821475,C,A,148.4320610594774,A,B,0
Yes,Homosexual,51-65,Jewish,67.07416234605654,D,E,-103.4672482173755,C,B,1
Veteran,Homosexual,18-25,None,-91.57639422483463,B,C,-61.11271768471573,A,B,0
No,Homosexual,36-50,Jewish,-33.45118332179663,A,B,11.759932862146249,C,D,0
Veteran,Homosexual,18-25,Christian,114.51047936142655,D,B,178.22007132723544,B,D,0
Yes,Heterosexual,65+,Christian,47.34864798464232,E,A,-59.520845973470514,B,D,1
