military,age_range,nation,Gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Yes,26-35,Mexico,Non-binary,-18.32331664973156,113.09416788772563,-147.33389010866227,A,88.39974720997618,A,A,-105.94196473472104,D,-94.21376564745324,0
No,26-35,Germany,Non-binary,35.3412769932442,-117.70637003415949,-42.92399575848628,B,-26.23291463224881,B,C,-172.91288432184191,A,-46.418903667304505,0
Veteran,51-65,Germany,Female,117.30533066601711,-12.674299524731078,-211.06638289464902,E,-139.1950995730494,E,C,80.33147309435097,D,78.16035657422256,1
Yes,65+,Germany,Female,-27.00172436833284,6.622228627694968,28.700502929034084,B,-20.72665437564283,B,D,-146.5661723160871,C,-31.97070533264869,1
Veteran,26-35,Germany,Other,-114.56466733571018,82.9870759090237,26.49519244237894,B,11.518067772715742,C,A,-74.64140933882273,D,97.70299439366168,1
No,18-25,Other,Non-binary,87.71628068251445,-135.2003448837298,69.09043450148819,C,95.54555708201754,C,D,-49.94322583025077,A,10.92206587573891,0
Non-Veteran,18-25,India,Female,7.667992715774115,-64.90523449817289,-161.13310635522024,B,199.74454682000305,B,D,145.84879779392236,A,-143.00359773482262,1
No,18-25,Other,Male,69.9449440697847,-14.529781685875228,-5.255041878841489,D,2.043495122615118,E,A,10.773665173671844,E,146.1268134451263,0
No,18-25,India,M,-147.66146876392332,20.55400658173855,76.96259865008385,B,-86.05106907824442,B,D,-35.29944242369826,D,-1.9485318044426023,0
Veteran,65+,Brazil,M,-210.7834266315706,213.07552576537634,-55.23440915048881,E,-177.9273455825482,C,A,-103.32137818593105,E,209.8138321779548,1
Non-Veteran,65+,Brazil,Female,117.99689991601521,-50.351414259413964,72.72144817722503,D,-45.746763986279184,B,E,-72.4391917807367,A,-3.680395192860016,0
No,26-35,Brazil,Female,171.08472679160792,28.89790217205117,-52.59735637689722,D,-155.67346471208924,C,D,15.610895055491952,A,-32.540007015475325,0
No,18-25,Other,Female,79.0247119057316,-98.0264071485447,-159.0021583214747,A,70.60693300368887,A,B,28.9647212994138,E,-98.4559385326974,0
Yes,36-50,Germany,M,-44.76635643766803,-18.742530062113445,-74.29927894817412,B,-138.6041945465043,B,E,-11.869532627788399,C,-92.36472600149219,1
No,36-50,Germany,Female,0.03825043628680918,93.86691395223819,-50.702086540862446,D,138.14238454032764,D,C,-17.393800893736124,D,-50.7497429365938,1
Non-Veteran,36-50,UK,Other,-150.68551985859278,-62.810621820156875,4.847440832216897,D,-42.489203293779376,D,E,-118.3483540907486,B,223.10450105102242,0
Veteran,36-50,Mexico,Other,227.34072107404336,73.13256781465736,206.30626335493622,D,53.29754971685645,E,A,-56.62573065629067,A,-100.46589987952159,0
No,51-65,Mexico,Non-binary,1.506786342398508,-89.58381112978958,52.65386188011646,A,-50.83140905262189,A,A,-105.38121983861247,A,-117.34032957585092,1
No,18-25,Other,Non-binary,31.89893974202957,19.215698857980044,31.490958854077995,E,-4.210178987072489,C,C,86.39839923504928,D,179.31117973584333,1
Yes,26-35,UK,M,121.07075822679133,-61.579122077156526,-4.475026002323354,C,-175.0044769918481,C,A,253.85840972821404,A,24.816911352002737,1
Yes,26-35,Mexico,Female,127.07588941691506,-3.0119154794367855,-60.99876387078238,A,-139.20160647991216,B,E,38.19434546377806,D,30.29174231377288,0
Veteran,65+,India,Female,75.17692168792234,-33.615155709353346,2.4910825036712314,E,-9.672374974984335,D,A,72.2597691966532,B,-113.7671083801302,0
No,26-35,Germany,Non-binary,-91.31510458839513,-106.92100097502728,-24.20156894561328,D,-130.12422510717704,A,B,77.01007285918881,B,-197.64759305437204,0
Non-Veteran,65+,China,Male,52.203658598770964,-83.32887899365564,-126.18148094623169,D,-14.575475878358063,C,E,216.99084837664233,E,54.23623596870326,0
Yes,18-25,India,Female,-61.31257180069557,-98.84057762979249,-116.05094612996396,D,17.12606997389313,B,B,-114.4586151233918,D,100.83397726618992,1
Non-Veteran,51-65,US,Male,-5.105965627742881,76.04176251737313,-118.48285518950578,C,4.377995110197473,A,E,-114.48167548801,C,-23.00077159491874,1
No,65+,UK,Female,-61.34578751289004,14.770122094231214,-52.268040814149884,C,103.36263535792634,A,E,-95.42200121092783,A,-82.12648556835039,1
Non-Veteran,51-65,Mexico,F,-91.9590181304157,-118.96536426298638,119.37546269871422,B,40.77718207431258,D,B,77.673316461503,C,-97.78047210344207,0
Yes,36-50,Mexico,M,22.425890953005208,-82.64932423492507,-28.473060850659866,E,-85.43733380335549,C,D,-44.24812969449348,B,187.60771684760815,1
No,51-65,Brazil,M,-66.50616596949106,45.573188575281506,44.93906213171106,A,-111.50590829600979,A,B,-184.11742433822346,C,70.86479288336865,0
Veteran,36-50,China,M,-0.5993476654155685,48.770061763786266,-8.710584105198254,D,33.639466874561805,C,E,51.88618182862537,B,86.92300680325687,1
Yes,26-35,Germany,Non-binary,83.76515847072694,-87.45852212810881,-77.33894678892497,B,-85.5657546958777,A,A,-45.15344884797325,C,126.14366990721568,1
Yes,65+,Mexico,Other,-23.082886255789262,-111.74356822976961,156.8304585412242,E,-167.46428985840527,B,B,-100.93073705336847,E,33.43134548068149,1
No,51-65,Mexico,Non-binary,-41.19343016864785,-6.84630507272927,134.41121026599905,B,18.885829687175146,B,B,128.50711183021056,B,7.671614303251372,1
Veteran,36-50,Other,Non-binary,-160.18260379456896,2.1671229656677404,55.38808631942634,A,-32.755919659981394,E,D,48.731244378413066,D,59.15618252214016,1
No,65+,Other,M,38.52016772559262,-128.93911953985992,-91.1870098917631,E,3.9892830578564547,E,B,127.97122033875723,B,-14.415860625991572,1
Non-Veteran,65+,US,Female,-68.47718532654127,32.55730734484982,9.816825536816328,A,-124.16630294290366,C,B,-29.975774354219446,C,92.08860021048582,1
Veteran,65+,India,F,-10.187347603548885,41.99309630642078,-89.31880059672872,A,-29.83071690600202,B,B,64.73460533560782,B,-64.76532083033493,1
No,51-65,China,Non-binary,111.74315958940863,99.04402743880382,150.78959709706422,B,-87.6927516249905,D,B,-0.08940463177475945,B,55.60894004730399,0
Yes,51-65,India,Male,-77.81975162875445,102.67603317832572,88.53451966465038,B,-145.25204273636538,D,E,-79.26050841848419,A,151.13445135556339,1
Non-Veteran,65+,Brazil,Female,-10.725178544426061,25.656627199360067,178.93604207341707,E,92.2094405250941,E,D,116.92238695746265,D,-18.698963596321207,1
Veteran,65+,Mexico,M,-6.121703514209458,30.893333687800716,-19.167391982406897,D,166.6814720225576,A,A,109.17952532859859,C,-19.979810187457716,0
Non-Veteran,18-25,UK,M,-181.62107754388765,-33.40621410382398,-197.43123550001803,D,-24.50208494026109,E,A,-55.01350076874223,B,-153.7523037378725,1
Non-Veteran,36-50,Other,M,-2.382744639141867,-7.281042243090803,-44.510214791251535,E,53.655896303578366,B,C,-104.07065581036512,D,97.56959626255602,1
No,26-35,US,Male,-55.872048152860145,162.52193212090054,-101.44534082849175,C,136.03766881141615,A,C,-45.85221269618658,A,94.30438152800689,0
Yes,36-50,Germany,M,79.29731328982257,-73.43685566568176,-122.78761156827518,B,-84.248438189483,B,A,32.003946011908255,A,-117.88835513677527,0
Yes,51-65,Brazil,Non-binary,116.99795219441226,-8.563990900406042,38.712542937876016,A,-31.4883545656708,C,C,54.216897915274345,A,12.817310602594317,1
Non-Veteran,65+,Germany,F,-30.092267364637955,12.274568498569547,78.27660190394896,D,-112.32799245093175,C,C,83.55613631102075,A,102.20451623880102,0
No,26-35,US,F,32.220843866968586,90.9105430266805,-178.25770073853676,A,89.54574521240447,C,A,-27.209484579242282,C,-23.769299791436687,0
Veteran,36-50,US,Other,182.50242835716466,-246.64186657316404,113.88312083214711,E,-107.83539360443363,E,D,-59.491071975390156,C,-68.4022660895761,1
Non-Veteran,26-35,China,Female,99.11577155075622,92.32665707596733,-37.52953268909674,A,-16.303080861719916,C,D,72.52373441529085,B,92.16322764094997,0
Non-Veteran,18-25,Brazil,Female,226.0582381807323,-163.50498726817202,-177.82979672350228,C,-121.01711066792011,E,C,45.90850092978449,A,-117.50082364450178,0
Yes,18-25,Mexico,Non-binary,-81.43329111752783,-97.9421672856088,117.73364762042864,E,155.67905061962614,C,C,7.0761957034848315,E,23.146877560198845,1
No,51-65,US,Female,-143.8491779688421,71.48061183453275,-56.005043140364684,B,-61.08927780223867,B,B,-74.94846005407796,C,73.73524981722784,1
Veteran,26-35,UK,Male,-112.1513716399863,122.59404351130574,61.65307382356416,B,131.46424803629034,D,B,5.49733930359349,D,0.9960657818285966,0
Yes,18-25,Other,Other,109.93766503361377,-29.5472637718174,58.76038052149182,B,-96.71994746155441,D,D,-79.4719913366218,E,56.91116160890881,1
No,26-35,Other,F,-6.523619181645534,24.41113526590259,98.8019638079264,C,-142.8007869414571,A,E,-81.86446372650349,D,-14.817721256826225,1
Non-Veteran,36-50,India,Other,30.86659534527233,75.61274174461107,52.27267371235127,B,-147.0032312579655,A,B,67.34837993189971,D,-105.0902816759276,1
No,36-50,Other,Non-binary,-22.8407368507735,-67.13692378886842,39.782681548641115,B,-6.5206799036839485,C,A,22.67057407663271,E,50.56510453009966,1
No,51-65,India,M,51.95731249597449,-25.53046335218994,97.04623584435727,A,-19.73238651246624,B,A,35.18144870016911,B,183.9283106615661,1
Veteran,36-50,Germany,Female,8.581911301575577,78.39147810985317,-51.78280041688637,C,-11.634007939150248,A,C,-7.800200844899356,D,29.989385066006204,0
Non-Veteran,26-35,Mexico,M,20.081941741594875,89.21205124870214,-76.62537981462452,D,-53.39188719616844,D,B,15.28843425520217,A,-7.153556061175441,1
Yes,26-35,China,F,-91.25384928762878,-38.12305421408218,56.43974528045999,B,-81.42302198170091,D,D,-30.347398531295195,A,95.90507713350198,1
Veteran,18-25,Mexico,Female,-24.630841146498664,-36.8486050066813,-369.31566492775215,E,-175.4628505243579,A,E,-58.89432782757604,A,-26.284094332540743,1
No,26-35,Other,Female,79.36133977511165,-151.3453053284807,143.95244772194653,B,-163.3956699176333,D,E,41.272080251368834,D,58.847448702085515,0
No,65+,India,Female,-35.79713819705448,103.54581967082875,-12.16516235184967,E,-73.07931519078961,C,E,58.68566888457052,E,-23.265554526093794,1
Yes,26-35,US,Other,-46.71114278436438,94.23627130763425,-43.827920833561784,E,-45.11114445884545,A,B,-61.52504522606234,A,-12.312031653247718,0
Non-Veteran,18-25,Germany,Female,-29.75345505742838,-34.01909944511536,-11.91052489280953,E,146.78734720658585,C,C,-116.16024137511145,D,-36.624940766061016,1
Veteran,51-65,China,M,53.93005313599857,-90.4771497307329,112.33561882426615,E,160.7952984058741,A,A,-16.658228990400463,A,-75.88734070327284,0
Non-Veteran,65+,Germany,Male,-80.41718881794199,152.22378916041308,-34.09630167457562,D,23.134873896536508,D,C,2.0297813024953335,E,86.20854084777795,0
Veteran,26-35,US,F,-37.54606088035099,-14.084627336092204,-93.91140934516005,E,80.72860172488512,A,C,-126.27433239757228,C,34.961841146988355,1
Yes,26-35,India,Male,10.26040920248368,113.69588102767842,-1.6929673389888045,E,15.153176706377733,E,A,-54.77599985012179,D,116.22711875200788,0
Veteran,51-65,India,F,-4.947383342764022,-74.95449507450446,-100.17980604789179,E,-184.08805225239294,B,E,112.54394197654625,C,5.231618461792772,0
Yes,18-25,Other,F,-102.33566047731912,317.8836864196188,75.79161841814161,D,-215.56236027395403,D,D,-150.4281150098282,C,117.88022912096407,0
Non-Veteran,26-35,India,Other,-94.89134386206291,89.57037664533911,-20.54687329082638,B,-138.52912881536454,B,A,162.9702238929575,B,178.11458463806738,0
Yes,26-35,Other,Other,213.9565231827043,8.208373162286572,220.21428974388425,E,-82.53185658069677,D,D,-35.42444441350053,E,-17.3160262763424,0
Non-Veteran,65+,China,Non-binary,40.32112427284655,-73.63119574852345,171.31958743574242,A,-57.5655178172883,D,E,70.9241234139431,E,115.82201037818855,1
Veteran,36-50,UK,Non-binary,20.454030974348267,128.89921987077346,-69.38195612316429,C,-165.5145680677252,E,A,75.16264751008686,A,114.85001254860016,0
Non-Veteran,65+,UK,Male,-80.23173933163119,102.74665433475259,-42.0578644321367,C,179.02497086064665,C,E,-13.177566982114646,E,-146.32134117201326,1
Veteran,18-25,Other,F,8.947168709410274,-31.725805549889746,-7.057145322537174,D,59.89930184760062,B,D,-62.065924957721684,B,21.298964678868025,1
Veteran,18-25,US,F,-184.46146940644968,-71.02848276774067,28.62402680163188,D,110.07484732445711,C,C,23.85770581420365,B,49.60809766899301,1
Veteran,51-65,US,Non-binary,15.237687927300165,1.0983981646292138,-79.6329180210384,B,-104.14670874565724,D,E,-122.98063681986578,B,81.25680258973033,0
Non-Veteran,65+,India,F,-158.09239209631605,-15.67352519463579,-46.18388379531551,A,129.68375779472763,D,A,-9.478940543396323,E,-41.25721474053794,1
Non-Veteran,18-25,Germany,Non-binary,-75.81542350062969,-81.29757428537717,-73.97135205714129,A,-7.206862787992328,A,A,65.06741519410761,C,3.3536604401454833,1
Non-Veteran,36-50,UK,M,-307.618456075116,3.480057788085316,121.3063847594535,B,-110.02666405453067,B,B,-82.51136290652818,B,-96.77291925392849,1
No,65+,Germany,Male,23.839822227286287,266.7012105283489,-27.02922836632234,A,-2.1252456599130407,A,A,0.46739300127957584,C,142.8777003546455,0
No,51-65,Germany,Female,241.62848325048455,-19.313238897086084,-80.58308205227756,B,53.02495231978759,C,B,78.31049817287584,B,33.649430335869454,1
Veteran,51-65,India,F,-18.14370515069983,-82.97743492787104,-41.73882414797012,C,-6.63097031114575,C,A,75.6080009599875,C,-84.3403092636575,1
Veteran,65+,UK,Female,-79.87629636146639,224.71608536127255,38.93605117024839,E,135.17785980618106,C,C,-46.06232626801911,E,-62.84827030967324,0
Non-Veteran,65+,Mexico,Male,-163.53815930733302,-57.0821630314869,57.32451549127325,E,95.53369716309626,E,C,159.69501129016973,E,49.780980507524056,0
Yes,51-65,China,Male,-240.01629091724044,195.00326079154746,-27.66822970833199,E,-58.46252541586311,B,E,-132.41578415525592,E,11.743419260042632,1
Veteran,26-35,US,Male,232.94223004581403,17.22062199202469,-127.57537960812861,B,6.213414313288376,B,B,5.240153623283247,A,125.3953438931118,0
No,51-65,China,Female,-17.521924589240815,-42.70381168068712,187.5806822074397,C,-37.502898357921225,A,A,80.79153260370036,A,-267.51116552855757,0
No,36-50,Other,Female,174.37351730130894,-100.30538765787816,52.26051984562371,E,-40.36169334056035,B,E,8.210597280861851,A,-89.68185367020105,0
Non-Veteran,26-35,Other,Male,143.08238292017577,-31.467108294005904,-153.74238697224212,B,-20.604293465351656,A,D,-153.68606996467668,E,79.0669891061917,0
Non-Veteran,18-25,India,M,75.9327435081864,-22.775166429518258,125.06552999793192,A,60.93554759254977,B,D,45.25624957350292,A,195.69027245707363,0
No,65+,UK,Female,-52.1400361538797,101.19348058314945,63.37054413189431,C,-48.058252259106794,E,D,-111.1107423092557,E,-5.392080830318309,0
Yes,51-65,UK,Non-binary,77.72026674642937,-76.76399121971656,152.33770555671177,E,14.589071332631976,B,A,129.89378726116774,E,218.00459667285935,0
Yes,51-65,US,M,-6.2889273633511324,112.0714914318913,81.85616665246067,E,-23.75524818641225,D,E,-51.566843699775966,D,161.55911470596718,1
Yes,18-25,UK,Non-binary,27.150631267237973,-26.00265330807346,63.32780216661711,D,-66.34325887981245,E,A,-137.8019713268723,D,43.83099886900073,0
Veteran,65+,Brazil,Male,26.270490111882577,-35.95068423049006,325.70831997077016,B,-38.77626372541544,D,A,36.012123640776835,C,42.96417113893197,1
Yes,51-65,UK,Female,-119.72525579647477,-108.33971888785445,-8.733624622733128,E,-55.75551726927311,D,E,-57.00385630402698,E,9.93788292435167,1
No,26-35,UK,Non-binary,-158.82005264634975,-32.274876680085235,73.61794654466406,E,-154.15856700773483,B,B,77.5967448935645,C,-76.48872412249187,1
Veteran,18-25,Brazil,Other,193.64099450262992,-48.3325580773992,68.96166546173504,A,-217.30250074851529,A,B,-93.67135385977495,A,106.29943749663293,0
Veteran,18-25,Germany,Non-binary,72.69041367705411,42.80386224634963,-171.6450703378185,D,7.805679965491328,E,E,20.23376044155685,E,53.69822132467219,1
Yes,18-25,India,Non-binary,202.97272428222905,-119.02428059194648,-96.07188331848937,A,-105.57831750720206,B,A,62.278047233907266,C,-144.0441214670368,0
No,26-35,China,Other,119.84843572174586,124.74850147767675,-11.538087307864703,C,123.02856143548406,E,B,-77.31674363953728,C,-68.39146915740314,1
No,26-35,Mexico,Male,-13.561891619936162,101.95942140177085,-120.61104991947298,A,-8.431929740959774,D,D,-72.45350386734646,C,39.75220796434765,0
Yes,65+,Germany,Other,87.97561587502905,-83.54307976095544,-5.388556400278834,A,169.98049727182456,D,A,17.43025520685048,B,15.181352426585825,0
Non-Veteran,36-50,India,Male,81.25254608753816,-9.40185884411473,-199.64172699724813,A,-124.71327645606942,B,A,-112.18155066132658,E,64.08530934749022,1
Yes,26-35,UK,Female,-8.47820127135647,-120.07695243932304,-159.03914317234666,B,207.34719463446714,C,B,84.37371201296808,C,-37.1727230156015,1
Yes,36-50,Germany,Non-binary,-23.9924649452554,-27.89057117883022,-88.3793733933765,D,218.52340420000243,E,A,62.87574634359076,D,16.459542528768104,0
No,36-50,Germany,Other,54.70304126733523,285.58868489851,159.21028304161712,D,36.813601699215575,C,D,93.98822904928696,A,-47.726340068403346,1
Veteran,36-50,Mexico,Male,21.457481838733706,144.75329563157388,-140.29371849931243,A,132.1963081240785,B,E,-138.09487455011234,C,-126.12449785738391,1
No,26-35,Germany,Other,-2.6643413674511023,-63.19985667240764,63.93893815549695,A,26.103374909331034,C,E,-212.49026518298072,D,48.20411063963636,1
No,26-35,Germany,M,33.529822837326805,-175.08755327844796,71.25732231144327,D,-22.62868424851538,A,B,5.511139634887637,B,64.0198625861018,0
No,65+,India,Other,32.821437599256875,51.66421051092953,-54.08774821868987,B,135.70329075578965,C,B,78.36165301017162,A,80.55484415724861,1
Yes,18-25,Germany,Female,15.387013902015989,-106.53244997419688,104.53132598729695,D,200.70828783467766,B,D,81.95502516965557,D,19.418963813303503,0
No,26-35,Germany,Non-binary,-55.80022764036158,16.288945511594903,216.8102362487084,C,43.31804187400147,D,C,-71.41559785449293,C,-40.72466567821645,1
Yes,26-35,US,M,-14.381770809776445,69.71826239458565,-129.1860955571155,A,58.606474917463615,B,D,-232.48004658328335,A,-185.5930225520172,0
Veteran,51-65,Mexico,Female,28.111020764556176,1.549078812744265,80.08863056687561,A,31.96297544681889,D,D,-117.83998502193616,A,-3.670885738447275,0
No,26-35,Other,Male,-90.13670884134231,105.65172910600182,-42.340009393929115,E,27.123658867028638,E,D,-13.007280747961122,C,162.17977632191614,0
No,18-25,Mexico,F,146.67213686038,-14.539017972306183,71.95319261401603,D,-188.57300277016807,B,C,-35.05943882586476,C,103.62386785937316,0
Non-Veteran,65+,China,F,-75.90281180833391,-75.77067366509544,-195.38438786284163,E,-188.00132571691225,D,D,63.26139985454993,C,75.99420617764636,0
No,18-25,UK,Other,-18.465908314841613,-0.8611264655977557,64.038163082743,A,19.025005505379188,A,E,-193.2787456617606,A,74.323131964877,1
Yes,36-50,Other,Non-binary,25.865123168044885,86.33220411343217,-97.29155622646239,A,-24.912467117315607,A,B,96.02866201074156,A,-91.90050330960541,0
Non-Veteran,65+,UK,M,81.6144498045533,64.07022738647085,60.45029627257789,B,81.39216566487035,B,C,24.908711817448637,A,97.72159372580703,1
Non-Veteran,65+,UK,M,-75.77836045402829,95.35318436817775,-192.19330609162947,D,50.680183044083115,C,C,-12.897318854466121,D,-56.86160443039575,0
Non-Veteran,26-35,UK,F,103.54627193685057,10.320104070394022,76.84640118832355,C,-97.54203777887265,B,A,-1.1999645561610888,A,139.9250919098294,1
Non-Veteran,36-50,Other,Female,48.18655531990249,21.083031694617958,31.03909860416536,D,-56.01014880381147,A,C,31.353559954965394,D,-105.6172090179649,0
No,18-25,Brazil,Non-binary,-194.95217727908724,-108.62234353617633,21.62073465886906,A,-59.74145063879038,E,A,26.185602007382563,D,40.89331814726787,0
Yes,65+,China,Female,-21.03754229213092,-165.560098789655,40.57962748520497,B,-25.493720050962747,C,E,124.03295528151861,A,88.38580050348662,1
No,65+,Mexico,Other,-118.12663052492245,15.329849823689207,-140.36104171563832,B,303.3474813680372,D,B,-87.68046173771711,D,-29.572264902158018,0
Yes,36-50,Germany,Male,-67.08253579790747,184.9795162544947,98.71187764522,C,-73.44324194021881,A,D,-49.707552993448815,C,-63.72900850706152,1
Yes,26-35,Germany,M,-67.68579153940847,104.43143980689942,-53.122138596973386,A,-45.995319198687305,B,C,178.14979233714212,A,218.81495678899543,0
Veteran,36-50,Brazil,F,-32.89018666505059,-23.62953008339041,-2.046304252700322,A,47.952484603345226,D,E,65.23182112255607,A,21.778496100023638,1
No,65+,UK,Female,-88.86143059276567,152.7262312085442,20.565830209863933,E,210.68706772781485,A,D,84.58387149233441,D,16.267087336581564,1
Non-Veteran,51-65,Mexico,Non-binary,26.091589289878247,32.85851967710271,-1.0280633767369014,E,24.752808470469585,B,E,163.01346758689007,C,-144.08325459312627,0
No,51-65,Brazil,Other,43.16241752307269,-140.34621196567164,145.45210914624923,C,6.933911258238506,D,D,-115.63129135167067,E,78.80326212142458,0
Veteran,65+,Mexico,Female,59.46087654386724,-2.3172852533161254,39.313895548000694,C,-135.31362795509546,A,D,-19.10742178795382,D,12.234443458603621,1
No,51-65,India,Other,103.45231892516473,-14.975930700765161,150.57175422374564,C,-190.37940169682565,E,D,153.99398424662365,B,-38.06040378191602,1
No,26-35,US,Other,69.41006658996336,45.04084542285225,1.3970683925538703,A,15.950714002308144,E,E,-82.02091450195695,A,-52.13820965840874,0
No,26-35,Other,Other,102.00470900269849,-190.8777144426795,142.08968401955846,A,-156.4951630552103,A,D,64.07119299168627,C,110.94346576468719,1
No,65+,Germany,Other,-101.14045806462542,-76.18046722265835,124.97448196595697,C,-55.22730991868674,A,E,-162.08280005401983,E,14.163648654758095,1
Veteran,65+,India,Non-binary,62.71473132561625,-62.74160407889552,52.532343281077345,B,-197.1285855377398,C,B,-100.41641199162274,E,-2.842432326835106,0
No,26-35,UK,F,59.777597286654284,-99.58526494963645,162.34456325061487,A,-60.870714923799774,B,A,48.68988512455689,D,39.62848222475602,0
Veteran,65+,India,M,-53.964475248041346,-22.926499554750986,-75.97927338929455,D,-110.25980536557879,D,D,0.6796542662004788,B,96.37261831031132,0
Non-Veteran,18-25,US,Female,30.02106768781005,-128.56048363936202,-101.53182191681796,B,54.58944322445688,C,A,177.86566724336737,C,-40.94087691948445,1
No,65+,UK,F,-128.68641373362695,2.642134369830659,76.43774316137896,A,-141.7387088510247,B,B,-115.59459710383055,E,112.16610535581783,0
Yes,26-35,India,Female,115.69508470706411,171.01968936562992,155.57121414772922,C,-51.736352344591175,D,C,120.82234573281099,C,18.20072135576229,1
No,26-35,US,M,12.486119498558097,320.72421347839634,105.67787034390766,B,37.06897716637645,E,B,-2.7851954562275303,C,-57.404968122340826,0
Yes,18-25,India,F,40.07968525131406,22.398245599443843,-208.70418942584098,B,-151.2717623903922,B,E,-9.146650185848952,A,-92.55466940386603,0
Non-Veteran,51-65,US,Female,-44.07637663025717,181.5092668232834,-225.12352669256822,C,-3.6781595657722086,D,D,-2.8160948759851903,A,6.977075302645687,1
Veteran,36-50,Other,Other,-15.350857971447574,137.4554601048472,70.74618510974942,A,207.84680321146237,E,B,-94.04134894020119,D,56.855298747242266,1
Non-Veteran,51-65,Other,F,-43.935111068880715,28.86450249772214,-20.132316562788294,C,46.63766698919182,E,A,-150.20669939825638,D,-40.54318459303249,0
Veteran,18-25,UK,Male,-14.91688320236409,36.85441603896604,-149.31080335051297,B,-80.03454188090164,A,D,93.03844321367477,C,-72.73301074463365,1
Non-Veteran,65+,US,F,-18.936904910161196,-16.00702927530665,-146.63318927589125,E,60.92727385897477,D,C,182.59239011147864,B,-15.942472996949544,0
Veteran,36-50,Brazil,Male,38.10359604283307,120.56179105468112,-1.5837274525093858,C,128.35796987783377,D,B,-49.142720791519665,B,184.87368359416394,1
No,18-25,US,Female,-4.905167565290477,-13.663405744980153,-15.716616864052199,A,111.3110196027962,E,A,24.15682937216777,C,94.4093172776337,1
No,36-50,China,Other,-68.39205389046828,56.25153746823944,150.95451219285863,E,-180.03251253549303,D,A,148.9507933435089,B,-14.77681416796054,1
Non-Veteran,26-35,Other,Male,17.833530026385674,-111.18163183038338,15.597599981663238,C,143.4469043657971,D,E,63.318170165276776,D,-57.68607680022409,0
Non-Veteran,65+,China,Other,-54.42435964562476,-26.628520887153893,91.91840715933427,D,169.461514630899,E,D,2.7154588733435703,E,-27.358527626594093,0
Veteran,26-35,Other,Female,-182.90090395618247,0.06191359430505688,-20.491575335887706,C,-80.83158692116463,D,D,60.68139683998092,C,55.15257641551242,0
Non-Veteran,26-35,China,Non-binary,-13.212619145940458,-83.00671752744644,62.9576728920217,D,-99.85827084940989,E,E,109.83384545218311,B,-166.13200794954093,1
Yes,51-65,India,Female,86.81335686599898,19.341449877489787,-24.98817023864663,A,-53.429211604005346,D,D,119.01104761789428,B,58.33242962956709,0
Non-Veteran,65+,Other,Other,11.829610640111975,-134.66286646300472,13.866261541692051,B,164.56447053097602,B,B,93.88457861898479,E,31.255137385147197,0
Non-Veteran,65+,Other,M,23.70913919470123,-21.348643066906394,137.0556338255995,A,-45.65527021569628,C,A,125.27673579769498,B,-25.902430274731074,0
Non-Veteran,26-35,Germany,Male,-18.88510550091233,72.73600901209282,108.73809903428908,E,-83.7603065075086,E,B,68.00231224622877,B,-74.25780067826612,0
Non-Veteran,18-25,Germany,Non-binary,-89.58642161795552,52.53561051145186,123.30349501385165,C,-71.00389317033081,E,D,38.453672977793815,C,111.79752169686732,0
No,26-35,US,M,-29.911288311010008,-83.0452967333003,-108.53132572036046,E,130.6286053844948,A,B,182.79529366939246,A,-37.24805887390048,0
Veteran,18-25,Other,F,-33.189156380060446,-167.01416994548782,37.06329446657533,A,64.58613643641897,A,B,-89.71095896950285,B,269.1923050094355,0
No,65+,India,M,10.509895844723742,-182.51302972926237,68.70402513196876,C,149.48633887336422,C,A,-18.281702391892317,E,-84.3710640340555,0
No,18-25,US,Other,-253.37233203570358,83.58115584462479,-136.47631325892866,B,-59.030141353516704,E,A,-59.69182134770933,C,-104.80227151429258,1
Non-Veteran,18-25,Brazil,Female,78.08635185722437,-76.56721968571372,-47.21671945107942,E,43.14027179270187,B,A,84.01277541641198,B,-37.86821822117478,0
Non-Veteran,65+,India,M,95.57422275462423,48.88293587646188,-0.14498678416184527,D,24.78219521914108,B,C,-18.937529505241343,E,0.9616242177588302,1
Yes,36-50,Brazil,F,-21.790557395129518,102.72160870600496,-19.81127627856231,D,-160.98297026933705,A,A,45.001377410822805,B,128.34087326957166,0
Yes,36-50,Brazil,Male,-51.904190259625025,68.13239400530998,-27.5379810669444,E,-6.497758144742534,A,A,122.71891508743225,A,-10.901473230154489,0
No,36-50,Mexico,F,-138.27246206517353,108.32495451469674,-71.05339224727216,C,-82.543199550043,D,A,-96.24278086592275,D,111.97765717182833,0
No,65+,UK,Female,-57.46789434453078,-98.86056467479548,-52.82317735927777,B,-14.781496006333978,C,D,-105.80567722154007,A,198.0650717655456,1
Non-Veteran,65+,US,Male,-66.20404726924734,77.01352815679302,-67.03672480917885,E,-139.346993950805,B,C,-45.14566496153342,B,-81.06277959010417,0
Veteran,36-50,Brazil,Female,-121.62104836154639,62.88691203718842,10.459744333600339,C,130.1558372731935,E,E,86.2913177021648,B,21.261263410951305,1
Non-Veteran,36-50,China,F,82.38391858463915,83.70361289686502,-15.79598566382105,B,-95.84771905548799,A,B,27.10020490320821,D,62.30440466100787,0
No,26-35,China,F,12.554474191471412,62.31927600231493,76.24834710019466,D,-60.374337961435444,A,C,110.09341766582482,A,129.4604320655901,0
