nation,birth_year,age_range,Gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Germany,30,36-50,Male,B,A,C,-10.618017284306815,-9.718700252504261,C,B,D,-98.47961297791645,-4.500112255491844,A,-44.71655422926595,1
Germany,65,51-65,M,E,D,B,-118.48307736803454,-74.13514822275825,E,D,E,-123.47143849653493,-41.50230051610876,E,-31.16728745408214,0
Mexico,73,36-50,Female,D,B,B,35.86244192671584,-127.38434659503794,C,E,D,167.96077124518095,126.11892004092948,B,83.38123578899719,1
India,56,36-50,Male,E,E,B,51.98964983845566,77.78186950241994,A,E,D,71.18273980355755,45.3872241102898,A,82.41074277287747,0
Brazil,33,36-50,Other,C,C,C,-114.16548389699604,-82.55797699170357,C,A,E,99.16463211394345,14.156794834879774,B,62.61388621188901,1
Mexico,51,18-25,Female,C,D,B,73.46998921665033,-77.96322180100712,A,C,D,-182.53953358090803,-42.752416813936414,C,186.4768139568471,0
India,49,65+,Male,A,A,A,-57.27820998576848,-45.56096242245798,C,D,B,-74.18141152911637,71.23784305082388,A,-29.555873832444618,0
Mexico,18,51-65,Non-binary,D,D,E,-56.61761877092364,-155.27302533565225,B,E,E,0.8435651108617522,95.04896640949016,C,60.09242715017326,1
UK,78,51-65,Non-binary,B,D,C,-11.66256373935178,-48.41391359827279,E,D,C,-22.107818041809768,28.678449419922607,B,6.933566386388479,0
Other,58,18-25,M,D,C,D,-90.04602761113671,-107.22510838847464,A,D,A,-29.86854148675976,-31.927555251957497,C,53.38231817292254,1
India,44,65+,Other,B,C,E,121.40468306499142,-220.61284311033543,E,C,E,-7.249121320147229,-72.71319207531984,C,173.51871121788173,1
Brazil,58,26-35,F,E,C,A,52.99496928073159,81.60760869846176,E,D,B,-89.56099677893559,-76.21266537700437,A,47.84207982054747,0
US,49,18-25,M,D,E,E,25.69637099683233,-32.44763481754243,E,C,B,80.15240057319959,111.13739381443327,B,-9.79522165882614,1
Other,69,51-65,Male,C,B,A,-168.4005002393462,-18.637842509117544,E,D,D,20.172030312059995,112.51712047174156,E,-25.839898094903173,1
Brazil,65,65+,M,C,A,E,69.95747095077598,59.99736890832209,E,C,C,-84.71747101194663,-75.20070854496409,E,128.95981830105993,1
India,64,51-65,Male,E,C,C,-24.616514140516372,-19.00985471814899,E,E,B,-115.70926877458247,-149.9783401918378,C,-279.5309625685583,0
Brazil,67,26-35,Female,D,E,D,-111.87870587456787,-21.263372329872272,B,D,C,35.34358039127651,179.3175019176409,A,-46.94714098437795,0
Brazil,41,18-25,Female,D,D,C,-125.35586845377406,-24.148311391782958,A,B,A,-50.92050711759166,195.1238268767789,C,-38.81196836570738,1
Mexico,54,26-35,Male,E,A,B,171.1420645933345,-71.96642226368202,B,A,C,44.765033698016914,-72.18726817695675,D,28.9688211119584,1
Mexico,76,51-65,M,C,C,D,158.5106030799557,-11.953548347259508,B,A,E,-61.65062461501526,-102.19107896524923,A,-57.83019559927061,0
Mexico,37,18-25,Other,D,A,E,34.48152172059069,-25.9512659853208,E,D,A,-123.27767278089166,-106.79066340211942,A,-86.59216433723908,0
India,67,51-65,Non-binary,E,D,A,-270.6240293838477,114.59101156963385,C,D,C,-43.95120407751556,105.60707322594189,E,323.064361584925,0
China,36,51-65,Non-binary,C,E,A,-110.10089541070971,43.45662532064917,E,A,C,28.713755437132633,122.35051544668416,B,-38.43807927235966,0
Germany,41,51-65,Other,B,E,E,-181.1767677251401,68.18267196595123,A,B,A,43.29294950092923,180.10493285042517,B,-38.77802234556049,1
Mexico,72,26-35,Other,A,B,C,-87.5365402715179,-106.42082926296305,A,B,C,21.205538439430764,-215.12685240833355,E,27.786653036173366,0
UK,66,51-65,F,D,A,B,-19.981759584065976,-10.364237851726655,C,B,B,-108.79998188382729,88.38122353875052,E,-118.4975737676968,1
Germany,64,65+,Female,D,C,D,-75.75351866001644,0.22217698798277222,E,D,E,-125.48588056628202,216.95186011062577,A,-132.9080354449518,0
India,27,36-50,F,A,D,E,87.27968157477324,-21.244953281952935,A,D,C,-140.90954868088983,-48.37028519705447,B,-18.903842996828494,0
US,33,26-35,Male,E,C,D,60.40247538935118,-41.516625594351176,B,C,D,-115.50342845744834,-52.201137330753575,C,50.23820604784608,1
India,35,36-50,Male,A,B,C,-34.93044784268993,78.36792636296536,E,C,E,95.01390227182492,62.70690184777992,D,-66.8931203137991,0
Brazil,68,65+,M,E,E,A,-50.238255079285835,-243.49871402533094,D,D,D,90.36169196561792,-118.1703706829631,E,-0.3347844992793964,1
India,18,26-35,Non-binary,C,D,E,111.34668289595191,-68.83295707408324,D,D,D,116.84055097926414,103.5797987322394,B,-54.68798258808265,0
India,73,36-50,F,D,A,E,-146.90503481214415,-25.74905778106672,C,E,E,-105.02634216894235,-85.92525508117907,E,59.33354456985277,0
Other,23,51-65,Female,B,D,B,17.067487204961722,103.02377792828234,E,E,A,-49.52911733831647,185.95292868821997,A,14.59750516447691,0
Other,34,51-65,Male,A,B,E,-208.60508429660172,-49.76493852048335,A,E,D,-31.301783163849883,-43.40499157142124,E,20.094824128945078,1
UK,75,18-25,Female,B,C,A,82.22744649718454,-152.37259560509887,C,B,D,88.52490322879505,10.247231551400589,E,-21.31001179355111,1
Other,64,26-35,Female,A,E,E,-64.85560506586587,34.85980292874315,A,D,B,-163.80167403006936,72.71154523168893,E,-106.4987960190295,1
Mexico,31,18-25,F,C,D,B,-132.80509628859897,-36.34007506215335,E,B,B,-26.83658396649151,-6.896973933778076,C,-104.05041211068564,0
India,26,26-35,F,D,A,D,137.4152343634553,77.21728786475151,A,E,D,101.28941455563299,104.28388334943288,B,-148.5016934874261,0
Other,39,26-35,M,B,A,C,42.60700845447772,51.70623589721145,B,D,D,1.358952850788569,124.08165493682503,A,-2.098812389558367,0
Germany,40,36-50,Non-binary,A,B,E,-1.9848992500076683,46.55295821288985,D,B,E,-22.369307593178775,-128.0375330965118,E,-34.46195545722948,1
Brazil,19,26-35,Other,C,A,D,54.466027011410425,-56.31874148828362,E,A,D,108.67040823768748,-107.63551180765963,E,-184.71126760908675,1
Mexico,67,51-65,F,C,D,A,71.72566734644582,-49.725421347196665,B,B,B,-22.00184098028588,-61.59041662647735,B,67.95906779230985,0
Brazil,72,65+,Male,A,C,A,-22.841056989990086,233.52696711443323,D,D,A,80.48434944608505,23.16356004962799,E,-4.1496024312154915,1
UK,75,26-35,Female,C,C,A,21.115880044904355,-9.771066465996212,A,C,D,88.36821357298511,-20.86125147539778,D,20.365406300437716,0
UK,74,36-50,Non-binary,D,C,B,-95.2041501031671,-15.006459431032996,D,D,B,-3.988905824030728,46.07274142515923,C,34.20595569656856,1
Germany,29,51-65,Female,D,C,A,-67.08303866977387,-167.42074706306008,B,A,E,-22.767823844992837,-15.618909540238986,D,75.9346588605813,0
India,35,65+,F,E,D,C,-64.02309710187497,5.689233286964627,D,C,A,-191.82968374122055,64.63246213811085,A,-198.07169511155286,0
US,34,65+,M,B,D,B,52.9793971989871,-64.33176949889827,C,B,E,8.75227439695285,-76.15683478646851,D,23.693733819971193,0
India,53,18-25,F,E,D,B,-72.94681554178727,61.798380110492616,E,A,A,-29.97573182470209,130.38711960473643,C,25.48259923554398,1
Brazil,23,18-25,Non-binary,B,E,B,-12.416045702713484,-68.09480846176182,D,A,E,209.3102090125331,24.630266855465972,C,141.71476878758014,0
Other,66,36-50,F,E,E,D,99.7529938319295,-9.12561854577478,C,C,C,244.2623145581409,43.958342454842104,E,55.58841326295043,1
UK,42,26-35,Male,D,B,C,-76.7185511270518,110.63278997640673,A,A,B,116.35683416000751,-135.84280597639705,B,97.16277176186358,1
Brazil,19,65+,Other,A,B,B,44.4024578094208,-13.786712039403367,C,E,E,-73.65890925351202,-45.437142644433216,D,-27.304853381837397,0
Brazil,19,65+,Non-binary,A,C,C,54.184340288068356,39.131543271818444,D,D,D,30.06679809922183,44.39327604755853,B,-10.294739650322711,0
UK,42,65+,M,A,B,C,70.14764994128433,91.32712309308828,A,B,B,108.13171286903491,-74.35727028741184,C,8.008349505103002,1
India,76,65+,M,D,A,D,88.74758026310144,-161.316407790683,B,E,C,-40.44428567601561,109.29718973760347,D,-7.485574910823903,0
India,23,26-35,M,B,B,A,46.20764040787768,-74.30905235313331,D,B,A,-72.95868494993802,115.2908430999701,D,-83.12700019006704,0
US,30,36-50,Other,B,B,C,128.47614242109745,-36.1776114971599,B,D,B,3.7984148839832157,89.1619989257324,B,-64.14614023043652,0
India,24,18-25,M,C,C,E,125.47739894189762,63.582772862028406,A,C,D,76.29155760167181,-153.07301164615473,D,48.96342278257076,0
Mexico,47,65+,Other,C,A,C,-87.2963464174934,17.030022166089417,C,B,C,-146.19181718712218,88.54770667001613,A,-179.6990565115851,0
US,64,36-50,Male,B,B,B,-37.02414687976447,126.06520412890998,C,D,B,114.28494986938726,-184.358361446436,B,73.95060680367851,0
UK,68,65+,Female,C,E,D,40.349672818633934,104.3828375253338,A,E,D,113.1335625980267,-26.20458203819306,B,51.0683312611981,1
Germany,76,18-25,Other,C,B,D,105.57181442246308,84.05707935275679,C,D,B,-126.26993058520604,-31.24699426344441,C,-14.663617043039173,0
Brazil,77,26-35,F,E,A,E,-273.7237712796937,-61.35391885043677,E,C,D,75.14188172030664,-47.355143787701934,E,33.86721046178781,1
Other,38,26-35,F,D,C,B,-37.341315946410276,153.9953075872274,D,B,E,29.911998818273776,-23.015433445308663,A,-75.88681835817488,1
UK,20,65+,Female,A,A,E,-83.54972616966731,-198.4204030848441,C,E,D,207.734321452394,-113.51363423365306,E,-31.44459837639793,0
China,73,65+,F,E,C,E,-25.618742768561415,13.62272991222962,C,A,C,85.87578757304534,-140.63780606707022,B,6.42615657650382,1
Germany,40,18-25,M,B,A,A,-139.19608650649153,-179.0594710628445,B,A,A,-158.67334770817718,52.846027184735156,B,-91.63808306047846,0
UK,79,65+,Non-binary,E,D,C,-53.61259859946789,-90.88235197736962,D,B,A,-91.62020935331469,-144.81218853566227,C,-178.7790655606276,0
Mexico,28,26-35,Non-binary,A,B,D,283.8087019616687,-29.21762420184707,C,B,D,-150.83727959804645,76.7723430723998,E,-121.88847586778412,0
Other,43,36-50,Non-binary,D,A,D,64.80609451336409,-80.27861159703677,A,A,C,19.335636357465603,-94.88219486346352,E,108.73036412886015,1
UK,19,36-50,M,E,A,A,-24.955721243599875,53.71841751430666,D,C,C,-44.42533062585909,-5.541319908389806,A,248.99012233148895,1
UK,56,18-25,M,B,C,D,20.875806227144285,-81.90276600888302,E,A,E,-41.653883191248,-21.951060552549382,A,11.4469949510068,1
Germany,43,65+,F,D,E,B,9.939016811642578,77.67466151038008,A,B,E,-74.27197349617668,67.9563873876871,E,-27.280726394997355,0
US,36,26-35,F,B,E,A,-153.46103081176454,202.44292577182424,B,D,D,-67.69562256483533,-4.000313303318738,C,-95.90787985717382,1
China,70,65+,Male,E,E,C,-163.08943007513884,-27.109239050010313,B,E,C,35.46368482169079,-168.55291680769892,D,50.0714783621775,0
Other,63,18-25,F,E,A,B,2.2307097989583835,22.88497297204363,A,E,C,190.61881332933189,-69.52094177969956,E,219.36651758511877,1
Germany,31,18-25,M,E,C,A,170.4507385215536,-99.40475428894227,C,B,E,-74.04516282664494,-9.42889077136681,D,-36.57565726859702,1
China,29,18-25,Female,A,E,D,127.4647307757648,-82.3549021731984,C,E,D,-81.64259730375267,-116.12014471004133,C,-6.734367200662922,0
Mexico,26,65+,Non-binary,C,E,A,28.17523841056263,46.20481691204702,E,D,E,249.15897310776649,-10.3422016911983,E,-69.64704726012583,0
Other,58,18-25,Non-binary,E,E,D,-48.71854244529412,-13.949177196364209,E,B,C,2.2432988986470153,-10.447856884864889,E,-88.13594773378583,1
Germany,42,51-65,Male,C,C,E,12.740152719680847,107.5592801516358,E,C,E,26.159795514300065,15.44479205370561,D,-22.6028494657018,1
Mexico,77,65+,Male,B,C,B,-32.84073966775795,29.72739180053851,B,C,C,-53.381458275833246,-24.53203133648586,B,134.34470708293176,1
Brazil,29,65+,Other,E,B,D,-112.7386363767744,-55.38389462400664,A,B,A,-69.99793647071432,-23.028195444243416,E,-17.9596211411257,1
India,49,36-50,Female,A,A,D,147.36744490183327,31.9985378166828,D,C,E,-97.09547402335716,-76.6475606311133,B,-79.01908742205708,0
Other,43,18-25,F,A,E,C,-24.139358771505666,85.5649431807944,D,A,E,104.94056834451277,-71.90084098169648,C,78.7659913234576,0
UK,77,18-25,Other,B,E,B,40.960910580981725,22.60170556751082,B,B,C,-162.9130408122146,63.29458633829936,A,41.9299764278145,1
India,78,26-35,F,A,E,D,-0.7398081875144207,-58.10167063552135,E,C,C,59.607272214267034,-90.74229234639057,A,24.563934297852445,0
US,20,26-35,Non-binary,E,B,A,-41.88455119633989,-48.44578060726081,B,C,D,47.25432275795416,98.27488125179259,E,93.0204267489037,0
China,54,26-35,M,D,B,D,134.64946890106125,49.50336146257804,A,C,A,-36.375145982714066,-51.02082991513402,E,21.505803630405595,1
Brazil,46,36-50,Female,A,A,E,-153.37325695745756,46.200926755501776,D,A,B,66.4896758425391,158.37627681751428,A,188.87062296207338,1
India,26,18-25,Other,C,A,B,13.0441097264107,44.229845859387304,B,B,B,48.75093260004035,121.92659038214535,B,-48.40613625234545,0
India,60,26-35,F,D,D,D,-176.42343309142217,-107.81309796398533,B,E,C,44.03393844660447,-140.4578640676174,B,-10.063422558017383,1
UK,34,36-50,M,B,E,E,-79.33192141124341,45.86688374798095,C,D,C,109.83722127709375,-172.29978472625942,E,103.29080898597208,0
India,63,65+,Other,B,C,E,128.1014083399188,7.703943139533767,C,B,C,-69.16648947664594,45.03929465944663,E,-2.036026182335551,1
Brazil,28,18-25,Other,C,D,B,32.73628772948204,-21.688793153756063,E,A,E,-44.61885997585812,152.4048895730199,B,-16.13234877547372,1
India,55,18-25,Female,B,C,E,222.94845646499115,-146.0199159430898,D,D,C,-45.245425688971594,-37.319885685560926,E,116.43147869202328,0
Mexico,65,26-35,Other,D,A,B,16.986278486672393,-178.04472247106978,A,C,B,83.54401578514197,-243.5511122651111,B,-25.861524970309645,1
Other,28,18-25,F,D,C,E,-98.1800112019538,118.76123848337943,D,B,E,23.58407568853252,-32.58658767200459,B,100.98216714954367,0
Mexico,57,26-35,Male,C,A,B,38.20441823209684,164.96772881516358,A,E,E,108.99781928093874,95.52497202593337,C,-9.604897877151929,1
Brazil,69,36-50,Non-binary,C,B,D,12.239493380379791,-40.805961907605734,B,C,A,141.29499100153092,-52.35967981635201,D,63.33850394703474,0
Brazil,79,26-35,M,E,C,B,-16.566907471079332,142.63986074620146,E,D,B,-60.318699057368455,27.65837833573808,B,-74.48631849013402,0
Other,22,26-35,Non-binary,B,B,A,50.66132311471823,38.991069389972694,D,E,E,-58.89028065036913,-128.97752859092228,A,-96.03322412783298,1
UK,71,36-50,Female,D,E,B,-45.54835619713299,82.12929476988285,A,C,E,121.73260664809882,-0.12996562202490736,C,-58.95315197100345,1
US,46,26-35,Other,E,C,B,30.87637461075185,-19.345626992977753,B,B,A,137.89147664256464,18.210855713610652,A,31.680037257330092,0
China,72,36-50,F,E,E,A,29.645603780508782,-32.646932255733034,D,A,B,-35.899265616049526,58.129075353734585,C,4.056592541392083,1
Brazil,63,36-50,Other,C,D,B,56.953320999167964,-132.6449991698296,B,D,A,85.56935809083495,157.44047129560354,C,-73.19530779396868,1
Brazil,31,51-65,F,A,E,A,-71.57627398683401,55.83462697391123,B,B,A,-153.966026385154,-97.38218284973283,D,-57.72882904194658,0
UK,61,51-65,Non-binary,C,E,D,-8.683148892819553,-55.38629574821482,B,C,A,-1.4049115394105756,-171.2082190686053,A,59.69350137925588,0
UK,40,65+,F,C,A,B,-117.19008795119117,8.519847828344194,C,B,A,-190.53730546696386,-178.1585973866666,A,-22.409469703105277,0
Brazil,46,26-35,Non-binary,D,A,D,-89.50369152352138,-19.602299642951188,C,D,E,82.45567898841676,232.7488858638091,D,3.411707136155828,1
Germany,43,51-65,Other,B,E,C,-74.98968878296151,-96.13427643347777,B,E,C,-225.55120696832662,-205.60022987447653,C,-51.71890241387822,0
China,67,18-25,Female,C,D,B,66.92784889440355,-20.30266609035165,B,A,B,16.756563150868562,53.371637506676336,D,50.72279717922312,0
Other,50,65+,Male,C,C,A,-34.219727601368724,-25.40458119425542,C,E,C,1.0112335982441758,96.89262814241405,B,171.445726379783,0
Brazil,52,36-50,M,B,B,C,-16.836348266138305,-292.00833156776616,D,A,B,35.56467067196495,39.12807003939205,D,155.0811491257639,1
Other,27,51-65,F,E,E,D,267.0053621890211,-121.0918303707218,D,D,E,17.532284717793818,70.37264181372585,D,-143.54393917080512,1
US,57,65+,F,A,C,C,48.456844938098186,68.90840234895707,E,D,B,135.57792239142793,16.129174915768022,B,-33.37544455524956,1
China,21,51-65,Male,D,A,C,-288.8593180363693,-124.78142736550912,C,B,E,-177.8183418514889,43.66660345105045,E,92.02822350665414,0
Brazil,36,26-35,Male,B,E,C,20.187665168813194,-144.7505728519052,D,A,E,6.59522140541085,159.9164958855888,B,5.326632522008449,0
Brazil,64,36-50,Non-binary,B,C,A,-156.704973623729,-83.12915572005664,E,A,E,-139.59546780796606,-131.6322220097461,B,-119.26215561698115,1
US,53,18-25,Other,E,C,B,-28.4482322137312,12.14410303203135,C,E,B,-221.15505698567324,-116.11476607454874,A,-5.377656639446874,1
India,22,36-50,Other,A,B,B,45.74942175532908,63.87141513079935,B,A,B,-244.15085074603198,9.30672859444734,E,33.003134158451516,0
Mexico,25,36-50,F,C,B,D,104.9752888239057,224.52147292710833,C,E,D,-1.3168113686703007,-149.59566374272555,E,-11.980048274087299,1
UK,19,18-25,F,A,D,B,-27.902433415211252,149.74358127978078,B,E,C,57.482950180180616,-91.70241326476678,D,-45.9646251470014,1
China,44,36-50,Female,E,B,D,-171.21218483980664,-155.96809373662774,A,E,B,119.96292580791206,88.34106820650511,E,6.275629116772624,0
Mexico,64,26-35,M,B,E,A,-5.893670210665032,60.76768694380359,D,B,A,79.93245798186432,-0.9250042087342709,C,13.62007006076561,0
US,37,26-35,Female,D,C,E,5.837634613552917,11.175903183415882,E,D,C,-121.8701628291038,125.37039900978574,C,-90.24607557363097,1
Mexico,55,65+,Female,E,A,A,-73.048441394563,76.18168789216682,D,D,D,-39.15833611314476,164.38960434728736,D,119.14514719587386,0
China,55,26-35,M,A,E,E,133.29163297910256,-11.861386612515094,D,E,D,20.680981962479912,-253.5190080669385,E,10.682673561290185,1
UK,52,26-35,Male,E,A,A,-154.81783534988438,-53.213711646901174,E,C,E,-113.58336783699217,157.34631252134957,C,13.457636810895895,0
India,48,36-50,M,A,A,E,-148.01800230599872,-119.00505297064726,E,E,B,5.229800226927182,155.85888833859897,D,-49.379141118997566,0
Germany,18,65+,Non-binary,C,B,D,2.509091585583522,-125.71434709009796,C,D,C,-11.140477074159556,51.51272280295296,B,-158.34420909374577,0
China,27,36-50,Male,E,D,D,47.73760388156349,7.787966111628328,C,D,D,-70.2842798936388,101.99794235707901,B,73.92261414297803,1
US,60,65+,Other,A,D,C,29.64748849277553,-49.043928454531155,D,C,C,139.39485285409262,-34.637036736498,C,79.43846758201478,0
Mexico,31,36-50,Male,C,D,E,-189.70854829374628,-149.8604956095883,E,B,C,-86.090634061767,-193.6641031432523,E,-80.98770637696266,0
US,38,51-65,M,C,C,D,99.30614807015202,-83.04174690403536,B,B,D,-65.3243897272658,64.40518756451159,A,-3.8452812829693537,0
Brazil,62,26-35,Non-binary,B,C,A,-97.98570162987453,-27.379792330519965,A,E,C,-39.93743553714435,127.16440941095864,C,-100.32296083362795,1
Mexico,79,26-35,F,D,A,D,-11.018558686205047,81.52098610549972,D,C,A,73.2998231340207,51.06220619817894,B,106.79083634824482,0
Other,67,26-35,F,C,A,C,145.0294339345125,-111.30328338528321,D,A,B,108.57596884176604,187.54812853802272,C,92.18193469767287,0
UK,62,26-35,Female,B,B,D,62.39407450379344,-33.73403192736305,D,C,E,-60.547252197510836,116.85752330876385,E,24.350160141490843,1
China,35,18-25,Other,A,B,E,81.7587019924416,-61.124493484451925,C,C,B,-44.25409536720347,80.3741616234796,A,16.84988223489817,0
Germany,63,18-25,Non-binary,D,D,D,-60.17628870586158,71.57410286491637,B,A,B,25.450564976706996,-120.9945012162469,E,-142.22751193242206,1
Germany,25,51-65,Non-binary,C,B,D,20.70749134400178,-3.828014905042481,B,D,B,-68.49246317423186,-146.62269844716283,C,-257.8509114221215,1
Mexico,44,18-25,Other,C,A,E,89.76617269954323,137.33948844027557,C,D,E,48.4017593896105,66.69723539959323,B,-21.097726552026387,1
US,50,26-35,Male,D,C,D,28.23772674786667,-33.604838923390275,B,E,A,-63.75743314001387,21.412761406562396,B,10.567888162535956,0
India,29,26-35,M,E,A,D,-68.25326845268137,115.25515766837098,D,B,B,50.42822779982452,-261.3739845559847,B,-25.791788691440498,0
India,20,36-50,Female,D,B,B,-158.62539251558644,-82.23704009534232,C,D,C,-64.90879665927784,60.06162996532778,E,66.93436371165672,1
Other,44,36-50,Other,E,A,D,14.307497180951653,130.5804053841362,A,C,C,74.0189208621817,4.019246538766425,D,89.3763126656138,1
Brazil,25,65+,Non-binary,C,E,D,-35.12158648669429,-201.10767793325442,A,D,E,-20.57741971602888,7.466073971373058,C,131.7216333578761,1
UK,50,36-50,Male,C,B,E,75.41418021844908,-59.403350585900796,C,C,A,-57.89800728219341,43.00822404936381,B,49.894610533324816,0
Mexico,54,51-65,Male,A,D,C,27.94308849525271,-14.451529345339592,C,D,C,-98.04240775202521,83.85820096548365,A,-25.51096607491907,0
UK,50,18-25,Female,C,E,D,-118.5660423365604,73.82221484381954,D,B,E,25.071946574054532,-17.46449646000151,E,72.57850315726066,1
US,54,26-35,Male,A,C,E,-89.8815848071306,-20.480687733449308,C,A,A,8.751535841752506,-127.27267528976385,D,98.09656917316508,1
UK,26,65+,Male,D,D,D,-247.65576162193912,91.99376420328912,E,C,D,213.205107414382,113.72937951934654,C,63.74810146022,1
Mexico,25,36-50,Male,E,C,A,111.10596807658109,62.298540948879086,C,C,E,-148.4047024140917,-32.43546980305691,A,251.70516000107526,1
Germany,70,65+,M,A,A,A,65.28261323471797,-143.86769049412104,A,A,E,-171.53294136620113,51.36621084958757,A,-85.4858744344727,1
China,18,26-35,M,D,E,E,83.75421303240276,-51.9353449249593,B,A,E,-56.73486065039823,18.44939783106069,C,211.50404095002858,0
UK,35,18-25,Male,B,D,D,-78.92713254409225,-19.617806135095208,E,D,D,-64.83522422310067,-109.98058106153204,C,-15.324861423907848,0
China,58,26-35,Non-binary,C,D,C,-60.24108342394264,8.054277275693813,C,A,E,-199.15604524784143,-113.26588701865691,A,50.75492625898501,0
Other,25,51-65,Non-binary,B,D,A,136.16825369708548,94.39979484496764,C,A,E,-159.08537297821454,91.53735362655321,E,103.95884752841849,0
US,37,18-25,F,D,A,B,-33.246991409781586,-48.45190694826059,E,A,A,-175.35724144817917,94.5445959636813,C,-116.9957720281376,1
Other,58,36-50,M,E,E,E,-44.02509071624303,-175.18841931050633,B,A,A,-164.28750353422996,-62.22980654963614,E,-61.70332137566077,1
China,39,65+,F,A,E,B,17.809655926785435,19.070124992064404,D,B,E,-228.99359539878307,-107.30139001667736,A,-38.04992008279975,0
India,18,51-65,Other,E,B,A,25.25602598479345,95.35852456582604,C,C,A,27.460377815009483,-45.2583782107046,B,-41.25776111717735,0
Mexico,46,51-65,Non-binary,D,E,D,14.608945131121645,-119.99888313333409,D,A,A,48.63170490429549,-86.85517323560322,D,1.279721476799613,1
Mexico,24,65+,M,D,E,E,-73.63572929025518,-196.37662801987395,C,D,E,119.95769224234488,72.35811266867718,E,49.284451542316155,1
Brazil,64,18-25,F,A,E,A,29.29989013217843,140.1245766811648,C,D,B,101.77940345968443,73.73183131899388,B,-23.365224195977387,0
UK,72,26-35,Male,E,C,B,-6.604553854445927,-29.443328116316053,C,B,E,-35.79727406972926,33.46180723711843,A,121.13422749897565,0
UK,31,51-65,Other,C,D,C,-15.77235577827745,31.762020699984806,D,D,A,-128.87509703949624,-41.51376024223023,A,83.78930160108676,1
UK,63,36-50,M,C,C,D,23.21200305085768,107.05151226984131,A,A,B,126.40634590655029,-27.039443931263058,C,97.46411576896536,1
Mexico,27,18-25,Other,B,D,B,59.57522774988758,-164.3821037979876,C,C,C,96.69046037337169,-23.278069372962566,A,146.1769456558781,1
Other,60,36-50,Female,D,C,A,173.45027566804592,76.60496600355515,A,E,E,34.24545731541311,-114.45070270625037,D,55.5348845818247,1
US,25,18-25,Other,C,A,B,0.3842781489111082,10.55357385340472,D,A,B,111.5746524451048,136.37687160186016,E,-17.023634263732927,0
Other,62,51-65,F,E,B,E,-184.75425692554242,-1.0508388546445862,D,E,A,-16.38708980714363,23.428023370525448,C,179.66710190882475,1
China,46,36-50,Other,B,B,E,-20.400452111170253,5.536288600224368,D,D,B,-254.61752071046058,-188.5163396497427,C,146.13918349038076,0
Germany,63,18-25,Other,E,B,E,-114.20339404481217,-11.76732877541717,D,C,B,-33.763887281189355,48.81037390604964,D,-67.1934380674525,1
US,23,18-25,Other,C,E,E,-9.633193151788246,76.89488539189642,A,A,C,10.531729440266405,128.20608439821336,B,59.549189928613046,0
Mexico,78,36-50,Other,D,E,A,-35.45531249954423,59.80569805635122,D,C,E,-14.715342463740196,-69.40689835074745,A,3.590277710240023,0
Brazil,70,36-50,M,B,A,D,105.24325972067312,17.701784316244645,B,A,C,-63.00664473758161,61.89121596795882,D,-102.61190548653134,0
Germany,54,36-50,Non-binary,B,A,E,-71.75146057652279,36.770283912962626,B,D,D,3.502792295941078,-33.8759019189563,B,-139.0913280712365,0
Other,62,65+,Other,A,A,A,-17.808929043640383,16.986978191246262,E,D,C,139.38849694346536,122.8399957428352,D,72.21731760143277,0
Brazil,75,26-35,Female,B,B,D,136.04956874854423,39.28246685718532,A,B,E,90.47704492744757,54.39976188509272,E,0.10212973870059752,0
US,54,36-50,Male,E,C,E,-164.06699133035372,10.83741953667601,B,A,B,-105.96262341294388,68.6280143831057,C,67.31948499316046,0
UK,53,18-25,Non-binary,A,A,E,136.3124867923012,9.859854324475458,C,B,B,18.77764352024688,-108.32265138709766,A,87.51014170188725,0
China,18,26-35,Male,C,A,E,-88.41545861625153,16.99171427793338,E,A,B,14.427475036189003,24.271702258675752,A,-77.69931629255808,1
Mexico,76,65+,Male,C,E,C,-125.22244189680704,32.43153600011747,B,E,A,155.27029389131906,145.5318432433111,C,-46.91600347133836,1
Other,79,36-50,Non-binary,A,B,B,-120.13276854133201,-19.564185124785453,B,C,C,-160.30876994056334,-4.460618078755896,D,145.40622608660536,1
US,43,18-25,Non-binary,C,E,A,161.7676997422736,68.77536155071711,D,E,C,-49.42663395991013,9.482407588317464,A,88.30285802878667,0
Brazil,51,51-65,Other,E,C,E,82.58195078940726,-0.7804660722724098,E,D,D,46.042777161006086,-74.06826468717169,B,-115.10691091778116,0
India,66,65+,F,D,A,E,66.16014277814214,133.99792606651687,C,E,A,-28.46802083734701,-135.98733184478806,A,144.34005659470895,1
India,78,51-65,M,C,C,D,209.81562990886604,105.40720413556389,A,B,A,54.6504752616933,44.72269422509033,A,61.76802650971914,1
Germany,52,36-50,M,E,A,A,192.94597264151713,99.55500075525843,C,B,B,111.7660518615953,-32.34151236178356,B,-10.898805490745136,1
Mexico,39,36-50,F,D,A,C,13.190194942833255,-96.60796274182914,A,D,C,18.18551462796181,-50.3104041299437,A,-75.85425724076335,1
Other,49,18-25,Female,A,B,A,63.708881625111204,115.78821967516868,A,C,C,271.69301451540053,-13.298233566653565,C,-164.70418540209474,0
India,51,26-35,M,D,A,A,-197.14052245686256,106.74327724359189,E,E,A,72.36320981383759,207.27540090130847,C,213.31250754039507,0
