Religion,married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Christian,Single,E,8.013578152999038,E,B,C,D,E,A,B,26.154423751562287,D,C,1
None,Married,D,-81.56153799711487,E,A,C,E,D,E,A,52.603156382885416,D,C,0
Christian,Divorced,D,-35.98795457323268,C,D,C,E,B,A,A,-165.63435307843207,D,A,1
Buddhist,Divorced,E,-139.1090428631047,B,D,E,A,A,A,D,-15.1380536415863,D,A,0
Other,Divorced,B,2.9143018821799282,D,C,B,C,E,A,B,195.96656681759023,D,A,1
None,Widowed,A,104.16094017098989,A,B,D,E,A,A,C,139.71847060456224,D,D,1
Hindu,Divorced,E,64.20001143919119,C,E,B,A,E,C,C,134.50725163828133,B,A,0
Hindu,Divorced,E,-69.41550498275149,E,A,A,C,E,C,E,-97.34044660341401,E,C,0
Buddhist,Single,C,7.815867441111105,C,B,B,A,A,B,D,0.42475329628683156,D,B,0
Hindu,Single,A,-189.56473887280302,D,A,C,C,E,C,E,29.324984395250585,C,C,1
Jewish,Single,D,-246.68714672018618,C,B,A,E,B,E,B,46.70658770519355,E,D,0
Christian,Widowed,E,218.6430994194152,A,A,A,D,E,E,D,-93.4454863595834,B,C,1
Christian,Single,D,21.34844988415085,E,A,A,A,D,B,E,97.01464824514427,B,D,1
Muslim,Divorced,E,105.66337034149204,C,D,B,C,A,D,C,-13.503619902662509,B,B,1
Christian,Single,D,-78.73184136067005,C,E,A,D,C,E,E,-100.26081749452882,D,D,0
Christian,Widowed,D,43.34904385571289,B,C,B,D,E,C,B,77.10028202728165,B,E,0
Muslim,Divorced,D,-200.85352050328683,D,D,D,E,C,A,E,-98.09998616009756,A,E,1
Hindu,Widowed,E,69.92789708396865,B,D,C,D,B,A,D,-311.70608184274397,B,A,0
Buddhist,Single,B,-15.705976239557835,A,E,E,D,C,C,D,211.29077744895065,C,E,1
Buddhist,Single,E,168.52295620833468,D,D,D,B,C,A,A,91.09106184255224,B,B,0
Hindu,Widowed,A,93.9963570965886,B,D,D,E,E,D,D,65.73488101570256,C,D,1
Christian,Divorced,D,-139.44520275572043,B,B,E,B,A,D,D,102.65580592798038,C,B,0
Buddhist,Divorced,D,23.739527016927987,A,C,E,E,A,C,B,33.59839781977002,E,E,0
None,Single,A,-48.07061461432775,C,C,A,B,A,B,D,61.31457742309474,E,A,0
Muslim,Married,A,-67.67797406802396,C,C,D,D,C,A,C,119.44768195912386,A,D,1
Other,Married,C,-3.366531449601277,C,B,C,D,C,A,A,-48.976831651670935,B,E,1
Jewish,Widowed,D,-31.86587043825954,B,C,B,D,E,B,A,-68.86741916524444,D,D,1
Jewish,Single,D,-0.644622764537236,A,A,D,A,D,D,C,-203.69523507332246,D,E,0
Other,Widowed,C,-10.745016497674333,E,E,C,D,D,E,E,-43.622284001626994,C,D,0
Other,Divorced,B,61.77615158777348,D,C,E,C,E,B,D,59.8931408481609,B,E,0
None,Single,D,250.47251044933003,B,B,B,D,E,A,C,-142.2805847527728,E,C,0
Christian,Single,B,108.36209399280348,C,A,C,B,B,E,C,-9.372557338372294,D,A,1
None,Divorced,B,141.9048591817401,B,D,B,D,E,C,D,37.91141311883459,B,C,1
Hindu,Divorced,C,-84.02975221306987,D,A,B,A,E,B,E,-38.8799418125372,D,E,1
Jewish,Single,A,-98.36013155616305,E,A,E,D,C,E,A,18.50526594464808,A,D,0
Other,Divorced,B,-3.8528891285665985,A,B,E,B,C,D,D,45.882680372664595,A,C,1
Jewish,Single,C,-54.667708136417104,D,E,E,D,C,D,B,-227.7908473228481,B,D,0
Buddhist,Widowed,B,-58.6787394932382,E,A,E,C,B,C,B,90.61401910792219,C,D,1
None,Single,B,121.38594541729317,A,E,E,D,E,E,D,73.21415399633561,A,A,1
Hindu,Divorced,A,-106.2552810726874,C,A,C,A,C,D,E,191.0663121719897,E,A,0
Buddhist,Divorced,B,62.15580268216697,A,D,B,C,D,C,C,-6.444109794641956,D,E,0
Hindu,Married,C,81.43139932018005,C,E,C,E,A,B,C,37.42745884070198,D,A,0
Hindu,Widowed,D,186.12992940454674,A,A,D,E,D,E,B,35.258749656838866,D,C,1
Jewish,Single,A,184.26781267754794,D,D,D,D,E,E,B,-123.37812281274354,D,C,0
Muslim,Divorced,A,-171.43236369836822,E,C,A,D,C,C,D,-51.33755492700367,A,B,1
Other,Divorced,B,-56.922740157093024,D,A,A,B,D,A,D,22.445048629939453,D,D,1
None,Widowed,B,42.17755415783751,A,B,C,D,B,B,D,113.58666430003959,D,A,1
None,Married,E,54.874421091358904,E,B,B,B,B,E,B,124.18830443950779,E,D,1
Christian,Divorced,B,-27.409876859692968,C,D,E,E,A,B,E,14.443051521707858,D,D,0
Christian,Single,C,36.95473015805139,D,B,C,A,D,D,D,103.11910178870998,C,E,1
Christian,Divorced,E,13.82932097136759,A,D,C,A,A,E,C,17.31261031043908,B,B,0
Hindu,Married,E,-94.75917008719628,E,B,E,B,C,A,A,45.21948422448385,D,E,1
Other,Widowed,E,-149.1436539704973,B,E,B,D,E,C,C,-194.87965955751386,C,B,0
Christian,Married,A,-11.772097834084333,A,D,D,A,A,D,C,18.516283590290616,C,A,1
Other,Divorced,B,3.80769692488699,D,E,B,A,C,C,A,76.96362713707391,A,D,1
Christian,Single,D,34.749471801522844,C,A,D,E,A,A,B,-145.58973771939745,E,B,1
None,Widowed,B,22.54615979190648,A,E,A,C,A,C,A,128.62252066733905,C,B,0
Jewish,Divorced,B,-33.56989559238542,A,A,B,E,B,B,C,5.656262853358288,A,D,1
Muslim,Widowed,E,-7.441056180024863,E,C,D,A,B,B,C,102.64028329298291,A,E,1
Other,Widowed,E,-14.524732234994389,C,A,E,B,C,C,B,-38.349741365033694,C,C,1
Jewish,Married,C,224.94335812040748,B,B,C,C,C,A,C,-64.30023871555738,C,C,1
None,Single,E,21.284303622052676,C,A,B,E,E,D,A,-161.62334935772452,D,B,1
Buddhist,Married,E,1.5114554421664645,A,B,A,C,B,D,D,114.94300809242833,C,D,0
Hindu,Single,A,-26.814526477885632,B,C,C,A,B,D,A,148.8941002635731,E,C,1
Hindu,Single,E,24.807052875930015,B,E,A,B,E,C,E,-3.0082128433862767,A,D,1
Muslim,Divorced,C,-93.47925672641782,C,E,C,B,E,E,C,-86.81957765450053,E,D,0
Christian,Single,E,98.0962023276333,D,E,D,A,D,A,D,20.340621290379808,E,C,1
None,Married,E,89.64354180937836,E,B,C,B,D,D,B,-29.174919885564933,A,D,1
Hindu,Single,B,57.715038585623546,B,A,D,E,E,C,D,-43.61377741878461,B,E,1
Muslim,Single,E,-294.8514488106489,D,A,B,E,A,E,C,-43.93090532621098,A,E,0
None,Divorced,E,34.11041590739518,D,E,D,E,D,A,D,-17.268946769295212,C,C,0
Buddhist,Divorced,E,-83.26428334454441,B,A,D,D,D,E,C,69.45705178839364,B,C,1
Jewish,Single,A,-57.125002277485194,B,C,A,E,E,A,D,-87.85350850459692,E,B,0
Christian,Divorced,D,-80.0009926459793,C,A,E,D,A,C,C,-121.35994770427881,C,C,1
Muslim,Single,A,-60.501791259495654,E,C,C,B,B,B,B,70.31147257157109,E,B,0
Muslim,Divorced,D,147.32769844099505,E,D,D,A,C,D,D,55.34985661805008,A,A,0
Christian,Married,C,-75.86537301727212,D,B,E,B,E,E,D,-42.658147112022746,E,B,0
Hindu,Widowed,A,-62.736756060720865,E,E,C,C,B,E,B,-51.09699874808879,B,C,0
None,Divorced,C,187.3895171209645,E,D,A,C,B,E,B,42.873395072261715,A,E,1
Other,Single,C,-96.99751118765963,A,C,D,B,B,D,C,-83.62894121388948,B,A,0
None,Single,A,60.370220048498005,E,B,A,E,D,C,C,38.944719975085775,D,C,1
Hindu,Single,E,42.11313306508743,E,A,A,E,A,C,A,58.26041884242868,D,B,1
Other,Married,A,-23.391577917014196,A,D,E,B,A,D,E,-52.171527556389385,E,B,0
Hindu,Married,A,-42.810341712148805,C,D,D,A,E,B,B,142.74641700973362,C,B,1
Hindu,Divorced,B,158.19891862709125,D,A,A,C,C,C,B,196.63869471560486,B,A,0
Muslim,Divorced,E,-40.72718664691357,D,A,C,C,D,E,A,133.86633013291035,C,B,1
None,Single,E,95.87506530591183,D,E,E,D,D,A,D,-228.38563763318058,C,E,1
Jewish,Divorced,D,-56.392450894459245,E,D,B,A,C,A,E,102.89663616439697,E,D,0
Buddhist,Married,E,-17.235496941271265,D,C,B,E,A,A,A,144.13778776225413,E,B,0
Muslim,Single,B,-63.719371702760675,D,D,C,E,E,B,A,72.89694448716847,E,E,1
Buddhist,Married,C,-63.06460904365635,C,E,C,B,D,B,D,34.28791909546674,B,D,0
Christian,Married,C,-0.4503022072568814,C,B,D,B,D,A,A,161.74666826331722,C,A,1
Muslim,Married,E,29.89499359081193,E,E,B,A,C,A,B,-190.16127401204193,D,D,1
Muslim,Widowed,A,-116.81017862303472,C,C,C,D,D,D,D,33.41132538997063,E,B,1
Muslim,Married,C,21.015010107669934,E,E,D,C,E,C,E,14.154390302580905,C,E,0
Buddhist,Single,D,-187.4129518280157,B,D,E,D,E,B,C,28.68016726197945,E,E,0
Other,Single,D,17.179544850949323,E,C,E,A,A,B,A,105.51395104548507,A,A,0
None,Single,B,-100.05302162533016,C,A,B,E,A,B,B,-116.3837893527794,A,E,0
None,Widowed,B,188.75160449254463,C,C,D,A,C,A,B,-137.6659276762079,B,A,1
Christian,Married,C,-103.51030600223523,A,C,D,E,C,D,A,-64.7448789863158,E,D,0
Jewish,Widowed,D,-37.09586721009067,B,D,A,A,D,E,E,76.56087118816612,B,E,1
None,Single,C,35.404470470070365,D,D,C,A,A,A,A,-77.54694298454801,A,A,1
Muslim,Divorced,D,72.77231395828736,B,D,E,B,D,E,C,28.217151359954446,B,C,1
Buddhist,Widowed,A,-20.396965607901514,B,B,B,E,B,B,C,41.13239060977708,D,E,1
Other,Married,B,-22.800232460611124,E,B,B,A,E,E,A,6.419580502803488,E,E,1
Hindu,Divorced,A,82.79882200679413,B,E,D,B,D,A,E,-143.77067596745513,D,A,0
Buddhist,Married,B,-61.632371537048,A,D,D,A,C,B,E,-100.27293782050495,C,C,1
Christian,Widowed,A,0.20715760206421602,D,D,E,B,A,D,A,-52.639893967999654,A,E,1
Muslim,Single,A,-41.081363891248216,D,C,A,D,A,C,C,-4.831750118089216,B,D,1
None,Married,A,38.5359459857793,B,E,E,A,A,C,D,-1.6742747404561615,D,A,0
Muslim,Married,B,168.94844982938463,E,B,E,B,A,E,A,101.06381280344819,C,B,1
Other,Divorced,A,-30.605048934340605,A,C,B,A,B,B,C,-44.23268844182954,C,D,0
Hindu,Widowed,E,-128.5868959961298,A,A,D,A,C,E,B,77.86665637697762,E,B,1
None,Divorced,A,132.67378565951492,E,B,E,C,C,B,B,-29.907226911640354,E,C,1
Hindu,Divorced,D,68.65247279606295,D,B,D,A,C,E,D,-0.8714366277166895,A,B,0
Hindu,Widowed,E,44.88915212867232,B,A,B,E,C,E,D,-148.81825695696392,C,A,1
Hindu,Single,E,103.7569969981131,C,C,C,E,B,D,A,13.895714735606221,A,E,1
Hindu,Widowed,A,-90.63369722795164,C,D,B,C,A,E,B,-147.377450878877,E,A,0
Buddhist,Divorced,E,11.85967982028683,E,D,A,C,C,A,D,184.4572273195733,C,D,1
Other,Widowed,E,139.76100960772234,A,E,E,B,D,E,E,-9.002049760169086,E,E,0
Other,Married,D,-169.44244016513937,C,D,B,D,A,C,B,36.435165377077574,C,D,0
Buddhist,Married,D,44.65453604449139,B,A,D,C,B,E,B,64.08907635578984,A,D,1
Other,Married,E,51.690195605985444,E,D,A,D,A,C,D,-68.94719266431353,C,A,0
Buddhist,Widowed,C,-80.86490123457317,C,D,D,C,C,A,D,87.8582887568378,A,C,1
Buddhist,Single,C,-88.00887793350356,A,D,D,E,E,C,D,-48.31731843067584,E,A,0
Hindu,Single,A,218.11089226872187,A,D,E,D,D,D,B,101.14063430938698,D,E,1
Jewish,Married,D,13.628161757668755,B,D,A,C,D,B,A,88.2925985475521,C,C,0
Muslim,Divorced,D,99.94921228266695,B,B,D,D,D,C,C,-53.84250634533244,B,E,0
Buddhist,Married,E,-23.769615461148007,E,E,D,A,C,C,B,75.52524180463945,E,B,0
None,Single,A,99.7465754324279,D,C,A,C,E,C,E,-113.22376374024783,E,C,1
Hindu,Single,D,54.20421891174543,B,D,C,A,B,B,C,112.87649779846667,D,A,1
Christian,Married,E,70.82081052821408,C,A,B,E,E,E,A,-125.6029944029099,C,E,1
Hindu,Divorced,A,17.51773412815809,A,C,B,E,A,C,D,103.92201866395125,D,E,1
Other,Single,A,-170.7076899770878,E,A,E,C,C,B,B,-177.6395794680295,D,E,1
Buddhist,Divorced,A,156.97088604340317,A,A,D,D,A,E,A,21.05755990179103,D,A,1
None,Single,E,-38.2773098066181,D,A,B,A,E,D,E,-34.050576087415166,A,B,0
Christian,Widowed,D,50.12730727095121,E,A,D,C,A,C,E,23.884734062291503,C,D,0
Other,Married,E,215.0925590011908,A,C,B,E,E,A,C,-77.48853565524713,D,A,0
Hindu,Divorced,A,-5.967342025691573,A,B,E,D,C,C,E,140.8324896501852,A,B,0
Other,Widowed,E,-68.61239189630267,C,E,B,E,B,B,A,28.28162259056935,E,B,1
Hindu,Married,E,-105.84988889617124,C,C,A,B,D,B,E,-238.18903355688832,E,A,1
Other,Widowed,B,-50.30204342977582,B,E,B,A,E,C,D,146.41398015723627,A,A,1
Muslim,Widowed,C,33.26564323893875,B,A,B,D,A,E,C,-10.427183489025097,D,E,1
Other,Married,A,-35.13300417699189,C,E,A,C,C,A,A,119.87001901415029,E,C,0
Buddhist,Single,D,49.78330177007529,E,B,A,A,C,D,A,14.01904507948438,C,D,1
Buddhist,Widowed,B,24.274542439264184,C,B,C,C,A,E,E,-15.587247098488785,E,C,1
Christian,Single,A,-80.45412831963148,E,C,D,B,C,A,B,-261.2082148590668,D,D,1
Hindu,Single,D,-126.246092710658,B,A,D,C,D,D,C,-9.1884987996449,E,A,1
Christian,Widowed,E,-99.12909338761165,B,D,D,E,C,C,C,61.64727768881511,D,D,0
Christian,Married,D,49.728634848261905,B,D,E,C,E,B,C,7.38401762709644,D,D,0
Hindu,Single,D,124.92032127410295,C,C,E,C,B,E,C,-106.00012585280231,B,E,1
None,Divorced,C,30.85233029500169,E,E,D,C,D,A,E,15.985422614242722,D,C,1
Other,Single,A,46.12339230368657,E,C,E,E,D,A,E,140.26876959894344,E,E,0
Jewish,Married,E,-47.709121887164734,B,C,B,A,E,B,D,92.70783233673431,A,E,1
Hindu,Single,B,14.927675779470606,D,E,B,E,C,E,E,-116.77812594011768,A,D,1
Muslim,Widowed,A,21.957460024510517,B,C,A,E,B,B,C,-61.033456239784535,D,B,1
Jewish,Divorced,A,-47.88952239389291,A,D,B,E,C,C,A,93.04407058637099,D,E,1
Jewish,Widowed,B,140.93300948615715,D,E,E,B,A,D,E,-113.25817235996011,E,D,0
Other,Divorced,A,11.575797018536031,C,C,E,A,B,E,D,-229.09209591149477,C,A,0
None,Single,E,-67.99656852775624,E,E,E,C,D,B,B,23.81959490347604,D,E,0
Other,Widowed,B,-119.17676509087323,C,B,D,C,A,B,A,-18.096004004074732,A,A,1
Christian,Divorced,C,76.32988897709104,D,C,D,E,C,E,C,58.23747445413202,E,E,0
Christian,Single,E,-61.74893041595886,D,C,B,A,E,A,E,-86.45657473794384,B,B,1
Buddhist,Widowed,A,-44.910464720527294,E,C,D,C,C,A,D,64.22691144441575,B,B,0
Jewish,Single,B,29.325999582923608,C,D,D,A,D,A,A,163.71999430370687,B,E,0
Hindu,Single,E,12.514747090317545,C,E,D,C,E,E,D,-185.80886952071302,E,A,0
Other,Widowed,B,-43.36853269485474,A,E,E,D,E,E,A,17.922375669006957,D,A,1
Buddhist,Widowed,C,29.8516109354561,D,E,D,E,C,C,D,3.7016807027994645,E,C,1
Buddhist,Widowed,B,-81.32447463105488,C,D,D,E,C,C,C,176.8926796771883,E,A,0
Other,Widowed,B,-34.66902890779773,E,B,C,A,C,D,E,-88.43005574065496,A,D,1
Other,Divorced,D,-5.89864457965864,E,B,B,C,B,D,D,-54.75949968821357,A,C,1
None,Married,E,-84.27800914793025,E,E,A,A,A,D,E,-174.9257549498627,C,A,0
Other,Divorced,D,44.091439688280566,C,E,A,D,D,A,D,13.927024881147746,C,B,1
Muslim,Single,E,26.532369539553617,B,B,D,C,A,E,D,-109.07826851527622,D,C,1
Christian,Widowed,D,279.59398835262135,B,B,D,A,B,E,C,51.220868990150215,A,B,0
Other,Single,C,16.54578641584229,E,C,B,A,C,D,A,10.056982851586458,E,D,1
Hindu,Married,A,-57.33597578051185,D,D,B,E,A,A,B,-130.30778769854973,B,B,1
Hindu,Divorced,C,-141.8246097820064,C,A,B,D,D,C,A,42.5027980644492,E,E,1
Hindu,Divorced,B,-201.59627510494155,E,A,E,D,C,D,B,115.76241975532562,A,B,1
Muslim,Married,A,-21.571139422856945,B,D,A,B,C,C,D,-19.478984960187816,C,C,1
Muslim,Married,B,125.01600870011052,B,E,E,D,D,B,D,-13.937641973355062,B,C,0
Hindu,Single,B,40.25556326308957,E,E,B,D,B,A,B,0.494240730331228,D,B,0
Jewish,Married,E,-176.09694953201188,D,A,B,D,E,C,C,-126.00313074314997,C,C,0
Christian,Single,A,-148.83586919252033,C,A,A,B,E,E,D,186.41037993628706,B,D,1
None,Single,B,-18.937651135553814,D,C,B,B,D,B,B,110.51212223185428,C,A,0
Hindu,Single,E,142.16660890989888,E,C,A,E,B,B,E,118.1604319594834,A,C,0
Other,Divorced,A,-135.57774495674045,C,A,D,E,A,D,B,94.17887482650846,A,B,1
Muslim,Married,A,-31.901949275014445,E,B,B,C,C,E,B,-67.58352245148549,B,C,0
Hindu,Divorced,C,-51.24291648890098,A,A,B,D,B,D,A,146.88002215574232,A,E,1
Jewish,Divorced,A,5.123721496637609,A,A,D,D,D,E,B,117.91574542143604,E,B,0
Hindu,Single,E,26.239403004717037,A,C,C,B,B,D,E,-159.18041929585368,B,C,0
Hindu,Widowed,A,71.06418194753105,A,E,C,A,C,A,B,-11.292787035998671,B,E,0
Jewish,Single,E,53.647186715971216,D,C,E,E,D,B,E,4.661057007229277,E,C,1
Other,Divorced,D,95.55187390437185,E,A,B,C,E,D,B,9.536923482891877,A,D,1
Jewish,Single,E,90.77206732191374,B,A,A,A,A,C,D,-133.4854811074884,E,E,1
Buddhist,Married,B,-43.24284084701222,E,E,B,E,A,A,B,-40.83694151136436,E,E,0
Christian,Single,D,28.130921839922387,E,E,B,C,C,B,A,32.79425437518062,D,B,0
Hindu,Widowed,D,151.6302542855755,A,A,E,D,B,E,E,-61.16697571712436,C,B,0
Jewish,Married,A,44.77985726753282,B,D,A,C,B,C,C,59.142501786873694,B,C,1
Buddhist,Single,C,-166.57292664792865,C,A,C,A,D,D,D,111.39662323416835,B,C,0
Jewish,Widowed,C,-96.85062097206955,E,C,C,D,D,C,C,14.232903635106748,D,C,0
Other,Divorced,C,-61.19365017302296,D,E,D,D,A,E,A,-110.63277582725067,B,C,0
Buddhist,Single,A,-43.300775527588314,D,C,C,D,B,E,D,160.25964829349851,A,B,1
Other,Widowed,B,140.1087054396507,D,B,C,B,C,D,E,-2.35417580700248,A,B,1
Jewish,Widowed,D,-23.75100045384523,D,E,D,B,A,D,D,24.11343262127516,B,E,1
Jewish,Single,B,65.50683047459678,B,D,B,E,A,A,A,-130.60563160556404,B,B,0
Buddhist,Widowed,C,39.563972203530724,D,E,B,E,A,B,E,122.3247303953378,C,B,0
Christian,Single,B,118.58016713032515,D,A,A,E,B,C,E,53.89115653693863,B,D,0
Buddhist,Single,D,-89.39438767392511,B,E,A,B,C,C,A,64.67550686656493,B,E,0
Buddhist,Single,B,15.578535255558865,A,C,A,D,B,E,D,-23.6356189860907,D,C,1
Hindu,Widowed,A,-105.38107118506332,E,A,B,D,A,B,A,-30.84158095803603,C,C,0
Christian,Widowed,A,17.44630689296828,B,D,E,A,A,D,C,15.82729850946572,B,A,1
Buddhist,Single,C,-117.04366123186058,C,D,B,E,E,C,C,32.4963487781871,B,B,0
Christian,Divorced,B,-70.50834451001971,D,E,B,C,C,C,A,67.2324406703284,D,E,1
Hindu,Single,C,-99.4481528713617,E,C,B,E,C,A,A,191.17936821118147,A,A,1
None,Single,B,-117.74796762199647,A,D,B,D,B,C,D,-210.79733795775994,B,A,0
Other,Married,B,146.26950960829424,A,A,D,B,E,E,D,-45.16151347220798,C,A,1
Other,Divorced,D,128.56469081806614,A,B,B,A,C,A,A,-17.020000415330284,D,D,1
None,Single,B,-109.17935885672254,C,E,D,E,B,B,B,-10.41438028406937,C,A,1
Hindu,Single,D,-4.145561722252462,C,E,E,A,D,B,B,91.335405149898,B,A,0
Hindu,Married,A,210.97351961848938,D,C,E,A,E,A,E,-148.7221139127937,B,E,0
Jewish,Widowed,C,31.558033974786458,E,A,B,B,A,A,D,-200.5560695288566,B,D,1
None,Single,D,-37.93228308496072,A,C,A,B,C,C,E,-227.98011630365758,B,A,0
Muslim,Widowed,A,88.8068120622373,E,A,E,A,B,E,B,-85.31794301607715,A,D,1
Christian,Married,C,-64.538605101948,D,D,A,A,E,B,D,-186.86962491239385,D,C,1
Hindu,Married,C,-42.306878628213816,B,E,E,E,D,D,B,-109.89729498732332,A,A,1
Muslim,Widowed,C,69.06291688661823,B,B,E,E,E,D,D,-117.87654179780789,E,E,0
Christian,Widowed,E,206.9562180428713,D,D,B,E,B,A,C,74.37774345455252,A,B,1
Jewish,Widowed,B,20.242256527813744,B,E,B,D,D,E,D,90.71413016710213,E,C,1
Other,Divorced,B,-137.57004895819264,C,B,B,B,E,D,E,-172.247864505204,C,C,0
Buddhist,Married,E,87.59388581130753,E,C,B,A,A,C,A,-39.5958185458762,D,A,1
Hindu,Divorced,D,138.6670945798977,A,A,E,D,B,E,C,-9.42998314368931,D,B,0
Other,Divorced,D,17.924724389600733,E,E,D,D,A,D,B,-46.60087654110046,B,B,1
Christian,Widowed,B,-3.756271907101953,A,C,D,A,C,E,C,116.41477642681512,C,C,1
Buddhist,Married,E,19.159759497637786,E,B,A,E,E,C,E,19.588123354686264,C,A,1
Hindu,Married,C,157.06166176430906,C,C,A,D,E,C,B,-31.26374374929979,B,B,0
Christian,Widowed,E,-96.22700948344529,C,C,A,A,C,A,E,-173.14952269722033,E,E,1
Jewish,Divorced,C,-11.15946640983868,C,E,C,A,E,C,A,0.8233256721985459,D,C,1
Other,Widowed,A,-54.173903285662426,A,E,C,C,E,E,E,-202.9899572545477,A,B,1
None,Married,E,-15.140969014625421,D,E,A,D,D,C,A,-52.46475139879184,E,E,1
Jewish,Married,E,26.174942807630607,A,E,E,E,C,A,D,-23.452854251324506,A,D,0
Buddhist,Widowed,E,73.80276024835867,A,B,A,C,D,D,B,189.05388247293683,C,A,0
Jewish,Married,A,85.384339348178,E,B,E,B,B,D,D,25.975332478053463,B,D,0
Christian,Widowed,D,9.565859066300224,C,A,C,D,E,C,A,144.24055822897154,D,C,1
Jewish,Single,D,145.7909812319407,B,A,B,E,C,C,C,185.61293672313838,B,C,0
None,Widowed,A,-100.67137096766731,A,D,A,C,A,E,B,-214.64588692623022,E,A,0
Other,Divorced,B,66.96116440659966,B,D,D,C,B,D,A,12.53826384506155,E,D,0
Muslim,Single,C,-128.03853642536453,B,B,C,B,C,E,B,82.46168566949294,B,E,1
Muslim,Divorced,A,112.04463266841603,C,E,C,B,B,E,D,-101.61694435097057,E,E,1
Buddhist,Single,D,-36.1880433533655,B,D,E,E,C,A,D,-40.28678595617305,B,D,1
Other,Married,A,-133.1647158425449,A,A,A,C,E,D,C,-11.385541439881546,A,C,0
Christian,Widowed,A,-213.7976162957909,C,E,A,E,A,B,C,128.24555214630337,E,C,1
None,Married,E,-222.72388530912397,C,D,B,D,E,D,B,-29.478033190510523,C,D,1
Hindu,Married,C,30.865674442693425,D,C,A,E,C,B,B,49.84134857198487,A,C,0
Buddhist,Married,B,-26.862396704127296,A,D,D,C,E,C,D,40.366506722837045,C,E,0
Christian,Single,D,-72.68192333611097,D,E,C,D,A,D,A,6.15182828197336,C,B,1
Hindu,Married,C,100.51313951845093,C,D,A,A,C,D,B,75.81309223345555,B,A,0
Muslim,Married,D,66.94203954290816,D,D,A,A,A,B,B,-164.4837798592898,E,E,1
Buddhist,Divorced,E,102.5389517282094,E,C,E,E,E,C,E,170.76728193772098,D,A,1
Christian,Divorced,D,-1.9231872159435608,D,A,C,E,E,A,E,31.31890390684565,B,A,1
Other,Single,E,165.79103518398327,D,E,B,E,C,A,E,12.94100571096202,A,D,0
Buddhist,Married,C,58.07162653137786,D,C,A,E,C,B,D,82.97492742246337,A,B,1
Christian,Widowed,A,37.15904398789301,E,A,C,A,D,B,B,59.565890862621714,D,B,1
Muslim,Divorced,B,80.00337067626471,D,E,E,B,E,E,B,-138.02455961034374,C,E,0
Hindu,Divorced,A,108.90078616653057,E,E,D,D,E,D,E,-88.43960294647083,C,E,1
Christian,Single,E,14.094412530736268,E,A,A,E,A,E,A,204.00756441435638,D,C,1
Muslim,Widowed,D,-127.4817033641063,A,D,D,B,A,B,C,-42.905883763046965,A,A,1
None,Single,C,110.52847839220053,A,D,E,B,C,B,B,-197.88124149695824,B,C,1
None,Divorced,D,117.9552989064369,B,A,D,E,B,C,C,1.3116902937141415,A,C,1
Jewish,Married,C,-64.21704490838084,C,C,E,A,D,C,B,-4.666571266133667,D,A,0
None,Divorced,B,137.9561586510978,A,E,B,B,A,C,A,5.011428978460648,D,C,0
Buddhist,Widowed,B,4.881957498988646,E,B,A,D,B,C,A,-139.0533552408073,A,A,1
Other,Widowed,A,43.43301384334563,C,A,D,C,D,D,D,92.71507533185331,B,A,0
Other,Divorced,E,-162.7524544667948,D,A,D,A,E,A,C,-5.557127618935394,C,D,1
Jewish,Single,A,-50.08601214793623,D,C,B,B,C,D,D,-27.747140770390605,B,C,1
Buddhist,Widowed,E,-220.43062858853162,B,E,C,B,E,B,D,160.316607269827,D,E,1
Muslim,Widowed,D,105.72570244495047,B,D,D,A,B,A,C,-30.184198383967097,E,E,0
None,Divorced,C,-20.83133171408437,D,C,C,D,A,A,A,130.33941203382636,C,A,1
None,Divorced,E,-11.151776892403115,C,C,B,E,B,E,A,8.664144669517377,B,B,1
Muslim,Single,B,66.40661341545692,C,C,B,A,A,E,D,-147.85561071940896,B,D,1
Hindu,Single,B,58.1943486571929,E,E,B,E,A,E,D,-60.917355047009956,D,C,1
Buddhist,Single,C,-44.9124099902652,C,B,A,E,E,C,D,152.4776725505482,C,E,1
Hindu,Married,A,41.08824818454938,B,A,B,D,B,B,C,-128.3914031658716,C,B,1
Other,Single,C,-108.35804434850542,B,E,E,D,E,E,D,-4.839653549483606,E,C,0
None,Widowed,C,0.024425100627182547,A,A,B,C,B,A,C,-137.41931456262674,E,A,1
Christian,Single,E,81.45549899472884,B,E,E,D,B,E,D,-26.598299860524243,B,C,1
Jewish,Married,A,-91.31258447300584,E,B,D,A,C,E,A,98.74137392006638,E,B,0
Hindu,Divorced,C,168.45073614390247,D,C,D,D,D,C,D,-260.98076342651,D,C,1
None,Divorced,B,-45.44156838578237,E,B,B,A,D,B,A,72.89088713539073,B,E,1
Hindu,Married,C,-95.75020637990609,D,B,B,B,E,C,D,235.20281332910318,D,D,1
Muslim,Divorced,B,47.82002880132475,E,C,C,B,B,A,A,45.30067956412022,B,B,0
Hindu,Widowed,C,8.422017063583189,B,A,D,D,E,C,C,18.090286301257905,A,D,0
Hindu,Widowed,A,194.14700020401906,D,D,D,E,B,E,B,-30.480275784875623,A,E,0
Jewish,Divorced,E,79.84248994928032,A,E,E,A,A,B,C,18.963881754108932,C,A,1
