Gender,religious_affiliation,marital_status,feature_0,feature_1,feature_2,feature_3,feature_4,target
Male,Hindu,Single,A,E,-169.87659469697985,B,E,0
Other,Other,Widowed,B,E,-57.78163040109374,B,D,0
Female,Buddhist,Single,A,E,8.050101924394136,D,E,0
Non-binary,Other,Widowed,B,D,18.251720410229286,E,D,0
Other,Hindu,Divorced,B,A,-209.82270614972606,E,A,1
Female,Jewish,Divorced,C,B,74.74762527038573,A,B,1
Other,Jewish,Single,E,E,95.63051139721259,D,E,1
Female,Hindu,Married,E,E,-16.822247380984752,B,C,1
Non-binary,Muslim,Widowed,D,C,-109.65655496644646,E,A,1
Non-binary,Hindu,Widowed,B,B,84.6245449653974,A,E,1
F,Jewish,Single,E,B,-163.30700809938185,B,D,1
M,None,Widowed,D,A,-294.13774090607194,B,C,1
Female,Christian,Married,B,A,-63.967454926460455,B,A,1
Male,Muslim,Married,C,A,-130.51585990252653,E,A,1
M,Muslim,Single,C,D,107.45603936996734,D,D,1
Non-binary,Muslim,Widowed,A,D,83.4167683702324,A,C,1
Male,Christian,Divorced,E,C,-98.21993727699966,E,A,0
Female,Jewish,Divorced,D,E,43.04788883626074,C,C,1
M,Hindu,Widowed,E,A,13.16405996946568,D,A,1
Non-binary,None,Divorced,A,A,69.7892963195192,B,C,0
F,Buddhist,Married,D,A,-4.335076424525113,D,B,1
M,Buddhist,Married,D,A,41.73456470491079,A,D,0
F,Other,Married,C,D,-157.846123789236,E,B,0
Male,Other,Divorced,E,E,-34.06846546300311,A,E,1
Other,Other,Divorced,C,E,3.333625798223685,D,E,1
M,Muslim,Married,D,A,56.34548118589754,D,D,1
Male,Hindu,Single,B,D,23.921130884534055,A,C,0
F,Christian,Divorced,D,A,-118.89657139335567,D,E,0
Non-binary,Hindu,Married,C,A,40.81570817920587,D,E,0
Non-binary,Jewish,Single,B,D,88.3588852211754,C,A,1
Female,Other,Divorced,C,A,-202.34988087416852,D,A,0
Non-binary,Other,Married,B,A,-202.15058107994014,B,E,1
M,Jewish,Divorced,C,E,-127.44551236199446,A,D,0
M,Jewish,Single,A,C,6.805409515695948,C,B,0
M,Christian,Divorced,A,A,-38.52690074614902,E,C,0
Male,Other,Single,A,B,41.55026438252975,A,A,1
M,Other,Single,E,C,-186.65001339017186,E,E,1
Female,Jewish,Widowed,A,D,-3.0688707849051355,D,E,0
Other,Buddhist,Single,A,E,50.44754424668479,A,E,1
M,None,Divorced,C,D,41.71205669635697,B,E,0
Female,Jewish,Divorced,A,B,-24.755845578715356,B,A,1
Female,Other,Divorced,B,D,-20.979515008807525,C,E,1
F,Christian,Divorced,E,E,-81.16903047232086,A,A,1
M,Jewish,Divorced,B,D,-66.16999193040274,C,A,1
Non-binary,Christian,Divorced,C,B,78.17617699660879,C,C,0
Other,None,Single,A,D,0.31154897285009314,B,E,0
Other,None,Single,B,E,86.6767984584226,C,D,0
F,Muslim,Widowed,D,E,-83.65364386590963,E,C,0
Male,None,Divorced,A,A,-169.2456550040434,D,D,1
Non-binary,None,Married,D,E,8.772504262723176,C,E,1
F,Jewish,Married,B,E,20.53105755784582,A,E,0
Male,Muslim,Married,E,C,-143.01434698049323,C,D,1
M,None,Divorced,B,D,-199.18018372611755,D,D,0
Male,Other,Divorced,E,A,76.58704188865853,D,A,0
Non-binary,None,Single,D,A,-74.90285681450402,C,D,0
Male,Hindu,Single,C,B,-22.54763796401604,D,B,1
F,Muslim,Married,C,B,133.4576817140791,E,D,1
M,Christian,Married,A,D,-122.3994072878637,B,D,1
Female,Muslim,Single,B,A,-24.941398676086653,D,C,0
Male,Jewish,Married,E,E,-1.1538814999175988,B,B,1
Male,Hindu,Divorced,D,A,-67.54827355543071,E,C,0
M,Other,Married,D,E,-36.95194562812503,E,B,0
Female,Buddhist,Married,D,C,148.3635748856047,C,A,0
Other,Christian,Divorced,A,C,53.08250585003902,C,C,1
Non-binary,Buddhist,Divorced,B,C,120.75383613911566,A,C,1
M,Muslim,Widowed,B,C,-87.35734016790077,E,D,0
Female,None,Widowed,C,D,-27.866395730214073,E,A,1
Non-binary,Jewish,Single,E,D,147.62874209159105,A,B,1
Other,None,Divorced,B,C,42.498701309514495,E,D,1
Non-binary,Christian,Divorced,C,E,-100.48611349561554,A,B,0
M,Muslim,Divorced,D,C,-63.50510795359029,A,E,1
Female,Jewish,Single,A,D,25.144703692301356,B,E,1
Male,None,Single,A,C,36.547277237377564,B,E,0
M,Hindu,Married,C,C,-114.52157394410096,B,E,1
M,Buddhist,Married,A,D,122.82750627431085,C,D,0
Male,Muslim,Single,E,E,-139.80377580322377,A,E,0
Female,Jewish,Widowed,D,A,140.20195548699846,A,B,0
Male,None,Widowed,C,C,-36.97545681445315,E,C,1
Non-binary,Buddhist,Married,B,C,-22.403239248448067,C,C,0
Female,Hindu,Married,E,C,-4.945332324968059,C,E,0
Male,Christian,Single,D,C,-129.27986910000456,D,D,0
Other,Muslim,Married,D,B,-102.46874966968944,B,D,0
M,Christian,Married,B,D,18.54652346084883,A,A,1
Non-binary,Christian,Single,A,A,-316.4652988650971,E,A,1
Female,Jewish,Divorced,B,C,-33.620824286259506,B,B,1
Other,None,Married,B,C,-104.53962428579618,B,A,0
Non-binary,Buddhist,Married,E,A,81.99913522138016,A,D,1
Non-binary,Jewish,Divorced,A,A,39.47080350051178,C,A,0
Other,Christian,Single,B,C,18.95587989700984,C,E,0
Female,None,Divorced,B,B,91.71045331412697,B,C,1
Non-binary,Hindu,Single,C,E,-37.287925915851126,E,A,0
Non-binary,None,Married,E,E,-23.71698719982262,E,C,1
Male,Buddhist,Widowed,E,B,-69.52797865253275,D,A,1
Female,Muslim,Single,E,B,79.67459545605305,D,B,0
Female,Other,Single,A,E,-2.6775535572615916,E,A,1
F,Other,Single,A,A,37.28889013106215,B,E,1
M,Jewish,Married,B,C,8.477328756822574,A,C,1
Male,Christian,Married,B,C,-57.848951022366215,B,D,1
Other,Hindu,Divorced,B,A,99.14334355245286,C,A,0
Female,Christian,Divorced,D,B,6.4852291416266015,D,C,1
F,Buddhist,Widowed,D,D,49.34829651567741,E,C,1
Non-binary,Buddhist,Divorced,B,E,-61.64630070820258,E,E,1
F,Jewish,Divorced,E,C,80.46316939848566,A,C,0
M,Other,Divorced,A,C,23.613675282462978,E,D,1
F,Muslim,Single,E,B,-44.11183666318902,D,A,0
F,Other,Married,D,D,116.26494797345104,C,A,1
Other,Christian,Widowed,B,D,-46.98303321150563,B,A,1
F,Jewish,Divorced,A,B,102.28018571843552,E,A,0
Male,Muslim,Widowed,B,B,189.1028707119836,D,B,1
F,Buddhist,Single,E,E,227.66484626650265,B,E,0
F,None,Widowed,D,A,-162.31428976504628,A,B,0
F,None,Single,B,C,-220.2690874798953,A,E,1
M,Christian,Single,C,D,90.89728952535626,B,C,0
M,Buddhist,Widowed,B,D,23.160906087622735,D,E,1
Female,Buddhist,Widowed,A,A,23.018960826590217,D,C,1
Non-binary,Christian,Divorced,D,A,-207.78063007533208,D,D,0
F,Buddhist,Single,C,B,7.431628483863338,C,B,1
F,Muslim,Divorced,A,B,46.87205032091285,C,E,1
F,Jewish,Divorced,E,E,128.33177249431503,C,B,1
Female,Christian,Married,A,C,21.33823215569937,B,C,1
F,Buddhist,Married,D,A,-104.70417364185818,C,C,0
Female,Muslim,Divorced,E,C,-33.77596254947464,A,B,1
F,Jewish,Married,C,B,-84.22928657914926,A,D,0
M,None,Widowed,E,E,79.58472607139747,C,D,0
Non-binary,Hindu,Widowed,B,A,-18.04779358474416,A,C,1
Other,Other,Divorced,E,E,64.43458864626737,C,D,1
Non-binary,Other,Married,B,E,-135.49790474024158,D,E,0
F,Christian,Divorced,B,B,272.24438504009913,A,C,0
Other,None,Single,B,C,-167.1810608633091,D,E,0
Female,None,Married,B,A,-95.96838336547387,C,C,0
M,Hindu,Widowed,D,A,-188.64389788690661,D,D,1
Non-binary,None,Single,A,A,93.11758507643732,C,B,0
Non-binary,Hindu,Single,E,D,-60.34037763130856,E,C,1
Other,Muslim,Single,B,E,-21.788824130607797,C,D,1
M,None,Widowed,B,A,200.10285410976954,D,B,1
Other,Jewish,Widowed,C,D,89.86349987939886,C,A,1
Non-binary,Buddhist,Single,D,A,-13.22610397260069,C,A,0
Non-binary,Buddhist,Single,B,C,-92.24683860716583,C,B,1
M,None,Married,E,B,79.87054371122123,C,A,0
F,Buddhist,Married,A,E,-92.6936126094032,C,B,0
Non-binary,None,Single,E,B,81.34572961332061,D,A,0
F,Jewish,Widowed,E,D,40.345129552933,D,E,1
Male,Muslim,Single,C,E,-240.44208408238057,A,E,1
Male,Hindu,Widowed,A,C,-92.5163346032686,B,D,1
F,Hindu,Divorced,E,C,109.76441648193183,A,A,1
Other,None,Single,E,D,-89.12631482438631,E,E,0
Female,None,Widowed,B,C,66.88687332388918,B,D,1
Female,Christian,Divorced,A,E,-90.85622016673649,E,D,1
M,Buddhist,Divorced,B,C,-30.32831009506094,E,E,0
F,Buddhist,Married,B,A,167.65349453030666,A,D,0
Other,Muslim,Married,B,A,-93.41097362318807,C,A,0
Male,Christian,Married,C,C,22.746865121755143,A,A,0
Non-binary,Jewish,Widowed,C,A,-61.33735684645198,C,D,0
M,None,Divorced,B,D,11.939156110778363,B,D,0
F,Christian,Widowed,C,D,9.944680632509971,E,C,1
M,Hindu,Widowed,B,E,-22.177648649175392,D,B,1
Female,Buddhist,Married,B,B,83.68031640919872,E,C,0
Non-binary,Other,Divorced,D,A,-45.40714989752045,B,B,1
M,Christian,Single,B,E,-170.48619182037527,A,E,1
Other,Buddhist,Widowed,D,D,-143.45547759230723,A,A,0
F,Other,Single,D,C,140.3387369648903,C,C,1
Female,None,Widowed,E,A,-89.21344194071924,E,C,0
Female,Other,Married,E,D,-57.14558014184264,B,D,1
Non-binary,None,Married,D,C,133.8910336528098,E,D,1
M,Hindu,Widowed,B,B,-128.6330781235372,E,A,0
Female,Christian,Divorced,C,A,43.79293907402521,E,D,1
M,Muslim,Married,B,E,-35.57323051479096,E,A,0
Male,Muslim,Single,E,E,197.7101782365925,E,C,1
F,Christian,Widowed,C,B,-117.53479575201644,D,B,1
F,Jewish,Single,B,A,7.969128655972423,E,D,1
M,Buddhist,Married,B,A,-14.603078855166865,A,E,0
Male,Christian,Single,E,B,109.79507128268489,E,D,1
M,Christian,Divorced,C,E,-0.7044235122817606,A,D,1
M,None,Single,B,E,224.79672881570113,A,E,1
F,Muslim,Single,E,E,81.2400499221903,C,B,1
Female,Other,Widowed,D,B,-345.25343362066116,B,C,0
Other,Hindu,Widowed,D,D,127.53988035764023,E,D,0
Male,Jewish,Single,E,A,-65.31924752119347,C,B,0
Female,Other,Widowed,D,B,-34.317357595291384,E,B,1
Male,Buddhist,Single,D,C,-139.2514075274577,D,C,0
F,Muslim,Single,B,B,39.42809303124792,A,C,0
F,Hindu,Single,B,A,53.19889712114371,A,A,1
Female,Jewish,Divorced,E,E,-124.5021075360399,D,B,0
Male,Buddhist,Married,A,B,102.30410132383861,A,A,1
Other,Muslim,Widowed,D,C,-45.49920608023892,D,A,0
Other,Christian,Widowed,E,B,-11.154638827567618,A,A,1
Female,Hindu,Married,E,E,-64.62897344275106,C,A,0
M,Buddhist,Divorced,E,D,159.61822539314213,D,B,1
M,Jewish,Married,D,E,-48.373938730239885,C,C,1
Non-binary,Other,Widowed,A,A,-45.84288668312555,C,B,0
F,Jewish,Single,C,A,-54.63707356348751,A,C,0
Non-binary,None,Single,D,E,-57.71259008478462,A,B,0
Non-binary,Buddhist,Widowed,A,C,142.8434706265979,B,E,1
Non-binary,Buddhist,Widowed,A,A,28.31312353941217,A,B,0
Female,Other,Married,B,C,33.132288745666,D,E,0
Male,Muslim,Married,A,B,-19.297929477888314,D,C,0
M,Muslim,Single,E,E,-20.051220154421294,D,B,0
F,Hindu,Single,C,A,117.39229272226135,C,E,0
Non-binary,Hindu,Married,C,C,-235.77521782627872,D,E,0
Female,Other,Widowed,E,C,113.74090738451352,E,D,1
M,Christian,Widowed,C,B,-205.48196167059496,C,D,0
Female,Hindu,Divorced,E,C,133.95925932460116,C,D,1
Male,Christian,Divorced,B,B,30.469369057175534,E,D,1
M,Christian,Single,B,B,-9.34630626748391,A,A,0
Other,Christian,Single,B,B,46.180647137062635,D,B,1
F,Muslim,Single,D,B,98.64112408046826,E,A,1
Other,Buddhist,Single,A,E,-60.41759732097951,B,E,1
Female,Christian,Single,E,A,89.90234357259963,A,C,1
Other,Jewish,Married,A,A,-23.91550331337942,D,C,1
Non-binary,Muslim,Divorced,E,A,-200.4914510362559,E,C,1
Female,Jewish,Single,A,D,-84.27304813335554,D,D,1
M,None,Widowed,C,B,25.50740171980934,E,A,0
Other,Jewish,Single,D,E,-210.39407056267407,D,E,0
F,Jewish,Divorced,E,B,27.435094971227702,A,E,0
F,Other,Married,A,B,167.73394929182777,A,E,0
M,Buddhist,Divorced,A,B,59.14483862135148,D,D,1
Non-binary,Hindu,Single,C,E,-96.53775638472626,E,C,0
F,Other,Divorced,E,B,-82.93181534023336,D,C,1
Non-binary,Christian,Divorced,A,A,-5.48172417519857,B,C,0
Female,Jewish,Married,D,D,138.74634530230338,B,C,0
M,Buddhist,Widowed,D,B,8.138816054659715,B,D,1
Other,None,Married,E,D,-11.553770873314159,C,E,1
F,Christian,Widowed,B,D,31.282888666881846,C,C,1
Other,Other,Married,A,D,-38.89044436367825,E,B,1
Male,Other,Widowed,E,A,56.0571625091984,B,C,1
Other,Hindu,Single,A,D,54.67932191106525,D,C,1
Other,Buddhist,Widowed,E,C,-63.05240282764779,A,D,1
Non-binary,Muslim,Divorced,D,C,31.14640540594273,D,C,1
Female,Other,Single,C,E,-54.95028146118591,D,B,1
Non-binary,Jewish,Single,E,E,-19.837598297006153,B,B,0
Non-binary,Hindu,Single,B,E,139.6673350140582,D,B,0
Male,Jewish,Married,A,D,36.998495494695014,E,C,1
M,Muslim,Divorced,E,D,-24.63235914747895,E,D,1
F,Buddhist,Widowed,B,D,-52.824116085465434,B,D,0
F,None,Single,B,C,153.99093966327763,C,A,1
Non-binary,Muslim,Divorced,C,C,-192.8624515187021,C,D,1
Female,Jewish,Single,C,B,-96.83163004412815,D,A,1
Other,Christian,Divorced,A,E,-110.77920463459434,E,A,0
Female,Other,Widowed,B,A,-210.49308217000515,D,D,1
Other,Muslim,Married,D,E,-170.0077551775982,E,A,1
M,Buddhist,Widowed,E,E,-42.904321044870436,C,D,0
Female,Other,Widowed,C,B,196.11751059654418,E,D,0
Non-binary,Hindu,Divorced,A,E,12.102450814126502,D,A,0
M,Hindu,Single,E,E,-13.383940196101191,D,E,1
Non-binary,Muslim,Divorced,C,B,-4.732854016638434,C,D,1
Non-binary,Jewish,Married,D,D,-26.976896656724232,A,B,0
Female,Christian,Divorced,C,C,16.453731392598367,C,A,1
Non-binary,Jewish,Married,B,B,12.197026595825038,C,A,1
Female,None,Divorced,A,A,47.04036818299736,C,A,0
Male,Muslim,Widowed,B,D,-32.07243195716343,E,A,1
M,Christian,Widowed,B,B,-26.332168492160328,E,C,0
Female,Christian,Single,E,B,42.98210114445499,C,C,1
M,Muslim,Single,C,C,117.71632219171289,B,C,0
Non-binary,Other,Widowed,E,A,15.094786505248866,B,A,0
Other,Christian,Widowed,E,D,-85.35522824174431,A,D,0
Male,None,Widowed,C,D,-347.0539070204218,C,A,0
Non-binary,Muslim,Divorced,A,A,-294.36426920489447,D,C,1
F,Christian,Widowed,A,E,-206.21039989106404,A,A,1
M,None,Widowed,C,A,-36.92957024184635,E,B,1
Non-binary,Jewish,Single,B,E,-161.2692463273821,C,E,1
Female,Jewish,Married,E,B,-12.722131966350354,A,C,0
Non-binary,Christian,Married,C,B,-98.52822420071071,D,E,1
Female,Other,Single,B,E,26.325782484959948,E,E,1
Other,Buddhist,Divorced,D,C,31.15309589824517,C,E,1
F,Other,Divorced,C,E,79.06110547384799,E,B,0
F,Christian,Single,E,D,-31.57998101530844,B,A,1
F,Buddhist,Divorced,A,B,-55.152809651296074,D,B,1
F,Other,Married,D,C,-73.98005811067722,B,A,0
M,Muslim,Widowed,A,B,-133.3810119463937,D,C,0
Male,Buddhist,Divorced,D,E,50.079044908820045,A,E,1
Non-binary,None,Divorced,B,D,33.33041397441938,C,B,0
F,Buddhist,Married,D,C,123.23363821033612,E,E,1
M,None,Single,A,E,-107.22277116845981,C,C,0
Female,Buddhist,Single,A,B,112.10872508490151,D,C,1
Other,Hindu,Widowed,D,D,-163.50563545208985,A,A,1
Non-binary,Christian,Single,D,B,83.47555670403365,B,B,1
F,Hindu,Married,C,C,-194.32772307328264,C,B,0
F,Hindu,Widowed,C,C,100.68961362835611,C,A,0
F,Christian,Married,A,A,-20.696958892071674,A,D,0
Male,Jewish,Widowed,B,A,11.379356121361823,A,A,1
Female,Muslim,Married,A,E,48.650098069745276,C,C,0
F,Buddhist,Widowed,B,A,152.07895532118496,B,C,0
Non-binary,Other,Widowed,B,D,18.524139371413682,D,E,0
Other,Buddhist,Single,A,B,10.45409008505197,B,A,1
Female,Hindu,Divorced,E,E,-84.46823350557099,D,A,1
Other,None,Single,C,D,14.714880263691732,B,A,1
M,Hindu,Single,C,E,120.8077807772143,B,E,0
Male,Hindu,Widowed,B,E,118.62633593566225,C,E,0
Non-binary,Muslim,Married,E,B,-4.364329995864678,A,D,0
Non-binary,None,Single,D,D,68.94819758902389,B,B,0
Other,Other,Widowed,D,E,-232.59503207367328,E,A,0
Other,None,Married,A,B,-166.23873279835468,C,A,0
Male,Other,Widowed,B,A,-77.42493937994197,A,E,0
Non-binary,Jewish,Single,B,A,-197.13000207488344,A,B,0
Female,Other,Single,E,E,-31.251986003111387,E,D,0
Other,Hindu,Divorced,C,B,87.92447855975463,C,E,1
Other,Muslim,Divorced,E,D,101.56090075809294,D,A,1
Male,None,Married,A,A,-108.2757579406159,A,D,1
M,None,Single,D,B,-106.74469091349034,A,C,0
Male,Buddhist,Divorced,B,A,-25.384905751244375,D,A,0
Female,Jewish,Divorced,A,A,98.32348269845144,B,B,1
Non-binary,Muslim,Married,C,E,80.41065654951247,B,C,0
Female,None,Widowed,D,D,-42.88379889785627,D,E,0
Non-binary,Other,Married,C,E,84.88904452701615,D,B,1
M,Muslim,Divorced,B,D,59.78735782563705,B,B,1
Other,Jewish,Single,B,E,35.471572299450486,D,C,1
M,Other,Single,B,E,185.17786771676825,C,B,0
Non-binary,Muslim,Single,B,A,-153.03238635644541,C,A,1
Non-binary,None,Single,B,B,-48.86196655846005,C,D,1
Non-binary,Jewish,Divorced,D,D,58.64553934720305,B,B,1
Non-binary,None,Married,B,C,-122.35705404542358,C,C,0
M,Jewish,Divorced,A,A,-106.12955205769026,E,B,1
F,Buddhist,Widowed,A,C,-19.521656767593683,A,C,1
Male,Christian,Married,C,E,140.06084364146153,C,A,0
Male,Jewish,Divorced,A,B,30.30221102461529,B,C,0
M,Buddhist,Single,E,E,-59.706448834913964,B,A,0
Female,Other,Single,E,B,56.0573136379943,A,E,1
M,Jewish,Divorced,C,E,-101.85611036139204,D,C,0
Other,Muslim,Widowed,A,A,-108.18470604771835,C,E,1
F,Hindu,Married,E,B,75.19102412299688,B,A,1
Non-binary,Muslim,Single,A,C,-83.03025286183356,A,C,1
Male,Other,Married,E,D,-130.16835828571962,A,C,0
Other,None,Married,A,E,-58.99605181482316,D,E,0
Non-binary,Jewish,Married,B,E,-28.942749549775748,A,A,1
M,Christian,Widowed,B,D,41.45003541490338,C,C,0
F,Muslim,Widowed,D,B,124.91935353123873,C,C,0
M,Buddhist,Divorced,E,A,-212.91458795287448,A,C,0
Male,Christian,Married,B,A,27.486459467053166,A,C,1
M,Hindu,Married,E,D,-23.7348316100774,B,A,1
F,None,Widowed,B,B,-22.74352491899797,B,A,1
Other,Hindu,Divorced,C,E,5.929041632382013,E,E,0
Other,Muslim,Divorced,C,D,-82.25562432060775,D,E,0
Female,None,Widowed,B,C,286.5408491509373,E,B,0
F,Jewish,Widowed,B,D,109.47165055287198,A,D,0
Non-binary,Hindu,Widowed,C,A,-26.460747981134357,C,D,1
F,Hindu,Widowed,D,E,-87.44408356646699,C,E,0
Male,Muslim,Widowed,B,C,160.17396646158312,E,B,1
Male,Jewish,Married,D,B,-111.48216695279591,E,E,0
Other,Hindu,Single,B,A,120.05960549745127,C,E,0
Male,Hindu,Married,A,D,125.28592539556527,E,C,1
Female,Other,Single,E,A,-146.74555416367954,B,A,0
Other,Hindu,Divorced,E,A,100.3066230558141,C,A,1
Male,Buddhist,Single,E,B,-247.86734866858865,E,A,0
Other,None,Married,C,D,16.89489990515727,A,C,0
Female,Other,Single,B,D,190.190856447658,C,B,1
Non-binary,Jewish,Married,D,E,66.34309607045672,B,E,0
Other,Other,Single,D,D,-216.9784150829202,C,D,0
F,Buddhist,Divorced,D,B,57.17076161546696,D,E,0
Other,Buddhist,Single,C,B,0.15707677861859465,B,B,1
M,Hindu,Single,C,E,-38.059881681295145,D,E,0
Non-binary,Christian,Single,A,B,35.405211300686105,B,B,0
M,Christian,Divorced,A,D,184.60011669865227,A,D,1
F,Jewish,Divorced,E,E,3.606702249846788,D,D,1
M,Hindu,Married,D,C,79.2722602864161,D,B,0
Female,Jewish,Widowed,D,B,49.337884333084666,C,E,0
Male,Other,Single,D,A,74.61208520117918,A,A,1
F,Jewish,Divorced,A,D,88.24414204915209,D,C,1
M,Muslim,Single,A,D,45.192320311008594,D,A,0
Male,Hindu,Widowed,A,C,-91.7349413180893,D,E,1
Non-binary,Christian,Widowed,C,E,-58.79487271887509,D,E,0
Other,None,Divorced,A,A,45.940314339250904,B,C,1
Other,Other,Divorced,B,C,168.49852849191097,A,C,1
Male,Christian,Widowed,C,D,150.74962081959555,B,A,1
Non-binary,Christian,Widowed,B,D,-124.41834698747884,E,C,0
Non-binary,Muslim,Divorced,B,B,-50.73043374168053,C,C,1
Non-binary,Hindu,Married,C,A,77.07395079635006,C,A,1
M,None,Divorced,C,E,-123.58089352660282,B,A,0
Female,None,Divorced,D,C,-66.29655233502918,B,A,1
M,Buddhist,Widowed,B,D,91.93091550415573,A,A,1
Non-binary,Buddhist,Married,A,A,125.28626281326297,C,E,1
Non-binary,Muslim,Widowed,A,E,-36.68143600180174,E,B,0
Female,Buddhist,Divorced,B,C,16.21059798105228,E,B,1
Female,Jewish,Single,C,C,-87.11656132765619,D,C,0
M,Hindu,Widowed,E,B,-127.195981891461,D,D,1
Female,Christian,Divorced,B,D,-106.13345181252048,C,E,0
Non-binary,None,Single,E,C,24.704446509981413,A,D,0
M,Jewish,Divorced,B,B,-42.07858529380404,E,A,1
Non-binary,None,Divorced,B,E,37.723874573680575,D,D,0
Other,Jewish,Divorced,C,A,50.40082825438583,D,C,1
Other,Buddhist,Married,C,B,-32.83395923929439,D,D,1
Male,Jewish,Married,B,E,-78.99314133526781,C,D,0
Male,None,Married,C,B,29.018520458538866,E,D,0
Male,None,Married,A,B,-219.4499363735741,A,D,0
Other,Jewish,Divorced,D,D,48.2946955677314,D,A,1
F,None,Widowed,D,D,-63.722498947983105,E,B,0
M,Jewish,Widowed,A,A,-148.09900145623226,D,E,1
M,Muslim,Single,D,E,23.521703945507852,A,C,1
F,Muslim,Single,B,B,-57.713317765455216,D,C,0
Other,Jewish,Divorced,B,D,122.02476545909575,C,D,1
Other,None,Married,C,B,258.0906524902242,C,E,1
F,Other,Single,C,D,-11.325281396627,A,B,0
Female,Hindu,Widowed,E,B,-151.29685097628558,C,B,1
M,Hindu,Divorced,C,E,-73.60424692090149,C,B,1
Female,Other,Widowed,C,B,-47.30351016721157,E,B,1
Female,None,Married,D,A,10.795869706608595,C,A,0
Other,Hindu,Widowed,D,D,-144.81725120855103,C,A,0
Non-binary,Muslim,Divorced,E,E,-110.43941501482364,B,B,1
Non-binary,Jewish,Divorced,D,B,156.27629744047883,D,C,1
Non-binary,Christian,Married,B,D,-310.40806498523585,B,A,1
Male,Hindu,Single,E,A,-142.26390843644313,A,C,1
Other,Other,Divorced,D,D,167.85519618925397,B,C,1
M,Muslim,Married,A,D,-17.724267537033526,D,D,0
Non-binary,Hindu,Divorced,D,D,-28.803276449345045,E,A,0
F,Christian,Married,E,E,16.443677765645447,B,D,1
Other,Buddhist,Married,A,B,-34.58483105742821,A,C,0
Non-binary,Christian,Widowed,B,D,-185.65262727101575,A,A,0
Male,Jewish,Divorced,A,D,158.3502948960836,C,D,1
Other,None,Single,C,B,208.78964979849198,E,C,0
F,Hindu,Widowed,A,C,-19.062058692095498,E,B,0
M,None,Divorced,A,E,118.9544478367192,D,B,1
M,Buddhist,Single,B,E,-67.88618838793393,A,C,1
F,Christian,Widowed,C,D,-226.05798704804351,D,D,1
Other,Jewish,Divorced,C,B,166.28357819739185,D,A,0
Non-binary,Buddhist,Single,D,C,7.784008379586297,A,E,0
Male,Jewish,Divorced,B,C,196.97613313048078,A,C,0
Female,Hindu,Divorced,E,A,-66.95825733885775,A,E,0
Female,Hindu,Widowed,A,D,-162.09526715398684,C,E,0
Non-binary,Other,Widowed,B,B,9.177204412701553,C,A,1
Non-binary,Hindu,Married,A,C,-25.70658326592566,B,D,0
Non-binary,Christian,Married,D,A,44.53271318371623,C,B,1
Non-binary,Buddhist,Widowed,A,D,211.9276225016322,B,D,1
Other,Muslim,Single,D,B,-41.468609485858835,C,B,0
Other,Christian,Divorced,C,C,2.3935147030575803,D,C,0
Non-binary,Muslim,Widowed,D,C,72.54994929484927,A,D,1
M,Christian,Married,D,A,-33.876135421770535,C,C,0
M,Hindu,Married,A,A,113.50596743052326,B,A,1
M,Buddhist,Single,C,E,19.232750186325074,A,C,0
Other,Muslim,Divorced,A,A,168.6880759991268,E,A,1
Female,Muslim,Divorced,C,A,23.225495801865208,B,C,1
Other,Hindu,Single,D,A,-17.898276665012183,D,C,0
M,Muslim,Single,B,D,71.74814850107612,C,D,1
F,None,Married,C,E,-46.98747882108042,D,D,0
F,Muslim,Single,E,E,-57.531325138198575,B,D,1
Non-binary,Buddhist,Single,A,B,-65.04077485199267,D,C,1
Non-binary,Muslim,Widowed,E,E,-11.583741936827826,B,C,0
Female,Jewish,Married,B,B,-54.37580775702662,E,C,0
Male,Buddhist,Single,B,A,66.4667936482631,E,A,0
Male,Muslim,Divorced,B,C,-84.28224142428218,B,B,1
M,Muslim,Divorced,B,A,102.87065667578614,E,D,0
Other,Muslim,Married,E,D,-138.05774278116422,E,B,0
Male,Hindu,Married,E,A,188.91727729445282,A,D,1
M,Muslim,Single,B,D,100.62503758743419,D,B,1
F,Other,Divorced,E,E,-129.3266093744516,C,A,1
M,Christian,Single,B,C,-13.878360386988495,B,B,1
M,Buddhist,Single,B,C,21.56477700636734,D,D,0
Female,None,Married,A,A,-178.24878187133646,D,B,0
Male,Muslim,Widowed,E,C,-3.9090969759787666,A,A,0
F,Jewish,Widowed,C,D,12.191196205401173,B,B,0
Other,Christian,Widowed,C,A,37.333945385760906,B,A,1
Other,Hindu,Divorced,A,C,6.012066906409718,C,C,0
Non-binary,Jewish,Divorced,D,E,-63.89806568073298,C,A,1
Male,Other,Widowed,B,C,1.6883929892338667,C,D,0
Non-binary,Hindu,Single,E,B,-87.80995889306273,C,C,1
Female,None,Married,B,B,129.77062522985793,E,B,0
Non-binary,Other,Married,E,A,149.6537003578747,D,D,1
Male,Hindu,Widowed,C,E,-85.82078055440464,B,E,0
Female,None,Single,E,A,-0.8636161538538016,C,A,0
Female,None,Widowed,E,D,94.10372033745696,C,A,1
Female,Other,Single,A,E,-103.143035953379,B,C,1
M,Muslim,Divorced,C,C,100.73217279922306,A,E,0
F,Buddhist,Divorced,B,E,-67.60311888079413,D,D,1
Non-binary,Jewish,Married,C,D,90.28967300537947,E,C,1
Female,Muslim,Widowed,D,D,52.42095803566475,C,A,0
