Gender,AgeGroup,country,military,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Male,65+,Other,Non-Veteran,D,E,D,-11.633808928154876,-72.55510016132276,24.5687843702622,A,A,A,7.444486892134876,119.37477670133009,0
F,18-25,US,Yes,C,E,B,-27.332458814657763,-160.69344487033183,-181.85926373084186,E,D,A,21.5522937614828,-35.760902366906535,0
Male,26-35,India,No,B,A,A,-102.27999790711347,-29.772879380445094,-36.49722389594512,B,A,D,-120.2536867916912,98.53388934882125,0
Female,18-25,US,Non-Veteran,D,A,D,69.75863171732809,-158.49105799568326,-58.35673777013479,D,D,B,-93.68808063776794,-78.00364414807315,0
M,26-35,India,Veteran,E,D,B,81.36925280124838,-86.22232048414574,-3.8079284886503575,B,C,A,-97.72886636822244,113.6636545678784,1
M,26-35,India,Non-Veteran,A,C,E,-48.396868334204335,18.16350775976471,-11.689646564905045,A,C,C,-58.82617417801544,-30.510406689115126,0
Female,65+,US,Yes,D,A,D,-209.21737512535498,-25.578298551934363,17.480840077083887,E,A,A,-31.13161802535851,-190.10237107584086,0
Other,36-50,India,Non-Veteran,E,A,A,56.56440190886358,119.15767132604624,-294.2113804774878,D,C,D,-51.39299933836988,-4.2379839609044945,1
M,65+,Brazil,Yes,B,A,C,7.989533260206756,289.6041078957289,-26.87984579405297,A,B,A,-6.67790884274573,170.0961495825592,1
Male,65+,China,Yes,C,A,A,-46.4069557767771,-42.28153242589522,-42.04923022373778,C,D,C,18.86002119910757,29.209038244970785,0
Other,26-35,China,No,E,B,B,133.51437720873506,105.41476105488607,-90.43719870909295,D,C,A,5.094051727690384,-124.70762708565495,0
Female,36-50,Brazil,Veteran,A,D,C,-69.54480870414005,-55.540404690106506,-26.712201141714896,E,A,E,127.55526784553535,91.30354846229815,1
F,36-50,Germany,No,E,B,B,93.23652642604121,94.35645217864568,-5.931964018237194,D,C,A,87.63430668267232,-271.79333045930025,0
Other,51-65,Mexico,Yes,B,B,A,40.348375667067856,111.76578088718139,51.63859361795027,E,B,A,-69.77904546616016,-164.78609451682732,1
Non-binary,18-25,India,Veteran,D,A,D,-73.98171324356171,-34.34458648705951,-81.39919607068924,D,B,B,82.03077784621831,-146.8367526932017,1
M,65+,Brazil,Non-Veteran,A,B,A,-203.59055160754508,17.140562877423534,-93.85659279015607,E,C,E,-61.27224434015749,-158.66823694164464,1
Male,65+,US,No,A,E,A,-164.78177007582332,-191.83730943879976,30.304561572327852,D,E,B,-271.65499786505615,200.31586820332166,1
M,26-35,Brazil,Non-Veteran,C,D,D,-14.54601996438658,-130.93229390415792,161.87399513817445,C,C,B,-25.45174911579311,-5.9356872165992485,1
Female,36-50,China,Non-Veteran,E,C,C,205.46100660736911,102.3674841480843,-129.687161861835,E,B,C,-54.141362135663805,82.53490237795033,0
Female,26-35,Mexico,Non-Veteran,E,C,E,-69.69387787532575,-43.65007848495256,111.00066722824336,A,C,B,-85.58637402642137,361.822878379739,0
Male,36-50,India,Non-Veteran,C,D,C,-27.699078402208816,-99.55838269418639,59.97797932468274,C,E,B,12.193314615239938,-48.99836170791423,0
Non-binary,26-35,China,No,D,E,D,33.12311122003323,44.44483290586884,156.39264373568682,C,E,E,-87.51733385382482,-141.7188583497943,1
Male,51-65,China,Yes,A,E,E,24.442123231398778,-97.06771492087583,55.11473780895083,E,C,B,-8.578205167827978,62.22710187115871,1
Other,65+,India,Non-Veteran,B,D,B,100.00155648896636,45.35734645510228,-133.0337406325701,C,D,E,26.564153323737948,143.1018120005495,0
Non-binary,18-25,Mexico,Veteran,C,E,B,158.68737110193908,112.06289030949974,83.6135426231623,C,E,A,-33.67830702371236,23.061751609427844,0
Female,65+,Other,Non-Veteran,D,C,B,222.21270454311798,50.583848026418096,91.98565180650607,D,B,D,-164.44443673645608,3.6133218739874837,1
Other,51-65,Mexico,Non-Veteran,B,E,C,26.60109766460417,41.105323362802665,-41.47261790689109,D,E,C,19.899498315403505,58.25725533668874,0
F,51-65,Other,No,B,B,A,126.24663472266778,-81.89913811484072,72.92657508863869,D,B,B,-82.67301266593863,-100.72790744714251,1
M,36-50,UK,Non-Veteran,C,D,A,65.58525795367306,57.04004741516686,-209.30165374312844,D,A,C,6.130823951238449,-71.61474850534093,0
M,26-35,Brazil,Yes,B,D,E,-100.83460232397023,-50.89139259294983,-9.220539438170542,B,E,C,-139.51145180033734,-172.27909278930926,1
F,18-25,India,Veteran,D,E,D,8.03268930236486,89.04813555876463,-59.753161339830484,D,A,A,38.92775054367602,1.8306978913027696,0
F,51-65,Mexico,No,A,D,C,-256.26419094623975,60.314384426733135,-77.07851952249854,C,C,B,23.148762067689056,-54.3445998016448,1
Other,36-50,Other,No,C,A,D,28.28908977263471,-181.7916652219206,91.9781679589479,B,D,E,10.484562441203064,54.27832910228878,1
Male,26-35,India,No,B,A,A,21.946562351396683,7.724731526425812,-127.4589394273045,D,A,C,-45.40268198793423,62.970861794747265,1
Male,65+,Mexico,No,A,D,D,-110.26474934616711,-49.93557889169607,-54.82017989610329,D,E,C,-17.382509484031242,-38.26277547096659,0
F,26-35,China,Veteran,C,E,B,-30.332406567550326,-45.910974775465675,223.54196482705336,A,A,A,147.32838837397694,-125.96119904545498,0
Other,36-50,US,Non-Veteran,A,E,E,-146.63741189107927,-11.49039435514652,25.001251790164876,D,C,A,-19.189732774701458,106.94948811506038,1
M,65+,US,No,B,A,A,55.6948139805311,171.5409134968987,99.8776662721568,B,D,D,-4.173728946767798,31.063917428704958,0
M,26-35,Brazil,Non-Veteran,C,A,B,-59.64038616478492,77.88195060768349,-185.75537312703236,B,D,D,83.54099152772156,49.55576833731571,1
Female,65+,UK,Non-Veteran,B,B,B,-24.736362903997232,-162.83615501382303,130.78945811961773,C,A,A,120.84634593767107,252.05026972427365,0
Female,26-35,Mexico,Non-Veteran,E,E,B,127.28790645438941,-13.890763484493322,8.10606409072048,E,A,A,88.335726512271,13.782915387149622,0
Male,36-50,UK,Yes,D,E,A,39.69974437540012,51.574387142396475,72.8561156569289,D,B,D,-60.06362838599462,-15.879790561688651,1
Male,51-65,Germany,Veteran,C,E,C,76.65055903679726,-44.34423454721856,34.94291452516743,D,E,E,-37.968956978870864,-59.35653349230965,0
F,18-25,India,No,C,D,C,-203.94543710511988,-135.54342281887375,-109.12790208613141,B,B,B,114.56673016946053,3.455312368341649,1
M,65+,Mexico,No,D,E,A,56.67843651521205,163.34595582243594,-75.48827999284613,A,B,B,-143.2850507158164,14.90010502495954,0
M,26-35,Germany,Veteran,E,A,D,11.306957040787474,60.052775531005985,-38.25925398091779,D,C,D,127.97952139898756,-64.72037553900977,1
Female,18-25,US,No,E,D,B,210.45007477578673,19.528717959970013,-77.19893040413666,E,D,C,-113.53863037979148,-88.81778777083757,0
Female,18-25,Other,Yes,A,B,C,86.59932932672555,59.87704227523064,-46.769444284670705,E,C,A,-87.42299656891717,-122.10471982162818,0
M,26-35,Mexico,Non-Veteran,A,A,D,72.25788974310763,-113.35373937940756,-17.472272667749944,A,B,D,-81.72277464523451,91.36450009370088,1
Non-binary,65+,China,Yes,D,B,A,29.469008886265115,-221.44765767517845,-160.6892829415643,E,D,D,-103.72924412460132,19.756031257541736,0
F,36-50,Other,Non-Veteran,E,C,A,63.75533997157249,-19.365188889242564,26.48042468185149,D,C,A,-20.043189685895506,119.15638981586511,1
F,26-35,Brazil,Yes,A,D,D,-59.33952311691041,30.093264880309867,24.884476643559562,C,A,A,63.06404379719104,138.4853589317607,1
F,36-50,Mexico,Veteran,B,A,C,-3.9218794556554673,260.88947683465506,183.99267472126039,E,E,D,-67.83038174084824,114.80696541691427,1
Non-binary,36-50,UK,Veteran,D,A,B,144.7614154783847,-62.30743708921677,2.7464536906652555,E,A,C,66.39074029906855,138.89569642262788,1
Non-binary,36-50,Brazil,Veteran,B,B,D,36.35647702199663,-74.32498839660367,174.8254824607564,E,E,E,77.20406502045117,46.04280637482987,1
F,18-25,Germany,Veteran,D,E,A,84.4557831420675,30.763210608561746,59.74620449633793,D,E,A,-27.817230003897336,-191.27832584303255,1
F,65+,US,Veteran,A,D,E,104.80190418007265,53.47808796912628,42.32578107108162,D,C,E,-53.87991485134723,-34.1945221489793,1
Male,18-25,China,Non-Veteran,E,E,B,92.0063686391096,10.380468165037897,49.13726582048773,B,E,B,44.17236810824347,57.89297708418615,0
F,65+,Other,Yes,B,B,D,109.66120522754508,-107.96457271653865,0.41401462626607505,E,B,B,-26.57011535507459,5.362770782234139,1
M,18-25,Other,Non-Veteran,B,A,C,-24.76753570144502,-242.76028406126562,-98.4078752964038,C,D,A,-168.38603964658313,107.75369085536626,0
Male,65+,Germany,Yes,D,D,D,140.45111238107896,-30.89824365661147,-126.31308582808217,A,D,A,-79.37583222655502,-177.76479119521292,0
Female,65+,Other,Yes,C,C,C,5.892604089347133,169.29267228784158,1.7038349591447404,B,B,E,-9.31860757232757,15.305171374904313,0
Other,65+,India,Yes,E,A,A,-140.31557787773082,21.611613436495798,18.90005212544264,C,D,D,80.25581049933442,-95.68733054216962,0
Male,65+,UK,Yes,D,A,C,36.410032131617264,-22.630046585677242,108.7010127307942,E,E,C,-51.573575336456635,121.46634708127277,1
M,36-50,Other,Veteran,A,D,D,220.46343691296556,-66.04339245504518,-22.290560282175758,E,C,A,-1.4572759154778574,216.6145241798679,1
Female,51-65,India,Non-Veteran,E,E,D,110.45229600981243,76.8793759499169,-34.46146553159976,C,D,D,-25.011014578185314,53.266676743917486,0
Non-binary,36-50,Other,Yes,B,B,A,20.086379768313577,-109.84077208565226,48.09787033172371,E,A,D,135.82018273511466,-187.43470316913098,1
Non-binary,18-25,US,Veteran,B,B,E,22.031297151830177,68.28942683432811,139.00009290798977,B,C,C,39.97786372003177,4.054135187715416,1
Non-binary,18-25,India,No,B,D,C,-32.41199255560519,-179.42769396264444,156.9136419177757,C,C,A,282.8146815914362,-3.975971162077757,1
Non-binary,65+,Mexico,Yes,D,C,B,-43.56893184443554,6.160129940423022,270.04561999715986,D,D,D,95.70138079590266,-19.224168334176596,1
Female,36-50,China,Non-Veteran,A,B,C,227.9557589718922,-256.91883742494605,-2.669618968442381,D,B,D,-229.23985239095427,-25.778442399040102,0
Female,18-25,Mexico,Non-Veteran,C,B,C,-157.5534249122046,85.65463682036493,-49.88287881244744,D,D,D,-21.191608739239683,-16.91073676347669,0
Male,36-50,Germany,Veteran,C,B,B,-7.300028391080763,-60.316984047287114,-28.356060875120225,D,C,B,-174.53629406996058,60.65257089992955,0
Other,18-25,Other,Veteran,E,B,E,106.23073300642316,37.20894428010112,61.63768268278772,A,D,A,18.80315455056062,-256.51794391786535,0
Male,51-65,Other,Yes,A,C,C,4.051289686824302,47.18479135524298,-38.870075317145826,A,A,C,-125.25093231450013,243.29734463920957,0
Female,36-50,UK,Veteran,E,C,C,-45.43956616992949,67.87206320417472,60.538374875421,B,C,E,91.08361210490011,12.53115297033964,0
M,26-35,Mexico,Non-Veteran,B,A,D,94.51881680050722,95.83628554087315,-126.10210899390499,E,E,D,24.885104579173248,9.0371659839992,0
Female,26-35,US,Veteran,D,A,C,25.44631294022681,-142.94104285460304,-44.87202415580162,A,C,D,-29.631087074640796,-53.931487226766976,0
M,26-35,Other,Veteran,D,D,B,-162.16751042532402,63.231288212329886,-116.31538390124152,C,E,D,-12.177496769712597,127.0594993910487,0
Non-binary,65+,China,Veteran,B,B,B,32.55995026056783,-95.20587400845999,116.02356019885347,B,B,E,-104.55558262076777,-8.1799479122781,0
F,36-50,China,Non-Veteran,A,E,D,14.787874738290324,65.12359202732642,77.44294306869828,B,D,E,73.98118490927949,22.326430499738915,0
Other,36-50,Brazil,Non-Veteran,E,C,A,-8.578979191824548,-19.018521314162896,39.90273789218847,C,A,E,-109.51123765502638,-87.75997820925768,0
Male,26-35,India,No,A,A,A,-95.11129747639202,4.4455446503637575,1.3134083035021715,A,B,D,-203.07908470430348,18.26406701575769,1
Female,18-25,China,Yes,A,E,A,16.61154135147971,-99.0365553571769,234.57281351758786,A,B,A,-34.02169406888541,67.3783076689349,1
Other,36-50,Brazil,Non-Veteran,E,D,C,51.84139026689755,158.5126329997952,16.926508159869684,A,A,C,-67.85996598218918,116.64920342213011,0
M,18-25,UK,Non-Veteran,A,B,B,-212.58160415558015,-28.982768125304048,-14.709902808080361,E,B,B,-79.73367024561699,-23.38642958015228,0
Non-binary,65+,China,Yes,A,C,E,18.429066844723017,18.273615318355006,-19.027806412353808,A,E,D,-93.66227960161976,144.60254188168722,0
F,36-50,Germany,Veteran,E,E,E,-22.059537892409047,44.37987946402117,19.17125033496923,A,D,C,-144.82448800748145,183.07306371661662,1
Non-binary,26-35,Germany,Yes,B,D,E,-31.374974627725244,-46.02521323955365,8.500862032250811,E,C,A,45.515336112379416,121.46313859917346,0
F,26-35,Germany,Veteran,A,B,C,87.90329541875955,-199.52905878355816,56.28048243918704,D,E,E,36.301019979294,-139.51937390813546,0
Male,51-65,Mexico,Veteran,B,C,A,-137.58926247722457,-24.54932717846586,63.47640962669413,C,E,D,48.32620282321024,-112.98791824608607,0
Other,65+,Mexico,Non-Veteran,B,E,D,129.9391883004936,-276.6723428203519,56.741079402349115,D,D,A,195.58169205776986,278.3143799583877,1
M,18-25,Other,Yes,B,B,C,-48.72734976362528,31.59175395612544,-43.136316391352366,E,A,A,-2.296770710917456,-96.64365172976655,1
Female,65+,UK,Yes,A,A,D,-8.01102627567192,57.277672060050286,97.90988213782538,A,A,C,45.19513118679318,-145.91134284596666,0
Other,51-65,China,No,C,C,C,9.2404375121582,18.471987953748016,125.31635291523816,A,E,D,-83.8737710560689,97.21557866141681,1
Female,51-65,Germany,Non-Veteran,C,A,A,-105.39366318073249,69.73025149597596,-89.30865738949781,C,C,B,-36.08794810055098,93.60446839038417,0
F,18-25,Mexico,Yes,E,A,B,41.20310946547725,-38.39248991400701,-106.88904167541553,B,E,A,-103.9665019247245,10.667319854066578,1
Non-binary,51-65,Brazil,Veteran,E,E,A,80.8688016485296,15.865877386805327,10.994439256148937,B,D,E,158.13406954363504,82.25947252240812,0
Other,65+,China,Veteran,B,C,B,-176.1098471826297,109.32887497884415,-4.996748392097572,B,A,B,57.64287092772312,45.55618583916058,0
Female,26-35,Mexico,Non-Veteran,E,E,D,-64.5321661037565,-130.682424357033,140.25978898469413,A,C,A,-84.41024301230406,88.75578352423666,0
Male,36-50,Germany,No,D,C,A,12.992819487590443,105.98588347796336,97.91747927097667,D,A,D,-4.7713015494239475,85.07093173697821,0
Male,18-25,Brazil,Yes,C,D,A,97.20815940998725,-45.11061316319393,-53.81657258922704,C,B,E,-65.81016675836958,-79.50598605761697,1
M,36-50,UK,Non-Veteran,A,E,E,-1.8953306308106341,-65.05137414229294,74.89096473729259,E,B,C,4.972134952628135,-185.36661152531667,0
M,26-35,India,Veteran,B,E,E,17.510648926446112,-91.33555711872832,-107.51681429192446,D,B,A,-83.99317716995527,-128.28735753146245,1
Other,65+,Mexico,Yes,A,C,E,7.700622271298337,-141.94287957586153,-68.51244742931345,A,C,C,-6.21595491640802,24.71559753637274,1
F,26-35,China,Veteran,A,E,B,43.76992672939571,160.32701052260876,36.33012619837343,D,A,D,1.4956694930692354,-16.662599356256464,0
F,36-50,Brazil,Yes,C,D,B,-115.53907130092016,-6.433920763527391,193.8158728661064,B,E,D,-64.76620937973013,-8.104767043456478,0
M,26-35,Germany,No,B,A,C,-83.54978965491767,-155.20945278716206,14.709455840887847,A,E,A,208.08409859044826,3.97610005806638,0
Female,65+,India,Yes,A,E,E,1.900913587974786,222.18195123247528,-52.60327902989508,E,D,A,31.691360700788007,61.14846019863066,1
Male,65+,Mexico,Non-Veteran,A,D,E,12.185602905009752,4.172755377230223,-20.878579897372724,D,E,C,-93.17259640367824,36.61791402079901,0
M,26-35,India,Veteran,A,E,B,-115.2046556701396,-18.61164486221291,-42.694740348096296,D,A,A,-32.418416592304894,-3.7728411235995103,0
F,36-50,Brazil,Yes,B,C,E,-143.87178022301637,17.62710822671677,-137.20952621640902,A,C,C,63.94526631131776,2.0111349682332116,1
F,65+,Other,Non-Veteran,E,B,E,119.06064888590109,-288.2198316061268,94.21883703655122,B,B,C,-68.61410024138593,146.39070778348656,1
Male,51-65,India,Non-Veteran,C,C,E,-151.2511602744076,190.0679513545733,-14.759171299282354,C,D,A,9.049525736629379,105.17366530085319,1
Female,36-50,China,Veteran,A,D,A,9.523147175332095,-3.8729679273410604,187.5759684476144,A,A,E,27.72501076741596,102.57776290572436,0
M,51-65,Other,Veteran,E,C,D,32.044897623854304,-50.178238088668245,16.02852427235923,A,D,D,-112.63908038278525,-31.238158890263456,0
Other,26-35,Germany,Non-Veteran,A,B,D,-115.21074824401931,-63.59439216293414,-148.964676690212,E,E,D,58.20631495171258,-7.770706336841098,0
M,51-65,Germany,No,B,C,C,36.033633860967804,9.738321904315947,-6.43655994739296,C,C,A,14.065519249253924,10.385692829378854,0
Other,18-25,US,No,B,C,C,-113.92905700399896,185.73837573905982,151.31912351285257,E,A,A,64.82698831982326,180.17251805892533,1
Female,18-25,UK,No,B,D,B,11.744421095380552,7.262415415192357,178.65208514844207,A,C,E,-27.28637507332994,155.15603104003617,0
Female,18-25,UK,Non-Veteran,B,B,E,-20.578049602479727,160.42965220116338,80.4066036517386,D,E,E,-41.20275835210565,-42.159912886857995,0
Male,36-50,Germany,No,C,B,B,242.0423694133938,-23.519746295391947,50.91778280343318,A,A,C,-109.08314385468006,-12.898410414106346,0
Other,65+,China,Veteran,D,A,D,-45.718463559313335,-145.6052004162875,-130.6233366913258,A,C,B,-93.64934809754367,184.63858854365427,1
Other,26-35,US,Veteran,E,D,A,117.20733235689565,60.41656139652949,146.06956165121966,E,B,E,48.50714237305069,-38.10013551051166,1
Female,65+,Mexico,Veteran,E,B,C,-275.11992299331325,-4.760294096531554,-60.355825169500264,C,A,A,-204.5042093434449,-224.02263378775663,1
Other,65+,Other,Yes,B,C,B,-37.19892656603119,-42.11121836183306,-14.947590726231905,C,D,E,25.683920996405046,-180.14975421762682,1
M,18-25,India,No,A,C,E,-72.10893201641248,154.81360253037587,35.988095149665305,B,E,D,-85.26188133365173,18.16886337099391,1
Non-binary,18-25,Germany,No,D,B,D,-59.385119112148764,137.97524510193804,9.743698886552888,B,B,A,-136.36568791905097,-24.89092665854918,0
M,26-35,Brazil,Non-Veteran,B,B,A,-35.354610103820306,-59.801640449708316,4.109736200896794,B,D,E,80.9543450005075,9.660887848445823,0
Non-binary,36-50,India,Non-Veteran,B,A,C,-82.53150833275207,87.11379949521934,138.51487142305277,D,A,E,24.413126044488536,163.28195212796473,1
Male,65+,India,No,D,A,C,141.22272964963545,91.14860493525615,-5.527914871148894,C,C,E,80.18289079648099,45.77235706948288,0
Male,36-50,UK,Veteran,A,C,A,40.845939997293875,-56.24673737745663,8.195401168879712,B,E,A,28.736188750249564,23.28823845370262,0
M,36-50,China,No,B,C,B,76.64767558429338,-50.32466572705543,47.72191271241265,C,A,C,-191.90113962614745,35.661602013290015,0
M,26-35,Germany,Yes,B,B,B,185.4976614376072,-31.40554196431941,42.54288924461343,B,D,D,-86.9577821401529,39.46677968774755,0
F,26-35,US,Veteran,A,A,C,-83.53741458194733,-231.6186119972071,98.72463623683029,B,B,D,94.03713372500404,-99.9766317829789,0
F,65+,Germany,Non-Veteran,E,B,C,77.41979174005222,43.17641248451513,-153.3665053619933,E,D,B,26.62782726289307,-11.6869151280085,1
M,26-35,Brazil,No,C,E,B,6.749576849135165,-24.719897672887246,-78.88380372476045,D,C,D,49.8245299144011,-73.20312782944849,1
Male,65+,Brazil,No,B,E,D,125.33527377818167,-24.883711646921398,-68.17689682059121,C,A,B,-10.467927434246647,84.67403594356567,1
Female,26-35,India,Non-Veteran,B,C,E,35.883958445585904,-84.90990120777589,-18.295539600964293,D,C,A,37.45567189926783,-81.14295051377266,1
Non-binary,65+,China,Veteran,A,B,E,0.3666079996485478,113.33130757242454,-98.19570726470047,B,B,A,119.73996967377967,4.362516795400482,1
M,51-65,US,Non-Veteran,E,B,B,147.8509574774202,-62.390051839904004,40.484983053026454,E,C,E,26.495135050886066,-128.82689475335945,1
Other,26-35,Mexico,Veteran,E,A,D,-33.03507749881497,-64.32999013921875,66.62703417664711,A,B,E,-85.25395029181259,76.1654338289985,0
M,36-50,China,No,E,A,A,37.96874450485121,35.2413281643487,-18.304497243377707,A,E,D,3.378052983431201,-12.332469763087369,0
F,26-35,Mexico,No,C,B,B,24.665234265479942,84.75322557402892,-60.652272415835874,C,D,D,-179.98802120557022,-33.61016404134734,1
M,18-25,UK,Yes,A,C,E,-115.551943732067,111.58264553375754,42.960913126847224,D,B,C,32.21915566166076,-149.5691820554797,0
Other,51-65,Mexico,Yes,A,A,B,-158.08313835132438,147.68359077991192,-158.56340926478399,B,D,C,-48.14576465262748,-34.32445272395649,1
Other,65+,India,Yes,E,D,A,-64.51316858929886,2.396184175364165,-2.05305869938117,C,D,A,13.18399226441114,5.461775398879278,1
F,36-50,Mexico,No,E,E,C,45.61224569785281,148.5340047908061,-153.11356890993736,B,E,A,216.4486005130283,-48.63118789883741,0
Other,51-65,Other,Non-Veteran,A,D,D,78.81604202399004,-76.33286005331217,-19.753661796500317,B,E,B,-41.702422983827674,-60.58584293510443,0
Female,26-35,US,No,D,B,E,117.43123441616244,-2.7344530724587477,-171.57036207668196,B,E,C,18.722942971374394,-108.49217419363875,1
M,51-65,China,Non-Veteran,C,C,C,-43.083563798762206,37.301399661258536,-59.924654398559916,E,E,B,-40.971326892807646,-38.747789949112125,1
Female,18-25,Germany,Non-Veteran,A,C,C,202.95025583092522,-124.11018685064725,200.72166850678488,C,D,D,-90.25795330813408,38.99909983220167,0
Male,36-50,China,Non-Veteran,D,D,B,18.491050794293617,-20.49659033259818,-62.81669719207768,E,A,C,-120.32583913148476,69.81043097726098,1
Male,51-65,India,Non-Veteran,E,B,C,59.95190374936056,26.530094241156533,-42.790007130167446,C,B,A,3.509928488830237,-175.57510684266714,0
Female,18-25,India,Veteran,A,C,D,-72.04386701171337,-466.8584863637374,-41.45171970348869,D,B,A,-28.95590130582842,-178.33340603596668,1
Male,18-25,Mexico,Veteran,E,C,C,-37.53136816201374,161.21935167173487,268.8620264895348,A,E,B,151.56830680265145,-105.01479447519814,1
M,26-35,Mexico,Non-Veteran,B,E,E,-72.06200635874303,333.6228339482029,-93.3196431901566,D,C,A,43.66113102353453,-91.64460443127889,0
Female,51-65,China,Yes,C,A,B,139.80060521959166,-41.47392182842371,128.59390681636347,D,A,D,-94.34651559599409,-64.94506869835558,0
Female,65+,Other,No,C,D,E,213.37266174334798,165.4779656658472,-5.0862149339512985,D,B,B,-85.2767782564696,-145.04969876553858,1
Other,36-50,Mexico,Non-Veteran,B,B,B,47.9864654679633,-4.4649000115664395,134.34938867459118,D,B,C,-23.043646737834102,-37.40054997610155,1
F,18-25,Germany,Veteran,D,C,D,-47.6250277906012,59.948585163117286,191.61178027781148,C,B,E,-88.44838414878274,61.56464681422021,0
Male,51-65,US,Yes,A,D,D,59.62296427582262,147.00750340895752,-7.875375984450068,C,A,A,61.3037971025178,106.945035762949,0
Female,51-65,Brazil,Non-Veteran,A,E,C,-87.19764622619925,-265.2444202850787,40.81106831507598,C,A,D,-79.32972699687788,167.5728933813027,1
F,26-35,Brazil,Veteran,A,E,B,-127.66856671073678,159.57451839629522,-6.752205280191243,C,A,C,-35.97916777378089,-141.06500322439365,1
F,51-65,Germany,No,B,E,B,179.85401139444792,-83.97290900886671,-57.14773626884846,D,B,E,-35.678673545604816,134.5793794087379,1
Female,18-25,US,Yes,E,C,A,77.6386353757354,-95.44973679058654,75.9785992994875,D,D,A,-21.113402260753748,80.38685452689552,0
Male,18-25,India,Non-Veteran,D,C,C,-42.05285365926565,138.5752983348608,25.652694688814886,D,D,E,-80.2065994065936,-209.04913695052488,1
Other,18-25,Brazil,Non-Veteran,C,E,A,-19.01592165913282,-25.004713669983463,6.834445373284831,A,C,B,167.96958792811694,95.50023207639485,1
Non-binary,51-65,Brazil,Veteran,D,E,C,-20.4032919357665,176.8156419714488,-23.42781822507149,B,D,B,-30.877817993577445,52.7566867043744,0
Male,51-65,UK,Yes,B,C,B,-161.56793847613602,-76.21233899496482,-62.33717788308659,B,C,B,-27.984410276995092,-44.78112249571943,0
M,36-50,Brazil,Yes,D,A,C,97.34884298669968,35.7804178125307,-40.81374998309485,E,E,C,-144.41465613888397,134.32154244429807,0
Male,26-35,China,Non-Veteran,E,D,C,-112.34944848111145,202.24171915476902,-16.87947413467029,D,B,C,-35.526702398266664,104.32474874353035,1
M,26-35,Mexico,No,B,B,D,20.167918729373262,-56.698339897119695,-171.6125863746761,D,A,B,-27.655693299340058,-107.67342929204247,0
Non-binary,65+,Brazil,Veteran,D,E,C,144.91764960751243,16.54517488325106,4.65696228431983,E,E,D,-59.4976138782543,-31.92976455905965,0
Male,51-65,US,Yes,D,D,C,-47.55411760334273,-12.017131450737836,-30.154009001612756,D,C,A,-77.37037479782488,111.88733374511143,1
F,36-50,Other,No,B,C,A,55.5928876260907,-70.963087189596,67.09754379125151,E,D,B,-82.48056674173702,-78.99417842208068,0
M,51-65,India,Non-Veteran,D,B,B,-37.61578559261672,-47.769190234631935,-130.30659486923068,A,E,B,17.39157937453667,3.5070778189400347,0
M,51-65,China,Non-Veteran,A,D,D,-106.1110902827188,66.10272349348205,-40.57757986449075,B,B,D,24.832546621464946,-28.459094751585006,0
Female,26-35,Mexico,Veteran,A,B,C,162.6861368614048,-6.869629565454086,90.52076262309544,C,B,C,-174.52780446499304,-9.165138085968596,1
M,36-50,India,Non-Veteran,B,B,B,-23.28460391200068,-71.06345185328405,-61.02386542903259,B,C,D,-25.681477356112552,22.875879582394006,1
Non-binary,36-50,India,Yes,E,E,C,-130.3564364776452,108.9862477534468,26.558210777244938,E,B,A,-135.21406297093446,-120.5794015997406,1
M,18-25,Germany,Non-Veteran,B,B,C,-92.15466077744914,-28.43261070491709,-0.704879233608487,C,A,D,57.57146241746942,45.0760864118796,0
Other,51-65,US,Non-Veteran,D,C,C,-99.68315195344361,165.87782832058969,108.43425220166513,C,E,C,-62.54184345731313,34.33166766483763,1
Male,26-35,Brazil,Non-Veteran,C,D,D,59.69214135582936,129.16012194140473,-131.7799221405269,C,C,D,92.42221094973874,-124.49257820327477,0
Female,51-65,India,No,E,D,B,233.03033183772018,-79.33478746103624,-57.499176133023596,E,D,D,94.28271075866604,-81.12548498118764,0
Other,65+,Mexico,No,C,E,D,-57.44251204212183,-46.645036407462435,-39.7275749634492,C,B,A,-34.9436989660325,-10.127566418509794,1
Male,26-35,Mexico,Non-Veteran,D,C,D,90.17075749430165,-79.07569548366283,-55.65295889631143,C,E,D,211.30700587402168,89.44671969292537,0
F,65+,Germany,Non-Veteran,A,C,C,-137.15115102142227,-64.31285906575697,-78.74317940259836,D,E,D,-82.16249599986075,38.38470222752878,1
M,26-35,Other,No,A,B,B,22.430678388512735,-60.75399223634399,133.3599864604545,E,A,B,84.4630929020171,35.95500006789399,1
Other,26-35,Mexico,Veteran,B,A,A,-34.77041609955478,55.73383276025518,144.1471617882927,D,B,E,46.212210230163755,-31.269058324004096,0
Female,26-35,Germany,Non-Veteran,B,A,E,-74.74942355960935,-128.758245442248,33.46465030486847,D,A,D,-176.72137063419584,-12.303444308019719,1
M,51-65,Brazil,No,E,C,C,-3.4080461262530393,77.47486205242748,-60.29363357958333,B,A,B,51.472187881722476,92.41921055464962,0
Other,18-25,US,No,C,A,C,-64.78520195233833,-69.86183940852919,-64.91376043173523,D,C,A,-38.274215847905666,-31.752888454485724,0
F,18-25,US,Non-Veteran,B,B,B,-250.09018474151355,-92.68702378764017,145.85253865700156,D,C,A,119.72308274076076,-103.08976483985212,1
