sex,Age,nationality,orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Female,64,UK,Homosexual,-2.2616811476807577,118.01723807756616,E,28.31764081043716,-1.7737086702056895,-69.44989011248694,116.42679878688465,E,-215.7645160478641,C,D,C,C,A,1
Other,41,US,Other,142.5912045506983,-134.53119816254102,D,-33.061194673590364,-96.27589936661619,-92.47071735259173,2.796910574788657,A,-104.53723633965213,B,A,E,A,D,1
Male,68,Brazil,Homosexual,-6.671724311622909,-43.81645348030039,D,15.654160826902865,-18.416639726661945,199.19068924369873,41.946008012959005,E,117.79889062445874,A,C,E,D,E,0
Non-binary,69,Mexico,Other,-14.300052027463927,-87.55869131804384,E,64.03002585256698,42.59935488342933,30.377651905949186,-176.87212521693587,C,-5.198721770376218,A,E,C,D,B,0
Non-binary,20,UK,Other,-17.369183996083798,-243.26273421341696,C,11.790561117966348,319.27739622402703,-16.35440247290767,12.2651931415744,B,-200.6266855245483,C,C,E,D,B,1
F,39,India,Other,-20.17347958942084,-24.843893555180863,D,-28.177750814586886,176.41629389927112,204.23993033348972,129.2072728553642,A,3.251779088279362,B,B,B,A,A,0
Female,42,Germany,Other,63.93880332439106,3.2620911677054867,D,126.63871214385512,16.719612960481168,-83.6284734312898,65.2708235918684,E,155.8906340248984,C,B,D,A,B,0
M,43,China,Bisexual,79.3726631498658,-105.73175873206722,C,-76.41671542990912,-24.284261699473287,12.205820696425128,-23.207987087371002,A,30.358780858250427,C,B,E,E,E,1
F,29,Brazil,Homosexual,46.701222009281864,-80.26114216311633,C,124.83933354122188,-16.640696267412007,47.33747580471741,113.65686525089933,E,71.33306473164058,A,C,E,A,E,0
F,49,UK,Heterosexual,29.16591559506771,-163.7302699450518,C,2.2115115102086937,-13.745426169338565,-51.08813599461205,-25.413728307203865,D,-37.2047363280013,E,B,D,A,D,1
Other,59,India,Other,71.15604041350767,-103.42550360692424,E,-126.25511345576518,53.781229933040144,13.29421909676011,58.68293370674771,C,-9.250644216867004,C,B,B,C,C,1
M,45,UK,Bisexual,24.564739584698128,-62.56457774752212,E,42.690850064330895,37.70424446956716,111.9717097072986,11.90494448406004,B,130.09055151458867,D,E,A,E,A,1
Male,73,Germany,Bisexual,-11.227712071770418,186.7939327614502,A,116.09991556647519,0.2228065970230327,19.401390265658904,184.47846462395162,A,-127.46519713180089,D,B,D,E,D,0
F,66,Germany,Other,77.40693245313487,-242.0866765495765,D,22.3713238865375,-89.3818177498559,-118.01236271625201,-133.35507989037956,D,-88.87752499749388,A,D,B,E,E,1
F,61,China,Bisexual,10.276716837385822,30.664759922484926,B,-250.91108245974252,-40.048926739782324,-239.9175717244351,-42.34355418359139,C,-11.823149145029916,E,C,C,D,E,0
Male,28,Other,Other,-76.73787832704203,170.91873727193158,C,-7.5140780265079465,-102.96308876127912,-24.47313300849204,62.81817698650863,C,155.3721630662511,A,E,E,E,C,0
Male,47,China,Heterosexual,-113.88669138925964,-17.842713491321074,A,-8.051590338835275,78.49755636944862,-68.49810327184319,31.993857439222317,C,-213.84434149363202,A,C,A,A,B,1
Other,62,India,Homosexual,87.89234333535215,-50.33376336509542,A,171.54300469252127,-70.17600939441827,-93.37698057977653,7.146149053948688,C,37.455583062024516,A,D,D,B,B,1
Other,69,Other,Bisexual,81.56885010914449,36.05299903661859,A,-63.82187582771884,38.17943928369784,42.90417218312806,-0.15021674343817476,A,189.045706519779,B,A,D,D,A,1
Non-binary,19,US,Homosexual,67.2116926495671,132.51377482585147,C,93.6388330499487,-13.812450737549694,163.83297361384592,53.76461483674698,C,32.36972915787943,B,A,E,E,C,1
Other,20,Other,Bisexual,87.79648325899073,-67.28881203012045,A,80.43399701833063,101.78776353375608,111.64508093585756,-199.87484126007345,A,26.42692621071328,B,D,C,E,A,1
Non-binary,24,UK,Other,-44.144608937543815,215.47155004185586,B,-41.581568892615806,-45.47851418910056,-36.84092832593205,-66.15423698790485,A,61.187755826886644,D,D,B,B,D,0
M,50,China,Homosexual,160.53340099420967,14.576137530266303,B,67.25057077432311,-85.9118948289487,50.92461510911599,-7.711177503072923,D,27.978819529558248,C,A,B,A,E,0
Non-binary,76,India,Bisexual,119.99696188199378,-59.0724767812569,B,-58.1135067074738,-1.8227022070969692,70.80184527838816,9.977403806809065,E,176.78131800437654,A,E,A,D,A,0
Other,29,India,Bisexual,-31.467485993059896,-82.97913618023672,D,-65.23820796177085,-23.51388337230973,115.6995749800561,-19.772838871529427,B,-14.683435659336563,D,E,D,B,D,1
F,67,Mexico,Other,126.56408573805406,66.82289604568203,D,-34.06971286025648,-23.543266322043074,18.69964897537501,-2.0660052749733335,B,0.31322522937809066,B,C,D,E,B,1
F,41,Germany,Homosexual,53.66812073741417,-105.93983421788641,B,-7.959399043134656,-46.86017352745412,150.17138817447122,-10.932463513577993,E,-112.44172910133933,B,A,A,D,B,0
Female,19,UK,Bisexual,23.153076588971754,-87.46808604355492,D,23.48686202969904,-16.064553539231337,12.990647288144835,101.8531672908853,B,-74.94061347438777,A,E,D,A,D,0
Male,72,India,Heterosexual,47.9822928248042,147.4699075234156,B,10.277456687361235,-65.42425566483381,-7.719344538490519,-36.71911122550506,A,-48.36541999500995,B,B,D,B,B,0
Other,23,India,Heterosexual,124.9326823177909,-25.282424482497152,B,53.43089271089817,171.28234140795485,-79.69004632445156,44.739868202905065,B,-56.41012064098351,D,C,C,D,B,1
Non-binary,63,Germany,Homosexual,31.462380125823667,-83.13044858376722,D,86.30487547092262,155.63996948122545,-38.21141245513436,-109.46495121605228,B,209.12921345467365,A,A,E,A,C,0
M,71,Mexico,Other,-21.48230383977399,-59.42473753016762,A,-72.66136315239505,-32.663701215003506,-84.47033703185866,24.010915944380677,A,64.58455945727302,D,C,A,D,C,1
Female,39,India,Homosexual,64.23579107763148,-83.533251823175,D,69.37420977380825,125.84043142200643,-18.11744884927788,26.568282564114437,B,103.43083784071176,D,C,E,A,E,0
Non-binary,51,UK,Other,44.594071530362974,-9.583707648176002,B,-194.0276373150148,-246.7243073660491,-175.40125194354496,155.5589741483435,B,-81.1576259750223,D,D,B,B,B,0
M,62,India,Bisexual,76.84547246895836,-34.79033639627825,B,28.457434488038903,-61.39959615581532,-19.114232255114498,-118.43952209730793,A,98.0575695318531,B,C,B,C,D,1
Female,44,US,Bisexual,31.35855254787243,-172.2802194415974,E,28.152061996916927,11.825254451618978,118.79597799306387,151.27851658893803,E,-125.35585779000694,C,B,D,E,D,1
Other,64,US,Homosexual,67.1670095429,-56.01233614483068,B,-101.9729192022897,15.279749843608293,31.977862364815884,91.2142649969937,D,-158.4034987356657,C,E,B,D,A,1
Non-binary,49,China,Homosexual,56.14324773899192,-111.26812503732926,D,-31.81157871812906,51.755664411413505,44.691807299937295,-70.06906458422594,B,5.129564258943764,D,D,D,A,C,0
Female,72,Brazil,Bisexual,0.2777790550857792,-79.69518282512792,E,-22.816156755444645,-156.0996388441319,44.28373661166339,3.5092983598066487,B,33.71922755361291,D,C,D,B,B,1
Female,20,China,Bisexual,-164.46084403634876,-100.22116638272132,E,-36.38713722084914,-124.0812822447154,4.173154585578417,89.89321700712759,A,-95.63395039519094,A,E,A,E,A,0
Non-binary,41,Mexico,Other,64.50990706898253,122.29798773791391,B,-38.885955576843834,-3.615548443697983,92.19173295729505,21.218354174462025,E,81.81966745907646,A,A,E,A,B,0
Female,35,Germany,Heterosexual,-73.15110688925289,-93.61086001499791,D,-119.77272344145507,-76.42017428480472,39.810251391739364,136.53450598100954,B,-45.968349806825856,C,A,E,D,C,0
Male,77,China,Heterosexual,75.00865810115744,0.13653564927599965,C,-96.34944724997354,40.786136673831685,-14.128857414856292,0.9641355187336843,D,17.942425633171982,D,E,E,D,B,0
Female,29,Germany,Homosexual,-134.57178415581657,170.0579236244689,A,61.03699289291479,82.29780344140529,-232.0924948964735,56.96468509613548,A,-53.98875635363144,E,E,E,E,E,1
Non-binary,76,Brazil,Other,96.00511616145667,-113.2645947879182,D,66.88968376160528,-41.124604094257975,83.65620999971686,79.8716816192582,D,-98.17883598719264,C,E,D,D,C,1
Other,41,China,Bisexual,0.4204688017505124,-92.52774281555548,D,-15.18732445366966,14.496820386145764,-24.707193160892434,46.97603562910832,A,142.1289909080258,E,A,B,D,D,1
Male,25,Brazil,Other,-39.63862131518648,-164.0955491487816,D,107.86532895482081,-139.87511313930833,-181.88736002903207,106.42855585772237,D,-23.8417226363202,E,E,A,B,E,1
Other,34,UK,Other,-15.384206622742536,8.513111660621425,A,-55.62728911702388,-20.855532430933415,-66.32154099159379,-109.8661515358815,C,16.020249170234848,E,B,A,B,D,0
Non-binary,33,US,Bisexual,55.58056263166337,153.60456868918487,D,-10.917824859259975,-289.53382267461996,146.0274067943751,128.60702370376725,C,24.498184417503293,A,C,A,B,B,0
Non-binary,37,Germany,Homosexual,11.025611746427828,-14.29980369645425,B,71.9648046165038,46.467465188960226,45.144228966259114,159.96292389875694,B,127.86952920860253,D,A,D,E,C,1
Other,34,China,Other,10.22979204752967,117.19510471534247,D,144.8849325754861,-161.86920502995366,120.80217994557387,-158.43216463116886,D,-45.95799525819124,B,D,D,C,A,0
Non-binary,57,Brazil,Bisexual,-27.864299801203995,-40.47898140283001,A,119.48251590255295,-1.9075185080478114,36.552339638568704,93.72975392004294,A,47.43054228084883,C,E,E,B,B,0
Female,79,Mexico,Other,-91.30638546025148,-106.1634086082198,B,52.600662465099916,-23.800394121907086,-95.92013826616494,-8.022730537602438,D,101.29304939219664,C,D,A,A,E,1
M,20,China,Homosexual,-91.79880305800742,-120.15254029018317,D,-90.7611638632883,-78.72327916883417,123.28365094746371,-51.89687665165167,E,2.6448976233598476,B,B,B,A,B,0
Non-binary,70,Other,Homosexual,-83.20217914334548,-25.069911867625382,A,-54.360919449305335,-37.97011976320232,-190.95185755234064,20.563103963617028,E,107.29581447865728,A,A,E,E,B,1
Male,35,China,Bisexual,83.96590529264097,-188.63006971362603,C,93.16719984031828,47.501817849357984,-6.509195251373794,158.9992992844205,B,-73.95759303017891,A,C,B,D,C,0
M,72,India,Other,-3.994449831679466,24.81583962063572,A,131.61298743361937,107.66111054006193,46.56886675704434,12.570392998543534,C,-13.234602705216126,D,B,B,C,D,0
Non-binary,71,Mexico,Other,-3.4905784262885486,32.444616498550566,B,7.525570018383066,-69.41134303500542,98.45006006309622,-83.13297909844944,B,-82.16983391194648,A,C,A,A,D,0
Female,46,US,Bisexual,-164.2378825052105,-2.3360067206943502,D,-56.05070081650367,-77.19524806805367,118.37184760019632,-9.665931492059713,A,2.368404684262941,E,E,D,B,D,0
Male,68,Brazil,Homosexual,36.985473781330654,-60.95589783681883,D,-71.35417521138481,41.83682831386067,-53.28302018163239,-10.745328162785032,D,124.23158278465405,C,C,C,C,B,0
Other,79,Other,Other,-133.63241389767632,35.23198258266991,D,48.366898806149926,-83.99567250527295,-15.713718252016209,29.80693098807688,C,-33.21823415376895,A,B,E,D,B,1
M,77,China,Homosexual,-38.68414619054813,144.34571212480037,A,-54.75876491889452,-201.16930008334694,9.342476882272386,-62.03340766020281,E,-50.74003522488463,A,A,D,B,B,0
F,22,UK,Heterosexual,-178.70926359774683,-82.54408926906652,A,181.70384640279747,18.294078612177344,0.4134858244372893,61.37060445586723,B,-127.1598798801507,E,E,C,D,B,1
F,25,US,Homosexual,180.92247345010324,82.20798830476906,C,-123.44672005903863,-72.16290830430201,-90.76989634325766,-110.75409118918189,A,257.5203423314689,D,C,A,D,D,0
M,21,India,Heterosexual,49.88065946237375,-22.512826094620088,D,103.29589222191697,-85.42426915053169,75.25874279666236,83.68210527570496,B,-3.3496787007548288,C,C,B,A,C,1
M,23,India,Heterosexual,-25.64463146845948,-78.17952681696337,A,-2.337941359136169,14.205013847123388,96.98646042919648,-34.38642321484374,C,28.54510985277513,C,C,E,D,E,0
M,40,UK,Heterosexual,-45.0653232883363,-31.77845762057675,C,-22.451439228487754,16.492558937292483,16.79099533310799,-53.875633610232754,B,13.870687512296682,D,C,A,E,B,1
F,32,India,Bisexual,-34.847790059251906,68.80884471044273,A,30.772670515970358,74.28686991139116,-63.929857885628174,53.19768204091151,D,-112.65820639905904,B,C,E,E,E,0
M,49,Other,Heterosexual,-116.14049241009224,78.17417917728127,C,-100.94836737605976,-61.80550050038786,-35.45758142028658,94.5450677420002,C,108.58146318616082,D,B,D,C,B,1
M,28,China,Homosexual,-33.7909881766919,-56.226696112400035,E,-156.98365341515915,-147.47187295818654,45.149920461875205,106.86317559205682,D,-83.58035883082997,D,E,C,D,D,1
Female,55,India,Homosexual,151.39040884478018,81.74848522616065,E,39.7458010122232,91.96839984978106,37.047734486788755,29.6397833205595,A,113.33672484419944,D,C,D,C,E,1
Other,61,Mexico,Bisexual,-42.073814667702734,-41.17966980432261,E,106.1405893580126,-66.1331284227903,144.06989298546543,-119.73588406573793,B,9.596613240114312,C,A,A,C,B,1
Other,36,India,Heterosexual,15.531898732732422,4.830096933514771,C,191.9341833181717,-24.733489505801145,59.72535997098426,139.96868171046864,D,21.09169410677105,B,D,A,E,E,0
Other,42,India,Homosexual,-8.858907744297035,54.0964236343689,C,-48.39212630497367,-60.51542741127509,-10.058271762521565,-21.877577737694644,D,142.652245048778,E,D,E,A,E,0
Non-binary,48,India,Bisexual,80.05832720759436,0.41786968424006576,C,64.32641495098599,-18.347940949112136,-35.21410755523255,-26.557455826728155,C,30.011438001748957,E,C,B,D,B,0
F,45,Other,Bisexual,184.52900910270236,-71.4126161022218,D,12.460898104333838,-14.208902527621403,-6.43782030429499,18.207180553620915,E,29.17045234648357,D,B,B,C,E,0
Male,24,US,Homosexual,4.013453661806761,-192.90192944182175,C,53.64890642083432,-55.32353876857109,-31.454731970138145,-0.5813922644215456,A,182.32156411682777,E,B,A,D,A,0
Female,64,Other,Bisexual,42.755017893157735,-37.912718106193886,E,-2.2876419870510807,54.53062289424025,20.634950833907588,-106.8894046509679,B,-122.15595371710958,B,B,C,D,E,0
F,42,Other,Bisexual,-41.6892208761508,117.49190078103328,A,160.91002097140006,-56.416963978170784,133.09217435382155,-122.56233108483,E,-61.648172260575826,C,B,D,C,A,0
M,59,US,Other,-171.9741608622192,-26.108327872433023,B,10.372728844082436,-53.57023036030244,165.7430299464921,38.537573746345544,C,78.4775989439467,E,D,C,D,C,1
F,42,Mexico,Other,-303.8219271680154,-2.0834777718007906,B,69.08282056463034,-4.0740075096317625,29.74298180090043,22.226775234678023,E,17.076915470740328,A,E,E,C,A,1
Female,71,China,Other,-81.45496844883169,-83.17894745035065,C,-35.43299156168233,-46.6903746296385,88.53472454230061,69.0720854859887,D,-0.20626637412525947,C,A,A,C,B,0
Female,79,US,Heterosexual,185.53191575271754,27.47193585444266,E,70.60216542860758,-90.29578877154623,-86.01021354764671,-7.954694113926919,E,-10.909408366959845,B,E,C,B,C,0
Non-binary,64,Germany,Heterosexual,232.53682434387923,-89.70834615081817,B,90.04661087261748,31.588406259633693,-69.77708189134562,178.764511139213,C,18.681825347548138,D,B,A,A,B,1
Non-binary,19,Brazil,Other,180.95883166456917,88.35821199373115,B,-41.400800178660475,-100.94478958923558,-93.34028888067635,21.269193880180236,B,-49.78823536794186,D,D,B,D,E,0
Female,61,UK,Heterosexual,-144.09698720794273,-97.49695049512059,E,5.486901488721226,31.141029546689985,129.0727069260859,-40.71050780519054,E,1.5444753898550516,C,C,A,E,A,0
M,50,Other,Heterosexual,44.574145098706694,20.698985646884125,D,-51.99439639519273,11.888992985911816,95.95149093241747,-7.424242718797043,E,90.27834590941136,E,E,E,B,C,1
Male,25,Brazil,Heterosexual,-27.302778260217526,-19.669276736393392,A,-59.22270464691384,-153.4199378468991,72.7587504373943,-148.04987879498492,C,44.08201539215932,A,A,E,B,B,0
M,28,Other,Heterosexual,92.71097353795061,-82.53332221167416,D,21.555539351733056,118.0368336379975,-13.268231123707924,84.70598622275354,E,-135.30150140449322,C,D,D,D,E,0
F,61,UK,Other,100.75745082463963,237.20690881946612,C,46.90450240414864,-146.32511837834846,45.19317347883963,30.537102902454517,D,34.58110594923075,E,E,C,E,A,1
F,69,US,Homosexual,91.62706338353992,52.9608199819969,A,-56.76781604296822,91.63975754823142,-70.062283433341,-26.16463151381831,A,-43.341784319396,E,B,D,D,C,0
Male,40,UK,Other,70.08803268627796,63.65986002204293,B,80.67065159085226,152.52889816753063,109.10110226190453,-72.36355734101146,B,-275.6153140581762,B,A,E,B,A,0
Non-binary,57,Germany,Bisexual,72.29502190862283,-82.78669571619336,C,66.80663185786085,7.477523592997754,65.79671785823801,38.883122601636245,B,43.67213027014565,D,D,D,B,A,0
Male,65,China,Other,-151.40671997671092,27.213751124788228,A,48.999358880207296,-57.921545273139294,84.13508401967725,6.893568273502755,D,44.9609240837491,E,A,C,D,C,0
F,78,Brazil,Other,160.96982145830532,213.06701793782054,A,-131.42062028164193,30.096079231930418,-47.69744235491166,17.965958125636796,E,-14.522546857383428,A,E,D,E,A,0
F,18,China,Other,55.723957437596226,100.23843512160897,E,28.680350445761977,163.69425289991617,229.17419592186155,50.90111138605084,B,-36.74968418191914,D,C,B,B,A,1
F,25,US,Bisexual,-85.23923387599498,19.2877469133832,E,24.161045583698666,95.78326646792347,-100.76961956763112,-169.15445317782854,A,-177.95980038862592,B,C,D,E,E,0
Male,45,Mexico,Heterosexual,24.969550969064947,-27.059296430849738,C,23.981229242531136,-74.02150907874694,130.65788500988128,-46.05940104055291,B,-89.7860921742496,D,A,D,E,D,1
M,41,Germany,Homosexual,-122.58513410040102,89.93702931998784,D,48.08693159470091,145.0096339096254,-158.721404524777,4.188830163822773,E,19.64749476509411,C,C,B,E,B,0
Other,79,India,Homosexual,-117.4277669167427,25.695029812294162,D,-23.675064926933466,-44.02856593235935,55.49203988775143,189.33800152740048,B,192.4105523870096,C,D,C,C,B,1
Male,53,Other,Bisexual,18.679392629748172,-92.355803623183,E,244.0627575555777,-1.4539476579244877,-90.1525545182249,-167.5195518280372,C,-7.929404046566889,E,A,E,B,D,1
M,75,US,Other,-80.35468802293364,-13.641323061699262,D,55.55033683208035,-23.23434633847865,-94.5813520614166,87.94732868283927,D,-43.487990745300564,B,A,B,D,D,0
Non-binary,58,India,Homosexual,47.49460571224313,-41.652166872754535,E,89.66049651995121,76.20715633257902,-47.27511298136006,-15.490240326186951,A,29.30190859560945,B,A,A,A,C,0
Non-binary,49,India,Heterosexual,141.3381971951737,-173.28522292963257,B,7.022869472843468,33.97244108445657,116.24373331326983,-91.41769637913264,B,-113.94523848910683,D,C,C,E,C,1
M,29,US,Homosexual,128.85534500415613,-18.900538064541834,C,-4.268547530584193,27.855131931743937,21.18096948837513,-47.62484176414589,E,-276.18354997963553,D,B,E,C,C,1
Other,65,Other,Heterosexual,125.40261465805575,-128.28775274751777,E,98.51895933405146,44.955658533352626,19.294442828314217,-49.03970119114037,C,81.12792346681042,A,E,C,A,C,0
Male,32,Other,Other,123.16389664929959,-188.5201453070945,A,58.342533147176056,61.985947178838444,282.3891023548667,-82.38889786923674,D,-15.128764214937233,A,E,D,E,B,0
Non-binary,35,Other,Heterosexual,57.78798387680496,75.35310785676272,B,-89.58764385995839,-1.065178732460277,-18.86635779291207,-11.947890669798705,B,-63.88233321745788,D,B,B,B,D,0
F,39,China,Bisexual,185.61730841770546,85.95354416812756,A,18.61633682327507,167.33568235206351,109.44423255369493,88.78838573823589,B,74.87299175848958,D,A,E,B,E,0
Non-binary,33,Brazil,Homosexual,209.7875296948306,79.07732651176875,D,-88.07238611651161,-29.97833170439488,56.55793431216078,-25.148402409382825,E,-11.38124662840997,A,C,C,D,B,1
F,35,India,Bisexual,-129.3169985944938,-34.69104737185124,D,53.61478749524883,-71.26310257390394,-179.3890040432859,18.36083723529826,C,-106.99028862909823,B,B,A,B,C,0
Non-binary,18,India,Homosexual,119.29818296453165,-84.10586831378029,D,-270.13615881924005,95.94652864746868,49.33951394039875,20.27828055540268,C,-73.42754219755548,C,E,C,B,E,0
F,60,UK,Heterosexual,-4.414746326051818,104.66696813619059,C,53.60009077719502,-48.34554455970037,-118.81852552045787,2.1824836916228016,C,70.96919786233249,B,A,E,B,A,0
Female,32,Germany,Bisexual,-56.10080270068353,-179.9028447038096,D,127.84085119137578,74.84834501875886,-108.32168614671085,-6.277762654275454,A,61.75758033541514,B,C,A,E,D,1
M,27,UK,Homosexual,119.64461891326602,38.07676220358588,E,-20.57676962257382,-78.10830470221319,-28.785170398642386,176.61643814056288,E,-128.59604069777225,D,E,C,B,C,1
Non-binary,62,US,Bisexual,-53.287530631747934,-153.07198559745095,E,26.087261515439863,24.03662827543725,31.148427723458088,23.430898395644135,C,-78.86681390735487,E,C,B,C,A,1
Non-binary,68,Mexico,Heterosexual,50.8985918495575,-60.4052571620566,D,51.881350186047314,-47.98924406641565,-106.98610565573526,94.42899990570707,E,13.133654761077487,A,D,A,E,C,1
M,59,India,Other,145.29674026099514,-17.75874388795104,B,-111.83984990289532,-48.01793893553646,48.85184395499396,-114.0496418950975,E,39.03555011030577,C,D,D,C,B,1
M,60,US,Heterosexual,-83.8992765496737,25.681611049242214,B,90.52586039869738,4.001458812981681,86.17045099813414,86.21340374994818,D,28.814814356092572,A,E,C,E,A,0
Non-binary,25,Germany,Other,-212.6750917554189,14.127061227985957,C,-203.67346950804205,34.48673326622708,-121.58386640520031,-5.593349156319757,C,0.24835765391409984,B,B,D,A,D,0
Female,61,Mexico,Other,-18.847057577743758,83.10700122877985,C,106.2194250495321,-99.66524512752285,93.27427214132777,-149.24572992322507,C,307.1426445911662,C,E,E,A,B,0
Non-binary,26,UK,Bisexual,-18.5205252093294,76.40179651875961,C,52.625807625881194,74.56946050619295,-11.311771898941366,-47.056005548938764,D,-24.491402180372802,D,B,D,A,E,1
M,49,Brazil,Heterosexual,-65.63005905878906,28.788936975675455,C,-152.79879604396118,-96.76865335948158,278.5884952015422,240.35470924189815,D,-128.42612361298387,D,D,B,E,A,1
M,25,UK,Heterosexual,14.605585102037011,31.752525147482828,B,20.81912386971762,-74.48822705547461,-297.58537644238726,49.61578849124324,D,48.66202925327103,B,E,B,E,A,1
F,26,Germany,Bisexual,-157.00259613845506,78.70152643534725,E,194.87705513128697,-207.80629314746926,-18.72005886975916,12.342492948822082,C,-61.21033826450651,C,B,B,A,E,0
Non-binary,63,UK,Other,-43.59044527230501,-88.65136768980456,E,-301.8752082978183,-20.358722217466525,190.20504254397233,16.670128161687817,A,30.917921456267482,B,E,D,A,B,1
F,79,India,Heterosexual,5.116092555346712,43.82350109039888,C,104.59637577031435,138.28982803155907,-44.899506723903905,163.71340772240305,B,11.85504080264215,C,B,B,E,E,0
Non-binary,66,India,Homosexual,60.57953241361146,-49.2841286861575,C,-40.25058099748769,8.447472616547223,58.254721439174396,-80.94487615503698,D,167.38124616928863,A,C,E,E,C,0
M,68,China,Other,-35.64068864041823,100.8430057974615,C,84.88003581678957,153.31737717173687,-99.18590982485247,62.386586624331585,B,202.85317833566023,D,E,D,D,C,1
Male,22,Mexico,Heterosexual,-171.11369647028602,-187.24639849367708,E,83.96228198808627,100.9858082447005,-59.61899334843119,-12.48457316486833,A,-36.53770539617689,B,C,C,C,A,0
Female,21,Other,Homosexual,275.41852618969125,-142.84416009321095,D,73.33252429913702,-146.41710212575552,-87.65629585178013,91.16348029180602,E,73.97609561083146,E,B,D,C,E,1
Non-binary,68,Mexico,Bisexual,-133.1512132532306,129.4099266353866,E,-239.1693996802152,150.89714262261978,-79.82857727620637,-171.2117114019576,A,-147.23042403177945,C,C,A,D,E,1
Other,52,Mexico,Bisexual,187.81581715797057,53.011245955561584,B,-16.519506390841045,14.78795135302621,141.3067280589727,52.38404042674373,D,-61.044741125395895,B,A,E,D,E,0
Non-binary,46,Germany,Bisexual,-193.00700352639217,-72.27064148812372,B,51.801097880482196,55.12973253925294,20.41844097326949,-175.3066470033924,B,-20.81715880315612,A,D,C,E,E,0
M,44,Other,Bisexual,80.47549268229204,198.47702893592128,B,-114.26893258862991,-43.622360137528055,118.05920581297838,-133.33980236420518,C,-102.52531746340361,A,C,D,A,E,0
Non-binary,49,Mexico,Heterosexual,-127.45306330548965,33.33311516511965,B,6.079510900733404,-22.4198800784454,1.053189781674634,52.439680245429884,A,-32.082007148428445,C,C,C,D,A,1
Male,68,Mexico,Other,-94.8824101064881,-73.65858826571525,A,-19.712249811176115,-15.023355523708418,-15.213537346567966,66.62244601063735,A,22.61298012809451,E,E,D,B,C,1
F,52,China,Other,77.07133822359037,-60.6309915035529,E,-148.49924210436475,145.1786723399616,36.24757300377316,23.483582247392892,E,-44.56702938386273,C,A,C,A,A,0
M,42,Mexico,Bisexual,-70.35554409566643,73.32512076066516,D,146.15206653846562,117.82881892283508,3.2510097938606575,77.54342774590785,A,-2.7952868340868893,B,A,D,A,D,1
Female,57,China,Bisexual,125.09221726725714,38.303539999928674,E,22.120903850941716,-42.60610900301418,69.7084341456233,-34.91238118063274,C,78.50371676301008,E,D,E,A,B,1
Non-binary,50,India,Homosexual,-0.5444639945468023,89.0958642448199,E,77.00728130791907,-44.98430820351207,32.60184754698617,-126.32440215535952,B,-49.179558379999236,E,D,D,A,E,1
Male,63,Brazil,Homosexual,41.76939978167194,26.44169943023594,E,16.40148195669023,-37.428248412607246,24.982987119968712,39.037107610018786,B,26.170621116174118,C,B,C,C,A,1
Non-binary,33,Germany,Bisexual,-0.3029074578098041,152.1171890612854,A,-95.20482676707407,-54.12650049948478,-96.08792155813558,112.56886645706096,C,10.528168194304309,D,D,B,E,B,0
F,53,Other,Heterosexual,11.62361841804934,-57.89112438571703,E,29.34029612796562,232.3450496806669,33.94364580815731,-77.78602014483423,E,-77.22911214400636,D,D,B,D,E,1
Non-binary,33,India,Homosexual,-88.4552066926666,231.31816527603476,D,41.91230463265201,54.0207488297408,-171.0191070417467,-29.055183845661098,C,71.58770817499706,D,C,A,E,D,0
F,38,Brazil,Bisexual,23.881937451866005,-48.43859515203336,C,116.312896598516,37.70816314732906,-227.7570618807186,125.75022676986396,A,-146.09319009619568,A,A,E,C,A,1
F,44,US,Homosexual,-3.0803576359061786,-21.06560223049089,E,-29.886941955180745,35.87926919607909,-62.14967415997512,24.574189791878606,B,25.428192493028877,E,D,B,C,C,1
Other,62,UK,Other,-87.28917661625593,43.660369057229474,E,119.3616175550469,23.130646982109827,124.46296544965476,85.72354491270579,E,-69.31051826549488,A,D,E,A,D,1
Other,53,Germany,Other,-1.6917287205575033,111.01579596270375,D,68.38015854003407,61.777685797101036,-137.95212323466058,-9.214925257968984,B,-127.65154421605631,E,B,B,C,B,0
Male,78,Other,Heterosexual,-16.78041653993224,-88.47541842139145,A,1.5530395929706453,-41.87971852856015,75.76371742423987,-111.71978577079385,B,426.83109492837457,A,C,A,B,E,0
Male,75,India,Bisexual,-10.054407481073117,96.98165521544425,A,-67.12931248023197,36.76384411934223,-131.9483890673564,-91.80367421798059,C,-19.197816102075098,B,D,D,B,E,1
F,33,China,Heterosexual,-100.99150065835367,-130.46573055125506,E,-203.82291519727872,-30.000333347295527,-190.84355697520343,132.18571233388127,B,-40.18874655539821,A,E,A,C,D,0
M,51,China,Other,36.82784048701587,98.90740510946084,C,-131.72201700384477,155.568931467942,89.70892874195155,-46.39003320193771,B,66.82077119725575,B,D,D,E,A,1
F,28,Brazil,Bisexual,-116.85870067361124,73.05483097698767,A,-130.8151321399789,48.72046112988207,22.46528831001641,-64.00983808968488,D,-113.18756649214066,B,B,C,C,D,1
Female,55,China,Homosexual,-66.5835517308461,-8.824157161661695,B,-39.45841690194932,-31.103157828712103,-71.4310526493464,-115.98501569472721,D,198.14049857814717,B,D,C,C,C,1
